event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Global and continental temperature extremes,1951-2018,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Analyses that involve signals from anthropogenic and natural external forcings confirm that the anthropogenic signal can be detected over global land as a whole and for most continents in all temperature indices.""",2020,"Hu, T. et al. 2020: Human influence on frequency of temperature extremes, Environmental Research Letters, DOI:10.1088/1748-9326/ab8497",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ab8497
Record-breaking June and July 2019 heatwaves in Western Europe,2019,2019,Event,NA,Europe,Heat,More severe or more likely to occur,"""We demonstrate that these short and intense events would have had extremely small odds in the absence of human-induced climate change, and equivalently frequent events would have been 1.5C to 3C colder.""",2020,"Vautard, R. et al. 2020: Human contribution to the record-breaking June and July 2019 heatwaves in Western Europe, Environmental Research Letters, DOI:10.1088/1748-9326/aba3d4",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/aba3d4
Sweden's extremely warm summer,2018,2018,Event,SWE,Europe,Heat,More severe or more likely to occur,"""Anthropogenic climate change has strongly increased the probability of a warm summer, such as the one observed 2018, occurring in Sweden.""",2020,"Wilcke, R. A. I. et al. 2020: The extremely warm summer of 2018 in Sweden – set in a historical context, Earth System Dynamics, DOI:10.5194/esd-11-1107-2020",Earth System Dynamics,No,https://esd.copernicus.org/articles/11/1107/2020/
France heatwave,July 2019,2019,Event,FRA,Europe,Heat,More severe or more likely to occur,"""Both the probability and the intensity of that event have increased significantly in response to human influence. Remarkably, we find that the heat wave considered might not have been possible without climate change.""",2020,"Robin, Y. & Ribes, A. 2020: Nonstationary extreme value analysis for event attribution combining climate models and observations, Advances in Statistical Climatology, Meteorology and Oceanography, DOI:10.5194/ascmo-6-205-2020","Advances in Statistical Climatology, Meteorology and Oceanography",No,https://ascmo.copernicus.org/articles/6/205/2020/
East China's hottest spring,2018,2018,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Quantitative estimates of the probability ratio show that anthropogenic forcing may have increased the chance of this event by 10-fold.""",2020,"Lu, C. et al. 2020: Contribution of Global Warming and Atmospheric Circulation to the Hottest Spring in Eastern China in 2018, Advances in Atmospheric Sciences, DOI:10.1007/s00376-020-0088-5",Advances in Atmospheric Sciences,No,https://link.springer.com/article/10.1007/s00376-020-0088-5
Scotland heatwave,2018,2018,Event,GBR,Europe,Heat,More severe or more likely to occur,"""Anthropogenic climate change since 1850 has made all these high-temperature extremes more likely.""",2020,"Undorf, S. et al. 2020: Learning from the 2018 heatwave in the context of climate change: are high-temperature extremes important for adaptation in Scotland?, Environmental Research Letters, DOI: 10.1088/1748-9326/ab6999",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ab6999
"UK local temperatures exceeding 30, 35 and 40C",1960-2019,NA,Trend,GBR,Europe,Heat,More severe or more likely to occur,"""Compared with the natural world, there are now more areas likely to see temperatures exceeding 30 or 35C, while the 40C threshold is still very rare, even in the southeast.""",2020,"Christidis, N. et al. 2020: The increasing likelihood of temperatures above 30 to 40 °C in the United Kingdom, Nature Communications, DOI:10.1038/s41467-020-16834-0",Nature Communications,No,https://www.nature.com/articles/s41467-020-16834-0
Global temperature extremes,1951-2010,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Our analyses show human influences on temperature extremes at the subcontinental scale.""",2020,"Wang, Z. et al., 2020: Toward Optimal Fingerprinting in Detection and Attribution of Changes in Climate Extremes, Journal of the American Statistical Association, DOI:10.1080/01621459.2020.1730852",Journal of the American Statistical Association,No,https://www.tandfonline.com/doi/full/10.1080/01621459.2020.1730852
Siberian heatwave,2020,2020,Event,RUS,Europe,Heat,More severe or more likely to occur,"""The results showed with high confidence that the January to June 2020 prolonged heat was made at least 600 times more likely as a result of human-induced climate change.""",2020,"Ciavarella, A. et al. 2020: Siberian heatwave of 2020 almost impossible without climate change, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/siberian-heatwave-of-2020-almost-impossible-without-climate-change/
Cedar Rapids flooding,2008,2008,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""Compared to the baseline scenario with the external forcing removed, this event was ∼1.28-fold larger in flood extent, an approximate 3.4-time larger in the number of affected buildings, and an estimated 5.8- and 7.1-time larger in structural and content damage, respectively.""",2020,"Villarini. G. et al., 2020, Attribution of the impacts of the 2008 flooding in Cedar Rapids (Iowa) to anthropogenic forcing, Environmental Research Letters, DOI: 10.1088/1748-9326/abc5e5",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/abc5e5
Record-breaking summer heat in north-east Asia,2018,2018,Event,NA,Eastern and south-eastern Asia,Heat,Insufficient data/inconclusive,"""We are also unable to attribute these changes solely to climate change due to the limitation of 60 years of data.""",2020,"Ren, L. et al. 2020: Attribution of the record-breaking heat event over Northeast Asia in summer 2018: the role of circulation, Environmental Research Letters, DOI:10.1088/1748-9326/ab8032",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ab8032
Cape Town's 'Day Zero' drought,2018,2018,Event,ZAF,Sub-Saharan Africa,Drought,More severe or more likely to occur,"""We find that anthropogenic climate change increased the likelihood of the 2015–2017 rainfall deficit by a factor of five to six.""",2020,"Pascale, S. et al. 2020: Increasing risk of another Cape Town “Day Zero” drought in the 21st century, PNAS, DOI:10.1073/pnas.2009144117",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/cgi/doi/10.1073/pnas.2009144117
Agricultural drought in the Netherlands,1951-2019,NA,Trend,NLD,Europe,Drought,More severe or more likely to occur,"""A trend in agricultural drought…is driven by strong trends in temperature and global radiation rather than a trend in precipitation, resulting in an overall trend in potential evapotranspiration…At least half of this can be attributed to human induced climate change.""",2020,"Philip, S. Y. et al. 2020: Regional differentiation in climate change induced drought trends in the Netherlands, Environmental Research Letters, DOI:10.1088/1748-9326/ab97ca",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ab97ca
Global observed extreme precipitation,1951-2015,NA,Trend,NA,Global,Rain & flooding,More severe or more likely to occur,"""Results indicate that anthropogenic greenhouse gas influence is robustly detected in the observed intensification of extreme precipitation over the global land and most of the subregions considered.""",2020,"Paik, S. et al. 2020: Determining the anthropogenic greenhouse gas contribution to the observed intensification of extreme precipitation, Geophysical Research Letters, DOI:10.1029/2019GL086875",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019GL086875
North America extreme precipitation,1961-2010,NA,Trend,NA,Northern America,Rain & flooding,More severe or more likely to occur,"""We conclude that external forcing, dominated by human influence, has contributed to the increase in frequency and intensity of regional precipitation extremes in North America.""",2020,"Kirchmeier-Young, M. C. & Zhang, X. 2020: Human influence has intensified extreme precipitation in North America, PNAS, DOI:10.1073/pnas.1921628117",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/early/2020/05/26/1921628117
Record-breaking heavy rainfall over western Japan,July 2017,2017,Event,JPN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""[Result for events like 2017] indicates that the return period (probability) of daily maximum rainfall changed from 53.5 years to 36.0 years due to global warming.""",2020,"Imada, Y. et al. 2020: Advanced risk-based event attribution for heavy regional rainfall events, npj climate and atmospheric science, DOI:10.1038/s41612-020-00141-y",npj climate and atmospheric science,No,https://www.nature.com/articles/s41612-020-00141-y
Record-breaking heavy rainfall over western Japan,July 2018,2018,Event,JPN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""The threshold of 72-h rainfall was estimated to have 20.7-year return period under the realistic 2018 climatic conditions, but would have a 68.0-year return period under counterfactual conditions free of human-induced climate change.""",2020,"Imada, Y. et al. 2020: Advanced risk-based event attribution for heavy regional rainfall events, npj climate and atmospheric science, DOI:10.1038/s41612-020-00141-y",npj climate and atmospheric science,No,https://www.nature.com/articles/s41612-020-00141-y
Flooding on the Lancang-Mekong River Basin,2008-2016,2008-2016,Event,VNM,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Compared with the baseline period of 1985–2007…climate change increased the magnitude and frequency of the flood by up to 14% and 45%, respectively.""",2020,"Yun, X. et al. 2020: Impacts of climate change and reservoir operation on streamflow and flood characteristics in the Lancang-Mekong River Basin, Journal of Hydrology, DOI:10.1016/j.jhydrol.2020.125472",Journal of Hydrology,No,https://www.sciencedirect.com/science/article/pii/S002216942030932X
Mid-lower Yangtze River 2-day rainfall extremes,July 2019,2019,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Anthropogenic warming has reduced the likelihood of 2019-like 14-days heavy precipitation over the mid–lower reaches of the Yangtze River by 20%, but increased that of 2-days extremes by 30%.""",2020,"Nanding, N, et al. 2020: Anthropogenic influences on 2019 July precipitation extremes over the mid–lower reaches of the Yangtze river, Frontiers in Environmental Science, DOI:10.3389/fenvs.2020.603061",Frontiers in Environmental Science,No,https://www.frontiersin.org/articles/10.3389/fenvs.2020.603061/full
Heavy rainfall in Kinugawa,2015,2015,Event,JPN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""These results indicate the high probability of intensification of Kinugawa heavy rainfall by anthropogenic GHG emissions.""",2020,"Taniguchi, K. & Minobe, Y. 2020: Impact of Global Warming on Extreme Heavy Rainfall in the Present Climate: Case Study of Heavy Rainfall in Kinugawa, Japan (2015), Atmosphere, DOI:10.3390/atmos11020220",Atmosphere,No,https://www.mdpi.com/2073-4433/11/2/220/htm
China summer rainfall,1961-2012,NA,Trend,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Changes attributable to anthropogenic forcing explain most of the observed regional changes for all categories of summer precipitation, and natural forcing contributes little.""",2020,"Lu, C. et al. 2020: Detectable Anthropogenic Influence on Changes in Summer Precipitation in China, Journal of Climate, DOI:10.1175/JCLI-D-19-0285.1",Journal of Climate,No,https://journals.ametsoc.org/view/journals/clim/33/13/jcli-d-19-0285.1.xml
Global rainfall extremes,1951-2014,NA,Trend,NA,Global,Rain & flooding,More severe or more likely to occur,"""An optimal fingerprinting analysis reveals detectable anthropogenic signals in the observations of these indices averaged over the globe and over most continents.""",2020,"Dong, S. et al., 2020: Attribution of Extreme Precipitation with Updated Observations and CMIP6 Simulations, Journal of Climate, DOI:10.1175/JCLI-D-19-1017.1",Journal of Climate,No,https://journals.ametsoc.org/view/journals/clim/34/3/JCLI-D-19-1017.1.xml
Mid-lower Yangtze River 14-day rainfall extremes,July 2020,2019,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,"Decrease, less severe or less likely to occur","""Anthropogenic warming has reduced the likelihood of 2019-like 14-days heavy precipitation over the mid–lower reaches of the Yangtze River by 20%, but increased that of 2-days extremes by 30%.""",2020,"Nanding, N, et al. 2020: Anthropogenic influences on 2019 July precipitation extremes over the mid–lower reaches of the Yangtze river, Frontiers in Environmental Science, DOI:10.3389/fenvs.2020.603061",Frontiers in Environmental Science,No,https://www.frontiersin.org/articles/10.3389/fenvs.2020.603061/full
NZ glacier ice loss events,"2011, 2018","2011, 2018",Event,NZL,Australia and New Zealand,"Cold, snow & ice",More severe or more likely to occur,"""We estimate extreme mass loss was at least six times (2011) and ten times (2018) (>90% confidence) more likely to occur with anthropogenic forcing than without.""",2020,"Vargo, L. J. et al. 2020: Anthropogenic warming forces extreme annual glacier mass loss, Nature Climate Change, DOI:10.1038/s41558-020-0849-2",Nature Climate Change,No,https://www.nature.com/articles/s41558-020-0849-2
Northern hemisphere intense snowfall events,1979-2020,NA,Trend,NA,Northern hemisphere,"Cold, snow & ice",More severe or more likely to occur,"""The increased anthropogenic activity in the past decades is partly responsible for the increase in intense snowfall events"" over most parts of Asia, North America, and Greenland.",2020,"Chen, H. et al. 2020: Anthropogenic influence would increase intense snowfall events over parts of the Northern hemisphere in the future, Environmental Research Letters, DOI:10.1088/1748-9326/abbc93",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/abbc93
Extreme cold events over south-east China,1960-2017,NA,Trend,CHN,Eastern and south-eastern Asia,"Cold, snow & ice",No discernible human influence,"""Our analysis indicates that even if cold events are likely to have been reduced due to greenhouse gases, trends cannot be attributed with high confidence to any anthropogenic signal alone.""",2020,"Freychet, N. et al., 2020: Widespread Persistent Extreme Cold Events Over South-East China: Mechanisms, Trends, and Attribution, JGR Atmospheres, DOI:10.1029/2020JD033447",JGR Atmospheres,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020JD033447
Marine heatwaves,1981-2017,NA,Trend,NA,Global,Oceans,More severe or more likely to occur,"""We show that the occurrence probabilities of the duration, intensity, and cumulative intensity of most documented, large, and impactful MHWs have increased more than 20-fold as a result of anthropogenic climate change.""",2020,"Laufkötter, C. et al. 2020: High-impact marine heatwaves attributable to human-induced global warming, Science, DOI:10.1126/science.aba0690",Science,No,https://science.sciencemag.org/content/369/6511/1621
Hurricane Florence,2018,2018,Event,USA,Northern America,Storm,More severe or more likely to occur,"""The extreme rainfall was increased by up to 10%, and the fraction of rainfall accumulations of more than 30 inches was increased by more than 7% of what it would have been without climate change."" & ""The maximum size of Hurricane Florence [was] about 9 km larger in mean maximum diameter (or a 1.6% increase in storm area) due to climate change.""",2020,"Reed, K. A. et al. 2020: Forecasted attribution of the human influence on Hurricane Florence, Science Advances, DOI:10.1126/sciadv.aaw9253",Science Advances,No,https://advances.sciencemag.org/content/6/1/eaaw9253
Global tropical cyclone frequency trends,1980-2018,NA,Trend,NA,Global,Storm,More severe or more likely to occur,"""We found that external forcing (i.e., greenhouse gases, aerosols, and volcanic eruptions) played an important role in the observed TCF [Tropical Cyclone Frequency] trends since 1980.""",2020,"Murakami, H. et al. 2020: Detected climatic change in global distribution of tropical cyclones, PNAS, DOI:10.1073/pnas.1922500117",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/117/20/10706
Typhoon translation speeds in mid-latitudes in September,1980-2019,NA,Trend,NA,Global,Storm,"Decrease, less severe or less likely to occur","""[The findings] reveal two main factors responsible for translation speed slowdown: natural decadal climate variabilities (such as the Pacific Decadal Oscillation) and global warming.""",2020,"Yamaguchi, M. & Maeda, S. 2020: Slowdown of Typhoon Translation Speeds in Mid-latitudes in September Influenced by the Pacific Decadal Oscillation and Global Warming, Journal of the Meteorological Society of Japan, DOI:10.2151/jmsj.2020-068",Journal of the Meteorological Society of Japan,No,https://www.jstage.jst.go.jp/article/jmsj/advpub/0/advpub_2020-068/_article/-char/en
Tropical-cyclone-induced heavy rainfall over western Japan,July 1993,1993,Event,JPN,Eastern and south-eastern Asia,Storm,No discernible human influence,"""The tropical-cyclone-induced extreme rainfall…was not attributable to anthropogenic climate change because the occurrence of heavy rainfall depended more on the TC approach rather than on the moisture increase due to global warming.""",2020,"Imada, Y. et al. 2020: Advanced risk-based event attribution for heavy regional rainfall events, npj climate and atmospheric science, DOI:10.1038/s41612-020-00141-y",npj climate and atmospheric science,No,https://www.nature.com/articles/s41612-020-00141-y
California extreme autumn wildfire conditions,since 1950,NA,Trend,USA,Northern America,Wildfire,More severe or more likely to occur,"""We find an increase in the climate model-estimated probability of these extreme autumn conditions since ~1950, including a long-term trend toward increased same-season co-occurrence of extreme fire weather conditions in northern and southern California.""",NA,"Goss, M. et al. 2020: Climate change is increasing the likelihood of extreme autumn wildfire conditions across California, Environmental Research Letters, DOI:10.1088/1748-9326/ab83a7",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ab83a7
Colorado River discharge deficit,2000-2017,2000-2017,Event,USA,Northern America,River flow,"Decrease, less severe or less likely to occur","""If we set temperature every year to its climatology, the model yields a discharge trend [for 1913-2017] of −8.4%/century and a discharge deficit [for 2000-17] of −8.1%. We conclude that temperature sensitivity accounts for more than half of both drying phenomena, consistent with a previous analysis.""",2020,"Milly, P. C. D. & Dunne, K. A. 2020: Colorado River flow dwindles as warming-driven loss of reflective snow energizes evaporation, Science, DOI:10.1126/science.aay9187",Science,No,https://science.sciencemag.org/content/367/6483/1252
Summer hot drought events over north-eastern China,1961-2005,NA,Trend,CHN,Eastern and south-eastern Asia,Compound,More severe or more likely to occur,"""Based on the optimal fingerprinting method, the impact of increased anthropogenic activities can be detected at the 90% confidence level.""",2020,"Li, H. et al. 2020: A detectable anthropogenic shift toward intensified summer hot drought events over northeastern China, Earth and Space Science, DOI:10.1029/2019EA000836",Earth and Space Science,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019EA000836
Economic costs of New Zealand droughts,2007-2017,2007-2017,Event,NZL,Australia and New Zealand,Impact,More severe or more likely to occur,"""With a FAR [fraction of attributable risk] of 20%, this yields excess costs of the drought due to anthropogenic climate change of NZ$300M.""",2020,"Frame, D. J. et al. 2020: Climate change attribution and the economic costs of extreme weather events: a study on damages from extreme rainfall and drought, Climatic Change, DOI:10.1007/s10584-020-02729-y",Climatic Change,No,https://link.springer.com/article/10.1007%2Fs10584-020-02729-y
Economic costs of New Zealand floods,2007-2017,2007-2017,Event,NZL,Australia and New Zealand,Impact,More severe or more likely to occur,"""We estimate that major-flood insured costs attributable to anthropogenic influence on climate are currently somewhere in the vicinity of $140M for this decade.""",2020,"Frame, D. J. et al. 2020: Climate change attribution and the economic costs of extreme weather events: a study on damages from extreme rainfall and drought, Climatic Change, DOI:10.1007/s10584-020-02729-y",Climatic Change,No,https://link.springer.com/article/10.1007%2Fs10584-020-02729-y
Economic costs of Hurricane Harvey,2014,2014,Event,USA,Northern America,Impact,More severe or more likely to occur,"""With an average estimate of damages from Harvey assessed at about US$90bn, applying this fraction [of attributable risk] gives a best estimate of US$67bn, with a likely lower bound of at least US$30bn, of these damages that are attributable to the human influence on climate.""",2020,"Frame, D. J. et al. 2020: The economic costs of Hurricane Harvey attributable to climate change, Climatic Change, DOI:10.1007/s10584-020-02692-8",Climatic Change,No,https://link.springer.com/article/10.1007/s10584-020-02692-8
Biological responses to Elbe River floodplain flooding & heatwaves,2002-2013,2002-2013,Event,DEU,Europe,Impact,No discernible human influence,"""Our ability to attribute these responses to anthropogenic climate change is limited by high natural variability in climate and biological data; lack of long-term data and replication, and the effects of multiple events.""",2020,"Harris, R. M. B. et al. 2020: Biological responses to extreme weather events are detectable but difficult to formally attribute to anthropogenic climate change, Scientific Reports, DOI:10.1038/s41598-020-70901-6",Scientific Reports,No,https://www.nature.com/articles/s41598-020-70901-6
UK's third warmest year on record,2020,2020,Event,GBR,Europe,Heat,More severe or more likely to occur,"Including climate change, the ""likelihood estimate increases by around a factor of 50, to 56% (range 53–58%). This suggests that we now expect a year as warm as 2020 every other year.""",2021,"McCarthy, M. et al. 2021: Met Office: A review of the UK’s climate in 2020, Carbon Brief",Carbon Brief,Yes,https://www.carbonbrief.org/met-office-a-review-of-the-uks-climate-in-2020
UK extremely warm days,winter 2018-2019,2018-2019,Event,GBR,Europe,Heat,More severe or more likely to occur,"""Extremely warm winter days in central England, as in 2018/19, are still very rare, but human influence is estimated to have made them about 300 times more likely.""",2021,"Christidis, N. & Stott, P. A., 2021: Extremely Warm Days in the United Kingdom in Winter 2018/19 [in “Explaining Extreme Events of 2019 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., DOI:10.1175/BAMS-D-20-0123.1",Bulletin of the American Meteorological Society,No,https://www.ametsoc.net/eee/2019/EEEin2019.pdf
Southern China record-breaking rainfall and temperature event,summer 2020,2020,Event,"CHN,CHN",Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""[H]ot events similar to the 2020 event cannot occur under past climate, while those reaching or exceeding a one standard deviation threshold increased from 0.58% under past climate conditions to 68.83% under the present climate, 99% of which can be attributed to climate change.""",2021,"Ye, T. & Qian, C., 2021: Conditional attribution of climate change and atmospheric circulation contributing to the record-breaking precipitation and temperature event of summer 2020 in southern China, Environmental Research Letters, DOI:10.1088/1748-9326/abeeaf",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/abeeaf
Increasing extreme temperatures in China,1951-2018,NA,Trend,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""[We] show that anthropogenic forcing is the main driver for these changes…GHG forcing plays a dominant role, accounting for about 1.6 (1.1–2) times of observed warming in changes of most indices, while the AA offset about 35% (10–60%) of GHG induced warming for warm extremes.""",2021,"Hu, T. & Sun, Y., 2021: Anthropogenic influence on extreme temperatures in China based on CMIP6 models, International Journal of Climatology, DOI:10.1002/joc.7402",International Journal of Climatology,No,https://rmets.onlinelibrary.wiley.com/doi/10.1002/joc.7402?af=R
European heatwave of February 2019,2019,2019,Event,NA,Europe,Heat,More severe or more likely to occur,"""The direct CO2 effect increases the probability of the event over all European regions"" (And specifically by 42% for the UK, at least 100% for France and 7% for the Mediterranean.)",2021,"Leach, N. J. et al., 2021: Forecast-based attribution of a winter heatwave within the limit of predictability, PNAS, DOI:10.1073/pnas.2112087118",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/doi/10.1073/pnas.2112087118
Global hot extremes,1850-2014,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""[T]hese simulations suggest that many areas of the globe — particularly in the tropics, sub-tropics, and northern-hemisphere high latitudes — have already moved into a climate where the hottest daily-, seasonal- and annual-scale conditions would not have occurred in thousands of years without anthropogenic forcings.""",2021,"Diffenbaugh, N. S. & Davenport, F. V. 2021: On the impossibility of extreme event thresholds in the absence of global warming, Environmental Research Letters, DOI:/10.1088/1748-9326/ac2f1a",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ac2f1a
Changing risk of north-west Europe heatwave of 1976,1976,1976,Event,NA,Europe,Heat,More severe or more likely to occur,"""The probability of a summer at least as hot as 1976 has increased significantly between the 1970s and the present-day climate"" (by 11%, 9% and 19% based on the three respective methods).",2021,"Baker, L. et al., 2021: Has the risk of a 1976 north-west European summer drought and heatwave event increased since the 1970s because of climate change?, Quarterly Journal of the Royal Meteorological Society, DOI:10.1002/qj.4172",Quarterly Journal of the Royal Meteorological Society,No,https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.4172?af=R
Siberia extreme heat of 2020,2020,2020,Event,RUS,Europe,Heat,More severe or more likely to occur,"""[W]ithout human influence the temperatures widely experienced in Siberia in the first half of 2020 would have been practically impossible.""",2021,"Ciavarella, A. et al., 2021: Prolonged Siberian heat of 2020 almost impossible without human influence, Climatic Change, DOI:10.1007/s10584-021-03052-w",Climatic Change,No,https://link.springer.com/article/10.1007/s10584-021-03052-w
Record Australian heat event of October 2015,2015,2015,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""We find that about half of the October 2015 Australia-wide temperature anomaly is due to the increase in atmospheric CO2 since 1960.""",2021,"Wang, G. et al., 2021: An Initialized Attribution Method for Extreme Events on Subseasonal to Seasonal Time Scales, Journal of Climate, DOI:10.1175/JCLI-D-19-1021.1",Journal of Climate,No,https://journals.ametsoc.org/view/journals/clim/34/4/JCLI-D-19-1021.1.xml
Global extreme temperature changes,1951-2015,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""Greenhouse gas signals are detected in isolation from other external forcings over global, continental, and several subcontinental domains especially for warm extremes, explaining most of the observed warming.""",2021,"Seong, M-G. et al., 2021: Anthropogenic Greenhouse Gas and Aerosol Contributions to Extreme Temperature Changes during 1951–2015, Journal of Climate, DOI:10.1175/JCLI-D-19-1023.1",Journal of Climate,No,https://journals.ametsoc.org/view/journals/clim/34/3/JCLI-D-19-1023.1.xml
European summer heatwave of 2003,2003,2003,Event,RUS,Europe,Heat,More severe or more likely to occur,"""[T]he effect of climate change was to increase temperatures across Europe by about the global-mean warming level throughout the summer, and the heatwave was simply the dynamical event riding on top of that.""",2021,"van Garderen, L. et al., 2021: A methodology for attributing the role of climate change in extreme events: a global spectrally nudged storyline, Natural Hazards and Earth System Sciences, DOI:10.5194/nhess-21-171-2021",Natural Hazards and Earth System Sciences,No,https://nhess.copernicus.org/articles/21/171/2021/
Russian summer heatwave of 2010,2010,2010,Event,RUS,Europe,Heat,More severe or more likely to occur,"""[T]he effect of climate change was much higher than the global warming level and was particularly enhanced, approximately threefold, during the peak of the heatwave.""",2021,"van Garderen, L. et al., 2021: A methodology for attributing the role of climate change in extreme events: a global spectrally nudged storyline, Natural Hazards and Earth System Sciences, DOI:10.5194/nhess-21-171-2021",Natural Hazards and Earth System Sciences,No,https://nhess.copernicus.org/articles/21/171/2021/
Europe's record hot summer,2021,2021,Event,NA,Europe,Heat,More severe or more likely to occur,"""The calculations showed that the record-breaking summer season in Europe would have been almost impossible without human influence.""",2021,"Christidis, N. et al., 2021: Climate change drives Europe's record 2021 summer, Met Office",Met Office,Yes,https://www.metoffice.gov.uk/about-us/press-office/news/weather-and-climate/2021/2021-european-summer-temperature-impossible-without-climate-change
Western North American extreme heat,June 2021,2021,Event,NA,Northern America,Heat,More severe or more likely to occur,"""Based on observations and modeling, the occurrence of a heatwave with maximum daily temperatures (TXx) as observed…was virtually impossible without human-caused climate change.""",2021,"Philip, S. Y. et al. 2021: Rapid attribution analysis of the extraordinary heatwave on the Pacific Coast of the US and Canada June 2021, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/western-north-american-extreme-heat-virtually-impossible-without-human-caused-climate-change/
Record-breaking low sunshine on the Yangtze Plain,January-February 2019,2019,Event,CHN,Eastern and south-eastern Asia,Sunshine,More severe or more likely to occur,"""The record-low January–February 2019 sunshine in the Middle-Lower Yangtze Plain was favored by a circulation pattern, while anthropogenic aerosols and greenhouse gases increased their probability in recent decades by 3.1 and 1.3 times, respectively.""",2021,"He, Y. et al., 2021: Roles of Anthropogenic Forcing and Natural Variability in the Record Breaking Low Sunshine Event in January–February 2019 over the Middle-Lower Yangtze Plain [in “Explaining Extreme Events of 2019 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., DOI:10.1175/BAMS-D-20-0185.1",Bulletin of the American Meteorological Society,No,https://www.ametsoc.net/eee/2019/EEEin2019.pdf
Europe increasingly dry summers,1900-2020,NA,Trend,NA,Europe,Drought,More severe or more likely to occur,"""Using the SPI and SPEI indices defined relative to a climate without the effect of human activity we demonstrate that anthropogenic forcings drive marked changes in European wet and dry summers.""",2021,"Christidis, N. & Stott, P. A. 2021: The influence of anthropogenic climate change on wet and dry summers in Europe, Science Bulletin, DOI:10.1016/j.scib.2021.01.020",Science Bulletin,No,https://www.sciencedirect.com/science/article/pii/S2095927321000566
Western Cape drought,2015-2019,2015-2019,Event,ZAF,Sub-Saharan Africa,Drought,More severe or more likely to occur,"""CMIP6 simulations suggest that anthropogenic greenhouse gas forcing has at least doubled the likelihood of 2015–19 like prolonged droughts over the South African Western Cape, with large cancellation due to other anthropogenic effects.""",2021,"Kam, J. et al., 2021: CMIP6 Model-Based Assessment of Anthropogenic Influence on the Long Sustained Western Cape Drought over 2015–19 [in “Explaining Extreme Events of 2019 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., DOI:10.1175/BAMS-D-20-0159.1",Bulletin of the American Meteorological Society,No,https://www.ametsoc.net/eee/2019/EEEin2019.pdf
SW China extreme low rainfall,May-June 2019,2019,Event,CHN,Eastern and south-eastern Asia,Drought,More severe or more likely to occur,"""Anthropogenic forcing has likely increased the likelihood of the May–June 2019 severe low precipitation event in southwestern China by approximately 6 (1.4) times based on the HADGEM3-GA6 (CMIP6) simulations.""",2021,"Lu, C. et al., 2021: Anthropogenic Influence on 2019 May–June Extremely Low Precipitation in Southwestern China [in “Explaining Extreme Events of 2019 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., DOI:10.1175/BAMS-D-20-0128.1",Bulletin of the American Meteorological Society,No,https://www.ametsoc.net/eee/2019/EEEin2019.pdf
