subcategory,rank,year,name,affiliation,title
Food-Related Columns,Nominee,2010,Colman Andrews,Gourmet,"Column: Good Living Restaurants: Veni Vedi Vetri,; It's Up to You, New York, New York,; Smoke and Miracles"
Food Blog,Nominee,2010,Hank Shaw,NA,NA
Food Blog,Nominee,2010,Alexandra Vallis,NA,NA
Food Blog,Nominee,2010,Daniel Maurer,NA,NA
Food Blog,Nominee,2010,Aileen Gallagher,NA,NA
Magazine Feature Writing About Restaurants and/or Chefs,Winner,2010,Anya Von Bremzen,Saveur,Soul of a City
"Writing on Sprits, Wine, or Beer",Winner,2010,Dara A Moskowitz Grumdahl,Minnesota Monthly,Chardonnay Uncorked
Magazine Feature Writing with Recipes,Winner,2010,Jon Reiner,Esquire,How Men Eat
"Writing on Sprits, Wine, or Beer",Nominee,2010,Lettie Teague,Food & Wine,Is GrÃ¼ner a Great Wine or a Groaner?
"Website focusing on Food, Restaurants, Beverage, or Nutrition",Nominee,2010,Tanya Wenman Steel,Epicurious.com,NA
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2010,James Oseland,Saveur.com,NA
"Reporting on Health, Environment or Nutrition",Nominee,2010,Monica Eng,Chicago Tribube,"Nacho Lunch? Yes, Every Day"
M.F.K. Fisher Distinguished Writing Award,Winner,2010,Francine Prose,Saveur,Faith and Bacon
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2010,Kevin Pang,Chicago Tribune,Plan D
"Reporting on Health, Environment or Nutrition",Winner,2010,Rowan Jacobsen,EatingWell,... Or Not to Bee
Multimedia Food Feature,Winner,2010,Kevin Pang,ChicagoTribune.com,The Cheeseburger Show
Newspaper Feature Writing,Winner,2010,Cliff Doerksen,Chicago Reader,The Real American Pie
Multimedia Food Feature,Nominee,2010,Robb Walsh,Houstonpress.com,Not So Clear Cut
Magazine Feature Writing without Recipes,Nominee,2010,Alan Richman,GQ,Hillbilly Truffle
Magazine Feature Writing with Recipes,Nominee,2010,Dana Bowen,Saveur,The Wonders of Ham
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2010,Alan Richman,GQ,American Pie
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2010,Francis Lam,Gourmet,The Last Chinese BBQ
Food Blog,Winner,2010,Ed Levine,NA,NA
Craig Claiborne Distinguished Criticism Award,Nominee,2010,Jason Sheehan,Westword,"White on White,; Wonderland,; Mourning"
"Writing on Sprits, Wine, or Beer",Winner,2010,Dara A Moskowitz Grumdahl,Minnesota Monthly,Chardonnay Uncorked
Restaurant Reviews,Nominee,2009,Tom Sietsema,The Washington Post,"Great Expectations,; Robo Restaurant,; An Earned Exclamation"
Reporting on Nutrition or Consumer Issues,Nominee,2009,Thomas Estabrook,Gourmet,Greens of Wrath
Reporting on Nutrition or Consumer Issues,Nominee,2009,Adam Platt,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Mark Adams,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Amanda Fortini,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Melissa Kirsch,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Josh Ozersky,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Rob Patronite,New York Magazine,What Good is Breakfast?
Reporting on Nutrition or Consumer Issues,Nominee,2009,Robin Raisfeld,New York Magazine,What Good is Breakfast?
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2009,Andrew Knowlton,Bonappetit.com,The BA Foodist
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2009,Hank Shaw,Honest-food.net,Hunter Angler Gardener Cook
Food-Related Columns,Nominee,2009,Dorie Greenspan,Bon AppÃ©tit,"Bacon-Cheddar Quick Bread,; All-Purpose Holiday Cake,; My Go-To Dough"
Food-Related Columns,Nominee,2009,Laura Shapiro,Gourmet.com,"Campaign Cookies,; Why Does America Hate Ratatouille,; The Lord Is My Chef"
"Writing on Sprits, Wine, or Beer",Nominee,2009,Jon Bonné,San Francisco Chronicle,Revolution by the Glass
"Writing on Sprits, Wine, or Beer",Nominee,2009,Jay McInerney,Men's Vogue,Billionaire Winos
"Website focusing on Food, Restaurants, Beverage, or Nutrition",Nominee,2009,Jane Goldman,chow.com,NA
Multimedia Food Feature,Nominee,2009,Mike Sula,The Whole Hog Project,NA
M.F.K. Fisher Distinguished Writing Award,Nominee,2009,Celia Barbour,"O, The Oprah Magazine","Knead, Pray, Love"
M.F.K. Fisher Distinguished Writing Award,Nominee,2009,Alan Richman,GQ,My Sweet Life
M.F.K. Fisher Distinguished Writing Award,Winner,2009,Aleksandra Crapanzano,Gourmet,Benedictions
Newspaper Food Section,Winner,2009,Joe Yonan,The Washington Post,NA
Personal Essay without Recipes,Nominee,2009,Monique Truong,Gourmet,My Cherry Amour
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2009,Anya Von Bremzen,Food & Wine,The Grilling Genius of Spain
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Rick LaFrentz,Oneblockdiet.sunset.com,Our One Block Diet
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Margaret Sloan,Oneblockdiet.sunset.com,Our One Block Diet
Newspaper Feature Writing without Recipes,Winner,2009,Kristen Hinman,Riverfront Times,The Pope of Pork
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Johanna Silver,Oneblockdiet.sunset.com,Our One Block Diet
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Erika Ehmsen,Oneblockdiet.sunset.com,Our One Block Diet
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Elizabeth Jardina,Oneblockdiet.sunset.com,Our One Block Diet
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Margo True,Oneblockdiet.sunset.com,Our One Block Diet
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Amy Machnak,Oneblockdiet.sunset.com,Our One Block Diet
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2009,Katy McLaughlin,The Wall Street Journal,Sushi Bullies
Food Related Columns,Winner,2009,Corby Kummer,The Atlantic,"A Papaya Grows in Holyoke,; Beyond the McIntosh,; Half a Loaf"
Restaurant Reviews,Winner,2009,Adam Platt,New York Magazine,"Faux French,; The Mario of Midtown,; Corton on Hudson"
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2009,Tanya Wenman Steel,Epicurious.com,NA
Magazine Feature Writing About Restaurants and/or Chefs,Winner,2009,Ruth Reichl,Gourmet,The Last Time I Saw Paris...
Reporting on Nutrition or Consumer Issues,Winner,2009,Rachael Moeller Gorman,EatingWell,How to Feed Your Mind
"Writing on Sprits, Wine, or Beer",Winner,2009,Alan Richman,GQ,Viva La Revolucion
Magazine Feature Writing without Recipes,Winner,2009,Alan Richman,GQ,Made (Better) in Japan
Newspaper Feature Writing with Recipes,Winner,2009,Rebekah Denn,Seattle Post-Intelligencer,High on Hairy Hogs: Super-Succulent Imports are Everything U.S. Pork Isn't
Multimedia Food Feature,Winner,2009,Ruth Reichl,Gourmet.com,The Test Kitchen
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2009,Monica Eng,Chicago Tribune,Big night. Big mystery. Why did Michael Carlson vanish the day after serving dinner to the greatest chefs in the world?
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2009,Philip Vettel,Chicago Tribune,Big night. Big mystery. Why did Michael Carlson vanish the day after serving dinner to the greatest chefs in the world?
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2009,Tom Sietsema,The Washington Post,Sound Check
Newspaper Feature Writing without Recipes,Nominee,2009,Monica Eng,Chicago Tribune,Morality Bites: Mustering Some Sympathy for the Bedeviled Ham and Beef
Newspaper Feature Writing without Recipes,Nominee,2009,Craig LaBan,The Philadelphia Inquirer,The Tender and the Tough
Newspaper Feature Writing with Recipes,Nominee,2009,David Leite,The New York Times,Perfection? Hint: It's Warm and Has a Secret
Newspaper Feature Writing with Recipes,Nominee,2009,Kathleen Purvis,The Charlotte Observer,The Belly of the Beast
Newspaper Food Section,Nominee,2009,Carol Mighton Haddix,Chicago Tribune,NA
Newspaper Food Section,Nominee,2009,Jon Bonné,San Francisco Chronicle,NA
Newspaper Food Section,Nominee,2009,Miriam Morgan,San Francisco Chronicle,NA
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2009,Alan Richman,Departures,Eating Small in New York
Magazine Feature Writing with Recipes,Winner,2009,Edna Lewis,Gourmet,What is Southern? (published posthumously)
Magazine Feature Writing with Recipes,Nominee,2009,David Dobbs,EatingWell,The Wild Salmon Debate: A Fresh Look at Whether Eating Farmed Salmon Is...Well...OK Recipes by John Ash
Magazine Feature Writing with Recipes,Nominee,2009,James Peterson,Saveur,Mother Sauce: The Ancient Art of Saucier Is Alive and Well in the Kitchens of Paris and Beyond
Magazine Feature Writing without Recipes,Nominee,2009,Patricia Sharpe,Texas Monthly,BBQ 08 (The Top 50 BBQ Joints in Texas)
Restaurant Reviews,Nominee,2009,Jonathan Gold,LA Weekly,"A Proper Brasserie,; A Fine Palate,; Pho Town"
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2008,Eliza Strickland,SF Weekly,Burnt Chefs
Reporting on Nutrition or Consumer Issues,Nominee,2008,Brandon Bailey,San Jose Mercury News,Where Does Your Food Really Come From?
Magazine Feature Writing About Restaurants and/or Chefs,Winner,2008,Howie Kahn,GQ,The Wandering Chef
Magazine Feature Writing without Recipes,Winner,2008,Manny Howard,New York Magazine,My Empire of Dirt
Newspaper Feature Writing with Recipes,Winner,2008,Katy McLaughlin,The Wall Street Journal,A New Taste Sensation
"Writing on Sprits, Wine, or Beer",Nominee,2008,"Lyn Farmer CSW, WSET",Wine News,"Something Old, Something New: A Global Thirst for Champagne Ushers in Refashioned Cuvees"
"Website focusing on Food, Restaurants, Beverage, or Nutrition",Nominee,2008,Antoinette F Bruno,Starchefs.com,NA
"Website focusing on Food, Restaurants, Beverage, or Nutrition",Nominee,2008,Jane Goldman,Chow.com,NA
Newspaper Feature Writing with Recipes,Nominee,2008,Ronni Lundy,Santa Fe New Mexican,At One with Bees
Newspaper Feature Writing with Recipes,Nominee,2008,Jill Wendholt Silva,The Kansas City Star,"Food Stamp Challenge: One Week, Four People and a Tight Budget"
Multi-Media Writing on Food,Nominee,2008,Sara Dickerman,Slate Magazine,A Chef's So-called Life: What Movies Get Right-and Wrong-About Life in the Kitchen
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2008,Dave Gardetta,Los Angeles Magazine,The 800th Plate
M.F.K. Fisher Distinguished Writing Award,Nominee,2008,Francine Prose,Saveur,Religion Found
Restaurant Reviews,Nominee,2008,Jason Sheehan,Westword,"Lost and Found,; Holiday,; After Dark"
"Writing on Sprits, Wine, or Beer",Winner,2008,David Darlington,Wine & Spirits Magazine,Postmodern Deliciousness: The World According to Clark Smith
M.F.K. Fisher Distinguished Writing Award,Winner,2008,Junot Diaz,Gourmet,He'll Take El Alto
Magazine Feature Writing without Recipes,Nominee,2008,Rob Patronite,New York Magazine,Cartography: The Complete Road Map to New York City Street Food
Magazine Feature Writing without Recipes,Nominee,2008,Michael Idov,New York Magazine,Cartography: The Complete Road Map to New York City Street Food
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2008,John Powers,Departures,Dim Sumptuous
"Writing on Sprits, Wine, or Beer",Nominee,2008,Richard Nalley,ForbesLife,Witchy Wines
Reporting on Nutrition or Consumer Issues,Nominee,2008,Sasha Chapman,Toronto Life,Sitting Ducks
Magazine Feature Writing with Recipes,Nominee,2008,Zakary Pelaccio,Food & Wine,An American Chef's Malaysian Love Story
Multi-Media Writing on Food,Nominee,2008,Natalie Maclean,NatalieMacLean.com,When Food FIghts with Wine
Food Related Columns,Nominee,2008,Anya Von Bremzen,Travel + Leisure,"Best New Restaurants 2007,; Tastes of Europe,; Viva la Tapa"
Restaurant Reviews,Winner,2008,Brad A. Johnson,Angeleno,"Hampton's,; Sona,; The Penthouse"
Food Related Columns,Nominee,2008,Julia M. Usher,Sauce Magazine,"Prep School (Braising: A Magical Transformation from Tough to Tender,; Quick-Process and Refrigerator Are Two Pickles You'll Want to Be In,; In the Game of Pate a Choux, the Classical Method Wins)"
M.F.K. Fisher Distinguished Writing Award,Nominee,2008,Alan Richman,GQ,The Seven Temples of the Food World
Restaurant Reviews,Nominee,2008,Colman Andrews,Gourmet,"Super Tuscan,; Next Mex,; Savoy Fare"
Magazine Feature Writing with Recipes,Nominee,2008,Barbara Kafka,Saveur,Toss and Serve
Magazine Feature Writing without Recipes,Nominee,2008,Emma Rosenblum,New York Magazine,Cartography: The Complete Road Map to New York City Street Food
Magazine Feature Writing without Recipes,Nominee,2008,Robin Raisfeld,New York Magazine,Cartography: The Complete Road Map to New York City Street Food
Magazine Feature Writing without Recipes,Nominee,2008,Alan Richman,GQ,Year of the Pig
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2008,Robb Walsh,Houston Press,Guess Who's Making Your Dinner?
Reporting on Nutrition or Consumer Issues,Winner,2008,Peter Jaret,EatingWell,The Search for the Anti-Aging Diet
Newspaper Feature Writing without Recipes,Nominee,2008,Fuchsia Dunlop,Financial Times,Blind Tasting
Multi-Media Writing on Food,Winner,2008,Josh Ozersky,NYMag.com,Grub Street
"Website focusing on Food, Restaurants, Beverage, or Nutrition",Winner,2008,Tanya Wenman Steel,Epicurious.com,NA
Newspaper Feature Writing without Recipes,Nominee,2008,Janet Rausa Fuller,Chicago Sun-Times,"Fish Fraud: The Menus Said Snapper, But It Wasn't!"
Multi-Media Writing on Food,Winner,2008,Daniel Maurer,NYMag.com,Grub Street
Newspaper Feature Writing without Recipes,Winner,2008,David Leite,The New York Times,"In a '64 T-Bird, Chasing a Date with a Clam"
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2008,Brett Anderson,The Times-Picayune,Landmark Decisions: A Five-Part Series Chronicling the Ruin and Restoration of a Classic New Orleans Restaurant
Food Related Columns,Winner,2008,Corby Kummer,The Atlantic,"The Rise of the Sardine,; The Art of Aging Well,; The Magic Brewing Machine"
Magazine Feature Writing with Recipes,Winner,2008,Betty Fussell,Saveur,American Prime
Newspaper Section,Winner,2007,Miriam Morgan,San Francisco Chronicle,NA
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2007,Katy McLaughlin,The Wall Street Journal,Gourmet Canned Cuisine
Newspaper Feature Writing with Recipes,Winner,2007,Janet Fletcher,San Francisco Chronicle,Bringing Duck Home
"Magazine Writing on Spirits, Wine & Beer",Winner,2007,Fiona Morrison MW,Wine & Spirits Magazine,Chambolle-Musigny
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Nominee,2007,Rachael Moeller Gorman,EatingWell Magazine,Miracle Up North: How the People of Finland Took a Healthy Message to Heart
"Newspaper Writing on Spirits, Wine & Beer",Winner,2007,Eric Felten,The Wall Street Journal,"He Drinks, She Drinks"
Newspaper Feature Writing without Recipes,Winner,2007,Elaine Cicora,Cleveland Scene,Soul Kitchen
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Winner,2007,Colleen Pierce RD,Child,Solving the Sugar Crisis
Newspaper or Magazine Restaurant Review or Critique,Nominee,2007,Patric Kuh,Los Angeles,"Beyond Sushi,; Small Order,; Beefed Up"
Newspaper Section,Nominee,2007,Carol Mighton Haddix,Chicago Tribune,NA
Magazine Feature with Recipes,Nominee,2007,Anya Von Bremzen,Saveur,Old-School Madrid
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2007,Barbara Yost,The Arizona Republic,Bringing a Restaurant to Life
Magazine Feature with Recipes,Winner,2007,Colman Andrews,Saveur,Ireland-From Farm to Fork
"Multimedia Writing on Food, Beverage, Restaurant, or Nutrition",Nominee,2007,Bill Daley,Chicago Tribune,Winter's Kiss
"Multimedia Writing on Food, Beverage, Restaurant, or Nutrition",Winner,2007,Ed Deitch,MSNBC.com/NBC Mobile,On the Trail of Great California Syrah
"Newspaper Writing on Spirits, Wine & Beer",Winner,2007,Dara A Moskowitz Grumdahl,City Pages (Minneapolis),Asked & Answered
"Magazine Writing on Spirits, Wine & Beer",Nominee,2007,John T. Edge,Gourmet,The Long View
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2007,David Leite,Leitesculinaria.com,NA
Newspaper or Magazine Restaurant Review or Critique,Nominee,2007,Brad A. Johnson,Angeleno: Modern Luxury,"Food Drink Review: Willshire,; Cut,; Katsuya"
Newspaper or Magazine Columns,Nominee,2007,Lettie Teague,Food & Wine,"Are the Wine Lists at Steak Houses Any Good?,; Secret Life of a Wine Salesman,; Are Super-Tuscans Still Super?"
Newspaper or Magazine Columns,Nominee,2007,John T. Edge,Atlanta Journal-Constitution,"The Pit and the Pendulum,; Roadside Renaissance,; Where Coconut Cake Meets Sweet Tea Pie"
Newspaper or Magazine Columns,Winner,2007,Dara A Moskowitz Grumdahl,City Pages (Minneapolis),"Take the Cannoli,; The Importance of Burgers,; Weirded Out by Wine"
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Winner,2007,Linda Avery,Leitesculinaria.com,NA
Magazine Feature About Restaurants and/or Chefs,Nominee,2007,Pete Wells,Food & Wine,New Era of the Recipe Burglar
Magazine Feature About Restaurants and/or Chefs,Winner,2007,James Villas,Saveur,Vive le Restaurant
M.F.K. Fisher Distinguished Writing Award,Nominee,2007,Monique Truong,Gourmet,American Like Me
M.F.K. Fisher Distinguished Writing Award,Nominee,2007,David Halberstam,Gourmet,The Boys of Saigon
"Multimedia Writing on Food, Beverage, Restaurant, or Nutrition",Nominee,2007,Monica Eng,Chicago Tribune,Mastering Ethiopia's Injera
Newspaper Section,Winner,2007,Jon Bonné,San Francisco Chronicle,NA
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2007,Tyler Colman,Dr. Vino's Wine Blog,NA
Magazine Feature without Recipes,Winner,2007,Scott Simon,Gourmet,Conflict Cuisine
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2007,Besha Rodell,Creative Loafing Atlanta,2006 Food Issue - From the Farm to Your Table
Newspaper Feature Writing with Recipes,Nominee,2007,John Kessler,Atlanta Journal-Constitution,"What Does Chinese Take-Out Have in Common with Tomatoes, Pizza, Parmesan and Also Sushi? - Umami"
"Website Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2007,Tanya Wenman Steel,Epicurious.com,NA
Newspaper or Magazine Restaurant Review or Critique,Winner,2007,Rebekah Denn,Seattle Post-Intelligencer,"Heads Up on Lovely Veil: Not One of the Best Yet,; We Went Trolling for the City's Best Crab Cakes,; Tiny Sitka and Spruce Makes a Big Splash"
Newspaper Section,Nominee,2007,Sheryl Julian,The Boston Globe,NA
Magazine Feature without Recipes,Nominee,2007,Robert Sietsema,Gourmet,Searching for the Innard Truth
"Magazine Writing on Spirits, Wine & Beer",Nominee,2007,Michael Greenberg,Departures,The Volcano Lovers
Magazine Feature Writing without Recipes,Nominee,2007,Gretchen Vanesselstyn,Chile Pepper,Tales from the Texas BBQ Trail
Magazine Feature Writing with Recipes,Nominee,2007,Nancy Coons,Saveur,Provence Noel
Magazine Feature Writing About Restaurants and/or Chefs,Nominee,2007,R.W. Apple,Departures,A Taste of South Africa
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2007,Adam Cayton-Holland,"Westword, Denver",Life of the Party
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Nominee,2007,Nicci Micco,EatingWell,These Supplements May Save Your Life ... Or Not
Newspaper Feature Writing without Recipes,Nominee,2007,Inara Verzemnieks,The Oregonian,A Cherry on Top
M.F.K. Fisher Distinguished Writing Award,Winner,2007,Jesse Katz,Los Angeles Magazine,Wheels of Fortune
Newspaper Feature Writing without Recipes,Nominee,2007,Gail Shepherd,New Times Broward/Palm Beach,Eat My Meat
Newspaper Feature Writing with Recipes,Nominee,2007,Stacy Finz,San Francisco Chronicle,Thanksgiving 101: Turkey Training Camp
Newspaper or Magazine Columns,Nominee,2006,Dara A Moskowitz Grumdahl,City Pages (Minneapolis),"Rustica Rising,; The Great Steak Hunt,; Sweet, Sweet Liberty"
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2006,Stephen Lemons,Phoenix New Times,Behind the Green Door
"Newspaper Writing on Spirits, Wine & Beer",Winner,2006,Dara A Moskowitz Grumdahl,City Pages (Minneapolis),Wine & Dine 2005: The World in a Bottle: New Tastes From the Old World
"Newspaper Section with Circulation 300,000 and Above",Winner,2006,Miriam Morgan,San Francisco Chronicle,NA
"Magazine Writing on Spirits, Wine & Beer",Nominee,2006,Maricel Presilla,Saveur,Mendoza Mountain High
Newspaper or Magazine Columns,Nominee,2006,Olivia Wu,San Francisco Chronicle,Seafood by the Season
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Nominee,2006,Allison Cleary,"EatingWell, The Magazine of Food and Health",Fast Road to Fat City: What Price All Those Cheap Burgers & Fries? Science Starts to Find the Unsettling Answers
Newspaper Restaurant Review or Critique,Nominee,2006,Jason Sheehan,Westword (Denver),"Girl Trouble,; Z Whiz,; Kokoro Bebop"
Newspaper Restaurant Review or Critique,Nominee,2006,Meridith Ford,Atlanta Journal-Constitution,"We Have Lift-Off; Find a Comfy Spot,; Enjoy the Getaway,; Stir Wars"
Newspaper Feature Writing without Recipes,Nominee,2006,Joel Warner,Westword (Denver),Mr. Big
Newspaper Feature Writing without Recipes,Nominee,2006,Beatriz Terrazas,The Dallas Morning News,Vanilla
Internet Website for Food,Nominee,2006,Tanya Wenman Steel,Epicurious.com,NA
"Internet Writing on Food, Restaurant, Beverage, or Nutrition",Nominee,2006,Michael Apstein,WineReviewOnline.com,"Reserve Wines Score, But at What Price?"
Newspaper Feature Writing with Recipes,Nominee,2006,Carol Ness,San Francisco Chronicle,Outstanding in His Field: Farmers Create a Market Niche for Eco-Friendly Heritage Meats
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2006,Bill Addison,Creative Loafing Atlanta,Hail to the Chefs: Eight Mouths of the South Who Elevate Regional Fare with True Grits
Newspaper Feature Writing with Recipes,Nominee,2006,Elizabeth Lee,Atlanta Journal Constitution,Going for Gold
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Nominee,2006,Rachael Moeller Gorman,"EatingWell, The Magazine of Food and Health",Faux Food: Where Have All Our Nutrients Gone?
Newspaper Restaurant Review or Critique,Winner,2006,Jonathan Gold,LA Weekly,"Great Balls o' Rice,; Raw Power,; The Revolutionary"
Magazine Restaurant Review or Critique,Nominee,2006,Caroline Bates,Gourmet Magazine,"Pier Review,; When Tokyo Met Lyon, or the Rise and Rise of Asian Fusion,; Vegas Double Time"
M.F.K. Fisher Distinguished Writing Award,Winner,2006,Jay McInerney,Departures,Will Alain Ducasse Take Over the World?
"Newspaper Section with Circulation 300,000 and Above",Nominee,2006,Carol Mighton Haddix,Chicago Tribune,NA
"Newspaper Section with Circulation 300,000 and Above",Nominee,2006,Lee S. Dean,Star Tribune (Minneapolis),NA
Magazine Restaurant Review or Critique,Winner,2006,Patric Kuh,Los Angeles Magazine,"In the Raw,; Steak Out,; Seaworld"
Magazine Feature without Recipes,Nominee,2006,Adam Sachs,Conde Nast Traveler,"A Nonstop, Unapologetically High-Calorie Foodie's Tour de France"
Magazine Restaurant Review or Critique,Nominee,2006,Alan Richman,GQ,"The 20 Hamburgers You Must Eat Before You Die,; The Mex Big Thing,; Puncturing the Michelin Myth"
M.F.K. Fisher Distinguished Writing Award,Nominee,2006,Nelson Handel,The Walrus,Frontiers of Flavour
"Newspaper Food Section with Circulation Under 300,000",Nominee,2006,Julie Kaufmann,San Jose Mercury News,NA
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2006,Brett Anderson,The Times-Picayune,The Natural
"Newspaper Food Section with Circulation Under 300,000",Winner,2006,Kristen Browning-Blas,The Denver Post,NA
"Newspaper Food Section with Circulation Under 300,000",Nominee,2006,Judy Evans,St. Louis Post-Dispatch,NA
Internet Website for Food,Nominee,2006,Alice Feiring,AliceFeiring.com,NA
"Newspaper Section with Circulation 300,000 and Above",Winner,2006,Linda Murphy,San Francisco Chronicle,NA
Internet Website for Food,Winner,2006,David Leite,Leitesculinaria.com,NA
Magazine Feature without Recipes,Winner,2006,Patricia Sharpe,Texas Monthly,Confessions of a Skinny Bitch
"Magazine Writing on Spirits, Wine & Beer",Nominee,2006,Sara Schneider,Sunset Magazine,Wild West Wine
Magazine Feature Writing without Recipes,Nominee,2006,Marshall Sella,New York,Does a Duck Have a Soul?
Magazine Feature Writing with Recipes,Nominee,2006,Karen Stabiner,Gourmet,Brisket Brought Us Together
Magazine Feature Writing with Recipes,Nominee,2006,Fuchsia Dunlop,Saveur,Sichuan Street Snacks
"Internet Writing on Food, Restaurant, Beverage, or Nutrition",Winner,2006,Sara Dickerman,Slate Magazine,Down with Gloves: Why Chefs Shouldn't Have to Wear Them
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2006,Robb Walsh,Houston Press,Mixing It Up
M.F.K. Fisher Distinguished Writing Award,Nominee,2006,Jack Hitt,Gourmet,Lowcountry Lowdown
"Internet Writing on Food, Restaurant, Beverage, or Nutrition",Nominee,2006,Michael Steinberger,Slate Magazine,Star Wars: Did Michelin Lower the Bar for New York?
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2006,Mark Caro,Chicago Tribune,Liver and Let Live
Newspaper Feature Writing without Recipes,Winner,2006,Kristen Hinman,Riverfront Times (St. Louis),Something Fishy
Newspaper or Magazine Reporting on Nutrition or Food-Related Consumer Issues,Winner,2006,Jonathan Kauffman,East Bay Express (San Francisco),Endangered Species
Internet Website for Food,Winner,2006,Linda Avery,Leitesculinaria.com,NA
Magazine Feature with Recipes,Winner,2006,Dorie Greenspan,Bon Appetit,When French Women Bake...
Newspaper Feature Writing with Recipes,Winner,2006,Carolynn Carreno,Los Angeles Times,"Cubism Makes a Comeback: In an Era of Slow Food You'd Be Surprised Who's Plopping Bouillon Cubes in Coq Au Vin, Chiles Rellenos or Even Sheep's Milk Ricotta Ravioli"
"Magazine Writing on Spirits, Wine & Beer",Winner,2006,Pete Wells,Food & Wine,A Cocktail Purist
Newspaper or Magazine Columns,Winner,2006,Pete Wells,Food & Wine,Always Hungry: Four Star Baby Food
Newspaper Feature Writing with Recipes,Nominee,2005,Robb Walsh,Houston Press,"Sex, Death, and Oysters"
Magazine Feature without Recipes,Nominee,2005,Ted Lee,Travel + Leisure,Napa Valley: Reconsidered
Newspaper Feature Writing with Recipes,Winner,2005,Kitty Crider,Austin American-Statesman,Anything for Mother: Remembering One February Morning with Mom and a Batch of Angel Biscuits
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2005,Rick Nelson,"Star Tribune, Minneapolis",Sweet Success
Magazine Feature without Recipes,Nominee,2005,Matt Lee,Travel + Leisure,"Napa Valley, Reconsidered"
Newspaper Restaurant Review or Critique,Winner,2005,Jonathan Gold,LA Weekly,"Beyond Urban Rustic,; Post-Puck Generation - Cooking in the Age of Anxiety,; Koreatown's Top 40"
Magazine Column,Winner,2005,Lettie Teague,Food & Wine,"Wine Matters - Educating Peter,; Educating Peter: Geography Class,; Educating Peter: The Rules of Pairing"
Magazine Restaurant Review or Critique,Winner,2005,Alan Richman,GQ,"The Restaurant Commandments,; The Thing That Ate New York,; Stick a Fork in Jan-Georges"
Newspaper Column,Winner,2005,Todd Kliman,Washington City Paper,"Auteur de Force,; Mex Appeal,; Kid You Not"
