year,title,series,anthology,format,number,novelization,setting,stardate_start,stardate_end,detailed_date,section,primary_entry_year,footnote
2366,The Hunted,TNG,NA,episode,NA,FALSE,primary,43489.2,NA,NA,NA,NA,NA
2366,Buying Time,SCE,NA,book,32,FALSE,secondary,NA,NA,NA,"Ch 4 Section 1, 5, 6 Section 3",2376,NA
2366,The High Ground,TNG,NA,episode,NA,FALSE,primary,43510.7,NA,NA,NA,NA,NA
2366,Déjà Q,TNG,NA,episode,NA,FALSE,primary,43539.1,NA,NA,NA,NA,NA
2366,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 11,2374,NA
2366,A Matter of Perspective,TNG,NA,episode,NA,FALSE,primary,43610.4,43611.6,NA,NA,NA,NA
2366,Performance Appraisal,NF,NL,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2366,Yesterday's Enterprise,TNG,NA,episode,NA,FALSE,primary,43625.2,NA,NA,NA,NA,NA
2366,Q-Squared,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Track C,2370,NA
2366,Q-In-Law,TNG,NA,book,18,FALSE,primary,NA,NA,NA,NA,NA,NA
2366,The Offspring,TNG,NA,episode,NA,FALSE,primary,43657,NA,NA,NA,NA,NA
2366,Fortune's Light,TNG,NA,book,15,FALSE,primary,NA,NA,NA,NA,NA,NA
2366,Sins of the Father,TNG,NA,episode,NA,FALSE,primary,43685.2,43689,NA,NA,NA,NA
2366,The Eyes of the Beholders,TNG,NA,book,13,FALSE,primary,NA,NA,September 16,NA,NA,243
2366,Allegiance,TNG,NA,episode,NA,FALSE,primary,43714.1,NA,NA,NA,NA,NA
2366,Captain's Holiday,TNG,NA,episode,NA,FALSE,primary,43745.2,NA,NA,NA,NA,NA
2366,Boogeymen,TNG,NA,book,17,FALSE,primary,43747.3,NA,NA,NA,NA,NA
2366,Tin Man,TNG,NA,episode,NA,FALSE,primary,43779.3,NA,NA,NA,NA,NA
2366,Hollow Pursuits,TNG,NA,episode,NA,FALSE,primary,43807.4,43808.2,NA,NA,NA,NA
2366,The Most Toys,TNG,NA,episode,NA,FALSE,primary,43872.2,NA,NA,NA,NA,NA
2366,Sarek,TNG,NA,episode,NA,FALSE,primary,43917.4,43920.7,NA,NA,NA,NA
2366,Federation,NA,NA,book,NA,FALSE,primary,43920.6,43924.1,NA,"Part One: Ch 3, 6, 9, 12, 15. Part Two: Ch 3, 6, 9, 12. Part Three: Ch 6, 8; 2065-[Part One: Ch 1. Part Four: Ch 1]; 2078-[Part One: Ch 4, 7, 10]; 2119-[Part One: Ch 13. Part Two: Ch 1]; 2267-[Part One: Ch 2, 5, 8, 11, 14. Part Two: Ch 2, 4-5, 7-8, 10-11. Part Three: Ch 7]; 2272-[Part Four: Ch 2]; 2293-[Prologue, Epilogue]; 2371-[Part Four: Ch 3]; t =; -[Part Three: Ch 1-5]; New Stardate; 2143.21.3-[Part Four: The Artifact]",NA,244
2366,Ménage à Troi,TNG,NA,episode,NA,FALSE,primary,43930.7,NA,NA,NA,NA,NA
2366,What Went Through Data's Mind 0.68 Seconds Before the Satellite Hit,TNG,SNW,book,NA,FALSE,primary,43945.4,NA,NA,NA,NA,245
2366,Contamination,TNG,NA,book,16,FALSE,primary,43951.6,NA,NA,NA,NA,246
2366,Transfigurations,TNG,NA,episode,NA,FALSE,primary,43957.2,43960.6,NA,NA,NA,NA
2366,The Best of Both Worlds,TNG,NA,episode,NA,FALSE,primary,43989.1,43993.5,NA,NA,NA,NA
2366,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,December 27,fifth entry,2353,247
2367,The Best of Both Worlds Part,TNG,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Star Trek: Borg,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Wolf 359 backstory,2377,248
2367,Emissary,DS9,NA,book,NA,TRUE,secondary,44002.3,NA,NA,Ch 1,2369,249
2367,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,January 2-7,"sixth, seventh entries",2353,250
2367,Civil Disobedience,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Family,TNG,NA,episode,NA,FALSE,primary,44012.3,NA,NA,NA,NA,NA
2367,Brothers,TNG,NA,episode,NA,FALSE,primary,44085.7,44091.1,NA,NA,NA,NA
2367,Suddenly Human,TNG,NA,episode,NA,FALSE,primary,44143.7,NA,NA,NA,NA,NA
2367,Reunion,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Remember Me,TNG,NA,episode,NA,FALSE,primary,44161.2,44162.8,NA,NA,NA,NA
2367,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,March 2,eighth entry,2353,251
2367,Legacy,TNG,NA,episode,NA,FALSE,primary,44215.2,44225.3,NA,NA,NA,NA
2367,Spartacus,TNG,NA,book,20,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Reunion,TNG,NA,episode,NA,FALSE,primary,44246.3,NA,NA,NA,NA,NA
2367,The Officers' Club,NA,CT,book,NA,FALSE,secondary,NA,NA,NA,Kira's story,2376,NA
2367,Future Imperfect,TNG,NA,episode,NA,FALSE,primary,44286.5,NA,NA,NA,NA,NA
2367,Perchance to Dream,TNG,NA,book,19,FALSE,primary,44295.7,NA,NA,NA,NA,252
2367,See Spot Run,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Final Mission,TNG,NA,episode,NA,FALSE,primary,44307.3,44307.6,NA,NA,NA,NA
2367,The Loss,TNG,NA,episode,NA,FALSE,primary,44356.9,NA,NA,NA,NA,NA
2367,Prodigal Son,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,253
2367,Flash Point,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,"""Flashnow,"" Jaros 2; 2347-[""Flashback""]; 2364-[""Flashthen""]",NA,NA
2367,Data's Day,TNG,NA,episode,NA,FALSE,primary,44390.1,NA,NA,NA,NA,NA
2367,Dark Mirror,TNG,NA,book,NA,FALSE,primary,44410.2,NA,NA,NA,NA,254
2367,Vendetta,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 2-30; 2326-[Ch 1],NA,255
2367,Of Cabbages and Kings,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,The Monkey Puzzle Box,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,The Wounded,TNG,NA,episode,NA,FALSE,primary,44429.6,NA,NA,NA,NA,NA
2367,Devil's Due,TNG,NA,episode,NA,FALSE,primary,44474.5,NA,NA,NA,NA,NA
2367,Clues,TNG,NA,episode,NA,FALSE,primary,44502.7,NA,NA,NA,NA,NA
2367,First Contact,TNG,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,July 15-29,ninth-twelfth entries,2353,NA
2367,Galaxy's Child,TNG,NA,episode,NA,FALSE,primary,44614.6,NA,NA,NA,NA,NA
2367,Night Terrors,TNG,NA,episode,NA,FALSE,primary,44631.2,44642.1,NA,NA,NA,NA
2367,Chains of Command,TNG,NA,book,21,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,Identity Crisis,TNG,NA,episode,NA,FALSE,primary,44664.5,44668.1,NA,NA,NA,NA
2367,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 4 Section 7-10,2374,NA
2367,The Nth Degree,TNG,NA,episode,NA,FALSE,primary,44704.2,44705.3,NA,NA,NA,NA
2367,Qpid,TNG,NA,episode,NA,FALSE,primary,44741.9,NA,NA,NA,NA,NA
2367,The Forgotten War,TNG,NA,book,57,FALSE,primary,NA,NA,NA,NA,NA,NA
2367,The Drumhead,TNG,NA,episode,NA,FALSE,primary,44769.2,NA,NA,NA,NA,NA
2367,Half a Life,TNG,NA,episode,NA,FALSE,primary,44805.3,44812.6,NA,NA,NA,NA
2367,The Host,TNG,NA,episode,NA,FALSE,primary,44821.3,44824.4,NA,NA,NA,NA
2367,Imbalance,TNG,NA,book,22,FALSE,primary,44839.2,NA,NA,NA,NA,NA
2367,Reflections,NA,TLOD,story,NA,FALSE,secondary,NA,NA,NA,Section 5,2372,NA
2367,The Mind's Eye,TNG,NA,episode,NA,FALSE,primary,44885.5,44896.9,NA,NA,NA,NA
2367,In Theory,TNG,NA,episode,NA,FALSE,primary,44923.3,44935.6,NA,NA,NA,NA
2367,Redemption,TNG,NA,episode,NA,FALSE,primary,44995.3,44998.3,NA,NA,NA,NA
2368,Redemption Part 2,TNG,NA,episode,NA,FALSE,primary,45020.4,45025.4,NA,NA,NA,NA
2368,The Fourth Toast,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,"Section 1, 3, 6-9, 11; 2344-[ Section 2, 4-5, 10]",NA,256
2368,Darmok,TNG,NA,episode,NA,FALSE,primary,45047.2,45048.8,NA,NA,NA,NA
2368,Ensign Ro,TNG,NA,episode,NA,FALSE,primary,45076.3,45077.8,NA,NA,NA,NA
2368,The Badlands,TNG,NA,book,NA,FALSE,primary,45091.4,NA,NA,NA,NA,257
2368,Silicon Avatar,TNG,NA,episode,NA,FALSE,primary,45122.3,45129.2,NA,NA,NA,NA
2368,Disaster,TNG,NA,episode,NA,FALSE,primary,45156.1,NA,NA,NA,NA,NA
2368,Wildfire Book 2,SCE,NA,book,24,FALSE,secondary,NA,NA,NA,Ch 8 Section 11,2376,NA
2368,Oil and Water,NF,NL,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,Singularity,NF,NL,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,The Game,TNG,NA,episode,NA,FALSE,primary,45208.2,45212.1,NA,NA,NA,NA
2368,Dementia in D Minor,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,Unification,TNG,NA,book,NA,TRUE,primary,45233.1,45245.8,NA,NA,NA,258
2368,Last Words,TNG,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 4 Section 11,2374,NA
2368,A Matter of Time,TNG,NA,episode,NA,FALSE,primary,45349.1,45351.9,NA,NA,NA,NA
2368,New Ground,TNG,NA,episode,NA,FALSE,primary,45376.3,NA,NA,NA,NA,NA
2368,Hero Worship,TNG,NA,episode,NA,FALSE,primary,45397.3,NA,NA,NA,NA,NA
2368,Violations,TNG,NA,episode,NA,FALSE,primary,45429.3,45435.8,NA,NA,NA,NA
2368,Star Trek: Klingon,NA,NA,book,NA,TRUE,secondary,NA,NA,NA,"Ch 2 Section 2, 4, 5 Section 2, 4, 6 Section 2, 4, 6, 7 Section 3, 9 Section 3, 5, 7, 9, 10 Section 3, 5, 11 Section 3, 5, 7, 9, 13 Section 3, 5, 19 Section 2, 4",2370,NA
2368,The Masterpiece Society,TNG,NA,episode,NA,FALSE,primary,45470.1,NA,NA,NA,NA,NA
2368,Conundrum,TNG,NA,episode,NA,FALSE,primary,45494.2,NA,NA,NA,NA,NA
2368,Kristin's Conundrum,TNG,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,259
2368,Efflorescence,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,Imzadi,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 7-10, 33, 37-43; 2359-[Ch 11-31]; 2364-[Ch 32]; 2408-[Ch 1-6, Epilogue, 34-36, 44]",NA,NA
2368,The Last Stand,TNG,NA,book,37,FALSE,primary,45523.6,NA,NA,NA,NA,NA
2368,Power Play,TNG,NA,episode,NA,FALSE,primary,45571.2,45572.1,NA,NA,NA,NA
2368,Ethics,TNG,NA,episode,NA,FALSE,primary,45587.3,NA,NA,NA,NA,NA
2368,The Outcast,TNG,NA,episode,NA,FALSE,primary,45614.6,45620.4,NA,NA,NA,NA
2368,War Drums,TNG,NA,book,23,FALSE,primary,NA,NA,NA,NA,NA,260
2368,Nightshade,TNG,NA,book,24,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,Part Two: Ch 20. Part Three: Ch 1,2376,NA
2368,Cause and Effect,TNG,NA,episode,NA,FALSE,primary,45652.1,NA,NA,NA,NA,NA
2368,Ship of the Line,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 6-7,2372,NA
2368,The First Duty,TNG,NA,episode,NA,FALSE,primary,45703.9,NA,NA,NA,NA,NA
2368,Cost of Living,TNG,NA,episode,NA,FALSE,primary,45733.6,NA,NA,NA,NA,NA
2368,Future Shock,TNG,SNW,story,NA,FALSE,primary,NA,NA,September 24,"first entry; March 3, 2369-second entry; March 10, 2369-third entry; March 17, 2369-fourth entry; March 24, 2369-fifth entry; March 30, 2369-sixth entry; April 6, 2369-seventh entry; April 13, 2369-eighth entry; April 20, 2369-ninth entry; April 27, 2369-tenth entry; May 3, 2369-eleventh entry; May 10, 2369-twelfth entry; May 27, 2369-thirteenth entry; June 10, 2369-fourteenth entry; January 24, 2370-fifteenth entry; May 7, 2370-final entry",NA,261
2368,Sins of Commission,TNG,NA,book,29,FALSE,primary,NA,NA,NA,NA,NA,262
2368,The Perfect Mate,TNG,NA,episode,NA,FALSE,primary,45761.3,45766.1,NA,NA,NA,NA
2368,Imaginary Friend,TNG,NA,episode,NA,FALSE,primary,45852.1,NA,NA,NA,NA,NA
2368,"I, Borg",TNG,NA,episode,NA,FALSE,primary,45854.2,NA,NA,NA,NA,NA
2368,The Shoulders of Giants,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Three: Nyda,2465,NA
2368,The Devil's Heart,TNG,NA,book,NA,FALSE,primary,45873.3,45873.6,NA,c. AD 200-[Ch 13],NA,NA
2368,The Next Phase,TNG,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,The Romulan Prize,TNG,NA,book,26,FALSE,primary,NA,NA,NA,NA,NA,NA
2368,Grounded,TNG,NA,book,25,FALSE,primary,45923.4,NA,NA,NA,NA,263
2368,The Inner Light,TNG,NA,episode,NA,FALSE,primary,45944.1,NA,NA,NA,NA,NA
2368,The Promise,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,264
2368,Time's Arrow,TNG,NA,episode,NA,FALSE,primary,45959.1,45965.3,NA,NA,NA,NA
2369,Time's Arrow Part 2,TNG,NA,episode,NA,FALSE,primary,46001.3,NA,NA,NA,NA,NA
2369,The Best and the Brightest,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,"""Year One,"" Ch 1-3; 2370-[""Year Two,"" Ch 4-6]; 2371-[""Year Three,"" Ch 7-9]; 2371-[""Summer,"" Prologue, Ch 10-11]; 2371-[""Year Four,"" Ch 12, Epilogue]",NA,NA
2369,Realm of Fear,TNG,NA,episode,NA,FALSE,primary,46041.1,46043.6,NA,NA,NA,NA
2369,Man of the People,TNG,NA,episode,NA,FALSE,primary,46071.6,46075.1,NA,NA,NA,NA
2369,Calculated Risk,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Relics,TNG,NA,book,NA,TRUE,primary,46125.3,NA,NA,2294-[Prologue],NA,NA
2369,Engines of Destiny,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 3,2370,265
2369,Schisms,TNG,NA,episode,NA,FALSE,primary,46154.2,46191.2,NA,NA,NA,NA
2369,Here There Be Dragons,TNG,NA,book,28,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,March 3-10,"second, third entries",2368,266
2369,True Q,TNG,NA,episode,NA,FALSE,primary,46192.3,46193.8,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,March 17-24,"fourth, fifth entries",2368,267
2369,Rascals,TNG,NA,episode,NA,FALSE,primary,46235.7,46236.3,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,March 30 to April 6,"sixth, seventh entries",2368,268
2369,A Fistful of Datas,TNG,NA,episode,NA,FALSE,primary,46271.5,46278.3,NA,NA,NA,NA
2369,On the Scent of Trouble,TNG,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,April 13-20,"eighth, ninth entries",2368,269
2369,A Fury Scorned,TNG,NA,book,43,FALSE,primary,46300.6,NA,NA,NA,NA,NA
2369,The Quality of Life,TNG,NA,episode,NA,FALSE,primary,46307.2,46317.8,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,April 27-May 10,tenth-twelfth entries,2368,270
2369,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,"Part Three: Ch 3, 5",2376,NA
2369,Millennium Book 3: Inferno,DS9,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 9 Section 2, 10 Section 2, 12 Section 1, 13 Section 2, 14 Section 2, 15, 17 Section 1, 18 Section 1, 19 Section 2, 21 Section 1, 22 Section 1, 23 Section 1, 24 Section 1, 25, 26 Section 1",2374,271
2369,Millennium Book 1: The Fall of Terok Nor,DS9,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 1,2374,NA
2369,Debtors' Planet,TNG,NA,book,30,FALSE,primary,NA,NA,NA,NA,NA,272
2369,Chain of Command Part 1,TNG,NA,episode,NA,FALSE,primary,46357.4,46358.2,NA,NA,NA,NA
2369,Chain of Command Part 2,TNG,NA,episode,NA,FALSE,primary,46360.8,NA,NA,NA,NA,NA
2369,The Captain's Table 5: Once Burned,NF,NA,book,NA,FALSE,secondary,NA,NA,NA,"""The Interview"" to ""The Hearing""",2374,273
2369,Emissary,DS9,NA,book,NA,TRUE,primary,46379.1,46393.1,NA,Ch 2-12; 2367-[Ch 1],NA,NA
2369,Ha'MARA,DS9,PAC,book,NA,FALSE,primary,NA,NA,NA,NA,NA,274
2369,Fabrications,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Past Prologue,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,May 27,thirteenth entry,2368,275
2369,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 12,2374,NA
2369,Guises of the Mind,TNG,NA,book,27,FALSE,primary,46401.9,NA,NA,Late 2369-[Epilogue],NA,276
2369,A Man Alone,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 13-14,2374,NA
2369,Ship in a Bottle,TNG,NA,episode,NA,FALSE,primary,46424.1,NA,NA,NA,NA,NA
2369,Babel,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,June 10,fourteenth entry,2368,277
2369,Aquiel,TNG,NA,episode,NA,FALSE,primary,46461.3,NA,NA,NA,NA,NA
2369,Captive Pursuit,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,The Siege,DS9,NA,book,2,FALSE,primary,NA,NA,NA,NA,NA,278
2369,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 8 Section 15, 10 Section 6-8",2374,NA
2369,Face of the Enemy,TNG,NA,episode,NA,FALSE,primary,46519.1,NA,NA,NA,NA,NA
2369,Q-Less,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Tapestry,TNG,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,'Q'uandry,NF,NL,book,NA,FALSE,primary,NA,NA,NA,Section 2-4; 2364-[ Section 1],NA,279
2369,Dax,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Seven of Nine,VOY,NA,book,16,FALSE,secondary,NA,NA,NA,Prologue,2375,NA
2369,Birthright Part 1,TNG,NA,episode,NA,FALSE,primary,46578.4,NA,NA,NA,NA,NA
2369,The Passenger,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Birthright Part 2,TNG,NA,episode,NA,FALSE,primary,46579.2,NA,NA,NA,NA,NA
2369,The Star Ghost,DS9,YA,book,1,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Move Along Home,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Buying Time,SCE,NA,book,32,FALSE,secondary,NA,NA,NA,"Ch 6 Section 3, 7 Section 2",2376,NA
2369,The Nagus,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Starship Mine,TNG,NA,episode,NA,FALSE,primary,46682.4,NA,NA,NA,NA,NA
2369,The Death of Princes,TNG,NA,book,44,FALSE,primary,NA,NA,NA,NA,NA,280
2369,Lessons,TNG,NA,episode,NA,FALSE,primary,46693.1,46697.2,NA,NA,NA,NA
2369,Vortex,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Double Helix 3: Red Sector,TNG,NA,book,53,FALSE,primary,NA,NA,NA,Ch 11-25; 2353-[Ch 1-6]; 2357-[Ch 7-10],NA,NA
2369,The Chase,TNG,NA,episode,NA,FALSE,primary,46731.5,46735.2,NA,NA,NA,NA
2369,Bloodletter,DS9,NA,book,3,FALSE,primary,NA,NA,NA,NA,NA,281
2369,Battle Lines,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Frame of Mind,TNG,NA,episode,NA,FALSE,primary,46778.1,NA,NA,NA,NA,NA
2369,To Storm Heaven,TNG,NA,book,46,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Dark Passions,ST,NA,book,NA,FALSE,primary,46722.4,NA,NA,NA,NA,282
2369,The Storyteller,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Suspicions,TNG,NA,episode,NA,FALSE,primary,46830.1,46831.2,NA,NA,NA,NA
2369,Double Helix 5: Double Or Nothing,TNG,NA,book,55,FALSE,secondary,NA,NA,NA,Seven Years Earlier,2375,NA
2369,Progress,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Rightful Heir,TNG,NA,episode,NA,FALSE,primary,46852.2,NA,NA,NA,NA,NA
2369,Warped,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,283
2369,If Wishes Were Horses,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 15-17,2374,NA
2369,The Romulan Stratagem,TNG,NA,book,35,FALSE,primary,46892.6,NA,NA,NA,NA,NA
2369,Guises of the Mind,TNG,NA,book,27,FALSE,primary,NA,NA,NA,Epilogue,NA,NA
2369,Second Chances,TNG,NA,episode,NA,FALSE,primary,46915.2,46920.1,NA,NA,NA,NA
2369,A Rolling Stone Gathers No Nanoprobes,TNG,NA,book,NA,FALSE,primary,46918.6,NA,NA,NA,NA,NA
2369,Foreign Foes,TNG,NA,book,31,FALSE,primary,46921.3,NA,NA,NA,NA,284
2369,The Forsaken,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Stowaways,DS9,YA,book,2,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Dramatis Personae,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Requiem,TNG,NA,book,32,FALSE,primary,46931.2,NA,NA,"Ch 1-2, 3 Section 2, 4, 4 Section 2, 5 Section 1-2, 6 Section 2, 4, 7 Section 2, 4, 8 Section 2, 4-5, 9 Section 1-3, 10 Section 2-4, Epilogue; 2267-[Ch 3 Section 1, 3, 5, 4 Section 1, 3, 5 Section 3-4, 6 Section 1, 3, 7 Section 1, 3, 8 Section 1, 3, 6, 9 Section 2, 10 Section 1, 3]; 2345-[Prologue]",NA,285
2369,Timescape,TNG,NA,episode,NA,FALSE,primary,46944.2,46945.3,NA,NA,NA,NA
2369,Duet,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Progress,SCE,NA,book,61,FALSE,secondary,NA,NA,NA,Main story,2377,NA
2369,The Farewell Gift,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2369,Descent,TNG,NA,book,NA,TRUE,primary,46982.1,47025.4,NA,NA,NA,286
2369,In the Hands of the Prophets,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Warchild,DS9,NA,book,7,FALSE,primary,NA,NA,NA,NA,NA,287
2370,Valhalla,DS9,NA,book,10,FALSE,primary,NA,NA,NA,NA,NA,288
2370,Engines of Destiny,ST,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 4-7, 29; 2293-[Ch 1]; 2294-[Ch 2]; 2369-[Ch 3]; 2293-[Ch 8-28]",NA,NA
2370,Betrayal,DS9,NA,book,6,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Future Shock,TNG,SNW,story,NA,FALSE,secondary,NA,NA,January 24,fifteenth entry,2368,NA
2370,Liaisons,TNG,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,The Homecoming,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Interface,TNG,NA,episode,NA,FALSE,primary,47215.5,NA,NA,NA,NA,NA
2370,Blaze of Glory,TNG,NA,book,34,FALSE,primary,NA,NA,NA,NA,NA,289
2370,The Circle,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,The Big Game,DS9,NA,book,4,FALSE,primary,NA,NA,NA,NA,NA,290
2370,Gambit Part 1,TNG,NA,episode,NA,FALSE,primary,47135.2,NA,NA,NA,NA,NA
2370,The Siege,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Gambit Part 2,TNG,NA,episode,NA,FALSE,primary,47160.1,47169.2,NA,NA,NA,NA
2370,Invasive Procedures,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Prisoners of Peace,DS9,YA,book,3,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Phantasms,TNG,NA,episode,NA,FALSE,primary,47225.7,NA,NA,NA,NA,NA
2370,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 6 Section 8-10,2374,NA
2370,Cardassians,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Dark Page,TNG,NA,episode,NA,FALSE,primary,47254.1,NA,NA,NA,NA,NA
2370,Melora,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Star Trek: Klingon,NA,NA,book,NA,TRUE,primary,NA,NA,NA,"2368-[Ch 2 Section 2, 4, 5 Section 2, 4, 6 Section 2, 4, 6, 7 Section 3, 9 Section 3, 5, 7, 9, 10 Section 3, 5, 11 Section 3, 5, 7, 9, 13 Section 3, 5, 19 Section 2, 4]",NA,291
2370,Attached,TNG,NA,episode,NA,FALSE,primary,47304.2,NA,NA,NA,NA,NA
2370,Possession,TNG,NA,book,40,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Rules of Acquisition,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2370,Fallen Heroes,DS9,NA,book,5,FALSE,primary,47237.8,NA,NA,NA,NA,292
2370,Force of Nature,TNG,NA,episode,NA,FALSE,primary,47310.2,47314.5,NA,NA,NA,NA
2370,Embrace the Wolf,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
