name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"Gaines, Thurston L., Jr.",Gaines,"Thurston L., Jr.",1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Freeport,NY,NA,0,NA,NA,NA,NA
"Gaiter, Roger B.",Gaiter,Roger B.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Seaside Heights,NJ,NA,0,NA,NA,NA,NA
"Gallwey, James H.",Gallwey,James H.,1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Owego,NY,NA,0,NA,NA,NA,NA
"Gamble, Howard C.",Gamble,Howard C.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Charleston,WV,NA,0,NA,NA,NA,NA
"Gant, Morris E.",Gant,Morris E.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Garrett, Alfred E., Jr.",Garrett,"Alfred E., Jr.",1945-10-16T00:00:00Z,Flight Officer,SE-45-G,TAAF,Single engine,Fort Worth,TX,NA,0,NA,NA,NA,NA
"Garrison, Robert E., Jr.",Garrison,"Robert E., Jr.",1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Columbus,OH,NA,0,NA,NA,NA,NA
"Gash, Joseph E.",Gash,Joseph E.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Denver,CO,NA,0,NA,NA,NA,NA
"Gaskins, Aaron C.",Gaskins,Aaron C.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,Hartford,CT,NA,0,NA,NA,NA,NA
"Gay, Thomas L.",Gay,Thomas L.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Gibson, John A.",Gibson,John A.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Giles, Ivie V.",Giles,Ivie V.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Kansas City,KS,NA,0,NA,NA,NA,NA
"Gilliam, William L.",Gilliam,William L.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Givings, Clemenceau M.",Givings,Clemenceau M.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Richmond,VA,NA,0,NA,NA,NA,NA
"Gladden, Thomas",Gladden,Thomas,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Glass, Robert M.",Glass,Robert M.,1944-10-16T00:00:00Z,Flight Officer,SE-44-I-1,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Gleed, Edward C.",Gleed,Edward C.,1942-12-13T00:00:00Z,2nd Lt,SE-42-K,TAAF,Single engine,Lawrence,KS,"Downed 2 Fw-190s on July 27, 1944",2,NA,NA,NA,NA
"Glenn, Joshua",Glenn,Joshua,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Newark,NJ,NA,0,NA,NA,NA,NA
"Goins, Nathaniel W.",Goins,Nathaniel W.,1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,St. Paul,MN,NA,0,NA,NA,NA,NA
"Golden, Newman C.",Golden,Newman C.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Cincinnatti,OH,NA,0,NA,NA,NA,NA
"Goldsborough, Ernest W.",Goldsborough,Ernest W.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Glen Mills,PA,NA,0,NA,NA,NA,NA
"Goldsby, Charles S.",Goldsby,Charles S.,1945-03-11T00:00:00Z,Flight Officer,TE-45-A,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Gomer, Joseph P.",Gomer,Joseph P.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Iowa Falls,IA,NA,0,NA,NA,NA,NA
"Goodall, Ollie O., Jr.",Goodall,"Ollie O., Jr.",1944-02-01T00:00:00Z,Flight Officer,TE-44-K,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Goodenough, Purnell J.",Goodenough,Purnell J.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Goodwin, Luther A.",Goodwin,Luther A.,1944-09-08T00:00:00Z,1st Lt,TE-44-H,TAAF,Twin engine,Bakersfield,CA,NA,0,NA,NA,NA,NA
"Gordon, Elmer A.",Gordon,Elmer A.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Portsmouth,VA,NA,0,NA,NA,NA,NA
"Gordon, Joseph E.",Gordon,Joseph E.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Gordon, Robert A.",Gordon,Robert A.,NA,Flight Officer,NA,TAAF,Service pilot,Troy,OH,NA,0,NA,NA,NA,NA
"Gordon, William M.",Gordon,William M.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Mobile,AL,NA,0,NA,NA,NA,NA
"Gorham, Alfred M.",Gorham,Alfred M.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Waukesha,WI,"Downed 2 Fw-190s on July 27, 1944",2,NA,NA,NA,NA
"Gould, Cornelius P., Jr.",Gould,"Cornelius P., Jr.",1944-02-08T00:00:00Z,Flight Officer,SE-44-B,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Govan, Claude B.",Govan,Claude B.,1943-02-16T00:00:00Z,2nd Lt,SE-43-B,TAAF,Single engine,Newark,NJ,"Downed 1 Me-109 on July 27, 1944",1,NA,NA,NA,NA
"Grant, Arnold D.",Grant,Arnold D.,1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Coffeyville,KS,NA,0,NA,NA,NA,NA
"Gray, Elliott H.",Gray,Elliott H.,1945-09-08T00:00:00Z,Flight Officer,SE-45-F,TAAF,Single engine,Tuskegee Inst.,AL,NA,0,NA,NA,NA,NA
"Gray, George E.",Gray,George E.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Hemphill,WV,NA,0,NA,NA,NA,NA
"Gray, Leo R.",Gray,Leo R.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Roxbury,MA,NA,0,NA,NA,NA,NA
"Green, James L.",Green,James L.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Green, Paul L.",Green,Paul L.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Xenia,OH,NA,0,NA,NA,NA,NA
"Green, Smith W.",Green,Smith W.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Green, William W., Jr.",Green,"William W., Jr.",1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Staunton,VA,"Downed 1 MA-202 on July 16, 1944; Downed 1 He-111 on October 12, 1944",2,NA,NA,NA,NA
"Greenlee, George B., Jr.",Greenlee,"George B., Jr.",1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Greenwell, Jacob W.",Greenwell,Jacob W.,1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Fort Worth,TX,NA,0,NA,NA,NA,NA
"Greer, James W.",Greer,James W.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Griffin, Frank",Griffin,Frank,1946-01-29T00:00:00Z,Flight Officer,SE-45-I,TAAF,Single engine,Asbury Park,NJ,NA,0,NA,NA,NA,NA
"Griffin, Jerrold D.",Griffin,Jerrold D.,1945-08-04T00:00:00Z,2nd Lt,TE-45-E,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Griffin, William E.",Griffin,William E.,1943-02-16T00:00:00Z,2nd Lt,SE-43-B,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Groves, Weldon K.",Groves,Weldon K.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Edwardsville,KS,"Downed 1 Me-109 on July 18, 1944",1,NA,NA,NA,https://cafriseabove.org/weldon-k-groves/
"Guilbaud, Eberle J.",Guilbaud,Eberle J.,1944-04-15T00:00:00Z,N/A,TE-44-D,TAAF,Twin engine,Port au Prince,HT,NA,0,NA,NA,NA,NA
"Guyton, Eugene L.",Guyton,Eugene L.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Haley, George",Haley,George,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Bath,NY,NA,0,NA,NA,NA,NA
"Hall, Charles B.",Hall,Charles B.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Brazil,IN,"Downed 1 Fw-190 on July 2, 1943; Downed 1 Fw-190 and 1 Me-109 on January 28, 1944",3,NA,NA,NA,NA
"Hall, James L., Jr.",Hall,"James L., Jr.",1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Washington,DC,"Downed 1 Me-109 on March 31, 1945",1,NA,NA,NA,NA
"Hall, Leander A., Jr.",Hall,"Leander A., Jr.",1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Mobile,AL,NA,0,NA,NA,NA,NA
"Hall, Leonard C., Jr.",Hall,"Leonard C., Jr.",1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Hall, Milton T.",Hall,Milton T.,1942-12-13T00:00:00Z,2nd Lt,SE-42-K,TAAF,Single engine,Owensboro,KY,NA,0,NA,NA,NA,NA
"Hall, Richard W.",Hall,Richard W.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Albany,GA,"Downed 1 Me-109 on July 27, 1944",1,NA,NA,NA,NA
"Hamilton, John L.",Hamilton,John L.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Greenwood,MS,NA,0,NA,NA,NA,NA
"Hancock, Victor",Hancock,Victor,1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Hanks, Louis K.",Hanks,Louis K.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Toledo,OH,NA,0,NA,NA,NA,NA
"Harden, Argonne F.",Harden,Argonne F.,1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Philadelpha,PA,NA,0,NA,NA,NA,NA
"Harder, Richard S.",Harder,Richard S.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Hardy, Bennett G.",Hardy,Bennett G.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Kokomo,IN,NA,0,NA,NA,NA,NA
"Hardy, Ferdinand Albert",Hardy,Ferdinand Albert,1946-05-14T00:00:00Z,Unk,TE-46-B,TAAF,Twin engine,NA,NA,NA,0,NA,NA,NA,NA
"Hardy, George E.",Hardy,George E.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Harmon, Arthur C.",Harmon,Arthur C.,1945-10-16T00:00:00Z,2nd Lt,TE-45-G,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Harper, Samuel W.",Harper,Samuel W.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Oliver Springs,TN,NA,0,NA,NA,NA,NA
"Harris, Alfonso L.",Harris,Alfonso L.,1945-10-16T00:00:00Z,Flight Officer,SE-45-G,TAAF,Single engine,Dallas,TX,NA,0,NA,NA,NA,NA
"Harris, Archie H., Jr.",Harris,"Archie H., Jr.",1944-02-01T00:00:00Z,2nd Lt,TE-44-K,TAAF,Twin engine,Ocean City,NJ,NA,0,NA,NA,NA,NA
"Harris, Bernard",Harris,Bernard,1944-11-20T00:00:00Z,2nd Lt,TE-44-I,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Harris, Cassius",Harris,Cassius,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Harris, Edward",Harris,Edward,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Harris, Herbert S.",Harris,Herbert S.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Harris, James E.",Harris,James E.,1944-12-28T00:00:00Z,2nd Lt,SE-44-J,TAAF,Single engine,Xenia,OH,NA,0,NA,NA,NA,NA
"Harris, John S.",Harris,John S.,1945-08-04T00:00:00Z,2nd Lt,TE-45-E,TAAF,Twin engine,Richmond,KY,NA,0,NA,NA,NA,NA
"Harris, Maceo A., Jr.",Harris,"Maceo A., Jr.",1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Boston,MA,NA,0,NA,NA,NA,NA
"Harris, Richard H.",Harris,Richard H.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Montgomery,AL,NA,0,NA,NA,NA,NA
"Harris, Stanley L.",Harris,Stanley L.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,St. Paul,MN,NA,0,NA,NA,NA,NA
"Harris, Thomas D., Jr.",Harris,"Thomas D., Jr.",1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Harrison, Alvin E., Jr.",Harrison,"Alvin E., Jr.",1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Harrison, James E.",Harrison,James E.,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Texarkana,TX,NA,0,NA,NA,NA,NA
"Harrison, John L., Jr.",Harrison,"John L., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Omaha,NE,NA,0,NA,NA,NA,NA
"Harrison, Lonnie",Harrison,Lonnie,1945-10-16T00:00:00Z,Flight Officer,TE-45-G,TAAF,Twin engine,Huston,LA,NA,0,NA,NA,NA,NA
"Harvey, James H.",Harvey,James H.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Mountain Top,PA,NA,0,NA,NA,NA,https://cafriseabove.org/james-h-harvey-iii/
"Hatchcock, Lloyd S.",Hatchcock,Lloyd S.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Dayton,OH,NA,0,NA,NA,NA,NA
"Hawkins, Donald A.",Hawkins,Donald A.,1944-11-20T00:00:00Z,Flight Officer,TE-44-I,TAAF,Twin engine,San Bernardino,CA,NA,0,NA,NA,NA,NA
"Hawkins, Kenneth R.",Hawkins,Kenneth R.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,San Bernardino,CA,NA,0,NA,NA,NA,NA
"Hawkins, Thomas L.",Hawkins,Thomas L.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Glen Rock,NJ,NA,0,NA,NA,NA,https://cafriseabove.org/thomas-hawkins/
"Hayes, Lee Archer",Hayes,Lee Archer,1946-01-29T00:00:00Z,Flight Officer,TE-45-I,TAAF,Twin engine,East Hampton,NY,NA,0,NA,NA,NA,NA
"Hayes, Reginald W.",Hayes,Reginald W.,1944-03-12T00:00:00Z,2nd Lt,TE-44-C,TAAF,Twin engine,Holicong,PA,NA,0,NA,NA,NA,NA
"Hays, George K.",Hays,George K.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Hays, Milton S.",Hays,Milton S.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Haywood, Vernon V.",Haywood,Vernon V.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Raleigh,NC,NA,0,NA,NA,NA,https://cafriseabove.org/vernon-v-haywood/
"Heath, Percy L., Jr.",Heath,"Percy L., Jr.",1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Helem, George W.",Helem,George W.,1945-05-23T00:00:00Z,2nd Lt,SE-45-C,TAAF,Single engine,Reidsville,NC,NA,0,NA,NA,NA,https://cafriseabove.org/george-washington-helem/
"Henderson, Eugene R.",Henderson,Eugene R.,1944-11-20T00:00:00Z,2nd Lt,TE-44-I,TAAF,Twin engine,Jacksonvile,FL,NA,0,NA,NA,NA,NA
"Henry, Milton R.",Henry,Milton R.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Henry, Warren E.",Henry,Warren E.,1944-09-08T00:00:00Z,2nd Lt,TE-44-H,TAAF,Twin engine,Plainfield,NJ,NA,0,NA,NA,NA,NA
"Henry, William T.",Henry,William T.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Henson, James W.",Henson,James W.,1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Herrington, Arron",Herrington,Arron,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Raleigh,NC,NA,0,NA,NA,NA,NA
"Herron, Walter E.",Herron,Walter E.,1944-12-28T00:00:00Z,1st Lt,TE-44-J,TAAF,Twin engine,Memphis,TN,NA,0,NA,NA,NA,NA
"Hervey, Henry P., Jr.",Hervey,"Henry P., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Heywood, Herbert H.",Heywood,Herbert H.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,St. Croix,VI,NA,0,NA,NA,NA,NA
"Hicks, Arthur N.",Hicks,Arthur N.,1945-05-23T00:00:00Z,2nd Lt,SE-45-C,TAAF,Single engine,Dayton,OH,NA,0,NA,NA,NA,NA
"Hicks, Frederick P.",Hicks,Frederick P.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,San Francisco,CA,NA,0,NA,NA,NA,NA
"Higginbotham, Mitchell L.",Higginbotham,Mitchell L.,1944-02-01T00:00:00Z,2nd Lt,TE-44-K,TAAF,Twin engine,Sewickley,PA,NA,0,NA,NA,NA,NA
"Highbaugh, Earl B.",Highbaugh,Earl B.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Highbaugh, Richard B.",Highbaugh,Richard B.,1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Hill, Charles A., Jr.",Hill,"Charles A., Jr.",1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Hill, Charles D.",Hill,Charles D.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"Hill, Louis G., Jr.",Hill,"Louis G., Jr.",1944-02-08T00:00:00Z,1st Lt,TE-44-B,TAAF,Twin engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Hill, Nathaniel M.",Hill,Nathaniel M.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Hill, William E.",Hill,William E.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Narragansett,RI,NA,0,NA,NA,NA,https://cafriseabove.org/2nd-lt-william-e-hill/
"Hill, William L.",Hill,William L.,1943-12-05T00:00:00Z,Flight Officer,SE-43-K,TAAF,Single engine,Huntington,WV,"Downed 1 Me-109 on August 23, 1944",1,NA,NA,NA,NA
"Hillary, Harold A.",Hillary,Harold A.,1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,New York,NY,NA,0,NA,NA,NA,NA
"Hockaday, Wendell W.",Hockaday,Wendell W.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Norfolk,VA,NA,0,NA,NA,NA,https://cafriseabove.org/wendell-w-hockaday/
"Hodges, Jerry T., Jr.",Hodges,"Jerry T., Jr.",1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Heth,AR,NA,0,NA,NA,NA,NA
"Holbert, Bertrand J.",Holbert,Bertrand J.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Dallas,TX,NA,0,NA,NA,NA,NA
"Holland, Henry T.",Holland,Henry T.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Holloman, William H., III",Holloman,"William H., III",1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,https://cafriseabove.org/william-h-holloman-iii/
"Holloway, Lorenzo W., Jr.",Holloway,"Lorenzo W., Jr.",1945-10-16T00:00:00Z,2nd Lt,SE-45-G,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Holman, William D.",Holman,William D.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Suffolk,VA,NA,0,NA,NA,NA,NA
"Holsclaw, Jack D.",Holsclaw,Jack D.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Spokane,WA,"Downed 2 Me-109s on July 18, 1944",2,NA,NA,NA,NA
"Honemond, Maxwell",Honemond,Maxwell,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Baltimore,MD,NA,0,NA,NA,NA,NA
"Hopson, Vernon",Hopson,Vernon,1944-11-20T00:00:00Z,Flight Officer,SE-44-I,TAAF,Single engine,San Antonio,TX,NA,0,NA,NA,NA,https://cafriseabove.org/vernon-hopson/
"Hoskins, Harold K.",Hoskins,Harold K.,1948-10-12T00:00:00Z,2nd Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Houston, Heber C.",Houston,Heber C.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Howard, Fred E.",Howard,Fred E.,1943-10-22T00:00:00Z,1st Lt,CL-43-2,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Hubbard, Lyman L.",Hubbard,Lyman L.,1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Springfield,IL,NA,0,NA,NA,NA,NA
"Hudson, Elbert",Hudson,Elbert,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Hudson, Lincoln T.",Hudson,Lincoln T.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,https://cafriseabove.org/lincoln-t-hudson/
"Hudson, Perry E., Jr.",Hudson,"Perry E., Jr.",1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Atlanta,GA,NA,0,NA,NA,NA,NA
"Hughes, Andrew James",Hughes,Andrew James,1946-05-14T00:00:00Z,Flight Officer,TE-46-B,TAAF,Twin engine,Unknown,NA,NA,0,NA,NA,NA,NA
"Hughes, Samuel R., Jr.",Hughes,"Samuel R., Jr.",1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Hunter, Charles H.",Hunter,Charles H.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"Hunter, Henry A.",Hunter,Henry A.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Williamsport,PA,NA,0,NA,NA,NA,NA
"Hunter, Marcellus L.",Hunter,Marcellus L.,1945-10-16T00:00:00Z,2nd Lt,TE-45-G,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"Hunter, Samuel D.",Hunter,Samuel D.,1944-12-28T00:00:00Z,2nd Lt,TE-44-J,TAAF,Twin engine,Colorado Springs,CO,NA,0,NA,NA,NA,NA
"Hunter, Willie S.",Hunter,Willie S.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Albany,GA,NA,0,NA,NA,NA,NA
"Hurd, James A.",Hurd,James A.,1944-09-08T00:00:00Z,1st Lt,TE-44-H,TAAF,Twin engine,Leavenworth,KS,NA,0,NA,NA,NA,NA
"Hurd, Sylvester H., Jr.",Hurd,"Sylvester H., Jr.",1945-11-20T00:00:00Z,Flight Officer,SE-45-H,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Hurt, Wesley D.",Hurt,Wesley D.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Hutcherson, Fred",Hutcherson,Fred,NA,Flight Officer,45-BI-1,TAAF,Service pilot,Evanson,IL,NA,0,NA,NA,NA,NA
"Hutchins, Freddie E.",Hutchins,Freddie E.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Donaldsonville,CA,"Downed 1 Me-109 on July 26, 1944",1,NA,NA,NA,https://cafriseabove.org/frederick-e-hutchins-sr/
"Hutton, Oscar D.",Hutton,Oscar D.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,https://cafriseabove.org/oscar-d-hutton-jr/
"Hymes, William H",Hymes,William H,1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,Lincoln Univ,PA,NA,0,NA,NA,NA,NA
"Iles, George J.",Iles,George J.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Quincy,IL,NA,0,NA,NA,NA,https://cafriseabove.org/george-jewell-iles/
"Irving, Wellington G.",Irving,Wellington G.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Belzoni,MS,NA,0,NA,NA,NA,https://cafriseabove.org/wellington-g-irving/
"Jackson, Charles L.",Jackson,Charles L.,1944-04-15T00:00:00Z,Flight Officer,SE-44-D,TAAF,Single engine,Circleville,OH,NA,0,NA,NA,NA,NA
