row_n,id,name,gender,species,birthday,personality,song,phrase,full_id,url
458,velma,Velma,female,goat,1-14,snooty,K.K. Etude,blih,villager-velma,https://villagerdb.com/images/villagers/thumb/velma.deeb42d.png
460,vesta,Vesta,female,sheep,4-16,normal,K.K. Steppe,baaaffo,villager-vesta,https://villagerdb.com/images/villagers/thumb/vesta.cd61f44.png
461,vic,Vic,male,bull,12-29,cranky,Lucky K.K.,cud,villager-vic,https://villagerdb.com/images/villagers/thumb/vic.a5af25f.png
463,victoria,Victoria,female,horse,7-11,peppy,K.K. Country,sugar cube,villager-victoria,https://villagerdb.com/images/villagers/thumb/victoria.2438930.png
464,violet,Violet,female,gorilla,9-1,snooty,K.K. Faire,faboom,villager-violet,https://villagerdb.com/images/villagers/thumb/violet.cc15319.png
465,vivian,Vivian,female,wolf,1-26,snooty,K.K. Cruisin',dawayo,villager-vivian,https://villagerdb.com/images/villagers/thumb/vivian.e4140f8.png
466,vladimir,Vladimir,male,cub,8-2,cranky,Agent K.K.,nyet,villager-vladimir,https://villagerdb.com/images/villagers/thumb/vladimir.24aab71.png
467,wade,Wade,male,penguin,10-30,lazy,K.K. Jongara,so it goes,villager-wade,https://villagerdb.com/images/villagers/thumb/wade.a3f570e.png
468,walker,Walker,male,dog,6-10,lazy,Two Days Ago,wuh,villager-walker,https://villagerdb.com/images/villagers/thumb/walker.b3197d7.png
469,walt,Walt,male,kangaroo,4-24,cranky,Agent K.K.,pockets,villager-walt,https://villagerdb.com/images/villagers/thumb/walt.eed525f.png
470,wart-jr,Wart Jr.,male,frog,8-21,cranky,To the Edge,grr-ribbit,villager-wart-jr,https://villagerdb.com/images/villagers/thumb/wart-jr.63e4670.png
471,weber,Weber,male,duck,6-30,lazy,K.K. Fusion,quaa,villager-weber,https://villagerdb.com/images/villagers/thumb/weber.bb7ad83.png
472,wendy,Wendy,female,sheep,8-15,peppy,K.K. Bossa,lambkins,villager-wendy,https://villagerdb.com/images/villagers/thumb/wendy.733d1c6.png
473,whitney,Whitney,female,wolf,9-17,snooty,Lucky K.K.,snappy,villager-whitney,https://villagerdb.com/images/villagers/thumb/whitney.78d8071.png
474,willow,Willow,female,sheep,11-26,snooty,K.K. Etude,bo peep,villager-willow,https://villagerdb.com/images/villagers/thumb/willow.8eb3ed9.png
475,winnie,Winnie,female,horse,1-31,peppy,My Place,hay-OK,villager-winnie,https://villagerdb.com/images/villagers/thumb/winnie.46fdea3.png
477,wolfgang,Wolfgang,male,wolf,11-25,cranky,K.K. Song,snarrrl,villager-wolfgang,https://villagerdb.com/images/villagers/thumb/wolfgang.8804196.png
480,yuka,Yuka,female,koala,7-20,snooty,Soulful K.K.,tsk tsk,villager-yuka,https://villagerdb.com/images/villagers/thumb/yuka.0c43bf0.png
481,zell,Zell,male,deer,6-7,smug,K.K. D&B,pronk,villager-zell,https://villagerdb.com/images/villagers/thumb/zell.c7c193c.png
483,zucker,Zucker,male,octopus,3-8,lazy,Spring Blossoms,bloop,villager-zucker,https://villagerdb.com/images/villagers/thumb/zucker.8dbb719.png
