id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
2237,"Lieber, Tom",Male,born 1949,1949,NA,"Saint Louis, United States",NA,http://www.tate.org.uk/art/artists/tom-lieber-2237
1509,"Liebermann, Max",Male,1847–1935,1847,1935,"Berlin, Deutschland","Berlin, Deutschland",http://www.tate.org.uk/art/artists/max-liebermann-1509
1510,"Lightfoot, Maxwell Gordon",Male,1886–1911,1886,1911,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/maxwell-gordon-lightfoot-1510
10429,"Ligon, Glenn",Male,born 1960,1960,NA,"Bronx, United States",NA,http://www.tate.org.uk/art/artists/glenn-ligon-10429
1511,"Lijn, Liliane",Female,born 1939,1939,NA,"New York, United States",NA,http://www.tate.org.uk/art/artists/liliane-lijn-1511
1512,"Lim, Kim",Female,1936–1997,1936,1997,Singapore,"London, United Kingdom",http://www.tate.org.uk/art/artists/kim-lim-1512
1513,"Lin, Richard",Male,born 1933,1933,NA,Chung-hua Min-kuo,NA,http://www.tate.org.uk/art/artists/richard-lin-1513
10844,Linder,Female,born 1954,1954,NA,"Liverpool, United Kingdom",NA,http://www.tate.org.uk/art/artists/linder-10844
1514,"Lindner, Richard",Male,1901–1978,1901,1978,"Hamburg, Deutschland","New York, United States",http://www.tate.org.uk/art/artists/richard-lindner-1514
1515,"Lindström, Bengt",Male,born 1925,1925,NA,Sverige,NA,http://www.tate.org.uk/art/artists/bengt-lindstrom-1515
1516,"Ling, Rita M.",Female,born 1922,1922,NA,"Wolverhampton, United Kingdom",NA,http://www.tate.org.uk/art/artists/rita-m-ling-1516
13288,"Ling, Simon",Male,born 1968,1968,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/simon-ling-13288
15409,"Linke, Simon",Male,born 1958,1958,NA,"Benalla, Australia",NA,http://www.tate.org.uk/art/artists/simon-linke-15409
351,"Linnell, John",Male,1792–1882,1792,1882,"London, United Kingdom","Redhill, United Kingdom",http://www.tate.org.uk/art/artists/john-linnell-351
2268,"Linnell, William",Male,1826–1906,1826,1906,NA,NA,http://www.tate.org.uk/art/artists/william-linnell-2268
352,"Linton, William",Male,1791–1876,1791,1876,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-linton-352
1517,"Lion, Flora",Female,1878–1958,1878,1958,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/flora-lion-1517
1518,"Lipchitz, Jacques",Male,1891–1973,1891,1973,Lietuva,"Capri, Isola di, Italia",http://www.tate.org.uk/art/artists/jacques-lipchitz-1518
1519,"Lissitzky, El",Male,1890–1941,1890,1941,"Pochinok, Rossiya","Moskva, Rossiya",http://www.tate.org.uk/art/artists/el-lissitzky-1519
1520,"Livens, Horace Mann",Male,1862–1936,1862,1936,"Croydon, United Kingdom","Harrow, United Kingdom",http://www.tate.org.uk/art/artists/horace-mann-livens-1520
2438,"Liverseege, Henry",Male,1803–1832,1803,1832,NA,NA,http://www.tate.org.uk/art/artists/henry-liverseege-2438
353,"Llewellyn, Sir William",Male,1858–1941,1858,1941,"Cirencester, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-llewellyn-353
2765,"Lloyd, Hilary",Female,born 1964,1964,NA,"Halifax, United Kingdom",NA,http://www.tate.org.uk/art/artists/hilary-lloyd-2765
1521,"Lloyd, James",Male,1905–1974,1905,1974,"England, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/james-lloyd-1521
3080,"Lochore, Brad",Male,born 1960,1960,NA,"Wellington, New Zealand",NA,http://www.tate.org.uk/art/artists/brad-lochore-3080
11946,"Locke, Hew",Male,born 1959,1959,NA,"Edinburgh, United Kingdom",NA,http://www.tate.org.uk/art/artists/hew-locke-11946
2514,"Locke, William, of Norbury, Junior",Male,1767–1847,1767,1847,NA,NA,http://www.tate.org.uk/art/artists/william-locke-of-norbury-junior-2514
2439,"Locker, Edward Hawke",Male,1777–1849,1777,1849,NA,NA,http://www.tate.org.uk/art/artists/edward-hawke-locker-2439
6007,"Lockhart, Sharon",Female,born 1964,1964,NA,"Norwood, United States",NA,http://www.tate.org.uk/art/artists/sharon-lockhart-6007
1522,"Logan, Peter",Male,born 1943,1943,NA,"Witney, United Kingdom",NA,http://www.tate.org.uk/art/artists/peter-logan-1522
354,"Logsdail, William",Male,1859–1944,1859,1944,"Lincoln, United Kingdom","Oxfordshire, United Kingdom",http://www.tate.org.uk/art/artists/william-logsdail-354
1523,"Lohse, Richard Paul",Male,1902–1988,1902,1988,"Zürich, Schweiz",NA,http://www.tate.org.uk/art/artists/richard-paul-lohse-1523
1524,"Loker, John",Male,born 1938,1938,NA,"Leeds, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-loker-1524
1138,London Gallery,NA,"born ?, born 1948",1948,NA,NA,NA,http://www.tate.org.uk/art/artists/the-london-gallery-vaughan-grylls-nicholas-wegner-1138
2570,"Long, Amelia",Female,1772–1837,1772,1837,"London, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/amelia-long-lady-farnborough-2570
2571,"Long, Charles",Male,1760 or 1–1838,1760,1838,NA,"Kent, United Kingdom",http://www.tate.org.uk/art/artists/charles-long-baron-farnborough-2571
1525,"Long, Richard",Male,born 1945,1945,NA,"Bristol, United Kingdom",NA,http://www.tate.org.uk/art/artists/richard-long-1525
505,"Longhi, Pietro",Male,1702–1785,1702,1785,"Venezia, Italia","Venezia, Italia",http://www.tate.org.uk/art/artists/pietro-longhi-505
1526,"Longo, Robert",Male,born 1953,1953,NA,"Brooklyn, United States",NA,http://www.tate.org.uk/art/artists/robert-longo-1526
7268,"Lord, Andrew",Male,born 1950,1950,NA,"Rochdale, United Kingdom",NA,http://www.tate.org.uk/art/artists/andrew-lord-7268
355,"Lorimer, John Henry",Male,1856–1936,1856,1936,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/john-henry-lorimer-355
9596,Los Carpinteros,Male,"born 1969, born 1971",1971,NA,Cuba,NA,http://www.tate.org.uk/art/artists/los-carpinteros-marco-antonio-castillo-valdes-dagoberto-rodriguez-sanchez-9596
2554,"Loudoun, Edith Maud Rawdon-Hasting, Countess of",Female,1833–1874,1833,1874,NA,NA,http://www.tate.org.uk/art/artists/edith-maud-rawdon-hastings-countess-of-loudoun-2554
1527,"Louis, Morris",Male,1912–1962,1912,1962,"Baltimore Independent City, United States","Washington, United States",http://www.tate.org.uk/art/artists/morris-louis-1527
1528,"Louw, Roelof",Male,born 1936,1936,NA,"Cape Town, South Africa",NA,http://www.tate.org.uk/art/artists/roelof-louw-1528
1529,"Low, Sir David",Male,1891–1963,1891,1963,"Dunedin, New Zealand","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-david-low-1529
1530,"Lowe, Peter",Male,born 1938,1938,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/peter-lowe-1530
1531,"Lowinsky, Thomas",Male,1892–1947,1892,1947,"London, United Kingdom","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/thomas-lowinsky-1531
1532,"Lowndes, Alan",Male,1921–1978,1921,1978,"Stockport, United Kingdom",NA,http://www.tate.org.uk/art/artists/alan-lowndes-1532
1533,"Lowry, L.S.",Male,1887–1976,1887,1976,"England, United Kingdom",Salford,http://www.tate.org.uk/art/artists/ls-lowry-1533
11405,"Lozano-Hemmer, Rafael",Male,born 1967,1967,NA,"Ciudad de México, México",NA,http://www.tate.org.uk/art/artists/rafael-lozano-hemmer-11405
1534,"Lozoff, Abrasha",Male,1887–1936,1887,1936,NA,NA,http://www.tate.org.uk/art/artists/abrasha-lozoff-1534
2708,"Lucas, David",Male,1802–1881,1802,1881,NA,NA,http://www.tate.org.uk/art/artists/david-lucas-2708
356,"Lucas, John Seymour",Male,1849–1923,1849,1923,NA,NA,http://www.tate.org.uk/art/artists/john-seymour-lucas-356
2643,"Lucas, Sarah",Female,born 1962,1962,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/sarah-lucas-2643
2341,Lucio,Male,1929–1998,1929,1998,"Madrid, España",NA,http://www.tate.org.uk/art/artists/lucio-lucio-munoz-2341
1535,Lucy and Eegyudluk,NA,"born c.1918, born c.1930",1918,NA,NA,NA,http://www.tate.org.uk/art/artists/lucy-and-eegyudluk-1535
1536,"Lundquist, Evert",Male,born 1904,1904,NA,"Stockholm, Sverige",NA,http://www.tate.org.uk/art/artists/evert-lundquist-1536
8594,"Lüpertz, Markus",Male,born 1941,1941,NA,"Liberec, Ceská Republika",NA,http://www.tate.org.uk/art/artists/markus-lupertz-8594
16926,"Lye, Len",NA,NA,NA,NA,NA,NA,http://www.tate.org.uk/art/artists/len-lye-16926
9403,"M/M (Paris, France)",NA,founded 1992,1992,NA,NA,NA,http://www.tate.org.uk/art/artists/mm-paris-france-9403
357,"Macallum, Hamilton",Male,1841–1896,1841,1896,"Argyll, United Kingdom","Beer, United Kingdom",http://www.tate.org.uk/art/artists/hamilton-macallum-357
2440,"Macartney, Carlile Henry Hayes",Male,c.1842–1924,1842,1924,NA,NA,http://www.tate.org.uk/art/artists/carlile-henry-hayes-macartney-2440
358,"Macbeth, Robert Walker",Male,1848–1910,1848,1910,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-walker-macbeth-358
1537,"MacBryde, Robert",Male,1913–1966,1913,1966,"Maybole, United Kingdom",NA,http://www.tate.org.uk/art/artists/robert-macbryde-1537
359,"Maccallum, Andrew",Male,1821–1902,1821,1902,NA,NA,http://www.tate.org.uk/art/artists/andrew-maccallum-359
1538,"Maccari, Mino",Male,1898–1989,1898,1989,"Siena, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/mino-maccari-1538
6024,"Macchi, Jorge",Male,born 1963,1963,NA,"La Plata, Argentina",NA,http://www.tate.org.uk/art/artists/jorge-macchi-6024
360,"Maccoll, Dugald Sutherland",Male,1859–1948,1859,1948,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/dugald-sutherland-maccoll-360
1539,"Macdonald, Frances",Female,1914–2002,1914,2002,"Wallasey, United Kingdom",NA,http://www.tate.org.uk/art/artists/frances-macdonald-1539
361,"Macdonald, Georgina",Female,1840–1920,1840,1920,NA,NA,http://www.tate.org.uk/art/artists/georgina-macdonald-lady-burne-jones-361
362,"Macgregor, William York",Male,1855–1923,1855,1923,"Argyll and Bute, United Kingdom",Oban,http://www.tate.org.uk/art/artists/william-york-macgregor-362
1540,"Mach, David",Male,born 1956,1956,NA,"Methil, United Kingdom",NA,http://www.tate.org.uk/art/artists/david-mach-1540
1541,"Machin, Arnold",Male,1911–1999,1911,1999,Stoke on Trent,"Staffordshire, United Kingdom",http://www.tate.org.uk/art/artists/arnold-machin-1541
7507,"Maciá, Oswaldo",Male,born 1960,1960,NA,"Cartagena, Colombia",NA,http://www.tate.org.uk/art/artists/oswaldo-macia-7507
1263,"Mack, Heinz",Male,born 1931,1931,NA,"Lollar, Deutschland",NA,http://www.tate.org.uk/art/artists/heinz-mack-1263
1542,"Mackay, Alex",NA,NA,NA,NA,NA,NA,http://www.tate.org.uk/art/artists/alex-mackay-1542
1543,"Mackennal, Sir Bertram",Male,1863–1931,1863,1931,"Melbourne, Australia","Torquay, United Kingdom",http://www.tate.org.uk/art/artists/sir-bertram-mackennal-1543
1544,"Mackenzie, Alexander",Male,1923–2002,1923,2002,"Liverpool, United Kingdom","Penzance, United Kingdom",http://www.tate.org.uk/art/artists/alexander-mackenzie-1544
1545,"Mackenzie, Alix",Female,1922–1962,1922,1962,NA,NA,http://www.tate.org.uk/art/artists/alix-mackenzie-1545
363,"Mackenzie, Frederick",Male,1787–1854,1787,1854,NA,"London, United Kingdom",http://www.tate.org.uk/art/artists/frederick-mackenzie-363
1546,"Mackenzie, Warren",Male,born 1924,1924,NA,"Kansas City, United States",NA,http://www.tate.org.uk/art/artists/warren-mackenzie-1546
9555,"Mackie, Christina",Female,born 1956,1956,NA,Canada,NA,http://www.tate.org.uk/art/artists/christina-mackie-9555
1547,"Mackinnon, Sine",Male,1901–1996,1901,1996,"Newcastle, United Kingdom",NA,http://www.tate.org.uk/art/artists/sine-mackinnon-1547
1548,"Mackintosh, Charles Rennie",Male,1868–1928,1868,1928,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/charles-rennie-mackintosh-1548
1549,"Maclaren, Donald",Male,1886–1917,1886,1917,"Kensington, United Kingdom",NA,http://www.tate.org.uk/art/artists/donald-maclaren-1549
365,"Maclise, Daniel",Male,1806–1870,1806,1870,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/daniel-maclise-365
1550,"Mactaggart, Sir William",Male,1903–1981,1903,1981,"Loanhead, United Kingdom",NA,http://www.tate.org.uk/art/artists/sir-william-mactaggart-1550
367,"MacWhirter, John",Male,1839–1911,1839,1911,"Scotland, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-macwhirter-367
14729,"Madani, Tala",Female,born 1981,1981,NA,Îran,NA,http://www.tate.org.uk/art/artists/tala-madani-14729
1551,"Maddox, Conroy",Male,1912–2005,1912,2005,"Hertfordshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/conroy-maddox-1551
1552,"Maddox, Ronald",Male,born 1930,1930,NA,NA,NA,http://www.tate.org.uk/art/artists/ronald-maddox-1552
1553,"Magritte, René",Male,1898–1967,1898,1967,"Lessines, België","Schaerbeek, België",http://www.tate.org.uk/art/artists/rene-magritte-1553
1554,"Mahoney, Charles",Male,1903–1968,1903,1968,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/charles-mahoney-1554
1555,"Maillol, Aristide",Male,1861–1944,1861,1944,"Banyuls-sur-Mer, France","Perpignan, France",http://www.tate.org.uk/art/artists/aristide-maillol-1555
1557,"Maitec, Ovidiu",Male,born 1925,1925,NA,"Arad, România",NA,http://www.tate.org.uk/art/artists/ovidiu-maitec-1557
1558,"Maitin, Sam",Male,1928–2004,1928,2004,"Philadelphia, United States",NA,http://www.tate.org.uk/art/artists/sam-maitin-1558
1559,"Maitland, Paul",Male,1863–1909,1863,1909,"Chelsea, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/paul-maitland-1559
6307,"Majerus, Michel",Male,1967–2002,1967,2002,"Esch-sur-Alzette, Luxembourg",NA,http://www.tate.org.uk/art/artists/michel-majerus-6307
15619,"Makarius, Sameer",Male,1924–2009,1924,2009,"Al-Qahirah, Misr","Buenos Aires, Argentina",http://www.tate.org.uk/art/artists/sameer-makarius-15619
1560,"Makowski, Kazimierz",Male,born 1951,1951,NA,NA,NA,http://www.tate.org.uk/art/artists/kazimierz-makowski-1560
2372,"Malchair, John Baptist",Male,1729–1812,1729,1812,"Köln, Deutschland",NA,http://www.tate.org.uk/art/artists/john-baptist-malchair-2372
1561,"Malevich, Kazimir",Male,1879–1935,1879,1935,"Kiyev, Ukrayina","Sankt-Peterburg, Rossiya",http://www.tate.org.uk/art/artists/kazimir-malevich-1561
2377,"Malinowski, Antoni",Male,born 1955,1955,NA,"Warszawa, Polska",NA,http://www.tate.org.uk/art/artists/antoni-malinowski-2377
13714,"Maljkovic, David",Male,born 1973,1973,NA,"Rijeka, Hrvatska",NA,http://www.tate.org.uk/art/artists/david-maljkovic-13714
1562,"Malthouse, Eric",Male,1914–1997,1914,1997,"Birmingham, United Kingdom",NA,http://www.tate.org.uk/art/artists/eric-malthouse-1562
1563,Man Ray,Male,1890–1976,1890,1976,"Philadelphia, United States","Paris, France",http://www.tate.org.uk/art/artists/man-ray-1563
2233,"Manby, Thomas",Male,c.1660–1690,1660,1690,NA,"London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-manby-2233
1564,"Mancini, Antonio",Male,1852–1930,1852,1930,"Roma, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/antonio-mancini-1564
10069,"Mandel, Mike",Male,born 1950,1950,NA,"Los Angeles, United States",NA,http://www.tate.org.uk/art/artists/mike-mandel-10069
1565,Mane-Katz,Male,1894–1962,1894,1962,"Kremenchug, Ukrayina","Tel Aviv-Yafo, Yisra'el",http://www.tate.org.uk/art/artists/mane-katz-1565
1566,"Manessier, Alfred",Male,1911–1993,1911,1993,"Saint-Ouen, France",NA,http://www.tate.org.uk/art/artists/alfred-manessier-1566
1567,"Manet, Edouard",Male,1832–1883,1832,1883,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/edouard-manet-1567
7741,Mangelos,Male,1921–1987,1921,1987,"Šid, Jugoslavija","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/mangelos-dimitrije-basicevic-7741
1568,"Mangold, Robert",Male,born 1937,1937,NA,"North Tonawanda, United States",NA,http://www.tate.org.uk/art/artists/robert-mangold-1568
6614,"Mangolte, Babette",Female,born 1941,1941,NA,"Jura, France",NA,http://www.tate.org.uk/art/artists/babette-mangolte-6614
1569,"Mann, Harrington",Male,1864–1937,1864,1937,"Glasgow, United Kingdom","New York, United States",http://www.tate.org.uk/art/artists/harrington-mann-1569
1570,"Manson, James Bolivar",Male,1879–1945,1879,1945,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-bolivar-manson-1570
14941,"Mantz, Werner",Male,1901–1983,1901,1983,"Köln, Deutschland","Eijsden, Nederland",http://www.tate.org.uk/art/artists/werner-mantz-14941
13085,"Manuel, Antonio",Male,born 1947,1947,NA,"Aveiro, Portugal",NA,http://www.tate.org.uk/art/artists/antonio-manuel-13085
1571,"Manzoni, Piero",Male,1933–1963,1933,1963,"Soncino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/piero-manzoni-1571
1572,"Manzu, Giacomo",Male,1908–1991,1908,1991,"Bergamo, Italia",NA,http://www.tate.org.uk/art/artists/giacomo-manzu-1572
11413,"Mapplethorpe, Robert",Male,1946–1989,1946,1989,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/robert-mapplethorpe-11413
1573,"Mara, Tim",Male,1948–1997,1948,1997,"Dublin, Éire",NA,http://www.tate.org.uk/art/artists/tim-mara-1573
1574,"Maraz, Adriana",Female,born 1931,1931,NA,"Ilirska Bistrica, Slovenija",NA,http://www.tate.org.uk/art/artists/adriana-maraz-1574
1575,"Marchand, Jean",Male,1883–1941,1883,1941,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/jean-marchand-1575
1576,"Marchant, Paul",Male,born 1948,1948,NA,NA,NA,http://www.tate.org.uk/art/artists/paul-marchant-1576
6852,"Marclay, Christian",Male,born 1955,1955,NA,"San Rafael, United States",NA,http://www.tate.org.uk/art/artists/christian-marclay-6852
1577,"Marcoussis, Louis",Male,1878–1941,1878,1941,"Warszawa, Polska","Cusset, France",http://www.tate.org.uk/art/artists/louis-marcoussis-1577
1578,"Marden, Brice",Male,born 1938,1938,NA,"Bronxville, United States",NA,http://www.tate.org.uk/art/artists/brice-marden-1578
11145,Marepe,Male,born 1970,1970,NA,"Santo Antônio de Jesus, Brasil",NA,http://www.tate.org.uk/art/artists/marepe-11145
1579,"Mariani, Carlo Maria",Male,born 1931,1931,NA,"Roma, Italia",NA,http://www.tate.org.uk/art/artists/carlo-maria-mariani-1579
8402,"Mariën, Marcel",Male,1920–1993,1920,1993,"Antwerpen, België","Bruxelles, België",http://www.tate.org.uk/art/artists/marcel-marien-8402
1580,"Marin, John",Male,1870–1953,1870,1953,"Rutherford, United States","Addison, United States",http://www.tate.org.uk/art/artists/john-marin-1580
1581,"Marini, Marino",Male,1901–1980,1901,1980,"Pistoia, Italia","Viareggio, Italia",http://www.tate.org.uk/art/artists/marino-marini-1581
2533,"Marks, Henry Stacy",Male,1829–1898,1829,1898,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/henry-stacy-marks-2533
1582,"Markson, Helena",Female,born 1934,1934,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/helena-markson-1582
368,"Marlow, William",Male,1740–1813,1740,1813,"London, United Kingdom","Twickenham, United Kingdom",http://www.tate.org.uk/art/artists/william-marlow-368
2332,"Marquet, Albert",Male,1875–1947,1875,1947,"Bordeaux, France","Paris, France",http://www.tate.org.uk/art/artists/albert-marquet-2332
369,"Marshall, Benjamin",Male,1768–1835,1768,1835,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/benjamin-marshall-369
8806,"Marshall, William",Male,1923–2007,1923,2007,"Cornwall, United Kingdom",Hayle,http://www.tate.org.uk/art/artists/william-marshall-8806
370,"Marshall, William Calder",Male,1813–1894,1813,1894,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-calder-marshall-370
2515,"Marsingall, A",NA,19th century,1800,1899,NA,NA,http://www.tate.org.uk/art/artists/a-marsingall-2515
1583,"Martin, Agnes",Female,1912–2004,1912,2004,Canada,NA,http://www.tate.org.uk/art/artists/agnes-martin-1583
15125,"Martin, Anne",Female,born 1936,1936,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/anne-martin-15125
2746,"Martin, Barry",Male,born 1943,1943,NA,"Amersham, United Kingdom",NA,http://www.tate.org.uk/art/artists/barry-martin-2746
2441,"Martin, Charles",Male,1812 or 20–1906,1812,1906,NA,NA,http://www.tate.org.uk/art/artists/charles-martin-2441
6591,"Martin, Daria",Female,born 1973,1973,NA,NA,NA,http://www.tate.org.uk/art/artists/daria-martin-6591
2442,"Martin, Elias",Male,1739–1818,1739,1818,Stockholm,Sverige,http://www.tate.org.uk/art/artists/elias-martin-2442
1584,"Martin, Frank",Male,1921–2005,1921,2005,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/frank-martin-1584
2581,"Martin, J., of Canterbury",NA,19th century,1800,1899,NA,NA,http://www.tate.org.uk/art/artists/j-martin-of-canterbury-2581
371,"Martin, John",Male,1789–1854,1789,1854,"Haydon Bridge, United Kingdom",Douglas,http://www.tate.org.uk/art/artists/john-martin-371
1585,"Martin, Kenneth",Male,1905–1984,1905,1984,"Sheffield, United Kingdom",NA,http://www.tate.org.uk/art/artists/kenneth-martin-1585
1586,"Martin, Mary",Female,1907–1969,1907,1969,"Folkestone, United Kingdom",NA,http://www.tate.org.uk/art/artists/mary-martin-1586
8897,"Martin, Simon",Male,born 1965,1965,NA,"Cheshire, United Kingdom",NA,http://www.tate.org.uk/art/artists/simon-martin-8897
11358,"Martinat Mendoza, Jose Carlos",Male,born 1974,1974,NA,Perú,NA,http://www.tate.org.uk/art/artists/jose-carlos-martinat-mendoza-11358
372,"Martineau, Robert Braithwaite",Male,1826–1869,1826,1869,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/robert-braithwaite-martineau-372
2338,"Martini, Arturo",Male,1889–1947,1889,1947,"Treviso, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/arturo-martini-2338
14609,Marwan (Marwan Kassab Bachi),Male,born 1934,1934,NA,Suriyah,NA,http://www.tate.org.uk/art/artists/marwan-marwan-kassab-bachi-14609
1587,"Marx, Enid",Female,1902–1998,1902,1998,"London, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/enid-marx-1587
2271,"Masi, Denis",Male,born 1942,1942,NA,"West Virginia, United States",NA,http://www.tate.org.uk/art/artists/denis-masi-2271
1588,"Mason, Arnold",Male,1885–1963,1885,1963,"Birkenhead, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/arnold-mason-1588
373,"Mason, George",Male,1818–1872,1818,1872,"Witley, United Kingdom",NA,http://www.tate.org.uk/art/artists/george-mason-373
1589,"Mason, Raymond",Male,1922–2010,1922,2010,"Birmingham, United Kingdom",NA,http://www.tate.org.uk/art/artists/raymond-mason-1589
1590,"Masson, André",Male,1896–1987,1896,1987,"Haute-Corse, France","Paris, France",http://www.tate.org.uk/art/artists/andre-masson-1590
374,Master of the Giants,Male,1755–1834,1755,1834,NA,NA,http://www.tate.org.uk/art/artists/master-of-the-giants-prince-hoare-374
2516,"Masters, E.",NA,19th century,1800,1899,NA,NA,http://www.tate.org.uk/art/artists/e-masters-2516
1592,"Mathews, Denis",Male,1913–1997,1913,1997,"Hampstead, United Kingdom",NA,http://www.tate.org.uk/art/artists/denis-mathews-1592
1593,"Matisse, Henri",Male,1869–1954,1869,1954,"Le Cateau-Cambrésis, France","Nice, France",http://www.tate.org.uk/art/artists/henri-matisse-1593
1591,"Matschinsky-Denninghof, Brigitte",Female,born 1923,1923,NA,"Berlin, Deutschland",NA,http://www.tate.org.uk/art/artists/brigitte-matschinsky-denninghof-1591
1594,Matta,Male,1911–2002,1911,2002,"Santiago, Chile",NA,http://www.tate.org.uk/art/artists/matta-roberto-matta-echaurren-1594
7732,"Matta-Clark, Gordon",Male,1943–1978,1943,1978,"New York, United States","Nyack, United States",http://www.tate.org.uk/art/artists/gordon-matta-clark-7732
2745,"Matthiasdottir, Louisa",Female,1917–2000,1917,2000,"Reykjavík, Ísland",NA,http://www.tate.org.uk/art/artists/louisa-matthiasdottir-2745
1595,"Maufra, Maxime",Male,1861–1918,1861,1918,"Nantes, France","Poncé-sur-le-Loir, France",http://www.tate.org.uk/art/artists/maxime-maufra-1595
1596,"Maundrell, Charles",Male,1860–?c.1924,1860,1924,"Peckham, United Kingdom",NA,http://www.tate.org.uk/art/artists/charles-maundrell-1596
1597,"Maurer, Dora",Female,born 1937,1937,NA,"Budapest, Magyarország",NA,http://www.tate.org.uk/art/artists/dora-maurer-1597
1598,"Mauve, Anton",Male,1838–1888,1838,1888,"Zaandam, Nederland","Arnhem, Nederland",http://www.tate.org.uk/art/artists/anton-mauve-1598
1599,"Maxwell, John",Male,1905–1962,1905,1962,"England, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/john-maxwell-1599
2367,"May, Nicholas",Male,born 1962,1962,NA,"Limavady, United Kingdom",NA,http://www.tate.org.uk/art/artists/nicholas-may-2367
1600,"May, Phil",Male,1864–1903,1864,1903,"Leeds, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/phil-may-1600
5672,"Mayakovsky, Vladimir",NA,1893–1930,1893,1930,NA,NA,http://www.tate.org.uk/art/artists/vladimir-mayakovsky-5672
1601,"Mayor, Fred",Male,1865–1916,1865,1916,"North Yorkshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/fred-mayor-1601
1602,"Maze, Paul",Male,1887–1979,1887,1979,"Le Havre, France","Chichester, United Kingdom",http://www.tate.org.uk/art/artists/paul-maze-1602
7491,"McCall, Anthony",Male,born 1946,1946,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/anthony-mccall-7491
2766,"McCarthy, Paul",Male,born 1945,1945,NA,"Salt Lake City, United States",NA,http://www.tate.org.uk/art/artists/paul-mccarthy-2766
1603,"McCartney, Linda",Female,1941–1998,1941,1998,"New York, United States","Tucson, United States",http://www.tate.org.uk/art/artists/linda-mccartney-1603
1604,"McComb, Leonard",Male,born 1930,1930,NA,"Glasgow, United Kingdom",NA,http://www.tate.org.uk/art/artists/leonard-mccomb-1604
7026,"McCullin, Don",Male,born 1935,1935,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/don-mccullin-7026
9572,"McElheny, Josiah",Male,born 1966,1966,NA,"Boston, United States",NA,http://www.tate.org.uk/art/artists/josiah-mcelheny-9572
1605,"McEvoy, Ambrose",Male,1878–1927,1878,1927,"Wiltshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/ambrose-mcevoy-1605
1606,"McEvoy, Mary",Female,1870–1941,1870,1941,"Freshford, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/mary-mcevoy-1606
1607,"McEwen, Rory",Male,1932–1982,1932,1982,"Scotland, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/rory-mcewen-1607
