year_ended_june,measure,value,value_unit,value_label
2000,Kiwifruit,12184,number,Hectares
2000,Avocados,2646,number,Hectares
2000,Feijoas,217,number,Hectares
2000,Tamarillos,297,number,Hectares
2000,Passionfruit,66,number,Hectares
2000,Persimmons,384,number,Hectares
2000,Oranges,597,number,Hectares
2000,Grapefruit/Goldfruit,117,number,Hectares
2000,Lemons,339,number,Hectares
2000,Mandarins,946,number,Hectares
2000,Tangelos,167,number,Hectares
2000,Strawberries,384,number,Hectares
2000,Raspberries,254,number,Hectares
2000,Blackberries/Brambles,62,number,Hectares
2001,New Area Planted in Production Forest,33674,number,Hectares
2001,Area Replanted in Production Forest,42476,number,Hectares
2001,Area of Exotic Timber Harvested in hectares,46658,number,Hectares
2001,Area of Exotic Timber Harvested in cubic metres,20420136,number,Cubic metres
2001,Mean average number of broilers on the farm,7513327,number,Number of chickens
2002,Grassland,8242695,number,Hectares
2002,Number of Farm Holdings,70336,number,Number of farm holdings
2002,Tussock or Danthonia,3322224,number,Hectares
2002,"Crops, Grain, Nursery, Vegetables and Fruit",533863,number,Hectares
2002,Land used for horticulture,109397,number,Hectares
2002,Plantations of Exotic Trees,1827596,number,Hectares
2002,Total Area of Farms,15589885,number,Hectares
2002,New Area Planted in Production Forest,18997,number,Hectares
2002,Area Replanted in Production Forest,43170,number,Hectares
2002,Area of Exotic Timber Harvested in hectares,49446,number,Hectares
2002,Area of Exotic Timber Harvested in cubic metres,22812498,number,Cubic metres
2002,Bobby Calves Still on the Farm,14262,number,Number of cattle
2002,Dairy Cows and Heifers - not in Milk or Calf,221538,number,Number of cattle
2002,Rising 1 Year Old Dairy Heifers and Calves,1044470,number,Number of cattle
2002,"Dairy Cows and Heifers, in Milk or Calf",3841553,number,Number of cattle
2002,Total Dairy Cattle (including Bobby Calves),5161589,number,Number of cattle
2002,Rising 1 Year Old Dairy Heifers and Heifer Calves,1030208,number,Number of cattle
2002,Dairy Bulls intended for Breeding,54027,number,Number of cattle
2002,Calves Born Alive to Dairy Heifers/Cows,3225238,number,Number of cattle
2002,Beef non-breeding bulls (under 1 year),452828,number,Number of cattle
2002,"Beef Cows and Heifers, Bred from",1259190,number,Number of cattle
2002,"Beef Heifer Calves, under 1 Year Old",574996,number,Number of cattle
2002,Calves Born Alive to Beef Heifers/Cows,1083485,number,Number of cattle
2002,Total Beef Cattle,4491281,number,Number of cattle
2002,Beef Breeding Bulls,78945,number,Number of cattle
2002,"Steers, 2 years old and over",246180,number,Number of cattle
2002,"Steers, 1-2 years old",426886,number,Number of cattle
2002,"Steer Calves, under 1 year",426834,number,Number of cattle
2002,Beef cows and heifers (in calf) 2yrs and over,1101633,number,Number of cattle
2002,Beef cows and heifers (in calf) 1-2yrs old,157557,number,Number of cattle
2002,Beef cows and heifers (not in calf) 2yrs and over,131723,number,Number of cattle
2002,Beef cows and heifers (not in calf) 1-2yrs old,359264,number,Number of cattle
2002,Beef non-breeding bulls 2yrs and over,143730,number,Number of cattle
2002,Beef non-breeding bulls 1-2yrs old,390705,number,Number of cattle
2002,"Breeding Sows, over 1 Year Old",40774,number,Number of pigs
2002,Other Pigs,295309,number,Number of pigs
2002,Total Pigs,342015,number,Number of pigs
2002,Mated Gilts,5932,number,Number of pigs
2002,Breeding Ewes 2 Tooth and Over put to Ram,26784582,number,Number of sheep
2002,Breeding Ewes 2 Tooth and Over not put to Ram,380693,number,Number of sheep
2002,Rams 2 Tooth and Over,433584,number,Number of sheep
2002,Ewe Hoggets put to Ram,2374210,number,Number of sheep
2002,Ewe Hoggets not put to Ram,5684176,number,Number of sheep
2002,Wethers 2 Tooth and Over,822461,number,Number of sheep
2002,Total Sheep,39571837,number,Number of sheep
2002,Total Lambs Marked and/or Tailed,32647387,number,Number of sheep
2002,Total Ram and Wether Hoggets,3092131,number,Number of sheep
2002,Lambs marked/tailed from ewe hoggets,1139700,number,Number of sheep
2002,Lambs marked/tailed from ewes,31507687,number,Number of sheep
2002,Total goats,153084,number,Number of goats
2002,Total male deer,483578,number,Number of deer
2002,Total female deer,1164360,number,Number of deer
2002,Total Deer,1647938,number,Number of deer
2002,Wheat (area sown),42187,number,Hectares
2002,Oats (area sown),7353,number,Hectares
2002,Barley (area sown),78097,number,Hectares
2002,Field peas (area sown),10925,number,Hectares
2002,Maize (area sown),14166,number,Hectares
2002,Wheat (yield),301499,number,Tonnes
2002,Oats (yield),34986,number,Tonnes
2002,Barley (yield),440883,number,Tonnes
2002,Seed/field peas (yield),29457,number,Tonnes
2002,Maize (yield),148847,number,Tonnes
2002,Walnuts,483,number,Hectares
2002,Chestnuts,615,number,Hectares
2002,Macadamias,358,number,Hectares
2002,Perrenials (outdoor),80,number,Hectares
2002,Bedding plants (outdoor),48,number,Hectares
2002,Flowers and Foliage (Outdoor),1076,number,Hectares
2002,"Nursery Trees, Shrubs and Plants",2192,number,Hectares
2002,Calla lilly,187,number,Hectares
2002,Peony,137,number,Hectares
2002,Hydrangea,62,number,Hectares
2002,All other flowers and foliage,690,number,Hectares
2002,Hectares effluent sprayed over,169360,number,Hectares
2002,Lime,1773753,number,Tonnes
2002,Urea,314354,number,Tonnes
2002,Ammonia Sulphate,43546,number,Tonnes
2002,Diammonium Phosphate (DAP),182958,number,Tonnes
2002,Total All Fertilisers,2361972,number,Tonnes
2002,Potatoes,11082,number,Hectares
2002,Mated hinds (deer),891311,number,Number of deer
2002,Fawns born (during the year ended 30 June),654710,number,Number of deer
2002,Velvet harvested (green weight),421770,number,Kilograms
2002,Male deer (2 yrs and over),138900,number,Number of deer
2002,Male deer (under 2 yrs),344678,number,Number of deer
2002,Female deer mated since 30 June last year,891311,number,Number of deer
2002,Other female deer,273049,number,Number of deer
2002,Eggs from hens,55964430,number,Dozens
2002,Chickens for meat production/broilers,17127956,number,Number of chickens
2002,All other poultry,1562768,number,Number of poultry
2002,Total poultry,21908084,number,Number of poultry
2002,Mean average number of broilers on the farm,8044056,number,Number of chickens
2002,Horses,75856,number,Number of horses
2002,Hens for Egg Production,3217360,number,Number of chickens
2002,Silverbeet/Spinach,396,number,Hectares
2002,Sweetcorn,5790,number,Hectares
2002,"Tomatoes, outdoor",608,number,Hectares
2002,Asparagus,2015,number,Hectares
2002,"Beans, Green",776,number,Hectares
2002,"Beans, Broad",59,number,Hectares
2002,Broccoli,1780,number,Hectares
2002,Brussel Sprouts,138,number,Hectares
2002,Cabbage,774,number,Hectares
2002,Capsicum,85,number,Hectares
2002,Carrots,1831,number,Hectares
2002,Cauliflower,1175,number,Hectares
2002,Courgettes/Zucchini,283,number,Hectares
2002,Cucumber,53,number,Hectares
2002,Garlic,268,number,Hectares
2002,Kumara,985,number,Hectares
2002,Lettuce,1287,number,Hectares
2002,Onions,5621,number,Hectares
2002,Parsnips,219,number,Hectares
2002,Peas,7679,number,Hectares
2002,Squash,6560,number,Hectares
2002,Pumpkin,1033,number,Hectares
2002,Orchids,620705,number,Square metres
2002,"Tomatoes, indoor",1617832,number,Square metres
2002,Cucumbers,532378,number,Square metres
2002,Capsicum/Peppers,444900,number,Square metres
2002,Mushrooms,352098,number,Square metres
2002,Perennials (Indoor),142601,number,Square metres
2002,Bedding plants (Indoor),344029,number,Square metres
2002,Asian Vegetables (excluding Chinese Cabbage),196,number,Hectares
2002,Melons (Water and Rock),387,number,Hectares
2002,Spring Onions,78,number,Hectares
2002,Olives (net area planted),2612,number,Hectares
2002,Boysenberries,239,number,Hectares
2002,Blackcurrants,1308,number,Hectares
2002,Blueberries,450,number,Hectares
2002,Wine grapes,17300,number,Hectares
2002,Apples,11717,number,Hectares
2002,Asian Pears (Nashi),119,number,Hectares
2002,Peaches,808,number,Hectares
2002,Apricots,636,number,Hectares
2002,Plums,394,number,Hectares
2002,Nectarines,528,number,Hectares
2002,Cherries,550,number,Hectares
2002,Kiwifruit,11841,number,Hectares
2002,Avocados,3106,number,Hectares
2002,Feijoas,198,number,Hectares
2002,Tamarillos,270,number,Hectares
2002,Passionfruit,70,number,Hectares
2002,Persimmons,282,number,Hectares
2002,Oranges,575,number,Hectares
2002,Grapefruit/Goldfruit,82,number,Hectares
2002,Lemons,364,number,Hectares
2002,Mandarins,914,number,Hectares
2002,Tangelos,162,number,Hectares
2002,Strawberries,311,number,Hectares
2002,Raspberries,302,number,Hectares
2002,Blackberries/Brambles,94,number,Hectares
2003,Grassland,8115379,number,Hectares
2003,Number of Farm Holdings,66057,number,Number of farm holdings
2003,Tussock or Danthonia,3272688,number,Hectares
2003,"Crops, Grain, Nursery, Vegetables and Fruit",470358,number,Hectares
2003,Land used for horticulture,120088,number,Hectares
2003,Plantations of Exotic Trees,1829135,number,Hectares
2003,Total Area of Farms,15435517,number,Hectares
2003,New Area Planted in Production Forest,15920,number,Hectares
2003,Area Replanted in Production Forest,44637,number,Hectares
2003,Area of Exotic Timber Harvested in hectares,49247,number,Hectares
2003,Area of Exotic Timber Harvested in cubic metres,21555385,number,Cubic metres
2003,Dairy Cows and Heifers - not in Milk or Calf,149190,number,Number of cattle
2003,Rising 1 Year Old Dairy Heifers and Calves,980860,number,Number of cattle
2003,"Dairy Cows and Heifers, in Milk or Calf",3928140,number,Number of cattle
2003,Total Dairy Cattle (including Bobby Calves),5101603,number,Number of cattle
2003,Rising 1 Year Old Dairy Heifers and Heifer Calves,966909,number,Number of cattle
2003,Dairy Bulls intended for Breeding,43707,number,Number of cattle
2003,Calves Born Alive to Dairy Heifers/Cows,3115897,number,Number of cattle
2003,Beef non-breeding bulls (under 1 year),410448,number,Number of cattle
2003,"Beef Cows and Heifers, Bred from",1288214,number,Number of cattle
2003,"Beef Heifer Calves, under 1 Year Old",581091,number,Number of cattle
2003,Calves Born Alive to Beef Heifers/Cows,1079334,number,Number of cattle
2003,Total Beef Cattle,4626617,number,Number of cattle
2003,Beef Breeding Bulls,80428,number,Number of cattle
2003,"Steers, 2 years old and over",286053,number,Number of cattle
2003,"Steers, 1-2 years old",461958,number,Number of cattle
2003,"Steer Calves, under 1 year",440415,number,Number of cattle
2003,Beef cows and heifers (in calf) 2yrs and over,1135527,number,Number of cattle
2003,Beef cows and heifers (in calf) 1-2yrs old,152687,number,Number of cattle
2003,Beef cows and heifers (not in calf) 2yrs and over,152075,number,Number of cattle
2003,Beef cows and heifers (not in calf) 1-2yrs old,370399,number,Number of cattle
2003,Beef non-breeding bulls 2yrs and over,171220,number,Number of cattle
2003,Beef non-breeding bulls 1-2yrs old,384315,number,Number of cattle
2003,"Breeding Sows, over 1 Year Old",43109,number,Number of pigs
2003,Other Pigs,327868,number,Number of pigs
2003,Total Pigs,377249,number,Number of pigs
2003,Mated Gilts,6272,number,Number of pigs
2003,Piglets weaned on the farm during the year,778708,number,Number of pigs
2003,Breeding Ewes 2 Tooth and Over put to Ram,27086569,number,Number of sheep
2003,Breeding Ewes 2 Tooth and Over not put to Ram,290583,number,Number of sheep
2003,Rams 2 Tooth and Over,420945,number,Number of sheep
2003,Ewe Hoggets put to Ram,2271780,number,Number of sheep
2003,Ewe Hoggets not put to Ram,5563982,number,Number of sheep
2003,Wethers 2 Tooth and Over,741947,number,Number of sheep
2003,Total Sheep,39552113,number,Number of sheep
2003,Total Lambs Marked and/or Tailed,33247115,number,Number of sheep
2003,Total Ram and Wether Hoggets,3176308,number,Number of sheep
2003,Lambs marked/tailed from ewe hoggets,1056749,number,Number of sheep
2003,Lambs marked/tailed from ewes,32190366,number,Number of sheep
2003,Total goats,179435,number,Number of goats
2003,Total male deer,496863,number,Number of deer
2003,Total female deer,1192581,number,Number of deer
2003,Total Deer,1689444,number,Number of deer
2003,Wheat (area harvested),42610,number,Hectares
2003,Wheat (yield),318916,number,Tonnes
2003,Oats (yield),29934,number,Tonnes
2003,Barley (yield),371837,number,Tonnes
2003,Maize (yield),211685,number,Tonnes
2003,Barley (area harvested),63402,number,Hectares
2003,Hectares effluent sprayed over,160489,number,Hectares
2003,Lime,1564392,number,Tonnes
2003,Urea,350806,number,Tonnes
2003,Ammonia Sulphate,37770,number,Tonnes
2003,Diammonium Phosphate (DAP),209265,number,Tonnes
2003,Total All Fertilisers,2540246,number,Tonnes
2003,Potatoes,10931,number,Hectares
2003,Mated hinds (deer),885597,number,Number of deer
2003,Fawns born (during the year ended 30 June),670370,number,Number of deer
2003,Velvet harvested (green weight),447408,number,Kilograms
2003,Male deer (2 yrs and over),147841,number,Number of deer
2003,Male deer (under 2 yrs),349022,number,Number of deer
2003,Female deer mated since 30 June last year,885597,number,Number of deer
2003,Other female deer,306984,number,Number of deer
2003,Eggs from hens,66431948,number,Dozens
2003,Chickens for meat production/broilers,15302948,number,Number of chickens
2003,All other poultry,2089050,number,Number of poultry
2003,Total poultry,20449970,number,Number of poultry
2003,Mean average number of broilers on the farm,8787132,number,Number of chickens
2003,Horses,80397,number,Number of horses
2003,Hens for Egg Production,3057973,number,Number of chickens
2003,Silverbeet/Spinach,437,number,Hectares
2003,Sweetcorn,7041,number,Hectares
2003,"Tomatoes, outdoor",600,number,Hectares
2003,Asparagus,1935,number,Hectares
2003,"Beans, Green",777,number,Hectares
2003,Brussel Sprouts,185,number,Hectares
2003,Capsicum,75,number,Hectares
2003,Carrots,1936,number,Hectares
2003,Celery,121,number,Hectares
2003,Courgettes/Zucchini,327,number,Hectares
2003,Cucumber,31,number,Hectares
2003,Garlic,181,number,Hectares
2003,Kumara,1035,number,Hectares
2003,Onions,5748,number,Hectares
2003,Parsnips,137,number,Hectares
2003,Peas,9708,number,Hectares
2003,Squash,6804,number,Hectares
2003,Pumpkin,1094,number,Hectares
2003,Melons (Water and Rock),325,number,Hectares
2003,Spring Onions,69,number,Hectares
2003,Olives (net area planted),2732,number,Hectares
2003,Boysenberries,238,number,Hectares
2003,Blueberries,449,number,Hectares
2003,Wine grapes,19646,number,Hectares
2003,Apples,12150,number,Hectares
2003,Pears (excluding Asian Pears),905,number,Hectares
2003,Asian Pears (Nashi),128,number,Hectares
2003,Peaches,730,number,Hectares
2003,Apricots,597,number,Hectares
2003,Nectarines,503,number,Hectares
2003,Cherries,569,number,Hectares
2003,Kiwifruit,12271,number,Hectares
2003,Avocados,3235,number,Hectares
2003,Grapefruit/Goldfruit,71,number,Hectares
2003,Lemons,362,number,Hectares
2003,Mandarins,832,number,Hectares
2003,Tangelos,129,number,Hectares
2003,Raspberries,204,number,Hectares
2003,Blackberries/Brambles,58,number,Hectares
2004,Grassland,8377658,number,Hectares
2004,Number of Farm Holdings,66661,number,Number of farm holdings
2004,Tussock or Danthonia,3029730,number,Hectares
2004,"Crops, Grain, Nursery, Vegetables and Fruit",483712,number,Hectares
2004,Land used for horticulture,131237,number,Hectares
2004,Plantations of Exotic Trees,1785732,number,Hectares
2004,Total Area of Farms,15504165,number,Hectares
2004,Dairy Cows and Heifers - not in Milk or Calf,174124,number,Number of cattle
2004,Rising 1 Year Old Dairy Heifers and Calves,830389,number,Number of cattle
2004,"Dairy Cows and Heifers, in Milk or Calf",4103318,number,Number of cattle
2004,Total Dairy Cattle (including Bobby Calves),5152492,number,Number of cattle
2004,Rising 1 Year Old Dairy Heifers and Heifer Calves,814758,number,Number of cattle
2004,Dairy Bulls intended for Breeding,44661,number,Number of cattle
2004,Calves Born Alive to Dairy Heifers/Cows,3157510,number,Number of cattle
2004,Beef non-breeding bulls (under 1 year),344836,number,Number of cattle
2004,"Beef Cows and Heifers, Bred from",1263243,number,Number of cattle
2004,"Beef Heifer Calves, under 1 Year Old",572225,number,Number of cattle
2004,Calves Born Alive to Beef Heifers/Cows,1013893,number,Number of cattle
2004,Total Beef Cattle,4447400,number,Number of cattle
2004,Beef Breeding Bulls,67548,number,Number of cattle
2004,"Steers, 2 years old and over",268586,number,Number of cattle
2004,"Steers, 1-2 years old",478746,number,Number of cattle
2004,"Steer Calves, under 1 year",462388,number,Number of cattle
2004,Beef cows and heifers (in calf) 2yrs and over,1107806,number,Number of cattle
2004,Beef cows and heifers (in calf) 1-2yrs old,155437,number,Number of cattle
2004,Beef cows and heifers (not in calf) 2yrs and over,140717,number,Number of cattle
2004,Beef cows and heifers (not in calf) 1-2yrs old,350439,number,Number of cattle
2004,Beef non-breeding bulls 2yrs and over,145705,number,Number of cattle
2004,Beef non-breeding bulls 1-2yrs old,352965,number,Number of cattle
2004,"Breeding Sows, over 1 Year Old",41187,number,Number of pigs
2004,Other Pigs,340187,number,Number of pigs
2004,Total Pigs,388640,number,Number of pigs
2004,Mated Gilts,7266,number,Number of pigs
2004,Piglets weaned on the farm during the year,803691,number,Number of pigs
2004,Breeding Ewes 2 Tooth and Over put to Ram,26742440,number,Number of sheep
2004,Breeding Ewes 2 Tooth and Over not put to Ram,301198,number,Number of sheep
2004,Rams 2 Tooth and Over,398788,number,Number of sheep
2004,Ewe Hoggets put to Ram,2662492,number,Number of sheep
2004,Ewe Hoggets not put to Ram,5364817,number,Number of sheep
2004,Wethers 2 Tooth and Over,728378,number,Number of sheep
2004,Total Sheep,39271137,number,Number of sheep
2004,Total Lambs Marked and/or Tailed,31853940,number,Number of sheep
2004,Total Ram and Wether Hoggets,3073025,number,Number of sheep
2004,Lambs marked/tailed from ewe hoggets,1071931,number,Number of sheep
2004,Lambs marked/tailed from ewes,30782009,number,Number of sheep
2004,Total goats,141206,number,Number of goats
2004,Total male deer,522193,number,Number of deer
2004,Total female deer,1234695,number,Number of deer
2004,Total Deer,1756888,number,Number of deer
2004,Wheat (area harvested),39062,number,Hectares
2004,Wheat (yield),255860,number,Tonnes
2004,Oats (yield),30844,number,Tonnes
2004,Barley (yield),226082,number,Tonnes
2004,Maize (yield),234248,number,Tonnes
2004,Barley (area harvested),48503,number,Hectares
2004,Hectares effluent sprayed over,167398,number,Hectares
2004,Lime,1520967,number,Tonnes
2004,Urea,398839,number,Tonnes
2004,Ammonia Sulphate,53108,number,Tonnes
2004,Diammonium Phosphate (DAP),260212,number,Tonnes
2004,Total All Fertilisers,2603747,number,Tonnes
2004,Mated hinds (deer),867913,number,Number of deer
2004,Fawns born (during the year ended 30 June),699719,number,Number of deer
2004,Velvet harvested (green weight),457793,number,Kilograms
2004,Male deer (2 yrs and over),160738,number,Number of deer
2004,Male deer (under 2 yrs),361455,number,Number of deer
2004,Female deer mated since 30 June last year,867913,number,Number of deer
2004,Other female deer,366782,number,Number of deer
2004,Eggs from hens,70905849,number,Dozens
2004,Chickens for meat production/broilers,13542601,number,Number of chickens
2004,All other poultry,2315977,number,Number of poultry
2004,Total poultry,19034927,number,Number of poultry
2004,Mean average number of broilers on the farm,9275948,number,Number of chickens
2004,Horses,76918,number,Number of horses
2004,Other livestock,30789,number,Number of livestock
2004,Hens for Egg Production,3176349,number,Number of chickens
2005,Grassland,8241926,number,Hectares
2005,Number of Farm Holdings,64488,number,Number of farm holdings
2005,Tussock or Danthonia,2982472,number,Hectares
2005,"Crops, Grain, Nursery, Vegetables and Fruit",488515,number,Hectares
2005,Land used for horticulture,119124,number,Hectares
2005,Plantations of Exotic Trees,1713075,number,Hectares
2005,Total Area of Farms,15305843,number,Hectares
2005,New Area Planted in Production Forest,9719,number,Hectares
2005,Area Replanted in Production Forest,41333,number,Hectares
2005,Area of Exotic Timber Harvested in hectares,40937,number,Hectares
2005,Area of Exotic Timber Harvested in cubic metres,18362059,number,Cubic metres
2005,Dairy Cows and Heifers - not in Milk or Calf,212042,number,Number of cattle
2005,Rising 1 Year Old Dairy Heifers and Calves,716423,number,Number of cattle
2005,"Dairy Cows and Heifers, in Milk or Calf",4120176,number,Number of cattle
2005,Total Dairy Cattle (including Bobby Calves),5087176,number,Number of cattle
2005,Rising 1 Year Old Dairy Heifers and Heifer Calves,704948,number,Number of cattle
2005,Dairy Bulls intended for Breeding,38536,number,Number of cattle
2005,Calves Born Alive to Dairy Heifers/Cows,3320005,number,Number of cattle
2005,Beef non-breeding bulls (under 1 year),354656,number,Number of cattle
2005,"Beef Cows and Heifers, Bred from",1255255,number,Number of cattle
2005,"Beef Heifer Calves, under 1 Year Old",556116,number,Number of cattle
2005,Calves Born Alive to Beef Heifers/Cows,1018730,number,Number of cattle
2005,Total Beef Cattle,4423626,number,Number of cattle
2005,Beef Breeding Bulls,71305,number,Number of cattle
2005,"Steers, 2 years old and over",273413,number,Number of cattle
2005,"Steers, 1-2 years old",469575,number,Number of cattle
2005,"Steer Calves, under 1 year",478843,number,Number of cattle
2005,Beef cows and heifers (in calf) 2yrs and over,1099978,number,Number of cattle
2005,Beef cows and heifers (in calf) 1-2yrs old,155277,number,Number of cattle
2005,Beef cows and heifers (not in calf) 2yrs and over,153911,number,Number of cattle
2005,Beef cows and heifers (not in calf) 1-2yrs old,366756,number,Number of cattle
2005,Beef non-breeding bulls 2yrs and over,123355,number,Number of cattle
2005,Beef non-breeding bulls 1-2yrs old,320441,number,Number of cattle
2005,"Breeding Sows, over 1 Year Old",36931,number,Number of pigs
2005,Other Pigs,298867,number,Number of pigs
2005,Total Pigs,341465,number,Number of pigs
2005,Mated Gilts,5668,number,Number of pigs
2005,Piglets weaned on the farm during the year,731131,number,Number of pigs
2005,Breeding Ewes 2 Tooth and Over put to Ram,26418797,number,Number of sheep
2005,Breeding Ewes 2 Tooth and Over not put to Ram,236632,number,Number of sheep
2005,Rams 2 Tooth and Over,382371,number,Number of sheep
2005,Ewe Hoggets put to Ram,3130399,number,Number of sheep
2005,Ewe Hoggets not put to Ram,5850583,number,Number of sheep
2005,Wethers 2 Tooth and Over,607059,number,Number of sheep
2005,Total Sheep,39879668,number,Number of sheep
2005,Total Lambs Marked and/or Tailed,33225836,number,Number of sheep
2005,Total Ram and Wether Hoggets,3253826,number,Number of sheep
2005,Lambs marked/tailed from ewe hoggets,1345926,number,Number of sheep
2005,Lambs marked/tailed from ewes,31879910,number,Number of sheep
2005,Total male deer,503509,number,Number of deer
2005,Total female deer,1201576,number,Number of deer
2005,Total Deer,1705084,number,Number of deer
2005,Wheat (area harvested),39415,number,Hectares
2005,Wheat (yield),318947,number,Tonnes
2005,Oats (yield),28714,number,Tonnes
2005,Barley (yield),302023,number,Tonnes
2005,Maize (yield),210253,number,Tonnes
2005,Barley (area harvested),49825,number,Hectares
2005,Walnuts,518,number,Hectares
2005,Macadamias,322,number,Hectares
2005,Hectares effluent sprayed over,187228,number,Hectares
2005,Superphosphate,1457267,number,Tonnes
2005,Lime,1674319,number,Tonnes
2005,Urea,464630,number,Tonnes
2005,Ammonia Sulphate,49115,number,Tonnes
2005,Diammonium Phosphate (DAP),235074,number,Tonnes
2005,Total All Fertilisers,2759132,number,Tonnes
2005,Potatoes,10850,number,Hectares
2005,Mated hinds (deer),821158,number,Number of deer
2005,Fawns born (during the year ended 30 June),648446,number,Number of deer
2005,Velvet harvested (green weight),423378,number,Kilograms
2005,Male deer (2 yrs and over),129889,number,Number of deer
2005,Male deer (under 2 yrs),373620,number,Number of deer
2005,Female deer mated since 30 June last year,821158,number,Number of deer
2005,Other female deer,380418,number,Number of deer
2005,Eggs from hens,77933181,number,Dozens
2005,Chickens for meat production/broilers,14092719,number,Number of chickens
2005,All other poultry,1958520,number,Number of poultry
2005,Total poultry,19400155,number,Number of poultry
2005,Mean average number of broilers on the farm,9772536,number,Number of chickens
2005,Hens for Egg Production,3348916,number,Number of chickens
2005,Sweetcorn,7115,number,Hectares
2005,"Tomatoes, outdoor",772,number,Hectares
2005,Asparagus,1371,number,Hectares
2005,"Beans, Green",746,number,Hectares
2005,Broccoli,1717,number,Hectares
2005,Cabbage,808,number,Hectares
2005,Carrots,1400,number,Hectares
2005,Cauliflower,979,number,Hectares
2005,Cucumber,72,number,Hectares
2005,Kumara,1462,number,Hectares
2005,Lettuce,1207,number,Hectares
2005,Onions,4931,number,Hectares
2005,Peas,8747,number,Hectares
2005,Squash,6981,number,Hectares
2005,Pumpkin,1093,number,Hectares
2005,"Tomatoes, indoor",1262579,number,Square metres
2005,Cucumbers,716192,number,Square metres
2005,Capsicum/Peppers,547452,number,Square metres
2005,Mushrooms,418847,number,Square metres
2005,"Total covered area of glasshouses, green houses, shade houses, etc.",6095726,number,Square metres
2005,Olives (net area planted),2433,number,Hectares
2005,Boysenberries,196,number,Hectares
2005,Blackcurrants,1311,number,Hectares
2005,Blueberries,567,number,Hectares
2005,Wine grapes,24793,number,Hectares
2005,Apples,10982,number,Hectares
2005,Pears (excluding Asian Pears),719,number,Hectares
2005,Peaches,547,number,Hectares
2005,Apricots,480,number,Hectares
2005,Plums,333,number,Hectares
2005,Nectarines,433,number,Hectares
2005,Cherries,524,number,Hectares
2005,Kiwifruit,12071,number,Hectares
2005,Avocados,3400,number,Hectares
2005,Feijoas,181,number,Hectares
2005,Tamarillos,206,number,Hectares
2005,Passionfruit,66,number,Hectares
2005,Persimmons,195,number,Hectares
2005,Oranges,541,number,Hectares
2005,Grapefruit/Goldfruit,48,number,Hectares
2005,Lemons,334,number,Hectares
2005,Mandarins,675,number,Hectares
2005,Tangelos,103,number,Hectares
2005,Strawberries,219,number,Hectares
2005,Raspberries,190,number,Hectares
2005,Blackberries/Brambles,58,number,Hectares
2006,Grassland,8144413,number,Hectares
2006,Number of Farm Holdings,64546,number,Number of farm holdings
2006,Tussock or Danthonia,2768977,number,Hectares
2006,"Crops, Grain, Nursery, Vegetables and Fruit",462376,number,Hectares
2006,Land used for horticulture,115174,number,Hectares
2006,Plantations of Exotic Trees,1675989,number,Hectares
2006,Total Area of Farms,14865589,number,Hectares
2006,New Area Planted in Production Forest,4223,number,Hectares
2006,Area Replanted in Production Forest,36061,number,Hectares
2006,Area of Exotic Timber Harvested in hectares,42835,number,Hectares
2006,Area of Exotic Timber Harvested in cubic metres,18376858,number,Cubic metres
2006,Dairy Cows and Heifers - not in Milk or Calf,234880,number,Number of cattle
2006,Rising 1 Year Old Dairy Heifers and Calves,751790,number,Number of cattle
2006,"Dairy Cows and Heifers, in Milk or Calf",4137697,number,Number of cattle
2006,Total Dairy Cattle (including Bobby Calves),5169557,number,Number of cattle
2006,Rising 1 Year Old Dairy Heifers and Heifer Calves,737428,number,Number of cattle
2006,Dairy Bulls intended for Breeding,45190,number,Number of cattle
2006,Calves Born Alive to Dairy Heifers/Cows,3313093,number,Number of cattle
2006,Beef non-breeding bulls (under 1 year),371620,number,Number of cattle
2006,"Beef Cows and Heifers, Bred from",1268981,number,Number of cattle
2006,"Beef Heifer Calves, under 1 Year Old",575131,number,Number of cattle
2006,Calves Born Alive to Beef Heifers/Cows,1004513,number,Number of cattle
2006,Total Beef Cattle,4439136,number,Number of cattle
2006,Beef Breeding Bulls,71709,number,Number of cattle
2006,"Steers, 2 years old and over",271008,number,Number of cattle
2006,"Steers, 1-2 years old",460509,number,Number of cattle
2006,"Steer Calves, under 1 year",467128,number,Number of cattle
2006,Beef cows and heifers (in calf) 2yrs and over,1081071,number,Number of cattle
2006,Beef cows and heifers (in calf) 1-2yrs old,187910,number,Number of cattle
2006,Beef cows and heifers (not in calf) 2yrs and over,128804,number,Number of cattle
2006,Beef cows and heifers (not in calf) 1-2yrs old,351984,number,Number of cattle
2006,Beef non-breeding bulls 2yrs and over,130089,number,Number of cattle
2006,Beef non-breeding bulls 1-2yrs old,342172,number,Number of cattle
2006,"Breeding Sows, over 1 Year Old",36507,number,Number of pigs
2006,Other Pigs,312195,number,Number of pigs
2006,Total Pigs,355501,number,Number of pigs
2006,Mated Gilts,6799,number,Number of pigs
2006,Piglets weaned on the farm during the year,757448,number,Number of pigs
2006,Breeding Ewes 2 Tooth and Over put to Ram,26904995,number,Number of sheep
2006,Breeding Ewes 2 Tooth and Over not put to Ram,280756,number,Number of sheep
2006,Rams 2 Tooth and Over,384896,number,Number of sheep
2006,Ewe Hoggets put to Ram,3022987,number,Number of sheep
2006,Ewe Hoggets not put to Ram,5682274,number,Number of sheep
2006,Wethers 2 Tooth and Over,520545,number,Number of sheep
