call_sign,frequency,city,licensee,format,state
WEOM-LP,103.1 FM,Thomasville,"World Evangelistic Outreach Ministries, Inc.",Gospel/Jazz/Urban,North_Carolina
WERO,93.3 FM,Washington,"Dick Broadcasting Company, Inc. of Tennessee",Top 40 (CHR),North_Carolina
WERX-FM,102.5 FM,Columbia,Lawrence Loesch and Margaret Loesch,Classic hits,North_Carolina
WETC,540 AM,Wendell-Zebulon,"Divine Mercy Radio, Inc.",Spanish,North_Carolina
WEWO,1460 AM,Laurinburg,"Service Media, Inc.",Gospel,North_Carolina
WEZG-LP,102.5 FM,Statesville,"Covenant Broadcasting Company of Statesville, Inc.",Religious Teaching,North_Carolina
WFAE,90.7 FM,Charlotte,"University Radio Foundation, Inc.","News/Talk, NPR",North_Carolina
WFAY,1230 AM,Fayetteville,"Colonial Media and Entertainment, LLC",Country,North_Carolina
WFBT,106.7 FM,Carolina Beach,Carolina Christian Radio,Southern gospel,North_Carolina
WFDD,88.5 FM,Winston-Salem,Wake Forest University,News/Talk/Classical,North_Carolina
WFHC-LP,106.5 FM,Hendersonville,JBN Inc.,Christian,North_Carolina
WFHE,90.3 FM,Hickory,"University Radio Foundation, Inc.","News/Talk, NPR",North_Carolina
WFJA,105.5 FM,Sanford,Sandhills Broadcasting Group LLC,Classic hits,North_Carolina
WFLB,96.5 FM,Laurinburg,"Beasley Media Group, LLC",Adult hits,North_Carolina
WFMC,730 AM,Goldsboro,"New Age Communications, Inc.",Black Gospel,North_Carolina
WFMI,100.9 FM,Southern Shores,"Communications Systems, Inc.",Urban contemporary gospel,North_Carolina
WFMO,860 AM,Fairmont,Truth Broadcasting Corporation,Regional Mexican,North_Carolina
WFMZ,104.9 FM,Hertford,"East Carolina Radio of Hertford, Inc.",Adult Hits,North_Carolina
WFNC,640 AM,Fayetteville,Cumulus Licensing LLC,News/Talk,North_Carolina
WFNE-LP,103.5 FM,Wake Forest,"Epic Radio, Inc.",Catholic,North_Carolina
WFNZ,610 AM,Charlotte,"Radio One of North Carolina, LLC",Urban contemporary,North_Carolina
WFNZ-FM,92.7 FM,Harrisburg,"Radio One of North Carolina, LLC",Sports,North_Carolina
WFOZ-LP,105.1 FM,Winston-Salem,Forsyth Technical Community College,Variety,North_Carolina
WFQS,91.3 FM,Franklin,Western North Carolina Public Radio,Classical music/news/talk,North_Carolina
WFSC,1050 AM,Franklin,Sutton Radiocasting Corporation,Oldies,North_Carolina
WFSS,91.9 FM,Fayetteville,"WUNC Public Radio, LLC",Public radio,North_Carolina
WFVL,102.3 FM,Lumberton,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WFXC,107.1 FM,Durham,"Radio One Licenses, LLC",Urban adult contemporary,North_Carolina
WFXK,104.3 FM,Tarboro,"Radio One Licenses, LLC",Urban adult contemporary,North_Carolina
WGAI,560 AM,Elizabeth City,"Gregory Communications License, Inc.",News/Talk,North_Carolina
WGAS,1420 AM,South Gastonia,"Victory Christian Center, Inc.",Religious,North_Carolina
WGBR,1150 AM,Goldsboro,"New Age Communications, Ltd.",Classic hits,North_Carolina
WGCR,720 AM,Pisgah Forest,Anchor Baptist Broadcasting Association,Christian,North_Carolina
WGFY,1480 AM,Charlotte,Charlotte Advent Media Corporation,Christian,North_Carolina
WGHB,1250 AM,Farmville,"Pirate Media Group, LLC",Sports,North_Carolina
WGHJ,105.3 FM,Fair Bluff,Augusta Radio Fellowship Institute,Christian (Good News Network),North_Carolina
WGHW,88.1 FM,Lockwoods Folly Town,"Peace Baptist Church of Wilmington, NC",Religious,North_Carolina
WGIV,1370 AM,Pineville,"RFPJY, LLC",Black gospel/Talk,North_Carolina
WGIW,89.7 FM,Pilot Mountain,Church Planters of America,Gospel,North_Carolina
WGNC,1450 AM,Gastonia,"SN Radio, LLC",News/Talk/Sports,North_Carolina
WGNI,102.7 FM,Wilmington,Cumulus Licensing LLC,Adult contemporary,North_Carolina
WGOS,1070 AM,High Point,"Iglesia Nueva Vida of High Point, Inc.",News/Talk,North_Carolina
WGSP,1310 AM,Charlotte,"Norsan Consulting and Management, Inc.",Regional Mexican,North_Carolina
WGTI,97.7 FM,Winfall,Educational Media Foundation,Contemporary worship (Air1),North_Carolina
WGXM,91.1 FM,Calypso,"Pathway Christian Academy, Inc.",Christian (Go Mix! Radio),North_Carolina
WGXO,90.9 FM,Magnolia,"Pathway Christian Academy, Inc.",Christian (Go Mix! Radio),North_Carolina
WHAR,105.1 FM,Havelock,Educational Media Foundation,Contemporary worship (Air1),North_Carolina
WHBK,1460 AM,Marshall,"Seay Broadcasting, Inc.",Southern gospel,North_Carolina
WHBT-FM,92.1 FM,Moyock,"iHM Licenses, LLC",Classic hip hop,North_Carolina
WHDX,99.9 FM,Waves,"Radio Hatteras, Inc.",Variety,North_Carolina
WHDZ,101.5 FM,Buxton,"Radio Hatteras, Inc.",Variety,North_Carolina
WHFK-LP,105.5 FM,Red Oak,Northern Nash High School,Variety,North_Carolina
WHGO,91.3 FM,Hertford,"Pathway Christian Academy, Inc.",Christian (Go Mix! Radio),North_Carolina
WHGW-LP,100.3 FM,Morganton,Morganton Christian Radio Corporation,Christian,North_Carolina
WHIP,1350 AM,Mooresville,"Mooresville Media, Inc.",Oldies,North_Carolina
WHKP,1450 AM,Hendersonville,"Radio Hendersonville, Inc.",Country/Talk,North_Carolina
WHKY,1290 AM,Hickory,"Long Communications, LLC",News/Talk,North_Carolina
WHLC,104.5 FM,Highlands,Charisma Radio Corp.,Easy listening,North_Carolina
WHNC,890 AM,Henderson,"The Paradise Network (TPN) of North Carolina, Inc.",Gospel,North_Carolina
WHPE-FM,95.5 FM,High Point,"Bible Broadcasting Network, Inc.",Conservative religious (Bible Broadcasting Network),North_Carolina
WHPY,1590 AM,Clayton,Fellowship Baptist Church Inc.,Religious,North_Carolina
WHQC,96.1 FM,Shelby,"iHM Licenses, LLC",Top 40 (CHR),North_Carolina
WHQR,91.3 FM,Wilmington,Friends of Public Radio,Public radio,North_Carolina
WHSP-LP,100.9 FM,Black Mountain,"Church of the Incarnation of Asheville, Incorporated",Religious Teaching,North_Carolina
WHUP-LP,104.7 FM,Hillsborough,Hillsborough Community Radio,Variety,North_Carolina
WHVN,1240 AM,Charlotte,"WHVN, Inc.",Religious,North_Carolina
WHYC,88.5 FM,Swan Quarter,Hyde County Board of Education,Silent,North_Carolina
WIAM,900 AM,Williamston,"Lifeline Ministries, Inc.",Southern gospel,North_Carolina
WICE-LP,97.1 FM,Hendersonville,Ebenezer Pentecostal Radio Service,Religious Teaching,North_Carolina
WIDU,1600 AM,Fayetteville,"W I D U Broadcasting, Inc.",Black gospel,North_Carolina
WIFM-FM,100.9 FM,Elkin,Yadkin Valley Broadcasting Corporation,Adult contemporary,North_Carolina
WIID,88.1 FM,Rodanthe,Craven County SBA Inc,Hot adult contemporary,North_Carolina
WIKS,101.9 FM,New Bern,"CMG Coastal Carolina, LLC",Mainstream urban,North_Carolina
WILT,103.7 FM,Wrightsville Beach,"Sunrise Broadcasting, LLC",Adult contemporary,North_Carolina
WIOZ,550 AM,Pinehurst,"Muirfield Broadcasting, Inc.",Adult standards,North_Carolina
WIOZ-FM,102.5 FM,Southern Pines,Meridian Communications L.L.C.,Adult contemporary,North_Carolina
WISE,1310 AM,Asheville,"Saga Communications of North Carolina, LLC",Sports,North_Carolina
WIST-FM,98.3 FM,Thomasville,WEAM Quality Radio Corp.,Spanish language/Latino,North_Carolina
WIXE,1190 AM,Monroe,"Monroe Broadcasting Company, Inc.",Country/Talk,North_Carolina
WIZS,1450 AM,Henderson,"Rose Farm and Rentals, Inc.",Country,North_Carolina
WJCV,1290 AM,Jacksonville,Down East Broadcasting Co Inc.,Religious,North_Carolina
WJFT-LP,93.5 FM,Sanford,Sanford Church of Christ,Christian,North_Carolina
WJHW,89.5 FM,Mayodan,Church Planters of America,Gospel,North_Carolina
WJKA,90.1 FM,Jacksonville,American Family Association,Religious talk (AFR),North_Carolina
WJMH,102.1 FM,Reidsville,"Audacy License, LLC",Urban contemporary,North_Carolina
WJNC,1240 AM,Jacksonville,"Pathway Christian Academy, Inc.",News/Talk/Sports,North_Carolina
WJOF-LP,97.9 FM,Liberty,"Health and Liberty, Inc.",Christian,North_Carolina
WJQY-LP,101.1 FM,Wilson,Kingsmill Ministries Inc.,Religious Teaching,North_Carolina
WJRI,1340 AM,Lenoir,"Foothills Radio Group, LLC",Oldies,North_Carolina
WJRM,1390 AM,Troy,"Family Worship Ministries, Inc.",Gospel,North_Carolina
WJSG,104.3 FM,Hamlet,Jackson Broadcasting Company,Gospel,North_Carolina
WJSI-LP,91.7 FM,Wilmington,St. Mark Radio Association,Catholic,North_Carolina
WJSL-LP,100.7 FM,Southport,Sacred Heart Radio Association,Catholic,North_Carolina
WJSS-LP,103.1 FM,Wilmington,St. Jude Radio Association,Catholic,North_Carolina
WJYJ,88.1 FM,Hickory,"Positive Alternative Radio, Inc.",Southern gospel,North_Carolina
WKBC,800 AM,North Wilkesboro,"Wilkes Broadcasting Company, Inc.",Country,North_Carolina
WKBC-FM,97.3 FM,North Wilkesboro,"Wilkes Broadcasting Company, Inc.",Hot adult contemporary,North_Carolina
WKDX,1250 AM,Hamlet,The McLaurin Group,Gospel,North_Carolina
WKEW,1400 AM,Greensboro,Truth Broadcasting Corporation,Gospel,North_Carolina
WKFV,107.3 FM,Clinton,Educational Media Foundation,Christian contemporary (K-LOVE),North_Carolina
WKGV,104.1 FM,Swansboro,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WKGX,1080 AM,Lenoir,"Foothills Radio Group, LLC",Classic hits,North_Carolina
WKHC,97.1 FM,Hatteras,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WKIX (AM),850 AM,Raleigh,"AM 850, LLC",Oldies,North_Carolina
WKIX-FM,102.9 FM,Raleigh,FM 102.9 LLC,Classic hits,North_Carolina
WKJO,102.3 FM,Smithfield,"Triangle Marketing Associates, Inc.",Country,North_Carolina
WKJV,1380 AM,Asheville,International Baptist Outreach Missions,Religious,North_Carolina
WKJW,1010 AM,Black Mountain,"International Baptist Outreach Missions, Inc.",Christian talk,North_Carolina
WKJX,96.7 FM,Elizabeth City,"East Carolina Radio of Elizabeth City, Inc.",Hot adult contemporary,North_Carolina
WKKT,96.9 FM,Statesville,"iHM Licenses, LLC",Country,North_Carolina
WKML,95.7 FM,Lumberton,"Beasley Media Group, LLC",Country,North_Carolina
WKNC-FM,88.1 FM,Raleigh,North Carolina State University,Variety,North_Carolina
WKNS,90.3 FM,Kinston,Craven Community College,Classical,North_Carolina
WKOO,710 AM,Rose Hill,Conner Media Corporation,Classic country,North_Carolina
WKQC,104.7 FM,Charlotte,"Beasley Media Group Licenses, LLC",Adult contemporary,North_Carolina
WKRK,1320 AM,Murphy,"Radford Communications, Inc.",Classic country,North_Carolina
WKRP-LP,101.9 FM,Raleigh,"Oak City Media, Inc.",Variety,North_Carolina
WKRR,92.3 FM,Asheboro,"Dick Broadcasting Company, Inc. of Tennessee",Classic rock,North_Carolina
WKRX,96.7 FM,Roxboro,Roxboro Broadcasting Company,Country,North_Carolina
WKSF,99.9 FM,Old Fort,"iHM Licenses, LLC",Country,North_Carolina
WKSK,580 AM,West Jefferson,"Caddell Broadcasting, Inc.",Country,North_Carolina
WKTE,1090 AM,King,"Booth-Newsom Broadcasting, Inc.",Oldies/Beach music/Classic country/R & B,North_Carolina
WKVK,106.7 FM,Semora,Educational Media Foundation,Christian Contemporary (K-Love),North_Carolina
WKVS,103.3 FM,Lenoir,"Foothills Radio Group, LLC",Country,North_Carolina
WKXB,99.9 FM,Boiling Spring Lakes,"Sunrise Broadcasting, LLC",Rhythmic oldies,North_Carolina
WKXR,1260 AM,Asheboro,South Triad Broadcasting Corp.,Country,North_Carolina
WKXS-FM,94.5 FM,Leland,Cumulus Licensing LLC,Classic rock,North_Carolina
WKYK,940 AM,Burnsville,"Mark Media, Inc.",Classic country,North_Carolina
WKZL,107.5 FM,Winston-Salem,"Dick Broadcasting Company, Inc. of Tennessee",Top 40 (CHR),North_Carolina
WLFA,91.3 FM,Asheville,"Radio Training Network, Inc.",Contemporary Christian,North_Carolina
WLGP,100.3 FM,Harkers Island,"Augusta Radio Fellowship Institute, Inc.",Christian (Good News Network),North_Carolina
WLGT,98.3 FM,Washington,"Media East, LLC",Christian,North_Carolina
WLHC,103.1 FM,Robbins,Woolstone Corporation,Adult standards/MOR,North_Carolina
WLJF-LP,100.7 FM,Greensboro,Love and Faith Christian Fellowship,Urban gospel,North_Carolina
WLJZ-LP,107.1 FM,Salisbury,Livingstone College,Variety,North_Carolina
WLKO,102.9 FM,Hickory,"iHM Licenses, LLC",Adult hits,North_Carolina
WLLN,1370 AM,Lillington,Estuardo Valdemar Rodriguez,Spanish,North_Carolina
WLLQ,1530 AM,Chapel Hill,Estuardo Valdemar Rodriguez and Leonor Rodriguez,Spanish,North_Carolina
WLLY,1350 AM,Wilson,"Estuardo Valdemar Rodriguez and Leonor Rodriguez, JT Tenants",Gospel,North_Carolina
WLNC,1300 AM,Laurinburg,"Scotland Broadcasting Company, Inc.","Adult contemporary, Oldies, & Carolina Beach Music",North_Carolina
WLNK,107.9 FM,Charlotte,"Radio One of North Carolina, LLC",Hot adult contemporary,North_Carolina
WLNR,1230 AM,Kinston,Estuardo Valdemar Rodriguez & Leonor Rodriguez,Regional Mexican,North_Carolina
WLOE,1490 AM,Eden,Mayo Broadcasting Corporation,News/Talk,North_Carolina
WLON,1050 AM,Lincolnton,"KTC Broadcasting, Inc.",Oldies,North_Carolina
WLPS-FM,89.5 FM,Lumberton,Billy Ray Locklear Evangelistic Association,Gospel,North_Carolina
WLQB,93.5 FM,Ocean Isle Beach,"iHM Licenses, LLC",Regional Mexican,North_Carolina
WLQC,103.1 FM,Sharpsburg,Pinestone Media Corporation,Adult standards/MOR,North_Carolina
WLRZ-LP,99.3 FM,Hickory,Lenoir-Rhyne University,Adult album alternative,North_Carolina
WLSG,1340 AM,Wilmington,"Norsan Consulting and Management, Inc.",Regional Mexican,North_Carolina
WLUL-LP,96.5 FM,Thomasville,Thomasville Educational Radio,Religious Teaching,North_Carolina
WLWL,770 AM,Rockingham,"Beach Music Broadcasting, Inc.",Urban oldies,North_Carolina
WLXB,98.9 FM,Bethel,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WLXK,88.3 FM,Boiling Springs,Educational Media Foundation,Adult album alternative,North_Carolina
WLXN,1440 AM,Lexington,"Davidson County Broadcasting Company, Inc.",Contemporary worship (Air1),North_Carolina
WLXZ,90.3 FM,Pinehurst,Educational Media Foundation,Christian Contemporary (K-Love),North_Carolina
WLYT-LP,94.7 FM,Mooresville,Bespoke Broadcasting,Classic hits,North_Carolina
WMAG,99.5 FM,High Point,"iHM Licenses, LLC",Adult contemporary,North_Carolina
WMFA,1400 AM,Raeford,W & V Broadcasting,Gospel,North_Carolina
WMFB-LP,101.5 FM,Charlotte,"Monte Calvario Foundation, Inc.",Religious Teaching,North_Carolina
WMFD,630 AM,Wilmington,"Sunrise Broadcasting, LLC",Sports,North_Carolina
WMFR,1230 AM,High Point,"Triad Media Partners, Inc.",Country,North_Carolina
WMGU,106.9 FM,Southern Pines,Cumulus Licensing LLC,Urban adult contemporary,North_Carolina
WMGV,103.3 FM,Newport,"CMG Coastal Carolina, LLC",Hot adult contemporary,North_Carolina
WMIT,106.9 FM,Black Mountain,Blue Ridge Broadcasting Corporation,Christian,North_Carolina
WMJV,99.5 FM,Grifton,"CMG Coastal Carolina, LLC",Hot adult contemporary,North_Carolina
WMKS,100.3 FM,High Point,"iHM Licenses, LLC",Top 40 (CHR),North_Carolina
WMMY,106.1 FM,Jefferson,"High Country Adventures, LLC",Country,North_Carolina
WMNC,1430 AM,Morganton,Cooper Broadcasting Company,Classic country,North_Carolina
WMNC-FM,92.1 FM,Morganton,Cooper Broadcasting Company,Country,North_Carolina
WMNX,97.3 FM,Wilmington,Cumulus Licensing LLC,Mainstream urban,North_Carolina
WMPM,1270 AM,Smithfield,"Johnson Broadcast Ventures, Ltd.",Silent,North_Carolina
WMQS,88.5 FM,Murphy,"Western North Carolina Public Radio, Inc.",Classical/News/Talk,North_Carolina
WMRV,1450 AM,Spring Lake,"Colonial Media and Entertainment, LLC",Classic rock,North_Carolina
WMTG-LP,88.1 FM,Mount Gilead,Mount Gilead Community Concerts Association,Variety,North_Carolina
WMXF,1400 AM,Waynesville,"iHM Licenses, LLC",Sports,North_Carolina
WMYI,102.5 FM,Hendersonville,"iHM Licenses, LLC",Adult hits,North_Carolina
WMYN,1420 AM,Mayodan,Mayo Broadcasting Corp.,News/Talk,North_Carolina
WNAA,90.1 FM,Greensboro,North Carolina Agricultural and Technical State University,Variety,North_Carolina
WNBB,97.9 FM,Bayboro,"Coastal Carolina Radio, LLC",Classic country,North_Carolina
WNBU,94.1 FM,Oriental,"Inner Banks Media, LLC",Oldies,North_Carolina
WNCA,1570 AM,Siler City,"Chatham Broadcasting Co., Inc. of Silver City",News/Talk,North_Carolina
WNCB,93.9 FM,Cary,"iHM Licenses, LLC",Country,North_Carolina
WNCC,104.1 FM,Franklin,Sutton Radiocasting Corporation,Country,North_Carolina
WNCT,1070 AM,Greenville,"CMG Coastal Carolina, LLC",Beach music,North_Carolina
WNCT-FM,107.9 FM,Greenville,"Inner Banks Media, LLC",Adult contemporary,North_Carolina
WNCU,90.7 FM,Durham,North Carolina Central University,"Jazz, Public radio",North_Carolina
WNCW,88.7 FM,Spindale,Isothermal Community College,Adult album alternative/Americana,North_Carolina
WNIA,89.1 FM,Tarboro,Nash Community College,Variety,North_Carolina
WNKS,95.1 FM,Charlotte,"Beasley Media Group Licenses, LLC",Top 40 (CHR),North_Carolina
WNNC,1230 AM,Newton,"Newton-Conover Communications, Inc.",Oldies,North_Carolina
WNNL,103.9 FM,Fuquay-Varina,"Radio One Licenses, LLC",Urban contemporary gospel,North_Carolina
WNOS,1450 AM,New Bern,"CTC Media Group, Inc.",News/Talk/Sports,North_Carolina
WNOW,1030 AM,Mint Hill,Norsan Media LLC,Spanish news/talk/sports,North_Carolina
WNTB,93.7 FM,Topsail Beach,"Davis Media, LLC",Country,North_Carolina
WOBR-FM,95.3 FM,Wanchese,"East Carolina Radio, Inc.",Mainstream rock,North_Carolina
WOBX,1530 AM,Wanchese,"East Carolina Radio, Inc.",Classic country,North_Carolina
WOBX-FM,98.1 FM,Manteo,"East Carolina Radio, Inc.",Sports,North_Carolina
WOGR,1540 AM,Charlotte,Victory Christian Center,Gospel,North_Carolina
WOGR-FM,93.3 FM,Salisbury,"Victory Christian Center, Inc.",Gospel,North_Carolina
WOHS,1390 AM,Shelby,"KTC Broadcasting, Inc.",Oldies,North_Carolina
WOLS,106.1 FM,Waxhaw,"GHB of Waxhaw, Inc.",Regional Mexican,North_Carolina
WOPR,88.1 FM,Madison,Church Planters of America,Gospel,North_Carolina
WOPT-LP,95.9 FM,Waynesville,Waynesville Christian Radio Corporation,Religious (Radio 74 Internationale),North_Carolina
WOTJ,90.7 FM,Morehead City,Grace Christian School,Conservative religious,North_Carolina
WOVE-LP,104.1 FM,Forest City,The Community Empowerment Project Community Development Corp,Variety,North_Carolina
WOVV,90.1 FM,Ocracoke,Ocracoke Foundation,Variety,North_Carolina
WOXL-FM,96.5 FM,Biltmore Forest,"Saga Communications of North Carolina, LLC",Adult contemporary,North_Carolina
WPAQ,740 AM,Mount Airy,"WPAQ Radio, Inc.",Country/Americana/Bluegrass,North_Carolina
WPAW,93.1 FM,Winston-Salem,"Audacy License, LLC",Country,North_Carolina
WPCM,920 AM,Burlington-Graham,"Carolina Radio Group, Inc.",Contemporary Christian,North_Carolina
WPEG,97.9 FM,Concord,"Beasley Media Group Licenses, LLC",Mainstream urban,North_Carolina
WPEK,880 AM,Fairview,"iHM Licenses, LLC",Sports,North_Carolina
WPET,950 AM,Greensboro,Truth Broadcasting Corporation,Religious,North_Carolina
WPFJ,1480 AM,Franklin,"Radio Training Network, Inc.",Gospel,North_Carolina
WPIP,880 AM,Winston-Salem,Berean Christian School,Religious,North_Carolina
WPJL,1240 AM,Raleigh,"WPJL, Inc.",Religious,North_Carolina
WPLW-FM,102.5 FM,Hillsborough,New Century Media Group,Top 40 (CHR),North_Carolina
WPOL,1340 AM,Winston-Salem,Truth Broadcasting Corporation,Gospel,North_Carolina
WPTF,680 AM,Raleigh,First State Communications,News/Talk,North_Carolina
WPTI,94.5 FM,Eden,"iHM Licenses, LLC",News/Talk,North_Carolina
WPTL,920 AM,Canton,"Skycountry Broadcasting, Inc.",Country,North_Carolina
WPTM,102.3 FM,Roanoke Rapids,"Byrne Acquisition Group, LLC",Country,North_Carolina
WPVM-LP,103.7 FM,Asheville,"Friends of WPVM, Inc.",Variety,North_Carolina
WPVR-LP,101.3 FM,Mt. Airy,Mt. Airy Community Radio Inc.,Oldies,North_Carolina
WPWZ,95.5 FM,Pinetops,"First Media Radio, LLC",Mainstream urban,North_Carolina
WPYB,1130 AM,Benson,"Benson-Dunn Broadcasting, Inc.",Country,North_Carolina
WPZS,100.9 FM,Indian Trail,"Radio One of North Carolina, LLC",Urban contemporary gospel,North_Carolina
WQDK,99.3 FM,Gatesville,"Icon Broadcasting, Inc.",Country,North_Carolina
WQDR,570 AM,Raleigh,"Triangle Broadcast Associates, LLC",Classic rock,North_Carolina
WQDR-FM,94.7 FM,Raleigh,"Carolina Media Group, Inc.",Country,North_Carolina
WQFS,90.9 FM,Greensboro,Guilford College,Variety,North_Carolina
WQMG,97.1 FM,Greensboro,"Audacy License, LLC",Urban adult contemporary,North_Carolina
WQNQ,104.3 FM,Fletcher,"iHM Licenses, LLC",Top 40 (CHR),North_Carolina
WQNS,105.1 FM,Woodfin,"iHM Licenses, LLC",Mainstream rock,North_Carolina
WQOK,97.5 FM,Carrboro,"Radio One Licenses, LLC",Mainstream urban,North_Carolina
WQSL,92.3 FM,Jacksonville,"Dick Broadcasting Company, Inc. of Tennessee",Variety hits,North_Carolina
WQSM,98.1 FM,Fayetteville,Cumulus Licensing LLC,Top 40 (CHR),North_Carolina
WQTM,1480 AM,Fair Bluff,Keith Baldwin,Silent,North_Carolina
WQZL,101.1 FM,Belhaven,"Dick Broadcasting Company, Inc. of Tennessee",Adult hits,North_Carolina
WRAE,88.7 FM,Raeford,American Family Association,Religious talk (AFR),North_Carolina
WRAL,101.5 FM,Raleigh,"WRAL-FM, Inc.",Adult contemporary,North_Carolina
WRCM,91.9 FM,Wingate,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WRCQ,103.5 FM,Dunn,Cumulus Licensing LLC,Mainstream rock,North_Carolina
WRCS,970 AM,Ahoskie,"WRCS-AM 970, Inc.",Gospel,North_Carolina
WRDU,100.7 FM,Wake Forest,"iHM Licenses, LLC",Classic rock,North_Carolina
WRES-LP,100.7 FM,Asheville,Empowerment Resource Center of Asheville & Buncombe Co. Inc.,Urban/Gospel,North_Carolina
WREV,1220 AM,Reidsville,Estuardo Valdemar Rodriguez and Leonor Rodriguez,Spanish-language,North_Carolina
WRFX,99.7 FM,Kannapolis,"iHM Licenses, LLC",Classic rock,North_Carolina
WRGC,540 AM,Sylva,"Five-Forty Broadcasting Company, LLC",Adult contemporary,North_Carolina
WRHD,94.3 FM,Farmville,"Inner Banks Media, LLC",Sports,North_Carolina
WRHT,96.3 FM,Morehead City,Inner Banks Media,Talk,North_Carolina
WRJD,1410 AM,Durham,Truth Broadcasting Corporation,Spanish Christian,North_Carolina
WRKB,1460 AM,Kannapolis,Ford Broadcasting,Southern gospel,North_Carolina
WRKV,88.9 FM,Raleigh,Educational Media Foundation,Contemporary Christian (K-Love),North_Carolina
WRLY-LP,93.5 FM,Raleigh,"Triangle Access Broadcasting, Inc.",Talk,North_Carolina
WRMR,98.7 FM,Jacksonville,"Sunrise Broadcasting, LLC",Alternative rock,North_Carolina
WRMT,1490 AM,Rocky Mount,"First Media Radio, LLC",Gospel,North_Carolina
WRNA,1140 AM,China Grove,"South Rowan Broadcasting Co., Inc.",Southern gospel,North_Carolina
WRNS,960 AM,Kinston,"Dick Broadcasting Company, Inc. of Tennessee",Sports,North_Carolina
WRNS-FM,95.1 FM,Kinston,"Dick Broadcasting Company, Inc. of Tennessee",Country,North_Carolina
WRPG-LP,106.9 FM,Pikeville,Pleasant Grove Original Free Will Baptist Church,Religious Teaching,North_Carolina
WRQM,90.9 FM,Rocky Mount,"WUNC Public Radio, LLC",Public radio,North_Carolina
WRRZ,880 AM,Clinton,Sanchez Broadcasting Corporation,Spanish,North_Carolina
WRSF,105.7 FM,Columbia,"East Carolina Radio, Inc.",Country,North_Carolina
WRSH,91.1 FM,Rockingham,Richmond County Board of Education,Educational,North_Carolina
WRSV,92.1 FM,Elm City,Northstar Broadcasting Corporation,Mainstream urban,North_Carolina
WRTG,1000 AM,Garner,Estuardo Valdemar Rodriguez and Leonor Rodriguez,Spanish variety,North_Carolina
WRTP,88.5 FM,Roanoke Rapids,"Radio Training Network, Inc.",Christian,North_Carolina
WRVS-FM,89.9 FM,Elizabeth City,Elizabeth City State University,Urban/Urban AC,North_Carolina
WRXO,1430 AM,Roxboro,Roxboro Broadcasting Company,Oldies,North_Carolina
WRYN,89.1 FM,Hickory,American Family Association,Religious Talk (AFR),North_Carolina
WSAT,1280 AM,Salisbury,"2B Productions, LLC",Oldies,North_Carolina
WSEQ-LP,92.9 FM,Hudson,South Caldwell High School,Variety,North_Carolina
WSER-LP,100.1 FM,Lenoir,Caldwell County Public Schools,Variety,North_Carolina
WSFL-FM,106.5 FM,New Bern,"CMG Coastal Carolina, LLC",Classic rock,North_Carolina
WSFM-LP,103.3 FM,Asheville,"Friends of Community Radio, Inc.",Variety,North_Carolina
WSGE,91.7 FM,Dallas,Gaston College,Adult album alternative,North_Carolina
WSGH,1040 AM,Lewisville,"TBLC Greensboro Stations, LLC",Spanish,North_Carolina
WSHP-LP,103.3 FM,Cary,Roman Catholic Diocese of Raleigh,Religious,North_Carolina
WSIC,1400 AM,Statesville,"Iredell Broadcasting, Inc.",News/Talk,North_Carolina
WSIF,90.9 FM,Wilkesboro,Isothermal Community College,Adult album alternative/Americana,North_Carolina
WSJS,600 AM,Winston-Salem,Truth Broadcasting Corporation,Sports/Talk,North_Carolina
WSKY,1230 AM,Asheville,"Macon Media, Inc.",Religious,North_Carolina
WSME,1120 AM,Camp Lejeune,B&M Broadcasting LLC,Oldies,North_Carolina
WSML,1200 AM,Graham,"Alamance Media Partners, Inc.",Sports,North_Carolina
WSMU-LP,106.7 FM,Raleigh,Centro Cristiano el Sermon del Monte,Spanish Religious,North_Carolina
WSMW,98.7 FM,Greensboro,"Audacy License, LLC",Adult hits,North_Carolina
WSMX,1500 AM,Winston-Salem,Blue Ridge Broadcasting Corporation,Oldies,North_Carolina
WSMY,1400 AM,Weldon,"Byrne Acquisition Group, LLC",News/Talk,North_Carolina
WSNC,90.5 FM,Winston-Salem,Winston-Salem State University,Jazz,North_Carolina
WSOC-FM,103.7 FM,Charlotte,"Beasley Media Group Licenses, LLC",Country,North_Carolina
WSOE,89.3 FM,Elon,Elon College,Alternative,North_Carolina
WSPC,1010 AM,Albemarle,"Stanly Communications, Inc.",News/Talk/Sports,North_Carolina
WSQL,1240 AM,Brevard,Gonuts Media LLC,Classic hits,North_Carolina
WSRP,910 AM,Jacksonville,Estuardo Valdemar Rodriguez & Leonor Rodriguez,Spanish,North_Carolina
WSSG,1300 AM,Goldsboro,"Eastern Airwaves, LLC",Urban contemporary,North_Carolina
WSSY-LP,107.9 FM,Greensboro,Greater Greensboro Broadcasting Team,R&B/Urban Gospel,North_Carolina
WSTK,104.5 FM,Aurora,"Media East, LLC",Urban contemporary gospel,North_Carolina
