number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore
4066,Dark Canvas: A Brush With Death Collector's Edition,"Mar 21, 2017",9.99,"0 .. 20,000",Vast Studios,Big Fish Games,0,0,NA
4067,SPACE DVRTS,"Jun 22, 2017",1.99,"0 .. 20,000",Laser Fuel Games,Laser Fuel Games,0,0,NA
4068,Rat Simulator,"Jul 27, 2017",7.99,"0 .. 20,000",Visualnoveler,Visualnoveler,0,0,NA
4069,Haunted Dream House,"Nov 27, 2017",4.99,"0 .. 20,000",Must Imagine Entertainment,Must Imagine Entertainment,0,0,NA
4070,Entangle,"Feb 17, 2017",5.99,"0 .. 20,000",Blake Garner,Blake Garner,0,0,NA
4071,Nevertales: Legends Collector's Edition,"Dec 18, 2017",9.99,"0 .. 20,000",Mad Head Games,Big Fish Games,0,0,NA
4072,The Fall of Lazarus,"Oct 4, 2017",14.99,"0 .. 20,000",No Wand Studios,No Wand Studios,0,0,NA
4073,Romans From Mars,"Nov 9, 2017",4.99,"0 .. 20,000",SideKick,Majesco Entertainment,0,0,NA
4075,Conquest of Gerazania,"Dec 15, 2017",4.99,"0 .. 20,000",Zarkan Entertainment,Zarkan Entertainment,0,0,NA
4076,Mind Maze,"Jun 23, 2017",0.99,"0 .. 20,000",Satur Entertainment,Satur Entertainment,0,0,NA
4077,RoboZone,"Sep 29, 2017",1.99,"0 .. 20,000",IteraLabs,IteraLabs,0,0,NA
4078,Frequent Flyer,"Jan 20, 2017",0.99,"0 .. 20,000","Coldwild Games, Vladimir Slav, Helen Nazarenko",Coldwild Games,0,0,NA
4079,The Final Days: Eternal Night,"Aug 29, 2017",19.99,"0 .. 20,000",Kipsaim(Mike) Delgado,Kipsaim(Mike) Delgado,0,0,NA
4080,222 Hearts,"Oct 20, 2017",1.99,"0 .. 20,000",REMIMORY,REMIMORY,0,0,NA
4081,Res Judicata: Vale of Myth,"Sep 29, 2017",7.99,"0 .. 20,000",Blue Booth Studios,Blue Booth Studios,0,0,NA
4083,Whispered Secrets: Into the Beyond Collector's Edition,"Jul 17, 2017",9.99,"0 .. 20,000",Grandma Studios,Big Fish Games,0,0,NA
4084,Bitku,"Feb 9, 2017",NA,"0 .. 20,000",Pixeljam,Pixeljam,0,0,NA
4085,VAULT OF HONOR,"Jul 14, 2017",4.99,"0 .. 20,000",Virtual Top,VT Publishing,0,0,NA
4086,BAE,"Aug 7, 2017",0.99,"0 .. 20,000",Riviysky,Riviysky,0,0,NA
4087,Dr. Cares - Pet Rescue 911,"Sep 21, 2017",12.99,"0 .. 20,000",Nitreal,GameHouse,0,0,NA
4088,The Charming Empire,"Apr 18, 2017",29.99,"0 .. 20,000",OperaHouse Corporation,Dogenzaka Lab,0,0,NA
4089,Gritty Bit VR,"May 26, 2017",NA,"0 .. 20,000",OD.,OD.,0,0,NA
4090,The Zwuggels - A Beach Holiday Adventure for Kids,"Jul 20, 2017",2.99,"0 .. 20,000",Ploosh GmbH,Ploosh GmbH,0,0,NA
4092,Amoreon NightClub,"Aug 18, 2017",NA,"0 .. 20,000",Citor3 Entertainment Studio,Citor3 Entertainment Studio,0,0,NA
4093,Toy Clash,"Aug 25, 2017",14.99,"0 .. 20,000",5minlab,5minlab,0,0,NA
4094,Burger Shop 2,"Dec 1, 2017",6.99,"0 .. 20,000",GoBit Games,GoBit Games,0,0,NA
4095,Reboant Demo,"Nov 22, 2017",0.99,"0 .. 20,000",DarkLord,Dome VR,0,0,NA
4096,Qbike: Cyberpunk Motorcycles,"Jul 28, 2017",9.99,"0 .. 20,000",GexagonVR,GexagonVR,0,0,NA
4097,救う(SHE SAVE),"Jul 14, 2017",4.99,"0 .. 20,000",いくちおすてご,いくちおすてご,0,0,NA
4098,Portrait Wizard,"Nov 16, 2017",19.99,"0 .. 20,000",Kmany Design,Kmany Design,0,0,NA
4099,CastleMiner Warfare,"Aug 17, 2017",4.99,"0 .. 20,000",DigitalDNA Games LLC,DigitalDNA Games LLC,0,0,NA
4100,Stunt Kite Masters VR,"Jun 1, 2017",4.99,"0 .. 20,000",HandyGames,HandyGames,0,0,NA
4102,Theseus,"Oct 26, 2017",9.99,"0 .. 20,000",Forge Reply srl,Forge Reply srl,0,0,NA
4103,SLI-FI: 2D Planet Platformer,"Sep 8, 2017",3.99,"0 .. 20,000",etaxoft,etaxoft,0,0,NA
4104,Insane Cold: Back to the Ice Age,"Dec 16, 2017",1.99,"0 .. 20,000",Mysterytag,RunServer,0,0,NA
4105,Dream Hills: Captured Magic,"Nov 7, 2017",3.99,"0 .. 20,000",Mysterytag,RunServer,0,0,NA
4106,Crashnauts,"Jul 24, 2017",9.99,"0 .. 20,000",Fueled By Rockets,Fueled By Rockets,0,0,NA
4107,Trials of The Illuminati: Animated Christmas Time Jigsaws,"Sep 23, 2017",9.99,"0 .. 20,000",G. Malta,VRS,0,0,NA
4108,Achievement Lurker: Respectable Accomplishment,"Nov 1, 2017",1.99,"0 .. 20,000",Perverse Games,Perverse Games,0,0,NA
4109,Trigonometry,"Nov 24, 2017",0.99,"0 .. 20,000",XiNFiNiTY Games,OtakuMaker SARL,0,0,NA
4111,L.S.S,"Sep 17, 2017",0.99,"0 .. 20,000",FossettGaming,FossettGaming,0,0,NA
4112,Saloon Showdown VR,"Oct 10, 2017",1.99,"0 .. 20,000",Matthew Peacock,Matthew Peacock,0,0,NA
4113,Kingdom Defense,"Dec 1, 2017",0.99,"0 .. 20,000",Mikhail Melnikov,Mikhail Melnikov,0,0,NA
4114,Unreal Estate,"Jun 16, 2017",2.99,"0 .. 20,000",Afterthought Games,Afterthought Games,0,0,NA
4115,STLD Redux: Episode 02,"May 19, 2017",4.99,"0 .. 20,000",Craig Daversa,Craig Daversa,0,0,NA
4116,Rugby League Live 4,"Sep 12, 2017",49.99,"0 .. 20,000",Big Ant Studios,Tru Blu Games,0,0,NA
4117,Prisoner,"Jul 17, 2017",0.98,"0 .. 20,000",Polovey Alexander,Polovey Alexander,0,0,NA
4118,Solenars Edge Rebirth,"Aug 1, 2017",NA,"0 .. 20,000",Team Syukino,Team Syukino,0,0,NA
4119,Son of Scoregasm,"Nov 29, 2017",4.99,"0 .. 20,000",R C Knight,Charlie's Games,0,0,NA
4120,Trivia Vault: Video Game Trivia Deluxe,"Oct 24, 2017",14.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0,0,NA
4121,Rubber Ball VR,"Mar 9, 2017",NA,"0 .. 20,000",Viraug,Viraug,0,0,NA
4122,The Final Specimen: Arrival,"Mar 2, 2017",9.99,"0 .. 20,000",Gigantoraptor Games,Video Game Music Studios,0,0,NA
4123,Caveman Alive,"Oct 7, 2017",3.99,"0 .. 20,000",Vyacheslav Shilikhin,Vyacheslav Shilikhin,0,0,NA
4124,Clumsy Fred,"Jul 13, 2017",0.99,"0 .. 20,000",BeshevGames,BeshevGames,0,0,NA
4125,Dungeon Marathon,"Oct 3, 2017",4.99,"0 .. 20,000",Retro Army Limited,Retro Army Limited,0,0,NA
4126,Nadia Was Here,"May 26, 2017",11.99,"0 .. 20,000",Jajaben Games,Indietopia Games,0,0,NA
4128,GameMaker Studio 2 Mobile,"Mar 8, 2017",199.99,"0 .. 20,000",YoYo Games Ltd.,YoYo Games Ltd.,0,0,NA
4130,Deadly Sky,"Jul 21, 2017",1.99,"0 .. 20,000",SharkGame,Rhino Games,0,0,NA
4131,The Legend of Bean,"Dec 21, 2017",2.99,"0 .. 20,000",Windward_Birds,XNZONE,0,0,NA
4133,Embers of Mirrim,"May 23, 2017",19.99,"0 .. 20,000",Creative Bytes Studios,Creative Bytes Studios,0,0,NA
4136,ZOMBIE CAR MASSACRE,"Sep 12, 2017",0.99,"0 .. 20,000",DRUNKEN APES,DRUNKEN APES,0,0,NA
4137,PhysicsN,"Dec 14, 2017",3.99,"0 .. 20,000",AFStudio,Dagestan Technology,0,0,NA
4138,Inescapable VR: Underground,"Aug 2, 2017",4.99,"0 .. 20,000",Deep Dive Interactive LLC,Deep Dive Interactive LLC,0,0,NA
4139,Soma Spirits: Rebalance,"Apr 13, 2017",2.99,"0 .. 20,000",Torch60,Torch60,0,0,NA
4142,Operation Apex,"Dec 10, 2017",9.99,"0 .. 20,000",Curiscope,Vive Studios,0,0,NA
4143,Goblins Keep Coming - Tower Defense,"Nov 20, 2017",1.99,"0 .. 20,000",Los Exaltados,Los Exaltados,0,0,NA
4144,Pro Basketball Manager 2017,"Jan 19, 2017",19.99,"0 .. 20,000","Umix Studios, Cyanide Studio",Bigben Interactive,0,0,NA
4146,Ripple,"Mar 31, 2017",0.99,"0 .. 20,000",Playrock Studios,Playrock Studios,0,0,NA
4147,SightLineVR,"Oct 31, 2017",NA,"0 .. 20,000","Frooxius, Louis Arrigoni, Ondrej Pultar",Solirax,0,0,NA
4148,Ne no Kami - The Two Princess Knights of Kyoto Part 2,"Sep 7, 2017",9.99,"0 .. 20,000",Kuro Irodoru Yomiji,Sekai Project,0,0,NA
4149,FPS - Fun Puzzle Shooter,"Nov 17, 2017",0.99,"0 .. 20,000",Rafael Farias,Fiassink Games,0,0,NA
4150,Plevr,"Mar 8, 2017",9.99,"0 .. 20,000",Fervr Labs,Fervr Labs,0,0,NA
4151,Opaline,"May 5, 2017",5.99,"0 .. 20,000",Warfare Studios,Aldorlea Games,0,0,NA
4152,Switch - Or Die Trying,"Mar 7, 2017",6.99,"0 .. 20,000",Threye Interactive,Threye Interactive,0,0,NA
4153,Swords and Sandals Medieval,"Sep 14, 2017",6.99,"0 .. 20,000",Whiskeybarrel Studios,eGames.com,0,0,NA
4154,★ Fallalypse ★,"Sep 12, 2017",2.09,"0 .. 20,000",hede,hede,0,0,NA
4156,The Last Cargo,"Mar 13, 2017",9.99,"0 .. 20,000",Ehnenu,Ehnenu,0,0,NA
4157,RollerCoaster Legends,"Dec 21, 2017",4.99,"0 .. 20,000",WarDucks,WarDucks,0,0,NA
4158,The Morgue Fissure Between Worlds,"Mar 30, 2017",0.99,"0 .. 20,000",Zoltok's,N/A,0,0,NA
4159,RunVR,"Jun 19, 2017",5.99,"0 .. 20,000",Smoketree Studios,Smoketree Studios,0,0,NA
4160,Everything Must Fall,"May 25, 2017",8.99,"0 .. 20,000",Carry Castle,Carry Castle,0,0,NA
4163,Creeping Terror,"Oct 31, 2017",8.99,"0 .. 20,000","Nikkatsu Corporation, mebius",Aksys Games,0,0,NA
4164,Mighty Monster Mayhem,"Apr 20, 2017",14.99,"0 .. 20,000",Rank17,Rank17,0,0,NA
4165,AstronjumpBaby,"Aug 29, 2017",0.99,"0 .. 20,000",Absortalent Games,Absortalent Games,0,0,NA
4166,Mare Nostrvm,"Nov 2, 2017",19.99,"0 .. 20,000",Turnopia,Slitherine Ltd.,0,0,NA
4167,Calm Waters: A Point and Click Adventure,"Jun 12, 2017",4.99,"0 .. 20,000",Tayanna Studios,Tayanna Studios,0,0,NA
4168,CYBER VR,"Aug 31, 2017",14.99,"0 .. 20,000",DAR Studio,DAR Studio,0,0,NA
4169,The adventure of Kroos,"Dec 6, 2017",8.99,"0 .. 20,000",M.J.H.X. Studio,M.J.H.X. Studio,0,0,NA
4170,Fariwalk: The Prelude,"Nov 23, 2017",0.99,"0 .. 20,000",AIHASTO,AIHASTO,0,0,NA
4171,Machine Crisis (陨星危机),"Dec 7, 2017",4.99,"0 .. 20,000",跳跃网络,跳跃网络,0,0,NA
4172,Intrusion Protocol,"Jul 20, 2017",2.99,"0 .. 20,000",Somber Dawn Studios,Somber Dawn Studios,0,0,NA
4173,Turn,"Mar 10, 2017",NA,"0 .. 20,000",Sidi Games,Sidi Games,0,0,NA
4174,The Sapper,"Nov 15, 2017",2.99,"0 .. 20,000",Educational Games,Educational Games,0,0,NA
4175,Lost in Nature,"Mar 14, 2017",14.99,"0 .. 20,000",Moongate Digital,Moongate Digital,0,0,NA
4176,BeeFense,"Apr 13, 2017",4.99,"0 .. 20,000",ByteRockers' Games,ByteRockers' Games,0,0,NA
4177,Space Shock 3,"Sep 8, 2017",1.99,"0 .. 20,000",BekkerDev Studio,Atriagames,0,0,NA
4178,Kindled Cavern,"Jan 13, 2017",4.99,"0 .. 20,000",Pretty Okay Games,Pretty Okay Games,0,0,NA
4179,Doodle Jamboree,"Sep 26, 2017",1.99,"0 .. 20,000",Mike Laraman,Mike Laraman,0,0,NA
4181,Insects runner,"Nov 22, 2017",0.49,"0 .. 20,000",Primitive Studio,Primitive Studio,0,0,NA
4182,Ziggurat 3D Chess,"Jul 30, 2017",NA,"0 .. 20,000",Michael Lampel,Lampel Enterprises,0,0,NA
4183,The Last Tree,"May 31, 2017",1.99,"0 .. 20,000",Dalibor Kamnjanac,Back To Basics Gaming,0,0,NA
4184,VRog,"Feb 9, 2017",3.99,"0 .. 20,000",ByteRockers' Games,ByteRockers' Games,0,0,NA
4185,Mini Hockey Champ!,"Nov 2, 2017",9.99,"0 .. 20,000",26k,26k,0,0,NA
4186,Tell a Demon,"Jul 21, 2017",12.99,"0 .. 20,000",Sun Labyrinth LLC,Sun Labyrinth LLC,0,0,NA
4188,Great War 1914,"Nov 17, 2017",0.99,"0 .. 20,000",Musrka,Blue Whale Games,0,0,NA
4189,Timbertales,"Feb 6, 2017",9.99,"0 .. 20,000",Rainware,Rainware,0,0,NA
4190,Old Adventure,"Dec 12, 2017",NA,"0 .. 20,000",Stroe Andrei,Stroe Andrei,0,0,NA
4191,The Great Gatsby: Secret Treasure,"May 19, 2017",2.03,"0 .. 20,000",Holdbrand Ltd,KISS ltd,0,0,NA
4192,Dino Scourge,"Dec 18, 2017",NA,"0 .. 20,000",Scourgey Works,Scourgey Works,0,0,NA
4193,THE HOUCHI PLAY -THE 放置プレイ-,"Jul 30, 2017",1.99,"0 .. 20,000",KoheiGallery,KoheiGallery,0,0,NA
4194,OnsenVR,"Nov 30, 2017",8.99,"0 .. 20,000",qUATERNIon,qUATERNIon,0,0,NA
4195,Pro Farm Manager,"Nov 20, 2017",19.99,"0 .. 20,000",Aslak Studio,Expone,0,0,NA
4196,Chopper: Attack helicopters,"Sep 15, 2017",NA,"0 .. 20,000",gtscom,gtscom,0,0,NA
4197,Space Panic Defense,"Nov 24, 2017",4.99,"0 .. 20,000",Xefier Games Inc.,Xefier Games Inc.,0,0,NA
4198,LOGistICAL: British Isles,"Aug 8, 2017",9.99,"0 .. 20,000",Sacada,Sacada,0,0,NA
4199,Dark Descent: The Blue Rose,"Jul 20, 2017",NA,"0 .. 20,000",Steve Antoniadis,Minibrute Games,0,0,NA
4200,Slug Blast,"Apr 3, 2017",0.99,"0 .. 20,000",CASGames,Zotdinex,0,0,NA
4201,Robby's Adventure,"Aug 29, 2017",0.49,"0 .. 20,000",NA,NA,0,0,NA
4202,CyberLink ActionDirector 3,"Nov 20, 2017",39.99,"0 .. 20,000",CyberLink,"Koch Media, CyberLink",0,0,NA
4203,Bombastic Cars,"Nov 3, 2017",NA,"0 .. 20,000",XOA Productions,XOA Productions,0,0,NA
4204,Insectophobia : Episode 1,"Jul 4, 2017",0.49,"0 .. 20,000",Proximity Games,Proximity Games,0,0,NA
4205,Delude - Succubus Prison,"Aug 1, 2017",1.99,"0 .. 20,000",Halissoni,Halissoni,0,0,NA
4206,DoubleTap,"Dec 17, 2017",4.99,"0 .. 20,000",EasterEgg Workshop,EasterEgg Workshop,0,0,NA
4207,Nice Slice,"Feb 21, 2017",1.99,"0 .. 20,000",Kool2Play,Kool2Play,0,0,NA
4208,Antiquitas,"Nov 16, 2017",2.99,"0 .. 20,000",Ape Apps,Ape Apps,0,0,NA
4209,Galaxis Wars,"May 30, 2017",11.99,"0 .. 20,000",Clear Ink Studios,Clear Ink Studios,0,0,NA
4210,Spacecats with Lasers : The Outerspace,"May 24, 2017",2.99,"0 .. 20,000","Bitten Toast Games Inc., Guilherme Cunha, Thiago Adamo, Daniel Snd",Bitten Toast Games Inc.,0,0,NA
4211,Space Waver,"Sep 7, 2017",2.99,"0 .. 20,000",Grégory Joerger,Grégory Joerger,0,0,NA
4213,CrownFall,"Aug 17, 2017",NA,"0 .. 20,000","EnchantedLands, Oddeyefish","EnchantedLands, PsychoFlux Entertainment",0,0,NA
4214,Undertaker's,"Aug 2, 2017",4.99,"0 .. 20,000",Hyeson,Hyeson,0,0,NA
4215,Castaway Home Designer,"Jul 15, 2017",4.99,"0 .. 20,000",Stolen Couch Games,Stolen Couch Games,0,0,NA
4216,Santa's vacation,"Nov 22, 2017",1.99,"0 .. 20,000",ElZzap Software,ElZzap Software,0,0,NA
4217,Lumberjack VR,"Oct 13, 2017",3.99,"0 .. 20,000",Erik Brunnström,Erik Brunström,0,0,NA
4218,Blue Snake Adventures,"Oct 20, 2017",0.99,"0 .. 20,000",Bacq Stellan,OtakuMaker SARL,0,0,NA
4219,Justice League VR: The Complete Experience,"Dec 5, 2017",9.99,"0 .. 20,000",MethodEXP,Warner Bros.,0,0,NA
4220,Zork Nemesis: The Forbidden Lands,"Apr 18, 2017",5.99,"0 .. 20,000",Zombie Studios,Activision,0,0,NA
4221,The Frontier Outskirts VR,"Jun 11, 2017",9.99,"0 .. 20,000",Struct9,Struct9,0,0,NA
4222,Drone Racer: Canyons,"Aug 29, 2017",0.99,"0 .. 20,000",RedForce Games,RedForce Games,0,0,NA
4223,Dungeon Builder S,"Jul 13, 2017",7.99,"0 .. 20,000",LIN KE HSI,LIN KE HSI,0,0,NA
4224,Orbital Injection,"Feb 1, 2017",1.99,"0 .. 20,000",Packet39,Packet39,0,0,NA
4225,Ricky Raccoon 2 - Adventures in Egypt,"Jun 2, 2017",8.99,"0 .. 20,000",Makivision Games,rokaplay,0,0,NA
4226,Biomydra,"Mar 9, 2017",NA,"0 .. 20,000",Class of 2015-2016,Campus ADN,0,0,NA
4227,Squareboy vs Bullies: Arena Edition,"Dec 7, 2017",4.99,"0 .. 20,000","Rohan Narang, Ratalaika Games S.L.",Ratalaika Games S.L.,0,0,NA
4228,A Shooty Bit,"Feb 20, 2017",1.99,"0 .. 20,000",Gameland Arr En Dee,Gameland Studios,0,0,NA
4229,EXIT 2 - Directions,"Sep 2, 2017",6.99,"0 .. 20,000",SIXNAILS,SIXNAILS,0,0,NA
4230,Laika 2.0,"Sep 8, 2017",9.99,"0 .. 20,000",Studio Albatros,Drink7 Studios,0,0,NA
4231,Adelantado Trilogy. Book Two,"Dec 1, 2017",4.99,"0 .. 20,000",Whiterra,Qumaron,0,0,NA
4232,Spaceship Trucker,"Aug 25, 2017",0.99,"0 .. 20,000",Dreamy Doe,Dreamy Doe,0,0,NA
4233,Super Bomb Rush!,"Apr 20, 2017",9.99,"0 .. 20,000",Curvature Systems,Curvature Systems,0,0,NA
4235,MAGIX Video deluxe 2018 Steam Edition,"Dec 12, 2017",NA,"0 .. 20,000",MAGIX Software GmbH,MAGIX Software GmbH,0,0,NA
4236,Cars with Guns: It's About Time,"Dec 18, 2017",0.99,"0 .. 20,000",Null Reference Games LLC,Null Reference Games LLC,0,0,NA
4238,Space Panic: Room Escape (VR),"Jun 22, 2017",6.99,"0 .. 20,000",Xefier Games Inc.,"Project Whitecard Studios Inc., EvolVR Games Ltd.",0,0,NA
4240,Awe of Despair,"Nov 22, 2017",7.99,"0 .. 20,000",Reliant,Reliant,0,0,NA
4242,Solaright,"Apr 13, 2017",9.99,"0 .. 20,000",Zabuza Labs,Zabuza Labs,0,0,NA
4244,Turtle: Voidrunner,"Oct 26, 2017",NA,"0 .. 20,000",Grey Gods,Grey Gods,0,0,NA
4246,NOBUNAGA’S AMBITION: Haouden with Power Up Kit / 信長の野望・覇王伝 with パワーアップキット,"Jun 27, 2017",19.99,"0 .. 20,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,0,NA
4248,Northern Tale 3,"Dec 1, 2017",4.99,"0 .. 20,000",Realore,Qumaron,0,0,NA
4250,AstroShift,"Oct 3, 2017",0.99,"0 .. 20,000",WHITEROCK games,WHITEROCK games,0,0,NA
4252,PROTOThYPE _ a love story,"Feb 15, 2017",1.99,"0 .. 20,000",Monkeys Tales Studio,Monkeys Tales Studio,0,0,NA
4254,CyberLink PhotoDirector 9 Ultra,"Oct 6, 2017",69.99,"0 .. 20,000",CyberLink,"Koch Media , CyberLink",0,0,NA
4256,Fantasy Mosaics 15: Ancient Land,"Jul 3, 2017",6.99,"0 .. 20,000",Andy Jurko,Andy Jurko,0,0,NA
4258,"Filthy, Stinking, Orcs!","Apr 21, 2017",13.99,"0 .. 20,000",Winding Way Games,Winding Way Games,0,0,NA
4259,Mysterious Adventure of Michael,"Jul 20, 2017",1.99,"0 .. 20,000",HUNTERS,HUNTERS,0,0,NA
4262,LASER STRIKERS,"Apr 17, 2017",0.99,"0 .. 20,000",Koth Studo,Koth Studio,0,0,NA
4264,Little Smart Planet,"Dec 26, 2017",19.99,"0 .. 20,000",Little Smart Planet,Little Smart Planet,0,0,NA
4265,Zombie Riot,"May 25, 2017",19.99,"0 .. 20,000",PlaySide VR,PlaySide VR,0,0,NA
4266,最強の囲碁 ～名人への道～ / Igo Meijin,"Dec 4, 2017",79.99,"0 .. 20,000",UNBALANCE Corporation,UNBALANCE Corporation,0,0,NA
4268,OverKill,"Oct 23, 2017",0.99,"0 .. 20,000",Kezarus,Kezarus,0,0,NA
4270,EGE DistantPlanet NonXXX,"Oct 16, 2017",9.99,"0 .. 20,000",DevRifter,DevRifter,0,0,NA
4271,WAVESHAPER,"May 3, 2017",1.99,"0 .. 20,000",GAMES FOR HUMANS,GAMES FOR HUMANS,0,0,NA
4272,BoidWatch,"Sep 1, 2017",0.99,"0 .. 20,000",Emmett Baber,LongShip LLC,0,0,NA
4274,Black Mist,"Aug 4, 2017",4.99,"0 .. 20,000",Nyan_Fort,Nyan_Fort,0,0,NA
4275,Spellgear,"Apr 7, 2017",NA,"0 .. 20,000",SkyRiver Studios,SkyRiver Studios,0,0,NA
4276,Witches' Legacy: Slumbering Darkness Collector's Edition,"Feb 8, 2017",9.99,"0 .. 20,000",EleFun Games,Big Fish Games,0,0,NA
4277,Kitten Rampage,"Sep 6, 2017",7.99,"0 .. 20,000",Dexmes,Dexmes,0,0,NA
4278,Dark Realm: Queen of Flames Collector's Edition,"Feb 21, 2017",9.99,"0 .. 20,000",Mad Head Games,Big Fish Games,0,0,NA
4279,Molemen Must Die!,"Mar 21, 2017",1.99,"0 .. 20,000",Mokomoto,Mokomoto,0,0,NA
4280,Galaxy of Drones,"Aug 1, 2017",2.99,"0 .. 20,000",Koodilab,Koodilab,0,0,NA
4281,Genesia Legacy: Ultimate Domain,"May 9, 2017",19.99,"0 .. 20,000",Thomas ZIGHEM,Thomas ZIGHEM,0,0,NA
4282,Paper Toss VR,"Mar 9, 2017",0.99,"0 .. 20,000",zhangwenlu,zhangwenlu,0,0,NA
4283,NitroRage,"Jul 4, 2017",4.99,"0 .. 20,000",XXXgames,XXXgames,0,0,NA
4284,RetroFighter VR,"May 6, 2017",0.99,"0 .. 20,000",Jun Chul Park,Reality Reflection,0,0,NA
4285,Kimmy,"Apr 18, 2017",9.99,"0 .. 20,000",Star Maid Games,N/A,0,0,NA
4286,The market trader,"Sep 12, 2017",3.99,"0 .. 20,000",AB SOFT,AB SOFT,0,0,NA
4287,aMAZE Double,"Nov 2, 2017",0.99,"0 .. 20,000",Blender Games,Blender Games,0,0,NA
4288,Free Towns,"Mar 24, 2017",9.99,"0 .. 20,000",Vlad Cristian,Vlad Cristian,0,0,NA
4290,DiamondFalls,"Oct 10, 2017",9.99,"0 .. 20,000",GraphXGames,GraphXGames,0,0,NA
4291,Pro Motion NG,"Sep 25, 2017",39.99,"0 .. 20,000",Cosmigo Software Development,BrashMonkey LLC,0,0,NA
4292,Haul Asteroid,"Oct 12, 2017",0.99,"0 .. 20,000",Real Maxwell,Real Maxwell LLC,0,0,NA
4293,Beats Fever,"Jan 10, 2017",14.99,"0 .. 20,000",Arrowiz,Arrowiz,0,0,NA
4294,伝創記IV ~if~,"Aug 10, 2017",9.99,"0 .. 20,000",As-key,As-key,0,0,NA
4295,iStorm,"Apr 16, 2017",NA,"0 .. 20,000",MoYi Technology,MoYi Technology,0,0,NA
4296,AnyTime Organizer Deluxe 15,"Jun 20, 2017",39.99,"0 .. 20,000",Individual Software,Individual Software,0,0,NA
4297,Dysfunctional Systems: Orientation,"Jul 24, 2017",4.99,"0 .. 20,000",Dischan Media,Dischan Media,0,0,NA
4298,Easy Spanish Platinum,"Jan 18, 2017",39.99,"0 .. 20,000",Individual Software,Individual Software,0,0,NA
4300,Timeless: The Forgotten Town Collector's Edition,"Jan 16, 2017",9.99,"0 .. 20,000",Boolat Games,Big Fish Games,0,0,NA
4301,MightyIronBall,"Dec 28, 2017",0.99,"0 .. 20,000",Achisoft,Achisoft,0,0,NA
4302,Bizarre Tale,"Dec 15, 2017",1.99,"0 .. 20,000",Cesar G.,Cesar G.,0,0,NA
4303,aMAZE 3D,"Jul 13, 2017",0.49,"0 .. 20,000",Blender Games,Blender Games,0,0,NA
4304,Queen's Garden: Halloween,"Dec 7, 2017",6.99,"0 .. 20,000",Seven Sails Games,Seven Sails Games,0,0,NA
4306,OneHit,"Oct 31, 2017",4.99,"0 .. 20,000",Felix Schröder,Felix Schröder,0,0,NA
4308,PolyKat,"Sep 6, 2017",14.99,"0 .. 20,000",LaruaGames,LaruaGames,0,0,NA
4309,Toy Plane Heroes,"Jun 8, 2017",9.99,"0 .. 20,000",Oasis VR,Oasis VR,0,0,NA
4310,Lux umbra,"Sep 17, 2017",8.99,"0 .. 20,000",UndeadTurtle,UndeadTurtle,0,0,NA
4312,Fire Fighter,"Jul 19, 2017",6.99,"0 .. 20,000",Dataware,Dataware,0,0,NA
4313,Imperium Galactica,"Jan 19, 2017",4.99,"0 .. 20,000",Digital Reality,THQ Nordic,0,0,NA
4314,TheWalkerKiller VR,"Jul 6, 2017",11.99,"0 .. 20,000",ELang Network technology,ELang Network technology,0,0,NA
4315,Solaria Moon,"Sep 6, 2017",9.99,"0 .. 20,000",3y3.net,"Tizona Interactive, Zerouno Games",0,0,NA
4316,Mahjong Masters: Temple of the Ten Gods,"Jun 19, 2017",6.99,"0 .. 20,000",Playtinum,Big Fish Games,0,0,NA
4317,Manifest 99,"Sep 12, 2017",5.99,"0 .. 20,000",Flight School Studio,Project Flight School Inc,0,0,NA
4318,Reaching for Petals,"Sep 4, 2017",4.99,"0 .. 20,000",Blue Entropy Studios,Blue Entropy Studios,0,0,NA
4319,Child Of Ault,"Jan 24, 2017",9.99,"0 .. 20,000",Hangzhou NezhaGames,Hangzhou NezhaGames,0,0,NA
4320,Extreme-G 2,"May 2, 2017",5.99,"0 .. 20,000",Acclaim Cheltenham,Throwback Entertainment,0,0,NA
4321,The Witch's Isle,"Sep 14, 2017",2.99,"0 .. 20,000",COCOSOLA,COCOSOLA,0,0,NA
4322,Elite Encounter,"May 4, 2017",4.99,"0 .. 20,000",Hin Lam,BubbleFish Entertainment,0,0,NA
4325,Libra of the Vampire Princess,"Jun 20, 2017",39.99,"0 .. 20,000","onomatope*, MiKandi Japan","onomatope*, MiKandi Japan",0,0,NA
4326,Pain of War,"Nov 24, 2017",NA,"0 .. 20,000",Free Initiative Games,Free Initiative Games,0,0,NA
4327,You Doesn't Exist,"Sep 26, 2017",NA,"0 .. 20,000",Yo252yo,Yo252yo,0,0,NA
4328,This Merchant Life,"Aug 3, 2017",8.99,"0 .. 20,000",Inexplicable Games,Inexplicable Games,0,0,NA
4329,Warlock's Tower,"Jan 31, 2017",9.99,"0 .. 20,000",Midipixel,Whippering,0,0,NA
4330,Reflecting Fate,"Jul 10, 2017",4.99,"0 .. 20,000","KxONE, Andrew Drumov, starmops",starmops,0,0,NA
