subcategory,rank,year,name,show,affiliation,title
Television Segment,Nominee,2011,Douglas W. Smith,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success"", ""Fields of Green"", and ""Striking a Gourd"""
"Television Program, on Location",Nominee,2011,Duff Goldman,NA,Food Network,Ace of Cakes
"Television Program, in Studio or Fixed Location",Nominee,2011,Bal Arneson,NA,Food Network Canada and Cooking Channel,Spice Goddess
"Television Program, in Studio or Fixed Location",Nominee,2011,Fran Alswang,NA,Food Network,Alex's Day Off
"Television Program, in Studio or Fixed Location",Nominee,2011,Alex Guarnaschelli,NA,Food Network,Alex's Day Off
"Television Program, in Studio or Fixed Location",Nominee,2011,Rachel Nicole Purnell,NA,Food Network,Alex's Day Off
TV Food Personality/Host,Winner,2011,Alton Brown,NA,Food Network,Good Eats
Television Segment,Winner,2011,Kara Vaccaro,NA,CBS,"60 Minutes, ""Chef Jose Andres"""
TV Special/Documentary,Nominee,2011,Patrick Stubbers,NA,Cooking Channel,The Four Coursemen
TV Special/Documentary,Nominee,2011,Damien Schaefer,NA,Cooking Channel,The Four Coursemen
TV Special/Documentary,Nominee,2011,Eddie Russell,NA,Cooking Channel,The Four Coursemen
TV Special/Documentary,Nominee,2011,Matthew Palmerlee,NA,Cooking Channel,The Four Coursemen
TV Special/Documentary,Nominee,2011,Randolph Dudley,NA,Cooking Channel,The Four Coursemen
"Television Program, in Studio or Fixed Location",Winner,2011,Padma Lakshmi,NA,Bravo,Top Chef: Season 7
Television Segment,Nominee,2011,Edward Forgotson,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success,"" ""Fields of Green,"" and :Striking a Gourd"""
TV Food Personality/Host,Nominee,2011,Duff Goldman,NA,Food Network,Ace of Cakes
Audio Webcast or Radio Show,Winner,2011,"CBC Ideas: ""Pasta: The Long and Short of It""",NA,Canada and Online,"CBC Ideas: ""Pasta: The Long and Short of It"""
Television Segment,Winner,2011,"60 Minutes, ""Chef Jose Andres""",NA,CBS,"60 Minutes, ""Chef Jose Andres"""
TV Special/Documentary,Winner,2011,Milk War,NA,ichannel,Milk War
Video Webcast,Nominee,2011,Josh Ozersky,NA,Ozersky.TV,NA
Audio Webcast or Radio Show,Nominee,2011,Anthony Bourdain,NA,Martha Stewart Living Radio: Anthony Bourdain and Eric Ripert: Turn and Burn,NA
TV Food Personality/Host,Nominee,2011,Bobby Flay,NA,Cooking Channel,Brunch @ Bobby's
Video Webcast,Winner,2011,The Scent of Black,NA,graperadio.com,The Scent of Black
"Television Program, on Location",Winner,2011,Avec Eric,NA,"PBS, Online",Avec Eric
TV Special/Documentary,Winner,2011,Declan O'Driscoll,NA,ichannel,Milk War
Television Segment,Winner,2011,Bill Owens,NA,CBS,"60 Minutes, ""Chef Jose Andres"""
"Television Program, in Studio or Fixed Location",Winner,2011,Top Chef: Season 7,NA,Bravo,Top Chef: Season 7
Television Segment,Winner,2011,Anderson Cooper,NA,CBS,"60 Minutes, ""Chef Jose Andres"""
TV Special/Documentary,Winner,2011,Kevin O'Keefe,NA,ichannel,Milk War
TV Special/Documentary,Nominee,2011,Karen Katz,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
"Television Program, in Studio or Fixed Location",Nominee,2011,Laura Calder,NA,Food Network Canada and Cooking Channel,Spice Goddess
TV Special/Documentary,Winner,2011,Colm Feore,NA,ichannel,Milk War
Television Segment,Nominee,2011,David Small,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success"", ""Fields of Green"", and ""Striking a Gourd"""
Video Webcast,Nominee,2011,Laurie Pila Horowitz,NA,Ozersky.TV,NA
TV Special/Documentary,Nominee,2011,Evan Strome,NA,Cooking Channel,The Four Coursemen
Audio Webcast or Radio Show,Nominee,2011,Chris Hauselt,NA,Martha Stewart Living Radio: Anthony Bourdain and Eric Ripert: Turn and Burn,NA
"Television Program, on Location",Winner,2011,Eric Ripert,NA,"PBS, Online",Avec Eric
"Television Program, on Location",Winner,2011,Justin Barocas,NA,"PBS, Online",Avec Eric
"Television Program, on Location",Winner,2011,Heather Brown,NA,"PBS, Online",Avec Eric
"Television Program, on Location",Winner,2011,Geoffrey Drummond,NA,"PBS, Online",Avec Eric
Television Segment,Nominee,2011,Martha A. Teichner,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success"", ""Fields of Green"", and ""Striking a Gourd"""
Video Webcast,Nominee,2011,Ben Leventhal,NA,Ozersky.TV,NA
TV Special/Documentary,Nominee,2011,Garrett Bess,NA,Cooking Channel,The Four Coursemen
Video Webcast,Nominee,2011,Jp Saladin,NA,Ozersky.TV,NA
TV Special/Documentary,Nominee,2011,Nancy Swenton,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
"Television Program, in Studio or Fixed Location",Nominee,2011,Bobby Flay,NA,Food Network,Alex's Day Off
TV Special/Documentary,Nominee,2011,Marie Ostrosky,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
Audio Webcast or Radio Show,Nominee,2011,Amy Jo Ehman,NA,The Canadian Table,NA
Audio Webcast or Radio Show,Nominee,2011,Eric Ripert,NA,Martha Stewart Living Radio: Anthony Bourdain and Eric Ripert: Turn and Burn,NA
TV Special/Documentary,Nominee,2011,Nancy Lind,NA,Cooking Channel,The Four Coursemen
Television Segment,Nominee,2011,Jack Renaud,NA,CBS,"CBS News Sunday Morning: ""Worth a Shot"""
Audio Webcast or Radio Show,Nominee,2011,Don Genova,NA,The Canadian Table,NA
Audio Webcast or Radio Show,Nominee,2011,Naomi Gabay,NA,Martha Stewart Living Radio: Anthony Bourdain and Eric Ripert: Turn and Burn,NA
Television Segment,Nominee,2011,David Bhagat,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success"", ""Fields of Green"", and ""Striking a Gourd"""
"Television Program, in Studio or Fixed Location",Winner,2011,Dave Serwatka,NA,Bravo,Top Chef: Season 7
"Television Program, in Studio or Fixed Location",Nominee,2011,Trey Nelson,NA,Food Network,Alex's Day Off
Television Segment,Nominee,2011,Seth Doane,NA,CBS,"CBS News Sunday Morning: ""Worth a Shot"""
TV Special/Documentary,Nominee,2011,Dominique Andrews,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
TV Special/Documentary,Nominee,2011,Blair Bess,NA,Cooking Channel,The Four Coursemen
Video Webcast,Nominee,2011,Jeffrey Larson,NA,Ozersky.TV,NA
Video Webcast,Winner,2011,Mark Ryan,NA,GrapeRadio,NA
"Television Program, on Location",Nominee,2011,Tom Rogan,NA,Food Network,Ace of Cakes
"Television Program, in Studio or Fixed Location",Winner,2011,Jane Lipsitz,NA,Bravo,Top Chef: Season 7
TV Special/Documentary,Nominee,2011,Charissa Melnick,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
"Television Program, on Location",Nominee,2011,Lauren Lexton,NA,Food Network,Ace of Cakes
"Television Program, in Studio or Fixed Location",Winner,2011,Dan Cutforth,NA,Bravo,Top Chef: Season 7
Video Webcast,Winner,2011,Eric Anderson,NA,graperadio.com,GrapeRadio
Video Webcast,Winner,2011,Jay Selman,NA,graperadio.com,GrapeRadio
Video Webcast,Winner,2011,Brian Clark,NA,graperadio.com,GrapeRadio
Video Webcast,Nominee,2011,Liza Deguia,NA,Food. Curated.,NA
Audio Webcast or Radio Show,Winner,2011,Megan Williams,NA,Canada and Online,"CBC Ideas: ""Pasta: The Long and Short of It"""
Audio Webcast or Radio Show,Nominee,2011,Neil Golub,NA,Martha Stewart Living Radio: Anthony Bourdain and Eric Ripert: Turn and Burn,NA
Television Segment,Nominee,2011,Jon Carras,NA,CBS,"CBS News Sunday Morning: ""Recipe for Success"", ""Fields of Green"", and ""Striking a Gourd"""
Audio Webcast or Radio Show,Nominee,2010,Alison Cuddy,NA,Eight Forty-Eight,NA
"Television Show, In Studio or Fixed Location",Winner,2010,Laura Calder,NA,Food Network Canada,French Food at Home with Laura Calder
Television Special,Nominee,2010,Jennifer Fite,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Special,Nominee,2010,Christopher Kimball,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Special,Nominee,2010,Karen Katz,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Jim Brennan,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
"Television Show, On Location",Nominee,2010,Tom Rogan,NA,Food Network,The Best Thing I Ever Ate: Obsessions
"Television Show, On Location",Nominee,2010,Lauren Lexton,NA,Food Network,The Best Thing I Ever Ate: Obsessions
"Television Show, On Location",Winner,2010,Heidi Hanson,NA,PBS,Chefs A' Field: King of Alaska
"Television Show, On Location",Nominee,2010,Christopher Collins,NA,"Gourmet's Adventures with Ruth: The Bertinet Kitchen, Bath",NA
"Television Show, In Studio or Fixed Location",Winner,2010,Johanna Eliot,NA,Food Network Canada,French Food at Home with Laura Calder
Television Special,Winner,2010,Gina Gargano,NA,PBS,Food Trip with Todd English
Audio Webcast or Radio Show,Winner,2010,Brendan Sweeney,NA,The Kojo Nnamdi Show,NA
Video Webcast,Winner,2010,The Greenmarket: One Farmer's Story,NA,www.seriouseats.com,The Greenmarket: One Farmer's Story
Audio Webcast or Radio Show,Nominee,2010,Richard Steele,NA,Eight Forty-Eight,NA
Audio Webcast or Radio Show,Nominee,2010,Aurora Aguilar,NA,Eight Forty-Eight,NA
Audio Webcast or Radio Show,Nominee,2010,Jennifer Russell,NA,The Splendid Table,NA
Audio Webcast or Radio Show,Nominee,2010,Sally Swift,NA,The Splendid Table,NA
Audio Webcast or Radio Show,Winner,2010,Diane Vogel,NA,The Kojo Nnamdi Show,NA
"Television Show, In Studio or Fixed Location",Nominee,2010,Stephen Kroopnick,NA,Food Network,Iron Chef America
Video Webcast,Winner,2010,Ed Levine,NA,The Greenmarket: One Farmer's Story,NA
Television Special,Winner,2010,Joel Coblenz,NA,PBS,Food Trip with Todd English
"Television Show, On Location",Winner,2010,Rick Moonen,NA,PBS,Chefs A' Field: King of Alaska
Television Special,Nominee,2010,Elina Brown,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Segment,Nominee,2010,Badriyyah Waheed,NA,ABC,ABC 7 News Friday Night Special: Hungry Hound
Television Segment,Nominee,2010,Stan Leven,NA,WCVB-TV Boston,Chronicle
Television Segment,Nominee,2010,Chris Stirling,NA,WCVB-TV Boston,Chronicle
Television Segment,Nominee,2010,Mary Richardson,NA,WCVB-TV Boston,Chronicle
Television Special,Nominee,2010,Nancy Swenton,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Amy Smolens,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Charissa Melnick,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Dominique Andrews,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Anne Adams,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Special,Nominee,2010,Laurie Donnelly,NA,PBS,A Moveable Feast with America's Favorite Chefs
"Television Show, On Location",Winner,2010,Chris Warner,NA,PBS,Chefs A' Field: King of Alaska
"Television Show, On Location",Nominee,2010,Eddie Saenz,NA,Food Network,The Best Thing I Ever Ate: Obsessions
"Television Show, On Location",Nominee,2010,David Hoffman,NA,Food Network,The Best Thing I Ever Ate: Obsessions
"Television Show, In Studio or Fixed Location",Nominee,2010,Stu Schreiberg,NA,Food Network,Iron Chef America
"Television Show, In Studio or Fixed Location",Nominee,2010,Eytan Keller,NA,Food Network,Iron Chef America
"Television Show, In Studio or Fixed Location",Nominee,2010,John Bravakis,NA,Food Network,Iron Chef America
"Television Show, In Studio or Fixed Location",Nominee,2010,Sophie Seiden,NA,Barefoot Contessa,NA
"Television Show, In Studio or Fixed Location",Nominee,2010,Carl Green,NA,Barefoot Contessa,NA
"Television Show, In Studio or Fixed Location",Nominee,2010,Olivia Ball,NA,Barefoot Contessa,NA
Audio Webcast or Radio Show,Winner,2010,Tara Boyle,NA,The Kojo Nnamdi Show,NA
Television Special,Winner,2010,Matt Cohen,NA,PBS,Food Trip with Todd English
Video Webcast,Nominee,2010,Jeff Zalaznick,NA,Always Hungry Video,NA
Video Webcast,Nominee,2010,Jamie Meyer,NA,Always Hungry Video,NA
Audio Webcast or Radio Show,Winner,2010,Ingalisa Schrobsdorff,NA,The Kojo Nnamdi Show,NA
Video Webcast,Winner,2010,Optic Nerve,NA,The Greenmarket: One Farmer's Story,NA
Video Webcast,Winner,2010,Serious Eats,NA,The Greenmarket: One Farmer's Story,NA
Television Special,Winner,2010,Todd English,NA,PBS,Food Trip with Todd English
"Television Show, In Studio or Fixed Location",Nominee,2010,Pacific Productions,NA,Food Network,Barefoot Contessa
Audio Webcast or Radio Show,Winner,2010,Michael Martinez,NA,The Kojo Nnamdi Show,NA
"Television Show, In Studio or Fixed Location",Winner,2010,French Food at Home with Laura Calder,NA,Food Network Canada,French Food at Home with Laura Calder
"Television Show, On Location",Nominee,2010,Michael Steed,NA,PBS,"Gourmet's Adventures with Ruth: The Bertinet Kitchen, Bath"
Television Segment,Winner,2010,ABC News Nightline,NA,ABC,ABC News Nightline
"Television Show, On Location",Nominee,2010,Laurie Donnelly,NA,PBS,"Gourmet's Adventures with Ruth: The Bertinet Kitchen, Bath"
Television Special,Nominee,2010,José Andrés,NA,PBS,A Moveable Feast with America's Favorite Chefs
TV Food Personality,Nominee,2010,Alton Brown,NA,Food Network,Good Eats
TV Food Personality,Nominee,2010,Jennifer Fite,NA,PBS,Mexico One Plate at a Time
Audio Webcast or Radio Show,Nominee,2010,Lynne Rossetto Kasper,NA,The Splendid Table,NA
"Television Show, In Studio or Fixed Location",Nominee,2010,Ina Garten,NA,Food Network,Barefoot Contessa
Television Special,Nominee,2010,Ming Tsai,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Special,Winner,2010,Food Trip with Todd English,NA,PBS,Food Trip with Todd English
"Television Show, On Location",Winner,2010,Chefs A' Field: King of Alaska,NA,PBS,Chefs A' Field: King of Alaska
Audio Webcast or Radio Show,Winner,2010,The Kojo Nnamdi Show,NA,"Washington D.C., Online",The Kojo Nnamdi Show
Audio Webcast or Radio Show,Winner,2010,Kojo Nnamdi,NA,The Kojo Nnamdi Show,NA
Television Special,Nominee,2010,Lidia Bastianich,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Special,Nominee,2010,Emeril Lagasse,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Special,Nominee,2010,Marie Ostrosky,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Napa
Television Segment,Nominee,2010,Steve Dolinsky,NA,ABC,ABC 7 News Friday Night Special: Hungry Hound
Television Special,Nominee,2010,Ruth Reichl,NA,PBS,A Moveable Feast with America's Favorite Chefs
Television Segment,Nominee,2010,Anthony Everett,NA,WCVB-TV Boston,Chronicle
"Television Show, In Studio or Fixed Location",Nominee,2010,Alton Brown,NA,Food Network,Iron Chef America
Video Webcast,Nominee,2010,Liza Deguia,NA,Food. Curated.,NA
"Television Show, On Location",Nominee,2010,Ruth Reichl,NA,PBS,"Gourmet's Adventures with Ruth: The Bertinet Kitchen, Bath"
TV Food Personality,Winner,2010,Andrew Zimmern,NA,Travel Channel,Bizarre Foods with Andrew Zimmern
Television Segment,Winner,2010,John Berman,NA,ABC,ABC News Nightline
"Television Show, In Studio or Fixed Location",Nominee,2010,Rachel Nicole Purnell,NA,Barefoot Contessa,NA
Television Segment,Winner,2010,Sarah Rosenberg,NA,ABC,ABC News Nightline
Video Webcast,Nominee,2009,Meredith Arthur,NA,chow.com,Obsessives: School Lunch Revolutionary
"Television Food Segment, National or Local",Nominee,2009,Badriyyah Waheed,NA,ABC,ABC 7 News Friday Night Special: Hungry Hound
Audio Webcast or Radio Show,Winner,2009,Jennifer English,NA,"WNYC, The Leonard Lopate Show: 3-Ingredient Challenge",NA
"Television Food Segment, National or Local",Nominee,2009,Steve Dolinsky,NA,ABC,ABC 7 News Friday Night Special: Hungry Hound
Audio Webcast or Radio Show,Winner,2009,Sarah English,NA,"New York City Metro, Online","WNYC, The Leonard Lopate Show: 3-Ingredient Challenge"
Audio Webcast or Radio Show,Nominee,2009,Eric Anderson,NA,NA,NA
Audio Webcast or Radio Show,Winner,2009,"WNYC, The Leonard Lopate Show: 3-Ingredient Challenge",NA,"New York City Metro, Online","WNYC, The Leonard Lopate Show: 3-Ingredient Challenge"
"Television Food Show, National or Local",Winner,2009,Lidia Bastianich,NA,PBS,Lidia's Italy: Sweet Napoli
"Television Food Show, National or Local",Winner,2009,Julia Harrison,NA,PBS,Lidia's Italy: Sweet Napoli
Video Webcast,Nominee,2009,Eric Slatkin,NA,chow.com,Obsessives: School Lunch Revolutionary
"Television Food Show, National or Local",Winner,2009,Shelly Burgess Nicotra,NA,PBS,Lidia's Italy: Sweet Napoli
"Television Food Segment, National or Local",Winner,2009,Martha A. Teichner,NA,CBS,CBS News Sunday Morning: In a Pinch
Video Webcast,Nominee,2009,Brian Clark,NA,graperadio.com,The Art of Blending
"Television Food Segment, National or Local",Winner,2009,Jon Carras,NA,CBS,CBS News Sunday Morning: In a Pinch
"Television Food Segment, National or Local",Winner,2009,David Small,NA,CBS,CBS News Sunday Morning: In a Pinch
Video Webcast,Winner,2009,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily",NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
"Television Food Segment, National or Local",Nominee,2009,Terry Moran,NA,ABC,"ABC News, Nightline: Platelist"
Audio Webcast or Radio Show,Nominee,2009,Lauren Gould,NA,"Living today, Martha Stewart Living Radio: Jose Andres",NA
Audio Webcast or Radio Show,Nominee,2009,Naomi Gabay,NA,"Living today, Martha Stewart Living Radio: Jose Andres",NA
Audio Webcast or Radio Show,Nominee,2009,Jay Selman,NA,Graperadio.com: Thomas Jefferson and Wine,NA
"Television Food Segment, National or Local",Nominee,2009,Sarah Rosenberg,NA,ABC,"ABC News, Nightline: Platelist"
Video Webcast,Nominee,2009,Eric Anderson,NA,graperadio.com,The Art of Blending
"Television Food Segment, National or Local",Nominee,2009,Cynthia McFadden,NA,ABC,"ABC News, Nightline: Platelist"
Audio Webcast or Radio Show,Nominee,2009,Brian Clark,NA,Graperadio.com: Thomas Jefferson and Wine,NA
"Television Food Show, National and Local",Nominee,2009,Dugald McLaren,NA,Food Network Canada,The Chateau Dinner: French Food at Home Special with Laura Calder
"Television Food Segment, National or Local",Winner,2009,CBS News Sunday Morning: In a Pinch,NA,CBS,CBS News Sunday Morning: In a Pinch
Video Webcast,Winner,2009,Jonathan Coleman,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
"Television Food Show, National and Local",Nominee,2009,Johanna Eliot,NA,Food Network Canada,The Chateau Dinner: French Food at Home Special with Laura Calder
"Television Food Show, National and Local",Nominee,2009,Laura Calder,NA,Food Network Canada,The Chateau Dinner: French Food at Home Special with Laura Calder
Video Webcast,Winner,2009,Kenneth Wilmoth,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
"Television Food Segment, National or Local",Nominee,2009,Martin Bashir,NA,ABC,"ABC News, Nightline: Platelist"
Video Webcast,Nominee,2009,Jay Selman,NA,graperadio.com,The Art of Blending
Video Webcast,Winner,2009,Greg Drescher,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
Video Webcast,Winner,2009,Steve Jilleba,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
Audio Webcast or Radio Show,Winner,2009,Rozanne Gold,NA,"New York City Metro, Online","WNYC, The Leonard Lopate Show: 3-Ingredient Challenge"
Video Webcast,Winner,2009,John Austin Barkley,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
Video Webcast,Nominee,2009,Mark Ryan,NA,graperadio.com,The Art of Blending
Video Webcast,Winner,2009,Janet Fletcher,NA,Ciaprochef.com/wca3/,"Savoring the Best of World Flavors, Volume Three: Vietnam and the Island of Sicily"
Audio Webcast or Radio Show,Winner,2009,Leonard Lopate,NA,"New York City Metro, Online","WNYC, The Leonard Lopate Show: 3-Ingredient Challenge"
Audio Webcast or Radio Show,Nominee,2009,Mario Bosquez,NA,"Martha Stewart Living Radio, Living Today: Jose Andres",NA
Audio Webcast or Radio Show,Nominee,2009,Ted M Burns,NA,Graperadio.com: Thomas Jefferson and Wine,NA
"Television Food Show, National or Local",Winner,2009,Lidia's Italy: Sweet Napoli,NA,PBS,Lidia's Italy: Sweet Napoli
Television Food Special,Winner,2008,Dave Serwatka,NA,Bravo,Top Chef Holiday Special
Radio Food Show,Nominee,2008,Nikki Silva,NA,Hidden Kitchens Texas,NA
Radio Food Show,Nominee,2008,Willie Nelson,NA,Hidden Kitchens Texas,NA
Radio Food Show,Nominee,2008,Robin Wright Penn,NA,Hidden Kitchens Texas,NA
Radio Food Show,Nominee,2008,Davia Nelson,NA,Hidden Kitchens Texas,NA
"Television Food Segment, National or Local",Winner,2008,Deborah Hurley,NA,PBS,The Victory Garden
Radio Food Show,Nominee,2008,Robin Pressman,NA,"Mouthful, the Wine Country's Most Delicious Hour",NA
"Television Food Segment, National or Local",Nominee,2008,Robert Ciridon,NA,NBC,Today's Kitchen: Ed Deitch on Wine
"Television Food Show, National and Local",Winner,2008,Joseph Caterini,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Segment, National or Local",Winner,2008,Michel Nischan,NA,PBS,The Victory Garden
"Television Food Show, National and Local",Nominee,2008,Padma Lakshmi,NA,Bravo,Top Chef Season 3
Radio Food Show,Winner,2008,Lynne Rossetto Kasper,NA,The Splendid Table,NA
"Television Food Show, National and Local",Nominee,2008,Tom Colicchio,NA,Bravo,Top Chef Season 3
Television Food Special,Winner,2008,Tom Colicchio,NA,Bravo,Top Chef Holiday Special
Webcast,Winner,2008,Jay Selman,NA,Graperadio.com,Stewards of the Land
Webcast,Winner,2008,Brian Clark,NA,Graperadio.com,Stewards of the Land
Radio Food Show,Nominee,2008,Wendy Nicholson,NA,"Mouthful, the Wine Country's Most Delicious Hour",NA
Webcast,Nominee,2008,Gaylon Emerzian,NA,Spatulla.com,NA
Webcast,Nominee,2008,Heidi Umbhau,NA,Spatulla.com,NA
Radio Food Show,Winner,2008,Sally Swift,NA,The Splendid Table,NA
"Television Food Show, National and Local",Winner,2008,Ruth Reichl,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Show, National and Local",Nominee,2008,Dan Cutforth,NA,Bravo,Top Chef Season 3
"Television Food Segment, National or Local",Winner,2008,Hilary Finkel Buxton,NA,PBS,The Victory Garden
Television Food Special,Winner,2008,Padma Lakshmi,NA,Bravo,Top Chef Holiday Special
"Television Food Segment, National or Local",Winner,2008,Laurie Donnelly,NA,PBS,The Victory Garden
"Television Food Segment, National or Local",Nominee,2008,Vince Gerasole,NA,CBS2 Chicago,Table for Two
"Television Food Segment, National or Local",Winner,2008,Craig Rogers,NA,PBS,The Victory Garden
Television Food Special,Winner,2008,Dan Cutforth,NA,Bravo,Top Chef Holiday Special
"Television Food Segment, National or Local",Winner,2008,Cheryl Carlesimo,NA,PBS,The Victory Garden
Television Food Special,Winner,2008,Top Chef Holiday Special,NA,Bravo,Top Chef Holiday Special
"Television Food Show, National and Local",Winner,2008,Michael Steed,NA,American Public Television,Gourmet's Diary of a Foodie
Webcast,Winner,2008,Stewards of the Land,NA,Graperadio.com,Stewards of the Land
"Television Food Segment, National or Local",Winner,2008,John McCally,NA,PBS,The Victory Garden
"Television Food Show, National and Local",Winner,2008,Gourmet's Diary of a Foodie,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Show, National and Local",Nominee,2008,Andy Cohen,NA,Bravo,Top Chef Season 3
Television Food Special,Winner,2008,Andy Cohen,NA,Bravo,Top Chef Holiday Special
Webcast,Winner,2008,Mark Ryan,NA,Graperadio.com,Stewards of the Land
"Television Food Segment, National or Local",Winner,2008,The Victory Garden,NA,PBS,The Victory Garden
Radio Food Show,Winner,2008,The Splendid Table,NA,The Splendid Table,NA
Webcast,Nominee,2008,Olivia Gerasole,NA,Spatulla.com,NA
Webcast,Nominee,2008,Eric Slatkin,NA,Chow.com,Obsessives: Innard Workings
Webcast,Nominee,2008,Meredith Arthur,NA,Chow.com,Obsessives: Innard Workings
Television Food Special,Winner,2008,Jane Lipsitz,NA,Bravo,Top Chef Holiday Special
Television Food Special,Winner,2008,Shauna Minoprio,NA,Bravo,Top Chef Holiday Special
Television Food Special,Nominee,2008,Geoffrey Baer,NA,WTTW,The Foods of Chicago: A Delicious History
"Television Food Show, National and Local",Nominee,2008,Charles Pinsky,NA,American Public Television,The Best Recipes in the World with Mark Bittman
"Television Food Show, National and Local",Nominee,2008,Mark Bittman,NA,American Public Television,The Best Recipes in the World with Mark Bittman
Television Food Special,Nominee,2008,Dan Protess,NA,WTTW,The Foods of Chicago: A Delicious History
Television Food Special,Nominee,2008,Nick Versteeg,NA,"Shaw Cable, Victoria, BC, Canada",Bocuse d'Or 2007
"Television Food Show, National and Local",Winner,2008,Giulio Capua,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Show, National and Local",Winner,2008,Robert Curran,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Show, National and Local",Nominee,2008,Shauna Minoprio,NA,Bravo,Top Chef Season 3
Television Food Special,Winner,2008,Frances Berwick,NA,Bravo,Top Chef Holiday Special
Radio Food Show,Nominee,2008,Michele Anna Jordon,NA,"Mouthful, the Wine Country's Most Delicious Hour",NA
"Television Food Show, National and Local",Nominee,2008,Frances Berwick,NA,Bravo,Top Chef Season 3
"Television Food Segment, National or Local",Nominee,2008,Amy Chiaro,NA,NBC,Today's Kitchen: Ed Deitch on Wine
Radio Food Show,Winner,2008,Jennifer Russell,NA,The Splendid Table,NA
"Television Food Show, National and Local",Winner,2008,Laurie Donnelly,NA,American Public Television,Gourmet's Diary of a Foodie
"Television Food Show, National and Local",Nominee,2008,Dave Serwatka,NA,Bravo,Top Chef Season 3
"Television Food Segment, National or Local",Nominee,2008,Ed Deitch,NA,NBC,Today's Kitchen: Ed Deitch on Wine
"Television Food Show, National and Local",Nominee,2008,Jane Lipsitz,NA,Bravo,Top Chef Season 3
Radio Food Show,Nominee,2008,Jimmie Dale Gilmore,NA,Hidden Kitchens Texas,NA
Webcast,Winner,2008,Eric Anderson,NA,Graperadio.com,Stewards of the Land
"Television Food Show, Local",Nominee,2007,Mary Babbitt,NA,NBC 11/KNTV (San Francisco Bay Area),In Wine Country
Webcast,Winner,2007,John Austin Barkley,NA,www.ciaprochef.com,"Savoring the Best of World Flavors, Volume One: India, Spain, Mexico and Thailand"
Television Segment - National or Local,Nominee,2007,Vince Gerasole,NA,"WBBM-TV, CBS",CBS 2 Chicago
Television Segment - National or Local,Nominee,2007,Greta Anthony,NA,NBC Universal Domestic Television Distribution,The Martha Stewart Show
Television Segment - National or Local,Nominee,2007,Stephanie Carl,NA,NBC Universal Domestic Television Distribution,The Martha Stewart Show
Television Food Special,Nominee,2007,Tina Salter,NA,"KQED, Channel 9","Check, Please! Bay Area"
Television Food Special,Nominee,2007,June Ouellette,NA,"KQED, Channel 9","Check, Please! Bay Area"
Television Food Special,Nominee,2007,Carol Ganga,NA,"KQED, Channel 9","Check, Please! Bay Area"
Television Food Special,Nominee,2007,Mariana Coyne,NA,WHA-Madison,Living on the Wedge
Television Food Special,Nominee,2007,Gaylon Emerzian,NA,WHA-Madison,Living on the Wedge
