subcategory,rank,year,name,title,publisher
Cookbook of the Year,Winner,2006,Faith D'Aluisio,HUNGRY PLANET: WHAT THE WORLD EATS,()
Food of The Americas,Winner,2006,Joan Nathan,The New American Cooking,(Alfred A. Knopf)
Single Subject,Nominee,2006,Grace Parisi,"Get Saucy: Make Dinner a New Way Every Day with Simple Sauces, Marinades, Dressings, Glazes, Pestos, Pasta Sauces, Salsas, and More",(The Harvard Common Press)
Food of The Americas,Nominee,2006,Deanne Bayless,Mexican Everyday,(W.W. Norton)
International,Winner,2006,Mario Batali,Molto Italiano,(Ecco)
Baking & Desserts,Nominee,2006,Fran Gage,Chocolate Obsession,"(Stewart, Tabori & Chang)"
Baking & Desserts,Nominee,2006,Nicholas Malgieri,A Baker's Tour,(HarperCollins/Morrow Cookbooks)
Food of The Americas,Nominee,2006,Amy Mills,"Peace, Love, and Barbecue",(Rodale Books)
Writing on Food,Winner,2006,Peter Menzel,Hungry Planet: What the World Eats,(Ten Speed Press)
Reference,Nominee,2006,Pamela Hoenig,How To Break An Egg,(The Taunton Press)
Photography,Nominee,2006,Grant Symon,Uncooked,(Editions Flammarion)
International,Nominee,2006,Anya Von Bremzen,The New Spanish Table,(Workman Publishing)
Wine & Spirits,Winner,2006,Michael Jackson,Whiskey,(DK Publishing)
Reference,Winner,2006,Max McCalman,Cheese: A Connoisseur's Guide to the World's Best,(Clarkson Potter)
Entertaining & Special Occasions,Nominee,2006,Diane Phillips,Perfect Party Food: All the Recipes and Tips You'll Ever Need for Stress-Free Entertaining,(The Harvard Common Press)
Photography,Nominee,2006,Jeffrey Alford,Mangoes & Curry Leaves: Culinary Travels Through The Great Subcontinent,(Artisan)
Wine & Spirits,Nominee,2006,Elin McCoy,"The Emperor of Wine: The Rise of Robert M. Parker, Jr. and the Reign of American Taste",(Ecco)
Cookbook of the Year,Winner,2006,Julie Bennett,HUNGRY PLANET: WHAT THE WORLD EATS,()
Cookbook Hall of Fame,Winner,2006,Madhur Jaffrey,An Invitation to Indian Cooking,NA
Writing on Food,Nominee,2006,Marcie Cohen Ferris,Matzoh Ball Gumbo: Culinary Tales of the Jewish South,(University of North Carolina Press)
Writing on Food,Nominee,2006,Nikki Silva,"Hidden Kitchens: Stories, Recipes, and More from NPR's The Kitchen Sisters",(Rodale)
Cooking from a Professional point of view,Nominee,2006,Nobu Matsuhisa,Nobu Now,(Clarkson Potter)
General,Winner,2006,Jill Norman,The Cook's Book,(DK Publishing)
General,Nominee,2006,Donna Hay,The Instant Cook,(Fourth Estate)
Wine & Spirits,Nominee,2006,Richard Juhlin,4000 Champagnes,(Editions Flammarion)
Single Subject,Nominee,2006,Grace Parisi,"Get Saucy: Make Dinner a New Way Every Day with Simple Sauces, Marinades, Dressings, Glazes, Pestos, Pasta Sauces, Salsas, and More",(The Harvard Common Press)
Single Subject,Nominee,2006,Brian Polcyn,"Charcuterie: The Craft of Salting, Smoking, and Curing",(W. W. Norton)
Healthy Focus,Winner,2006,Nina Simonds,Spices of Life: Simple and Delicious Recipes for Great Health,(Alfred A. Knopf)
Food of The Americas,Winner,2006,Joan Nathan,The New American Cooking,(Alfred A. Knopf)
Entertaining & Special Occasions,Winner,2006,Sidney Fry,Simple Soirees: Seasonal Menus for Sensational Dinner Parties,"(Stewart, Tabori & Chang)"
Single Subject,Winner,2006,Jennifer McLagan,"Bones: Recipes, History & Lore",(HarperCollins/Morrow Cookbooks)
Cooking from a Professional point of view,Winner,2006,Suzanne Jennifer Goin,Sunday Suppers at Lucques,(Alfred A. Knopf)
International,Nominee,2006,Elizabeth Andoh,Washoku: Recipes from the Japanese Home Kitchen,(Ten Speed Press)
Reference,Winner,2006,David Gibbons,Cheese: A Connoisseur's Guide to the World's Best,(Clarkson Potter)
Healthy Focus,Nominee,2006,Joyce Hendley,The EatingWell Diabetes Cookbook,(The Countryman Press)
Reference,Nominee,2006,Robert Wolke,What Einstein Told His Cook 2,(W. W. Norton)
International,Nominee,2005,Michele Scicolone,"1,000 Italian Recipes",(John Wiley & Sons)
Cookbook Hall of Fame,Winner,2005,Beatrice Ojakangas,The Great Scandinavian Baking Book,NA
Cookbook of the Year,Winner,2005,Lorena Jones,Rick Stein's Complete Seafood,()
Cookbook of the Year,Winner,2005,Aaron Wehner,Rick Stein's Complete Seafood,()
Photography,Nominee,2005,Jeff Kauck,The Spiaggia Cookbook,(Chronicle Books)
Photography,Nominee,2005,Victor Schrager,"The Compleat Squash: A Passionate Grower's Guide to Pumpkins, Squashes, and Gourds",(Artisan)
International,Nominee,2005,Joyce Goldstein,Italian Slow and Savory,(Chronicle Books)
Writing on Food,Nominee,2005,Nigel Slater,Toast: The Story of a Boy's Hunger,(Gotham Books)
Writing on Food,Nominee,2005,Jack Turner,Spice,(Alfred A. Knopf)
Single Subject,Nominee,2005,Janie Hibler,Berry Bible,(HarperCollins Publishers)
General,Nominee,2005,Lanie Bayless,Rick & Lanie's Excellent Kitchen Adventures,"(Stewart, Tabori & Chang)"
Focus on Health,Nominee,2005,Dana Jacobi,Williams-Sonoma Essentials of Healthful Cooking,(Oxmoor House)
Focus on Health,Nominee,2005,Marie Simmons,Williams-Sonoma Essentials of Healthful Cooking,(Oxmoor House)
Single Subject,Nominee,2005,Rick Stein,Rick Stein's Complete Seafood,(Ten Speed Press)
Wine & Spirits,Nominee,2005,Clive Coates MW,The Wines of Bordeaux,(University of California Press)
Wine & Spirits,Nominee,2005,William Echikson,Noble Rot,(W.W. Norton & Company)
Cooking from a Professional point of view,Nominee,2005,Michael Ruhlman,Bouchon,(Artisan)
Single Subject,Winner,2005,Molly Stevens,All About Braising,(W. W. Norton & Co.)
Photography,Winner,2005,Deborah Jones,Bouchon,(Artisan)
Vegetarian,Nominee,2005,Denis Cotter,Cafe Paradiso,(Hylas Publishing)
General,Winner,2005,Joanne Weir,Weir Cooking in the City,(Simon & Schuster)
Vegetarian,Nominee,2005,Jack Bishop,A Year in a Vegetarian Kitchen: Easy Seasonal Dishes for Family and Friends,(Houghton Mifflin)
General,Nominee,2005,Jamie Oliver,Jamie's Dinners,(Hyperion)
Entertaining & Special Occasions,Winner,2005,Serena Bass,"Serena, Food & Stories","(Stewart, Tabori & Chang)"
Cooking from a Professional point of view,Nominee,2005,Susie Heller,Bouchon,(Artisan)
Food of The Americas,Winner,2005,Fernando Divina,Foods of the Americas: Native Recipes and Traditions,(Ten Speed Press)
Reference,Nominee,2005,Andrew F. Smith,Oxford Encyclopedia of Food and Drink in America,(Oxford University Press)
Cooking from a Professional point of view,Nominee,2005,Jeff Cerciello,Bouchon,(Artisan)
Baking & Desserts,Winner,2005,Maggie Glezer,"A Blessing of Bread: Recipes and Rituals, Memories and Mitzvah",(Artisan)
Food of The Americas,Nominee,2005,Maria Taylor,Cooking New American: How to Cook the Food You Love to Eat,(The Taunton PRess)
Wine & Spirits,Winner,2005,Charles Maclean,Scotch Whiskey,(Cassell Illustrated)
Cooking from a Professional point of view,Nominee,2005,Thomas A. Keller,Bouchon,(Artisan)
Focus on Health,Nominee,2005,Patsy Jamieson,The Essential EatingWell Cookbook,(The Countryman Press)
Entertaining & Special Occasions,Nominee,2005,Lucy Waverman,A Matter of Taste,(HarperCollins Publishers)
Entertaining & Special Occasions,Nominee,2005,James Chatto,A Matter of Taste,(HarperCollins Publishers)
Cooking from a Professional point of view,Nominee,2005,Frank Stitt,Frank Stitt's Southern Table: Recipes and Gracious Traditions from Highlands Bar and Grill,(Artisan)
Entertaining & Special Occasions,Nominee,2005,Nigella Lawson,Feast,(Hyperion)
Cooking from a Professional point of view,Winner,2005,John Ash,"John Ash Cooking One on One: Private Lessons in Simple, Contemporary Food from a Master Teacher",(Clarkson Potter)
International,Winner,2005,Patricia Wells,Provence Cookbook,(HarperCollins Publishers)
Food of The Americas,Winner,2005,Marlene Divina,Foods of the Americas: Native Recipes and Traditions,(Ten Speed Press)
Cooking from a Professional point of view,Winner,2005,Amy Mintzer,"John Ash Cooking One on One: Private Lessons in Simple, Contemporary Food from a Master Teacher",()
Baking & Desserts,Nominee,2005,Lora Brody,Chocolate American Style,(Clarkson Potter Publishers)
Baking & Desserts,Nominee,2005,Helene Siegel,Pure Chocolate,(Broadway Books)
Baking & Desserts,Nominee,2005,Fran Bigelow,Pure Chocolate,(Broadway Books)
General,Nominee,2005,Jennifer Fite,Rick & Lanie's Excellent Kitchen Adventures,"(Stewart, Tabori & Chang)"
Focus on Health,Winner,2005,Jennifer Nelson RD,The New Mayo Clinic Cookbook,(Oxmoor House)
Focus on Health,Winner,2005,Donald Hensrud MD,The New Mayo Clinic Cookbook,(Oxmoor House)
Reference,Nominee,2005,Amy Goldman,"The Compleat Squash: A Passionate Grower's Guide to Pumpkins, Squash, and Gourds",(Artisan)
Focus on Health,Nominee,2005,Mary Abbott Hess,Williams-Sonoma Essentials of Healthful Cooking,(Oxmoor House)
Cookbook of the Year,Winner,2005,Rick Stein,Rick Stein's Complete Seafood,(Ten Speed Press)
Food of The Americas,Nominee,2005,Arthur Schwartz,Arthur Schwartz's New York City Food,"(Stewart, Tabori & Chang)"
Vegetarian,Winner,2005,Gil Marks,Olive Trees and Honey: A Treasury of Vegetarian Recipes from Jewish Communities Around the World,(John Wiley & Sons)
Writing on Food,Winner,2005,Gina Mallet,Last Chance to Eat,(W. W. Norton & Co.)
Reference,Winner,2005,Harold McGee,On Food and Cooking,(Scribner)
Wine & Spirits,Nominee,2004,Garrett Oliver,The Brewmaster's Table,(Ecco)
Photography,Winner,2004,Masano Kawana,Shunju: New Japanese Cuisine,(Tuttle)
Single Subject,Nominee,2004,Jeremy Jackson,The Cornbread Book,(William Morrow)
Photography,Nominee,2004,Deborah Jones,Salt and Pepper,(Chronicle Books)
Photography,Nominee,2004,Michele Tabozzi,La Mia Cucina Toscana,(Broadway Books)
General,Nominee,2004,Raymond Sokolov,The Cook's Canon,(HarperCollins)
Wine & Spirits,Winner,2004,Monty Waldin,Wines of South America,(Mitchell Beazley)
General,Nominee,2004,Leslie Revsin,Come For Dinner: Memorable Meals to Share with Friends,(Wiley)
Baking,Nominee,2004,Rose Levy Beranbaum,The Bread Bible,(W.W. Norton and Company)
Cooking of the Americas,Winner,2004,David Rosengarten,It's All American Food,"(Little, Brown and Company)"
Single Subject,Winner,2004,Laura Werlin,The All American Cheese and Wine Book,"(Stewart, Tabori & Chang)"
Writing and Reference,Nominee,2004,Shoba Narayan,Monsoon Diary,(Random House)
Cooking of the Americas,Nominee,2004,Edna Lewis,The Gift of Southern Cooking,(Alfred A. Knopf)
Cooking from a Professional point of view,Nominee,2004,Riad Nasr,The Balthazar Cookbook,(Clarkson Potter)
International,Nominee,2004,Paula Wolfert,The Slow Mediterranean Kitchen: Recipes for the Passionate Cook,(Wiley)
Cooking from a Professional point of view,Nominee,2004,Lee Hanson,The Balthazar Cookbook,(Clarkson Potter)
International,Nominee,2004,Nancy Harmon Jenkins,The Essential Mediterranean,(HarperCollins)
Cooking from a Professional point of view,Nominee,2004,Keith McNally,The Balthazar Cookbook,(Clarkson Potter)
Single Subject,Nominee,2004,James Villas,Crazy for Casseroles,(Harvard Common)
Tools & Techniques,Winner,2004,Steven Raichlen,BBQ USA,(Workman Publishing)
Tools & Techniques,Nominee,2004,Denis Kelly,Grilling & Barbecuing,"(Stewart, Tabori & Chang)"
Baking,Nominee,2004,Sherry Yard,The Secrets of Baking: Simple Techniques for Sophisticated Desserts,(Houghton Mifflin Company)
Tools & Techniques,Nominee,2004,Alton Brown,Alton Brown's Gear for Your Kitchen,"(Stewart, Tabori & Chang)"
Cooking from a Professional point of view,Winner,2004,Rocco DiSpirito,Flavor,(Hyperion)
Cooking of the Americas,Nominee,2004,Norman Van Aken,New World Kitchen,(Ecco)
Vegetarian/Healthy Focus,Winner,2004,Michel Nischan,Taste Pure and Simple,(Chronicle Books)
Baking,Winner,2004,King Arthur Flour,The King Arthur Flour Baker's Companion,(The Countryman Press)
Vegetarian/Healthy Focus,Nominee,2004,The Moosewood Collective,Moosewood Restaurant Celebrates,(Clarkson Potter)
Vegetarian/Healthy Focus,Winner,2004,Mary Goodbody,Taste Pure and Simple,(Chronicle Books)
Cooking of the Americas,Nominee,2004,Scott Peacock,The Gift of Southern Cooking,(Alfred A. Knopf)
Cookbook Hall of Fame,Winner,2004,Barbara Tropp,The Modern Art of Chinese Cooking: Techniques & Recipes,NA
Cookbook of the Year,Winner,2004,King Arthur Flour,The King Arthur Flour Baker's Companion,(The Countryman Press)
Vegetarian/Healthy Focus,Nominee,2004,Beth Wareham,Everyday Greens,(Scribner)
Writing and Reference,Winner,2004,Laura Schenone,A Thousand Years Over A Hot Stove,(W. W. Norton & Co.)
Cooking from a Professional point of view,Nominee,2004,Michel Roux,Michel Roux: New Creative Techniques From A French Master,(Rizzoli)
Wine & Spirits,Nominee,2004,Charles Sullivan,Zinfandel: A History of a Grape and Its Wine,(University of California Press)
General,Winner,2004,Cook's Illustrated,The Quick Recipe,(America's Test Kitchen)
International,Winner,2004,Madhur Jaffrey,From Curries to Kebabs,(Clarkson Potter)
Writing and Reference,Nominee,2004,Jacques Pépin,The Apprentice: My Life in the Kitchen,(Houghton Mifflin)
Baking,Nominee,2003,Dorie Greenspan,Paris Sweets,(Broadway Books)
Cookbook of the Year,Winner,2003,Judy Rodgers,Zuni Cafe Cookbook,(W. W. Norton)
Cooking from a Professional point of view,Winner,2003,Judy Rodgers,Zuni Cafe Cookbook,(W. W. Norton)
"Literary Writing About Food, Wine & Spirits",Winner,2003,Marion Nestle,Food Politics: How the Food Industry Influences Nutrition & Health,(University of California Press)
Baking,Winner,2003,Greg Patent,Baking in America,(Houghton Mifflin)
Tools & Techniques,Winner,2003,Jean Anderson,Process This!,(William Morrow)
Mediterranean,Winner,2003,James Peterson,Glorious French Food,(Wiley)
General/Cooking for Everyday,Nominee,2003,Sara Moulton,Sara Moulton Cooks at Home,(Broadway Books)
General/Cooking for Everyday,Winner,2003,Deborah Madison,Local Flavors,(Broadway Books)
Single Subject,Winner,2003,Deborah Krasner,The Flavors of Olive Oil,(Simon & Schuster)
Reference,Winner,2003,Alton Brown,I'm Just Here For The Food,"(Stewart, Tabori & Chang)"
Vegetarian/Healthy Focus,Winner,2003,Crescent Dragonwagon,Passionate Vegetarian,(Workman Publishing)
International,Winner,2003,David Thompson,Thai Food,(Ten Speed Press/Penguin Books Australia)
Cookbook Hall of Fame,Winner,2003,Edna Lewis,"The Edna Lewis Cookbook, In Pursuit of Flavor, The Taste of Country Cooking, Gift of Southern Cooking",NA
Americana,Winner,2003,Lois Ellen El Frank,Foods of the Southwest Indian Nations,(Ten Speed Press)
Wine & Spirits,Winner,2003,Michael Broadbent,Michael Broadbent's Vintage Wine,(Harcourt Trade Publishers)
Americana,Nominee,2003,Robb Walsh,Legends of Texas Barbeque Cookbook,(Chronicle Books)
Cooking from a Professional point of view,Nominee,2003,Eric Ripert,A Return to Cooking,(Artisan)
International,Nominee,2003,Raghavan Iyer,The Turmeric Trail,(St. Martin's Press)
Mediterranean,Nominee,2003,Nancy Verde Barr,Make It Italian,(Alfred A. Knopf)
Cooking from a Professional point of view,Nominee,2003,Michael Ruhlman,A Return to Cooking,(Artisan)
Mediterranean,Nominee,2003,Micol Negrin,Rustico,(Clarkson Potter)
Reference,Nominee,2003,Robert Wolke,What Einstein Told His Cook,(W.W. Norton & Company)
Reference,Nominee,2003,Amy Goldman,Melons for the Passionate Grower,(Artisan)
Single Subject,Nominee,2003,Max McCalman,The Cheese Plate,(Clarkson Potter)
Single Subject,Nominee,2003,David Gibbons,The Cheese Plate,(Clarkson Potter)
Tools & Techniques,Nominee,2003,Christopher Schlesinger,Let the Flames Begin,(W.W. Norton & Company)
Single Subject,Nominee,2003,Cheryl Jamison,A Real American Breakfast,(William Morrow)
Wine & Spirits,Nominee,2003,Andrea Immer Robinson,Great Tastes Made Simple,(Broadway Books)
Best Food Photography,Winner,2003,Rodney Weiland,Belinda Jeffery's Tried and True Recipes,(Penguin Books Australia)
Best Food Photography,Nominee,2003,Victor Schrager,The Anatomy of a Dish,(Artisan)
Best Food Photography,Nominee,2003,Jean-Daniel Sudres,Dishes of France,(Universe)
Americana,Nominee,2003,Janet Fletcher,Savoring America,(Oxmoor House)
Americana,Nominee,2003,Kerri Conan,Savoring America,(Oxmoor House)
Americana,Nominee,2003,Cynthia Nims,Savoring America,(Oxmoor House)
Americana,Nominee,2003,Ray Overton,Savoring America,(Oxmoor House)
Americana,Nominee,2003,Michael McLaughlin,Savoring America,(Oxmoor House)
Americana,Nominee,2003,Abby Dodge,Savoring America,(Oxmoor House)
Vegetarian/Healthy Focus,Nominee,2003,Andrew Weil,The Healthy Kitchen,(Alfred A. Knopf)
Vegetarian/Healthy Focus,Nominee,2003,Rosie Daley,The Healthy Kitchen,(Alfred A. Knopf)
Vegetarian/Healthy Focus,Nominee,2003,Frances Towner Giedt,The Joslin Diabetes Great Chefs Cook Healthy Cookbook,(Simon & Schuster)
Vegetarian/Healthy Focus,Nominee,2003,Bonnie Sanders Polin,The Joslin Diabetes Great Chefs Cook Healthy Cookbook,(Simon & Schuster)
International,Nominee,2003,Darina Allen,Darina Allen's Ballymaloe Cooking School Cookbook,(Pelican Publishing)
Baking,Nominee,2003,Lisa Yockelson,Bakinig by Flavor,(Wiley Publishing)
"Literary Writing About Food, Wine & Spirits",Nominee,2003,Felipe Fernandez-Armesto,Near a Thousand Tables,(Free Press)
"Literary Writing About Food, Wine & Spirits",Nominee,2003,Mark Kurlansky,Salt: A World History,(Walker & Company)
Tools & Techniques,Nominee,2003,John Doc Willoughby,Let the Flames Begin,(W.W. Norton & Company)
Tools & Techniques,Nominee,2003,William Rubel,The Magic of Fire: Hearth Cooking: One Hundred Recipes for the Fireplace or Campfire,(Ten Speed Press)
Wine & Spirits,Nominee,2003,Oz Clarke,Oz Clarke's New Wine Atlas,(Harcourt Trade Publishers)
General/Cooking for Everyday,Nominee,2003,Nigel Slater,Appetite,(Clarkson Potter)
Cooking from a Professional point of view,Nominee,2003,Mario Batali,The Babbo Cookbook,(Clarkson Potter)
Best Food Photography,Winner,2002,Tim Turner,Charlie Trotter's Meat & Game,(Ten Speed Press)
Single Subject,Winner,2002,Guillermo Pernot,"Ceviche! Seafood, Salads, and Cocktails with a Latino Twist",(Running Press)
Americana,Winner,2002,Brigid Callinan,Mustards Grill: Napa Valley Cookbook,(Ten Speed Press)
Americana,Nominee,2002,Joanne Weir,Joanne Weir's More Cooking in the Wine Country,(Simon & Schuster)
Italian,Nominee,2002,Fred Plotkin,La Terra Fortunata,(Broadway Books)
Americana,Nominee,2002,Barbara Shinn,Recipes From Home,(Artisan)
Americana,Nominee,2002,David Page,Recipes From Home,(Artisan)
Italian,Winner,2002,Giovanna Tornabene,Sicilian Home Cooking,(Alfred A. Knopf)
Americana,Winner,2002,Cindy Pawlcyn,Mustards Grill: Napa Valley Cookbook,(Ten Speed Press)
Baking & Desserts,Nominee,2002,Dorie Greenspan,Chocolate Desserts by Pierre Herme,"(Little, Brown and Company)"
Cookbook of the Year,Winner,2002,Peter Reinhart,The Bread Baker's Apprentice: Mastering the Art of Extraordinary Bread,(Ten Speed Press)
Italian,Winner,2002,Michele Evans,Sicilian Home Cooking,(Alfred A. Knopf)
Wine & Spirits,Nominee,2002,Mary Ewing Mulligan,Italian Wine for Dummies,"(Hungry Minds, A Wiley Company)"
Baking & Desserts,Winner,2002,Peter Reinhart,The Bread Baker's Apprentice: Mastering the Art of Extraordinary Bread,(Ten Speed Press)
Single Subject,Nominee,2002,Jack Bishop,Vegetables Every Day,(HarperCollins)
Cookbook of the Year,Winner,2002,Aaron Wehner,THE BREAD BAKER's APPRENTICE:MASTERING THE ART OF EXTRAORDINARY BREAD,()
Entertaining & Special Occasions,Winner,2002,Jacques Pépin,Jacques Pepin Celebrates,(Alfred A. Knopf)
Writing on Food,Winner,2002,Patric Kuh,The Last Days of Haute Cuisine,(Penguin Putnam)
Reference,Nominee,2002,Bennett Alan Weinberg,The World of Caffeine,"(Routledge, Taylor & Francis)"
Wine & Spirits,Nominee,2002,Ed McCarthy,Italian Wine for Dummies,"(Hungry Minds, A Wiley Company)"
International,Winner,2002,Madhur Jaffrey,Madhur Jaffrey's Step-by-Step Cooking,(Ecco)
Entertaining & Special Occasions,Nominee,2002,Brian St. Pierre,The Perfect Match,(Chronicle Books)
Wine & Spirits,Nominee,2002,Max Allen,Red & White Wine Made Simple,(Wine Appreciation Guild)
Healthy Focus,Nominee,2002,The Moosewood Collective,Moosewood Restaurant New Classics,(Clarkson Potter)
Healthy Focus,Nominee,2002,Rozanne Gold,Healthy 1-2-3,"(Stewart, Tabori & Chang)"
Single Subject,Winner,2002,Aliza Green,"Ceviche! Seafood, Salads, and cocktails with a latino twist",(Running Press Book Publishers)
General,Nominee,2002,Susan Westmoreland,The All New Good Housekeeping Cookbook,(Hearst Books)
Cookbook Hall of Fame,Winner,2002,Alan Davidson,North Atlantic Seafood,NA
Best Food Photography,Nominee,2002,Takashi Morieda,Tetsuya: Recipes From Australia's Most Acclaimed Chef,(Ten Speed Press)
Wine & Spirits,Winner,2002,Andre Domine,Wine,(Konemann Verlagsgesellschaft)
General,Winner,2002,Art Smith,Back to the Table,(Hyperion)
International,Nominee,2002,Patricia Wells,The Paris Cookbook,(HarperCollins)
Best Food Photography,Nominee,2002,Ashley Barber,Stir,(Penguin Books Australia)
Reference,Nominee,2002,Elizabeth Schneider,Vegetables from Amaranth to Zucchini,(William Morrow)
Reference,Nominee,2002,Bonnie Bealer,The World of Caffeine,"(Routledge, Taylor & Francis)"
Italian,Nominee,2002,Benedetta Vitali,Soffritto: Tradition & Innovation in Tuscan Cooking,(Ten Speed Press)
Best Food Photography,Nominee,2002,Fumihiko Watanabe,Nobu Cookbook,(Kodansha International)
General,Nominee,2002,Delia Smith,How to Cook,"(DK Publishing, Inc.)"
Healthy Focus,Winner,2002,Sally Schneider,A New Way to Cook,(Artisan)
Best Food Photography,Winner,2002,Michael Voltattorni,Charlie Trotter's Meat & Game,(Ten Speed Press)
International,Nominee,2002,Mai Pham,Pleasures of the Vietnamese Table,(HarperCollins)
Italian,Winner,2002,Wanda Tornabene,Sicilian Home Cooking,(Alfred A. Knopf)
Entertaining & Special Occasions,Nominee,2002,Rachel Nicole Purnell,Barefoot Contessa Parties!,(Clarkson Potter)
Writing on Food,Nominee,2002,Hasia Diner,Hungering for America,(Harvard University Press)
Writing on Food,Nominee,2002,Patricia Volk,Stuffed,(Alfred A. Knopf)
Single Subject,Nominee,2002,Steven Raichlen,How to Grill,(Workman Publishing)
Baking & Desserts,Nominee,2002,Pierre Herme,Chocolate Desserts by Pierre Herme,"(Little, Brown and Company)"
Baking & Desserts,Nominee,2002,Nancy Baggett,The All-American Cookie Book,(Houghton Mifflin)
Reference,Winner,2002,Librarie Larousse,Larousse Gastronomique,(Clarkson Potter)
General,Nominee,2001,Pam Anderson,How to Cook Without a Book,(Broadway Books)
Wine & Spirits,Nominee,2001,Bruce Cass,The Oxford Companion to The Wines of North America,(Oxford University Press)
Wine & Spirits,Nominee,2001,Jancis Robinson,The Oxford Companion to The Wines of North America,(Oxford University Press)
Vegetarian,Nominee,2001,Nancy O'Hara,3 Bowls: Vegetarian Recipes From n American Zen Buddhist Monastery,(Houghton Mifflin Company)
Vegetarian,Nominee,2001,Seppo Ed Farrey,3 Bowls: Vegetarian Recipes From n American Zen Buddhist Monastery,(Houghton Mifflin Company)
Single Subject,Nominee,2001,John Doc Willoughby,How to Cook Meat,(William Morrow)
Single Subject,Nominee,2001,Christopher Schlesinger,How to Cook Meat,(William Morrow)
International,Nominee,2001,Jeffrey Alford,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
International,Winner,2001,JeanMarie Brownson,Mexico One Plate at a Time,(Simon & Schuster)
Healthy Focus,Nominee,2001,Jodi Behrend,Special Foods for Special Kids: Practical Solutions & Great Recipes for Children with Food Allergies,(Robert D. Reed Publishers)
Healthy Focus,Nominee,2001,Todd Adelman,Special Foods for Special Kids: Practical Solutions & Great Recipes for Children with Food Allergies,(Robert D. Reed Publishers)
Healthy Focus,Nominee,2001,Janet Podleski,Crazy Plates,(Perigee)
Healthy Focus,Nominee,2001,Greta Podleski,Crazy Plates,(Perigee)
General,Nominee,2001,Melicia Phillips,Staff Meals from Chanterelle,(Workman Publishing)
Entertaining & Special Occasions,Nominee,2001,Nan Kempner,R.S.V.P.,(Clarkson Potter)
Baking & Desserts,Nominee,2001,Regan Daley,In the Sweet Kitchen,(Random House Canada)
Americana,Nominee,2001,Jamie Shannon,Commander's Kitchen,(Broadway Books)
International,Winner,2001,Deanne Bayless,Mexico One Plate at a Time,(Simon & Schuster)
General,Winner,2001,Tom Colicchio,Think Like a Chef,(Clarkson Potter)
Healthy Focus,Winner,2001,Steven Raichlen,Healthy Jewish Cooking,(Penguin Putnam/Viking Division)
Americana,Nominee,2001,Ti Adelaide A. Martin,Commander's Kitchen,(Broadway Books)
Baking & Desserts,Winner,2001,Maggie Glezer,"Artisan Baking Across America: The Breads, The Bakers, The Best Recipes",(Artisan)
Best Food Photography,Winner,2001,Naomi Duguid,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
Cookbook of the Year,Winner,2001,Naomi Duguid,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
Baking & Desserts,Nominee,2001,Nicholas Malgieri,Cookies Unlimited,(HarperCollins)
Single Subject,Winner,2001,Marie Simmons,The Good Egg,(Houghton Mifflin Co.)
Cookbook of the Year,Winner,2001,Jeffrey Alford,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
Best Food Photography,Winner,2001,Jeffrey Alford,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
Wine & Spirits,Nominee,2001,Andrea Immer Robinson,Great Wine Made Simple,(Broadway Books)
International,Winner,2001,Jennifer Fite,Mexico One Plate at a Time,(Simon & Schuster)
Single Subject,Nominee,2001,Jerry Traunfeld,The Herbfarm Cookbook,(Simon & Schuster)
Vegetarian,Winner,2001,Melissa Clark,The Modern Vegetarian Kitchen,(Regan Books/HarperCollins)
Writing and Reference,Winner,2001,Matt Lewis Thorne,Pot of the Fire: Further Exploits of a Renegade Cook,"(Farrar, Straus and Giroux)"
Entertaining & Special Occasions,Nominee,2001,Bon Appétit,Bon Appetit The Christmas Season,(Random House/Clarkson Potter)
Entertaining & Special Occasions,Winner,2001,Junior League of Boca Raton,Savor the Moment,(Junior League of Boca Raton)
International,Nominee,2001,Naomi Duguid,Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia,(Artisan)
Cookbook Hall of Fame,Winner,2001,Elizabeth David,A Book of Mediterranean Food,NA
Writing and Reference,Nominee,2001,Kenneth F. Kiple,Cambridge World History of Food,(Cambridge University Press)
Americana,Winner,2001,Christina Ford,Tom Douglas Seattle Kitchen,(William Morrow)
Writing and Reference,Winner,2001,John Thorne,Pot of the Fire: Further Exploits of a Renegade Cook,"(Farrar, Straus and Giroux)"
Americana,Nominee,2001,Lissa Doumani,Terra: Cooking from the Heart of Napa Valley,(Ten Speed Press)
Wine & Spirits,Winner,2001,Paul Lukacs,American Vintage: The Rise of American Wine,(Houghton Mifflin Co.)
General,Nominee,2001,David & Karen Waltuck,Staff Meals from Chanterelle,(Workman Publishing)
Vegetarian,Nominee,2001,Deborah Madison,This Can't Be Tofu,(Broadway Books)
Vegetarian,Winner,2001,Peter Berley,The Modern Vegetarian Kitchen,(Regan Books/HarperCollins)
International,Nominee,2001,Anne Willan,Anne Willan: From My Chateau Kitchen,(Clarkson Potter Publishers)
Americana,Nominee,2001,Hiro Sone,Terra: Cooking from the Heart of Napa Valley,(Ten Speed Press)
