DoBIH_number,Name,Height_m,Height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
530,Braeriach - Sron na Lairige,1184,3885,296427,800625,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Sron na Leirg. 1891-1974: 3875' spot on 6"" map. The summit 0.5km N has a 3860' trig. Current maps spot both summits 3m higher"
523,Sgor an Lochain Uaine,1258,4127,295422,797693,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,"1891: Sgor an Lochain Uaine, Carn Toul; 1921-1969: Sgor an Lochan Uaine (The Angel's Peak); 1974: Sgor an Lochan Uaine"
521,Cairn Toul,1291,4236,296328,797229,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
528,Cairn Toul - Stob Coire an t-Saighdeir,1213,3980,296270,796360,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire an t-Saighdeir
575,The Devil's Point,1006.9,3303,297609,795115,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
549,Monadh Mor,1113,3652,293866,794217,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: 2½ miles SW by S (1891 : SW) of Carin Toul - could be 1113 m or 1110 m top. Height 3651' (1113m) in 1891-1969 Tables.
590,Monadh Mor - Tom Dubh,918,3012,292143,795278,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Braeriach, Top above Lochan nan Cnapan; 1921-1990: Stob Lochan nan Cnapan, assigned to Braeriach which is the prominence parent. Summit location surveyed in 2012"
577,Monadh Mor - Leth-chreag,985,3232,292186,793909,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891: Leachd Riach
538,Beinn Bhrotain,1157,3796,295413,792292,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
585,Beinn Bhrotain - Carn Cloich-mhuilinn,942,3091,296861,790686,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Carn Clioch-mhuilinn (in error)
567,Carn a' Mhaim,1037,3402,299458,795199,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
518,Ben Macdui [Beinn Macduibh],1309,4295,298899,798943,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1953: Ben Macdhui
520,Ben Macdui North Top,1295,4249,299125,799565,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1891-1953: Ben Macdhui North Top
546,Ben Macdui - Carn Etchachan,1120,3675,300311,800908,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Top of cliffs above Loch Avon. Incorrectly given as 1½  miles NNE of Ben Macdui, corrected in 1921"
524,Ben Macdui - Stob Coire Sputan Dearg,1249,4098,299799,798467,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1891: Top of Coire an Sput Dheirg
552,Ben Macdui - Sron Riach,1113,3652,299993,797795,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
525,Cairn Gorm,1244.8,4084,300516,804065,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
527,Cairn Gorm - Cairn Lochan,1216,3990,298510,802556,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire an Lochain
556,Cairn Gorm - Fiacaill Coire an t-Sneachda,1122,3681,298852,803299,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
534,Cairn Gorm - Stob Coire an t-Sneachda,1176,3858,299625,802985,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire an t-Sneachda
542,Cairn Gorm - Fiacaill a' Choire Chais,1141,3743,299894,803991,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
540,Cairn Gorm - Cnap Coire na Spreidhe,1150,3773,301350,804908,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
568,Cairn Gorm - Sron a' Cha-no,1028,3373,301637,806120,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Sron a' Chano; 1921: 3388' ap. Mr R. Burn, ?m S by E of 3317' spot and ?m N of 3367' spot on 6"" map; 1974: NJ 016166 in error, height from 1971 1:10k map is at NJ 016010."
564,Cairn Gorm - Creag an Leth-choin [Lurcher's Crag],1053,3455,296838,803340,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Creag na Leacainn, South Top"
569,Cairn Gorm - Creag an Leth-choin North Top,1026,3366,296875,803965,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Creag na Leacainn, North Top"
560,Cairn Gorm - Fiacaill na Leth-choin,1083,3553,297523,802435,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,see named worksheet
557,Bynack More,1090,3576,304190,806373,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Caiplich, Ben Bynac"
573,Bynack More - A' Choinneach,1017,3337,303207,804833,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
582,Bynack More - Bynack Beg,970,3182,303633,806841,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
531,Beinn Mheadhoin,1182.9,3881,302460,801695,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
537,Beinn Mheadhoin SW Top,1163,3816,301850,801164,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1921-1969: ?m from Beinn Mheadhoin (NE Top).
561,Beinn Mheadhoin - Stob Coire Etchachan,1082,3550,302476,800531,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top North of Coire Etchachan
574,Beinn Mheadhoin - Stacan Dubha,1014,3327,301191,801528,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
539,Derry Cairngorm,1155,3789,301734,798032,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
554,Derry Cairngorm - Creagan a' Choire Etchachan,1108,3635,301194,799619,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1921-1974: listed as a Top of Ben Macdui
578,Derry Cairngorm - Sgurr an Lochan Uaine,983,3225,302556,799110,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
566,Derry Cairngorm - Little Cairngorm,1040,3412,302020,797242,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
587,Beinn Bhreac,931,3054,305870,797075,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
588,Beinn Bhreac West Top,927,3041,305284,797202,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
559,Beinn a' Chaorainn,1083,3553,304515,801360,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1974: Beinn a' Chaorruinn
572,Beinn a' Chaorainn - Beinn a' Chaorainn Bheag,1017,3337,305727,801717,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1974: Beinn a' Chaorruinn Bheag
536,Leabaidh an Daimh Bhuidhe (Ben Avon),1172,3845,313193,801845,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Ben Avon
563,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Dubh an Eas Bhig,1061,3481,313352,800239,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
543,Leabaidh an Daimh Bhuidhe (Ben Avon) - Ben Avon SW Top,1137.6,3732,312595,801359,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1891: Shoulder ½ mile SW of Ben Avon
562,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Bac an Fhurain,1076,3530,313672,803332,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Stob Dubh, Bruach an Fhurain. Tor to NE at NJ138034 might be Munro's intended location"
544,Leabaidh an Daimh Bhuidhe (Ben Avon) - Mullach Lochan nan Gabhar,1124,3688,314327,802147,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1974: Mullach Lochan nan Gobhar
545,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor,1119.2,3672,314733,801308,NA,NA,NA,NA,NA,Munro Top,NA,NA,NA,NA,NA,"380m S of the 1891-1969 Top. The 6"" map shows an unheighted trig. The 1974 relocation followed the appearance of a 1120m height on the 1:10k map."
550,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor (old GR),1112,3648,314664,801684,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA,"1891: 1m E of Ben Avon, on the County march ½ mile N of the name  Stùc Gharbh Mhòr on the O.S.  Corresponds to the 3625' spot on the 6"" map given up to 1969."
570,Leabaidh an Daimh Bhuidhe (Ben Avon) - West Meur Gorm Craig,1023.1,3357,315342,803670,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
584,Leabaidh an Daimh Bhuidhe (Ben Avon) - Big Brae,940,3084,316011,803290,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not the highest ground hereabouts; see named worksheet for justification of our location
586,Leabaidh an Daimh Bhuidhe (Ben Avon) - East Meur Gorm Craig,935.3,3069,315928,804207,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
558,Leabaidh an Daimh Bhuidhe (Ben Avon) - Carn Eas,1089,3573,312265,799266,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
581,Leabaidh an Daimh Bhuidhe (Ben Avon) - Creag an Dail Mhor,972,3189,313185,798225,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Creag na Dala Moire
529,Beinn a' Bhuird North Top,1197,3927,309231,800621,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
533,Beinn a' Bhuird South Top (old GR),1177,3862,309022,797930,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,"1891-1969: location corresponds to position of 3860' trig on 6"" map. 1974-1981: NO0090978. Cambell's variorum gives 1974: N O093986 in error"
532,Beinn a' Bhuird South Top,1179,3868,309187,798610,NA,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,1984-1997: NO093986
535,Beinn a' Bhuird - Cnap a' Chleirich,1174,3852,310761,801013,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
555,Beinn a' Bhuird - Stob an t-Sluichd,1107,3632,311203,802743,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
541,Beinn a' Bhuird - A' Chioch,1151,3776,309780,798685,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
624,Geal Charn,926,3038,256144,798768,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
621,Carn Dearg,945.7,3103,263568,802398,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Carn Dearg, NW Top"
622,Carn Dearg - Carn Ban,942.3,3092,263188,803178,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Carn Mairg
625,Carn Dearg SE Top,923.7,3031,263772,801763,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
628,Carn Dearg - Sneachdach Slinnean,919,3015,262200,802700,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
627,Carn Dearg - Carn Ballach (SW Top),919.8,3018,264353,804473,Munro,NA,NA,NA,NA,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1974: 3017' height and location from 1970 6"" map. Older 6"" maps give 3009'. Campbell's variorum gives NE Top with a comment on p.203"
629,Carn Dearg - Carn Ballach (NE Top),919.3,3016,264779,804824,Munro Top,Munro,Munro,Munro,Munro,NA,NA,NA,NA,NA,NA,"1891: 1¼m NE of Carn Mairg, 3000co; 1921-1969: 1½m NE from Carn Ban, 3020 ap. [J G Inglis: the SW Top (3009) of the original tables is now deleted, being practically indistinguishable]"
623,A' Chailleach,929.3,3049,268110,804178,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
626,Carn Sgulain,920.3,3019,268302,805821,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
658,Creag Meagaidh,1128.1,3701,241839,787545,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: Creag Meaghaidh
659,Creag Meagaidh East Top,1116.1,3662,242436,787575,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1891: Creag Meaghaidh, East Top"
660,Creag Meagaidh - Puist Coire Ardair,1070.8,3513,243702,787275,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Crags above Coire Ard Dhoire
661,Creag Meagaidh - Creag Mhor,1069.7,3510,244221,787331,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
667,Creag Meagaidh - Meall Coire Choille-rais,1028,3373,243269,786270,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Meall Coire Coille na Froise; 1974: 3370' height is from the 1969 6"" map but NN432864 is down the hillside"
669,Creag Meagaidh - Sron a' Choire,1001.8,3287,244838,787770,Munro Top,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sron a Ghaothair
671,Creag Meagaidh - An Cearcallach,993.1,3258,242249,785382,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
662,Stob Poite Coire Ardair,1054,3458,242884,788845,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Creag an Lochain
664,Stob Poite Coire Ardair East Top,1050,3445,243735,789209,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1891: Crom Leathad; 1974: misprinted NN743892
670,Stob Poite Coire Ardair - Sron Coire a' Chriochairein,993,3258,244792,789925,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1974: Sron Garbh Choire
668,Carn Liath,1006,3301,247229,790325,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
672,Carn Liath - Meall an-t-Snaim,970,3182,245902,790471,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire Chaoruinn
673,Carn Liath - A' Bhuidheanach,966,3169,248102,790764,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Buidh' Aonach; 1921-1969: ?m ENE from Carn Liath. 3177' spot on 6"" map in position of current 966m spot"
674,Carn Liath - Stob Coire Dubh,916,3005,249631,791676,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire Dubh; 1974: misprinted NN749917
663,Beinn a' Chaorainn,1049.1,3442,238605,785062,Munro Top,NA,NA,NA,NA,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Beinn a' Chaoruinn, Middle Top; 1974: Beinn a' Chaoruinn (Centre Top)"
665,Beinn a' Chaorainn South Top,1048.5,3440,238639,784514,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891-1969: Beinn a' Chaoruinn, (S. Top)"
666,Beinn a' Chaorainn North Top,1042.9,3422,238389,785701,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
675,Beinn Teallach,914.6,3001,236136,785973,NA,NA,NA,NA,NA,NA,NA,Munro,Munro,Munro,Munro,1984: promoted in Addendum on p.10 of theTables
683,Gleouraich,1035,3396,203945,805345,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Gleourach
689,Gleouraich - Creag Coire na Fiar Bhealaich [Craig Coire na Fiar Bhealaich],1006,3301,204712,805111,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Gleourach East Top; 1921-1974: Gleouraich E Top; 1981-1997: Craig Coire na Fiar Bhealaich
684,Sgurr a' Mhaoraich,1027,3369,198392,806581,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgurr a' Mhoraire
699,Sgurr a' Mhaoraich - Sgurr a' Mhaoraich Beag,948,3110,197723,806742,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sgurr a' Mhoraire Beag
714,Sgurr a' Mhaoraich - Am Bathaich,899,2949,198832,807559,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA,1891: Am Bathaiche
691,Spidean Mialach,996,3268,206592,804306,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
688,The Saddle,1011.5,3319,193610,813124,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1974: distances of other tops from summit consistent with this top rather than trig point being the Munro
686,The Saddle - Trig Point,1011.1,3317,193492,813066,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,NA,NA,see www.hills-database.co.uk/database_notes.html#the_saddle
706,The Saddle - Sgurr na Creige,926.9,3041,193501,813818,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA,1891: Top ½m N of The Saddle. 1921 footnote: local name Sgurr Nid na h-Iolaire. See http://www.hills-database.co.uk/database_notes.html#sgurr_na_creige for location
696,The Saddle West Top,975.6,3201,192910,812848,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1974: NG929128 which corresponds to rocky knoll similar in height to grassy top at NG928128: see named worksheet for further discussion
697,The Saddle - Sgurr na Forcan,964.6,3165,194025,813051,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1969: Sgurr na Forcan described as ? mile east of The Saddle. NG140930 is 450m (0.28 mile) from summit.
698,The Saddle East Top,959,3146,193847,813034,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1974: Sgurr nan Forcan. Became The Saddle East Top in subsequent Tables. 250m (0.15 mile) from summit
703,The Saddle - Spidean Dhomhuill Bhric,940.4,3085,192208,812936,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sgurr na Creige; 1921-1974: Spidean Dhomhnuill Bhric
707,The Saddle - Sgurr Leac nan Each,918.9,3015,191773,813312,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
701,Sgurr na Sgine,946,3104,194618,811368,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
702,Sgurr na Sgine NW Top,942,3091,194371,811591,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
711,Sgurr na Sgine - Faochag,909,2982,195467,812330,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA,1891: Fraochag
700,Creag a' Mhaim,946.2,3104,208790,807772,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
692,Druim Shionnach,985.2,3232,207441,808484,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Drum Sionnach
704,Druim Shionnach West Top,935.4,3069,206291,808212,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,NA
685,Aonach air Chrith,1019.5,3345,205103,808354,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
693,Maol Chinn-dearg,980.3,3216,203221,808769,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Maol Cheann-dearg; 1953-1974 add W Top
687,Sgurr an Doire Leathain,1010,3314,201524,809890,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1997: NH015199, typo"
690,Sgurr an Lochain,1004,3294,200583,810428,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
708,Creag nan Damh,917.2,3009,198348,811202,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1997: NG98311, typo"
695,Beinn Sgritheall,974,3196,183588,812682,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1953: Ben Sgriol
705,Beinn Sgritheall NW Top,928,3045,183493,813152,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1953: Ben Sgriol NW Top
730,Sgurr na Ciche,1040.2,3413,190220,796686,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor na Ciche
732,Garbh Chioch Mhor,1012.9,3323,190956,796101,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,1891: Garbh Chioch Mor
734,Garbh Chioch Mhor - Garbh Chioch Bheag,968.3,3177,191804,795905,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
736,Sgurr nan Coireachan,953.8,3129,193308,795827,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
733,Sgurr Mor,1003,3291,196535,798041,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
741,Gairich,919,3015,202589,799580,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Scour Gairoch
737,Meall Buidhe,946,3104,184898,798977,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
738,Meall Buidhe SE Top,942,3091,185261,798752,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
731,Ladhar Bheinn,1020,3346,182400,803983,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
735,Ladhar Bheinn - Stob a' Choire Odhair,960,3150,183015,804311,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1969 footnote: 3138' height from Admiralty Chart. 1974: NG820043 but no top at this location; no spot on OS maps
739,Luinne Bheinn,939,3081,186979,800740,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
740,Luinne Bheinn East Top,936,3071,187252,800687,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
758,Sron a' Choire Ghairbh,937,3074,222247,794560,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
759,Meall na Teanga,916.8,3008,222023,792471,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Meall an Teanga
773,Gulvain [Gaor Bheinn],987,3238,200268,787575,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Gulvain, North Top; 1921-1974: Gaor Bheinn or Gulvain, N Top; 1981-1990: Gaor Bheinn (or Gulvain); 1997-2021: Gulvain"
775,Gulvain South Top,961,3153,199674,786454,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
774,Sgurr Thuilm,963,3159,193906,787980,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor Choileam
776,Sgurr nan Coireachan,956,3136,190290,788013,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor nan Coireachan
815,Sgurr Fhuaran,1068.8,3507,197849,816678,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: Sgurr Fhuaran (Scour Ouran)
827,Sgurr na Carnach,1002,3287,197715,815891,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,NA
844,Sgurr Fhuaran - Sgurr nan Saighead,929,3048,197465,817795,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
