INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
American Musical and Dramatic AcademyNew York,"1,735","1,155",17,30,287,318,6,713,157,111,96,815
Ohio Wesleyan U.Ohio,"1,734",927,1,40,116,72,0,"1,255",79,46,125,308
Grinnell CollegeIowa,"1,734",947,3,128,100,134,0,"1,004",74,63,228,439
Springfield College School of Human Services (Mass.)Massachusetts,"1,732","1,345",5,11,979,287,2,363,38,42,5,"1,322"
Blue Mountain Community CollegeOregon,"1,731","1,020",39,12,23,370,11,"1,179",52,45,0,507
Highland Community College (Ill.)Illinois,"1,730","1,045",25,13,140,50,2,"1,398",60,42,0,290
Central Alabama Community CollegeAlabama,"1,726","1,025",8,4,436,9,0,"1,265",0,4,0,457
Simpson College (Iowa)Iowa,"1,725",971,11,24,30,38,0,"1,486",28,97,11,131
Our Lady of the Lake CollegeLouisiana,"1,722","1,469",12,60,356,69,3,"1,188",0,34,0,500
St. Mary's College of MarylandMaryland,"1,721",983,5,48,136,122,0,"1,257",76,51,26,387
Briarcliffe CollegeNew York,"1,719","1,141",5,20,292,97,1,426,24,854,0,439
Elms CollegeMassachusetts,"1,717","1,318",11,39,123,128,0,874,0,525,17,301
Geneva CollegePennsylvania,"1,717",903,2,12,171,16,0,"1,466",34,13,3,235
Feather River CollegeCalifornia,"1,715",733,38,51,245,302,20,952,5,62,40,661
Virginia Union U.Virginia,"1,715",932,5,0,"1,655",18,5,17,0,14,1,"1,683"
Sewanee: The U. of the SouthTennessee,"1,714",877,1,30,78,77,2,"1,408",62,0,56,250
Bryn Mawr CollegePennsylvania,"1,709","1,629",2,166,105,134,2,744,75,162,319,484
Eastern Wyoming CollegeWyoming,"1,704",956,18,10,18,126,6,"1,506",17,1,2,195
Virginia Military InstituteVirginia,"1,700",188,6,75,86,82,13,"1,384",28,1,25,290
York County Community CollegeMaine,"1,699","1,082",9,24,7,32,1,"1,369",38,212,7,111
Missouri Valley CollegeMissouri,"1,695",740,10,12,257,79,16,"1,061",0,45,215,374
Eastern Mennonite U.Virginia,"1,695","1,116",3,43,125,101,2,"1,278",22,66,55,296
South Arkansas Community CollegeArkansas,"1,693","1,229",4,10,635,61,0,977,0,6,0,710
Stevens-Henager College at Salt Lake CityUtah,"1,692",864,29,34,187,139,18,895,25,365,0,432
Linfield CollegeOregon,"1,683","1,038",14,96,29,169,10,"1,046",181,45,93,499
Ursinus CollegePennsylvania,"1,681",874,3,88,106,92,0,"1,252",61,30,49,350
Truett McConnell CollegeGeorgia,"1,681",888,4,24,118,60,0,"1,211",0,237,27,206
Denmark Technical CollegeSouth Carolina,"1,678","1,020",5,1,"1,612",5,0,52,0,3,0,"1,623"
YTI Career Institute at YorkPennsylvania,"1,677","1,014",9,23,120,283,5,"1,180",56,1,0,496
U. of Phoenix-ColoradoColorado,"1,674",906,7,16,130,220,16,710,65,494,16,454
Eastern Oklahoma State CollegeOklahoma,"1,673","1,121",434,16,102,79,5,978,41,16,2,677
Spoon River CollegeIllinois,"1,667",961,7,20,108,43,0,"1,483",5,0,1,183
Christian Brothers U.Tennessee,"1,667",936,5,84,522,99,1,795,39,73,49,750
Wallace Community College at Selma (Ala.)Alabama,"1,663","1,080",2,6,"1,209",8,0,356,5,71,6,"1,230"
Kenyon CollegeOhio,"1,662",908,9,87,58,100,0,"1,223",59,50,76,313
Des Moines U.Iowa,"1,662",854,4,184,40,38,1,"1,315",34,44,2,301
Wartburg CollegeIowa,"1,661",870,1,20,80,42,1,"1,290",36,29,162,180
Sandersville Technical CollegeGeorgia,"1,659",978,2,9,832,44,0,757,7,7,1,894
West Coast U.-Los AngelesCalifornia,"1,659","1,250",5,597,61,326,21,529,37,56,27,"1,047"
Carteret Community CollegeNorth Carolina,"1,659","1,103",11,12,168,73,6,"1,321",38,30,0,308
South Georgia Technical CollegeGeorgia,"1,658",779,2,12,933,38,0,664,2,3,4,987
Wofford CollegeSouth Carolina,"1,658",852,3,47,125,54,3,"1,326",53,8,39,285
Thomas More CollegeKentucky,"1,655",839,2,12,109,23,1,"1,256",32,207,13,179
Lake Area Technical InstituteSouth Dakota,"1,654",784,29,8,3,24,0,"1,470",0,120,0,64
Northwest College (Wyo.)Wyoming,"1,652",995,18,7,10,118,1,"1,392",35,0,71,189
Copper Mountain CollegeCalifornia,"1,652","1,054",18,58,80,421,6,948,106,15,0,689
Pomona CollegeCalifornia,"1,650",838,4,213,109,232,2,702,122,112,154,682
Fortis College at Centerville (Ohio)Ohio,"1,645","1,359",0,3,173,8,2,501,5,951,2,191
Pacific Union CollegeCalifornia,"1,644",925,4,291,136,444,33,457,120,113,46,"1,028"
Sullivan County Community CollegeNew York,"1,643",880,9,24,334,298,1,815,30,126,6,696
Adrian CollegeMichigan,"1,641",787,3,10,153,80,0,"1,166",54,174,1,300
U. of the RockiesColorado,"1,639","1,199",20,21,517,151,9,795,48,76,2,766
Alpena Community CollegeMichigan,"1,636",868,20,13,28,16,2,"1,551",0,6,0,79
Art Institute of California at San DiegoCalifornia,"1,634",746,2,10,6,564,2,15,0,"1,034",1,584
U.T.A. Mesivta of Kiryas JoelNew York,"1,634",0,0,0,0,9,0,"1,623",0,0,2,9
Juniata CollegePennsylvania,"1,632",883,0,52,42,63,0,"1,168",43,104,160,200
Southwestern College (Kan.)Kansas,"1,627",737,27,25,150,112,2,990,59,156,106,375
Strayer U.-North Austin (Tex.)Texas,"1,626","1,026",8,33,886,251,7,323,49,54,15,"1,234"
Lake Forest CollegeIllinois,"1,626",934,4,81,108,243,0,941,57,44,148,493
Southeastern Technical CollegeGeorgia,"1,623","1,154",3,6,453,101,2,"1,045",12,1,0,577
Washington State Community College (Ohio)Ohio,"1,623","1,020",8,3,16,21,1,"1,544",18,12,0,67
Berea CollegeKentucky,"1,621",909,2,26,242,95,3,"1,010",88,30,125,456
Wesley College (Del.)Delaware,"1,615",880,7,33,609,88,7,657,57,150,7,801
Northwestern Connecticut Community CollegeConnecticut,"1,614","1,109",1,27,42,138,2,"1,309",32,62,1,242
Vaughn College of Aeronautics and TechnologyNew York,"1,614",213,8,185,351,605,55,217,75,85,33,"1,279"
American Career College at Los AngelesCalifornia,"1,613","1,260",7,112,241,"1,041",13,78,102,19,0,"1,516"
Johnson State CollegeVermont,"1,613","1,065",15,16,35,38,4,"1,356",35,105,9,143
Cossatot Community College of the U. of ArkansasArkansas,"1,611","1,064",35,7,135,343,1,"1,038",52,0,0,573
Coffeyville Community CollegeKansas,"1,608",804,75,9,210,117,1,"1,020",133,0,43,545
Asnuntuck Community CollegeConnecticut,"1,603",838,4,54,144,127,1,"1,190",30,53,0,360
Art Institute of California-HollywoodCalifornia,"1,602",796,10,103,254,697,39,335,3,161,0,"1,106"
U. of MobileAlabama,"1,600","1,062",26,10,380,23,0,"1,001",34,73,53,473
Southwestern Community College (Iowa)Iowa,"1,600",911,3,9,58,37,2,"1,445",30,3,13,139
Lurleen B. Wallace Community CollegeAlabama,"1,599",958,6,8,399,19,0,"1,144",17,2,4,449
Bryan College (Tenn.)Tennessee,"1,599",883,1,9,81,35,1,"1,332",25,87,28,152
Rockingham Community CollegeNorth Carolina,"1,597",955,6,3,275,63,2,"1,190",30,24,4,379
U. of Phoenix-HawaiiHawaii,"1,593",681,8,174,131,144,190,194,189,557,6,836
Harcum CollegePennsylvania,"1,588","1,290",3,39,752,151,0,498,0,84,61,945
Woodbury U.California,"1,588",796,3,116,67,402,16,604,39,8,333,643
Wheaton College (Mass.)Massachusetts,"1,587","1,020",1,68,91,114,1,"1,081",49,25,157,324
Baylor College of MedicineTexas,"1,584",818,9,401,58,156,2,731,0,8,219,626
Samuel Merritt U.California,"1,580","1,171",3,436,60,207,16,652,122,75,9,844
Rasmussen College at Rockford (Ill.)Illinois,"1,580","1,313",14,34,361,110,5,914,40,102,0,564
U. of Pittsburgh at GreensburgPennsylvania,"1,578",819,1,59,92,68,1,"1,250",44,43,20,265
Wheeling Jesuit U.West Virginia,"1,575",889,4,19,70,31,2,"1,238",25,140,46,151
Master's College and SeminaryCalifornia,"1,572",597,5,127,53,151,8,966,80,67,115,424
Loras CollegeIowa,"1,569",752,1,13,39,89,2,"1,305",22,70,28,166
Northwest Iowa Community CollegeIowa,"1,568",835,5,17,4,69,2,"1,397",18,55,1,115
Le Cordon Bleu College of Culinary Arts at Scottsdale (Ariz.)Arizona,"1,567",834,14,6,75,41,6,174,15,"1,235",1,157
Union Institute & U.Ohio,"1,567",897,9,17,332,307,7,697,37,161,0,709
Colorado Technical U. at Colorado SpringsColorado,"1,566",518,18,34,180,64,27,597,21,625,0,344
Shorter U.Georgia,"1,566",918,8,13,356,53,2,978,28,68,60,460
U. of Montana Helena College of TechnologyMontana,"1,564",887,61,17,11,32,0,"1,312",44,87,0,165
Albany College of Pharmacy and Health SciencesNew York,"1,563",932,4,228,59,63,2,987,16,86,118,372
Bluefield State CollegeWest Virginia,"1,563",968,4,3,156,17,0,"1,319",17,13,34,197
Chicago School of Professional Psychology at ChicagoIllinois,"1,561","1,273",3,89,191,174,2,969,15,59,59,474
Belmont Abbey CollegeNorth Carolina,"1,560",890,4,15,391,23,0,631,5,470,21,438
Doane College at LincolnNebraska,"1,559","1,097",10,19,58,51,1,"1,237",109,74,0,248
Southern Arkansas U. TechArkansas,"1,559",809,8,5,538,36,2,939,23,7,1,612
Sampson Community CollegeNorth Carolina,"1,551","1,034",44,9,333,363,3,752,14,24,9,766
Albertus Magnus CollegeConnecticut,"1,550","1,031",6,7,515,217,2,647,20,125,11,767
Everest U.-Pompano Beach Campus (Fla.)Florida,"1,548","1,187",3,10,995,146,2,282,49,60,1,"1,205"
DeVry U. of New JerseyNew Jersey,"1,546",502,4,125,374,419,13,525,9,37,40,944
Vermont Technical CollegeVermont,"1,542",716,11,18,23,23,0,"1,375",36,20,36,111
Mills CollegeCalifornia,"1,542","1,402",8,162,135,291,7,701,127,78,33,730
Swarthmore CollegePennsylvania,"1,542",785,2,252,90,206,1,646,120,72,153,671
Southwest Georgia Technical CollegeGeorgia,"1,541","1,033",7,10,509,22,1,961,16,10,5,565
Potomac State College of West Virginia U.West Virginia,"1,540",843,17,11,260,47,3,"1,164",7,25,6,345
Hartwick CollegeNew York,"1,540",936,6,31,120,107,0,"1,043",0,180,53,264
Southwestern U. (Tex.)Texas,"1,538",893,6,50,70,297,3,993,39,10,70,465
Cedar Crest CollegePennsylvania,"1,531","1,417",5,43,140,185,4,"1,017",13,91,33,390
St. Augustine College (Ill.)Illinois,"1,529","1,222",1,23,29,"1,285",2,11,3,118,57,"1,343"
Florida Memorial U.Florida,"1,528",948,0,3,"1,101",71,0,9,10,142,192,"1,185"
Richard Bland CollegeVirginia,"1,525","1,000",8,26,542,40,0,783,61,65,0,677
Point U.Georgia,"1,522",847,3,9,571,51,2,655,72,147,12,708
Saint Mary's College (Ind.)Indiana,"1,519","1,518",1,23,21,167,0,"1,180",44,55,28,256
State U. of New York Upstate Medical U.New York,"1,516",899,1,148,104,58,0,"1,049",31,58,67,342
Kendall CollegeIllinois,"1,516","1,138",4,53,284,199,1,668,23,71,213,564
Art Institute of Ft. LauderdaleFlorida,"1,514",830,2,18,263,535,1,279,1,414,1,820
Mount Washington CollegeNew Hampshire,"1,511",954,8,18,109,298,3,"1,024",0,47,4,436
Lawrence U.Wisconsin,"1,511",823,8,60,51,100,0,"1,068",59,7,158,278
West Virginia Wesleyan CollegeWest Virginia,"1,511",847,5,3,122,27,3,"1,205",43,31,72,203
"Institute of Technology (Clovis, Calif.)California","1,509",842,12,35,71,458,1,580,36,316,0,613
Colby Community CollegeKansas,"1,508",967,0,32,80,58,1,"1,073",0,230,34,171
Ouachita Baptist U.Arkansas,"1,501",769,11,13,129,58,1,"1,251",0,1,37,212
Virginia Wesleyan CollegeVirginia,"1,501",930,7,23,347,116,1,843,92,59,13,586
Marietta CollegeOhio,"1,500",643,2,20,69,38,0,"1,097",32,84,158,161
U. of Pittsburgh at BradfordPennsylvania,"1,499",810,4,26,155,72,1,"1,094",26,67,54,284
Whitman CollegeWashington,"1,498",843,5,80,14,117,0,"1,090",85,49,58,301
Massachusetts Maritime AcademyMassachusetts,"1,497",190,18,38,33,42,1,"1,321",10,27,7,142
Nichols CollegeMassachusetts,"1,495",601,3,21,88,95,2,"1,230",44,0,12,253
Argosy U. Twin CitiesMinnesota,"1,493","1,182",14,86,144,56,5,"1,160",1,27,0,306
South U. at Savannah (Ga.)Georgia,"1,490","1,041",13,71,543,80,11,733,0,39,0,718
Lackawanna CollegePennsylvania,"1,490",696,0,30,268,133,0,980,21,55,3,452
Pennsylvania State U.-BrandywinePennsylvania,"1,488",614,0,143,214,74,1,958,31,51,16,463
Gallaudet U.District of Columbia,"1,488",914,4,59,169,172,3,842,43,67,129,450
Manchester U.Indiana,"1,488",794,2,61,86,67,0,"1,186",43,15,28,259
Dine CollegeArizona,"1,488",981,"1,467",6,2,2,0,10,0,1,0,"1,477"
Aspen U.Colorado,"1,488",822,10,122,128,45,2,461,29,691,0,336
Washington CollegeMaryland,"1,485",852,7,22,48,51,0,"1,086",33,95,143,161
U. of Connecticut-StamfordConnecticut,"1,485",786,2,117,168,309,2,660,38,101,88,636
Chowan U.North Carolina,"1,484",764,8,3,"1,050",52,0,269,47,26,29,"1,160"
Keystone CollegePennsylvania,"1,484",876,4,11,86,94,3,"1,118",18,143,7,216
American Career College at OntarioCalifornia,"1,483","1,160",3,112,118,861,23,221,118,27,0,"1,235"
Elmira CollegeNew York,"1,482","1,030",9,26,53,40,0,"1,000",34,251,69,162
New York Medical CollegeNew York,"1,482",854,1,282,180,102,1,669,55,136,56,621
Kent State U.at East Liverpool (Ohio)Ohio,"1,481",998,3,14,95,38,2,"1,253",30,42,4,182
Cumberland U.Tennessee,"1,481",850,5,14,181,37,0,947,0,246,51,237
National American U. at Rapid City (S.D.)South Dakota,"1,479","1,120",58,8,529,54,7,713,89,21,0,745
Dickinson State U.North Dakota,"1,479",888,14,9,60,66,4,"1,167",38,41,80,191
Frontier Nursing U.Kentucky,"1,478","1,407",9,24,82,92,1,"1,175",37,57,1,245
West Coast U.-Orange CountyCalifornia,"1,477","1,130",6,638,26,228,29,413,70,67,0,997
Piedmont Community CollegeNorth Carolina,"1,475",926,4,4,435,57,0,917,29,23,6,529
U. of Phoenix-Albuquerque CampusNew Mexico,"1,473",862,20,9,50,669,4,163,47,481,30,799
California Institute of the ArtsCalifornia,"1,471",819,8,172,93,178,10,589,92,165,164,553
Asbury Theological SeminaryKentucky,"1,470",502,10,59,103,41,1,"1,017",18,143,78,232
U. of Phoenix-Utah CampusUtah,"1,469",649,4,17,16,95,15,711,62,533,16,209
Brookline College at PhoenixArizona,"1,468","1,174",82,32,281,424,5,506,39,98,1,863
Trocaire CollegeNew York,"1,467","1,270",18,26,203,43,2,"1,029",10,135,1,302
South U. at Columbia (S.C.)South Carolina,"1,464","1,142",17,46,901,63,8,380,0,49,0,"1,035"
Kalamazoo CollegeMichigan,"1,461",827,2,86,76,135,3,885,70,85,119,372
Presbyterian CollegeSouth Carolina,"1,460",845,4,45,199,28,1,"1,080",23,10,70,300
Western Oklahoma State CollegeOklahoma,"1,460",888,25,11,125,268,3,747,114,131,36,546
College for Creative StudiesMichigan,"1,459",720,3,61,130,54,4,823,54,198,132,306
Dordt CollegeIowa,"1,459",672,3,13,22,12,103,"1,056",0,128,122,153
Maharishi U. of ManagementIowa,"1,454",479,3,25,94,43,0,262,22,10,995,187
Azusa Pacific Online U.California,"1,454","1,011",6,97,228,495,17,464,37,109,1,880
Texas State Technical College-West TexasTexas,"1,453",577,5,12,67,544,5,800,0,20,0,633
Ferrum CollegeVirginia,"1,451",685,6,8,436,77,3,795,69,43,14,599
Everglades U. at Boca Raton (Fla.)Florida,"1,451",759,9,31,248,228,4,845,69,16,1,589
Pennsylvania College of Health SciencesPennsylvania,"1,447","1,249",3,49,68,85,3,"1,174",8,57,0,216
Southern Technical College at OrlandoFlorida,"1,445",826,8,9,575,387,6,410,13,35,2,998
Edward Via College of Osteopathic MedicineVirginia,"1,444",745,10,216,90,82,4,"1,018",0,23,1,402
College of the OuachitasArkansas,"1,444",861,5,6,181,55,1,"1,149",42,4,1,290
Carroll CollegeMontana,"1,440",839,18,21,11,71,4,"1,133",23,136,23,148
Luna Community CollegeNew Mexico,"1,440",775,10,7,15,975,6,401,7,19,0,"1,020"
U. of Saint MaryKansas,"1,436",943,8,24,127,121,10,890,38,207,11,328
Art Institute of California at Los AngelesCalifornia,"1,436",605,2,24,47,558,6,91,14,694,0,651
Coe CollegeIowa,"1,436",805,3,33,71,109,1,"1,049",45,61,64,262
Mars Hill U.North Carolina,"1,435",718,24,6,314,46,2,996,0,47,0,392
Otero Junior CollegeColorado,"1,434",852,16,9,40,386,5,828,44,52,54,500
College of the OzarksMissouri,"1,433",733,7,7,16,28,0,"1,319",27,0,29,85
Southeast Arkansas CollegeArkansas,"1,432","1,009",6,7,879,17,1,522,0,0,0,910
Anna Maria CollegeMassachusetts,"1,430",802,3,21,105,79,3,"1,035",24,154,6,235
Lyndon State CollegeVermont,"1,430",613,13,11,49,48,1,"1,201",28,68,11,150
Oglala Lakota CollegeSouth Dakota,"1,427",999,"1,361",1,0,6,1,53,0,5,0,"1,369"
Waldorf CollegeIowa,"1,426",522,7,11,239,105,9,976,19,18,42,390
Arkansas Northeastern CollegeArkansas,"1,425",939,5,8,422,53,1,915,21,0,0,510
U. of Hawaii Kauai Community CollegeHawaii,"1,424",867,1,398,13,159,113,250,469,6,15,"1,153"
Reinhardt U.Georgia,"1,422",691,5,9,253,83,0,994,0,76,2,350
U. of Sioux FallsSouth Dakota,"1,419",868,4,8,46,17,2,"1,272",48,13,9,125
Art Institute of California-Orange CountyCalifornia,"1,417",663,6,114,35,561,13,234,41,410,3,770
American Career College at AnaheimCalifornia,"1,415","1,028",4,253,75,724,40,199,114,5,1,"1,210"
Art Institute of ColoradoColorado,"1,414",665,16,18,61,303,1,463,20,532,0,419
La Roche CollegePennsylvania,"1,412",795,1,15,93,22,0,856,14,224,187,145
Central CollegeIowa,"1,411",736,5,15,26,44,2,"1,244",14,43,18,106
College of Saint ElizabethNew Jersey,"1,411","1,259",4,50,313,208,2,585,19,190,40,596
Trinity Christian CollegeIllinois,"1,406",931,7,25,147,154,2,945,21,52,53,356
Thomas College (Me.)Maine,"1,404",768,5,10,32,20,0,"1,045",85,178,29,152
U. of Southern NevadaNevada,"1,404",739,4,472,52,59,13,696,64,41,3,664
Johnson C. Smith U.North Carolina,"1,402",857,1,2,"1,031",85,4,6,31,202,40,"1,154"
Heald College at HonoluluHawaii,"1,401",848,4,404,71,36,248,70,197,371,0,960
Knox CollegeIllinois,"1,399",813,3,77,110,175,0,743,56,56,179,421
Olney Central CollegeIllinois,"1,398",861,3,14,17,19,0,"1,323",20,2,0,73
Alabama Southern Community CollegeAlabama,"1,398",853,13,7,608,7,0,742,10,10,1,645
Alma CollegeMichigan,"1,396",764,9,21,46,51,1,"1,162",36,56,14,164
Randolph-Macon CollegeVirginia,"1,394",759,4,27,123,59,0,"1,068",56,25,32,269
Clarendon CollegeTexas,"1,394",807,20,3,78,283,1,883,3,109,14,388
Reed CollegeOregon,"1,394",745,4,80,26,146,3,813,113,94,115,372
Arkansas State U. at Mountain HomeArkansas,"1,393",862,16,3,9,38,0,"1,245",59,23,0,125
Johnson & Wales U. at DenverColorado,"1,391",840,12,22,107,224,1,796,76,142,11,442
Wright Career CollegeKansas,"1,391","1,078",103,82,599,196,0,409,0,2,0,980
Converse CollegeSouth Carolina,"1,389","1,273",0,4,100,56,0,672,38,502,17,198
Centre CollegeKentucky,"1,387",718,0,46,64,32,2,"1,109",42,6,86,186
Mount Mary U.Wisconsin,"1,385","1,333",6,68,227,135,3,884,45,12,5,484
Carrington College California at SacramentoCalifornia,"1,385","1,215",16,140,154,344,29,516,71,115,0,754
Pratt Community CollegeKansas,"1,383",783,13,15,144,63,2,978,105,47,16,342
Touro U. CaliforniaCalifornia,"1,378",809,4,601,57,71,9,501,46,89,0,788
Art Institute of SeattleWashington,"1,378",619,1,14,2,176,0,62,0,"1,123",0,193
Valley City State U.North Dakota,"1,378",817,12,7,43,58,2,"1,156",37,18,45,159
Spring Hill CollegeAlabama,"1,376",820,10,16,210,77,1,947,45,41,29,359
Hampshire CollegeMassachusetts,"1,376",815,1,31,53,133,1,933,80,75,69,299
U. of Montana WesternMontana,"1,375",778,25,13,13,48,5,"1,186",15,70,0,119
Western International U.Arizona,"1,374",855,19,17,171,185,7,634,108,212,21,507
Northern New Mexico CollegeNew Mexico,"1,371",830,111,13,26,974,2,179,53,11,2,"1,179"
MedTech Institute at Falls Church (Va.)Virginia,"1,371","1,167",8,35,625,623,0,20,51,9,0,"1,342"
Midwestern Baptist Theological SeminaryMissouri,"1,369",250,4,139,91,44,0,876,14,106,95,292
Colby-Sawyer CollegeNew Hampshire,"1,369",949,3,21,88,41,1,860,7,209,139,161
Midland U.Nebraska,"1,362",683,5,10,68,38,6,878,92,200,65,219
Washington & Jefferson CollegePennsylvania,"1,362",670,5,33,44,39,1,"1,109",36,35,60,158
U. of Phoenix-MichiganMichigan,"1,361","1,005",7,14,605,31,3,214,43,443,1,703
St. Louis College of PharmacyMissouri,"1,361",815,5,293,70,10,2,836,16,102,27,396
U. of Arkansas Community College at HopeArkansas,"1,360",916,11,5,443,89,1,809,2,0,0,551
Hendrix CollegeArkansas,"1,358",746,22,77,65,65,1,"1,037",9,6,76,239
Bryan U. at Los AngelesCalifornia,"1,358",917,11,24,291,181,10,726,109,6,0,626
U. of Phoenix-VirginiaVirginia,"1,357",595,8,7,421,89,5,247,78,484,18,608
Lycoming CollegePennsylvania,"1,353",724,2,13,95,60,0,"1,025",34,63,61,204
Wiley CollegeTexas,"1,351",764,2,2,"1,146",89,1,21,0,0,90,"1,240"
Frank Phillips CollegeTexas,"1,348",778,64,5,61,182,1,"1,001",0,21,13,313
Southeastern Community College (N.C.)North Carolina,"1,348",859,78,2,296,66,4,869,0,33,0,446
Oklahoma Wesleyan U.Oklahoma,"1,345",848,97,5,88,96,3,885,55,40,76,344
Klamath Community CollegeOregon,"1,343",782,67,23,19,167,7,930,0,121,9,283
Baker College of CadillacMichigan,"1,340",948,7,4,4,17,0,"1,288",14,6,0,46
Trenholm State Technical CollegeAlabama,"1,338",665,0,17,783,13,0,517,4,3,1,817
Southwest U. at El PasoTexas,"1,337",797,0,3,34,"1,260",0,38,0,2,0,"1,297"
American National U.Virginia,"1,337","1,032",1,8,383,37,0,676,22,203,7,451
Bladen Community CollegeNorth Carolina,"1,334",932,203,0,486,49,0,554,7,35,0,745
Wheelock CollegeMassachusetts,"1,331","1,183",1,43,159,130,0,725,34,212,27,367
Central Penn CollegePennsylvania,"1,330",861,6,23,285,11,0,848,0,157,0,325
West Shore Community CollegeMichigan,"1,330",790,27,4,17,98,0,"1,123",31,27,3,177
Hope International U.California,"1,329",743,7,60,93,225,11,536,128,264,5,524
U. of Maine at Fort KentMaine,"1,327",911,10,6,34,19,2,840,25,279,112,96
Ozarka CollegeArkansas,"1,326",958,6,5,8,17,1,"1,289",0,0,0,37
Dean CollegeMassachusetts,"1,325",708,5,23,179,72,1,654,38,236,117,318
Claremont McKenna CollegeCalifornia,"1,324",630,1,142,54,154,1,559,101,87,225,453
Mount Ida CollegeMassachusetts,"1,320",873,3,32,140,144,1,775,38,97,90,358
Texas Lutheran U.Texas,"1,320",692,6,15,102,407,0,721,17,50,2,547
Touro U. NevadaNevada,"1,319",740,0,313,28,50,10,789,56,73,0,457
DeVry U. of ArizonaArizona,"1,318",465,43,58,128,309,6,736,16,3,19,560
U. of Arkansas Community College at BatesvilleArkansas,"1,315",876,12,12,41,65,3,"1,118",56,5,3,189
Concorde Career College-Memphis Metro AreaTennessee,"1,310","1,155",5,10,797,36,6,397,47,12,0,901
Westminster College (Pa.)Pennsylvania,"1,307",772,4,11,44,12,0,"1,025",27,181,3,98
Greenville CollegeIllinois,"1,307",668,0,10,119,56,1,989,28,74,30,214
John Marshall Law School (Ill.)Illinois,"1,307",649,5,84,156,116,3,794,17,84,48,381
Beloit CollegeWisconsin,"1,303",757,5,32,60,109,3,909,22,33,130,231
Hibbing Community CollegeMinnesota,"1,302",760,18,6,56,34,2,"1,112",50,23,1,166
Livingstone CollegeNorth Carolina,"1,301",612,7,2,"1,142",13,0,4,0,133,0,"1,164"
Heald College at Fresno (Calif.)California,"1,301",916,12,87,101,783,4,172,7,135,0,994
Austin CollegeTexas,"1,301",673,14,180,86,254,1,723,4,5,34,539
Westmont CollegeCalifornia,"1,300",783,2,92,20,175,2,847,100,41,21,391
Catawba CollegeNorth Carolina,"1,300",691,12,15,265,48,0,895,28,3,34,368
Monmouth CollegeIllinois,"1,300",708,8,19,145,171,1,831,16,60,49,360
East Texas Baptist U.Texas,"1,299",680,8,4,270,140,2,797,43,10,25,467
Oklahoma Panhandle State U.Oklahoma,"1,298",714,43,17,135,211,0,796,34,40,22,440
Kaplan College at San DiegoCalifornia,"1,297",981,12,269,128,422,30,373,0,62,1,861
Halifax Community CollegeNorth Carolina,"1,293",824,30,4,680,24,46,477,14,14,4,798
North Florida Community CollegeFlorida,"1,289",877,2,9,258,77,1,917,0,20,5,347
Judson U. (Ill.)Illinois,"1,288",764,2,16,100,161,3,793,26,149,38,308
Columbus College of Art & DesignOhio,"1,288",837,3,46,106,60,1,876,57,52,87,273
Vatterott College-NorthPark (Mo.)Missouri,"1,287",581,8,0,"1,179",4,0,79,9,8,0,"1,200"
Harris-Stowe State U.Missouri,"1,280",866,1,2,"1,058",22,0,98,31,59,9,"1,114"
Art Institute of PittsburghPennsylvania,"1,280",659,12,14,252,80,6,755,0,161,0,364
Quincy U.Illinois,"1,279",749,7,19,121,39,7,871,16,193,6,209
Crown College (Minn.)Minnesota,"1,278",668,9,79,87,63,3,966,21,8,42,262
Rockford U.Illinois,"1,277",780,0,23,110,57,1,858,102,112,14,293
Marylhurst U.Oregon,"1,273",853,8,31,74,72,8,879,35,61,105,228
Tri-County Community CollegeNorth Carolina,"1,273",794,30,8,23,24,1,"1,151",9,27,0,95
Albion CollegeMichigan,"1,268",631,3,23,47,46,1,999,33,79,37,153
East Arkansas Community CollegeArkansas,"1,268",826,5,14,464,17,1,757,10,0,0,511
Simpson U. (Calif.)California,"1,267",833,27,47,35,143,1,802,45,148,19,298
Charlotte School of LawNorth Carolina,"1,267",756,23,44,461,69,3,623,12,31,1,612
Mesabi Range Community & Technical CollegeMinnesota,"1,265",626,23,5,68,28,1,972,56,109,3,181
Lincoln CollegeIllinois,"1,264",729,5,7,480,62,0,639,39,27,5,593
Lincoln College of Technology at DenverColorado,"1,263",55,34,13,44,365,3,490,58,256,0,517
Georgetown CollegeKentucky,"1,262",752,3,11,105,38,0,"1,026",34,27,18,191
Lane CollegeTennessee,"1,262",606,0,0,"1,262",0,0,0,0,0,0,"1,262"
West Virginia U. Institute of TechnologyWest Virginia,"1,261",493,5,18,83,54,0,958,32,26,85,192
Paul D. Camp Community CollegeVirginia,"1,259",819,11,9,442,38,1,709,40,9,0,541
Southwest Florida CollegeFlorida,"1,259",982,11,16,195,279,3,701,41,2,11,545
Linn State Technical CollegeMissouri,"1,259",211,3,3,11,13,1,"1,196",10,22,0,41
Hiram CollegeOhio,"1,259",673,3,14,200,46,3,859,28,67,39,294
Dabney S. Lancaster Community CollegeVirginia,"1,257",738,8,5,46,23,0,"1,119",41,15,0,123
Louisiana CollegeLouisiana,"1,256",669,10,12,280,40,1,780,12,51,70,355
