name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Mitchell College,Connecticut,CT,Private,4 Year,13000,33200,46200,33200,46200
Mitchell Community College,North Carolina,NC,Public,2 Year,NA,2348,2348,8108,8108
Mitchell Technical Institute,South Dakota,SD,Public,2 Year,NA,6300,6300,6300,6300
Moberly Area Community College,Missouri,MO,Public,2 Year,7872,3450,11322,6840,14712
Modesto Junior College,California,CA,Public,2 Year,NA,1416,1416,9156,9156
Mohave Community College,Arizona,AZ,Public,2 Year,NA,2640,2640,8715,8715
Mohawk Valley Community College,New York,NY,Public,2 Year,10470,5256,15726,9626,20096
Molloy College,New York,NY,Private,4 Year,15032,31490,46522,31490,46522
Monmouth College,Illinois,IL,Private,4 Year,8966,37674,46640,37674,46640
Monmouth University,New Jersey,NJ,Private,4 Year,13981,38138,52119,38138,52119
Monroe College,New York,NY,For Profit,4 Year,10850,15428,26278,15428,26278
Monroe Community College,New York,NY,Public,2 Year,6780,4986,11766,9466,16246
Monroe County Community College,Michigan,MI,Public,2 Year,NA,3965,3965,7175,7175
Montana Bible College,Montana,MT,Private,4 Year,3200,8120,11320,8120,11320
Montana State University,Montana,MT,Public,4 Year,10100,7421,17521,24849,34949
Montana State University: Billings,Montana,MT,Public,4 Year,7680,5930,13610,19250,26930
Montana State University: Northern,Montana,MT,Public,4 Year,6520,5956,12476,18556,25076
Montana Tech of the University of Montana,Montana,MT,Public,4 Year,9656,7411,17067,22574,32230
Montcalm Community College,Michigan,MI,Public,2 Year,NA,4530,4530,11280,11280
Montclair State University,New Jersey,NJ,Public,4 Year,15564,12790,28354,20578,36142
Monterey Peninsula College,California,CA,Public,2 Year,NA,1450,1450,9190,9190
Montgomery College Rockville,Maryland,MD,Public,2 Year,NA,5178,5178,13602,13602
Montgomery Community College,North Carolina,NC,Public,2 Year,NA,2385,2385,8145,8145
Montgomery County Community College,Pennsylvania,PA,Public,2 Year,NA,5730,5730,14970,14970
Montreat College,North Carolina,NC,Private,4 Year,9149,26670,35819,26670,35819
Montserrat College of Art,Massachusetts,MA,Private,4 Year,9900,33400,43300,33400,43300
Moody Bible Institute,Illinois,IL,Private,4 Year,11820,13565,25385,13565,25385
Moore College of Art and Design,Pennsylvania,PA,Private,4 Year,15564,41728,57292,41728,57292
Moorpark College,California,CA,Public,2 Year,NA,1448,1448,9248,9248
Moraine Park Technical College,Wisconsin,WI,Public,2 Year,NA,4065,4065,4065,4065
Moraine Valley Community College,Illinois,IL,Public,2 Year,NA,4356,4356,11196,11196
Moravian College,Pennsylvania,PA,Private,4 Year,13378,43636,57014,43636,57014
Morehead State University,Kentucky,KY,Public,4 Year,9960,9170,19130,13646,23606
Morehouse College,Georgia,GA,Private,4 Year,13438,27574,41012,27574,41012
Moreno Valley College,California,CA,Public,2 Year,NA,1416,1416,8436,8436
Morgan Community College,Colorado,CO,Public,2 Year,NA,4645,4645,18505,18505
Morgan State University,Maryland,MD,Public,4 Year,10260,7900,18160,18167,28427
Morningside College,Iowa,IA,Private,4 Year,9610,31530,41140,31530,41140
Morris College,South Carolina,SC,Private,4 Year,6033,13886,19919,13886,19919
Morrison Institute of Technology,Illinois,IL,Private,2 Year,5200,16100,21300,16100,21300
Morton College,Illinois,IL,Public,2 Year,NA,4080,4080,9840,9840
Motlow State Community College,Tennessee,TN,Public,2 Year,NA,4445,4445,13211,13211
Mott Community College,Michigan,MI,Public,2 Year,NA,5030,5030,8657,8657
Mount Aloysius College,Pennsylvania,PA,Private,4 Year,10648,23110,33758,23110,33758
Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,5000,13907,18907,13907,18907
Mount Holyoke College,Massachusetts,MA,Private,4 Year,14660,49998,64658,49998,64658
Mount Ida College,Massachusetts,MA,Private,4 Year,13680,35720,49400,35720,49400
Mount Marty College,South Dakota,SD,Private,4 Year,7986,27276,35262,27276,35262
Mount Mary University,Wisconsin,WI,Private,4 Year,8600,30100,38700,30100,38700
Mount Mercy University,Iowa,IA,Private,4 Year,9534,31798,41332,31798,41332
Mount Saint Mary College,New York,NY,Private,4 Year,15108,31118,46226,31118,46226
Mount Saint Mary's University,California,CA,Private,4 Year,12235,41170,53405,41170,53405
Mount San Antonio College,California,CA,Public,2 Year,NA,1442,1442,9414,9414
Mount San Jacinto College,California,CA,Public,2 Year,NA,1394,1394,10034,10034
Mount St. Joseph University,Ohio,OH,Private,4 Year,9442,30100,39542,30100,39542
Mount St. Mary's University,Maryland,MD,Private,4 Year,13075,41350,54425,41350,54425
Mount Vernon Nazarene University,Ohio,OH,Private,4 Year,8170,29244,37414,29244,37414
Mount Wachusett Community College,Massachusetts,MA,Public,2 Year,NA,6510,6510,12660,12660
Mountain Empire Community College,Virginia,VA,Public,2 Year,NA,4710,4710,10638,10638
Mountain View College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
Mt. Hood Community College,Oregon,OR,Public,2 Year,NA,5407,5407,10312,10312
Mt. Sierra College,California,CA,For Profit,4 Year,NA,15688,15688,15688,15688
MTI College,California,CA,For Profit,2 Year,NA,15250,15250,15250,15250
Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765,52595,64360,52595,64360
Multnomah University,Oregon,OR,Private,4 Year,8870,25900,34770,25900,34770
Murray State College,Oklahoma,OK,Public,2 Year,6800,4820,11620,10970,17770
Murray State University,Kentucky,KY,Public,4 Year,9190,9084,18274,24540,33730
Muscatine Community College,Iowa,IA,Public,2 Year,NA,4860,4860,6870,6870
Muskegon Community College,Michigan,MI,Public,2 Year,NA,4515,4515,10020,10020
Muskingum University,Ohio,OH,Private,4 Year,11480,28516,39996,28516,39996
Myotherapy Institute,Nebraska,NE,For Profit,2 Year,NA,11225,11225,11225,11225
Napa Valley College,California,CA,Public,2 Year,NA,1414,1414,9154,9154
Naropa University,Colorado,CO,Private,4 Year,12849,31790,44639,31790,44639
Nash Community College,North Carolina,NC,Public,2 Year,NA,2900,2900,9700,9700
Nashua Community College,New Hampshire,NH,Public,2 Year,NA,7140,7140,15030,15030
Nashville State Community College,Tennessee,TN,Public,2 Year,NA,4395,4395,17301,17301
Nassau Community College,New York,NY,Public,2 Year,NA,5880,5880,11230,11230
National Paralegal College,Arizona,AZ,For Profit,4 Year,NA,7995,7995,7995,7995
National Park College,Arkansas,AR,Public,2 Year,NA,2700,2700,4110,4110
National University,California,CA,Private,4 Year,NA,16710,16710,16710,16710
National University of Health Sciences,Illinois,IL,Private,4 Year,NA,12609,12609,12609,12609
National-Louis University,Illinois,IL,Private,4 Year,NA,10710,10710,10710,10710
Naugatuck Valley Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,13172,13172
Navajo Technical University,New Mexico,NM,Public,2 Year,6270,2360,8630,2360,8630
Navarro College,Texas,TX,Public,2 Year,5618,2400,8018,5400,11018
Nazarene Bible College,Colorado,CO,Private,4 Year,NA,14700,14700,14700,14700
Nazareth College,New York,NY,Private,4 Year,13580,34280,47860,34280,47860
Nebraska Christian College,Nebraska,NE,Private,4 Year,9020,17665,26685,17665,26685
Nebraska College of Technical Agriculture,Nebraska,NE,Public,2 Year,7418,5036,12454,5036,12454
Nebraska Indian Community College,Nebraska,NE,Public,2 Year,NA,5125,5125,5125,5125
Nebraska Methodist College of Nursing and Allied Health,Nebraska,NE,Private,4 Year,9586,18048,27634,18048,27634
Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622,34202,43824,34202,43824
Neosho County Community College,Kansas,KS,Public,2 Year,6100,3120,9220,3120,9220
Ner Israel Rabbinical College,Maryland,MD,Private,4 Year,6600,12400,19000,12400,19000
Neumann University,Pennsylvania,PA,Private,4 Year,13020,31400,44420,31400,44420
Neumont College of Computer Science,Utah,UT,For Profit,4 Year,5970,24750,30720,24750,30720
Nevada State College,Nevada,NV,Public,4 Year,NA,5438,5438,17458,17458
New Charter University,California,CA,For Profit,4 Year,NA,2691,2691,2691,2691
New College of Florida,Florida,FL,Public,4 Year,9264,6919,16183,29944,39208
New England College,New Hampshire,NH,Private,4 Year,14222,37914,52136,37914,52136
New England Conservatory of Music,Massachusetts,MA,Private,4 Year,15900,48750,64650,48750,64650
New England Culinary Institute,Vermont,VT,For Profit,2 Year,10466,22210,32676,22210,32676
New England Institute of Technology,Rhode Island,RI,Private,4 Year,13065,29940,43005,29940,43005
New Hampshire Institute of Art,New Hampshire,NH,Private,4 Year,11460,28280,39740,28280,39740
New Hope Christian College,Oregon,OR,Private,4 Year,6300,14880,21180,14880,21180
New Jersey City University,New Jersey,NJ,Public,4 Year,12738,12051,24789,21573,34311
New Jersey Institute of Technology,New Jersey,NJ,Public,4 Year,13600,17338,30938,32750,46350
New Mexico Highlands University,New Mexico,NM,Public,4 Year,7872,6150,14022,10302,18174
New Mexico Institute of Mining and Technology,New Mexico,NM,Public,4 Year,8510,7770,16280,22268,30778
New Mexico Junior College,New Mexico,NM,Public,2 Year,4350,1452,5802,2196,6546
New Mexico Military Institute,New Mexico,NM,Public,2 Year,5576,6797,12373,14469,20045
New Mexico State University,New Mexico,NM,Public,4 Year,9252,7368,16620,23508,32760
New Mexico State University at Alamogordo,New Mexico,NM,Public,2 Year,NA,2064,2064,5376,5376
New Mexico State University at Carlsbad,New Mexico,NM,Public,2 Year,NA,1376,1376,1376,1376
New Mexico State University at Grants,New Mexico,NM,Public,2 Year,536,2064,2600,4104,4640
New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,2625,7775,10400,7775,10400
New River Community and Technical College,West Virginia,WV,Public,2 Year,NA,4526,4526,7140,7140
New River Community College,Virginia,VA,Public,2 Year,NA,4697,4697,10703,10703
New Saint Andrews College,Idaho,ID,Private,4 Year,NA,12800,12800,12800,12800
New York Institute of Technology,New York,NY,Private,4 Year,14290,36890,51180,36890,51180
New York School of Interior Design,New York,NY,Private,4 Year,21300,30834,52134,30834,52134
New York University,New York,NY,Private,4 Year,18156,51828,69984,51828,69984
Newberry College,South Carolina,SC,Private,4 Year,10666,26424,37090,26424,37090
Newbury College,Massachusetts,MA,Private,4 Year,14900,35540,50440,35540,50440
Newman University,Kansas,KS,Private,4 Year,8326,30724,39050,30724,39050
NHTI-Concord's Community College,New Hampshire,NH,Public,2 Year,9552,7200,16752,15450,25002
Niagara County Community College,New York,NY,Public,2 Year,NA,5027,5027,11615,11615
Niagara University,New York,NY,Private,4 Year,13200,33180,46380,33180,46380
Nicholls State University,Louisiana,LA,Public,4 Year,9938,7982,17920,9075,19013
Nichols College,Massachusetts,MA,Private,4 Year,13950,34800,48750,34800,48750
Nicolet Area Technical College,Wisconsin,WI,Public,2 Year,NA,4404,4404,6437,6437
Norco College,California,CA,Public,2 Year,NA,1416,1416,8436,8436
Norfolk State University,Virginia,VA,Public,4 Year,10360,9490,19850,21418,31778
Normandale Community College,Minnesota,MN,Public,2 Year,NA,5789,5789,5789,5789
North Arkansas College,Arkansas,AR,Public,2 Year,NA,2850,2850,5790,5790
North Carolina Agricultural and Technical State University,North Carolina,NC,Public,4 Year,7624,6612,14236,19822,27446
North Carolina Central University,North Carolina,NC,Public,4 Year,8909,6348,15257,19055,27964
North Carolina State University,North Carolina,NC,Public,4 Year,11078,9101,20179,28444,39522
North Carolina Wesleyan College,North Carolina,NC,Private,4 Year,10800,31000,41800,31000,41800
North Central College,Illinois,IL,Private,4 Year,11019,38880,49899,38880,49899
North Central Kansas Technical College,Kansas,KS,Public,2 Year,5815,3930,9745,3930,9745
North Central Michigan College,Michigan,MI,Public,2 Year,6300,3570,9870,7710,14010
North Central Missouri College,Missouri,MO,Public,2 Year,6055,3510,9565,6210,12265
North Central State College,Ohio,OH,Public,2 Year,NA,4998,4998,9020,9020
North Central Texas College,Texas,TX,Public,2 Year,3970,2730,6700,7980,11950
North Central University,Minnesota,MN,Private,4 Year,7400,24240,31640,24240,31640
North Country Community College,New York,NY,Public,2 Year,10350,6008,16358,12638,22988
North Dakota State College of Science,North Dakota,ND,Public,2 Year,6220,5132,11352,12402,18622
North Dakota State University,North Dakota,ND,Public,4 Year,8565,9294,17859,13273,21838
North Florida Community College,Florida,FL,Public,2 Year,NA,3179,3179,12095,12095
North Georgia Technical College,Georgia,GA,Public,2 Year,4000,3268,7268,5938,9938
North Greenville University,South Carolina,SC,Private,4 Year,10240,19750,29990,19750,29990
North Hennepin Community College,Minnesota,MN,Public,2 Year,NA,5542,5542,5542,5542
North Idaho College,Idaho,ID,Public,2 Year,7500,4245,11745,10815,18315
North Iowa Area Community College,Iowa,IA,Public,2 Year,7128,5408,12536,7721,14849
North Lake College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
North Park University,Illinois,IL,Private,4 Year,9866,29190,39056,29190,39056
North Seattle College,Washington,WA,Public,2 Year,NA,4027,4027,4462,4462
North Shore Community College,Massachusetts,MA,Public,2 Year,NA,6450,6450,13410,13410
Northampton Community College,Pennsylvania,PA,Public,2 Year,9094,4380,13474,14100,23194
Northcentral Technical College,Wisconsin,WI,Public,2 Year,NA,4026,4026,6039,6039
Northcentral University,California,CA,For Profit,4 Year,NA,11064,11064,11064,11064
Northeast Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610
Northeast Community College,Nebraska,NE,Public,2 Year,8605,3480,12085,4635,13240
Northeast Iowa Community College,Iowa,IA,Public,2 Year,NA,5432,5432,5992,5992
Northeast Mississippi Community College,Mississippi,MS,Public,2 Year,4480,3816,8296,6656,11136
Northeast State Community College,Tennessee,TN,Public,2 Year,NA,4451,4451,17357,17357
Northeast Texas Community College,Texas,TX,Public,2 Year,6300,2849,9149,6149,12449
Northeast Wisconsin Technical College,Wisconsin,WI,Public,2 Year,NA,4473,4473,6486,6486
Northeastern Illinois University,Illinois,IL,Public,4 Year,11424,14022,25446,25907,37331
Northeastern Junior College,Colorado,CO,Public,2 Year,7080,5072,12152,7910,14990
Northeastern Oklahoma Agricultural and Mechanical College,Oklahoma,OK,Public,2 Year,5698,4673,10371,10673,16371
Northeastern State University,Oklahoma,OK,Public,4 Year,7638,6650,14288,14720,22358
Northeastern Technical College,South Carolina,SC,Public,2 Year,NA,5490,5490,8940,8940
Northeastern University,Massachusetts,MA,Private,4 Year,16880,51387,68267,51387,68267
Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110
Northern Essex Community College,Massachusetts,MA,Public,2 Year,NA,6420,6420,13650,13650
Northern Illinois University,Illinois,IL,Public,4 Year,10880,12262,23142,12262,23142
Northern Kentucky University,Kentucky,KY,Public,4 Year,10022,10032,20054,19680,29702
Northern Maine Community College,Maine,ME,Public,2 Year,7818,3820,11638,6640,14458
Northern Michigan University,Michigan,MI,Public,4 Year,10666,10988,21654,16484,27150
Northern New Mexico College,New Mexico,NM,Public,4 Year,NA,4765,4765,4765,4765
Northern Oklahoma College,Oklahoma,OK,Public,2 Year,7080,4170,11250,10755,17835
Northern State University,South Dakota,SD,Public,4 Year,8029,8498,16527,11471,19500
Northern Vermont University,Vermont,VT,Public,4 Year,10598,12434,23032,25754,36352
Northern Virginia Community College,Virginia,VA,Public,2 Year,NA,5610,5610,11618,11618
Northland College,Wisconsin,WI,Private,4 Year,9176,36183,45359,36183,45359
Northland Community & Technical College,Minnesota,MN,Public,2 Year,4500,5549,10049,5549,10049
Northland Pioneer College,Arizona,AZ,Public,2 Year,NA,2310,2310,10740,10740
Northpoint Bible College,Massachusetts,MA,Private,4 Year,9500,12580,22080,12580,22080
Northwest Arkansas Community College,Arkansas,AR,Public,2 Year,NA,3208,3208,4708,4708
Northwest Christian University,Oregon,OR,Private,4 Year,9300,30050,39350,30050,39350
Northwest College,Wyoming,WY,Public,2 Year,6090,3420,9510,7932,14022
Northwest College of Art & Design,Washington,WA,For Profit,4 Year,NA,20600,20600,20600,20600
Northwest Florida State College,Florida,FL,Public,2 Year,NA,3324,3324,11634,11634
Northwest Indian College,Washington,WA,Public,2 Year,4950,5445,10395,14310,19260
Northwest Iowa Community College,Iowa,IA,Public,2 Year,NA,5070,5070,5370,5370
Northwest Kansas Technical College,Kansas,KS,Public,2 Year,4850,8300,13150,8300,13150
Northwest Mississippi Community College,Mississippi,MS,Public,2 Year,3550,3000,6550,5400,8950
Northwest Missouri State University,Missouri,MO,Public,4 Year,10016,9805,19821,16457,26473
Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700
Northwest School of Wooden Boatbuilding,Washington,WA,Private,4 Year,NA,19500,19500,19500,19500
Northwest State Community College,Ohio,OH,Public,2 Year,NA,5102,5102,9942,9942
Northwest Technical College,Minnesota,MN,Public,2 Year,NA,5488,5488,5488,5488
Northwest University,Washington,WA,Private,4 Year,8630,31540,40170,31540,40170
Northwest Vista College,Texas,TX,Public,2 Year,NA,2720,2720,13730,13730
Northwest-Shoals Community College,Alabama,AL,Public,2 Year,NA,4695,4695,8565,8565
Northwestern College,Iowa,IA,Private,4 Year,9200,31100,40300,31100,40300
Northwestern College,Illinois,IL,For Profit,2 Year,12402,18485,30887,18485,30887
Northwestern Connecticut Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,13172,13172
Northwestern Health Sciences University,Minnesota,MN,Private,4 Year,NA,13380,13380,13380,13380
Northwestern Michigan College,Michigan,MI,Public,2 Year,8750,4174,12924,9611,18361
Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780,7036,11816,14153,18933
Northwestern Polytechnic University,California,CA,Private,4 Year,6000,10700,16700,10700,16700
Northwestern State University,Louisiana,LA,Public,4 Year,8884,8580,17464,19368,28252
Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193
Northwood University: Michigan,Michigan,MI,Private,4 Year,10480,27060,37540,27060,37540
Norwalk Community College,Connecticut,CT,Public,2 Year,NA,4399,4399,13167,13167
Norwich University,Vermont,VT,Private,4 Year,13840,40016,53856,40016,53856
Nossi College of Art,Tennessee,TN,For Profit,2 Year,NA,17700,17700,17700,17700
Notre Dame College,Ohio,OH,Private,4 Year,9980,30160,40140,30160,40140
Notre Dame de Namur University,California,CA,Private,4 Year,14494,35350,49844,35350,49844
Notre Dame of Maryland University,Maryland,MD,Private,4 Year,11850,36900,48750,36900,48750
Nova Southeastern University,Florida,FL,Private,4 Year,13250,30900,44150,30900,44150
Nueta Hidatsa Sahnish College,North Dakota,ND,Public,2 Year,NA,3870,3870,3870,3870
Nunez Community College,Louisiana,LA,Public,2 Year,NA,4175,4175,7674,7674
Nyack College,New York,NY,Private,4 Year,9450,25350,34800,25350,34800
O'More College of Design,Tennessee,TN,Private,4 Year,NA,29880,29880,29880,29880
Oak Hills Christian College,Minnesota,MN,Private,4 Year,6984,17314,24298,17314,24298
Oakland City University,Indiana,IN,Private,4 Year,9900,24000,33900,24000,33900
Oakland Community College,Michigan,MI,Public,2 Year,NA,2960,2960,5540,5540
Oakland University,Michigan,MI,Public,4 Year,10100,12606,22706,24230,34330
Oakton Community College,Illinois,IL,Public,2 Year,NA,4292,4292,13375,13375
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032
Oberlin College,Ohio,OH,Private,4 Year,16338,55054,71392,55054,71392
Occidental College,California,CA,Private,4 Year,15496,54686,70182,54686,70182
Ocean County College,New Jersey,NJ,Public,2 Year,NA,4515,4515,7695,7695
Odessa College,Texas,TX,Public,2 Year,5412,2794,8206,5450,10862
Oglala Lakota College,South Dakota,SD,Public,4 Year,NA,3560,3560,3560,3560
Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300
Ohio Christian University,Ohio,OH,Private,4 Year,8076,23306,31382,23306,31382
Ohio Dominican University,Ohio,OH,Private,4 Year,10948,31080,42028,31080,42028
Ohio Northern University,Ohio,OH,Private,4 Year,11650,32260,43910,32260,43910
Ohio State University Agricultural Technical Institute,Ohio,OH,Public,2 Year,8696,7658,16354,27674,36370
Ohio State University: Columbus Campus,Ohio,OH,Public,4 Year,12434,10726,23160,30742,43176
Ohio State University: Lima Campus,Ohio,OH,Public,4 Year,NA,7644,7644,27660,27660
Ohio State University: Mansfield Campus,Ohio,OH,Public,4 Year,8094,7644,15738,27660,35754
Ohio State University: Marion Campus,Ohio,OH,Public,4 Year,NA,7644,7644,27660,27660
Ohio State University: Newark Campus,Ohio,OH,Public,4 Year,9268,7644,16912,27660,36928
Ohio Technical College,Ohio,OH,For Profit,2 Year,NA,28544,28544,28544,28544
Ohio University,Ohio,OH,Public,4 Year,11830,12192,24022,21656,33486
Ohio University: Chillicothe Campus,Ohio,OH,Public,4 Year,NA,5060,5060,9596,9596
Ohio University: Eastern Campus,Ohio,OH,Public,4 Year,NA,4830,4830,6742,6742
Ohio University: Lancaster Campus,Ohio,OH,Public,4 Year,NA,5490,5490,8482,8482
Ohio University: Southern Campus at Ironton,Ohio,OH,Public,4 Year,NA,4872,4872,6718,6718
Ohio University: Zanesville Campus,Ohio,OH,Public,4 Year,NA,5490,5490,8482,8482
Ohio Valley University,West Virginia,WV,Private,4 Year,7980,21900,29880,21900,29880
Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430,45760,58190,45760,58190
Ohlone College,California,CA,Public,2 Year,NA,1419,1419,8409,8409
Ohr Somayach Tanenbaum Education Center,New York,NY,Private,4 Year,9000,9000,18000,9000,18000
Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350,28258,35608,28258,35608
Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190,22760,30950,22760,30950
Oklahoma City Community College,Oklahoma,OK,Public,2 Year,NA,4059,4059,9810,9810
Oklahoma City University,Oklahoma,OK,Private,4 Year,8896,31026,39922,31026,39922
Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,4695,8194,12889,9133,13828
Oklahoma State University,Oklahoma,OK,Public,4 Year,8549,9019,17568,24539,33088
Oklahoma State University Institute of Technology: Okmulgee,Oklahoma,OK,Public,2 Year,6988,5550,12538,11160,18148
Oklahoma State University: Oklahoma City,Oklahoma,OK,Public,2 Year,NA,4479,4479,11559,11559
Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,8644,26956,35600,26956,35600
Old Dominion University,Virginia,VA,Public,4 Year,11620,10872,22492,29772,41392
Olivet College,Michigan,MI,Private,4 Year,9590,27700,37290,27700,37290
Olivet Nazarene University,Illinois,IL,Private,4 Year,7900,36070,43970,36070,43970
Olympic College,Washington,WA,Public,2 Year,5925,4252,10177,4784,10709
Onondaga Community College,New York,NY,Public,2 Year,10140,5484,15624,10384,20524
Oral Roberts University,Oklahoma,OK,Private,4 Year,9450,27728,37178,27728,37178
Orange Coast College,California,CA,Public,2 Year,NA,1438,1438,9568,9568
Orange County Community College,New York,NY,Public,2 Year,NA,5288,5288,9974,9974
Orangeburg-Calhoun Technical College,South Carolina,SC,Public,2 Year,NA,5750,5750,9200,9200
Oregon College of Art & Craft,Oregon,OR,Private,4 Year,NA,34850,34850,34850,34850
Oregon Health & Science University,Oregon,OR,Public,4 Year,NA,19176,19176,33666,33666
Oregon Institute of Technology,Oregon,OR,Public,4 Year,9058,9987,19045,28056,37114
Oregon State University,Oregon,OR,Public,4 Year,12855,11166,24021,30141,42996
Orleans Technical Institute,Pennsylvania,PA,Private,2 Year,NA,13601,13601,13601,13601
Otero Junior College,Colorado,CO,Public,2 Year,7112,4882,11994,7861,14973
Otis College of Art and Design,California,CA,Private,4 Year,15100,44580,59680,44580,59680
Ottawa University,Kansas,KS,Private,4 Year,11900,27630,39530,27630,39530
Otterbein University,Ohio,OH,Private,4 Year,11258,31874,43132,31874,43132
Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880,26790,34670,26790,34670
Our Lady of the Lake College,Louisiana,LA,Private,4 Year,NA,16484,16484,16484,16484
Our Lady of the Lake University of San Antonio,Texas,TX,Private,4 Year,9602,28740,38342,28740,38342
Owens Community College,Ohio,OH,Public,2 Year,NA,5860,5860,10424,10424
Owensboro Community and Technical College,Kentucky,KY,Public,2 Year,NA,5310,5310,18000,18000
Oxnard College,California,CA,Public,2 Year,NA,1418,1418,9218,9218
Ozark Christian College,Missouri,MO,Private,4 Year,6160,12620,18780,12620,18780
Ozarka College,Arkansas,AR,Public,2 Year,NA,3640,3640,6580,6580
Ozarks Technical Community College,Missouri,MO,Public,2 Year,NA,4000,4000,6760,6760
Pace University,New York,NY,Private,4 Year,19200,45280,64480,45280,64480
Pace University: Pleasantville/Briarcliff,New York,NY,Private,4 Year,16600,45280,61880,45280,61880
Pacific Lutheran University,Washington,WA,Private,4 Year,10790,42066,52856,42066,52856
Pacific Northwest College of Art,Oregon,OR,Private,4 Year,12860,38250,51110,38250,51110
Pacific Oaks College,California,CA,Private,4 Year,NA,34830,34830,34830,34830
Pacific States University,California,CA,Private,4 Year,NA,16005,16005,16005,16005
Pacific Union College,California,CA,Private,4 Year,8310,30060,38370,30060,38370
Pacific University,Oregon,OR,Private,4 Year,12528,44298,56826,44298,56826
Paier College of Art,Connecticut,CT,For Profit,4 Year,NA,18040,18040,18040,18040
Paine College,Georgia,GA,Private,4 Year,6662,15595,22257,15595,22257
Palm Beach Atlantic University,Florida,FL,Private,4 Year,10120,31450,41570,31450,41570
Palm Beach State College,Florida,FL,Public,2 Year,NA,3030,3030,10890,10890
Palo Alto College,Texas,TX,Public,2 Year,NA,2660,2660,13670,13670
Palo Verde College,California,CA,Public,2 Year,NA,1380,1380,9120,9120
Palomar College,California,CA,Public,2 Year,NA,1430,1430,9170,9170
Pamlico Community College,North Carolina,NC,Public,2 Year,NA,2323,2323,8083,8083
Panola College,Texas,TX,Public,2 Year,5016,2400,7416,5190,10206
Paradise Valley Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810
Paris Junior College,Texas,TX,Public,2 Year,5000,2400,7400,5400,10400
Park University,Missouri,MO,Private,4 Year,8200,12650,20850,12650,20850
Parkland College,Illinois,IL,Public,2 Year,NA,4920,4920,15870,15870
Parsons The New School for Design,New York,NY,Private,4 Year,18000,49847,67847,49847,67847
Pasadena City College,California,CA,Public,2 Year,NA,1440,1440,9180,9180
Pasco-Hernando State College,Florida,FL,Public,2 Year,NA,3155,3155,12032,12032
Passaic County Community College,New Jersey,NJ,Public,2 Year,NA,5070,5070,8850,8850
Patrick Henry College,Virginia,VA,Private,4 Year,10728,27922,38650,27922,38650
Patrick Henry Community College,Virginia,VA,Public,2 Year,NA,4730,4730,10658,10658
Paul D. Camp Community College,Virginia,VA,Public,2 Year,NA,4730,4730,10768,10768
Paul Quinn College,Texas,TX,Private,4 Year,6000,8495,14495,8495,14495
Paul Smith's College,New York,NY,Private,4 Year,12240,28484,40724,28484,40724
Pearl River Community College,Mississippi,MS,Public,2 Year,4900,3500,8400,5898,10798
Peirce College,Pennsylvania,PA,Private,4 Year,NA,18660,18660,18660,18660
Pellissippi State Community College,Tennessee,TN,Public,2 Year,NA,4480,4480,13246,13246
Peninsula College,Washington,WA,Public,2 Year,NA,5023,5023,9852,9852
Penn Commercial Business and Technical School,Pennsylvania,PA,For Profit,2 Year,NA,11809,11809,11809,11809
Penn State Abington,Pennsylvania,PA,Public,4 Year,8100,14524,22624,23278,31378
Penn State Altoona,Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020
Penn State Beaver,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
Penn State Berks,Pennsylvania,PA,Public,4 Year,12730,15198,27928,24450,37180
Penn State Brandywine,Pennsylvania,PA,Public,4 Year,12180,14468,26648,23028,35208
Penn State DuBois,Pennsylvania,PA,Public,4 Year,NA,13702,13702,21886,21886
"Penn State Erie, The Behrend College",Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020
"Penn State Fayette, The Eberly Campus",Pennsylvania,PA,Public,4 Year,NA,13702,13702,21886,21886
Penn State Greater Allegheny,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
