season,season_episode,series_episode,episode_name,episode_notes,air_date,judge1,judge2,judge3,appetizer,entree,dessert,contestant1,contestant1_info,contestant2,contestant2_info,contestant3,contestant3_info,contestant4,contestant4_info
24,7,297,"""Rock Stars""",Musicians compete for charity.,"August 18, 2015",Aarón Sánchez,Alex Guarnaschelli,Chris Santo," drumsticks, corn tortillas, champagne, jam "," lamb t-bones, graffiti eggplants, string cheese, beer "," rock candy, fresh ginger, lemon roll, spiced German liquor",Eddie Ojeda, Charity: Carol Baldwin Breast Cancer Fund , Lita Ford, Charity: Kids First Parental Alienation Awareness , Dweezil Zappa, Charity: Guitars Not Guns , Kelly Hansen, Charity: The Grammy Foundation 
24,8,298,"""Wild Ride""","Baskets were carnival themed, with each basket containing two deep fried items. Chef Derrick works for fellow Chopped judge Chris Santos, who did not appear as a judge in this episode. In the entree round, Chef Eileen forgot a basket ingredient (fried ravioli). In the dessert round, Chef Derrick cut himself but did not know about it until he was alerted by the medic. Blood was found in enough places that the judges could not taste his dish due to possible contamination.","September 3, 2015",Scott Conant,Amanda Freitag,Maneet Chauhan," corn dogs, candy apples, cream cheese, deep-fried cherry drink "," deep-fried canned ham, deep-fried ravioli, asparagus, hot beef sundae "," deep-fried tequila, nectarines, deep-fried butter balls, red, white and blue ice pops",Kris Edelen, Executive Chef from New York  NY , Eileen Andrade, Chef & Restaurateur from Miami  FL , Derrick Prince, Sous Chef from New York  NY , Brian Riggenbach, Executive Chef from Chicago  IL 
24,9,299,"""College Challenge""","Four college students are the contestants. The instant ramen in the appetizer round consisted of dried ramen noodles and a flavoring packet, but the chefs were not required to use both components of the ram","September 10, 2015",Marc Murphy,Chris Santos,Roger Mookin," ground turkey, bluefoot mushrooms, frozen mixed veggies, instant ramen "," strip steaks, ranch dressing, broccoli, pizza turnovers "," potato chips, strawberry toaster pastries, fast food sundae, mini marshmallows",Varsha Govindaraju ,Senior  University of Washington in Seattle  WA , Alex Steinwald ,Senior  Northwestern University in Evanston  IL , O'Shane Elliot ,Junior  University of Miami in Miami  FL , Andrea Galan ,Sophomore  New York University in New York  NY 
24,10,300,"""Light Makes Right""",Lighter and healthier ingredients were featured in the baskets. Chef Poindexter is the personal chef of Texas Rangers player Prince Fielder.,"October 20, 2015",Marc Murphy,Amanda Freitag,Rocco DiSpirito," pomegranate yogurt, dandelion greens, pepitas, salmon "," ground buffalo, muhammara, rainbow carrots, kefir "," matcha chia smoothie, rice crackers, pineapple, dark chocolate",Justin Schwartz, Executive Chef from New York  NY , Momo Attaoui, Private Chef from Brooklyn  NY , Rudy Poindexter, Personal Chef from Arlington  TX , Ryan Ross, Owner & Private Chef from Bow  WA 
24,11,301,"""Tailgate Fate""",The theme of this episode was tailgating and the baskets were replaced by coolers.,"November 3, 2015",Aarón Sánchez,Chris Santos,Roger Mookin," gameday chili, roasted jalapeño poppers, chicken wings, pretzel rolls "," three bean salad, burger patties, flask of whiskey, football cupcakes "," fried apple pies, wine coolers, strawberries, banana pudding",Erin Wishon, Executive Chef from Chicago  IL , Lamar Moore, Executive Chef from Chicago  IL , Michell Sanchez, Chef & Restaurateur from Miami  FL , Seis Kamimura, Executive Chef from Seattle  WA 
24,12,302,"""Chopped Gastropub""","Contestants were asked to prepare dishes that one might find at a gastropub. Each round featured at least two gastropub-themed mystery ingredients. Juan Borjas works for Chopped judge Chris Santos, who did not appear as a judge in this episode.","November 26, 2015",Geoffrey Zakarian,Amanda Freitag,Aarón Sanchez," house-smoked bacon, monkfish cheeks, deviled eggs, house-made pickles "," bangers and mash, Brussels sprouts, white truffle popcorn, Moscow mule "," house-pulled mozzarella, peanut-caramel chocolate bars, house-made potato tots, craft beer",Will Salazar, Executive Sous Chef from Chicago  IL , Juan Borjas, Executive Sous Chef from New York  NY , Fred Maurer, Charcutier from New York  NY , Dafna Mizrahi, Chef & Restaurateur from Amenia  NY 
24,13,303,"""Holiday Cooking""","This was a holiday-themed episode and all the competing chefs were hosts of shows on Cooking Channel playing for charity. Kelsey cut herself in the appetizer round and her food overcooked on the stove while she was getting bandaged, contributing to her being eliminated. Chef Corcos also competed in the 2013 All-Stars tournament prior to this episode. The gingersnap cocktail in the second round was mixed from vodka, ginger-scented apéritif, allspice, and clove.","December 8, 2015",Marcus Samuelsson,Geoffrey Zakarian,Aarón Sánchez," whole roasted goose, parsnips, green cherries, brie en croûte "," beef tenderloin, gingersnap cocktail, potato latkes, tzimmes "," white chocolate apple snowman, pie dough, cranberries, brandy Alexander cocktail",Kelsey Nixon ,Kelsey's Essentials  Charity: Every Mother Counts , Jim Stacy ,Offbeat Eats  Charity: The Giving Kitchen , Gabriele Corcos ,Extra Virgin  Charity: The Food Bank of New York City , Roger Mooking ,Man  Fire  Food  Charity: Save the Children International 
25,1,304,"""Teen Tournament: Episode One""","This is part 1 of 5 in a tournament with all teenage contestants. In this and subsequent rounds, the teen contestants were given 30 minutes for the appetizer round.","August 25, 2015",Amanda Freitag,Maneet Chauhan,Scott Conant," swordfish, black garlic mayonnaise, lemon leaves, bear's head mushrooms "," hanger steak, lollipop kale, apple crisp, spray cheese "," fruit chew candy, instant yogurt pudding mix, tortilla chips, blueberries",Franco Fugel ,age 14  from New York  NY , Theo Vicioso ,age 17  from White Plains  NY , Anna Mindell ,age 15  from New Haven  CT , Yazmene Kaylani ,age 16  from Sussex County  NJ 
25,2,305,"""Teen Tournament: Episode Two""","Part 2 of 5. Teen Chef Wenger is a protégé of Chef Joel Gargano, who competed in the fifteenth-season episode ""Cook Your Butt Off!"" Throughout the competition Salma cut herself four times.","September 1, 2015",Amanda Freitag,Maneet Chauhan,Scott Conant," wild langoustines, Asian long beans, yuzu juice, Japanese sweet potato "," lamb shoulder, coconut milk, bok choy, dates "," powdered peanut butter, ice cream sandwiches, marshmallows, curry powder",Alyssa Chacon ,age 17  from Union  NJ , Nino Asaro ,age 16  from New York  NY , Salma Zahran ,age 15  from Brooklyn  NY , Peter Wenger ,age 13  from New York  NY 
25,3,306,"""Teen Tournament: Episode Three""",Part 3 of 5. The tortilla chip lunch kit in the appetizer round included tortilla chips and some salsa.,"September 8, 2015",Chris Santos,Alex Guarnaschelli,Scott Conant," vegan crispy chicken legs, golden beets, tortilla chip lunch kit, pea leaves "," venison roast, butternut squash, fruity cereal macaroons, okra "," walnuts in honey, assorted cookies, plums, french toast cereal",Jarren Pross ,age 14  from Rebersburg  PA , Eliza McKelvey age 13, from New York  NY , Allison Lee ,age 13  from New York  NY , Alexina Chasin ,age 14  from Kingston  NY 
25,4,307,"""Teen Tournament: Episode Four""",Part 4 of 5. The candy bars in the dessert round had the brand obscured but it appeared to be Pay Day candy bars. Veronica cut her finger in Round 1 but finished her dish.,"September 15, 2015",Chris Santos,Alex Guarnaschelli,Scott Conant," spicy Italian sausage, white asparagus, habañero peppers, soup dumplings "," veal chops, heirloom tomatoes, glazed doughnuts, Swiss chard "," flame grapes, peanut and caramel candy bars, Greek yogurt, mango nectar",Danny Ganzman ,age 15  from Buffalo Grove  IL , Olivia Neumark ,age 13  from Seattle  WA , Justin Ballenger ,age 16  from Chicago  IL , Veronica Seguin ,age 14  from Bedford  MA 
25,5,308,"""Viewers' Baskets""","All of the mystery ingredients were chosen by the fans via social media. Specifically: Facebook, Instagram, and Twitter.","September 17, 2015",Marc Murphy,Aarón Sánchez,Geoffrey Zakarian," rum raisin ice cream, broccoli spigarello, potato tots, potted meat "," abalone, wasabi candy canes, beef jerky sticks, yellow snack cakes "," banana ketchup, fruit cocktail, goat's milk, sauerkraut",Erica Nicholls, Executive Chef from Miami  FL , Aaron Tekulve, Sous Chef from Seattle  WA , Jeremy Fleming, Sous Chef from New York  NY , Mathias Gervais, Executive Chef from Miami Beach  FL 
25,6,309,"""Teen Tournament: Grand Finale""","Part 5 of 5. The winner received a $25,000 grand prize, while the other three finalists each received a $1,000 Food Network gift certificate and an authentic Chopped chefs coat.","September 22, 2015",Chris Santos,Alex Guarnaschelli,Amanda Freita," tuna in oil, super snap peas, fruit candy squares, gnocchi "," tilefish, baby planet carrots, chanterelle mushrooms, corned beef hash "," coconut chips, Shirley Temple, quail eggs, chocolate wafer cake",Peter Wenger ,age 13  from New York  NY , Alexina Chasin ,age 14  from Kingston  NY , Yazmene Kaylani ,age 16  from Sussex County  NJ , Veronica Seguin ,age 14  from Bedford  MA 
25,7,310,"""Teen Redeem""","This was a redemption episode, and the first redemption episode to feature teen chefs, all four of whom were contestants in the 2014 Teen Tournament. Unlike previous teen episodes, the chefs had the usual 20 minutes in the appetizer round instead of the extended 30.","September 24, 2015",Aarón Sánchez,Maneet Chauhan,Marc Murphy," lump crab meat, daikon radish, Japanese mayonnaise, chili garlic coated peas "," Korean-style short ribs, wax soda bottles, romanesco cauliflower, calzones "," cold brew coffee, peanut butter toast, strawberry purée, Italian milk cookies",Morgan Goldstein ,age 15  from Cleveland  OH , Dante Foggy ,age 18  from Burlington Township  NJ , Jay Urena ,age 17  from New York  NY , Max Aronson ,age 17  from Woodcliff Lake  NJ 
25,8,311,"""Sitcom Moms""","This was a celebrity episode featuring four actresses who played sitcom moms, all of them competing for charity. The TV dinners in the appetizer round included turkey, stuffing, and mashed potatoes. Betsy Randle accidentally left a piece of plastic in a round 1 dish, then forgot an ingredient in round 2, leading to her ultimately getting eliminated in the final round. (She got through the first two rounds because Jo Marie's dishes were inconsistently cooked and loaded with raw spices, while Tichina didn't transform her ingredients enough).","September 29, 2015",Chris Santos,Amanda Freitag,Geoffrey Zakarian," TV dinners, portobello mushrooms, fresh spinach, sour cream "," minute steak, rainbow carrots, cream of celery soup, french toast "," tiramisu, bananas, strawberry sauce, almonds",Jo Marie Payton ,Family Matters  charity: Grandparents Taking Care of Grandchildren , Tichina Arnold ,Everybody Hates Chris  charity: We Win Foundation , Betsy Randle ,Boy Meets World  charity: No Kid Hungry , Jackée Harry ,Sister  Sister  charity: Thurgood Marshall College Fund 
25,9,312,"""Bizarre Battle""","The baskets featured ""bizarre"" ingredients. Chef Morris works for Iron Chef Jose Garces.","October 8, 2015",Marcus Samuelsson,Marc Murphy,Scott Conant," duckbills, young jackfruit in brine, hand-pulled noodles, fruit-flavored beef jerky "," pork bung, hot sauce jelly beans, farro, pork dust "," smen, aloe mango pudding, warka pastry sheets, poi",Katie Wentworth, Executive Sous Chef from Seattle  WA , Lucerno Martinez Obregon, Executive Chef from New York  NY , Josh Elliot, Executive Chef from Miami Beach  FL , Cory Morris, Executive Chef from Chicago  IL 
25,10,313,"""Oktoberfest!""",The basket ingredients were inspired by Oktoberfest. The schnitzel was made of pork. The beer keg contained Kölsch.,"October 13, 2015",Geoffrey Zakarian,Maneet Chauhan,Edi Frauneder," sülze, sauerkraut, German soft pretzels, beer cheese soup "," schnitzel, mittelscharf, turnips, keg of beer "," chocolate sausage, spätzle, blackberries, bock beer",Ivan Giani, Executive Chef from New York  NY , Taylor Erickson, Personal Chef from Los Angeles  CA , Heiner Aichem, Executive Chef & Owner from Stanhope  NJ , Deborah Caplan, Line Cook from New York  NY 
25,11,314,"""Thanksgiving Soup-er Stars""","This was a Thanksgiving episode featuring four soup kitchen chefs. Each basket contained the same ingredients, but in different forms. Each chef's respective soup kitchen received a donation from Food Network win or lose. The chefs had 30 minutes in the appetizer round instead of the usual 20 minutes.","November 9, 2015",Marc Murphy,Amanda Freitag,Aarón Sánchez," leftover turkey, leftover mashed potatoes, leftover cranberry sauce, leftover green beans "," whole turkey breast, potatoes, cranberries, green beans "," turkey ice cream cake, mashed potato candy, cranberry salsa, green bean ice pops",Gretchen Roth, Food Services Manager at The Bowery Mission  New York  NY , Bonnie Kepplinger, Volunteer Cook at The Crib at the Night Ministry  Chicago  IL , Victor Squire, Soup Kitchen Chef at The Open Door Shelter  Norwalk  CT , Sister Alicia Torres, Franciscan Nun at Franciscans of the Eucharist of Chicago  Chicago  IL 
25,12,315,"""Cooking with Bass""",,"November 24, 2015",Marc Murphy,Maneet Chauhan,Marcus Samuelsson," popcorn, chicken hearts, escarole, persimmons "," sea bass, Anjou pears, poblano peppers, saffron "," zucchini, chocolate-covered raisins, vanilla liqueur, peanut brittle",Laura Cheng, Executive Chef from Chicago  IL , Alex Rodil, Executive Chef from Miami  FL , Rob Hafer, Sous Chef from Chicago  IL , Rosa Soto, Pastry Chef from Seattle  WA 
25,13,316,"""Mac and Cheese""","Mac and cheese was the theme of the competition, with a version of the main mac & cheese ingredients found in every basket.","December 1, 2015",Maneet Chauhan,Alex Guarnaschelli,Aarón Sánchez," mac and cheese, Canadian bacon, swiss chard, monkfish "," pasta shells, chorizo, spring peas, rotisserie chicken "," rigatoni, white chocolate, roasted figs, mac and cheese ice cream",Matt Jozwiak, Research & Development Chef from New York  NY , Bun Cheam, Executive Chef from Brooklyn  NY , Tiffany Minter, Executive Sous Chef from New York  NY , Joe Cecchini, Chef de Cuisine from Chicago  IL 
26,1,317,"""A Chopped Halloween""","This was a Halloween themed episode. The coffin toast in the entree round consisted of a toasted bread boat filled with seafood and a cream sauce. In Round 2 Celinda forgot the pickled pigs lips and she also cut herself using the same cutting board side she used and there was blood on her dish and the judges did not taste it resulting in her elimination. The ""boo-nilla"" shakes in the dessert round were vanilla milkshakes.","October 6, 2015",Aarón Sánchez,Alex Guarnaschelli,Geoffrey Zakarian," gory ribs, broccoli rabe, blood soup, mozzarella eyeballs "," lobster, pickled pigs lips, squid ink pasta, coffin toast "," Day of the Dead cookies, watermelon brain, chocolate covered bugs, boo-nilla shakes",Jeny Weimer, Executive Chef & Co-Owner from New York  NY , Celinda Norton, Chef & Food Blogger from Seattle  WA , Leo Mamaril, Chef de Tournade from New York  NY , Heather Borden, Chef from New York  NY 
26,2,318,"""Chopped Catwalk""",All of the contestants are models as well as professional chefs.,"October 15, 2015",Marc Murphy,Marcus Samuelsson,Maneet Chauhan," tuna in a bag, gazpacho, finger limes, kale chips "," sea bass, veggie tray with hummus, avocados, chia seeds "," strawberry lemonade, butter crackers, coconut fruit pops, cape gooseberries",Din Yates, Model/Chef & Restaurateur from New York  NY , Crosby Tailor, Model/Chef & Entrepreneur from  Los Angeles  CA , Danika Brysha, Model/Private Chef from New York  NY , Ashley Holt, Model/Pastry Chef & Owner from Brooklyn  NY 
26,3,319,"""Food Truck Kitchen""",All of the competitors in this episode owned food trucks.,"October 27, 2015",Scott Conant,Maneet Chauhan,Geoffrey Zakarian," bao buns, cracklings, duck sauce, gyros "," bibimbap, rainbow chard, fresh chickpeas, footlong hot dogs "," doughnuts, green apricots, cocoa hazelnut spread, ice cream bars",Franky Karagiorgos, Chef and Co-Owner from New York  NY , Jonny Silverberg, Chef & Owner from Seattle  WA , Leah Wilcox, Chef & Owner from Chicago  IL , Hilda Hilman, Chef & Owner  from Seattle  WA 
26,4,320,"""Military Vets""",All contestants are veterans of the United States Military Services.,"November 10, 2015",Marc Murphy,Maneet Chauhan,Chris Santo," roasted chicken, seven-layer dip, corn on the cob, scalloped potatoes "," meatloaf, corn muffin mix, green tomatoes, yogurt parfait "," lemonade, ballpark peanuts, puffed rice cereal bars, peaches",Ellen Adams, Personal Chef/Air Force Veteran from Rochester  NY , Alex Magloire, Executive Chef/Navy Veteran from Asbury Park  NJ , Johnny Ulloa, Sous Chef/Coast Guard Veteran from New York  NY , Roshara Sanders, Executive Chef/Army Veteran from Milford  CT 
26,5,321,"""Chopped Desserts!""","Four pastry chefs competed in this episode where all 3 rounds were dessert rounds. Each round focused on a different dessert: chocolate, candy, and cake. The 1st round was extended to 30 minutes instead of the usual 20 minutes. The 3rd round was 60 minutes instead of 30 to allow the chefs enough time to bake and decorate their cakes.","November 23, 2015",Geoffrey Zakarian,Alex Guarnaschelli,Johnny Iuzzini," (chocolate round) Mississippi mud pie, brie cheese, Italian maraschino cherries, potato crisps "," (candy round) champagne, wafer sheets, cookie spread, green strawberries "," (cake round) avocado, rangpur limes, hazelnut flour, Persian rice",Sarah Mispagel, Pastry Chef  Nightwood  Chicago  IL , Anthony Hunt, Corporate Pastry Chef  Restaurant People Group  South Florida  FL , Jasmin Bell, Manager & Pastry Chef  Le Rêve Bakery & Café  Seattle  WA , Mathew Rice, Executive Pastry Chef  Girl & The Goat  Chicago  IL 
26,6,322,"""In-Laws, in Teams!""","Teams of two amateur cooks, each consisting of a mother-in-law (MIL) and her daughter-in-law (DIL), competed in this episode. The wine purse in the first round contained white Bordeaux. The imitation sunny-side up eggs in the second round were made from tofu and soy.","December 10, 2015",Amanda Freitag,Alex Guarnaschelli,Maneet Chauhan," lasagna, arugula, onion blossom chips, wine purse "," brisket, imitation sunny-side up eggs, mashed potatoes, leeks "," monkey bread, feijoa, cream cheese, orange blossom water",Ada Santa ,MIL & Jaime Santa  DIL  from New York  NY , Joan Low ,MIL & Linda Low  DIL  from Raleigh  NC , Kathie Leonard ,MIL & Danielle Leonard  DIL  from Salem  MA , Mara Cristiani ,MIL & Gena Cristiani  DIL  from Sarasota  FL 
26,7,323,"""Family Affair""",This is the second time all four contestants were family members that work at the same family restaurant.,"December 15, 2015",Geoffrey Zakarian,Maneet Chauhan,Marc Murphy," pork roll, baby eggplant, pizza dough, Chinese spaghetti sauce "," chicken breasts, tzatziki, stinging nettles, cornbread stuffing "," cassata cake, white chocolate chips, blood orange crackers, pine nuts",Ryan Profetto ,Heather's son  College Student from Milford  CT , John Profetto ,Heather's husband  Business Manager & Co-Owner from Milford  CT , Kate Campbell ,Heather's sister  Chef de Cuisine from Milford  CT , Heather Profetto, Chef & Co-Owner from Milford  CT 
26,8,324,"""Battle of the Grandpas""",All competitors were amateur cooks and grandfathers. The contestants were given 30 minutes in the appetizer round instead of the usual 20. Gary Stamm is the father of former Chopped contestant April Stamm.,"December 17, 2015",Aarón Sánchez,Maneet Chauhan,Chris Santo," bologna, mango salsa, frozen hashbrowns, maple egg cream "," London broil, rutabaga, broccoli rabe, peanut butter taffy bites "," strawberry pretzel pie, kiwi, chocolate milk powder, orange-flavored liqueur",Artie Wachtel, Retired Sales Manager from New York  NY , Stanley Myers, Retired Postal Office Worker from Sayreville  NJ , Gary Stamm, Community Theater Performer from Pleasant Prairie  WI , Nelson Andreu, Chief of Police from Miami  FL 
27,1,325,"""Knife Strife""","Guest judge Christian Petroni was a former Chopped champion (Episode 4.5 – ""Mussels Mastery & Cotton Candy Can-Do"") and Chopped tournament competitor (Episode 5.7 - ""$50,000 Tournament: Round Four"").","January 5, 2016",Christian Petroni,Alex Guarnaschelli,Chris Santo," arancini, blood sausage, lemongrass, ajo dulce "," porchetta, popcorn on the cob, okra, crema catalana "," lardo, smoked maple syrup, pizza dough, tartufo",Gary Ly, Sous Chef from Houston  TX , Dawn Burrell, Line Cook from Houston  TX , Jason Kerr, Chef & Food Sourcer from Houston  TX , Raffaele Ronca, Chef & Restaurateur from New York  NY 
27,2,326,"""Healthy Rivalry""","Contestants were asked to cook healthy, nutritious, and lighter dishes, with nothing too fatty or heavy.","January 12, 2016",Geoffrey Zakarian,Maneet Chauhan,Scott Conant," beets, 100-calorie almond pack, cauliflower pizza crust, Chilean sea bass fillets "," bone broth, teff, edamame noodles, grass-fed beef strip loin "," ghee, coconut sugar, guava, chickpea flour",Aviv Regev, Private Chef from New York  NY , Charles Chen, Private Chef from New York  NY , Brenden Darby, Private Chef from San Francisco  CA , Jesa Henneberry, Private Chef from New York  NY 
27,3,327,"""Brunch Battle""",Contestants were asked to make brunch-themed dishes.,"January 19, 2016",Aarón Sánchez,Alex Guarnaschelli,Chris Santo," smoked whitefish, deviled quail eggs, biscuits, bloody mary "," duck eggs, (whole) chicken, waffles, mimosa "," farm fresh eggs, cappuccino, Concord grape doughnuts, poached pears",Nick Williams, Executive Chef from Brooklyn  NY , Kirsten Hocker, Chef from  Brooklyn  NY , Zack Northcutt, Executive Chef from Austin  TX , Eric Gibbs, Sous Chef from San Francisco  CA 
27,4,328,"""Chinese New Year""",This was a Chinese New Year-themed episode.,"January 26, 2016",Scott Conant,Amanda Freitag,Chris Cheun," Peking duck, leeks, Chinese New Year eight-treasure rice pudding, Chinese sausage "," chicken feet, turnip cakes, dragon fruit, whole red snapper "," giant fortune cookies, good luck candy, ginger beer, winter melon",Justin Herrera, Sous Chef from New York  NY , Vanarin Kuch, Pastry Chef from New York  NY , Martin Weaver, Chef de Cuisine from Houston  TX , Kathy Fang, Executive Chef from San Francisco  CA 
27,5,329,"""Tailgate Party""","The theme of this episode was tailgating; the baskets were replaced by coolers. The contestants were amateur cooks and experienced tailgaters. Instead of the traditional chefs coats, the contestants wore specially made Chopped football jerseys.","February 2, 2016",Aarón Sanchez,Chris Santos,Eddie Jackson," quinoa burgers, deep-fried bacon, screwdriver, hoagie dip "," bratwurst, shredded cheddar, beer, grilled corn "," corn chip bars, rum & cola, blackberries, bananas",Kirk Bronsord, from Oakland  CA , Nick Caputi, from Queens  NY , Tim Lyons, from Houston  TX , Jill Falgiano, from West New York  NJ 
27,6,330,"""Bacon Boys""","This was a bacon-themed episode, featuring bacon in every basket. The ""bacon"" gummies in the third round were strawberry gummies. All the chefs were males and wore specially made bacon T-shirts and blue jean aprons instead of the chefs coats.","February 7, 2016",Scott Conant,Maneet Chauhan,Chris Santo," slab bacon, baby turnips, bacon-flavored popcorn, banana jam "," ham hock, dandelion greens, bacon ice cream, back bacon "," ""bacon & egg"" gummies, figs, chicharron, lardo",Nick Lisotto, Executive Chef from Philadelphia  PA , Gray Rollin, Chef & Restaurateur from Santa Rosa  CA , Coby Farrow, Executive Chef from New York  NY , Jay Abrams, Executive Chef from San Francisco  CA 
27,7,331,"""Love Bites""","This episode had a theme of love, with each basket containing one or more ingredients believed to be aphrodisiacs.","February 9, 2016",Geoffrey Zakarian,Alex Guarnaschelli,Scott Conant," oysters, avocados, chocolate-covered strawberries, whipped cream vodka "," figs, mead, asparagus, bone-in rib eye "," chocolate mousse, eclairs, pomegranates, port wine",Mark Bailey, Private Chef from New York  NY , Giovanna Alvarez, Executive Sous Chef from New York  NY , Rafaelle Solinas, Executive Chef from New York  NY , Joshua Van Den Berg, Line Cook from New York  NY 
27,8,332,"""Ready for Redemption""",very contestant was a former runner-up seeking redemption.,"February 16, 2016",Chris Santos,Maneet Chauhan,Geoffrey Zakarian," pig snouts, fava beans, teething biscuits, strawberry daiquiri jam "," cheesecake, leg of lamb, garam masala, bitter melon "," cocoa nibs, durian paste, raspberries, coconut milk",Gilbert Delgado ,"Episode 20.12 – ""Chopped Chops"" ", Danika Brysha ,"Episode 26.2 – ""Chopped Catwalk"" ", Anastacia Song ,"Episode 22.8 – ""Late Night Food Brawl"" ", Timothy Witcher ,"Episode 22.12 – ""Thrill of the Grill"" "
27,9,333,"""Cooking Caribbean""","This was a Caribbean themed episode. Contestants were asked to create Caribbean-inspired dishes and each basket contained Caribbean ingredients. During the entrée round, contestants were given a hammer to open the coconut. The callaloo greens in the entrée round appeared to be the variety from taro leaves.","February 23, 2016",Aarón Sanchez,Tino Feliciano,John Suley," shrimp, papaya, canned spiced ham, mofongo "," goat chops, chickpeas, callaloo, whole coconuts "," sugarcane, mangoes, sweet potatoes, rum",Keisha Bocage, Chef & Owner from Houston  TX , Rocco Nankervis, Executive Chef from Houston  TX , Brandon Soverall, Chef de Cuisine from Houston  TX , Andre Fowles, Sous Chef from New York  NY 
27,10,334,"""Truck Stop Stars""",very contestant was a chef at a truck stop.,"March 1, 2016",Amanda Freitag,Chris Santos,Aarón Sanchez," red-eye gravy, fennel, black garlic, meatloaf mix "," grits, cola, purple cauliflower, cube steak "," french fries, cactus pears, apple pie, bacon",Jake Harbeck, Chef from Walcott  IA , Shaun Yazbek, Executive Chef from Bangor  ME , Eva Dix, Chef & Co-Owner from McLean  IL , J.R. Tiger, Chef from Harrisburg  PA 
27,11,335,"""Beg, Borrow or Eel""",,"March 8, 2016",Chris Santos,Maneet Chauhan,Aarón Sánchez," uova da raviolo, comté cheese, fresh bacon bits, eel "," Italian olive salad, Cornish hens, crisp bread, puntarelle "," satay peanut sauce, ripe yellow plantains, chocolate snack pies, black vinegar",Haley Sausner, Chef de Cuisine from San Francisco  CA , Jase Grimm, Executive Chef from Brookhaven  NY , Ryan Lory, Executive Sous Chef from New York  NY , Shannen Tune, Food Truck Chef from Houston  TX 
27,12,336,"""Chopped: College""",very contestant was an amateur cook and college undergraduate.,"March 15, 2016",Chris Santos,Alex Guarnaschelli,Maneet Chauhan," rice & beans, chicken cutlets, tomato soup, energy drink "," coffee, Brussels sprouts, frozen mac & cheese, skirt steak "," chocolate hazelnut spread, graham cracker cereal, rambutans, lime gelatin shots",Danielle Wilk, from Rutgers University in New Brunswick  NJ , Alvin Zhou, from Columbia University in New York  NY , Drew Friedman, from Lafayette College in Easton  PA , Jenn Cheng, from New York University in New York  NY 
27,13,337,"""The Bold and the Baconful""","very contestant was a ""street food chef"" from Houston, Texas.","March 17, 2016",Chris Santos,Marcus Samuelsson,Nick Anderer," bacon-wrapped grilled cheese sandwiches, truffle carpaccio, baby eggplant, clotted cream "," pork shoulder, tea noodles, kohlrabi, agua fresca "," honeycrisp apples, extra-spicy cheese puffs, quick cook rice, French butter",Sean Carroll, Chef from Houston  TX , Angela Rowley, Chef from Houston  TX , Martin Horsey, Chef from Houston  TX , Justin Turner, Chef & Restaurateur from Houston  TX 
28,1,338,"""Chopped Champions: Battle 1, Best of the Best""",First episode of a five-part tournament. Four returning champions compete for a spot in the tournament finale. The beer flight in the second round contained four different types of beer.,"March 29, 2016",Aarón Sánchez,Maneet Chauhan,Marc Murphy," soft pretzels, green romano beans, papaya, pig ears "," grouper, frilly mustard greens, bread cheese, beer flight "," curry cooking sauce, lady apples, coconut brittle, baby artichokes",Stacey Givens ,"Episode 22.13 – ""Scoops On!"" ", Daniel Sharp ,"Episode 23.1 – ""Every 'Wich Way"" ", Elderoy Arendse ,"Episode 20.13 – ""Pesto Chango"" ", Meny Vaknin ,"Episode 22.11 – ""Hot Stuff""  advances to final round "
28,2,339,"""Chopped Champions: Battle 2, Fighting Shape""","Second episode of a five-part tournament. While Chopped normally obscures brand names, the smoked sausage in the first round was a product of Chopped sponsor Hillshire Farms. The frozen yogurt in the first round was not flavored.","April 5, 2016",Aarón Sánchez,Alex Guarnaschelli,Marcus Samuelsson," smoked sausage, cavatappi, Napa cabbage, frozen yogurt "," beef kidneys, petite French lentils, beets, pickled cockles "," queso arrocero, peanut butter chocolate wafers, raspberry spoon fruit, dandelion coffee",Georgeann Leaming ,"Episode 19.9 – ""Peri Peri Determined"" ", Thiago Silva ,"Episode 22.10 – ""Fabulous Baker Boys"" ", Dafna Mizrahi ,"Episode 24.12 – ""Chopped Gastropub"" ", Adam Greenberg ,"Episode 22.8 – ""Late Night Food Brawl""  advances to final round "
28,3,340,"""Chopped Champions: Battle 3, Chefs in Control""","Third episode of a five-part tournament. Guest judge Christian Petroni was a former Chopped champion (Episode 4.5 – ""Mussels Mastery & Cotton Candy Can-Do"") and Chopped tournament competitor (Episode 5.7 - ""$50,000 Tournament: Round Four"").","April 12, 2016",Geoffrey Zakarian,Chris Santos,Christian Petroni," chicken livers, cinnamon whiskey, edamame, grape licorice "," duck breasts, harissa, pear frangipane tart, orange sherbet "," bison jerky, sour cream, freeze-dried blueberries, egg waffles",Raffaele Ronca ,"Episode 27.1 – ""Knife Strife"" ", Mo Major ,"Episode 23.7 – ""T.G.I. Fry-Day"" ", Roro Morales ,"Episode 22.1 – ""Mummies and Gummies"" ", Deborah Caplan ,"Episode 25.10 – ""Oktoberfest!""  advances to final round "
