ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Itnok,0,1,0,0,0,0,0,1,145,1416
barr,0,0,0,1,0,0,0,1,145,1416
Genesee Beer,0,0,1,0,0,0,0,1,145,1416
bluebird,0,0,1,0,0,0,0,1,145,1416
boiling point,0,0,1,0,0,0,0,1,145,1416
Gigante,0,0,1,0,0,0,0,1,145,1416
break,0,0,1,0,0,0,0,1,145,1416
Innocent,0,0,0,1,0,0,0,1,145,1416
Associated Wholesale Grocers,0,0,1,0,0,0,0,1,145,1416
Inca Kola,0,0,1,0,0,0,0,1,145,1416
caramulo,0,0,0,1,0,0,0,1,145,1416
carlsberg,0,0,1,0,0,0,0,1,145,1416
casino,0,0,0,1,0,0,0,1,145,1416
Bobby,0,1,0,0,0,0,0,1,145,1416
estrela,0,0,0,1,0,0,0,1,145,1416
feiraco,0,0,1,0,0,0,0,1,145,1416
fnac,0,1,0,0,0,0,0,1,145,1416
french's,0,0,1,0,0,0,0,1,145,1416
Ampm,0,0,1,0,0,0,0,1,145,1416
Amerifoods,0,0,1,0,0,0,0,1,145,1416
Hoegaarden,0,0,1,0,0,0,0,1,145,1416
knoppers,0,0,0,0,0,1,0,1,145,1416
krill bait,0,0,1,0,0,0,0,1,145,1416
lactogal,0,0,0,1,0,0,0,1,145,1416
Hilshire,0,0,1,0,0,0,0,1,145,1416
lotto,0,0,1,0,0,0,0,1,145,1416
lupilu,0,0,1,0,0,0,0,1,145,1416
American spirit,0,0,0,0,0,1,0,1,145,1416
GoodMark,0,0,1,0,0,0,0,1,145,1416
manhattan,0,0,1,0,0,0,0,1,145,1416
manteiga coimbra,0,0,0,0,1,0,0,1,145,1416
American Licorice Company,0,0,1,0,0,0,0,1,145,1416
American Gourmet,0,0,1,0,0,0,0,1,145,1416
innocent,1,0,0,0,0,0,0,1,145,1416
imperial,0,0,0,0,1,0,0,1,145,1416
Home depot,0,0,1,0,0,0,0,1,145,1416
halwani-brothers,0,0,1,0,0,0,0,1,145,1416
frize,0,0,1,0,0,0,0,1,145,1416
fructis,0,0,0,1,0,0,0,1,145,1416
frutley,0,0,1,0,0,0,0,1,145,1416
fuente primavera,0,0,0,1,0,0,0,1,145,1416
Anheuser-Busch,0,0,1,0,0,0,0,1,145,1416
Honest Kids,0,0,1,0,0,0,0,1,145,1416
hardee's,0,0,1,0,0,0,0,1,145,1416
huer,0,0,1,0,0,0,0,1,145,1416
Home storage plus,0,0,1,0,0,0,0,1,145,1416
Amstel malt,0,0,0,1,0,0,0,1,145,1416
highland spring,0,0,0,1,0,0,0,1,145,1416
highland springs,0,1,0,0,0,0,0,1,145,1416
hot cheeto,0,0,0,1,0,0,0,1,145,1416
hovis,0,1,0,0,0,0,0,1,145,1416
chevron,0,0,1,0,0,0,0,1,145,1416
Bonux 57gm,0,1,0,0,0,0,0,1,145,1416
Terra Mia Coffee,0,0,0,0,1,0,0,1,145,1416
Correio,0,0,1,0,0,0,0,1,145,1416
Pom Pom,0,0,1,0,0,0,0,1,145,1416
Popweaver,0,0,1,0,0,0,0,1,145,1416
Country choice,0,0,1,0,0,0,0,1,145,1416
Power,0,0,1,0,0,0,0,1,145,1416
Costa,0,0,1,0,0,0,0,1,145,1416
FeinkÃ¤serei,1,0,0,0,0,0,0,1,145,1416
Corte de Gusto,0,0,0,1,0,0,0,1,145,1416
Prawn Cracker,0,1,0,0,0,0,0,1,145,1416
Tender Love,0,0,1,0,0,0,0,1,145,1416
Corny,0,0,0,1,0,0,0,1,145,1416
Corney,0,1,0,0,0,0,0,1,145,1416
CornPuff,0,1,0,0,0,0,0,1,145,1416
Primarov,0,0,1,0,0,0,0,1,145,1416
Prime Source,0,0,0,0,0,1,0,1,145,1416
Princes gate,0,0,0,1,0,0,0,1,145,1416
Copenhagen,0,0,1,0,0,0,0,1,145,1416
Polianov,0,0,1,0,0,0,0,1,145,1416
Polar Seltzer,0,0,1,0,0,0,0,1,145,1416
Polar,0,0,1,0,0,0,0,1,145,1416
Plackerâ€™s,0,0,1,0,0,0,0,1,145,1416
Mamita,0,0,1,0,0,0,0,1,145,1416
F festival,0,0,0,1,0,0,0,1,145,1416
Crystal Ice,0,1,0,0,0,0,0,1,145,1416
FARD,0,1,0,0,0,0,0,1,145,1416
Perla,0,1,0,0,0,0,0,1,145,1416
Peroni,0,0,1,0,0,0,0,1,145,1416
Cristal,0,0,1,0,0,0,0,1,145,1416
Crispy Tilapia,0,1,0,0,0,0,0,1,145,1416
Mal,0,0,1,0,0,0,0,1,145,1416
Crisco,0,0,0,1,0,0,0,1,145,1416
Piacere al Tiramisu,0,0,1,0,0,0,0,1,145,1416
Pickup,0,1,0,0,0,0,0,1,145,1416
Pilot,0,1,0,0,0,0,0,1,145,1416
Pinar,0,0,0,1,0,0,0,1,145,1416
Plackers,0,0,1,0,0,0,0,1,145,1416
Mac's,0,0,1,0,0,0,0,1,145,1416
Compal,0,0,1,0,0,0,0,1,145,1416
Pueblo,0,0,0,1,0,0,0,1,145,1416
Rainbow Ben,0,1,0,0,0,0,0,1,145,1416
Ram Vinegar,0,0,1,0,0,0,0,1,145,1416
Clover Chips,0,0,1,0,0,0,0,1,145,1416
M&S,0,0,0,0,1,0,0,1,145,1416
Raw,0,0,1,0,0,0,0,1,145,1416
Razor,0,0,1,0,0,0,0,1,145,1416
Clarky's,0,0,0,1,0,0,0,1,145,1416
Ciroc,0,0,0,1,0,0,0,1,145,1416
Ciff,1,0,0,0,0,0,0,1,145,1416
LÃ­der,0,0,1,0,0,0,0,1,145,1416
Red rock deli,0,0,1,0,0,0,0,1,145,1416
Refrescos do Atlantico,0,0,0,1,0,0,0,1,145,1416
Renova,0,0,0,1,0,0,0,1,145,1416
Luso,0,0,0,1,0,0,0,1,145,1416
Choco Chop,0,1,0,0,0,0,0,1,145,1416
Luckys,0,0,1,0,0,0,0,1,145,1416
Raison Sunpresso,0,0,1,0,0,0,0,1,145,1416
Cloverhill,0,0,1,0,0,0,0,1,145,1416
Pueblo Lindo,0,1,0,0,0,0,0,1,145,1416
Rabina drink,0,0,0,1,0,0,0,1,145,1416
Pump,0,0,1,0,0,0,0,1,145,1416
MSK,0,0,1,0,0,0,0,1,145,1416
Festival F,1,0,0,0,0,0,0,1,145,1416
Pure Protein,1,0,0,0,0,0,0,1,145,1416
MH,0,0,0,1,0,0,0,1,145,1416
Fiber One,0,0,1,0,0,0,0,1,145,1416
Purina,0,0,1,0,0,0,0,1,145,1416
Coles,0,0,1,0,0,0,0,1,145,1416
Coffee-mate,0,0,1,0,0,0,0,1,145,1416
Coconut candy,0,0,1,0,0,0,0,1,145,1416
Coconut Candy,0,0,1,0,0,0,0,1,145,1416
FiberOne Bar,0,0,1,0,0,0,0,1,145,1416
Co-op,0,0,1,0,0,0,0,1,145,1416
RS Harmony,0,0,1,0,0,0,0,1,145,1416
RVS,0,0,1,0,0,0,0,1,145,1416
Penzoil,0,0,1,0,0,0,0,1,145,1416
Penacova,0,0,0,1,0,0,0,1,145,1416
Peanut Chews,0,0,1,0,0,0,0,1,145,1416
Dr pepper,0,0,1,0,0,0,0,1,145,1416
National Lottery,0,0,1,0,0,0,0,1,145,1416
Dos Maures,0,0,1,0,0,0,0,1,145,1416
Natures Own,0,1,0,0,0,0,0,1,145,1416
Naturipe,0,0,0,1,0,0,0,1,145,1416
Monte Rios,0,0,0,1,0,0,0,1,145,1416
Eat Natural,0,0,0,0,1,0,0,1,145,1416
New York Presbiterian,0,0,1,0,0,0,0,1,145,1416
Dole,0,0,1,0,0,0,0,1,145,1416
Eight o Clock,0,0,1,0,0,0,0,1,145,1416
Eis bonbon,0,0,1,0,0,0,0,1,145,1416
Monchique,0,0,0,1,0,0,0,1,145,1416
Nippys,0,0,1,0,0,0,0,1,145,1416
Nobre,0,0,0,0,0,1,0,1,145,1416
Moam,0,0,1,0,0,0,0,1,145,1416
Noosa,0,0,1,0,0,0,0,1,145,1416
Dos equis,0,0,1,0,0,0,0,1,145,1416
Naked Juice,0,0,0,1,0,0,0,1,145,1416
Nutri Grain Bar,0,1,0,0,0,0,0,1,145,1416
Dr. McGillyCuddy,0,0,0,1,0,0,0,1,145,1416
Earrings,0,0,1,0,0,0,0,1,145,1416
Multirich FC,0,1,0,0,0,0,0,1,145,1416
Mr McGillyCuddy,0,0,0,1,0,0,0,1,145,1416
E&J Gallo Winery,0,0,1,0,0,0,0,1,145,1416
Mr Boston,0,0,0,1,0,0,0,1,145,1416
Muncho's,0,0,1,0,0,0,0,1,145,1416
Munchos Chips,0,0,1,0,0,0,0,1,145,1416
Musketeers,0,0,1,0,0,0,0,1,145,1416
Mount franklin,0,0,0,1,0,0,0,1,145,1416
Moskovskaya,0,0,1,0,0,0,0,1,145,1416
MÃ¼llermilch,0,0,0,1,0,0,0,1,145,1416
Morrisons,0,0,0,1,0,0,0,1,145,1416
Dutch,0,0,1,0,0,0,0,1,145,1416
Drumstick,0,0,1,0,0,0,0,1,145,1416
Nadler,0,0,0,0,1,0,0,1,145,1416
Dixie Cup,0,0,1,0,0,0,0,1,145,1416
Nutri Star,0,1,0,0,0,0,0,1,145,1416
Pbr,0,0,1,0,0,0,0,1,145,1416
Eristoff,0,0,1,0,0,0,0,1,145,1416
Materna,0,0,1,0,0,0,0,1,145,1416
PET,0,0,0,1,0,0,0,1,145,1416
PMFTC,0,0,1,0,0,0,0,1,145,1416
Danidoff,0,0,1,0,0,0,0,1,145,1416
Marvel,0,0,1,0,0,0,0,1,145,1416
Pabst Blue Ribbon,0,0,1,0,0,0,0,1,145,1416
Marks and Spencer (M&S),0,0,1,0,0,0,0,1,145,1416
Padoca,0,0,1,0,0,0,0,1,145,1416
DON SIMON,0,0,0,1,0,0,0,1,145,1416
Mark and spenceir,0,0,0,1,0,0,0,1,145,1416
Parisienne,0,0,1,0,0,0,0,1,145,1416
Cway Nutri milk,0,0,0,1,0,0,0,1,145,1416
Parrot,0,0,1,0,0,0,0,1,145,1416
Eukalyptus,0,0,1,0,0,0,0,1,145,1416
Payday,0,0,1,0,0,0,0,1,145,1416
Matutano,0,0,0,1,0,0,0,1,145,1416
Other Half beer,0,0,1,0,0,0,0,1,145,1416
Dithmarscher,0,0,1,0,0,0,0,1,145,1416
De Crystal,0,0,0,1,0,0,0,1,145,1416
NutriStar,0,1,0,0,0,0,0,1,145,1416
Nutrite,0,1,0,0,0,0,0,1,145,1416
Milk 2 Go,1,0,0,0,0,0,0,1,145,1416
Milchschnitte,0,0,1,0,0,0,0,1,145,1416
Mi Sedaap,0,1,0,0,0,0,0,1,145,1416
Ob,0,0,1,0,0,0,0,1,145,1416
Mexico,0,0,1,0,0,0,0,1,145,1416
Mell,0,0,1,0,0,0,0,1,145,1416
Debevoise & Plimpton,0,0,1,0,0,0,0,1,145,1416
Elvanse,0,0,0,0,0,0,1,1,145,1416
Olukai LLC,0,0,1,0,0,0,0,1,145,1416
DeBevoise & Plimpton,0,0,1,0,0,0,0,1,145,1416
One stop,0,0,1,0,0,0,0,1,145,1416
Orakes coffee cakes,0,0,1,0,0,0,0,1,145,1416
McCormick,0,0,1,0,0,0,0,1,145,1416
Lucky Super Soft,0,0,1,0,0,0,0,1,145,1416
Chivas Regal,0,0,0,0,1,0,0,1,145,1416
Rfgf foods,0,0,1,0,0,0,0,1,145,1416
Cambell,0,0,1,0,0,0,0,1,145,1416
LA Colors,0,0,1,0,0,0,0,1,145,1416
Star Margarine,0,1,0,0,0,0,0,1,145,1416
Calshake,0,0,1,0,0,0,0,1,145,1416
Fox,0,0,0,0,1,0,0,1,145,1416
Stater Bros,0,1,0,0,0,0,0,1,145,1416
Steinlager Cap,0,0,1,0,0,0,0,1,145,1416
Stella Artois,0,0,1,0,0,0,0,1,145,1416
L&P,0,0,1,0,0,0,0,1,145,1416
Calippo,0,1,0,0,0,0,0,1,145,1416
Calipo,0,0,1,0,0,0,0,1,145,1416
CVS Pharmacy,0,1,0,0,0,0,0,1,145,1416
COMPAL,0,0,1,0,0,0,0,1,145,1416
Sticky bates,0,0,1,0,0,0,0,1,145,1416
Still summer fruits,0,0,0,1,0,0,0,1,145,1416
Stone and Wood,0,0,1,0,0,0,0,1,145,1416
Calypso,0,0,0,1,0,0,0,1,145,1416
Splitarillos,0,0,1,0,0,0,0,1,145,1416
Stork,0,0,0,1,0,0,0,1,145,1416
LCM,0,0,1,0,0,0,0,1,145,1416
Skull candy,0,0,1,0,0,0,0,1,145,1416
Lakeside,0,0,1,0,0,0,0,1,145,1416
Lacticinios de Paiva,1,0,0,0,0,0,0,1,145,1416
Smart Food,0,0,1,0,0,0,0,1,145,1416
Smiths chips,0,0,0,1,0,0,0,1,145,1416
Flowers Inc Balloons,0,0,1,0,0,0,0,1,145,1416
Capri Sonne,1,0,0,0,0,0,0,1,145,1416
Softee,0,0,1,0,0,0,0,1,145,1416
Softis,0,0,0,1,0,0,0,1,145,1416
Fork,0,0,1,0,0,0,0,1,145,1416
"Candy Line Food Manufacturing, Corporation",0,1,0,0,0,0,0,1,145,1416
Canadian Whiskey,0,0,0,0,1,0,0,1,145,1416
Sonic,0,0,1,0,0,0,0,1,145,1416
Canada Dry,0,0,1,0,0,0,0,1,145,1416
Cambels,0,0,1,0,0,0,0,1,145,1416
CDO Hotdog 1kg,0,0,1,0,0,0,0,1,145,1416
Strawberrita,0,0,1,0,0,0,0,1,145,1416
Landhaus,0,0,1,0,0,0,0,1,145,1416
Brampton house,0,0,1,0,0,0,0,1,145,1416
Koffee Kup Bakery,0,1,0,0,0,0,0,1,145,1416
Boston,0,0,1,0,0,0,0,1,145,1416
Sweet Woods Leaf,0,0,1,0,0,0,0,1,145,1416
Kirklans signature,0,0,0,1,0,0,0,1,145,1416
Multigrain,0,1,0,0,0,0,0,1,145,1416
Sylvania,0,0,1,0,0,0,0,1,145,1416
TD Bank,0,0,1,0,0,0,0,1,145,1416
TGI Friday's,0,0,0,0,0,1,0,1,145,1416
Bombay Chowk,0,0,1,0,0,0,0,1,145,1416
Frank and Honest,0,0,1,0,0,0,0,1,145,1416
Tates,0,0,1,0,0,0,0,1,145,1416
Tayto Crisps,0,0,1,0,0,0,0,1,145,1416
Tecate,0,0,1,0,0,0,0,1,145,1416
Bollycao,0,0,0,1,0,0,0,1,145,1416
Kenco,0,0,0,1,0,0,0,1,145,1416
Brace,1,0,0,0,0,0,0,1,145,1416
Brandt,0,1,0,0,0,0,0,1,145,1416
Strawberry Roll,0,1,0,0,0,0,0,1,145,1416
Bronx Zoo,0,0,0,1,0,0,0,1,145,1416
KÃ¼hne,0,0,1,0,0,0,0,1,145,1416
StÃ¶rtebecker,0,0,1,0,0,0,0,1,145,1416
CARAMULO,0,0,0,1,0,0,0,1,145,1416
Kyivstar,0,0,1,0,0,0,0,1,145,1416
Kulana,0,0,1,0,0,0,0,1,145,1416
Sun Glo,0,0,1,0,0,0,0,1,145,1416
Kronenberg,0,0,1,0,0,0,0,1,145,1416
Sunbelt Bakery,0,0,0,0,1,0,0,1,145,1416
Foxes,0,0,1,0,0,0,0,1,145,1416
Sunset,0,0,1,0,0,0,0,1,145,1416
Sunset tomato,0,0,1,0,0,0,0,1,145,1416
Burn,0,0,1,0,0,0,0,1,145,1416
Krinos,0,0,1,0,0,0,0,1,145,1416
Brown Smoking,0,0,1,0,0,0,0,1,145,1416
Foxy Organic,0,1,0,0,0,0,0,1,145,1416
Sizeh,0,0,1,0,0,0,0,1,145,1416
Sirma,0,0,0,1,0,0,0,1,145,1416
Rhino69,0,0,1,0,0,0,0,1,145,1416
Loveâ€™s,0,0,0,0,0,1,0,1,145,1416
Love's,0,0,0,0,0,1,0,1,145,1416
Ruby Moon tag,0,0,1,0,0,0,0,1,145,1416
Lottery Ticket,0,0,1,0,0,0,0,1,145,1416
Fips,0,0,0,0,1,0,0,1,145,1416
Guerro,0,0,1,0,0,0,0,1,145,1416
Cherry Valley Market Place,0,0,1,0,0,0,0,1,145,1416
SC Johnson,0,0,1,0,0,0,0,1,145,1416
Cheezit,0,0,1,0,0,0,0,1,145,1416
First Ice Candy,0,1,0,0,0,0,0,1,145,1416
Cheeze It,0,1,0,0,0,0,0,1,145,1416
STP,1,0,0,0,0,0,0,1,145,1416
Sachet Water Nylon,0,1,0,0,0,0,0,1,145,1416
Sachsengold,0,0,1,0,0,0,0,1,145,1416
Sagler's,0,0,1,0,0,0,0,1,145,1416
Saguano,0,0,0,1,0,0,0,1,145,1416
Rothaus,0,0,1,0,0,0,0,1,145,1416
Rosatti,0,0,0,0,1,0,0,1,145,1416
Lite,0,0,1,0,0,0,0,1,145,1416
Lovilio,0,0,1,0,0,0,0,1,145,1416
Luckies,0,0,1,0,0,0,0,1,145,1416
Chio,0,0,0,1,0,0,0,1,145,1416
Luckau,0,0,1,0,0,0,0,1,145,1416
Chickfila,0,0,1,0,0,0,0,1,145,1416
ChickFilA,0,0,0,0,0,1,0,1,145,1416
Lucas,0,0,1,0,0,0,0,1,145,1416
Roark Capital Group,0,0,1,0,0,0,0,1,145,1416
Robinsons,0,0,0,1,0,0,0,1,145,1416
Rockstar,0,0,1,0,0,0,0,1,145,1416
Roll up,0,0,1,0,0,0,0,1,145,1416
Rolled Gold,0,0,1,0,0,0,0,1,145,1416
Rolling Supreme,0,0,1,0,0,0,0,1,145,1416
Rollton,0,0,0,1,0,0,0,1,145,1416
Rolo,0,0,1,0,0,0,0,1,145,1416
Loyal milk,0,1,0,0,0,0,0,1,145,1416
Cergal,0,0,1,0,0,0,0,1,145,1416
Saint Germain Bakery,0,0,1,0,0,0,0,1,145,1416
Capri sonne,0,0,1,0,0,0,0,1,145,1416
Serra da Estrela,0,0,0,1,0,0,0,1,145,1416
Shasta,0,0,1,0,0,0,0,1,145,1416
Flint Chipsters,0,0,1,0,0,0,0,1,145,1416
Shell,0,0,1,0,0,0,0,1,145,1416
Carnival Pop,0,0,1,0,0,0,0,1,145,1416
Carlâ€™s Jr.,0,0,1,0,0,0,0,1,145,1416
Carlton draught,0,0,1,0,0,0,0,1,145,1416
Shop Rite,0,0,0,1,0,0,0,1,145,1416
Sierra Nevada,0,0,1,0,0,0,0,1,145,1416
Sierra Nevada (beer),0,0,1,0,0,0,0,1,145,1416
Leibniz,0,0,0,1,0,0,0,1,145,1416
Captain Morgan,0,0,0,1,0,0,0,1,145,1416
Le snack,0,0,1,0,0,0,0,1,145,1416
Le Coq de France,1,0,0,0,0,0,0,1,145,1416
Latte Machiato,0,0,1,0,0,0,0,1,145,1416
Langnese,0,0,1,0,0,0,0,1,145,1416
Liebe Yogurt,0,0,0,0,1,0,0,1,145,1416
Fleer Corp,0,0,1,0,0,0,0,1,145,1416
San Benedetto,0,0,0,1,0,0,0,1,145,1416
Scotts Nature Scape,0,0,0,0,0,0,1,1,145,1416
Centra,0,0,1,0,0,0,0,1,145,1416
Sanford LP,0,0,1,0,0,0,0,1,145,1416
Celtic Pure,0,0,0,1,0,0,0,1,145,1416
Sangria,0,0,1,0,0,0,0,1,145,1416
First street,0,0,0,1,0,0,0,1,145,1416
Saratoga Spring,0,0,0,1,0,0,0,1,145,1416
Saratoga Springs,0,0,0,1,0,0,0,1,145,1416
Sather's Gummy Worms,0,0,1,0,0,0,0,1,145,1416
Five Alive,0,0,1,0,0,0,0,1,145,1416
Casal Garcia,0,0,1,0,0,0,0,1,145,1416
Schokololly,0,0,1,0,0,0,0,1,145,1416
Schulte,0,0,1,0,0,0,0,1,145,1416
Schwartau,0,1,0,0,0,0,0,1,145,1416
SchÃ¶fferhofer,0,0,1,0,0,0,0,1,145,1416
Scotts Black Mulch,0,1,0,0,0,0,0,1,145,1416
Cherry Valley marketplace,0,0,1,0,0,0,0,1,145,1416
