timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
4/28/2021 12:35:28,45-54,Utilities & Telecommunications,Sr Manager Business Operations,"Support teams with reporting, administration functions, governance, process, ect",118000,23600,USD,NA,NA,United States,Georgia,Alpharetta,21 - 30 years,21 - 30 years,Some college,Woman,White
4/28/2021 12:35:37,25-34,Recruitment or HR,Human Resources Specialist,NA,72000,0,CAD,NA,NA,Canada,NA,"Grande Prairie, AB",5-7 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:35:40,35-44,Computing or Tech,Project Manager,"Not an engineering project manager or an agile PM, I work for Support",82000,NA,USD,NA,NA,United States,California,Irvine,11 - 20 years,2 - 4 years,College degree,Man,White
4/28/2021 12:35:52,45-54,Property or Construction,Payroll Administrator,I'm the only one in the payroll dept. Plus I do a ton of other things at my office not related to payroll,52000,10000,USD,NA,NA,USA,New Jersey,Fords,31 - 40 years,11 - 20 years,High School,Woman,White
4/28/2021 12:36:07,25-34,Computing or Tech,Engineering Manager,NA,210000,240000,USD,NA,NA,United States,California,San Francisco,5-7 years,5-7 years,Master's degree,Man,White
4/28/2021 12:36:36,45-54,Transport or Logistics,Technical Advisor,actually a senior software engineer,140845,3200,USD,NA,NA,USA,Utah,Salt Lake City,31 - 40 years,21 - 30 years,College degree,Man,Another option not listed here or prefer not to answer
4/28/2021 12:36:38,35-44,Engineering or Manufacturing,Structural Division Manager,NA,137000,10000,USD,NA,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
4/28/2021 12:36:44,25-34,Agriculture or Forestry,Sales and Outreach Manager,I manage sales and donations of organic produce and meat for an agricultural non-profit. It's a small farm tucked into and supported by a larger non-profit with agricultural & economic interests.,55000,0,USD,NA,NA,United States,New York,"Cold Spring, NY",5-7 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:36:48,45-54,Health care,Revenue Cycle Director,NA,160000,10000,USD,NA,NA,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:37:01,55-64,Education (Higher Education),HR Director,NA,152000,0,USD,NA,NA,US,Kentucky,Lexington,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/28/2021 12:37:02,25-34,Business or Consulting,Engagement manager,NA,110000,10000,GBP,NA,NA,United Kingdom,NA,London,5-7 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:37:16,35-44,Hospitality & Events,Dining Services Supervisor,NA,42300,NA,USD,NA,NA,United states,New York,Fredonia,8 - 10 years,11 - 20 years,Master's degree,Woman,White
4/28/2021 12:37:22,25-34,Media & Digital,Editor,I'm an acquiring and developmental editor at one of the Big Four publishing houses in the US,60000,0,USD,NA,NA,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:37:29,45-54,Utilities & Telecommunications,Human Resources Director,NA,160000,0,USD,NA,NA,United States of America,California,Palm Springs,21 - 30 years,21 - 30 years,College degree,Woman,White
4/28/2021 12:37:30,25-34,Health care,Operations Manager,NA,97000,NA,USD,NA,NA,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:37:38,25-34,Nonprofits,Communications Officer,NA,43000,1400,USD,NA,NA,USA,Massachusetts,Provincetown,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:37:51,25-34,Health care,Communications Consultant,NA,65000,NA,USD,NA,NA,USA,Wisconsin,Milwaukee,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:37:52,35-44,Nonprofits,Senior Program Associate,NA,55000,NA,USD,NA,NA,USA,District of Columbia,Washington,11 - 20 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:38:02,25-34,Nonprofits,Volunteer Coordinator,NA,46561,NA,USD,NA,NA,USA,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/28/2021 12:38:17,45-54,Computing or Tech,Computer Operations Coordinator,NA,55000,0,USD,NA,NA,USA,Arkansas,Little Rock,11 - 20 years,11 - 20 years,Master's degree,Man,White
4/28/2021 12:38:24,25-34,Insurance,Software Engineer,NA,101500,6500,USD,NA,NA,United States,Washington,Seattle,5-7 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:38:26,18-24,Computing or Tech,Technical Support Supervisor,NA,50000,5000,USD,NA,NA,United States,New Hampshire,Hudson,5-7 years,2 - 4 years,Some college,Man,White
4/28/2021 12:38:26,45-54,Health care,Revenue Cycle Director,NA,160000,10000,USD,NA,NA,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:38:34,25-34,Computing or Tech,Senior Customer Success Manager,Manage Account relationships and a Mobile tech startup,130000,29000,USD,NA,NA,United States,New York,West Orange,8 - 10 years,5-7 years,College degree,Man,Black or African American
4/28/2021 12:38:37,25-34,"Marketing, Advertising & PR",Research Manager,NA,67000,0,USD,NA,NA,USA,New York,New York,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:38:38,25-34,Computing or Tech,Technical writer,NA,113000,73000,USD,NA,Bonus plus stock compensation,US,Washington,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
4/28/2021 12:38:41,35-44,Computing or Tech,Senior Manager ERP,NA,120000,20000,USD,NA,NA,United States,Minnesota,Eden Prairie,21 - 30 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:38:47,25-34,Computing or Tech,Learning Management System Specialist,e-learning geared towards corporate management,125000,NA,USD,NA,NA,USA,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/28/2021 12:38:52,25-34,Government and Public Administration,Lobbyist,NA,85000,NA,USD,NA,NA,USA,Alaska,Anchorage,5-7 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:39:13,25-34,Business or Consulting,Marketing lead,NA,65000,NA,EUR,NA,NA,France,NA,Alsace (remote to Paris),8 - 10 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:39:24,25-34,Business or Consulting,Senior Acquisitions Support Consultant,NA,142800,NA,USD,NA,NA,USA,District of Columbia,DC,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/28/2021 12:39:54,35-44,Health care,Complex Care Manager,NA,68000,NA,USD,NA,NA,United States,Massachusetts,Boston,11 - 20 years,2 - 4 years,Master's degree,Woman,White
4/28/2021 12:39:56,35-44,Hospitality & Events,Resident District Manager,NA,132000,27000,USD,NA,NA,United States,Maryland,Gaithersburg,11 - 20 years,11 - 20 years,College degree,Man,White
4/28/2021 12:40:03,25-34,Nonprofits,Director of Membership,NA,155000,0,USD,NA,NA,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:40:15,25-34,Education (Higher Education),Academic Advisor,NA,42000,0,USD,NA,NA,United States,Colorado,Denver,5-7 years,5-7 years,Master's degree,Man,White
4/28/2021 12:40:36,35-44,Education (Higher Education),"Assistant Director, Professional School",NA,66000,10000,USD,NA,NA,USA,NA,Prefer not to answer,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,NA
4/28/2021 12:40:36,18-24,Law,Paralegal,NA,55000,NA,USD,NA,NA,United States of America,New Jersey,Newark,2 - 4 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:40:46,35-44,Government and Public Administration,Writer-Editor,Internal communications and strategic messaging for internal audiences; not PR,72500,NA,USD,NA,"I am a U.S. federal government employee with a set pay scale; in year one, I earn $72,500; in year 2, I will earn $87,200; in year 3 and beyond, I will earn $103,700.",United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:40:55,35-44,Computing or Tech,Lead Platform Engineer,NA,79500,1000,GBP,NA,NA,United Kingdom,NA,Manchester,11 - 20 years,11 - 20 years,Master's degree,Man,White
4/28/2021 12:40:59,25-34,Computing or Tech,IT Manager,NA,130000,20000,USD,NA,NA,USA,New Jersey,Somerset,11 - 20 years,11 - 20 years,College degree,Man,White
4/28/2021 12:40:59,25-34,"Accounting, Banking & Finance",Internal Audit Supervisor,NA,107000,14000,USD,NA,NA,United States,Virginia,Mclean,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
4/28/2021 12:41:16,25-34,Education (Higher Education),"Assistant Professor, tenure-track",NA,45000,NA,USD,NA,NA,USA,Ohio,Rural,8 - 10 years,5-7 years,PhD,Woman,White
4/28/2021 12:41:20,35-44,"Accounting, Banking & Finance",Senior Bookkeeper,NA,54080,0,USD,NA,NA,United States,Texas,San Antonio,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:42:12,35-44,"Marketing, Advertising & PR",Director of Corporate Communications,NA,150000,20000,USD,NA,NA,USA,California,Irvine,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/28/2021 12:42:19,25-34,Education (Primary/Secondary),Paraprofessional,NA,24000,0,USD,NA,NA,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:42:23,35-44,Nonprofits,Theatre in Education Director,NA,38975,0,CAD,NA,NA,Canada,NA,Northern Ontario,11 - 20 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:42:23,45-54,Education (Higher Education),Graduate Student,Phd student with teaching responsibility in exchange for pay/tuition waiver.,18500,0,USD,NA,A 9-month appointment,United States,Illinois,"Champaign, IL",8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
4/28/2021 12:42:29,25-34,"Accounting, Banking & Finance",Operations Associate,NA,64700,17187,USD,NA,"I get a bonus and overtime, but the overtime is at half my hourly rate and it is required that I do 10 hours a week of it.",United States,Utah,Salt Lake City,5-7 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:42:39,45-54,"Accounting, Banking & Finance","Team Lead, Payment Services",NA,70000,NA,CAD,NA,NA,Canada,NA,Montreal,21 - 30 years,5-7 years,Master's degree,Woman,Black or African American
4/28/2021 12:42:56,25-34,Education (Primary/Secondary),Elementary Teacher,NA,57000,0,USD,NA,NA,United States,Michigan,Ann Arbor,5-7 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:43:11,35-44,Computing or Tech,Principal User Experience Designer,NA,167000,16700,USD,NA,NA,USA,California,San Mateo,11 - 20 years,8 - 10 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
4/28/2021 12:43:29,45-54,Engineering or Manufacturing,Software Engineer,NA,80000,0,USD,NA,NA,USA,Wisconsin,Madison,21 - 30 years,21 - 30 years,College degree,Man,White
4/28/2021 12:43:49,25-34,Retail,Buyer,NA,102500,22550,USD,NA,NA,USA,New York,NYC,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
4/28/2021 12:44:08,25-34,Insurance,Data Scientist,NA,70000,5600,EUR,NA,NA,Germany,NA,Cologne,5-7 years,5-7 years,PhD,Man,White
4/28/2021 12:44:09,35-44,Nonprofits,Development Director,fundraising & developing partnerships for non-profit (homeless services),110000,0,USD,NA,NA,united states,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Man,Black or African American
4/28/2021 12:44:20,35-44,Art & Design,Packaging designer,NA,68000,7500,USD,NA,NA,US,Oregon,Portland,21 - 30 years,21 - 30 years,High School,Man,White
4/28/2021 12:44:41,18-24,Recruitment or HR,Office manager,NA,34000,NA,USD,NA,NA,US,Michigan,Grand Rapids,2 - 4 years,1 year or less,College degree,Woman,White
4/28/2021 12:44:45,55-64,Business or Consulting,Executive Assistant,To the CEO,19583,0,USD,NA,NA,United States,Florida,Orlando,2 - 4 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:44:49,25-34,Insurance,"Consultant, data analyst",NA,125000,12500,USD,NA,NA,Usa,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:44:57,25-34,Government and Public Administration,Librarian 1,NA,53352,0,USD,NA,NA,United States,Utah,Ogden,2 - 4 years,2 - 4 years,Master's degree,Woman,White
4/28/2021 12:45:34,35-44,Computing or Tech,analyst,NA,64000,2400,USD,NA,NA,usa,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:45:43,25-34,Education (Higher Education),Grants Specialist,NA,68000,0,USD,NA,NA,USA,New York,NY metro area but not NYC,11 - 20 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:46:03,25-34,Retail,Store Manager,NA,42500,9000,USD,NA,NA,United States,Michigan,Metro Detroit,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:46:06,25-34,Engineering or Manufacturing,Engineer II,0-3 years experience,65000,1000,USD,NA,NA,USA,Colorado,Denver,2 - 4 years,2 - 4 years,Master's degree,Man,White
4/28/2021 12:46:18,45-54,Law,Counsel,NA,174000,60000,USD,NA,Combination of cash bonus and deferred equity compensation,United States,New York,New york,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
4/28/2021 12:46:21,35-44,Government and Public Administration,Accountant II,NA,71000,0,USD,NA,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:46:26,25-34,Education (Higher Education),Director of Operations,NA,60000,0,USD,NA,NA,United States of America,California,Los Angeles,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
4/28/2021 12:46:32,25-34,Law,Legal Secretary,NA,40000,250,USD,NA,NA,Usa,NA,Ithaca ny,5-7 years,1 year or less,College degree,Woman,"Asian or Asian American, White"
4/28/2021 12:46:34,25-34,Computing or Tech,Data Analyst,NA,130000,13000,USD,NA,NA,USA,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
4/28/2021 12:46:41,35-44,Health care,Cancer Registry Supervisor,Manage 20+ people collecting cancer data,70054,0,USD,NA,NA,US,Massachusetts,WFH FT,11 - 20 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:46:54,35-44,Engineering or Manufacturing,Customer project officer,NA,38000,3000,USD,NA,NA,Chile,NA,Santiago,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/28/2021 12:46:56,25-34,Publishing,Editor,"A book editor, not magazine/newspaper.",68900,500,USD,NA,NA,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:47:05,65 or over,Computing or Tech,computer consultant,NA,110000,12000,USD,NA,NA,United States,Massachusetts,Boston,41 years or more,41 years or more,College degree,Man,White
4/28/2021 12:47:24,35-44,Education (Higher Education),HR Specialist,NA,58000,0,USD,NA,NA,USA,North Carolina,Chapel Hill,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:47:36,25-34,Utilities & Telecommunications,"Senior Advisor, Decision Support",NA,105500,11000,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,2 - 4 years,Master's degree,Woman,Black or African American
4/28/2021 12:47:38,45-54,Education (Higher Education),"Department Head, Acquisitions",I work in a library,149000,0,USD,NA,NA,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/28/2021 12:47:49,45-54,Education (Primary/Secondary),Paraeducator,"Special needs aide, mod/severe",38800,0,USD,NA,"Limited to 6 hours a day, 10.5 months a year",USA,California,Mission Viejo,8 - 10 years,5-7 years,College degree,Woman,White
4/28/2021 12:47:54,45-54,Computing or Tech,IT Manager,Higher Education,90000,0,USD,NA,NA,United States,Pennsylvania,University Park,21 - 30 years,21 - 30 years,College degree,Woman,White
4/28/2021 12:48:08,25-34,Computing or Tech,Technical Product Manager,NA,130000,38000,USD,NA,NA,United States,California,Los Angeles,8 - 10 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:48:20,25-34,Law,Associate,NA,180000,15000,USD,NA,NA,USA,Georgia,Atlanta,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
4/28/2021 12:48:45,45-54,Government and Public Administration,Document Management Clerk,NA,64834,0,CAD,NA,NA,Canada,NA,"Vancouver, BC",21 - 30 years,21 - 30 years,Some college,Woman,White
4/28/2021 12:48:59,35-44,Government and Public Administration,Executive Director,NA,125000,0,USD,NA,Government- so on a fixed schedule,U.S.,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/28/2021 12:48:59,25-34,Health care,Pediatric Nurse Practitioner,NA,150000,15000,USD,NA,NA,US,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:49:11,45-54,Agriculture or Forestry,Training Specialist,NA,95000,NA,USD,NA,NA,United States,Michigan,Port Austin,21 - 30 years,21 - 30 years,College degree,Woman,White
4/28/2021 12:49:12,25-34,Art & Design,graphic designer,NA,45760,800,USD,NA,NA,United States,Arizona,phoenix,11 - 20 years,2 - 4 years,College degree,Man,White
4/28/2021 12:49:35,55-64,Computing or Tech,Sr Systems Network Engineer,NA,123000,7000,USD,NA,NA,USA,California,Irvine,31 - 40 years,21 - 30 years,Some college,Man,White
4/28/2021 12:49:40,35-44,Agriculture/Agriculture Chemical,Senior Financial Analyst,NA,91112,7000,USD,NA,NA,United States,Missouri,Saint Louis,8 - 10 years,8 - 10 years,College degree,Man,White
4/28/2021 12:49:52,35-44,Engineering or Manufacturing,Pricing Administration Manager,NA,87000,8700,USD,NA,NA,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:50:08,25-34,Education (Higher Education),Assistant Scientist,NA,102000,0,USD,NA,NA,US,Maryland,Baltimore,5-7 years,2 - 4 years,PhD,Woman,White
4/28/2021 12:50:35,35-44,Computing or Tech,Art Director,in-house marketing creative (not product design),104000,11000,USD,NA,NA,United States,Massachusetts,Framingham,21 - 30 years,21 - 30 years,College degree,Woman,White
4/28/2021 12:50:43,25-34,R&D in Manufacturing,R&D Project Manager,NA,60000,6000,USD,NA,NA,United States,Michigan,Grand Rapids,2 - 4 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
4/28/2021 12:51:05,35-44,Computing or Tech,"Director, Technology Delivery",NA,187000,80000,USD,NA,NA,United States,North Carolina,Charlotte,21 - 30 years,21 - 30 years,College degree,Man,White
4/28/2021 12:51:13,35-44,Insurance,Behavioral Health Manager,Health insurance,94000,8000,USD,NA,NA,USA,Missouri,Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:51:13,35-44,"Accounting, Banking & Finance",Operations manager,NA,83000,NA,USD,NA,NA,USA,North Carolina,Charlotte,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:51:22,35-44,Computing or Tech,Senior Software Developer,NA,125000,NA,CAD,NA,NA,Canada,NA,Montreal,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/28/2021 12:51:46,35-44,Library and Information Science,Makerspace Coordinator,Librarian in charge of makerspace,46183,NA,USD,NA,NA,USA,South Carolina,Columbia,11 - 20 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:51:52,25-34,Utilities & Telecommunications,Engineer,NA,12000,11000,USD,NA,NA,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:52:05,18-24,Education (Primary/Secondary),Teacher,NA,42000,0,USD,NA,NA,US,Georgia,Glennville,2 - 4 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:52:06,35-44,Art & Design,Graphic designer,NA,72000,0,CAD,NA,NA,Canada,NA,Ottawa,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:52:15,18-24,"Accounting, Banking & Finance",Software Developer I,NA,78000,2340,USD,NA,NA,US,Texas,Austin,1 year or less,1 year or less,College degree,Woman,"Asian or Asian American, White"
4/28/2021 12:52:23,18-24,Health care,Development Program Trainee,"Member of a two year, cohort based program for early career professionals where you undertake three rotations on different teams (pharmaceutical industry).",82500,8000,USD,NA,"Was also provided $25,000 in signing bonuses",United States,Massachusetts,Boston metro,1 year or less,1 year or less,College degree,Woman,White
4/28/2021 12:52:33,25-34,Nonprofits,Workforce Development Assistant Manager,"I'm the assistant manager within our Learning and Development department, managing day to day operations and being a peer support to our department specialists",67000,0,USD,NA,NA,united states,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,"Black or African American, White"
4/28/2021 12:52:34,35-44,"Accounting, Banking & Finance","Director, Valuations","Middle office, accounting & controlling function",138000,8500,USD,NA,NA,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:52:39,25-34,Retail,Senior Data Manager,NA,99750,22000,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
4/28/2021 12:53:03,25-34,"Marketing, Advertising & PR",Product Marketing Manager,NA,85000,12750,USD,NA,NA,USA,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
4/28/2021 12:53:09,35-44,Engineering or Manufacturing,Product Development Engineer,NA,90000,NA,USD,NA,NA,United States,Michigan,Detroit Metro,8 - 10 years,8 - 10 years,PhD,Man,White
4/28/2021 12:53:25,25-34,Law,Associate - Labour & Employment,Attorney,150000,0,CAD,NA,NA,Canada,NA,Yellowknife,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/28/2021 12:53:35,35-44,"Accounting, Banking & Finance",Commercial Assistant,NA,45000,0,USD,NA,NA,U.S.A.,South Carolina,Charleston,11 - 20 years,5-7 years,College degree,Woman,White
4/28/2021 12:53:35,25-34,Biotechnology,Alliance Manager,NA,72000,32400,USD,NA,NA,USA,Pennsylvania,Philadelphia,8 - 10 years,11 - 20 years,College degree,Woman,Asian or Asian American
4/28/2021 12:53:47,25-34,Computing or Tech,Financial Analyst,NA,110000,11000,USD,NA,NA,United States,California,"Sunnyvale, CA",2 - 4 years,2 - 4 years,College degree,NA,NA
4/28/2021 12:54:10,25-34,Recruitment or HR,Recruiting Assistant,NA,16640,NA,USD,NA,I get a monthly bonus based on a percentage of the profits for that month,USA,Ohio,Columbus,5-7 years,1 year or less,College degree,Woman,White
4/28/2021 12:54:20,25-34,"Accounting, Banking & Finance",Software engineer,NA,150000,30000,USD,NA,NA,USA,New York,NYC,2 - 4 years,2 - 4 years,College degree,Man,White
4/28/2021 12:54:24,35-44,Engineering or Manufacturing,Machine operator,NA,39000,18720,USD,NA,NA,United States,Ohio,Kent,11 - 20 years,11 - 20 years,Some college,Woman,White
4/28/2021 12:54:30,25-34,Media & Digital,data analyst,NA,444000,60000,EUR,NA,NA,denmark,NA,copenhagen,2 - 4 years,1 year or less,Master's degree,Man,White
4/28/2021 12:54:37,25-34,Education (Higher Education),Production editor,"Handle all work post-author signoff on manuscripts for educational materials used in business classrooms, including (but not limited to) cases, chapters, simulations, etc.",62000,9000,USD,NA,NA,United States,Massachusetts,Brighton,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:54:41,25-34,Education (Higher Education),Learning Designer,Also seen as Instructional Designer,70500,0,USD,NA,NA,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
4/28/2021 12:54:44,35-44,Law,Partner,NA,250000,60000,USD,NA,NA,US,New York,New York,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/28/2021 12:55:19,35-44,Education (Higher Education),Librarian,NA,64000,0,USD,NA,NA,United States,Utah,Utah County,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/28/2021 12:55:19,35-44,Health care,"Manager, Team Lead",NA,61600,0,EUR,NA,NA,Austria,NA,Vienna,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/28/2021 12:55:30,18-24,Utilities & Telecommunications,Systems Operations Intern,I work with a database system and manage applications within that system.,58240,0,USD,NA,I started as a co-op student who was overplayed on the Cable side of the company. I transfered to corporate and haven't received a raise or job offer since I graduated March 2020,United States of America,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:55:42,35-44,Computing or Tech,Product Manager,NA,126000,3000,USD,NA,NA,USA,Missouri,Kansas City,11 - 20 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:55:47,45-54,Education (Higher Education),Professor,History/Liberal Arts,107000,0,USD,NA,"We teach 42 weeks per year (3 full semesters), 4 course load per semester",USA,New York,Hyde Park,21 - 30 years,11 - 20 years,PhD,Woman,White
4/28/2021 12:55:49,35-44,Social Work,Case Manager,NA,45000,NA,USD,NA,NA,United States,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:55:53,25-34,"Accounting, Banking & Finance",BSA Manager,Bank Secrecy Act/Anti Money Laundering,106000,NA,USD,NA,NA,USA,New York,New York City,8 - 10 years,5-7 years,College degree,Other or prefer not to answer,NA
4/28/2021 12:55:56,25-34,Government and Public Administration,Budget Analyst,NA,67500,NA,USD,NA,NA,USA,Maryland,Silver Spring,2 - 4 years,2 - 4 years,College degree,Woman,White
4/28/2021 12:56:06,25-34,"Marketing, Advertising & PR",Research analyst,NA,51000,10000,USD,NA,"Bonuses are only during election years (2020, 2018, etc)",United states,District of Columbia,"Washington, d.c.",5-7 years,5-7 years,College degree,Woman,White
4/28/2021 12:56:08,25-34,Education (Higher Education),Student Outreach Specialist,NA,44000,0,USD,NA,NA,U.S.,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/28/2021 12:56:23,25-34,"Leisure, Sport & Tourism",CRO Manager,NA,83000,7000,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
4/28/2021 12:56:44,25-34,Recruitment or HR,Associate Director,Legal Recruiter / Associate Director level,40000,20000,GBP,NA,"additional compensation comes from commission, which could be anything from £0 to £40,000",UK (England),NA,London,2 - 4 years,2 - 4 years,Master's degree,Woman,White
4/28/2021 12:56:54,25-34,Nonprofits,"Senior Manager, Partnerships and Initiatives",i do corporate fundraising mostly,83000,0,USD,NA,NA,USA,Maine,"Belfast - for context, our organization has country-based payscales, not city/state",11 - 20 years,8 - 10 years,College degree,Woman,White
4/28/2021 12:57:00,25-34,Business or Consulting,Program Manager,NA,75000,2000,USD,NA,NA,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
4/28/2021 12:57:03,25-34,"Accounting, Banking & Finance",Total Rewards Manager,NA,120000,38000,USD,NA,NA,USA,New York,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/28/2021 12:57:11,45-54,Law,translator,I translate patents from German to English.,166000,60000,USD,NA,"self-employed with an LLC, this is what I pay myself",USA,California,Oakland,21 - 30 years,21 - 30 years,College degree,Man,White
4/28/2021 12:57:17,35-44,Government and Public Administration,Microbiologist,NA,132000,3500,USD,NA,NA,US,Maryland,Silver Spring,11 - 20 years,11 - 20 years,PhD,Non-binary,White
4/28/2021 12:57:58,25-34,Engineering or Manufacturing,Product Support Engineer,NA,75000,5000,USD,NA,NA,United States,California,Palo Alto,5-7 years,2 - 4 years,Some college,Man,Asian or Asian American
4/28/2021 12:58:34,25-34,Fashion,Data Scientist,NA,115000,0,USD,NA,NA,USA,New York,New York City,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
4/28/2021 12:58:34,25-34,Retail,Design and Sales Assistant,I help design custom engagement rings for customers.,19000,0,GBP,NA,Initial Training Salary,United Kingdom,NA,Sheffield,5-7 years,1 year or less,College degree,Woman,White
4/28/2021 12:58:39,25-34,Computing or Tech,Consultant,NA,90000,NA,USD,NA,NA,United States,Missouri,St. Louis,5-7 years,5-7 years,Master's degree,Man,White
4/28/2021 12:58:41,25-34,Education (Higher Education),Financial Analyst,NA,52020,0,USD,NA,NA,USA,Illinois,Evanston,5-7 years,5-7 years,College degree,Woman,White
