State,Year,Total Employed RN,Employed Standard Error (%),Hourly Wage Avg,Hourly Wage Median,Annual Salary Avg,Annual Salary Median,Wage/Salary standard error (%),Hourly 10th Percentile,Hourly 25th Percentile,Hourly 75th Percentile,Hourly 90th Percentile,Annual 10th Percentile,Annual 25th Percentile,Annual 75th Percentile,Annual 90th Percentile,Location Quotient,Total Employed (National)_Aggregate,"Total Employed (Healthcare, National)_Aggregate","Total Employed (Healthcare, State)_Aggregate",Yearly Total Employed (State)_Aggregate
Louisiana,2009,39560,3,28.99,28,60290,58250,0.8,20.63,23.77,32.64,38.77,42910,49440,67890,80630,,131713800,7250140,111730,1871950
Maine,2009,14410,2.3,31.37,28.64,65240,59580,2.5,20.98,24.22,34.35,40.92,43640,50380,71450,85120,,131713800,7250140,36920,589090
Maryland,2009,51620,4.6,36.7,36.38,76330,75670,1.6,24.52,29.72,44.35,50.64,50990,61820,92250,105320,,131713800,7250140,146700,2503410
Massachusetts,2009,83060,2.4,39.32,37.39,81780,77770,1.7,25.92,30.29,47.67,58.87,53900,63010,99160,122450,,131713800,7250140,224490,3169010
Michigan,2009,84620,2.7,30.82,30.39,64100,63200,0.8,22.24,26.15,35.24,39.57,46250,54400,73290,82310,,131713800,7250140,240780,3893900
Minnesota,2009,57560,2,34.98,34.24,72760,71210,1.1,23.73,28.3,40.55,46.65,49360,58870,84340,97030,,131713800,7250140,154810,2627640
Mississippi,2009,28030,3.6,27.7,26.33,57630,54770,1.1,18.86,22.17,31.52,38.49,39230,46110,65570,80050,,131713800,7250140,71230,1096890
Missouri,2009,62130,3.4,27.62,26.69,57460,55510,0.9,18.29,21.95,32.07,38.1,38050,45660,66710,79260,,131713800,7250140,169200,2668450
Montana,2009,8340,4.1,27.1,26.85,56380,55850,1,19.9,22.8,31.3,35.64,41390,47430,65090,74140,,131713800,7250140,24300,432240
Nebraska,2009,18930,2.4,26.46,25.35,55040,52730,1,19.16,21.79,30.7,36.19,39850,45330,63860,75280,,131713800,7250140,52420,916770
Nevada,2009,16100,1.7,35.07,35.23,72940,73270,1.4,25.76,30.08,40.35,45.05,53570,62570,83920,93700,,131713800,7250140,43770,1179860
New Hampshire,2009,13330,3.7,29.84,29.03,62060,60370,1.1,21.45,24.54,34.65,40.13,44620,51050,72070,83470,,131713800,7250140,35740,619390
New Jersey,2009,74730,3,36.05,35.85,74990,74560,0.9,26.38,30.72,41.14,47.56,54870,63900,85560,98920,,131713800,7250140,196840,3850770
New Mexico,2009,12340,1.6,30.55,30.18,63550,62780,1.2,21.59,25.3,35.69,40.17,44900,52620,74230,83560,,131713800,7250140,40670,800390
New York,2009,165730,1.5,34.99,34.66,72790,72100,0.9,23,28.07,41.7,49.16,47840,58390,86740,102240,,131713800,7250140,466480,8487020
North Carolina,2009,88190,2.2,28.31,27.49,58880,57170,0.6,20.54,23.33,31.81,37.28,42730,48530,66160,77550,,131713800,7250140,225500,3896750
North Dakota,2009,6260,6.3,26.98,25.57,56110,53180,1.7,19.06,21.94,30.65,35.93,39650,45630,63750,74730,,131713800,7250140,19740,353630
Ohio,2009,117870,2.2,28.72,27.99,59740,58220,0.6,20.99,24.06,32.23,37.52,43650,50050,67040,78030,,131713800,7250140,317440,5091490
Oklahoma,2009,27340,4.9,25.58,25.18,53210,52380,1,18.25,21.29,29.7,33.32,37960,44290,61770,69300,,131713800,7250140,88190,1525330
Oregon,2009,30730,2.8,35.24,35.3,73300,73430,0.8,25.75,29.88,40.33,45.77,53560,62140,83890,95200,,131713800,7250140,81790,1624490
Pennsylvania,2009,129810,1.9,30.58,29.24,63600,60820,1,20.65,24.33,35.15,41.95,42940,50610,73110,87250,,131713800,7250140,351810,5572660
Rhode Island,2009,11630,2.2,33.09,33.4,68830,69470,1.1,24.2,28.13,38.09,41.81,50330,58500,79240,86960,,131713800,7250140,29760,458760
South Carolina,2009,38020,1.5,28.69,27.5,59680,57210,1.3,19.93,23.05,32.05,37.53,41460,47940,66660,78060,,131713800,7250140,101950,1802900
South Dakota,2009,10530,1.3,25.73,24.34,53520,50630,1.3,18.51,21.03,29.07,33.34,38490,43740,60460,69350,,131713800,7250140,25010,392890
Tennessee,2009,61980,3.4,28.62,26.84,59520,55820,1.1,19.72,22.68,31.7,39.15,41030,47170,65940,81430,,131713800,7250140,172870,2625140
Texas,2009,168020,2.1,31.09,30.31,64670,63050,0.6,21.61,25.6,35.7,41.25,44950,53240,74260,85790,,131713800,7250140,514220,10289240
Utah,2009,17670,3.7,28.54,27.92,59370,58070,0.8,21.21,23.75,32.73,37.79,44110,49410,68070,78610,,131713800,7250140,51720,1185770
Vermont,2009,5680,5,30.4,29.75,63230,61870,3.7,21.2,24.73,35.79,40.84,44090,51430,74450,84940,,131713800,7250140,16780,294120
Virginia,2009,60230,2.7,30.42,29.43,63270,61210,0.9,20.06,23.87,35.33,41.64,41720,49640,73480,86600,,131713800,7250140,176570,3589520
Washington,2009,54260,3.7,34.83,34.6,72450,71970,0.8,23.89,28.27,41.07,47.43,49690,58800,85430,98650,,131713800,7250140,142130,2789670
West Virginia,2009,17340,5.6,25.5,24.31,53030,50560,1.3,17.23,20.65,29.43,35.48,35830,42950,61210,73800,,131713800,7250140,49520,704310
Wisconsin,2009,53510,3.6,30.39,29.73,63200,61840,0.7,22.41,25.74,34.74,39.5,46610,53540,72260,82160,,131713800,7250140,152790,2689710
Wyoming,2009,4700,4.3,27.91,27.14,58060,56460,1.3,20.04,23.22,31.74,37.73,41680,48300,66020,78480,,131713800,7250140,12770,282450
Guam,2009,500,2.3,23.86,23.82,49630,49540,1.7,10.06,18.04,30.19,35.59,20930,37510,62790,74020,,131713800,7250140,1530,60910
Puerto Rico,2009,17720,3,14.4,13.62,29950,28330,2.3,9.18,11.32,16.01,19.59,19100,23540,33300,40760,,131713800,7250140,46290,962030
Virgin Islands,2009,440,3,23.98,24.41,49890,50780,2.4,14.99,19.39,29.13,32.6,31170,40330,60580,67800,,131713800,7250140,1380,43220
Alabama,2008,41560,1.7,27.25,25.8,56670,53660,0.8,18.8,21.91,30.41,36.41,39100,45570,63250,75730,,136288000,7125040,111860,1945300
Alaska,2008,5350,13.3,35.01,34.42,72820,71590,1.3,25.11,28.91,39.83,47.39,52220,60130,82840,98570,,136288000,7125040,14030,307790
Arizona,2008,37780,2.8,31.12,30.59,64740,63640,2,19.99,25.73,36.57,41.13,41580,53510,76070,85550,,136288000,7125040,121710,2637830
Arkansas,2008,23000,3.5,26.58,24.78,55280,51540,1.5,17.38,20.63,29.84,35.74,36150,42920,62070,74340,,136288000,7125040,68350,1176050
California,2008,240470,2.4,39.92,38.93,83040,80980,0.9,27.4,32.85,47.05,55.54,56990,68330,97850,115520,,136288000,7125040,654980,15212610
Colorado,2008,39440,2.1,30.91,30.76,64280,63980,0.7,21.76,26.17,36.21,40.24,45250,54430,75310,83710,,136288000,7125040,109080,2302340
Connecticut,2008,35370,3.3,33.82,33.11,70350,68880,1.1,24.56,28.33,38.66,43.97,51080,58920,80400,91450,,136288000,7125040,91560,1697810
Delaware,2008,9060,2.4,33.13,32.43,68900,67460,1.9,25.09,28.06,37.18,40.31,52180,58350,77340,83850,,136288000,7125040,24020,425210
District of Columbia,2008,9240,9.4,35.11,35.06,73040,72930,2.1,25.52,29.53,40.3,47.56,53070,61430,83830,98920,,136288000,7125040,25950,635500
Florida,2008,146040,1.9,29.46,28.47,61290,59220,0.7,20.54,23.78,33.43,39.8,42720,49470,69520,82790,,136288000,7125040,417290,7771740
Georgia,2008,64920,2.1,28.83,28.64,59960,59570,1,20.14,23.99,33.15,38.4,41880,49910,68950,79860,,136288000,7125040,195340,4068270
Hawaii,2008,8760,8.4,37.47,38.17,77950,79390,1.5,26.93,32.52,44.31,48.73,56020,67640,92160,101370,,136288000,7125040,25060,612420
Idaho,2008,10850,5.9,27.78,26.85,57770,55850,1.9,19.75,22.63,31.51,38.28,41080,47060,65530,79630,,136288000,7125040,31090,650240
Illinois,2008,108820,2.4,30.78,30.02,64020,62440,1.1,20.1,25.1,36.43,42.38,41800,52210,75760,88150,,136288000,7125040,308950,5910630
Indiana,2008,56500,3.2,27.48,26.91,57160,55980,0.8,19.13,22.33,31.77,37.35,39790,46450,66080,77680,,136288000,7125040,162990,2927620
Iowa,2008,30170,3.8,24.37,23.71,50700,49320,1,17.15,20.33,28.1,31.89,35680,42290,58460,66340,,136288000,7125040,75280,1502600
Kansas,2008,25020,2.5,26.2,25.13,54500,52270,1,18.61,21.53,29.93,34.87,38700,44780,62250,72520,,136288000,7125040,70590,1374560
Kentucky,2008,41080,5.2,27.3,26.41,56780,54940,0.9,19.29,22.27,30.67,36.44,40120,46320,63790,75800,,136288000,7125040,107760,1817860
Louisiana,2008,39610,3.7,28.52,27.28,59320,56750,0.9,20.05,22.95,31.69,38.41,41690,47730,65920,79890,,136288000,7125040,110610,1887370
Maine,2008,14050,2.9,28.61,28.1,59520,58440,1.5,20.86,23.76,32.44,38.29,43390,49420,67470,79640,,136288000,7125040,36170,604150
Maryland,2008,50780,3.9,35.75,35.62,74370,74100,1.4,24.58,29.11,42.68,48.76,51130,60550,88780,101420,,136288000,7125040,141280,2561530
Massachusetts,2008,79670,3.3,38.17,36.58,79390,76080,1.4,25.51,29.58,46.71,56.15,53050,61530,97160,116800,,136288000,7125040,208500,3234860
Michigan,2008,86580,3,30.34,29.85,63100,62080,0.7,21.88,25.88,34.56,38.87,45510,53830,71890,80850,,136288000,7125040,240970,4142750
Minnesota,2008,55730,5.8,33.92,33.37,70560,69410,0.9,23.55,27.87,39.17,45.61,48970,57970,81470,94860,,136288000,7125040,153350,2704860
Mississippi,2008,27350,3.8,27,25.5,56160,53040,0.8,18.33,21.71,30.66,37.58,38120,45160,63760,78170,,136288000,7125040,69850,1138210
Missouri,2008,60100,3.1,27.24,26.38,56670,54860,0.7,18.33,21.89,31.43,37.41,38120,45540,65380,77820,,136288000,7125040,168690,2740170
Montana,2008,7480,4.6,26.47,26.11,55060,54310,1.1,19.44,22.2,30.4,35.18,40440,46180,63240,73160,,136288000,7125040,23090,444090
Nebraska,2008,18930,2.5,25.71,24.77,53490,51520,0.9,18.38,21.28,30.11,35.4,38220,44260,62630,73620,,136288000,7125040,51300,928120
Nevada,2008,15950,2.2,33.99,34.41,70700,71580,1,25.59,29.35,39.1,44.12,53230,61040,81330,91770,,136288000,7125040,44260,1278230
New Hampshire,2008,13110,4.3,28.95,28.19,60210,58630,1.1,21.14,23.81,33.21,38.91,43960,49530,69070,80930,,136288000,7125040,34300,634570
New Jersey,2008,75590,3,35.03,35.11,72870,73030,0.8,25.71,29.76,40.02,46.72,53480,61890,83240,97170,,136288000,7125040,198770,3986310
New Mexico,2008,11900,1.8,29.73,29.42,61830,61190,1,21.24,24.71,34.99,39.16,44190,51390,72770,81450,,136288000,7125040,40440,819480
New York,2008,168850,1.8,35.17,34.4,73160,71550,1.7,22.57,27.72,41.53,49.32,46950,57650,86370,102580,,136288000,7125040,462470,8633580
North Carolina,2008,84230,2.4,27.78,27.04,57790,56240,0.5,20.5,23.1,31.04,36.74,42630,48050,64550,76420,,136288000,7125040,218200,4063420
North Dakota,2008,6340,6.4,26.57,25.14,55260,52300,1.9,18.18,21.46,30.4,36.53,37810,44630,63230,75970,,136288000,7125040,19650,350360
Ohio,2008,114930,2.4,28.25,27.74,58750,57710,0.6,20.85,23.63,31.53,37.17,43360,49140,65570,77300,,136288000,7125040,312510,5323130
Oklahoma,2008,26760,3.7,24.94,24.63,51880,51230,0.9,17.53,20.89,29.05,32.3,36470,43440,60420,67180,,136288000,7125040,86470,1557750
Oregon,2008,29980,3.3,34.23,34.26,71210,71250,0.8,25.2,28.98,39.09,45.1,52420,60270,81320,93810,,136288000,7125040,80190,1706740
Pennsylvania,2008,129060,2,29.51,28.79,61390,59880,0.8,20.44,23.97,34.03,40.13,42510,49850,70780,83470,,136288000,7125040,349790,5705170
Rhode Island,2008,11360,2.2,32.6,32.9,67810,68440,1,23.65,27.72,37.63,41.1,49190,57660,78270,85480,,136288000,7125040,30380,478420
South Carolina,2008,36880,1.3,27.7,27.04,57610,56250,1,19.83,22.77,31.22,36.74,41250,47360,64940,76420,,136288000,7125040,100460,1892690
South Dakota,2008,10010,1.3,25.29,24.22,52600,50380,1.1,17.86,20.84,28.93,32.74,37150,43340,60180,68100,,136288000,7125040,24620,395960
Tennessee,2008,61570,2.5,28.37,26.88,59000,55900,1,19.73,22.56,31.38,38.24,41040,46930,65260,79550,,136288000,7125040,170610,2755800
Texas,2008,164400,2.2,29.7,29.18,61780,60690,0.6,20.71,24.66,34.15,39.48,43080,51300,71030,82130,,136288000,7125040,498550,10391420
Utah,2008,17230,3.6,27.91,27.23,58050,56640,0.8,20.92,23.22,31.78,37.4,43510,48310,66110,77790,,136288000,7125040,50020,1230320
Vermont,2008,5900,4.8,29.14,28.56,60610,59410,3.5,20.61,23.65,34.37,39.42,42870,49190,71480,81990,,136288000,7125040,16970,301130
Virginia,2008,60040,2.8,29.7,28.77,61780,59830,1,19.85,23.53,34.5,40.5,41280,48940,71760,84240,,136288000,7125040,171880,3670980
Washington,2008,52020,2.7,34.2,34.06,71140,70840,0.8,23.3,27.92,40.14,46.86,48470,58070,83500,97470,,136288000,7125040,138230,2868910
West Virginia,2008,16910,7.4,25.16,24.03,52340,49980,1.2,17.14,20.41,29.3,35.27,35650,42460,60940,73360,,136288000,7125040,48450,717740
Wisconsin,2008,51700,3.1,29.88,29.27,62140,60880,0.6,21.95,25.33,33.98,38.76,45660,52690,70670,80630,,136288000,7125040,147920,2776690
Wyoming,2008,4300,4.5,26.39,25.78,54880,53620,1.1,19,21.93,30.15,34.52,39510,45610,62720,71810,,136288000,7125040,12000,283980
Guam,2008,490,2.4,24.38,23.31,50710,48480,3.8,10.13,17.71,29.37,35.12,21060,36830,61100,73050,,136288000,7125040,1500,58810
Puerto Rico,2008,17080,2.1,13.59,12.88,28270,26800,2.5,8.49,10.43,15.35,19,17660,21690,31930,39510,,136288000,7125040,45400,999010
Virgin Islands,2008,410,2.8,22.47,22.42,46730,46640,1.5,15.61,18.23,26.99,30.85,32460,37910,56130,64160,,136288000,7125040,1300,44910
Alabama,2010,44300,2.1,27.81,26.44,57850,54990,0.8,19.41,22.25,31.44,36.9,40380,46280,65400,76760,1.173,128150010,7394880,115430,1807480
Alaska,2010,5150,6.6,38.15,37.39,79350,77770,1.3,28,31.85,43.23,50.63,58240,66250,89910,105310,0.8,128150010,7394880,15070,308050
Arizona,2010,41730,3.8,33.76,33.11,70220,68870,1.8,22.82,27.49,39.42,44.74,47470,57180,82000,93050,0.844,128150010,7394880,126740,2367120
Arkansas,2010,23730,4.1,27.16,25.28,56500,52580,1.8,18.22,20.97,30.34,35.87,37910,43620,63110,74600,1,128150010,7394880,70500,1135560
California,2010,240030,2.6,42.06,41.03,87480,85340,0.9,29.15,33.95,49.63,58.04,60630,70610,103220,120720,0.821,128150010,7394880,681250,14001730
Colorado,2010,41960,3,32.35,31.81,67280,66170,0.6,23.41,26.76,37.38,43.13,48690,55670,77760,89700,0.931,128150010,7394880,114240,2157690
Connecticut,2010,35310,3.2,35.51,34.7,73860,72170,1.1,25.58,29.99,40.8,45.68,53200,62380,84870,95020,1.057,128150010,7394880,94190,1598640
Delaware,2010,9900,4.1,34.1,33.53,70920,69730,1.8,25.09,29.36,38.45,43.92,52180,61070,79970,91360,1.191,128150010,7394880,25370,397730
District of Columbia,2010,9510,7,36.64,36.53,76210,75990,2.3,25.63,30.18,43.23,49.78,53300,62770,89920,103550,0.712,128150010,7394880,27070,639390
Florida,2010,158390,2.5,30.29,29.05,63010,60430,0.7,20.94,24.66,34.58,41.13,43550,51290,71920,85540,1.067,128150010,7394880,433280,7103950
Georgia,2010,65390,2.3,29.65,29.43,61670,61220,0.7,20.98,24.8,34.22,38.83,43630,51590,71180,80760,0.836,128150010,7394880,197890,3744740
Hawaii,2010,9390,7.9,39.48,40.42,82130,84060,1.8,26.85,33.68,47.5,52.16,55840,70050,98790,108500,0.786,128150010,7394880,24920,571630
Idaho,2010,10820,6,30.15,28.22,62720,58700,1.8,21.18,24.47,33.94,41.68,44060,50890,70590,86690,0.871,128150010,7394880,31380,594750
Illinois,2010,120810,2.8,32.05,31.32,66660,65150,1.1,20.98,25.69,37.56,44.14,43630,53440,78130,91810,1.046,128150010,7394880,320770,5528420
Indiana,2010,60300,3.7,27.8,27.04,57820,56250,0.9,19.31,22.43,32.49,37.5,40160,46660,67570,78000,1.059,128150010,7394880,171680,2724850
Iowa,2010,32090,3.4,24.99,24.07,51970,50060,1.2,17.54,20.43,28.55,33.69,36480,42490,59390,70080,1.068,128150010,7394880,79000,1438510
Kansas,2010,28070,6,27.63,26.02,57470,54130,1.4,19.21,21.93,31.17,36.07,39950,45620,64840,75030,1.03,128150010,7394880,74660,1304780
Kentucky,2010,44920,4.3,27.95,26.97,58130,56090,0.9,19.53,22.49,31.81,36.36,40630,46780,66160,75630,1.253,128150010,7394880,112830,1716060
Louisiana,2010,40780,2.7,29.84,28.22,62060,58700,1.1,20.61,23.94,33.55,40.41,42860,49800,69780,84060,1.065,128150010,7394880,117510,1832830
Maine,2010,14730,12.7,31.08,28.4,64650,59080,2.6,21.36,24.64,33.83,40.48,44420,51260,70360,84200,1.221,128150010,7394880,38460,577410
Maryland,2010,50480,4.9,36.76,35.99,76450,74870,1.5,24.35,29.28,44.6,51.28,50660,60890,92770,106650,0.981,128150010,7394880,150520,2462470
Massachusetts,2010,85120,2.3,40.86,38.59,84990,80260,1.7,26.17,31.12,50.68,62.02,54430,64730,105410,129000,1.306,128150010,7394880,222830,3119100
Michigan,2010,86040,2.5,30.75,30.28,63970,62990,0.8,22.35,25.91,34.88,39.54,46490,53890,72540,82250,1.097,128150010,7394880,243030,3755890
Minnesota,2010,56010,2.8,35.47,34.67,73770,72110,1.2,24.09,28.78,41.1,46.07,50110,59860,85480,95830,1.046,128150010,7394880,152680,2562450
Mississippi,2010,28200,2.8,27.86,26.49,57940,55110,1.2,18.99,22.19,31.76,39.21,39490,46150,66070,81560,1.26,128150010,7394880,71710,1070820
Missouri,2010,66810,3.3,28.43,26.89,59140,55940,1.3,18.75,21.95,33.04,39.47,39010,45660,68730,82100,1.236,128150010,7394880,173950,2588450
Montana,2010,8500,4.7,27.82,27.3,57860,56790,1,20.28,23.29,31.91,36.18,42190,48440,66360,75240,0.959,128150010,7394880,24810,424300
Nebraska,2010,18780,1.2,27.15,25.94,56480,53960,0.9,19.84,22.19,31.31,36.36,41260,46160,65130,75630,0.997,128150010,7394880,52050,901690
Nevada,2010,16780,2.2,36.21,35.95,75320,74780,1.3,26.52,30.96,41.48,45.78,55150,64390,86290,95220,0.721,128150010,7394880,45210,1113530
New Hampshire,2010,13850,3.2,30.45,29.64,63340,61650,1.2,21.19,24.96,35.35,41.37,44070,51910,73530,86050,1.099,128150010,7394880,36850,603420
New Jersey,2010,76680,3.8,36.27,35.86,75440,74590,0.9,26.56,30.94,41.47,46.91,55240,64350,86260,97580,0.974,128150010,7394880,198940,3770550
New Mexico,2010,13780,1.6,31.78,31.4,66090,65310,1.5,22.42,26.27,37.05,42.23,46630,54650,77070,87830,0.849,128150010,7394880,41780,777560
New York,2010,169710,1.8,35.58,35.15,74000,73100,0.9,23.53,28.76,42.21,49.67,48950,59830,87800,103320,0.974,128150010,7394880,473700,8344020
North Carolina,2010,90730,1.6,28.97,27.82,60260,57870,0.6,20.51,23.56,32.65,38.05,42670,49000,67920,79150,1.151,128150010,7394880,229720,3772780
North Dakota,2010,6880,6.8,27.41,25.34,57020,52700,1.6,18.64,21.25,30.81,36.16,38770,44190,64080,75220,0.925,128150010,7394880,20490,355710
Ohio,2010,122300,2.5,29.13,28.23,60590,58720,0.6,21.33,24.51,33.11,37.7,44370,50980,68860,78420,1.19,128150010,7394880,324310,4921690
Oklahoma,2010,28260,4.6,26.12,25.7,54340,53460,1,18.56,21.57,30.15,34.48,38610,44870,62700,71710,0.912,128150010,7394880,90190,1483760
Oregon,2010,31950,4.4,36.23,36.37,75350,75650,0.9,26.46,30.84,41.56,45.99,55040,64150,86440,95660,0.974,128150010,7394880,85150,1569700
Pennsylvania,2010,130930,2.1,31.29,29.8,65070,61970,1.1,20.57,24.7,35.82,43.27,42790,51380,74500,90000,1.143,128150010,7394880,350090,5483220
Rhode Island,2010,12430,3.2,33.96,33.75,70640,70200,1.5,25.01,28.86,38.91,43.91,52020,60020,80930,91340,1.327,128150010,7394880,30510,448150
South Carolina,2010,40520,1.8,28.87,27.64,60040,57500,1.3,19.56,22.9,32.84,37.97,40680,47620,68310,78970,1.11,128150010,7394880,105630,1746820
South Dakota,2010,10690,1.1,26.31,24.31,54730,50570,1.3,18.78,20.74,29.6,35.09,39060,43140,61570,72980,1.32,128150010,7394880,25340,387590
Tennessee,2010,61890,2.6,29.08,26.97,60480,56090,1.2,19.66,22.79,32.21,39.85,40880,47400,67000,82880,1.153,128150010,7394880,175480,2569420
Texas,2010,176330,1.9,31.82,30.87,66180,64210,0.6,21.93,25.85,36.31,42.98,45620,53770,75530,89400,0.837,128150010,7394880,538890,10089870
Utah,2010,18230,3.5,29.1,28.41,60530,59090,1,21.26,24.24,33.3,37.75,44220,50410,69270,78510,0.76,128150010,7394880,54460,1148520
Vermont,2010,5980,4.3,30.39,29.54,63210,61440,2.4,21.37,24.86,35.37,41.55,44440,51710,73570,86410,0.998,128150010,7394880,17220,286990
Virginia,2010,62020,2.7,31.26,30.11,65020,62620,1,20.46,24.39,35.91,43.26,42560,50730,74700,89980,0.842,128150010,7394880,180980,3527350
Washington,2010,52490,3.9,35.42,35.23,73680,73270,0.9,24.25,28.5,41.84,47.66,50440,59280,87020,99130,0.933,128150010,7394880,141650,2693220
West Virginia,2010,17650,4.8,26.11,24.73,54300,51430,1.6,17.32,20.64,29.78,36.27,36020,42940,61930,75430,1.228,128150010,7394880,50400,688170
Wisconsin,2010,52880,3.2,30.9,30.03,64280,62470,0.9,22.82,25.81,35.07,40.53,47460,53690,72950,84300,0.97,128150010,7394880,152670,2608740
Wyoming,2010,4790,4.3,28.25,27.6,58750,57400,1.3,20.17,23.61,32.35,37.57,41950,49100,67280,78150,0.85,128150010,7394880,13130,269910
Guam,2010,460,2.4,24.45,23.97,50860,49850,1.8,15.87,18.86,29.33,34.32,33020,39240,61010,71390,0.368,128150010,7394880,1500,59560
Puerto Rico,2010,17330,3.3,15.2,14.28,31620,29700,2.2,9.93,12.23,16.99,21.43,20650,25430,35330,44580,0.873,128150010,7394880,45600,950570
Virgin Islands,2010,360,14.7,25.34,25.99,52700,54060,2.8,12.15,20.9,30.77,35.19,25270,43470,63990,73200,0.408,128150010,7394880,1170,42700
Alabama,2007,42180,5.4,26.14,24.92,54370,51830,0.9,18.48,21.29,28.88,33.78,38450,44270,60070,70270,,135474020,6923830,111580,1931970
Alaska,2007,5150,10,33.8,33.48,70300,69630,1.2,24.52,28.24,38.61,45.54,51000,58740,80300,94730,,135474020,6923830,13350,301920
Arizona,2007,34580,6.1,29.17,29.17,60670,60670,1.1,19.06,24.41,34.56,38.74,39640,50780,71890,80570,,135474020,6923830,115360,2648000
Arkansas,2007,21920,3.1,25.29,24.17,52600,50260,1.2,16.86,20.14,28.98,34.46,35080,41880,60280,71680,,135474020,6923830,65930,1172760
California,2007,233200,1.7,37.76,36.77,78550,76470,0.7,26.62,31.48,44.19,51.73,55370,65480,91910,107590,,135474020,6923830,634760,15202530
Colorado,2007,36850,2.8,29.76,29.69,61890,61750,0.8,20.92,25.16,34.75,38.83,43520,52340,72280,80770,,135474020,6923830,102840,2258240
Connecticut,2007,34690,3.7,32.16,31.96,66890,66470,0.8,23.38,27.31,36.99,41.52,48630,56810,76940,86370,,135474020,6923830,89850,1682220
Delaware,2007,8420,8.2,31.51,30.84,65550,64140,1.8,23.36,26.72,35.62,38.99,48600,55580,74080,81110,,135474020,6923830,23000,425960
District of Columbia,2007,8110,10.9,32.09,32.24,66750,67060,2.2,22.33,26.7,36.89,43.07,46440,55530,76740,89580,,135474020,6923830,25570,620970
Florida,2007,148180,2.6,28.58,27.43,59450,57060,0.7,19.89,23.14,32.26,38.81,41380,48130,67090,80720,,135474020,6923830,418750,7963010
Georgia,2007,62230,2.6,27.57,27.28,57350,56730,0.9,19.26,22.91,31.49,36.75,40070,47650,65510,76440,,135474020,6923830,189850,4058370
Hawaii,2007,9620,12.1,35.68,35.37,74220,73580,1.9,25.96,30.52,41.15,46.32,53990,63480,85600,96350,,135474020,6923830,25360,610310
Idaho,2007,9600,5.9,25.94,25.25,53960,52530,1.4,18.67,21.41,29.66,34.96,38840,44530,61690,72710,,135474020,6923830,28760,641960
Illinois,2007,104130,2.5,29.36,28.8,61060,59900,0.8,19.8,24.02,34.48,39.95,41180,49960,71720,83090,,135474020,6923830,301930,5894670
Indiana,2007,54770,2.5,26.44,26.15,54990,54400,0.7,18.61,21.76,30.73,35.81,38720,45260,63910,74480,,135474020,6923830,156820,2928780
Iowa,2007,29550,4.1,23.63,23.04,49140,47920,0.9,16.81,19.83,27.03,30.61,34960,41240,56230,63670,,135474020,6923830,73580,1488360
Kansas,2007,24070,2.8,25.2,24.33,52420,50610,1,18.02,20.79,28.77,33.11,37490,43250,59830,68880,,135474020,6923830,67150,1347670
Kentucky,2007,39120,3.9,26.83,25.6,55800,53250,1,19.15,21.74,29.68,35.61,39830,45220,61730,74070,,135474020,6923830,104200,1801800
Louisiana,2007,39090,3,26.77,25.67,55670,53390,1,18.42,21.46,30.17,36.23,38310,44630,62750,75360,,135474020,6923830,108040,1847230
Maine,2007,13850,2.7,27.89,27.13,58010,56420,1.6,20.1,22.96,31.81,37.59,41820,47750,66170,78190,,135474020,6923830,35680,600020
Maryland,2007,48840,3.9,33.89,33.69,70480,70080,1.3,23.23,27.7,39.92,46.5,48310,57610,83030,96730,,135474020,6923830,137570,2551910
Massachusetts,2007,78280,4.3,36.03,34.6,74940,71970,1.1,24.53,28.33,43.51,51.5,51020,58930,90510,107110,,135474020,6923830,206410,3207840
Michigan,2007,84480,2.2,29.34,28.77,61030,59840,0.8,21.29,25.03,33.14,37.26,44280,52070,68930,77500,,135474020,6923830,237140,4210550
Minnesota,2007,52690,3.8,32.46,31.86,67510,66270,1,22.42,26.62,37.42,43.25,46630,55360,77830,89960,,135474020,6923830,147650,2687740
Mississippi,2007,25350,4,25.67,24.26,53400,50460,1.1,17.54,20.67,29.12,35.6,36480,43000,60580,74050,,135474020,6923830,66080,1128980
Missouri,2007,56290,3,26.3,25.59,54710,53230,0.7,18.11,21.36,30.34,35.66,37660,44430,63110,74160,,135474020,6923830,162430,2732920
Montana,2007,7160,2.6,25.63,25.21,53320,52450,1.2,18.33,21.37,29.5,34.12,38130,44460,61360,70960,,135474020,6923830,22240,435480
Nebraska,2007,17870,2.7,25.25,24.48,52520,50910,1,18.05,20.77,29.32,34.34,37550,43210,60980,71430,,135474020,6923830,50340,914670
Nevada,2007,14670,2.5,32.42,32.73,67430,68070,1,24.04,27.89,37.24,41.35,50000,58010,77470,86000,,135474020,6923830,41870,1285470
New Hampshire,2007,12730,5.1,28.32,27.73,58900,57670,1.4,20.51,23.31,32.7,37.61,42670,48480,68020,78230,,135474020,6923830,33170,632590
New Jersey,2007,78510,3.4,34.08,34.02,70900,70760,0.7,25.08,29.21,38.91,45.07,52160,60760,80930,93750,,135474020,6923830,199640,3980080
New Mexico,2007,11400,5.4,28.64,28.62,59570,59540,1,20.41,23.92,33.63,37.31,42450,49750,69960,77610,,135474020,6923830,39820,798640
New York,2007,166990,1.7,33.47,32.43,69620,67460,1.7,21.4,26.04,39.89,47.26,44520,54160,82970,98300,,135474020,6923830,452980,8515960
