cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Le Moutier,https://www.cheese.com/le-moutier/,goat,Canada,Québec,NA,fresh firm,NA,NA,firm,natural,white,sweet,NA,NA,NA,NA,NA,Fromagerie de l'Abbaye Saint-Benoît
Le Reflet de Portneuf,https://www.cheese.com/le-reflet-de-portneuf/,,Canada,Quebec,NA,soft,30%,NA,"buttery, creamy",washed,cream,"buttery, creamy, mushroomy",NA,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Le St-Raymond,https://www.cheese.com/le-st-raymond/,,Canada,Quebec,NA,soft,20%,NA,"smooth, supple",washed,ivory,"fruity, nutty, woody",NA,NA,NA,NA,Le Saint-Raymond,La Maison Alexis de Portneuf Inc.
Le Wavreumont,https://www.cheese.com/le-wavreumont/,cow,Belgium,Wallonia,NA,"semi-soft, artisan",NA,NA,"buttery, creamy, semi firm, smooth, soft",washed,pale yellow,"buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",NA,NA,NA,NA,Fromagerie des Ardennes sprl
Leafield,https://www.cheese.com/leafield/,sheep,Great Britain,Oxfordshire,Brie,"hard, artisan",48%,NA,chewy,natural,pale yellow,fruity,fruity,TRUE,FALSE,NA,NA,NA
Lebbene,https://www.cheese.com/lebbene/,"goat, sheep",Israel,NA,NA,soft,45%,NA,,natural,white,mild,mild,NA,NA,Gibne,"Lebney, Labaneh",NA
Leerdammer,https://www.cheese.com/leerdammer/,cow,Netherlands,"Schoonrewoerd, Leerdam",Gouda,semi-hard,NA,NA,"creamy, open, smooth",natural,white,"mild, nutty, sweet",NA,TRUE,FALSE,NA,NA,NA
Legacy,https://www.cheese.com/legacy/,cow,United States,Missouri,Gouda,"semi-hard, artisan",NA,NA,creamy,rindless,pale yellow,creamy,aromatic,TRUE,FALSE,NA,NA,Heartland Creamery
Legato,https://www.cheese.com/legato/,cow,United States,California,Camembert,"soft, soft-ripened",NA,NA,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE,NA,NA,Andante Dairy
Lemon Fetish,https://www.cheese.com/lemon-fetish/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",NA,NA,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",NA,NA,NA,NA,Fifth Town Artisan Cheese
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,NA,"fresh firm, artisan",45%,NA,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Leonora®,https://www.cheese.com/leonora/,goat,Spain,Castilla Leon,NA,"semi-soft, artisan",NA,NA,soft-ripened,bloomy,white,"lemony, mushroomy",lactic,FALSE,FALSE,NA,NA,NA
Les Calendos,https://www.cheese.com/les-calendos/,cow,Canada,Quebec,Camembert,"soft, soft-ripened",NA,NA,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",NA,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Leyden,https://www.cheese.com/leyden/,cow,Netherlands,Leiden,Gouda,"semi-hard, artisan",30-40%,NA,firm,NA,yellow,"spicy, tangy",aromatic,FALSE,FALSE,"Leidse Kaas, Cumin cheese, Boeren-Leidse, Boeren-Leidse kaas, Farmers Leiden",NA,NA
Liburnski Sir,https://www.cheese.com/liburnski-sir/,"cow, goat, sheep",Croatia,old Liburnia (Dalmatia),NA,"hard, artisan",NA,NA,"creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",TRUE,FALSE,NA,NA,SIRANA GLIGORA D.O.O
Lil Moo,https://www.cheese.com/lil-moo/,cow,United States,Georgia,NA,soft,NA,NA,"creamy, dense, spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",NA,NA,NA,NA,Sweet Grass Dairy
Liliputas,https://www.cheese.com/liliputas/,cow,Lithuania,Belvederis,NA,semi-hard,50%,NA,"elastic, firm",waxed,yellow,milky,"fresh, lactic",NA,NA,NA,NA,NA
Limburger,https://www.cheese.com/limburger/,cow,"Belgium, Germany, Netherlands",Duchy of Limburg,NA,"semi-soft, smear-ripened",42%,497 mg/100g,"crumbly, firm, smooth",washed,straw,"grassy, mild, mushroomy",stinky,FALSE,FALSE,NA,Limburger Kase,NA
Lincoln Log,https://www.cheese.com/lincoln-log/,goat,United States,"Ann Arbor, MI",NA,"semi-soft, soft-ripened",NA,NA,"creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE,NA,NA,Zingerman's Creamery
Lincolnshire Poacher,https://www.cheese.com/lincolnshire-poacher/,cow,England,NA,Cheddar,hard,NA,NA,creamy,NA,yellow,"nutty, sweet",earthy,NA,NA,NA,NA,F.W.Read & Sons Ltd
Lindale,https://www.cheese.com/lindale/,cow,United States,North Carolina,Gouda,"semi-soft, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"buttery, sweet",rich,FALSE,FALSE,NA,NA,Goat Lady Dairy
Lindy Hop,https://www.cheese.com/lindy-hop/,cow,United States,Vermont,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,straw,"creamy, grassy, mild","rich, strong",FALSE,FALSE,NA,NA,Dancing Cow Farm
Lingot des Causses,https://www.cheese.com/lingot-des-causses/,goat,France,NA,NA,soft,NA,NA,"creamy, firm",NA,NA,NA,"buttery, clean, fresh",NA,NA,NA,NA,NA
Lingot Saint Bousquet d'Orb,https://www.cheese.com/lingot-saint-bousquet-dorb/,goat,France,Herault,Brie,"soft, artisan",NA,NA,smooth,natural,white,sweet,herbal,FALSE,FALSE,NA,NA,NA
Liptauer,https://www.cheese.com/liptauer/,cow,United States,"Ann Arbor, Michigan",NA,"fresh soft, artisan",NA,NA,,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",TRUE,FALSE,NA,NA,Zingerman's Creamery
Little Bloom on the Prairie,https://www.cheese.com/little-bloom-prairie/,goat,United States,Illinois,Camembert,"soft, soft-ripened",NA,NA,"creamy, dense, smooth, soft-ripened",mold ripened,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic",FALSE,FALSE,NA,NA,Prairie Fruits Farm
Little Colonel,https://www.cheese.com/little-colonel/,cow,"England, Great Britain, United Kingdom",Dorset,NA,"semi-soft, artisan",NA,NA,"smooth, supple",washed,pale yellow,spicy,pungent,TRUE,FALSE,NA,NA,James’s Cheese
Little Dragon,https://www.cheese.com/little-dragon/,goat,United States,"Ann Arbor, Michigan",NA,soft,NA,NA,creamy,NA,white,"citrusy, creamy, mellow, sweet","fresh, herbal",FALSE,FALSE,NA,NA,Zingerman's Creamery
Little Napoleon,https://www.cheese.com/little-napoleon/,goat,United States,"Ann Arbor, Michigan",NA,"hard, artisan",NA,NA,firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",FALSE,FALSE,NA,NA,Zingerman's Creamery
Little Qualicum Raclette,https://www.cheese.com/little-qualicum-raclette/,cow,Canada,British Columbia,Raclette,"semi-soft, artisan",NA,NA,"firm, supple",washed,ivory,"meaty, strong","pungent, stinky",NA,NA,NA,NA,Little Qualicum Cheeseworks
Little Rydings,https://www.cheese.com/little-rydings/,sheep,England,North Wootton,NA,"soft, artisan",48%,NA,"creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",TRUE,FALSE,NA,NA,Wootton Organic Dairy
Little Ypsi,https://www.cheese.com/little-ypsi/,goat,United States,"Ann Arbor, Michigan",NA,"semi-soft, artisan",NA,NA,"buttery, firm",natural,ivory,buttery,buttery,FALSE,FALSE,NA,NA,Zingerman's Creamery
Livarot,https://www.cheese.com/livarot/,cow,France,NA,NA,"soft, artisan",NA,NA,creamy,washed,NA,full-flavored,"pungent, strong",FALSE,FALSE,NA,NA,NA
Llanboidy,https://www.cheese.com/llanboidy/,cow,Wales,Carmarthenshire,Cheddar,"hard, artisan",NA,NA,"firm, smooth",natural,white,"buttery, spicy","grassy, sweet",FALSE,FALSE,NA,NA,Llanboidy
Llanglofan Farmhouse,https://www.cheese.com/llanglofan-farmhouse/,cow,"Great Britain, United Kingdom, Wales",Pembrokeshire,NA,"hard, artisan",45%,NA,"crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",TRUE,FALSE,NA,"Llangloffan White Farmhouse Cheese, Llangloffan Red Farmhouse Cheese, Llangloffan Smoked Farmhouse Cheese, Llangloffan Garlic & Chive Farmhouse Cheese",CARMARTHENSHIRE CHEESE COMPANY
Lo Sburrato,https://www.cheese.com/lo-sburrato/,sheep,Italy,Tuscany,Pecorino,"semi-soft, artisan",NA,NA,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,NA,NA,NA,NA,Caseificio Pinzani Srl
Lo Speziato,https://www.cheese.com/lo-speziato/,cow,Italy,"Treviso, Veneto",NA,"soft, artisan",NA,NA,compact,natural,ivory,"full-flavored, spicy",fresh,NA,NA,NA,NA,Moro Latteria di Moro Sergio
Loch Arthur Farmhouse,https://www.cheese.com/loch-arthur-farmhouse/,cow,Scotland,Dumfries,Cheddar,hard,48%,NA,firm,NA,NA,nutty,NA,TRUE,FALSE,NA,NA,Loch Arthur Creamery
Loddiswell Avondale,https://www.cheese.com/loddiswell-avondale/,goat,England,Devon,NA,semi-soft,NA,NA,,washed,orange,sweet,goaty,FALSE,FALSE,NA,NA,Jocelyn and Bill Martin
Loma Alta,https://www.cheese.com/loma-alta/,cow,United States,California,Camembert,"semi-soft, soft-ripened",NA,NA,firm,mold ripened,white,"buttery, nutty",rich,FALSE,FALSE,Blue Mountain,NA,Nicasio Valley Cheese Company
Longhorn,https://www.cheese.com/longhorn/,cow,United States,"Colby, Wisconsin",Cheddar,semi-hard,NA,NA,"firm, open, springy",rindless,orange,"mild, sweet",NA,FALSE,FALSE,NA,"Colby Longhorn, Longhorn Cheddar, Colby Jack Longhorn, Pepper Jack Longhorn, Low Sodium Colby Longhorn",Williams Cheese Company
Lord of the Hundreds,https://www.cheese.com/lord-hundreds/,sheep,United Kingdom,East Sussex,NA,"semi-hard, artisan",NA,NA,"firm, grainy, open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",TRUE,FALSE,NA,NA,Traditional Cheese Dairy
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",NA,"fresh firm, artisan, soft-ripened",NA,NA,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",NA,NA,NA,NA,Fifth Town Artisan Cheese
Lou Bergier Pichin,https://www.cheese.com/lou-bergier/,cow,Italy,Piemonte,NA,"semi-soft, artisan",NA,NA,"buttery, open, smooth",natural,brown,"creamy, floral, mushroomy","grassy, milky",TRUE,FALSE,Lou Bergier Pichin,NA,NA
Lou Palou,https://www.cheese.com/lou-palou/,cow,France,Pyrénées,NA,semi-soft,NA,NA,"elastic, smooth",NA,NA,NA,pleasant,FALSE,FALSE,NA,NA,NA
Lou Pevre,https://www.cheese.com/lou-pevre/,goat,France,Provence,NA,"soft, processed",NA,NA,smooth,natural,white,acidic,goaty,FALSE,FALSE,NA,NA,NA
Lunetta,https://www.cheese.com/lunetta/,cow,"Canada, Italy",Lombardy,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,"creamy, salty","aromatic, fresh",NA,NA,NA,NA,Fifth Town Artisan Cheese
Lyburn Garlic and Nettle,https://www.cheese.com/lyburn-garlic-and-nettle/,cow,"England, Great Britain, United Kingdom",Landford,NA,"semi-soft, artisan",NA,NA,"creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",TRUE,FALSE,NA,NA,Lyburn Farm
Lyburn Gold,https://www.cheese.com/lyburn-gold/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan",NA,NA,"creamy, open, smooth",washed,brownish yellow,nutty,NA,TRUE,FALSE,NA,NA,Lyburn Farm
Lyburn Lightly Oak Smoked,https://www.cheese.com/lyburn-lightly-oak-smoked/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan",NA,NA,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,TRUE,FALSE,NA,NA,Lyburn Farm
Lyburn's Winchester,https://www.cheese.com/lyburns-winchester/,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"hard, artisan",NA,NA,creamy,natural,brownish yellow,"creamy, nutty",NA,TRUE,FALSE,NA,NA,Lyburn Farm
Maasdam,https://www.cheese.com/maasdam/,cow,Netherlands,All Holland,Gouda,semi-hard,45%,NA,"creamy, open, supple",NA,pale yellow,"buttery, nutty, sweet",fruity,FALSE,FALSE,NA,Maasdammer,NA
Macadamia Nut Cheese,https://www.cheese.com/macadamia-nut-cheese/,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, nutty, sweet",nutty,TRUE,FALSE,NA,Aged Macadamia Cheese,Dr. Cow Tree Nut Cheese
Macconais,https://www.cheese.com/macconais/,"cow, goat",France,Bourgogne,Blue,"soft, artisan, soft-ripened",NA,NA,"creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,FALSE,FALSE,Chevreton de Macon,NA,NA
Madrona,https://www.cheese.com/madrona/,goat,United States,Oregon,NA,"semi-soft, artisan",NA,NA,creamy,natural,ivory,mild,"fruity, herbal",NA,NA,NA,NA,Briar Rose Creamery
Maffra Aged Rinded Cheddar,https://www.cheese.com/maffra-aged-rinded-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",NA,NA,"buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,FALSE,FALSE,Maffra Cloth Bound Cheddar,NA,Maffra Cheese Company Pty Ltd
Maffra Cheshire,https://www.cheese.com/maffra-cheshire/,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"mellow, salty, sharp, tart",NA,TRUE,FALSE,NA,NA,Maffra Cheese Company Pty Ltd
Maffra Dargo Walnut,https://www.cheese.com/maffra-dargo-walnut/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",NA,NA,Maffra Dargo Walnut Red Leicester,NA,Maffra Cheese Company Pty Ltd
Maffra Mature Cheddar,https://www.cheese.com/maffra-mature-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",NA,NA,"creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",NA,TRUE,FALSE,"Mature Cheddar Red Wax, Maffra Red Wax Cheddar",NA,Maffra Cheese Company Pty Ltd
Maffra Peppercorn Cheddar,https://www.cheese.com/maffra-peppercorn-cheddar/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"creamy, firm",natural,yellow,"creamy, spicy",spicy,NA,NA,NA,NA,Maffra Cheese Company Pty Ltd
Maffra Red Leicester,https://www.cheese.com/maffra-red-leicester/,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,"buttery, creamy, dense, smooth",NA,brownish yellow,"creamy, mellow, smooth",NA,TRUE,FALSE,NA,NA,Maffra Cheese Company Pty Ltd
Maffra Sage Derby,https://www.cheese.com/maffra-sage-derby/,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"firm, smooth",NA,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",TRUE,FALSE,NA,NA,Maffra Cheese Company Pty Ltd
Maffra Wensleydale,https://www.cheese.com/maffra-wensleydale/,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"creamy, lemony",NA,NA,NA,NA,NA,Maffra Cheese Company Pty Ltd
Maggie's Round,https://www.cheese.com/maggies-round/,cow,United States,Massachusetts,Tomme,"semi-hard, artisan",NA,NA,"firm, smooth",natural,blue-grey,"buttery, citrusy, nutty, sharp","earthy, fruity, herbal",TRUE,FALSE,NA,NA,Cricket Creek Farm
Magna,https://www.cheese.com/magna/,cow,Sweden,Oviken,Blue,"firm, artisan, blue-veined",34%,NA,,mold ripened,ivory,"full-flavored, salty, sharp",NA,NA,NA,NA,NA,Oviken cheese
Mahoe Aged Gouda,https://www.cheese.com/mahoe-aged-gouda/,cow,Netherlands,NA,Gouda,NA,NA,NA,firm,NA,yellow,nutty,NA,NA,NA,NA,NA,Mahoe Farmhouse Cheese
Mahón,https://www.cheese.com/mahon/,cow,Spain,"Menorca, Balearic Islands",NA,"semi-hard, artisan",NA,NA,"crumbly, dense",washed,pale yellow,"buttery, salty","nutty, sweet",FALSE,FALSE,"Mahon Reserva, Aged Mahon, Artesano Mahón, Artisanal Mahón, formatge de Maó, queso de Mahón",NA,NA
Maida Vale,https://www.cheese.com/maida-vale/,cow,England,NA,NA,semi-soft,NA,NA,"buttery, soft, supple",washed,pink and white,"grassy, meaty, nutty, savory, umami, vegetal","barnyardy, earthy, grassy, stinky, yeasty",TRUE,FALSE,NA,NA,Village Maid Cheese
Maisie's Kebbuck,https://www.cheese.com/maisies-kebbuck/,cow,"Great Britain, Scotland, United Kingdom",Lanarkshire,NA,"semi-hard, artisan",29.8%,NA,"creamy, crumbly",natural,white,NA,fresh,TRUE,FALSE,NA,NA,Errington Cheese Ltd.
Majorero,https://www.cheese.com/majorero/,goat,Spain,Canary Islands,NA,semi-hard,NA,NA,"buttery, creamy",natural,pale white,acidic,"milky, nutty",FALSE,FALSE,"Queso Majorero, Queso Fuerteventura, Majorero PDO, Majorero DOP",NA,NA
Malvarosa®,https://www.cheese.com/malvarosa/,sheep,Spain,Valencia,NA,"semi-firm, artisan",NA,NA,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",FALSE,FALSE,Malvarosa,NA,NA
Malvern,https://www.cheese.com/malvern/,sheep,"England, Great Britain, United Kingdom",Severn Valley,NA,"semi-hard, artisan",50%,NA,"creamy, dense",NA,ivory,"butterscotch, herbaceous, sweet",NA,TRUE,FALSE,NA,NA,NA
Mamirolle,https://www.cheese.com/mamirolle/,cow,"Canada, France","Plessisville, Quebec",NA,"semi-soft, artisan",23%,NA,"chewy, supple",washed,ivory,"buttery, fruity, salty, sweet","earthy, pungent",FALSE,FALSE,NA,NA,Eco-Delices Inc.
Manchego,https://www.cheese.com/manchego/,sheep,Spain,NA,NA,hard,NA,NA,"compact, firm",NA,pale yellow,"buttery, nutty",NA,NA,NA,Queso Manchego,NA,NA
Mandolin,https://www.cheese.com/mandolin/,cow,Australia,South Australia,NA,"semi-hard, artisan, smear-ripened",45%,NA,"crumbly, soft, supple",leaf wrapped,pale yellow,"creamy, grassy, smooth","grassy, herbal",TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Mango Rebel,https://www.cheese.com/mango-rebel/,cow,Austria,Sulzberg,NA,"semi-hard, artisan",50%,NA,"creamy, firm",natural,pale yellow,"fruity, spicy","fresh, fruity",NA,NA,Mangorebell,NA,Sulzberger Käserebellen Sennerei GmbH
Manon,https://www.cheese.com/manon/,goat,Australia,South Australia,NA,"fresh soft, artisan",45%,NA,"creamy, smooth",leaf wrapped,white,"creamy, garlicky, spicy, strong","aromatic, garlicky, spicy, strong",TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Manouri,https://www.cheese.com/manouri/,"goat, sheep",Greece,"Central and Western Macedonia, Thessalia",Feta,"semi-soft, whey",36-38%,NA,creamy,rindless,white,"mild, milky","clean, nutty, subtle",NA,NA,Manoypi,NA,NA
Manteca,https://www.cheese.com/manteca/,cow,Italy,Basilicata,NA,"semi-soft, artisan",NA,NA,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",FALSE,FALSE,"Butirro , Burrino, Burriello",NA,Casa Madaio
Manur,https://www.cheese.com/manur/,"cow, sheep",Serbia,NA,NA,"hard, artisan",40%,NA,creamy,natural,NA,salty,NA,FALSE,FALSE,NA,NA,NA
Marble Cheddar,https://www.cheese.com/marble-cheddar/,cow,United Kingdom,NA,Cheddar,"hard, processed",NA,NA,"firm, smooth",rindless,NA,creamy,rich,NA,NA,NA,NA,NA
Marble Cheese,https://www.cheese.com/marbled-cheeses/,cow,United Kingdom,NA,NA,"hard, processed",NA,NA,firm,rindless,golden orange,"mild, smooth, sweet, tangy",NA,FALSE,FALSE,NA,"Marble Cheddar, Marbled Cheese",NA
Marco Polo,https://www.cheese.com/marco-polo/,cow,United States,"Seattle, Washington",Cheddar,"hard, artisan",NA,NA,"creamy, crumbly",cloth wrapped,ivory,creamy,"clean, rich",NA,NA,NA,NA,Beecher's
Maredsous,https://www.cheese.com/maredsous/,cow,Belgium,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
Margot,https://www.cheese.com/margotin/,cow,Italy,Piemonte,NA,semi-soft,NA,NA,firm,natural,cream,"bitter, full-flavored",NA,FALSE,FALSE,NA,NA,NA
Maribo,https://www.cheese.com/maribo/,cow,Denmark,Maribo,Gouda,"semi-hard, artisan",35-40%,NA,"creamy, firm, open",waxed,pale yellow,tangy,strong,FALSE,FALSE,NA,NA,NA
Marin French Triple Crème,https://www.cheese.com/marin-french-triple-creme/,cow,United States,"Petaluma, California",Brie,soft,NA,NA,"fluffy, smooth",bloomy,NA,sweet,"rich, sweet",NA,NA,"3 Triple Crème Brie, Truffle Brie, Triple Crème Brie with Truffles",NA,Marin French Cheese
Marisa,https://www.cheese.com/marisa/,sheep,United States,Wisconsin,NA,"semi-soft, artisan",NA,NA,"dense, firm",NA,white,"mellow, sweet",pleasant,TRUE,FALSE,NA,NA,Carr Valley Cheese Company
Maroilles,https://www.cheese.com/maroilles/,cow,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",washed,NA,sweet,NA,FALSE,FALSE,NA,Marolles,NA
Martha's Heat,https://www.cheese.com/marthas-heat/,cow,Australia,"Mornington Peninsula, Melbourne",Cheddar,"hard, artisan",NA,NA,,NA,brownish yellow,"smokey , spicy","smokey, spicy",TRUE,FALSE,NA,NA,BoatShed Cheese
Mascares,https://www.cheese.com/mascares/,"goat, sheep",France,Provencale,Tomme,"fresh soft, artisan",NA,NA,smooth,leaf wrapped,white,NA,"earthy, floral",FALSE,FALSE,NA,NA,NA
Mascarpone,https://www.cheese.com/mascarpone/,cow,Italy,Lombardy,NA,fresh soft,NA,NA,"buttery, creamy, smooth, spreadable",rindless,white,"buttery, creamy, mild",fresh,NA,NA,Mascarpone Australian,NA,NA
Mastorazio,https://www.cheese.com/mastorazio/,sheep,Italy,Campania,NA,"hard, artisan",NA,NA,"compact, dense",natural,pale yellow,"herbaceous, nutty, sharp, spicy","herbal, milky",FALSE,FALSE,NA,NA,Casa Madaio
Matocq,https://www.cheese.com/matocq/,"cow, sheep",France,NA,NA,"semi-hard, processed",50%,NA,chewy,NA,cream,"acidic, nutty",nutty,FALSE,FALSE,NA,NA,NA
Mature Wensleydale,https://www.cheese.com/mature-wensleydale/,cow,"England, United Kingdom",North Yorkshire,NA,"hard, artisan",48%,NA,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe",FALSE,FALSE,NA,Ryp Wensleydale,Wensleydale Creamery
May Hill Green,https://www.cheese.com/may-hill-green/,cow,"England, Great Britain, United Kingdom",Gloucestershire,NA,"semi-soft, artisan",NA,NA,runny,leaf wrapped,cream,"creamy, milky",strong,TRUE,FALSE,NA,Mayhill Green,Charles Martell & Son Limited
Maytag Blue,https://www.cheese.com/maytag-blue/,cow,United States,Iowa,Blue,"semi-hard, blue-veined",NA,NA,"crumbly, dense",rindless,cream,"lemony, savory, tangy","pungent, strong",NA,NA,NA,NA,Maytag Dairy Farms
McLaren,https://www.cheese.com/mclaren/,cow,Australia,South Australia,Camembert,"soft, artisan, soft-ripened",35%,NA,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Medallion,https://www.cheese.com/medallion/,cow,United States,Maine,NA,"soft, artisan",NA,NA,"creamy, smooth",bloomy,pale yellow,"mushroomy, sweet",rich,TRUE,FALSE,NA,NA,Lakin's Gorges Cheese LLC
Meira,https://www.cheese.com/meira/,sheep,Iraq,NA,NA,semi-hard,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,Mira,NA,NA
Melange,https://www.cheese.com/melange/,"cow, goat",United States,California,Brie,"soft, soft-ripened",NA,NA,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,NA,NA,NA,NA,Andante Dairy
Melange Brie,https://www.cheese.com/melange-brie/,"cow, goat",United States,California,Brie,"soft, soft-ripened",NA,NA,"creamy, smooth, soft-ripened",bloomy,ivory,"buttery, creamy, mild, piquant, sweet, tangy","earthy, goaty, mushroom",TRUE,FALSE,NA,NA,Marin French Cheeese Co.
Melinda Mae,https://www.cheese.com/melinda-mae/,cow,United States,"Lebanon, CT",Brie,"soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, runny, smooth, soft",bloomy,ivory,"buttery, mild, piquant, pungent, savory, subtle, sweet","fruity, musty, yeasty",NA,NA,NA,NA,The Mystic Cheese Company
Melville,https://www.cheese.com/melville/,goat,United States,"Lebanon, CT",NA,"fresh soft, artisan, soft-ripened",NA,NA,"elastic, oily, soft, supple",NA,white,"acidic, buttery, mild, sweet, tart",fresh,NA,NA,NA,NA,The Mystic Cheese Company
Menage,https://www.cheese.com/menage/,"cow, goat, sheep",United States,Wisconsin,NA,semi-hard,NA,NA,"creamy, dry, firm",waxed,ivory,"full-flavored, strong",pleasant,TRUE,FALSE,NA,NA,Carr Valley Cheese Company
Menallack Farmhouse,https://www.cheese.com/menallack-farmhouse/,cow,England,NA,NA,hard,NA,NA,,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA
Menonita,https://www.cheese.com/menonita/,cow,Mexico,NA,Cheddar,semi-soft,NA,NA,firm,natural,pale yellow,"buttery, mild",NA,NA,NA,"Queso Chihuahua, Chihuahua cheese, Queso menonita, Campresino Menonita",NA,NA
Meredith Ashed Pyramids,https://www.cheese.com/meredith-ashed-pyramids/,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",ash coated,white,"creamy, smooth",fresh,NA,NA,NA,NA,Meredith Dairy
Meredith Blue,https://www.cheese.com/meredith-blue/,sheep,Australia,"Ballarat, Victoria",Blue,"soft, semi-soft, artisan, blue-veined",NA,NA,creamy,natural,blue,"mild, mushroomy, sweet","fresh, goaty",FALSE,FALSE,NA,NA,Meredith Dairy
Meredith Chevre Ash,https://www.cheese.com/meredith-chevre-ash/,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",ash coated,white,"creamy, smooth","clean, fresh",TRUE,FALSE,NA,NA,Meredith Dairy
Meredith Chevre Dill,https://www.cheese.com/meredith-chevre-dill/,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE,NA,NA,Meredith Dairy
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,NA,NA,Meredith Dairy
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",NA,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",NA,NA,NA,NA,Meredith Dairy
