title,url,rating,subtitle,author,published,claim
Was the Mayonnaise on a Chicken Sandwich Actually a Tumor?,https://www.snopes.com/fact-check/chicken-sandwich-tumor/,false,"""It turns out that the piece of chicken contained a tumor, and when the woman bit into it it exploded, releasing some kind of pus-like substance.""",Barbara Mikkelson,1999-07-05,The mayonnaise oozing from a chicken sandwich turned out to be pus from a tumor in the chicken.
The Body Under the Bed,https://www.snopes.com/fact-check/the-bawdy-under-the-bed/,true,A vacationing couple staying in a foul-smelling motel room discovered a body hidden under their bed.,Barbara Mikkelson,1999-06-12,A vacationing couple staying in a foul-smelling motel room discovered a body hidden under their bed.
Have People Been Buried Alive?,https://www.snopes.com/fact-check/just-dying-to-get-out/,true,And could it still happen?,Barbara Mikkelson,1999-06-09,People have been buried alive by mistake.
Motorcyle Drives Between Headlights,https://www.snopes.com/fact-check/threading-the-needle/,legend,Motorcyclist comes to untimely end when he takes oncoming headlights of a truck for two motorcycles.,Barbara Mikkelson,1999-05-30,"A motorcyclist comes to an untimely end when he chooses to ""thread the needle"" by driving between two oncoming bikes."
Spiders in Cheek,https://www.snopes.com/fact-check/the-travel-bug/,false,Did a swelling on a girl's cheek break open and disgorge hundreds of baby spiders?,Barbara Mikkelson,1999-05-11,A swelling on a girl's cheek breaks open and disgorges hundreds of baby spiders.
Woman Goes Insane After Finding Body Part in Bed,https://www.snopes.com/fact-check/arm-stammer/,legend,A girl goes insane after a medical student slips a cadaver's arm into her bed as a practical joke.,Barbara Mikkelson,1999-05-02,A girl goes insane after a medical student slips a cadaver's arm into her bed as a practical joke.
Carjacking Irony,https://www.snopes.com/fact-check/carjack-and-jilted/,legend,"A driver foils an attempted carjacking by ignoring a 'body' lying on the road, then inadvertently kills her four would-be attackers.",Barbara Mikkelson,1999-04-29,"A lone driver spots a ""body"" lying on the road but takes a detour around it instead of stopping to investigate. She later discovers she made the right choice — she'd driven over the four men lying in wait for her."
Cat in Chinese Food,https://www.snopes.com/fact-check/cat-chinese-food/,false,Do Chinese restaurants serve cat meat?,Barbara Mikkelson,1999-04-29,Chinese restaurants in the U.S. use cat meat in their entrees.
Payphone Poison,https://www.snopes.com/fact-check/payphone-poison/,false,Are gang members putting a mixture of LSD and strychnine on pay phone buttons?,David Mikkelson,1999-04-06,Gang members all over the country are spreading a deadly mixture of LSD and strychnine on pay phone buttons.
The Babysitter and the Man Upstairs,https://www.snopes.com/fact-check/the-babysitter-and-the-man-upstairs/,legend,"A babysitter receives mysterious, threatening phone calls.",David Mikkelson,1999-03-29,"A babysitter left alone in charge of sleeping children receives several mysterious, threatening phone calls."
Deceased Pet Replaced,https://www.snopes.com/fact-check/dead-air/,legend,Dead pet shipped by air is mistakenly replaced with live animal.,David Mikkelson,1999-03-24,A pet owner ships the body of a beloved animal by air; unknowing baggage handlers fear they've killed the animal and replace it with a live one.
Hairy-Armed Hitchhiker,https://www.snopes.com/fact-check/shopping-mauled/,legend,A helpful male stranger begging a ride at a shopping mall turns out to be a crazed killer.,Barbara Mikkelson,1999-03-21,A helpful male stranger begging a ride at a shopping mall turns out to be a crazed killer.
Balcony Deaths,https://www.snopes.com/fact-check/death-trip/,false,Stranger trips young girls and sends them plummeting over theater balconies?,David Mikkelson,1999-03-15,Young girls are tripped by a stranger and sent plummeting to their deaths from theater balconies.
The Well to Hell,https://www.snopes.com/fact-check/the-well-to-hell/,false,"Urban legend claims scientists drilling in Siberia went too far and ended up punching a hole through to Hell, where the screams of the damned drifted up to them.",Barbara Mikkelson,1998-12-31,"Scientists drilling in Siberia went too far and ended up punching a hole through to Hell, where the screams of the damned drifted up to them."
Wife Crushes Husband,https://www.snopes.com/fact-check/wide-widow/,undetermined,Did a woman kill her husband by sitting on him?,Barbara Mikkelson,1998-12-31,A woman killed her husband by sitting on him.
The Great Molasses Flood of 1919,https://www.snopes.com/fact-check/the-great-molasses-flood/,true,"A deadly wave of molasses swept through Boston in January 1919, crushing and drowning 21 people.",Barbara Mikkelson,1998-12-30,A fatal wave of molasses swept through Boston in January 1919.
The Lost Wreck,https://www.snopes.com/fact-check/the-lost-wreck/,legend,Work crew discovers a decades-old wrecked car with several skeletons inside.,David Mikkelson,1998-12-29,Work crew discovers a decades-old wrecked car with several skeletons inside.
San Antonio Ghost Children,https://www.snopes.com/fact-check/san-antonio-ghost-tracks/,legend,Do the protective little ghosts of children killed at a railway crossing push stalled cars off the tracks?,Barbara Mikkelson,1998-12-07,The protective ghosts of little children killed at a railway crossing push stalled cars off the tracks.
Can a Bug Crawl in Your Ear and into Your Brain?,https://www.snopes.com/fact-check/insects-on-the-brain/,false,Bugs do wander into people's ears sometimes. But where can they go from there?,David Mikkelson,1998-12-05,"Bugs crawl into a person's ear, make their home there, then slowly eat their way through the brain."
Spiders in Cactus,https://www.snopes.com/fact-check/cactus-attacked-us/,false,Did a cactus explode and spew baby tarantulas everywhere?,Barbara Mikkelson,1998-12-04,A cactus can explode and spew baby tarantulas everywhere.
The Hook,https://www.snopes.com/fact-check/the-hook/,legend,An escaped killer interrupts a young couple's make-out session.,Barbara Mikkelson,1998-12-02,"A couple's late night make-out session is cut short when they hear a report on the car radio about an escaped killer (who has a hook for a hand) in the vicinity. The girl insists on being driven home immediately; upon arrival at her house, the boy discovers a bloody hook hanging from the passenger-side car door handle."
Semen Found in Fast Food,https://www.snopes.com/fact-check/secret-sauce/,false,Analysis of restaurant food eaten by a young woman reveals the presence of semen from HIV- or STD-positive men.,Barbara Mikkelson,1998-12-01,Analysis of restaurant food eaten by a young woman reveals the presence of semen from HIV- or STD-positive men.
Killer Goat,https://www.snopes.com/fact-check/snowball-in-hell/,true,The story of a goat who killed its owner and the campaign to save its life.,Barbara Mikkelson,1998-11-17,An abused goat kills its owner ... and then is saved from destruction by animal lovers.
Elmer McCurdy,https://www.snopes.com/fact-check/dead-man-gawking/,true,Did a dummy 'dead man' on a TV set turns out to be the real thing?,Barbara Mikkelson,1998-11-17,"The ""hanging man"" in a funhouse turns out to be the corpse of an outlaw."
LSD Users Stare at Sun,https://www.snopes.com/fact-check/blinded-by-the-light/,false,College students tripping on LSD stared at the sun until they went blind?,David Mikkelson,1998-11-03,Several students tripping on LSD stared at the sun until blinded.
Jinxed Limo,https://www.snopes.com/fact-check/jinxed-limo/,false,Did Archduke Franz Ferdinand's limousine curse all who owned it?,Barbara Mikkelson,1998-10-29,The limousine Archduke Franz Ferdinand rode to his death in brought a curse upon all those who subsequently owned it.
Haunted Toys 'R' Us,https://www.snopes.com/fact-check/haunted-toys-r-us/,legend,"Is the Toys 'R' Us store in Sunnyvale, California, haunted?",Barbara Mikkelson,1998-10-29,"The ghost of a disappointed lover haunts the Toys 'R' Us store in Sunnyvale, California."
Tug of War Dismemberment,https://www.snopes.com/fact-check/disarmament/,true,A photograph shows the aftermath of a grisly tug-of-war contest in which two men lost their arms.,David Mikkelson,1998-09-28,A photograph shows the aftermath of a grisly tug-of-war contest in which two men lost their arms.
Shannon's Friend,https://www.snopes.com/fact-check/shannons-friend/,false,Policeman cyberstalks a young girl to show her how information could be used to find someone?,Barbara Mikkelson,1998-09-21,A policeman stalks a young girl on the Internet to show her how easily even the most innocuous information can be used to find someone in real life.
Death and the Wedding Party,https://www.snopes.com/fact-check/death-and-the-wedding-party/,legend,The 1867 wedding of a princess and a duke was reportedly marred by tragedy on an unprecedented scale.,Barbara Mikkelson,1998-08-09,The 1867 wedding of a princess and a duke was marred by tragedy on an unprecedented scale.
HIV-Infected Needle Attacks,https://www.snopes.com/fact-check/hiv-infected-needle-attacks/,false,Decades-old rumor holds that madmen are jabbing unsuspecting moviegoers with HIV-infected needles.,Snopes Staff,1998-03-01,Madmen are injecting HIV-infected blood into unsuspecting moviegoers and random young people dancing in bars or at raves.
Dead Scuba Diver in Tree,https://www.snopes.com/fact-check/corpus-crispy/,false,Was the charred body of a scuba diver recovered from a tree after a forest fire?,Barbara Mikkelson,1997-11-02,The charred remains of a scuba diver were discovered in a tree after a forest fire.
Was a Volkswagen Beetle and Its Passengers Crushed Between Two Trucks?,https://www.snopes.com/fact-check/crushin-roulette/,legend,"Beep, beep. Crushed punch buggy.",David Mikkelson,1997-09-02,"Two large trucks that had collided head-on are pulled apart weeks later, revealing that a Volkswagen Beetle and its occupants had been crushed between them."
Shrink-to-Fit Jeans Death,https://www.snopes.com/fact-check/pants-macabre/,false,Did a pair of shrink-to-fit jeans strangle its wearer?,David Mikkelson,1997-08-31,The purchaser of a new pair of shrink-to-fit jeans attempted to achieve the perfect skin-tight size by wearing them while soaking in a bathtub and was killed by the crushing force of the constricted pants.
Fatal Golf Tee,https://www.snopes.com/fact-check/fatal-a-tee/,true,Was a golfer poisoned by chewing on his tee?,David Mikkelson,1997-08-18,A golfer in the habit of carrying his tee in his mouth while playing holes grows sicker and sicker over the course of a few days and then drops dead. A post-mortem reveals that the golfer had ingested a lethal dose of the pesticide sprayed on the golf course.
Rest Stop Fatality,https://www.snopes.com/fact-check/the-wrong-rest-stop/,legend,Did a runaway truck run over family picnicking on safety ramp?,David Mikkelson,1997-05-26,"A runaway truck careering down a steep hill turns off onto an emergency exit ramp, only to run a over a picnicking family who had mistaken the safety ramp for a rest stop."
The Roommate's Death,https://www.snopes.com/fact-check/the-roommates-death/,legend,Coed who remains in dorms over holidays discovers her roommate has been murdered.,David Mikkelson,1997-04-20,"Two roommates remain at their deserted college dormitory over a holiday break. One of the girls goes out on a date that evening, and the other one turns in and goes to bed before her roommate returns. Later that night the sleeping girl is awakened by gurgling and scratching noises coming from outside the hallway door. Frightened, she locks the door and cowers inside the room until morning. When the girl finally opens the door and ventures outside, she discovers the bloody corpse of her roommate in the hallway. The murdered girl's throat had been slit, and she had bled to death in the hallway while clawing at the door."
