city,state,city_size,mode,n,percent,moe,state_abb,state_region
Alton city,Illinois,Small,Walk,151,1.4,0.8,IL,North Central
Altoona city,Pennsylvania,Small,Walk,772,4,1.1,PA,Northeast
Alvin city,Texas,Small,Walk,199,1.9,1.1,TX,South
American Fork city,Utah,Small,Walk,193,1.9,0.7,UT,West
Ames city,Iowa,Small,Walk,3382,10.5,1.3,IA,North Central
Anderson city,Indiana,Small,Walk,953,4.4,0.9,IN,North Central
Anderson city,South Carolina,Small,Walk,438,4.1,1.6,SC,South
Andover city,Minnesota,Small,Walk,19,0.1,0.1,MN,North Central
Ankeny city,Iowa,Small,Walk,144,0.6,0.3,IA,North Central
Annapolis city,Maryland,Small,Walk,806,3.9,1,MD,South
Anniston city,Alabama,Small,Walk,147,1.7,0.6,AL,South
Apache Junction city,Arizona,Small,Walk,103,0.9,0.7,AZ,West
Apex town,North Carolina,Small,Walk,201,1.1,0.7,NC,South
Apopka city,Florida,Small,Walk,122,0.6,0.4,FL,South
Apple Valley city,Minnesota,Small,Walk,172,0.6,0.3,MN,North Central
Apple Valley town,California,Small,Walk,87,0.4,0.3,CA,West
Appleton city,Wisconsin,Small,Walk,1391,3.8,0.7,WI,North Central
Arcadia city,California,Small,Walk,304,1.2,0.5,CA,West
Ardmore city,Oklahoma,Small,Walk,280,2.7,1.1,OK,South
Arlington Heights village,Illinois,Small,Walk,582,1.6,0.5,IL,North Central
Arnold city,Missouri,Small,Walk,93,0.9,0.6,MO,North Central
Arvin city,California,Small,Walk,88,1.3,0.9,CA,West
Asheboro city,North Carolina,Small,Walk,137,1.4,0.8,NC,South
Asheville city,North Carolina,Small,Walk,1500,3.7,0.9,NC,South
Ashland city,Kentucky,Small,Walk,444,5.5,1.7,KY,South
Ashland city,Ohio,Small,Walk,628,7.2,1.7,OH,North Central
Ashland city,Oregon,Small,Walk,880,9.8,2.1,OR,West
Atascadero city,California,Small,Walk,98,0.7,0.6,CA,West
Athens city,Alabama,Small,Walk,87,1,0.7,AL,South
Athens city,Ohio,Small,Walk,3461,36.8,5.4,OH,North Central
Atlantic City city,New Jersey,Small,Walk,2701,17.8,2.7,NJ,Northeast
Attleboro city,Massachusetts,Small,Walk,535,2.4,0.9,MA,Northeast
Atwater city,California,Small,Walk,103,1.1,0.6,CA,West
Auburn city,Alabama,Small,Walk,1367,5.7,1.1,AL,South
Auburn city,Maine,Small,Walk,392,3.4,1.1,ME,Northeast
Auburn city,New York,Small,Walk,627,5.2,1.4,NY,Northeast
Auburn city,Washington,Small,Walk,646,2,0.5,WA,West
Auburn Hills city,Michigan,Small,Walk,341,3.1,1.4,MI,North Central
Austin city,Minnesota,Small,Walk,594,5.2,1.5,MN,North Central
Aventura city,Florida,Small,Walk,148,1.1,0.8,FL,South
Avon city,Ohio,Small,Walk,47,0.5,0.5,OH,North Central
Avon Lake city,Ohio,Small,Walk,58,0.6,0.4,OH,North Central
Avondale city,Arizona,Small,Walk,391,1.2,0.7,AZ,West
Azusa city,California,Small,Walk,1340,6.4,1.7,CA,West
Bainbridge Island city,Washington,Small,Walk,621,6.1,1.8,WA,West
Balch Springs city,Texas,Small,Walk,73,0.8,0.6,TX,South
Baldwin Park city,California,Small,Walk,561,1.8,0.5,CA,West
Ballwin city,Missouri,Small,Walk,302,1.9,0.8,MO,North Central
Bangor city,Maine,Small,Walk,959,5.9,1.5,ME,Northeast
Banning city,California,Small,Walk,101,1.1,0.8,CA,West
Barberton city,Ohio,Small,Walk,237,2,0.9,OH,North Central
Barnstable Town city,Massachusetts,Small,Walk,509,2.3,0.8,MA,Northeast
Barstow city,California,Small,Walk,644,7.5,3.4,CA,West
Bartlesville city,Oklahoma,Small,Walk,349,2.2,0.7,OK,South
Bartlett city,Tennessee,Small,Walk,91,0.3,0.2,TN,South
Bartlett village,Illinois,Small,Walk,159,0.7,0.6,IL,North Central
Batavia city,Illinois,Small,Walk,154,1.2,0.7,IL,North Central
Battle Creek city,Michigan,Small,Walk,802,3.9,0.9,MI,North Central
Bay City city,Michigan,Small,Walk,362,2.6,1,MI,North Central
Bayonne city,New Jersey,Small,Walk,2626,8.7,1.3,NJ,Northeast
Baytown city,Texas,Small,Walk,419,1.5,0.6,TX,South
Beaumont city,California,Small,Walk,106,0.7,0.5,CA,West
Beavercreek city,Ohio,Small,Walk,300,1.3,0.6,OH,North Central
Beaverton city,Oregon,Small,Walk,2370,5.3,1.2,OR,West
Bedford city,Texas,Small,Walk,323,1.2,0.7,TX,South
Bell city,California,Small,Walk,502,3.8,1.4,CA,West
Bell Gardens city,California,Small,Walk,554,3.4,1,CA,West
Bella Vista town,Arkansas,Small,Walk,181,1.7,1.6,AR,South
Belleville city,Illinois,Small,Walk,416,1.9,0.9,IL,North Central
Bellevue city,Nebraska,Small,Walk,226,0.9,0.3,NE,North Central
Bellflower city,California,Small,Walk,620,1.9,0.7,CA,West
Bellingham city,Washington,Small,Walk,3243,8.2,1.4,WA,West
Belmont city,California,Small,Walk,259,2,0.8,CA,West
Beloit city,Wisconsin,Small,Walk,679,4.5,1.1,WI,North Central
Belton city,Missouri,Small,Walk,39,0.4,0.3,MO,North Central
Belvidere city,Illinois,Small,Walk,242,2.3,1.4,IL,North Central
Benbrook city,Texas,Small,Walk,23,0.2,0.2,TX,South
Bend city,Oregon,Small,Walk,1090,3,1.1,OR,West
Benicia city,California,Small,Walk,261,2,1,CA,West
Benton city,Arkansas,Small,Walk,165,1.2,0.6,AR,South
Bentonville city,Arkansas,Small,Walk,398,2.3,1.1,AR,South
Bergenfield borough,New Jersey,Small,Walk,288,2.1,1.2,NJ,Northeast
Berwyn city,Illinois,Small,Walk,1157,4.7,1.3,IL,North Central
Bessemer city,Alabama,Small,Walk,69,0.7,0.6,AL,South
Bethel Park municipality,Pennsylvania,Small,Walk,156,1,0.4,PA,Northeast
Bethlehem city,Pennsylvania,Small,Walk,1631,5,1,PA,Northeast
Bettendorf city,Iowa,Small,Walk,141,0.9,0.5,IA,North Central
Beverly city,Massachusetts,Small,Walk,1336,6.4,1.2,MA,Northeast
Beverly Hills city,California,Small,Walk,889,5.4,1.2,CA,West
Biddeford city,Maine,Small,Walk,661,6,2.4,ME,Northeast
Big Spring city,Texas,Small,Walk,231,2.6,1.3,TX,South
Biloxi city,Mississippi,Small,Walk,2131,9.3,1.5,MS,South
Binghamton city,New York,Small,Walk,899,4.8,1.1,NY,Northeast
Birmingham city,Michigan,Small,Walk,185,1.9,0.9,MI,North Central
Bismarck city,North Dakota,Small,Walk,840,2.5,0.6,ND,North Central
Bixby city,Oklahoma,Small,Walk,19,0.2,0.2,OK,South
Blacksburg town,Virginia,Small,Walk,1836,10.6,1.9,VA,South
Blaine city,Minnesota,Small,Walk,232,0.8,0.3,MN,North Central
Bloomingdale village,Illinois,Small,Walk,99,0.9,0.8,IL,North Central
Bloomington city,Illinois,Small,Walk,1201,3.1,0.8,IL,North Central
Bloomington city,Indiana,Small,Walk,5067,14.4,1.5,IN,North Central
Bloomington city,Minnesota,Small,Walk,757,1.8,0.5,MN,North Central
Blue Island city,Illinois,Small,Walk,263,2.7,1.2,IL,North Central
Blue Springs city,Missouri,Small,Walk,187,0.7,0.4,MO,North Central
Blythe city,California,Small,Walk,147,2.7,1.3,CA,West
Boca Raton city,Florida,Small,Walk,936,2.4,0.6,FL,South
Bolingbrook village,Illinois,Small,Walk,347,1,0.3,IL,North Central
Bonita Springs city,Florida,Small,Walk,189,1.2,0.7,FL,South
Bossier City city,Louisiana,Small,Walk,815,2.7,0.7,LA,South
Bothell city,Washington,Small,Walk,237,1.4,0.6,WA,West
Bountiful city,Utah,Small,Walk,266,1.4,0.6,UT,West
Bowie city,Maryland,Small,Walk,466,1.6,0.6,MD,South
Bowling Green city,Kentucky,Small,Walk,1338,5,1,KY,South
Bowling Green city,Ohio,Small,Walk,2351,15.8,2.4,OH,North Central
Boynton Beach city,Florida,Small,Walk,246,0.8,0.4,FL,South
Bozeman city,Montana,Small,Walk,2071,10.1,1.7,MT,West
Bradenton city,Florida,Small,Walk,264,1.3,0.5,FL,South
Braintree Town city,Massachusetts,Small,Walk,154,0.9,0.4,MA,Northeast
Brandon city,Mississippi,Small,Walk,38,0.4,0.4,MS,South
Brawley city,California,Small,Walk,315,3.7,1.7,CA,West
Brea city,California,Small,Walk,299,1.5,0.7,CA,West
Bremerton city,Washington,Small,Walk,2004,11.1,3,WA,West
Brentwood city,California,Small,Walk,180,0.8,0.5,CA,West
Brentwood city,Tennessee,Small,Walk,161,1,0.6,TN,South
Bridgeton city,New Jersey,Small,Walk,194,2.5,1.3,NJ,Northeast
Brighton city,Colorado,Small,Walk,313,2.1,0.9,CO,West
Bristol city,Connecticut,Small,Walk,367,1.2,0.5,CT,Northeast
Bristol city,Tennessee,Small,Walk,191,1.7,1.1,TN,South
Brockton city,Massachusetts,Small,Walk,1133,2.7,0.6,MA,Northeast
Brookfield city,Wisconsin,Small,Walk,145,0.8,0.5,WI,North Central
Brookings city,South Dakota,Small,Walk,1096,8.9,2,SD,North Central
Brooklyn Center city,Minnesota,Small,Walk,384,2.7,1.1,MN,North Central
Brooklyn Park city,Minnesota,Small,Walk,259,0.7,0.3,MN,North Central
Broomfield city,Colorado,Small,Walk,355,1.2,0.6,CO,West
Brownsburg town,Indiana,Small,Walk,11,0.1,0.2,IN,North Central
Brunswick city,Ohio,Small,Walk,261,1.5,1.1,OH,North Central
Bryan city,Texas,Small,Walk,924,2.6,0.8,TX,South
Buckeye town,Arizona,Small,Walk,211,1.1,0.5,AZ,West
Buena Park city,California,Small,Walk,1057,2.9,0.6,CA,West
Buffalo Grove village,Illinois,Small,Walk,119,0.5,0.2,IL,North Central
Bullhead City city,Arizona,Small,Walk,177,1.3,0.7,AZ,West
Burbank city,Illinois,Small,Walk,175,1.4,0.7,IL,North Central
Burien city,Washington,Small,Walk,355,1.8,0.6,WA,West
Burleson city,Texas,Small,Walk,156,0.9,0.6,TX,South
Burlingame city,California,Small,Walk,532,3.7,1.4,CA,West
Burlington city,Iowa,Small,Walk,240,2.1,0.9,IA,North Central
Burlington city,North Carolina,Small,Walk,250,1.1,0.6,NC,South
Burlington city,Vermont,Small,Walk,4490,20.3,1.9,VT,Northeast
Burnsville city,Minnesota,Small,Walk,426,1.3,0.5,MN,North Central
Burton city,Michigan,Small,Walk,59,0.5,0.3,MI,North Central
Butte-Silver Bow (balance),Montana,Small,Walk,651,4.2,1.3,MT,West
Cabot city,Arkansas,Small,Walk,123,1.1,0.8,AR,South
Calabasas city,California,Small,Walk,27,0.3,0.3,CA,West
Caldwell city,Idaho,Small,Walk,181,1,0.4,ID,West
Caledonia village,Wisconsin,Small,Walk,26,0.2,0.2,WI,North Central
Calexico city,California,Small,Walk,438,3.6,1.4,CA,West
Calumet City city,Illinois,Small,Walk,334,2.3,1,IL,North Central
Camarillo city,California,Small,Walk,392,1.3,0.5,CA,West
Camas city,Washington,Small,Walk,153,1.9,1.1,WA,West
Camden city,New Jersey,Small,Walk,1300,5.5,1.3,NJ,Northeast
Campbell city,California,Small,Walk,306,1.4,0.6,CA,West
Canton city,Georgia,Small,Walk,258,2.6,1.4,GA,South
Canton city,Ohio,Small,Walk,898,3.1,1,OH,North Central
Cape Girardeau city,Missouri,Small,Walk,908,5.1,1.4,MO,North Central
Carbondale city,Illinois,Small,Walk,1601,15.1,3.2,IL,North Central
Carlsbad city,New Mexico,Small,Walk,155,1.3,0.9,NM,West
Carmel city,Indiana,Small,Walk,364,0.9,0.4,IN,North Central
Carol Stream village,Illinois,Small,Walk,209,1,0.7,IL,North Central
Carpentersville village,Illinois,Small,Walk,147,0.8,0.5,IL,North Central
Carrboro town,North Carolina,Small,Walk,311,2.7,1.1,NC,South
Carrollton city,Georgia,Small,Walk,224,2.4,1.2,GA,South
Carson city,California,Small,Walk,697,1.7,0.6,CA,West
Carson City,Nevada,Small,Walk,387,1.7,0.6,NV,West
Carteret borough,New Jersey,Small,Walk,211,2.1,1.1,NJ,Northeast
Casa Grande city,Arizona,Small,Walk,443,2.4,1.1,AZ,West
Casper city,Wyoming,Small,Walk,483,1.7,0.6,WY,West
Casselberry city,Florida,Small,Walk,184,1.5,0.9,FL,South
Castle Rock town,Colorado,Small,Walk,373,1.5,1.1,CO,West
Cathedral City city,California,Small,Walk,198,0.9,0.4,CA,West
Cedar City city,Utah,Small,Walk,666,5.6,2,UT,West
Cedar Falls city,Iowa,Small,Walk,2411,11.8,1.9,IA,North Central
Cedar Hill city,Texas,Small,Walk,282,1.3,0.6,TX,South
Cedar Park city,Texas,Small,Walk,287,1.1,0.6,TX,South
Centerville city,Ohio,Small,Walk,10,0.1,0.2,OH,North Central
Central city,Louisiana,Small,Walk,75,0.5,0.4,LA,South
Ceres city,California,Small,Walk,294,1.7,0.8,CA,West
Cerritos city,California,Small,Walk,146,0.7,0.4,CA,West
Chambersburg borough,Pennsylvania,Small,Walk,332,4.1,1.5,PA,Northeast
Champaign city,Illinois,Small,Walk,4831,12.1,1.5,IL,North Central
Champlin city,Minnesota,Small,Walk,50,0.4,0.3,MN,North Central
Chanhassen city,Minnesota,Small,Walk,118,1,0.6,MN,North Central
Chapel Hill town,North Carolina,Small,Walk,2685,10.2,1.2,NC,South
Charleston city,Illinois,Small,Walk,1365,13.5,2.7,IL,North Central
Charleston city,West Virginia,Small,Walk,1268,5.5,1.2,WV,South
Charlottesville city,Virginia,Small,Walk,2592,12.6,1.7,VA,South
Chaska city,Minnesota,Small,Walk,96,0.8,0.6,MN,North Central
Chelsea city,Massachusetts,Small,Walk,1322,8.2,1.8,MA,Northeast
Chester city,Pennsylvania,Small,Walk,861,7.5,1.5,PA,Northeast
Chesterfield city,Missouri,Small,Walk,187,0.8,0.4,MO,North Central
Cheyenne city,Wyoming,Small,Walk,699,2.3,0.8,WY,West
Chicago Heights city,Illinois,Small,Walk,194,1.7,0.8,IL,North Central
Chico city,California,Small,Walk,2155,5.6,0.9,CA,West
Chicopee city,Massachusetts,Small,Walk,718,2.8,0.9,MA,Northeast
Chillicothe city,Ohio,Small,Walk,190,2.2,1.1,OH,North Central
Chino city,California,Small,Walk,399,1.2,0.5,CA,West
Chino Hills city,California,Small,Walk,278,0.8,0.5,CA,West
Christiansburg town,Virginia,Small,Walk,23,0.2,0.2,VA,South
Cicero town,Illinois,Small,Walk,1171,3.5,0.8,IL,North Central
Citrus Heights city,California,Small,Walk,723,1.9,0.6,CA,West
Claremont city,California,Small,Walk,1561,10.6,1.8,CA,West
Clarksville town,Indiana,Small,Walk,152,1.5,1,IN,North Central
Clearfield city,Utah,Small,Walk,201,1.5,0.8,UT,West
Cleburne city,Texas,Small,Walk,148,1.2,0.7,TX,South
Clermont city,Florida,Small,Walk,173,1.5,1.2,FL,South
Cleveland city,Tennessee,Small,Walk,473,2.7,0.9,TN,South
Cleveland Heights city,Ohio,Small,Walk,1254,5.6,0.9,OH,North Central
Cliffside Park borough,New Jersey,Small,Walk,487,4.2,1.6,NJ,Northeast
Clifton city,New Jersey,Small,Walk,947,2.3,0.6,NJ,Northeast
Clinton city,Iowa,Small,Walk,289,2.4,1,IA,North Central
Clinton city,Mississippi,Small,Walk,120,1,0.4,MS,South
Clinton city,Utah,Small,Walk,110,1.2,0.7,UT,West
Clovis city,California,Small,Walk,569,1.4,0.5,CA,West
Clovis city,New Mexico,Small,Walk,292,1.8,0.8,NM,West
Coachella city,California,Small,Walk,135,0.9,0.7,CA,West
Coconut Creek city,Florida,Small,Walk,165,0.7,0.4,FL,South
Coeur d'Alene city,Idaho,Small,Walk,581,2.8,0.8,ID,West
College Park city,Maryland,Small,Walk,2833,21.5,3.2,MD,South
College Station city,Texas,Small,Walk,2354,5.5,1.1,TX,South
Colleyville city,Texas,Small,Walk,21,0.2,0.2,TX,South
Collierville town,Tennessee,Small,Walk,146,0.7,0.4,TN,South
Collinsville city,Illinois,Small,Walk,46,0.4,0.3,IL,North Central
Colton city,California,Small,Walk,148,0.7,0.4,CA,West
Columbia city,Tennessee,Small,Walk,159,1.1,0.6,TN,South
Columbus city,Indiana,Small,Walk,260,1.2,0.5,IN,North Central
Columbus city,Mississippi,Small,Walk,420,4.7,1.6,MS,South
Columbus city,Nebraska,Small,Walk,268,2.4,1.2,NE,North Central
Commerce City city,Colorado,Small,Walk,188,0.9,0.5,CO,West
Compton city,California,Small,Walk,573,1.7,0.5,CA,West
Concord city,New Hampshire,Small,Walk,975,4.6,1,NH,Northeast
Concord city,North Carolina,Small,Walk,222,0.6,0.3,NC,South
Conroe city,Texas,Small,Walk,420,1.6,0.6,TX,South
Conway city,Arkansas,Small,Walk,686,2.4,0.7,AR,South
Cookeville city,Tennessee,Small,Walk,170,1.5,0.7,TN,South
Coon Rapids city,Minnesota,Small,Walk,371,1.1,0.4,MN,North Central
Cooper City city,Florida,Small,Walk,157,1,0.5,FL,South
Coppell city,Texas,Small,Walk,63,0.3,0.2,TX,South
Copperas Cove city,Texas,Small,Walk,201,1.5,0.8,TX,South
Coral Gables city,Florida,Small,Walk,1292,6.1,1.3,FL,South
Corcoran city,California,Small,Walk,78,2,1.5,CA,West
Corinth city,Texas,Small,Walk,159,1.6,1.9,TX,South
Cornelius town,North Carolina,Small,Walk,113,0.9,0.5,NC,South
Coronado city,California,Small,Walk,846,7.7,2,CA,West
Corsicana city,Texas,Small,Walk,250,2.5,1.1,TX,South
Corvallis city,Oregon,Small,Walk,3109,12.4,1.8,OR,West
Cottage Grove city,Minnesota,Small,Walk,242,1.3,0.7,MN,North Central
Cottonwood Heights city,Utah,Small,Walk,495,2.9,0.9,UT,West
Council Bluffs city,Iowa,Small,Walk,529,1.7,0.5,IA,North Central
Covina city,California,Small,Walk,145,0.7,0.4,CA,West
Covington city,Kentucky,Small,Walk,671,3.8,0.9,KY,South
Cranston city,Rhode Island,Small,Walk,641,1.7,0.4,RI,Northeast
Crest Hill city,Illinois,Small,Walk,18,0.2,0.3,IL,North Central
Crestview city,Florida,Small,Walk,79,0.9,0.6,FL,South
Crown Point city,Indiana,Small,Walk,163,1.3,0.8,IN,North Central
Crystal city,Minnesota,Small,Walk,117,1,0.5,MN,North Central
Crystal Lake city,Illinois,Small,Walk,285,1.4,0.7,IL,North Central
Cudahy city,California,Small,Walk,322,3.6,1.6,CA,West
Culver City city,California,Small,Walk,289,1.4,0.7,CA,West
Cumberland city,Maryland,Small,Walk,482,6.2,2.2,MD,South
Cupertino city,California,Small,Walk,427,1.7,0.8,CA,West
Cutler Bay town,Florida,Small,Walk,39,0.2,0.2,FL,South
Cuyahoga Falls city,Ohio,Small,Walk,214,0.9,0.4,OH,North Central
Cypress city,California,Small,Walk,241,1,0.5,CA,West
Dalton city,Georgia,Small,Walk,136,1,0.7,GA,South
Dana Point city,California,Small,Walk,412,2.4,1.1,CA,West
Danbury city,Connecticut,Small,Walk,1111,2.6,0.7,CT,Northeast
Dania Beach city,Florida,Small,Walk,373,2.6,1.1,FL,South
Danville city,Illinois,Small,Walk,541,4.4,1.4,IL,North Central
Danville city,Virginia,Small,Walk,533,3.3,0.9,VA,South
Danville town,California,Small,Walk,177,1,0.5,CA,West
Daphne city,Alabama,Small,Walk,70,0.7,0.6,AL,South
Darien city,Illinois,Small,Walk,182,1.7,0.9,IL,North Central
Davie town,Florida,Small,Walk,524,1.1,0.4,FL,South
Davis city,California,Small,Walk,942,3.1,0.7,CA,West
Daytona Beach city,Florida,Small,Walk,1132,4.9,1,FL,South
De Pere city,Wisconsin,Small,Walk,873,6.9,2,WI,North Central
Dearborn city,Michigan,Small,Walk,612,1.8,0.5,MI,North Central
Dearborn Heights city,Michigan,Small,Walk,183,0.9,0.4,MI,North Central
Decatur city,Alabama,Small,Walk,265,1.1,0.5,AL,South
Decatur city,Illinois,Small,Walk,787,2.5,0.6,IL,North Central
Deer Park city,Texas,Small,Walk,110,0.7,0.6,TX,South
Deerfield Beach city,Florida,Small,Walk,589,1.7,0.6,FL,South
DeKalb city,Illinois,Small,Walk,1725,8.5,1.6,IL,North Central
Del City city,Oklahoma,Small,Walk,183,2,0.9,OK,South
Del Rio city,Texas,Small,Walk,315,2.3,1.4,TX,South
DeLand city,Florida,Small,Walk,392,4,1.7,FL,South
Delano city,California,Small,Walk,310,2.1,0.9,CA,West
Delaware city,Ohio,Small,Walk,665,3.9,0.9,OH,North Central
Delray Beach city,Florida,Small,Walk,521,1.8,0.6,FL,South
Deltona city,Florida,Small,Walk,250,0.7,0.4,FL,South
Denison city,Texas,Small,Walk,222,2.4,0.9,TX,South
Derby city,Kansas,Small,Walk,64,0.6,0.4,KS,North Central
Des Moines city,Washington,Small,Walk,338,2.5,1.5,WA,West
Des Plaines city,Illinois,Small,Walk,291,1,0.4,IL,North Central
Desert Hot Springs city,California,Small,Walk,188,2.1,1.1,CA,West
DeSoto city,Texas,Small,Walk,152,0.7,0.4,TX,South
Diamond Bar city,California,Small,Walk,458,1.7,1.5,CA,West
Dinuba city,California,Small,Walk,130,1.6,1.1,CA,West
Dodge City city,Kansas,Small,Walk,186,1.5,0.8,KS,North Central
Dolton village,Illinois,Small,Walk,70,0.7,0.5,IL,North Central
Doral city,Florida,Small,Walk,97,0.5,0.4,FL,South
Dothan city,Alabama,Small,Walk,168,0.6,0.2,AL,South
Douglasville city,Georgia,Small,Walk,137,1,0.8,GA,South
Dover city,Delaware,Small,Walk,710,4.5,1.5,DE,South
Dover city,New Hampshire,Small,Walk,659,4,1.3,NH,Northeast
Downers Grove village,Illinois,Small,Walk,529,2.2,0.6,IL,North Central
Draper city,Utah,Small,Walk,201,1.2,0.7,UT,West
Duarte city,California,Small,Walk,253,2.8,1.2,CA,West
Dublin city,California,Small,Walk,541,2.4,1.1,CA,West
Dublin city,Ohio,Small,Walk,106,0.5,0.3,OH,North Central
Dubuque city,Iowa,Small,Walk,1766,6,0.9,IA,North Central
Duluth city,Georgia,Small,Walk,257,2,2.7,GA,South
Duluth city,Minnesota,Small,Walk,2158,5.2,0.7,MN,North Central
Duncan city,Oklahoma,Small,Walk,118,1.2,0.8,OK,South
Duncanville city,Texas,Small,Walk,73,0.4,0.3,TX,South
Dunedin city,Florida,Small,Walk,242,1.5,0.6,FL,South
Dunwoody city,Georgia,Small,Walk,451,2,0.9,GA,South
Eagan city,Minnesota,Small,Walk,244,0.7,0.2,MN,North Central
Eagle city,Idaho,Small,Walk,34,0.4,0.5,ID,West
Eagle Mountain city,Utah,Small,Walk,34,0.4,0.5,UT,West
Eagle Pass city,Texas,Small,Walk,245,2.5,1.1,TX,South
Easley city,South Carolina,Small,Walk,65,0.7,0.5,SC,South
East Chicago city,Indiana,Small,Walk,374,4,1.5,IN,North Central
East Lansing city,Michigan,Small,Walk,4716,23.3,2.2,MI,North Central
East Moline city,Illinois,Small,Walk,70,0.8,0.5,IL,North Central
East Orange city,New Jersey,Small,Walk,1591,6.2,1.1,NJ,Northeast
East Palo Alto city,California,Small,Walk,332,2.7,1.5,CA,West
East Peoria city,Illinois,Small,Walk,222,2,0.9,IL,North Central
East Point city,Georgia,Small,Walk,198,1.4,0.8,GA,South
East Providence city,Rhode Island,Small,Walk,209,0.9,0.5,RI,Northeast
East Ridge city,Tennessee,Small,Walk,7,0.1,0.1,TN,South
East St. Louis city,Illinois,Small,Walk,179,2.3,1.2,IL,North Central
Easton city,Pennsylvania,Small,Walk,507,4.8,1.3,PA,Northeast
Eastpointe city,Michigan,Small,Walk,282,2.2,1,MI,North Central
Eastvale city,California,Small,Walk,61,0.2,0.3,CA,West
Eau Claire city,Wisconsin,Small,Walk,1884,5.3,1,WI,North Central
Eden Prairie city,Minnesota,Small,Walk,538,1.6,0.6,MN,North Central
Edgewater city,Florida,Small,Walk,95,1.1,1.1,FL,South
Edina city,Minnesota,Small,Walk,444,1.9,0.6,MN,North Central
Edinburg city,Texas,Small,Walk,432,1.4,0.6,TX,South
Edmond city,Oklahoma,Small,Walk,629,1.5,0.5,OK,South
Edmonds city,Washington,Small,Walk,342,1.7,0.7,WA,West
Edwardsville city,Illinois,Small,Walk,371,3.1,1.1,IL,North Central
El Centro city,California,Small,Walk,381,2.5,0.9,CA,West
El Cerrito city,California,Small,Walk,231,1.9,0.8,CA,West
El Mirage city,Arizona,Small,Walk,68,0.5,0.5,AZ,West
El Paso de Robles (Paso Robles) city,California,Small,Walk,203,1.6,0.8,CA,West
Elizabethtown city,Kentucky,Small,Walk,74,0.6,0.4,KY,South
Elk Grove Village village,Illinois,Small,Walk,209,1.2,0.9,IL,North Central
Elk River city,Minnesota,Small,Walk,87,0.7,0.6,MN,North Central
Elkhart city,Indiana,Small,Walk,377,1.8,0.7,IN,North Central
Elmhurst city,Illinois,Small,Walk,425,2.1,0.6,IL,North Central
Elmira city,New York,Small,Walk,795,7.4,1.5,NY,Northeast
Elmwood Park village,Illinois,Small,Walk,337,2.7,1,IL,North Central
Elyria city,Ohio,Small,Walk,276,1.1,0.4,OH,North Central
Emporia city,Kansas,Small,Walk,754,6,1.5,KS,North Central
Encinitas city,California,Small,Walk,562,1.9,0.6,CA,West
Englewood city,Colorado,Small,Walk,479,3,0.8,CO,West
Englewood city,New Jersey,Small,Walk,738,5.4,1.6,NJ,Northeast
Enid city,Oklahoma,Small,Walk,286,1.3,0.5,OK,South
Enterprise city,Alabama,Small,Walk,145,1.3,0.8,AL,South
Euclid city,Ohio,Small,Walk,259,1.2,0.5,OH,North Central
Euless city,Texas,Small,Walk,269,1,0.4,TX,South
Eureka city,California,Small,Walk,734,6.1,1.6,CA,West
Evanston city,Illinois,Small,Walk,4147,11.6,1,IL,North Central
Everett city,Massachusetts,Small,Walk,905,4.1,1.2,MA,Northeast
Fair Lawn borough,New Jersey,Small,Walk,217,1.3,0.6,NJ,Northeast
Fairbanks city,Alaska,Small,Walk,660,4.3,1.2,AK,West
Fairborn city,Ohio,Small,Walk,457,3,1,OH,North Central
Fairfax city,Virginia,Small,Walk,376,3.1,1.2,VA,South
Fairfield city,Ohio,Small,Walk,138,0.6,0.5,OH,North Central
Fall River city,Massachusetts,Small,Walk,1232,3.4,0.8,MA,Northeast
Faribault city,Minnesota,Small,Walk,170,1.8,1.3,MN,North Central
Farmers Branch city,Texas,Small,Walk,324,2.3,1.2,TX,South
Farmington city,Minnesota,Small,Walk,64,0.6,0.4,MN,North Central
Farmington city,New Mexico,Small,Walk,384,1.9,0.9,NM,West
Farmington city,Utah,Small,Walk,132,1.6,0.9,UT,West
Farmington Hills city,Michigan,Small,Walk,420,1.1,0.3,MI,North Central
Farragut town,Tennessee,Small,Walk,13,0.1,0.2,TN,South
Fayetteville city,Arkansas,Small,Walk,1962,5.2,1,AR,South
Federal Way city,Washington,Small,Walk,916,2.1,0.6,WA,West
Ferguson city,Missouri,Small,Walk,56,0.6,0.5,MO,North Central
Ferndale city,Michigan,Small,Walk,270,2.5,1.1,MI,North Central
Findlay city,Ohio,Small,Walk,609,3.2,1.1,OH,North Central
Fishers town,Indiana,Small,Walk,134,0.3,0.3,IN,North Central
Fitchburg city,Massachusetts,Small,Walk,812,4.4,1.1,MA,Northeast
Fitchburg city,Wisconsin,Small,Walk,215,1.6,0.8,WI,North Central
Flagstaff city,Arizona,Small,Walk,3560,10.2,1.7,AZ,West
Florence city,Alabama,Small,Walk,202,1.3,0.6,AL,South
Florence city,Kentucky,Small,Walk,221,1.6,1,KY,South
Florence city,South Carolina,Small,Walk,213,1.3,0.6,SC,South
Florence town,Arizona,Small,Walk,169,5.7,3.1,AZ,West
Florissant city,Missouri,Small,Walk,235,0.9,0.4,MO,North Central
Flower Mound town,Texas,Small,Walk,295,0.9,0.5,TX,South
Folsom city,California,Small,Walk,499,1.6,0.6,CA,West
Fond du Lac city,Wisconsin,Small,Walk,700,3.4,0.9,WI,North Central
Forest Grove city,Oregon,Small,Walk,536,6.1,2.2,OR,West
