song,artist,featuring,entered_top_30_in,lyrics,writers,producer,rough_order
Ask Me How I Know,Garth Brooks,NA,2017,"You're stubborn as they come, you'll never settle down You'll always be the one who doesn't stick around You make all the rules, you're set in your ways You gotta have your freedom, you gotta have your space Cause one day you'll meet the girl you swore you'd never find Start feeling things you never felt and spending all your time Trying to figure out how she got this hold on you And when you start to fall, you'll hold onto your pride Start building up your walls and never let her get inside You'll push her away 'cause that's all you know how to do And then she'll leave and you won't beg her not to go Ask me how I know Go on and shake your head and tell me that I'm wrong Say, ""I'm just another fool and this is just another song"" But I know how you are 'cause I know how I am And I'd give anything to go back and try again Cause one day you'll meet the girl you swore you'd never find Start feeling things you never felt and spending all your time Trying to figure out how she got this hold on you And when you start to fall, you'll hold onto your pride Start building up your walls and never let her get inside You'll push her away 'cause that's all you know how to do And then she'll leave and you won't beg her not to go Ask me how I know And you best put this song on repeat Maybe then you won't end up like me Cause one day you'll meet the girl you swore you'd never find Start feeling things you never felt and spending all your time Trying to figure out how she got this hold on you And when you start to fall, you'll hold onto your pride Start building up your walls and never let her get inside You'll push her away 'cause that's all you know how to do And then she'll leave and you won't beg her not to go Ask me how I know Ask me how I know Cause man I know",Mitch Rossell,Mark Miller,299
All The Pretty Girls,Kenny Chesney,NA,2017,"All the pretty girls said pick me up at eight All the pretty girls said I'm going to L.A. All the pretty girls said I hate my hair Talking to the mirror in their underwear All the lost boys said I just got paid All the lost boys said I wanna get laid When the town goes blue and the lights blink red All the lost boys do what all the pretty girls said I'm home for the summer, shoot out the lights don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the sheriffs said kid you better slow down All the preachers said it's the devils playground I wonder if they knew they were wasting their breath All I ever heard was all the pretty girls said I'm home for the summer, shoot out the lights don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the seventeens said I'm getting outta dodge All the big dreams said I'm selling all I got All the high rollers busy placing their bets Me, I'm heading south cause all the pretty girls said I'm home for the summer, shoot out the lights don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the pretty girls said","Nicolle Galyon, Tommy Lee Hames, Josh Osborne","Buddy Cannon, Kenny Chesney",300
What Ifs,Kane Brown,Lauren Alaina,2017,"You say what if I hurt you, what if I leave you What if I find somebody else and I don't need you What if this goes south, what if I mess you up You say what if I break your heart in two then what Well I hear you girl, I feel you girl but not so fast Before you make your mind up I gotta ask What if I was made for you and you were made for me What if this is it, what if it's meant to be What if I ain't one of them fools just playin' some game What if I just pulled you close, what if I leaned in And the stars line up and it's our last first kiss What if one of these days baby I'd go and change your name What if I loved all these what ifs away What if the sky falls (sky falls) or the sun stops burnin' We could worry about them what ifs 'til the world stops turnin' Or I could kiss you (you should kiss me), what if you liked it (bet I'd like it) Well we ain't never gonna know unless we try it What if I was made for you and you were made for me What if this is it, what if it's meant to be What if I ain't one of them fools just playin' some game What if I just pulled you close, what if I leaned in And the stars line up and it's our last first kiss What if one of these days baby I'd go and change your name What if I loved all these what ifs away Awe yeah C'mon You say what if I hurt you, what if I leave you What if I find somebody else and I don't need you Damn What if I was made for you and you were made for me What if this is it, what if it's meant to be What if I ain't one of them fools just playin' some game What if I just pulled you close, what if I leaned in And the stars line up and it's our last first kiss What if one of these days baby I'd go and change your name What if I loved all these what ifs away Away (away) What if?","Kane Brown, Matt McGinn, Jordan Schmidt",Dann Huff,301
Round Here Buzz,Eric Church,NA,2017,"Another Friday night There's a line of cars leaving Home team's got an out-of-towner Me, I'm sitting on the hood of mine drinking I'm just a parking lot down-and-outer Under that high school bleacher I drove that preacher's daughter crazy Her mama was my homeroom teacher And her dad was hell bent on saving me Yeah, I'm sure there's higher highs Where the high risers rise But me, I'm gonna sit right here tonight, and Catch me a 'round here buzz Cause you ain't 'round here none Keep putting 'em down here, 'nother round here 'Til my down goes up Lit up like that one stoplight Across from that welcome sign Ever since you caught that out there bug I catch me a 'round here buzz I never had big-city eyes Hell, I've never been east of Dallas Got no idea where you are now Or if you ever got that penthouse palace No, Scotty's ain't got no vibe Got no gas in his neon light But he's got two-for-one 'til 2:00 tonight Catch me a 'round here buzz Cause you ain't 'round here none Keep putting 'em down here, 'nother round here 'Til my down goes up Lit up like that one stoplight Across from that welcome sign Ever since you caught that out there bug I catch me a 'round here buzz Catch me a 'round here buzz Cause you ain't 'round here none Keep putting 'em down here, 'nother round here 'Til my down here Is lit up like that one stoplight Across from that welcome sign Ever since you caught that out there bug I catch me a 'round here buzz I catch me a 'round here buzz 'Round here buzz I catch me a 'round here buzz","Eric Church, Luke Dick, Jeff Hyde",Jay Joyce,302
A Girl Like You,Easton Corbin,NA,2017,"Got lots of bars around this town They got cold beer, yeah, and they got Crown Got neon light in the windowpane Got lots of guys thinkin' they got game Got loud guitars a little out of tune But they ain't got a girl like you Naw, they don't They play lots of songs on the radio 'Bout them good ole' country girls that we all know Long tan legs and cutoff jeans Yeah, just shakin' that sugar every country boy's dream I've heard them all at least a time or two Ain't none 'bout a girl like you, that's true You've got that beautiful born with it kind of thing It comes so natural, no baby don't ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you You can dress it on up or you can just hang out Kick it on Broadway or kick back on the couch You can dance on a bar, you can dance in the rain Shotgun a beer, just sip champagne Yeah, there's only one, ain't room for two There ain't another girl like you, another girl like you You've got that beautiful born with it kind of thing It comes so natural, no baby don't ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you Baby, what did I do to get a girl like you A girl like you don't come along but once in a lifetime, better hang on I can't find one thing wrong, I could just go on and on and on You've got that beautiful born with it kind of thing It comes so natural, no baby don't ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you I could sail the ocean blue, and never find, never find a girl like you","Ashley Gorley, Jesse Frasure, Rhett Akins","Ashley Gorley, Wade Kirby",303
Fix A Drink,Chris Janson,NA,2017,"Well it's hotter than hell outside right now It's 100 in the shade with the sun beating down Forecast calling for some more of the same Well I can't fix that but I can fix a drink I turn on Fox news and then CNN But it's the same dang thing all over again The world's in the toilet and the market's in the tank Well I can't fix that, no But I can fix a drink, pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed, I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips, take a little sip Tell me what you think, yeah I can fix a drink Say you gotta broken phone and a broken heart The boss is on your back and your truck won't start None of your friends want to listen to Hank Well I can't fix that, no But I can fix a drink, pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed, I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips, take a little sip Tell me what you think, yeah I can fix a drink I don't know what's going on with you But if you got some cheap whisky and some Mountain Dew Malibu, Cuervo, Coke in a cup Brother I can hook you up But I can fix a drink, pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed, I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips, take a little sip Tell me what you think, yeah I can fix a drink Yeah, I can fix a drink","Chris Janson, Chris DuBois, Ashley Gorley","Chris DuBois, Brent Anderson",304
Last Time for Everything,Brad Paisley,NA,2017,"Using a fake ID at a college bar Getting caught with a girl in the backseat of a car Running out on the field for the senior game wearing number 17 There's a last time for everything Like a George Strait cassette in a Pontiac I tell 'em Super Cuts, let's leave it long in the back Wearing the tux at a high school gym And she's wearing your class ring There's a last time for everything Last call, last chance Last song, last dance Sometimes you just don't know when that's gonna be Hold me baby, give me a kiss Like tonight is all there is Cause there's a last time for everything Throwing the ball with the first dog you ever had Spending all day on the lake with your grandad Watching Glenn Frey sing ""Already Gone"" at the Forum in LA There's a last time for everything Last call, last chance Last song, last dance Sometimes you just don't know when that's gonna be Hold me baby, give me a kiss Like tonight is all there is Cause there's a last time for everything Kissing goodbye on her porch and driving away Introducing her as your fiancee Getting woke up at 5 am to see if Santa came There's a last time for everything Biscuits and gravy at momma's house (Last time for everything) Spring break on a fold out couch (Last time for everything) Little Jimmy on the Opry stage (Last time for everything) Hearing Prince sing ""Purple Rain"" (Last time for everything) (Last time for everything)","Brad Paisley, Smith Ahnquist, Brent Anderson, Chris DuBois, Mike Ryan","Brad Paisley, Luke Wooten",305
When It Rains It Pours,Luke Combs,NA,2017,"Sunday morning, man, she woke up fighting mad Bitching and moaning on and on 'bout the time I had And by Tuesday, you could say that girl was good as gone And then when Thursday came around, I was all alone So I went for a drive to clear my mind, ended up at a Shell on I-65 Then I won a hundred bucks on a scratch off ticket Bought two twelve packs and a tank of gas with it She swore they were a waste of time, oh, but she was wrong I was caller number 5 on the radio station Won a 4-day, 3-night beach vacation Deep sea, senorita, fishing down in Panama And I ain't gotta see my ex future mother-in-law anymore Oh, Lord, when it rains it pours Now she was sure real quick to up and apologize When she heard about my new found luck on that FM dial And it's crazy how lately now it just seems to come in waves What I thought was gonna be the death of me was my saving grace It's got me thinking that her leaving is the only logical reason That I got the last spot in the Hooter's parking lot And the waitress left her number on my check with a heart She picked up on the first ring when I gave her a call And I only spent five bucks at the Moose Club Raffle Won a used four-wheeler and three free passes For me and two of my buddies to play a round of golf And I ain't gotta see my ex future mother-in-law anymore Oh, Lord, when it rains it pours When it rains it pours I've been on one hell of a redneck roll for three weeks now And it all started on the day that she walked out Then I won a hundred bucks on a scratch off ticket Bought two twelve packs and a tank of gas with it She swore they were a waste of time, oh, but she was wrong And I was caller number 5 on the radio station Won a 4-day, 3-night beach vacation Deep sea, senorita, fishing down in Panama And I ain't gotta see my ex future mother-in-law anymore Oh, Lord, when it rains it pours When it rains it pours","Luke Combs, Ray Fulcher, Jordan Walker",Scott Moffatt,306
Greatest Love Story,LANCO,NA,2017,"They said I was nothing but a trouble maker never up to no good You were the perfect all American girl wouldn't touch me even if you could But you were sneaking out your window every night riding shotgun in my car We'd go to the river and find us a spot and we probably went a little too far Just a little too far Cause I was gonna be your forever and You were gonna be my wife We didn't know any better Didn't have a clue about life But I was what you wanted you were what I needed And we could meet in between We were gonna be the greatest love story this town had ever seen So you went off to college and I got a job I was working at a 9 to 5 Dreaming of the days when you were in my arms I'd never felt so alive I'd spend my days working, spend my nights drinking, howling at the moon Screaming for the days when you were coming back no couldn't come too soon Couldn't come too soon When I was gonna be your forever You were gonna be my wife But you went off to find better And I was learning all about life But I was what you wanted and you were what I needed And we could meet in between We were gonna be the greatest love story this town had ever seen So you came back after a long four years Your college boyfriend didn't work out So we went out for a couple of drinks to find out who we are now Sure we changed but way deep down you had the same old feelings for me I went to the store and bought you a ring and I got down on one knee Down on one knee And I said I'm gonna be your forever So baby will you be my wife Now that we know a little better We could have a real nice life Cause I'm what you wanted and you're what I need So let's meet in between We are gonna be the greatest love story this town has ever seen We are gonna be the greatest love story this world has ever seen So baby say yes to me",Brandon Lancaster,Jay Joyce,307
Losing Sleep,Chris Young,NA,2017,"Light a candle Turn all the lights down low Baby let's just lose control Lose control I can handle Every single curve, you know That I love you, let me show you Oh Fall into me Let me breathe the air you breathe I can take you anywhere you want to be When it comes to us Every single touch is something special When we're wrapped up in those sheets Yeah we're winning when we're losing When we're losing sleep Real life When it's this good don't you know We don't need to dream at all Baby so Fall into me Let me breathe the air you breathe I can take you anywhere you want to be When it comes to us Every single touch is something special When we're wrapped up in those sheets Yeah we're winning when we're losing When we're losing sleep When we're losing sleep, yeah Fall into me Let me breathe the air you breathe I can take you anywhere you want to be, yeah When it comes to us Every single touch is something special When we're wrapped up in those sheets Yeah we're winning when we're losing When we're losing sleep When we're losing sleep, yeah Yeah we're winning when we're losing Light a candle Turn all the lights down low","Chris Young, Chris DeStefano, Josh Hoge","Corey Crowder, Chris Young",308
Unforgettable,Thomas Rhett,NA,2017,"It was the 14th of October Had that t-shirt off your shoulder I was drunk, said I was sober And you said yeah right We were talkin' for a minute Then some guy tried to cut in You took my hand and we pretended Like I was your guy Oh, then I tried to guess your middle name For 30 minutes bet we played that game That mango-rita you were drinkin' And that Coldplay song that you were singin' And I bet right now you're probably thinkin' That it's crazy I remember every detail, but I do From your blue jeans to your shoes Girl, that night was just like you Unforgettable We were dancin', we were buzzin' Takin' shots like it was nothin' Did the runnin' man, you loved it Yeah, you laughed out loud You brushed away your blonde hair And you kissed me out of nowhere I can still show you the spot Where everything went down Oh, I told you I was gonna marry you You probably didn't think that it was true That mango-rita you were drinkin' And that Coldplay song that you were singin' And I bet right now you're probably thinkin' That it's crazy I remember every detail, but I do I can still smell your perfume Girl, that night was just like you Unforgettable Oh, that night was just like you, baby I can taste the mango-rita you were drinkin' And it feels just like it was last weekend That we jumped in Right off the deep end That mango-rita you were drinkin' And that Coldplay song that you were singin' And I bet right now you're probably thinkin' That it's crazy I remember every detail, but I do I can still smell your perfume Girl, that night was just like you Unforgettable From your blue jeans to your shoes Girl, that night was just like you Unforgettable","Thomas Rhett, Jesse Frasure, Ashley Gorley, Shane McAnally","Dann Huff, Jesse Frasure, Thomas Rhett",309
California,Big & Rich,NA,2017,"It's a 3 day drive if she drives all night Says she's leavin' at the crack of dawn Well she might still be lyin' here with me But in her heart she's already gone Already packed up, the altimas gassed up She's done put the map up there on the dash I'm all tore up just tryin' to man up Dammin' these tears up but can't hold 'em back Cuz she's in love with California And that west coast sunshine dream These ain't no Hollywoods And these hills ain't Beverly Ain't no beaches on these backroads No sunset on the boulevard She's in love with California And breakin' my heart Got a waitress job waitin' in an ihop Throw a rock and hit universal city Got a glamour shot in her hip pocket Hopin' somebody'll think she's pretty By this time tomorrow she'll hit Colorado I'll be drownin' my sorrow in a bottle of Beam Before she hits flagstaff maybe she'll backtrack But I wouldn't bet that if I was me Cuz she's in love with California And that west coast sunshine dream These ain't no Hollywoods And these hills ain't Beverly Ain't no beaches on these backroads No sunset on the boulevard She's in love with California And breakin' my heart Well she was all mine Now it's go time She's in love with California And that west coast sunshine dream These ain't no Hollywoods And these hills ain't Beverly There ain't no beaches on these backroads No sunset on the boulevard She's in love with California And breakin' my heart She's in love with California And breakin' my heart Oh she's breakin' my heart","John Rich, Rodney Clawson, Vicky McGehee","Big Kenny, John Rich",310
Yours,Russell Dickerson,NA,2017,I was a boat stuck in a bottle That never got the chance to touch the sea Just forgot on the shelf No wind in the sails Going nowhere with no one but me I was one in a hundred billion A burned out star in a galaxy Just lost in the sky wondering why Everyone else shines out but me But... I came to life when I first kissed you The best me has his arms around you You make me better than I was before Thank God I'm yours I was a worn out set of shoes Wandering the city street Another face in the crowd Head looking down Lost in the sound of a lonely melody Empty pockets at a roulette Always landing on a lost bet Just live for the spin and hope for the win Go all in just to lose again But... I came to life when I first kissed you The best me has his arms around you You make me better than I was before Thank God I'm yours The worst me is just a long gone memory You put a new heartbeat inside of me You make me better than I was before Thank God I'm yours I was a boat stuck in a bottle That never got the chance to touch the sea I came to life when I first kissed you The best me has his arms around you You make me better than I was before Thank God I'm yours The worst me is just a long gone memory You put a new heartbeat inside of me You make me better than I was before Thank God I'm yours Thank God I'm yours Thank God I'm yours Thank God I'm yours,"Russell Dickerson, Parker Welling, Casey Brown",Casey Brown,311
You Broke Up With Me,Walker Hayes,NA,2017,"Well, I got some Coke in my bourbon Surfin' the room like Swazye No, I ain't drunk, I'm amazing Yeah, I got that laid way, way back, back in my swagger X-Factor, feeling no pain, I'm at the top of my game Darlin', you can't crash my party with your sorry's and what are we's Don't start raining on my Mardi Gras parade for a minute I ain't even fixin' to listen to your guilt trippin' You're forgettin', girl, you made your bed and didn't want me in it (Hey!) Whoa, girl, simmer on down a notch Ain't nobody makin' you watch me get my forget you on No, girl, can't touch my good as gold I know it's difficult to see me on a roll But hey, you broke up with me Yeah, what can I say, babe, you broke up with me Guess you don't know what you want 'Til you see 'em movin' on Making lonely look like freedom Baby, don't even act like I'm doing something wrong If my song comes on and I get lost on that dance floor In somebody's arms that ain't yours You can't crash my party with your sorry's and what are we's Don't start raining on my Mardi Gras parade for a minute I ain't even fixin' to listen to your guilt trippin' You're forgettin', girl, you made your bed and didn't want me in it (Hey!) Whoa, girl, simmer on down a notch Ain't nobody makin' you watch me get my forget you on No, girl, can't touch my good as gold I know it's difficult to see me on a roll But hey, you broke up with me Yeah, what can I say, babe, you broke up with me For real, babe, ain't tryin' to rub it your face I'm just breakin' off a little cold hard truth It is what it is, girl, you did what you did, girl I'm just doin' what a bachelor do Darlin', you can't crash my party with your sorry's and what are we's Don't be raining on my Mardi Gras parade for a minute I ain't even fixin' to listen to your guilt trippin' You're forgettin', girl, you made your bed and didn't want me in it (Hey!) Whoa, girl, simmer on down a notch Ain't nobody makin' you watch me get my forget you on No, girl, can't touch my good as gold I know it's difficult to see me on a roll But hey, you broke up with me Yeah, what can I say, babe, you broke up with me You broke up with me Yeah, what can I say, babe? You broke up with me","Walker Hayes, Kylie Sackley, Thomas Archer",Shane McAnally,312
Smooth,Florida Georgia Line,NA,2017,"Smooth Like a Tennessee Walker Just a walking on the water You're smooth Like a Sunday morning Elvis Singing Gospel it's a hell of a groove Like the lines on her Mercury Girl you're put together perfectly Good lord almighty Girl, you go down good You ain't even trying Cause you wrote the book There ain't nobody A do me like you The way you move that body Girl, you're so smooth Like cat daddy driving A Caddy from Cali baby You're smooth Like young love buzzing Off an Old Camp bottle by the Moon Blackberry jam, finger-licking Off your hand flying out the window Good lord almighty Girl, you go down good You ain't even trying Cause you wrote the book There ain't nobody (There ain't nobody) A do me like you (Do me like you) The way you move that body (The way you move that body) Girl, you're so smooth (So smooth) Smooth, smooth You're a stroke on the canvas A brick road to Kansas My little summer time jam Good lord almighty Girl, you go down good You ain't even trying Cause you wrote the book There ain't nobody (There ain't nobody) A do me like you (Do me like you) The way you move that body (The way you move that body) Girl, you're so smooth (So smooth) Smooth, smooth (You so smooth) Smooth","Tyler Hubbard, Brian Kelley, Nicolle Galyon, Jordan Schmidt",Joey Moi,313
Light It Up,Luke Bryan,NA,2017,"I open my eyes, reach for the phone Not a word from you baby It don't leave my sight since we had that fight Can't remember but maybe I blew you up In the middle of the night again You were drinking with your friends You ignored it but you got it I get so neurotic about it baby 'Cause I know you're reading your phone I can't help from going crazy Thinking you might not be all alone I wake up, I check it, I shower and I check it I feel the buzz in my truck And I almost wreck it I always got it on me Just in case you want me So, if you're looking for my love Then light it up Every time I unlock my screen I hope I see one of them red lipstick 'I miss you' pictures I'm on your clock, you're in control You want me now baby go figure My worlds at the tips of your fingers I get so neurotic about it baby 'Cause I know you're reading your phone I can't help from going crazy Thinking you might not be all alone I wake up, I check it, I shower and I check it I feel the buzz in my truck And I almost wreck it I always got it on me Just in case you want me So, if you're looking for my love Then light it up Yeah baby, then light it up I go to sleep, I check it In the middle of the night, I check it I feel the buzz in my bed And I don't get no rest I always got it on me Just in case you want me So, if you're looking for my love Then light it up Yeah baby, light it up","Luke Bryan, Brad Tursi","Jeff Stevens, Jody Stevens",314
All On Me,Devin Dawson,NA,2017,"Yeah, I know that the woes and the weight of the world can get in side our minds And be too much sometimes, I know But baby don't let the no's and the ups and the downs from the roller coaster ride Beat you up inside, baby don't But if you ever feel that way, don't you ever hesitate, cause You got my number you can call on me If you're in trouble put the fall on me When you're mad you can take it out on me When it don't add up you can count on me When you're low come get high on me Make it slow take your time on me Settle in, let it out Come and lay on me When it gets heavy put the weight on me Baby put it all on me Put it all on me Wanna take you out on the town on my dime anytime, tell me when you're free We can do anything and everything you want, yeah Oh I wanna hear all your fears and your troubles Strip it down, really get to know one another When it's nobody but you and me just us Girl you know I'm here for you You can lean on me anytime you need to You got my number, you can call on me If you're in trouble put the fall on me When you're mad you can take it out on me When it don't add up you can count on me When you're low come get high on me Make it slow take your time on me Settle in, let it out Come and lay on me When it gets heavy put the weight on me Baby put it all on me Girl put it all on me C'mon relax your mind on me When you need a shoulder you can cry on me Baby you can bet your life on me Put it all on me You got my number, you can call on me If you're in trouble put the fall on me When you're mad you can take it out on me When it don't add up you can count on me When you're low come get high on me Make it slow take your time on me Settle in, let it out Come and lay on me When it gets heavy put the weight on me Baby put it all on me Yeah baby put it all on me, yeah Put it all on me, yeah Girl put it all on me Put it all on me","Devin Dawson, Jacob Durrett, Austin Smith",Jay Joyce,315
Like I Loved You,Brett Young,NA,2017,"Would've thought you wrote down every word Goodbye spelled out like it had been rehearsed There ain't no point in trying to change your mind Seems like You've got it all figured out You're alright With the way this is going down Don't tell me we can still be friends Hanging on the weekend You're gonna be okay if I start seeing somebody new You hope that I do It won't be long Till I forget to call every time that I'm drinking And you ain't the love song I can't keep from singing I gotta be honest You really believe that's the truth You never loved me like I loved you By the way you're talking you would think You never had any real feelings for me And if you think I can look across the bar And see you In someone else's arms And I need you Oh who do you think you are Trying to tell me we can still be friends Hanging on the weekend You're gonna be okay if I start seeing somebody new You hope that I do It won't be long Till I forget to call every time that I'm drinking And you ain't the love song I can't keep from singing I gotta be honest You really believe that's the truth You never loved me like I loved you You always told me You'd never leave me You said I was your one and only So what makes you think I wanna hear you say We can still be friends No I don't wanna be friends Stop telling me, stop telling me, woah That we can still be friends Hanging on the weekend You're gonna be okay if I start seeing somebody new You hope that I do It won't be long Till I forget to call every time that I'm drinking And you ain't the love song I can't keep from singing I gotta be honest You really believe that's the truth You never loved me like I loved you You never loved me like I loved you You never loved me like I loved you","Brett Young, Jesse Lee",Dann Huff,316
I'll Name The Dogs,Blake Shelton,NA,2017,"Girl, it's high time, I tell ya No more messin' around Time to lay these cards on the table And just throw it on out I'm talkin' you and me with the same street name Same last name, same everything It's a real thing, a how I feel thing So I'mma go on and take a swing You find the spot and I'll find the money You be the pretty and I'll be the funny You plant the flowers, I'll plant the kisses Baby, let's get right down to business I'll hang the pictures, you hang the stars You pick the paint, I'll pick a guitar Sing you a song out there with the crickets and the frogs You name the babies and I'll name the dogs, yeah You can park your car in the driveway I'll park my truck in the grass I'll put a little swing on the front porch If you put a little tea in my glass Watch the sun set from a gravel road Kiss me in the kitchen on your tippy toes Still lovin' on you when the rooster crows Watching way more than the garden grow You find the spot and I'll find the money You be the pretty and I'll be the funny You plant the flowers, I'll plant the kisses Baby, let's get right down to business I'll hang the pictures, you hang the stars You pick the paint, I'll pick a guitar Sing you a song out there with the crickets and the frogs You name the babies and I'll name the dogs Yeah, laying next to you every night Sounds like a damn good life You find the spot and I'll find the money You be the pretty and I'll be the funny You plant the flowers, I'll plant the kisses Baby, let's get right down to business I'll hang the pictures, you hang the stars You pick the paint, I'll pick a guitar Sing you a song out there with the crickets and the frogs You name the babies and I'll name the dogs Yeah, I'll name the dogs You name the babies and I'll name the dogs Yeah, I'll name the dogs","Matt Dragstrem, Ben Hayslip, Josh Thompson",Scott Hendricks,317
Tin Man,Miranda Lambert,NA,2017,"Hey there, Mr. Tin Man You don't know how lucky you are You shouldn't spend your whole life wishin' For something bound to fall apart Everytime you're feeling empty Better thank your lucky stars If you ever felt one breakin' You'd never want a heart Ohh, ohh, oh Hey there, Mr. Tin Man You don't know how lucky you are I've been on the road that you're on It didn't get me very far You ain't missin' nothin' 'Cause love is so damn hard Take it from me darlin', you don't want a heart Ohh, ohh, oh Ohh, ohh, oh Hey there, Mr. Tin Man Glad we talked this out You can take mine if you want it It's in pieces now By the way there, Mr. Tin Man If you don't mind the scars You give me your armor And you can have my heart Ohh, ohh, oh Ohh, ohh, oh Ohh, ohh, oh Ohh, ohh, oh","Miranda Lambert, Jack Ingram, Jon Randall","Frank Liddell, Eric Masse, Glenn Worf",318
Legends,Kelsea Ballerini,NA,2017,"We were golden, we were fire, we were magic Yeah, and they all knew our names all over town We had it made in the middle of the madness We were neon in a grey crowd Yeah, we wrote our own story Full of blood, sweat, and heartbeats We didn't do it for the fame or the glory But we went down in history Yeah, we were legends Loving you baby, it was heaven What everyone wondered, we never questioned Closed our eyes and took on the world together Do you remember? We were crazy, tragic and epic, and so amazing I'll always wear the crown that you gave me We will always stay lost in forever, and they'll remember We were legends Like we were written down in permanent marker Not even the brightest sun could ever fade Come whichever, hell or high water It was always me and you either way Hey, we wrote our own story Full of blood, sweat, and heartbeats We didn't do it for the fame or the glory We just did it for you and me And that's why we were legends Loving you baby, it was heaven What everyone wondered, we never questioned Closed our eyes and took on the world together Do you remember? We were crazy, tragic and epic, and so amazing I'll always wear the crown that you gave me We will always stay lost in forever, and they'll remember We were legends We were legends Loving you baby, it was heaven What everyone wondered, we never questioned Closed our eyes and took on the world together Do you remember? We were crazy, tragic and epic, and so amazing I'll always wear the crown that you gave me We will always stay lost in forever, and they'll remember We were legends Yeah, we were legends And we wrote our own story","Kelsea Ballerini, Hillary Lindsey, Forest Glen Whitehead","Forest Glen Whitehead, Jason Massey",319
She's With Me,High Valley,NA,2017,"When the devil's knocking at my door When I'm broken and I'm battle worn Down in the valley, on my knees Yea she's, yea she's with me Ain't she amazing, amazing, out of my league? And ain't it crazy, crazy, she happened to me? She calls me baby, baby, hard to believe That she's, yea she's with me When my dreams are running out of road And the world around me's turning cold Anyone else would up and leave But she's, yea she's with me Ain't she amazing, amazing, out of my league? And ain't it crazy, crazy, she happened to me? She calls me baby, baby, hard to believe That she's, yea she's with me Top of the mountain and all the way down When I'm lost and when I'm found In the day, in the light, in the dark of the night When it all goes wrong, when it all goes right Whoa oh, I don't know what I'd do without her Whoa oh, she's gotta know I'm all about her She's amazing, amazing Ain't she amazing, amazing? Ain't she amazing, amazing, out of my league? And ain't it crazy, crazy, she happened to me? She calls me baby, baby, hard to believe That she's, yea she's with me Ain't she amazing, amazing? (That girl, she's out of my league) And ain't it crazy, crazy, she happened to me? She calls me baby, baby, hard to believe That she's, yea she's with me That she's, yea she's with me Top of the mountain and all the way down When I'm lost and when I'm found In the day, in the light, in the dark of the night When it all goes wrong, when it all goes right","Seth Mosley, Brad Rempel, Ben Stennis",Seth Mosley,320
Dear Hate,Maren Morris,Vince Gill,2017,"Dear Hate I saw you on the news today Like a shock that takes my breath away You fall like rain, cover us in drops of pain I'm afraid that we just might drown Dear Hate Well, you sure are colorblind Your kiss is the cruelest kind You could poison any mind Just look at mine Don't know how this world keeps spinning 'round and 'round You were there in the garden, like a snake in the grass I see you in the morning staring through the looking glass You whisper down through history and echo through these halls But I hate to tell you, love's gonna conquer all Dear Hate You were smiling from that Selma bridge In Dallas, when that bullet hit and Jackie cried You pulled those towers from the sky But even on our darkest nights The world keeps spinning 'round You were there in the garden, like a snake in the grass I see you in the morning staring through the looking glass You whisper down through history and echo through these halls But I hate to tell you, love's gonna conquer all Ooh ooh ooh Ooh ooh ooh Ooh ooh ooh Dear Love Just when I think you've given up You were there in the garden when I ran from your voice I hear you every morning through the chaos and the noise You still whisper down through history and echo through these halls And tell me love's gonna conquer all Gonna conquer all","Maren Morris, Tom Douglas, David Hodges",NA,321
