gamename,year,month,avg,gain,peak,avg_peak_perc
Half-Life 2: Deathmatch,2017,August,174.01,-23.6,305,57.0525%
PAC-MAN Championship Edition DX+,2017,August,8.16,-6.14,23,35.4783%
Super Crate Box,2017,August,8.08,-0.63,18,44.8889%
Darksiders II Deathinitive Edition,2017,August,202.94,-61.09,457,44.407%
Universe Sandbox,2017,August,179.4,8.73,472,38.0085%
Assassin's Creed Revelations,2017,August,101,-37.81,194,52.0619%
Sakura Spirit,2017,August,6.12,-2.69,14,43.7143%
Momodora: Reverie Under the Moonlight,2017,August,41.62,-7.22,103,40.4078%
Unepic,2017,August,59.65,-24.97,116,51.4224%
Hitman: Blood Money,2017,August,73.88,-37.45,132,55.9697%
Door Kickers,2017,August,48.15,-45.28,93,51.7742%
How to Survive 2,2017,August,236.67,-18.24,966,24.5%
Zup!,2017,August,6.61,-6.67,17,38.8824%
Call to Arms,2017,August,135.46,-23.17,234,57.8889%
Half-Life 2: Lost Coast,2017,August,15.54,-6.16,36,43.1667%
Loading Screen Simulator,2017,August,93.92,-156.27,185,50.7676%
FreeStyle 2: Street Basketball,2017,August,877.16,-61.3,1617,54.2461%
Lucius,2017,August,31.08,-20.15,78,39.8462%
Keep Talking and Nobody Explodes,2017,August,89.05,-66.19,223,39.9327%
Assassin's Creed,2017,August,58.39,-33.99,115,50.7739%
Batman - The Telltale Series,2017,August,278.86,101.82,1008,27.6647%
STEINS;GATE,2017,August,48.42,-35.71,89,54.4045%
Relic Hunters Zero: Remix,2017,August,34.06,-35.56,146,23.3288%
Endless Space® - Definitive Edition,2017,August,195.97,-53.94,378,51.8439%
The Swapper,2017,August,11.58,-11.12,28,41.3571%
STAR WARS Jedi Knight: Jedi Academy,2017,August,157.3,-41.34,292,53.8699%
Aura Kingdom,2017,August,515.11,-49.33,791,65.1214%
Long Live The Queen,2017,August,17.72,-7.98,36,49.2222%
Anno 2070,2017,August,271.69,2.59,686,39.605%
Archeblade,2017,August,12.78,0.33,28,45.6429%
"Warhammer 40,000: Dawn of War II",2017,August,215.51,-51.29,446,48.3206%
S.T.A.L.K.E.R.: Clear Sky,2017,August,159.56,-39.31,293,54.4573%
60 Seconds!,2017,August,51.22,-34.31,101,50.7129%
Viridi,2017,August,47.31,-4.78,74,63.9324%
Homefront,2017,August,44.63,13.65,139,32.1079%
Magicite,2017,August,45.28,-13.48,104,43.5385%
Streets of Rogue,2017,August,136.76,-226.6,262,52.1985%
Nidhogg,2017,August,36.92,-6.97,90,41.0222%
Hatred,2017,August,21.49,-6.23,49,43.8571%
"Warhammer 40,000: Eternal Crusade",2017,August,347.03,-55.03,773,44.8939%
FlatOut 2,2017,August,57.92,5.43,163,35.5337%
Machinarium,2017,August,21.9,-28.22,50,43.8%
DLC Quest,2017,August,3.81,-2.33,11,34.6364%
PROTOTYPE 2,2017,August,73.5,-23.3,141,52.1277%
Homeworld Remastered Collection,2017,August,175.37,-108.82,329,53.304%
Planetary Annihilation: TITANS,2017,August,226.84,-111.04,433,52.388%
Orcs Must Die!,2017,August,27.54,-12.43,57,48.3158%
Blockstorm,2017,August,56.93,7.74,702,8.1097%
Serious Sam 2,2017,August,42.36,-30.26,91,46.5495%
F.E.A.R. 3,2017,August,48.19,-11.99,95,50.7263%
Lucy -The Eternity She Wished For-,2017,August,23.96,3.9,110,21.7818%
Supreme Commander 2,2017,August,278.56,-37.27,530,52.5585%
Sunless Sea,2017,August,134.57,-68.21,246,54.7033%
Jotun: Valhalla Edition,2017,August,291.14,-974.7,1163,25.0335%
FINAL FANTASY VIII,2017,August,306.89,-49.26,506,60.6502%
This Is the Police,2017,August,99.78,-93.68,185,53.9351%
Broken Age,2017,August,29.97,-14.95,75,39.96%
Book of Demons,2017,August,11.68,-13.03,28,41.7143%
Riders of Icarus,2017,August,1235.01,-93.69,1890,65.3444%
Tales of Zestiria,2017,August,276.83,25.75,664,41.6913%
Far Cry 2,2017,August,68.76,-22.85,143,48.0839%
RUINER,2017,August,1.71,0.22,18,9.5%
Tower Unite,2017,August,245.38,-37.64,475,51.6589%
Zombie Panic! Source,2017,August,72.14,-31.36,133,54.2406%
Race The Sun,2017,August,14.08,-4.57,35,40.2286%
RUNNING WITH RIFLES,2017,August,91.8,-34.71,151,60.7947%
The Way of Life Free Edition,2017,August,6.19,-1.02,16,38.6875%
Half-Life: Opposing Force,2017,August,78.23,-30.52,138,56.6884%
Darksiders Warmastered Edition,2017,August,183.41,-55.16,420,43.669%
Into the Breach,2017,August,0.04,-0.15,1,4%
Stonehearth,2017,August,202.05,-75.38,398,50.7663%
Hatoful Boyfriend,2017,August,13.38,-14.34,30,44.6%
METAL SLUG 3,2017,August,15.98,-7.27,33,48.4242%
Bit Blaster XL,2017,August,16.94,-3,90,18.8222%
Saints Row: Gat out of Hell,2017,August,115.45,28.06,376,30.7048%
Lethal League,2017,August,30.46,-24.64,72,42.3056%
Never Alone (Kisima Ingitchuna),2017,August,13.48,-12.12,30,44.9333%
Timberman,2017,August,12.08,-2.92,45,26.8444%
Cave Story+,2017,August,20.05,-7.07,44,45.5682%
Kingdom Rush,2017,August,76.44,-53.97,147,52%
Rebel Galaxy,2017,August,103.31,-80.77,206,50.1505%
Hammerwatch,2017,August,48.96,-40.17,104,47.0769%
The Escapists 2,2017,August,1574.47,1570.75,11156,14.1132%
Recettear: An Item Shop's Tale,2017,August,47.02,-28.32,84,55.9762%
The Mean Greens - Plastic Warfare,2017,August,9,-7.45,28,32.1429%
Devil May Cry 4 Special Edition,2017,August,139.82,53.94,578,24.1903%
Pit People,2017,August,110.38,-159.23,236,46.7712%
Gauntlet,2017,August,68.45,-39.65,150,45.6333%
The Incredible Adventures of Van Helsing,2017,August,36.26,-31.12,78,46.4872%
Supreme Commander: Forged Alliance,2017,August,363.78,-31.12,696,52.2672%
GRID Autosport,2017,August,126.38,-2.41,288,43.8819%
Resident Evil Revelations,2017,August,97.76,7.92,302,32.3709%
Killer is Dead,2017,August,30.19,3.19,67,45.0597%
Reigns,2017,August,47.65,-70.13,86,55.407%
Five Nights at Freddy's 3,2017,August,8.69,-0.39,22,39.5%
Fran Bow,2017,August,30.18,-22.25,60,50.3%
Guacamelee! Gold Edition,2017,August,17.34,-3.57,53,32.717%
Magicka 2,2017,August,102.16,-3.96,678,15.0678%
Art of War: Red Tides,2017,August,524.44,-248.43,1034,50.7195%
Next Day: Survival,2017,August,1013.57,-649.38,2758,36.7502%
Her Story,2017,August,12.66,-12.12,36,35.1667%
Dead Bits,2017,August,95.56,34.5,630,15.1683%
Genital Jousting,2017,August,12.01,-13.3,36,33.3611%
The Ship,2017,August,17.81,-2.75,57,31.2456%
Rivals of Aether,2017,August,246.45,89.63,1488,16.5625%
War Trigger 3,2017,August,88.82,-15.17,154,57.6753%
Road Redemption,2017,August,23.41,-2.05,50,46.82%
Company of Heroes - Legacy Edition,2017,August,85.94,-14.25,165,52.0848%
Five Nights at Freddy's: Sister Location,2017,August,43.26,-4.48,88,49.1591%
Fallout 2,2017,August,162.84,-2.68,326,49.9509%
Elsword,2017,August,360.17,-75.07,683,52.7335%
Paint the Town Red,2017,August,111.11,-18.24,183,60.7158%
Gorogoa,2017,August,0.22,NA,2,11%
Grand Theft Auto III,2017,August,64.39,-9.84,152,42.3618%
The Silent Age,2017,August,12.3,-16.46,31,39.6774%
Party Hard,2017,August,49.79,-37.18,87,57.2299%
Faeria,2017,August,489.17,43.99,932,52.4861%
Sonic Adventure 2,2017,August,113.31,-27.77,217,52.2166%
Dead or Alive 5 Last Round,2017,August,81.87,-21.53,160,51.1688%
Ballistic Overkill,2017,August,194.88,31.34,654,29.7982%
Kingdom: New Lands,2017,August,114.24,-71.01,192,59.5%
Dark and Light,2017,August,6381.97,3337.56,12902,49.465%
Mandagon,2017,August,3.85,-1.29,21,18.3333%
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,2017,August,262.54,-327.08,562,46.7153%
Serena,2017,August,1.9,-0.69,52,3.6538%
Gaokao.Love.100Days,2017,August,28.62,-6.69,64,44.7188%
Vampyr,2017,August,1.94,-0.57,14,13.8571%
Line of Sight,2017,August,310.2,-123.74,488,63.5656%
Dragonia,2017,August,27.98,-8.26,105,26.6476%
Zup! 2,2017,August,6.18,-7.31,19,32.5263%
SimplePlanes,2017,August,181.48,-52.34,313,57.9808%
Hidden Folks,2017,August,20.18,-36.45,41,49.2195%
Styx: Master of Shadows,2017,August,114.24,-6.04,539,21.1948%
Clustertruck,2017,August,63.95,-56.86,144,44.4097%
Democracy 3,2017,August,69.77,-34.98,135,51.6815%
Downwell,2017,August,25.45,-7.41,53,48.0189%
CastleMiner Z,2017,August,59.65,9.08,181,32.9558%
Slender: The Arrival,2017,August,9.48,-4.8,23,41.2174%
Devil Daggers,2017,August,23.09,-2.12,59,39.1356%
E.Y.E: Divine Cybermancy,2017,August,25.51,-4.89,59,43.2373%
ONE PIECE PIRATE WARRIORS 3,2017,August,161.02,-93.05,300,53.6733%
Primal Carnage,2017,August,27.3,-5.69,65,42%
Argo,2017,August,720.04,-842.72,1194,60.3049%
Evoland,2017,August,8.15,-5.47,22,37.0455%
Duke Nukem Forever,2017,August,38.98,-14.51,85,45.8588%
Tree of Life,2017,August,717.39,680.35,2759,26.0018%
Legend of Grimrock,2017,August,35.62,-9.32,77,46.2597%
Secret World Legends,2017,August,1881.1,1827.39,3740,50.2968%
Transport Fever,2017,August,1660.67,175.43,3430,48.416%
Binary Domain,2017,August,11.99,-1.5,49,24.4694%
WAKFU,2017,August,589.04,-101.66,984,59.8618%
Command and Conquer: Red Alert 3,2017,August,224.4,-59.58,360,62.3333%
Dark Messiah of Might & Magic Single Player,2017,August,52.56,1.55,133,39.5188%
Fable - The Lost Chapters,2017,August,79.51,9.64,147,54.0884%
Holdfast: Nations At War,2017,August,3.85,2.33,105,3.6667%
NBA 2K17,2017,August,5163.31,-1979.75,8810,58.6074%
Amnesia: A Machine for Pigs,2017,August,8.29,-2.7,32,25.9062%
EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,2017,August,315.17,-229.24,738,42.706%
Pyre,2017,August,328.95,-1382.98,1126,29.214%
Assassin's Creed Rogue,2017,August,186.88,-140.56,346,54.0116%
THE KING OF FIGHTERS XIII STEAM EDITION,2017,August,87.76,-29.32,188,46.6809%
Murder Miners,2017,August,25.61,-3.99,79,32.4177%
OLDTV,2017,August,45.21,-58.74,110,41.1%
Stronghold Crusader 2,2017,August,372.44,42.64,833,44.7107%
MechWarrior Online,2017,August,1036.32,-75.94,1803,57.4775%
Garfield Kart,2017,August,14.7,-3.4,24,61.25%
Domina,2017,August,71.16,-191.79,139,51.1942%
"Cook, Serve, Delicious!",2017,August,74.37,-7.17,150,49.58%
System Shock 2,2017,August,27.15,-5.8,69,39.3478%
Furi,2017,August,32.94,-38.23,82,40.1707%
PRICE,2017,August,7.97,-2.84,25,31.88%
Comedy Night,2017,August,98.74,NA,1081,9.1341%
Victor Vran,2017,August,98.62,-97.61,233,42.3262%
Melody's Escape,2017,August,11.45,-6.89,25,45.8%
Planetbase,2017,August,269.3,-52.58,472,57.0551%
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,2017,August,42.3,-22.27,95,44.5263%
Baldur's Gate: Enhanced Edition,2017,August,429.16,-143.63,798,53.7794%
Stories: The Path of Destinies,2017,August,9.02,-16.75,28,32.2143%
Jazzpunk: Director's Cut,2017,August,13.66,-7.47,31,44.0645%
Grim Fandango Remastered,2017,August,45.14,-24.4,117,38.5812%
Poly Bridge,2017,August,184.55,51.34,929,19.8654%
SteamWorld Dig,2017,August,16.27,-11.25,38,42.8158%
I am Bread,2017,August,20.59,-5.6,58,35.5%
Enclave,2017,August,82.74,63.75,873,9.4777%
EVERSPACE,2017,August,125.33,-125.48,257,48.7665%
Late Shift,2017,August,27.94,7.3,197,14.1827%
BEEP,2017,August,4.38,-1.87,14,31.2857%
Fable Anniversary,2017,August,134.91,-103.36,257,52.4942%
Valley,2017,August,33.35,16.25,183,18.224%
Atlas Reactor,2017,August,299.61,-98.3,492,60.8963%
Wizard of Legend,2017,August,0.06,-0.02,2,3%
Distance,2017,August,22.27,-9.42,86,25.8953%
From The Depths,2017,August,513.23,-6.05,863,59.4705%
DOOM 3: BFG Edition,2017,August,95.16,-9.37,272,34.9853%
Serious Sam HD: The First Encounter,2017,August,31.91,-30.49,66,48.3485%
War for the Overworld,2017,August,271.66,144.15,928,29.2737%
Polarity,2017,August,4.22,-1.87,12,35.1667%
SURVIVAL: Postapocalypse Now,2017,August,14.38,-8.27,59,24.3729%
Max Payne,2017,August,30.14,-0.2,87,34.6437%
The Tiny Bang Story,2017,August,13.31,-2.75,40,33.275%
Worms Revolution,2017,August,125.09,-3.95,522,23.9636%
Among the Sleep,2017,August,11.28,-6.72,28,40.2857%
State of Decay: Year-One,2017,August,274.22,-196.33,520,52.7346%
Dungeons of Dredmor,2017,August,53.66,-12.06,102,52.6078%
FINAL FANTASY IX,2017,August,264.03,-127.53,505,52.2832%
BATTALION 1944,2017,August,1.35,0.21,9,15%
TOXIKK,2017,August,18.31,-6.66,50,36.62%
Darkwood,2017,August,234,219.21,1008,23.2143%
Grow Home,2017,August,13.22,-5.28,34,38.8824%
Time Clickers,2017,August,455.87,-12.42,593,76.8752%
Risen,2017,August,106.49,-7.44,384,27.7318%
Planet Explorers,2017,August,95.5,0.9,199,47.9899%
Morphopolis,2017,August,3.48,-1.49,10,34.8%
"Pirates, Vikings, & Knights II",2017,August,65.39,-6.91,125,52.312%
Castlevania: Lords of Shadow - Ultimate Edition,2017,August,56.42,-60.15,138,40.8841%
Torchlight,2017,August,48.77,-8.65,101,48.2871%
Woodle Tree Adventures,2017,August,27.71,-15.11,682,4.063%
Half-Life: Blue Shift,2017,August,40.71,-18.55,88,46.2614%
Meadow,2017,August,74.25,-62.35,146,50.8562%
Aragami,2017,August,40.06,-62.38,99,40.4646%
Bomber Crew,2017,August,0.33,NA,3,11%
Gothic II: Gold Edition,2017,August,107.85,-12.9,245,44.0204%
Bloons TD5,2017,August,357.68,-38.39,685,52.2161%
Turbo Dismount,2017,August,36.05,-7.72,69,52.2464%
Lost Lands: A Hidden Object Adventure,2017,August,55.03,-3.41,88,62.5341%
Audiosurf 2,2017,August,42.51,-16.74,77,55.2078%
DiRT 4,2017,August,250.82,-159.47,531,47.2354%
Euro Truck Simulator,2017,August,33.67,-44.94,73,46.1233%
Lost Lands: Mahjong,2017,August,63.04,-7.04,112,56.2857%
Half-Life: Source,2017,August,50.69,-37.91,120,42.2417%
Crawl,2017,August,31.19,-18.84,81,38.5062%
Jalopy,2017,August,33.36,-18.05,67,49.791%
Plantera,2017,August,51.52,-61.93,96,53.6667%
Blockland,2017,August,76.59,-21.61,185,41.4%
The Ultimate DOOM,2017,August,25.21,0.13,100,25.21%
Prototype,2017,August,42.3,-24.5,72,58.75%
SpaceChem,2017,August,30.98,-15.41,57,54.3509%
ENSLAVED: Odyssey to the West Premium Edition,2017,August,19.87,-4.35,64,31.0469%
Strife,2017,August,49.29,-1.52,99,49.7879%
Vindictus,2017,August,389.76,-70.93,688,56.6512%
Viscera Cleanup Detail: Santa's Rampage,2017,August,18.01,-4.77,42,42.881%
Secrets of Grindea,2017,August,158.38,17.43,357,44.3641%
Soda Dungeon,2017,August,837.41,-5.52,1079,77.6098%
Trine 3: The Artifacts of Power,2017,August,38.89,-0.88,105,37.0381%
Magic 2014,2017,August,72.62,1.11,124,58.5645%
Boring Man - Online Tactical Stickman Combat,2017,August,63.88,-6.75,107,59.7009%
The Flame in the Flood,2017,August,34.86,-10.41,327,10.6606%
Epistory - Typing Chronicles,2017,August,9.1,-8.05,20,45.5%
DUSK,2017,August,0.19,0.11,6,3.1667%
Alan Wake's American Nightmare,2017,August,15.12,-5.27,38,39.7895%
Mordheim: City of the Damned,2017,August,288.53,-64.42,531,54.3371%
Reus,2017,August,37.75,-5.63,117,32.265%
Sword With Sauce,2017,August,53.16,-21.59,107,49.6822%
"Invisible, Inc.",2017,August,64.39,-26.89,121,53.2149%
klocki,2017,August,6.9,-4.2,15,46%
Titan Souls,2017,August,11.27,-12.17,34,33.1471%
Worm.is: The Game,2017,August,64.42,-13.8,133,48.4361%
Freedom Planet,2017,August,16.68,-7.34,38,43.8947%
Owlboy,2017,August,31.29,-26.33,80,39.1125%
911 Operator,2017,August,61.28,-73.03,114,53.7544%
Botanicula,2017,August,7.88,-8.53,22,35.8182%
Worms Armageddon,2017,August,111.48,-2.59,365,30.5425%
Home Behind,2017,August,160.06,29.89,412,38.8495%
Dead Island Definitive Edition,2017,August,97.62,-55.12,193,50.5803%
BRINK,2017,August,376.82,362.97,2600,14.4931%
Shadowrun: Dragonfall - Director's Cut,2017,August,138.7,-66.22,271,51.1808%
Zup! 3,2017,August,9.45,-10.2,26,36.3462%
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2017,August,85.38,-41.91,171,49.9298%
GRAV,2017,August,12.03,-3.71,31,38.8065%
Tiny and Big: Grandpa's Leftovers,2017,August,6.33,-0.28,27,23.4444%
Hexcells,2017,August,14.17,-1.14,60,23.6167%
Eternal Card Game,2017,August,1111.15,59.54,1935,57.4238%
World of Goo,2017,August,10.98,-4.85,24,45.75%
Tricky Towers,2017,August,109.83,-7.25,476,23.0735%
The Cat Lady,2017,August,8.05,-5.77,24,33.5417%
Overlord,2017,August,76.72,6.95,216,35.5185%
Rec Room,2017,August,112.4,15.07,251,44.7809%
Resident Evil 7 Teaser: Beginning Hour,2017,August,25.82,1.68,71,36.3662%
Endless Sky,2017,August,127.39,-2.96,210,60.6619%
Day of Defeat,2017,August,133.8,-5.32,223,60%
The Legend of Heroes: Trails in the Sky,2017,August,132.52,-7.07,272,48.7206%
Jet Set Radio,2017,August,14.31,-6.59,31,46.1613%
140,2017,August,6.45,-8.06,16,40.3125%
Gothic,2017,August,58.96,-4.79,170,34.6824%
The Final Station,2017,August,31.35,-14.43,99,31.6667%
RPG Maker VX Ace,2017,August,308.33,-38.44,420,73.4119%
"Warhammer 40,000: Inquisitor - Martyr",2017,August,38.34,-12.48,731,5.2449%
GORN,2017,August,57.06,6.48,153,37.2941%
Confess My Love,2017,August,14.93,-39.31,33,45.2424%
One Way Heroics,2017,August,30.73,0.18,74,41.527%
WILL: A Wonderful World,2017,August,62.24,-22.17,154,40.4156%
Car Mechanic Simulator 2014,2017,August,34.63,-10.31,104,33.2981%
House Party,2017,August,128.1,-84.65,253,50.6324%
Team Fortress Classic,2017,August,58.56,-11.5,110,53.2364%
Space Rangers HD: A War Apart,2017,August,99.91,-23.71,192,52.0365%
Defense Grid: The Awakening,2017,August,70.8,-6.89,117,60.5128%
Death Road to Canada,2017,August,173.99,16.46,474,36.7068%
Anomaly Warzone Earth,2017,August,3.86,-1.98,13,29.6923%
Hearts of Iron III,2017,August,218.44,-5.72,391,55.867%
Wargame: AirLand Battle,2017,August,68.22,-3.87,136,50.1618%
Caster,2017,August,9.01,5.35,441,2.0431%
F.E.A.R. 2: Project Origin,2017,August,38.77,-4.51,81,47.8642%
Floating Point,2017,August,11.31,1.43,24,47.125%
There's Poop In My Soup,2017,August,15.82,6.56,68,23.2647%
Heat Signature,2017,August,0.05,0.02,2,2.5%
Danganronpa V3: Killing Harmony,2017,August,1.01,0.36,8,12.625%
Medieval Engineers,2017,August,179.52,33.09,386,46.5078%
"Gremlins, Inc.",2017,August,102.46,-50.45,277,36.9892%
Hard Reset,2017,August,8.16,-2.62,19,42.9474%
The Surge,2017,August,114.01,-58.79,427,26.7002%
HunieCam Studio,2017,August,74.77,-51.32,124,60.2984%
Mad Games Tycoon,2017,August,88.21,-0.18,224,39.3795%
Medal of Honor(TM) Single Player,2017,August,25.77,-7.91,53,48.6226%
Mount & Blade,2017,August,124.21,-46.43,214,58.0421%
Sniper Elite: Nazi Zombie Army,2017,August,22.04,3.65,83,26.5542%
Overgrowth,2017,August,25.82,-5.45,54,47.8148%
DuckTales Remastered,2017,August,27.9,10.94,163,17.1166%
Savage Lands,2017,August,10.05,-0.58,24,41.875%
Arma: Cold War Assault,2017,August,20.91,-2.29,45,46.4667%
ArcheAge,2017,August,725.32,-124.87,1070,67.7869%
12 is Better Than 6,2017,August,7.28,-5.31,316,2.3038%
LUFTRAUSERS,2017,August,7.76,-3.81,20,38.8%
Gold Rush: The Game,2017,August,0.01,NA,1,1%
Arizona Sunshine,2017,August,108.85,4.82,211,51.5877%
Blameless,2017,August,7.18,-1.18,22,32.6364%
Crazy Machines 3,2017,August,4.81,-1.56,21,22.9048%
Robot Roller-Derby Disco Dodgeball,2017,August,17.92,-11.78,52,34.4615%
Turmoil,2017,August,95.42,-25.45,171,55.8012%
Card Hunter,2017,August,149.83,-4.32,250,59.932%
We Happy Few,2017,August,78.24,36.14,237,33.0127%
Blade Symphony,2017,August,6.86,-3.82,20,34.3%
King Arthur's Gold,2017,August,44.76,-9.26,97,46.1443%
ibb & obb,2017,August,28.18,-25.91,70,40.2571%
Cortex Command,2017,August,28.51,-3.27,69,41.3188%
Alpha Protocol,2017,August,16.67,-2.91,35,47.6286%
Teeworlds,2017,August,56.18,0.03,130,43.2154%
Far Cry,2017,August,39.42,-11.18,83,47.494%
Axiom Verge,2017,August,27.13,-29.35,63,43.0635%
Plug & Play,2017,August,1.39,0.36,9,15.4444%
Steel Division: Normandy 44,2017,August,282.51,-139.09,596,47.401%
Counter-Strike: Global Offensive,2017,July,377589.04,3201,624785,60.435%
Dota 2,2017,July,498444.38,-56844.7,824297,60.469%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,July,229701.7,89799.46,481291,47.7262%
Rust,2017,July,29563.1,277.67,53425,55.3357%
Team Fortress 2,2017,July,51861.41,-546.65,66951,77.4617%
Grand Theft Auto V,2017,July,60840.07,554.67,112074,54.2856%
Tom Clancy's Rainbow Six Siege,2017,July,28378.64,4294.92,47328,59.9616%
Rocket League,2017,July,35005.62,2343.87,68232,51.3038%
Path of Exile,2017,July,9032.2,-1067.62,17660,51.145%
ARK: Survival Evolved,2017,July,41812.09,-5268.65,72455,57.7077%
Sid Meier's Civilization VI,2017,July,16390.29,1914.55,29988,54.6562%
PAYDAY 2,2017,July,55126.4,-25653.48,99900,55.1816%
Wallpaper Engine,2017,July,6065.92,-773.21,10634,57.0427%
Warframe,2017,July,39002.18,13100.15,58314,66.883%
Euro Truck Simulator 2,2017,July,15847.17,2967.2,30656,51.6935%
Stardew Valley,2017,July,15538.17,6633.52,28122,55.2527%
Garry's Mod,2017,July,34957.69,2440.26,53019,65.9343%
Dead by Daylight,2017,July,10292.33,335.65,23814,43.2197%
War Thunder,2017,July,9379.97,-924.09,15731,59.6273%
Total War: WARHAMMER II,2017,July,13.95,3.7,44,31.7045%
DayZ,2017,July,3307.35,-1087.94,6587,50.2103%
Hearts of Iron IV,2017,July,10010.83,-166.47,16566,60.43%
World of Tanks Blitz,2017,July,4899.52,237.14,8993,54.4815%
The Elder Scrolls Online,2017,July,8378.74,-1535.89,14351,58.3844%
Brawlhalla,2017,July,5602.41,192.82,8777,63.8306%
Unturned,2017,July,23564.34,4984.76,38020,61.9788%
Spacewar,2017,July,6554.24,-572.57,10513,62.3441%
7 Days to Die,2017,July,16224.72,5337.88,32518,49.8946%
SMITE,2017,July,8641.22,-649.52,15695,55.0572%
Sid Meier's Civilization V,2017,July,27746.32,2076.53,44623,62.1794%
FINAL FANTASY XIV Online,2017,July,12136.97,-309.35,22824,53.1763%
RimWorld,2017,July,6718.67,-614.27,10193,65.9145%
Europa Universalis IV,2017,July,9934.63,-690.88,16952,58.6045%
Counter-Strike,2017,July,11728.28,-419.12,20303,57.7662%
Arma 3,2017,July,22120.46,-33.73,43759,50.5507%
Black Desert Online,2017,July,19705.27,3192.14,28105,70.113%
Factorio,2017,July,6386.48,-1017.83,10971,58.2124%
Dead Cells,2017,July,2080.37,-443.3,4243,49.0306%
DARK SOULS III,2017,July,9491.29,1599.76,15962,59.4618%
Fallout 4,2017,July,21692.1,-90.74,36800,58.9459%
VRChat,2017,July,24.32,4.14,64,38%
Stellaris,2017,July,7894.73,-1881.17,14155,55.7734%
Paladins,2017,July,25248.16,-745.74,41268,61.181%
The Forest,2017,July,4284.53,978.07,7707,55.5927%
Deep Rock Galactic,2017,July,4.76,-1.07,28,17%
The Binding of Isaac: Rebirth,2017,July,6066.49,-174.83,8628,70.3117%
Oxygen Not Included,2017,July,1525.62,-1497.76,2927,52.1223%
Conan Exiles,2017,July,1570.09,-224.52,3113,50.4366%
Human: Fall Flat,2017,July,94.62,22.61,225,42.0533%
Dying Light,2017,July,3667.05,126.28,8444,43.4279%
Geometry Dash,2017,July,3066.99,-286.11,4777,64.2033%
SCUM,2017,July,0.13,0.07,8,1.625%
Company of Heroes 2,2017,July,3881.49,-510.49,7122,54.5%
Mount & Blade: Warband,2017,July,8543.3,1221.66,15220,56.1321%
Total War: ROME II - Emperor Edition,2017,July,5964.05,540.54,10208,58.4253%
Squad,2017,July,1710.39,149.86,3621,47.2353%
Hollow Knight,2017,July,2481.9,1010.67,5635,44.0444%
Grim Dawn,2017,July,2874.65,265.78,6176,46.5455%
BeamNG.drive,2017,July,1275.83,49.09,2108,60.5232%
Killing Floor 2,2017,July,3791.96,-532.93,6746,56.2105%
Prison Architect,2017,July,2451.43,544.79,5215,47.0073%
Kerbal Space Program,2017,July,3346.01,241.7,5391,62.0666%
Total War: MEDIEVAL II - Definitive Edition,2017,July,3023.3,153.71,4970,60.831%
Clicker Heroes,2017,July,7672.17,-885.92,9833,78.0247%
theHunter: Call of the Wild,2017,July,1314.37,499.54,4137,31.7711%
AdVenture Capitalist,2017,July,1662.09,-329.68,3350,49.6146%
Starbound,2017,July,5501.11,-1134.33,10190,53.9854%
Crossout,2017,July,1224.51,586.53,8449,14.493%
Warface,2017,July,3342.04,627.52,5336,62.6319%
For Honor,2017,July,1253.84,-450.78,1941,64.5976%
Crusader Kings II,2017,July,4162.48,341.04,7243,57.469%
House Flipper,2017,July,0.26,0.05,2,13%
XCOM 2,2017,July,6903.35,1526.68,12370,55.8072%
Blender,2017,July,529.2,6.44,742,71.3208%
The Isle,2017,July,805.19,162.95,1377,58.4742%
Borderlands 2,2017,July,9741.55,2485.02,17654,55.1804%
Kenshi,2017,July,225.5,48.24,370,60.9459%
Heroes & Generals,2017,July,3977.68,-716.62,7016,56.6944%
Shakes and Fidget,2017,July,1594.5,-34.06,2938,54.2716%
Subnautica,2017,July,3282.78,516.07,7016,46.7899%
Total War: EMPIRE - Definitive Edition,2017,July,2807.33,-2.81,4892,57.3861%
The Sims(TM) 3,2017,July,3612.24,792.23,6992,51.6625%
Transformice,2017,July,1058.79,1.06,1807,58.5938%
Total War: ATTILA,2017,July,3576.31,483.42,6199,57.6917%
Darkest Dungeon®,2017,July,7028.83,1891.87,17795,39.4989%
Total War: SHOGUN 2,2017,July,2711.8,264.41,4375,61.984%
Portal 2,2017,July,4728.89,1190.31,14151,33.4174%
They Are Billions,2017,July,0.11,-0.09,2,5.5%
Totally Accurate Battle Simulator,2017,July,0.41,0.03,5,8.2%
Fishing Planet,2017,July,1045.33,-21.76,1863,56.11%
Middle-earth: Shadow of War,2017,July,39.68,-1.96,87,45.6092%
Star Trek Online,2017,July,1165.78,-10.37,2007,58.0857%
Catan Universe,2017,July,179.34,-2.39,333,53.8559%
Men of War: Assault Squad 2,2017,July,1289.98,4.19,2308,55.8917%
Trove,2017,July,6090.29,2045.3,10222,59.5802%
DARK SOULS II: Scholar of the First Sin,2017,July,2582.03,547.72,4491,57.4934%
Gems of War,2017,July,1318.42,-105.28,2259,58.363%
Aseprite,2017,July,279.65,38.55,380,73.5921%
CarX Drift Racing Online,2017,July,110.95,NA,276,40.1993%
