name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Anhelina Kyiakh,F,SBD,Single-ply,13.5,13-15,Sub-Juniors,46.3,47,107.5,52.5,75,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Taylor LaChapelle,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,51.5,52,177.5,92.5,147.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Dilyara Karimova,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,51.8,52,150,95,150,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Aoi Sawayama,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,50.7,52,152.5,85,135,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Krystsina Shlykovich,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,51.5,52,120,62.5,125,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daniela Kolesnik,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,56.51,57,175,127.5,170,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daria Lazebna,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,56,57,167.5,110,150,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Alana Montes,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,56.2,57,145,85,160,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Aya Kurusu,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,54.9,57,130,70,130,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ida Lis,F,SBD,Single-ply,15.5,16-17,Sub-Juniors,56.7,57,115,57.5,135,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Cheyenne Reich,F,SBD,Single-ply,17,16-17,Sub-Juniors,55.4,57,100,62.5,110,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sonja Stefanie Krüger,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,62.2,63,215,128,160,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Jordanne Panton,F,SBD,Single-ply,17,16-17,Sub-Juniors,61.3,63,182.5,92.5,193.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Nataliia Harhunovska,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,60.4,63,190,102.5,155,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daria Vakhrameeva,F,SBD,Single-ply,15.5,16-17,Sub-Juniors,59.8,63,167.5,115.5,145,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Magdalena Malcherek,F,SBD,Single-ply,18,18-19,Sub-Juniors,62.5,63,160,92.5,145,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daria Rusanenko,F,SBD,Single-ply,14.5,13-15,Sub-Juniors,58.9,63,180,82.5,132.5,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Dakota Reich,F,SBD,Single-ply,17,16-17,Sub-Juniors,59.7,63,140,77.5,170,7,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Anastasiya Derevyanko,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,62.2,63,145,90,147.5,8,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kristýna Obršlíková,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,61.5,63,152.5,85,135,9,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Irina Atamanova,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,65.2,72,185,112.5,162.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Amber Kierstyn,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,70.9,72,175,92.5,177.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ruslana Krasnova,F,SBD,Single-ply,15.5,16-17,Sub-Juniors,65.7,72,175,107.5,160,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sandra Soltyszewska,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,64.2,72,117.5,55,127.5,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Anastasiia Minaeva,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,83,84,202.5,117.5,160,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Olesia Nesterenko,F,SBD,Single-ply,14.5,13-15,Sub-Juniors,72.1,84,170,105,145,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Gabriele Butautaite,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,73.5,84,155,85,162.5,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Deborah Rumanová,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,75.2,84,155,75,125,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kateryna Pinionzh,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,74.6,84,152.5,NA,125,DQ,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
LeeAnn Hewitt,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,150.1,84+,248.5,125,230,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Lily Poisso,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,129.7,84+,195,122.5,202.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daria Efimtseva,F,SBD,Single-ply,15.5,16-17,Sub-Juniors,108.9,84+,210,142.5,165,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Stephanie Rattunde,F,SBD,Single-ply,18.5,18-19,Juniors,42.8,43,122.5,70,130,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Polina Kirillova,F,SBD,Single-ply,18.5,18-19,Juniors,42.3,43,105,60,120,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Allegra Hudson,F,SBD,Single-ply,21.5,20-23,Juniors,46.6,47,152.5,80,160,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Hui-Chuan Huang,F,SBD,Single-ply,19.5,20-23,Juniors,46.2,47,140,85,155,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tetyana Shlopko,F,SBD,Single-ply,19.5,20-23,Juniors,46.9,47,147.5,85,140,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Jasmine Martin,F,SBD,Single-ply,22.5,20-23,Juniors,46.2,47,140,60,145,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Aleksandra Gerber,F,SBD,Single-ply,20.5,20-23,Juniors,46.9,47,135,80,120,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Mayu Uemura,F,SBD,Single-ply,18.5,18-19,Juniors,46.8,47,95,50,100,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Karen Hesthammer,F,SBD,Single-ply,21.5,20-23,Juniors,51.7,52,177.5,105,167.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ayasa Minami,F,SBD,Single-ply,22.5,20-23,Juniors,50.7,52,140,95,117.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sakiko Ito,F,SBD,Single-ply,19.5,20-23,Juniors,51.2,52,115,62.5,127.5,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Maria Engrenius,F,SBD,Single-ply,18.5,18-19,Juniors,51,52,140,NA,140,DQ,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kimberly Johnson,F,SBD,Single-ply,21.5,20-23,Juniors,55.8,57,185,120,177.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Lauren Lent,F,SBD,Single-ply,18.5,18-19,Juniors,55.9,57,192.5,97.5,180,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ganna Gonchar,F,SBD,Single-ply,22.5,20-23,Juniors,56.9,57,180,132.5,150,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Elena Borisova,F,SBD,Single-ply,21.5,20-23,Juniors,56.5,57,185,102.5,172.5,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Lena Sjøl,F,SBD,Single-ply,19,18-19,Juniors,56.7,57,175,102.5,170,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Galina Iskibaeva,F,SBD,Single-ply,22.5,20-23,Juniors,55.9,57,167.5,102.5,165,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Milda Bruvere,F,SBD,Single-ply,21.5,20-23,Juniors,56,57,167.5,82.5,152.5,7,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Nobuyo Kobayashi,F,SBD,Single-ply,19,18-19,Juniors,56.4,57,155,87.5,130,8,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Erle Engmark,F,SBD,Single-ply,22.5,20-23,Juniors,62.9,63,187.5,130,200,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Daria Grebenkova,F,SBD,Single-ply,21.5,20-23,Juniors,62.5,63,192.5,120,182.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Matilda Vilmar,F,SBD,Single-ply,19.5,20-23,Juniors,62.2,63,190,117.5,165,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Maruru Terahara,F,SBD,Single-ply,22.5,20-23,Juniors,62.2,63,192.5,110,155,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ayaka Tsutsumi,F,SBD,Single-ply,20.5,20-23,Juniors,60.2,63,175,70,147.5,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Michaela Radová,F,SBD,Single-ply,21.5,20-23,Juniors,60.2,63,NA,95,140,DQ,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ingvild Hansen,F,SBD,Single-ply,21.5,20-23,Juniors,62.5,63,175,NA,160,DQ,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Silvia Kapstad,F,SBD,Single-ply,19.5,20-23,Juniors,71.9,72,222.5,125,202.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Jessika Lowe,F,SBD,Single-ply,19.5,20-23,Juniors,71.2,72,190,122.5,197.5,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Dakota Young,F,SBD,Single-ply,19.5,20-23,Juniors,71.7,72,207.5,107.5,195,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Mariia Erokhina,F,SBD,Single-ply,20.5,20-23,Juniors,70.8,72,195,115,187.5,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Carley Miller,F,SBD,Single-ply,19.5,20-23,Juniors,70.4,72,195,105,190,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Majken Hansen,F,SBD,Single-ply,19.5,20-23,Juniors,71,72,197.5,95,170,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kazusa Madoba,F,SBD,Single-ply,20,20-23,Juniors,64.8,72,185,105,160,7,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Birgitte Kielsen,F,SBD,Single-ply,19.5,20-23,Juniors,82,84,240,160,192.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Angelina Elovikova,F,SBD,Single-ply,22.5,20-23,Juniors,74.4,84,225,132.5,195,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sarah Davis,F,SBD,Single-ply,20.5,20-23,Juniors,82.5,84,202.5,142.5,202.5,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Claire McKenzie,F,SBD,Single-ply,21.5,20-23,Juniors,81.3,84,217.5,120,192.5,4,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Darya Shashkova,F,SBD,Single-ply,18.5,18-19,Juniors,78.4,84,192.5,127.5,160,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Anastasia Pavlova,F,SBD,Single-ply,19.5,20-23,Juniors,88.7,84+,217.5,145,200,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Xeniya Okatenko,F,SBD,Single-ply,21.5,20-23,Juniors,103,84+,227.5,155,180,2,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Monika Lovas,F,SBD,Single-ply,21.5,20-23,Juniors,112.5,84+,207.5,150,170,3,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Joan Fruth,F,SBD,Single-ply,NA,NA,Open,44,44,107.5,50,117.5,1,1980-05-21,IPF,Women's World Powerlifting Championships
Yuko Ono,F,SBD,Single-ply,NA,NA,Open,44,44,80,42.5,85,2,1980-05-21,IPF,Women's World Powerlifting Championships
Haruko Saikachi,F,SBD,Single-ply,NA,NA,Open,44,44,70,27.5,90,3,1980-05-21,IPF,Women's World Powerlifting Championships
Carol Santadrea,F,SBD,Single-ply,NA,NA,Open,44,44,85,50,130,G,1980-05-21,IPF,Women's World Powerlifting Championships
Sue Roberts,F,SBD,Single-ply,NA,NA,Open,48,48,125,60,145,1,1980-05-21,IPF,Women's World Powerlifting Championships
Collette Marentette,F,SBD,Single-ply,NA,NA,Open,48,48,90,35,97.5,2,1980-05-21,IPF,Women's World Powerlifting Championships
Pauline Marentette,F,SBD,Single-ply,NA,NA,Open,48,48,77.5,30,90,3,1980-05-21,IPF,Women's World Powerlifting Championships
Pam Meister,F,SBD,Single-ply,NA,NA,Open,48,48,112.5,55,NA,DQ,1980-05-21,IPF,Women's World Powerlifting Championships
Kathy Tuite,F,SBD,Single-ply,25.5,24-34,Open,48,48,110,52.5,122.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
D. Cassidy,F,SBD,Single-ply,NA,NA,Open,48,48,80,35,87.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Terry Dillard,F,SBD,Single-ply,NA,NA,Open,52,52,142.5,52.5,152.5,1,1980-05-21,IPF,Women's World Powerlifting Championships
Josie Gingras,F,SBD,Single-ply,NA,NA,Open,52,52,115,40,137.5,2,1980-05-21,IPF,Women's World Powerlifting Championships
Linda Vickers,F,SBD,Single-ply,NA,NA,Open,52,52,115,52.5,120,3,1980-05-21,IPF,Women's World Powerlifting Championships
D. Robertson,F,SBD,Single-ply,NA,NA,Open,52,52,87.5,37.5,120,4,1980-05-21,IPF,Women's World Powerlifting Championships
Rimi Uehara,F,SBD,Single-ply,NA,NA,Open,52,52,97.5,45,97.5,5,1980-05-21,IPF,Women's World Powerlifting Championships
Theresa Ann Mobley,F,SBD,Single-ply,NA,NA,Open,52,52,110,55,122.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Carol Scott-Todd,F,SBD,Single-ply,NA,NA,Open,52,52,72.5,37.5,110,G,1980-05-21,IPF,Women's World Powerlifting Championships
C. Bayford,F,SBD,Single-ply,NA,NA,Open,52,52,60,30,85,G,1980-05-21,IPF,Women's World Powerlifting Championships
Susan Elwyn,F,SBD,Single-ply,32,24-34,Open,56,56,110,72.5,147.5,1,1980-05-21,IPF,Women's World Powerlifting Championships
Beverley Gasson,F,SBD,Single-ply,NA,NA,Open,56,56,112.5,60,130,2,1980-05-21,IPF,Women's World Powerlifting Championships
Rhonda Peterson,F,SBD,Single-ply,NA,NA,Open,56,56,110,60,122.5,3,1980-05-21,IPF,Women's World Powerlifting Championships
M Aparecida,F,SBD,Single-ply,NA,NA,Open,56,56,95,60,130,4,1980-05-21,IPF,Women's World Powerlifting Championships
Melissa Orth,F,SBD,Single-ply,17.5,18-19,Open,56,56,120,72.5,145,G,1980-05-21,IPF,Women's World Powerlifting Championships
Julie Austin,F,SBD,Single-ply,NA,NA,Open,56,56,120,62.5,145,G,1980-05-21,IPF,Women's World Powerlifting Championships
Karen Gajda,F,SBD,Single-ply,NA,NA,Open,60,60,162.5,72.5,170,1,1980-05-21,IPF,Women's World Powerlifting Championships
Pauline Dorian,F,SBD,Single-ply,NA,NA,Open,60,60,140,60,160,2,1980-05-21,IPF,Women's World Powerlifting Championships
Heidi Wittesch,F,SBD,Single-ply,22.5,20-23,Open,60,60,117.5,67.5,150,3,1980-05-21,IPF,Women's World Powerlifting Championships
Elin Høiland,F,SBD,Single-ply,NA,NA,Open,60,60,120,52.5,140,4,1980-05-21,IPF,Women's World Powerlifting Championships
Wenche Andersen,F,SBD,Single-ply,NA,NA,Open,60,60,115,47.5,130,5,1980-05-21,IPF,Women's World Powerlifting Championships
S. Asawuma,F,SBD,Single-ply,NA,NA,Open,60,60,120,45,120,6,1980-05-21,IPF,Women's World Powerlifting Championships
M. Simoni,F,SBD,Single-ply,NA,NA,Open,60,60,87.5,42.5,117.5,7,1980-05-21,IPF,Women's World Powerlifting Championships
Anna-Maija Yliluoma,F,SBD,Single-ply,NA,NA,Open,60,60,NA,NA,NA,DQ,1980-05-21,IPF,Women's World Powerlifting Championships
M. Lewis,F,SBD,Single-ply,NA,NA,Open,60,60,85,62.5,112.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Tina Van Duyn Bonaire,F,SBD,Single-ply,NA,NA,Open,60,60,112.5,80,152.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Jennifer Reid,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,142.5,92.5,170,1,1980-05-21,IPF,Women's World Powerlifting Championships
Kris Skaeffington,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,140,65,170,2,1980-05-21,IPF,Women's World Powerlifting Championships
Lillan Jakobsen,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,110,40,130,3,1980-05-21,IPF,Women's World Powerlifting Championships
Ann Connolly,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,100,50,127.5,4,1980-05-21,IPF,Women's World Powerlifting Championships
A. Maria,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,70,40,100,5,1980-05-21,IPF,Women's World Powerlifting Championships
Rebecca Joubert,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,135,75,167.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Bev Francis,F,SBD,Single-ply,25,24-34,Open,75,75,175,115,170,1,1980-05-21,IPF,Women's World Powerlifting Championships
Stephanie Moody,F,SBD,Single-ply,NA,NA,Open,75,75,152.5,100,180,2,1980-05-21,IPF,Women's World Powerlifting Championships
Ruth Welding,F,SBD,Single-ply,23.5,24-34,Open,75,75,115,65,152.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
A. Bojanic,F,SBD,Single-ply,NA,NA,Open,75,75,140,50,142.5,G,1980-05-21,IPF,Women's World Powerlifting Championships
Vicky Gagne,F,SBD,Single-ply,18.5,18-19,Open,82.5,82.5,170,85,195,1,1980-05-21,IPF,Women's World Powerlifting Championships
Ginette Gardner,F,SBD,Single-ply,NA,NA,Open,82.5,82.5,115,57.5,155,2,1980-05-21,IPF,Women's World Powerlifting Championships
Ann Turbyne,F,SBD,Single-ply,NA,NA,Open,NA,82.5+,195,120,187.5,1,1980-05-21,IPF,Women's World Powerlifting Championships
Jo-Ann Marshall,F,SBD,Single-ply,NA,NA,Open,NA,82.5+,170,80,175,2,1980-05-21,IPF,Women's World Powerlifting Championships
Jan Todd,F,SBD,Single-ply,27.5,24-34,Open,NA,82.5+,230,90,205,G,1980-05-21,IPF,Women's World Powerlifting Championships
Sergey Fedosienko,M,SBD,Single-ply,29.5,24-34,Open,57.03,59,295,185,257.5,1,2012-11-10,IPF,World Powerlifting Championships
Carlos García,M,SBD,Single-ply,31.5,24-34,Open,58.41,59,250,172.5,245,2,2012-11-10,IPF,World Powerlifting Championships
Dariusz Wszoła,M,SBD,Single-ply,33.5,24-34,Open,58.77,59,257.5,170,227.5,3,2012-11-10,IPF,World Powerlifting Championships
Franklin León,M,SBD,Single-ply,28.5,24-34,Open,58.8,59,260,167.5,227.5,4,2012-11-10,IPF,World Powerlifting Championships
Paweł Ośmiałowski,M,SBD,Single-ply,34.5,24-34,Open,58.73,59,255,155,225,5,2012-11-10,IPF,World Powerlifting Championships
Etienne Lited,M,SBD,Single-ply,32.5,24-34,Open,58.8,59,240,145,247.5,6,2012-11-10,IPF,World Powerlifting Championships
Patrick Constantine,M,SBD,Single-ply,42.5,40-44,Open,58.51,59,240,140,232.5,7,2012-11-10,IPF,World Powerlifting Championships
Iván Cancel,M,SBD,Single-ply,29.5,24-34,Open,58.92,59,232.5,155,212.5,8,2012-11-10,IPF,World Powerlifting Championships
Takahiro Iimura,M,SBD,Single-ply,21.5,20-23,Open,58.92,59,230,130,230,9,2012-11-10,IPF,World Powerlifting Championships
Frédéric Tinebra,M,SBD,Single-ply,33.5,24-34,Open,58.67,59,NA,150,225,DQ,2012-11-10,IPF,World Powerlifting Championships
Sergey Gladkikh,M,SBD,Single-ply,22.5,20-23,Open,65.94,66,315,205,290,1,2012-11-10,IPF,World Powerlifting Championships
Hassan El Belghiti,M,SBD,Single-ply,37,35-39,Open,65.88,66,290,155,313,2,2012-11-10,IPF,World Powerlifting Championships
Konstantin Danilov,M,SBD,Single-ply,25.5,24-34,Open,64.55,66,300,182.5,272.5,3,2012-11-10,IPF,World Powerlifting Championships
Lenin La Rosa,M,SBD,Single-ply,26.5,24-34,Open,65.94,66,272.5,182.5,277.5,4,2012-11-10,IPF,World Powerlifting Championships
Tsung-Ting Hsieh,M,SBD,Single-ply,29.5,24-34,Open,64.88,66,240,210,255,5,2012-11-10,IPF,World Powerlifting Championships
Yoshihiro Sato,M,SBD,Single-ply,29.5,24-34,Open,65.65,66,255,202.5,235,6,2012-11-10,IPF,World Powerlifting Championships
Jean-Sébastien Rhéaume,M,SBD,Single-ply,37.5,35-39,Open,65.78,66,255,175,235,7,2012-11-10,IPF,World Powerlifting Championships
Ming-Hui Lin,M,SBD,Single-ply,29,24-34,Open,64.88,66,245,195,220,8,2012-11-10,IPF,World Powerlifting Championships
Jonathon Bareng,M,SBD,Single-ply,29,24-34,Open,65.6,66,245,165,242.5,9,2012-11-10,IPF,World Powerlifting Championships
Lewis Noppers,M,SBD,Single-ply,41.5,40-44,Open,65.96,66,230,147.5,275,10,2012-11-10,IPF,World Powerlifting Championships
Karel Ruso,M,SBD,Single-ply,46.5,45-49,Open,65.69,66,265,102.5,240,11,2012-11-10,IPF,World Powerlifting Championships
Cruz Rodríguez,M,SBD,Single-ply,52.5,50-54,Open,65.01,66,200,142.5,200,12,2012-11-10,IPF,World Powerlifting Championships
Robi Sujanto,M,SBD,Single-ply,26.5,24-34,Open,64.86,66,265,NA,NA,DQ,2012-11-10,IPF,World Powerlifting Championships
Jarosław Olech,M,SBD,Single-ply,37.5,35-39,Open,72.99,74,355,210,310,1,2012-11-10,IPF,World Powerlifting Championships
Maliek Derstine,M,SBD,Single-ply,24,24-34,Open,73.72,74,310,222.5,295,2,2012-11-10,IPF,World Powerlifting Championships
Lung-Hsin Huang,M,SBD,Single-ply,30.5,24-34,Open,73.91,74,285,210,305,3,2012-11-10,IPF,World Powerlifting Championships
Eriek Nickson,M,SBD,Single-ply,37,35-39,Open,73.85,74,285,182.5,307.5,4,2012-11-10,IPF,World Powerlifting Championships
Kim-Raino Rølvåg,M,SBD,Single-ply,25.5,24-34,Open,74,74,280,230,265,5,2012-11-10,IPF,World Powerlifting Championships
Kader Baali,M,SBD,Single-ply,44,40-44,Open,73.64,74,282.5,190,272.5,6,2012-11-10,IPF,World Powerlifting Championships
Yi-Hsin Kuan,M,SBD,Single-ply,30,24-34,Open,72.39,74,265,165,305,7,2012-11-10,IPF,World Powerlifting Championships
Antoni Mastrolorenzo,M,SBD,Single-ply,29.5,24-34,Open,72.76,74,290,192.5,240,8,2012-11-10,IPF,World Powerlifting Championships
Merdan Nursahedov,M,SBD,Single-ply,35.5,35-39,Open,73.35,74,200,222.5,240,9,2012-11-10,IPF,World Powerlifting Championships
Oliver Weissenbacher,M,SBD,Single-ply,25.5,24-34,Open,69.49,74,245,165,215,10,2012-11-10,IPF,World Powerlifting Championships
David Salgado,M,SBD,Single-ply,37.5,35-39,Open,73.69,74,235,155,235,11,2012-11-10,IPF,World Powerlifting Championships
Mauricio Mejia Boza Alvaro,M,SBD,Single-ply,30.5,24-34,Open,71.74,74,222.5,150,230,12,2012-11-10,IPF,World Powerlifting Championships
Isaac Laboy,M,SBD,Single-ply,22.5,20-23,Open,73.68,74,190,122.5,232.5,13,2012-11-10,IPF,World Powerlifting Championships
Norihiro Otani,M,SBD,Single-ply,32,24-34,Open,73.75,74,NA,200,260,DQ,2012-11-10,IPF,World Powerlifting Championships
Eric Oishi,M,SBD,Single-ply,32.5,24-34,Open,72.95,74,312.5,207.5,260,DD,2012-11-10,IPF,World Powerlifting Championships
Rostislav Petkov,M,SBD,Single-ply,23,20-23,Open,73.54,74,322.5,230,302.5,DD,2012-11-10,IPF,World Powerlifting Championships
Evgeniy Vasyukov,M,SBD,Single-ply,26.5,24-34,Open,82.68,83,360,245,320,1,2012-11-10,IPF,World Powerlifting Championships
Andriy Naniev,M,SBD,Single-ply,27.5,24-34,Open,82.32,83,360,247.5,307.5,2,2012-11-10,IPF,World Powerlifting Championships
Volodymyr Rysiev,M,SBD,Single-ply,29.5,24-34,Open,82.33,83,357.5,235,317.5,3,2012-11-10,IPF,World Powerlifting Championships
José Castillo,M,SBD,Single-ply,25.5,24-34,Open,83,83,350,230,322.5,4,2012-11-10,IPF,World Powerlifting Championships
Kjell Egil Bakkelund,M,SBD,Single-ply,23.5,24-34,Open,82,83,342.5,245,312.5,5,2012-11-10,IPF,World Powerlifting Championships
Alexey Sorokin,M,SBD,Single-ply,26.5,24-34,Open,82.83,83,365,225,310,6,2012-11-10,IPF,World Powerlifting Championships
Robert Palmer #2,M,SBD,Single-ply,29.5,24-34,Open,82.87,83,332.5,230,295,7,2012-11-10,IPF,World Powerlifting Championships
Randolph Morgan,M,SBD,Single-ply,33.5,24-34,Open,82.07,83,300,220,330,8,2012-11-10,IPF,World Powerlifting Championships
Todor Vasilev,M,SBD,Single-ply,33.5,24-34,Open,82.53,83,325,200,325,9,2012-11-10,IPF,World Powerlifting Championships
Knute Douglas,M,SBD,Single-ply,23,20-23,Open,82.91,83,340,190,320,10,2012-11-10,IPF,World Powerlifting Championships
Masahiro Mori,M,SBD,Single-ply,39.5,35-39,Open,82.53,83,305,237.5,270,11,2012-11-10,IPF,World Powerlifting Championships
Romain Picot-Guéraud,M,SBD,Single-ply,24.5,24-34,Open,82.2,83,317.5,207.5,285,12,2012-11-10,IPF,World Powerlifting Championships
Eduard Tepper,M,SBD,Single-ply,32.5,24-34,Open,82.13,83,280,225,300,13,2012-11-10,IPF,World Powerlifting Championships
Marcelo Silva,M,SBD,Single-ply,27.5,24-34,Open,83,83,305,240,260,14,2012-11-10,IPF,World Powerlifting Championships
Luis Tapia,M,SBD,Single-ply,43.5,40-44,Open,82.22,83,340,197.5,265,15,2012-11-10,IPF,World Powerlifting Championships
Marcos Sanchéz,M,SBD,Single-ply,37.5,35-39,Open,82.54,83,305,200,225,16,2012-11-10,IPF,World Powerlifting Championships
Chris Seville,M,SBD,Single-ply,27.5,24-34,Open,82.65,83,280,160,255,17,2012-11-10,IPF,World Powerlifting Championships
