id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
597,262,165,"Voss, James S.","Voss, James S.",male,1949,U.S.,military,1987 NASA group,1987,5,5,MSP,2001,2,STS-102,ISS,STS-105,163,1000,2,9.58,23.08
598,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,1952,U.S.,military,NASA-12,1987,1,3,MSP,1991,STS-44,STS-44,STS-44,STS-44,166,549,0,0,4.47
599,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,1952,U.S.,military,NASA-12,1987,2,3,MSP,1993,STS-54,STS-54,STS-54,STS-54,143,549,1,4.47,4.47
600,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,1952,U.S.,military,NASA-12,1987,3,3,MSP,1996,STS-77,STS-77,STS-77,STS-77,240,549,0,0,4.47
601,264,167,"Hennen, Thomas John","Hennen, Thomas John",male,1952,U.S.,military,Terra Scout,1988,1,1,PSP,1991,STS-44,STS-44,STS-44,STS-44,167.11,167.11,0,0,0
602,265,168,"Oswald, Stephen S.","Oswald, Stephen S.",male,1951,U.S.,military,NASA-11,1985,1,3,pilot,1992,STS-42,STS-42,STS-42,STS-42,193,814,0,0,0
603,265,168,"Oswald, Stephen S.","Oswald, Stephen S.",male,1951,U.S.,military,NASA-11,1985,2,3,pilot,1993,STS-67,STS-67,STS-67,STS-67,222,814,0,0,0
604,265,168,"Oswald, Stephen S.","Oswald, Stephen S.",male,1951,U.S.,military,NASA-11,1985,3,3,commander,1995,STS-42,STS-42,STS-42,STS-42,399,814,0,0,0
605,266,169,"Readdy, William F.","Readdy, William F.",male,1952,U.S.,civilian,NASA-12,1987,1,3,MSP,1992,STS-42,STS-42,STS-42,STS-42,193,672,0,0,0
606,266,169,"Readdy, William F.","Readdy, William F.",male,1952,U.S.,civilian,NASA-12,1987,2,3,pilot,1993,STS-51,STS-51,STS-51,STS-51,236,672,0,0,0
607,266,169,"Readdy, William F.","Readdy, William F.",male,1952,U.S.,civilian,NASA-12,1987,3,3,commander,1996,STS-79,STS-79,STS-79,STS-79,243,672,0,0,0
608,267,2,"Bondar, Roberta Lynn","Bondar, Roberta Lynn",female,1945,Canada,civilian,1983 NRC Group,1983,1,1,PSP,1992,STS-42,STS-42,STS-42,STS-42,193.77,193.77,0,0,0
609,268,73,"Kaleri, Aleksandr",Александр Юрьевич Калери,male,1956,U.S.S.R/Russia,civilian,NPOE-6,1984,1,5,flight engineer,1992,11,Soyuz TM­14,Mir,Soyuz TM­14,3494,18462.62,1,2.05,23.58
610,268,73,"Kaleri, Aleksandr",Александр Юрьевич Калери,male,1956,U.S.S.R/Russia,civilian,NPOE-6,1984,2,5,flight engineer,1996,21,Soyuz TM­24,Mir,Soyuz TM­24,4721,18462.62,2,12.6,23.58
611,268,73,"Kaleri, Aleksandr",Александр Юрьевич Калери,male,1956,U.S.S.R/Russia,civilian,NPOE-6,1984,3,5,flight engineer,2000,28,Soyuz TM­30,Mir,Soyuz TM­30,1747,18462.62,1,5.05,23.58
612,268,73,"Kaleri, Aleksandr",Александр Юрьевич Калери,male,1956,U.S.S.R/Russia,civilian,NPOE-6,1984,4,5,flight engineer,2003,8,Soyuz TMA­3,ISS,Soyuz TMA­3,4674,18462.62,1,3.92,23.58
613,268,73,"Kaleri, Aleksandr",Александр Юрьевич Калери,male,1956,U.S.S.R/Russia,civilian,NPOE-6,1984,5,5,flight engineer,2010,25,Soyuz TMA­01M,ISS,Soyuz TMA­01M,3824,18462.62,0,0,23.58
614,269,4,"Flade, Klaus-Dietrich","Flade, Klaus-Dietrich",male,1952,Germany,military,DLR-3,1990,1,1,MSP,1992,Soyuz TM-14/13,Soyuz TM-14,Soyuz TM-14,Soyuz TM-13,189.95,189.95,0,0,0
615,270,170,"Duffy, Brian","Duffy, Brian",male,1953,U.S.,military,NASA- 11,1985,1,4,pilot,1992,STS-45,STS-45,STS-45,STS-45,214,976,0,0,0
616,270,170,"Duffy, Brian","Duffy, Brian",male,1953,U.S.,military,NASA- 11,1985,2,4,pilot,1993,STS-57,STS-57,STS-57,STS-57,240,976,0,0,0
617,270,170,"Duffy, Brian","Duffy, Brian",male,1953,U.S.,military,NASA- 11,1985,3,4,commander,1996,STS-72,STS-72,STS-72,STS-72,214,976,0,0,0
618,270,170,"Duffy, Brian","Duffy, Brian",male,1953,U.S.,military,NASA- 11,1985,4,4,commander,2000,STS-92,STS-92,STS-92,STS-92,310,976,0,0,0
619,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,1,6,MSP,1992,STS-45,STS-45,STS-45,STS-45,214,8976,0,0,22.73
620,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,2,6,MSP,1993,STS-56,STS-56,STS-56,STS-56,222,8976,0,0,22.73
621,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,3,6,MSP,1995,STS-63,STS-63,STS-63,STS-63,198.5,8976,1,4.65,22.73
622,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,4,6,MSP,1997,23,STS-84,Mir,STS-86,3470,8976,1,7,22.73
623,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,5,6,MSP,1999,STS-103,STS-103,STS-103,STS-103,191,8976,1,8.17,22.73
624,271,171,"Foale, C. Michael","Foale, C. Michael",male,1957,U.S.,civilian,NASA- 12,1987,6,6,commander,2003,8,Soyuz TMA-3,ISS,Soyuz TMA-3,4674.5,8976,1,3.92,22.73
625,272,1,"Frimout, David","Frimout, Dirk Dries david",male,1941,Belgium,civilian,ATLAS-1,1985,1,1,PSP,1992,STS-45,STS-45,STS-45,STS-45,214.15,214.15,0,0,0
626,273,172,"Chilton, Kevin P.","Chilton, Kevin P.",male,1954,U.S.,military,NASA- 12,1987,1,3,pilot,1992,STS-49,STS-49,STS-49,STS-49,213,704,0,0,0
627,273,172,"Chilton, Kevin P.","Chilton, Kevin P.",male,1954,U.S.,military,NASA- 12,1987,2,3,pilot,1994,STS-59,STS-59,STS-59,STS-59,270,704,0,0,0
628,273,172,"Chilton, Kevin P.","Chilton, Kevin P.",male,1954,U.S.,military,NASA- 12,1987,3,3,commander,1996,STS-76,STS-76,STS-76,STS-76,221,704,0,0,0
629,274,173,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",male,1956,U.S.,military,NASA- 12,1987,1,5,pilot,1992,STS-50,STS-50,STS-50,STS-50,331,5304,0,0,13.28
630,274,173,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",male,1956,U.S.,military,NASA- 12,1987,2,5,pilot,1993,STS-61,STS-61,STS-61,STS-61,260,5304,0,0,13.28
631,274,173,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",male,1956,U.S.,military,NASA- 12,1987,3,5,commander,1995,STS-73,STS-73,STS-73,STS-73,382,5304,0,0,13.28
632,274,173,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",male,1956,U.S.,military,NASA- 12,1987,4,5,commander,1997,STS-82,STS-82,STS-82,STS-82,239,5304,0,0,13.28
633,274,173,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",male,1956,U.S.,military,NASA- 12,1987,5,5,commander,2002,6,STS-113,ISS,Soyuz TMA-1,3865,5304,2,13.28,13.28
634,275,174,"DeLucas, Lawrence James","DeLucas, Lawrence James",male,1950,U.S.,civilian,United States Microgravity Labratory-1,1990,1,1,PSP,1992,STS-50,STS-50,STS-50,STS-50,331.53,331.53,0,0,0
635,276,175,"Trinh, Eugene Huu-Chau","Trinh, Eugene Huu-Chau",male,1950,U.S.,civilian,Spacelab-3,1983,1,1,PSP,1992,STS-50,STS-50,STS-50,STS-50,331.53,331.53,0,0,0
636,277,74,"Avdeyev, Sergei",Сергей Васильевич Авдеев,male,1956,U.S.S.R/Russia,civilian,NPOE-8,1987,1,3,flight engineer,1993,12,Soyuz TM­15,Mir,Soyuz TM­15,4533,17942.23,4,18.35,41
637,277,74,"Avdeyev, Sergei",Сергей Васильевич Авдеев,male,1956,U.S.S.R/Russia,civilian,NPOE-8,1987,2,3,flight engineer,1995,20,Soyuz TM­22,Mir,Soyuz TM­22,4297,17942.23,1,5.27,41
638,277,74,"Avdeyev, Sergei",Сергей Васильевич Авдеев,male,1956,U.S.S.R/Russia,civilian,NPOE-8,1987,3,3,flight engineer,1998,26,Soyuz TM28,Mir,Soyuz TM29,9110,17942.23,3,17.38,41
639,278,3,"Tognini, Michel","Tognini, Michel",male,1949,France,military,CNES-2/EAC,1985,1,2,MSP,1992,Antares,Soyuz TM-15,Soyuz TM-15,Soyuz TM-14,331,449.77,0,0,0
640,278,3,"Tognini, Michel","Tognini, Michel",male,1949,France,military,CNES-2/EAC,1985,2,2,MSP,1999,STS-93,STS-93,STS-93,STS-93,118.8,449.77,0,0,0
641,279,176,"Allen, Andrew M.","Allen, Andrew M.",male,1955,U.S.,military,NASA- 12,1987,1,3,pilot,1992,STS-46,STS-46,STS-46,STS-46,191,904,0,0,0
642,279,176,"Allen, Andrew M.","Allen, Andrew M.",male,1955,U.S.,military,NASA- 12,1987,2,3,pilot,1994,STS-62,STS-62,STS-62,STS-62,335,904,0,0,0
643,279,176,"Allen, Andrew M.","Allen, Andrew M.",male,1955,U.S.,military,NASA- 12,1987,3,3,commander,1996,STS-75,STS-75,STS-75,STS-75,378,904,0,0,0
644,280,1,"Nicollier, Claude","Nicollier, Claude",male,1944,Switzerland,civilian,1978 ESA Group,1978,1,4,PSP,1992,STS-46,STS-46,STS-46,STS-46,191.25,1184.07,0,0,8.16
645,280,1,"Nicollier, Claude","Nicollier, Claude",male,1944,Switzerland,civilian,1978 ESA Group,1978,2,4,PSP,1993,STS-61-A,STS-61-A,STS-61-A,STS-61-A,259.97,1184.07,0,0,8.16
646,280,1,"Nicollier, Claude","Nicollier, Claude",male,1944,Switzerland,civilian,1978 ESA Group,1978,3,4,MSP,1996,STS-75,STS-75,STS-75,STS-75,541.67,1184.07,0,0,8.16
647,280,1,"Nicollier, Claude","Nicollier, Claude",male,1944,Switzerland,civilian,1978 ESA Group,1978,4,4,MSP,1999,STS-103,STS-103,STS-103,STS-103,191.18,1184.07,1,8.16,8.16
648,281,1,Franco Malerba,Franco Malerba,male,1946,Italy,civilian,1989 ESA Group,1998,1,1,PSP,1992,sts-46,STS-46,STS-46,STS-46,191.25,191.25,0,0,0
649,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,1,6,pilot,1992,STS-47,STS-47,STS-47,STS-47,190.5,1381,0,0,0
650,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,2,6,pilot,1994,STS-66,STS-66,STS-66,STS-66,262.5,1381,0,0,0
651,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,3,6,pilot,1996,STS-77,STS-77,STS-77,STS-77,240.5,1381,0,0,0
652,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,4,6,commander,1997,STS-85,STS-85,STS-85,STS-85,284.5,1381,0,0,0
653,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,5,6,commander,1998,STS-95,STS-95,STS-95,STS-95,213.5,1381,0,0,0
654,282,177,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",male,1956,U.S.,military,NASA- 12,1987,6,6,commander,1999,STS-103,STS-103,STS-103,STS-103,191,1381,0,0,0
655,283,178,"Davis, Nancy Jan","Davis, Nancy Jan",female,1953,U.S.,civilian,NASA- 12,1987,1,3,MSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,673,0,0,0
656,283,178,"Davis, Nancy Jan","Davis, Nancy Jan",female,1953,U.S.,civilian,NASA- 12,1987,2,3,MSP,1994,STS-60,STS-60,STS-60,STS-60,199,673,0,0,0
657,283,178,"Davis, Nancy Jan","Davis, Nancy Jan",female,1953,U.S.,civilian,NASA- 12,1987,3,3,MSP,1997,STS-85,STS-85,STS-85,STS-85,284,673,0,0,0
658,284,179,"Jemison, Mae C.","Jemison, Mae C.",female,1956,U.S.,civilian,NASA- 12,1987,1,1,MSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,190.5,0,0,0
659,285,2,"Mohri, Mamoru",毛利衛,male,1948,Japan,civilian,NASDA-1,1985,1,2,PSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,190.5,0,0,0
660,285,2,"Mohri, Mamoru",毛利衛,male,1948,Japan,civilian,NASDA-1,1985,2,2,MSP,2000,STS-99,STS-99,STS-99,STS-99,269.7,190.5,0,0,0
661,286,3,Steven MacLean,Steven MacLean,male,1954,Canada,military,1983 NRC Group,1983,1,2,PSP,1992,STS-52,STS-52,STS-52,STS-52,236.93,520.03,0,0,7.18
662,286,3,Steven MacLean,Steven MacLean,male,1954,Canada,military,1983 NRC Group,1983,2,2,MSP,2006,STS-115,STS-115,STS-115,STS-115,283.1,520.03,1,7.18,7.18
663,287,180,"Clifford, Michael R.","Clifford, Michael R.",male,1952,U.S.,military,NASA- 13,1990,1,3,MSP,1992,STS-53,STS-53,STS-53,STS-53,175,666,0,0,6.03
664,287,180,"Clifford, Michael R.","Clifford, Michael R.",male,1952,U.S.,military,NASA- 13,1990,2,3,MSP,1994,STS-59,STS-59,STS-59,STS-59,270,666,0,0,6.03
665,287,180,"Clifford, Michael R.","Clifford, Michael R.",male,1952,U.S.,military,NASA- 13,1990,3,3,MSP,1996,STS-76,STS-76,STS-76,STS-76,221,666,1,6.03,6.03
666,288,181,"Helms, Susan J.","Helms, Susan J.",female,1958,U.S.,military,NASA- 13,1990,1,5,MSP,1993,STS-54,STS-54,STS-54,STS-54,143,5054,0,0,8.93
667,288,181,"Helms, Susan J.","Helms, Susan J.",female,1958,U.S.,military,NASA- 13,1990,2,5,MSP,1994,STS-64,STS-64,STS-64,STS-64,262,5054,0,0,8.93
668,288,181,"Helms, Susan J.","Helms, Susan J.",female,1958,U.S.,military,NASA- 13,1990,3,5,MSP,1996,STS-78,STS-78,STS-78,STS-78,405,5054,0,0,8.93
669,288,181,"Helms, Susan J.","Helms, Susan J.",female,1958,U.S.,military,NASA- 13,1990,4,5,MSP,2000,STS-101,STS-101,STS-101,STS-101,237,5054,0,0,8.93
670,288,181,"Helms, Susan J.","Helms, Susan J.",female,1958,U.S.,military,NASA- 13,1990,5,5,flight engineer,2001,2,STS-102,ISS,STS-105,4007,5054,1,8.93,8.93
671,289,75,"Poleshchuk, Aleksandr",Александр Федорович Полещук,male,1953,U.S.S.R/Russia,military,NPOE-9,1989,1,1,flight engineer,1993,13,Soyuz TM­16,Mir,Soyuz TM­16,4296,4296.72,2,9.97,9.97
672,290,182,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",male,1950,U.S.,civilian,NASA- 13,1990,1,5,MSP,1993,STS-56,STS-56,STS-56,STS-56,222,1560,0,0,0
673,290,182,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",male,1950,U.S.,civilian,NASA- 13,1990,2,5,pilot,1995,STS-69,STS-69,STS-69,STS-69,260.5,1560,0,0,0
674,290,182,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",male,1950,U.S.,civilian,NASA- 13,1990,3,5,commander,1996,STS-80,STS-80,STS-80,STS-80,424,1560,0,0,0
675,290,182,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",male,1950,U.S.,civilian,NASA- 13,1990,4,5,commander,2001,STS-98,STS-98,STS-98,STS-98,309,1560,0,0,0
676,290,182,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",male,1950,U.S.,civilian,NASA- 13,1990,5,5,commander,2002,STS-111,STS-111,STS-111,STS-111,333,1560,0,0,0
677,291,183,"Ochoa, Ellen","Ochoa, Ellen",female,1958,U.S.,civilian,NASA-13,1990,1,4,MSP,1993,STS-56,STS-56,STS-56,STS-56,222,978,0,0,0
678,291,183,"Ochoa, Ellen","Ochoa, Ellen",female,1958,U.S.,civilian,NASA-13,1990,2,4,MSP,1994,STS-66,STS-66,STS-66,STS-66,263,978,0,0,0
679,291,183,"Ochoa, Ellen","Ochoa, Ellen",female,1958,U.S.,civilian,NASA-13,1990,3,4,MSP,1999,STS-96,STS-96,STS-96,STS-96,235,978,0,0,0
680,291,183,"Ochoa, Ellen","Ochoa, Ellen",female,1958,U.S.,civilian,NASA-13,1990,4,4,MSP,2002,STS-110,STS-110,STS-110,STS-110,260,978,0,0,0
681,292,184,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.",male,1955,U.S.,military,NASA-13,1990,1,4,MSP,1993,STS-55,STS-55,STS-55,STS-55,240,932,0,0,0
682,292,184,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.",male,1955,U.S.,military,NASA-13,1990,2,4,pilot,1995,STS-71,STS-71,STS-71,STS-71,235,932,0,0,0
683,292,184,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.",male,1955,U.S.,military,NASA-13,1990,3,4,commander,1997,STS-84,STS-84,STS-84,STS-84,221,932,0,0,0
684,292,184,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.",male,1955,U.S.,military,NASA-13,1990,4,4,commander,1998,STS-91,STS-91,STS-91,STS-91,235,932,0,0,0
685,293,185,"Harris, Bernard A., Jr.","Harris, Bernard A., Jr.",male,1956,U.S.,civilian,NASA Astronaut Group 13,1990,1,2,MSP,1993,STS-55,STS-55,STS-55,STS-55,239,437,1,4.65,4.65
686,293,185,"Harris, Bernard A., Jr.","Harris, Bernard A., Jr.",male,1956,U.S.,civilian,NASA Astronaut Group 14,1990,2,2,MSP,1995,STS-63,STS-63,STS-63,STS-63,198,437,0,0,4.65
687,294,5,"Walter, Ulrich","Walter, Ulrich",male,1954,Germany,civilian,DLR-2/EAC,1987,1,1,PSP,1993,STS-55,STS-55,STS-55,STS-55,239.67,239.67,0,0,0
688,295,6,"Schlegel, Hans","Schlegel, Hans",male,1951,Germany,civilian,DLR-2/EAC,1987,1,2,PSP,1993,STS-55,STS-55,STS-55,STS-55,240,546,0,0,6.75
689,295,6,"Schlegel, Hans","Schlegel, Hans",male,1951,Germany,civilian,DLR-2/EAC,1987,2,2,MSP,2008,STS-122,STS-122,STS-122,STS-122,306,546,1,6.75,6.75
690,296,186,"Currie, Nancy J.","Currie, Nancy J.",female,1958,U.S.,military,NASA- 13,1990,1,4,MSP,1993,STS-57,STS-57,STS-57,STS-57,240,999,0,0,0
691,296,186,"Currie, Nancy J.","Currie, Nancy J.",female,1958,U.S.,military,NASA- 13,1990,2,4,MSP,1995,STS-70,STS-70,STS-70,STS-70,214,999,0,0,0
692,296,186,"Currie, Nancy J.","Currie, Nancy J.",female,1958,U.S.,military,NASA- 13,1990,3,4,MSP,1998,STS-88,STS-88,STS-88,STS-88,283,999,0,0,0
693,296,186,"Currie, Nancy J.","Currie, Nancy J.",female,1958,U.S.,military,NASA- 13,1990,4,4,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,999,0,0,0
694,297,187,"Wisoff, Peter J. K.","Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990 NASA group,1990,1,4,MSP,1993,STS-57,STS-57,STS-57,STS-57,239,1064.15,1,5.83,19.88
695,297,187,"Wisoff, Peter J. K.","Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990 NASA group,1990,2,4,MSP,1994,STS-68,STS-68,STS-68,STS-68,269,1064.15,0,0,19.88
696,297,187,"Wisoff, Peter J. K.","Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990 NASA group,1990,3,4,MSP,1997,STS-81,STS-81,STS-81,STS-81,240,1064.15,0,0,19.88
697,297,187,"Wisoff, Peter J. K.","Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990 NASA group,1990,4,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309,1064.15,2,14.05,19.88
698,298,188,"Voss, Janice E.","Voss, Janice E.",female,1956,U.S.,civilian,1990 NASA group,1990,1,5,MSP,1993,STS-57,STS-57,STS-57,STS-57,239.73,1199.81,0,0,0
699,298,188,"Voss, Janice E.","Voss, Janice E.",female,1956,U.S.,civilian,1990 NASA group,1990,2,5,MSP,1995,STS-63,STS-63,STS-63,STS-63,198.47,1199.81,0,0,0
700,298,188,"Voss, Janice E.","Voss, Janice E.",female,1956,U.S.,civilian,1990 NASA group,1990,3,5,MSP,1997,STS-83,STS-83,STS-83,STS-83,95.21,1199.81,0,0,0
701,298,188,"Voss, Janice E.","Voss, Janice E.",female,1956,U.S.,civilian,1990 NASA group,1990,4,5,MSP,1997,STS-94,STS-94,STS-94,STS-94,396.8,1199.81,0,0,0
702,298,188,"Voss, Janice E.","Voss, Janice E.",female,1956,U.S.,civilian,1990 NASA group,1990,5,5,MSP,2000,STS-99,STS-99,STS-99,STS-99,269.6,1199.81,0,0,0
703,299,76,"Tsibliyev, Vasili",Василий Васильевич Циблиев,male,1954,U.S.S.R/Russia,military,TsPK-8,1987,1,2,commander,1993,14,Soyuz TM­17,Mir,Soyuz TM­17,4721,9159.87,5,14.22,19.18
704,299,76,"Tsibliyev, Vasili",Василий Васильевич Циблиев,male,1954,U.S.S.R/Russia,military,TsPK-8,1987,2,2,commander,1997,23,Soyuz TM­25,Mir,Soyuz TM­25,4438,9159.87,1,5.22,19.18
705,300,4,"Haigneré, Jean-Pierre","Haigneré, Jean-Pierre",male,1948,France,military,CNES-2/EAC,1985,1,2,MSP,1993,Soyuz TM-17 / Soyuz TM-16,Soyuz TM-17,Soyuz TM-17,Soyuz TM-16,496,5028,1,6.32,6.32
706,300,4,"Haigneré, Jean-Pierre","Haigneré, Jean-Pierre",male,1948,France,military,CNES-2/EAC,1985,2,2,flight engineer,1999,27,Soyuz TM-29,Mir,Soyuz TM-29,4532,5028,0,0,6.32
707,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236,1032,1,7.08,43.03
708,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,2,4,MSP,1995,STS-69,STS-69,STS-69,STS-69,260,1032,0,0,43.03
709,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,3,4,MSP,1998,STS-88,STS-88,STS-88,STS-88,283,1032,3,21.38,43.03
710,301,189,"Newman, James H.","Newman, James H.",male,1956,U.S.,civilian,NASA-13,1990,4,4,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,1032,2,14.57,43.03
711,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236,5448,0,0,11.77
712,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,2,4,MSP,1994,STS-68,STS-68,STS-68,STS-68,169,5448,0,0,11.77
713,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,3,4,MSP,1996,STS-77,STS-77,STS-77,STS-77,241,5448,0,0,11.77
714,302,190,"Bursch, Daniel W.","Bursch, Daniel W.",male,1957,U.S.,military,NASA- 13,1990,4,4,flight engineer,2001,4,STS-108,ISS,STS-111,4802,5448,2,11.77,11.77
715,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,1,4,MSP,1993,STS-51,STS-51,STS-51,STS-51,236.18,5533.06,1,7.08,18.91
716,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,2,4,MSP,1994,STS-65,STS-65,STS-65,STS-65,360,5533.06,0,0,18.91
717,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,3,4,MSP,1996,STS-79,STS-79,STS-79,STS-79,243,5533.06,0,0,18.91
718,303,191,"Walz, Carl E.","Walz, Carl E.",male,1955,U.S.,military,1990 NASA group,1990,4,4,MSP,2001,4,STS-108,ISS,STS-111,4704,5533.06,2,11.83,18.91
719,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,1,3,pilot,1993,STS-58,STS-58,STS-58,STS-58,338,938,0,0,0
720,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,2,3,pilot,1996,STS-76,STS-76,STS-76,STS-76,216,938,0,0,0
721,304,192,"Searfoss, Richard A.","Searfoss, Richard A.",male,1956,U.S.,military,1990 NASA group 13,1990,3,3,commander,1998,STS-90,STS-90,STS-90,STS-90,384,938,0,0,0
722,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,1,4,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,5396,0,0,24.35
723,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,2,4,MSP,1995,STS-74,STS-74,STS-74,STS-74,196,5396,0,0,24.35
724,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,3,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309,5396,2,13.27,24.35
725,305,193,"McArthur, William S., Jr.","McArthur, William S., Jr.",male,1951,U.S.,military,NASA- 13,1990,4,4,flight engineer,2006,12,Soyuz TMA-7,ISS,Soyuz TMA-7,4555,5396,2,11.08,24.35
726,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,1,4,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,4040.95,0,0,41.95
727,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,2,4,MSP,1997,24,STS-86,Mir,STS-89,3072,4040.95,1,3.87,41.95
728,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,3,4,MSP,2002,STS-112,STS-112,STS-112,STS-112,259,4040.95,3,19.68,41.95
729,306,194,"Wolf, David A.","Wolf, David A.",male,1956,U.S.,civilian,1990 NASA group,1990,4,4,MSP,2009,STS-127,STS-127,STS-127,STS-127,376,4040.95,3,18.4,41.95
730,307,195,"Fettman, Martin Joseph","Fettman, Martin Joseph",male,1956,U.S.,civilian,PS for STS-58,1992,1,1,PSP,1993,STS-58,STS-58,STS-58,STS-58,336.47,336.47,0,0,0
731,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,1,4,flight engineer,1994,Mir EO-15,Soyuz TM-18,Mir,Soyuz TM-18,4368.45,13270.42,0,0,31.15
732,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,2,4,flight engineer,1996,Mir EO-21,Soyuz TM-23,Mir,Soyuz TM-23,4651.12,13270.42,6,30.5,31.15
733,308,77,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,male,1957,U.S.S.R/Russia,military,1989 NPOE Cosmonaut Group,1989,3,4,MSP,2000,STS 101,STS 101,Spacehub,STS 101,236.17,13270.42,0,0,31.15
