Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
8,1989-07-09,157,Labastide-d'Armagnac,Pau,Plain stage,Martin Earley,IRE
9,1989-07-10,147,Pau,Cauterets,Stage with mountain(s),Miguel Induráin,ESP
10,1989-07-11,136,Cauterets,Superbagnères,Stage with mountain(s),Robert Millar,GBR
11,1989-07-12,158.5,Luchon,Blagnac,Plain stage,Mathieu Hermans,NED
12,1989-07-13,242,Toulouse,Montpellier,Plain stage,Valerio Tebaldi,ITA
13,1989-07-14,179,Montpellier,Marseille,Plain stage,Vincent Barteau,FRA
14,1989-07-15,240,Marseille,Gap,Hilly stage,Jelle Nijdam,NED
15,1989-07-16,39,Gap,Orcières-Merlette,Mountain time trial,Steven Rooks,NED
16,1989-07-18,175,Gap,Briançon,Stage with mountain(s),Pascal Richard,SUI
17,1989-07-19,165,Briançon,Alpe d'Huez,Stage with mountain(s),Gert-Jan Theunisse,NED
18,1989-07-20,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Stage with mountain(s),Laurent Fignon,FRA
19,1989-07-21,125,Villard-de-Lans,Aix-les-Bains,Stage with mountain(s),Greg LeMond,USA
20,1989-07-22,130,Aix-les-Bains,L'Isle-d'Abeau,Plain stage,Giovanni Fidanza,ITA
21,1989-07-23,24.5,Versailles,Paris,Individual time trial,Greg LeMond,USA
P,1988-07-03,1,Pornichet,La Baule,Individual time trial,Guido Bontempi,ITA
1,1988-07-04,92,Pontchâteau,Machecoul,Plain stage,Steve Bauer,CAN
2,1988-07-04,48,La Haie-Fouassière,Ancenis,Team time trial,Panasonic–Isostar–Colnago–Agu,
3,1988-07-05,213,Nantes,Le Mans,Plain stage,Jean-Paul van Poppel,NED
4,1988-07-06,158,Le Mans,Évreux,Plain stage,Acácio da Silva,POR
5,1988-07-07,148,Neufchâtel-en-Bray,Liévin,Plain stage,Jelle Nijdam,NED
6,1988-07-08,52,Liévin,Wasquehal,Individual time trial,Sean Yates,GBR
7,1988-07-09,225,Wasquehal,Reims,Plain stage,Valerio Tebaldi,ITA
8,1988-07-10,219,Reims,Nancy,Plain stage,Rolf Gölz,GER
9,1988-07-11,161,Nancy,Strasbourg,Hilly stage,Jérôme Simon,FRA
10,1988-07-12,149,Belfort,Besançon,Hilly stage,Jean-Paul van Poppel,NED
11,1988-07-13,232,Besançon,Morzine,Stage with mountain(s),Fabio Parra,COL
12,1988-07-14,227,Morzine,Alpe d'Huez,Stage with mountain(s),Steven Rooks,NED
13,1988-07-15,38,Grenoble,Villard-de-Lans,Mountain time trial,Pedro Delgado,ESP
14,1988-07-17,163,Blagnac,Guzet-Neige,Stage with mountain(s),Massimo Ghirotto,ITA
15,1988-07-18,187,Saint-Girons,Luz Ardiden,Stage with mountain(s),Laudelino Cubino,ESP
16,1988-07-19,35,Luz Ardiden,Pau,Plain stage,Adrie van der Poel,NED
17,1988-07-19,198,Pau,Bordeaux,Plain stage,Jean-Paul van Poppel,NED
18,1988-07-20,94,Ruelle-sur-Touvre,Limoges,Plain stage,Gianni Bugno,ITA
19,1988-07-21,188,Limoges,Puy de Dôme,Hilly stage,Johnny Weltz,DEN
20,1988-07-22,223,Clermont-Ferrand,Chalon-sur-Saône,Plain stage,Thierry Marie,FRA
21,1988-07-23,46,Santenay,Santenay,Individual time trial,Juan Martinéz,ESP
22,1988-07-24,173,Nemours,Paris,Plain stage,Jean-Paul van Poppel,NED
P,1987-07-01,6,West Berlin,West Berlin,Individual time trial,Jelle Nijdam,NED
1,1987-07-02,105,West Berlin,West Berlin,Plain stage,Nico Verhoeven,NED
2,1987-07-02,41,West Berlin,West Berlin,Team time trial,Carrera Jeans–Vagabond,
3,1987-07-04,219,Karlsruhe,Stuttgart,Plain stage,Acácio da Silva,POR
4,1987-07-05,79,Stuttgart,Pforzheim,Plain stage,Herman Frison,BEL
5,1987-07-05,112,Pforzheim,Strasbourg,Plain stage,Marc Sergeant,BEL
6,1987-07-06,169,Strasbourg,Épinal,Plain stage,Christophe Lavainne,FRA
7,1987-07-07,211,Épinal,Troyes,Plain stage,Manuel Jorge Domínguez[8],ESP
8,1987-07-08,206,Troyes,Épinay-sous-Sénart,Plain stage,Jean-Paul van Poppel,NED
9,1987-07-09,260,Orléans,Renazé,Plain stage,Adrie van der Poel,NED
10,1987-07-10,87,Saumur,Futuroscope,Individual time trial,Stephen Roche,IRE
11,1987-07-11,206,Poitiers,Chaumeil,Hilly stage,Martial Gayant,FRA
12,1987-07-12,228,Brive,Bordeaux,Plain stage,Davis Phinney,USA
13,1987-07-13,219,Bayonne,Pau,Stage with mountain(s),Erik Breukink,NED
14,1987-07-14,166,Pau,Luz Ardiden,Stage with mountain(s),Dag Otto Lauritzen,NOR
15,1987-07-15,164,Tarbes,Blagnac,Plain stage,Rolf Gölz,GER
16,1987-07-16,216,Blagnac,Millau,Hilly stage,Régis Clère,FRA
17,1987-07-17,239,Millau,Avignon,Hilly stage,Jean-Paul van Poppel,NED
18,1987-07-19,37,Carpentras,Mont Ventoux,Mountain time trial,Jean-François Bernard,FRA
19,1987-07-20,185,Valréas,Villard-de-Lans,Stage with mountain(s),Pedro Delgado,ESP
20,1987-07-21,201,Villard-de-Lans,Alpe d'Huez,Stage with mountain(s),Federico Echave,ESP
21,1987-07-22,185,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
22,1987-07-23,186,La Plagne,Morzine,Stage with mountain(s),Eduardo Chozas,ESP
23,1987-07-24,225,Saint-Julien-en-Genevois,Dijon,Plain stage,Régis Clère,FRA
24,1987-07-25,38,Dijon,Dijon,Individual time trial,Jean-François Bernard,FRA
25,1987-07-26,192,Créteil,Paris,Plain stage,Jeff Pierce,USA
P,1986-07-04,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual time trial,Thierry Marie,FRA
1,1986-07-05,85,Nanterre,Sceaux,Plain stage,Pol Verschuere,BEL
2,1986-07-05,56,Meudon,Saint-Quentin-en-Yvelines,Team time trial,Système U,
3,1986-07-06,214,Levallois-Perret,Liévin,Plain stage,Davis Phinney,USA
4,1986-07-07,243,Liévin,Évreux,Plain stage,Pello Ruiz Cabestany,ESP
5,1986-07-08,124.5,Evreux,Villers-sur-Mer,Plain stage,Johan van der Velde,NED
6,1986-07-09,200,Villers-sur-Mer,Cherbourg,Plain stage,Guido Bontempi,ITA
7,1986-07-10,201,Cherbourg,Saint-Hilaire-du-Harcouët,Plain stage,Ludo Peeters,BEL
8,1986-07-11,204,Saint-Hilaire-du-Harcouët,Nantes,Plain stage,Eddy Planckaert,BEL
9,1986-07-12,61.5,Nantes,Nantes,Individual time trial,Bernard Hinault,FRA
10,1986-07-13,183,Nantes,Futuroscope,Plain stage,Jose-Angel Sarrapio,ESP
11,1986-07-14,258.3,Futuroscope,Bordeaux,Plain stage,Rudy Dhaenens,BEL
12,1986-07-15,217.5,Bayonne,Pau,Stage with mountain(s),Pedro Delgado,ESP
13,1986-07-16,186,Pau,Superbagnères,Stage with mountain(s),Greg LeMond,USA
14,1986-07-17,154,Superbagnères,Blagnac,Plain stage,Niki Rüttimann,SUI
15,1986-07-18,225.5,Carcassonne,Nîmes,Plain stage,Frank Hoste,BEL
16,1986-07-19,246.5,Nîmes,Gap,Plain stage,Jean-François Bernard,FRA
17,1986-07-20,190,Gap,Serre Chevalier,Stage with mountain(s),Eduardo Chozas,ESP
18,1986-07-21,162.5,Briançon,Alpe d'Huez,Stage with mountain(s),Bernard Hinault,FRA
19,1986-07-23,179.5,Villard-de-Lans,Saint-Étienne,Plain stage,Julián Gorospe,ESP
20,1986-07-24,58,Saint-Étienne,Saint-Étienne,Individual time trial,Bernard Hinault,FRA
21,1986-07-25,190,Saint-Étienne,Puy de Dôme,Plain stage,Erich Mächler,SUI
22,1986-07-26,194,Clermont-Ferrand,Nevers,Plain stage,Guido Bontempi,ITA
23,1986-07-27,255,Cosne-sur-Loire,Paris,Plain stage,Guido Bontempi,ITA
P,1985-06-28,6,Plumelec,Plumelec,Individual time trial,Bernard Hinault,FRA
1,1985-06-29,256,Vannes,Lanester,Plain stage,Rudy Matthijs,BEL
2,1985-06-30,242,Lorient,Vitre,Plain stage,Rudy Matthijs,BEL
3,1985-07-01,73,Vitre,Fougères,Team time trial,La Vie Claire,
4,1985-07-02,239,Fougères,Pont-Audemer,Plain stage,Gerrit Solleveld,NED
5,1985-07-03,224,Neufchâtel-en-Bray,Roubaix,Plain stage with cobblestones,Henri Manders,NED
6,1985-07-04,222,Roubaix,Reims,Plain stage,Francis Castaing,FRA
7,1985-07-05,217,Reims,Nancy,Plain stage,Ludwig Wijnants,BEL
8,1985-07-06,75,Sarrebourg,Strasbourg,Individual time trial,Bernard Hinault,FRA
9,1985-07-07,174,Strasbourg,Épinal,Hilly stage,Maarten Ducrot,NED
10,1985-07-08,204,Épinal,Pontarlier,Hilly stage,Jørgen V. Pedersen,DEN
11,1985-07-09,195,Pontarlier,Morzine Avoriaz,Stage with mountain(s),Luis Herrera,COL
12,1985-07-10,269,Morzine Avoriaz,Lans-en-Vercors,Stage with mountain(s),Fabio Parra,COL
13,1985-07-11,32,Villard-de-Lans,Villard-de-Lans,Individual time trial,Eric Vanderaerden,BEL
14,1985-07-13,179,Autrans,Saint-Étienne,Hilly stage,Luis Herrera,COL
15,1985-07-14,238,Saint-Étienne,Aurillac,Plain stage,Eduardo Chozas,ESP
16,1985-07-15,247,Aurillac,Toulouse,Plain stage,Frédéric Vichot,FRA
17,1985-07-16,209,Toulouse,Luz Ardiden,Stage with mountain(s),Pedro Delgado,ESP
18a,1985-07-17,53,Luz-Saint-Sauveur,Aubisque,Stage with mountain(s),Stephen Roche,IRE
18b,1985-07-17,83,Laruns,Pau,Stage with mountain(s),Régis Simon,FRA
19,1985-07-18,203,Pau,Bordeaux,Plain stage,Eric Vanderaerden,BEL
20,1985-07-19,225,Montpon-Ménestérol,Limoges,Plain stage,Johan Lammerts,NED
21,1985-07-20,46,Lac de Vassivière,Lac de Vassivière,Individual time trial,Greg LeMond,USA
22,1985-07-21,196,Orléans,Paris,Plain stage,Rudy Matthijs,BEL
P,1984-06-29,5,Montreuil,Noisy-le-Sec,Individual time trial,Bernard Hinault,FRA
1,1984-06-30,149,Bondy,Saint-Denis,Plain stage,Frank Hoste,BEL
2,1984-07-01,249,Bobigny,Louvroil,Plain stage,Marc Madiot,FRA
3,1984-07-02,51,Louvroil,Valenciennes,Team time trial,Renault–Elf,
4,1984-07-02,83,Valenciennes,Béthune,Plain stage,Ferdi Van Den Haute,BEL
5,1984-07-03,207,Béthune,Cergy-Pontoise,Plain stage,Paulo Ferreira,POR
6,1984-07-04,202,Cergy-Pontoise,Alençon,Plain stage,Frank Hoste,BEL
7,1984-07-05,67,Alençon,Le Mans,Individual time trial,Laurent Fignon,FRA
8,1984-07-06,192,Le Mans,Nantes,Plain stage,Pascal Jules,FRA
9,1984-07-07,338,Nantes,Bordeaux,Plain stage,Jan Raas,NED
10,1984-07-08,198,Langon,Pau,Plain stage,Eric Vanderaerden,BEL
11,1984-07-09,227,Pau,Guzet-Neige,Stage with mountain(s),Robert Millar,GBR
12,1984-07-10,111,Saint-Girons,Blagnac,Plain stage,Pascal Poisson,FRA
13,1984-07-11,220,Blagnac,Rodez,Plain stage,Pierre-Henri Menthéour,FRA
14,1984-07-12,228,Rodez,Domaine du Rouret,Hilly stage,Fons De Wolf,BEL
15,1984-07-13,241,Domaine du Rouret,Grenoble,Hilly stage,Frédéric Vichot,FRA
16,1984-07-15,22,Les Échelles,La Ruchère,Individual time trial,Laurent Fignon,FRA
17,1984-07-16,151,Grenoble,Alpe d'Huez,Stage with mountain(s),Luis Herrera,COL
18,1984-07-17,185,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
19,1984-07-18,186,La Plagne,Morzine,Stage with mountain(s),Ángel Arroyo,ESP
20,1984-07-19,141,Morzine,Crans-Montana,Stage with mountain(s),Laurent Fignon,FRA
21,1984-07-20,320,Crans-Montana,Villefranche-sur-Saône,Hilly stage,Frank Hoste,BEL
22,1984-07-21,51,Villié-Morgon,Villefranche-sur-Saône,Individual time trial,Laurent Fignon,FRA
23,1984-07-22,197,Pantin,Paris,Hilly stage,Eric Vanderaerden,BEL
P,1983-07-01,6,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual time trial,Eric Vanderaerden,BEL
1,1983-07-02,163,Nogent-sur-Marne,Créteil,Plain stage,Frits Pirard,NED
2,1983-07-03,100,Soissons,Fontaine-au-Pire,Team time trial,COOP–Mercier–Mavic,
3,1983-07-04,152,Valenciennes,Roubaix,Hilly stage,Rudy Matthijs,BEL
4,1983-07-05,300,Roubaix,Le Havre,Plain stage,Serge Demierre,SUI
5,1983-07-06,257,Le Havre,Le Mans,Plain stage,Dominique Gaigne,FRA
6,1983-07-07,58,Châteaubriant,Nantes,Individual time trial,Bert Oosterbosch,NED
7,1983-07-08,216,Nantes,Île d'Oléron,Plain stage,Riccardo Magrini,ITA
8,1983-07-09,222,La Rochelle,Bordeaux,Plain stage,Bert Oosterbosch,NED
9,1983-07-10,207,Bordeaux,Pau,Plain stage,Philippe Chevallier,FRA
10,1983-07-11,201,Pau,Bagnères-de-Luchon,Stage with mountain(s),Robert Millar,GBR
11,1983-07-12,177,Bagnères-de-Luchon,Fleurance,Plain stage,Régis Clère,FRA
12,1983-07-13,261,Fleurance,Roquefort-sur-Soulzon,Plain stage,Kim Andersen,DEN
13,1983-07-14,210,Roquefort-sur-Soulzon,Aurillac,Hilly stage,Henk Lubberding,NED
14,1983-07-15,149,Aurillac,Issoire,Hilly stage,Pierre Le Bigaut,FRA
15,1983-07-16,16,Clermont-Ferrand,Puy de Dôme,Individual time trial,Ángel Arroyo,ESP
16,1983-07-17,144,Issoire,Saint-Étienne,Hilly stage,Michel Laurent,FRA
17,1983-07-18,223,La Tour-du-Pin,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
18,1983-07-20,247,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Jacques Michaud,FRA
19,1983-07-21,15,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
20,1983-07-22,291,Morzine,Dijon,Plain stage,Philippe Leleu,FRA
21,1983-07-23,50,Dijon,Dijon,Individual time trial,Laurent Fignon,FRA
22,1983-07-24,195,Alfortville,Paris,Plain stage,Gilbert Glaus,SUI
P,1982-07-02,7,Basel,Basel,Individual time trial,Bernard Hinault,FRA
1,1982-07-03,207,Basel,Möhlin,Hilly stage,Ludo Peeters,BEL
2,1982-07-04,250,Basel,Nancy,Plain stage,Phil Anderson,AUS
3,1982-07-05,134,Nancy,Longwy,Plain stage,Daniel Willems,BEL
4,1982-07-06,219,Beauraing,Mouscron,Plain stage,Gerrie Knetemann,NED
5,1982-07-07,73,Orchies,Fontaine-au-Pire,Team time trial,Cancelled and replaced by stage 9a,
6,1982-07-08,233,Lille,Lille,Plain stage,Jan Raas,NED
7,1982-07-10,235,Cancale,Concarneau,Plain stage,Pol Verschuere,BEL
8,1982-07-11,201,Concarneau,Châteaulin,Plain stage,Frank Hoste,BEL
9a,1982-07-12,69,Lorient,Plumelec,Team time trial,Renault–Elf–Gitane,
9b,1982-07-12,138,Plumelec,Nantes,Plain stage,Stefan Mutter,SUI
10,1982-07-13,147,Saintes,Bordeaux,Plain stage,Pierre-Raymond Villemiane,FRA
11,1982-07-14,57,Valence d'Agen,Valence d'Agen,Individual time trial,Gerrie Knetemann,NED
12,1982-07-15,249,Fleurance,Pau,Stage with mountain(s),Sean Kelly,IRE
13,1982-07-16,122,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Beat Breu,SUI
14,1982-07-18,33,Martigues,Martigues,Individual time trial,Bernard Hinault,FRA
15,1982-07-19,208,Manosque,Orcières-Merlette,Stage with mountain(s),Pascal Simon,FRA
16,1982-07-20,123,Orcières-Merlette,Alpe d'Huez,Stage with mountain(s),Beat Breu,SUI
17,1982-07-21,251,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Peter Winnen,NED
18,1982-07-22,233,Morzine,Saint-Priest,Plain stage,Adrie van Houwelingen,NED
19,1982-07-23,48,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
20,1982-07-24,161,Sens,Aulnay-sous-Bois,Plain stage,Daniel Willems,BEL
21,1982-07-25,187,Fontenay-sous-Bois,Paris,Plain stage,Bernard Hinault,FRA
P,1981-06-25,6,Nice,Nice,Individual time trial,Bernard Hinault,FRA
1a,1981-06-26,97,Nice,Nice,Hilly stage,Freddy Maertens,BEL
1b,1981-06-26,40,Nice,Nice,Team time trial,TI–Raleigh–Creda[11],
2,1981-06-27,254,Nice,Martigues,Plain stage,Johan van der Velde,NED
3,1981-06-28,232,Martigues,Narbonne,Plain stage,Freddy Maertens,BEL
4,1981-06-29,77,Narbonne,Carcassonne,Team time trial,TI–Raleigh–Creda,
5,1981-06-30,117,Saint-Gaudens,Pla d'Adet,Stage with mountain(s),Lucien Van Impe,BEL
6,1981-07-01,27,Nay,Pau,Individual time trial,Bernard Hinault,FRA
7,1981-07-02,227,Pau,Bordeaux,Plain stage,Urs Freuler,SUI
8,1981-07-03,182,Rochefort,Nantes,Plain stage,Ad Wijnands,NED
9,1981-07-05,197,Nantes,Le Mans,Plain stage,René Martens,BEL
10,1981-07-06,264,Le Mans,Aulnay-sous-Bois,Plain stage,Ad Wijnands,NED
11,1981-07-07,246,Compiègne,Roubaix,Plain stage,Daniel Willems,BEL
12a,1981-07-08,107,Roubaix,Brussels,Plain stage,Freddy Maertens,BEL
12b,1981-07-08,138,Brussels,Circuit Zolder,Plain stage,Eddy Planckaert,BEL
13,1981-07-09,157,Beringen,Hasselt,Plain stage,Freddy Maertens,BEL
14,1981-07-10,38,Mulhouse,Mulhouse,Individual time trial,Bernard Hinault,FRA
15,1981-07-11,231,Besançon,Thonon-les-Bains,Hilly stage,Sean Kelly,IRE
16,1981-07-12,200,Thonon-les-Bains,Morzine,Stage with mountain(s),Robert Alban,FRA
17,1981-07-14,230,Morzine,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
18,1981-07-15,134,Le Bourg-d'Oisans,Le Pleynet,Stage with mountain(s),Bernard Hinault,FRA
19,1981-07-16,118,Veurey,Saint-Priest,Plain stage,Daniel Willems,BEL
20,1981-07-17,46,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
21,1981-07-18,207,Auxerre,Fontenay-sous-Bois,Plain stage,Johan van der Velde,NED
22,1981-07-19,187,Fontenay-sous-Bois,Paris,Plain stage,Freddy Maertens,BEL
P,1980-06-26,8,Frankfurt,Frankfurt,Individual time trial,Bernard Hinault,FRA
1a,1980-06-27,133,Frankfurt,Wiesbaden,Plain stage,Jan Raas,NED
1b,1980-06-27,46,Wiesbaden,Frankfurt,Team time trial,TI–Raleigh–Creda,
2,1980-06-28,276,Frankfurt,Metz,Plain stage,Rudy Pevenage,BEL
3,1980-06-29,282,Metz,Liège,Plain stage,Henk Lubberding,NED
4,1980-06-30,35,Spa,Spa,Individual time trial,Bernard Hinault,FRA
5,1980-07-01,249,Liège,Lille,Plain stage,Bernard Hinault,FRA
6,1980-07-02,216,Lille,Compiègne,Plain stage,Jean-Louis Gauthier,FRA
7a,1980-07-03,65,Compiègne,Beauvais,Team time trial,TI–Raleigh–Creda,
7b,1980-07-03,92,Beauvais,Rouen,Plain stage,Jan Raas,NED
8,1980-07-04,164,Flers,Saint-Malo,Plain stage,Bert Oosterbosch,NED
9,1980-07-06,205,Saint-Malo,Nantes,Plain stage,Jan Raas,NED
10,1980-07-07,163,Rochefort,Bordeaux,Plain stage,Cees Priem,NED
11,1980-07-08,52,Damazan,Laplume,Individual time trial,Joop Zoetemelk,NED
12,1980-07-09,194,Agen,Pau,Plain stage,Gerrie Knetemann,NED
13,1980-07-10,200,Pau,Bagnères-de-Luchon,Stage with mountain(s),Raymond Martin,FRA
14,1980-07-11,189,Lézignan-Corbières,Montpellier,Plain stage,Ludo Peeters,BEL
15,1980-07-12,160,Montpellier,Martigues,Plain stage,Bernard Vallet,FRA
16,1980-07-13,209,Trets,Pra-Loup,Stage with mountain(s),Jos De Schoenmaecker,BEL
17,1980-07-14,242,Serre Chevalier,Morzine,Stage with mountain(s),Mariano Martínez,FRA
18,1980-07-16,199,Morzine,Prapoutel,Stage with mountain(s),Ludo Loos,BEL
19,1980-07-17,140,Voreppe,Saint-Étienne,Hilly stage,Sean Kelly,IRE
20,1980-07-18,34,Saint-Étienne,Saint-Étienne,Individual time trial,Joop Zoetemelk,NED
21,1980-07-19,208,Auxerre,Fontenay-sous-Bois,Plain stage,Sean Kelly,IRE
22,1980-07-20,186,Fontenay-sous-Bois,Paris,Plain stage,Pol Verschuere,BEL
P,1979-06-27,5,Fleurance,Fleurance,Individual time trial,Gerrie Knetemann,NED
1,1979-06-28,225,Fleurance,Luchon,Stage with mountain(s),René Bittinger,FRA
2,1979-06-29,24,Luchon,Superbagnères,Individual time trial,Bernard Hinault,FRA
3,1979-06-30,180,Luchon,Pau,Stage with mountain(s),Bernard Hinault,FRA
4,1979-07-01,87,Captieux,Bordeaux,Team time trial,TI–Raleigh–McGregor,
5,1979-07-02,145,Neuville-de-Poitou,Angers,Plain stage,Jan Raas,NED
6,1979-07-03,239,Angers,Saint-Brieuc,Plain stage,Jos Jacobs,BEL
7,1979-07-04,158,Saint-Hilaire-du-Harcouët,Deauville,Plain stage,Leo van Vliet,NED
8,1979-07-05,90,Deauville,Le Havre,Team time trial,TI–Raleigh–McGregor,
9,1979-07-06,201,Amiens,Roubaix,Plain stage,Ludo Delcroix,BEL
10,1979-07-07,124,Roubaix,Brussels,Plain stage,Jo Maas,NED
11,1979-07-08,33,Brussels,Brussels,Individual time trial,Bernard Hinault,FRA
12,1979-07-09,193,Rochefort,Metz,Plain stage,Christian Seznec,FRA
13,1979-07-10,202,Metz,Ballon d'Alsace,Hilly stage,Pierre-Raymond Villemiane,FRA
14,1979-07-11,248,Belfort,Évian-les-Bains,Plain stage,Marc Demeyer,BEL
15,1979-07-12,54,Évian-les-Bains,Morzine Avoriaz,Individual time trial,Bernard Hinault,FRA
16,1979-07-13,201,Morzine Avoriaz,Les Menuires,Stage with mountain(s),Lucien Van Impe,BEL
17,1979-07-15,167,Les Menuires,Alpe d'Huez,Stage with mountain(s),Joaquim Agostinho,POR
18,1979-07-16,119,Alpe d'Huez,Alpe d'Huez,Stage with mountain(s),Joop Zoetemelk,NED
19,1979-07-17,162,Alpe d'Huez,Saint-Priest,Plain stage,Dietrich Thurau,GER
20,1979-07-18,240,Saint-Priest,Dijon,Plain stage,Serge Parsani,ITA
21,1979-07-19,49,Dijon,Dijon,Individual time trial,Bernard Hinault,FRA
22,1979-07-20,189,Dijon,Auxerre,Plain stage,Gerrie Knetemann,NED
23,1979-07-21,205,Auxerre,Nogent-sur-Marne,Plain stage,Bernard Hinault,FRA
24,1979-07-22,180,Le Perreux-sur-Marne,Paris,Plain stage,Bernard Hinault,FRA
P,1978-06-29,5,Leiden,Leiden,Individual time trial,Jan Raas,NED
1a,1978-06-30,135,Leiden,Sint Willebrord,Plain stage,Jan Raas,NED
1b,1978-06-30,100,Sint Willebrord,Brussels,Plain stage,Walter Planckaert,BEL
2,1978-07-01,199,Brussels,Saint-Amand-les-Eaux,Plain stage,Jacques Esclassan,FRA
3,1978-07-02,244,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,Plain stage,Klaus-Peter Thaler,GER
4,1978-07-03,153,Évreux,Caen,Team time trial,TI–Raleigh–McGregor,
5,1978-07-04,244,Caen,Mazé-Montgeoffroy,Plain stage,Freddy Maertens,BEL
6,1978-07-05,162,Mazé-Montgeoffroy,Poitiers,Plain stage,Sean Kelly,IRE
7,1978-07-06,242,Poitiers,Bordeaux,Plain stage,Freddy Maertens,BEL
8,1978-07-07,59,Saint-Émilion,Sainte-Foy-la-Grande,Individual time trial,Bernard Hinault,FRA
9,1978-07-08,233,Bordeaux,Biarritz,Plain stage,Miguel Maria Lasa,ESP
10,1978-07-10,192,Biarritz,Pau,Hilly stage,Henk Lubberding,NED
11,1978-07-11,161,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Mariano Martínez,FRA
12a,1978-07-12,158,Tarbes,Valence d'Agen,Plain stage,Cancelled,
12b,1978-07-12,96,Valence d'Agen,Toulouse,Plain stage,Jacques Esclassan,FRA
13,1978-07-13,221,Figeac,Super Besse,Hilly stage,Paul Wellens,BEL
14,1978-07-14,52,Besse-en-Chandesse,Puy de Dôme,Individual time trial,Joop Zoetemelk,NED
15,1978-07-15,196,Saint-Dier-d'Auvergne,Saint-Étienne,Hilly stage,Bernard Hinault,FRA
16,1978-07-16,241,St-Étienne,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
17,1978-07-18,225,Grenoble,Morzine,Stage with mountain(s),Christian Seznec,FRA
18,1978-07-19,137,Morzine,Lausanne,Plain stage,Gerrie Knetemann,NED
19,1978-07-20,182,Lausanne,Belfort,Plain stage,Marc Demeyer,BEL
20,1978-07-21,72,Metz,Nancy,Individual time trial,Bernard Hinault,FRA
21,1978-07-22,207,Epernay,Senlis,Plain stage,Jan Raas,NED
22,1978-07-23,162,Saint Germain en Laye,Paris,Plain stage,Gerrie Knetemann,NED
P,1977-06-30,5,Fleurance,Fleurance,Individual time trial,Dietrich Thurau,FRG
1,1977-07-01,237,Fleurance,Auch,Plain stage,Pierre-Raymond Villemiane,FRA
2,1977-07-02,253,Auch,Pau,Stage with mountain(s),Dietrich Thurau,FRG
3,1977-07-03,248,Oloron-Sainte-Marie,Vitoria-Gasteiz,Stage with mountain(s),José Nazabal,ESP
4,1977-07-04,256,Vitoria-Gasteiz,Seignosse le Penon,Stage with mountain(s),Régis Delépine,FRA
5a,1977-07-05,139,Morcenx,Bordeaux,Plain stage,Jacques Esclassan,FRA
5b,1977-07-05,30,Bordeaux,Bordeaux,Individual time trial,Dietrich Thurau,FRG
6,1977-07-07,225,Bordeaux,Limoges,Plain stage,Jan Raas,NED
7a,1977-07-08,140,Jaunay-Clan,Angers,Plain stage,Patrick Sercu,BEL
7b,1977-07-08,4,Angers,Angers,Team time trial,Fiat France,
8,1977-07-09,247,Angers,Lorient,Plain stage,Giacinto Santambrogio,ITA
9,1977-07-10,187,Lorient,Rennes,Stage with mountain(s),Klaus-Peter Thaler,FRG
10,1977-07-11,174,Bagnoles-de-l'Orne,Rouen,Plain stage,Fedor den Hertog,NED
11,1977-07-12,242,Rouen,Roubaix,Plain stage,Jean-Pierre Danguillaume,FRA
12,1977-07-13,193,Roubaix,Charleroi,Stage with mountain(s),Patrick Sercu,BEL
13a,1977-07-14,46,Freiburg,Freiburg,Plain stage,Patrick Sercu,BEL
13b,1977-07-14,160,Altkirch ,Besançon,Plain stage,Jean-Pierre Danguillaume,FRA
14,1977-07-16,230,Besançon,Thonon-les-Bains,Stage with mountain(s),Bernard Quilfen,FRA
15a,1977-07-17,105,Thonon-les-Bains,Morzine,Stage with mountain(s),Paul Wellens,BEL
15b,1977-07-17,14,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
16,1977-07-18,121,Morzine,Chamonix,Stage with mountain(s),Dietrich Thurau,FRG
17,1977-07-19,185,Chamonix,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
18,1977-07-20,199,Rossignol Voiron,Saint-Étienne,Stage with mountain(s),no winner,
19,1977-07-21,172,Saint-Trivier-sur-Moignans,Dijon,Plain stage,Gerrie Knetemann,NED
20,1977-07-22,50,Dijon,Dijon,Individual time trial,Bernard Thévenet,FRA
21,1977-07-23,142,Montereau-Fault-Yonne,Versailles,Plain stage,Gerrie Knetemann,NED
