package,n_total,n_unique
ibd,60,30
IBDLabels,9,5
ibdreg,61,28
IBDsim,59,24
ibdsim2,168,60
ibelief,100,47
ibm,38,23
ibmAcousticR,8,6
ibmcraftr,9,7
ibmdbR,485,149
IBMPopSim,56,43
ibmsunburst,2,2
ibr,205,67
iBreakDown,60,37
IBrokers,128,64
iBST,29,13
ic.infer,43,24
iC10,13,6
ica,12,4
ical,5,4
iCAMP,808,84
ICAMS,418,228
ICAOD,330,116
icapca,1,1
icardaFIGSr,24,11
iCARH,71,33
icarus,55,37
ICBioMark,11,10
ICC,19,9
ICC.Sample.Size,2,2
ICcalib,124,61
iccbeta,4,4
ICCbin,11,3
iccCounts,195,69
ICcforest,14,9
icd.data,1,1
ICD10gm,27,14
icdGLM,6,3
icdpicr,4,4
ICDS,34,22
ICEbox,6,6
icecream,16,14
ICED,27,9
ICEinfer,1,1
iCellR,48,31
icenReg,225,122
icensBKL,33,21
icensmis,86,62
icertool,5,4
icesAdvice,10,10
IceSat2R,24,10
icesConnect,22,14
icesDatras,43,21
icesDatsu,26,9
icesDatsuQC,1,1
icesSAG,90,47
icesSD,4,3
icesTAF,16,16
icesVocab,30,13
ICGE,71,35
ICglm,50,34
ICGOR,80,8
ichimoku,82,45
iClick,16,10
icmm,15,11
ICODS,6,2
iconr,27,15
icosa,126,20
icr,2,2
ICRanks,22,13
icrf,57,25
icRSF,95,33
ICS,20,6
ICSKAT,39,21
ICSNP,30,17
ICSOutlier,4,4
ICSS,7,4
ICSShiny,6,6
ICsurv,16,5
icsw,7,4
ICtest,108,58
ICV,20,10
ICvectorfields,76,25
idar,146,26
idbr,3,3
IDCard,1,1
IDConverter,13,10
IDE,48,21
IDEAFilter,35,30
ideamdb,6,4
idefix,111,50
idem,91,57
idendr0,98,52
ider,22,12
IDetect,49,22
IDF,18,13
iDINGO,51,14
idiogramFISH,397,95
idm,61,27
IDmeasurer,24,20
IDmining,16,12
idmodelr,39,37
idmTPreg,21,6
iDOS,4,4
iDOVE,11,9
IDPmisc,62,33
IDPSurvival,17,8
idr,20,5
ids,56,29
IDSA,41,18
IDSL.IPA,153,55
IDSL.MXP,14,7
IDSL.SUFA,35,15
IDSL.UFA,106,49
IDSL.UFAx,5,4
IDSpatialStats,110,36
idx2r,2,2
ie2misc,16,14
ieeeround,1,1
iemisc,368,67
IETD,3,3
IFAA,25,14
ifaTools,11,9
IFC,1094,206
ifCNVR,13,7
ifctools,2,2
iForecast,3,3
IFP,31,15
ifs,38,19
ifultools,35,8
IgAScores,28,10
iGasso,40,16
igate,6,3
IGCities,72,9
igcop,60,42
iglu,227,93
igoR,9,5
IGoRRR,107,30
igraph,1488,577
iGraphMatch,141,66
igraphtosonia,1,1
iGSEA,3,2
IGST,4,4
ihclust,3,3
iheatmapr,18,13
iheiddown,26,22
ihpdr,22,17
IHSEP,15,12
iilasso,16,10
iIneq,3,3
IIProductionUnknown,16,11
ijtiff,45,33
ILSE,35,24
imabc,103,49
image.binarization,3,2
image.CannyEdges,4,4
image.ContourDetector,8,6
image.CornerDetectionF9,2,2
image.CornerDetectionHarris,1,1
image.dlib,2,1
image.libfacedetection,3,2
image.LineSegmentDetector,3,2
image.Otsu,2,2
image.textlinedetector,32,24
imageData,33,11
imagefluency,16,10
imagefx,25,19
imager,600,359
imagerExtra,75,53
imageseg,40,13
imageviewer,2,2
imaginator,24,15
imagine,21,19
ImaginR,14,6
IMak,20,11
imbalance,67,39
imbibe,51,51
imcExperiment,3,1
imdbapi,8,8
IMEC,7,7
iMediate,52,21
imgpalr,27,7
imgrec,36,20
imguR,66,7
IMIFA,61,22
IMIX,10,8
iml,112,60
IMmailgun,2,1
immcp,49,22
immer,265,155
Immigrate,25,17
immunarch,294,187
immuneSIM,19,7
imola,39,35
IMP,67,23
imp4p,45,24
IMPACT,1,1
ImpactEffectsize,26,9
impactflu,8,8
impactr,103,56
impimp,35,21
implicitExpansion,28,22
implicitMeasures,2,2
implied,33,19
implyr,25,21
import,40,17
ImportanceIndice,21,12
importar,2,2
ImportExport,12,10
importinegi,10,10
impressionist.colors,2,2
imptree,24,19
imputeFin,140,49
imputeGeneric,13,9
imputeLCMD,14,11
imputeMissings,4,3
imputeMulti,39,21
imputeR,35,27
imputeREE,8,7
ImputeRobust,14,10
imputeTestbench,8,7
imputeTS,36,28
imputeYn,31,16
iMRMC,42,25
imsig,22,10
IMTest,35,12
in2extRemes,107,48
inaparc,32,32
inbreedR,49,24
inca,2,1
incase,54,31
INCATome,7,7
IncDTW,232,113
incgraph,23,20
incidence,132,81
incidence2,147,77
incidental,50,26
incidentally,16,12
IncomPair,8,6
incR,5,4
inctools,23,11
incubate,101,41
indelmiss,25,17
independence,4,4
independenceWeights,8,4
IndepTest,13,7
index0,6,6
IndexConstruction,17,9
IndexNumber,6,5
IndexNumR,107,66
indicspecies,92,24
indiedown,5,3
indirect,18,10
InDisc,146,45
IndTestPP,167,48
industRial,13,11
inegiR,96,28
ineq,32,28
inet,1,1
iNEXT,192,67
infer,269,165
InferenceSMR,13,9
inferference,32,12
inferr,294,140
infinitefactor,30,25
InfiniumPurify,17,8
infix,2,1
Inflation,10,5
Inflect,19,5
inflection,45,8
InflectSSP,32,9
influence.ME,6,6
influence.SEM,9,6
influenceAUC,22,12
influenceR,11,8
influential,42,24
influxdbclient,2,1
influxdbr,58,29
infoDecompuTE,57,26
Information,18,9
InformationValue,41,20
InformativeCensoring,62,44
informedSen,5,3
infotheo,18,8
InfoTrad,20,12
infraFDTD.assist,3,3
Infusion,204,60
ingredients,64,49
ini,6,4
injectoR,33,7
InjurySeverityScore,1,1
INLABMA,35,14
inlabru,831,435
inline,17,8
inlinedocs,67,25
inlmisc,110,62
innsight,12,9
ino,70,44
inops,1,1
inpdfr,25,19
inplace,44,40
InPosition,27,15
INQC,71,34
insect,144,73
insectDisease,2,2
insee,77,30
insight,1741,902
InSilicoVA,51,29
insol,42,14
InspectChangepoint,33,25
inspectdf,116,59
inspector,4,4
INSPECTumours,78,53
install.load,1,1
installr,143,93
instaR,91,20
insurancerating,147,81
intamap,160,91
IntCal,27,11
intccr,148,48
intcensROC,2,2
integIRTy,60,23
integr,24,16
IntegratedJM,14,8
IntegratedMRF,31,14
intensity.analysis,18,9
intensitynet,58,47
intePareto,5,5
InteractionPoweR,37,15
interactionR,17,10
interactions,65,44
interactionTest,2,2
Interatrix,31,14
InteRD,21,12
interep,11,6
InterfaceqPCR,94,35
interflex,178,53
interfr,6,4
intergraph,79,35
interim,73,23
interimApp,4,4
interleave,7,6
interlineaR,28,15
interp,161,55
interplex,36,36
interplot,8,5
interpret,31,21
interpretCI,46,29
InterpretMSSpectrum,74,38
inters,8,2
InterSIM,3,3
InterVA4,21,7
InterVA5,16,10
interval,51,32
intervalaverage,32,10
IntervalQuestionStat,3,2
intervals,12,5
IntervalSurgeon,37,19
intervcomp,7,4
inTextSummaryTable,114,58
inti,23,14
intkrige,25,21
IntLIM,62,37
intmed,155,19
IntNMF,15,9
inTrees,14,9
intRegGOF,42,20
INTRIGUE,18,8
intRinsic,53,45
intrinsicDimension,171,93
intrval,1,1
intRvals,95,43
intsurv,104,61
intsvy,48,22
inum,22,21
invacost,9,7
InvariantCausalPrediction,13,6
InvasionCorrection,2,2
invctr,2,2
inventorize,323,42
Inventorymodel,29,11
inverseRegex,29,22
invertiforms,18,6
investr,79,36
invgamma,7,7
invGauss,23,8
invLT,29,18
InvStablePrior,5,5
iNZightMR,70,52
iNZightPlots,202,152
iNZightRegression,87,43
iNZightTools,142,86
iNZightTS,28,17
io,96,67
ioanalysis,41,27
IOHanalyzer,367,164
IOHexperimenter,38,33
ioncopy,14,7
ionr,27,16
iopsych,52,27
iosmooth,44,23
iotables,85,45
iotools,45,25
ip2location,1,1
ip2proxy,5,4
ipa,4,4
ipaddress,214,161
ipADMIXTURE,8,7
ipc,35,14
IPCAPS,28,20
IPCWK,6,5
ipcwswitch,1,1
IPDFileCheck,62,31
IPDfromKM,15,12
ipdw,7,6
ipeadatar,9,7
IPEC,11,6
IPEDS,3,3
IPEDSuploadables,96,56
ipflasso,6,4
ipfr,20,10
ipft,64,44
ipkg,1,1
IPLGP,53,10
iplots,122,61
IPMbook,77,54
ipmr,161,35
ipr,1,1
ipred,104,76
iprior,335,152
ips,168,86
ipsecr,185,106
ipsfs,70,70
iptools,41,33
ipumsr,310,154
IPV,50,29
IPWboxplot,8,2
ipwCoxCSV,10,3
ipwErrorY,8,7
iq,17,10
IQCC,46,22
ir,64,55
irace,264,170
iRafNet,14,4
irboost,6,5
IRCcheck,11,8
ircor,14,14
IRdisplay,36,19
iRegression,69,56
iRepro,46,4
Irescale,50,35
irg,9,8
iriR,4,4
IrishDirectorates,1,1
IRISMustangMetrics,15,11
IRISSeismic,157,66
IRkernel,56,30
irlba,17,10
iRoCoDe,16,8
IRon,40,15
irr,14,11
irrCAC,38,29
IrregLong,34,19
irrICC,109,36
irrNA,1,1
irt,242,159
IRTBEMM,21,3
irtDemo,1,1
IRTest,84,33
irtoys,149,53
irtrees,48,10
irtreliability,37,21
isa2,46,25
ISAT,6,4
isatabr,2,2
ISCO08ConveRsions,4,4
iscoCrosswalks,2,2
Iscores,17,8
isdals,2,2
iSDM,7,5
isdparser,30,21
ISEtools,8,8
iSFun,505,43
IsingFit,8,5
isingLenzMC,21,17
IsingSampler,44,25
island,280,49
islasso,60,46
ISM,3,3
ismev,49,31
isni,63,33
isnullptr,1,1
Iso,6,3
isoband,46,32
isoboost,8,3
isobxr,76,20
isocalcR,1,1
isocat,21,18
IsoCheck,24,10
isocir,111,18
IsoCor,11,9
IsoCorr,7,4
isodistrreg,89,31
IsoGene,36,17
isogeochem,78,32
isokernel,2,2
IsoMemo,8,5
isoorbi,32,14
IsoplotR,1343,457
IsoplotRgui,98,32
ISOpureR,110,35
IsoriX,49,14
IsoSpecR,1,1
isoSurv,23,14
isotone,155,33
isotonic.pen,4,3
IsotopeR,34,2
isotracer,439,177
isotree,90,68
isoWater,12,8
ISOweek,10,6
ispd,11,9
ISR,8,7
ISRaD,41,33
istacr,110,24
iSubGen,2,2
itan,32,14
itcSegment,30,8
itdr,64,24
itemanalysis,2,2
iTensor,19,5
IterativeHardThresholding,15,7
iterators,86,24
iterLap,45,23
iterpc,15,14
itertools,110,43
itertools2,149,39
ITNr,38,29
iTOP,20,16
itp,18,18
itraxR,5,4
ITRLearn,4,3
ITRSelect,9,7
its.analysis,6,1
itsadug,77,42
itsdm,9,7
itsmr,145,35
iva,74,37
ivaBSS,5,3
ivdesc,15,9
ivdesign,16,9
ivdoctr,111,48
ivgets,33,12
ivitr,2,2
ivmodel,102,44
ivmte,231,103
ivprobit,9,4
ivreg,82,59
ivregEX,22,9
ivs,301,119
ivsacim,14,8
ivtools,66,21
ivx,67,45
iWeigReg,32,14
iWISA,31,9
ixplorer,29,25
IxPopDyMod,82,47
iZID,114,18
jaatha,59,41
jaccard,21,12
jack,178,70
jackalope,110,81
jackknifeKME,34,6
jackstrap,9,6
jacobi,131,86
JacobiEigen,7,5
jacpop,1,1
JADE,44,32
jaggR,2,2
jagshelper,35,23
jagstargets,33,17
jagsUI,88,42
jalcal,4,4
JamendoR,28,28
janeaustenr,4,4
janitor,74,59
jaod,16,9
japanmesh,74,37
japanstat,27,21
jarbes,22,19
JATSdecoder,269,70
JavaGD,1,1
Jaya,2,2
JBrowseR,101,53
jcext,22,15
jcolors,8,2
jcp,12,9
JCRImpactFactor,7,4
jds.rmd,14,8
jeek,2,2
jenga,57,20
jetpack,117,45
jetset,1,1
jfa,21,19
JFE,60,32
JFM,62,36
jgcricolors,7,2
JGEE,6,4
JGL,15,8
JGR,23,16
jgsbook,7,7
jiebaR,108,83
jinjar,47,36
jipApprox,16,15
jjAnno,8,8
jjb,33,33
jlctree,27,9
JLPM,5,4
jlsm,35,29
JM,226,66
jmatrix,14,14
JMbayes,844,207
JMbayes2,406,152
jmcm,19,16
jmdem,69,30
JMdesign,5,4
jmetrik,2,2
JMI,3,2
Jmisc,11,11
jmotif,26,24
jmuOutlier,35,15
jmv,209,27
jmvconnect,17,9
jmvcore,209,88
job,27,14
jocre,31,21
JoF,19,14
joineR,45,23
joineRML,84,51
joinet,7,6
joint.Cox,113,21
JointAI,676,217
jointDiag,5,4
jointMeanCov,23,8
JointModel,50,14
JointNets,75,36
jointNmix,14,7
jointseg,66,33
jomo,11,10
JOPS,143,57
JoSAE,9,7
josaplay,10,10
jose,61,24
jot,18,12
journalabbr,8,6
JOUSBoost,11,9
joyn,5,2
jpeg,1,1
JPEN,42,7
jpgrid,75,38
jpmesh,79,36
jpstat,24,20
JQL,10,4
jqr,445,108
jquerylib,1,1
jrc,44,22
JRF,5,3
jrich,12,6
jrt,26,11
jrvFinance,66,27
js,9,9
jScore,1,1
jSDM,134,65
jshintr,2,2
JSM,266,57
JSmediation,69,32
jsmodule,272,55
json64,2,2
jsonify,45,40
jsonld,8,8
jsonlite,134,81
jsonstat,18,10
jsonStrings,15,9
jsontools,111,89
jsonvalidate,33,21
JSparO,18,11
jstable,60,32
jstor,156,63
jsTree,8,4
jsTreeR,33,23
JSUparameters,13,12
jti,251,137
jtools,335,157
jubilee,86,54
juicr,232,81
JuliaCall,112,75
JuliaConnectoR,115,63
JumpeR,68,51
junctions,30,16
just.install,1,1
justifier,85,50
JustifyAlpha,26,9
jvcoords,10,7
jvnVaR,50,30
JWileymisc,118,72
kableExtra,212,113
kader,37,21
kaigiroku,3,2
kairos,64,35
kalmanfilter,3,3
kamila,60,34
kangar00,13,4
kantorovich,36,13
kaos,3,3
kaphom,5,5
KappaGUI,2,2
kappalab,103,29
kappaSize,130,43
karaoke,1,1
karel,20,18
Karen,115,45
KarsTS,643,192
katex,6,5
kayadata,7,6
kazaam,88,59
KbMvtSkew,10,7
kcopula,12,4
kcpRS,18,13
KCSKNNShiny,1,1
KCSNBShiny,1,1
kde1d,21,17
kdecopula,96,62
kdensity,55,29
kdevine,94,47
kdist,4,3
kdpee,1,1
keep,3,3
kehra,5,5
kelvin,8,6
Kendall,1,1
kendallRandomWalks,66,36
KENDL,5,3
kequate,843,44
keras,1092,412
kerasR,77,65
kerastuneR,12,12
KERE,100,50
kergp,159,35
kerndwd,51,42
kernelboot,31,19
kernelFactory,1,1
Kernelheaping,38,20
KernelKnn,32,15
kernelPhil,19,9
kernelPSI,17,13
kernelshap,58,30
kernhaz,67,15
kernlab,132,50
kernplus,40,9
kernscr,44,22
KernSmooth,89,11
KernSmoothIRT,71,24
kernstadapt,8,6
kerSeg,71,23
kerTests,2,2
kesernetwork,34,23
keyATM,169,99
Keyboard,41,20
KeyboardSimulator,11,10
keyholder,95,62
keyplayer,18,9
keypress,9,6
keyring,229,139
keyringr,4,4
keys,4,4
keyToEnglish,12,9
kfa,64,26
KFAS,67,33
kfda,2,2
kfigr,10,7
KFPCA,40,19
kgc,11,6
KGode,17,8
kgrams,118,63
kgschart,50,22
KHQ,4,4
khroma,239,203
kibior,116,94
kidney.epi,26,16
kim,160,64
kimfilter,5,5
kimisc,29,21
kin.cohort,29,7
kindisperse,66,14
kinematics,19,8
kinship2,141,56
kirby21.base,19,9
kirby21.fmri,2,2
kirby21.t1,2,2
kissmig,4,4
kit,35,31
kitagawa,45,31
kiwisR,11,7
kknn,41,28
kko,10,8
klaR,277,149
klassR,57,21
klausuR,101,38
kldtools,2,2
klexdatr,1,1
KLexp,6,5
klic,5,4
klsh,27,14
klustR,5,5
km.ci,18,11
kmc,28,17
KMD,18,6
kmed,43,21
Kmedians,13,9
kmer,35,18
kmi,5,4
kml,47,31
kml3d,35,22
kmlShape,54,35
kmodR,25,14
kmscv,1,1
KMsurv,1,1
KMunicate,1,1
KnapsackSampling,7,4
KneeArrower,13,6
knitcitations,31,22
knitr,1045,424
knitrBootstrap,66,34
knitrdata,51,22
knitrProgressBar,14,10
knn.covertree,6,5
knnp,1,1
kNNvs,1,1
knnwtsim,13,8
knockoff,80,45
KnockoffScreen,40,25
KnockoffTrio,36,18
knotR,11,4
KnowBR,40,10
kntnr,41,26
KoboconnectR,9,4
KODAMA,43,28
kofdata,17,16
kofnGA,14,12
KOGMWU,1,1
kohonen,69,39
kokudosuuchi,12,11
komaletter,3,2
konfound,80,29
KONPsurv,18,11
koRpus,409,71
koRpus.lang.en,1,1
kosel,5,4
KoulMde,20,11
Kpart,2,2
KPC,32,13
kpcalg,11,8
kpeaks,7,5
kpmt,24,9
kpodclustr,10,6
KraljicMatrix,13,8
kriens,12,9
krige,90,53
kriging,16,10
KrigInv,53,15
krippendorffsalpha,25,15
KRIS,19,9
KRLS,9,5
krm,64,36
KRMM,4,3
ks,953,247
KSA,1,1
kSamples,58,22
KScorrect,14,10
KSD,59,24
KSEAapp,12,8
kselection,22,20
KSgeneral,34,14
ksharp,12,10
ksNN,2,2
KSPM,77,45
ksrlive,4,4
kssa,4,3
kst,71,36
kStatistics,49,23
kstIO,10,10
kstMatrix,23,17
ktaucenters,28,12
KTensorGraphs,127,27
ktsolve,1,1
ktweedie,101,51
Kurt,19,18
kutils,106,71
kvh,21,9
kwb.hantush,15,10
kyotil,357,253
kza,30,19
kzs,8,5
l0ara,14,10
L0Learn,32,30
l1ball,23,14
l1kdeconv,11,9
L1mstate,39,25
L1pack,12,11
l1spectral,32,14
l2boost,57,27
L2DensityGoFtest,21,11
L2E,75,46
LA,47,24
LabApplStat,19,11
labdsv,144,102
label.switching,10,9
labeling,25,13
labelled,180,111
labelmachine,86,49
labelVector,9,8
LabourMarketAreas,48,27
labourR,3,3
LabRS,18,14
labsimplex,33,22
labstatR,26,25
lacrmr,9,5
lactater,64,29
lactcurves,1,1
lacunaritycovariance,192,58
laeken,188,104
LaF,10,10
lagged,44,24
LAGOSNE,124,32
laGP,189,80
lagsarlmtree,7,7
Lahman,8,7
lakemorpho,26,16
laketemps,18,11
LAM,168,89
lambda.r,117,55
lambdaTS,49,18
lambdr,76,51
LambertW,299,117
lamme,11,9
lamW,4,4
landest,37,18
Landmarking,16,8
landmix,75,38
landpred,35,16
landsat,13,6
landsat8,3,3
landscapemetrics,488,273
landscapeR,4,4
landscapetools,13,13
landsepi,100,77
Langevin,3,3
langevitour,7,5
languagelayeR,10,9
languageR,13,7
languageserver,433,207
languageserversetup,22,16
lans2r,47,30
LaplaceDeconv,19,11
LaplacesDemon,745,346
lar,2,2
lares,508,219
LARF,26,11
LARGB,1,1
largeList,18,12
LARisk,41,13
lars,12,7
LassoBacktracking,24,18
LassoGEE,15,11
LassoNet,19,11
lassopv,1,1
latdiag,2,1
latentcor,59,19
latentFactoR,68,39
latentgraph,34,21
latentnet,274,152
later,37,26
Laterality,1,1
latex2exp,17,10
latexdiffr,2,2
latexpdf,88,52
latrend,279,104
latte,58,30
lattice,570,158
latticeDensity,27,9
LatticeDesign,62,36
latticeExtra,71,49
LatticeKrig,155,95
lava,2243,545
lavaan,1942,550
lavaan.survey,6,3
lavaanExtra,19,12
lavaanPlot,12,7
lavacreg,31,19
LavaCvxr,5,2
lavaSearch2,148,93
Lavash,1,1
LAWBL,44,23
lawstat,20,12
lax,305,232
layer,2,2
lazy,3,3
lazyarray,22,17
lazyData,1,1
lazyeval,130,98
lazysf,4,3
lazysql,5,2
lazytrade,31,22
lazyWeave,56,27
lba,56,31
lbfgsb3c,3,3
lbm,24,17
lboxcox,22,12
LBPG,4,4
lbreg,24,14
LBSPR,43,20
LCA,31,13
LCAextend,18,12
lcars,26,10
LCAvarsel,36,15
lcc,88,48
LCCR,17,7
lcda,42,19
LCF,15,7
lchemix,7,5
lclGWAS,2,2
LCMCR,11,9
lcmm,278,121
lconnect,14,9
lcopula,56,27
lcpm,35,7
lcra,10,7
lcsm,42,36
lctools,43,26
lcyanalysis,12,10
lda,8,5
LDAandLDAS,10,5
LDABiplots,9,8
ldamatch,17,4
ldaPrototype,186,106
LDAShiny,2,2
ldat,70,57
LDATS,141,90
ldatuning,7,6
LDAvis,14,9
ldbod,1,1
ldbounds,69,13
LDcorSV,14,7
lddmm,68,22
LDheatmap,45,25
ldhmm,92,40
LDLcalc,120,57
LDlinkR,13,11
LDNN,1,1
LDRTools,12,5
ldsep,119,75
ldsr,75,34
leabRa,1,1
leaderCluster,1,1
LeafArea,7,4
leafdown,6,4
leafem,53,42
leafgl,36,34
leaflegend,27,20
leaflet,248,158
leaflet.esri,7,7
leaflet.extras,42,41
leaflet.extras2,66,62
leaflet.minicharts,7,5
leaflet.multiopacity,2,2
leaflet.opacity,2,2
leaflet.providers,2,2
leafletCN,15,9
leafpm,1,1
leafpop,16,13
leafR,15,10
leafSTAR,48,10
leafsync,3,3
leaftime,1,1
leanpubr,11,5
LEANR,22,14
LEAP,2,1
leapp,2,2
LeArEst,34,22
LearnBayes,157,81
LearnClust,134,57
LearnGeom,115,63
learningr,31,20
LearningRlab,144,58
LearningStats,36,35
learningtower,3,2
learNN,23,9
LearnPCA,6,3
learnPopGen,50,42
learnr,712,333
leastcostpath,53,28
ledger,14,9
leem,12,8
leerSIECyL,1,1
lefko3,23,16
legco,32,15
legion,110,68
legislatoR,10,10
LEGIT,9,5
legocolors,8,7
lehdr,7,5
leiden,16,11
leidenAlg,18,10
leiv,42,10
LeMaRns,38,23
lemna,26,20
lemon,179,74
lenses,153,42
leontief,15,15
leprechaun,67,39
leri,9,5
less,51,23
lessR,158,34
lest,59,57
lestat,486,311
letsR,23,20
levitate,19,11
LexFindR,20,12
lexicon,4,3
lexiconPT,4,1
LexisNexisTools,25,19
LexisPlotR,26,18
lexRankr,18,10
lfactors,27,13
LFApp,30,17
lfc,22,13
lfda,28,11
LFDR.MLE,129,50
LFDR.MME,1,1
LFDREmpiricalBayes,10,7
lfe,393,109
lfl,293,111
lfmm,94,49
lg,94,42
lgarch,43,17
lgcp,1315,367
LGEWIS,60,30
lglasso,26,12
lgpr,915,325
lgr,215,119
lgrExtra,76,67
LGRF,14,11
lgtdl,17,15
LHD,44,22
lhmixr,24,8
lhs,23,23
liayson,15,6
libbib,110,66
libcoin,1,1
LiblineaR,2,2
LiblineaR.ACF,1,1
LibOPF,36,29
libr,56,48
Libra,10,7
librarian,41,24
librarysnapshot,2,2
libsoc,944,666
libstableR,7,7
LIC,5,5
lidaRtRee,58,36
lidR,1203,572
lifecontingencies,110,71
lifecourse,3,3
lifecycle,84,62
LifeHist,20,1
LifeInsuranceContracts,249,113
lifelogr,61,35
lifeR,7,5
LifeTables,53,21
lift,2,2
liftLRD,14,10
liftr,39,26
lifx,29,19
liger,7,5
lightgbm,75,53
lightr,40,20
lightsout,33,18
liGP,110,41
likelihood,36,9
likelihoodAsy,13,5
likelihoodExplore,20,2
likelihoodR,114,19
likert,47,30
lilikoi,39,25
lillies,44,20
LilRhino,24,20
LIM,114,56
lime,97,71
liminal,72,38
LimnoPalettes,2,2
limonaid,30,18
limorhyde,3,2
limorhyde2,68,33
limSolve,28,17
lin.eval,3,2
linbin,67,36
LinCal,4,4
linconGaussR,2,2
lindia,19,15
LindleyPowerSeries,30,25
linea,44,27
LinearDetect,53,16
linearModel,1,1
linearQ,1,1
LinearRegressionMDE,5,4
lineartestr,19,11
linelist,55,18
linemap,1,1
linERR,10,3
lineup,8,3
lineup2,46,19
lineupjs,5,4
lingglosses,8,6
lingmatch,53,28
lingtypology,31,27
linguisticsdown,10,9
link2GI,42,29
LinkageMapView,14,11
linkcomm,59,38
LinkedGASP,30,3
LinkedMatrix,104,40
linkprediction,24,24
linkspotter,66,20
linl,5,3
linne,26,22
linpk,26,20
linprog,6,5
LinRegInteractive,18,6
LINselect,25,11
lintools,35,29
lintr,507,232
LipidMS,616,87
lipidomeR,4,2
lira,10,6
lisa,6,5
lisrelToR,10,7
list,447,122
listArray,11,6
listarrays,78,54
listcomp,12,10
listcompr,129,43
listdown,47,33
listenv,55,34
LIStest,4,2
listr,34,18
listviewer,11,11
lite,57,42
liteq,87,61
litRiddle,8,5
litteR,68,59
litterfitter,53,28
littler,2,2
liureg,45,23
live,25,19
livechatR,4,2
liver,19,11
ljr,9,9
LKT,80,44
llama,104,12
llbayesireg,7,5
LLM,20,13
llogistic,6,5
LLSR,223,82
lm.beta,4,4
lm.br,1,1
lmap,20,10
LMD,18,11
lmDiallel,74,42
lmds,3,2
lmeInfo,204,88
LMERConvenienceFunctions,45,19
lmeresampler,84,45
lmerTest,204,99
lmeSplines,3,3
LMest,270,98
lmf,23,11
LMfilteR,13,8
lmfor,141,94
lmForc,16,1
lmls,62,38
lmmot,11,7
lmmpar,3,1
LMMsolver,60,24
LMMstar,88,22
LMN,16,12
LMoFit,210,77
lmom,165,78
lmomco,639,148
Lmoments,45,30
lmomRFA,66,30
lmPerm,28,12
lmQCM,7,6
lmreg,3,1
lmridge,62,29
lmSubsets,225,79
lmtest,79,47
lmtp,152,71
lmvar,206,54
lmviz,5,5
lncDIFF,11,4
LncFinder,82,28
LncPath,25,14
LNIRT,75,59
lnmCluster,43,24
loa,991,107
loadflux,7,5
loadings,18,13
loadr,6,4
loadshaper,10,10
LoBrA,18,13
lobstr,85,56
LocalControl,19,12
localFDA,5,3
localgauss,4,4
localIV,28,7
localModel,26,19
localScore,31,25
localsolver,32,23
locatexec,45,33
locationgamer,9,9
locfdr,5,3
locfit,63,15
locits,34,13
LocKer,16,10
locpol,167,59
locpolExpectile,23,13
locStra,64,58
LOCUS,26,13
loder,6,6
lodGWAS,10,8
lodi,36,10
lodr,12,9
loe,34,7
loewesadditivity,10,7
log,13,5
log4r,38,23
LOGAN,13,13
LOGANTree,17,13
logbin,104,34
LogConcDEAD,8,5
logconcens,69,17
logcondens,131,45
logcondiscr,45,19
logger,60,35
logging,42,30
loggit,14,12
logib,21,15
logiBin,27,13
logicDT,141,78
LogicReg,24,16
logihist,8,6
logistf,115,54
logistic4p,11,7
LogisticCurveFitting,1,1
logisticPCA,34,19
LogisticRCI,5,5
logisticRR,12,8
logitFD,4,4
logitnorm,39,15
logitr,224,132
logKDE,21,17
loglognorm,8,6
logmult,256,105
lognorm,22,15
logNormReg,21,14
logOfGamma,1,1
logr,17,12
LogRegEquiv,6,3
logrx,44,20
lokern,15,12
lolog,27,18
lolR,129,36
LOMAR,68,44
lomb,14,9
long2lstmarray,6,3
LongCART,37,18
longCatEDA,19,12
LongDat,32,17
longit,75,15
longitudinal,45,23
longitudinalData,227,119
LongituRF,128,33
longmemo,39,25
LongMemoryTS,250,89
longmixr,17,7
longpower,4,2
longROC,43,14
longRPart2,34,12
longsurr,21,13
longurl,11,7
loo,382,187
lookout,31,12
lookup,1,1
lookupTable,1,1
loon,807,456
loon.data,1,1
loon.ggplot,648,239
loon.shiny,440,239
loon.tourr,127,87
LoopAnalyst,191,41
LoopDetectR,9,7
LoopRig,19,15
LOPART,4,2
lordif,23,13
lorec,1,1
lorentz,3,2
lorenz,40,23
lori,15,9
LOST,23,14
LotkasLaw,9,9
lotri,28,13
lowmemtkmeans,3,3
lowpassFilter,4,4
LowWAFOMNX,4,2
LowWAFOMSobol,4,2
LPBkg,69,13
lpc,45,24
lpcde,115,37
LPCM,75,34
lpdensity,52,18
LPDynR,35,8
LPGraph,8,5
lphom,132,66
lpint,18,7
lpirfs,94,41
LPKsample,10,6
lpl,45,23
LPM,84,45
lpme,29,8
LPmerge,3,2
LPower,9,4
LPRelevance,35,16
LPS,21,15
LPsmooth,210,35
lpSolve,2,2
lpSolveAPI,65,54
LPWC,24,9
LqG,5,3
lqmm,117,47
lqr,236,40
LRcontrast,161,21
lrd,7,3
LREP,8,3
lrequire,8,6
lrgs,11,6
lrmest,225,126
LRMF3,15,13
LRQMM,7,6
lrstat,22,20
LRTesteR,338,74
LRTH,1,1
LS2W,10,7
LS2Wstat,31,22
lsa,34,25
LSAfun,48,22
LSAmitR,3,3
