year,race,dollar_type,number,income_quintile,income_dollars
2002,Black Alone or in Combination,Current Dollars,13778000,Fourth,60441
2002,Black Alone or in Combination,Current Dollars,13778000,Top 5%,110000
2019,Black Alone,Current Dollars,17054000,Lowest,17200
2019,Black Alone,Current Dollars,17054000,Second,34800
2019,Black Alone,Current Dollars,17054000,Third,57313
2019,Black Alone,Current Dollars,17054000,Fourth,98336
2019,Black Alone,Current Dollars,17054000,Top 5%,192500
2018,Black Alone,Current Dollars,17167000,Lowest,15175
2018,Black Alone,Current Dollars,17167000,Second,31400
2018,Black Alone,Current Dollars,17167000,Third,52202
2018,Black Alone,Current Dollars,17167000,Fourth,88800
2018,Black Alone,Current Dollars,17167000,Top 5%,170563
2017,Black Alone,Current Dollars,16997000,Lowest,15000
2017,Black Alone,Current Dollars,16997000,Second,31000
2017,Black Alone,Current Dollars,16997000,Third,51043
2017,Black Alone,Current Dollars,16997000,Fourth,87626
2017,Black Alone,Current Dollars,16997000,Top 5%,165623
2016,Black Alone,Current Dollars,16733000,Lowest,14400
2016,Black Alone,Current Dollars,16733000,Second,30000
2016,Black Alone,Current Dollars,16733000,Third,50000
2016,Black Alone,Current Dollars,16733000,Fourth,85000
2016,Black Alone,Current Dollars,16733000,Top 5%,158002
2015,Black Alone,Current Dollars,16539000,Lowest,13670
2015,Black Alone,Current Dollars,16539000,Second,28153
2015,Black Alone,Current Dollars,16539000,Third,48144
2015,Black Alone,Current Dollars,16539000,Fourth,81001
2015,Black Alone,Current Dollars,16539000,Top 5%,150287
2014,Black Alone,Current Dollars,16437000,Lowest,13224
2014,Black Alone,Current Dollars,16437000,Second,27000
2014,Black Alone,Current Dollars,16437000,Third,45005
2014,Black Alone,Current Dollars,16437000,Fourth,77114
2014,Black Alone,Current Dollars,16437000,Top 5%,146947
2013,Black Alone,Current Dollars,16009000,Lowest,13000
2013,Black Alone,Current Dollars,16009000,Second,26800
2013,Black Alone,Current Dollars,16009000,Third,44566
2013,Black Alone,Current Dollars,16009000,Fourth,75608
2013,Black Alone,Current Dollars,16009000,Top 5%,144852
2012,Black Alone,Current Dollars,15872000,Lowest,12500
2012,Black Alone,Current Dollars,15872000,Second,25000
2012,Black Alone,Current Dollars,15872000,Third,43216
2012,Black Alone,Current Dollars,15872000,Fourth,73000
2012,Black Alone,Current Dollars,15872000,Top 5%,134883
2011,Black Alone,Current Dollars,15583000,Lowest,11957
2011,Black Alone,Current Dollars,15583000,Second,24483
2011,Black Alone,Current Dollars,15583000,Third,41772
2011,Black Alone,Current Dollars,15583000,Fourth,71382
2011,Black Alone,Current Dollars,15583000,Top 5%,133501
2010,Black Alone,Current Dollars,15265000,Lowest,11700
2010,Black Alone,Current Dollars,15265000,Second,24497
2010,Black Alone,Current Dollars,15265000,Third,40714
2010,Black Alone,Current Dollars,15265000,Fourth,70000
2010,Black Alone,Current Dollars,15265000,Top 5%,126055
2009,Black Alone,Current Dollars,14730000,Lowest,12785
2009,Black Alone,Current Dollars,14730000,Second,25116
2009,Black Alone,Current Dollars,14730000,Third,41943
2009,Black Alone,Current Dollars,14730000,Fourth,70006
2009,Black Alone,Current Dollars,14730000,Top 5%,125000
2008,Black Alone,Current Dollars,14595000,Lowest,13000
2008,Black Alone,Current Dollars,14595000,Second,26057
2008,Black Alone,Current Dollars,14595000,Third,42425
2008,Black Alone,Current Dollars,14595000,Fourth,70302
2008,Black Alone,Current Dollars,14595000,Top 5%,127366
2007,Black Alone,Current Dollars,14551000,Lowest,12522
2007,Black Alone,Current Dollars,14551000,Second,25860
2007,Black Alone,Current Dollars,14551000,Third,43000
2007,Black Alone,Current Dollars,14551000,Fourth,70600
2007,Black Alone,Current Dollars,14551000,Top 5%,125288
2006,Black Alone,Current Dollars,14354000,Lowest,12000
2006,Black Alone,Current Dollars,14354000,Second,25000
2006,Black Alone,Current Dollars,14354000,Third,40150
2006,Black Alone,Current Dollars,14354000,Fourth,67200
2006,Black Alone,Current Dollars,14354000,Top 5%,122489
2005,Black Alone,Current Dollars,14002000,Lowest,11604
2005,Black Alone,Current Dollars,14002000,Second,23042
2005,Black Alone,Current Dollars,14002000,Third,39610
2005,Black Alone,Current Dollars,14002000,Fourth,64010
2005,Black Alone,Current Dollars,14002000,Top 5%,117200
2004,Black Alone,Current Dollars,13809000,Lowest,11000
2004,Black Alone,Current Dollars,13809000,Second,22999
2004,Black Alone,Current Dollars,13809000,Third,37087
2004,Black Alone,Current Dollars,13809000,Fourth,62579
2004,Black Alone,Current Dollars,13809000,Top 5%,111724
2003,Black Alone,Current Dollars,13629000,Lowest,10936
2003,Black Alone,Current Dollars,13629000,Second,22580
2003,Black Alone,Current Dollars,13629000,Third,37880
2003,Black Alone,Current Dollars,13629000,Fourth,61500
2003,Black Alone,Current Dollars,13629000,Top 5%,108247
2002,Black Alone,Current Dollars,13465000,Lowest,11000
2002,Black Alone,Current Dollars,13465000,Second,22052
2002,Black Alone,Current Dollars,13465000,Third,36000
2002,Black Alone,Current Dollars,13465000,Fourth,60162
2002,Black Alone,Current Dollars,13465000,Top 5%,108656
2001,Black Alone,Current Dollars,13315000,Lowest,11100
2001,Black Alone,Current Dollars,13315000,Second,22800
2001,Black Alone,Current Dollars,13315000,Third,37000
2001,Black Alone,Current Dollars,13315000,Fourth,60115
2001,Black Alone,Current Dollars,13315000,Top 5%,102642
2000,Black Alone,Current Dollars,13174000,Lowest,11726
2000,Black Alone,Current Dollars,13174000,Second,22991
2000,Black Alone,Current Dollars,13174000,Third,37294
2000,Black Alone,Current Dollars,13174000,Fourth,59000
2000,Black Alone,Current Dollars,13174000,Top 5%,105373
1999,Black Alone,Current Dollars,12838000,Lowest,10668
1999,Black Alone,Current Dollars,12838000,Second,21747
1999,Black Alone,Current Dollars,12838000,Third,36000
1999,Black Alone,Current Dollars,12838000,Fourth,59020
1999,Black Alone,Current Dollars,12838000,Top 5%,107000
1998,Black Alone,Current Dollars,12579000,Lowest,9160
1998,Black Alone,Current Dollars,12579000,Second,19125
1998,Black Alone,Current Dollars,12579000,Third,32016
1998,Black Alone,Current Dollars,12579000,Fourth,53208
1998,Black Alone,Current Dollars,12579000,Top 5%,94390
1997,Black Alone,Current Dollars,12474000,Lowest,9260
1997,Black Alone,Current Dollars,12474000,Second,19000
1997,Black Alone,Current Dollars,12474000,Third,31300
1997,Black Alone,Current Dollars,12474000,Fourth,51117
1997,Black Alone,Current Dollars,12474000,Top 5%,87200
1996,Black Alone,Current Dollars,12109000,Lowest,8790
1996,Black Alone,Current Dollars,12109000,Second,17720
1996,Black Alone,Current Dollars,12109000,Third,30000
1996,Black Alone,Current Dollars,12109000,Fourth,49502
1996,Black Alone,Current Dollars,12109000,Top 5%,85000
1995,Black Alone,Current Dollars,11577000,Lowest,8400
1995,Black Alone,Current Dollars,11577000,Second,16900
1995,Black Alone,Current Dollars,11577000,Third,28689
1995,Black Alone,Current Dollars,11577000,Fourth,46296
1995,Black Alone,Current Dollars,11577000,Top 5%,79831
1994,Black Alone,Current Dollars,11655000,Lowest,7553
1994,Black Alone,Current Dollars,11655000,Second,15796
1994,Black Alone,Current Dollars,11655000,Third,26821
1994,Black Alone,Current Dollars,11655000,Fourth,45744
1994,Black Alone,Current Dollars,11655000,Top 5%,80766
1993,Black Alone,Current Dollars,11281000,Lowest,7160
1993,Black Alone,Current Dollars,11281000,Second,14570
1993,Black Alone,Current Dollars,11281000,Third,25000
1993,Black Alone,Current Dollars,11281000,Fourth,42000
1993,Black Alone,Current Dollars,11281000,Top 5%,75557
1992,Black Alone,Current Dollars,11269000,Lowest,6550
1992,Black Alone,Current Dollars,11269000,Second,13768
1992,Black Alone,Current Dollars,11269000,Third,24290
1992,Black Alone,Current Dollars,11269000,Fourth,40290
1992,Black Alone,Current Dollars,11269000,Top 5%,70392
1991,Black Alone,Current Dollars,11083000,Lowest,6550
1991,Black Alone,Current Dollars,11083000,Second,13964
1991,Black Alone,Current Dollars,11083000,Third,24459
1991,Black Alone,Current Dollars,11083000,Fourth,40087
1991,Black Alone,Current Dollars,11083000,Top 5%,68646
1990,Black Alone,Current Dollars,10671000,Lowest,6456
1990,Black Alone,Current Dollars,10671000,Second,13732
1990,Black Alone,Current Dollars,10671000,Third,24000
1990,Black Alone,Current Dollars,10671000,Fourth,39100
1990,Black Alone,Current Dollars,10671000,Top 5%,69265
1989,Black Alone,Current Dollars,10486000,Lowest,6306
1989,Black Alone,Current Dollars,10486000,Second,13280
1989,Black Alone,Current Dollars,10486000,Third,23015
1989,Black Alone,Current Dollars,10486000,Fourth,38000
1989,Black Alone,Current Dollars,10486000,Top 5%,65600
1988,Black Alone,Current Dollars,10561000,Lowest,5941
1988,Black Alone,Current Dollars,10561000,Second,12000
1988,Black Alone,Current Dollars,10561000,Third,21196
1988,Black Alone,Current Dollars,10561000,Fourth,36069
1988,Black Alone,Current Dollars,10561000,Top 5%,61650
1987,Black Alone,Current Dollars,10192000,Lowest,5614
1987,Black Alone,Current Dollars,10192000,Second,11600
1987,Black Alone,Current Dollars,10192000,Third,20000
1987,Black Alone,Current Dollars,10192000,Fourth,33469
1987,Black Alone,Current Dollars,10192000,Top 5%,58501
1986,Black Alone,Current Dollars,9922000,Lowest,5258
1986,Black Alone,Current Dollars,9922000,Second,11249
1986,Black Alone,Current Dollars,9922000,Third,19500
1986,Black Alone,Current Dollars,9922000,Fourth,32301
1986,Black Alone,Current Dollars,9922000,Top 5%,55202
1985,Black Alone,Current Dollars,9797000,Lowest,5484
1985,Black Alone,Current Dollars,9797000,Second,11000
1985,Black Alone,Current Dollars,9797000,Third,18576
1985,Black Alone,Current Dollars,9797000,Fourth,30727
1985,Black Alone,Current Dollars,9797000,Top 5%,52000
1984,Black Alone,Current Dollars,9480000,Lowest,5208
1984,Black Alone,Current Dollars,9480000,Second,10180
1984,Black Alone,Current Dollars,9480000,Third,17125
1984,Black Alone,Current Dollars,9480000,Fourth,28193
1984,Black Alone,Current Dollars,9480000,Top 5%,49080
1983,Black Alone,Current Dollars,9243000,Lowest,4800
1983,Black Alone,Current Dollars,9243000,Second,9360
1983,Black Alone,Current Dollars,9243000,Third,16000
1983,Black Alone,Current Dollars,9243000,Fourth,26790
1983,Black Alone,Current Dollars,9243000,Top 5%,45410
1982,Black Alone,Current Dollars,8916000,Lowest,4640
1982,Black Alone,Current Dollars,8916000,Second,9215
1982,Black Alone,Current Dollars,8916000,Third,15565
1982,Black Alone,Current Dollars,8916000,Fourth,25080
1982,Black Alone,Current Dollars,8916000,Top 5%,40520
1981,Black Alone,Current Dollars,8961000,Lowest,4500
1981,Black Alone,Current Dollars,8961000,Second,8560
1981,Black Alone,Current Dollars,8961000,Third,14372
1981,Black Alone,Current Dollars,8961000,Fourth,24060
1981,Black Alone,Current Dollars,8961000,Top 5%,39550
1980,Black Alone,Current Dollars,8847000,Lowest,4190
1980,Black Alone,Current Dollars,8847000,Second,8170
1980,Black Alone,Current Dollars,8847000,Third,13500
1980,Black Alone,Current Dollars,8847000,Fourth,22084
1980,Black Alone,Current Dollars,8847000,Top 5%,37000
1979,Black Alone,Current Dollars,8586000,Lowest,4000
1979,Black Alone,Current Dollars,8586000,Second,7708
1979,Black Alone,Current Dollars,8586000,Third,12634
1979,Black Alone,Current Dollars,8586000,Fourth,20900
1979,Black Alone,Current Dollars,8586000,Top 5%,33800
1978,Black Alone,Current Dollars,8066000,Lowest,3704
1978,Black Alone,Current Dollars,8066000,Second,7088
1978,Black Alone,Current Dollars,8066000,Third,12000
1978,Black Alone,Current Dollars,8066000,Fourth,18969
1978,Black Alone,Current Dollars,8066000,Top 5%,31500
1977,Black Alone,Current Dollars,7977000,Lowest,3488
1977,Black Alone,Current Dollars,7977000,Second,6400
1977,Black Alone,Current Dollars,7977000,Third,10484
1977,Black Alone,Current Dollars,7977000,Fourth,16964
1977,Black Alone,Current Dollars,7977000,Top 5%,28104
1976,Black Alone,Current Dollars,7776000,Lowest,3312
1976,Black Alone,Current Dollars,7776000,Second,6000
1976,Black Alone,Current Dollars,7776000,Third,10000
1976,Black Alone,Current Dollars,7776000,Fourth,16000
1976,Black Alone,Current Dollars,7776000,Top 5%,25780
1975,Black Alone,Current Dollars,7489000,Lowest,3013
1975,Black Alone,Current Dollars,7489000,Second,5600
1975,Black Alone,Current Dollars,7489000,Third,9421
1975,Black Alone,Current Dollars,7489000,Fourth,14740
1975,Black Alone,Current Dollars,7489000,Top 5%,23360
1974,Black Alone,Current Dollars,7263000,Lowest,2920
1974,Black Alone,Current Dollars,7263000,Second,5460
1974,Black Alone,Current Dollars,7263000,Third,8700
1974,Black Alone,Current Dollars,7263000,Fourth,13500
1974,Black Alone,Current Dollars,7263000,Top 5%,21756
1973,Black Alone,Current Dollars,7040000,Lowest,2767
1973,Black Alone,Current Dollars,7040000,Second,5012
1973,Black Alone,Current Dollars,7040000,Third,8060
1973,Black Alone,Current Dollars,7040000,Fourth,12755
1973,Black Alone,Current Dollars,7040000,Top 5%,20573
1972,Black Alone,Current Dollars,6809000,Lowest,2456
1972,Black Alone,Current Dollars,6809000,Second,4612
1972,Black Alone,Current Dollars,6809000,Third,7375
1972,Black Alone,Current Dollars,6809000,Fourth,11800
1972,Black Alone,Current Dollars,6809000,Top 5%,18800
1971,Black Alone,Current Dollars,6578000,Lowest,2292
1971,Black Alone,Current Dollars,6578000,Second,4329
1971,Black Alone,Current Dollars,6578000,Third,7000
1971,Black Alone,Current Dollars,6578000,Fourth,10840
1971,Black Alone,Current Dollars,6578000,Top 5%,17400
1970,Black Alone,Current Dollars,6180000,Lowest,2132
1970,Black Alone,Current Dollars,6180000,Second,4283
1970,Black Alone,Current Dollars,6180000,Third,6792
1970,Black Alone,Current Dollars,6180000,Fourth,10504
1970,Black Alone,Current Dollars,6180000,Top 5%,17048
1969,Black Alone,Current Dollars,6053000,Lowest,2059
1969,Black Alone,Current Dollars,6053000,Second,4034
1969,Black Alone,Current Dollars,6053000,Third,6359
1969,Black Alone,Current Dollars,6053000,Fourth,9684
1969,Black Alone,Current Dollars,6053000,Top 5%,15612
1968,Black Alone,Current Dollars,5870000,Lowest,1980
1968,Black Alone,Current Dollars,5870000,Second,3719
1968,Black Alone,Current Dollars,5870000,Third,5815
1968,Black Alone,Current Dollars,5870000,Fourth,9000
1968,Black Alone,Current Dollars,5870000,Top 5%,14400
1967,Black Alone,Current Dollars,5728000,Lowest,1777
1967,Black Alone,Current Dollars,5728000,Second,3300
1967,Black Alone,Current Dollars,5728000,Third,5250
1967,Black Alone,Current Dollars,5728000,Fourth,8080
1967,Black Alone,Current Dollars,5728000,Top 5%,13470
2019,Black Alone or in Combination,2019 Dollars,18055000,Lowest,17401
2019,Black Alone or in Combination,2019 Dollars,18055000,Second,35000
2019,Black Alone or in Combination,2019 Dollars,18055000,Third,58469
2019,Black Alone or in Combination,2019 Dollars,18055000,Fourth,100000
2019,Black Alone or in Combination,2019 Dollars,18055000,Top 5%,198194
2018,Black Alone or in Combination,2019 Dollars,18095000,Lowest,15883
2018,Black Alone or in Combination,2019 Dollars,18095000,Second,32376
2018,Black Alone or in Combination,2019 Dollars,18095000,Third,53960
2018,Black Alone or in Combination,2019 Dollars,18095000,Fourth,91150
2018,Black Alone or in Combination,2019 Dollars,18095000,Top 5%,175228
2017,Black Alone or in Combination,2019 Dollars,17801000,Lowest,15644
2017,Black Alone or in Combination,2019 Dollars,17801000,Second,32524
2017,Black Alone or in Combination,2019 Dollars,17801000,Third,54233
2017,Black Alone or in Combination,2019 Dollars,17801000,Fourth,92164
2017,Black Alone or in Combination,2019 Dollars,17801000,Top 5%,173534
2016,Black Alone or in Combination,2019 Dollars,17505000,Lowest,15695
2016,Black Alone or in Combination,2019 Dollars,17505000,Second,31965
2016,Black Alone or in Combination,2019 Dollars,17505000,Third,53366
2016,Black Alone or in Combination,2019 Dollars,17505000,Fourth,90893
2016,Black Alone or in Combination,2019 Dollars,17505000,Top 5%,170056
2015,Black Alone or in Combination,2019 Dollars,17322000,Lowest,14892
2015,Black Alone or in Combination,2019 Dollars,17322000,Second,30862
2015,Black Alone or in Combination,2019 Dollars,17322000,Third,52585
2015,Black Alone or in Combination,2019 Dollars,17322000,Fourth,88103
2015,Black Alone or in Combination,2019 Dollars,17322000,Top 5%,162496
2014,Black Alone or in Combination,2019 Dollars,17198000,Lowest,14333
2014,Black Alone or in Combination,2019 Dollars,17198000,Second,29316
2014,Black Alone or in Combination,2019 Dollars,17198000,Third,48705
2014,Black Alone or in Combination,2019 Dollars,17198000,Fourth,84186
2014,Black Alone or in Combination,2019 Dollars,17198000,Top 5%,159983
2013,Black Alone or in Combination,2019 Dollars,16723000,Lowest,14546
2013,Black Alone or in Combination,2019 Dollars,16723000,Second,30011
2013,Black Alone or in Combination,2019 Dollars,16723000,Third,49467
2013,Black Alone or in Combination,2019 Dollars,16723000,Fourth,84644
2013,Black Alone or in Combination,2019 Dollars,16723000,Top 5%,164006
2012,Black Alone or in Combination,2019 Dollars,16559000,Lowest,14041
2012,Black Alone or in Combination,2019 Dollars,16559000,Second,27897
2012,Black Alone or in Combination,2019 Dollars,16559000,Third,48842
2012,Black Alone or in Combination,2019 Dollars,16559000,Fourth,82551
2012,Black Alone or in Combination,2019 Dollars,16559000,Top 5%,151495
2011,Black Alone or in Combination,2019 Dollars,16165000,Lowest,13670
2011,Black Alone or in Combination,2019 Dollars,16165000,Second,28172
2011,Black Alone or in Combination,2019 Dollars,16165000,Third,47846
2011,Black Alone or in Combination,2019 Dollars,16165000,Fourth,81853
2011,Black Alone or in Combination,2019 Dollars,16165000,Top 5%,152908
2010,Black Alone or in Combination,2019 Dollars,15909000,Lowest,13866
2010,Black Alone or in Combination,2019 Dollars,15909000,Second,29025
2010,Black Alone or in Combination,2019 Dollars,15909000,Third,48120
2010,Black Alone or in Combination,2019 Dollars,15909000,Fourth,82257
2010,Black Alone or in Combination,2019 Dollars,15909000,Top 5%,150812
2009,Black Alone or in Combination,2019 Dollars,15212000,Lowest,15302
2009,Black Alone or in Combination,2019 Dollars,15212000,Second,30101
2009,Black Alone or in Combination,2019 Dollars,15212000,Third,50168
2009,Black Alone or in Combination,2019 Dollars,15212000,Fourth,83750
2009,Black Alone or in Combination,2019 Dollars,15212000,Top 5%,150863
2008,Black Alone or in Combination,2019 Dollars,15056000,Lowest,15474
2008,Black Alone or in Combination,2019 Dollars,15056000,Second,31187
2008,Black Alone or in Combination,2019 Dollars,15056000,Third,50755
2008,Black Alone or in Combination,2019 Dollars,15056000,Fourth,84289
2008,Black Alone or in Combination,2019 Dollars,15056000,Top 5%,151844
2007,Black Alone or in Combination,2019 Dollars,14976000,Lowest,15480
2007,Black Alone or in Combination,2019 Dollars,14976000,Second,32137
2007,Black Alone or in Combination,2019 Dollars,14976000,Third,53156
2007,Black Alone or in Combination,2019 Dollars,14976000,Fourth,87759
2007,Black Alone or in Combination,2019 Dollars,14976000,Top 5%,156236
2006,Black Alone or in Combination,2019 Dollars,14709000,Lowest,15429
2006,Black Alone or in Combination,2019 Dollars,14709000,Second,31778
2006,Black Alone or in Combination,2019 Dollars,14709000,Third,51480
2006,Black Alone or in Combination,2019 Dollars,14709000,Fourth,85926
2006,Black Alone or in Combination,2019 Dollars,14709000,Top 5%,156930
2005,Black Alone or in Combination,2019 Dollars,14399000,Lowest,15294
2005,Black Alone or in Combination,2019 Dollars,14399000,Second,30301
2005,Black Alone or in Combination,2019 Dollars,14399000,Third,52419
2005,Black Alone or in Combination,2019 Dollars,14399000,Fourth,84377
2005,Black Alone or in Combination,2019 Dollars,14399000,Top 5%,154795
2004,Black Alone or in Combination,2019 Dollars,14151000,Lowest,14924
2004,Black Alone or in Combination,2019 Dollars,14151000,Second,31205
2004,Black Alone or in Combination,2019 Dollars,14151000,Third,50897
2004,Black Alone or in Combination,2019 Dollars,14151000,Fourth,85223
2004,Black Alone or in Combination,2019 Dollars,14151000,Top 5%,151848
2003,Black Alone or in Combination,2019 Dollars,13969000,Lowest,15328
2003,Black Alone or in Combination,2019 Dollars,13969000,Second,31617
2003,Black Alone or in Combination,2019 Dollars,13969000,Third,52950
2003,Black Alone or in Combination,2019 Dollars,13969000,Fourth,86146
2003,Black Alone or in Combination,2019 Dollars,13969000,Top 5%,152088
2002,Black Alone or in Combination,2019 Dollars,13778000,Lowest,15676
2002,Black Alone or in Combination,2019 Dollars,13778000,Second,31745
2002,Black Alone or in Combination,2019 Dollars,13778000,Third,51302
2002,Black Alone or in Combination,2019 Dollars,13778000,Fourth,86132
2002,Black Alone or in Combination,2019 Dollars,13778000,Top 5%,156756
2019,Black Alone,2019 Dollars,17054000,Lowest,17200
2019,Black Alone,2019 Dollars,17054000,Second,34800
2019,Black Alone,2019 Dollars,17054000,Third,57313
2019,Black Alone,2019 Dollars,17054000,Fourth,98336
2019,Black Alone,2019 Dollars,17054000,Top 5%,192500
2018,Black Alone,2019 Dollars,17167000,Lowest,15450
2018,Black Alone,2019 Dollars,17167000,Second,31969
2018,Black Alone,2019 Dollars,17167000,Third,53148
2018,Black Alone,2019 Dollars,17167000,Fourth,90409
2018,Black Alone,2019 Dollars,17167000,Top 5%,173653
2017,Black Alone,2019 Dollars,16997000,Lowest,15644
2017,Black Alone,2019 Dollars,16997000,Second,32331
2017,Black Alone,2019 Dollars,16997000,Third,53235
2017,Black Alone,2019 Dollars,16997000,Fourth,91388
2017,Black Alone,2019 Dollars,16997000,Top 5%,172734
2016,Black Alone,2019 Dollars,16733000,Lowest,15341
2016,Black Alone,2019 Dollars,16733000,Second,31961
2016,Black Alone,2019 Dollars,16733000,Third,53268
2016,Black Alone,2019 Dollars,16733000,Fourth,90556
2016,Black Alone,2019 Dollars,16733000,Top 5%,168330
2015,Black Alone,2019 Dollars,16539000,Lowest,14751
2015,Black Alone,2019 Dollars,16539000,Second,30380
2015,Black Alone,2019 Dollars,16539000,Third,51952
2015,Black Alone,2019 Dollars,16539000,Fourth,87409
2015,Black Alone,2019 Dollars,16539000,Top 5%,162176
2014,Black Alone,2019 Dollars,16437000,Lowest,14295
2014,Black Alone,2019 Dollars,16437000,Second,29186
2014,Black Alone,2019 Dollars,16437000,Third,48649
2014,Black Alone,2019 Dollars,16437000,Fourth,83358
2014,Black Alone,2019 Dollars,16437000,Top 5%,158845
2013,Black Alone,2019 Dollars,16009000,Lowest,14291
2013,Black Alone,2019 Dollars,16009000,Second,29460
2013,Black Alone,2019 Dollars,16009000,Third,48990
2013,Black Alone,2019 Dollars,16009000,Fourth,83114
2013,Black Alone,2019 Dollars,16009000,Top 5%,159231
2012,Black Alone,2019 Dollars,15872000,Lowest,13944
2012,Black Alone,2019 Dollars,15872000,Second,27889
2012,Black Alone,2019 Dollars,15872000,Third,48210
2012,Black Alone,2019 Dollars,15872000,Fourth,81436
2012,Black Alone,2019 Dollars,15872000,Top 5%,150469
2011,Black Alone,2019 Dollars,15583000,Lowest,13621
2011,Black Alone,2019 Dollars,15583000,Second,27891
2011,Black Alone,2019 Dollars,15583000,Third,47586
2011,Black Alone,2019 Dollars,15583000,Fourth,81317
2011,Black Alone,2019 Dollars,15583000,Top 5%,152082
2010,Black Alone,2019 Dollars,15265000,Lowest,13749
2010,Black Alone,2019 Dollars,15265000,Second,28786
2010,Black Alone,2019 Dollars,15265000,Third,47843
2010,Black Alone,2019 Dollars,15265000,Fourth,82257
2010,Black Alone,2019 Dollars,15265000,Top 5%,148126
2009,Black Alone,2019 Dollars,14730000,Lowest,15271
2009,Black Alone,2019 Dollars,14730000,Second,30001
2009,Black Alone,2019 Dollars,14730000,Third,50100
2009,Black Alone,2019 Dollars,14730000,Fourth,83621
2009,Black Alone,2019 Dollars,14730000,Top 5%,149310
2008,Black Alone,2019 Dollars,14595000,Lowest,15474
2008,Black Alone,2019 Dollars,14595000,Second,31016
2008,Black Alone,2019 Dollars,14595000,Third,50500
2008,Black Alone,2019 Dollars,14595000,Fourth,83682
2008,Black Alone,2019 Dollars,14595000,Top 5%,151607
2007,Black Alone,2019 Dollars,14551000,Lowest,15478
2007,Black Alone,2019 Dollars,14551000,Second,31964
2007,Black Alone,2019 Dollars,14551000,Third,53150
2007,Black Alone,2019 Dollars,14551000,Fourth,87265
2007,Black Alone,2019 Dollars,14551000,Top 5%,154862
2006,Black Alone,2019 Dollars,14354000,Lowest,15253
2006,Black Alone,2019 Dollars,14354000,Second,31778
2006,Black Alone,2019 Dollars,14354000,Third,51035
2006,Black Alone,2019 Dollars,14354000,Fourth,85418
2006,Black Alone,2019 Dollars,14354000,Top 5%,155696
2005,Black Alone,2019 Dollars,14002000,Lowest,15228
2005,Black Alone,2019 Dollars,14002000,Second,30238
2005,Black Alone,2019 Dollars,14002000,Third,51980
2005,Black Alone,2019 Dollars,14002000,Fourth,84001
2005,Black Alone,2019 Dollars,14002000,Top 5%,153802
2004,Black Alone,2019 Dollars,13809000,Lowest,14924
2004,Black Alone,2019 Dollars,13809000,Second,31204
2004,Black Alone,2019 Dollars,13809000,Third,50318
2004,Black Alone,2019 Dollars,13809000,Fourth,84904
2004,Black Alone,2019 Dollars,13809000,Top 5%,151582
2003,Black Alone,2019 Dollars,13629000,Lowest,15238
2003,Black Alone,2019 Dollars,13629000,Second,31463
2003,Black Alone,2019 Dollars,13629000,Third,52782
2003,Black Alone,2019 Dollars,13629000,Fourth,85695
2003,Black Alone,2019 Dollars,13629000,Top 5%,150833
2002,Black Alone,2019 Dollars,13465000,Lowest,15676
2002,Black Alone,2019 Dollars,13465000,Second,31425
2002,Black Alone,2019 Dollars,13465000,Third,51302
2002,Black Alone,2019 Dollars,13465000,Fourth,85734
2002,Black Alone,2019 Dollars,13465000,Top 5%,154841
2001,Black Alone,2019 Dollars,13315000,Lowest,16067
2001,Black Alone,2019 Dollars,13315000,Second,33003
2001,Black Alone,2019 Dollars,13315000,Third,53558
2001,Black Alone,2019 Dollars,13315000,Fourth,87018
2001,Black Alone,2019 Dollars,13315000,Top 5%,148576
2000,Black Alone,2019 Dollars,13174000,Lowest,17457
2000,Black Alone,2019 Dollars,13174000,Second,34227
2000,Black Alone,2019 Dollars,13174000,Third,55521
2000,Black Alone,2019 Dollars,13174000,Fourth,87835
2000,Black Alone,2019 Dollars,13174000,Top 5%,156872
1999,Black Alone,2019 Dollars,12838000,Lowest,16421
1999,Black Alone,2019 Dollars,12838000,Second,33474
1999,Black Alone,2019 Dollars,12838000,Third,55413
1999,Black Alone,2019 Dollars,12838000,Fourth,90846
1999,Black Alone,2019 Dollars,12838000,Top 5%,164700
1998,Black Alone,2019 Dollars,12579000,Lowest,14400
1998,Black Alone,2019 Dollars,12579000,Second,30065
1998,Black Alone,2019 Dollars,12579000,Third,50330
1998,Black Alone,2019 Dollars,12579000,Fourth,83644
1998,Black Alone,2019 Dollars,12579000,Top 5%,148383
1997,Black Alone,2019 Dollars,12474000,Lowest,14754
1997,Black Alone,2019 Dollars,12474000,Second,30273
1997,Black Alone,2019 Dollars,12474000,Third,49871
1997,Black Alone,2019 Dollars,12474000,Fourth,81445
1997,Black Alone,2019 Dollars,12474000,Top 5%,138937
1996,Black Alone,2019 Dollars,12109000,Lowest,14308
1996,Black Alone,2019 Dollars,12109000,Second,28844
1996,Black Alone,2019 Dollars,12109000,Third,48833
1996,Black Alone,2019 Dollars,12109000,Fourth,80577
1996,Black Alone,2019 Dollars,12109000,Top 5%,138359
1995,Black Alone,2019 Dollars,11577000,Lowest,14037
1995,Black Alone,2019 Dollars,11577000,Second,28242
1995,Black Alone,2019 Dollars,11577000,Third,47942
1995,Black Alone,2019 Dollars,11577000,Fourth,77365
1995,Black Alone,2019 Dollars,11577000,Top 5%,133406
1994,Black Alone,2019 Dollars,11655000,Lowest,12926
1994,Black Alone,2019 Dollars,11655000,Second,27033
1994,Black Alone,2019 Dollars,11655000,Third,45900
