movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",11,2,Gene Kelly,Jean Hagen,man,woman,1912-08-23,1923-08-03,40,29
Skyfall,2012,Sam Mendes,11,2,Daniel Craig,Berenice Marlohe,man,woman,1968-03-02,1979-05-19,44,33
Smart People,2008,Noam Murro,11,1,Dennis Quaid,Sarah Jessica Parker,man,woman,1954-04-09,1965-03-25,54,43
Solo: A Star Wars Story,2018,Ron Howard,11,1,Woody Harrelson,Thandie Newton,man,woman,1961-07-23,1972-11-06,57,46
Stoker,2013,Park Chan-wook,11,1,Matthew Goode,Mia Wasikowska,man,woman,1978-04-03,1989-10-14,35,24
Sweet November,2001,Pat O'Connor,11,1,Keanu Reeves,Charlize Theron,man,woman,1964-09-02,1975-08-07,37,26
The Big Lebowski,1998,Joel Coen,11,2,Jeff Bridges,Julianne Moore,man,woman,1949-12-04,1960-12-03,49,38
The Decoy Bride,2011,Sheree Folkson,11,1,David Tennant,Alice Eve,man,woman,1971-04-18,1982-02-06,40,29
The Devil’s Advocate,1997,Taylor Hackford,11,1,Keanu Reeves,Charlize Theron,man,woman,1964-09-02,1975-08-07,33,22
The Family Stone,2007,Thomas Bezucha,11,2,Jamie Kaler,Elizabeth Reaser,man,woman,1964-09-14,1975-06-15,43,32
The Fast and the Furious,2001,Rob Cohen,11,1,Vin Diesel,Michelle Rodriguez,man,woman,1967-07-18,1978-07-12,34,23
The Good Girl,2002,Miguel Arteta,11,1,Jennifer Aniston,Jake Gyllenhaal,woman,man,1969-02-11,1980-12-19,33,22
The Great Gatsby,2013,Baz Luhrmann,11,1,Leonardo DiCaprio,Carey Mulligan,man,woman,1974-11-11,1985-05-28,39,28
The Heartbreak Kid,2007,"Bobby Farrelly, Peter Farrelly",11,2,Ben Stiller,Michelle Monaghan,man,woman,1965-11-30,1976-03-23,42,31
The Invention of Lying,2009,"Ricky Gervais, Matthew Robinson",11,1,Ricky Gervais,Jennifer Garner,man,woman,1961-06-25,1972-04-17,48,37
The Light Between Oceans,2016,Derek Cianfrance,11,1,Michael Fassbender,Alicia Vikander,man,woman,1977-04-02,1988-10-03,39,28
The Thomas Crown Affair,1968,Norman Jewison,11,1,Steve McQueen,Faye Dunaway,man,woman,1930-03-24,1941-01-14,38,27
The Wolf of Wall Street,2013,Martin Scorsese,11,2,Leonardo DiCaprio,Cristin Milioti,man,woman,1974-11-11,1985-08-16,39,28
Thunderball,1965,Terence Young,11,2,Sean Connery,Claudine Auger,man,woman,1930-08-25,1941-04-26,35,24
Tomorrow Never Dies,1997,Roger Spottiswoode,11,3,Pierce Brosnan,Teri Hatcher,man,woman,1953-05-16,1964-12-08,44,33
Trainwreck,2015,Judd Apatow,11,1,Mike Birbiglia,Brie Larson,man,woman,1978-06-20,1989-10-01,37,26
While You Were Sleeping,1995,Jon Turteltaub,11,1,Bill Pullman,Sandra Bullock,man,woman,1953-12-17,1964-07-26,42,31
Wimbledon,2004,Richard Loncraine,11,1,Paul Bettany,Kirsten Dunst,man,woman,1971-05-27,1982-04-30,33,22
Win a Date with Tad Hamilton!,2004,Robert Luketic,11,1,Josh Duhamel,Kate Bosworth,man,woman,1972-11-14,1983-01-02,32,21
Year One,2009,Harold Ramis,11,1,Jack Black,June Diane Raphael,man,woman,1969-08-28,1980-01-04,40,29
You Only Live Twice,1967,Lewis Gilbert,11,2,Sean Connery,Akiko Wakabayashi,man,woman,1930-08-25,1941-08-26,37,26
Zombieland: Double Tap,2019,Ruben Fleischer,11,2,Jesse Eisenberg,Zoey Deutch,man,woman,1983-10-05,1994-11-10,36,25
27 Dresses,2008,Anne Fletcher,10,1,Edward Burns,Malin Akerman,man,woman,1968-01-29,1978-05-12,40,30
Ant-Man,2015,Peyton Reed,10,1,Paul Rudd,Evangeline Lilly,man,woman,1969-04-06,1979-08-03,46,36
Bedtime Stories,2008,Adam Shankman,10,1,Adam Sandler,Keri Russell,man,woman,1966-09-09,1976-03-23,42,32
Big Daddy,1999,Dennis Dugan,10,1,Jon Stewart,Leslie Mann,man,woman,1962-11-28,1972-03-26,37,27
Braveheart,1995,Mel Gibson,10,1,Mel Gibson,Sophie Marceau,man,woman,1956-01-03,1966-11-17,39,29
Daddy's Home,2015,Sean Anders,10,1,Mark Wahlberg,Alessandra Ambrosio,man,woman,1971-06-05,1981-04-11,44,34
Death to Smoochy,2002,Danny DeVito,10,1,Catherine Keener,Edward Norton,woman,man,1959-03-23,1969-08-18,43,33
Diamonds Are Forever,1971,Guy Hamilton,10,1,Sean Connery,Jill St. John,man,woman,1930-08-25,1940-08-19,41,31
Django Unchained,2012,Quentin Tarantino,10,1,Jamie Foxx,Kerry Washington,man,woman,1967-12-13,1977-01-31,45,35
EDtv,1999,Ron Howard,10,1,Woody Harrelson,Jenna Elfman,man,woman,1961-07-23,1971-09-30,38,28
Ever After,1998,Andy Tennant,10,1,Dougray Scott,Drew Barrymore,man,woman,1965-11-26,1975-02-22,33,23
Forrest Gump,1994,Robert Zemeckis,10,1,Tom Hanks,Robin Wright,man,woman,1956-07-09,1966-04-08,38,28
Ghost,1990,Jerry Zucker,10,1,Patrick Swayze,Demi Moore,man,woman,1952-08-18,1962-11-11,38,28
Ghost Rider,2007,Mark Steven Johnson,10,1,Nicolas Cage,Eva Mendes,man,woman,1964-01-07,1974-03-05,43,33
Girl with a Pearl Earring,2003,Peter Webber,10,1,Colin Firth,Essie Davis,man,woman,1960-09-10,1970-11-30,43,33
High School High,1996,Hart Bochner,10,1,Jon Lovitz,Tia Carrere,man,woman,1957-07-21,1967-01-02,39,29
How to Lose a Guy in 10 Days,2003,Donald Petrie,10,1,Matthew McConaughey,Kate Hudson,man,woman,1969-11-04,1979-04-19,34,24
Husbands and Wives,1992,Woody Allen,10,3,Woody Allen,Mia Farrow,man,woman,1935-12-01,1945-02-09,57,47
Little Black Book,2004,Nick Hurran,10,1,Ron Livingston,Brittany Murphy,man,woman,1967-06-05,1977-11-10,37,27
Made of Honor,2008,Paul Weiland,10,1,Patrick Dempsey,Michelle Monaghan,man,woman,1966-01-13,1976-03-23,42,32
Man of Steel,2013,Zack Snyder,10,1,Kevin Costner,Diane Lane,man,woman,1955-01-18,1965-01-21,58,48
Nightmare Alley,2021,Guillermo del Toro,10,1,Bradley Cooper,Rooney Mara,man,woman,1975-01-05,1985-04-17,46,36
Prima della rivoluzione,1964,Michelangelo Antonioni,10,1,Adriana Asti,Francesco Barilli,woman,man,1933-04-30,1943-02-04,31,21
Pulp Fiction,1994,Quentin Tarantino,10,1,Bruce Willis,Maria de Medeiros,man,woman,1955-03-19,1965-08-19,39,29
Rebecca,1940,Alfred Hitchcock,10,1,Laurence Olivier,Jane Fontaine,man,woman,1907-05-22,1917-10-22,33,23
Return to Me,2000,Bonnie Hunt,10,1,David Duchovny,Minnie Driver,man,woman,1960-08-07,1970-01-31,40,30
Smokey and the Bandit,1977,Hal Needham,10,1,Burt Reynolds,Sally Field,man,woman,1936-02-11,1946-11-06,41,31
Snowden,2016,Oliver Stone,10,1,Joseph Gordon-Levitt,Shailene Woodley,man,woman,1981-02-17,1991-11-15,35,25
Spanglish,2004,James L. Brooks,10,1,Adam Sandler,Paz Vega,man,woman,1966-09-09,1976-01-02,38,28
Stranger Than Fiction,2006,Marc Forster,10,1,Will Ferrell,Maggie Gyllenhaal,man,woman,1967-07-16,1977-11-16,39,29
Sweet Home Alabama,2002,Andy Tennant,10,1,Patrick Dempsey,Reese Witherspoon,man,woman,1966-01-13,1976-03-21,36,26
Thank You for Smoking,2006,Jason Reitman,10,1,Aaron Eckhart,Katie Holmes,man,woman,1968-03-12,1978-12-18,38,28
The Aviator,2004,Martin Scorsese,10,1,Leonardo DiCaprio,Kelli Garner,man,woman,1974-11-11,1984-04-11,30,20
The Best Little Whorehouse in Texas,1982,Colin Higgins,10,1,Burt Reynolds,Dolly Parton,man,woman,1936-02-11,1946-01-19,46,36
The Cable Guy,1996,Ben Stiller,10,1,Matthew Broderick,Leslie Mann,man,woman,1962-03-21,1972-03-26,34,24
The Gift,2000,Sam Raimi,10,3,Keanu Reeves,Hilary Swank,man,woman,1964-09-02,1974-07-30,36,26
The Mask,1994,Chuck Russell,10,1,Jim Carrey,Cameron Diaz,man,woman,1962-01-17,1972-08-30,32,22
The Next Three Days,2010,Paul Haggis,10,1,Russell Crowe,Elizabeth Banks,man,woman,1964-04-07,1974-02-10,46,36
The Normal Heart,2014,Ryan Murphy,10,1,Mark Ruffalo,Matt Bomer,man,man,1967-11-22,1977-10-11,47,37
The Nutty Professor,1996,Tom Shadyac,10,1,Eddie Murphy,Jada Pinkett,man,woman,1961-04-03,1971-09-18,35,25
The Prestige,2006,Christopher Nolan,10,2,Christian Bale,Scarlett Johansson,man,woman,1974-01-30,1984-11-22,32,22
The Time Traveler's Wife,2009,Robert Schwentke,10,1,Eric Bana,Rachel McAdams,man,woman,1968-08-09,1978-11-17,41,31
Water for Elephants,2011,Francis Lawrence,10,2,Reese Witherspoon,Robert Pattinson,woman,man,1976-03-21,1986-05-13,35,25
Wedding Crashers,2005,David Dobkin,10,1,Owen Wilson,Rachel McAdams,man,woman,1968-11-18,1978-11-17,37,27
What's Eating Gilbert Grape,1993,Lasse Hallström,10,1,Johnny Depp,Juliette Lewis,man,woman,1963-06-09,1973-06-21,30,20
42,2013,Brian Helgeland,9,1,Chadwick Boseman,Nicole Beharie,man,woman,1976-11-29,1985-01-03,37,28
50 First Dates,2004,Peter Segal,9,1,Adam Sandler,Drew Barrymore,man,woman,1966-09-09,1975-02-22,38,29
A History of Violence,2005,David Cronenberg,9,1,Viggo Mortensen,Maria Bello,man,woman,1958-10-20,1967-04-18,47,38
A Star Is Born,1937,William A. Wellman,9,3,Fredric March,Janet Gaynor,man,woman,1897-08-31,1906-10-06,40,31
Accepted,2006,Steve Pink,9,1,Justin Long,Blake Lively,man,woman,1978-06-02,1987-08-25,28,19
Amelie,2001,Jean-Pierre Jeunet,9,1,Mathieu Kassovitz,Audrey Tautou,man,woman,1967-08-03,1976-08-09,34,25
Body of Lies,2008,Ridley Scott,9,1,Leonardo DiCaprio,Golshifteh Farahani,man,woman,1974-11-11,1983-07-10,34,25
Boogie Nights,1997,Paul Thomas Anderson,9,2,William H. Macy,Nina Hartley,man,woman,1950-03-13,1959-03-11,47,38
Bridget Jones's Baby,2016,Sharon Maguire,9,1,Colin Firth,Renee Zellweger,man,woman,1960-09-10,1969-04-25,56,47
Bridget Jones's Diary,2001,Sharon Maguire,9,2,Hugh Grant,Renee Zellweger,man,woman,1960-09-09,1969-04-25,41,32
Bridget Jones's Diary,2001,Sharon Maguire,9,1,Colin Firth,Renee Zellweger,man,woman,1960-09-10,1969-04-25,41,32
Bull Durham,1988,Ron Shelton,9,1,Susan Sarandon,Kevin Costner,woman,man,1946-10-04,1955-01-18,42,33
Call Me by Your Name,2017,Luca Guadagnino,9,1,Armie Hammer,Timothée Chalamet,man,man,1986-08-28,1995-12-27,31,22
Closer,2004,Mike Nichols,9,2,Jude Law,Natalie Portman,man,woman,1972-12-29,1981-06-09,32,23
Crank,2006,"Mark Neveldine, Brian Taylor",9,1,Jason Statham,Amy Smart,man,woman,1967-07-26,1976-03-26,39,30
Crazy Rich Asians,2018,Jon M. Chu,9,1,Pierre Png,Gemma Chan,man,woman,1973-10-29,1982-11-29,45,36
Don't Mess with the Zohan,2008,Dennis Dugan,9,1,Adam Sandler,Emmanuelle Chriqui,man,woman,1966-09-09,1975-12-10,42,33
Everything Everywhere All at Once,2022,"Dan Kwan, Daniel Scheinert",9,1,Michelle Yeoh,Ke Huy Quan,woman,man,1962-08-06,1971-08-20,60,51
He's Just Not That Into You,2009,Ken Kwapis,9,1,Bradley Cooper,Scarlett Johansson,man,woman,1975-01-05,1984-11-22,34,25
Heartbreakers,2001,David Mirkin,9,1,Jason Lee,Jennifer Love Hewitt,man,woman,1970-04-25,1979-02-21,31,22
Heat,1995,Michael Mann,9,3,Val Kilmer,Ashley Judd,man,woman,1959-12-31,1968-04-19,36,27
I Love You Phillip Morris,2009,"Glenn Ficarra, John Requa",9,1,Jim Carrey,Ewan McGregor,man,man,1962-01-17,1971-03-31,47,38
It's Complicated,2009,Nancy Meyers,9,2,Meryl Streep,Alec Baldwin,woman,man,1949-06-22,1958-04-03,60,51
Just Like Heaven,2005,Mark Waters,9,1,Mark Ruffalo,Reese Witherspoon,man,woman,1967-11-22,1976-03-21,38,29
Last Night,2010,Massy Tadjedin,9,2,Sam Worthington,Keira Knightley,man,woman,1976-08-02,1985-03-26,34,25
Love Stinks,1999,Jeff Franklin,9,1,French Stewart,Bridgette Wilson,man,woman,1964-02-20,1973-09-25,35,26
Man of Steel,2013,Zack Snyder,9,2,Amy Adams,Henry Cavill,woman,man,1974-08-20,1983-05-05,39,30
Mona Lisa Smile,2003,Mike Newell,9,1,Jordan Bridges,Kirsten Dunst,man,woman,1973-11-13,1982-04-30,30,21
My Best Friend's Wedding,1997,P.J. Hogan,9,1,Dermot Mulroney,Cameron Diaz,man,woman,1963-10-31,1972-08-30,34,25
Pusher,1996,Nicolas Winding Refn,9,1,Kim Bodnia,Laura Drasbæk,man,woman,1965-04-12,1974-12-22,31,22
Pushing Tin,1999,Mike Newell,9,3,John Cusack,Angelina Jolie,man,woman,1966-06-28,1975-06-04,33,24
RED,2010,Robert Schwentke,9,1,Bruce Willis,Mary-Louise Parker,man,woman,1955-03-19,1964-08-02,55,46
Raiders of the Lost Ark,1981,Steven Spielberg,9,1,Harrison Ford,Karen Allen,man,woman,1942-07-13,1951-10-05,39,30
Seven,1995,David Fincher,9,1,Brad Pitt,Gwyneth Paltrow,man,woman,1963-12-18,1972-09-27,32,23
Something's Gotta Give,2003,Nancy Meyers,9,3,Jack Nicholson,Diane Keaton,man,woman,1937-04-22,1946-01-05,66,57
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,9,1,John C. Reilly,Leslie Bibb,man,woman,1965-05-24,1974-11-17,41,32
The Count of Monte Cristo,2002,Kevin Reynolds,9,1,Guy Pearce,Dagmara Dominczyk,man,woman,1967-10-05,1976-07-17,35,26
The Fabulous Baker Boys,1989,Steve Kloves,9,1,Jeff Bridges,Michelle Pfeiffer,man,woman,1949-12-04,1958-04-29,40,31
The Girl on the Train,2016,Tate Taylor,9,4,Luke Evans,Haley Bennett,man,woman,1979-04-15,1988-01-07,37,28
The Good Shepherd,2006,Robert De Niro,9,1,Martina Gedeck,Matt Damon,woman,man,1961-09-14,1970-10-08,45,36
The Great Gatsby,1974,Jack Clayton,9,2,Robert Redford,Mia Farrow,man,woman,1936-08-18,1945-02-09,38,29
The Greatest Showman,2017,Michael Gracey,9,2,Zac Efron,Zendaya,man,woman,1987-10-18,1996-09-01,30,21
The Happening,2008,M. Night Shyamalan,9,1,Mark Wahlberg,Zooey Deschanel,man,woman,1971-06-05,1980-01-17,37,28
The Mask of Zorro,1998,Martin Campbell,9,1,Antonio Banderas,Catherine Zeta-Jones,man,woman,1960-08-10,1969-09-25,38,29
The Other Woman,2014,Nick Cassavetes,9,2,Cameron Diaz,Taylor Kinney,woman,man,1972-08-30,1981-07-15,42,33
The Wedding Singer,1998,Frank Coraci,9,1,Adam Sandler,Drew Barrymore,man,woman,1966-09-09,1975-02-22,32,23
Tomorrow Never Dies,1997,Roger Spottiswoode,9,4,Pierce Brosnan,Michelle Yeoh,man,woman,1953-05-16,1962-08-06,44,35
Walk Hard,2007,Jake Kasdan,9,1,John C. Reilly,Jenna Fischer,man,woman,1965-05-24,1974-03-07,42,33
Wild Things,1998,John McNaughton,9,1,Matt Dillon,Neve Campbell,man,woman,1964-02-18,1973-10-03,34,25
X-Men,2000,Bryan Singer,9,1,Famke Janssen,James Marsden,woman,man,1964-11-05,1973-09-18,36,27
X-Men Origins: Wolverine,2009,Gavin Hood,9,1,Hugh Jackman,Lynn Collins,man,woman,1968-10-12,1977-05-16,41,32
Y tu mamá también,2001,Alfonso Cuarón,9,1,Maribel Verdú,Diego Luna,woman,man,1970-10-02,1979-12-29,31,22
A Happening of Monumental Proportions,2017,Judy Greer,8,1,Keanu Reeves,Jennifer Garner,man,woman,1964-09-02,1972-04-17,53,45
A Very Long Engagement,2004,Jean-Pierre Jeunet,8,1,Audrey Tautou,Gaspard Ulliel,woman,man,1976-08-09,1984-11-25,28,20
Alex & Emma,2003,Rob Reiner,8,1,Luke Wilson,Kate Hudson,man,woman,1971-09-21,1979-04-19,32,24
Always Be My Maybe,2019,Nahnatchka Khan,8,3,Randall Park,Ali Wong,man,woman,1974-03-23,1982-04-19,45,37
American Hustle,2013,David O. Russell,8,2,Jack Huston,Jennifer Lawrence,man,woman,1982-12-07,1990-08-15,31,23
Batman Forever,1995,Joel Schumacher,8,1,Val Kilmer,Nicole Kidman,man,woman,1959-12-31,1967-06-20,36,28
Blue Is The Warmest Color,2013,Abdellatif Kechiche,8,1,Léa Seydoux,Adèle Exarchopoulos,woman,woman,1985-07-01,1993-11-22,28,20
Chloe,2009,Atom Egoyan,8,2,Liam Neeson,Julianne Moore,man,woman,1952-06-07,1960-12-03,57,49
"Crazy, Stupid, Love",2011,"Glenn Ficarra, John Requa",8,1,Ryan Gosling,Emma Stone,man,woman,1980-11-12,1988-11-06,31,23
Crimson Peak,2015,Guillermo del Toro,8,1,Tom Hiddleston,Mia Wasikowska,man,woman,1981-02-09,1989-10-14,34,26
Daddy's Home,2015,Sean Anders,8,2,Will Ferrell,Linda Cardellini,man,woman,1967-07-16,1975-06-25,48,40
Dan in Real Life,2007,Peter Hedges,8,1,Juliette Binoche,Dane Cook,woman,man,1964-03-09,1972-03-18,43,35
Deepwater Horizon,2016,Peter Berg,8,1,Mark Wahlberg,Kate Hudson,man,woman,1971-06-05,1979-04-19,45,37
Dirty Dancing,1987,Emile Ardolino,8,1,Patrick Swayze,Jennifer Grey,man,woman,1952-08-18,1960-03-26,35,27
Edward Scissorhands,1990,Tim Burton,8,1,Johnny Depp,Winona Ryder,man,woman,1963-06-09,1971-10-29,27,19
Enchanted,2007,Kevin Lima,8,1,Patrick Dempsey,Amy Adams,man,woman,1966-01-13,1974-08-20,41,33
Fantastic Beasts and Where to Find Them,2016,David Yates,8,1,Dan Fogler,Alison Sudol,man,woman,1976-10-20,1984-12-23,40,32
Feeling Minnesota,1996,Steven Baigelman,8,2,Keanu Reeves,Cameron Diaz,man,woman,1964-09-02,1972-08-30,32,24
From Here to Eternity,1953,Fred Zinnemann,8,1,Burt Lancaster,Deborah Kerr,man,woman,1913-11-02,1921-09-30,40,32
Girl with a Pearl Earring,2003,Peter Webber,8,2,Cillian Murphy,Scarlett Johansson,man,woman,1976-05-25,1984-11-22,27,19
Groundhog Day,1993,Harold Ramis,8,1,Bill Murray,Andie MacDowell,man,woman,1950-09-21,1958-04-21,43,35
"I, Tonya",2017,Craig Gillespie,8,1,Sebastian Stan,Margot Robbie,man,woman,1982-08-13,1990-07-02,35,27
Killing Zoe,1994,Roger Avary,8,1,Eric Stoltz,Julie Delpy,man,woman,1961-09-30,1969-12-21,33,25
Leatherheads,2008,George Clooney,8,1,George Clooney,Renee Zellweger,man,woman,1961-05-06,1969-04-25,47,39
Love Actually,2003,Richard Curtis,8,6,Chiwetel Ejiofor,Keira Knightley,man,woman,1977-07-10,1985-03-26,26,18
Love Stinks,1999,Jeff Franklin,8,2,Bill Bellamy,Tyra Banks,man,woman,1965-04-07,1973-12-04,34,26
Magic Mike,2012,Steven Soderbergh,8,1,Channing Tatum,Cody Horn,man,woman,1980-04-26,1988-06-12,32,24
Manhattan,1979,Woody Allen,8,2,Michael Murphy,Diane Keaton,man,woman,1938-05-05,1946-01-05,41,33
Meet Joe Black,1998,Martin Brest,8,1,Brad Pitt,Claire Forlani,man,woman,1963-12-18,1971-12-17,35,27
Mo' Better Blues,1990,Spike Lee,8,1,Denzel Washington,Joie Lee,man,woman,1954-12-28,1962-06-22,36,28
National Lampoon's Vacation,1983,Harold Ramis,8,1,Chevy Chase,Beverly D'Angelo,man,woman,1943-10-08,1951-11-15,40,32
Out of Sight,1998,Steven Soderbergh,8,1,George Clooney,Jennifer Lopez,man,woman,1961-05-06,1969-07-24,37,29
P.S. I Love You,2007,Richard LaGravenese,8,1,Jeffrey Dean Morgan,Hilary Swank,man,woman,1966-04-22,1974-07-30,41,33
Pirates of the Caribbean,2003,Gore Verbinski,8,1,Orlando Bloom,Keira Knightley,man,woman,1977-01-13,1985-03-26,26,18
Prime,2005,Ben Younger,8,1,Uma Thurman,Bryan Greenberg,woman,man,1970-04-29,1978-05-24,35,27
Professor Marston and the Wonder Women,2017,Angela Robinson,8,1,Luke Evans,Bella Heathcote,man,woman,1979-04-15,1987-05-27,38,30
Proof of Life,2000,Taylor Hackford,8,1,David Morse,Meg Ryan,man,woman,1953-10-11,1961-11-19,47,39
Red Planet,2000,Antony Hoffman,8,1,Val Kilmer,Carrie-Anne Moss,man,woman,1959-12-31,1967-08-21,41,33
Snow Dogs,2002,Brian Levant,8,1,Cuba Gooding Jr.,Joanna Bacalso,man,woman,1968-01-02,1976-08-10,34,26
Solaris,2002,Steven Soderbergh,8,1,George Clooney,Natascha McElhone,man,woman,1961-05-06,1969-12-14,41,33
Sorry to Bother You,2018,Boots Riley,8,1,Tessa Thompson,Lakeith Stanfield,woman,man,1983-10-03,1991-08-12,35,27
That Thing You Do!,1996,Tom Hanks,8,1,Johnathon Schaech,Liv Tyler,man,woman,1969-09-10,1977-07-01,27,19
The African Queen,1951,John Huston,8,1,Humphrey Bogart,Katharine Hepburn,man,woman,1899-12-25,1907-05-12,52,44
The Bodyguard,1992,Mick Jackson,8,1,Kevin Costner,Whitney Houston,man,woman,1955-01-18,1963-08-09,37,29
The Constant Gardener,2005,Fernando Meirelles,8,1,Ralph Fiennes,Rachel Weisz,man,woman,1962-12-22,1970-03-07,43,35
The Count of Monte Cristo,2002,Kevin Reynolds,8,2,Jim Caviezel,Dagmara Dominczyk,man,woman,1968-09-26,1976-07-17,34,26
The Dark Knight Rises,2012,Christopher Nolan,8,1,Christian Bale,Anne Hathaway,man,woman,1974-01-30,1982-11-12,38,30
The Incredible Hulk,2008,Louis Leterrier,8,1,Edward Norton,Liv Tyler,man,woman,1969-08-18,1977-07-01,39,31
The Invention of Lying,2009,"Ricky Gervais, Matthew Robinson",8,2,Rob Lowe,Jennifer Garner,man,woman,1964-03-17,1972-04-17,45,37
The Judge,2014,David Dobkin,8,1,Robert Downey Jr.,Vera Farmiga,man,woman,1965-04-04,1973-08-06,49,41
The Prestige,2006,Christopher Nolan,8,3,Christian Bale,Rebecca Hall,man,woman,1974-01-30,1982-05-03,32,24
The Secret Life of Walter Mitty,2013,Ben Stiller,8,1,Ben Stiller,Kristen Wiig,man,woman,1965-11-30,1973-08-22,48,40
The Water Boy,1998,Frank Coraci,8,1,Adam Sandler,Fairuza Balk,man,woman,1966-09-09,1974-05-21,32,24
The World Is Not Enough,1999,Michael Apted,8,3,Pierce Brosnan,Serena Scott Thomas,man,woman,1953-05-16,1961-09-21,46,38
Third Person,2013,Paul Haggis,8,2,Adrien Brody,Moran Atias,man,woman,1973-04-14,1981-04-09,40,32
Tommy Boy,1995,Peter Segal,8,2,Bo Derek,Rob Lowe,woman,man,1956-11-20,1964-03-17,39,31
Top Gun: Maverick,2022,Joseph Kosinski,8,1,Tom Cruise,Jennifer Connelly,man,woman,1962-07-03,1970-12-12,60,52
Y tu mamá también,2001,Alfonso Cuarón,8,2,Maribel Verdú,Gael García Bernal,woman,man,1970-10-02,1978-11-30,31,23
You Only Live Twice,1967,Lewis Gilbert,8,3,Sean Connery,Karin Dor,man,woman,1930-08-25,1938-02-22,37,29
A Walk on the Moon,1999,Tony Goldwyn,7,1,Viggo Mortensen,Diane Lane,man,woman,1958-10-20,1965-01-21,41,34
Aquaman,2018,James Wan,7,1,Temuera Morrison,Nicole Kidman,man,woman,1960-12-26,1967-06-20,58,51
Aquaman,2018,James Wan,7,2,Jason Momoa,Amber Heard,man,woman,1979-08-01,1986-04-22,39,32
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,7,1,Mike Myers,Heather Graham,man,woman,1963-04-25,1970-01-29,36,29
Away We Go,2009,Sam Mendes,7,1,Maya Rudolph,John Krasinski,woman,man,1972-07-27,1979-10-20,37,30
Barbershop,2002,Tim Story,7,1,Ice Cube,Jazsmin Lewis,man,woman,1969-06-15,1976-03-22,33,26
Billy Madison,1995,Tamra Davis,7,1,Adam Sandler,Bridgette Wilson,man,woman,1966-09-09,1973-09-25,29,22
Black Panther,2018,Ryan Coogler,7,2,Chadwick Boseman,Lupita Nyong'o,man,woman,1976-11-29,1983-03-01,42,35
Bruce Almighty,2003,Tom Shadyac,7,1,Jim Carrey,Jennifer Aniston,man,woman,1962-01-17,1969-02-11,41,34
Café Society,2016,Woody Allen,7,2,Jesse Eisenberg,Kristen Stewart,man,woman,1983-10-05,1990-04-09,33,26
Captain Blood,1935,Michael Curtiz,7,1,Errol Flynn,Olivia de Havilland,man,woman,1909-06-20,1916-07-01,26,19
Cast Away,2000,Robert Zemeckis,7,1,Tom Hanks,Helen Hunt,man,woman,1956-07-09,1963-06-15,44,37
Cat on a Hot Tin Roof,1958,Richard Brooks,7,1,Paul Newman,Elizabeth Taylor,man,woman,1925-01-26,1932-02-27,33,26
Click,2006,Frank Coraci,7,1,Adam Sandler,Kate Beckinsale,man,woman,1966-09-09,1973-07-26,40,33
Clueless,1995,Amy Heckerling,7,2,Stacey Dash,Donald Faison,woman,man,1967-01-20,1974-06-22,28,21
Clueless,1995,Amy Heckerling,7,1,Paul Rudd,Alicia Silverstone,man,woman,1969-04-06,1976-10-04,26,19
Con Air,1997,Simon West,7,1,Nicolas Cage,Monica Potter,man,woman,1964-01-07,1971-06-30,33,26
Contact,1997,Robert Zemeckis,7,1,Jodie Foster,Matthew McConaughey,woman,man,1962-11-19,1969-11-04,35,28
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,7,1,Chow Yun-fat,Michelle Yeoh,man,woman,1955-05-18,1962-08-06,45,38
Delicatessen,1991,Jean-Pierre Jeunet,7,1,Dominique Pinon,Marie-Laure Dougnac,man,woman,1955-03-04,1962-02-01,36,29
Destination Wedding,2018,Victor Levin,7,1,Keanu Reeves,Winona Ryder,man,woman,1964-09-02,1971-10-29,54,47
Die Hard,1988,John McTiernan,7,1,Bonnie Bedelia,Bruce Willis,woman,man,1948-03-25,1955-03-19,40,33
Divergent,2014,Neil Burger,7,1,Theo James,Shailene Woodley,man,woman,1984-12-16,1991-11-15,30,23
Ex Machina,2014,Alex Garland,7,1,Oscar Isaac,Sonoya Mizuno,man,woman,1979-03-09,1986-07-01,35,28
Fifty Shades Darker,2017,James Foley,7,1,Jamie Dornan,Dakota Johnson,man,woman,1982-05-01,1989-10-04,35,28
Fifty Shades of Grey,2015,Sam Taylor-Johnson,7,1,Jamie Dornan,Dakota Johnson,man,woman,1982-05-01,1989-10-04,33,26
For Love of the Game,1999,Sam Raimi,7,1,Kevin Costner,Kelly Preston,man,woman,1955-01-18,1962-10-13,44,37
Forget Paris,1995,Billy Crystal,7,1,Billy Crystal,Debra Winger,man,woman,1948-03-14,1955-05-16,47,40
Goldfinger,1964,Guy Hamilton,7,1,Sean Connery,Shirley Eaton,man,woman,1930-08-25,1937-01-12,34,27
Gone Girl,2014,David Fincher,7,2,Ben Affleck,Rosamund Pike,man,woman,1972-08-15,1979-01-27,42,35
Guess Who's Coming to Dinner,1967,John Huston,7,2,Spencer Tracy,Katharine Hepburn,man,woman,1900-04-05,1907-05-12,67,60
