type,nationality,part,score,year
General_Training,Mauritius,speaking,6.8,2022-2023
General_Training,Mauritius,overall,6.7,2022-2023
General_Training,Mexico,listening,6.7,2022-2023
General_Training,Mexico,reading,6.5,2022-2023
General_Training,Mexico,writing,6.1,2022-2023
General_Training,Mexico,speaking,6.6,2022-2023
General_Training,Mexico,overall,6.5,2022-2023
General_Training,Morocco,listening,6.2,2022-2023
General_Training,Morocco,reading,6,2022-2023
General_Training,Morocco,writing,5.9,2022-2023
General_Training,Morocco,speaking,6.4,2022-2023
General_Training,Morocco,overall,6.2,2022-2023
General_Training,Nepal,listening,5.9,2022-2023
General_Training,Nepal,reading,5.1,2022-2023
General_Training,Nepal,writing,5.7,2022-2023
General_Training,Nepal,speaking,5.7,2022-2023
General_Training,Nepal,overall,5.6,2022-2023
General_Training,Nigeria,listening,6.3,2022-2023
General_Training,Nigeria,reading,5.8,2022-2023
General_Training,Nigeria,writing,6.4,2022-2023
General_Training,Nigeria,speaking,7.1,2022-2023
General_Training,Nigeria,overall,6.5,2022-2023
General_Training,Pakistan,listening,6.5,2022-2023
General_Training,Pakistan,reading,5.9,2022-2023
General_Training,Pakistan,writing,6.1,2022-2023
General_Training,Pakistan,speaking,6.4,2022-2023
General_Training,Pakistan,overall,6.3,2022-2023
General_Training,Philippines,listening,6,2022-2023
General_Training,Philippines,reading,5.3,2022-2023
General_Training,Philippines,writing,5.8,2022-2023
General_Training,Philippines,speaking,6,2022-2023
General_Training,Philippines,overall,5.9,2022-2023
General_Training,Russian Federation,listening,7.1,2022-2023
General_Training,Russian Federation,reading,7.1,2022-2023
General_Training,Russian Federation,writing,6.3,2022-2023
General_Training,Russian Federation,speaking,6.7,2022-2023
General_Training,Russian Federation,overall,6.9,2022-2023
General_Training,Saudi Arabia,listening,5.1,2022-2023
General_Training,Saudi Arabia,reading,4.3,2022-2023
General_Training,Saudi Arabia,writing,4.8,2022-2023
General_Training,Saudi Arabia,speaking,5.4,2022-2023
General_Training,Saudi Arabia,overall,4.9,2022-2023
General_Training,South Africa,listening,7.1,2022-2023
General_Training,South Africa,reading,6.6,2022-2023
General_Training,South Africa,writing,6.5,2022-2023
General_Training,South Africa,speaking,8,2022-2023
General_Training,South Africa,overall,7.1,2022-2023
General_Training,Spain,listening,6.7,2022-2023
General_Training,Spain,reading,6.7,2022-2023
General_Training,Spain,writing,6.2,2022-2023
General_Training,Spain,speaking,6.4,2022-2023
General_Training,Spain,overall,6.6,2022-2023
General_Training,Sri Lanka,listening,6.5,2022-2023
General_Training,Sri Lanka,reading,6,2022-2023
General_Training,Sri Lanka,writing,6,2022-2023
General_Training,Sri Lanka,speaking,6.5,2022-2023
General_Training,Sri Lanka,overall,6.3,2022-2023
General_Training,Thailand,listening,5.3,2022-2023
General_Training,Thailand,reading,4.9,2022-2023
General_Training,Thailand,writing,5.3,2022-2023
General_Training,Thailand,speaking,5.3,2022-2023
General_Training,Thailand,overall,5.3,2022-2023
General_Training,Turkey,listening,6.2,2022-2023
General_Training,Turkey,reading,6,2022-2023
General_Training,Turkey,writing,5.8,2022-2023
General_Training,Turkey,speaking,6,2022-2023
General_Training,Turkey,overall,6.1,2022-2023
General_Training,Uganda,listening,5.6,2022-2023
General_Training,Uganda,reading,5.1,2022-2023
General_Training,Uganda,writing,6.1,2022-2023
General_Training,Uganda,speaking,6.8,2022-2023
General_Training,Uganda,overall,5.9,2022-2023
General_Training,United States of America,listening,8.3,2022-2023
General_Training,United States of America,reading,7.9,2022-2023
General_Training,United States of America,writing,7.3,2022-2023
General_Training,United States of America,speaking,8.6,2022-2023
General_Training,United States of America,overall,8.1,2022-2023
General_Training,Vietnam,listening,5.9,2022-2023
General_Training,Vietnam,reading,5.7,2022-2023
General_Training,Vietnam,writing,5.9,2022-2023
General_Training,Vietnam,speaking,5.6,2022-2023
General_Training,Vietnam,overall,5.8,2022-2023
General_Training,Zimbabwe,listening,6,2022-2023
General_Training,Zimbabwe,reading,5.5,2022-2023
General_Training,Zimbabwe,writing,6.2,2022-2023
General_Training,Zimbabwe,speaking,6.8,2022-2023
General_Training,Zimbabwe,overall,6.2,2022-2023
