type,language,part,score,year
General_Training,Russian,reading,7,2022-2023
General_Training,Russian,writing,6.2,2022-2023
General_Training,Russian,speaking,6.7,2022-2023
General_Training,Russian,overall,6.8,2022-2023
General_Training,Shona,listening,6,2022-2023
General_Training,Shona,reading,5.4,2022-2023
General_Training,Shona,writing,6.2,2022-2023
General_Training,Shona,speaking,6.7,2022-2023
General_Training,Shona,overall,6.1,2022-2023
General_Training,Singhalese,listening,6.5,2022-2023
General_Training,Singhalese,reading,6,2022-2023
General_Training,Singhalese,writing,6,2022-2023
General_Training,Singhalese,speaking,6.4,2022-2023
General_Training,Singhalese,overall,6.3,2022-2023
General_Training,Spanish,listening,6.5,2022-2023
General_Training,Spanish,reading,6.4,2022-2023
General_Training,Spanish,writing,6.1,2022-2023
General_Training,Spanish,speaking,6.4,2022-2023
General_Training,Spanish,overall,6.4,2022-2023
General_Training,Swahili,listening,6.2,2022-2023
General_Training,Swahili,reading,5.6,2022-2023
General_Training,Swahili,writing,6.2,2022-2023
General_Training,Swahili,speaking,6.9,2022-2023
General_Training,Swahili,overall,6.3,2022-2023
General_Training,Tagalog,listening,5.9,2022-2023
General_Training,Tagalog,reading,5.2,2022-2023
General_Training,Tagalog,writing,5.8,2022-2023
General_Training,Tagalog,speaking,5.9,2022-2023
General_Training,Tagalog,overall,5.7,2022-2023
General_Training,Tamil,listening,6.6,2022-2023
General_Training,Tamil,reading,6.1,2022-2023
General_Training,Tamil,writing,6.1,2022-2023
General_Training,Tamil,speaking,6.5,2022-2023
General_Training,Tamil,overall,6.4,2022-2023
General_Training,Telugu,listening,6.8,2022-2023
General_Training,Telugu,reading,6.2,2022-2023
General_Training,Telugu,writing,6.1,2022-2023
General_Training,Telugu,speaking,6.5,2022-2023
General_Training,Telugu,overall,6.5,2022-2023
General_Training,Thai,listening,5.3,2022-2023
General_Training,Thai,reading,4.9,2022-2023
General_Training,Thai,writing,5.3,2022-2023
General_Training,Thai,speaking,5.3,2022-2023
General_Training,Thai,overall,5.3,2022-2023
General_Training,Turkish,listening,6.2,2022-2023
General_Training,Turkish,reading,6,2022-2023
General_Training,Turkish,writing,5.9,2022-2023
General_Training,Turkish,speaking,6,2022-2023
General_Training,Turkish,overall,6.1,2022-2023
General_Training,Ukrainian,listening,6.6,2022-2023
General_Training,Ukrainian,reading,6.4,2022-2023
General_Training,Ukrainian,writing,6,2022-2023
General_Training,Ukrainian,speaking,6.5,2022-2023
General_Training,Ukrainian,overall,6.4,2022-2023
General_Training,Urdu,listening,6.5,2022-2023
General_Training,Urdu,reading,6,2022-2023
General_Training,Urdu,writing,6.1,2022-2023
General_Training,Urdu,speaking,6.5,2022-2023
General_Training,Urdu,overall,6.3,2022-2023
General_Training,Vietnamese,listening,5.9,2022-2023
General_Training,Vietnamese,reading,5.7,2022-2023
General_Training,Vietnamese,writing,5.9,2022-2023
General_Training,Vietnamese,speaking,5.6,2022-2023
General_Training,Vietnamese,overall,5.8,2022-2023
General_Training,Yoruba,listening,6.1,2022-2023
General_Training,Yoruba,reading,5.6,2022-2023
General_Training,Yoruba,writing,6.2,2022-2023
General_Training,Yoruba,speaking,6.8,2022-2023
General_Training,Yoruba,overall,6.3,2022-2023
General_Training,Zulu,listening,5.9,2022-2023
General_Training,Zulu,reading,5.4,2022-2023
General_Training,Zulu,writing,6.1,2022-2023
General_Training,Zulu,speaking,6.9,2022-2023
General_Training,Zulu,overall,6.1,2022-2023
