Package,authorsR
mcr,Sergej Potapov
mcr,Fabian Model
mcr,Andre Schuetzenmeister
mcr,Ekaterina Manuilova
mcr,Florian Dufey
mcr,Jakob Raymaekers
mcr,Roche
mcreplicate,Christopher Gandrud
mcreplicate,Olivier Binette
MCS,Leopoldo Catania
MCS,Mauro Bernardi
MCSim,Ahmed N. Albatineh
MCSim,Meredith L. Wilcox
MCSim,Bashar Zogheib
MCSim,Magdalena Niewiadomska-Bugaj
mcStats,Michael Czekanski
mcStats,Alex Lyford
mctest,Imdad Ullah Muhammad
mctest,Aslam Muhammad
mctq,Daniel Vartanian
mctq,Ana Amelia Benedito-Silva
mctq,Mario Pedrazzoli
mctq,Jonathan Keane
mctq,Mario Andre Leocadio-Miguel
mcunit,Axel Gandy
mcunit,James Scott
mcvis,Kevin Wang
mcvis,Chen Lin
mcvis,Samuel Mueller
mcwr,Daniel Schneider
mcwr,Mikko Myrskyla
mcwr,Alyson Van Raalte
md,Genzo Kaga
md.log,E. F. Haghish
mda,Trevor Hastie
mda,Robert Tibshirani. Original Friedrich Leisch
mda,Kurt Hornik
mda,Brian D. Ripley. Balasubramanian Narasimhan Has Contributed To The Upgrading Of The Code.
mDAG,Wujuan Zhong
mDAG,Li Dong
mDAG,Quefeng Li
mDAG,Xiaojing Zheng
mdatools,Sergey Kucheryavskiy
MDBED,Luis F. Duque
mdbr,Kiernan Nicholls
mde,Nelson Gonzabato
mded,Hideo Aizaki
MDEI,Marc Ratkovic
MDEI,Dustin Tingley
MDEI,Nithin Kavi
mdendro,Alberto Fernandez
mdendro,Sergio Gomez
MDFS,Radoslaw Piliszek
MDFS,Krzysztof Mnich
MDFS,Pawel Tabaszewski
MDFS,Szymon Migacz
MDFS,Andrzej Sulecki
MDFS,Witold Remigiusz Rudnicki
mdftracks,Gerhard Burger
mdgc,Benjamin Christoffersen
mdgc,Alan Genz
mdgc,Frank Bretz
mdgc,Torsten Hothorn
mdgc,Ross Ihaka
mdhglm,Youngjo Lee
mdhglm,Marek Molas
mdhglm,Maengseok Noh
MDimNormn,Mun-Gwan Hong
mdir.logrank,Marc Ditzhaus
mdir.logrank,Sarah Friedrich
MDMAPR,Alka Benawra
mdmb,Alexander Robitzsch
MDMR,Daniel B. Mcartor
MDOLS,Xiao Guo
MDOLS,Guang Cheng
MDOLS,Zixin Lin
mdpeer,Marta Karas
mdpeer,Damian Brzyski
mdpeer,Jaroslaw Harezlak
MDplot,Christian Margreitter
MDplot,Chris Oostenbrink
MDPtoolbox,Iadine Chades
MDPtoolbox,Guillaume Chapron
MDPtoolbox,Marie-Josee Cros
MDPtoolbox,Frederick Garcia
MDPtoolbox,Regis Sabbadin
mds,Gary Chung
mdscore,Antonio Hermes M. Da Silva-Junior
mdscore,Damiao N. Da Silva
mdscore,Silvia L. P. Ferrari
MDSGUI,Andrew Timm
MDSGUI,Sugnet Gardner-Lubbe
MDSMap,Katharine F. Preedy
mdsOpt,Marek Walesiak
mdsOpt,Andrzej Dudek
MDSPCAShiny,Kartikeya Bolar
mdsr,Benjamin S. Baumer
mdsr,Nicholas Horton
mdsr,Daniel Kaplan
MDSS,Takumi Tsutaya
mdthemes,Thomas Neitmann
mdw,Zonglin He
mdw,Youyi Fong
meanr,Drew Schmidt
meanShiftR,Jonathan Lisic
meantables,Brad Cannell
measr,W. Jake Thompson
measr,Nathan Jones
measr,Matthew Johnson
measr,Paul-Christian Burkner
measurementProtocol,Mark Edmondson
measurements,Matthew A. Birk
measures,Philipp Probst
measuRing,Wilson Lara
measuRing,Carlos Sierra
measuRing,Felipe Bravo
meboot,Hrishikesh D. Vinod
meboot,Fred Viole
MEclustnet,Isobel Claire Gormley
MEclustnet,Thomas Brendan Murphy
meconetcomp,Chi Liu
meconetcomp,Minjie Yao
meconetcomp,Xiangzhen Li
mecor,Linda Nab
mecoturn,Chi Liu
mecoturn,Xiangzhen Li
mecoturn,Minjie Yao
MED,Gary Chan
MedDietCalc,Miguel Menendez
MedDietCalc,David Lora
MedDietCalc,Agustin Gomez-Camara
mederrRank,Sergio Venturini
mederrRank,Jessica Myers
medExtractR,Leena Choi
medExtractR,Cole Beck
medExtractR,Hannah Weeks
medfate,Miquel De Caceres
medfate,Nicolas Martin-Stpaul
medfate,Victor Granda
medfate,Antoine Cabon
medfate,Jordi Martinez-Vilalta
medfate,Maurizio Mencuccini
medfate,Julien Ruffault
medfate,Francois Pimont
medfate,Herve Cochard
medfate,Aitor Ameztegui
medfate,Shengli Huang
medfate,John Burkardt
medflex,Johan Steen
medflex,Tom Loeys
medflex,Beatrijs Moerkerke
medflex,Stijn Vansteelandt
medflex,Joris Meys
medflex,Theis Lange
medflex,Joscha Legewie
medflex,Paul Fink
medflex,Sanford Weisberg
medflex,Yves Rosseel
mediacloudr,Dix Jan
MediaK,Zizhuo Ren
MediaK,Hesen Peng
MediaK,Tianwei Yu
Mediana,Gautier Paux
Mediana,Alex Dmitrienko.
MedianaDesigner,Alex Dmitrienko
MediaNews,Vatsal Aima
mediateP,Chao Cheng
mediateP,Donna Spiegelman
mediateP,Fan Li
mediation,Dustin Tingley
mediationsens,Xu Qin
mediationsens,Fan Yang
medicaldata,Peter Higgins
medicalrisk,Patrick Mccormick
medicalrisk,Thomas Joseph
medicare,Robert Gambrel
meditations,Jacob Kaplan
MEDITS,Walter Zupa
MEDITS,Loredana Casciaro
MEDITS,Isabella Bitetto
MEDITS,Maria Teresa Spedicato
MedLEA,Jayani P. G. Lakshika
MedLEA,Thiyanga S. Talagala
medrxivr,Luke Mcguinness
medrxivr,Lena Schmidt
medrxivr,Tuija Sonkkila
medrxivr,Najko Jahn
medScan,Jiacong Du
medScan,Michael Kleinsasser
MEDseq,Keefe Murphy
MEDseq,Thomas Brendan Murphy
MEDseq,Raffaella Piccarreta
MEDseq,Isobel Claire Gormley
meerva,Walter K Kremers
meetupapi,Zac Davies
mefa,Peter Solymos
mefa4,Peter Solymos
Mega2R,Robert V. Baron
Mega2R,Daniel E. Weeks
MEGENA,Won-Min Song
MEGENA,Bin Zhang
meifly,Hadley Wickham
mekko,Eric Rynerson
mekko,Julius Vainora
melt,Eunseop Kim
melt,Steven Maceachern
melt,Mario Peruggia
melt,Pierre Chausse
melt,Alex Stringer
meltr,Hadley Wickham
meltr,Duncan Garmonsway
meltr,Jim Hester
meltr,Rstudio
meltt,Karsten Donnay
meltt,Eric Dunford
mem,Jose E. Lozano
memapp,Jose E. Lozano
meme,Guangchuang Yu
memery,Matthew Leonawicz
memgene,Pedro Peres-Neto
memgene,Paul Galpern
memify,Bert Gunter
memisc,Martin Elff
memo,Peter Meilstrup
memochange,Janis Becker
memochange,Kai Wenger
memofunc,Roy Wetherall
memoiR,Eric Marcon
memoise,Hadley Wickham
memoise,Jim Hester
memoise,Winston Chang
memoise,Kirill Muller
memoise,Daniel Cook
memoise,Mark Edmondson
memor,Hao Zhu
memor,Timothy Tsai
memor,Thomas Travison
memor,Mikhail Popov
memoria,Blas M. Benito
MEMSS,Douglas Bates
memuse,Drew Schmidt
memuse,Christian Heckendorf
memuse,Wei-Chen Chen
memuse,Dan Burgess
MendelianRandomization,Olena Yavorska
MEPDF,Martin Wiegand
MEPDF,Saralees Nadarajah
Mercator,Kevin R. Coombes
Mercator,Caitlin E. Coombes
merDeriv,Ting Wang
merDeriv,Edgar Merkle
merDeriv,Yves Rosseel
mergeTrees,Audrey Hulot
mergeTrees,Julien Chiquet
mergeTrees,Guillem Rigaill
merlin,Emma Martin
merlin,Alessandro Gasparini
merlin,Michael Crowther
MERO,Mohamed Soudy
merror,Richard A. Bilonick
merTools,Jared E. Knowles
merTools,Carl Frederick
merTools,Alex Whitworth
meshed,Michele Peruzzi
MESS,Claus Thorn Ekstrom
MESS,Niels Aske Lundtorp Olsen
messaging,Richard Iannone
messi,Jonathan Boss
messi,Bhramar Mukherjee
messi,Michael Kleinsasser
messy.cats,Andrew Hennessy
messy.cats,Duncan Kreutter
messy.cats,Harrison Karp
messydates,James Hollway
messydates,Henrique Sposito
messydates,Jael Tan
Mestim,Francois Grolleau
meta,Guido Schwarzer
meta.shrinkage,Nanami Taketomi
meta.shrinkage,Takeshi Emura
meta4diag,Jingyi Guo
MetaAnalyser,Jack Bowden
metabias,Mika Braginsky
metabias,Maya Mathur
metabias,Peter Solymos
metaBLUE,Xin Yang
metaBLUE,Alan Hutson
metaBLUE,Dongliang Wang
metaBMA,Daniel W. Heck
metaBMA,Quentin F. Gronau
metaBMA,Eric-Jan Wagenmakers
metaBMA,Indrajeet Patil
metaboData,Jasen Finch
metaboData,Manfred Beckmann
metaboData,David Enot
metaboData,Wanchang Lin
MetabolAnalyze,Nyamundanda Gift
MetabolAnalyze,Isobel Claire Gormley
MetabolAnalyze,Lorraine Brennan.
metabolic,Felipe Mattioni Maturana
MetabolicSurv,Olajumoke Evangelina Owokotomo
MetabolicSurv,Ziv Shkedy
MetabolicSyndrome,Jagadish Ramasamy
MetabolomicsBasics,Jan Lisec
MetaboQC,Monica Calderon-Santiago
metabup,Dexter Cahoy
metabup,Joseph Sedransk
metacart,Xinru Li
metaCluster,Dipro Sinha
metaCluster,Sayanti Guha Majumdar
metaCluster,Anu Sharma
metaCluster,Dwijesh Chandra Mishra
metacoder,Zachary Foster
metacoder,Niklaus Grunwald
metacoder,Rob Gilmore
metacom,Tad Dallas
metacom,Tom Pulliam
MetaComp,Pavel Senin
metaconfoundr,Malcolm Barrett
metaconfoundr,Julie M. Petersen
metaconfoundr,Ludovic Trinquart
metacor,Etienne Laliberte
metacore,Christina Fillmore
metacore,Maya Gans
metacore,Ashley Tarasiewicz
metacore,Mike Stackhouse
MetaculR,Joseph De La Torre Dwyer
MetaCycle,Gang Wu
MetaCycle,Ron Anafi
MetaCycle,John Hogenesch
MetaCycle,Michael Hughes
MetaCycle,Karl Kornacker
MetaCycle,Xavier Li
MetaCycle,Matthew Carlucci
metadat,Thomas White
metadat,Daniel Noble
metadat,Alistair Senior
metadat,W. Kyle Hamilton
metadat,Wolfgang Viechtbauer
metadat,Guido Schwarzer
metaDigitise,Joel Pick
metaDigitise,Shinichi Nakagawa
metaDigitise,Daniel Noble
metadynminer,Vojtech Spiwok
metadynminer3d,Vojtech Spiwok
metaEnsembleR,Ajay Arunachalam
metafolio,Sean C. Anderson
metafolio,Jonathan W. Moore
metafolio,Michelle M. Mcclure
metafolio,Nicholas K. Dulvy
metafolio,Andrew B. Cooper
metafor,Wolfgang Viechtbauer
metaforest,Caspar J. Van Lissa
metafuse,Lu Tang
metafuse,Ling Zhou
metafuse,Peter X.k. Song
metagam,Oystein Sorensen
metagam,Andreas M. Brandmaier
metagam,Athanasia Mo Mowinckel
metaGE,Annaig De Walsche
metaGE,Tristan Mary-Huard
metagear,Marc J. Lajeunesse
metaggR,Ville Satopaa
metaggR,Asa Palley
metaheuristicOpt,Lala Septem Riza
metaheuristicOpt,Iip
metaheuristicOpt,Eddy Prasetyo Nugroho
metaheuristicOpt,Muhammad Bima Adi Prabowo
metaheuristicOpt,Enjun Junaeti
metaheuristicOpt,Ade Gafar Abdullah
MetaIntegration,Tian Gu
MetaIntegration,Bhramar Mukherjee
MetaIntegration,Michael Kleinsasser
MetaIntegrator,Winston A. Haynes
MetaIntegrator,Francesco Vallania
MetaIntegrator,Aurelie Tomczak
MetaIntegrator,Timothy Sweeney
MetaIntegrator,Erika Bongen
MetaIntegrator,Aditya M. Rao
MetaIntegrator,Purvesh Khatri
metajam,Julien Brun
metajam,Irene Steves
metajam,Mitchell Maier
metajam,Nathan Hwangbo
metajam,Derek Strong
metajam,Colin Smith
metajam,Kristen Peach
MetaLandSim,Frederico Mestre
MetaLandSim,Fernando Canovas
MetaLandSim,Benjamin Risk
MetaLandSim,Ricardo Pita
MetaLandSim,Antonio Mira
MetaLandSim,Pedro Beja.
metaLik,Annamaria Guolo
metaLik,Cristiano Varin
metalite,Yilong Zhang
metalite,Yujie Zhao
metalite,Nan Xiao
metalite,Benjamin Wang
metalite,Brian Lang
metalite,Howard Baek
metalite,Ruchitbhai Patel
metalite,Madhusudhan Ginnaram
metalite,Sarad Nepal
metalite,Venkatesh Burla
metalite,Merck Sharp
metalite.ae,Yilong Zhang
metalite.ae,Yujie Zhao
metalite.ae,Benjamin Wang
metalite.ae,Nan Xiao
metalite.ae,Sarad Nepal
metalite.ae,Madhusudhan Ginnaram
metalite.ae,Venkatesh Burla
metalite.ae,Ruchitbhai Patel
metalite.ae,Brian Lang
metalite.ae,Xuan Deng
metalite.ae,Merck Sharp
MetaLonDA,Ahmed A. Metwally
MetaLonDA,Yang Dai
MetaLonDA,Patricia W. Finn
MetaLonDA,David L. Perkins
MetAlyzer,Nils Mechtel
MetAlyzer,Carolin Andresen
MetAlyzer,Daniel Huebschmann
metaMA,Guillemette Marot
metamedian,Sean Mcgrath
metamedian,Xiaofei Zhao
metamedian,Stephan Katzenschlager
metamedian,Omer Ozturk
metamedian,Russell Steele
metamedian,Andrea Benedetti
metamer,Elio Campitelli
metamicrobiomeR,Nhan Ho
metamisc,Thomas Debray
metamisc,Valentijn De Jong
metan,Tiago Olivoto
metanetwork,Marc Ohlmann
metanetwork,Jimmy Garnier
metanetwork,Laurent Vuillon
metansue,Joaquim Radua
metap,Michael Dewey
metapack,Daeyoung Lim
metapack,Ming-Hui Chen
metapack,Sungduk Kim
metapack,Joseph Ibrahim
metapack,Arvind Shah
metapack,Jianxin Lin
metaplot,Tim Bergsma
metaplus,Ken Beath
metaplus,Ben Bolker
metaplus,R Development Core Team
metapost,Paul Murrell
metapower,Jason Griffin
metapro,Sora Yoon
metaprotr,Aaron Millan-Oropeza
metaprotr,Catherine Juste
metaprotr,Ariane Bassignani
metaprotr,Celine Henry
metarep,Iman Jaljuli
metaRMST,Isabelle Weir
metaRNASeq,Guillemette Marot
metaSDTreg,Simon Bang Kristensen
metaSDTreg,Kristian Sandberg
metaSDTreg,Bo Martin Bibby
metaSEM,Mike Cheung
metasens,Guido Schwarzer
metasens,James R. Carpenter
metasens,Gerta Rucker
MetaSKAT,Seunggeun Shawn Lee
MetaStan,Burak Kuersad Guenhan
MetaStan,Christian Roever
MetaSubtract,Ilja M. Nolte
metaSurvival,Shubhram Pandey
metatest,Hilde M. Huizenga
metatest,Ingmar Visser
metathis,Garrick Aden-Buie
metatools,Christina Fillmore
metatools,Mike Stackhouse
metaumbrella,Corentin J Gosling
metaumbrella,Aleix Solanes
metaumbrella,Paolo Fusar-Poli
metaumbrella,Joaquim Radua
MetaUtility,Maya B. Mathur
MetaUtility,Rui Wang
MetaUtility,Tyler J. Vanderweele
metavcov,Min Lu
metaviz,Michael Kossmeier
metaviz,Ulrich S. Tran
metaviz,Martin Voracek
metawho,Shixiang Wang
MetBrewer,Blake Robert Mills
MetChem,Ebtesam Abdel-Shafy
MetChem,Tadele Melak
MetChem,David A. Macintyre
MetChem,Giorgia Zadra
MetChem,Luiz F. Zerbini
MetChem,Silvano Piazza
MetChem,Stefano Cacciatore
meteo,Milan Kilibarda
meteo,Aleksandar Sekulic
meteo,Tomislav Hengl
meteo,Edzer Pebesma
meteo,Benedikt Graeler
meteoEVT,Laura Mack
meteoForecast,Oscar Perpinan Lamigueiro
meteoForecast,Marcelo Pinho Almeida
meteoland,Miquel De Caceres
meteoland,Victor Granda
meteoland,Nicolas Martin
meteoland,Antoine Cabon
meteor,Robert J. Hijmans
meteor,Gerald Nelson
meteor,Maarten Waterloo
meteorits,Faicel Chamroukhi
meteorits,Florian Lecocq
meteorits,Marius Bartcus
meteospain,Victor Granda
meteospain,Miquel De Caceres
meteospain,Aitor Ameztegui
meteospain,Luis Franco
meteR,Andy Rominger
meteR,Cory Merow
MEtest,Donghyuk Lee
MEtest,Samiran Sinha
metevalue,Yifan Yang
metevalue,Xiaoqing Pan
metevalue,Haoyuan Liu
MetGen,Julie Carreau
MetGen,Nesrine Farhani
MethComp,Bendix Carstensen
MethComp,Lyle Gurrin
MethComp,Claus Thorn Ekstrom
MethComp,Michal Figurski
methcon5,Emil Hvitfeldt
MethodCompare,Mingkai Peng
MethodCompare,Patrick Taffe
MethodCompare,Tyler Williamson
MeTo,Ullrich Dettmann
MeTo,R. Grima
metools,Joao Victor Gomes De Araujo Santana
MetProc,Mark Chaffin
metR,Elio Campitelli
metrica,Adrian A. Correndo
metrica,Adrian A. Correndo
metrica,Luiz H. Moro Rosso
metrica,Rai Schwalbert
metrica,Carlos Hernandez
metrica,Leonardo M. Bastos
metrica,Luciana Nieto
metrica,Dean Holzworth
metrica,Ignacio A. Ciampitti
MetricGraph,David Bolin
MetricGraph,Jonas Wallin
MetricGraph,Alexandre Simas
Metrics,Ben Hamner
Metrics,Michael Frasco
Metrics,Erin Ledell
metricsgraphics,Bob Rudis
metricsgraphics,Ali Almossawi
metricsgraphics,Hamilton Ulmer
metricsgraphics,Mozilla
MetricsWeighted,Michael Mayer
MetricsWeighted,Christian Lorentzen
metrix,Juan Manuel Cabrera
metrix,Julieta Capeletti
metro,Kiernan Nicholls
metRology,Stephen L R Ellison
metropolis,Alexander Keil
mets,Klaus K. Holst
mets,Thomas Scheike
MetSizeR,Kate Finucane
MetSizeR,Gift Nyamundanda
MetSizeR,Isobel Claire Gormley
MetSizeR,Yue Fan
MetSizeR,William M Gallagher
MetSizeR,Lorraine Brennan
metsyn,Paul Poncet
mev,Leo Belzile
mev,Jennifer L. Wadsworth
mev,Paul J. Northrop
mev,Scott D. Grimshaw
mev,Jin Zhang
mev,Michael A. Stephens
mev,Art B. Owen
mev,Raphael Huser
mewAvg,Adam L. Pintar
mewAvg,Zachary H. Levine
MexBrewer,Antonio Paez
mexhaz,Hadrien Charvat
mexhaz,Aurelien Belot
mexicolors,Alejandro Platas-Lopez
mExplorer,Juri Reimand
mfaces,Cai Li
MFAg,Paulo Cesar Ossani
mFD,Camille Magneville
mFD,Nicolas Loiseau
mFD,Camille Albouy
mFD,Nicolas Casajus
mFD,Thomas Claverie
mFD,Arthur Escalas
mFD,Fabien Leprieur
mFD,Eva Maire
mFD,David Mouillot
mFD,Sebastien Villeger
mfdb,Jamie Lentin
mfdb,Bjarki Thor Elvarsson
MFDFA,Mohamed Laib
MFDFA,Luciano Telesca
MFDFA,Mikhail Kanevski
mFDP,Jesse Hemerik
mfGARCH,Onno Kleen
mFilter,Mehmet Balcilar
mFLICA,Chainarong Amornbunchornvej
MFO,Jorge R Fernandez-Santos
MFO,Jesus G Ponce-Gonzalez
MFO,Cristina Casals
MFO,Jose L Gonzalez-Montesinos
MFO,Juan Corral-Perez
MFO,Alejandro Perez-Bey
mfp,Georg Heinze
mfp,Gareth Ambler
mfp,Axel Benner
MFPCA,Clara Happ-Kurz
mfpp,Zsolt T. Kosztyan
mfpp,Aamir Sagir
MFSIS,Xuewei Cheng
MFSIS,Hong Wang
MFSIS,Liping Zhu
MFSIS,Wei Zhong
MFSIS,Hanpu Zhou
MFT,Michael Messer
MFT,Stefan Albert
MFT,Solveig Plomer
MFT,Gaby Schneider
MfUSampler,Alireza S. Mahani
MfUSampler,Mansour T.a. Sharabiani
mfx,Alan Fernihough
mfx,Arne Henningsen
MG1StationaryProbability,Olga Zoldaka
mgarchBEKK,Harald Schmidbauer
mgarchBEKK,Angi Roesch
mgarchBEKK,Vehbi Sinan Tunalioglu
MGBT,William H. Asquith
mgc,Eric Bridgeford
mgc,Censheng Shen
mgc,Shangsi Wang
mgc,Joshua Vogelstein
mgcv,Simon Wood
mgcViz,Matteo Fasiolo
mgcViz,Raphael Nedellec
mgcViz,Yannig Goude
mgcViz,Christian Capezza
mgcViz,Simon N. Wood
MGDrivE,Hector Manuel Sanchez Castellanos
MGDrivE,Jared Bennett
MGDrivE,Sean Wu
MGDrivE,John M. Marshall
MGDrivE2,Sean L. Wu
MGDrivE2,Jared B. Bennett
MGDrivE2,Hector Manuel Sanchez Castellanos
MGDrivE2,Tomas M. Leon
MGDrivE2,Andrew J. Dolgert
MGDrivE2,John M. Marshall
MGDrivE2,Agastya Mondal
mgee2,Yuliang Xu
mgee2,Zhijian Chen
mgee2,Shuo Shuo Liu
mgee2,Grace Yi
mggd,Pierre Santagostini
mggd,Nizar Bouhlel
MGL,Safiye Celik
mglasso,Edmond Sanou
mglasso,Tung Le
mglasso,Christophe Ambroise
mglasso,Genevieve Robin
MGLM,Yiwen Zhang
mglmn,Masatoshi Katabuchi
mglmn,Akihiro Nakamura
mgm,Jonas Haslbeck
MGMM,Zachary Mccaw
MGMS2,So Young Ryu
MGMS2,George Wendt
mgpStreamingSDK,Nathan Carr
MGSDA,Irina Gaynanova
mgss,Martin Siebenborn
mgss,Julian Wagner
mgsub,Mark Ewing
mgwrsar,Ghislain Geniaux
mgwrsar,Davide Martinetti
mhazard,Eric Bair
mhazard,Taylor Petty
mhazard,Shanshan Zhao
mhcnuggetsr,Richel J.c. Bilderbeek
MHCtools,Jacob Roved
MHD,Xiongtao Dai
MHDA,Yi Ya
MHDA,Jacob Zhang
mHG,Kobi Perl
mHMMbayes,Emmeke Aarts
mHMMbayes,Sebastian Mildiner Moraga
mhsmm,Jared O'connell
mhtboot,Abhirup Mallik
MHTdiscrete,Yalin Zhu
MHTdiscrete,Wenge Guo
MHTmult,Yalin Zhu
MHTmult,Wenge Guo
MHTrajectoryR,Matthieu Marbac
MHTrajectoryR,Mohammed Sedki
mhurdle,Yves Croissant
mhurdle,Fabrizio Carlevaro
mhurdle,Stephane Hoareau
mi,Andrew Gelman
mi,Jennifer Hill
mi,Yu-Sung Su
mi,Masanao Yajima
mi,Maria Pittau
mi,Ben Goodrich
mi,Yajuan Si
mi,Jon Kropko
mi4p,Marie Chion
mi4p,Christine Carapito
mi4p,Frederic Bertrand
mi4p,Gordon Smyth
mi4p,Davis Mccarthy
mi4p,Helene Borges
mi4p,Thomas Burger
mi4p,Quentin Giai-Gianetto
mi4p,Samuel Wieczorek
MIAmaxent,Julien Vollering
MIAmaxent,Sabrina Mazzoni
MIAmaxent,Rune Halvorsen
MIAmaxent,Steven Phillips
micar,Yannick Marcon
micd,Ronja Foraita
micd,Janine Witte
mice,Stef Van Buuren
mice,Karin Groothuis-Oudshoorn
mice,Gerko Vink
mice,Rianne Schouten
mice,Alexander Robitzsch
mice,Patrick Rockenschaub
mice,Lisa Doove
mice,Shahab Jolani
mice,Margarita Moreno-Betancur
mice,Ian White
mice,Philipp Gaffert
mice,Florian Meinfelder
mice,Bernie Gray
mice,Vincent Arel-Bundock
mice,Mingyang Cai
mice,Thom Volker
mice,Edoardo Costantini
mice,Caspar Van Lissa
mice,Hanne Oberman
miceadds,Alexander Robitzsch
miceafter,Martijn Heymans
miceafter,Jaap Brand
micEcon,Arne Henningsen
micEconAids,Arne Henningsen
micEconCES,Arne Henningsen
micEconCES,Geraldine Henningsen
micEconDistRay,Arne Henningsen
micEconDistRay,Juan Jose Price
micEconIndex,Arne Henningsen
micEconSNQP,Arne Henningsen
miceFast,Maciej Nasinski
micemd,Vincent Audigier
micemd,Matthieu Resche-Rigon
micemd,Johanna Munoz Avila
miceRanger,Sam Wilson
michelRodange,Bruno Andre Rodrigues Coelho
miclust,Jose Barrera-Gomez
miclust,Xavier Basagana
micompr,Nuno Fachada
miCoPTCM,Aurelie Bertrand
miCoPTCM,Catherine Legrand
miCoPTCM,Ingrid Van Keilegom
microbats,Seong Hyun Hwang
microbenchmark,Olaf Mersmann
microbenchmark,Claudia Beleites
microbenchmark,Rainer Hurling
microbenchmark,Ari Friedman
microbenchmark,Joshua M. Ulrich
microbial,Kai Guo
microbial,Pan Gao
MicrobiomeStat,Xianyang Zhang
MicrobiomeStat,Jun Chen
MicrobiomeStat,Huijuan Zhou
microclass,Kristian Hovde Liland
microclass,Hilde Vinje
microclass,Lars Snipen
microcontax,Hilde Vinje
microcontax,Kristian Hovde Liland
microcontax,Lars Snipen.
MicroDatosEs,Carlos J. Gil Bellosta
MicroDatosEs,Carlos Neira
MicroDatosEs,Diego Paniagua Sanchez
MicroDatosEs,Fiorella Mori Pelaez
MicroDatosEs,Jorge Lopez Perez
MicroDatosEs,Estitxu Villamor
MicroDatosEs,Jose Luis Canadas Reche
microeco,Chi Liu
microeco,Felipe R. P. Mansoldo
microeco,Umer Zeeshan Ijaz
microeco,Chenhao Li
microeco,Yang Cao
microeco,Minjie Yao
microeco,Xiangzhen Li
microhaplot,Thomas Ng
MicroMacroMultilevel,Jackson G Lu
MicroMacroMultilevel,Elizabeth Page-Gould
MicroMacroMultilevel,Nancy R Xu
micromap,Quinn Payton
micromap,Tony Olsen
micromap,Marc Weber
micromap,Michael Mcmanus
micromap,Tom Kincaid
micromap,Marcus W. Beck
micromapST,Jim Pearson
micromapST,Dan Carr
micromapST,Linda Pickle
MicroMoB,Sean L. Wu
MicroMoB,David L. Smith
MicroMoB,Sophie Libkind
micromodal,Kennedy Mwavu
MicroNiche,Damien Finn
micropan,Lars Snipen
micropan,Kristian Hovde Liland
microplot,Richard M. Heiberger
microPop,Helen Kettle
microsamplingDesign,Adriaan Blommaert
microsamplingDesign,Daan Seynaeve
microsamplingDesign,Helen Barnett
microsamplingDesign,Helena Geys
microsamplingDesign,Tom Jacobs
microsamplingDesign,Fetene Tekle
microsamplingDesign,Thomas Jaki
microseq,Lars Snipen
microseq,Kristian Hovde Liland
microsimulation,Mark Clements
microsimulation,Alexandra Jauhiainen
microsimulation,Andreas Karlsson
microsimulation,Antonio Carzaniga
microsimulation,Pierre L'ecuyer
Microsoft365R,Hong Ooi
Microsoft365R,Roman Zenka
Microsoft365R,Robert Ashton
Microsoft365R,Philip Zheng
microsynth,Michael Robbins
microsynth,Steven Davenport
MicSim,Sabine Zinn
MicSim,Claudio Bosco
MicSim,Maurizio Teobaldell
MICsplines,Yili Hong
MICsplines,Jie Min
micss,Josep Lluis Carrion-I-Silvestre
micss,Andreu Sanso
MiDA,Elena Filatova
MiDA,Nikolai Sakharnov
MiDA,Dmitry Knyazev
MiDA,Oleg Utkin
MiDA,Russia
midas,Nicholas Jhirad
midas2,Su Liwen
midasml,Jonas Striaukas
midasml,Andrii Babii
midasml,Eric Ghysels
midasml,Alex Kostrov
midasr,Virmantas Kvedaras
midastouch,Philipp Gaffert
midastouch,Florian Meinfelder
midastouch,Volker Bosch
MIDASwrappeR,Tobias Heidler
midfieldr,Richard Layton
midfieldr,Russell Long
midfieldr,Matthew Ohland
midfieldr,Marisa Orr
midfieldr,Susan Lord
MIDN,Stefan Wellek
MIDN,Peter Ziegler
midrangeMCP,Ben Deivide
midrangeMCP,Daniel Furtado
midrangeMCP,Diego Arthur
miesmuschel,Martin Binder
miesmuschel,Lennart Schneider
miesmuschel,Susanne Dandl
miesmuschel,Andreas Hofheinz
mifa,Vahid Nassiri
mifa,Aniko Lovik
mifa,Geert Molenberghs
mifa,Geert Verbeke
mifa,Tobias Busch
migest,Guy J. Abel
migraph,James Hollway
migraph,Henrique Sposito
migraph,Jael Tan
migraph,Bernhard Bieri
migrate,Michael Thomas
migrate,Brad Lindblad
migration.indices,Lajos Balint
migui,Bob Carpenter
migui,Ben Goodrich
migui,Yu-Sung Su
miic,Vincent Cabeli
miic,Honghao Li
miic,Marcel Ribeiro Dantas
miic,Nadir Sella
miic,Louis Verny
miic,Severine Affeldt
miic,Herve Isambert
MIIPW,Atanu Bhattacharjee
MIIPW,Bhrigu Kumar Rajbongshi
MIIPW,Gajendra K Vishwakarma
MIIVefa,Lan Luo
MIIVefa,Kathleen Gates
MIIVefa,Kenneth A. Bollen
MIIVsem,Zachary Fisher
MIIVsem,Kenneth Bollen
MIIVsem,Kathleen Gates
MIIVsem,Mikko Ronkko
mikropml,Begum Topcuoglu
mikropml,Zena Lapp
mikropml,Kelly Sovacool
mikropml,Evan Snitkin
mikropml,Jenna Wiens
mikropml,Patrick Schloss
