name,address,town_city,county_area,state_region,country,lat,long,type,status,year_completed,approaches,driveways,lane_type,functional_class,control_type,other_control_type,previous_control_type
E Paseo del Rio / S Calle Reposa,"Pine Knoll, Coconino Co., AZ (United States)",Pine Knoll, Coconino Co., AZ,United States,-111.645215,35.185982,Roundabout,Existing,2017,3,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
N 204th St. (SR 31) / Pawnee Rd. (SR 36),"Elkhorn, Douglas Co., NE (United States)",Elkhorn, Douglas Co., NE,United States,-96.23428,41.37871,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Water Tower Way / Bynum Rd.,"Bel Air North, Harford Co., MD (United States)",Bel Air North, Harford Co., MD,United States,-76.357116,39.566709,Roundabout,Existing,2019,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Lake Shore Dr. / Cline Ave.,"Cedar Lake, Lake Co., IN (United States)",Cedar Lake, Lake Co., IN,United States,-87.43120299999998,41.385274,Roundabout,Existing,2020,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
NW 83rd Ave. / NW 77th Ave. / NW 228th St.,"Starke, Bradford Co., FL (United States)",Starke, Bradford Co., FL,United States,-82.18254,30.061152,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Rte 104 / H3 Ramps,"Ljubljana, Ljubljana (Slovenia)",Ljubljana, Ljubljana,NA,Slovenia,14.5275,46.08086,Signalized Roundabout/Circle,Existing,0,4,0,Multilane (3+ Lane),Freeway Ramps (Grade-Separated),Signal,Unknown,Unknown
E Franklin Rd. / Star Rd. / N Robinson Rd.,"Nampa, Canyon Co., ID (United States)",Nampa, Canyon Co., ID,United States,-116.49357,43.60497,Roundabout,Removed,2012,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
E County Road 600 S / Sugar Grove Rd.,"Plainfield, Hendricks Co., IN (United States)",Plainfield, Hendricks Co., IN,United States,-86.39888999999998,39.67425,Roundabout,Existing,2013,3,1,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Ellsworth Ave. / Beale Ave.,"Nellis AFB, Clark Co., NV (United States)",Nellis AFB, Clark Co., NV,United States,-115.04291,36.24458,Roundabout,Existing,2013,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
W River Rd. / E Hayden Lake Rd.,"Champlin, Hennepin Co., MN (United States)",Champlin, Hennepin Co., MN,United States,-93.38559,45.18068,Roundabout,Existing,2014,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
McCutchenville Pike / Carronade Dr.,"Perrysburg, Wood Co., OH (United States)",Perrysburg, Wood Co., OH,United States,-83.61252,41.53419,Roundabout,Existing,2017,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,None (new)
Hutley Rd. / Hwy 97A NB Ramps,"Spallumcheen, North Okanagan, BC (Canada)",Spallumcheen, North Okanagan, BC,Canada,-119.23013,50.37984,Roundabout,Existing,2008,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,None,None (new)
Still River Dr. / Pickett District Rd. / Lanesville Rd.,"New Milford, Litchfield Co., CT (United States)",New Milford, Litchfield Co., CT,United States,-73.41615,41.54029,Roundabout,Existing,2018,4,1,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
Bass Pro Dr. / (parking lots),"Clarksville, Clark Co., IN (United States)",Clarksville, Clark Co., IN,United States,-85.7637,38.32258,Roundabout,Existing,2005,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Van Dyke Ave. (M-53) / 18 1/2 Mile Rd.,"Sterling Heights, Macomb Co., MI (United States)",Sterling Heights, Macomb Co., MI,United States,-83.03118999999998,42.60148,Roundabout,Existing,2005,4,0,Multilane (3+ Lane),Freeway Ramps (Grade-Separated),All-Way Yield,None,Signal
N. Wolf Rd. / State St. / N. Broadway St. / E. Golf Rd.,"Des Plaines, Cook Co., IL (United States)",Des Plaines, Cook Co., IL,United States,-87.91028,42.05374,Roundabout,Existing,2018,5,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,Other
Crescent Blvd. / Crescent Ct. / Park Row,"Glen Ellyn, DuPage Co., IL (United States)",Glen Ellyn, DuPage Co., IL,United States,-88.05898999999998,41.87975,Roundabout,Existing,2015,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
SR 47 / Burlington Rd.,"Campton Hills, Kane Co., IL (United States)",Campton Hills, Kane Co., IL,United States,-88.47064,41.98813,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
Brockway Rd. / Martis Valley Rd.,"Truckee, Nevada Co., CA (United States)",Truckee, Nevada Co., CA,United States,-120.162694,39.321347,Roundabout,Existing,2006,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Georgia Ave.,"Monroe, Walton Co., GA (United States)",Monroe, Walton Co., GA,United States,-83.69643999999998,33.7983,Roundabout,Existing,2009,2,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Beach St. / Lakeshore Dr.,"Muskegon, Muskegon Co., MI (United States)",Muskegon, Muskegon Co., MI,United States,-86.33019,43.21957,Roundabout,Existing,2020,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Fort Howard Rd. / Old Augusta Rd.,"Rincon, Effingham Co., GA (United States)",Rincon, Effingham Co., GA,United States,-81.1953,32.30374,Roundabout,Existing,2020,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Daniel Dr. / Andrew Jackson Trl.,"Gulf Breeze, Santa Rosa Co., FL (United States)",Gulf Breeze, Santa Rosa Co., FL,United States,-87.16623,30.36385,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Stop 11 Rd. / Combs Rd.,"Indianapolis, Marion Co., IN (United States)",Indianapolis, Marion Co., IN,United States,-86.05404,39.65172,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
STH 13 / Eagle Creek Ave. / Credit River Rd. (CR 21),"Prior Lake, Scott Co., MN (United States)",Prior Lake, Scott Co., MN,United States,-93.42281,44.71331,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
Occidental Hwy. / Sutton Rd.,"Raisin, Lenawee Co., MI (United States)",Raisin, Lenawee Co., MI,United States,-83.97732999999998,41.9484,Roundabout,Existing,2020,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Rahling Rd. / Pebble Beach Dr.,"Little Rock, Pulaski Co., AR (United States)",Little Rock, Pulaski Co., AR,United States,-92.44134,34.782284,Roundabout,Existing,2016,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Rue James-Quintin / (unknown) / (parking lot),"Sherbrooke, Sherbrooke, QC (Canada)",Sherbrooke, Sherbrooke, QC,Canada,-71.873158,45.446607,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Ave des Golfeurs / Rue du Tertre,"St-Hyacinthe, Les Maskoutains Regional County Municipality, QC (Canada)",St-Hyacinthe, Les Maskoutains Regional County Municipality, QC,Canada,-72.96669,45.59838,Roundabout,Existing,2005,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
SE 15th St. / SE Knott Rd.,"Bend, Deschutes Co., OR (United States)",Bend, Deschutes Co., OR,United States,-121.28410242,44.007963549,Roundabout,Existing,2020,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Broad St. / Carver St. / Kenan Rd.,"Durham, Durham Co., NC (United States)",Durham, Durham Co., NC,United States,-78.908399,36.040031,Roundabout,Existing,2016,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Kamehameha Ave. / Maui Lani Pkwy.,"Kahului, Maui Co., HI (United States)",Kahului, Maui Co., HI,United States,-156.48413,20.86596,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
Rainier Rd. SE / SE Balustrade Blvd.,"Lacey, Thurston Co., WA (United States)",Lacey, Thurston Co., WA,United States,-122.8222,46.98697,Roundabout,Existing,2005,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Active Pedestrian Warning (flashing yellow),One/Two-Way Stop
Yelm Hwy SE / Boulevard Rd. SE,"Olympia, Thurston Co., WA (United States)",Olympia, Thurston Co., WA,United States,-122.8654,47.00397,Roundabout,Existing,2011,3,1,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Rectangular Rapid Flashing Beacon (RRFB),Unknown
Stanton Rd. / (parking),"Colorado Springs, El Paso Co., CO (United States)",Colorado Springs, El Paso Co., CO,United States,-104.806217,38.898616,Roundabout,Existing,2013,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Cumberland Way / Carnegie Way / Greyfield Cir.,"Godley Station, Chatham Co., GA (United States)",Godley Station, Chatham Co., GA,United States,-81.25113299999998,32.177652,Other,Existing,2005,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Magnolia Blvd. / (parking),"Port Wentworth, Chatham Co., GA (United States)",Port Wentworth, Chatham Co., GA,United States,-81.19781,32.20965,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Stop,None,Unknown
Lyman Blvd. / Peavey Rd.,"Chaska, Carver Co., MN (United States)",Chaska, Carver Co., MN,United States,-93.59468,44.84901,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
STH 41 (N Chestnut St.-Hazeltine Blvd.) / Lyman Blvd.,"Chaska, Carver Co., MN (United States)",Chaska, Carver Co., MN,United States,-93.59701,44.84905,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
Pyle Rd. / Morgan St.,"Oberlin, Lorain Co., OH (United States)",Oberlin, Lorain Co., OH,United States,-82.238527,41.287198,Roundabout,Existing,2019,3,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Pyle Rd. / Spruce Dr.,"Oberlin, Lorain Co., OH (United States)",Oberlin, Lorain Co., OH,United States,-82.238464197,41.290532426,Roundabout,Existing,2019,3,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Pyle Rd. / Robin Park Blvd.,"Oberlin, Lorain Co., OH (United States)",Oberlin, Lorain Co., OH,United States,-82.238367675,41.292668652,Roundabout,Existing,2019,3,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
River Club Dr. NE / Queenie Smith Rd. NE,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-83.97145899999998,33.683947,Other,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Renaissance Dr. NE / Rockdale Health Care NE,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-83.98846,33.68116,Other,Existing,0,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),Other,None,Unknown
Marl Pit Rd. / Cedar Lane Rd.,"Middletown, New Castle Co., DE (United States)",Middletown, New Castle Co., DE,United States,-75.703124,39.477618,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
2116 Adel Dr,"Loganville, Rockdale Co., GA (United States)",Loganville, Rockdale Co., GA,United States,-83.929832,33.725008,Other,Existing,0,1,3,Single-Lane,Other (At-Grade),Unknown,None,Unknown
C St. / (unknown),"Independence, Polk Co., OR (United States)",Independence, Polk Co., OR,United States,-123.183107,44.851969,Other,Existing,2019,3,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Old Highway 99 SW/ 198th Ave. SW,"Grand Mound, Thurston Co., WA (United States)",Grand Mound, Thurston Co., WA,United States,-123.01220000000001,46.80065,Roundabout,Existing,2019,4,1,Single-Lane,Other (At-Grade),All-Way Yield,Rectangular Rapid Flashing Beacon (RRFB),One/Two-Way Stop
Snapfinger Cir. / Tiffany Pl. / Emerald Castle Dr. / Emerald Springs Dr.,"Decatur, DeKalb Co., GA (United States)",Decatur, DeKalb Co., GA,United States,-84.22758799999998,33.719013,Other,Existing,0,5,2,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Marvin Rd. SE / Lake Forest Dr. SE / Oakwood St. SE,"Olympia, Thurston Co., WA (United States)",Olympia, Thurston Co., WA,United States,-122.75428,47.01411,Roundabout,Existing,2019,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Rectangular Rapid Flashing Beacon (RRFB),One/Two-Way Stop
Cornish Mountain Rd. / Waters Edge Dr.,"Covington, Walton Co., GA (United States)",Covington, Walton Co., GA,United States,-83.80524,33.67585,Other,Existing,0,2,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Little Hall Park,"Gainesville, Hall Co., GA (United States)",Gainesville, Hall Co., GA,United States,-83.94426,34.31561,Other,Existing,0,2,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Cobb Galleria Pkwy. / Galleria Pkwy.,"Atlanta, Cobb Co., GA (United States)",Atlanta, Cobb Co., GA,United States,-84.46106,33.88609,Other,Existing,0,2,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),Other,Unknown,Unknown
Halsey Ave SE / (unknown),"Marietta, Cobb Co., GA (United States)",Marietta, Cobb Co., GA,United States,-84.53236699999998,33.914116,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,None,Unknown
Windy Hill Rd SE,"Atlanta, Cobb Co., GA (United States)",Atlanta, Cobb Co., GA,United States,-84.460676,33.913123,Other,Existing,0,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),Unknown,Unknown,Unknown
(unknown),"Marietta, Cobb Co., GA (United States)",Marietta, Cobb Co., GA,United States,-84.491584,33.903755,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Tipton Cir. NW,"Acworth, Cobb Co., GA (United States)",Acworth, Cobb Co., GA,United States,-84.71055,33.99591,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Tibet Butler Dr.,"Orlando, Orange Co., FL (United States)",Orlando, Orange Co., FL,United States,-81.550897,28.44305,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Other,Unknown,Unknown
Tibet Butler Dr. / Lake Burden Cir.,"Lake Butler, Orange Co., FL (United States)",Lake Butler, Orange Co., FL,United States,-81.549397,28.452349,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Down Point Ln.,"Sunset Bay, Orange Co., FL (United States)",Sunset Bay, Orange Co., FL,United States,-81.51567,28.49589,Other,Existing,0,2,2,Single-Lane,Other (At-Grade),Other,Unknown,Unknown
Windermeredown Pl.,"Lake Butler, Orange Co., FL (United States)",Lake Butler, Orange Co., FL,United States,-81.53238,28.52183,Other,Existing,0,2,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Windermeredown Pl. / Birch Tree Ln.,"Lake Butler, Orange Co., FL (United States)",Lake Butler, Orange Co., FL,United States,-81.53140999999998,28.5207,Other,Existing,0,4,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Via Andiamo / Whitney Isles Dr.,"Lake Butler, Orange Co., FL (United States)",Lake Butler, Orange Co., FL,United States,-81.54591999999998,28.52631,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Garden Plaza / Illinois St.,"Orlando, Orange Co., FL (United States)",Orlando, Orange Co., FL,United States,-81.3541,28.555795,Roundabout,Existing,2008,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Live Oak Reserve Blvd. / Dark Oak Ct. / Regal Pine Trl.,"Oviedo, Seminole Co., FL (United States)",Oviedo, Seminole Co., FL,United States,-81.14936899999998,28.633737,Other,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Enchanted Oak Dr.,"Orlando, Orange Co., FL (United States)",Orlando, Orange Co., FL,United States,-81.54044,28.40685,Other,Existing,0,2,1,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Lake Sheen Reserve Blvd. / Pineola Dr. / Wiscane Ave.,"Lake Sheen, Orange Co., FL (United States)",Lake Sheen, Orange Co., FL,United States,-81.53112,28.42388,Other,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Grande Lakes Dr. / (parking),"Orlando, Orange Co., FL (United States)",Orlando, Orange Co., FL,United States,-81.426029,28.405479,Roundabout,Existing,2003,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Balm Boyette Rd. / Boyette Rd.,"Riverview, Hillsborough Co., FL (United States)",Riverview, Hillsborough Co., FL,United States,-82.23162,27.81723,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
E Bay Rd. / Nundy Ave. / New East Bay Rd.,"Gibsonton, Hillsborough Co., FL (United States)",Gibsonton, Hillsborough Co., FL,United States,-82.35123799999998,27.846539,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Creekside Blvd. / Arthrex Blvd. / (parking),"Naples, Collier Co., FL (United States)",Naples, Collier Co., FL,United States,-81.79545299999998,26.269147,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Creekside Blvd. / Innovation Dr. (Creekside St.),"Naples, Collier Co., FL (United States)",Naples, Collier Co., FL,United States,-81.79112,26.26916,Roundabout,Existing,2020,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Karr Rd. / John Burruss Rd.,"Cumming, Forsyth Co., GA (United States)",Cumming, Forsyth Co., GA,United States,-84.153023,34.261267,Roundabout,Existing,2019,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Old Roswell Rd. / Harlow Cir. / Heyward Way,"Roswell, Fulton Co., GA (United States)",Roswell, Fulton Co., GA,United States,-84.31573,34.05203,Roundabout,Existing,2015,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Cropping St. / Pasturelands Pl. / Pleach St.,"Signature Lakes, Orange Co., FL (United States)",Signature Lakes, Orange Co., FL,United States,-81.602117,28.465227,Roundabout,Existing,2005,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
New Independence Pkwy. / Lewis and Clark Ave. / Point Hancock Dr.,"Horizon West, Orange Co., FL (United States)",Horizon West, Orange Co., FL,United States,-81.61490499999998,28.471826,Other,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Astutula Landfill Rd.,"Tavares, Lake Co., FL (United States)",Tavares, Lake Co., FL,United States,-81.74237999999998,28.76159,Other,Existing,0,4,1,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Brookshire Cir.,"Eustis, Lake Co., FL (United States)",Eustis, Lake Co., FL,United States,-81.636341,28.850521,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Brookshire Cir.,"Eustis, Lake Co., FL (United States)",Eustis, Lake Co., FL,United States,-81.63481,28.84921,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Lakes of Mount Dora Blvd. / Bridgeport Bay Cir.,"Lakes of Mount Dora, Lake Co., FL (United States)",Lakes of Mount Dora, Lake Co., FL,United States,-81.62039699999998,28.849576,Other,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Stop,Unknown,Unknown
Lakes of Mount Dora Blvd. / (parking),"Lakes of Mount Dora, Lake Co., FL (United States)",Lakes of Mount Dora, Lake Co., FL,United States,-81.62050999999998,28.84845,Other,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Tradition Pkwy. / Millenia Lindings,"Millenia, Orange Co., FL (United States)",Millenia, Orange Co., FL,United States,-81.42349,28.49218,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Millenia Lindings / Fiorazante Ave.,"Millenia, Orange Co., FL (United States)",Millenia, Orange Co., FL,United States,-81.42467,28.49212,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Keswick Village Ct. NE,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-83.9569,33.68624,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Mattie Ct.,"Mansfield, Newton Co., GA (United States)",Mansfield, Newton Co., GA,United States,-83.697981,33.580919,Traffic Calming Circle,Existing,0,2,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Lanier Islands Pkwy. / Bulldog Bite / Red Bud Ln.,"Buford, Hall Co., GA (United States)",Buford, Hall Co., GA,United States,-84.01147,34.17443,Roundabout,Existing,2009,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,Unknown
Morris Rd. / Preston Ridge Rd.,"Alpharetta, Fulton Co., GA (United States)",Alpharetta, Fulton Co., GA,United States,-84.26715299999998,34.071488,Roundabout,Existing,2019,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Woodstock Pkwy. / Rope Mill Rd.,"Woodstock, Cherokee Co., GA (United States)",Woodstock, Cherokee Co., GA,United States,-84.52852,34.118123,Roundabout,Existing,2013,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Bethany Bend / Strickland Rd. / Deerfield Crossing Dr.,"Alpharetta, Forsyth Co., GA (United States)",Alpharetta, Forsyth Co., GA,United States,-84.25444,34.106759,Roundabout,Existing,2019,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
W Broad St. NE / Whitehead Rd.,"Sugar Hill, Gwinnett Co., GA (United States)",Sugar Hill, Gwinnett Co., GA,United States,-84.038452,34.1086,Roundabout,Existing,2012,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
SR 89 / Perkins Dr. / James Ln.,"Prescott, Yavapai Co., AZ (United States)",Prescott, Yavapai Co., AZ,United States,-112.431777,34.639932,Roundabout,Existing,2019,4,0,Unknown,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Dorset Trace Cir.,"Lawrenceville, Gwinnett Co., GA (United States)",Lawrenceville, Gwinnett Co., GA,United States,-83.910966,33.958276,Other,Existing,0,3,6,Single-Lane,Other (At-Grade),All-Way Stop,Unknown,Unknown
Mayfield Rd. / Charlotte Dr.,"Milton, Fulton Co., GA (United States)",Milton, Fulton Co., GA,United States,-84.33611,34.09079,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
<![CDATA[O'Kelly St. SE / Oakland Ave. SE]]>,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-84.018139,33.66371,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
N Hill St. / Northside Dr. / Tuskeegee Ave.,"Griffin, Spalding Co., GA (United States)",Griffin, Spalding Co., GA,United States,-84.26151299999998,33.268787,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
GA 52 / GA 183,"Dawsonville, Dawson Co., GA (United States)",Dawsonville, Dawson Co., GA,United States,-84.26383099999998,34.538857,Roundabout,Existing,2019,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Eisenhower Pkwy. (US 80) / Holley Rd.,"Lizella, Bibb Co., GA (United States)",Lizella, Bibb Co., GA,United States,-83.80245999999998,32.800648,Roundabout,Existing,2015,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Centerville Rd. / Walker Rd. / John E Sullivan Rd.,"Byron, Peach Co., GA (United States)",Byron, Peach Co., GA,United States,-83.757546,32.606561,Roundabout,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
US 41 (N Tamiami Trl.) / 14th St.,"Sarasota, Sarasota Co., FL (United States)",Sarasota, Sarasota Co., FL,United States,-82.546966,27.350361,Roundabout,Existing,2020,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,Signal
Al Nejmeh,"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.50456,33.8967,Unknown,Existing,0,6,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
(unknown),"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.51317,33.89951,Other,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
(unknown),"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.51857,33.8991,Unknown,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
(unknown),"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.52466,33.90272,Unknown,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
(unknown),"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.537016,33.903362,Unknown,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Chiekh Abdallah El Sabah / Ain El Tineh / Vienna St.,"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.481532,33.8857,Unknown,Existing,0,5,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Chiekh Abdallah El Sabah / Saket El Janzer / Schurbert / Nahr Abi Chahine,"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.47944,33.88501,Unknown,Existing,0,5,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Aramore Dr. SE / Warwick Way,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-84.01254,33.63314,Other,Existing,0,3,2,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Gabriel El Murr / El Akhtal El Saghir / Chiekh Sabah El Salem Ramps,"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.48633,33.87538,Unknown,Existing,0,4,0,Unknown,Freeway Ramps (Grade-Separated),Unknown,Unknown,Unknown
Fountain Crest Dr. SE / Fall River Dr. SE,"Conyers, Rockdale Co., GA (United States)",Conyers, Rockdale Co., GA,United States,-84.00937999999998,33.61045,Roundabout,Existing,2001,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Saeb Salam / Ahmad Dauk St.,"Beirut, Beyrouth, Beirut (Lebanon)",Beirut, Beyrouth, Beirut,Lebanon,35.495164,33.879389,Unknown,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
27th St. / Grand Ave.,"Glenwood Springs, Garfield Co., CO (United States)",Glenwood Springs, Garfield Co., CO,United States,-107.32501,39.52536,Roundabout,Existing,2020,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
