...1,Date,Team 1,Score 1,Score 2,Team 2,Venue,Tournament,Stage,T1 game no,T2 game no,Series,Margin,Winner,Loser,Notes
4135,2015-07-19,Ukraine,31,0,Denmark,Lisbon,"Olympic Games Repechage Tournament, Europe",9th-12th Place Semi-Final,67,61,1,31,Ukraine,Denmark,NA
4136,2015-07-19,Romania,15,10,Finland,Lisbon,"Olympic Games Repechage Tournament, Europe",9th-12th Place Semi-Final,75,79,3,5,Romania,Finland,NA
4137,2015-07-19,Italy,36,5,Germany,Lisbon,"Olympic Games Repechage Tournament, Europe",5th-8th Place Semi-Final,110,104,9,31,Italy,Germany,NA
4138,2015-07-19,Belgium,22,17,Sweden,Lisbon,"Olympic Games Repechage Tournament, Europe",5th-8th Place Semi-Final,91,99,3,5,Belgium,Sweden,After extra time
4139,2015-07-19,Portugal,5,28,Ireland,Lisbon,"Olympic Games Repechage Tournament, Europe",Semi-Final,120,110,5,23,Ireland,Portugal,NA
4140,2015-07-19,Spain,21,5,Netherlands,Lisbon,"Olympic Games Repechage Tournament, Europe",Semi-Final,213,221,18,16,Spain,Netherlands,NA
4141,2015-07-19,Denmark,24,0,Finland,Lisbon,"Olympic Games Repechage Tournament, Europe",11th Place Match,62,80,2,24,Denmark,Finland,NA
4142,2015-07-19,Ukraine,27,0,Romania,Lisbon,"Olympic Games Repechage Tournament, Europe",9th Place Match,68,76,3,27,Ukraine,Romania,NA
4143,2015-07-19,Germany,19,12,Sweden,Lisbon,"Olympic Games Repechage Tournament, Europe",7th Place Match,105,100,6,7,Germany,Sweden,NA
4144,2015-07-19,Italy,26,0,Belgium,Lisbon,"Olympic Games Repechage Tournament, Europe",5th Place Match,111,92,2,26,Italy,Belgium,NA
4145,2015-07-19,Portugal,12,5,Netherlands,Lisbon,"Olympic Games Repechage Tournament, Europe",3rd Place Match,121,222,11,7,Portugal,Netherlands,NA
4146,2015-07-19,Spain,26,19,Ireland,Lisbon,"Olympic Games Repechage Tournament, Europe",Final,214,111,9,7,Spain,Ireland,NA
4147,2015-08-22,China,29,7,Kenya,Dublin,World Series Qualifier,Pool B,263,40,2,22,China,Kenya,NA
4148,2015-08-22,Netherlands,33,0,Colombia,Dublin,World Series Qualifier,Pool B,223,90,1,33,Netherlands,Colombia,NA
4149,2015-08-22,Japan,19,10,Brazil,Dublin,World Series Qualifier,Pool A,211,176,6,9,Japan,Brazil,NA
4150,2015-08-22,Wales,33,12,Samoa,Dublin,World Series Qualifier,Pool A,79,91,2,21,Wales,Samoa,NA
4151,2015-08-22,South Africa,33,5,Hong Kong,Dublin,World Series Qualifier,Pool C,112,204,1,28,South Africa,Hong Kong,NA
4152,2015-08-22,Ireland,64,0,Mexico,Dublin,World Series Qualifier,Pool C,112,67,1,64,Ireland,Mexico,NA
4153,2015-08-22,Netherlands,22,7,Kenya,Dublin,World Series Qualifier,Pool B,224,41,1,15,Netherlands,Kenya,NA
4154,2015-08-22,China,26,0,Colombia,Dublin,World Series Qualifier,Pool B,264,91,1,26,China,Colombia,NA
4155,2015-08-22,Japan,17,14,Wales,Dublin,World Series Qualifier,Pool A,212,80,1,3,Japan,Wales,NA
4156,2015-08-22,Brazil,42,5,Samoa,Dublin,World Series Qualifier,Pool A,177,92,1,37,Brazil,Samoa,NA
4157,2015-08-22,Ireland,50,0,Hong Kong,Dublin,World Series Qualifier,Pool C,113,205,2,50,Ireland,Hong Kong,NA
4158,2015-08-22,South Africa,38,0,Mexico,Dublin,World Series Qualifier,Pool C,113,68,2,38,South Africa,Mexico,NA
4159,2015-08-22,Kenya,12,7,Colombia,Dublin,World Series Qualifier,Pool B,42,92,1,5,Kenya,Colombia,NA
4160,2015-08-22,Netherlands,22,10,China,Dublin,World Series Qualifier,Pool B,225,265,9,12,Netherlands,China,NA
4161,2015-08-22,Japan,33,0,Samoa,Dublin,World Series Qualifier,Pool A,213,93,5,33,Japan,Samoa,NA
4162,2015-08-22,Wales,17,0,Brazil,Dublin,World Series Qualifier,Pool A,81,178,1,17,Wales,Brazil,NA
4163,2015-08-22,Hong Kong,48,0,Mexico,Dublin,World Series Qualifier,Pool C,206,69,1,48,Hong Kong,Mexico,NA
4164,2015-08-22,Ireland,5,17,South Africa,Dublin,World Series Qualifier,Pool C,114,114,3,12,South Africa,Ireland,NA
4165,2015-08-23,South Africa,21,5,Hong Kong,Dublin,World Series Qualifier,Quarter-Final,115,207,2,16,South Africa,Hong Kong,NA
4166,2015-08-23,Ireland,27,5,China,Dublin,World Series Qualifier,Quarter-Final,115,266,4,22,Ireland,China,NA
4167,2015-08-23,Japan,17,0,Wales,Dublin,World Series Qualifier,Quarter-Final,214,82,2,17,Japan,Wales,NA
4168,2015-08-23,Netherlands,12,10,Brazil,Dublin,World Series Qualifier,Quarter-Final,226,179,8,2,Netherlands,Brazil,NA
4169,2015-08-23,Kenya,31,0,Mexico,Dublin,World Series Qualifier,9th-12th Place Semi-Final,43,70,2,31,Kenya,Mexico,NA
4170,2015-08-23,Colombia,12,5,Samoa,Dublin,World Series Qualifier,9th-12th Place Semi-Final,93,94,1,7,Colombia,Samoa,NA
4171,2015-08-23,Hong Kong,14,10,China,Dublin,World Series Qualifier,5th-8th Place Semi Final,208,267,20,4,Hong Kong,China,NA
4172,2015-08-23,Brazil,10,5,Wales,Dublin,World Series Qualifier,5th-8th Place Semi Final,180,83,2,5,Brazil,Wales,NA
4173,2015-08-23,Ireland,26,14,South Africa,Dublin,World Series Qualifier,Semi-Final,116,116,4,12,Ireland,South Africa,NA
4174,2015-08-23,Japan,10,5,Netherlands,Dublin,World Series Qualifier,Semi-Final,215,227,7,5,Japan,Netherlands,NA
4175,2015-08-23,Samoa,22,0,Mexico,Dublin,World Series Qualifier,11th Place Match,95,71,2,22,Samoa,Mexico,NA
4176,2015-08-23,Kenya,5,0,Colombia,Dublin,World Series Qualifier,9th Place Match,44,94,2,5,Kenya,Colombia,NA
4177,2015-08-23,Wales,29,7,China,Dublin,World Series Qualifier,7th Place Match,84,268,1,22,Wales,China,NA
4178,2015-08-23,Brazil,17,0,Hong Kong,Dublin,World Series Qualifier,5th Place Match,181,209,3,17,Brazil,Hong Kong,NA
4179,2015-08-23,South Africa,12,0,Netherlands,Dublin,World Series Qualifier,3rd Place Match,117,228,6,12,South Africa,Netherlands,NA
4180,2015-08-23,Ireland,12,13,Japan,Dublin,World Series Qualifier,Final,117,216,3,1,Japan,Ireland,NA
4181,2015-09-05,Kazakhstan,27,0,Uzbekistan,Qingdao,Asian Sevens,Pool X,163,49,3,27,Kazakhstan,Uzbekistan,NA
4182,2015-09-05,Japan,44,7,Thailand,Qingdao,Asian Sevens,Pool X,217,166,15,37,Japan,Thailand,NA
4183,2015-09-05,Hong Kong,53,0,Singapore,Qingdao,Asian Sevens,Pool W,210,188,17,53,Hong Kong,Singapore,NA
4184,2015-09-05,China,31,5,Sri Lanka,Qingdao,Asian Sevens,Pool W,269,53,8,26,China,Sri Lanka,NA
4185,2015-09-05,Kazakhstan,40,14,Thailand,Qingdao,Asian Sevens,Pool X,164,167,16,26,Kazakhstan,Thailand,NA
4186,2015-09-05,Japan,57,0,Uzbekistan,Qingdao,Asian Sevens,Pool X,218,50,4,57,Japan,Uzbekistan,NA
4187,2015-09-05,Hong Kong,27,5,Sri Lanka,Qingdao,Asian Sevens,Pool W,211,54,8,22,Hong Kong,Sri Lanka,NA
4188,2015-09-05,China,52,0,Singapore,Qingdao,Asian Sevens,Pool W,270,189,14,52,China,Singapore,NA
4189,2015-09-05,Thailand,19,0,Uzbekistan,Qingdao,Asian Sevens,Pool X,168,51,4,19,Thailand,Uzbekistan,NA
4190,2015-09-05,Kazakhstan,12,10,Japan,Qingdao,Asian Sevens,Pool X,165,219,15,2,Kazakhstan,Japan,NA
4191,2015-09-05,Singapore,19,7,Sri Lanka,Qingdao,Asian Sevens,Pool W,190,55,8,12,Singapore,Sri Lanka,NA
4192,2015-09-05,China,10,19,Hong Kong,Qingdao,Asian Sevens,Pool W,271,212,21,9,Hong Kong,China,NA
4193,2015-09-06,Japan,50,0,Singapore,Qingdao,Asian Sevens,Quarter-Final,220,191,17,50,Japan,Singapore,NA
4194,2015-09-06,Hong Kong,31,0,Uzbekistan,Qingdao,Asian Sevens,Quarter-Final,213,52,7,31,Hong Kong,Uzbekistan,NA
4195,2015-09-06,Kazakhstan,40,5,Sri Lanka,Qingdao,Asian Sevens,Quarter-Final,166,56,4,35,Kazakhstan,Sri Lanka,NA
4196,2015-09-06,China,34,5,Thailand,Qingdao,Asian Sevens,Quarter-Final,272,169,21,29,China,Thailand,NA
4197,2015-09-06,Singapore,21,17,Uzbekistan,Qingdao,Asian Sevens,5th-8th Place Semi Final,192,53,6,4,Singapore,Uzbekistan,NA
4198,2015-09-06,Thailand,24,14,Sri Lanka,Qingdao,Asian Sevens,5th-8th Place Semi Final,170,57,8,10,Thailand,Sri Lanka,NA
4199,2015-09-06,Hong Kong,5,0,Japan,Qingdao,Asian Sevens,Semi-Final,214,221,20,5,Hong Kong,Japan,NA
4200,2015-09-06,China,22,17,Kazakhstan,Qingdao,Asian Sevens,Semi-Final,273,167,23,5,China,Kazakhstan,NA
4201,2015-09-06,Uzbekistan,17,14,Sri Lanka,Qingdao,Asian Sevens,7th Place Match,54,58,6,3,Uzbekistan,Sri Lanka,NA
4202,2015-09-06,Thailand,27,0,Singapore,Qingdao,Asian Sevens,5th Place Match,171,193,19,27,Thailand,Singapore,NA
4203,2015-09-06,Japan,15,0,Kazakhstan,Qingdao,Asian Sevens,3rd Place Match,222,168,16,15,Japan,Kazakhstan,NA
4204,2015-09-06,China,15,24,Hong Kong,Qingdao,Asian Sevens,Final,274,215,22,9,Hong Kong,China,NA
4205,2015-09-26,South Africa,59,0,Zambia,Kempton Park,African Sevens,Pool A,118,19,3,59,South Africa,Zambia,NA
4206,2015-09-26,Kenya,48,7,Botswana,Kempton Park,African Sevens,Pool B,45,10,2,41,Kenya,Botswana,NA
4207,2015-09-26,Zimbabwe,19,5,Uganda,Kempton Park,African Sevens,Pool A,31,45,8,14,Zimbabwe,Uganda,NA
4208,2015-09-26,Tunisia,15,12,Madagascar,Kempton Park,African Sevens,Pool B,68,19,1,3,Tunisia,Madagascar,NA
4209,2015-09-26,South Africa,79,0,Namibia,Kempton Park,African Sevens,Pool A,119,6,1,79,South Africa,Namibia,NA
4210,2015-09-26,Kenya,52,0,Senegal,Kempton Park,African Sevens,Pool B,46,22,4,52,Kenya,Senegal,NA
4211,2015-09-26,Zimbabwe,37,0,Zambia,Kempton Park,African Sevens,Pool A,32,20,6,37,Zimbabwe,Zambia,NA
4212,2015-09-26,Tunisia,47,0,Botswana,Kempton Park,African Sevens,Pool B,69,11,2,47,Tunisia,Botswana,NA
4213,2015-09-26,Uganda,17,7,Namibia,Kempton Park,African Sevens,Pool A,46,7,2,10,Uganda,Namibia,NA
4214,2015-09-26,Madagascar,14,5,Senegal,Kempton Park,African Sevens,Pool B,20,23,2,9,Madagascar,Senegal,NA
4215,2015-09-26,South Africa,33,0,Zimbabwe,Kempton Park,African Sevens,Pool A,120,33,3,33,South Africa,Zimbabwe,NA
4216,2015-09-26,Kenya,19,7,Tunisia,Kempton Park,African Sevens,Pool B,47,70,6,12,Kenya,Tunisia,NA
4217,2015-09-26,Uganda,36,0,Zambia,Kempton Park,African Sevens,Pool A,47,21,1,36,Uganda,Zambia,NA
4218,2015-09-26,Madagascar,43,7,Botswana,Kempton Park,African Sevens,Pool B,21,12,2,36,Madagascar,Botswana,NA
4219,2015-09-26,Zimbabwe,33,12,Namibia,Kempton Park,African Sevens,Pool A,34,8,2,21,Zimbabwe,Namibia,NA
4220,2015-09-26,Tunisia,40,0,Senegal,Kempton Park,African Sevens,Pool B,71,24,3,40,Tunisia,Senegal,NA
4221,2015-09-27,South Africa,39,0,Uganda,Kempton Park,African Sevens,Pool A,121,48,5,39,South Africa,Uganda,NA
4222,2015-09-27,Kenya,33,0,Madagascar,Kempton Park,African Sevens,Pool B,48,22,3,33,Kenya,Madagascar,NA
4223,2015-09-27,Namibia,15,10,Zambia,Kempton Park,African Sevens,Pool A,9,22,1,5,Namibia,Zambia,NA
4224,2015-09-27,Senegal,32,0,Botswana,Kempton Park,African Sevens,Pool B,25,13,1,32,Senegal,Botswana,NA
4225,2015-09-27,Senegal,15,10,Uganda,Kempton Park,African Sevens,5th-8th Place Semi-Final,26,49,4,5,Senegal,Uganda,After extra time
4226,2015-09-27,Madagascar,43,0,Namibia,Kempton Park,African Sevens,5th-8th Place Semi-Final,23,10,2,43,Madagascar,Namibia,NA
4227,2015-09-27,South Africa,34,0,Tunisia,Kempton Park,African Sevens,Semi-Final,122,72,2,34,South Africa,Tunisia,NA
4228,2015-09-27,Kenya,39,0,Zimbabwe,Kempton Park,African Sevens,Semi-Final,49,35,2,39,Kenya,Zimbabwe,NA
4229,2015-09-27,Botswana,12,5,Zambia,Kempton Park,African Sevens,9th Place Match,14,23,2,7,Botswana,Zambia,NA
4230,2015-09-27,Uganda,36,0,Namibia,Kempton Park,African Sevens,7th Place Match,50,11,3,36,Uganda,Namibia,NA
4231,2015-09-27,Madagascar,15,0,Senegal,Kempton Park,African Sevens,5th Place Match,24,27,3,15,Madagascar,Senegal,NA
4232,2015-09-27,Tunisia,33,0,Zimbabwe,Kempton Park,African Sevens,3rd Place Match,73,36,6,33,Tunisia,Zimbabwe,NA
4233,2015-09-27,South Africa,31,5,Kenya,Kempton Park,African Sevens,Final,123,50,7,26,South Africa,Kenya,NA
4234,2015-10-10,Sri Lanka,10,17,Kazakhstan,Colombo,Asian Sevens,Pool X,59,169,5,7,Kazakhstan,Sri Lanka,NA
4235,2015-10-10,China,55,0,Singapore,Colombo,Asian Sevens,Pool X,275,194,15,55,China,Singapore,NA
4236,2015-10-10,Japan,21,17,Uzbekistan,Colombo,Asian Sevens,Pool W,223,55,5,4,Japan,Uzbekistan,NA
4237,2015-10-10,Thailand,7,5,Hong Kong,Colombo,Asian Sevens,Pool W,172,216,22,2,Thailand,Hong Kong,NA
4238,2015-10-10,Kazakhstan,43,7,Singapore,Colombo,Asian Sevens,Pool X,170,195,15,36,Kazakhstan,Singapore,NA
4239,2015-10-10,Sri Lanka,0,45,China,Colombo,Asian Sevens,Pool X,60,276,9,45,China,Sri Lanka,NA
4240,2015-10-10,Japan,38,0,Thailand,Colombo,Asian Sevens,Pool W,224,173,16,38,Japan,Thailand,NA
4241,2015-10-10,Hong Kong,52,0,Uzbekistan,Colombo,Asian Sevens,Pool W,217,56,8,52,Hong Kong,Uzbekistan,NA
4242,2015-10-10,Sri Lanka,28,10,Singapore,Colombo,Asian Sevens,Pool X,61,196,9,18,Sri Lanka,Singapore,NA
4243,2015-10-10,China,7,7,Kazakhstan,Colombo,Asian Sevens,Pool X,277,171,24,0,Draw,Draw,NA
4244,2015-10-10,Thailand,22,0,Uzbekistan,Colombo,Asian Sevens,Pool W,174,57,5,22,Thailand,Uzbekistan,NA
4245,2015-10-10,Japan,15,5,Hong Kong,Colombo,Asian Sevens,Pool W,225,218,21,10,Japan,Hong Kong,NA
4246,2015-10-11,Hong Kong,14,7,Kazakhstan,Colombo,Asian Sevens,Quarter-Final,219,172,21,7,Hong Kong,Kazakhstan,NA
4247,2015-10-11,Japan,38,0,Singapore,Colombo,Asian Sevens,Quarter-Final,226,197,18,38,Japan,Singapore,NA
4248,2015-10-11,China,55,5,Uzbekistan,Colombo,Asian Sevens,Quarter-Final,278,58,7,50,China,Uzbekistan,NA
4249,2015-10-11,Sri Lanka,0,17,Thailand,Colombo,Asian Sevens,Quarter-Final,62,175,9,17,Thailand,Sri Lanka,NA
4250,2015-10-11,Kazakhstan,29,0,Singapore,Colombo,Asian Sevens,5th-8th Place Semi Final,173,198,16,29,Kazakhstan,Singapore,NA
4251,2015-10-11,Sri Lanka,7,17,Uzbekistan,Colombo,Asian Sevens,5th-8th Place Semi Final,63,59,7,10,Uzbekistan,Sri Lanka,NA
4252,2015-10-11,Japan,17,0,Hong Kong,Colombo,Asian Sevens,Semi-Final,227,220,22,17,Japan,Hong Kong,NA
4253,2015-10-11,China,24,5,Thailand,Colombo,Asian Sevens,Semi-Final,279,176,22,19,China,Thailand,NA
4254,2015-10-11,Sri Lanka,14,17,Singapore,Colombo,Asian Sevens,7th Place Match,64,199,10,3,Singapore,Sri Lanka,NA
4255,2015-10-11,Kazakhstan,43,0,Uzbekistan,Colombo,Asian Sevens,5th Place Match,174,60,4,43,Kazakhstan,Uzbekistan,NA
4256,2015-10-11,Hong Kong,21,15,Thailand,Colombo,Asian Sevens,3rd Place Match,221,177,23,6,Hong Kong,Thailand,NA
4257,2015-10-11,Japan,33,12,China,Colombo,Asian Sevens,Final,228,280,27,21,Japan,China,NA
4258,2015-11-07,Japan,7,5,Kazakhstan,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,229,175,17,2,Japan,Kazakhstan,NA
4259,2015-11-07,China,54,0,Guam,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,281,40,3,54,China,Guam,NA
4260,2015-11-07,Hong Kong,36,5,Sri Lanka,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,222,65,9,31,Hong Kong,Sri Lanka,NA
4261,2015-11-07,Kazakhstan,46,7,Guam,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,176,41,3,39,Kazakhstan,Guam,NA
4262,2015-11-07,Japan,48,0,Sri Lanka,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,230,66,2,48,Japan,Sri Lanka,NA
4263,2015-11-07,Hong Kong,5,0,China,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,223,282,23,5,Hong Kong,China,NA
4264,2015-11-07,Sri Lanka,22,7,Guam,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,67,42,2,15,Sri Lanka,Guam,NA
4265,2015-11-07,Kazakhstan,22,12,China,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,177,283,25,10,Kazakhstan,China,NA
4266,2015-11-07,Hong Kong,0,36,Japan,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,224,231,23,36,Japan,Hong Kong,NA
4267,2015-11-08,Japan,53,0,Guam,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,232,43,4,53,Japan,Guam,NA
4268,2015-11-08,China,47,7,Sri Lanka,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,284,68,10,40,China,Sri Lanka,NA
4269,2015-11-08,Hong Kong,12,20,Kazakhstan,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,225,178,22,8,Kazakhstan,Hong Kong,NA
4270,2015-11-08,Kazakhstan,31,7,Sri Lanka,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,179,69,6,24,Kazakhstan,Sri Lanka,NA
4271,2015-11-08,Hong Kong,29,0,Guam,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,226,44,5,29,Hong Kong,Guam,NA
4272,2015-11-08,China,12,5,Japan,Hong Kong,"Olympic Games Qualifier, Asia",Group Stage,285,233,28,7,China,Japan,NA
4273,2015-11-08,Guam,21,5,Sri Lanka,Hong Kong,"Olympic Games Qualifier, Asia",5th Place Match,45,70,3,16,Guam,Sri Lanka,NA
4274,2015-11-08,Hong Kong,12,5,China,Hong Kong,"Olympic Games Qualifier, Asia",3rd Place Match,227,286,24,7,Hong Kong,China,NA
4275,2015-11-08,Japan,22,0,Kazakhstan,Hong Kong,"Olympic Games Qualifier, Asia",Final,234,180,18,22,Japan,Kazakhstan,NA
4276,2015-11-14,Samoa,35,0,Tonga,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,96,30,6,35,Samoa,Tonga,NA
4277,2015-11-14,Cook Islands,29,7,Papua New Guinea,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,31,85,4,22,Cook Islands,Papua New Guinea,NA
4278,2015-11-14,Papua New Guinea,20,5,Tonga,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,86,31,5,15,Papua New Guinea,Tonga,NA
4279,2015-11-14,Fiji,48,0,Cook Islands,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,121,32,4,48,Fiji,Cook Islands,NA
4280,2015-11-14,Samoa,31,7,Papua New Guinea,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,97,87,11,24,Samoa,Papua New Guinea,NA
4281,2015-11-14,Fiji,62,0,Tonga,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,122,32,4,62,Fiji,Tonga,NA
4282,2015-11-14,Cook Islands,29,5,Tonga,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,33,33,4,24,Cook Islands,Tonga,NA
4283,2015-11-14,Fiji,41,0,Samoa,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,123,98,11,41,Fiji,Samoa,NA
4284,2015-11-15,Cook Islands,19,7,Samoa,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,34,99,6,12,Cook Islands,Samoa,NA
4285,2015-11-15,Fiji,43,0,Papua New Guinea,Waitakere City,"Olympic Games Qualifier, Oceania",Group Stage,124,88,7,43,Fiji,Papua New Guinea,NA
4286,2015-11-15,Samoa,17,15,Cook Islands,Waitakere City,"Olympic Games Qualifier, Oceania",Semi-Final,100,35,7,2,Samoa,Cook Islands,NA
4287,2015-11-15,Fiji,38,0,Papua New Guinea,Waitakere City,"Olympic Games Qualifier, Oceania",Semi-Final,125,89,8,38,Fiji,Papua New Guinea,NA
4288,2015-11-15,Cook Islands,32,0,Papua New Guinea,Waitakere City,"Olympic Games Qualifier, Oceania",3rd Place Match,36,90,5,32,Cook Islands,Papua New Guinea,NA
4289,2015-11-15,Fiji,55,0,Samoa,Waitakere City,"Olympic Games Qualifier, Oceania",Final,126,101,12,55,Fiji,Samoa,NA
4290,2015-11-28,Japan,20,7,China,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,235,287,29,13,Japan,China,NA
4291,2015-11-28,Kazakhstan,34,0,Sri Lanka,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,181,71,7,34,Kazakhstan,Sri Lanka,NA
4292,2015-11-28,Hong Kong,38,0,Guam,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,228,46,6,38,Hong Kong,Guam,NA
4293,2015-11-28,China,36,7,Sri Lanka,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,288,72,11,29,China,Sri Lanka,NA
4294,2015-11-28,Japan,39,0,Guam,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,236,47,5,39,Japan,Guam,NA
4295,2015-11-28,Kazakhstan,29,5,Hong Kong,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,182,229,23,24,Kazakhstan,Hong Kong,NA
4296,2015-11-28,Sri Lanka,22,7,Guam,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,73,48,4,15,Sri Lanka,Guam,NA
4297,2015-11-28,Kazakhstan,14,0,China,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,183,289,26,14,Kazakhstan,China,NA
4298,2015-11-28,Japan,27,5,Hong Kong,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,237,230,24,22,Japan,Hong Kong,NA
4299,2015-11-29,Japan,49,0,Sri Lanka,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,238,74,3,49,Japan,Sri Lanka,NA
4300,2015-11-29,China,17,7,Hong Kong,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,290,231,25,10,China,Hong Kong,NA
4301,2015-11-29,Kazakhstan,36,0,Guam,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,184,49,4,36,Kazakhstan,Guam,NA
4302,2015-11-29,Hong Kong,36,7,Sri Lanka,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,232,75,10,29,Hong Kong,Sri Lanka,NA
4303,2015-11-29,China,57,0,Guam,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,291,50,4,57,China,Guam,NA
4304,2015-11-29,Japan,5,7,Kazakhstan,Tokyo,"Olympic Games Qualifier, Asia",Group Stage,239,185,19,2,Kazakhstan,Japan,NA
4305,2015-11-29,Sri Lanka,12,10,Guam,Tokyo,"Olympic Games Qualifier, Asia",5th Place Match,76,51,5,2,Sri Lanka,Guam,NA
4306,2015-11-29,China,19,10,Hong Kong,Tokyo,"Olympic Games Qualifier, Asia",3rd Place Match,292,233,26,9,China,Hong Kong,NA
4307,2015-11-29,Japan,14,7,Kazakhstan,Tokyo,"Olympic Games Qualifier, Asia",Final,240,186,20,7,Japan,Kazakhstan,NA
4308,2015-12-03,Fiji,24,10,Canada,Dubai,World Series,Pool B,127,184,4,14,Fiji,Canada,NA
4309,2015-12-03,Ireland,12,5,United States,Dubai,World Series,Pool B,118,213,5,7,Ireland,United States,NA
4310,2015-12-03,Russia,33,7,New Zealand,Dubai,World Series,Pool A,205,147,11,26,Russia,New Zealand,NA
4311,2015-12-03,France,25,5,Brazil,Dubai,World Series,Pool A,225,182,8,20,France,Brazil,NA
4312,2015-12-03,Australia,26,7,Spain,Dubai,World Series,Pool C,221,215,10,19,Australia,Spain,NA
4313,2015-12-03,England,35,0,Japan,Dubai,World Series,Pool C,248,241,7,35,England,Japan,NA
4314,2015-12-03,Canada,17,7,Ireland,Dubai,World Series,Pool B,185,119,2,10,Canada,Ireland,NA
4315,2015-12-03,Fiji,24,19,United States,Dubai,World Series,Pool B,128,214,8,5,Fiji,United States,NA
4316,2015-12-03,New Zealand,36,5,Brazil,Dubai,World Series,Pool A,148,183,6,31,New Zealand,Brazil,NA
4317,2015-12-03,Russia,21,17,France,Dubai,World Series,Pool A,206,226,19,4,Russia,France,NA
4318,2015-12-03,Australia,43,0,Japan,Dubai,World Series,Pool C,222,242,12,43,Australia,Japan,NA
4319,2015-12-03,England,14,7,Spain,Dubai,World Series,Pool C,249,216,22,7,England,Spain,NA
4320,2015-12-03,Canada,35,5,United States,Dubai,World Series,Pool B,186,215,21,30,Canada,United States,NA
4321,2015-12-03,Fiji,27,10,Ireland,Dubai,World Series,Pool B,129,120,3,17,Fiji,Ireland,NA
4322,2015-12-03,New Zealand,21,12,France,Dubai,World Series,Pool A,149,227,7,9,New Zealand,France,NA
4323,2015-12-03,Russia,41,0,Brazil,Dubai,World Series,Pool A,207,184,6,41,Russia,Brazil,NA
4324,2015-12-03,Australia,24,7,England,Dubai,World Series,Pool C,223,250,15,17,Australia,England,NA
4325,2015-12-03,Spain,26,12,Japan,Dubai,World Series,Pool C,217,243,3,14,Spain,Japan,NA
4326,2015-12-04,Russia,24,0,Spain,Dubai,World Series,Quarter-Final,208,218,17,24,Russia,Spain,NA
4327,2015-12-04,France,19,12,Fiji,Dubai,World Series,Quarter-Final,228,130,5,7,France,Fiji,NA
4328,2015-12-04,Australia,15,12,New Zealand,Dubai,World Series,Quarter-Final,224,150,19,3,Australia,New Zealand,NA
4329,2015-12-04,England,17,12,Canada,Dubai,World Series,Quarter-Final,251,187,20,5,England,Canada,NA
4330,2015-12-04,Brazil,29,7,Ireland,Dubai,World Series,9th-12th Place Semi-Final,185,121,5,22,Brazil,Ireland,NA
4331,2015-12-04,Japan,15,14,United States,Dubai,World Series,9th-12th Place Semi-Final,244,216,8,1,Japan,United States,NA
4332,2015-12-04,Canada,21,12,Spain,Dubai,World Series,5th-8th Place Semi Final,188,219,9,9,Canada,Spain,NA
4333,2015-12-04,New Zealand,33,12,Fiji,Dubai,World Series,5th-8th Place Semi Final,151,131,12,21,New Zealand,Fiji,NA
4334,2015-12-04,Russia,19,12,England,Dubai,World Series,Semi-Final,209,252,21,7,Russia,England,NA
4335,2015-12-04,Australia,26,0,France,Dubai,World Series,Semi-Final,225,229,11,26,Australia,France,NA
4336,2015-12-04,United States,31,24,Ireland,Dubai,World Series,11th Place Match,217,122,6,7,United States,Ireland,NA
