test_no,date,team_1,score_1,score_2,team_2,venue,home_test_no,away_test_no,series_no,tournament,margin_of_victory,home_away_win,winner,loser
513,2005-05-21,Bosnia-Herzegovina,0,74,Russia,"Zenica, Bosnia",2,15,1,FIRA,74,A,Russia,Bosnia-Herzegovina
514,2005-05-23,Norway,0,49,Russia,"Zenica, Bosnia",8,16,2,FIRA,49,N,Russia,Norway
515,2005-05-23,Bosnia-Herzegovina,0,22,Norway,"Zenica, Bosnia",3,9,2,FIRA,22,A,Norway,Bosnia-Herzegovina
516,2005-05-23,Bosnia-Herzegovina,0,65,Russia,"Zenica, Bosnia",4,17,2,FIRA,65,A,Russia,Bosnia-Herzegovina
517,2005-06-03,Hong Kong,0,78,Japan,Bangkok,4,19,4,World Cup,78,N,Japan,Hong Kong
518,2005-06-03,Thailand,0,67,Kazakhstan,Bangkok,1,32,1,World Cup,67,A,Kazakhstan,Thailand
519,2005-06-05,Thailand,20,18,Hong Kong,Bangkok,2,5,1,World Cup,2,H,Thailand,Hong Kong
520,2005-06-05,Kazakhstan,19,3,Japan,Bangkok,33,20,1,World Cup,16,N,Kazakhstan,Japan
521,2005-06-29,New Zealand,30,9,Scotland,Ottawa,38,88,2,Canada Cup,21,N,New Zealand,Scotland
522,2005-07-02,Canada,22,9,Scotland,Ottawa,51,89,3,Canada Cup,13,H,Canada,Scotland
523,2005-07-05,Canada,3,43,New Zealand,Ottawa,52,39,6,Canada Cup,40,A,New Zealand,Canada
524,2005-07-08,Canada,5,32,New Zealand,Ottawa,53,40,7,Canada Cup,27,A,New Zealand,Canada
525,2005-10-15,Samoa,0,53,England,"Ericsson Stadium, Auckland",6,114,1,Friendly,53,N,England,Samoa
526,2005-10-22,New Zealand,24,15,England,"Eden Park, Auckland",41,115,8,Friendly,9,H,New Zealand,England
527,2005-10-22,Italy,11,14,Wales,Treviso,52,94,5,Friendly,3,A,Wales,Italy
528,2005-10-26,New Zealand,33,8,England,"Waikato Stadium, Hamilton",42,116,9,Friendly,25,H,New Zealand,England
529,2005-11-11,France,13,5,Canada,Nantes,101,54,4,Friendly,8,H,France,Canada
530,2005-11-11,France,29,0,Canada,Nanterre,102,55,5,Friendly,29,H,France,Canada
531,2005-12-10,Uganda,81,0,Rwanda,Kampala,2,2,2,Friendly,81,H,Uganda,Rwanda
532,2006-01-21,Scotland,6,13,United States,"Netherdale, Gala",90,50,4,Friendly,7,A,United States,Scotland
533,2006-01-25,Ireland,5,23,United States,Limerick,68,51,2,Friendly,18,A,United States,Ireland
534,2006-02-04,Ireland,25,10,Spain,"Donnybrook, Dublin",69,76,8,6 Nations,15,H,Ireland,Spain
535,2006-02-04,England,38,15,Wales,"Old Albanians, St Albans",117,95,22,6 Nations,23,H,England,Wales
536,2006-02-05,Scotland,3,23,France,Murrayfield,91,103,12,6 Nations,20,A,France,Scotland
537,2006-02-10,France,32,0,Ireland,"Montauban, Toulouse",104,70,11,6 Nations,32,H,France,Ireland
538,2006-02-11,Spain,3,86,England,"La Ciudad Universitaria, Madrid",77,118,13,6 Nations,83,A,England,Spain
539,2006-02-11,Wales,5,0,Scotland,"Sardis Rd, Pontypridd",96,92,17,6 Nations,5,H,Wales,Scotland
540,2006-02-25,Ireland,7,14,Wales,"Donnybrook, Dublin",71,97,11,6 Nations,7,A,Wales,Ireland
541,2006-02-25,Scotland,5,22,England,Murrayfield,93,119,15,6 Nations,17,A,England,Scotland
542,2006-02-25,France,38,0,Spain,"Saint Jean De Luz, Biarritz",105,78,17,6 Nations,38,H,France,Spain
543,2006-03-10,Wales,10,0,Spain,"Sardis Rd, Pontypridd",98,79,9,6 Nations,10,H,Wales,Spain
544,2006-03-10,Ireland,0,9,Scotland,Navan,72,94,13,6 Nations,9,A,Scotland,Ireland
545,2006-03-11,France,0,28,England,"Bondoufle, Paris",106,120,19,6 Nations,28,A,England,France
546,2006-03-17,Wales,11,10,France,"Sardis Rd, Pontypridd",99,107,9,6 Nations,1,H,Wales,France
547,2006-03-17,England,29,10,Ireland,"Old Albanians, St Albans",121,73,9,6 Nations,19,H,England,Ireland
548,2006-03-18,Spain,12,16,Scotland,"La Ciudad Universitaria, Madrid",80,95,13,6 Nations,4,A,Scotland,Spain
549,2006-04-14,Fiji,15,27,Samoa,"Teufaiva Park, Nuku’alofa",1,7,1,Pacific tri-nations,12,N,Samoa,Fiji
550,2006-04-18,Tonga,5,52,Fiji,"Teufaiva Park, Nuku’alofa",1,2,1,Pacific tri-nations,47,A,Fiji,Tonga
551,2006-04-22,Tonga,5,60,Samoa,"Teufaiva Park, Nuku’alofa",2,8,1,Pacific tri-nations,55,A,Samoa,Tonga
552,2006-04-23,Italy,34,0,Belgium,"San Donà di Piave, Italy",53,8,1,FIRA,34,H,Italy,Belgium
553,2006-04-23,Belgium,0,24,Russia,"San Donà di Piave, Italy",9,18,1,FIRA,24,N,Russia,Belgium
554,2006-04-23,Italy,30,0,Russia,"San Donà di Piave, Italy",54,19,2,FIRA,30,H,Italy,Russia
555,2006-04-23,Netherlands,84,0,Norway,"San Donà di Piave, Italy",75,10,2,FIRA,84,N,Netherlands,Norway
556,2006-04-23,Norway,0,34,Sweden,"San Donà di Piave, Italy",11,40,1,FIRA,34,N,Sweden,Norway
557,2006-04-23,Netherlands,10,5,Sweden,"San Donà di Piave, Italy",76,41,8,FIRA,5,N,Netherlands,Sweden
558,2006-04-26,Netherlands,53,5,Russia,"San Donà di Piave, Italy",77,20,2,FIRA,48,N,Netherlands,Russia
559,2006-04-26,Italy,33,0,Sweden,"San Donà di Piave, Italy",55,42,5,FIRA,33,H,Italy,Sweden
560,2006-04-26,Belgium,41,0,Norway,"San Donà di Piave, Italy",10,12,1,FIRA,41,N,Belgium,Norway
561,2006-04-29,Ireland,15,8,Canada,Galway,74,56,2,Friendly,7,N,Ireland,Canada
562,2006-04-30,Italy,28,7,Netherlands,"San Donà di Piave, Italy",56,78,9,FIRA,21,H,Italy,Netherlands
563,2006-04-30,Belgium,0,32,Sweden,"San Donà di Piave, Italy",11,43,3,FIRA,32,N,Sweden,Belgium
564,2006-04-30,Norway,5,62,Russia,"San Donà di Piave, Italy",13,21,3,FIRA,57,N,Russia,Norway
565,2006-05-06,Wales,16,11,Canada,Glamorgan Wanderers,100,57,7,Friendly,5,H,Wales,Canada
566,2006-06-09,Uganda,24,0,Kenya,Kampala,3,1,1,Elgon Cup,24,H,Uganda,Kenya
567,2006-06-10,United States,25,10,Canada,"Boulder, Colorado",52,58,17,Friendly,15,H,United States,Canada
568,2006-06-13,United States,18,20,Canada,"Boulder, Colorado",53,59,18,Friendly,2,A,Canada,United States
569,2006-06-17,South Africa,35,0,Netherlands,Port Elizabeth,5,79,1,Friendly,35,H,South Africa,Netherlands
570,2006-06-24,South Africa,42,12,Netherlands,Durban,6,80,2,Friendly,30,H,South Africa,Netherlands
571,2006-08-12,Kenya,0,3,Uganda,Nairobi,2,4,2,Elgon Cup,3,A,Uganda,Kenya
572,2006-08-31,New Zealand,66,7,Canada,"Ellerslie Rugby Park, Edmonton",43,60,8,World Cup,59,N,New Zealand,Canada
573,2006-08-31,Spain,0,24,Scotland,"St. Albert Rugby Park, St. Albert",81,96,14,World Cup,24,N,Scotland,Spain
574,2006-08-31,Kazakhstan,0,20,Samoa,"Ellerslie Rugby Park, Edmonton",34,9,2,World Cup,20,N,Samoa,Kazakhstan
575,2006-08-31,England,18,0,United States,"St. Albert Rugby Park, St. Albert",122,54,6,World Cup,18,N,England,United States
576,2006-08-31,Australia,68,12,South Africa,"Ellerslie Rugby Park, Edmonton",18,7,1,World Cup,56,N,Australia,South Africa
577,2006-08-31,Ireland,0,43,France,"St. Albert Rugby Park, St. Albert",75,108,12,World Cup,43,N,France,Ireland
578,2006-09-04,New Zealand,50,0,Samoa,"St. Albert Rugby Park, St. Albert",44,10,1,World Cup,50,N,New Zealand,Samoa
579,2006-09-04,England,74,8,South Africa,"Ellerslie Rugby Park, Edmonton",123,8,2,World Cup,66,N,England,South Africa
580,2006-09-04,Canada,79,0,Spain,"St. Albert Rugby Park, St. Albert",61,82,2,World Cup,79,H,Canada,Spain
581,2006-09-04,Australia,10,24,France,"Ellerslie Rugby Park, Edmonton",19,109,2,World Cup,14,N,France,Australia
582,2006-09-04,Kazakhstan,17,32,Scotland,"St. Albert Rugby Park, St. Albert",35,97,1,World Cup,15,N,Scotland,Kazakhstan
583,2006-09-04,Ireland,11,24,United States,"Ellerslie Rugby Park, Edmonton",76,55,3,World Cup,13,N,United States,Ireland
584,2006-09-08,New Zealand,21,0,Scotland,"Ellerslie Rugby Park, Edmonton",45,98,3,World Cup,21,N,New Zealand,Scotland
585,2006-09-08,Canada,45,5,Kazakhstan,"Ellerslie Rugby Park, Edmonton",62,36,2,World Cup,40,H,Canada,Kazakhstan
586,2006-09-08,England,27,8,France,"St. Albert Rugby Park, St. Albert",124,110,20,World Cup,19,N,England,France
587,2006-09-08,Spain,14,12,Samoa,"St. Albert Rugby Park, St. Albert",83,11,1,World Cup,2,N,Spain,Samoa
588,2006-09-08,Australia,6,10,United States,"Ellerslie Rugby Park, Edmonton",20,56,3,World Cup,4,N,United States,Australia
589,2006-09-08,Ireland,37,0,South Africa,"St. Albert Rugby Park, St. Albert",77,9,1,World Cup,37,N,Ireland,South Africa
590,2006-09-12,New Zealand,40,10,France,"Ellerslie Rugby Park, Edmonton",46,111,3,World Cup,30,N,New Zealand,France
591,2006-09-12,Canada,6,10,England,"Ellerslie Rugby Park, Edmonton",63,125,12,World Cup,4,A,England,Canada
592,2006-09-12,Ireland,10,11,Scotland,"St. Albert Rugby Park, St. Albert",78,99,14,World Cup,1,N,Scotland,Ireland
593,2006-09-12,United States,29,12,Australia,"St. Albert Rugby Park, St. Albert",57,21,4,World Cup,17,N,United States,Australia
594,2006-09-12,Samoa,43,10,South Africa,"St. Albert Rugby Park, St. Albert",12,10,1,World Cup,33,N,Samoa,South Africa
595,2006-09-12,Spain,17,12,Kazakhstan,"Ellerslie Rugby Park, Edmonton",84,37,2,World Cup,5,N,Spain,Kazakhstan
596,2006-09-16,Ireland,14,18,Australia,"Ellerslie Rugby Park, Edmonton",79,22,2,World Cup,4,N,Australia,Ireland
597,2006-09-16,Samoa,5,10,Spain,"Ellerslie Rugby Park, Edmonton",13,85,2,World Cup,5,N,Spain,Samoa
598,2006-09-16,Kazakhstan,36,0,South Africa,"Ellerslie Rugby Park, Edmonton",38,11,1,World Cup,36,N,Kazakhstan,South Africa
599,2006-09-17,Scotland,0,24,United States,"Commonwealth Stadium, Edmonton",100,58,5,World Cup,24,N,United States,Scotland
600,2006-09-17,Canada,8,17,France,"Commonwealth Stadium, Edmonton",64,112,6,World Cup,9,A,France,Canada
601,2006-09-17,England,17,25,New Zealand,"Commonwealth Stadium, Edmonton",126,47,10,World Cup,8,N,New Zealand,England
602,2006-09-28,Jamaica,5,6,Guyana,Kingston,4,1,1,"NAWIRA",1,A,Guyana,Jamaica
603,2006-09-29,Guyana,8,15,Trinidad and Tobago,Kingston,2,4,1,"NAWIRA",7,N,Trinidad and Tobago,Guyana
604,2006-09-30,Jamaica,27,0,Trinidad and Tobago,Kingston,5,5,3,"NAWIRA",27,H,Jamaica,Trinidad and Tobago
605,2006-11-17,China,53,11,Thailand,Kunming,1,3,1,ARFU,42,H,China,Thailand
606,2006-11-17,Hong Kong,12,0,Singapore,Kunming,6,1,1,ARFU,12,N,Hong Kong,Singapore
607,2006-11-18,Wales,31,7,Italy,Glamorgan Wanderers,101,57,6,Friendly,24,H,Wales,Italy
608,2006-11-19,Thailand,20,0,Singapore,Kunming,4,2,1,ARFU,20,N,Thailand,Singapore
609,2006-11-19,China,31,7,Hong Kong,Kunming,2,7,1,ARFU,24,H,China,Hong Kong
610,2006-12-03,Wales,24,0,Netherlands,Llanrumney,102,81,4,Friendly,24,H,Wales,Netherlands
611,2007-02-03,England,60,0,Scotland,"Old Albanians, St Albans",127,101,16,6 Nations,60,H,England,Scotland
612,2007-02-03,Wales,10,5,Ireland,"Cae Gwyn, Taff's Well, Rhondda",103,80,12,6 Nations,5,H,Wales,Ireland
613,2007-02-04,Italy,17,37,France,Biella,58,113,7,6 Nations,20,A,France,Italy
614,2007-02-10,Ireland,10,13,France,"St Mary's RFC, Dublin",81,114,13,6 Nations,3,A,France,Ireland
615,2007-02-10,England,23,0,Italy,Twickenham,128,59,4,6 Nations,23,H,England,Italy
616,2007-02-10,Scotland,0,10,Wales,Dunbar,102,104,18,6 Nations,10,A,Wales,Scotland
617,2007-02-24,Scotland,25,6,Italy,"Meggetland, Edinburgh",103,60,5,6 Nations,19,H,Scotland,Italy
618,2007-02-24,France,15,0,Wales,"Stade Guy Moquet a Drancy, Paris",115,105,10,6 Nations,15,H,France,Wales
619,2007-02-25,Ireland,0,32,England,"Thomond Park, Limerick",82,129,10,6 Nations,32,A,England,Ireland
620,2007-03-10,Scotland,6,18,Ireland,"Meggetland, Edinburgh",104,83,15,6 Nations,12,A,Ireland,Scotland
621,2007-03-11,Italy,0,24,Wales,Rome,61,106,7,6 Nations,24,A,Wales,Italy
622,2007-03-11,England,38,12,France,"Old Albanians, St Albans",130,116,21,6 Nations,26,H,England,France
623,2007-03-17,Italy,12,17,Ireland,"Tre Fontane, Rome",62,84,5,6 Nations,5,A,Ireland,Italy
624,2007-03-17,Wales,0,30,England,"Cae Gwyn, Taff's Well, Rhondda",107,131,23,6 Nations,30,A,England,Wales
625,2007-03-18,France,18,10,Scotland,"Stade le Bout du Clos , Paris",117,105,13,6 Nations,8,H,France,Scotland
626,2007-04-01,Netherlands,62,5,Belgium,Eindhoven,82,12,4,Friendly,57,H,Netherlands,Belgium
627,2007-04-11,Belgium,73,0,Luxembourg,"Leuven, Belgium",13,1,1,FIRA,73,H,Belgium,Luxembourg
628,2007-04-11,Romania,65,0,Serbia,"Watermael-Boitsfort, Belgium",1,1,1,FIRA,65,N,Romania,Serbia
629,2007-04-11,Norway,12,12,Finland,"Boisfort, Belgium",14,1,1,FIRA,0,N,Draw,Draw
630,2007-04-12,Belgium,20,0,Serbia,"Frameries, Belgium",14,2,1,FIRA,20,H,Belgium,Serbia
631,2007-04-12,Luxembourg,0,38,Romania,"Kituro (Brussels), Belgium",2,2,1,FIRA,38,N,Romania,Luxembourg
632,2007-04-12,Germany,48,0,Norway,"Kituro (Brussels), Belgium",46,15,3,FIRA,48,N,Germany,Norway
633,2007-04-13,Belgium,20,0,Romania,"Dendermonde, Belgium",15,3,1,FIRA,20,H,Belgium,Romania
634,2007-04-13,Luxembourg,20,0,Serbia,"Dendermonde, Belgium",3,3,1,FIRA,20,N,Luxembourg,Serbia
635,2007-04-13,Germany,32,0,Finland,"Liège, Belgium",47,2,1,FIRA,32,N,Germany,Finland
636,2007-04-15,Norway,62,0,Serbia,"Tervuren, Belgium",16,4,1,FIRA,62,N,Norway,Serbia
637,2007-04-15,Finland,14,7,Luxembourg,"Tervuren, Belgium",3,4,1,FIRA,7,N,Finland,Luxembourg
638,2007-04-15,Germany,15,0,Romania,"Boisfort, Belgium",48,4,1,FIRA,15,N,Germany,Romania
639,2007-04-28,England,62,0,Russia,"Barcelona, Spain",132,22,2,FIRA,62,H,England,Russia
640,2007-04-28,Spain,15,6,Italy,"Barcelona, Spain",86,63,7,FIRA,9,H,Spain,Italy
641,2007-04-28,France,12,0,Sweden,"Barcelona, Spain",118,44,3,FIRA,12,N,France,Sweden
642,2007-04-28,Netherlands,12,3,Wales,"Barcelona, Spain",83,108,5,FIRA,9,N,Netherlands,Wales
643,2007-04-30,England,41,11,Italy,"Barcelona, Spain",133,64,5,FIRA,30,N,England,Italy
644,2007-04-30,Spain,54,3,Russia,"Barcelona, Spain",87,23,2,FIRA,51,H,Spain,Russia
645,2007-04-30,France,27,8,Netherlands,"Barcelona, Spain",119,84,11,FIRA,19,N,France,Netherlands
646,2007-04-30,Sweden,18,8,Wales,"Barcelona, Spain",45,109,1,FIRA,10,N,Sweden,Wales
647,2007-05-02,Italy,50,5,Russia,"Barcelona, Spain",65,24,3,FIRA,45,N,Italy,Russia
648,2007-05-02,Spain,22,22,England,"Barcelona, Spain",88,134,14,FIRA,0,D,Draw,Draw
649,2007-05-02,France,17,10,Wales,"Barcelona, Spain",120,110,11,FIRA,7,N,France,Wales
650,2007-05-02,Netherlands,20,5,Sweden,"Barcelona, Spain",85,46,9,FIRA,15,N,Netherlands,Sweden
651,2007-05-05,Russia,14,38,Wales,"Barcelona, Spain",25,111,2,FIRA,24,N,Wales,Russia
652,2007-05-05,Italy,0,6,Sweden,"Barcelona, Spain",66,47,6,FIRA,6,N,Sweden,Italy
653,2007-05-05,Spain,37,0,Netherlands,"Barcelona, Spain",89,86,4,FIRA,37,H,Spain,Netherlands
654,2007-05-05,England,27,17,France,"Barcelona, Spain",135,121,22,FIRA,10,N,England,France
655,2007-09-22,Zimbabwe,0,28,Zambia,Harare,1,1,1,Friendly,28,A,Zambia,Zimbabwe
656,2007-10-16,New Zealand,21,10,Australia,"Cooks Gardens, Wanganui",48,23,7,Friendly,11,H,New Zealand,Australia
657,2007-10-20,New Zealand,29,12,Australia,Wellington,49,24,8,Friendly,17,H,New Zealand,Australia
658,2007-10-28,Germany,37,0,Luxembourg,Heidelberg,49,5,1,Friendly,37,H,Germany,Luxembourg
659,2007-11-02,China,39,6,Singapore,Kunming,3,3,1,ARFU,33,H,China,Singapore
660,2007-11-02,Japan,6,10,Kazakhstan,Kunming,21,39,2,ARFU,4,N,Kazakhstan,Japan
661,2007-11-04,Japan,20,7,Singapore,Kunming,22,4,1,ARFU,13,N,Japan,Singapore
662,2007-11-04,China,5,34,Kazakhstan,Kunming,4,40,1,ARFU,29,A,Kazakhstan,China
663,2007-11-04,Scotland,3,45,Canada,Glasgow,106,65,4,Friendly,42,A,Canada,Scotland
664,2007-11-09,Wales,3,25,Canada,"Cae Gwyn, Taff's Well, Rhondda",112,66,8,Friendly,22,A,Canada,Wales
665,2007-12-01,Belgium,7,19,Netherlands,Ghent,16,87,5,Friendly,12,A,Netherlands,Belgium
666,2007-12-15,England,34,0,United States,London Irish,136,59,7,Friendly,34,H,England,United States
667,2008-02-01,Ireland,19,0,Italy,"St Mary's RFC, Dublin",85,67,6,6 Nations,19,H,Ireland,Italy
668,2008-02-02,England,55,0,Wales,London Irish,137,113,24,6 Nations,55,H,England,Wales
669,2008-02-03,Scotland,15,43,France,Meggetland,107,122,14,6 Nations,28,A,France,Scotland
670,2008-02-09,Italy,6,76,England,Rome,68,138,6,6 Nations,70,A,England,Italy
671,2008-02-10,Wales,23,6,Scotland,"Cae Gwyn, Taff's Well, Rhondda",114,108,19,6 Nations,17,H,Wales,Scotland
672,2008-02-10,France,26,17,Ireland,Saint-Gratien,123,86,14,6 Nations,9,H,France,Ireland
673,2008-02-22,Ireland,13,3,Scotland,"St Mary's RFC, Dublin",87,109,16,6 Nations,10,H,Ireland,Scotland
674,2008-02-23,France,0,31,England,"Bergerac, Agen",124,139,23,6 Nations,31,A,England,France
675,2008-02-24,Wales,27,5,Italy,"Cae Gwyn, Taff's Well, Rhondda",115,69,8,6 Nations,22,H,Wales,Italy
676,2008-03-07,Ireland,10,19,Wales,"St Mary's RFC, Dublin",88,116,13,6 Nations,9,A,Wales,Ireland
677,2008-03-08,Scotland,5,34,England,Meggetland,110,140,17,6 Nations,29,A,England,Scotland
678,2008-03-08,France,35,6,Italy,"Valence, Lyon",125,70,8,6 Nations,29,H,France,Italy
679,2008-03-15,England,17,7,Ireland,London Irish,141,89,11,6 Nations,10,H,England,Ireland
680,2008-03-15,Wales,3,0,France,"Cae Gwyn, Taff's Well, Rhondda",117,126,12,6 Nations,3,H,Wales,France
681,2008-03-16,Italy,31,10,Scotland,Mira,71,111,6,6 Nations,21,H,Italy,Scotland
682,2008-03-16,Germany,0,43,Netherlands,Aachen,50,88,15,Friendly,43,A,Netherlands,Germany
683,2008-04-20,Netherlands,50,10,Germany,Valkenswaard,89,51,16,Friendly,40,H,Netherlands,Germany
684,2008-05-05,Guyana,41,0,Cayman Islands,"Georgetown, Guyana",3,2,1,"NAWIRA",41,H,Guyana,Cayman Islands
685,2008-05-05,Jamaica,10,12,Trinidad and Tobago,"Georgetown, Guyana",6,6,4,"NAWIRA",2,N,Trinidad and Tobago,Jamaica
686,2008-05-07,Cayman Islands,7,12,Jamaica,"Georgetown, Guyana",3,7,2,"NAWIRA",5,N,Jamaica,Cayman Islands
687,2008-05-07,Guyana,5,5,Trinidad and Tobago,"Georgetown, Guyana",4,7,2,"NAWIRA",0,D,Draw,Draw
688,2008-05-10,Cayman Islands,0,79,Trinidad and Tobago,"Georgetown, Guyana",4,8,1,"NAWIRA",79,N,Trinidad and Tobago,Cayman Islands
689,2008-05-10,Guyana,13,10,Jamaica,"Georgetown, Guyana",5,8,2,"NAWIRA",3,H,Guyana,Jamaica
690,2008-05-10,Netherlands,10,0,Brazil,Amsterdam,90,1,1,Friendly,10,H,Netherlands,Brazil
691,2008-05-17,England,80,3,Sweden,Amsterdam,142,48,3,FIRA,77,N,England,Sweden
692,2008-05-17,Netherlands,3,24,France,Amsterdam,91,127,12,FIRA,21,A,France,Netherlands
693,2008-05-17,Scotland,10,27,Wales,Amsterdam,112,118,20,FIRA,17,N,Wales,Scotland
694,2008-05-17,Ireland,41,7,Spain,Amsterdam,90,90,9,FIRA,34,N,Ireland,Spain
695,2008-05-19,Belgium,0,5,Germany,"Castricum, Netherlands",17,52,2,FIRA,5,N,Germany,Belgium
696,2008-05-19,Finland,5,13,Romania,"Utrecht, Netherlands",4,5,1,FIRA,8,N,Romania,Finland
697,2008-05-19,Finland,0,39,Russia,"Utrecht, Netherlands",5,26,1,FIRA,39,N,Russia,Finland
698,2008-05-19,Romania,3,32,Russia,"Utrecht, Netherlands",6,27,1,FIRA,29,N,Russia,Romania
699,2008-05-20,Sweden,0,20,Spain,"Drachten, Netherlands",49,91,2,FIRA,20,N,Spain,Sweden
700,2008-05-20,Netherlands,0,26,Scotland,"Leiden, Netherlands",92,113,3,FIRA,26,A,Scotland,Netherlands
701,2008-05-20,England,22,11,Ireland,"Drachten, Netherlands",143,91,12,FIRA,11,N,England,Ireland
702,2008-05-20,France,10,18,Wales,"Leiden, Netherlands",128,119,13,FIRA,8,N,Wales,France
703,2008-05-21,Belgium,0,22,Russia,"Tilburg, Netherlands",18,28,2,FIRA,22,N,Russia,Belgium
704,2008-05-21,Belgium,15,7,Romania,"Tilburg, Netherlands",19,7,2,FIRA,8,N,Belgium,Romania
705,2008-05-21,Finland,3,39,Germany,"Driebergen, Netherlands",6,53,2,FIRA,36,N,Germany,Finland
706,2008-05-21,Romania,0,29,Russia,"Tilburg, Netherlands",8,29,2,FIRA,29,N,Russia,Romania
707,2008-05-23,Finland,5,12,Romania,Amsterdam,7,9,2,FIRA,7,N,Romania,Finland
708,2008-05-23,Belgium,15,19,Germany,Amsterdam,20,54,3,FIRA,4,N,Germany,Belgium
709,2008-05-24,Uganda,18,7,Kenya,Kampala,5,3,3,Elgon Cup,11,H,Uganda,Kenya
710,2008-05-24,Netherlands,7,6,Sweden,Amsterdam,93,50,10,FIRA,1,H,Netherlands,Sweden
711,2008-05-24,Scotland,27,25,Spain,Amsterdam,114,92,15,FIRA,2,N,Scotland,Spain
712,2008-05-24,France,22,22,Ireland,Amsterdam,129,92,15,FIRA,0,N,Draw,Draw
713,2008-05-24,England,12,6,Wales,Amsterdam,144,120,25,FIRA,6,N,England,Wales
714,2008-06-03,Kyrgyzstan,0,38,Singapore,"Taldykorgan, Kazahkstan",1,5,1,ARFU,38,N,Singapore,Kyrgyzstan
715,2008-06-03,Hong Kong,6,8,Uzbekistan,"Taldykorgan, Kazahkstan",8,1,1,ARFU,2,N,Uzbekistan,Hong Kong
716,2008-06-05,Kazakhstan,64,3,Uzbekistan,"Taldykorgan, Kazahkstan",41,2,1,ARFU,61,H,Kazakhstan,Uzbekistan
717,2008-06-05,Japan,17,10,Singapore,"Taldykorgan, Kazahkstan",23,6,2,ARFU,7,N,Japan,Singapore
718,2008-06-07,Hong Kong,49,0,Kyrgyzstan,"Taldykorgan, Kazahkstan",9,2,1,ARFU,49,N,Hong Kong,Kyrgyzstan
719,2008-06-07,Singapore,0,15,Uzbekistan,"Taldykorgan, Kazahkstan",7,3,1,ARFU,15,N,Uzbekistan,Singapore
720,2008-06-07,Kazakhstan,39,3,Japan,"Taldykorgan, Kazahkstan",42,24,3,ARFU,36,H,Kazakhstan,Japan
721,2008-06-14,Jamaica,15,0,Cayman Islands,"Kingston, Jamaica",9,5,3,Friendly,15,H,Jamaica,Cayman Islands
722,2008-08-16,Kenya,15,13,Uganda,Nairobi,4,6,4,Elgon Cup,2,H,Kenya,Uganda
723,2008-08-19,England,50,3,United States,Esher,145,60,8,Friendly,47,H,England,United States
724,2008-08-22,England,17,14,United States,"Esher, England",146,61,9,Nations Cup,3,H,England,United States
725,2008-08-24,England,43,9,Canada,"Esher, England",147,67,13,Nations Cup,34,H,England,Canada
726,2008-08-26,Canada,15,0,United States,"Esher, England",68,62,19,Nations Cup,15,N,Canada,United States
727,2008-08-29,England,24,0,Canada,Esher,148,69,14,Friendly,24,H,England,Canada
728,2008-10-16,Australia,3,37,New Zealand,"Viking Park, Canberra",25,50,9,Friendly,34,A,New Zealand,Australia
729,2008-10-20,Australia,16,22,New Zealand,"Viking Park, Canberra",26,51,10,Friendly,6,A,New Zealand,Australia
730,2008-11-02,Germany,12,5,Sweden,Hanover,55,51,8,Friendly,7,H,Germany,Sweden
731,2008-12-04,Singapore,10,10,Hong Kong,"St Andrew's School, Singapore",8,10,2,Friendly,0,D,Draw,Draw
732,2008-12-05,Singapore,0,5,Hong Kong,"Yio Chu Kang Stadium, Singapore",9,11,3,Friendly,5,A,Hong Kong,Singapore
733,2009-01-10,Scotland,32,0,Sweden,Meggetland,115,52,7,Friendly,32,H,Scotland,Sweden
734,2009-02-06,Ireland,7,5,France,"Milltown House, Ashbourne, County Meath, Leinster",93,130,16,6 Nations,2,H,Ireland,France
735,2009-02-07,England,69,13,Italy,"Old Deer Park, Richmond upon Thames, London",149,72,7,6 Nations,56,H,England,Italy
736,2009-02-08,Scotland,10,31,Wales,"Howthornden, Lasswade, Midlothian",116,121,21,6 Nations,21,A,Wales,Scotland
737,2009-02-14,Wales,16,15,England,"Cae Gwyn, Taff's Well, Rhondda",122,150,26,6 Nations,1,H,Wales,England
738,2009-02-14,Italy,17,35,Ireland,"Stadio Maurizio Natali, Colleferro, Roma",73,94,7,6 Nations,18,A,Ireland,Italy
739,2009-02-15,France,25,12,Scotland,"Stade Dominique Grimaldi, Arras, Pas-de-Calais",131,117,15,6 Nations,13,H,France,Scotland
740,2009-02-27,Ireland,13,29,England,"Templeville Road, Templeogue, Dublin",95,151,13,6 Nations,16,A,England,Ireland
741,2009-02-28,Scotland,13,10,Italy,"Meggetland, Craiglockhart, Edinburgh",118,74,7,6 Nations,3,H,Scotland,Italy
742,2009-02-28,France,27,5,Wales,"Stade Sapiac, Montauban, Tarn-et-Garonne",132,123,14,6 Nations,22,H,France,Wales
743,2009-03-13,Scotland,0,23,Ireland,"Meggetland, Craiglockhart, Edinburgh",119,96,17,6 Nations,23,A,Ireland,Scotland
744,2009-03-15,England,52,7,France,"Old Deer Park, Richmond upon Thames, London",152,133,24,6 Nations,45,H,England,France
745,2009-03-15,Italy,7,29,Wales,"Stadio Comunale, Mira, Venice",75,124,9,6 Nations,22,A,Wales,Italy
746,2009-03-21,Wales,13,10,Ireland,"Cae Gwyn, Taff's Well, Rhondda",125,97,14,6 Nations,3,H,Wales,Ireland
747,2009-03-21,England,72,3,Scotland,"Old Deer Park, Richmond upon Thames, London",153,120,18,6 Nations,69,H,England,Scotland
