show,synopsis
On Golden Pond,"An elderly couple enjoy their latest summer in a cottage on a Maine lake, as they come to terms with the husband's advancing age and his ongoing estrangement from his newly engaged daughter."
The Pillowman,"In Martin McDonagh's intense thriller, a writer is interrogated after a series of recent and grisly
child murders resemble events in his stories."
Glengarry Glen Ross,A group of Chicago real-estate salesman battle ruthlessly for the big deal in David Mamet's Pulitzer Prize-winning play.
The 25th Annual Putnam County Spelling Bee,"The tale of several socially awkward youngsters finding joy, heartache and a purpose in competing at the regional spelling bee features a score by William Finn and a book by Rachel Sheinkin."
After the Night and the Music,"A short one-act play, Curtain Raiser, is followed by two longer one-acts, Giving Up Smoking and Swing Time, all dealing with various frustrating romantic encounters from the comic mind of playwright Elaine May."
Love/Life,"Tony Award-winner Brian Stokes Mitchell performs a concert of love songs, including ""Make
Someone Happy,"" ""How Long Has This Been Going On?"" and ""It's All Right With Me."""
The Constant Wife,"W. Somerset Maugham's 1926 comedy of marital manners focuses on a cuckolded Constance Middleton, who pretends not to know her doctor husband is playing doctor with her best friend — until that friend's jealous husband confronts her."
Mark Twain Tonight!,Hal Holbrook brings the personality and writings of Mark Twain to life in this one-man show.
Lennon,"John Lennon's life and songs after his Beatles heyday are explored in this jukebox musical, where he is depicted by performers of both sexes and different ages and ethnicities."
Primo,Actor Antony Sher turns Primo Levi's If This Is a Man from a witness-bearing memoir into a monologue about life and death and surviving in Auschwitz.
The Blonde in the Thunderbird,"From Three's Company to Thighmaster and beyond, Suzanne Somers recounts the story of her life to date, with songs punctuating the anecdotes."
A Naked Girl on the Appian Way,NA
Latinologues,NA
Absurd Person Singular,The radically shifting fortunes of three married couples are examined as they come together for some dubious merriment on three consecutive Christmas Eves.
In My Life,"A guitar-playing musician with Tourette's syndrome and a journalist with obsessive compulsive disorder meet, bed and wed before a brain tumor sets in. The book, songs and direction are by ""You Light Up My Life"" Oscar winner Joe Brooks."
Jersey Boys,"The story of the legendary Four Seasons,  blue-collar boys who formed a singing group and reached the heights of rock 'n' roll stardom.  The musical features such Seasons' hits as ""Big Girls Don't Cry,"" ""Oh What a Night"" and ""Can't Take My Eyes Off of You."""
Seascape,"Edward Albee, in his second Pulitzer Prize-winning play, has a day at the beach, investigating the communication between couples — one, a pair of middle-aged American humans contemplating retirement; the other, a male and female lizard tiring of the sea and considering a landlocked life."
Souvenir,"The bizarre career of Florence Foster Jenkins — a socialite who fancied herself an opera singer and, through an awfulness that curdled into a kind of cult, achieved dubious cult fame from 1932 to her sold-out Carnegie Hall swan song in 1944 — is viewed in flashback, replete with accompaniment by her equally mundane pianist."
The Woman in White,"A dashing young tutor arrives at an English country estate to teach art to two orphaned half-sisters, who've fallen under the spell of a fortune-hunting nobleman."
The Color Purple,"From Alice Walker’s Pulitzer Prize-winning bestseller and Steven Spielberg’s Oscar-nominated film comes a stage musical with a fresh, joyous score of jazz, ragtime, gospel and blues. This stirring family chronicle follows the inspirational Celie as she journeys from childhood through joy and despair, anguish and hope to discover the power of love and life."
A Touch of the Poet,"The first and only finished play in Eugene O'Neill's proposed 11-part ""American history"" cycle addresses the immigrant experience, focusing on the father-daughter conflict of a once-wealthy, still grandly mannered tavern-keeper outside Boston in 1828 and his headstrong offspring who aligns herself with a rich American."
Chita Rivera: The Dancer's Life,"Chita Rivera reviews — and revues — the life that late she led, singing and dancing her greatest hits in an anecdotal autobiography scripted by Terrence McNally."
Bridge & Tunnel,"Writer-performer Sarah Jones gives the great American ""melting pot"" a vigorous, Tony-winning stir with her showy one-woman, 14-character show. Out of it pops a variety of ethnicities of both genders and many colors and psyches."
Rabbit Hole,David Lindsay-Abaire's Pulitzer Prize-winning play explores the grieving process of a couple who have lost their only child to a senseless car accident and are now attempting to survive the enormous loss that threatens to bring them down.
The Pajama Game,"A labor furor over a 7½-cent pay raise at a pajama plant complicates the course of true love for Sid Sorokin, the new factory superintendent, and Babe Williams, the feisty firebrand heading the Union Grievance Committee."
Barefoot in the Park,NA
Ring of Fire,"""Ring of Fire"" and three dozen other songs from Johnny Cash's songbook are stitched together to depict the rough-hewn fabric of rural Americana.Known by legions of fans as “the Man in Black,” artist and performer Johnny Cash was a musical jack-of-all-trades. A singer, songwriter, and guitarist all in one, his music incorporates country-western sounds with gospel and blues influences."
Well,NA
Awake and Sing!,The battle lines for a lower-middle-class Jewish family in the Depression-era Bronx are drawn between the string-pulling parents who think they know best and their resistant offspring who have hatched their own dreams of the future.
Festen,"In an adaptation of the Danish film The Celebration by British playwright David Eldridge, a young man rises to toast his father on his 60th birthday and instead launches into a hysterical diatribe accusing the honoree of childhood sexual abuse."
Lestat,"Turned into a reluctant vampire by a bloody brush with wolves, the title character wanders from France to New Orleans through the 18th and 19th centuries in search of the godfather of the vampires to find closure and redemption from his plight."
Tarzan,NA
The Wedding Singer,"A wannabe rock star, making ends meet as a wedding singer in 1985 New Jersey, changes his tune in a hurry when he is left at the altar by his own fiancée, but help is on the way in the form of a waitress who works his wedding gigs."
Three Days of Rain,"How one generation misunderstands another is illustrated in this split-level view from Richard Greenberg: In Act I, the three offspring of two very successful architecture partners gather for the reading of the will; in Act II, the original partners and the woman who divided them take the stage."
The Drowsy Chaperone,"In a loving send-up of the frivolously inconsequential stage musicals of the Jazz Age, a fan known only as Man in Chair gives a spin to the original cast recording of one such musical, providing the audience with amusing minutiae about the play and the players."
The Caine Mutiny Court-Martial,A Marine executive officer who seized command of the destroyer Caine during a typhoon is put on trial in Herman Wouk's adaptation of his novel The Caine Mutiny.
The History Boys,"At a grammar school in northern England in the 1980s, eight boys prep for the Oxbridge entrance exam under the tutelage of three radically different teachers."
Faith Healer,"""Rashomon""-like questions of reality and truth are raised here by four contradictory monologues, divided among three characters — an itinerant Irish healer of the sick, working the rural British Isles with his wife (or mistress), and his Cockney manager."
Hot Feet,NA
Shining City,A recent widower who believes he sees his late wife wafting about their home consults a Dublin therapist who has his own set of delusions.
The Lieutenant of Inishmore,"An Irish terrorist of the early '70s returns home, hell-bent on finding the person who crushed the skull of his black tomcat and left him for dead on the side of the road. Human cadavers quickly accumulate in Martin McDonagh's pitch-black comedy."
Martin Short: Fame Becomes Me,"In order to give the people what they want, Martin Short alters his somewhat tame musical autobiography mid-show to interject some struggle, pain and scandal."
Kiki & Herb: Alive on Broadway,"Kiki Durane, New York's favorite sloshed, septuagenarian cabaret star, sings out and speaks her mind, accompanied by her pianist (and only living friend), Herb."
Heartbreak House,"On the eve of World War I, unlikely romantic encounters occur during a most unusual country weekend."
Jay Johnson: The Two and Only,"One of the era's foremost ventriloquists, Jay Johnson takes the audience on a journey through his lifelong obsession with this ancient art."
Losing Louie,"Playwright Simon Mendes da Costa explores the effects of childhood and the impact of another generation's mistakes as two generations of family members work things out in the same bedroom, 50 years apart."
The Times They Are A-Changin',Tony Award-winning choreographer/director Twyla Tharp uses Bob Dylan's greatest hits to tell the story of an unhappy circus troupe under Captain Ahrab's control.
Butley,"Butley, a university professor, shares his office and his flat with his former star pupil. He must face the ultimate breakdown of his marriage and his intense friendship with his roommate, all while entangled in petty university politics and student dissent."
Grey Gardens,"Edith Bouvier Beale and ""Little"" Edie, the eccentric aunt and cousin of Jacqueline Kennedy Onassis, revisit and come to terms with their past. Loosely based on the 1975 documentary of the same name."
Mary Poppins,NA
The Coast of Utopia,"Comprising three sequential but self-contained plays: Voyage,  Shipwreck and Salvage.  They tell an epic story of romantics and revolutionaries caught up in the struggle for political freedom in an age of emperors."
Dr. Seuss' How the Grinch Stole Christmas!,"The crabby Grinch terrorizes the happy Whos of Whoville as they celebrate Christmas, in this holiday musical based on the Dr. Seuss story of the same name."
The Little Dog Laughed,"A hot young Hollywood actor is up for the role of a lifetime, and his agent Diane will do anything in her power to keep his ""slight recurring case of homosexuality"" under wraps."
The Vertical Hour,An American war correspondent turned academic meets a man in the Welsh borders who challenges her culture and beliefs in a post-September 11 world.
Spring Awakening,"Based on Frank Wedekind's play of the same name, Spring Awakening depicts a dozen young people making their way through the thrilling, complicated and mysterious time of sexual awakening."
High Fidelity,"Rob's girlfriend has left him, and although the split does not make his list of top-five breakups, he is determined to figure out what he did to sour the relationship."
The Apple Tree,"Three one-act musicals about men, women and temptation, based on stories by Mark Twain, Frank R. Stockton and Jules Feiffer."
Journey's End,"A group of World War I British officers in the trenches in St. Quentin, France, contemplates an impending attack."
Talk Radio,"The program of a provocative Cleveland talk-radio host is about to go nationwide. As he goads, mocks and entertains callers and listeners, his producer wonders if his subversive style will win fans or alienate sponsors."
Curtains,"A half-Asian, half-American child prodigy meets a Vietnam War veteran and follows him into the Northern California redwood forest where he and other veterans live, hoping he is, or can help her find, her long-lost father."
The Pirate Queen,"Based on the real-life story of legendary Irish clan leader Grace O'Malley, who led an extraordinary life as a pirate chieftain, lover and mother in 16th-century Ireland."
The Year of Magical Thinking,"Adapted from Joan Didion's best-selling 2005 memoir, the play explores the author's shock, denial and ultimate acceptance following her husband's heart attack and the serious illness of her daughter."
Frost/Nixon,A dramatization of the events surrounding David Frost's 1977 television interviews with Richard Nixon — among the most famous political interviews of all time.
Legally Blonde,"A sorority-sister valley girl goes to Harvard Law to get her boyfriend back, and ends up defying expectations while staying true to herself. Based on the novel by Amanda Brown and the MGM movie starring Reese Witherspoon."
110 in the Shade,An unmarried woman in the Old West must choose between the attentions of the local sheriff and a charismatic con man who promises to bring rain. Based on Nash's play The Rainmaker.
Deuce,"In the winter of their lives, two former tennis players try to make sense of the partnership that took them to the top of their game."
Lovemusik,"The complicated partnership of composer Kurt Weill and his wife and muse, Lotte Lenya, is examined with the aid of Weill's songs."
Coram Boy,"A tale of two orphans at the Coram Hospital for Deserted Children: Toby, saved from an African slave ship, and Aaron, the abandoned son of the heir to a great estate."
Radio Golf,NA
Xanadu,"Based on the film of the same name, Xanadu centers on a Greek muse who is sent to Earth to inspire Californians during the 1980s. While on earth, she meets and falls in love with an artist and helps him realize his dreams."
Old Acquaintance,"Two childhood friends have grown into successful authors — one a critical darling and the other a prolific bestseller. When they reunite as adults, their simmering professional jealousy tests the boundaries of friendship and manners."
Mauritius,"Following their mother's death, two half-sisters inherit a stamp collection that could prove valuable. They fight over ownership as they explore the surprisingly seedy underbelly of philately: stamp collecting."
The Ritz,"A conservative Cleveland businessman is on the run to escape his murderous mafioso brother-in-law. In his desperation, he seeks refuge in an uproarious gay bathhouse packed with kooky characters and a chain of mistaken identities."
A Bronx Tale,"Based on the one-man show that inspired the now classic film, this streetwise musical will take you to the stoops of the Bronx in the 1960s—where a young man is caught between the father he loves and the mob boss he’d love to be."
Cyrano de Bergerac,"Cyrano is a poet, philosopher and swordsman of incredible wit, but his sizable nose renders him too shy to pursue the beautiful Roxane. Instead, he provides the poetry and eloquence to woo her vicariously through his inarticulate friend Christian."
Young Frankenstein,"Dr. Frankenstein aims to fulfill his grandfather's legacy by bringing a corpse back to life. With help and hindrance from servant Igor, buxom assistant Inga and needy fiancée Elizabeth, his experiment yields success and unexpected consequences."
Rock 'n' Roll,"Stoppard examines recent Czechoslovakian history from the perspectives of Prague, where rock and roll represents resistance to the regime, and Cambridge, where love and death shape the lives of three generations of the family of a Marxist professor."
The Farnsworth Invention,"Sorkin's historical drama follows the parallel lives of Philo Farnsworth, a young inventor on a Utah farm, and David Sarnoff, the Russian immigrant who became the president of RCA, as they battle for patent rights of the new-fangled television."
August: Osage County,"When the family patriarch vanishes, the Westons return to rural Oklahoma to care for their afflicted, manipulative mother Violet. Armed with prescription drugs and paranoid mood swings, Violet reigns over the home as family secrets unfold."
Cymbeline,"King Cymbeline's daughter has secretly married her childhood friend, a man of low low birth. The outraged king banishes her suitor, and the soured union sets in motion a tragic tale of innocence, jealousy and betrayal."
The Little Mermaid,Presented by Literally Alive Children's Theatre
The Seafarer,"A hardened alcoholic returns to his Dublin home to care for his brother, who was recently blinded in a drunken fall. As he tries to stay sober for Christmas, a visit from a mysterious stranger forces him to confront his troubled conscience."
Is He Dead?,"In a rollicking farce by Mark Twain, a destitute artist fakes his own death to increase the value of his paintings, dons a dress and reappears as his long-lost, imaginary twin sister."
November,A Watergate criminal returns home after serving time in prison.
"Come Back, Little Sheba","Marie, an attractive young boarder, gives new meaning to the lives of Doc and Lola Delaney, married for 20 years and grindingly unhappy. For Lola, Marie is the child she never had. Doc, a recovering alcoholic, has less than paternal feelings."
The 39 Steps,"In Patrick Barlow's adaptation of Alfred Hitchcock's 1935 thriller, a cast of four actors portrays every hero, villain, spy, and love interest from Simon Corble's novel, to farcical effect."
Passing Strange,"A young musician rebels against his conservative upbringing by embarking on a search for ""the real."" From L.A. to Amsterdam to Berlin, he chases youthful dreams and spiritual clarity against a shifting backdrop of locales and acquaintances."
In the Heights,"In the Washington Heights neighborhood of Manhattan, a young storeowner watches the joys and heartbreaks of his tight-knit community as they pass through his bodega."
South Pacific,"South Pacific follows the lives of U.S. military men, nurses and residents of a Polynesian island during World War II, based on James Michener's Tales of the South Pacific and featuring a score by Rodgers and Hammerstein."
Cry-Baby,"In 1950s Baltimore, the conservative squares face off against the leather-clad delinquents. When straitlaced Allison falls for a boy from the other side of the tracks, the whole town endeavors to keep them apart."
A Catered Affair,"Jane and Ralph decide to marry in a simple City Hall ceremony. But Jane's mother, bereaved from her son's death in the Korean War, envisions a lavish affair and strains family relationships and finances to plan the wedding she has always wanted."
The Country Girl,"1934. A time-weathered guesthouse in the heartland of America. Only a song can shake off the dust for one group of wayward souls—and old dreams may hold the promise of new beginnings. As they pass in and out of each other’s lives, their stories awaken with passion, fury and extraordinary beauty. Reimagining the music of Bob Dylan as roof-raising ensemble pieces and soul-stirring solos, celebrated playwright Conor McPherson (The Weir, The Seafarer) writes and directs this heartbreaking and universal story about family and love.After critically-acclaimed, smash-hit runs at The Public Theater, The Old Vic London, and in the West End, Girl from the North Country brings its rousing spirit to Broadway."
Thurgood,"George Stevens Jr.'s one-man show depicts the life of Thurgood Marshall, the first African-American Supreme Court justice, and his role in the historic decision on the Brown v. Board of Education case."
Boeing-Boeing,"Playboy Bernard juggles three fiancées, all flight attendants, with careful planning and the reluctant assistance of his housekeeper. But weather delays and the invention of a faster Boeing jet send his elaborate love life into chaos."
Top Girls,"To celebrate her promotion at the Top Girls Employment Agency, Marlene throws herself a fanciful dinner party. Each attendee is a historical or fictional woman who brings her own tale of struggle and success."
Glory Days,"Four high school friends reunite one year after graduation. A night of fun and reminiscing gives way to tension and confessions, and the group must face how much their lives have changed."
Cirque Dreams,"Cirque Dreams Jungle Fantasy is a theatrical, acrobatic and musical adventure inspired by nature's unpredictable creations, brought to life by a cast of aerialists, contortionists, acrobats, jugglers and musicians."
[title of show],Struggling writers Hunter and Jeff race against a deadline to enter an original musical into a theatre festival. [title of show] depicts their journey as artists and friends as they write a musical about writing a musical.
A Tale of Two Cities,NA
Equus,"Psychiatrist Martin Dysart attempts to understand why young stableboy Alan Strang has blinded six horses. In his exploration of the troubled boy and his dysfunctional parents, Dysart must confront the shortcomings of his own life."
A Man for All Seasons,"Robert Bolt's historical drama follows Sir Thomas More, the 16th-century Chancellor of England, as he clashes with Henry VIII for refusing to support his divorce and faces persecution for honoring his conscience."
13,NA
To Be Or Not to Be,NA
Billy Elliot: The Musical,"Based on the hit film of the same name, Billy Elliot tells the story of a boy from a family of coal miners who dreams of becoming a ballet dancer, even though his father wants him to box."
Dividing the Estate,"The Gordons of Harrison, Texas, have enjoyed years of leisure, wealth and privilege. But the family fortune suddenly seems uncertain in light of unexpected taxes and plunging property values, and siblings begin to squabble over inheritance from their still-living matriarch."
American Buffalo,"Three small-time hustlers want a bigger cut of the American dream. David Mamet’s classic about loyalty and greed stars Academy Award nominee and Emmy winner Laurence Fishburne (Thurgood, ""The Matrix""), Academy Award winner Sam Rockwell (""Three Billboards,"" Fool For Love), and Emmy winner Darren Criss (""The Assassination of Gianni Versace,"" Hedwig), under the direction of Neil Pepe (Tony-winning Artistic Director of Atlantic Theater Company). American Buffalo returns to Broadway more explosive and pointed than ever, exposing a timely American truth: crime and business are two sides of the same coin."
Shrek the Musical,A benign green ogre and his sidekick Donkey save the land from an evil lord and rescue a lovely princess from a terrible fate. Based on the blockbuster movie and the book by William Steig.
Irving Berlin's White Christmas,"Two World War II vets have become partners in a song-and-dance act after the war. Looking for love, they follow a duo of beautiful singing sisters to a gig at a Vermont lodge, which happens to be owned by their former army commander General Waverly."
Pal Joey,"Joey, a second-rate Chicago entertainer, two-times a married society dame and a naïve chorus girl. Based on the novel by John O'Hara and scored by Rodgers & Hart."
Liza's at the Palace....,"In her Tony-winning solo concert, Liza Minnelli revisits her mother Judy Garland's 1951 Palace engagement and pays tribute to her godmother Kay Thompson's nightclub act."
Slava's Snowshow,"Russia's greatest clown strings together a series of breathtaking images performed to popular music. A giant cobweb stretches over the entire audience; a raging blizzard coats the audience in snow; giant helium-filled beach balls are kept afloat by the viewers. Lyrical, hilarious, poignant and brilliant. (Clown Show)"
The American Plan,"In a 1960s Catskills summer home, an elegant and imperious German-Jewish refugee tries to control her eccentric daughter, who begins to fall for a handsome stranger and longs to escape her mother's manipulative stronghold."
Soul of Shaolin,"Based on the daily lives and training regimens of the Buddhist monks of Shaolin, this spectacle tells the story of a boy raised by monks who becomes a kung fu master."
You're Welcome America,"Will Ferrell revisits his Saturday Night Live-era caricature of George W. Bush in You're Welcome America. As his presidency draws to a close, W. reminisces on his journey from Yalie to baseball entrepreneur to leader of the free world."
The Story of My Life,"Thomas is a best-selling, award-winning author. But time and personal success have battered the bonds of his lifelong friendship with Alvin, and he reflects on their shared past in search of what went wrong."
33 Variations,"In parallel tales of obsession, musicologist Katherine Brandt attempts to uncover the motivation behind Beethoven's Diabelli Variations, a series of 33 variations on an ordinary waltz by a composer he felt was beneath him."
God of Carnage,"Following a playground fight between two boys, their parents meet to discuss the incident. But a rational discussion among adults quickly devolves into a childish evening of name-calling, tears and tantrums."
Impressionism,A globe-trotting photojournalist and a New York gallery owner take a step back from their own lives and confront repressed traumas through the exploration of a series of paintings.
West Side Story,"When four theatrical giants — Jerome Robbins, Leonard Bernstein, Arthur Laurents and Stephen Sondheim — created West Side Story, it was immediately hailed as a masterpiece. Now, three of the most daring theater-makers of our time — director Ivo van Hove (A View From the Bridge and The Crucible), choreographer Anne Teresa de Keersmaeker, and designer and frequent Van Hove collaborator Jan Versweyveld — offer a radical, thrilling new interpretation of this iconic work, with extraordinary dancing, breathtaking vision, and 33 young, brilliantly gifted performers all making their Broadway debuts."
Exit the King,"Ionesco's absurdist drama follows King Berenger I in the final day of his life, surrounded by a decaying kingdom, as he refuses to acknowledge death and slowly acquiesces to its reality."
Hair,NA
Irena's Vow,"Based on a true story, Irena's Vow follows Irena Gut, a Catholic nurse sentenced to slave labor during the German occupation of Poland. As a housekeeper for a prominent German officer, Irena risks her life to hide 12 Jewish refugees in the officer's cellar."
Reasons to Be Pretty,"Greg makes an off-handed remark calling his co-worker ""pretty"" and his girlfriend ""regular."" The unflattering comparison makes its way back to the girlfriend and throws his tight-knit social circle into turmoil."
Rock of Ages,"The original Broadway smash-hit production, Rock of Ages, is back to celebrate its 10th anniversary."
Next to Normal,"In this contemporary musical and winner of the 2010 Pulitzer Prize for Drama, a suburban household copes with crisis and the unpredictability of a mother's worsening bipolar disorder."
Mary Stuart,NA
Waiting for Godot,"In Samuel Beckett's absurdist masterpiece, two tramps wait perpetually for an enigmatic figure in a blurred universe where time, place and memory defy conventional logic."
9 to 5,"Three women — an overworked office manager, a jilted wife, and an objectified secretary — conspire to depose their smarmy boss and begin making woman-friendly changes in the workplace. Based on the 1980 hit movie."
Accent on Youth,"A successful playwright in his 50s finds love and inspiration in his much-younger secretary. But when his new muse becomes a leading lady in his latest play, she begins to fall for her costar, a man closer to her age."
The Norman Conquests,"The self-contained comedies in Ayckbourn's trilogy depict Norman in ardent pursuit of his sister-in-law, shown from three different perspectives in the family's country home: In Table Manners, the action is seen from the dining room."
The Philanthropist,"A disengaged university professor cheerfully ponders anagrams, academia and the meaning of life. Meanwhile, in the outside world, the Prime Minister and his cabinet have been assassinated, and England's finest writers are being killed."
Desire Under the Elms,"In Eugene O'Neill's modern retelling of Greek tragedy, a widowed farmer brings home a young bride. Initially his grown son abhors the new stepmother, but soon his hatred turns to lust."
Burn the Floor,"Burn the Floor takes a modern look at ballroom dancing, blended with Latin dance and updated with jive, tango, swing, and samba."
A Steady Rain,"A Steady Rain explores love and rage on the streets of Chicago, as a routine domestic disturbance call sends two Chicago cops on a harrowing journey that will test their loyalties and change their lives."
Bye Bye Birdie,"The MacAfee family and the residents of Sweet Apple, Ohio, go topsy-turvy when teen idol Conrad Birdie comes to town to serenade one lucky fan before he enters the Army."
After Miss Julie,"This adaptation of August Strindberg's Miss Julie moves the setting to 20th century England following the Labour Party's election victory and depicts the struggle between the young, willful aristocrat Julie and her status-obsessed servant."
Superior Donuts,"The passive Arthur Przybyszewski owns a decrepit donut shop in the Uptown neighborhood of Chicago. The dynamic Franco Wicks, a black teenager who is his only employee, wants to improve the place."
The Royal Family,"In this thinly veiled parody of the Barrymore family circa 1927, a flamboyant theatrical family must cope with the dumbfounding fact that one of them wishes to marry someone outside of show business."
Memphis,"A 19th-century group of black performers are marooned when their Memphis-bound ship hits a sandbar, so they put on a performance of H.M.S. Pinafore to raise money for the ship's release."
Wishful Drinking,"Carrie Fisher takes audiences on a rollercoaster ride through her life in Hollywood, two celebrity parents, her iconic role in Star Wars, a marriage to Paul Simon, addiction, recovery, and motherhood."
Oleanna,"A female student charges her male professor with sexual harassment in David Mamet's drama, which examines explosive contemporary issues — the assumption of power, intellectual freedom and sexual politics."
Finian's Rainbow,"A blend of romantic fantasy and social commentary, Finian's Rainbow follows the adventures of an Irishman and his daughter, who hope to strike it rich in America using a pot of gold stolen from a leprechaun."
Fela!,"Conceived by Bill T. Jones, Jim Lewis and Stephen Hendel, Fela! explores the life of Fela Anikulapo Kuti, the Nigerian artist, activist, composer and performer."
In the Next Room,"In the dawning era of electricity, six lonely people seek help from a local doctor with a strange new technology. Despite this scientific advance, what they really need is intimacy."
Race,NA
A Little Night Music,"Sondheim's 1973 musical, based on the Ingmar Bergman film Smiles of a Summer Night, follows aging actress Desiree Armfeldt, her mother Madame Armfeldt, and a series of interwoven love affairs during one eventful weekend in the country."
Time Stands Still,"Sidelined by a serious injury while covering the Iraq war, photojournalist Sarah Goodwin questions her personal and professional lives and her place in the world."
The Miracle Worker,"This family drama is based on the true story of a young deaf and blind girl, Helen Keller, and her dedicated teacher Annie Sullivan, who struggles to reach into Helen's isolation and bring her into contact with the outside world."
A Behanding in Spokane,"The hapless, volatile Carmichael has searched tirelessly for his missing hand, severed years before by a band of ruffians. His search culminates in an encounter with a small-time con couple who hope to profit from his desperate pursuit."
Looped,Looped depicts an actual 1965 recording session in which an intoxicated Tallulah Bankhead required eight hours to dub a single line from her final movie Die! Die! My Darling! while antagonizing the film editor assigned to the job.
Next Fall,"Next Fall depicts the five-year relationship of Luke, a devout Christian, and Adam, a confirmed atheist. Following a serious accident, Adam must reassess his views and seek support from an unexpected source."
All About Me,"Song stylist Michael Feinstein performs standards, both old and new, while comic royalty Dame Edna attempts to remain queen of the realm."
Come Fly Away,"In a dance revue conceived and choreographed by Twyla Tharp, four couples fall in and out of love in a song-and-dance filled nightclub showcasing more than 30 Frank Sinatra songs."
Million Dollar Quartet,"Million Dollar Quartet recounts a legendary night in 1956 when Elvis Presley, Jerry Lee Lewis, Carl Perkins and Johnny Cash participated in a star-studded jam session at Sun Records in Memphis."
Red,NA
The Addams Family,"In this original story, the macabre Addams family is put to the test when outsiders come to dinner, hurling Gomez, Morticia, Wednesday, Pugsley, Uncle Fester, Grandmama and Lurch headlong into a night that will change the family forever."
Sondheim on Sondheim,NA
American Idiot,"In this musical adapted from Green Day's 2004 concept album of the same name, working-class characters — from the suburbs to the city to the Middle East — seek redemption in a world filled with frustration."
"Promises, Promises",NA
Collected Stories,This drama limns the relationship between an aging writer and her up-and-coming student as they confront where the line between personal privacy and creative work should be drawn.
Enron,Enron examines the collapse of the infamous Texas energy company in the 1990s in this theatrical interpretation of economic corruption.
Everyday Rapture,"In Everyday Rapture, Sherie Rene Scott recounts her life as a young woman on a psycho-sexual-spiritual journey from her Mennonite upbringing to a career in show business."
Mrs. Warren's Profession,"A young lady discovers that the mother who gave her such a high-toned upbringing is, in fact, the madam of a brothel. Far from being ashamed of her profession, Mrs. Warren defends it as the epitome of capitalism."
Brief Encounter,"Combining elements of Coward's beloved screenplay and the one-act play on which it was based, this new adaptation combines song and dance and imaginative projections to tell the story of a couple's unrequited love."
The Pitmen Painters,"The Pitmen Painters tells the story of a group of Ashington coal miners who, in 1934, hire a professor to teach an evening class in art appreciation."
A Life in the Theatre,"An older actor imparts his life's wisdom to a younger actor — and unexpectedly gets some back — in a series of short, comic backstage vignettes."
Bloody Bloody Andrew Jackson,"A mix of historical fact and invention, Bloody Bloody Andrew Jackson uses the story of America's controversial seventh president to investigate the attraction and terrors of American populism, using a blend of outrageous comedy, anarchic theatricality and infectious emo rock."
Lombardi,NA
Driving Miss Daisy,"Set against a backdrop of changing world events between 1948 and 1973, a fiesty Southern widow and her proud but soft-spoken black chauffeur journey from suspicion and mistrust to respect and deep-rooted affection."
The Scottsboro Boys,A stirring new musical that explores the infamous 1930s Scottsboro Case in which a group of African-American teenagers is falsely accused of a terrible crime — ultimately provoking national outrage that sparked the American Civil Rights movement.
Women on the Verge of a Nervous Breakdown,"Based on Pedro Almodóvar's 1988 film, the musical considers the plight of an actress whose lover has left her, setting into motion dizzying complications, farcical comedy and some pretty potent gazpacho."
A Free Man of Color,"Set in New Orleans in 1802, the play concerns Jacques Cornet, a new-world Don Juan and the wealthiest inhabitant of this sexually charged and racially progressive city. All is well in his paradise until history intervenes, setting off a chain of events that no one realizes is about to splinter the world."
Colin Quinn: Long Story Short,"Charting a course from the excess of ancient Rome to WalMart/Costco/Best Buy, Quinn proves that the forces undermining the American empire are as old as time."
Rain: A Tribute to the Beatles,"A tribute to the Fab Four utilizing video and sound projections, Rain follows the Beatles from their first visit to the States through their 1970 breakup."
The Pee-wee Herman Show,"A day in the life of Pee-wee Herman finds him reunited with many of the original characters from ""Pee-wee's Playhouse,"" including Miss Yvonne, Cowboy Curtis and Chairy."
Elf,"Based on the 2003 holiday movie, Elf is about a boy raised by Santa's elves who comes to New York City to discover his true identity."
Elling,An odd couple attempts to transition from mental-institution roommates to independents living in the outside world.
Spider-Man Turn Off the Dark,"The arachnid-bitten superhero, familiar from comics and the movies, learns that with great power comes great responsibility as villains test not only his physical strength, but his strength of character."
Donny & Marie - A Broadway Christmas,Famed siblings Donny and Marie Osmond share the stage in a holiday extravaganza.
The Importance of Being Earnest,"Oscar Wilde's play about multiple cases of hidden identities among the upper crust in fin de siecle England. Love, reputations, social standing and fortunes hang in the balance. Everything is expressed in the ineffably witty epigrams that are Wilde's claim to immortality."
Good People,"Margie Walsh is barely hanging on in Southie, her working-class Boston neighborhood. Will an old boyfriend be her ticket out, or will he reject her and his own humble roots?"
That Championship Season,Four former basketball stars and their coach gather for a reunion and begin to realize the price of their win-at-all-costs mentality.
Ghetto Klown,"Queens homeboy returns with comic tales of growing up, family life and his chosen profession."
The Book of Mormon,"From South Park’s Trey Parker and Matt Stone comes the hilarious and irreverent The Book of Mormon. Winner of nine Tonys, including the 2011 Best Musical award, The Book of Mormon continues to play to packed houses week after week. Written in collaboration with Robert Lopez, the Emmy, Grammy, Oscar and Tony-winning writer (Frozen, Avenue Q), the Broadway production is directed by Casey Nicholaw (Aladdin, Something Rotten!) and Parker."
Priscilla Queen of the Desert,"Based on the Oscar-winning film The Adventures of Priscilla Queen of the Desert, the musical follows the adventures of a trio of drag queens who journey across the Australian Outback."
