country_code,short_name,table_name,long_name,x2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_population_census_year,latest_population_census_notes
MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Europe & Central Asia,Upper middle income,MD,NA,2010,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2017",TRUE,2011,2012,2018,2014,NA
MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,NA,Sub-Saharan Africa,Low income,MG,2007,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2021","Priority survey (PS), 2012",FALSE,NA,2006,2018,2018,NA
MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,NA,South Asia,Upper middle income,MV,2014,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2009/10",TRUE,NA,NA,2018,2014,NA
MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,NA,Latin America & Caribbean,Upper middle income,MX,2013,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2016",TRUE,2007,2013,2018,2020,(expected)
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2014,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,NA,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Republic of the Marshall Islands Demographic and Health Survey, 2007",NA,FALSE,NA,NA,NA,2020,(expected)
MKD,North Macedonia,North Macedonia,Republic of North Macedonia,MK,Macedonian denar,NA,Europe & Central Asia,Upper middle income,MK,NA,2005,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Multiple Indicator Cluster Survey, 2018/19","Income survey (IS), 2017",TRUE,2007,2010,2018,2020,(expected)
MLI,Mali,Mali,Republic of Mali,ML,West African CFA franc,NA,Sub-Saharan Africa,Low income,ML,1999,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2009/10",FALSE,NA,NA,2017,2020,(expected)
MLT,Malta,Malta,Republic of Malta,MT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN.",Middle East & North Africa,High income,MT,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2009,2018,2011,NA
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,MM,2016,NA,Value added at producer prices (VAP),IDA,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",FALSE,2010,NA,2018,2014,NA
MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,NA,2010,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",TRUE,2010,NA,2018,2011,NA
MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,MN,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2016",TRUE,2011,2011,2018,2020,NA
MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,NA,Sub-Saharan Africa,Low income,MZ,2014,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",FALSE,2009,1973,2018,2017,NA
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Sub-Saharan Africa,Lower middle income,MR,2014,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2014",FALSE,NA,NA,2017,2013,NA
MSR,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,NA,Sub-Saharan Africa,Upper middle income,MU,2006,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"World Health Survey, 2003","Integrated household survey (IHS), 2012",TRUE,2014,2012,2018,2020,(expected)
MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,NA,Sub-Saharan Africa,Low income,MW,2017,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",FALSE,2006,2012,2017,2018,NA
MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,NA,East Asia & Pacific,Upper middle income,MY,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2015,2012,2018,2020,(expected)
NAM,Namibia,Namibia,Republic of Namibia,NA,Namibian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,NA,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",FALSE,2013,2013,2018,2011,NA
NER,Niger,Niger,Republic of Niger,NE,West African CFA franc,NA,Sub-Saharan Africa,Low income,NE,2015,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",FALSE,2004,2002,2016,2012,NA
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,NG,2010,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",FALSE,2007,1996,2018,2020,(expected)
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Lower middle income,NI,NA,2006,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",FALSE,2011,1985,2018,2020,(expected)
NLD,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,NL,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,NA,Europe & Central Asia,High income,NO,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2014",TRUE,2010,2014,2018,2011,Population figures compiled from administrative registers.
NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,NP,2010,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2010/11",FALSE,2011,2011,2017,2011,NA
NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,High income,NR,2007,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,NA,NA,NA,NA,"Nauru Demographic and Health Survey, 2007",NA,TRUE,NA,NA,NA,2011,NA
NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,NZ,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,NA,NA,NA,NA,TRUE,2012,2012,2018,2018,NA
OMN,Oman,Oman,Sultanate of Oman,OM,Omani rial,NA,Middle East & North Africa,High income,OM,2018,NA,Value added at basic prices (VAB),NA,NA,2008,BPM5 (Converted into BPM6 by IMF),NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2014",NA,FALSE,2012,2014,2018,2020,(expected)
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,PK,2015,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Pakistan Maternal Mortality Survey
Other Data , 2019","Integrated household survey (IHS), 2014/15",FALSE,2010,2006,2018,2017,NA
PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,NA,Latin America & Caribbean,High income,PA,NA,2007,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016",TRUE,2011,2001,2016,2020,(expected)
PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,PE,2007,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",FALSE,2012,2011,2018,2017,NA
PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,NA,East Asia & Pacific,Lower middle income,PH,2018,NA,Value added at producer prices (VAP),IBRD,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",TRUE,2012,2012,2018,2020,(expected)
PLW,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,PW,2019,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,"Expenditure survey/budget survey (ES/BS), 2006",TRUE,NA,NA,2018,2015,NA
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,NA,East Asia & Pacific,Lower middle income,PG,2013,NA,Value added at basic prices (VAB),Blend,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",FALSE,NA,1987,2012,2020,(expected)
POL,Poland,Poland,Republic of Poland,PL,Polish zloty,NA,Europe & Central Asia,High income,PL,NA,2015,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Expenditure survey/budget survey (ES/BS), 2016",TRUE,2010,2013,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,Latin America & Caribbean,High income,PR,1953,NA,Value added at producer prices (VAP),NA,NA,1968,NA,NA,General trade system,NA,NA,"Reproductive Health Survey, 1995/96",NA,TRUE,2012,2006,NA,2020,(expected)
PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,NA,TRUE,2009,2014,2018,2011,NA
PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,PY,2014,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",FALSE,2008,2010,2018,2012,NA
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,National accounts data are provided in the US dollar.,Middle East & North Africa,Lower middle income,GZ,2015,NA,NA,NA,NA,2008,BPM6,NA,NA,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",FALSE,2010,2013,2018,2017,NA
QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,NA,Middle East & North Africa,High income,QA,2018,NA,Value added at producer prices (VAP),NA,NA,1993,BPM5 (Converted into BPM6 by IMF),NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2012",NA,TRUE,NA,2013,2018,2020,(expected)
ROU,Romania,Romania,Romania,RO,New Romanian leu,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Europe & Central Asia,High income,RO,NA,2005,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Romania Reproductive Health Survey, 2004","Income survey (IS), 2016",TRUE,2010,2013,2018,2011,NA
RUS,Russia,Russian Federation,Russian Federation,RU,Russian ruble,NA,Europe & Central Asia,Upper middle income,RU,NA,2016,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2017",TRUE,2016,2014,2018,2020,(expected)
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,NA,Sub-Saharan Africa,Low income,RW,2017,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",FALSE,2008,1999,2016,2012,NA
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,NA,Middle East & North Africa,High income,SA,2010,NA,Value added at producer prices (VAP),NA,NA,2008,BPM6,NA,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),Demographic Survey 2016,NA,FALSE,2015,2006,2018,2020,(expected)
SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,SD,1996,NA,Value added at basic prices (VAB),IDA,HIPC,1968,BPM6,Preliminary,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",FALSE,NA,2001,2017,2020,(expected)
SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,NA,Sub-Saharan Africa,Lower middle income,SN,2014,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",FALSE,2013,2012,2018,2013,NA
SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,SG,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"National Health Survey, 2010",NA,TRUE,NA,2014,2018,2020,(expected). Population figures compiled from administrative registers.
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,NA,East Asia & Pacific,Lower middle income,SB,2012,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",FALSE,NA,NA,2018,2019,NA
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,NA,Sub-Saharan Africa,Low income,SL,2006,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",FALSE,NA,1993,2017,2020,NA
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,NA,Latin America & Caribbean,Lower middle income,SV,NA,2014,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",TRUE,2007,1998,2018,2007,NA
SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,NA,Europe & Central Asia,High income,SM,2007,NA,Value added at basic prices (VAB),NA,NA,1993,NA,NA,NA,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,NA,NA,2020,(expected)
SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,SO,2017,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM5 (Converted into BPM6 by IMF),Actual,NA,NA,NA,"Multiple Indicator Cluster Survey, 2006",NA,FALSE,NA,1986,NA,1987,Enumeration of settled population was in November 1986 and of nomads in February 1987.
SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Europe & Central Asia,Upper middle income,YF,NA,2015,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Expenditure survey/budget survey (ES/BS), 2016",TRUE,2012,2014,2018,2011,NA
SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Sub-Saharan Africa,Low income,SS,2009,NA,Value added at basic prices (VAB),IDA,NA,2008,BPM6,NA,NA,NA,NA,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",FALSE,NA,NA,NA,2008,NA
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD),Sub-Saharan Africa,Lower middle income,ST,2008,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2010",TRUE,NA,NA,2018,2012,NA
