player,year,tournament,outcome,gender
Justine Henin,2012,Wimbledon,Retired,Female
Martina Hingis,2012,Wimbledon,Retired,Female
Ana Ivanovic,2012,Wimbledon,4th Round,Female
Jelena Janković,2012,Wimbledon,1st Round,Female
Angelique Kerber,2012,Wimbledon,Semi-finalist,Female
Madison Keys,2012,Wimbledon,Lost Qualifier,Female
Svetlana Kuznetsova,2012,Wimbledon,1st Round,Female
Petra Kvitová,2012,Wimbledon,Quarterfinalist,Female
Li Na,2012,Wimbledon,2nd Round,Female
Sabine Lisicki,2012,Wimbledon,Quarterfinalist,Female
Amélie Mauresmo,2012,Wimbledon,Retired,Female
Garbiñe Muguruza,2012,Wimbledon,Lost Qualifier,Female
Anastasia Myskina,2012,Wimbledon,Retired,Female
Flavia Pennetta,2012,Wimbledon,1st Round,Female
Mary Pierce,2012,Wimbledon,Absent,Female
Agnieszka Radwańska,2012,Wimbledon,Finalist,Female
Lucie Šafářová,2012,Wimbledon,1st Round,Female
Dinara Safina,2012,Wimbledon,Absent,Female
Francesca Schiavone,2012,Wimbledon,4th Round,Female
Maria Sharapova,2012,Wimbledon,4th Round,Female
Sloane Stephens,2012,Wimbledon,3rd Round,Female
Samantha Stosur,2012,Wimbledon,2nd Round,Female
Roberta Vinci,2012,Wimbledon,4th Round,Female
Serena Williams,2012,Wimbledon,Won,Female
Venus Williams,2012,Wimbledon,1st Round,Female
Caroline Wozniacki,2012,Wimbledon,1st Round,Female
Vera Zvonareva,2012,Wimbledon,3rd Round,Female
Victoria Azarenka,2012,US Open,Finalist,Female
Marion Bartoli,2012,US Open,Quarterfinalist,Female
Dominika Cibulková,2012,US Open,3rd Round,Female
Kim Clijsters,2012,US Open,2nd Round,Female
Lindsay Davenport,2012,US Open,Retired,Female
Elena Dementieva,2012,US Open,Retired,Female
Sara Errani,2012,US Open,Semi-finalist,Female
Simona Halep,2012,US Open,2nd Round,Female
Justine Henin,2012,US Open,Retired,Female
Martina Hingis,2012,US Open,Retired,Female
Ana Ivanovic,2012,US Open,Quarterfinalist,Female
Jelena Janković,2012,US Open,3rd Round,Female
Angelique Kerber,2012,US Open,4th Round,Female
Madison Keys,2012,US Open,Lost Qualifier,Female
Svetlana Kuznetsova,2012,US Open,Absent,Female
Petra Kvitová,2012,US Open,4th Round,Female
Li Na,2012,US Open,3rd Round,Female
Sabine Lisicki,2012,US Open,1st Round,Female
Amélie Mauresmo,2012,US Open,Retired,Female
Garbiñe Muguruza,2012,US Open,1st Round,Female
Anastasia Myskina,2012,US Open,Retired,Female
Flavia Pennetta,2012,US Open,Absent,Female
Mary Pierce,2012,US Open,Absent,Female
Agnieszka Radwańska,2012,US Open,4th Round,Female
Lucie Šafářová,2012,US Open,3rd Round,Female
Dinara Safina,2012,US Open,Absent,Female
Francesca Schiavone,2012,US Open,1st Round,Female
Maria Sharapova,2012,US Open,Semi-finalist,Female
Sloane Stephens,2012,US Open,3rd Round,Female
Samantha Stosur,2012,US Open,Quarterfinalist,Female
Roberta Vinci,2012,US Open,Quarterfinalist,Female
Serena Williams,2012,US Open,Won,Female
Venus Williams,2012,US Open,2nd Round,Female
Caroline Wozniacki,2012,US Open,1st Round,Female
Vera Zvonareva,2012,US Open,Absent,Female
Victoria Azarenka,2013,Australian Open,Won,Female
Marion Bartoli,2013,Australian Open,3rd Round,Female
Eugenie Bouchard,2013,Australian Open,Qualification Stage 2,Female
Dominika Cibulková,2013,Australian Open,2nd Round,Female
Sara Errani,2013,Australian Open,1st Round,Female
Simona Halep,2013,Australian Open,1st Round,Female
Ana Ivanovic,2013,Australian Open,4th Round,Female
Jelena Janković,2013,Australian Open,3rd Round,Female
Angelique Kerber,2013,Australian Open,4th Round,Female
Madison Keys,2013,Australian Open,3rd Round,Female
Svetlana Kuznetsova,2013,Australian Open,Quarterfinalist,Female
Petra Kvitová,2013,Australian Open,2nd Round,Female
Li Na,2013,Australian Open,Finalist,Female
Sabine Lisicki,2013,Australian Open,1st Round,Female
Garbiñe Muguruza,2013,Australian Open,2nd Round,Female
Naomi Osaka,2013,Australian Open,NA,Female
Jeļena Ostapenko,2013,Australian Open,NA,Female
Flavia Pennetta,2013,Australian Open,Absent,Female
Karolína Plíšková,2013,Australian Open,1st Round,Female
Monica Puig,2013,Australian Open,Qualification Stage 1,Female
Agnieszka Radwańska,2013,Australian Open,Quarterfinalist,Female
Lucie Šafářová,2013,Australian Open,2nd Round,Female
Francesca Schiavone,2013,Australian Open,1st Round,Female
Maria Sharapova,2013,Australian Open,Semi-finalist,Female
Sloane Stephens,2013,Australian Open,Semi-finalist,Female
Samantha Stosur,2013,Australian Open,2nd Round,Female
Roberta Vinci,2013,Australian Open,3rd Round,Female
Serena Williams,2013,Australian Open,Quarterfinalist,Female
Venus Williams,2013,Australian Open,3rd Round,Female
Caroline Wozniacki,2013,Australian Open,4th Round,Female
Vera Zvonareva,2013,Australian Open,Absent,Female
Victoria Azarenka,2013,French Open,Semi-finalist,Female
Marion Bartoli,2013,French Open,3rd Round,Female
Eugenie Bouchard,2013,French Open,2nd Round,Female
Dominika Cibulková,2013,French Open,2nd Round,Female
Sara Errani,2013,French Open,Semi-finalist,Female
Simona Halep,2013,French Open,1st Round,Female
Ana Ivanovic,2013,French Open,4th Round,Female
Jelena Janković,2013,French Open,Quarterfinalist,Female
Angelique Kerber,2013,French Open,4th Round,Female
Madison Keys,2013,French Open,2nd Round,Female
Svetlana Kuznetsova,2013,French Open,Quarterfinalist,Female
Petra Kvitová,2013,French Open,3rd Round,Female
Li Na,2013,French Open,2nd Round,Female
Sabine Lisicki,2013,French Open,3rd Round,Female
Garbiñe Muguruza,2013,French Open,2nd Round,Female
Naomi Osaka,2013,French Open,NA,Female
Jeļena Ostapenko,2013,French Open,NA,Female
Flavia Pennetta,2013,French Open,1st Round,Female
Karolína Plíšková,2013,French Open,1st Round,Female
Monica Puig,2013,French Open,3rd Round,Female
Agnieszka Radwańska,2013,French Open,Quarterfinalist,Female
Lucie Šafářová,2013,French Open,1st Round,Female
Francesca Schiavone,2013,French Open,4th Round,Female
Maria Sharapova,2013,French Open,Finalist,Female
Sloane Stephens,2013,French Open,4th Round,Female
Samantha Stosur,2013,French Open,3rd Round,Female
Roberta Vinci,2013,French Open,4th Round,Female
Serena Williams,2013,French Open,Won,Female
Venus Williams,2013,French Open,1st Round,Female
Caroline Wozniacki,2013,French Open,2nd Round,Female
Vera Zvonareva,2013,French Open,Absent,Female
Victoria Azarenka,2013,Wimbledon,2nd Round,Female
Marion Bartoli,2013,Wimbledon,Won,Female
Eugenie Bouchard,2013,Wimbledon,3rd Round,Female
Dominika Cibulková,2013,Wimbledon,3rd Round,Female
Sara Errani,2013,Wimbledon,1st Round,Female
Simona Halep,2013,Wimbledon,2nd Round,Female
Ana Ivanovic,2013,Wimbledon,2nd Round,Female
Jelena Janković,2013,Wimbledon,2nd Round,Female
Angelique Kerber,2013,Wimbledon,2nd Round,Female
Madison Keys,2013,Wimbledon,3rd Round,Female
Svetlana Kuznetsova,2013,Wimbledon,Absent,Female
Petra Kvitová,2013,Wimbledon,Quarterfinalist,Female
Li Na,2013,Wimbledon,Quarterfinalist,Female
Sabine Lisicki,2013,Wimbledon,Finalist,Female
Garbiñe Muguruza,2013,Wimbledon,2nd Round,Female
Naomi Osaka,2013,Wimbledon,NA,Female
Jeļena Ostapenko,2013,Wimbledon,NA,Female
Flavia Pennetta,2013,Wimbledon,4th Round,Female
Karolína Plíšková,2013,Wimbledon,2nd Round,Female
Monica Puig,2013,Wimbledon,4th Round,Female
Agnieszka Radwańska,2013,Wimbledon,Semi-finalist,Female
Lucie Šafářová,2013,Wimbledon,2nd Round,Female
Francesca Schiavone,2013,Wimbledon,1st Round,Female
Maria Sharapova,2013,Wimbledon,2nd Round,Female
Sloane Stephens,2013,Wimbledon,Quarterfinalist,Female
Samantha Stosur,2013,Wimbledon,3rd Round,Female
Roberta Vinci,2013,Wimbledon,4th Round,Female
Serena Williams,2013,Wimbledon,4th Round,Female
Venus Williams,2013,Wimbledon,Absent,Female
Caroline Wozniacki,2013,Wimbledon,2nd Round,Female
Vera Zvonareva,2013,Wimbledon,Absent,Female
Victoria Azarenka,2013,US Open,Finalist,Female
Marion Bartoli,2013,US Open,Retired,Female
Eugenie Bouchard,2013,US Open,2nd Round,Female
Dominika Cibulková,2013,US Open,1st Round,Female
Sara Errani,2013,US Open,2nd Round,Female
Simona Halep,2013,US Open,4th Round,Female
Ana Ivanovic,2013,US Open,4th Round,Female
Jelena Janković,2013,US Open,4th Round,Female
Angelique Kerber,2013,US Open,4th Round,Female
Madison Keys,2013,US Open,1st Round,Female
Svetlana Kuznetsova,2013,US Open,3rd Round,Female
Petra Kvitová,2013,US Open,3rd Round,Female
Li Na,2013,US Open,Semi-finalist,Female
Sabine Lisicki,2013,US Open,3rd Round,Female
Garbiñe Muguruza,2013,US Open,Absent,Female
Naomi Osaka,2013,US Open,NA,Female
Jeļena Ostapenko,2013,US Open,NA,Female
Flavia Pennetta,2013,US Open,Semi-finalist,Female
Karolína Plíšková,2013,US Open,1st Round,Female
Monica Puig,2013,US Open,1st Round,Female
Agnieszka Radwańska,2013,US Open,4th Round,Female
Lucie Šafářová,2013,US Open,2nd Round,Female
Francesca Schiavone,2013,US Open,1st Round,Female
Maria Sharapova,2013,US Open,Absent,Female
Sloane Stephens,2013,US Open,4th Round,Female
Samantha Stosur,2013,US Open,1st Round,Female
Roberta Vinci,2013,US Open,Quarterfinalist,Female
Serena Williams,2013,US Open,Won,Female
Venus Williams,2013,US Open,2nd Round,Female
Caroline Wozniacki,2013,US Open,3rd Round,Female
Vera Zvonareva,2013,US Open,Absent,Female
Victoria Azarenka,2014,Australian Open,Quarterfinalist,Female
Marion Bartoli,2014,Australian Open,Retired,Female
Eugenie Bouchard,2014,Australian Open,Semi-finalist,Female
Dominika Cibulková,2014,Australian Open,Finalist,Female
Sara Errani,2014,Australian Open,1st Round,Female
Simona Halep,2014,Australian Open,Quarterfinalist,Female
Ana Ivanovic,2014,Australian Open,Quarterfinalist,Female
Jelena Janković,2014,Australian Open,4th Round,Female
Angelique Kerber,2014,Australian Open,4th Round,Female
Madison Keys,2014,Australian Open,2nd Round,Female
Svetlana Kuznetsova,2014,Australian Open,1st Round,Female
Petra Kvitová,2014,Australian Open,1st Round,Female
Li Na,2014,Australian Open,Won,Female
Sabine Lisicki,2014,Australian Open,2nd Round,Female
Garbiñe Muguruza,2014,Australian Open,4th Round,Female
Naomi Osaka,2014,Australian Open,Absent,Female
Jeļena Ostapenko,2014,Australian Open,Absent,Female
Flavia Pennetta,2014,Australian Open,Quarterfinalist,Female
Karolína Plíšková,2014,Australian Open,2nd Round,Female
Monica Puig,2014,Australian Open,2nd Round,Female
Agnieszka Radwańska,2014,Australian Open,Semi-finalist,Female
Lucie Šafářová,2014,Australian Open,3rd Round,Female
Francesca Schiavone,2014,Australian Open,1st Round,Female
Maria Sharapova,2014,Australian Open,4th Round,Female
Sloane Stephens,2014,Australian Open,4th Round,Female
Samantha Stosur,2014,Australian Open,3rd Round,Female
Roberta Vinci,2014,Australian Open,1st Round,Female
Serena Williams,2014,Australian Open,4th Round,Female
Venus Williams,2014,Australian Open,1st Round,Female
Caroline Wozniacki,2014,Australian Open,3rd Round,Female
Vera Zvonareva,2014,Australian Open,1st Round,Female
Victoria Azarenka,2014,French Open,Absent,Female
Marion Bartoli,2014,French Open,Retired,Female
Eugenie Bouchard,2014,French Open,Semi-finalist,Female
Dominika Cibulková,2014,French Open,3rd Round,Female
Sara Errani,2014,French Open,Quarterfinalist,Female
Simona Halep,2014,French Open,Finalist,Female
Ana Ivanovic,2014,French Open,3rd Round,Female
Jelena Janković,2014,French Open,4th Round,Female
Angelique Kerber,2014,French Open,4th Round,Female
Madison Keys,2014,French Open,1st Round,Female
Svetlana Kuznetsova,2014,French Open,Quarterfinalist,Female
Petra Kvitová,2014,French Open,3rd Round,Female
Li Na,2014,French Open,1st Round,Female
Sabine Lisicki,2014,French Open,2nd Round,Female
Garbiñe Muguruza,2014,French Open,Quarterfinalist,Female
Naomi Osaka,2014,French Open,Absent,Female
Jeļena Ostapenko,2014,French Open,Absent,Female
Flavia Pennetta,2014,French Open,2nd Round,Female
Karolína Plíšková,2014,French Open,2nd Round,Female
Monica Puig,2014,French Open,1st Round,Female
Agnieszka Radwańska,2014,French Open,3rd Round,Female
Lucie Šafářová,2014,French Open,4th Round,Female
Francesca Schiavone,2014,French Open,1st Round,Female
Maria Sharapova,2014,French Open,Won,Female
Sloane Stephens,2014,French Open,4th Round,Female
Samantha Stosur,2014,French Open,4th Round,Female
Roberta Vinci,2014,French Open,1st Round,Female
Serena Williams,2014,French Open,2nd Round,Female
Venus Williams,2014,French Open,2nd Round,Female
Caroline Wozniacki,2014,French Open,1st Round,Female
Vera Zvonareva,2014,French Open,Absent,Female
Victoria Azarenka,2014,Wimbledon,2nd Round,Female
Marion Bartoli,2014,Wimbledon,Retired,Female
Eugenie Bouchard,2014,Wimbledon,Finalist,Female
Dominika Cibulková,2014,Wimbledon,3rd Round,Female
Sara Errani,2014,Wimbledon,1st Round,Female
Simona Halep,2014,Wimbledon,Semi-finalist,Female
Ana Ivanovic,2014,Wimbledon,3rd Round,Female
Jelena Janković,2014,Wimbledon,1st Round,Female
Angelique Kerber,2014,Wimbledon,Quarterfinalist,Female
Madison Keys,2014,Wimbledon,3rd Round,Female
Svetlana Kuznetsova,2014,Wimbledon,1st Round,Female
Petra Kvitová,2014,Wimbledon,Won,Female
Li Na,2014,Wimbledon,3rd Round,Female
Sabine Lisicki,2014,Wimbledon,Quarterfinalist,Female
Garbiñe Muguruza,2014,Wimbledon,1st Round,Female
Naomi Osaka,2014,Wimbledon,Absent,Female
Jeļena Ostapenko,2014,Wimbledon,Absent,Female
Flavia Pennetta,2014,Wimbledon,2nd Round,Female
Karolína Plíšková,2014,Wimbledon,2nd Round,Female
Monica Puig,2014,Wimbledon,1st Round,Female
Agnieszka Radwańska,2014,Wimbledon,4th Round,Female
Lucie Šafářová,2014,Wimbledon,Semi-finalist,Female
Francesca Schiavone,2014,Wimbledon,1st Round,Female
Maria Sharapova,2014,Wimbledon,4th Round,Female
Sloane Stephens,2014,Wimbledon,1st Round,Female
Samantha Stosur,2014,Wimbledon,1st Round,Female
Roberta Vinci,2014,Wimbledon,1st Round,Female
Serena Williams,2014,Wimbledon,3rd Round,Female
Venus Williams,2014,Wimbledon,3rd Round,Female
Caroline Wozniacki,2014,Wimbledon,4th Round,Female
Vera Zvonareva,2014,Wimbledon,3rd Round,Female
Victoria Azarenka,2014,US Open,Quarterfinalist,Female
Marion Bartoli,2014,US Open,Retired,Female
Eugenie Bouchard,2014,US Open,4th Round,Female
Dominika Cibulková,2014,US Open,1st Round,Female
Sara Errani,2014,US Open,Quarterfinalist,Female
Simona Halep,2014,US Open,3rd Round,Female
Ana Ivanovic,2014,US Open,2nd Round,Female
Jelena Janković,2014,US Open,4th Round,Female
Angelique Kerber,2014,US Open,3rd Round,Female
Madison Keys,2014,US Open,2nd Round,Female
Svetlana Kuznetsova,2014,US Open,1st Round,Female
Petra Kvitová,2014,US Open,3rd Round,Female
Li Na,2014,US Open,Absent,Female
Sabine Lisicki,2014,US Open,3rd Round,Female
Garbiñe Muguruza,2014,US Open,1st Round,Female
Naomi Osaka,2014,US Open,Absent,Female
Jeļena Ostapenko,2014,US Open,Absent,Female
Flavia Pennetta,2014,US Open,Quarterfinalist,Female
Karolína Plíšková,2014,US Open,3rd Round,Female
Monica Puig,2014,US Open,2nd Round,Female
Agnieszka Radwańska,2014,US Open,2nd Round,Female
Lucie Šafářová,2014,US Open,4th Round,Female
Francesca Schiavone,2014,US Open,1st Round,Female
Maria Sharapova,2014,US Open,4th Round,Female
Sloane Stephens,2014,US Open,2nd Round,Female
Samantha Stosur,2014,US Open,2nd Round,Female
Roberta Vinci,2014,US Open,3rd Round,Female
Serena Williams,2014,US Open,Won,Female
Venus Williams,2014,US Open,3rd Round,Female
Caroline Wozniacki,2014,US Open,Finalist,Female
Vera Zvonareva,2014,US Open,Absent,Female
Victoria Azarenka,2015,Australian Open,4th Round,Female
Marion Bartoli,2015,Australian Open,Retired,Female
Eugenie Bouchard,2015,Australian Open,Quarterfinalist,Female
Dominika Cibulková,2015,Australian Open,Quarterfinalist,Female
Sara Errani,2015,Australian Open,3rd Round,Female
Simona Halep,2015,Australian Open,Quarterfinalist,Female
Ana Ivanovic,2015,Australian Open,1st Round,Female
Jelena Janković,2015,Australian Open,1st Round,Female
Angelique Kerber,2015,Australian Open,1st Round,Female
Madison Keys,2015,Australian Open,Semi-finalist,Female
Svetlana Kuznetsova,2015,Australian Open,1st Round,Female
Petra Kvitová,2015,Australian Open,3rd Round,Female
Li Na,2015,Australian Open,Retired,Female
Sabine Lisicki,2015,Australian Open,1st Round,Female
Garbiñe Muguruza,2015,Australian Open,4th Round,Female
Naomi Osaka,2015,Australian Open,Absent,Female
Jeļena Ostapenko,2015,Australian Open,Absent,Female
Flavia Pennetta,2015,Australian Open,1st Round,Female
Karolína Plíšková,2015,Australian Open,3rd Round,Female
Monica Puig,2015,Australian Open,2nd Round,Female
Agnieszka Radwańska,2015,Australian Open,4th Round,Female
Lucie Šafářová,2015,Australian Open,1st Round,Female
Francesca Schiavone,2015,Australian Open,1st Round,Female
Maria Sharapova,2015,Australian Open,Finalist,Female
Sloane Stephens,2015,Australian Open,1st Round,Female
Samantha Stosur,2015,Australian Open,2nd Round,Female
Roberta Vinci,2015,Australian Open,2nd Round,Female
Serena Williams,2015,Australian Open,Won,Female
Venus Williams,2015,Australian Open,Quarterfinalist,Female
Caroline Wozniacki,2015,Australian Open,2nd Round,Female
Vera Zvonareva,2015,Australian Open,2nd Round,Female
Victoria Azarenka,2015,French Open,3rd Round,Female
Marion Bartoli,2015,French Open,Retired,Female
Eugenie Bouchard,2015,French Open,1st Round,Female
Dominika Cibulková,2015,French Open,Absent,Female
Sara Errani,2015,French Open,Quarterfinalist,Female
Simona Halep,2015,French Open,2nd Round,Female
Ana Ivanovic,2015,French Open,Semi-finalist,Female
Jelena Janković,2015,French Open,1st Round,Female
Angelique Kerber,2015,French Open,3rd Round,Female
Madison Keys,2015,French Open,3rd Round,Female
Svetlana Kuznetsova,2015,French Open,2nd Round,Female
Petra Kvitová,2015,French Open,4th Round,Female
Li Na,2015,French Open,Retired,Female
Sabine Lisicki,2015,French Open,3rd Round,Female
Garbiñe Muguruza,2015,French Open,Quarterfinalist,Female
Naomi Osaka,2015,French Open,Absent,Female
Jeļena Ostapenko,2015,French Open,Qualification Stage 1,Female
Flavia Pennetta,2015,French Open,4th Round,Female
Karolína Plíšková,2015,French Open,2nd Round,Female
Monica Puig,2015,French Open,1st Round,Female
Agnieszka Radwańska,2015,French Open,1st Round,Female
Lucie Šafářová,2015,French Open,Finalist,Female
Francesca Schiavone,2015,French Open,3rd Round,Female
Maria Sharapova,2015,French Open,4th Round,Female
Sloane Stephens,2015,French Open,4th Round,Female
Samantha Stosur,2015,French Open,3rd Round,Female
Roberta Vinci,2015,French Open,1st Round,Female
Serena Williams,2015,French Open,Won,Female
Venus Williams,2015,French Open,1st Round,Female
Caroline Wozniacki,2015,French Open,2nd Round,Female
Vera Zvonareva,2015,French Open,Absent,Female
Victoria Azarenka,2015,Wimbledon,Quarterfinalist,Female
Marion Bartoli,2015,Wimbledon,Retired,Female
Eugenie Bouchard,2015,Wimbledon,1st Round,Female
Dominika Cibulková,2015,Wimbledon,1st Round,Female
Sara Errani,2015,Wimbledon,2nd Round,Female
Simona Halep,2015,Wimbledon,1st Round,Female
Ana Ivanovic,2015,Wimbledon,2nd Round,Female
Jelena Janković,2015,Wimbledon,4th Round,Female
Angelique Kerber,2015,Wimbledon,3rd Round,Female
Madison Keys,2015,Wimbledon,Quarterfinalist,Female
Svetlana Kuznetsova,2015,Wimbledon,2nd Round,Female
Petra Kvitová,2015,Wimbledon,3rd Round,Female
Li Na,2015,Wimbledon,Retired,Female
Sabine Lisicki,2015,Wimbledon,3rd Round,Female
Garbiñe Muguruza,2015,Wimbledon,Finalist,Female
Naomi Osaka,2015,Wimbledon,Qualification Stage 1,Female
Jeļena Ostapenko,2015,Wimbledon,2nd Round,Female
Flavia Pennetta,2015,Wimbledon,1st Round,Female
Karolína Plíšková,2015,Wimbledon,2nd Round,Female
Monica Puig,2015,Wimbledon,1st Round,Female
Agnieszka Radwańska,2015,Wimbledon,Semi-finalist,Female
Lucie Šafářová,2015,Wimbledon,4th Round,Female
Francesca Schiavone,2015,Wimbledon,1st Round,Female
Maria Sharapova,2015,Wimbledon,Semi-finalist,Female
Sloane Stephens,2015,Wimbledon,3rd Round,Female
Samantha Stosur,2015,Wimbledon,3rd Round,Female
Roberta Vinci,2015,Wimbledon,1st Round,Female
Serena Williams,2015,Wimbledon,Won,Female
Venus Williams,2015,Wimbledon,4th Round,Female
Caroline Wozniacki,2015,Wimbledon,4th Round,Female
Vera Zvonareva,2015,Wimbledon,Absent,Female
Victoria Azarenka,2015,US Open,Quarterfinalist,Female
Marion Bartoli,2015,US Open,Retired,Female
Eugenie Bouchard,2015,US Open,4th Round,Female
Dominika Cibulková,2015,US Open,3rd Round,Female
Sara Errani,2015,US Open,3rd Round,Female
Simona Halep,2015,US Open,Semi-finalist,Female
Ana Ivanovic,2015,US Open,1st Round,Female
Jelena Janković,2015,US Open,1st Round,Female
Angelique Kerber,2015,US Open,3rd Round,Female
Madison Keys,2015,US Open,4th Round,Female
Svetlana Kuznetsova,2015,US Open,1st Round,Female
Petra Kvitová,2015,US Open,Quarterfinalist,Female
Li Na,2015,US Open,Retired,Female
Sabine Lisicki,2015,US Open,4th Round,Female
Garbiñe Muguruza,2015,US Open,2nd Round,Female
Naomi Osaka,2015,US Open,Qualification Stage 2,Female
Jeļena Ostapenko,2015,US Open,2nd Round,Female
Flavia Pennetta,2015,US Open,Won,Female
Karolína Plíšková,2015,US Open,1st Round,Female
Monica Puig,2015,US Open,1st Round,Female
Agnieszka Radwańska,2015,US Open,3rd Round,Female
Lucie Šafářová,2015,US Open,1st Round,Female
Francesca Schiavone,2015,US Open,1st Round,Female
Maria Sharapova,2015,US Open,Absent,Female
Sloane Stephens,2015,US Open,1st Round,Female
Samantha Stosur,2015,US Open,4th Round,Female
Roberta Vinci,2015,US Open,Finalist,Female
Serena Williams,2015,US Open,Semi-finalist,Female
Venus Williams,2015,US Open,Quarterfinalist,Female
Caroline Wozniacki,2015,US Open,2nd Round,Female
Vera Zvonareva,2015,US Open,Absent,Female
Victoria Azarenka,2016,Australian Open,Quarterfinalist,Female
Marion Bartoli,2016,Australian Open,Retired,Female
Eugenie Bouchard,2016,Australian Open,2nd Round,Female
Dominika Cibulková,2016,Australian Open,1st Round,Female
Sara Errani,2016,Australian Open,1st Round,Female
Simona Halep,2016,Australian Open,1st Round,Female
Ana Ivanovic,2016,Australian Open,3rd Round,Female
Jelena Janković,2016,Australian Open,2nd Round,Female
Angelique Kerber,2016,Australian Open,Won,Female
Madison Keys,2016,Australian Open,4th Round,Female
Svetlana Kuznetsova,2016,Australian Open,2nd Round,Female
Petra Kvitová,2016,Australian Open,2nd Round,Female
Li Na,2016,Australian Open,Retired,Female
Sabine Lisicki,2016,Australian Open,2nd Round,Female
Garbiñe Muguruza,2016,Australian Open,3rd Round,Female
Naomi Osaka,2016,Australian Open,3rd Round,Female
Jeļena Ostapenko,2016,Australian Open,1st Round,Female
Flavia Pennetta,2016,Australian Open,Retired,Female
Karolína Plíšková,2016,Australian Open,3rd Round,Female
Monica Puig,2016,Australian Open,3rd Round,Female
Agnieszka Radwańska,2016,Australian Open,Semi-finalist,Female
Lucie Šafářová,2016,Australian Open,Absent,Female
Francesca Schiavone,2016,Australian Open,Qualification Stage 2,Female
Maria Sharapova,2016,Australian Open,Quarterfinalist,Female
Sloane Stephens,2016,Australian Open,1st Round,Female
Samantha Stosur,2016,Australian Open,1st Round,Female
Roberta Vinci,2016,Australian Open,3rd Round,Female
Serena Williams,2016,Australian Open,Finalist,Female
Venus Williams,2016,Australian Open,1st Round,Female
Caroline Wozniacki,2016,Australian Open,1st Round,Female
Vera Zvonareva,2016,Australian Open,Absent,Female
Victoria Azarenka,2016,French Open,1st Round,Female
Marion Bartoli,2016,French Open,Retired,Female
Eugenie Bouchard,2016,French Open,2nd Round,Female
Dominika Cibulková,2016,French Open,3rd Round,Female
Sara Errani,2016,French Open,1st Round,Female
Simona Halep,2016,French Open,4th Round,Female
Ana Ivanovic,2016,French Open,3rd Round,Female
Jelena Janković,2016,French Open,1st Round,Female
Angelique Kerber,2016,French Open,1st Round,Female
Madison Keys,2016,French Open,4th Round,Female
Svetlana Kuznetsova,2016,French Open,4th Round,Female
Petra Kvitová,2016,French Open,3rd Round,Female
Li Na,2016,French Open,Retired,Female
Sabine Lisicki,2016,French Open,1st Round,Female
Garbiñe Muguruza,2016,French Open,Won,Female
Naomi Osaka,2016,French Open,3rd Round,Female
Jeļena Ostapenko,2016,French Open,1st Round,Female
Flavia Pennetta,2016,French Open,Retired,Female
Karolína Plíšková,2016,French Open,3rd Round,Female
Monica Puig,2016,French Open,3rd Round,Female
Agnieszka Radwańska,2016,French Open,4th Round,Female
Lucie Šafářová,2016,French Open,3rd Round,Female
Francesca Schiavone,2016,French Open,1st Round,Female
Maria Sharapova,2016,French Open,NA,Female
Sloane Stephens,2016,French Open,3rd Round,Female
Samantha Stosur,2016,French Open,Semi-finalist,Female
Roberta Vinci,2016,French Open,1st Round,Female
Serena Williams,2016,French Open,Finalist,Female
Venus Williams,2016,French Open,4th Round,Female
Caroline Wozniacki,2016,French Open,Absent,Female
Vera Zvonareva,2016,French Open,Absent,Female
Victoria Azarenka,2016,Wimbledon,Absent,Female
Marion Bartoli,2016,Wimbledon,Retired,Female
Eugenie Bouchard,2016,Wimbledon,3rd Round,Female
Dominika Cibulková,2016,Wimbledon,Quarterfinalist,Female
Sara Errani,2016,Wimbledon,2nd Round,Female
Simona Halep,2016,Wimbledon,Quarterfinalist,Female
Ana Ivanovic,2016,Wimbledon,1st Round,Female
Jelena Janković,2016,Wimbledon,2nd Round,Female
Angelique Kerber,2016,Wimbledon,Finalist,Female
Madison Keys,2016,Wimbledon,4th Round,Female
Svetlana Kuznetsova,2016,Wimbledon,4th Round,Female
Petra Kvitová,2016,Wimbledon,2nd Round,Female
Li Na,2016,Wimbledon,Retired,Female
Sabine Lisicki,2016,Wimbledon,3rd Round,Female
Garbiñe Muguruza,2016,Wimbledon,2nd Round,Female
Naomi Osaka,2016,Wimbledon,Absent,Female
Jeļena Ostapenko,2016,Wimbledon,1st Round,Female
Flavia Pennetta,2016,Wimbledon,Retired,Female
Karolína Plíšková,2016,Wimbledon,2nd Round,Female
Monica Puig,2016,Wimbledon,1st Round,Female
Agnieszka Radwańska,2016,Wimbledon,4th Round,Female
Lucie Šafářová,2016,Wimbledon,4th Round,Female
Francesca Schiavone,2016,Wimbledon,2nd Round,Female
Maria Sharapova,2016,Wimbledon,NA,Female
Sloane Stephens,2016,Wimbledon,3rd Round,Female
Samantha Stosur,2016,Wimbledon,2nd Round,Female
Roberta Vinci,2016,Wimbledon,3rd Round,Female
Serena Williams,2016,Wimbledon,Won,Female
Venus Williams,2016,Wimbledon,Semi-finalist,Female
Caroline Wozniacki,2016,Wimbledon,1st Round,Female
Vera Zvonareva,2016,Wimbledon,Absent,Female
Victoria Azarenka,2016,US Open,Absent,Female
Marion Bartoli,2016,US Open,Retired,Female
Eugenie Bouchard,2016,US Open,1st Round,Female
Dominika Cibulková,2016,US Open,3rd Round,Female
Sara Errani,2016,US Open,1st Round,Female
Simona Halep,2016,US Open,Quarterfinalist,Female
Ana Ivanovic,2016,US Open,1st Round,Female
