PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,HIMAL_FACTOR,REGION,REGION_FACTOR,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PHOST_FACTOR,PSTATUS,PSTATUS_FACTOR,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
PIMU,Pimu,Pamalka,Rolwaling Himal (N of Tesi Laptsa),6344,20814,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,581,1955,1,PIMU55101,Apr,UK,"Peter Boultbee, Dennis Davis",NA,NA,NA
PISA,Pisang,Jong Ri,Damodar Himal (N of Marysangdi Valley),6091,19984,3,Damodar,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,583,1955,2,PISA55201,Jun 10,W Germany,Juergen Wellenkamp,NA,NA,NA
PK29,Peak 29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",Manaslu Himal (S of Manaslu),7871,25823,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,585,1979,1,PK2979101,May 08,Poland,"Ryszard Gajewski, Maciej Pawlikowski",1st ascent claimed by Japan (Sumiyoshi) in 1970 (summiters killed in descent),587,588
POIN,Pointed Peak,NA,"Khumbu Himal (N of Cholatse, S of Tshola La)",5850,19193,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,591,1953,1,POIN53101,Apr 01,UK,"Wilfred Noyce, Michael Ward, Charles Wylie",NA,NA,NA
POKA,Pokalde,Dolma Ri,Khumbu Himal (N of Ama Dablam),5780,18963,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,593,1953,1,POKA53101,Apr 15,UK,"Tom Bourdillon, Wilfred Noyce, Michael Ward",NA,NA,NA
OMBG,Ombigaichen,Puma Dablam,Khumbu Himal (SE of Ama Dablam),6340,20801,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,Nepal only,2,Climbed,597,1960,3,OMBG60301,Nov 18,"New Zealand, Nepal","Jim Milledge, Ang Tsering Sherpa",NA,NA,NA
PUMO,Pumori,NA,Khumbu Himal (WNW of Everest on Tibetan border),7138,23419,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,600,1962,1,PUMO62101,May 17,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",NA,NA,604
PUTH,Putha Hiunchuli,Dhaulagiri VII,Dhaulagiri Himal (W of Churen Himal),7246,23773,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,607,1954,3,PUTH54301,Nov 11,"UK, Nepal","J. O. M. Roberts, Ang Nyima Sherpa",NA,NA,609
PYRM,Pyramid Peak,"Pathibhara Chuli, Pathibhara Khas",Jongsang Himal (N of Kangchenjunga on Indian border),7140,23425,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,610,1993,1,PYRM93101,Apr 24,"Japan, India","Yoshio Ogata, Jot Singh Bhandari, Hiroshi Iwazaki, Phurba Lepcha, Sunder Singh Martolia, Lobsang Sherpa, Nobuhiro Shingo",1st ascent claimed by Swiss (Sutter) in 1949 but reached secondary summit,NA,NA
RAKS,Raksha Urai,Raksha Urai III,Raksha Urai Himal (ENE of Nampa),6609,21683,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,612,2003,3,RAKS03301,Oct 15,"France, Nepal","Arnaud Clere, Catherine Couland, Gael Faroux, Keshab Raj Gurung",NA,NA,NA
RAMD,Ramdung,Ramdong Go,Rolwaling Himal (W of Tesi Laptsa),5900,19357,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,626,1952,3,RAMD52301,Oct,"UK, Nepal","Tom MacKinnon, Dawa Tenzing Sherpa, Mingma Sherpa",NA,NA,NA
RATH,Rathong,NA,Simhalila Himal (SW of Kabru on Indian border),6682,21923,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,629,1964,3,RATH64301,Oct 29,India,"H. P. S. Ahluwalia, Ang Kami Sherpa, Dorje Latoo Sherpa, Nawang Gombu Sherpa",NA,NA,NA
ROCN,Roc Noir,"Khangsar Kang, Khang Sar Khang",Annapurna Himal (ENE of Annapurna I),7485,24557,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,631,1969,1,ROCN69101,May 09,W Germany,"Reinhold Obster, Pit Schubert, Karl Winkler",NA,NA,NA
ROKA,Rokapi,Kapchuli,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",6468,21220,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,633,1977,3,ROKA77301,Oct 10,UK,"Thomas Herley, Kelvin McLane",NA,NA,NA
SAIE,Saipal East Humla,NA,Saipal Himal (NE of Saipal),6925,22720,20,Saipal,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,635,1990,3,SAIP90301,Oct 26,"Switzerland, Nepal","Jacques Montaz, Tendi Sherpa",Saipal East Humla is a subpeak on the NE Ridge of Saipal,NA,NA
SAIP,Saipal,NA,Saipal Himal,7030,23064,20,Saipal,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,640,1963,3,SAIP63301,Oct 21,"Japan, Nepal","Katsuotoshi Hirabayashi, Pasang Phutar Sherpa (I)",NA,NA,642
SHAR,Shartse,"Peak 38, Shanti Shikhar",Khumbu Himal (E of Lhotse Shar on Tibetan border),7591,24905,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,1,Unclimbed,644,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
SHA2,Shartse II,Junction Peak,Khumbu Himal (E of Lhotse Shar on Tibetan border),7457,24465,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,652,1974,1,SHA274101,May 23,"Austria, W Germany","Kurt Diemburger, Hermann Warth",NA,NA,NA
SHEY,Shey Shikhar,Junction Peak,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),6139,20141,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,660,2007,2,SHEY07201,Aug 23,Japan,Katsuhito Fujikawa,NA,NA,NA
SING,Singu Chuli,Fluted Peak,Annapurna Himal (Annapurna Sanctuary),6501,21329,1,Annapurna,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,662,1957,1,SING57101,Jun 13,UK,"David Cox, Wilfred Noyce",NA,NA,664
SISN,Sisne Himal,Hiunchuli Patan,Sisne Himal (SW of Juphal in Rukum),5911,19393,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,665,2013,1,SISN13101,May 26,"Nepal, USA","Man Bahadur Khatri, Alonzo Lyons, Dbruba Bista, Mulal Gurung, Nilam Gurung, Ali Bahadur Khatri, Vinaya Jaya Malla, Amrit Sarki",NA,NA,NA
SITA,Sita Chuchura,NA,Mukut Himal (ENE of Dhaulagiri II near French Pass),6611,21690,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,667,1970,3,SITA70301,Oct 26,"Japan, Nepal","Masahiko Takahashi, Hiroshi Harada, Nobuyki Hirato, Phurba Kitar Sherpa",NA,NA,NA
SNOW,Snow Peak,NA,Dhaulagiri Himal (E of Dhaulagiri II),6530,21424,4,Dhaulagiri,6,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,673,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
SPHN,Sphinx,"Pathibhara Phurba, Pathibhara East",Jongsang Himal (NE of Pathibhara on Indian border),6825,22392,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2014,5,Nepal & India,2,Climbed,674,1936,1,SPHN36101,Jun,UK,"J. K. Cooke, Frederick S. Chapman, John B. Harrison",NA,NA,NA
SPH1,Sharphu I,Tanga I,Ohmi Kangri Himal (WNW of Kangchenjunga),6433,21106,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,676,1963,3,SPH163301,Oct 22,Japan,"Takao Ishinabe, Chiharu Miyamoto, Yuzo Tatsumi",NA,NA,NA
SURM,Surma-Sarovar North,NA,Api Himal (SSE of Jethi Bahurani),6564,21535,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,687,2023,3,SURM23301,Oct 25,UK,"Paul Ramsen, Timothy Miller",NA,NA,NA
TAWO,Tawoche,Taboche,Khumbu Himal (NW of Ama Dablam),6495,21309,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,692,1974,1,TAWO74101,Apr 15,France,"Louis Dubost, Paul Gendre",NA,NA,695
KIRA,Kirat Chuli,Tent Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7362,24154,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,697,1939,1,KIRA39101,May 29,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer",NA,NA,NA
THAM,Thamserku,Tramserku,Khumbu Himal (SW of Ama Dablam),6618,21713,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,699,1964,3,THAM64301,Nov 04,New Zealand,"Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart",NA,701,702
THAR,Tharpu Chuli,Tent Peak,Annapurna Himal (Annapurna Sanctuary),5695,18684,1,Annapurna,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,704,1964,3,THAR64301,Oct 23,Japan,"Masaaki Kimura, Kiyoo Shimada",NA,NA,NA
TILI,Tilicho,Tilitso,Annapurna-Nilgiri Himal (N of Annapurna I),7134,23406,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,706,1978,3,TILI78301,Oct 10,France,Emmanuel Schmutz,Reinhold Messner claimns first ascent in autumn of 1971,NA,708
TLNG,Talung,NA,Simhalila Himal (S of Kangchenjunga on Indian border),7349,24111,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,5,Nepal & India,2,Climbed,710,1964,1,TLNG64101,May 19,"W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa",NA,NA,712
TONG,Tongu,NA,Mukut Himal (N of Hongde in Hidden Valley),6187,20299,16,Mukut/Mustang,6,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,714,1959,3,TONG59301,Oct 21,USA,"John Humphreys, Fred Dunn, John Noxon",NA,NA,NA
TRIP,Tripura Hiunchuli,"Tripura Thumba, Hanging Glacier Peak",Kanjiroba Himal (SE of Kanjiroba),6553,21499,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,716,1986,3,TRIP86301,Oct 17,"Japan, Nepal","Noriyuki Hata, Katashi Tokimoto, Ang Phuri Sherpa",1st ascent of main (north) peak,NA,718
TSOK,Tso Karpo Kang,Tso Karpo Khang,Kanjiroba Himal (E of Kanjiroba),6556,21509,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,719,1971,3,TSOK71301,Oct 25,Japan,"Shoji Miyoshi, Koji Mizutani",NA,NA,NA
TUKU,Tukuche,NA,Dhaulagiri Himal (NE of Dhaulagiri I),6920,22703,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,723,1970,1,TUKU70101,Apr 30,Japan,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",1st unofficial ascent by USA in 1968?,NA,725
URKM,Urkinmang,Buddha,Jugal Himal (W of Dorje Lhakpa),6143,20154,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,726,1964,1,URKM64101,May 20,"Japan, Nepal","Akira Ban, Kazuhisa Jokei, Tesuya Kiyohara, Mingma Tshering Sherpa",NA,NA,729
ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,22336,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,730,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
TSUR,Tsaurabong Peak,"Chara Ban Peak, White Peak",Dhaulagiri Himal (SSE of Dhaulagiri V),6395,20981,4,Dhaulagiri,6,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,736,1974,1,TSUR74101,NA,"Japan, Nepal","Genzaburo Yamasaki, Sherpas (?)",NA,NA,NA
YALU,Yalung Kang,Yalungkar,Kangchenjunga Himal (W summit of Kangchenjunga),8505,27904,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,737,1973,1,YALU73101,May 14,Japan,"Yutaka Ageta, Takao Matsuda",1st ascent claimed,NA,739
PASA,Pasang Lhamu Chuli,Jasemba,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,741,1986,3,PASA86301,Oct 12,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",NA,NA,745
RATC,Ratna Chuli,NA,Peri Himal (NW of Himlung on Tibetan border),7035,23081,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,747,1996,3,RATC96301,Oct 14,"Japan, Nepal","Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang",NA,NA,NA
KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,22474,11,Kanti/Palchung,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,749,2002,3,KANT02301,Sep 24,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa",Ascent was from Tibetan side,NA,NA
RAMT,Ramtang,NA,Kangchenjunga Himal (N of Kangbachen),6601,21657,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 1997,1,Nepal only,2,Climbed,750,1930,1,RAMT30101,May,"Austria, UK","Erwin Schneider, Frank Smythe",NA,NA,NA
LING,Lingtren,NA,Khumbu Himal (ENE of Pumori on Tibetan border),6713,22024,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,752,1935,2,LING35201,Aug,UK,"Eric Shipton, Dan Bryant",NA,NA,NA
TENG,Tengkoma,Tang Kongma,Jongsang Himal (NW of Kangchenjunga),6215,20390,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 1997,1,Nepal only,2,Climbed,755,1949,1,TENG49101,Jun 17,"Switzerland, Nepal","Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant, Pasang Sherpa",NA,NA,757
RAMC,Ramtang Chang,"Wedge Peak, Chang Himal",Kangchenjunga Himal (N of Ramtang),6802,22316,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,758,1974,3,RAMC74301,Oct 05,Yugoslavia,"Janez Gradisar, Bojan Pollak, Michael Smolej",Illegal ascent,NA,NA
CHRE,Churen Himal East,NA,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,One permit for Churen Himal's three summits,1,Nepal only,2,Climbed,760,1970,1,CHRE70101,Apr 29,"S Korea, Nepal","Kim Ho-Sup, Rinsing Ongyal Sherpa",NA,NA,762
CHRW,Churen Himal West,NA,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,One permit for Churen Himal's three summits,1,Nepal only,2,Climbed,763,1970,3,CHRW70301,Oct 28,"Japan, Nepal","Kozo Hasegawa, Ang Norbu Sherpa",NA,NA,765
CHRI,Chhukung Chuli,Chhukung Ri,Khumbu Himal (S of Lhotse),5550,18209,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 1997; converted to trekking peak in 2002,1,Nepal only,2,Climbed,766,1965,1,CHRI65101,May,Netherlands,Johannes Adolf Noordijk,NA,NA,NA
KTOK,Kangtokal,Khang Tokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,20650,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 1997,1,Nepal only,2,Climbed,769,1962,1,KTOK62101,Jun 06,"Japan, Nepal","Zenkichi Hirayama, Ang Temba Sherpa",NA,NA,NA
SRKU,Serku Dolma,NA,Kanjiroba Himal (S of Tso Karpo Kang),6227,20430,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,771,1973,3,SRKU73301,Oct 30,"Japan, Nepal","Eiken Moriyama, Morihiro Takechi, Anu Sherpa",NA,NA,NA
NALS,Nalakankar South,NA,Nalakankar Himal (on W Nepal/Tibetan border),6024,19764,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,4,Nepal & China,2,Climbed,773,2000,2,NALS00201,Jul 07,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",NA,NA,NA
CHWT,Changwathang,NA,Chandi Himal (S of Tibetan border),6130,20112,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,774,2000,2,CHWT00201,Jun 28,"Japan, Nepal","Tamotsu Ohnishi, Koji Mizutani, Nobuo Akayama, Takehiko Yanagihara, Chuldim Nuru Sherpa, Dawa Sherpa",NA,NA,NA
TAKP,Takphu Himal,NA,Nalakankar Himal (on W Nepal/Tibetan border),6395,20981,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,776,2018,3,TAKP18301,Oct 11,"UK, Germany","Ed Douglas, Christof Nettekoven, Bruce Normand",NA,NA,NA
MALA,Malanphulan,"Melanphulan, Malangphulang, Hinku Ri","Khumbu Himal (S of Ama Dablam, NW of Kangtega)",6573,21565,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,778,2000,1,MALA00101,Apr 28,USA,"Peter Carse, Amy Bullard",NA,NA,781
LHOM,Lhotse Middle,Lhotse Intermediate,Khumbu Himal (E of Lhotse),8410,27592,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2001,4,Nepal & China,2,Climbed,782,2001,1,LHOM01101,May 23,Russia,"Sergei Timofeev, Alexei Bolotov, Piotr Kouznetsov, Evgeni Vinogradski",NA,NA,NA
SIMN,Simnang Himal,"P2, Simnang Himal East",Manaslu Himal (SE of Manaslu),6251,20509,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2001,1,Nepal only,2,Climbed,784,2001,1,SIMN01101,May 16,Ukraine,"Mistislav Gorbenko, Vadim Leontiev, Sergei Pugachov, Mykhaylo Zagirnyak",NA,NA,NA
HCHI,Hungchhi,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",Khumbu Himal (S of Gyachung Kang on Tibetan border),7029,23061,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2001,4,Nepal & China,2,Climbed,785,2003,1,HCHI03102,Apr 19,"Japan, Nepal","Katsuo Fukuhara, Tadashi Morita, Kanji Shimizu, Durga Rai, Hit Bahadur Tamang, Ram Kaji Tamang, Tul Bahadur Tamang",NA,NA,NA
LAMP,Lampo,"Langpo Kangri, Ganesh VI",Ganesh Himal (N of Ganesh I on Tibetan border),6648,21811,5,Ganesh/Shringi,4,Manaslu-Ganesh,FALSE,TRUE,FALSE,NA,NA,4,Nepal & China,1,Unclimbed,787,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
CHUK,Chhukung Tse,NA,Khumbu Himal (S of Lhotse),5833,19137,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,NA,NA,1,Nepal only,2,Climbed,792,1953,1,CHUK53101,Apr 03,"UK, Nepal","John Hunt, Tenzing Norgay Sherpa",NA,NA,NA
DZAN,Dzanye,Dzanaye,Janak Himal (WNW of Lashar I on Tibetan border),6581,21591,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,795,1949,1,DZAN49101,Jun 30,Switzerland,"Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant",NA,NA,NA
GAUG,Gaugiri,NA,Damodar Himal (N of Bhrikuti on Tibetan border),6110,20046,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,802,2002,1,GAUG02101,May 28,USA,"Peter Ackroyd, Jim Frush",NA,NA,NA
TKPO,Tengkangpoche,Thyangmoche,Rolwaling Himal (W of Kwangde),6482,21266,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2001,1,Nepal only,2,Climbed,803,1984,3,TKPO84301,Oct,"UK, USA","Trevor Pilling, Andy Zimet",NA,NA,NA
ARNK,Arniko Chuli,Araniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,19797,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,805,2002,2,ARNK02201,Jul 10,"Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",NA,NA,NA
SARI,Saribung,Selibung,Damodar Himal (W of Bhrikuti),6328,20761,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,806,2003,3,SARI03301,Oct 15,USA,"Jim Frush, Steve Furman",NA,NA,NA
GHEN,Ghenge Liru,"Ghenye Lirung, Langtang II",Langtang Himal (WSW of Langtang Lirung),6596,21640,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,808,1963,1,GHEN63101,May 28,"UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",NA,NA,NA
NAUL,Naulekh,NA,Khumbu Himal (S of Mera Peak),6340,20801,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,811,1954,1,NAUL54101,Jun 08,New Zealand,"Colin Todd, Bill Beaven",NA,NA,NA
CHEK,Chekigo,NA,Rolwaling Himal (ENE of Beding village on Tibetan border),6257,20528,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,4,Nepal & China,2,Climbed,814,2005,1,CHEK05101,May 15,"UK, Switzerland","Bruce Normand, Oliver von Rotz",1st known ascent,NA,NA
KTUN,Khatung Khang,NA,Annapurna-Nilgiri Himal (SW of Thorong La),6484,21273,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,817,1956,1,KTUN56101,Apr 12,Switzerland,"Arthur Baumgartner, Marguerite Deriaz",NA,NA,NA
CHAG,Chago,NA,Makalu Himal (NW of Makalu II on Tibetan border),6893,22615,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,819,1954,1,CHAG54101,May 29,"New Zealand, Nepal","Michael Ball, Urkien Sherpa",NA,NA,NA
NUMR,Numri,NA,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,21768,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,821,2002,3,NUMR02301,Nov 07,Germany,"Olaf Rieck, Carsten Schmidt, Lydia Schubert",NA,NA,NA
PK41,Peak 41,"""True"" Mera Peak",Khumbu Himal (ESE of Ama Dablam),6648,21811,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,2002,Opened in 2002,1,Nepal only,2,Climbed,823,2002,3,PK4102301,Oct 16,Slovenia,"Matic Jost, Urban Golob, Uros Samec",Rumored that two Americans and two Swiss (and possibly others) summited in earlier years,NA,NA
KYAZ,Kyazo Ri,Kyajo Ri,Khumbu Himal (SW of Gokyo Lake),6151,20180,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,Nepal only,2,Climbed,825,2002,3,KYAZ02301,Oct 20,"UK, France","Duncan Wilson, Vincent Marche",NA,NA,NA
PAND,Pandra,NA,Ohmi Kangri Himal (NW of Lhonak),6670,21883,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,827,2002,3,PAND02301,Oct 16,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",NA,NA,NA
