year,lake,species,grand_total,comments,region,values
1996,Superior,Chubs,34.203235374,NA,Wisconsin (WI),17.6
1996,Superior,Chubs,34.203235374,NA,Minnesota (MN),9.7
1996,Superior,Chubs,34.203235374,NA,U.S. Total,28.3
1996,Superior,Chubs,34.203235374,NA,Canada (ONT),5.903235374000001
1997,Superior,Chubs,61.92723009,NA,Michigan (MI),3
1997,Superior,Chubs,61.92723009,NA,Wisconsin (WI),48.4
1997,Superior,Chubs,61.92723009,NA,Minnesota (MN),10
1997,Superior,Chubs,61.92723009,NA,U.S. Total,61.4
1997,Superior,Chubs,61.92723009,NA,Canada (ONT),0.52723009
1998,Superior,Chubs,47.1500082,NA,Michigan (MI),0
1998,Superior,Chubs,47.1500082,NA,Wisconsin (WI),35.5
1998,Superior,Chubs,47.1500082,NA,Minnesota (MN),10.4
1998,Superior,Chubs,47.1500082,NA,U.S. Total,45.9
1998,Superior,Chubs,47.1500082,NA,Canada (ONT),1.2500082
1999,Superior,Chubs,93.81499128,NA,Michigan (MI),0.3
1999,Superior,Chubs,93.81499128,NA,Wisconsin (WI),82.5
1999,Superior,Chubs,93.81499128,NA,Minnesota (MN),11
1999,Superior,Chubs,93.81499128,NA,U.S. Total,93.8
1999,Superior,Chubs,93.81499128,NA,Canada (ONT),0.01499128
2000,Superior,Chubs,93.17996543400001,NA,Michigan (MI),0
2000,Superior,Chubs,93.17996543400001,NA,Wisconsin (WI),85
2000,Superior,Chubs,93.17996543400001,NA,Minnesota (MN),7.4
2000,Superior,Chubs,93.17996543400001,NA,U.S. Total,92.4
2000,Superior,Chubs,93.17996543400001,NA,Canada (ONT),0.7799654340000001
2001,Superior,Chubs,97.210674856,NA,Michigan (MI),14.8
2001,Superior,Chubs,97.210674856,NA,Wisconsin (WI),75.7
2001,Superior,Chubs,97.210674856,NA,Minnesota (MN),6
2001,Superior,Chubs,97.210674856,NA,U.S. Total,96.5
2001,Superior,Chubs,97.210674856,NA,Canada (ONT),0.7106748560000001
2002,Superior,Chubs,59.11741634,NA,Michigan (MI),19.3
2002,Superior,Chubs,59.11741634,NA,Wisconsin (WI),37.2
2002,Superior,Chubs,59.11741634,NA,Minnesota (MN),2.6
2002,Superior,Chubs,59.11741634,NA,U.S. Total,59.1
2002,Superior,Chubs,59.11741634,NA,Canada (ONT),0.017416340000000002
2003,Superior,Chubs,37.888316932,NA,Michigan (MI),10.3
2003,Superior,Chubs,37.888316932,NA,Wisconsin (WI),27.3
2003,Superior,Chubs,37.888316932,NA,Minnesota (MN),0.1
2003,Superior,Chubs,37.888316932,NA,U.S. Total,37.7
2003,Superior,Chubs,37.888316932,NA,Canada (ONT),0.18831693200000002
2004,Superior,Chubs,50.2,NA,Michigan (MI),0
2004,Superior,Chubs,50.2,NA,Wisconsin (WI),37.2
2004,Superior,Chubs,50.2,NA,Minnesota (MN),0
2004,Superior,Chubs,50.2,NA,U.S. Total,37.2
2004,Superior,Chubs,50.2,NA,Canada (ONT),13
2005,Superior,Chubs,40.4,NA,Michigan (MI),2.7
2005,Superior,Chubs,40.4,NA,Wisconsin (WI),31.7
2005,Superior,Chubs,40.4,NA,Minnesota (MN),0
2005,Superior,Chubs,40.4,NA,U.S. Total,34.4
2005,Superior,Chubs,40.4,NA,Canada (ONT),6
2006,Superior,Chubs,44.900000000000006,NA,Michigan (MI),1.1
2006,Superior,Chubs,44.900000000000006,NA,Wisconsin (WI),43.7
2006,Superior,Chubs,44.900000000000006,NA,Minnesota (MN),0.1
2006,Superior,Chubs,44.900000000000006,NA,U.S. Total,44.900000000000006
2006,Superior,Chubs,44.900000000000006,NA,Canada (ONT),0
2007,Superior,Chubs,49,NA,Michigan (MI),17
2007,Superior,Chubs,49,NA,Wisconsin (WI),32
2007,Superior,Chubs,49,NA,Minnesota (MN),NA
2007,Superior,Chubs,49,NA,U.S. Total,49
2007,Superior,Chubs,49,NA,Canada (ONT),NA
2008,Superior,Chubs,17,NA,Michigan (MI),5
2008,Superior,Chubs,17,NA,Wisconsin (WI),12
2008,Superior,Chubs,17,NA,Minnesota (MN),0
2008,Superior,Chubs,17,NA,U.S. Total,17
2008,Superior,Chubs,17,NA,Canada (ONT),NA
2009,Superior,Chubs,60,NA,Michigan (MI),9
2009,Superior,Chubs,60,NA,Wisconsin (WI),52
2009,Superior,Chubs,60,NA,Minnesota (MN),NA
2009,Superior,Chubs,60,NA,U.S. Total,60
2009,Superior,Chubs,60,NA,Canada (ONT),NA
2010,Superior,Chubs,79,NA,Michigan (MI),13
2010,Superior,Chubs,79,NA,Wisconsin (WI),66
2010,Superior,Chubs,79,NA,Minnesota (MN),NA
2010,Superior,Chubs,79,NA,U.S. Total,79
2010,Superior,Chubs,79,NA,Canada (ONT),0
2011,Superior,Chubs,68,NA,Michigan (MI),3
2011,Superior,Chubs,68,NA,Wisconsin (WI),60
2011,Superior,Chubs,68,NA,Minnesota (MN),NA
2011,Superior,Chubs,68,NA,U.S. Total,63
2011,Superior,Chubs,68,NA,Canada (ONT),5
2012,Superior,Chubs,77,NA,Michigan (MI),11
2012,Superior,Chubs,77,NA,Wisconsin (WI),58
2012,Superior,Chubs,77,NA,Minnesota (MN),NA
2012,Superior,Chubs,77,NA,U.S. Total,69
2012,Superior,Chubs,77,NA,Canada (ONT),8
2013,Superior,Chubs,78,NA,Michigan (MI),7
2013,Superior,Chubs,78,NA,Wisconsin (WI),63
2013,Superior,Chubs,78,NA,Minnesota (MN),0
2013,Superior,Chubs,78,NA,U.S. Total,70
2013,Superior,Chubs,78,NA,Canada (ONT),8
2014,Superior,Chubs,66,NA,Michigan (MI),10
2014,Superior,Chubs,66,NA,Wisconsin (WI),52
2014,Superior,Chubs,66,NA,Minnesota (MN),NA
2014,Superior,Chubs,66,NA,U.S. Total,62
2014,Superior,Chubs,66,NA,Canada (ONT),4
2015,Superior,Chubs,88,NA,Michigan (MI),20
2015,Superior,Chubs,88,NA,Wisconsin (WI),64
2015,Superior,Chubs,88,NA,Minnesota (MN),NA
2015,Superior,Chubs,88,NA,U.S. Total,84
2015,Superior,Chubs,88,NA,Canada (ONT),4
1879,Superior,Cisco,NA,NA,Michigan (MI),NA
1879,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1879,Superior,Cisco,NA,NA,Minnesota (MN),NA
1879,Superior,Cisco,NA,NA,U.S. Total,34
1879,Superior,Cisco,NA,NA,Canada (ONT),NA
1880,Superior,Cisco,NA,NA,Michigan (MI),NA
1880,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1880,Superior,Cisco,NA,NA,Minnesota (MN),NA
1880,Superior,Cisco,NA,NA,U.S. Total,NA
1880,Superior,Cisco,NA,NA,Canada (ONT),NA
1881,Superior,Cisco,NA,NA,Michigan (MI),NA
1881,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1881,Superior,Cisco,NA,NA,Minnesota (MN),NA
1881,Superior,Cisco,NA,NA,U.S. Total,NA
1881,Superior,Cisco,NA,NA,Canada (ONT),NA
1882,Superior,Cisco,NA,NA,Michigan (MI),NA
1882,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1882,Superior,Cisco,NA,NA,Minnesota (MN),NA
1882,Superior,Cisco,NA,NA,U.S. Total,NA
1882,Superior,Cisco,NA,NA,Canada (ONT),NA
1883,Superior,Cisco,NA,NA,Michigan (MI),NA
1883,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1883,Superior,Cisco,NA,NA,Minnesota (MN),NA
1883,Superior,Cisco,NA,NA,U.S. Total,NA
1883,Superior,Cisco,NA,NA,Canada (ONT),NA
1884,Superior,Cisco,NA,NA,Michigan (MI),NA
1884,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1884,Superior,Cisco,NA,NA,Minnesota (MN),NA
1884,Superior,Cisco,NA,NA,U.S. Total,NA
1884,Superior,Cisco,NA,NA,Canada (ONT),2
1885,Superior,Cisco,NA,NA,Michigan (MI),220
1885,Superior,Cisco,NA,NA,Wisconsin (WI),70
1885,Superior,Cisco,NA,NA,Minnesota (MN),35
1885,Superior,Cisco,NA,NA,U.S. Total,325
1885,Superior,Cisco,NA,NA,Canada (ONT),NA
1886,Superior,Cisco,NA,NA,Michigan (MI),NA
1886,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1886,Superior,Cisco,NA,NA,Minnesota (MN),NA
1886,Superior,Cisco,NA,NA,U.S. Total,NA
1886,Superior,Cisco,NA,NA,Canada (ONT),NA
1887,Superior,Cisco,NA,NA,Michigan (MI),NA
1887,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1887,Superior,Cisco,NA,NA,Minnesota (MN),NA
1887,Superior,Cisco,NA,NA,U.S. Total,NA
1887,Superior,Cisco,NA,NA,Canada (ONT),NA
1888,Superior,Cisco,NA,NA,Michigan (MI),NA
1888,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1888,Superior,Cisco,NA,NA,Minnesota (MN),NA
1888,Superior,Cisco,NA,NA,U.S. Total,NA
1888,Superior,Cisco,NA,NA,Canada (ONT),NA
1889,Superior,Cisco,387,NA,Michigan (MI),87
1889,Superior,Cisco,387,NA,Wisconsin (WI),228
1889,Superior,Cisco,387,NA,Minnesota (MN),67
1889,Superior,Cisco,387,NA,U.S. Total,382
1889,Superior,Cisco,387,NA,Canada (ONT),5
1890,Superior,Cisco,203,NA,Michigan (MI),100
1890,Superior,Cisco,203,NA,Wisconsin (WI),94
1890,Superior,Cisco,203,NA,Minnesota (MN),5
1890,Superior,Cisco,203,NA,U.S. Total,199
1890,Superior,Cisco,203,NA,Canada (ONT),4
1891,Superior,Cisco,NA,NA,Michigan (MI),153
1891,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1891,Superior,Cisco,NA,NA,Minnesota (MN),NA
1891,Superior,Cisco,NA,NA,U.S. Total,NA
1891,Superior,Cisco,NA,NA,Canada (ONT),30
1892,Superior,Cisco,NA,NA,Michigan (MI),228
1892,Superior,Cisco,NA,NA,Wisconsin (WI),215
1892,Superior,Cisco,NA,NA,Minnesota (MN),NA
1892,Superior,Cisco,NA,NA,U.S. Total,NA
1892,Superior,Cisco,NA,NA,Canada (ONT),NA
1893,Superior,Cisco,NA,NA,Michigan (MI),214
1893,Superior,Cisco,NA,NA,Wisconsin (WI),1065
1893,Superior,Cisco,NA,NA,Minnesota (MN),NA
1893,Superior,Cisco,NA,NA,U.S. Total,NA
1893,Superior,Cisco,NA,NA,Canada (ONT),30
1894,Superior,Cisco,NA,NA,Michigan (MI),201
1894,Superior,Cisco,NA,NA,Wisconsin (WI),1525
1894,Superior,Cisco,NA,NA,Minnesota (MN),NA
1894,Superior,Cisco,NA,NA,U.S. Total,NA
1894,Superior,Cisco,NA,NA,Canada (ONT),45
1895,Superior,Cisco,NA,NA,Michigan (MI),201
1895,Superior,Cisco,NA,NA,Wisconsin (WI),2200
1895,Superior,Cisco,NA,NA,Minnesota (MN),NA
1895,Superior,Cisco,NA,NA,U.S. Total,NA
1895,Superior,Cisco,NA,NA,Canada (ONT),24
1896,Superior,Cisco,NA,NA,Michigan (MI),171
1896,Superior,Cisco,NA,NA,Wisconsin (WI),2525
1896,Superior,Cisco,NA,NA,Minnesota (MN),NA
1896,Superior,Cisco,NA,NA,U.S. Total,NA
1896,Superior,Cisco,NA,NA,Canada (ONT),16
1897,Superior,Cisco,728,NA,Michigan (MI),380
1897,Superior,Cisco,728,NA,Wisconsin (WI),94
1897,Superior,Cisco,728,NA,Minnesota (MN),220
1897,Superior,Cisco,728,NA,U.S. Total,694
1897,Superior,Cisco,728,NA,Canada (ONT),34
1898,Superior,Cisco,NA,NA,Michigan (MI),96
1898,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1898,Superior,Cisco,NA,NA,Minnesota (MN),NA
1898,Superior,Cisco,NA,NA,U.S. Total,NA
1898,Superior,Cisco,NA,NA,Canada (ONT),91
1899,Superior,Cisco,1318,NA,Michigan (MI),145
1899,Superior,Cisco,1318,NA,Wisconsin (WI),697
1899,Superior,Cisco,1318,NA,Minnesota (MN),338
1899,Superior,Cisco,1318,NA,U.S. Total,1180
1899,Superior,Cisco,1318,NA,Canada (ONT),138
1900,Superior,Cisco,NA,NA,Michigan (MI),157
1900,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1900,Superior,Cisco,NA,NA,Minnesota (MN),NA
1900,Superior,Cisco,NA,NA,U.S. Total,NA
1900,Superior,Cisco,NA,NA,Canada (ONT),89
1901,Superior,Cisco,NA,NA,Michigan (MI),171
1901,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1901,Superior,Cisco,NA,NA,Minnesota (MN),NA
1901,Superior,Cisco,NA,NA,U.S. Total,NA
1901,Superior,Cisco,NA,NA,Canada (ONT),225
1902,Superior,Cisco,NA,NA,Michigan (MI),190
1902,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1902,Superior,Cisco,NA,NA,Minnesota (MN),NA
1902,Superior,Cisco,NA,NA,U.S. Total,NA
1902,Superior,Cisco,NA,NA,Canada (ONT),105
1903,Superior,Cisco,4527,NA,Michigan (MI),106
1903,Superior,Cisco,4527,NA,Wisconsin (WI),3046
1903,Superior,Cisco,4527,NA,Minnesota (MN),1345
1903,Superior,Cisco,4527,NA,U.S. Total,4497
1903,Superior,Cisco,4527,NA,Canada (ONT),30
1904,Superior,Cisco,NA,NA,Michigan (MI),173
1904,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1904,Superior,Cisco,NA,NA,Minnesota (MN),NA
1904,Superior,Cisco,NA,NA,U.S. Total,NA
1904,Superior,Cisco,NA,NA,Canada (ONT),177
1905,Superior,Cisco,NA,NA,Michigan (MI),144
1905,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1905,Superior,Cisco,NA,NA,Minnesota (MN),NA
1905,Superior,Cisco,NA,NA,U.S. Total,NA
1905,Superior,Cisco,NA,NA,Canada (ONT),191
1906,Superior,Cisco,NA,NA,Michigan (MI),615
1906,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1906,Superior,Cisco,NA,NA,Minnesota (MN),NA
1906,Superior,Cisco,NA,NA,U.S. Total,NA
1906,Superior,Cisco,NA,NA,Canada (ONT),203
1907,Superior,Cisco,NA,NA,Michigan (MI),1320
1907,Superior,Cisco,NA,NA,Wisconsin (WI),NA
1907,Superior,Cisco,NA,NA,Minnesota (MN),741
1907,Superior,Cisco,NA,NA,U.S. Total,NA
1907,Superior,Cisco,NA,NA,Canada (ONT),855
1908,Superior,Cisco,5057,NA,Michigan (MI),939
1908,Superior,Cisco,5057,NA,Wisconsin (WI),965
1908,Superior,Cisco,5057,NA,Minnesota (MN),2777
1908,Superior,Cisco,5057,NA,U.S. Total,4681
1908,Superior,Cisco,5057,NA,Canada (ONT),376
1909,Superior,Cisco,NA,NA,Michigan (MI),NA
1909,Superior,Cisco,NA,NA,Wisconsin (WI),2532
1909,Superior,Cisco,NA,NA,Minnesota (MN),NA
1909,Superior,Cisco,NA,NA,U.S. Total,NA
1909,Superior,Cisco,NA,NA,Canada (ONT),138
1910,Superior,Cisco,NA,NA,Michigan (MI),NA
1910,Superior,Cisco,NA,NA,Wisconsin (WI),1439
1910,Superior,Cisco,NA,NA,Minnesota (MN),NA
1910,Superior,Cisco,NA,NA,U.S. Total,NA
1910,Superior,Cisco,NA,NA,Canada (ONT),803
1911,Superior,Cisco,NA,NA,Michigan (MI),548
1911,Superior,Cisco,NA,NA,Wisconsin (WI),1371
1911,Superior,Cisco,NA,NA,Minnesota (MN),NA
1911,Superior,Cisco,NA,NA,U.S. Total,NA
1911,Superior,Cisco,NA,NA,Canada (ONT),787
1912,Superior,Cisco,NA,NA,Michigan (MI),1334
1912,Superior,Cisco,NA,NA,Wisconsin (WI),2088
1912,Superior,Cisco,NA,NA,Minnesota (MN),NA
1912,Superior,Cisco,NA,NA,U.S. Total,NA
1912,Superior,Cisco,NA,NA,Canada (ONT),1764
1913,Superior,Cisco,7121,NA,Michigan (MI),169
1913,Superior,Cisco,7121,NA,Wisconsin (WI),2914
1913,Superior,Cisco,7121,NA,Minnesota (MN),3737
1913,Superior,Cisco,7121,NA,U.S. Total,6820
1913,Superior,Cisco,7121,NA,Canada (ONT),301
1914,Superior,Cisco,10949,NA,Michigan (MI),987
1914,Superior,Cisco,10949,NA,Wisconsin (WI),3433
1914,Superior,Cisco,10949,NA,Minnesota (MN),5357
1914,Superior,Cisco,10949,NA,U.S. Total,9777
1914,Superior,Cisco,10949,NA,Canada (ONT),1172
1915,Superior,Cisco,10155,NA,Michigan (MI),1225
1915,Superior,Cisco,10155,NA,Wisconsin (WI),1904
1915,Superior,Cisco,10155,NA,Minnesota (MN),3794
1915,Superior,Cisco,10155,NA,U.S. Total,6923
1915,Superior,Cisco,10155,NA,Canada (ONT),3232
1916,Superior,Cisco,8461,NA,Michigan (MI),863
1916,Superior,Cisco,8461,NA,Wisconsin (WI),1474
1916,Superior,Cisco,8461,NA,Minnesota (MN),2833
1916,Superior,Cisco,8461,NA,U.S. Total,5170
1916,Superior,Cisco,8461,NA,Canada (ONT),3291
1917,Superior,Cisco,9982,NA,Michigan (MI),1487
1917,Superior,Cisco,9982,NA,Wisconsin (WI),1681
1917,Superior,Cisco,9982,NA,Minnesota (MN),3840
1917,Superior,Cisco,9982,NA,U.S. Total,7008
1917,Superior,Cisco,9982,NA,Canada (ONT),2974
1918,Superior,Cisco,12116,NA,Michigan (MI),982
1918,Superior,Cisco,12116,NA,Wisconsin (WI),1595
1918,Superior,Cisco,12116,NA,Minnesota (MN),5565
1918,Superior,Cisco,12116,NA,U.S. Total,8142
1918,Superior,Cisco,12116,NA,Canada (ONT),3974
1919,Superior,Cisco,8398,NA,Michigan (MI),1594
1919,Superior,Cisco,8398,NA,Wisconsin (WI),1002
1919,Superior,Cisco,8398,NA,Minnesota (MN),3748
1919,Superior,Cisco,8398,NA,U.S. Total,6344
1919,Superior,Cisco,8398,NA,Canada (ONT),2054
1920,Superior,Cisco,8281,NA,Michigan (MI),1402
1920,Superior,Cisco,8281,NA,Wisconsin (WI),523
1920,Superior,Cisco,8281,NA,Minnesota (MN),4452
1920,Superior,Cisco,8281,NA,U.S. Total,6377
1920,Superior,Cisco,8281,NA,Canada (ONT),1904
1921,Superior,Cisco,5430,NA,Michigan (MI),456
1921,Superior,Cisco,5430,NA,Wisconsin (WI),413
1921,Superior,Cisco,5430,NA,Minnesota (MN),3859
1921,Superior,Cisco,5430,NA,U.S. Total,4728
1921,Superior,Cisco,5430,NA,Canada (ONT),702
1922,Superior,Cisco,4178,NA,Michigan (MI),446
1922,Superior,Cisco,4178,NA,Wisconsin (WI),447
1922,Superior,Cisco,4178,NA,Minnesota (MN),2680
1922,Superior,Cisco,4178,NA,U.S. Total,3573
1922,Superior,Cisco,4178,NA,Canada (ONT),605
1923,Superior,Cisco,6230,NA,Michigan (MI),252
1923,Superior,Cisco,6230,NA,Wisconsin (WI),530
1923,Superior,Cisco,6230,NA,Minnesota (MN),4350
1923,Superior,Cisco,6230,NA,U.S. Total,5132
1923,Superior,Cisco,6230,NA,Canada (ONT),1098
1924,Superior,Cisco,7187,NA,Michigan (MI),196
1924,Superior,Cisco,7187,NA,Wisconsin (WI),733
1924,Superior,Cisco,7187,NA,Minnesota (MN),5207
1924,Superior,Cisco,7187,NA,U.S. Total,6136
1924,Superior,Cisco,7187,NA,Canada (ONT),1051
1925,Superior,Cisco,9794,NA,Michigan (MI),413
1925,Superior,Cisco,9794,NA,Wisconsin (WI),626
1925,Superior,Cisco,9794,NA,Minnesota (MN),7608
1925,Superior,Cisco,9794,NA,U.S. Total,8647
1925,Superior,Cisco,9794,NA,Canada (ONT),1147
1926,Superior,Cisco,10554,NA,Michigan (MI),668
1926,Superior,Cisco,10554,NA,Wisconsin (WI),706
1926,Superior,Cisco,10554,NA,Minnesota (MN),7361
1926,Superior,Cisco,10554,NA,U.S. Total,8735
1926,Superior,Cisco,10554,NA,Canada (ONT),1819
1927,Superior,Cisco,13089,NA,Michigan (MI),387
1927,Superior,Cisco,13089,NA,Wisconsin (WI),965
1927,Superior,Cisco,13089,NA,Minnesota (MN),9276
1927,Superior,Cisco,13089,NA,U.S. Total,10628
1927,Superior,Cisco,13089,NA,Canada (ONT),2461
1928,Superior,Cisco,11937,NA,Michigan (MI),844
1928,Superior,Cisco,11937,NA,Wisconsin (WI),667
1928,Superior,Cisco,11937,NA,Minnesota (MN),7452
1928,Superior,Cisco,11937,NA,U.S. Total,8963
1928,Superior,Cisco,11937,NA,Canada (ONT),2974
1929,Superior,Cisco,15241,NA,Michigan (MI),1516
1929,Superior,Cisco,15241,NA,Wisconsin (WI),2625
1929,Superior,Cisco,15241,NA,Minnesota (MN),8571
1929,Superior,Cisco,15241,NA,U.S. Total,12712
1929,Superior,Cisco,15241,NA,Canada (ONT),2529
1930,Superior,Cisco,14159,NA,Michigan (MI),2341
1930,Superior,Cisco,14159,NA,Wisconsin (WI),705
1930,Superior,Cisco,14159,NA,Minnesota (MN),8368
1930,Superior,Cisco,14159,NA,U.S. Total,11414
1930,Superior,Cisco,14159,NA,Canada (ONT),2745
1931,Superior,Cisco,8285,NA,Michigan (MI),864
1931,Superior,Cisco,8285,NA,Wisconsin (WI),662
1931,Superior,Cisco,8285,NA,Minnesota (MN),5363
1931,Superior,Cisco,8285,NA,U.S. Total,6889
1931,Superior,Cisco,8285,NA,Canada (ONT),1396
1932,Superior,Cisco,7003,NA,Michigan (MI),556
1932,Superior,Cisco,7003,NA,Wisconsin (WI),362
1932,Superior,Cisco,7003,NA,Minnesota (MN),5123
1932,Superior,Cisco,7003,NA,U.S. Total,6041
1932,Superior,Cisco,7003,NA,Canada (ONT),962
1933,Superior,Cisco,8558,NA,Michigan (MI),961
1933,Superior,Cisco,8558,NA,Wisconsin (WI),650
1933,Superior,Cisco,8558,NA,Minnesota (MN),5203
1933,Superior,Cisco,8558,NA,U.S. Total,6814
1933,Superior,Cisco,8558,NA,Canada (ONT),1744
1934,Superior,Cisco,15173,NA,Michigan (MI),2053
1934,Superior,Cisco,15173,NA,Wisconsin (WI),2946
1934,Superior,Cisco,15173,NA,Minnesota (MN),8017
1934,Superior,Cisco,15173,NA,U.S. Total,13016
1934,Superior,Cisco,15173,NA,Canada (ONT),2157
1935,Superior,Cisco,14621,NA,Michigan (MI),2782
1935,Superior,Cisco,14621,NA,Wisconsin (WI),2422
1935,Superior,Cisco,14621,NA,Minnesota (MN),7911
1935,Superior,Cisco,14621,NA,U.S. Total,13115
1935,Superior,Cisco,14621,NA,Canada (ONT),1506
1936,Superior,Cisco,14545,NA,Michigan (MI),3657
1936,Superior,Cisco,14545,NA,Wisconsin (WI),2856
1936,Superior,Cisco,14545,NA,Minnesota (MN),5243
1936,Superior,Cisco,14545,NA,U.S. Total,11756
1936,Superior,Cisco,14545,NA,Canada (ONT),2789
1937,Superior,Cisco,14162,NA,Michigan (MI),3170
1937,Superior,Cisco,14162,NA,Wisconsin (WI),2991
1937,Superior,Cisco,14162,NA,Minnesota (MN),5623
1937,Superior,Cisco,14162,NA,U.S. Total,11784
1937,Superior,Cisco,14162,NA,Canada (ONT),2378
1938,Superior,Cisco,12511,NA,Michigan (MI),2394
1938,Superior,Cisco,12511,NA,Wisconsin (WI),2485
1938,Superior,Cisco,12511,NA,Minnesota (MN),5715
1938,Superior,Cisco,12511,NA,U.S. Total,10594
1938,Superior,Cisco,12511,NA,Canada (ONT),1917
1939,Superior,Cisco,14501,NA,Michigan (MI),3357
1939,Superior,Cisco,14501,NA,Wisconsin (WI),3119
1939,Superior,Cisco,14501,NA,Minnesota (MN),6590
1939,Superior,Cisco,14501,NA,U.S. Total,13066
1939,Superior,Cisco,14501,NA,Canada (ONT),1435
1940,Superior,Cisco,17704,NA,Michigan (MI),4213
1940,Superior,Cisco,17704,NA,Wisconsin (WI),4909
1940,Superior,Cisco,17704,NA,Minnesota (MN),7381
1940,Superior,Cisco,17704,NA,U.S. Total,16503
1940,Superior,Cisco,17704,NA,Canada (ONT),1201
1941,Superior,Cisco,19271,NA,Michigan (MI),5954
1941,Superior,Cisco,19271,NA,Wisconsin (WI),6160
1941,Superior,Cisco,19271,NA,Minnesota (MN),5724
1941,Superior,Cisco,19271,NA,U.S. Total,17838
1941,Superior,Cisco,19271,NA,Canada (ONT),1433
1942,Superior,Cisco,16238,NA,Michigan (MI),5113
1942,Superior,Cisco,16238,NA,Wisconsin (WI),5035
1942,Superior,Cisco,16238,NA,Minnesota (MN),4697
1942,Superior,Cisco,16238,NA,U.S. Total,14845
1942,Superior,Cisco,16238,NA,Canada (ONT),1393
1943,Superior,Cisco,15083,NA,Michigan (MI),4360
1943,Superior,Cisco,15083,NA,Wisconsin (WI),4435
1943,Superior,Cisco,15083,NA,Minnesota (MN),5079
1943,Superior,Cisco,15083,NA,U.S. Total,13874
1943,Superior,Cisco,15083,NA,Canada (ONT),1209
1944,Superior,Cisco,15708,NA,Michigan (MI),4446
1944,Superior,Cisco,15708,NA,Wisconsin (WI),4712
1944,Superior,Cisco,15708,NA,Minnesota (MN),5069
1944,Superior,Cisco,15708,NA,U.S. Total,14227
1944,Superior,Cisco,15708,NA,Canada (ONT),1481
1945,Superior,Cisco,15753,NA,Michigan (MI),3109
1945,Superior,Cisco,15753,NA,Wisconsin (WI),6538
1945,Superior,Cisco,15753,NA,Minnesota (MN),4398
1945,Superior,Cisco,15753,NA,U.S. Total,14045
1945,Superior,Cisco,15753,NA,Canada (ONT),1708
1946,Superior,Cisco,14653,NA,Michigan (MI),3357
1946,Superior,Cisco,14653,NA,Wisconsin (WI),6342
1946,Superior,Cisco,14653,NA,Minnesota (MN),3443
1946,Superior,Cisco,14653,NA,U.S. Total,13142
1946,Superior,Cisco,14653,NA,Canada (ONT),1511
1947,Superior,Cisco,11825,NA,Michigan (MI),3263
1947,Superior,Cisco,11825,NA,Wisconsin (WI),4641
1947,Superior,Cisco,11825,NA,Minnesota (MN),2904
1947,Superior,Cisco,11825,NA,U.S. Total,10808
1947,Superior,Cisco,11825,NA,Canada (ONT),1017
1948,Superior,Cisco,15990,NA,Michigan (MI),4524
1948,Superior,Cisco,15990,NA,Wisconsin (WI),6291
1948,Superior,Cisco,15990,NA,Minnesota (MN),3890
1948,Superior,Cisco,15990,NA,U.S. Total,14705
1948,Superior,Cisco,15990,NA,Canada (ONT),1285
1949,Superior,Cisco,14459,NA,Michigan (MI),4122
1949,Superior,Cisco,14459,NA,Wisconsin (WI),5028
1949,Superior,Cisco,14459,NA,Minnesota (MN),4054
1949,Superior,Cisco,14459,NA,U.S. Total,13204
1949,Superior,Cisco,14459,NA,Canada (ONT),1255
1950,Superior,Cisco,8662,NA,Michigan (MI),1715
1950,Superior,Cisco,8662,NA,Wisconsin (WI),3953
1950,Superior,Cisco,8662,NA,Minnesota (MN),2489
1950,Superior,Cisco,8662,NA,U.S. Total,8157
1950,Superior,Cisco,8662,NA,Canada (ONT),505
1951,Superior,Cisco,11188,NA,Michigan (MI),2829
1951,Superior,Cisco,11188,NA,Wisconsin (WI),5347
1951,Superior,Cisco,11188,NA,Minnesota (MN),2249
1951,Superior,Cisco,11188,NA,U.S. Total,10425
1951,Superior,Cisco,11188,NA,Canada (ONT),763
1952,Superior,Cisco,13014,NA,Michigan (MI),3448
1952,Superior,Cisco,13014,NA,Wisconsin (WI),5890
1952,Superior,Cisco,13014,NA,Minnesota (MN),2683
1952,Superior,Cisco,13014,NA,U.S. Total,12021
1952,Superior,Cisco,13014,NA,Canada (ONT),993
1953,Superior,Cisco,11183,NA,Michigan (MI),2415
1953,Superior,Cisco,11183,NA,Wisconsin (WI),5356
1953,Superior,Cisco,11183,NA,Minnesota (MN),2667
1953,Superior,Cisco,11183,NA,U.S. Total,10438
1953,Superior,Cisco,11183,NA,Canada (ONT),745
