"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Loveland Magazine",,https://www.lovelandmagazine.com,,Yes,Loveland,OH,"United States",English,,"Sole Proprietor/no specific tax status","For Profit",2004,0,,,,,"Newsletters, Originally-reported articles, Video",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Breaking News, Education & Schools, Events in coverage area, Local News, Sports & Recreation",,"Low-income communities",,"Direct sold advertising, Other forms of corporate sponsorship, Other Marketing Services, Small individual gifts",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Display, Social Media",,"Giving voice to Loveland’s residents; providing full/complete information; recognizing Loveland’s youth, either telling their stories or providing a place for you to so is our goal. At our core we believe that just because the government says something doesn’t necessarily mean that it is true or the whole truth, and to that end we always strive to investigate with a cautious, [sometimes cynical] experienced eye and, whenever possible, we strive to give the residents the last word on subjects we delve into.","Loveland Magazine is locally and independently owned with offices in Loveland, Ohio… where we live. Before Loveland Magazine was published in 2004 it had been nearly four decades since Loveland had its own newspaper. Loveland Magazine is not connected, owned, or funded by the City of Loveland, the Chamber of Commerce, or any other corporation. We are not affiliated with any other publication.
Loveland Magazine was the first “digital only member” of The Ohio Newspaper Association (Now the Ohio News Media Association).
We also own Loveland Magazine TV."
"Luther Register News",,https://lutherregister.news,"Dawn Shelton",Yes,Luther,OK,"United States",English,,LLC,LLC,2015,1,61-70,11-20,11-20,11-20,"Originally-reported articles, Podcasts, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms",,City/Town,"Hyperlocal community comings and goings",,"Business, Corruption, Crime & Justice, Education & Schools, Entertainment & Arts",,"Low-income communities",,"Direct sold advertising, Reader membership, Small individual gifts, Events",,,Events,,"I don't have a paywall",,"Display, Content Sponsorship",,"Readers of the Luther Register benefit from news and information about their community to engage and become involved.","It's news for our town, Luther, OK. Published by Dawn Shelton."
LymeLine.com,"Shoreline Web News LLC",https://lymeline.com,"Olwen Logan, Nigel Logan",No,"Old Lyme",CT,"United States",English,,"Sole Proprietor/no specific tax status",Partnership,2003,0,0-10,0-10,21-30,61-70,"Originally-reported articles, Newsletters",,"Website, Social media",,City/Town,"Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Environment, Events in coverage area, Politics",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"Until last year, LymeLine was the single news source focused exclusively on the towns of Lyme and Old Lyme located in SE Connecticut. That gave us a very strong presence in the towns and made us the go-to site for all community news.",
"Lynnwood Today",,https://lynnwoodtoday.com,,No,Lynnwood,WA,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynnwood Today is a neighborhood news website covering all things Lynnwood."
Madison365,"365 Media",https://Madison365.org,"Henry Sanders, Robert Chappell, Henry Sanders, Robert Chappell, David Dahmer",Yes,Madison,WI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2015,3-5,61-70,31-40,0-10,0-10,"Digital marketing services, Events, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news","Communities of Color","Education & Schools, Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, People of color",,"Direct sold advertising, Events, Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display",,"We cover many stories that wouldn't have been told. We have developed trust in communities of color such that people bring their stories to us when in the past, they would not have trusted any members of the press; as a result, stories of racism and disparities that would have gone unnoticed are now told and are then spread into the mainstream media. Since our launch other local media outlets have been more intentional about covering communities of color. Our newsroom doubles the number of journalists of color working in Madison.","Madison365 uses excellent journalism to start conversations, find real and lasting solutions, build community, invite action and encourage emerging leaders in Greater Madison’s communities of color, and to foster dialog between members of diverse communities."
magnoliareporter.com,,https://magnoliareporter.com,"Mike McNeill",No,Magnolia,AR,"United States",English,,LLC,LLC,2010,1,61-70,0-10,0-10,11-20,"Originally-reported articles, Video, Social media-only content",,"Website, Social media",,"County/Counties/Regional districts","Single-subject news, Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Entertainment & Arts, Government",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are the local go-to source for information pertaining to our core city and county.","magnoliareporter.com strives to provide a news, information and advertising platform that can be updated around the clock with news articles, photographs and videos, and other material of interest to residents of the region."
"Mahoning Matters/The Compass Experiment",McClatchy,https://mahoningmatters.com,McClatchy,Yes,Youngstown,OH,"United States",English,,"For Profit","For Profit",2019,6-10,11-20,21-30,11-20,21-30,"Events, Newsletters, Originally-reported articles",Audio,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Government, Health & Medicine",,"Ethnic communities, Low-income communities",,"Direct sold advertising, Foundation funding, Grants, Other forms of corporate sponsorship, Small individual gifts",,,Grants,,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Classifieds, Content Sponsorship, Display, Email",,"Our reporting on an emerging local pharmacy desert led to the opening of a formerly-private pharmacy to serve those residents. Reporting on local nursing homes drove more public and government scrutiny during the coronavirus outbreak.","Mahoning Matters is a civic-minded community news source for the city of Youngstown and the Mahoning Valley. We were founded in October 2019 with the mission to tell the stories that matter in Mahoning County and empower citizens to engage in their community with a focus on solutions."
"Manchester Ink Link",,https://manchesterinklink.com,"Carol Robidoux",Yes,Manchester,NH,"United States",English,,LLC,LLC,2014,2,71-80,21-30,0-10,11-20,"Originally-reported articles",,"Email, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings",,"Breaking News, Business",,"Immigrant communities, Low-income communities",,"Business underwriting, Direct sold advertising, Programmatic advertising, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Social Media",,"We believe that an informed community is essential to democracy. We provide opportunities for the community to participate and engage with the news, and the local issues and causes that matter most.","Manchester Inklink is a daily news and information site established in 2014 by journalist Carol Robidoux."
"Maryland Matters",,https://www.marylandmatters.org,,No,"Takoma Park",MD,"United States",English,,,"Not for Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"Welcome to Maryland Matters, the premier site for news about Maryland government and politics."
"Maryland Reporter",,https://marylandreporter.com,,No,Columbia,MD,"United States",English,,,"Not for Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"MarylandReporter.com is a daily news website produced by journalists committed to making state government as open, transparent, accountable and responsive as possible - in deed, not just in promise."
"Matter News",,https://matternews.org,,No,Columbus,OH,"United States",English,,,"Not for Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matter News is the digital publication of Grey Matter Media, a nonprofit news organization based in and dedicated to Columbus."
"Maximum Fun",,http://maximumfun.org/donate,,No,"Los Angeles",CA,"United States",English,,,"For Profit",1999,,,,,,,,,,,,,,,,,,,,,,,,,,,"Today, Maximum Fun distributes over 40 podcasts and continues to seek out and develop new talent, with a core mission of making the world better, through our creativity, our interactions with our local and virtual community, and our ability to direct attention and resources to the good being done in the world."
"Mendocino Sports Plus",,https://mendocinosports.plus,"Paul McCarthy",Yes,Elk,CA,"United States",English,,"Sole Proprietor/no specific tax status","Not for Profit",2012,1,81-90,0-10,11-20,0-10,"Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Crime & Justice, Events in coverage area, Government, Planning & Development, Sports & Recreation",,"Communities with English as a second language, Ethnic communities",,"Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We focus on real-time coverage of news, meetings, weather, traffic & local sports in Mendocino County, CA","Based in Elk, CA, MSP became the first non-profit news/sports media site in Mendocino County May 18, 2020. It is an independent, hyperlocal website dedicated to covering coastal news as well as sports on the Mendocino Coast, particularly high school sports."
"Menifee 24-7",,https://menifee247.com,,No,Menifee,CA,"United States",English,,,"For Profit",2004,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menifee 24/7 writes and publishes its own original content consisting of news relating to events, people, and places within the City of Menifee. We report on what's taking place within city government, announce events, and report on matters Menifee residents are interested in."
MercerMe,,https://mercerme.com,,No,Hopewell,NJ,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"MercerMe is…
a hyperlocal, independent, online news outlet serving the greater Hopewell Valley in Mercer County, New Jersey."
"Metamora Herald",,https://metamoraherald.com,,No,Metamora,IL,"United States",English,,,"Not for Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"The New Metamora Herald Online, focused on Metamora, Spring Bay, and Germantown Hills"
Metromode,,https://www.secondwavemedia.com/metromode/default.aspx,,No,Detroit,MI,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mid Story",,https://www.midstory.org,,No,Toledo,OH,"United States",English,,,"Not for Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"Midstory is a registered 501c(3) nonprofit dedicated to retain, cultivate, and attract young people through solutions-oriented projects and creative storytelling of post-industrial cities in the Midwest."
"Mid-City Messenger",,https://midcitymessenger.com,,No,"New Orleans",LA,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOLA Messenger is an independently-owned, online, community news organization founded in September 2010 with UptownMessenger.com. MidCityMessenger.com is the Mid-City equivalent launched in January of 2013."
"Midwest Energy News",,https://energynews.us/region/midwest,,No,,,"United States",English,,,"Not for Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Energy News Network is a nonprofit news site dedicated to keeping influencers, policymakers and citizens informed of the important changes taking place in the transition to a clean energy system.
Launched in 2010 as Midwest Energy News, the Energy News Network now offers four regional services. Southeast Energy News began in 2015, and Western (formerly Southwest) and Northeast Energy News were added in 2018."
"Milford Live",,https://milfordlive.com,,No,Milford,DE,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milford Live is a new approach to news and information, bringing the community together in Milford."
"Milwaukee Neighborhood News Service",,https://milwaukeenns.org,"Marquette University",No,Milwaukee,WI,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2011,1,91-100,0-10,0-10,0-10,"Originally-reported articles, Video",,"Social media, Syndicated feed or content partnerships, Website",,Neighborhood(s),"Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Events in coverage area, Government, Health & Medicine, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions, Small individual gifts",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Display,,,"The Milwaukee Neighborhood News Service, housed in the Diederich College of Communication at Marquette University, is a nonprofit news organization that covers Milwaukee’s diverse neighborhoods. All editorial decisions are made by its staff and do not necessarily reflect the viewpoints of the university.
NNS covers stories that are important to the people who live, work and serve in city neighborhoods, on topics such as education, public safety, economic development, health and wellness, environment, recreation, employment, youth development and housing."
"Milwaukee Record",,https://milwaukeerecord.com,,No,Milwaukee,WI,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milwaukee Record is your source for smart, opinionated, and irreverent coverage of all things Milwaukee."
MinnPost,,https://minnpost.com,,No,Minneapolis,MN,"United States",English,,,"Not for Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"MinnPost is a nonprofit, nonpartisan enterprise whose mission is to provide high-quality journalism for people who care about Minnesota."
"Mission Local",,https://missionlocal.org,,No,"San Francisco",CA,"United States",English,,,"Not for Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since 2008, Mission Local has been all up in the Mission District reporting on everything from tacos to tech, crime to culture, murals to MUNI, recording the lives and changes in the city’s oldest (and arguably, best) neighborhood."
"Mississippi Today",,https://Mississippitoday.org,,No,Ridgeland,MS,"United States",English,,,"Not for Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi Today is a nonprofit 501(c)(3) news and media company with a forward-facing mission of civic engagement and public dialog through service journalism, live events and digital outreach.
Our newsroom is dedicated to providing Mississippians with reporting that inspires active interest in their state and equips them to engage in community life."
"Missoula Current",,https://www.missoulacurrent.com,,No,Missoula,MT,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Missoula Current began in 2015 as a daily news journal. It was founded on the belief that local news matters. The greater Missoula region needed more reporting, more perspectives and more journalistic competition.
As part of its mission, the Missoula Current focuses on business and the environment, local and state government, Montana’s congressional delegation, and the region’s rapid growth and development."
MIWISCONSIN,,http://www.miwisconsin.com,,No,Madison,WI,"United States",Spanish,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,1,,,,,"Newsletters, Podcasts, Social media-only content",,"Email, Podcast, Social media, Text, Website",,"City/Town, County/Counties/Regional districts, State/Province","Breaking News, Hyperlocal community comings and goings, Investigative news, Single-subject news",,"Education & Schools, Government, Health & Medicine, Immigration, Local News",,"Communities with English as a second language, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Classifieds, Direct sold advertising, Events, Foundation funding, Grants",,,"Foundation funding",,"I don't have a paywall",,Display,,,"We are a new Spanish language digital media company that covers the Latino community in Wisconsin."
"MLK50: Justice Through Journalism",,https://mlk50.com,"Founder of Non Profit -Wendi C. Thomas",No,Memphis,TN,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2017,2,81-90,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content",,"Social media, Website",,City/Town,"In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Corruption, Crime & Justice, Environment, Events in coverage area, Government, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Foundation funding, Major individual gifts, Philanthropic funding from major institutions, Small individual gifts",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our reporting led the city's largest nonprofit hospital system, which sued more than 8,300 people over a five-year period for unpaid hospital bills, to overhaul its financial aid policies and erase nearly $12 million in debt for more than 5,300 defendants. https://mlk50.com/mlk50-com-profit/home","A nonprofit reporting project on economic justice. In partnership with the National Civil Rights Museum’s MLK50 commemoration."
"MLT News",,https://mltnews.com,,No,"Mount Lake Terrace",WA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"MLTnews is an independent, advertiser-supported, locally owned community news site about Mountlake Terrace, Washington."
MLTNews,,https://mltnews.com/,,No,"Mountlake Terrace",WA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Model D",,https://www.modeldmedia.com,,No,Detroit,MI,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekly online magazine covering stories of creativity & innovation moving Detroit forward."
"Monroe Local",,http://news.monroelocal.org/category/monroe-local-news,,No,Monroe,GA,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Your Local News (covering Loganville, Monroe, Walton County and East Gwinnett) is your eyes, ears and voice in the community. It is an online publication that brings you the news, events and community information that is important to you. It is not only a place where you can get information, but also one where you can share information."
"Montana Free Press",,https://montanafreepress.org,"John S. Adams",Yes,Helena,MT,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2016,3-5,51-60,11-20,11-20,11-20,,,,,,,,,,,,,,,,,,,,,,"Montana Free Press is an independent, 501(c)(3) nonprofit source for in-depth Montana news, information, and analysis.
MTFP seeks to uncover the truth and bring to light essential news stories by studying arcane bureaucratic processes, seeking out dark corners of major institutions, digging deep into data and documents, and holding those in power accountable to the people.
We work independently and in collaboration with other news outlets around Montana to produce meaningful news stories that have an impact on the lives and livelihoods of local communities."
"Monticello Live",,http://www.monticellolive.com,,No,Monticello,AR,"United States",English,,,"For Profit",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moose Jaw Independent",,https://www.mjindependent.com,,No,"Moose Jaw",SK,Canada,English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moose Jaw Today",,https://www.moosejawtoday.com,,No,"Moose Jaw",SK,Canada,English,,,"For Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"MooseJawToday.com is an online news and information site that provides breaking news to you, our reader, as fast as you want it, wherever you are."
"More Monmouth Musings",,https://www.moremonmouthmusings.net,,No,,NJ,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
"More Than The Curve",,https://morethanthecurve.com,,No,Conshohocken,PA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"MoreThanTheCurve.com covers the news and events taking place in the greater Conshohocken area."
"Morristown Green",,https://morristowngreen.com,,No,Morristown,NJ,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"We’re aiming for an online version of the venerable Morristown Green, where people from Morristown, Morris Township and Morris Plains can come together to discuss anything and everything that matters to them."
"Mountain Journal",,https://mountainjournal.org,,No,Bozeman,MT,"United States",English,,,"Not for Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"MEANINGFUL PUBLIC-INTEREST JOURNALISM AT THE INTERSECTION OF PEOPLE AND NATURE IN AMERICA'S WILDEST, MOST ICONIC ECOSYSTEM"
"Muncie Voice",,https://www.muncievoice.com,,No,Muncie,IN,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"MV is a progressive news/magazine outlet which is researching and sharing information of a politico-social nature."
"Murfreesboro Post","Main Street Media of Tennessee",https://www.murfreesboropost.com/,,Yes,Murfreesboro,TN,"United States",English,,"For Profit","For Profit",2005,3-5,51-60,21-30,0-10,0-10,"News aggregation, Newsletters, Originally-reported articles, Podcasts, Printed media, Social media-only content, Video",,"Email, Podcast, Print, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Breaking News, Education & Schools, Government, Local News, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Classifieds, Display, Podcast Sponsorship, Print ads",,"As the local paper, we provide our readers with unique coverage of several topics including some government coverage, events and local sports. We are a watchdog and also recognize achievers and people having an impact in the area.","The local weekly news paper of Rutherford County, TN.
 "
"My Edmonds News",,https://myedmondsnews.com,,No,Edmonds,WA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"An online gathering place for neighbors and friends"
"My Home Rule News",,http://www.myhomerulenews.com,,No,"College Park",GA,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOME RULE NEWS IS YOUR ONLINE NEWS SOURCE FOR GREATER WEST METRO ATLANTA"
"My Little Falls",,https://mylittlefalls.com,"David Warner",No,"Little Falls",NY,"United States",English,,"Sole Proprietor/no specific tax status","S Corp",2018,2,81-90,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Video",,"Owned and operated mobile app(s), Social media, Third party content platforms, Website",,City/Town,"Hyperlocal community comings and goings",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Video",,"My Little Falls is a micro-local daily newspaper. Its mission is to generate interest in the community and connect residents in a more meaningful way by facilitating deeper conversations about how news and events will shape the future of Little Falls New York. It’s about big news in a small town and how it impacts everyday life. It’s about timely local news for the community, keeping citizens informed about important issues, telling stories about the people who live and work here and to giving locally owned businesses the opportunity to reach a very targeted audience of local residents and tourists alike.","My Little Falls is a micro-local daily newspaper. Its mission is to generate interest in the community and connect residents in a more meaningful way by facilitating deeper conversations about how news and events will shape the future of Little Falls New York."
"My Neighborhood News Network",,https://myneighbornewsnetwork.com,"Teresa Wippel",No,Edmonds,WA,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2009,1,31-40,21-30,11-20,11-20,"Originally-reported articles, Video, Newsletters",,"Website, Social media, Third party content platforms",,City/Town,"Curation and commentary, Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Entertainment & Arts, Government, Health & Medicine",,,,"Direct sold advertising, Reader membership, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Video",,"Our publications have increased civic engagement and discussion on issues that matter, have alerted readers to government decisions they otherwise would not have know about and -- in this current pandemic -- provide daily updates on how COVID-19 is affecting our communities.","Welcome to the My Neighborhood News Network. Here’s what you should know about our community’s longest-running, Edmonds-based online news source.
Mission statement: I’m delighted that people regularly share their ideas and opinions by commenting on stories and submitting letters to the editor."
MyEverettNews.com,,https://myeverettnews.com/,,Yes,Everett,WA,"United States",English,,LLC,LLC,2011,,,,91-100,,"Originally-reported articles",,"Email, Social media, Website",,City/Town,"Breaking News, Hyperlocal community comings and goings",,"Breaking News, Government, Planning & Development",,,,,,,,,,,,,"Reports have led to the resignation of a Port Commissioner as he no longer lived in his elective district. City cancelled new logo after reporting found the logo that had won a city-wide contest had vast similarities to an existing logo. Council members have changed votes and opinions after our stories have appeared.","Hyperlocal website with focus on Everett, Washington. Primary coverage is breaking news and Everett City Council activities and local Government
 "
MyLittleFalls,,https://mylittlefalls.com,,No,"Little Falls",NY,"United States",English,,,"For Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"My Little Falls is a micro-local media company. Its mission is to generate interest in the community and connect residents in a more meaningful way by facilitating deeper conversations about how news and events will shape the future of Little Falls New York."
MyMCMedia,,https://www.mymcmedia.org,,No,"Silver Spring",MD,"United States",English,,,"Not for Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"MyMCMedia.org is the epitome of today’s transformation of access TV, combining content, information and engagement into an easy to use, mobile platform.
Montgomery Community Media (MCM) is the only independent, nonprofit organization providing access to public media (public access television and broadband media) directly to Montgomery County’s over one million residents as well as the resident non-profit organizations, associations and businesses."
MyRye.com,,https://MyRye.com,"Jay Sears",Yes,Rye,NY,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2006,0,21-30,0-10,41-50,21-30,"Originally-reported articles",,"Website, Social media",,City/Town,"Hyperlocal community comings and goings",,"Business, Education & Schools, Environment, Government, Politics",,,,"Direct sold advertising",,,"Direct sold advertising",,,,Display,,"We cover stories that often no one else will cover & providing a platform for community conversation.","Observations About Rye, New York
An insider’s view of the community with observations on real estate, restaurants, schools, shopping, events and happenings."
MyVeronaNJ.com,,https://myveronanj.com,"Virginia Citrano",No,Verona,NY,"United States",English,,LLC,LLC,2009,0,21-30,21-30,11-20,0-10,"Originally-reported articles, Video, Newsletters",,"Website, Social media",,City/Town,"Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Food, Government, Planning & Development, Sports & Recreation",,,,"Direct sold advertising, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"We have fostered a more engaged and informed community, which has helped it to weather a recession, welcome an Islamic congregation and address mental health challenges in our schools.","The writers, editors and photographers of MyVeronaNJ.com are a part of Verona, just like you. We live here, we work here, we play here, we shop here. We send our kids to Verona schools and we volunteer for many of the same activities you do. The company we have created is based here, not somewhere else in New Jersey or across the country."
NanaimoNewsNOW,,https://nanaimonewsnow.com,,No,Nanaimo,BC,Canada,English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"NanaimoNewsNOW is Nanaimo’s most comprehensive source for local, up to the minute news. The most relevant, accurate news content in the region from Nanaimo’s leading newsroom."
"Nancy on Norwalk",,https://nancyonnorwalk.com,,No,Norwalk,CT,"United States",English,,,"Not for Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"NancyOnNorwalk informs and engages Norwalkers with watchdog journalism and a digital town square."
"Nashville Noticias",,https://nashvillenoticias.com,,No,Nashville,TN,"United States",Spanish,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Observer",,https://nationalobserver.com,"Linda Solomon Wood",Yes,Vancouver,BC,Canada,English,,,"Not for Profit",2015,11-15,31-40,11-20,0-10,11-20,"Originally-reported articles",,"Social media, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Energy, Environment, Food, Government, Politics, Social Justice & Inequality",,,,"Foundation funding, Reader subscriptions",,,"Reader membership",,"Propensity meter (variable number of free articles per month)",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display, Video",,,"Canada's National Observer publishes investigative reporting, in-depth analysis, solutions journalism, multi-media features, opinion and daily news coverage. We pursue stories that seek to identify and explore problems in society. We also cover success and innovation to ensure that decision makers and members of the public are empowered to make informed choices. We have a special focus on how governments and industry make decisions as well as the factors that influence their policies."
NEL,,https://nelpr.com,,No,,PR,"United States",Spanish,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medio Digital que ofrece información del ámbito local e internacional. Ofreciendo contenido relevante de interés para todos en Puerto Rico."
"Nelson County Gazette",,http://nelsoncountygazette.com,,No,"Cox’s Creek",KY,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Nelson County Gazette began in 2005 as an experimental extension of a blog written about local news and events by journalist  Jim Brooks. Through the years, the Gazette has established itself as a leader in breaking news, political commentary and reports on events around Nelson County."
Neta,,https://netargv.com,,No,Pharr,TX,"United States",English,,,"Not for Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neta is one of the fastest-growing independent media platforms led by people of color in the US. Our vision is to inspire and move people to change the world by creating content that amplifies the voices of border residents in the Rio Grande Valley along the Texas-Mexico border."
"New Bern Now",,https://newbernnow.com,"Wendy Card",No,"New Bern",NC,"United States",English,,LLC,LLC,2009,1,0-10,0-10,91-100,0-10,"Originally-reported articles, Video, Podcasts, Printed media, Social media-only content, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships, Podcast, Print, Radio",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Government, Health & Medicine, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Podcast Sponsorship",,"We connect people with our community by highlighting locals, non-profits, businesses, and places in the greater New Bern, NC area and surrounding towns by providing news and information. Our goal is to educate, enrich, entertain, and/or enlighten our audience.","Connecting you with the great Community of New Bern, NC! We're a news and information website, magazine, and podcast/radio show."
