position,player,total,year,records,nation
53,Martin,2,2003,NA,Canada
53,Martin,2,2004,1,Canada
53,Martin,2,2005,1,Canada
53,Martin,2,2006,NA,Canada
53,Martin,2,2007,NA,Canada
53,Martin,2,2008,NA,Canada
53,Martin,2,2009,NA,Canada
53,Martin,2,2010,NA,Canada
53,Martin,2,2011,NA,Canada
53,Martin,2,2012,NA,Canada
53,Martin,2,2013,NA,Canada
53,Martin,2,2014,NA,Canada
53,Martin,2,2015,NA,Canada
53,Martin,2,2016,NA,Canada
53,Martin,2,2017,NA,Canada
53,Martin,2,2018,NA,Canada
53,Martin,2,2019,NA,Canada
53,Martin,2,2020,NA,Canada
53,Martin,2,2021,NA,Canada
62,Patricio,1,1997,NA,USA
62,Patricio,1,1998,NA,USA
62,Patricio,1,1999,NA,USA
62,Patricio,1,2000,NA,USA
62,Patricio,1,2001,NA,USA
62,Patricio,1,2002,NA,USA
62,Patricio,1,2003,NA,USA
62,Patricio,1,2004,NA,USA
62,Patricio,1,2005,NA,USA
62,Patricio,1,2006,NA,USA
62,Patricio,1,2007,NA,USA
62,Patricio,1,2008,NA,USA
62,Patricio,1,2009,NA,USA
62,Patricio,1,2010,NA,USA
62,Patricio,1,2011,NA,USA
62,Patricio,1,2012,NA,USA
62,Patricio,1,2013,NA,USA
62,Patricio,1,2014,1,USA
62,Patricio,1,2015,NA,USA
62,Patricio,1,2016,NA,USA
62,Patricio,1,2017,NA,USA
62,Patricio,1,2018,NA,USA
62,Patricio,1,2019,NA,USA
62,Patricio,1,2020,NA,USA
62,Patricio,1,2021,NA,USA
62,David K,1,1997,1,Australia
62,David K,1,1998,NA,Australia
62,David K,1,1999,NA,Australia
62,David K,1,2000,NA,Australia
62,David K,1,2001,NA,Australia
62,David K,1,2002,NA,Australia
62,David K,1,2003,NA,Australia
62,David K,1,2004,NA,Australia
62,David K,1,2005,NA,Australia
62,David K,1,2006,NA,Australia
62,David K,1,2007,NA,Australia
62,David K,1,2008,NA,Australia
62,David K,1,2009,NA,Australia
62,David K,1,2010,NA,Australia
62,David K,1,2011,NA,Australia
62,David K,1,2012,NA,Australia
62,David K,1,2013,NA,Australia
62,David K,1,2014,NA,Australia
62,David K,1,2015,NA,Australia
62,David K,1,2016,NA,Australia
62,David K,1,2017,NA,Australia
62,David K,1,2018,NA,Australia
62,David K,1,2019,NA,Australia
62,David K,1,2020,NA,Australia
62,David K,1,2021,NA,Australia
62,Nathan,1,1997,NA,USA
62,Nathan,1,1998,1,USA
62,Nathan,1,1999,NA,USA
62,Nathan,1,2000,NA,USA
62,Nathan,1,2001,NA,USA
62,Nathan,1,2002,NA,USA
62,Nathan,1,2003,NA,USA
62,Nathan,1,2004,NA,USA
62,Nathan,1,2005,NA,USA
62,Nathan,1,2006,NA,USA
62,Nathan,1,2007,NA,USA
62,Nathan,1,2008,NA,USA
62,Nathan,1,2009,NA,USA
62,Nathan,1,2010,NA,USA
62,Nathan,1,2011,NA,USA
62,Nathan,1,2012,NA,USA
62,Nathan,1,2013,NA,USA
62,Nathan,1,2014,NA,USA
62,Nathan,1,2015,NA,USA
62,Nathan,1,2016,NA,USA
62,Nathan,1,2017,NA,USA
62,Nathan,1,2018,NA,USA
62,Nathan,1,2019,NA,USA
62,Nathan,1,2020,NA,USA
62,Nathan,1,2021,NA,USA
62,David L,1,1997,1,Canada
62,David L,1,1998,NA,Canada
62,David L,1,1999,NA,Canada
62,David L,1,2000,NA,Canada
62,David L,1,2001,NA,Canada
62,David L,1,2002,NA,Canada
62,David L,1,2003,NA,Canada
62,David L,1,2004,NA,Canada
62,David L,1,2005,NA,Canada
62,David L,1,2006,NA,Canada
62,David L,1,2007,NA,Canada
62,David L,1,2008,NA,Canada
62,David L,1,2009,NA,Canada
62,David L,1,2010,NA,Canada
62,David L,1,2011,NA,Canada
62,David L,1,2012,NA,Canada
62,David L,1,2013,NA,Canada
62,David L,1,2014,NA,Canada
62,David L,1,2015,NA,Canada
62,David L,1,2016,NA,Canada
62,David L,1,2017,NA,Canada
62,David L,1,2018,NA,Canada
62,David L,1,2019,NA,Canada
62,David L,1,2020,NA,Canada
62,David L,1,2021,NA,Canada
62,Edward F,1,1997,1,UK
62,Edward F,1,1998,NA,UK
62,Edward F,1,1999,NA,UK
62,Edward F,1,2000,NA,UK
62,Edward F,1,2001,NA,UK
62,Edward F,1,2002,NA,UK
62,Edward F,1,2003,NA,UK
62,Edward F,1,2004,NA,UK
62,Edward F,1,2005,NA,UK
62,Edward F,1,2006,NA,UK
62,Edward F,1,2007,NA,UK
62,Edward F,1,2008,NA,UK
62,Edward F,1,2009,NA,UK
62,Edward F,1,2010,NA,UK
62,Edward F,1,2011,NA,UK
62,Edward F,1,2012,NA,UK
62,Edward F,1,2013,NA,UK
62,Edward F,1,2014,NA,UK
62,Edward F,1,2015,NA,UK
62,Edward F,1,2016,NA,UK
62,Edward F,1,2017,NA,UK
62,Edward F,1,2018,NA,UK
62,Edward F,1,2019,NA,UK
62,Edward F,1,2020,NA,UK
62,Edward F,1,2021,NA,UK
62,Daniel H,1,1997,1,USA
62,Daniel H,1,1998,NA,USA
62,Daniel H,1,1999,NA,USA
62,Daniel H,1,2000,NA,USA
62,Daniel H,1,2001,NA,USA
62,Daniel H,1,2002,NA,USA
62,Daniel H,1,2003,NA,USA
62,Daniel H,1,2004,NA,USA
62,Daniel H,1,2005,NA,USA
62,Daniel H,1,2006,NA,USA
62,Daniel H,1,2007,NA,USA
62,Daniel H,1,2008,NA,USA
62,Daniel H,1,2009,NA,USA
62,Daniel H,1,2010,NA,USA
62,Daniel H,1,2011,NA,USA
62,Daniel H,1,2012,NA,USA
62,Daniel H,1,2013,NA,USA
62,Daniel H,1,2014,NA,USA
62,Daniel H,1,2015,NA,USA
62,Daniel H,1,2016,NA,USA
62,Daniel H,1,2017,NA,USA
62,Daniel H,1,2018,NA,USA
62,Daniel H,1,2019,NA,USA
62,Daniel H,1,2020,NA,USA
62,Daniel H,1,2021,NA,USA
62,Jordan L,1,1997,1,USA
62,Jordan L,1,1998,NA,USA
62,Jordan L,1,1999,NA,USA
62,Jordan L,1,2000,NA,USA
62,Jordan L,1,2001,NA,USA
62,Jordan L,1,2002,NA,USA
62,Jordan L,1,2003,NA,USA
62,Jordan L,1,2004,NA,USA
62,Jordan L,1,2005,NA,USA
62,Jordan L,1,2006,NA,USA
62,Jordan L,1,2007,NA,USA
62,Jordan L,1,2008,NA,USA
62,Jordan L,1,2009,NA,USA
62,Jordan L,1,2010,NA,USA
62,Jordan L,1,2011,NA,USA
62,Jordan L,1,2012,NA,USA
62,Jordan L,1,2013,NA,USA
62,Jordan L,1,2014,NA,USA
62,Jordan L,1,2015,NA,USA
62,Jordan L,1,2016,NA,USA
62,Jordan L,1,2017,NA,USA
62,Jordan L,1,2018,NA,USA
62,Jordan L,1,2019,NA,USA
62,Jordan L,1,2020,NA,USA
62,Jordan L,1,2021,NA,USA
62,Stephen K,1,1997,1,USA
62,Stephen K,1,1998,NA,USA
62,Stephen K,1,1999,NA,USA
62,Stephen K,1,2000,NA,USA
62,Stephen K,1,2001,NA,USA
62,Stephen K,1,2002,NA,USA
62,Stephen K,1,2003,NA,USA
62,Stephen K,1,2004,NA,USA
62,Stephen K,1,2005,NA,USA
62,Stephen K,1,2006,NA,USA
62,Stephen K,1,2007,NA,USA
62,Stephen K,1,2008,NA,USA
62,Stephen K,1,2009,NA,USA
62,Stephen K,1,2010,NA,USA
62,Stephen K,1,2011,NA,USA
62,Stephen K,1,2012,NA,USA
62,Stephen K,1,2013,NA,USA
62,Stephen K,1,2014,NA,USA
62,Stephen K,1,2015,NA,USA
62,Stephen K,1,2016,NA,USA
62,Stephen K,1,2017,NA,USA
62,Stephen K,1,2018,NA,USA
62,Stephen K,1,2019,NA,USA
62,Stephen K,1,2020,NA,USA
62,Stephen K,1,2021,NA,USA
62,Greg L,1,1997,NA,Australia
62,Greg L,1,1998,NA,Australia
62,Greg L,1,1999,NA,Australia
62,Greg L,1,2000,NA,Australia
62,Greg L,1,2001,NA,Australia
62,Greg L,1,2002,NA,Australia
62,Greg L,1,2003,NA,Australia
62,Greg L,1,2004,NA,Australia
62,Greg L,1,2005,1,Australia
62,Greg L,1,2006,NA,Australia
62,Greg L,1,2007,NA,Australia
62,Greg L,1,2008,NA,Australia
62,Greg L,1,2009,NA,Australia
62,Greg L,1,2010,NA,Australia
62,Greg L,1,2011,NA,Australia
62,Greg L,1,2012,NA,Australia
62,Greg L,1,2013,NA,Australia
62,Greg L,1,2014,NA,Australia
62,Greg L,1,2015,NA,Australia
62,Greg L,1,2016,NA,Australia
62,Greg L,1,2017,NA,Australia
62,Greg L,1,2018,NA,Australia
62,Greg L,1,2019,NA,Australia
62,Greg L,1,2020,NA,Australia
62,Greg L,1,2021,NA,Australia
62,Ryan D,1,1997,NA,USA
62,Ryan D,1,1998,NA,USA
62,Ryan D,1,1999,NA,USA
62,Ryan D,1,2000,NA,USA
62,Ryan D,1,2001,NA,USA
62,Ryan D,1,2002,NA,USA
62,Ryan D,1,2003,NA,USA
62,Ryan D,1,2004,1,USA
62,Ryan D,1,2005,NA,USA
62,Ryan D,1,2006,NA,USA
62,Ryan D,1,2007,NA,USA
62,Ryan D,1,2008,NA,USA
62,Ryan D,1,2009,NA,USA
62,Ryan D,1,2010,NA,USA
62,Ryan D,1,2011,NA,USA
62,Ryan D,1,2012,NA,USA
62,Ryan D,1,2013,NA,USA
62,Ryan D,1,2014,NA,USA
62,Ryan D,1,2015,NA,USA
62,Ryan D,1,2016,NA,USA
62,Ryan D,1,2017,NA,USA
62,Ryan D,1,2018,NA,USA
62,Ryan D,1,2019,NA,USA
62,Ryan D,1,2020,NA,USA
62,Ryan D,1,2021,NA,USA
62,Shaun L,1,1997,1,USA
62,Shaun L,1,1998,NA,USA
62,Shaun L,1,1999,NA,USA
62,Shaun L,1,2000,NA,USA
62,Shaun L,1,2001,NA,USA
62,Shaun L,1,2002,NA,USA
62,Shaun L,1,2003,NA,USA
62,Shaun L,1,2004,NA,USA
62,Shaun L,1,2005,NA,USA
62,Shaun L,1,2006,NA,USA
62,Shaun L,1,2007,NA,USA
62,Shaun L,1,2008,NA,USA
62,Shaun L,1,2009,NA,USA
62,Shaun L,1,2010,NA,USA
62,Shaun L,1,2011,NA,USA
62,Shaun L,1,2012,NA,USA
62,Shaun L,1,2013,NA,USA
62,Shaun L,1,2014,NA,USA
62,Shaun L,1,2015,NA,USA
62,Shaun L,1,2016,NA,USA
62,Shaun L,1,2017,NA,USA
62,Shaun L,1,2018,NA,USA
62,Shaun L,1,2019,NA,USA
62,Shaun L,1,2020,NA,USA
62,Shaun L,1,2021,NA,USA
62,Michael P,1,1997,1,USA
62,Michael P,1,1998,NA,USA
62,Michael P,1,1999,NA,USA
62,Michael P,1,2000,NA,USA
62,Michael P,1,2001,NA,USA
62,Michael P,1,2002,NA,USA
62,Michael P,1,2003,NA,USA
62,Michael P,1,2004,NA,USA
62,Michael P,1,2005,NA,USA
62,Michael P,1,2006,NA,USA
62,Michael P,1,2007,NA,USA
62,Michael P,1,2008,NA,USA
62,Michael P,1,2009,NA,USA
62,Michael P,1,2010,NA,USA
62,Michael P,1,2011,NA,USA
62,Michael P,1,2012,NA,USA
62,Michael P,1,2013,NA,USA
62,Michael P,1,2014,NA,USA
62,Michael P,1,2015,NA,USA
62,Michael P,1,2016,NA,USA
62,Michael P,1,2017,NA,USA
62,Michael P,1,2018,NA,USA
62,Michael P,1,2019,NA,USA
62,Michael P,1,2020,NA,USA
62,Michael P,1,2021,NA,USA
62,Jerome,1,1997,NA,France
62,Jerome,1,1998,1,France
62,Jerome,1,1999,NA,France
62,Jerome,1,2000,NA,France
62,Jerome,1,2001,NA,France
62,Jerome,1,2002,NA,France
62,Jerome,1,2003,NA,France
62,Jerome,1,2004,NA,France
62,Jerome,1,2005,NA,France
62,Jerome,1,2006,NA,France
62,Jerome,1,2007,NA,France
62,Jerome,1,2008,NA,France
62,Jerome,1,2009,NA,France
62,Jerome,1,2010,NA,France
62,Jerome,1,2011,NA,France
62,Jerome,1,2012,NA,France
62,Jerome,1,2013,NA,France
62,Jerome,1,2014,NA,France
62,Jerome,1,2015,NA,France
62,Jerome,1,2016,NA,France
62,Jerome,1,2017,NA,France
62,Jerome,1,2018,NA,France
62,Jerome,1,2019,NA,France
62,Jerome,1,2020,NA,France
62,Jerome,1,2021,NA,France
62,King Kelp,1,1997,NA,Netherlands
62,King Kelp,1,1998,NA,Netherlands
62,King Kelp,1,1999,NA,Netherlands
62,King Kelp,1,2000,NA,Netherlands
62,King Kelp,1,2001,NA,Netherlands
62,King Kelp,1,2002,NA,Netherlands
62,King Kelp,1,2003,NA,Netherlands
62,King Kelp,1,2004,NA,Netherlands
62,King Kelp,1,2005,NA,Netherlands
62,King Kelp,1,2006,NA,Netherlands
62,King Kelp,1,2007,NA,Netherlands
62,King Kelp,1,2008,NA,Netherlands
62,King Kelp,1,2009,NA,Netherlands
62,King Kelp,1,2010,NA,Netherlands
62,King Kelp,1,2011,NA,Netherlands
62,King Kelp,1,2012,NA,Netherlands
62,King Kelp,1,2013,NA,Netherlands
62,King Kelp,1,2014,NA,Netherlands
62,King Kelp,1,2015,NA,Netherlands
62,King Kelp,1,2016,NA,Netherlands
62,King Kelp,1,2017,NA,Netherlands
62,King Kelp,1,2018,NA,Netherlands
62,King Kelp,1,2019,NA,Netherlands
62,King Kelp,1,2020,NA,Netherlands
62,King Kelp,1,2021,1,Netherlands
62,Lewis R,1,1997,NA,Canada
62,Lewis R,1,1998,NA,Canada
62,Lewis R,1,1999,NA,Canada
62,Lewis R,1,2000,NA,Canada
62,Lewis R,1,2001,NA,Canada
62,Lewis R,1,2002,NA,Canada
62,Lewis R,1,2003,NA,Canada
62,Lewis R,1,2004,NA,Canada
62,Lewis R,1,2005,NA,Canada
62,Lewis R,1,2006,NA,Canada
62,Lewis R,1,2007,NA,Canada
62,Lewis R,1,2008,NA,Canada
62,Lewis R,1,2009,NA,Canada
62,Lewis R,1,2010,NA,Canada
62,Lewis R,1,2011,NA,Canada
62,Lewis R,1,2012,NA,Canada
62,Lewis R,1,2013,NA,Canada
62,Lewis R,1,2014,NA,Canada
62,Lewis R,1,2015,NA,Canada
62,Lewis R,1,2016,NA,Canada
62,Lewis R,1,2017,NA,Canada
62,Lewis R,1,2018,NA,Canada
62,Lewis R,1,2019,NA,Canada
62,Lewis R,1,2020,1,Canada
62,Lewis R,1,2021,NA,Canada
62,Lachlan B,1,1997,NA,Australia
62,Lachlan B,1,1998,1,Australia
62,Lachlan B,1,1999,NA,Australia
62,Lachlan B,1,2000,NA,Australia
62,Lachlan B,1,2001,NA,Australia
62,Lachlan B,1,2002,NA,Australia
62,Lachlan B,1,2003,NA,Australia
62,Lachlan B,1,2004,NA,Australia
62,Lachlan B,1,2005,NA,Australia
62,Lachlan B,1,2006,NA,Australia
62,Lachlan B,1,2007,NA,Australia
62,Lachlan B,1,2008,NA,Australia
62,Lachlan B,1,2009,NA,Australia
62,Lachlan B,1,2010,NA,Australia
62,Lachlan B,1,2011,NA,Australia
62,Lachlan B,1,2012,NA,Australia
62,Lachlan B,1,2013,NA,Australia
62,Lachlan B,1,2014,NA,Australia
62,Lachlan B,1,2015,NA,Australia
62,Lachlan B,1,2016,NA,Australia
62,Lachlan B,1,2017,NA,Australia
62,Lachlan B,1,2018,NA,Australia
62,Lachlan B,1,2019,NA,Australia
62,Lachlan B,1,2020,NA,Australia
62,Lachlan B,1,2021,NA,Australia
62,Rocky G,1,1997,1,NA
62,Rocky G,1,1998,NA,NA
62,Rocky G,1,1999,NA,NA
62,Rocky G,1,2000,NA,NA
62,Rocky G,1,2001,NA,NA
62,Rocky G,1,2002,NA,NA
62,Rocky G,1,2003,NA,NA
62,Rocky G,1,2004,NA,NA
62,Rocky G,1,2005,NA,NA
62,Rocky G,1,2006,NA,NA
62,Rocky G,1,2007,NA,NA
62,Rocky G,1,2008,NA,NA
62,Rocky G,1,2009,NA,NA
62,Rocky G,1,2010,NA,NA
62,Rocky G,1,2011,NA,NA
62,Rocky G,1,2012,NA,NA
62,Rocky G,1,2013,NA,NA
62,Rocky G,1,2014,NA,NA
62,Rocky G,1,2015,NA,NA
62,Rocky G,1,2016,NA,NA
62,Rocky G,1,2017,NA,NA
62,Rocky G,1,2018,NA,NA
62,Rocky G,1,2019,NA,NA
62,Rocky G,1,2020,NA,NA
62,Rocky G,1,2021,NA,NA
62,Jorge,1,1997,NA,USA
62,Jorge,1,1998,NA,USA
62,Jorge,1,1999,NA,USA
62,Jorge,1,2000,NA,USA
62,Jorge,1,2001,NA,USA
62,Jorge,1,2002,NA,USA
62,Jorge,1,2003,NA,USA
62,Jorge,1,2004,NA,USA
62,Jorge,1,2005,NA,USA
62,Jorge,1,2006,NA,USA
62,Jorge,1,2007,NA,USA
62,Jorge,1,2008,NA,USA
62,Jorge,1,2009,NA,USA
62,Jorge,1,2010,NA,USA
62,Jorge,1,2011,NA,USA
62,Jorge,1,2012,NA,USA
62,Jorge,1,2013,NA,USA
62,Jorge,1,2014,NA,USA
62,Jorge,1,2015,NA,USA
62,Jorge,1,2016,NA,USA
62,Jorge,1,2017,NA,USA
62,Jorge,1,2018,NA,USA
62,Jorge,1,2019,NA,USA
62,Jorge,1,2020,NA,USA
62,Jorge,1,2021,1,USA
62,ABE,1,1997,1,NA
62,ABE,1,1998,NA,NA
62,ABE,1,1999,NA,NA
62,ABE,1,2000,NA,NA
62,ABE,1,2001,NA,NA
62,ABE,1,2002,NA,NA
62,ABE,1,2003,NA,NA
62,ABE,1,2004,NA,NA
62,ABE,1,2005,NA,NA
62,ABE,1,2006,NA,NA
62,ABE,1,2007,NA,NA
62,ABE,1,2008,NA,NA
62,ABE,1,2009,NA,NA
62,ABE,1,2010,NA,NA
62,ABE,1,2011,NA,NA
62,ABE,1,2012,NA,NA
62,ABE,1,2013,NA,NA
62,ABE,1,2014,NA,NA
62,ABE,1,2015,NA,NA
62,ABE,1,2016,NA,NA
62,ABE,1,2017,NA,NA
62,ABE,1,2018,NA,NA
62,ABE,1,2019,NA,NA
62,ABE,1,2020,NA,NA
62,ABE,1,2021,NA,NA
62,Igor V,1,1997,NA,Slovenia
62,Igor V,1,1998,1,Slovenia
62,Igor V,1,1999,NA,Slovenia
62,Igor V,1,2000,NA,Slovenia
62,Igor V,1,2001,NA,Slovenia
62,Igor V,1,2002,NA,Slovenia
62,Igor V,1,2003,NA,Slovenia
62,Igor V,1,2004,NA,Slovenia
62,Igor V,1,2005,NA,Slovenia
62,Igor V,1,2006,NA,Slovenia
62,Igor V,1,2007,NA,Slovenia
62,Igor V,1,2008,NA,Slovenia
62,Igor V,1,2009,NA,Slovenia
62,Igor V,1,2010,NA,Slovenia
62,Igor V,1,2011,NA,Slovenia
62,Igor V,1,2012,NA,Slovenia
62,Igor V,1,2013,NA,Slovenia
62,Igor V,1,2014,NA,Slovenia
62,Igor V,1,2015,NA,Slovenia
62,Igor V,1,2016,NA,Slovenia
62,Igor V,1,2017,NA,Slovenia
62,Igor V,1,2018,NA,Slovenia
62,Igor V,1,2019,NA,Slovenia
62,Igor V,1,2020,NA,Slovenia
62,Igor V,1,2021,NA,Slovenia
62,Raymond A,1,1997,1,NA
62,Raymond A,1,1998,NA,NA
62,Raymond A,1,1999,NA,NA
62,Raymond A,1,2000,NA,NA
62,Raymond A,1,2001,NA,NA
62,Raymond A,1,2002,NA,NA
62,Raymond A,1,2003,NA,NA
62,Raymond A,1,2004,NA,NA
62,Raymond A,1,2005,NA,NA
62,Raymond A,1,2006,NA,NA
62,Raymond A,1,2007,NA,NA
62,Raymond A,1,2008,NA,NA
62,Raymond A,1,2009,NA,NA
62,Raymond A,1,2010,NA,NA
62,Raymond A,1,2011,NA,NA
62,Raymond A,1,2012,NA,NA
62,Raymond A,1,2013,NA,NA
62,Raymond A,1,2014,NA,NA
62,Raymond A,1,2015,NA,NA
62,Raymond A,1,2016,NA,NA
62,Raymond A,1,2017,NA,NA
62,Raymond A,1,2018,NA,NA
62,Raymond A,1,2019,NA,NA
62,Raymond A,1,2020,NA,NA
62,Raymond A,1,2021,NA,NA
62,Dave H,1,1997,NA,UK
62,Dave H,1,1998,1,UK
62,Dave H,1,1999,NA,UK
62,Dave H,1,2000,NA,UK
62,Dave H,1,2001,NA,UK
62,Dave H,1,2002,NA,UK
62,Dave H,1,2003,NA,UK
62,Dave H,1,2004,NA,UK
62,Dave H,1,2005,NA,UK
62,Dave H,1,2006,NA,UK
62,Dave H,1,2007,NA,UK
62,Dave H,1,2008,NA,UK
62,Dave H,1,2009,NA,UK
62,Dave H,1,2010,NA,UK
62,Dave H,1,2011,NA,UK
62,Dave H,1,2012,NA,UK
62,Dave H,1,2013,NA,UK
62,Dave H,1,2014,NA,UK
62,Dave H,1,2015,NA,UK
62,Dave H,1,2016,NA,UK
62,Dave H,1,2017,NA,UK
62,Dave H,1,2018,NA,UK
62,Dave H,1,2019,NA,UK
62,Dave H,1,2020,NA,UK
62,Dave H,1,2021,NA,UK
62,Chris Rayola,1,1997,NA,USA
62,Chris Rayola,1,1998,NA,USA
62,Chris Rayola,1,1999,NA,USA
62,Chris Rayola,1,2000,NA,USA
62,Chris Rayola,1,2001,NA,USA
62,Chris Rayola,1,2002,NA,USA
62,Chris Rayola,1,2003,NA,USA
62,Chris Rayola,1,2004,NA,USA
62,Chris Rayola,1,2005,NA,USA
62,Chris Rayola,1,2006,NA,USA
62,Chris Rayola,1,2007,NA,USA
62,Chris Rayola,1,2008,NA,USA
62,Chris Rayola,1,2009,NA,USA
62,Chris Rayola,1,2010,NA,USA
62,Chris Rayola,1,2011,NA,USA
62,Chris Rayola,1,2012,NA,USA
62,Chris Rayola,1,2013,NA,USA
62,Chris Rayola,1,2014,NA,USA
62,Chris Rayola,1,2015,NA,USA
62,Chris Rayola,1,2016,NA,USA
62,Chris Rayola,1,2017,NA,USA
62,Chris Rayola,1,2018,NA,USA
62,Chris Rayola,1,2019,NA,USA
62,Chris Rayola,1,2020,NA,USA
62,Chris Rayola,1,2021,1,USA
62,Tim E,1,1997,NA,USA
62,Tim E,1,1998,NA,USA
62,Tim E,1,1999,NA,USA
62,Tim E,1,2000,NA,USA
62,Tim E,1,2001,NA,USA
62,Tim E,1,2002,NA,USA
62,Tim E,1,2003,NA,USA
62,Tim E,1,2004,1,USA
62,Tim E,1,2005,NA,USA
62,Tim E,1,2006,NA,USA
62,Tim E,1,2007,NA,USA
62,Tim E,1,2008,NA,USA
62,Tim E,1,2009,NA,USA
62,Tim E,1,2010,NA,USA
62,Tim E,1,2011,NA,USA
62,Tim E,1,2012,NA,USA
62,Tim E,1,2013,NA,USA
62,Tim E,1,2014,NA,USA
62,Tim E,1,2015,NA,USA
62,Tim E,1,2016,NA,USA
62,Tim E,1,2017,NA,USA
62,Tim E,1,2018,NA,USA
62,Tim E,1,2019,NA,USA
62,Tim E,1,2020,NA,USA
62,Tim E,1,2021,NA,USA
62,Phalock,1,1997,1,NA
62,Phalock,1,1998,NA,NA
62,Phalock,1,1999,NA,NA
62,Phalock,1,2000,NA,NA
62,Phalock,1,2001,NA,NA
62,Phalock,1,2002,NA,NA
62,Phalock,1,2003,NA,NA
62,Phalock,1,2004,NA,NA
62,Phalock,1,2005,NA,NA
62,Phalock,1,2006,NA,NA
62,Phalock,1,2007,NA,NA
62,Phalock,1,2008,NA,NA
62,Phalock,1,2009,NA,NA
62,Phalock,1,2010,NA,NA
62,Phalock,1,2011,NA,NA
62,Phalock,1,2012,NA,NA
62,Phalock,1,2013,NA,NA
62,Phalock,1,2014,NA,NA
62,Phalock,1,2015,NA,NA
62,Phalock,1,2016,NA,NA
62,Phalock,1,2017,NA,NA
62,Phalock,1,2018,NA,NA
62,Phalock,1,2019,NA,NA
62,Phalock,1,2020,NA,NA
62,Phalock,1,2021,NA,NA
62,Daniel L,1,1997,NA,Germany
62,Daniel L,1,1998,NA,Germany
62,Daniel L,1,1999,NA,Germany
62,Daniel L,1,2000,NA,Germany
62,Daniel L,1,2001,NA,Germany
62,Daniel L,1,2002,NA,Germany
62,Daniel L,1,2003,NA,Germany
62,Daniel L,1,2004,NA,Germany
62,Daniel L,1,2005,NA,Germany
62,Daniel L,1,2006,NA,Germany
62,Daniel L,1,2007,NA,Germany
62,Daniel L,1,2008,NA,Germany
62,Daniel L,1,2009,NA,Germany
62,Daniel L,1,2010,NA,Germany
62,Daniel L,1,2011,NA,Germany
62,Daniel L,1,2012,NA,Germany
62,Daniel L,1,2013,NA,Germany
62,Daniel L,1,2014,NA,Germany
62,Daniel L,1,2015,NA,Germany
62,Daniel L,1,2016,NA,Germany
62,Daniel L,1,2017,1,Germany
62,Daniel L,1,2018,NA,Germany
62,Daniel L,1,2019,NA,Germany
62,Daniel L,1,2020,NA,Germany
62,Daniel L,1,2021,NA,Germany
62,Ademir C,1,1997,NA,Australia
62,Ademir C,1,1998,1,Australia
62,Ademir C,1,1999,NA,Australia
62,Ademir C,1,2000,NA,Australia
62,Ademir C,1,2001,NA,Australia
62,Ademir C,1,2002,NA,Australia
62,Ademir C,1,2003,NA,Australia
62,Ademir C,1,2004,NA,Australia
62,Ademir C,1,2005,NA,Australia
62,Ademir C,1,2006,NA,Australia
62,Ademir C,1,2007,NA,Australia
62,Ademir C,1,2008,NA,Australia
62,Ademir C,1,2009,NA,Australia
62,Ademir C,1,2010,NA,Australia
62,Ademir C,1,2011,NA,Australia
62,Ademir C,1,2012,NA,Australia
62,Ademir C,1,2013,NA,Australia
62,Ademir C,1,2014,NA,Australia
62,Ademir C,1,2015,NA,Australia
62,Ademir C,1,2016,NA,Australia
62,Ademir C,1,2017,NA,Australia
62,Ademir C,1,2018,NA,Australia
62,Ademir C,1,2019,NA,Australia
62,Ademir C,1,2020,NA,Australia
62,Ademir C,1,2021,NA,Australia
62,Trystan,1,1997,NA,UK
62,Trystan,1,1998,NA,UK
62,Trystan,1,1999,NA,UK
62,Trystan,1,2000,NA,UK
62,Trystan,1,2001,NA,UK
62,Trystan,1,2002,NA,UK
62,Trystan,1,2003,NA,UK
62,Trystan,1,2004,NA,UK
62,Trystan,1,2005,NA,UK
62,Trystan,1,2006,1,UK
62,Trystan,1,2007,NA,UK
62,Trystan,1,2008,NA,UK
62,Trystan,1,2009,NA,UK
62,Trystan,1,2010,NA,UK
62,Trystan,1,2011,NA,UK
62,Trystan,1,2012,NA,UK
62,Trystan,1,2013,NA,UK
62,Trystan,1,2014,NA,UK
62,Trystan,1,2015,NA,UK
62,Trystan,1,2016,NA,UK
62,Trystan,1,2017,NA,UK
62,Trystan,1,2018,NA,UK
62,Trystan,1,2019,NA,UK
62,Trystan,1,2020,NA,UK
62,Trystan,1,2021,NA,UK
62,sn1989,1,1997,NA,UK
62,sn1989,1,1998,NA,UK
62,sn1989,1,1999,NA,UK
62,sn1989,1,2000,NA,UK
62,sn1989,1,2001,NA,UK
62,sn1989,1,2002,NA,UK
62,sn1989,1,2003,NA,UK
62,sn1989,1,2004,NA,UK
62,sn1989,1,2005,NA,UK
62,sn1989,1,2006,NA,UK
62,sn1989,1,2007,NA,UK
62,sn1989,1,2008,NA,UK
62,sn1989,1,2009,NA,UK
62,sn1989,1,2010,NA,UK
62,sn1989,1,2011,NA,UK
62,sn1989,1,2012,NA,UK
62,sn1989,1,2013,NA,UK
62,sn1989,1,2014,NA,UK
62,sn1989,1,2015,NA,UK
62,sn1989,1,2016,NA,UK
62,sn1989,1,2017,NA,UK
62,sn1989,1,2018,NA,UK
62,sn1989,1,2019,NA,UK
62,sn1989,1,2020,1,UK
62,sn1989,1,2021,NA,UK
