year,events,subject,country,state,era
1906,"On December 4, seven students at Cornell University form Alpha Phi Alpha Fraternity, the first college fraternity for black men.",Black Organizations,United States,New York,1901-2000
1907,"Alain Locke of Philadelphia, a Harvard graduate, becomes the first African American Rhodes Scholar.",Black Education,United States,Pennsylvania,1901-2000
1907,"The Pittsburgh Courier is established by Edwin Harleston, a security guard and aspiring writer. Three years later attorney Robert Vann takes control of the paper as its editor-publisher.",The Black Press,United States,Pennsylvania,1901-2000
1907,Madam C.J. Walker of Denver develops and markets her hair straightening method and creates one of the most successful cosmetics firms in the nation.,Black Business,United States,Colorado,1901-2000
1908,"On January 15, Alpha Kappa Alpha, the first black sorority, is founded on the campus of Howard University.",Black Organizations,United States,District of Columbia,1901-2000
1908,"On August 14, the Springfield Race Riot breaks out in Springfield, Illinois, the home town of Abraham Lincoln. Two blacks and four whites are killed. This is the first major riot in a Northern city in nearly half a century.",Racial Violence,United States,Illinois,1901-2000
1909,"The National Association for the Advancement of Colored People (NAACP) is formed on February 12 in New York City, partly in response to the Springfield Riot.",Black Organizations,United States,New York,1901-2000
1909,"On April 6, Admiral Robert E. Peary and African American Matthew Henson, accompanied by four Eskimos, become the first men known to have reached the North Pole.",Exploration and Discovery,United States,New York,1901-2000
1909,"On December 4, the New York Amsterdam News begins publication.",The Black Press,United States,New York,1901-2000
1909,"The Knights of Peter Claver, the first permanent national black Catholic fraternal order, is founded in Mobile, Alabama.",20th Century Black Religion,United States,Alabama,1901-2000
1910,"Census of 1910: U.S. population: 93,402,151, Black population: 9,827,763 (10.7 percent)",Black Population,United States,District of Columbia,1901-2000
1910,The National Urban League is founded in New York City on September 29. The League is organized to help African Americans secure employment and to adjust to urban life.,Black Organizations,United States,New York,1901-2000
1910,"The first issue of Crisis, the official publication of the NAACP, appears on November 1. W.E.B. Du Bois is the first editor.",The Black Press,United States,New York,1901-2000
1910,"On December 19, the City Council of Baltimore approves an ordinance segregating black and white neighborhoods. This ordinance is followed by similar statutes in Dallas, Texas, Greensboro, North Carolina, Louisville, Kentucky, Norfolk, Virginia, Oklahoma City, Oklahoma, Richmond, Virginia, Roanoke, Virginia, and St. Louis, Missouri.",Jim Crow Legislation,United States,Maryland,1901-2000
1911,Kappa Alpha Psi Fraternity is founded at Indiana University on January 5.,Black Organizations,United States,Indiana,1901-2000
1911,Omega Psi Phi Fraternity is founded at Howard University on November 17.,Black Organizations,United States,District of Columbia,1901-2000
1912,"W.C. Handy published ""Memphis Blues"" sheet music in Memphis",20th Century Black Music,United States,Tennessee,1901-2000
1913,"The Jubilee year, the 50th anniversary of the Emancipation Proclamation, is celebrated throughout the nation over the entire year.",Black Holidays and Celebrations,United States,n. a.,1901-2000
1913,Delta Sigma Theta Sorority is founded at Howard University on January 13.,Black Organizations,United States,District of Columbia,1901-2000
1913,"On April 11, the Woodrow Wilson administration initiates the racial segregation of work places, rest rooms and lunch rooms in all federal offices across the nation.",Segregated America,United States,District of Columbia,1901-2000
1913,"Bert Williams plays the lead role in Darktown Jubilee, making him the first African American actor to star in a motion picture.",Black Hollywood,United States,California,1901-2000
1913,"Noble Drew Ali founds the Moorish Science Temple in Newark, New Jersey.",20th Century Black Religion,United States,New Jersey,1901-2000
1914,Phi Beta Sigma Fraternity is founded at Howard University on January 9.,Black Organizations,United States,District of Columbia,1901-2000
1914,"Cleveland inventor Garrett Morgan patents a gas mask called the Safety Hood and Smoke Protector. The mask, initially used to rescue trapped miners, is eventually adopted by the U.S. Army.",Exploration and Discovery,United States,Ohio,1901-2000
1914,"On August 1, World War I began in Europe.",African Americans in World War I,United States,n. a.,1901-2000
1915,The Great Migration of African Americans from the South to Northern cities begins.,Black Migration,United States,n. a.,1901-2000
1915,"On June 21, the Oklahoma Grandfather Clause is overturned in Guinn v. United States.",Major Judicial Decisions,United States,District of Columbia,1901-2000
1915,"In September, Carter G. Woodson founds the Association for the Study of Negro Life and History (ASNLH) in Chicago.",Black Organizations,United States,Illinois,1901-2000
1916,Marcus Garvey founds the New York Division of the Universal Negro Improvement Association with sixteen members. Four years later the UNIA holds its national convention in Harlem. At its height the organization claims nearly two million members.,Black Organizations,United States,New York,1901-2000
1916,"On July 25, Garrett Morgan uses his newly invented gas mask to rescue men trapped after an explosion in a tunnel 250 feet beneath Lake Erie.",Exploration and Discovery,United States,Ohio,1901-2000
1916,In January the Association for the Study of Negro Life and History (ASNLH) begins publishing the Journal of Negro History which becomes the first scholarly journal devoted to the study of African American history.,Black Education,United States,District of Columbia,1901-2000
1917,"The United States enters World War I on April 6. Some 370,000 African-Americans join the armed forces with more than half serving in the French war zone. Over 1,000 black officers command these troops. The French government awards the Croix de Guerre to 107 African American soldiers.",African Americans in World War I,United States,n. a.,1901-2000
1917,"The East St. Louis Race Riot begins on July 1 and continues to July 3. Forty people are killed, hundreds more injured, and 6,000 driven from their homes.",Racial Violence,United States,Illinois,1901-2000
1917,"Nearly 10,000 African Americans and their supporters march down Manhattan's Fifth Avenue on July 28 as part of a silent parade, an NAACP-organized protest against lynchings, race riots, and the denial of rights. This is the first major civil rights demonstration in the 20th Century.",Racial Violence,United States,New York,1901-2000
1917,"In August, A. Philip Randolph and Chandler Owen found The Messenger, a black socialist magazine, in New York City.",The Black Press,United States,New York,1901-2000
1917,"On August 23, the Houston Mutiny and subsequent riot erupts between black soldiers and white citizens; two blacks and 11 whites are killed. Twenty-nine black soldiers are executed for participation in the riot.",Racial Violence,United States,Texas,1901-2000
1917,"On November 5, the Supreme Court in Buchanan v. Warley strikes down the Louisville, Kentucky ordinance mandating segregated neighborhoods.",Major Judicial Decisions,United States,District of Columbia,1901-2000
1918,"On July 25-28, a race riot in Chester, Pennsylvania claims five lives, three blacks and two whites.",Racial Violence,United States,Pennsylvania,1901-2000
1918,"On July 26-29, in nearby Philadelphia, another race riot breaks out killing four, three blacks and one white.",Racial Violence,United States,Pennsylvania,1901-2000
1918,"The Armistice on November 11 ends World War I. However, the northern migration of African Americans continues. By 1930 there were 1,035,000 more black Americans in the North than in 1910.",Black Migration,United States,n. a.,1901-2000
1919,"The Ku Klux Klan is revived in 1915 at Stone Mountain, Georgia, and by the beginning of 1919 operates in 27 states. Eighty-three African Americans are lynched during the year, among them a number of returning soldiers still in uniform.",Racial Violence,United States,Georgia,1901-2000
1919,The West Virginia State Supreme Court rules that an African American is denied equal protection under the law if his jury has no black members.,Major Judicial Decisions,United States,West Virginia,1901-2000
1919,The Associated Negro Press is established in Chicago by Claude A. Barnett on March 2.,The Black Press,United States,Illinois,1901-2000
1919,"The twenty five race riots that take place throughout the nation prompt the term, Red Summer. The largest clashes take place on May 10 in Charleston, South Carolina, July 13 in Longview, Texas, July 19-23 in Washington, D. C, July 27-Aug. 1 in Chicago, September 28 in Omaha, and October 1-3 in Elaine, Arkansas.",Racial Violence,United States,Illinois,1901-2000
1919,"Claude McKay publishes ""If We Must Die,"" considered one of the first major examples of Harlem Renaissance writing.",Art and Literature,United States,New York,1901-2000
1919,"Father Divine founds the Peace Mission Movement at his home in Sayville, New York.",20th Century Black Religion,United States,New York,1901-2000
1919,"South Dakota resident Oscar Micheaux releases his first film, The Homesteader, in Chicago. Over the next four decades Micheaux will produce and direct 24 silent films and 19 sound films, making him the most prolific black filmmaker of the 20th Century.",Black Hollywood,United States,South Dakota,1901-2000
1920,"Census of 1920, Black population: 10,463,131 (9.9 percent), U.S. population: 105,710,620",Black Population,United States,District of Columbia,1901-2000
1920,"The decade of the 1920s witnesses the Harlem Renaissance, a remarkable period of creativity for black writers, poets, and artists, including among others Claude McKay, Jean Toomer, Langston Hughes and Zora Neale Hurston.",Art and Literature,United States,New York,1901-2000
1920,"On January 16, Zeta Phi Beta Sorority is founded at Howard University.",Black Organizations,United States,District of Columbia,1901-2000
1920,Andrew Rube Foster leads the effort to establish the Negro National (Baseball) League on February 14 in Kansas City. Eight teams are part of the league.,African American Athletes,United States,Missouri,1901-2000
1920,"On August 26, the 19th Amendment to the Constitution is ratified giving all women the right to vote. Nonetheless, African American women, like African American men, are denied the franchise in most Southern states.",Black Women,United States,District of Columbia,1901-2000
1920,Former heavyweight boxing champion Jack Johnson opens the Club Deluxe in Harlem. Two years later gangaster Owney Madden buys the club and changes its name to the Cotton Club.,Black Entertainment,United States,New York,1901-2000
1920,Marcus Garvey leads the first international convention of the Universal Negro Improvement Association which he calls the International Convention of Negro Peoples of the World. The meeting is held at Madison Square Garden in New York City.,Black Nationalism and Black Power,United States,New York,1901-2000
1921,Shuffle Along by Noble Sissle and Eubie Blake opens on Broadway on May 23. This is the first major play of the Harlem Renaissance.,Black Entertainment,United States,New York,1901-2000
1921,"On May 31-June 1, at least 60 blacks and 21 whites are killed in the Tulsa Race Riot in Tulsa, Oklahoma. The violence destroys a thriving African American neighborhood and business district called Deep Greenwood.",Racial Violence,United States,Oklahoma,1901-2000
1921,"In June Sadie Tanner Mossell Alexander of the University of Pennsylvania, Eva B. Dykes of Radcliff and Georgiana R. Simpson of the University of Chicago become the first African American women to earn Ph.D. degrees.",Black Education,United States,n. a.,1901-2000
1921,"Harry Pace forms Black Swan Phonograph Corporation, the first African American-owned record company in Harlem. His artists will include Mamie and Bessie Smith.",Black Business,United States,New York,1901-2000
1921,"One of the earliest exhibitions of work by African American artists, including Henry Ossawa Tanner and Meta Vaux Warrick Fuller, is held at the 135th Street branch of the New York Public Library.",Art and Literature,United States,New York,1901-2000
1921,Jesse Binga founds the Binga State Bank in Chicago. It will become the largest African American bank in the nation before it collapses during the 1929 Stock Market Crash.,Black Business,United States,Illinois,1901-2000
1922,In September William Leo Hansberry of Howard University teaches the first course in African history and civilization at an American university.,Black Education,United States,District of Columbia,1901-2000
1922,"Sigma Gamma Rho Sorority is founded on November 12 in Indianapolis, Indiana.",Black Organizations,United States,Indiana,1901-2000
1922,The Harmon Foundation is established in New York City to promote African American participation in the fine arts.,Art and Literature,United States,New York,1901-2000
1923,"On January 4, the small, predominately black town of Rosewood, Florida is destroyed by a mob of white residents from nearby communities.  The attack would be known as the Rosewood Massacre.",Racial Violence,United States,Florida,1901-2000
1923,Marcus Garvey is imprisoned for mail fraud. He is sent to the Federal Penitentiary in Atlanta in 1925.,Crime and Punishment,United States,Georgia,1901-2000
1923,"In September, the Cotton Club opens in Harlem.",Black Entertainment,United States,New York,1901-2000
1923,"Bessie Smith signs with Columbia Records to produce race records. Her recording, ""Down-Hearted Blues,"" becomes the first million-selling record by an African American artist. Two years later she records ""St. Louis Blues"" with Louis Armstrong.",20th Century Black Music,United States,District of Columbia,1901-2000
1923,"On November 20, Garrett T. Morgan patents a caution light which improves the traffic signal.",Exploration and Discovery,United States,Ohio,1901-2000
1923,"The National Urban League publishes its first issue of Opportunity, A Journal of Negro Life. The magazine, edited by Charles S. Johnson, quickly becomes a forum for artists and authors of the Harlem Renaissance.",The Black Press,United States,New York,1901-2000
1923,Rojo Jack is the first African American to particiapte in professional car racing when he competes in a race in Honolulu Hawaii.,African American Athletes,United States,Hawaii,1901-2000
1924,Photographer James Van Der Zee begins his career by capturing images of Marcus Garvey and the UNIA.,Art and Literature,United States,New York,1901-2000
1925,The New Negro by Alain Locke is published in New York City.,Art and Literature,United States,New York,1901-2000
1925,"The National Bar Association, an organization of black attorneys, is established on August 1 in Des Moines, Iowa.",Black Organizations,United States,Iowa,1901-2000
1925,"On August 2, the Brotherhood of Sleeping Car Porters and Maids is organized with A. Philip Randolph as its first president.",Black Organizations,United States,Illinois,1901-2000
1925,"On September 9, Ossian Sweet, a Detroit physician, is arrested for murder after he and his family kill a member of a white mob while defending their home. The Sweet family is represented at their trial by Clarence Darrow and acquitted of the charge.",Racial Violence,United States,Michigan,1901-2000
1925,The American Negro Labor Congress is founded in Chicago in October.,Blacks and Organized Labor,United States,Illinois,1901-2000
1925,"Although African Americans have been serving as U.S. ambassadors since 1869, Clifton Reginald Wharton becomes the first African American to permanently enter the U.S. Foreign Service.",International Diplomacy,United States,District of Columbia,1901-2000
1926,Carter G. Woodson establishes Negro History Week in February between the Abraham Lincoln and Frederick Douglass Birthdays.,Black Holidays and Celebrations,United States,District of Columbia,1901-2000
1926,Dr. Mordecai Johnson becomes the first African American president of Howard University in September.,Black Education,United States,District of Columbia,1901-2000
1926,The Carnegie Corporation purchases Arturo Schomburg's collection of books and artifacts on African American life. The collection becomes the basis for the Schomburg Center for Research in Black Culture in New York City.,Art and Literature,United States,New York,1901-2000
1927,Chicago businessman Abe Saperstein forms the Harlem Globetrotters basketball team in Chicago on January 30.,African American Athletes,United States,Illinois,1901-2000
1927,"On December 2, Marcus Garvey is deported from the United States.",Crime and Punishment,United States,n. a.,1901-2000
1927,"Floyd Joseph Calvin, a Pittsburgh Courier journalist, becomes the first black radio talk show host when he begins broadcasting from WGBS in Pittsburgh.",Radio and Television,United States,Pennsylvania,1901-2000
1928,"On November 6, Oscar DePriest, a Republican, is elected to Congress from Chicagos South Side. He is the first African American to represent a northern, urban district.",Black Politics,United States,Illinois,1901-2000
1928,The Atlanta Daily World begins publication in November.,The Black Press,United States,Georgia,1901-2000
1929,"Fats Waller's musical, Aint Misbehavin, opens on Broadway.",Black Entertainment,United States,New York,1901-2000
1930,"Census of 1930, Black population: 11,891,143 (9.7 percent), U.S. population: 122,775,046",Black Population,United States,District of Columbia,1901-2000
1930,"James V. Herring establishes the Howard University Gallery of Art, the first gallery in the United States directed and controlled by African Americans. It is also one of the earliest galleries to highlight African American art.",Art and Literature,United States,District of Columbia,1901-2000
1930,Wallace Fard Muhammad founds Black Muslim movement in Detroit in 1930. Four years later Elijah Muhammad assumes control of the movement and transfers the headquarters to Chicago.,20th Century Black Religion,United States,Michigan,1901-2000
1931,Walter White is named NAACP executive secretary. Soon afterwards the NAACP mounts a new strategy primarily using lawsuits to end racial discrimination.,The Civil Rights Movement,United States,New York,1901-2000
1931,The Scottsboro Boys are arrested in Alabama. Their trial begins on April 6.,Crime and Punishment,United States,Alabama,1901-2000
1931,"William Grant Still becomes the first black symphony composer to have his music performed by a major symphony orchestra when the Rochester, New York, Philharmonic Orchestra presets ""The Afro-American Symphony"" in concert.",20th Century Black Music,United States,New York,1901-2000
1932,The Tuskegee Syphilis Experiment begins under the direction of the U.S. Public Health Service. The experiment ends in 1972.,Health and Medicine,United States,Alabama,1901-2000
1932,"Gospel Composer Thomas Dorsey writes ""Take My Hand, Precious Lord.""",20th Century Black Music,United States,Illinois,1901-2000
1932,Franklin Delano Roosevelt is elected president of the United States in November.,Blacks and the Great Depression,United States,n. a.,1901-2000
1932,The Los Angeles Sentinel is founded by Leon H. Washington.,The Black Press,United States,California,1901-2000
1932,Dudley Murphy releases the film The Emperor Jones starring Paul Robeson.,Black Entertainment,United States,California,1901-2000
1934,W.E.B. Du Bois resigns from the NAACP in a dispute over the strategy of the organization in its campaign against racial discrimination. Roy Wilkins becomes the new editor of Crisis magazine.,The Civil Rights Movement,United States,New York,1901-2000
1934,The Southern Tenant Farmers Union is organized by the Socialist Party.,Racial Alliances,United States,Arkansas,1901-2000
1934,"Zora Neale Hurston's first novel, Jonahs Gourd Vine, is published.",Art and Literature,United States,New York,1901-2000
1934,"After operating under a number of names, the Apollo Theater opens under its current name in Harlem.",Black Entertainment,United States,New York,1901-2000
1935,"On March 20, the Harlem Race Riot, a one day riot erupts leaving two people dead.",Racial Violence,United States,New York,1901-2000
1935,"On April 1, the U.S. Supreme Court rules in Norris v. Alabama that a defendant has a right to trial by a jury of his or her peers.",Major Judicial Decisions,United States,District of Columbia,1901-2000
1935,The Michigan Chronicle is founded in Detroit by Louis E. Martin.,The Black Press,United States,Michigan,1901-2000
1935,"On November 5, the Maryland Supreme Court rules in Murray v. Pearson that the University of Maryland must admit African Americans to its law school or establish a separate school for blacks. The University of Maryland chooses to admit its first black students.",Major Judicial Decisions,United States,Maryland,1901-2000
1935,"On December 24, Mary McLeod Bethune calls together the leaders of 28 national womens organizations to found the National Council of Negro Women in New York City.",Black Organizations,United States,New York,1901-2000
1936,"The first meeting of the National Negro Congress takes place in Chicago on February 14, 1936. Nearly 600 black organizations are represented.",Black Organizations,United States,Illinois,1901-2000
1936,"On June 24, Mary McLeod Bethune is named Director of the Division of Negro Affairs, the National Youth Administration. She is the highest ranking black official in the Roosevelt Administration and leads the Black Cabinet. She is also the first black woman to receive a presidential appointment.",Presidential Appointments,United States,District of Columbia,1901-2000
1936,Track star Jesse Owens wins four gold medals at the Berlin Olympics between August 3 and August 9.,African American Athletes,United States,n. a.,1901-2000
1936,"Dr. William Augustus Hinton's book, Syphilis and Its Treatment, is the first published medical textbook written by an African American.",Exploration and Discovery,United States,Massachusetts,1901-2000
1937,"William H. Hastie, former advisor to President Franklin Roosevelt, is confirmed on March 26 as the first black federal judge after his appointment by Roosevelt to the federal bench in the Virgin Islands.",Judicial Appointments,United States,Virgin Islands,1901-2000
1937,The Brotherhood of Sleeping Car Porters and Maids is recognized by the Pullman Company.,Black Organizations,United States,Illinois,1901-2000
1937,"On June 22, boxer Joe Louis wins the heavyweight championship in a bout with James J. Braddock in Chicago.",African American Athletes,United States,Illinois,1901-2000
1937,"In October, Katherine Dunham forms the Negro Dance Group, a company of black artists dedicated to presenting aspects of African American and African-Caribbean Dance. The company eventually becomes the Katherine Dunham Group.",Art and Literature,United States,Illinois,1901-2000
1937,"Hugh Morris Gloster founds the College Language Association (CLA) in Atlanta, Georgia.",Black Education,United States,Georgia,1901-2000
1938,"On June 22, Joe Louis beats Max Schmeling in a rematch of his 1936 defeat by the German boxer.",African American Athletes,United States,New York,1901-2000
1938,Jacob Lawrence holds his first solo exhibition at the Harlem YMCA and completes his Toussaint L'Overture series.,Art and Literature,United States,New York,1901-2000
1938,In November Crystal Bird Fauset of Philadelphia becomes the first African American woman elected to a state legislature when she is chosen to serve in the Pennsylvania House of Representatives.,Black Politics,United States,Pennsylvania,1901-2000
1938,"On December 12, the U.S. Supreme Court in Missouri ex rel. Gaines v. Canadarules that a state that provides in-state education for whites must provide comparable in-state education for blacks.",Major Judicial Decisions,United States,Missouri,1901-2000
1939,"Popular contralto Marian Anderson sings at Lincoln Memorial before 75,000 people on Easter Sunday after the Daughters of the American Revolution refuse to allow her to perform at Constitution Hall.",Art and Literature,United States,District of Columbia,1901-2000
1939,Bill Bojangles Robinson organizes the Black Actors Guild.,Black Hollywood,United States,New York,1901-2000
1939,World War II begins in Europe on September 1 when Germany invades Poland,African Americans in World War II,United States,n. a.,1901-2000
1939,Jane M. Bolin becomes the first African American woman judge in the United States when she is appointed to the domestic relations court of New York City.,Judicial Appointments,United States,New York,1901-2000
1940,"Census of 1940, U.S. population 131,669,275, Black population: 12,865,518 (9.8 percent)",Black Population,United States,District of Columbia.,1901-2000
1940,"On February 29, Hattie McDaniel receives an Oscar for Best Supporting Actress in her role in Gone With the Wind. She becomes the first black actor to win an academy award.",Black Hollywood,United States,California,1901-2000
1940,"Richard Wright publishes his first novel, Native Son.",Art and Literature,United States,New York,1901-2000
1940,"Dr. Charles R. Drew presents his thesis, Banked Blood at Columbia-Presbyterian Medical Center in New York. The thesis includes his research which discovers that plasma can replace whole blood transfusions.",Exploration and Discovery,United States,New York,1901-2000
1940,"In October, Benjamin Oliver Davis, Sr., is named the first African American general in the regular army.",African Americans and the Military,United States,District of Columbia,1901-2000
1940,The NAACP Legal Defense Fund is established in New York City.,Black Organizations,United States,New York,1901-2000
1941,Mary Lucinda Dawson founds the National Negro Opera Company in Pittsburgh.,Art and Literature,United States,Pennsylvania,1901-2000
1941,The U.S. Army creates the Tuskegee Air Squadron who will soon be known as the Tuskegee Airmen.,African Americans and the Military,United States,Alabama,1901-2000
1941,"On June 25, President Franklin Roosevelt issues Executive Order 8802, desegregating war production plants and creating the Fair Employment Practices Committee (FEPC).",African Americans in World War II,United States,District of Columbia,1901-2000
1941,"On December 8, the United States enters World War II following the attack on Pearl Harbor. Dorris ""Dorie"" Miller is later awarded the Navy Cross for his heroism during that battle.",African Americans in World War II,United States,Hawaii,1901-2000
1941-1945,The desperate need for factory labor to build the war machine needed to win World War II leads to an unprecedented migration of African Americans from the South to the North and West. This migration transforms American politics as blacks increasingly vote in their new homes and put pressure on Congress to protect civil rights throughout the nation. Their activism lays much of the foundation for the national Civil Rights Movement a decade later.,African Americans in World War II,United States,n. a.,1901-2000
1942,"While teaching at Livingstone College in North Carolina, Margaret Walker publishes For My People, which she began as her master's thesis at the University of Iowa.",Art and Literature,United States,North Carolina,1901-2000
1942,"The Congress of Racial Equality (CORE) is founded in Chicago by James Farmer, Jr., George Houser, Bernice Fisher, James Russell Robinson, Joe Guinn, and Homer Jack.",Black Organizations,United States,Illinois,1901-2000
1942,"The U.S. Marine Corps accepts African American men for the first time at a segregated training facility at Camp Montford Point, North Carolina.  They will be known as the Montford Point Marines.",African Americans and the Military,United States,North Carolina,1901-2000
1942,Charity Adams Earley becomes the first black woman commissioned officer in the Womens Army Auxiliary Corps (WAACs) while serving at Fort Des Moines.,African Americans and the Military,United States,Iowa,1901-2000
1942,Hugh Mulzac becomes the first African American captain in the American Merchant Marine.,African Americans in World War II,United States,New York,1901-2000
1943,The Naval Academy at Annapolis and other naval officer schools accept African American men for the first time.,African Americans and the Military,United States,Maryland,1901-2000
1943,"The Detroit Race Riot, June 20-21, claims 34 lives including 25 African Americans. Other riots occur in Harlem, Mobile, Alabama, and Beaumont, Texas.",Racial Violence,United States,Michigan,1901-2000
1943,"The first black cadets graduate from the Army Flight School at Tuskegee Institute, Alabama.",African Americans and the Military,United States,Alabama,1901-2000
1943,"By summer, fourteen thousand African American soldiers of the 93rd Infantry Division and the 32nd and 33rd companies of the Womens Army Auxiliary Corps(approximately 300 women) are stationed in the Arizona desert at Fort Huachuca for training. They are the largest concentration of black military personnel in the history of the nation.",African Americans and the Military,United States,Arizona,1901-2000
1943,"Two American Navy Destroyer ships, the USS Mason, and the submarine chaser, PC1264, are staffed entirely by African American crews.",African Americans and the Military,United States,n. a.,1901-2000
1943,The black 99th Pursuit Squadron (Tuskegee Airmen) flies its first combat mission in Italy.,African Americans and the Military,United States,Alabama,1901-2000
1944,"On April 3, the U.S. Supreme Court in Smith v. Allwright declares white only political primaries unconstitutional.",Major Judicial Decisions,United States,District of Columbia,1901-2000
1944,Frederick Douglass Patterson establishes the United Negro College Fund on April 25 to help support black colleges and black students. The fund is incorporated in New York.,Black Organizations,United States,New York,1901-2000
1944,"Rev. Adam Clayton Powell, pastor of the Abyssinian Baptist Church in New York, is elected to Congress from Harlem in November.",Black Politics,United States,New York,1901-2000
1944,Swedish Nobel Prize winner Gunnar Myrdal publishes An American Dilemma: The Negro Problem and Modern Democracy after being commissioned in 1938 by the Carnegie Corporation to study African American issues.,Segregated America,United States,n. a.,1901-2000
1945,"President Franklin Delano Roosevelt dies in Warm Springs, Georgia, on April 12.",African Americans in World War II,United States,Georgia,1901-2000
1945,The United Nations is founded in San Francisco on April 25.,African Americans in World War II,United States,California,1901-2000
1945,"On May 8, Germany surrenders on Victory in Europe (VE) day.",African Americans in World War II,United States,n. a.,1901-2000
1945,"Colonel Benjamin O. Davis, Jr. is named commander of Goodman Field, Kentucky. He is the first African American to command a military base.",African Americans and the Military,United States,Kentucky,1901-2000
1945,Japan surrenders on Victory over Japan (VJ) day ending World War II on September 2. By the end of the war one million African American men and women have served in the U.S. military.,African Americans in World War II,United States,n. a.,1901-2000
1945,Nat King Cole becomes the first African American to have a radio variety show. The show airs on NBC.,African Americans and the Media,United States,New York,1901-2000
1945,"Ebony magazine, created by Chicago-based Johnson Publishing Company, published its first issue on November 1.",The Black Press,United States,Illinois,1901-2000
1946,Dr. Charles S. Johnson becomes the first African American president of Fisk University in Nashville.,Black Education,United States,Tennessee,1901-2000
1946,The U.S. Supreme Court in Morgan v. Virginia rules that segregation in interstate bus travel is unconstitutional.,Major Judicial Decisions,United States,District of Columbia,1901-2000
1946,"Charles Spurgeon Johnson, President of Fisk University in Nashville, becomes the first African American President of the Southern Sociological Society.",Black Education,United States,Tennessee,1901-2000
1946,"Channing H. Tobias is the first African American to head the Phelps-Stokes Fund, a philanthropic organization that supports black education.",Black Education,United States,District of Columbia,1901-2000
1947,"On April 10, Jackie Robinson of the Brooklyn Dodgers becomes the first African American to play major league baseball in the 20th Century.",African American Athletes,United States,New York,1901-2000
1947,"The NAACP petition on racism, An Appeal to the World, is presented to the United Nations.",The Civil Rights Movement,United States,New York,1901-2000
1947,John Hope Franklin's From Slavery to Freedom is published. The work will become the most popular textbook on African American history published in the 20th Century.,Black Education,United States,New York,1901-2000
1948,"On July 26, President Harry Truman issues Executive Order 9981 directing the desegregation of the armed forces.",African Americans and the Military,United States,District of Columbia,1901-2000
1948,Alice Coachman becomes the first African American woman to win an Olympic Gold Medal. She wins the high jump competition in the London Olympics.,African American Athletes,United States,n. a.,1901-2000
1948,"On October 1, the California Supreme Court voids the law banning interracial marriages in the state.",Major Judicial Decisions,United States,California,1901-2000
1948,"On May 3, the U.S. Supreme Court rules in Shelley v. Kraemer that state and local governments cannot enforce racially restrictive housing covenants.",housing segregation,United States,District of Columbia,1901-2000
1948,"Timmie Rogers, comedian, dancer, and singer, launches the first all-black variety show, Sugar Hill Times, on CBS Television.",Radio and Television,United States,New York,1901-2000
1948,E. Franklin Frazier of Howard University becomes the first African American President of the American Sociological Association.,Black Education,United States,District of Columbia,1901-2000
1949,In June Wesley Brown becomes the first African American to graduate from the Naval Academy at Annapolis.,African Americans and the Military,United States,Maryland,1901-2000
1949,"Businessman Jesse Blayton, Sr., establishes WERD-AM, the first black owned radio station. It begins broadcasting in Atlanta on October 3.",African Americans and the Media,United States,Georgia,1901-2000
1949,William A. Hinton is the first black professor at the Harvard University Medical School.,Black Education,United States,Massachusetts,1901-2000
1950,"U.S. Census, U.S. population: 150,697,361, Black population: 15,044,937 (10 percent)",Black Population,United States,District of Columbia,1901-2000
1950,"On May 1, Gwendolyn Brooks of Chicago becomes the first African American to receive a Pulitzer Prize. She wins the prize in Poetry.",Art and Literature,United States,New York,1901-2000
1950,"Chuck Cooper, Nathaniel Clifton, and Earl Lloyd become the first African Americans to play professional basketball in the modern National Basketball Association (NBA). Cooper played for the Boston Celtics; Clifton played for the New York Knicks, and Lloyd played for the Washington Capitols.",African American Athletes,United States,n.a.,1901-2000
1950,"Juanita Hall became the first African American to win a Tony award. She was honored for her role in the Broadway play, South Pacific.",Black Entertainment,United States,New York,1901-2000
1951,"On May 24, the U.S. Supreme Court rules racial segregation in District of Columbia restaurants is unconstitutional.",Major Judicial Decisions,United States,District of Columbia,1901-2000
1951,"On May 24, a mob of 3,500 whites attempt to prevent a black family from moving into a Cicero, Illinois apartment. Illinois Governor Adlai Stevenson calls out the Illinois National Guard to protect the family and restore order.",Racial Violence,United States,Illinois,1901-2000
1951,"Harry T. Moore, a Florida NAACP official, is killed by a bomb in Mims, Florida, on December 25.",Political Assassinations,United States,Florida,1901-2000
1951,"Johnson Publishing Company publishes the first issue of Jet, a weekly news magazine for an African American audience.",Black Publications,United States,Illinois,1901-2000
1952,Tuskegee Institute reported no lynchings in the United States for the first time in 71 years of tabulation.,Racial Violence,United States,Alabama,1901-2000
1952,"Col. Benjamin O. Davis, Jr. is appointed commander of the 51st Fighter Interceptor Wing in Korea.",African Americans and the Military,United States,n. a.,1901-2000
1952,Ralph Ellison publishes Invisible Man.,Art and Literature,United States,New York,1901-2000
1953,"On June 19, Baton Rouge, Louisiana African Americans begin a boycott of their city's segregated municipal bus line.",The Civil Rights Movement,United States,Louisiana,1901-2000
1953,"On December 31, Hulan Jack becomes the first African American borough president of Manhattan. At the time he is the highest ranking black elected official in the nation.",Black Politics,United States,New York,1901-2000
1953,"James Baldwin publishes his first novel, the semi-autobiographical Go Tell It On The Mountain.",Art and Literature,United States,New York,1901-2000
