tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1975-028,2442513.83,1975-04-11,1975,Kosmos 11K65M,,Tsiklon-B,,SU,O,state
1975-029,2442517.25,1975-04-14,1975,Molniya 8K78M,,Molniya-3 No. 12,,SU,O,state
1975-030,2442518.83,1975-04-16,1975,Soyuz-U,,Zenit-4MK,,SU,O,state
1975-031,2442520.92,1975-04-18,1975,Voskhod 11A57,,Zenit-2M,,SU,O,state
1975-033,2442521.83,1975-04-19,1975,Kosmos 11K65M,,ISS,,SU,O,state
1975-034,2442525.38,1975-04-22,1975,Kosmos 11K65M,,Zaliv,,SU,O,state
1975-035,2442526.84,1975-04-24,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-036,2442531.93,1975-04-29,1975,Molniya 8K78M,,Molniya-1,,SU,O,state
1975-041,2442553.79,1975-05-21,1975,Voskhod 11A57,,Zenit-2M,,SU,O,state
1975-044,2442557.12,1975-05-24,1975,Soyuz 11A511,,Soyuz 7K-T No. 40,,SU,O,state
1975-045,2442560.52,1975-05-28,1975,Kosmos 11K65M,,Strela-1M,,SU,O,state
1975-046,2442560.81,1975-05-28,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-047,2442562.78,1975-05-30,1975,Voskhod 11A57,,Gektor-Priroda,,SU,O,state
1975-048,2442567.06,1975-06-03,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-049,2442568.57,1975-06-05,1975,Molniya 8K78M,,Molniya-1 No. 24,,SU,O,state
1975-050,2442571.61,1975-06-08,1975,Proton-K/D,,4V-1 No. 660,,SU,O,state
1975-053,2442576.02,1975-06-12,1975,Soyuz-U,,Zenit-4MK,,SU,O,state
1975-054,2442577.63,1975-06-14,1975,Proton-K/D,,4V-1 No. 661,,SU,O,state
1975-056,2442583.79,1975-06-20,1975,Vostok 8A92M,,Tselina-D,,SU,O,state
1975-058,2442588,1975-06-24,1975,Kosmos 11K63,,DS-P1-Yu No. 76,,SU,O,state
1975-059,2442589.04,1975-06-25,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-060,2442591.04,1975-06-27,1975,Voskhod 11A57,,Zenit-2M,,SU,O,state
1975-061,2442597.07,1975-07-03,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-062,2442597.54,1975-07-04,1975,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1975-063,2442601.71,1975-07-08,1975,Molniya 8K78M,,Molniya-2,,SU,O,state
1975-064,2442604.68,1975-07-11,1975,Vostok 8A92M,,Meteor-2 No. 1,,SU,O,state
1975-065,2442609.01,1975-07-15,1975,Soyuz-U,,Soyuz 7K-TM No. 75,,SU,O,state
1975-067,2442610.88,1975-07-17,1975,Kosmos 11K63,,DS-P1-I No. 15,,SU,O,state
1975-068,2442617.04,1975-07-23,1975,Voskhod 11A57,,Zenit-2M,,SU,O,state
1975-069,2442618.29,1975-07-24,1975,Kosmos 11K65M,,Vektor,,SU,O,state
1975-071,2442625.04,1975-07-31,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-073,2442637.81,1975-08-13,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-074,2442639.06,1975-08-14,1975,Kosmos 11K65M,,Tsiklon-B,,SU,O,state
1975-076,2442646.59,1975-08-22,1975,Vostok 8A92M,,Tselina-D,,SU,O,state
1975-078,2442652.11,1975-08-27,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-079,2442658.05,1975-09-02,1975,Molniya 8K78M,,Molniya-1,,SU,O,state
1975-080,2442661.12,1975-09-05,1975,Soyuz-U,,Yantar'-2K No. 3,,SU,O,state
1975-081,2442664.51,1975-09-09,1975,Molniya 8K78M,,Molniya-2,,SU,O,state
1975-084,2442667.73,1975-09-12,1975,Soyuz-U,,Zenit-4MT,,SU,O,state
1975-085,2442671.88,1975-09-16,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-086,2442672.8,1975-09-17,1975,Kosmos 11K65M,,Strela-1M,,SU,O,state
1975-087,2442673.51,1975-09-18,1975,Vostok 8A92M,,Meteor-M  No. 28,,SU,O,state
1975-088,2442678.92,1975-09-23,1975,Voskhod 11A57,,Zenit-2M,,SU,O,state
1975-089,2442680,1975-09-24,1975,Kosmos 11K65M,,Geoid,,SU,O,state
1975-090,2442680.91,1975-09-25,1975,Soyuz-U,,Fram,,SU,O,state
1975-093,2442684.68,1975-09-29,1975,Soyuz-U,,Soyuz 7K-S No. 2L,,SU,O,state
1975-094,2442686.28,1975-09-30,1975,Kosmos 11K65M,,Strela-2M,,SU,O,state
1975-095,2442686.85,1975-10-01,1975,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1975-097,2442693.52,1975-10-08,1975,Proton-K/DM,,Oko?,,SU,O,state
1976-100,2443066.24,1976-10-14,1976,Soyuz 11A511,,Soyuz 7K-T(A9) No. 65,,SU,O,state
1976-001,2442783.7,1976-01-06,1976,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1976-002,2442785.15,1976-01-07,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-102,2443067.46,1976-10-15,1976,Vostok 8A92M,,Meteor No. 35,,SU,O,state
1976-103,2443069.25,1976-10-17,1976,Tsiklon-2,,US-A reactor,,SU,O,state
1976-104,2443073.2,1976-10-21,1976,Tsiklon-2,,US-A reactor,,SU,O,state
1976-005,2442798.21,1976-01-20,1976,Kosmos 11K65M,,Tsiklon-B,,SU,O,state
1976-105,2443073.88,1976-10-22,1976,Molniya 8K78M,,Oko,,SU,O,state
1976-006,2442799.98,1976-01-22,1976,Molniya 8K78M,,Molniya-1 11F658 No. 40,,SU,O,state
1976-106,2443077.1,1976-10-25,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-007,2442800.43,1976-01-22,1976,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1976-107,2443078.12,1976-10-26,1976,Proton-K/DM,,Ekran No. 11L,,SU,O,state
1976-008,2442805.94,1976-01-28,1976,Kosmos 11K65M,,Strela-1M,,SU,O,state
1976-108,2443081.03,1976-10-29,1976,Kosmos 11K65M,,Parus,,SU,O,state
1976-009,2442806.85,1976-01-29,1976,Voskhod 11A57,,Zenit-2M,,SU,O,state
1976-109,2443083.97,1976-11-01,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-110,2443093.95,1976-11-11,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-011,2442811.84,1976-02-03,1976,Kosmos 11K65M,,Zaliv,,SU,O,state
1976-111,2443106.19,1976-11-23,1976,Soyuz-U,,Zenit-6,,SU,O,state
1976-012,2442814.1,1976-02-05,1976,Kosmos 11K63,,DS-P1-I No. 16,,SU,O,state
1976-112,2443107.67,1976-11-25,1976,Molniya 8K78M,SOL,SO-M No. 505,,SU,O,state
1976-013,2442819.87,1976-02-11,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-113,2443109.1,1976-11-26,1976,Tsiklon-2,,US-P,,SU,O,state
1976-014,2442821.04,1976-02-12,1976,Kosmos 11K65M,,Lira,,SU,O,state
1976-114,2443112.17,1976-11-29,1976,Soyuz-U,,Soyuz 7K-S No. 3L,,SU,O,state
1976-015,2442824.85,1976-02-16,1976,Tsiklon-2,,IS,,SU,O,state
1976-115,2443114.51,1976-12-02,1976,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1976-116,2443114.61,1976-12-02,1976,Molniya 8K78M,,Molniya-2,,SU,O,state
1976-018,2442829.08,1976-02-20,1976,Soyuz-U,,Yantar'-2K No. 4,,SU,O,state
1976-118,2443119.93,1976-12-07,1976,Kosmos 11K65M,,Strela-1M,,SU,O,state
1976-119,2443121.92,1976-12-09,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-020,2442847.83,1976-03-10,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-120,2443122.33,1976-12-09,1976,Kosmos 11K65M,,Lira,,SU,O,state
1976-021,2442849.32,1976-03-11,1976,Molniya 8K78M,,Molniya-1,,SU,O,state
1976-121,2443127.56,1976-12-15,1976,Proton-K,,TKS VA No. 009A/1,,SU,O,state
1976-022,2442850.06,1976-03-12,1976,Kosmos 11K65M,,Vektor,,SU,O,state
1976-122,2443128.08,1976-12-15,1976,Kosmos 11K65M,,Tsikada,,SU,O,state
1976-123,2443129.9,1976-12-17,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-024,2442854.22,1976-03-16,1976,Vostok 8A92M,,Tselina-D,,SU,O,state
1976-124,2443130,1976-12-17,1976,Kosmos 11K65M,,Romb 2,,SU,O,state
1976-025,2442855.89,1976-03-18,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-026,2442857.31,1976-03-19,1976,Molniya 8K78M,,Molniya-1 11F658 No. 42,,SU,O,state
1976-126,2443140,1976-12-27,1976,Tsiklon-2,,IS,,SU,O,state
1976-127,2443140.78,1976-12-28,1976,Molniya 8K78M,,Molniya-3 No. 17,,SU,O,state
1976-028,2442864.12,1976-03-26,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-128,2443140.83,1976-12-28,1976,Kosmos 11K65M,,Parus,,SU,O,state
1976-030,2442869.03,1976-03-31,1976,Soyuz 11A511M,,Orion,,SU,O,state
1976-031,2442874.68,1976-04-06,1976,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1976-032,2442876.05,1976-04-07,1976,Vostok 8A92M,,Meteor No. 37,,SU,O,state
1976-033,2442877.85,1976-04-09,1976,Voskhod 11A57,,Zenit-2M,,SU,O,state
1976-034,2442882.22,1976-04-13,1976,Tsiklon-2,,IS,,SU,O,state
1976-036,2442896.9,1976-04-28,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-037,2442897.06,1976-04-28,1976,Kosmos 11K65M,,Romb 1,,SU,O,state
1976-040,2442903.83,1976-05-05,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-041,2442911.25,1976-05-12,1976,Molniya 8K78M,,Molniya-3 No. 16,,SU,O,state
1976-043,2442914.06,1976-05-15,1976,Vostok 8A92M,,Meteor-Priroda No. 2-1,,SU,O,state
1976-044,2442916.96,1976-05-18,1976,Kosmos 11K63,,DS-P1-Yu No. 78,,SU,O,state
1976-045,2442918.88,1976-05-20,1976,Voskhod 11A57,,Zenit-2M,,SU,O,state
1976-046,2442919.79,1976-05-21,1976,Soyuz-U,,Fram,,SU,O,state
1976-048,2442924.88,1976-05-26,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-049,2442927.13,1976-05-28,1976,Kosmos 11K65M,,Vektor,,SU,O,state
1976-051,2442932.44,1976-06-02,1976,Kosmos 11K65M,,Zaliv,,SU,O,state
1976-052,2442937.79,1976-06-08,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-054,2442945.05,1976-06-15,1976,Kosmos 11K65M,,Strela-1M,,SU,O,state
1976-055,2442946.05,1976-06-16,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-056,2442949.17,1976-06-19,1976,Kosmos 11K65M,,AUOS-Z-T-IK,,SU,O,state
1976-057,2442952.25,1976-06-22,1976,Proton-K,,Almaz OPS 3,,SU,O,state
1976-058,2442953.8,1976-06-24,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-060,2442958.81,1976-06-29,1976,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1976-061,2442958.84,1976-06-29,1976,Kosmos 11K65M,,Strela-2M,,SU,O,state
1976-062,2442960.84,1976-07-01,1976,Molniya 8K78M,,Molniya-2,,SU,O,state
1976-063,2442961.94,1976-07-02,1976,Tsiklon-2,,US-P,,SU,O,state
1976-064,2442966.01,1976-07-06,1976,Soyuz 11A511,,Soyuz 7K-T No. 41,,SU,O,state
1976-067,2442968.38,1976-07-08,1976,Kosmos 11K65M,,Lira,,SU,O,state
1976-068,2442973.88,1976-07-14,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-069,2442975.05,1976-07-15,1976,Kosmos 11K65M,,Strela-2M,,SU,O,state
1976-070,2442980.93,1976-07-21,1976,Kosmos 11K65M,,Geoid,,SU,O,state
1976-071,2442981.13,1976-07-21,1976,Tsiklon-2,,IS,,SU,O,state
1976-072,2442982.15,1976-07-22,1976,Soyuz-U,,Yantar'-2K No. 5,,SU,O,state
1976-074,2442983.16,1976-07-23,1976,Molniya 8K78M,,Molniya-1 11F658 No. 43,,SU,O,state
1976-075,2442986.72,1976-07-27,1976,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1976-076,2442987,1976-07-27,1976,Kosmos 11K65M,,DS-U3-IK No. 6?,,SU,O,state
1976-078,2442989.34,1976-07-29,1976,Kosmos 11K65M,,Zaliv,,SU,O,state
1976-079,2442995.07,1976-08-04,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-081,2443000.13,1976-08-09,1976,Proton-K/D-1,,E-8-5M No. 413,,SU,O,state
1976-082,2443003.06,1976-08-12,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-083,2443008.9,1976-08-18,1976,Kosmos 11K63,,DS-P1-I No. 17,,SU,O,state
1976-084,2443016.96,1976-08-26,1976,Kosmos 11K63,,DS-P1-Yu No. 79,,SU,O,state
1976-085,2443018.11,1976-08-27,1976,Vostok 8A92M,,Tselina-D,,SU,O,state
1976-086,2443018.88,1976-08-28,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-088,2443022.64,1976-09-01,1976,Molniya 8K78M,,Molniya-2,,SU,O,state
1976-090,2443024.89,1976-09-03,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-092,2443033.27,1976-09-11,1976,Proton-K/DM,,Gran' No. 12L,,SU,O,state
1976-093,2443036.91,1976-09-15,1976,Soyuz-U,,Soyuz 7K-TM No. 74,,SU,O,state
1976-095,2443042.99,1976-09-21,1976,Soyuz-U,,Orion,,SU,O,state
1976-096,2443043.9,1976-09-22,1976,Soyuz-U,,Zenit-2M,,SU,O,state
1976-097,2443046.12,1976-09-24,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1976-098,2443050.79,1976-09-29,1976,Kosmos 11K65M,,Strela-2M,,SU,O,state
1976-099,2443061.9,1976-10-10,1976,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-100,2443428.13,1977-10-11,1977,Soyuz-U,,Zenit-6,,SU,O,state
1977-001,2443149.9,1977-01-06,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-101,2443437.92,1977-10-21,1977,Kosmos 11K65M,,Lira,,SU,O,state
1977-002,2443150.47,1977-01-06,1977,Vostok 8A92M,,Meteor-2 No. 2,,SU,O,state
1977-003,2443163.85,1977-01-20,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-103,2443441.73,1977-10-25,1977,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1977-004,2443164.34,1977-01-20,1977,Kosmos 11K65M,,Zaliv,,SU,O,state
1977-104,2443442.72,1977-10-26,1977,Tsiklon-2,,IS,,SU,O,state
1977-105,2443444.57,1977-10-28,1977,Molniya 8K78M,,Molniya-3 No. 18,,SU,O,state
1977-006,2443177.02,1977-02-02,1977,Kosmos 11K65M,,Vektor,,SU,O,state
1977-107,2443445.17,1977-10-28,1977,Kosmos 11K65M,,Zaliv,,SU,O,state
1977-008,2443182.17,1977-02-07,1977,Soyuz-U,,Soyuz 7K-T(A9) No. 66,,SU,O,state
1977-009,2443183.98,1977-02-09,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-109,2443472.1,1977-11-24,1977,Kosmos 11K65M,,Geoid,,SU,O,state
1977-010,2443186.12,1977-02-11,1977,Molniya 8K78M,,Molniya-2,,SU,O,state
1977-110,2443482,1977-12-04,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-011,2443189.96,1977-02-15,1977,Kosmos 11K65M,,GVM DS-U2-IK,,SU,O,state
1977-111,2443485.96,1977-12-08,1977,Kosmos 11K65M,,Romb 4,,SU,O,state
1977-013,2443196.22,1977-02-21,1977,Kosmos 11K65M,,Parus,,SU,O,state
1977-113,2443487.55,1977-12-10,1977,Soyuz-U,,Soyuz 7K-T No. 43,,SU,O,state
1977-015,2443201.39,1977-02-26,1977,Vostok 8A92M,,Tselina-D,,SU,O,state
1977-115,2443489.9,1977-12-12,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-016,2443205.94,1977-03-03,1977,Soyuz-U,,Zenit-6,,SU,O,state
1977-116,2443491.16,1977-12-13,1977,Kosmos 11K65M,,Lira,,SU,O,state
1977-017,2443212.96,1977-03-10,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-117,2443491.9,1977-12-14,1977,Vostok 8A92M,,Meteor-2 No. 3,,SU,O,state
1977-119,2443493.68,1977-12-16,1977,Kosmos 11K65M,,Strela-2M,,SU,O,state
1977-020,2443219.85,1977-03-17,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-120,2443498.16,1977-12-20,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-021,2443226.99,1977-03-24,1977,Molniya 8K78M,,Molniya-1,,SU,O,state
1977-121,2443498.94,1977-12-21,1977,Tsiklon-2,,IS,,SU,O,state
1977-022,2443227.42,1977-03-24,1977,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1977-122,2443501.18,1977-12-23,1977,Kosmos 11K65M,,Parus,,SU,O,state
1977-023,2443232.46,1977-03-29,1977,Kosmos 11K65M,,AUOS-Z-R-O Oval,,SU,O,state
1977-123,2443504.83,1977-12-27,1977,Tsiklon-3,,EPN No. 03.0380?,,SU,O,state
1977-024,2443238.59,1977-04-05,1977,Vostok 8A92M,,Meteor-M  No. 39,,SU,O,state
1977-124,2443504.89,1977-12-27,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-025,2443238.94,1977-04-05,1977,Kosmos 11K63,,DS-P1-I No. 18,,SU,O,state
1977-026,2443240.87,1977-04-07,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-027,2443244.57,1977-04-11,1977,Molniya 8K78M,,Oko,,SU,O,state
1977-028,2443253.88,1977-04-20,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-030,2443260.11,1977-04-26,1977,Soyuz-U,,Yantar'-2K No. 6,,SU,O,state
1977-031,2443260.65,1977-04-27,1977,Kosmos 11K65M,,ER763-4,,SU,O,state
1977-032,2443261.88,1977-04-28,1977,Molniya 8K78M,,Molniya-3 No. 19,,SU,O,state
1977-033,2443269.08,1977-05-05,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-035,2443280.92,1977-05-17,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-036,2443283.19,1977-05-19,1977,Kosmos 11K65M,,Lira,,SU,O,state
1977-037,2443287.01,1977-05-23,1977,Tsiklon-2,,IS,,SU,O,state
1977-039,2443288.96,1977-05-25,1977,Kosmos 11K65M,,Geoid,,SU,O,state
1977-040,2443289.79,1977-05-26,1977,Soyuz-U,,Fram,,SU,O,state
1977-042,2443294.44,1977-05-30,1977,Kosmos 11K65M,,Romb 3,,SU,O,state
1977-043,2443294.81,1977-05-31,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-045,2443303.08,1977-06-08,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-046,2443304.83,1977-06-10,1977,Soyuz-U,,Orion,,SU,O,state
1977-047,2443310.58,1977-06-16,1977,Molniya 8K78M,,Oko,,SU,O,state
1977-049,2443311.65,1977-06-17,1977,Kosmos 11K65M,,Signe 3,,SU,O,state
1977-050,2443311.81,1977-06-17,1977,Tsiklon-2,,IS,,SU,O,state
1977-051,2443312.94,1977-06-18,1977,Kosmos 11K63,,DS-P1-I No. 19,,SU,O,state
1977-052,2443316.83,1977-06-22,1977,Soyuz-U,,Zenit-4MK,,SU,O,state
1977-054,2443318.74,1977-06-24,1977,Molniya 8K78M,,Molniya-1 11F658 No. 45,,SU,O,state
1977-055,2443318.94,1977-06-24,1977,Tsiklon-3,,EPN No. 03.0380?,,SU,O,state
1977-057,2443324.27,1977-06-29,1977,Vostok 8A92M,,Meteor-Priroda No. 2-2,,SU,O,state
1977-058,2443325.08,1977-06-30,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-059,2443325.99,1977-07-01,1977,Kosmos 11K65M,,Strela-2M,,SU,O,state
1977-060,2443329.43,1977-07-04,1977,Kosmos 11K65M,,Tselina-OK,,SU,O,state
1977-061,2443331.81,1977-07-07,1977,Vostok 8A92M,,Tselina-D,,SU,O,state
1977-062,2443333.23,1977-07-08,1977,Kosmos 11K65M,,Tsikada,,SU,O,state
1977-063,2443336.88,1977-07-12,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-064,2443337.71,1977-07-13,1977,Kosmos 11K65M,,Parus,,SU,O,state
1977-066,2443341.88,1977-07-17,1977,Proton-K,,TKS No. 16101,,SU,O,state
1977-067,2443343.86,1977-07-19,1977,Kosmos 11K65M,,Vektor,,SU,O,state
1977-068,2443344.7,1977-07-20,1977,Molniya 8K78M,,Oko,,SU,O,state
1977-069,2443344.82,1977-07-20,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-070,2443346.92,1977-07-22,1977,Kosmos 11K65M,,Vektor,,SU,O,state
1977-071,2443348.39,1977-07-23,1977,Proton-K/DM,,Gran' No. 13L,,SU,O,state
1977-072,2443352.25,1977-07-27,1977,Soyuz-U,,Zenit-6,,SU,O,state
1977-073,2443353.83,1977-07-29,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-074,2443359.08,1977-08-03,1977,Soyuz-U,,Bion No. 4,,SU,O,state
1977-077,2443379.8,1977-08-24,1977,Tsiklon-2,,US-P,,SU,O,state
1977-078,2443380.1,1977-08-24,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-079,2443380.26,1977-08-24,1977,Kosmos 11K65M,,Strela-1M,,SU,O,state
1977-081,2443382.92,1977-08-27,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-082,2443386.25,1977-08-30,1977,Molniya 8K78M,,Molniya-1,,SU,O,state
1977-083,2443388.88,1977-09-02,1977,Soyuz-U,,Fram,,SU,O,state
1977-085,2443393.23,1977-09-06,1977,Soyuz-U,,Yantar'-2K No. 7,,SU,O,state
1977-086,2443400.13,1977-09-13,1977,Soyuz-U,,Zenit-2M,,SU,O,state
1977-087,2443400.33,1977-09-13,1977,Kosmos 11K65M,,Parus,,SU,O,state
1977-088,2443403.1,1977-09-16,1977,Tsiklon-2,,US-A reactor,,SU,O,state
1977-089,2443403.1,1977-09-16,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-090,2443405.08,1977-09-18,1977,Tsiklon-2,,US-A,,SU,O,state
1977-091,2443406.54,1977-09-20,1977,Vostok 8A92M,,Tselina-D,,SU,O,state
1977-092,2443407.23,1977-09-20,1977,Proton-K/DM,,Ekran No. 12L,,SU,O,state
1977-093,2443408.54,1977-09-22,1977,Molniya 8K78M,SOL,SO-M No. 506,,SU,O,state
1977-095,2443410.93,1977-09-24,1977,Tsiklon-3,,EPN No. 03.0380?,,SU,O,state
1977-096,2443411.19,1977-09-24,1977,Kosmos 11K65M,,AUOS-Z-R-IK,,SU,O,state
1977-097,2443415.78,1977-09-29,1977,Proton-K,,DOS 5,,SU,O,state
1977-098,2443416.91,1977-09-30,1977,Soyuz-U,,Zenit-4MKM,,SU,O,state
1977-099,2443425.61,1977-10-09,1977,Soyuz-U,,Soyuz 7K-T No. 42,,SU,O,state
1978-100,2443807.79,1978-10-26,1978,Tsiklon-3,,Meteor-2 GVM,,SU,O,state
1978-001,2443515.16,1978-01-06,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-101,2443811.72,1978-10-30,1978,Molniya 8K78M,SOL,SO-M No. 507,,SU,O,state
1978-102,2443814,1978-11-01,1978,Soyuz-U,,Orion,,SU,O,state
1978-003,2443519.02,1978-01-10,1978,Soyuz-U,,Soyuz 7K-T No. 44,,SU,O,state
1978-004,2443519.06,1978-01-10,1978,Vostok 8A92M,,Tselina-D,,SU,O,state
1978-104,2443827.99,1978-11-15,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-005,2443519.37,1978-01-10,1978,Kosmos 11K65M,,Strela-1M,,SU,O,state
1978-105,2443829.41,1978-11-16,1978,Kosmos 11K65M,,Strela-2M,,SU,O,state
1978-006,2443522.14,1978-01-13,1978,Soyuz-U,,Zenit-2M,,SU,O,state
1978-007,2443525.64,1978-01-17,1978,Kosmos 11K65M,,Parus,,SU,O,state
1978-107,2443834,1978-11-21,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-008,2443528.85,1978-01-20,1978,Soyuz-U,,Progress 7K-TG No. 102,,SU,O,state
1978-108,2443841.18,1978-11-28,1978,Soyuz-U,,Zenit-6,,SU,O,state
1978-009,2443532.79,1978-01-24,1978,Molniya 8K78M,,Molniya-3 No. 20,,SU,O,state
1978-109,2443848.26,1978-12-05,1978,Kosmos 11K65M,,Strela-1M,,SU,O,state
1978-010,2443532.91,1978-01-24,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-110,2443850.15,1978-12-07,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-111,2443850.9,1978-12-08,1978,Soyuz-U,,Zenit-2M,,SU,O,state
1978-013,2443540.12,1978-01-31,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-114,2443857.14,1978-12-14,1978,Soyuz-U,,Zenit-2M,,SU,O,state
1978-015,2443548.01,1978-02-08,1978,Soyuz-U,,Orion,,SU,O,state
1978-115,2443858.05,1978-12-15,1978,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1978-017,2443553.9,1978-02-14,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-117,2443861.57,1978-12-19,1978,Vostok 8A92M,,Tselina-D,,SU,O,state
1978-118,2443862.01,1978-12-19,1978,Proton-K/DM,,Gorizont No. 11L,,SU,O,state
1978-019,2443557.19,1978-02-17,1978,Kosmos 11K65M,,Strela-2M,,SU,O,state
1978-119,2443863.36,1978-12-20,1978,Kosmos 11K65M,,Parus,,SU,O,state
1978-120,2443865.42,1978-12-22,1978,Kosmos 11K65M,,Romb 5,,SU,O,state
1978-121,2443865.86,1978-12-23,1978,Vostok 8A92M,,Astrofizika 11F653 No. 1,,SU,O,state
1978-022,2443567.78,1978-02-28,1978,Kosmos 11K65M,,Parus,,SU,O,state
1978-122,2443869.06,1978-12-26,1978,Kosmos 11K65M,,Geoid,,SU,O,state
1978-023,2443570.14,1978-03-02,1978,Soyuz-U,,Soyuz 7K-T No. 45,,SU,O,state
1978-123,2443869.15,1978-12-26,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-024,2443570.42,1978-03-02,1978,Molniya 8K78M,,Molniya-1,,SU,O,state
1978-124,2443871.19,1978-12-28,1978,Soyuz-U,,Orion,,SU,O,state
1978-025,2443571.82,1978-03-04,1978,Soyuz-U,,Zenit-2M,,SU,O,state
1978-027,2443577.95,1978-03-10,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-028,2443583.16,1978-03-15,1978,Kosmos 11K65M,,Zaliv,,SU,O,state
1978-030,2443584.95,1978-03-17,1978,Soyuz-U,,Zenit-2M,,SU,O,state
1978-031,2443595.56,1978-03-28,1978,Kosmos 11K65M,,Parus,,SU,O,state
1978-032,2443597.5,1978-03-30,1978,Proton-K,,TKS VA No. 009A/P2,,SU,O,state
1978-033,2443597.83,1978-03-30,1978,Soyuz-U,,Zenit-4MKM,,SU,O,state
1978-034,2443599.08,1978-03-31,1978,Kosmos 11K65M,,Tsikada,,SU,O,state
1978-036,2443603.12,1978-04-04,1978,Soyuz-U,,Soyuz 7K-ST No. 4L,,SU,O,state
