year,state,pop
1960,MO,4326000
1961,MO,4349000
1962,MO,4357000
1963,MO,4392000
1964,MO,4442000
1965,MO,4467000
1966,MO,4523000
1967,MO,4539000
1968,MO,4568000
1969,MO,4640000
1970,MO,4677623
1971,MO,4725764
1972,MO,4758780
1973,MO,4782645
1974,MO,4795930
1975,MO,4808308
1976,MO,4839029
1977,MO,4863173
1978,MO,4889399
1979,MO,4912430
1980,MO,4921966
1981,MO,4932064
1982,MO,4929451
1983,MO,4943733
1984,MO,4975278
1985,MO,5000268
1986,MO,5023068
1987,MO,5056696
1988,MO,5081736
1989,MO,5095830
1990,MO,5126370
1991,MO,5157770
1992,MO,5193686
1993,MO,5237757
1994,MO,5281206
1995,MO,5324610
1996,MO,5367888
1997,MO,5407113
1998,MO,5437562
1999,MO,5468338
2000,MO,5607285
2001,MO,5641142
2002,MO,5674825
2003,MO,5709403
2004,MO,5747741
2005,MO,5790300
2006,MO,5842704
2007,MO,5887612
2008,MO,5923916
2009,MO,5961088
2010,MO,5996085
2011,MO,6010544
2012,MO,6025281
2013,MO,6044917
2014,MO,6063589
2015,MO,6083672
1900,MT,245000
1901,MT,261000
1902,MT,270000
1903,MT,282000
1904,MT,293000
1905,MT,305000
1906,MT,322000
1907,MT,332000
1908,MT,346000
1909,MT,363000
1910,MT,380000
1911,MT,397000
1912,MT,414000
1913,MT,433000
1914,MT,452000
1915,MT,469000
1916,MT,487000
1917,MT,505000
1918,MT,501000
1919,MT,534000
1920,MT,543000
1921,MT,546000
1922,MT,543000
1923,MT,538000
1924,MT,538000
1925,MT,535000
1926,MT,531000
1927,MT,527000
1928,MT,541000
1929,MT,524000
1930,MT,539000
1931,MT,540000
1932,MT,540000
1933,MT,541000
1934,MT,545000
1935,MT,550000
1936,MT,554000
1937,MT,554000
1938,MT,552000
1939,MT,555000
1940,MT,558000
1941,MT,543000
1942,MT,518000
1943,MT,485000
1944,MT,469000
1945,MT,477000
1946,MT,514000
1947,MT,531000
1948,MT,542000
1949,MT,569000
1950,MT,593000
1951,MT,596000
1952,MT,602000
1953,MT,616000
1954,MT,624000
1955,MT,636000
1956,MT,656000
1957,MT,667000
1958,MT,666000
1959,MT,669000
1960,MT,679000
1961,MT,696000
1962,MT,698000
1963,MT,703000
1964,MT,706000
1965,MT,706000
1966,MT,707000
1967,MT,701000
1968,MT,700000
1969,MT,694000
1970,MT,694409
1971,MT,710814
1972,MT,718732
1973,MT,726798
1974,MT,736419
1975,MT,748208
1976,MT,757317
1977,MT,769953
1978,MT,782317
1979,MT,787305
1980,MT,788752
1981,MT,795328
1982,MT,803986
1983,MT,814031
1984,MT,820905
1985,MT,822320
1986,MT,813739
1987,MT,805063
1988,MT,800202
1989,MT,799636
1990,MT,799824
1991,MT,807837
1992,MT,822436
1993,MT,839876
1994,MT,854923
1995,MT,868522
1996,MT,876656
1997,MT,878706
1998,MT,879533
1999,MT,882779
2000,MT,903773
2001,MT,906961
2002,MT,911667
2003,MT,919630
2004,MT,930009
2005,MT,940102
2006,MT,952692
2007,MT,964706
2008,MT,976415
2009,MT,983982
2010,MT,990575
2011,MT,997661
2012,MT,1005163
2013,MT,1014864
2014,MT,1023579
2015,MT,1032949
1900,NE,1067000
1901,NE,1078000
1902,NE,1089000
1903,NE,1104000
1904,NE,1119000
1905,NE,1129000
1906,NE,1138000
1907,NE,1149000
1908,NE,1161000
1909,NE,1177000
1910,NE,1198000
1911,NE,1216000
1912,NE,1232000
1913,NE,1246000
1914,NE,1264000
1915,NE,1272000
1916,NE,1275000
1917,NE,1285000
1918,NE,1266000
1919,NE,1290000
1920,NE,1300000
1921,NE,1309000
1922,NE,1312000
1923,NE,1321000
1924,NE,1333000
1925,NE,1343000
1926,NE,1353000
1927,NE,1365000
1928,NE,1371000
1929,NE,1375000
1930,NE,1380000
1931,NE,1384000
1932,NE,1386000
1933,NE,1385000
1934,NE,1382000
1935,NE,1375000
1936,NE,1358000
1937,NE,1339000
1938,NE,1326000
1939,NE,1318000
1940,NE,1316000
1941,NE,1272000
1942,NE,1239000
1943,NE,1241000
1944,NE,1216000
1945,NE,1211000
1946,NE,1256000
1947,NE,1265000
1948,NE,1265000
1949,NE,1302000
1950,NE,1327000
1951,NE,1316000
1952,NE,1311000
1953,NE,1318000
1954,NE,1340000
1955,NE,1374000
1956,NE,1397000
1957,NE,1394000
1958,NE,1383000
1959,NE,1397000
1960,NE,1417000
1961,NE,1446000
1962,NE,1464000
1963,NE,1476000
1964,NE,1482000
1965,NE,1471000
1966,NE,1456000
1967,NE,1457000
1968,NE,1467000
1969,NE,1474000
1970,NE,1485333
1971,NE,1504604
1972,NE,1519013
1973,NE,1529567
1974,NE,1539191
1975,NE,1543117
1976,NE,1550911
1977,NE,1556842
1978,NE,1563884
1979,NE,1567344
1980,NE,1572296
1981,NE,1578515
1982,NE,1581780
1983,NE,1584293
1984,NE,1588639
1985,NE,1584664
1986,NE,1574333
1987,NE,1566547
1988,NE,1571477
1989,NE,1574864
1990,NE,1580664
1991,NE,1590805
1992,NE,1602406
1993,NE,1612149
1994,NE,1621551
1995,NE,1635142
1996,NE,1647657
1997,NE,1656042
1998,NE,1660772
1999,NE,1666028
2000,NE,1713820
2001,NE,1719836
2002,NE,1728292
2003,NE,1738643
2004,NE,1749370
2005,NE,1761497
2006,NE,1772693
2007,NE,1783440
2008,NE,1796378
2009,NE,1812683
2010,NE,1829865
2011,NE,1842232
2012,NE,1855487
2013,NE,1868969
2014,NE,1881503
2015,NE,1896190
1900,NV,43000
1901,NV,45000
1902,NV,49000
1903,NV,52000
1904,NV,56000
1905,NV,59000
1906,NV,64000
1907,NV,68000
1908,NV,73000
1909,NV,78000
1910,NV,82000
1911,NV,81000
1912,NV,81000
1913,NV,82000
1914,NV,83000
1915,NV,82000
1916,NV,82000
1917,NV,81000
1918,NV,77000
1919,NV,77000
1920,NV,78000
1921,NV,80000
1922,NV,81000
1923,NV,82000
1924,NV,84000
1925,NV,85000
1926,NV,87000
1927,NV,88000
1928,NV,89000
1929,NV,90000
1930,NV,92000
1931,NV,94000
1932,NV,96000
1933,NV,96000
1934,NV,98000
1935,NV,100000
1936,NV,101000
1937,NV,103000
1938,NV,105000
1939,NV,107000
1940,NV,113000
1941,NV,120000
1942,NV,137000
1943,NV,151000
1944,NV,153000
1945,NV,149000
1946,NV,143000
1947,NV,149000
1948,NV,156000
1949,NV,157000
1950,NV,162000
1951,NV,168000
1952,NV,181000
1953,NV,195000
1954,NV,213000
1955,NV,237000
1956,NV,250000
1957,NV,260000
1958,NV,269000
1959,NV,279000
1960,NV,291000
1961,NV,315000
1962,NV,352000
1963,NV,397000
1964,NV,426000
1965,NV,444000
1966,NV,446000
1967,NV,449000
1968,NV,464000
1969,NV,480000
1970,NV,488738
1971,NV,520018
1972,NV,546789
1973,NV,568991
1974,NV,596822
1975,NV,619972
1976,NV,646975
1977,NV,678333
1978,NV,719436
1979,NV,765367
1980,NV,810215
1981,NV,847655
1982,NV,881537
1983,NV,901977
1984,NV,924922
1985,NV,951030
1986,NV,980613
1987,NV,1023376
1988,NV,1075022
1989,NV,1137382
1990,NV,1218629
1991,NV,1285046
1992,NV,1330694
1993,NV,1380197
1994,NV,1456388
1995,NV,1525777
1996,NV,1596476
1997,NV,1675581
1998,NV,1743772
1999,NV,1809253
2000,NV,2018741
2001,NV,2098399
2002,NV,2173791
2003,NV,2248850
2004,NV,2346222
2005,NV,2432143
2006,NV,2522658
2007,NV,2601072
2008,NV,2653630
2009,NV,2684665
2010,NV,2703493
2011,NV,2718586
2012,NV,2755245
2013,NV,2791494
2014,NV,2839099
2015,NV,2890845
1900,NH,412000
1901,NH,412000
1902,NH,409000
1903,NH,394000
1904,NH,407000
1905,NH,423000
1906,NH,415000
1907,NH,423000
1908,NH,428000
1909,NH,431000
1910,NH,431000
1911,NH,432000
1912,NH,434000
1913,NH,439000
1914,NH,442000
1915,NH,443000
1916,NH,445000
1917,NH,447000
1918,NH,440000
1919,NH,443000
1920,NH,444000
1921,NH,449000
1922,NH,451000
1923,NH,453000
1924,NH,457000
1925,NH,459000
1926,NH,463000
1927,NH,466000
1928,NH,468000
1929,NH,467000
1930,NH,466000
1931,NH,470000
1932,NH,474000
1933,NH,477000
1934,NH,480000
1935,NH,481000
1936,NH,481000
1937,NH,481000
1938,NH,485000
1939,NH,490000
1940,NH,492000
1941,NH,490000
1942,NH,481000
1943,NH,462000
1944,NH,456000
1945,NH,459000
1946,NH,494000
1947,NH,507000
1948,NH,520000
1949,NH,533000
1950,NH,532000
1951,NH,529000
1952,NH,535000
1953,NH,547000
1954,NH,554000
1955,NH,557000
1956,NH,566000
1957,NH,572000
1958,NH,581000
1959,NH,596000
1960,NH,609000
1961,NH,618000
1962,NH,632000
1963,NH,649000
1964,NH,663000
1965,NH,676000
1966,NH,681000
1967,NH,697000
1968,NH,709000
1969,NH,724000
1970,NH,737681
1971,NH,761851
1972,NH,781107
1973,NH,800951
1974,NH,815914
1975,NH,828555
1976,NH,845248
1977,NH,869763
1978,NH,891520
1979,NH,909074
1980,NH,924250
1981,NH,936621
1982,NH,947719
1983,NH,958134
1984,NH,976864
1985,NH,996753
1986,NH,1025053
1987,NH,1054289
1988,NH,1082577
1989,NH,1104522
1990,NH,1111831
1991,NH,1107055
1992,NH,1112766
1993,NH,1122191
1994,NH,1133054
1995,NH,1145604
1996,NH,1160768
1997,NH,1173239
1998,NH,1185823
1999,NH,1201134
2000,NH,1239882
2001,NH,1255517
2002,NH,1269089
2003,NH,1279840
2004,NH,1290121
2005,NH,1298492
2006,NH,1308389
2007,NH,1312540
2008,NH,1315906
2009,NH,1316102
2010,NH,1316517
2011,NH,1318109
2012,NH,1321297
2013,NH,1322616
2014,NH,1326813
2015,NH,1330608
1900,NJ,1884000
1901,NJ,1889000
1902,NJ,1917000
1903,NJ,1969000
1904,NJ,2050000
1905,NJ,2151000
1906,NJ,2239000
1907,NJ,2314000
1908,NJ,2403000
1909,NJ,2487000
1910,NJ,2550000
1911,NJ,2610000
1912,NJ,2670000
1913,NJ,2729000
1914,NJ,2789000
1915,NJ,2850000
1916,NJ,2918000
1917,NJ,2976000
1918,NJ,3043000
1919,NJ,3136000
1920,NJ,3198000
1921,NJ,3297000
1922,NJ,3380000
1923,NJ,3472000
1924,NJ,3573000
1925,NJ,3664000
1926,NJ,3758000
1927,NJ,3891000
1928,NJ,3968000
1929,NJ,3989000
1930,NJ,4068000
1931,NJ,4120000
1932,NJ,4120000
1933,NJ,4107000
1934,NJ,4089000
1935,NJ,4085000
1936,NJ,4084000
1937,NJ,4088000
1938,NJ,4100000
1939,NJ,4129000
1940,NJ,4175000
1941,NJ,4254000
1942,NJ,4297000
1943,NJ,4226000
1944,NJ,4158000
1945,NJ,4108000
1946,NJ,4492000
1947,NJ,4618000
1948,NJ,4774000
1949,NJ,4889000
1950,NJ,4872000
1951,NJ,5006000
1952,NJ,5125000
1953,NJ,5229000
1954,NJ,5360000
1955,NJ,5502000
1956,NJ,5615000
1957,NJ,5737000
1958,NJ,5890000
1959,NJ,6015000
1960,NJ,6103000
1961,NJ,6265000
1962,NJ,6376000
1963,NJ,6531000
1964,NJ,6660000
1965,NJ,6767000
1966,NJ,6851000
1967,NJ,6928000
1968,NJ,7005000
1969,NJ,7095000
1970,NJ,7171112
1971,NJ,7281107
1972,NJ,7335042
1973,NJ,7333083
1974,NJ,7332411
1975,NJ,7337765
1976,NJ,7339745
1977,NJ,7337169
1978,NJ,7350804
1979,NJ,7366512
1980,NJ,7376330
1981,NJ,7407472
1982,NJ,7430968
1983,NJ,7467785
1984,NJ,7515473
1985,NJ,7565528
1986,NJ,7622159
1987,NJ,7670742
1988,NJ,7712333
1989,NJ,7726089
1990,NJ,7757158
1991,NJ,7784269
1992,NJ,7827770
1993,NJ,7874891
1994,NJ,7918796
1995,NJ,7965523
1996,NJ,8009624
1997,NJ,8054178
1998,NJ,8095542
1999,NJ,8143412
2000,NJ,8430621
2001,NJ,8492671
2002,NJ,8552643
2003,NJ,8601402
2004,NJ,8634561
2005,NJ,8651974
2006,NJ,8661679
2007,NJ,8677885
2008,NJ,8711090
2009,NJ,8755602
2010,NJ,8803580
2011,NJ,8842614
2012,NJ,8876000
2013,NJ,8911502
2014,NJ,8938175
2015,NJ,8958013
1900,NM,196000
1901,NM,206000
1902,NM,218000
1903,NM,229000
1904,NM,242000
1905,NM,255000
1906,NM,269000
1907,NM,283000
1908,NM,298000
1909,NM,314000
1910,NM,329000
1911,NM,334000
1912,NM,338000
1913,NM,344000
1914,NM,348000
1915,NM,351000
1916,NM,354000
1917,NM,361000
1918,NM,382000
1919,NM,362000
1920,NM,363000
1921,NM,370000
1922,NM,375000
1923,NM,382000
1924,NM,390000
1925,NM,396000
1926,NM,403000
1927,NM,410000
1928,NM,416000
1929,NM,420000
1930,NM,427000
1931,NM,436000
1932,NM,441000
1933,NM,449000
1934,NM,461000
1935,NM,475000
1936,NM,489000
1937,NM,503000
1938,NM,513000
1939,NM,523000
1940,NM,531000
1941,NM,506000
1942,NM,502000
1943,NM,534000
1944,NM,527000
1945,NM,537000
1946,NM,561000
1947,NM,582000
1948,NM,604000
1949,NM,644000
1950,NM,689000
1951,NM,717000
1952,NM,735000
1953,NM,756000
1954,NM,763000
1955,NM,785000
1956,NM,806000
1957,NM,847000
1958,NM,886000
1959,NM,919000
1960,NM,954000
1961,NM,965000
1962,NM,979000
1963,NM,989000
1964,NM,1006000
1965,NM,1012000
1966,NM,1007000
1967,NM,1000000
1968,NM,994000
1969,NM,1011000
1970,NM,1017055
1971,NM,1053737
1972,NM,1078697
1973,NM,1105529
1974,NM,1131309
1975,NM,1159944
1976,NM,1189295
1977,NM,1215720
1978,NM,1238034
1979,NM,1284722
1980,NM,1309400
1981,NM,1332748
1982,NM,1363823
1983,NM,1394361
1984,NM,1416717
1985,NM,1438361
1986,NM,1462729
1987,NM,1478520
1988,NM,1490337
1989,NM,1503901
1990,NM,1519933
1991,NM,1547115
1992,NM,1580750
1993,NM,1614937
1994,NM,1653329
1995,NM,1682417
1996,NM,1706151
1997,NM,1722939
1998,NM,1733535
1999,NM,1739844
2000,NM,1821204
2001,NM,1831690
2002,NM,1855309
2003,NM,1877574
2004,NM,1903808
2005,NM,1932274
2006,NM,1962137
2007,NM,1990070
2008,NM,2010662
2009,NM,2036802
2010,NM,2064950
2011,NM,2078407
2012,NM,2084594
2013,NM,2086895
2014,NM,2085572
2015,NM,2085109
1900,NY,7283000
1901,NY,7449000
1902,NY,7612000
1903,NY,7771000
1904,NY,7927000
1905,NY,8084000
1906,NY,8289000
1907,NY,8499000
1908,NY,8714000
1909,NY,8935000
1910,NY,9137000
1911,NY,9249000
1912,NY,9361000
1913,NY,9473000
1914,NY,9585000
1915,NY,9700000
1916,NY,9848000
1917,NY,9993000
1918,NY,9936000
1919,NY,10252000
1920,NY,10282000
1921,NY,10416000
1922,NY,10589000
1923,NY,10752000
1924,NY,10953000
1925,NY,11186000
1926,NY,11257000
1927,NY,11174000
1928,NY,11599000
1929,NY,12171000
1930,NY,12647000
1931,NY,12848000
1932,NY,13001000
1933,NY,13126000
1934,NY,13253000
1935,NY,13375000
1936,NY,13481000
1937,NY,13511000
1938,NY,13512000
1939,NY,13523000
1940,NY,13456000
1941,NY,13267000
1942,NY,13002000
1943,NY,12807000
1944,NY,12628000
1945,NY,12495000
1946,NY,13398000
1947,NY,13982000
1948,NY,14497000
1949,NY,14892000
1950,NY,14865000
1951,NY,14890000
1952,NY,15192000
1953,NY,15527000
1954,NY,15814000
1955,NY,15966000
1956,NY,16112000
1957,NY,16374000
1958,NY,16601000
1959,NY,16685000
1960,NY,16838000
1961,NY,17061000
1962,NY,17301000
1963,NY,17461000
1964,NY,17589000
1965,NY,17734000
1966,NY,17843000
1967,NY,17935000
1968,NY,18051000
1969,NY,18105000
1970,NY,18241391
1971,NY,18357982
1972,NY,18339400
1973,NY,18177063
1974,NY,18049775
1975,NY,18003485
1976,NY,17940541
1977,NY,17812602
1978,NY,17680589
1979,NY,17583838
1980,NY,17566754
1981,NY,17567734
1982,NY,17589738
1983,NY,17686905
1984,NY,17745684
1985,NY,17791672
1986,NY,17833419
1987,NY,17868848
1988,NY,17941309
1989,NY,17983086
1990,NY,18002855
1991,NY,18029532
1992,NY,18082032
1993,NY,18140894
1994,NY,18156652
1995,NY,18150928
1996,NY,18143805
1997,NY,18143184
1998,NY,18159175
1999,NY,18196601
2000,NY,19001780
2001,NY,19082838
2002,NY,19137800
2003,NY,19175939
2004,NY,19171567
2005,NY,19132610
2006,NY,19104631
2007,NY,19132335
2008,NY,19212436
2009,NY,19307066
2010,NY,19400867
2011,NY,19521745
2012,NY,19607140
2013,NY,19695680
2014,NY,19746227
2015,NY,19795791
1900,NC,1897000
1901,NC,1926000
1902,NC,1956000
1903,NC,1986000
1904,NC,2017000
1905,NC,2051000
1906,NC,2077000
1907,NC,2105000
1908,NC,2142000
1909,NC,2174000
1910,NC,2221000
1911,NC,2276000
1912,NC,2313000
1913,NC,2362000
1914,NC,2421000
1915,NC,2473000
1916,NC,2513000
1917,NC,2546000
1918,NC,2522000
1919,NC,2535000
1920,NC,2588000
1921,NC,2651000
1922,NC,2700000
1923,NC,2761000
1924,NC,2830000
1925,NC,2895000
1926,NC,2959000
1927,NC,3027000
1928,NC,3082000
1929,NC,3133000
1930,NC,3167000
1931,NC,3184000
1932,NC,3227000
1933,NC,3268000
1934,NC,3304000
1935,NC,3323000
1936,NC,3346000
1937,NC,3385000
1938,NC,3440000
1939,NC,3514000
1940,NC,3574000
1941,NC,3589000
1942,NC,3569000
1943,NC,3654000
1944,NC,3560000
1945,NC,3533000
1946,NC,3706000
1947,NC,3769000
1948,NC,3837000
1949,NC,3911000
1950,NC,4068000
1951,NC,4120000
1952,NC,4109000
1953,NC,4120000
1954,NC,4131000
1955,NC,4242000
1956,NC,4309000
1957,NC,4368000
1958,NC,4376000
1959,NC,4458000
1960,NC,4573000
1961,NC,4663000
1962,NC,4707000
1963,NC,4742000
1964,NC,4802000
1965,NC,4863000
1966,NC,4896000
1967,NC,4952000
1968,NC,5004000
1969,NC,5031000
1970,NC,5084411
1971,NC,5203531
1972,NC,5301150
1973,NC,5389852
1974,NC,5470911
1975,NC,5547188
1976,NC,5607964
1977,NC,5685607
1978,NC,5759492
1979,NC,5823491
1980,NC,5898980
1981,NC,5956653
1982,NC,6019101
1983,NC,6077056
1984,NC,6164006
1985,NC,6253954
1986,NC,6321578
1987,NC,6403700
1988,NC,6480594
1989,NC,6565459
1990,NC,6656987
1991,NC,6748135
1992,NC,6831850
1993,NC,6947412
1994,NC,7060959
1995,NC,7185403
1996,NC,7307658
1997,NC,7428672
1998,NC,7545828
1999,NC,7650789
2000,NC,8081614
2001,NC,8210122
2002,NC,8326201
2003,NC,8422501
2004,NC,8553152
2005,NC,8705407
2006,NC,8917270
2007,NC,9118037
2008,NC,9309449
2009,NC,9449566
2010,NC,9559488
2011,NC,9651502
2012,NC,9748181
2013,NC,9848917
2014,NC,9943964
2015,NC,10042802
1900,ND,321000
1901,ND,346000
1902,ND,371000
1903,ND,396000
1904,ND,421000
1905,ND,446000
1906,ND,474000
1907,ND,501000
1908,ND,528000
1909,ND,555000
1910,ND,580000
1911,ND,584000
1912,ND,603000
1913,ND,609000
1914,ND,620000
1915,ND,641000
1916,ND,652000
1917,ND,661000
1918,ND,636000
1919,ND,648000
1920,ND,646000
1921,ND,646000
1922,ND,647000
1923,ND,648000
1924,ND,642000
1925,ND,643000
1926,ND,651000
1927,ND,657000
1928,ND,665000
1929,ND,674000
1930,ND,682000
1931,ND,680000
1932,ND,676000
1933,ND,674000
1934,ND,672000
1935,ND,670000
1936,ND,664000
1937,ND,655000
1938,ND,647000
1939,ND,644000
1940,ND,640000
1941,ND,615000
1942,ND,583000
1943,ND,546000
1944,ND,534000
1945,ND,546000
1946,ND,570000
1947,ND,578000
1948,ND,580000
1949,ND,597000
1950,ND,619000
1951,ND,604000
1952,ND,608000
1953,ND,609000
1954,ND,611000
1955,ND,615000
1956,ND,613000
1957,ND,612000
1958,ND,606000
1959,ND,618000
1960,ND,634000
1961,ND,641000
1962,ND,637000
1963,ND,644000
1964,ND,649000
1965,ND,649000
1966,ND,647000
1967,ND,626000
1968,ND,621000
1969,ND,621000
1970,ND,617792
1971,ND,626760
1972,ND,631119
1973,ND,632675
1974,ND,634559
1975,ND,638886
1976,ND,645797
1977,ND,649769
1978,ND,651301
1979,ND,652896
1980,ND,654380
1981,ND,659505
1982,ND,668972
1983,ND,676688
1984,ND,680497
1985,ND,676980
1986,ND,669512
1987,ND,661136
1988,ND,655331
1989,ND,646351
1990,ND,637364
1991,ND,634199
1992,ND,635427
1993,ND,637229
1994,ND,639762
1995,ND,641548
1996,ND,642858
1997,ND,640945
1998,ND,637808
1999,ND,633666
2000,ND,642023
2001,ND,639062
2002,ND,638168
2003,ND,638817
2004,ND,644705
2005,ND,646089
2006,ND,649422
2007,ND,652822
2008,ND,657569
2009,ND,664968
2010,ND,674345
2011,ND,685242
2012,ND,701705
2013,ND,723857
2014,ND,739482
2015,ND,756927
1900,OH,4161000
1901,OH,4216000
1902,OH,4322000
1903,OH,4386000
1904,OH,4458000
1905,OH,4530000
1906,OH,4587000
1907,OH,4630000
1908,OH,4677000
1909,OH,4701000
1910,OH,4786000
1911,OH,4821000
1912,OH,4893000
1913,OH,4997000
1914,OH,5109000
1915,OH,5251000
1916,OH,5366000
1917,OH,5510000
1918,OH,5547000
1919,OH,5683000
1920,OH,5799000
1921,OH,5921000
1922,OH,6054000
1923,OH,6183000
1924,OH,6319000
1925,OH,6434000
1926,OH,6504000
1927,OH,6577000
1928,OH,6608000
1929,OH,6626000
1930,OH,6662000
1931,OH,6694000
1932,OH,6717000
1933,OH,6740000
1934,OH,6751000
1935,OH,6787000
1936,OH,6801000
1937,OH,6809000
1938,OH,6837000
1939,OH,6886000
1940,OH,6929000
1941,OH,6958000
1942,OH,6969000
1943,OH,6868000
1944,OH,6918000
1945,OH,6916000
1946,OH,7512000
1947,OH,7705000
1948,OH,7876000
1949,OH,7973000
1950,OH,7980000
1951,OH,8061000
1952,OH,8275000
1953,OH,8591000
1954,OH,8873000
1955,OH,9017000
1956,OH,9207000
1957,OH,9410000
1958,OH,9599000
1959,OH,9671000
1960,OH,9734000
1961,OH,9854000
1962,OH,9929000
1963,OH,9986000
1964,OH,10080000
1965,OH,10201000
1966,OH,10330000
1967,OH,10414000
1968,OH,10516000
1969,OH,10563000
1970,OH,10657423
1971,OH,10734818
1972,OH,10746993
1973,OH,10767314
1974,OH,10765759
1975,OH,10770425
1976,OH,10752662
1977,OH,10771394
1978,OH,10795581
1979,OH,10798298
1980,OH,10800650
1981,OH,10788330
1982,OH,10757087
1983,OH,10737632
1984,OH,10737746
1985,OH,10734926
1986,OH,10730268
1987,OH,10760090
1988,OH,10798552
1989,OH,10829217
1990,OH,10861837
1991,OH,10933683
1992,OH,11007609
1993,OH,11070385
1994,OH,11111451
1995,OH,11155493
1996,OH,11187032
1997,OH,11212498
1998,OH,11237752
1999,OH,11256654
2000,OH,11363543
2001,OH,11387404
2002,OH,11407889
2003,OH,11434788
2004,OH,11452251
2005,OH,11463320
2006,OH,11481213
2007,OH,11500468
2008,OH,11515391
2009,OH,11528896
2010,OH,11540070
2011,OH,11544757
2012,OH,11550901
2013,OH,11572005
2014,OH,11594163
2015,OH,11613423
1900,OK,800000
1901,OK,916000
1902,OK,1027000
1903,OK,1118000
1904,OK,1200000
1905,OK,1277000
1906,OK,1349000
1907,OK,1414000
1908,OK,1498000
1909,OK,1585000
1910,OK,1671000
1911,OK,1714000
1912,OK,1737000
1913,OK,1777000
1914,OK,1824000
1915,OK,1860000
1916,OK,1907000
1917,OK,1960000
1918,OK,1969000
1919,OK,2003000
1920,OK,2055000
1921,OK,2108000
1922,OK,2140000
1923,OK,2159000
1924,OK,2179000
1925,OK,2216000
1926,OK,2256000
1927,OK,2306000
1928,OK,2344000
1929,OK,2372000
1930,OK,2401000
1931,OK,2403000
1932,OK,2394000
1933,OK,2392000
1934,OK,2391000
1935,OK,2386000
1936,OK,2365000
1937,OK,2334000
1938,OK,2324000
1939,OK,2333000
1940,OK,2325000
1941,OK,2262000
1942,OK,2215000
1943,OK,2205000
1944,OK,2043000
1945,OK,2028000
1946,OK,2128000
1947,OK,2133000
1948,OK,2089000
1949,OK,2105000
1950,OK,2229000
1951,OK,2210000
1952,OK,2219000
1953,OK,2182000
1954,OK,2209000
1955,OK,2250000
1956,OK,2273000
1957,OK,2282000
1958,OK,2267000
1959,OK,2289000
1960,OK,2336000
1961,OK,2380000
1962,OK,2427000
1963,OK,2439000
1964,OK,2446000
1965,OK,2440000
1966,OK,2454000
1967,OK,2489000
1968,OK,2503000
1969,OK,2535000
1970,OK,2559463
1971,OK,2618601
1972,OK,2658646
1973,OK,2695931
1974,OK,2734768
1975,OK,2774683
1976,OK,2826815
1977,OK,2870014
1978,OK,2917336
1979,OK,2975310
1980,OK,3040758
1981,OK,3096164
1982,OK,3206123
1983,OK,3290402
1984,OK,3285533
1985,OK,3271332
1986,OK,3252735
1987,OK,3210122
1988,OK,3167057
1989,OK,3150307
1990,OK,3147105
1991,OK,3166471
1992,OK,3204174
1993,OK,3228829
1994,OK,3246119
1995,OK,3265547
1996,OK,3289634
1997,OK,3314259
1998,OK,3339478
1999,OK,3358044
2000,OK,3454365
2001,OK,3467100
2002,OK,3489080
2003,OK,3504892
2004,OK,3525233
2005,OK,3548597
2006,OK,3594090
2007,OK,3634349
2008,OK,3668976
2009,OK,3717572
2010,OK,3759481
2011,OK,3786527
2012,OK,3817059
2013,OK,3853118
2014,OK,3878051
2015,OK,3911338
1900,OR,415000
1901,OR,434000
1902,OR,454000
1903,OR,479000
1904,OR,504000
1905,OR,530000
1906,OR,555000
1907,OR,580000
1908,OR,610000
1909,OR,643000
1910,OR,677000
1911,OR,692000
1912,OR,706000
1913,OR,722000
1914,OR,736000
1915,OR,745000
1916,OR,756000
1917,OR,763000
1918,OR,763000
1919,OR,774000
1920,OR,788000
1921,OR,798000
1922,OR,814000
1923,OR,833000
1924,OR,856000
1925,OR,883000
1926,OR,905000
1927,OR,925000
1928,OR,936000
1929,OR,947000
1930,OR,956000
1931,OR,966000
1932,OR,972000
1933,OR,978000
1934,OR,985000
1935,OR,1001000
1936,OR,1025000
1937,OR,1048000
1938,OR,1067000
1939,OR,1081000
1940,OR,1086000
1941,OR,1071000
1942,OR,1107000
1943,OR,1221000
1944,OR,1233000
1945,OR,1250000
1946,OR,1338000
1947,OR,1361000
1948,OR,1405000
1949,OR,1431000
1950,OR,1532000
1951,OR,1556000
1952,OR,1582000
1953,OR,1601000
1954,OR,1626000
1955,OR,1659000
1956,OR,1698000
1957,OR,1712000
1958,OR,1718000
1959,OR,1746000
1960,OR,1772000
1961,OR,1787000
1962,OR,1818000
1963,OR,1853000
1964,OR,1888000
1965,OR,1937000
1966,OR,1969000
1967,OR,1979000
1968,OR,2004000
1969,OR,2062000
1970,OR,2091533
1971,OR,2151022
1972,OR,2197297
1973,OR,2241932
1974,OR,2285013
1975,OR,2329661
1976,OR,2378262
1977,OR,2446673
1978,OR,2518298
1979,OR,2588012
1980,OR,2641218
1981,OR,2667982
1982,OR,2664922
1983,OR,2653066
1984,OR,2666588
1985,OR,2672652
1986,OR,2683528
1987,OR,2700991
1988,OR,2741297
1989,OR,2790575
1990,OR,2858547
1991,OR,2918745
1992,OR,2973934
1993,OR,3034490
1994,OR,3087142
1995,OR,3141421
1996,OR,3195087
1997,OR,3243254
1998,OR,3282055
1999,OR,3316154
2000,OR,3429708
2001,OR,3467937
2002,OR,3513424
2003,OR,3547376
2004,OR,3569463
2005,OR,3613202
