name,category,cr,size,type,descriptive_tags,alignment,ac,initiative,hp,hp_number,speed,speed_base_number,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,skills,resistances,vulnerabilities,immunities,gear,senses,languages,full_text
Brown Bear,Animals,1,Large,Beast,NA,Unaligned,11,1,22 (3d10 + 6),22,"Speed 40 ft., Climb 30 ft.",40,17,12,15,2,13,7,3,1,2,-4,1,-2,Perception +3,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Brown Bear
Large Beast, Unaligned
AC 11		                    Initiative +1 (11)
HP 22 (3d10 + 6)
Speed 40 ft., Climb 30 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 17 +3 +3         Dex 12 +1 +1         Con 15 +2 +2
Int 2 −4 −4          Wis 13 +1 +1         Cha 7 −2 −2
Skills Perception +3
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 1 (XP 200; PB +2)
Actions
Multiattack. The bear makes one Bite attack and one
Claw attack.
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3)
Piercing damage.
Claw. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4 + 3)
Slashing damage. If the target is a Large or smaller crea-
ture, it has the Prone condition."
Camel,Animals,0.125,Large,Beast,NA,Unaligned,10,-1,17 (2d10 + 6),17,Speed 50 ft.,50,15,8,17,2,11,5,2,-1,5,-4,0,-3,NA,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 10,None,"Camel
Large Beast, Unaligned
AC 10 		                    Initiative −1 (9)
HP 17 (2d10 + 6)
Speed 50 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 15 +2 +2         Dex 8 −1 −1          Con 17 +3 +5
Int 2 −4 −4          Wis 11 +0 +0         Cha 5 −3 −3
Senses Darkvision 60 ft.; Passive Perception 10
Languages None
CR 1/8 (XP 25; PB +2)
Actions
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2)
Bludgeoning damage."
Cat,Animals,0,Tiny,Beast,NA,Unaligned,12,2,2 (1d4),2,"Speed 40 ft., Climb 40 ft.",40,3,15,10,3,12,7,-4,4,0,-4,1,-2,"Perception +3, Stealth +4",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Cat
Tiny Beast, Unaligned
AC 12 		                   Initiative +2 (12)
HP 2 (1d4)
Speed 40 ft., Climb 40 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 3 −4 −4          Dex 15 +2 +4         Con 10 +0 +0
Int 3 −4 −4          Wis 12 +1 +1         Cha 7 −2 −2
Skills Perception +3, Stealth +4
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 0 (XP 10; PB +2)
Traits
Jumper. The cat’s jump distance is determined using its
Dexterity rather than its Strength.
Actions
Scratch. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Slash-
ing damage."
Constrictor Snake,Animals,0.25,Large,Beast,NA,Unaligned,13,2,13 (2d10 + 2),13,"Speed 30 ft., Swim 30 ft.",30,15,14,12,1,10,3,2,2,1,-5,0,-4,"Perception +2, Stealth +4",NA,NA,NA,NA,Blindsight 10 ft.; Passive Perception 12,None,"Constrictor Snake
Large Beast, Unaligned
AC 13 		                  Initiative +2 (12)
HP 13 (2d10 + 2)
Speed 30 ft., Swim 30 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 15 +2 +2         Dex 14 +2 +2         Con 12 +1 +1
Int 1 −5 −5          Wis 10 +0 +0         Cha 3 −4 −4
Skills Perception +2, Stealth +4
Senses Blindsight 10 ft.; Passive Perception 12
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2)
Piercing damage.
Constrict. Strength Saving Throw: DC 12, one Medium
or smaller creature the snake can see within 5 feet.
Failure: 7 (3d4) Bludgeoning damage, and the target has
the Grappled condition (escape DC 12)."
Crab,Animals,0,Tiny,Beast,NA,Unaligned,11,0,3 (1d4 + 1),3,"Speed 20 ft., Swim 20 ft.",20,6,11,12,1,8,2,-2,0,1,-5,-1,-4,Stealth +2,NA,NA,NA,NA,Blindsight 30 ft.; Passive Perception 9,None,"Crab
Tiny Beast, Unaligned
AC 11 		                  Initiative +0 (10)
HP 3 (1d4 + 1)
Speed 20 ft., Swim 20 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 6 −2 −2          Dex 11 +0 +0         Con 12 +1 +1
Int 1 −5 −5          Wis 8 −1 −1          Cha 2 −4 −4
Skills Stealth +2
Senses Blindsight 30 ft.; Passive Perception 9
Languages None
CR 0 (XP 10; PB +2)
Traits
Amphibious. The crab can breathe air and water.
Actions
Claw. Melee Attack Roll: +2, reach 5 ft. Hit: 1 Blud-
geoning damage."
Crocodile,Animals,0.5,Large,Beast,NA,Unaligned,12,0,13 (2d10 + 2),13,"Speed 20 ft., Swim 30 ft.",20,15,10,13,2,10,5,2,0,3,-4,0,-3,Stealth +2,NA,NA,NA,NA,Passive Perception 10,None,"Crocodile
Large Beast, Unaligned
AC 12 		                  Initiative +0 (10)
HP 13 (2d10 + 2)
Speed 20 ft., Swim 30 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 15 +2 +2         Dex 10 +0 +0         Con 13 +1 +3
Int 2 −4 −4          Wis 10 +0 +0         Cha 5 −3 −3
Skills Stealth +2
Senses Passive Perception 10
Languages None
CR 1/2 (XP 100; PB +2)
Traits
Hold Breath. The crocodile can hold its breath
for 1 hour.
Actions
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8
+ 2) Piercing damage. If the target is a Medium or
smaller creature, it has the Grappled condition (escape
DC 12). While Grappled, the target has the Restrained
condition."
Deer,Animals,0,Medium,Beast,NA,Unaligned,13,3,4 (1d8),4,Speed 50 ft.,50,11,16,11,2,14,5,0,3,0,-4,2,-3,Perception +4,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 14,None,"Deer
Medium Beast, Unaligned
AC 13 		                   Initiative +3 (13)
HP 4 (1d8)
Speed 50 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 11 +0 +0         Dex 16 +3 +3         Con 11 +0 +0
Int 2 −4 −4          Wis 14 +2 +2         Cha 5 −3 −3
Skills Perception +4
Senses Darkvision 60 ft.; Passive Perception 14
Languages None
CR 0 (XP 10; PB +2)
Traits
Agile. The deer doesn’t provoke an Opportunity Attack
when it moves out of an enemy’s reach.
Actions
Ram. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4)
Bludgeoning damage."
Dire Wolf,Animals,1,Large,Beast,NA,Unaligned,14,2,22 (3d10 + 6),22,Speed 50 ft.,50,17,15,15,3,12,7,3,2,2,-4,1,-2,"Perception +5, Stealth +4",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 15,None,"Dire Wolf
Large Beast, Unaligned
AC 14 		                   Initiative +2 (12)
HP 22 (3d10 + 6)
Speed 50 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 17 +3 +3         Dex 15 +2 +2         Con 15 +2 +2
Int 3 −4 −4          Wis 12 +1 +1         Cha 7 −2 −2
Skills Perception +5, Stealth +4
Senses Darkvision 60 ft.; Passive Perception 15
Languages None
CR 1 (XP 200; PB +2)
Traits
Pack Tactics. The wolf has Advantage on an attack roll
against a creature if at least one of the wolf’s allies is
within 5 feet of the creature and the ally doesn’t have
the Incapacitated condition.
Actions
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 8 (1d10 + 3)
Piercing damage. If the target is a Large or smaller crea-
ture, it has the Prone condition."
Draft Horse,Animals,0.25,Large,Beast,NA,Unaligned,10,0,15 (2d10 + 4),15,Speed 40 ft.,40,18,10,15,2,11,7,4,0,2,-4,0,-2,NA,NA,NA,NA,NA,Passive Perception 10,None,"Draft Horse
Large Beast, Unaligned
AC 10 		                   Initiative +0 (10)
HP 15 (2d10 + 4)
Speed 40 ft.
MOD SAVE
Str 18 +4 +4
MOD SAVE
Dex 10 +0 +0
MOD SAVE
Con 15 +2 +2
Int 2 −4 −4           Wis 11 +0 +0        Cha 7 −2 −2
Senses Passive Perception 10
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Hooves. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4
+ 4) Bludgeoning damage."
Eagle,Animals,0,Small,Beast,NA,Unaligned,12,2,4 (1d6 + 1),4,"Speed 10 ft., Fly 60 ft.",10,6,15,12,2,14,7,-2,2,1,-4,2,-2,Perception +6,NA,NA,NA,NA,Passive Perception 16,None,"Eagle
Small Beast, Unaligned
AC 12 		                   Initiative +2 (12)
HP 4 (1d6 + 1)
Speed 10 ft., Fly 60 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 6 −2 −2           Dex 15 +2 +2        Con 12 +1 +1
Int 2 −4 −4           Wis 14 +2 +2        Cha 7 −2 −2
Skills Perception +6
Senses Passive Perception 16
Languages None
CR 0 (XP 10; PB +2)
Actions
Talons. Melee Attack Roll: +4, reach 5 feet. Hit: 4 (1d4
+ 2) Slashing damage."
Elephant,Animals,4,Huge,Beast,NA,Unaligned,12,-1,76 (8d12 + 24),76,Speed 40 ft.,40,22,9,17,3,11,6,6,-1,3,-4,0,-2,NA,NA,NA,NA,NA,Passive Perception 10,None,"Elephant
Huge Beast, Unaligned
AC 12 		                   Initiative −1 (9)
HP 76 (8d12 + 24)
Speed 40 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 22 +6 +6          Dex 9 −1 −1         Con 17 +3 +3
Int 3 −4 −4           Wis 11 +0 +0        Cha 6 −2 −2
Senses Passive Perception 10
Languages None
CR 4 (XP 1,100; PB +2)
Actions
Multiattack. The elephant makes two Gore attacks.
Gore. Melee Attack Roll: +8, reach 5 ft. Hit: 15 (2d8
+ 6) Piercing damage. If the target is a Huge or smaller
creature and the elephant moved 20+ feet straight to-
ward it immediately before the hit, the target has the
Prone condition.
Bonus Actions
Trample. Dexterity Saving Throw: DC 16, one creature
within 5 feet that has the Prone condition. Failure: 17
(2d10 + 6) Bludgeoning damage. Success: Half damage."
Elk,Animals,0.25,Large,Beast,NA,Unaligned,10,0,11 (2d10),11,Speed 50 ft.,50,16,10,11,2,10,6,3,0,0,-4,0,-2,Perception +2,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 12,None,"Elk
Large Beast, Unaligned
AC 10 		                     Initiative +0 (10)
HP 11 (2d10)
Speed 50 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 16 +3 +3          Dex 10 +0 +0          Con 11 +0 +0
Int 2 −4 −4           Wis 10 +0 +0          Cha 6 −2 −2
Skills Perception +2
Senses Darkvision 60 ft.; Passive Perception 12
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Ram. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6
+ 3) Bludgeoning damage. If the target is a Large or
smaller creature and the elk moved 20+ feet straight
toward it immediately before the hit, the target takes an
extra 3 (1d6) Bludgeoning damage and has the Prone
condition."
Flying Snake,Animals,0.125,Tiny,Monstrosity,NA,Unaligned,14,2,5 (2d4),5,"Speed 30 ft., Fly 60 ft., Swim 30 ft.",30,4,15,11,2,12,5,-3,2,0,-4,1,-3,NA,NA,NA,NA,NA,Blindsight 10 ft.; Passive Perception 11,None,"Flying Snake
Tiny Monstrosity, Unaligned
AC 14 		                     Initiative +2 (12)
HP 5 (2d4)
Speed 30 ft., Fly 60 ft., Swim 30 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 4 −3 −3           Dex 15 +2 +2          Con 11 +0 +0
Int 2 −4 −4           Wis 12 +1 +1          Cha 5 −3 −3
Senses Blindsight 10 ft.; Passive Perception 11
Languages None
CR 1/8 (XP 25; PB +2)
Traits
Flyby. The snake doesn’t provoke an Opportunity At-
tack when it flies out of an enemy’s reach.
Actions
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Piercing
damage plus 5 (2d4) Poison damage."
Frog,Animals,0,Tiny,Beast,NA,Unaligned,11,1,1 (1d4 − 1),1,"Speed 20 ft., Swim 20 ft.",20,1,13,8,1,8,3,-5,1,-1,-5,-1,-4,"Perception +1, Stealth +3",NA,NA,NA,NA,Darkvision 30 ft.; Passive Perception 11,None,"Frog
Tiny Beast, Unaligned
AC 11 		                  Initiative +1 (11)
HP 1 (1d4 − 1)
Speed 20 ft., Swim 20 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 1 −5 −5           Dex 13 +1 +1          Con 8 −1 −1
Int 1 −5 −5           Wis 8 −1 −1           Cha 3 −4 −4
Skills Perception +1, Stealth +3
Senses Darkvision 30 ft.; Passive Perception 11
Languages None
CR 0 (XP 10; PB +2)
Traits
Amphibious. The frog can breathe air and water.
Standing Leap. The frog’s Long Jump is up to 10 feet
and its High Jump is up to 5 feet with or without a run-
ning start.
Actions
Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 1 Piercing
damage."
Giant Ape,Animals,7,Huge,Beast,NA,Unaligned,12,5,168 (16d12 + 64),168,"Speed 40 ft., Climb 40 ft.",40,23,14,18,5,12,7,6,2,4,-3,1,-2,"Athletics +9, Perception +4, Survival +4",NA,NA,NA,NA,Passive Perception 14,None,"Giant Ape
Huge Beast, Unaligned
AC 12		                    Initiative +5 (15)
HP 168 (16d12 + 64)
Speed 40 ft., Climb 40 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 23 +6 +6         Dex 14 +2 +2         Con 18 +4 +4
Int 5 −3 −3          Wis 12 +1 +1         Cha 7 −2 −2
Skills Athletics +9, Perception +4, Survival +4
Senses Passive Perception 14
Languages None
CR 7 (XP 2,900; PB +3)
Actions
Multiattack. The ape makes two Fist attacks.
Fist. Melee Attack Roll: +9, reach 10 ft. Hit: 22 (3d10
+ 6) Bludgeoning damage.
Boulder Toss (Recharge 6). The ape hurls a boulder
at a point it can see within 90 feet. Dexterity Saving
Throw: DC 17, each creature in a 5-foot-radius Sphere
centered on that point. Failure: 24 (7d6) Bludgeoning
damage. If the target is a Large or smaller creature, it
has the Prone condition. Success: Half damage only.
Bonus Actions
Leap. The ape jumps up to 30 feet by spending 10 feet
of movement."
Giant Badger,Animals,0.25,Medium,Beast,NA,Unaligned,13,0,15 (2d8 + 6),15,"Speed 30 ft., Burrow 10 ft.",30,13,10,17,2,12,5,1,0,3,-4,1,-3,Perception +3,Poison,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Giant Badger
Medium Beast, Unaligned
AC 13 		                    Initiative +0 (10)
HP 15 (2d8 + 6)
Speed 30 ft., Burrow 10 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 13 +1 +1         Dex 10 +0 +0         Con 17 +3 +3
Int 2 −4 −4          Wis 12 +1 +1         Cha 5 −3 −3
Skills Perception +3
Resistances Poison
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 6 (2d4 + 1)
Piercing damage."
Giant Bat,Animals,0.25,Large,Beast,NA,Unaligned,13,3,22 (4d10),22,"Speed 10 ft., Fly 60 ft.",10,15,16,11,2,12,6,2,3,0,-4,1,-2,NA,NA,NA,NA,NA,Blindsight 120 ft.; Passive Perception 11,None,"Giant Bat
Large Beast, Unaligned
AC 13 		                   Initiative +3 (13)
HP 22 (4d10)
Speed 10 ft., Fly 60 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 15 +2 +2          Dex 16 +3 +3        Con 11 +0 +0
Int 2 −4 −4           Wis 12 +1 +1        Cha 6 −2 −2
Senses Blindsight 120 ft.; Passive Perception 11
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3)
Piercing damage."
Giant Boar,Animals,2,Large,Beast,NA,Unaligned,13,0,42 (5d10 + 15),42,Speed 40 ft.,40,17,10,16,2,7,5,5,0,3,-4,-2,-3,NA,NA,NA,NA,NA,Passive Perception 8,None,"Giant Boar
Large Beast, Unaligned
AC 13 		                   Initiative +0 (10)
HP 42 (5d10 + 15)
Speed 40 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 17 +3 +5          Dex 10 +0 +0        Con 16 +3 +3
Int 2 −4 −4           Wis 7 −2 −2         Cha 5 −3 −3
Senses Passive Perception 8
Languages None
CR 2 (XP 450; PB +2)
Traits
Bloodied Fury. The boar has Advantage on melee at-
tack rolls while it is Bloodied.
Actions
Gore. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6
+ 3) Piercing damage. If the target is a Large or smaller
creature and the boar moved 20+ feet straight toward it
immediately before the hit, the target takes an extra 7
(2d6) Piercing damage and has the Prone condition."
Giant Centipede,Animals,0.25,Small,Beast,NA,Unaligned,14,2,9 (2d6 + 2),9,"Speed 30 ft., Climb 30 ft.",30,5,14,12,1,7,3,-3,2,1,-5,-2,-4,NA,NA,NA,NA,NA,Blindsight 30 ft.; Passive Perception 8,None,"Giant Centipede
Small Beast, Unaligned
AC 14 		                   Initiative +2 (12)
HP 9 (2d6 + 2)
Speed 30 ft., Climb 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 5     −3 −3      Dex 14 +2 +2        Con 12 +1 +1
Int 1     −5 −5      Wis 7 −2 −2         Cha 3 −4 −4
Senses Blindsight 30 ft.; Passive Perception 8
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2)
Piercing damage, and the target has the Poisoned con-
dition until the start of the centipede’s next turn."
Giant Constrictor Snake,Animals,2,Huge,Beast,NA,Unaligned,12,2,60 (8d12 + 8),60,"Speed 30 ft., Swim 30 ft.",30,19,14,12,1,10,3,4,2,1,-5,0,-4,Perception +2,NA,NA,NA,NA,Blindsight 10 ft.; Passive Perception 12,None,"Giant Constrictor Snake
Huge Beast, Unaligned
AC 12 		                  Initiative +2 (12)
HP 60 (8d12 + 8)
Speed 30 ft., Swim 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 19 +4 +4         Dex 14 +2 +2        Con 12 +1 +1
Int 1 −5 −5          Wis 10 +0 +0        Cha 3 −4 −4
Skills Perception +2
Senses Blindsight 10 ft.; Passive Perception 12
Languages None
CR 2 (XP 450; PB +2)
Actions
Multiattack. The snake makes one Bite attack and uses
Constrict.
Bite. Melee Attack Roll: +6, reach 10 ft. Hit: 11 (2d6 +
4) Piercing damage.
Constrict. Strength Saving Throw: DC 14, one Large or
smaller creature the snake can see within 10 feet. Fail-
ure: 13 (2d8 + 4) Bludgeoning damage, and the target
has the Grappled condition (escape DC 14)."
Giant Crab,Animals,0.125,Medium,Beast,NA,Unaligned,15,1,13 (3d8),13,"Speed 30 ft., Swim 30 ft.",30,13,13,11,1,9,3,1,1,0,-5,-1,-4,Stealth +3,NA,NA,NA,NA,Blindsight 30 ft.; Passive Perception 9,None,"Giant Crab
Medium Beast, Unaligned
AC 15 		                  Initiative +1 (11)
HP 13 (3d8)
Speed 30 ft., Swim 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 13 +1 +1         Dex 13 +1 +1        Con 11 +0 +0
Int 1 −5 −5          Wis 9 −1 −1         Cha 3 −4 −4
Skills Stealth +3
Senses Blindsight 30 ft.; Passive Perception 9
Languages None
CR 1/8 (XP 25; PB +2)
Traits
Amphibious. The crab can breathe air and water.
Actions
Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1)
Bludgeoning damage. If the target is a Medium or
smaller creature, it has the Grappled condition (escape
DC 11) from one of two claws."
Giant Crocodile,Animals,5,Huge,Beast,NA,Unaligned,14,-1,85 (9d12 + 27),85,"Speed 30 ft., Swim 50 ft.",30,21,9,17,2,10,7,5,-1,3,-4,0,-2,Stealth +5,NA,NA,NA,NA,Passive Perception 10,None,"Giant Crocodile
Huge Beast, Unaligned
AC 14 		                  Initiative −1 (9)
HP 85 (9d12 + 27)
Speed 30 ft., Swim 50 ft.
MOD SAVE              MOD SAVE         MOD SAVE
Str 21 +5 +5          Dex 9 −1 −1          Con 17 +3 +3
Int 2 −4 −4           Wis 10 +0 +0         Cha 7 −2 −2
Skills Stealth +5
Senses Passive Perception 10
Languages None
CR 5 (XP 1,800; PB +3)
Traits
Hold Breath. The crocodile can hold its breath
for 1 hour.
Actions
Multiattack. The crocodile makes one Bite attack and
one Tail attack.
Bite. Melee Attack Roll: +8, reach 5 ft. Hit: 21 (3d10
+ 5) Piercing damage. If the target is a Large or smaller
creature, it has the Grappled condition (escape DC 15).
While Grappled, the target has the Restrained condition
and can’t be targeted by the crocodile’s Tail.
Tail. Melee Attack Roll: +8, reach 10 ft. Hit: 18 (3d8
+ 5) Bludgeoning damage. If the target is a Large or
smaller creature, it has the Prone condition."
Giant Eagle,Animals,1,Large,Celestial,NA,Neutral Good,13,3,26 (4d10 + 4),26,"Speed 10 ft., Fly 80 ft.",10,16,17,13,8,14,10,3,3,1,-1,2,0,Perception +6,"Necrotic, Radiant",NA,NA,NA,Passive Perception 16,Celestial; understands Common and Primordial (Auran) but can’t speak them,"Giant Eagle
Large Celestial, Neutral Good
AC 13		                    Initiative +3 (13)
HP 26 (4d10 + 4)
Speed 10 ft., Fly 80 ft.
MOD SAVE              MOD SAVE         MOD SAVE
Str 16 +3 +3          Dex 17 +3 +3         Con 13 +1 +1
Int 8 −1 −1           Wis 14 +2 +2         Cha 10 +0 +0
Skills Perception +6
Resistances Necrotic, Radiant
Senses Passive Perception 16
Languages Celestial; understands Common and Primordial
(Auran) but can’t speak them
CR 1 (XP 200; PB +2)
Actions
Multiattack. The eagle makes two Rend attacks.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4 + 3)
Slashing damage plus 3 (1d6) Radiant damage."
Giant Elk,Animals,2,Huge,Celestial,NA,Neutral Good,14,6,42 (5d12 + 10),42,Speed 60 ft.,60,19,18,14,7,14,10,6,6,2,-2,2,0,Perception +4,"Necrotic, Radiant",NA,NA,NA,Darkvision 90 ft.; Passive Perception 14,"Celestial; understands Common, Elvish, and Sylvan but can’t speak them","Giant Elk
Huge Celestial, Neutral Good
AC 14		                    Initiative +6 (16)
HP 42 (5d12 + 10)
Speed 60 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 19 +4 +6         Dex 18 +4 +6         Con 14 +2 +2
Int 7 −2 −2          Wis 14 +2 +2         Cha 10 +0 +0
Skills Perception +4
Resistances Necrotic, Radiant
Senses Darkvision 90 ft.; Passive Perception 14
Languages Celestial; understands Common, Elvish, and
Sylvan but can’t speak them
CR 2 (XP 450; PB +2)
Actions
Ram. Melee Attack Roll: +6, reach 10 ft. Hit: 11 (2d6
+ 4) Bludgeoning damage plus 5 (2d4) Radiant damage.
If the target is a Huge or smaller creature and the elk
moved 20+ feet straight toward it immediately before
the hit, the target takes an extra 5 (2d4) Bludgeoning
damage and has the Prone condition."
Giant Fire Beetle,Animals,0,Small,Beast,NA,Unaligned,13,0,4 (1d6 + 1),4,"Speed 30 ft., Climb 30 ft.",30,8,10,12,1,7,3,-1,0,1,-5,-2,-4,NA,Fire,NA,NA,NA,Blindsight 30 ft.; Passive Perception 8,None,"Giant Fire Beetle
Small Beast, Unaligned
AC 13                Initiative +0 (10)
HP 4 (1d6 + 1)
Speed 30 ft., Climb 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 8 −1 −1          Dex 10 +0 +0         Con 12 +1 +1
Int 1 −5 −5          Wis 7 −2 −2          Cha 3 −4 −4
Resistances Fire
Senses Blindsight 30 ft.; Passive Perception 8
Languages None
CR 0 (XP 10; PB +2)
Traits
Illumination. The beetle sheds Bright Light in a 10-foot
radius and Dim Light for an additional 10 feet.
Actions
Bite. Melee Attack Roll: +1, reach 5 ft. Hit: 1 Fire damage."
Giant Frog,Animals,0.25,Medium,Beast,NA,Unaligned,11,1,18 (4d8),18,"Speed 30 ft., Swim 30 ft.",30,12,13,11,2,10,3,1,1,0,-4,0,-4,"Perception +2, Stealth +4",NA,NA,NA,NA,Darkvision 30 ft.; Passive Perception 12,None,"Giant Frog
Medium Beast, Unaligned
AC 11 		                  Initiative +1 (11)
HP 18 (4d8)
Speed 30 ft., Swim 30 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 12 +1 +1         Dex 13 +1 +1         Con 11 +0 +0
Int 2 −4 −4          Wis 10 +0 +0         Cha 3 −4 −4
Skills Perception +2, Stealth +4
Senses Darkvision 30 ft.; Passive Perception 12
Languages None
CR 1/4 (XP 50; PB +2)
Traits
Amphibious. The frog can breathe air and water.
Standing Leap. The frog’s Long Jump is up to 20 feet
and its High Jump is up to 10 feet with or without a
running start.
Actions
Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 5 (1d6 + 2)
Piercing damage. If the target is a Medium or smaller
creature, it has the Grappled condition (escape DC 11).
Swallow. The frog swallows a Small or smaller target it
is grappling. While swallowed, the target isn’t Grappled
but has the Blinded and Restrained conditions, and it
has Total Cover against attacks and other effects outside
the frog. While swallowing the target, the frog can’t use
Bite, and if the frog dies, the swallowed target is no lon-
ger Restrained and can escape from the corpse using 5
feet of movement, exiting with the Prone condition.
At the end of the frog’s next turn, the swallowed target
takes 5 (2d4) Acid damage. If that damage doesn’t kill it,
the frog disgorges it, causing it to exit Prone."
Giant Goat,Animals,0.5,Large,Beast,NA,Unaligned,11,1,19 (3d10 + 3),19,"Speed 40 ft., Climb 30 ft.",40,17,13,12,3,12,6,5,1,1,-4,1,-2,Perception +3,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Giant Goat
Large Beast, Unaligned
AC 11 		                   Initiative +1 (11)
HP 19 (3d10 + 3)
Speed 40 ft., Climb 30 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 17 +3 +5         Dex 13 +1 +1         Con 12 +1 +1
Int 3 −4 −4          Wis 12 +1 +1         Cha 6 −2 −2
Skills Perception +3
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 1/2 (XP 100; PB +2)
Actions
Ram. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3)
Bludgeoning damage. If the target is a Large or smaller
creature and the goat moved 20+ feet straight toward it
immediately before the hit, the target takes an extra 5
(2d4) Bludgeoning damage and has the Prone condition."
Giant Hyena,Animals,1,Large,Beast,NA,Unaligned,12,2,45 (6d10 + 12),45,Speed 50 ft.,50,16,14,14,2,12,7,3,2,2,-4,1,-2,Perception +3,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Giant Hyena
Large Beast, Unaligned
AC 12                Initiative +2 (12)
HP 45 (6d10 + 12)
Speed 50 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 16 +3 +3         Dex 14 +2 +2         Con 14 +2 +2
Int 2 −4 −4          Wis 12 +1 +1         Cha 7 −2 −2
Skills Perception +3
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 1 (XP 200; PB +2)
Actions
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6 + 3)
Piercing damage.
Bonus Actions
Rampage (1/Day). Immediately after dealing damage
to a creature that was already Bloodied, the hyena can
move up to half its Speed, and it makes one Bite attack."
