date,hour,country,vote_1,vote_2,vote_3,vote_4,vote_5
2019-11-05,8,"",Barn Owl,Black Robin,Fiordland Crested Penguin,Little Spotted Kiwi,Yellow-eyed penguin
2019-11-05,8,"",South Island Pied Oystercatcher,Mōhua,Fiordland Crested Penguin,Gibson's Albatross,Yellow-eyed penguin
2019-11-05,8,"",Morepork,Black-billed Gull,Takahē,Stitchbird,Silvereye
2019-11-05,8,"",Pūkeko,New Zealand Falcon,Southern Royal Albatross,Weka,Morepork
2019-11-05,8,"",Kererū,"","","",""
2019-11-05,8,"",Kākāpō,Fiordland Crested Penguin,North Island Brown Kiwi,Orange-fronted Parakeet,Rockhopper Penguin
2019-11-05,8,"",Yellow-eyed penguin,New Zealand Dotterel,Banded Dotterel,South Island Kōkako,Antipodean Albatross
2019-11-05,8,"",Fantail,Grey Warbler,Morepork,Kingfisher,Blue Duck
2019-11-05,8,"",Yellow-eyed penguin,Black Robin,Black Stilt,Banded Dotterel,Antipodean Albatross
2019-11-05,8,"",Tomtit,Morepork,Rifleman,Barn Owl,New Zealand Falcon
2019-11-05,8,"",Morepork,Fantail,Fairy Tern,Hutton's Shearwater,Barn Owl
2019-11-05,8,"",Blue Duck,Kea,Morepork,Tomtit,Weka
2019-11-05,8,"",Antipodean Albatross,Kākā,Rockhopper Penguin,New Zealand Robin,Tūī
2019-11-05,8,"",Mōhua,Little Penguin,Little Spotted Kiwi,Rifleman,Kākāpō
2019-11-05,8,"",Yellow-eyed penguin,Rockhopper Penguin,Great Spotted Kiwi,Gibson's Albatross,Fiordland Crested Penguin
2019-11-05,8,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Black Robin,Little Penguin
2019-11-05,8,"",Kākā,Grey Warbler,Australasian Gannet,Shining Cuckoo,Morepork
2019-11-05,8,"",Wrybill,Fantail,Harrier,Pūkeko,Welcome Swallow
2019-11-05,8,"",Pūkeko,Harrier,Kākā,Kingfisher,White Heron
2019-11-05,8,"",Fairy Tern,Black Stilt,Shore Plover,Blue Duck,South Island Kōkako
2019-11-05,8,"",Yellow-eyed penguin,New Zealand Falcon,The Otago Shag,Blue Duck,South Island Kōkako
2019-11-05,8,"",Antipodean Albatross,Saddleback,Banded Dotterel,South Island Kōkako,Blue Duck
2019-11-05,8,"",Yellow-eyed penguin,Antipodean Albatross,Black Robin,Wrybill,The Otago Shag
2019-11-05,8,"",Little Spotted Kiwi,Fantail,Tūī,Bellbird,Rifleman
2019-11-05,8,"",Yellow-eyed penguin,Kākā,Shore Plover,Mōhua,Banded Dotterel
2019-11-05,8,"",New Zealand Falcon,Black Robin,Kākā,Little Spotted Kiwi,Rock Wren
2019-11-05,8,"",Kākāpō,Little Spotted Kiwi,South Island Kōkako,Yellow-eyed penguin,Kererū
2019-11-05,8,"",Kākā,Chatham Island Mollymawk,South Island Kōkako,Black Robin,Banded Dotterel
2019-11-05,8,"",Orange-fronted Parakeet,Mōhua,Black Robin,Wrybill,Kākāpō
2019-11-05,8,"",Kākā,Westland Petrel,Yellow-eyed penguin,Morepork,New Zealand Falcon
2019-11-05,8,"",Fantail,Southern Brown Kiwi,Great Spotted Kiwi,Tūī,Kōkako
2019-11-05,8,"",Kea,Kākāpō,Blue Duck,Black Robin,Fairy Tern
2019-11-05,8,"",Kererū,North Island Brown Kiwi,South Island Pied Oystercatcher,Stitchbird,Fantail
2019-11-05,8,"",Yellow-eyed penguin,Kererū,Orange-fronted Parakeet,Bellbird,Fiordland Crested Penguin
2019-11-05,8,"",Grey Warbler,Kōkako,Mōhua,Orange-fronted Parakeet,Bittern
2019-11-05,8,"",Yellow-eyed penguin,Black Robin,Fiordland Crested Penguin,Kākā,Kākāpō
2019-11-05,8,"",Wrybill,White Heron,Kākāpō,Royal Spoonbill,Rockhopper Penguin
2019-11-05,8,"",Kākāpō,Kākā,Southern Brown Kiwi,South Island Kōkako,Little Spotted Kiwi
2019-11-05,8,"",New Zealand Dotterel,Rockhopper Penguin,Kākā,Yellow-eyed penguin,Black-billed Gull
2019-11-05,8,"",Fantail,Silvereye,Bellbird,Harrier,Yellow-eyed penguin
2019-11-05,8,"",Chatham Island Mollymawk,Yellow-eyed penguin,South Island Kōkako,Black Robin,Grey Warbler
2019-11-05,8,"",Kererū,Fantail,Tūī,Bellbird,Silvereye
2019-11-05,8,"",Yellow-eyed penguin,Wrybill,Tūī,The Otago Shag,Takahē
2019-11-05,8,"",Antipodean Albatross,Mōhua,New Zealand Dotterel,Southern Brown Kiwi,Gibson's Albatross
2019-11-05,8,"",New Zealand Falcon,Pūkeko,Rockhopper Penguin,Antipodean Albatross,""
2019-11-05,8,"",Banded Dotterel,Mōhua,Fairy Tern,Bar-tailed Godwit,Kākāpō
2019-11-05,8,"",New Zealand Falcon,New Zealand Robin,Orange-fronted Parakeet,Kererū,Rock Wren
2019-11-05,8,"",Kea,Little Penguin,North Island Brown Kiwi,Kākāpō,Wrybill
2019-11-05,8,"",Bellbird,Tomtit,New Zealand Dotterel,South Island Pied Oystercatcher,Southern Royal Albatross
2019-11-05,8,"",Wrybill,"","","",""
2019-11-05,8,"",Stitchbird,"","","",""
2019-11-05,8,"",Yellow-eyed penguin,Bittern,Fairy Tern,Blue Duck,Kākā
2019-11-05,8,"",Antipodean Albatross,Banded Dotterel,Black-billed Gull,Gibson's Albatross,Whenua Hou Diving Petrel
2019-11-05,8,"",Antipodean Albatross,Gibson's Albatross,New Zealand Falcon,Orange-fronted Parakeet,Kea
2019-11-05,8,"",Fairy Tern,Fantail,Gibson's Albatross,"",""
2019-11-05,8,"",New Zealand Dotterel,"","","",""
2019-11-05,8,"",Yellow-eyed penguin,Fantail,Morepork,"",""
2019-11-05,8,"",Antipodean Albatross,Black Robin,Blue Duck,Fiordland Crested Penguin,Harrier
2019-11-05,8,"",South Island Kōkako,Saddleback,Stitchbird,New Zealand Falcon,Banded Dotterel
2019-11-05,8,"",Antipodean Albatross,Mōhua,Southern Brown Kiwi,Gibson's Albatross,Southern Royal Albatross
2019-11-05,8,"",Kākā,Kōkako,Saddleback,Stitchbird,Whitehead
2019-11-05,8,"",Kākāpō,Southern Brown Kiwi,Kea,Black Robin,Antipodean Albatross
2019-11-05,8,"",Antipodean Albatross,Blue Duck,Black-billed Gull,Fairy Tern,Kākāpō
2019-11-05,8,"",Wrybill,Fiordland Crested Penguin,Saddleback,Kōkako,Kākāpō
2019-11-05,8,"",Bittern,Mōhua,Antipodean Albatross,Black Stilt,New Zealand Dotterel
2019-11-05,8,"",Orange-fronted Parakeet,New Zealand Falcon,Little Penguin,Chatham Island Mollymawk,Kākā
2019-11-05,8,"",Fantail,Bellbird,Takahē,Kea,Morepork
2019-11-05,8,"",Wrybill,Fairy Tern,Tūī,Mōhua,Takahē
2019-11-05,8,"",Hutton's Shearwater,Black Robin,Black Stilt,Yellow-eyed penguin,Takahē
2019-11-05,8,"",Black Robin,Blue Duck,Rockhopper Penguin,Antipodean Albatross,Fantail
2019-11-05,8,"",Fantail,Kea,Kererū,Morepork,Tomtit
2019-11-05,8,"",Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō,Kākā,The Otago Shag
2019-11-05,8,"",Saddleback,Rockhopper Penguin,South Island Kōkako,Rock Wren,Black Robin
2019-11-05,8,"",Morepork,Bittern,Grey Duck,Banded Dotterel,Fantail
2019-11-05,8,"",South Island Kōkako,Southern Brown Kiwi,Little Spotted Kiwi,Chatham Island Mollymawk,Whenua Hou Diving Petrel
2019-11-05,8,"",Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Kākā,Little Penguin
2019-11-05,8,"",Hutton's Shearwater,Blue Duck,Rockhopper Penguin,Fairy Tern,Kingfisher
2019-11-05,8,"",Yellow-eyed penguin,Fiordland Crested Penguin,Kererū,Tūī,Pūkeko
2019-11-05,8,"",Yellow-eyed penguin,New Zealand Falcon,Bittern,Southern Brown Kiwi,Kōkako
2019-11-05,8,"",Little Penguin,Kea,Rifleman,South Island Kōkako,Mōhua
2019-11-05,8,"",South Island Kōkako,Southern Royal Albatross,Spotless Crake,Harrier,Orange-fronted Parakeet
2019-11-05,8,"",Kākāpō,Kākā,Black Robin,Chatham Island Mollymawk,Yellow-eyed penguin
2019-11-05,8,"",Wrybill,Kākā,Orange-fronted Parakeet,Tūī,Kākāpō
2019-11-05,8,"",Rifleman,New Zealand Robin,Tomtit,Silvereye,Fantail
2019-11-05,8,"",Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,"",""
2019-11-05,8,"",New Zealand Dotterel,Kākāpō,"","",""
2019-11-05,8,"",Banded Dotterel,New Zealand Falcon,Stitchbird,Bellbird,Kākā
2019-11-05,8,"",Banded Dotterel,Fairy Tern,Antipodean Albatross,Black Robin,""
2019-11-05,8,"",Yellow-eyed penguin,"","","",""
2019-11-05,8,"",Rifleman,Bittern,Black Stilt,Chatham Island Mollymawk,Black-billed Gull
2019-11-05,8,"",Yellow-eyed penguin,Kākāpō,North Island Brown Kiwi,Little Spotted Kiwi,Blue Duck
2019-11-05,8,"",Yellow-eyed penguin,Whenua Hou Diving Petrel,Antipodean Albatross,Black-billed Gull,Kākā
2019-11-05,8,"",Kākāpō,Southern Brown Kiwi,Little Spotted Kiwi,Tūī,North Island Brown Kiwi
2019-11-05,8,"",Kākā,Saddleback,Stitchbird,Black Robin,Whitehead
2019-11-05,8,"",Antipodean Albatross,Banded Dotterel,Barn Owl,Black Robin,Fantail
2019-11-05,8,"",Antipodean Albatross,Southern Brown Kiwi,Banded Dotterel,Orange-fronted Parakeet,Hutton's Shearwater
2019-11-05,8,"",Wrybill,Saddleback,Kākā,Bittern,Little Spotted Kiwi
2019-11-05,8,"",Yellow-eyed penguin,Fairy Tern,Mōhua,Banded Dotterel,Kākā
2019-11-05,8,"",Blue Duck,New Zealand Falcon,Fiordland Crested Penguin,Silvereye,Wrybill
2019-11-05,8,"",Morepork,Fantail,Tūī,Kererū,Kōkako
2019-11-05,8,"",Yellow-eyed penguin,Rockhopper Penguin,Little Penguin,New Zealand Falcon,Bittern
2019-11-05,8,"",Antipodean Albatross,Mōhua,New Zealand Falcon,North Island Brown Kiwi,Kea
2019-11-05,8,"",Wrybill,New Zealand Robin,New Zealand Falcon,Variable Oystercatcher,Weka
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Kingfisher,Bittern,Saddleback,Kea,White Heron
2019-11-05,8,"",Kākāpō,South Island Kōkako,Kākā,Kea,Wrybill
2019-11-05,8,"",Kākāpō,Tūī,Yellow-eyed penguin,Kākā,Morepork
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Mōhua,Australasian Crested Grebe,Stitchbird,Rifleman,Yellow-eyed penguin
2019-11-05,8,"",South Island Kōkako,Southern Royal Albatross,Spotless Crake,Harrier,Yellow-eyed penguin
2019-11-05,8,"",Blue Duck,Harrier,Fantail,Morepork,""
2019-11-05,8,"",Blue Duck,Southern Brown Kiwi,Stitchbird,Barn Owl,Tūī
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Yellow-eyed penguin,Orange-fronted Parakeet,Fairy Tern,New Zealand Dotterel,Mōhua
2019-11-05,8,"",Spotted Shag,Bellbird,Tomtit,South Island Pied Oystercatcher,Mōhua
2019-11-05,8,"",Kākāpō,Southern Brown Kiwi,Great Spotted Kiwi,North Island Brown Kiwi,Fiordland Crested Penguin
2019-11-05,8,"",Black Robin,Hutton's Shearwater,Kea,New Zealand Dotterel,Orange-fronted Parakeet
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Black Robin,Orange-fronted Parakeet,New Zealand Dotterel,Tūī,Fantail
2019-11-05,8,"",Banded Dotterel,Bellbird,Chatham Island Oystercatcher,Fantail,New Zealand Dotterel
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Blue Duck,Yellow-eyed penguin,Rockhopper Penguin,Little Spotted Kiwi,Kākāpō
2019-11-05,8,"",Little Penguin,Blue Duck,Kākā,Kererū,Pied Shag
2019-11-05,8,"",Blue Duck,Tūī,Morepork,Little Spotted Kiwi,Whenua Hou Diving Petrel
2019-11-05,8,"",Kākā,Grey Warbler,Tomtit,Morepork,Kōkako
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",Blue Duck,"","","",""
2019-11-05,8,"",New Zealand Falcon,Kea,Morepork,Fantail,Kererū
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kākāpō,Little Spotted Kiwi,North Island Brown Kiwi,Banded Dotterel,Antipodean Albatross
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,Rockhopper Penguin,Southern Royal Albatross,Antipodean Albatross,Mōhua
2019-11-05,9,"",Southern Brown Kiwi,Orange-fronted Parakeet,Blue Duck,"",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Tūī,Morepork,Kākā,Kererū,Harrier
2019-11-05,9,"",Blue Duck,Orange-fronted Parakeet,The Otago Shag,Hutton's Shearwater,Little Spotted Kiwi
2019-11-05,9,"",Kākāpō,Rockhopper Penguin,Wrybill,New Zealand Dotterel,Fiordland Crested Penguin
2019-11-05,9,"",Yellow-eyed penguin,Light-mantled Sooty Albatross,"","",""
2019-11-05,9,"",Little Penguin,New Zealand Falcon,Welcome Swallow,Barn Owl,Mōhua
2019-11-05,9,"",Kākāpō,Black Robin,Blue Duck,Antipodean Albatross,Banded Dotterel
2019-11-05,9,"",Kererū,Tūī,Yellow-eyed penguin,Kea,Kākāpō
2019-11-05,9,"",Kākā,Kererū,Tūī,Kākāpō,Takahē
2019-11-05,9,"",Blue Duck,Banded Dotterel,South Island Kōkako,Kākā,New Zealand Dotterel
2019-11-05,9,"",Stitchbird,Yellow-eyed penguin,South Island Kōkako,Antipodean Albatross,Banded Dotterel
2019-11-05,9,"",New Zealand Dotterel,Hutton's Shearwater,Bittern,Black Robin,Southern Brown Kiwi
2019-11-05,9,"",Wrybill,Rock Wren,Blue Duck,Buller's Mollymawk,New Zealand Falcon
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Yellow-eyed penguin,"","","",""
2019-11-05,9,"",Kākāpō,Little Penguin,Salvin's Mollymawk,Barn Owl,Tomtit
2019-11-05,9,"",Southern Royal Albatross,Northern Royal Albatross,Kākā,Morepork,Yellow-eyed penguin
2019-11-05,9,"",Whenua Hou Diving Petrel,Yellow-eyed penguin,Bittern,Fairy Tern,Chatham Island Oystercatcher
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Yellow-eyed penguin,South Island Kōkako,New Zealand Dotterel,Mōhua,Gibson's Albatross
2019-11-05,9,"",Takahē,Morepork,Black Robin,Black-billed Gull,Little Spotted Kiwi
2019-11-05,9,"",Blue Duck,Little Penguin,Morepork,Pūkeko,Rifleman
2019-11-05,9,"",Black Robin,Fiordland Crested Penguin,Mōhua,Stitchbird,Yellow-eyed penguin
2019-11-05,9,"",Yellow-eyed penguin,Kākāpō,Orange-fronted Parakeet,Little Spotted Kiwi,Kākā
2019-11-05,9,"",Kea,Kākāpō,Yellow-eyed penguin,"",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kākā,New Zealand Falcon,Fairy Tern,Little Penguin,Kākāpō
2019-11-05,9,"",Takahē,New Zealand Dabchick,Southern Brown Kiwi,Kōkako,Chatham Island Oystercatcher
2019-11-05,9,"",New Zealand Falcon,Great Spotted Kiwi,Barn Owl,Orange-fronted Parakeet,Kea
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kākāpō,"","","",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Takahē,Blue Duck,Mōhua,Tomtit,Buller's Mollymawk
2019-11-05,9,"",Blue Duck,Yellow-eyed penguin,Kākāpō,South Island Kōkako,Southern Brown Kiwi
2019-11-05,9,"",Bittern,Black Stilt,Hutton's Shearwater,South Island Kōkako,Yellow-eyed penguin
2019-11-05,9,"",Tūī,North Island Brown Kiwi,Southern Brown Kiwi,Little Spotted Kiwi,Kingfisher
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,Mōhua,Kākā,Shore Plover,Black Robin
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Fairy Tern,Fiordland Crested Penguin,Kea,Southern Royal Albatross,Tūī
2019-11-05,9,"",Fantail,Kea,Kākā,Kākāpō,New Zealand Falcon
2019-11-05,9,"",Fantail,Barn Owl,Kingfisher,Royal Spoonbill,Chatham Island Mollymawk
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kākāpō,Kea,Morepork,South Island Kōkako,Rockhopper Penguin
2019-11-05,9,"",Pūkeko,Fantail,Rockhopper Penguin,Kākāpō,New Zealand Dabchick
2019-11-05,9,"",New Zealand Falcon,Stitchbird,Shining Cuckoo,Shore Plover,Saddleback
2019-11-05,9,"",Kākāpō,Little Spotted Kiwi,Rifleman,Royal Spoonbill,Antipodean Albatross
2019-11-05,9,"",Rockhopper Penguin,Welcome Swallow,Black Robin,Tomtit,Harrier
2019-11-05,9,"",Kererū,"","","",""
2019-11-05,9,"",Tūī,Little Spotted Kiwi,Yellow-eyed penguin,South Island Kōkako,Rockhopper Penguin
2019-11-05,9,"",Kererū,"","","",""
2019-11-05,9,"",Harrier,Antipodean Albatross,Kea,Morepork,Kākā
2019-11-05,9,"",Blue Duck,Rifleman,Pūkeko,Stitchbird,Tomtit
2019-11-05,9,"",Yellow-eyed penguin,Bittern,Blue Duck,Rock Wren,Fairy Tern
2019-11-05,9,"",New Zealand Falcon,Takahē,Saddleback,Blue Duck,Banded Dotterel
2019-11-05,9,"",Southern Royal Albatross,New Zealand Falcon,Black Robin,Kākāpō,Morepork
2019-11-05,9,"",Chatham Island Mollymawk,Campbell Black-Browed Albatross,Blue Duck,Whenua Hou Diving Petrel,Black Petrel
2019-11-05,9,"",Black Robin,Whenua Hou Diving Petrel,Blue Duck,Kākā,Black Stilt
2019-11-05,9,"",Blue Duck,Kea,Black Robin,New Zealand Falcon,Rock Wren
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kākāpō,Southern Brown Kiwi,Bittern,Kākā,Little Spotted Kiwi
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",New Zealand Dotterel,Banded Dotterel,South Island Kōkako,Southern Brown Kiwi,Kākā
2019-11-05,9,"",Rock Wren,Black-fronted Tern,Wrybill,Banded Dotterel,Blue Duck
2019-11-05,9,"",Fantail,New Zealand Falcon,Stitchbird,Black Robin,Shore Plover
2019-11-05,9,"",Rifleman,Barn Owl,New Zealand Falcon,Mōhua,Tomtit
2019-11-05,9,"",Black Robin,Rockhopper Penguin,Kākāpō,Mōhua,Yellow-eyed penguin
2019-11-05,9,"",Fantail,Yellow-eyed penguin,Kākāpō,Saddleback,Royal Spoonbill
2019-11-05,9,"",Southern Brown Kiwi,Rockhopper Penguin,Yellow-eyed penguin,Little Spotted Kiwi,Shore Plover
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",New Zealand Dotterel,Yellow-eyed penguin,Morepork,Banded Dotterel,Southern Brown Kiwi
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Kingfisher,Kererū,Morepork,Rockhopper Penguin,New Zealand Falcon
2019-11-05,9,"",Kea,Black Robin,Tūī,Kererū,Kākāpō
2019-11-05,9,"",Yellow-eyed penguin,Tūī,New Zealand Falcon,Morepork,South Island Kōkako
2019-11-05,9,"",Fiordland Crested Penguin,Kingfisher,Yellow-eyed penguin,Little Penguin,Rockhopper Penguin
2019-11-05,9,"",Blue Duck,Royal Spoonbill,New Zealand Dabchick,"",""
2019-11-05,9,"",Kōkako,Chatham Island Oystercatcher,Antipodean Albatross,Gibson's Albatross,South Island Kōkako
2019-11-05,9,"",South Island Kōkako,Yellow-eyed penguin,Mōhua,New Zealand Falcon,New Zealand Dotterel
2019-11-05,9,"",Kingfisher,Rifleman,North Island Brown Kiwi,Little Penguin,Yellow-eyed penguin
2019-11-05,9,"",Bittern,Little Spotted Kiwi,Black-billed Gull,Blue Duck,Yellow-eyed penguin
2019-11-05,9,"",Kākā,New Zealand Dabchick,Fairy Tern,Morepork,Orange-fronted Parakeet
2019-11-05,9,"",Kererū,Kākāpō,Morepork,Kōkako,Kākā
2019-11-05,9,"",Yellow-eyed penguin,Southern Brown Kiwi,Northern Royal Albatross,The Otago Shag,Gibson's Albatross
2019-11-05,9,"",Blue Duck,Antipodean Albatross,Mōhua,Kākā,Kākāpō
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,Australasian Crested Grebe,Rockhopper Penguin,Royal Spoonbill,Kākāpō
2019-11-05,9,"",Kākāpō,Little Penguin,Southern Brown Kiwi,Little Spotted Kiwi,Takahē
2019-11-05,9,"",Yellow-eyed penguin,"","","",""
2019-11-05,9,"",Blue Duck,Great Spotted Kiwi,North Island Brown Kiwi,Takahē,Kākāpō
2019-11-05,9,"",Yellow-eyed penguin,Kea,Kākā,South Island Kōkako,Takahē
2019-11-05,9,"",Kea,Tūī,Grey Duck,South Polar Skua,Fantail
2019-11-05,9,"",Kākā,Whenua Hou Diving Petrel,Orange-fronted Parakeet,Yellow-eyed penguin,South Island Kōkako
2019-11-05,9,"",Wrybill,Rock Wren,Black-fronted Tern,Blue Duck,Banded Dotterel
2019-11-05,9,"",Yellow-eyed penguin,"","","",""
2019-11-05,9,"",Spotted Shag,Mōhua,Banded Dotterel,Black-billed Gull,Kākā
2019-11-05,9,"",Great Spotted Kiwi,Banded Dotterel,Southern Brown Kiwi,Mōhua,Hutton's Shearwater
2019-11-05,9,"",Barn Owl,Kea,Welcome Swallow,Wrybill,Morepork
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Blue Duck,Takahē,Kea,Kākā,Kererū
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Yellow-eyed penguin,Blue Duck,Banded Dotterel,"",""
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Fernbird,Fiordland Crested Penguin,Southern Brown Kiwi,New Zealand Falcon,Tūī
2019-11-05,9,"",Kākāpō,Little Spotted Kiwi,Kea,Great Spotted Kiwi,Orange-fronted Parakeet
2019-11-05,9,"",Blue Duck,Kākāpō,Southern Royal Albatross,Little Penguin,Kākā
2019-11-05,9,"",Fantail,Mōhua,New Zealand Falcon,North Island Brown Kiwi,Takahē
2019-11-05,9,"",South Island Kōkako,Tūī,Black Robin,Bellbird,Blue Duck
2019-11-05,9,"",Fantail,Rifleman,Saddleback,Silvereye,White Heron
2019-11-05,9,"",Kākāpō,Tūī,Kererū,Kōkako,Mōhua
2019-11-05,9,"",Weka,Tūī,Orange-fronted Parakeet,Kākā,Kākāpō
2019-11-05,9,"",Kea,Kererū,Kingfisher,Little Penguin,Little Spotted Kiwi
2019-11-05,9,"",Little Penguin,Yellow-eyed penguin,Rockhopper Penguin,"",""
2019-11-05,9,"",Morepork,Kākā,Antipodean Albatross,Yellow-eyed penguin,South Island Kōkako
2019-11-05,9,"",Yellow-eyed penguin,Black Robin,New Zealand Falcon,Saddleback,Fiordland Crested Penguin
2019-11-05,9,"",Blue Duck,Little Penguin,Kākāpō,Kākā,Rockhopper Penguin
2019-11-05,9,"",Gibson's Albatross,Rockhopper Penguin,Yellow-eyed penguin,Great Spotted Kiwi,Fiordland Crested Penguin
2019-11-05,9,"",Mōhua,Little Penguin,Yellow-eyed penguin,Fantail,Banded Dotterel
2019-11-05,9,"",Yellow-eyed penguin,Variable Oystercatcher,New Zealand Falcon,Rock Wren,Grey Warbler
2019-11-05,9,"",New Zealand Dotterel,Rockhopper Penguin,Chatham Island Oystercatcher,Tūī,Gibson's Albatross
2019-11-05,9,"",Yellow-eyed penguin,Southern Brown Kiwi,Whenua Hou Diving Petrel,Tūī,The Otago Shag
2019-11-05,9,"",Fantail,Great Spotted Kiwi,Rifleman,Wrybill,Black Robin
2019-11-05,9,"",New Zealand Falcon,Barn Owl,Banded Dotterel,Kea,Kererū
2019-11-05,9,"",Black Robin,Saddleback,Welcome Swallow,North Island Brown Kiwi,New Zealand Dotterel
2019-11-05,9,"",Southern Brown Kiwi,Great Spotted Kiwi,North Island Brown Kiwi,Kea,Tūī
2019-11-05,9,"",Kererū,Barn Owl,Kōkako,Little Penguin,Tūī
2019-11-05,9,"",Barn Owl,Kea,Rifleman,Kōkako,Morepork
2019-11-05,9,"",Fiordland Crested Penguin,Kōkako,Kākāpō,Morepork,Mōhua
2019-11-05,9,"",Rifleman,Rockhopper Penguin,Royal Spoonbill,Fairy Tern,Shore Plover
2019-11-05,9,"",New Zealand Dotterel,Southern Brown Kiwi,Kea,Rock Wren,Silvereye
2019-11-05,9,"",Yellow-eyed penguin,Southern Royal Albatross,Pūkeko,Black Robin,Blue Duck
2019-11-05,9,"",Blue Duck,"","","",""
2019-11-05,9,"",Yellow-eyed penguin,"","","",""
2019-11-05,9,"",Southern Brown Kiwi,North Island Brown Kiwi,Tomtit,Kea,Kākāpō
2019-11-05,9,"",Black Robin,Fantail,Little Spotted Kiwi,South Island Kōkako,Orange-fronted Parakeet
2019-11-05,9,"",New Zealand Falcon,South Island Kōkako,Saddleback,Weka,Black shag
2019-11-05,9,"",Black Robin,Fiordland Crested Penguin,Kererū,Little Penguin,Mōhua
2019-11-05,9,"",Kākā,Yellow-eyed penguin,Black Robin,Chatham Island Mollymawk,Chatham Island Oystercatcher
2019-11-05,9,"",Banded Dotterel,Black Robin,Kākāpō,Fantail,Morepork
2019-11-05,9,"",Kea,Black Robin,Rifleman,Little Spotted Kiwi,Fantail
2019-11-05,9,"",Fantail,Southern Brown Kiwi,Banded Dotterel,Rifleman,Kingfisher
2019-11-05,9,"",Rifleman,Royal Spoonbill,Little Penguin,Rockhopper Penguin,Black Robin
2019-11-05,9,"",Rockhopper Penguin,New Zealand Dotterel,New Zealand King Shag,Tomtit,Kōkako
2019-11-05,9,"",Blue Duck,Saddleback,Little Penguin,Whitehead,Little Spotted Kiwi
2019-11-05,9,"",Kākā,Blue Duck,Bittern,Little Spotted Kiwi,Kākāpō
2019-11-05,9,"",Kea,Barn Owl,New Zealand Falcon,North Island Brown Kiwi,Orange-fronted Parakeet
2019-11-05,9,"",Australasian Gannet,Kākā,Bellbird,Tūī,Wrybill
2019-11-05,9,"",New Zealand Dotterel,Fairy Tern,Yellow-eyed penguin,Whenua Hou Diving Petrel,Kingfisher
2019-11-05,9,"",Fantail,Southern Brown Kiwi,Banded Dotterel,Bar-tailed Godwit,New Zealand Robin
2019-11-05,9,"",Black Robin,Kererū,Kākāpō,Little Spotted Kiwi,Tūī
2019-11-05,9,"",Blue Duck,Yellow-eyed penguin,Shore Plover,Whenua Hou Diving Petrel,Black Robin
2019-11-05,9,"",Morepork,Kingfisher,Kea,Tūī,Orange-fronted Parakeet
2019-11-05,9,"",Harrier,Antipodean Albatross,Bar-tailed Godwit,Banded Dotterel,Kākāpō
2019-11-05,9,"",Blue Duck,Fairy Tern,Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō
2019-11-05,9,"",Fantail,Morepork,Gibson's Albatross,Harrier,New Zealand Falcon
2019-11-05,9,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rock Wren,Rifleman,Mōhua
2019-11-05,9,"",Black Robin,Kākāpō,Kākā,South Island Kōkako,Banded Dotterel
2019-11-05,9,"",Rifleman,Kingfisher,Great Spotted Kiwi,Fantail,Antipodean Albatross
