spec_name,acc_genus,acc_species,palm_tribe,palm_subfamily,climbing,acaulescent,erect,stem_solitary,stem_armed,leaves_armed,max_stem_height_m,max_stem_dia_cm,understorey_canopy,max_leaf_number,max__blade__length_m,max__rachis__length_m,max__petiole_length_m,average_fruit_length_cm,min_fruit_length_cm,max_fruit_length_cm,average_fruit_width_cm,min_fruit_width_cm,max_fruit_width_cm,fruit_size_categorical,fruit_shape,fruit_color_description,main_fruit_colors,conspicuousness
Dypsis antanambensis,Dypsis,antanambensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,12,understorey,12,3.16,2.5,0.71,2,1.5,2.5,2,1.2,1.8,small,ovoid,NA,NA,NA
Dypsis aquatilis,Dypsis,aquatilis,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0,NA,understorey,11,0.485,0.24,0.28,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis arenarum,Dypsis,arenarum,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,6.5,canopy,10,2.42,1.7,0.77,1.1,1,1.2,1,0.8,1.2,small,NA,NA,NA,NA
Dypsis baronii,Dypsis,baronii,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,8,12,canopy,8,1.73,1.2,0.58,1.5,1,2,1.2,0.8,1.6,small,NA,yellow,yellow,conspicuous
Dypsis basilonga,Dypsis,basilonga,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,15,understorey,7,1.16,1,0.18,2,NA,NA,0.95,0.9,1,small,ovoid,NA,NA,NA
Dypsis beentjei,Dypsis,beentjei,Areceae,Arecoideae,climbing,non-acaulescent,erect,solitary,armed,armed,0.04,1.4,understorey,9,1.15,0.6,0.6,1.8,1.7,1.9,1,NA,NA,small,ovoid,scarlet,red,conspicuous
Dypsis bejofo,Dypsis,bejofo,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,40,canopy,10,6.34,6,0.39,2.5,2,3,2.15,1.8,2.5,small,globose,green,green,cryptic
Dypsis bernieriana,Dypsis,bernieriana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,0.8,understorey,NA,0.26,0.08,0.2,0.95,0.6,1.3,0.45,0.4,0.5,small,ovoid,red,red,conspicuous
Dypsis betamponensis,Dypsis,betamponensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,NA,understorey,NA,0.67,0.21,0.51,1.5,NA,NA,NA,NA,NA,small,NA,NA,NA,NA
Dypsis betsimisarakae,Dypsis,betsimisarakae,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,1.1,0.45,0.4,0.5,small,NA,red,red,conspicuous
Dypsis boiviniana,Dypsis,boiviniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,8,4.5,canopy,8,0.99,0.75,0.26,1,NA,NA,0.4,NA,NA,small,globose,NA,NA,NA
Dypsis bonsai,Dypsis,bonsai,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2,0.8,understorey,4,0.34,0.23,0.13,0.85,NA,NA,0.4,NA,NA,small,globose,yellow when young,NA,NA
Dypsis bosseri,Dypsis,bosseri,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,2.5,NA,understorey,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis brevicaulis,Dypsis,brevicaulis,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0.15,2,understorey,8,1.78,1.5,0.31,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis brittiana,Dypsis,brittiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,3,1.5,understorey,8,NA,0.14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis cabadae,Dypsis,cabadae,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,10,9,canopy,10,2.03,1.7,0.38,1.05,0.9,1.2,0.5,0.4,0.6,small,globose,scarlet,red,conspicuous
Dypsis canaliculata,Dypsis,canaliculata,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,40,canopy,NA,6,6,NA,2.75,2.5,3,1.9,1.7,2.1,small,elongate,NA,NA,NA
Dypsis canescens,Dypsis,canescens,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,8,10,canopy,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis carlsmithii,Dypsis,carlsmithii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,51,canopy,11,3.45,3,0.5,1.6,NA,NA,0.9,NA,NA,small,ovoid,black,black,cryptic
Dypsis catatiana,Dypsis,catatiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,1,0.9,understorey,10,0.32,0.22,0.12,1.25,1,1.5,0.725,0.5,0.95,small,ovoid,deep shiny red,red,conspicuous
Dypsis caudata,Dypsis,caudata,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,1.5,understorey,11,0.66,0.46,0.22,0.95,0.8,1.1,0.425,0.35,0.5,small,NA,orange,orange,conspicuous
Dypsis ceracea,Dypsis,ceracea,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,15,canopy,NA,1.8,1.8,NA,1.8,1.6,2,1.05,0.85,1.25,small,globose,green,green,cryptic
Dypsis commersoniana,Dypsis,commersoniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,NA,understorey,NA,0.59,0.38,0.23,0.9,NA,NA,0.3,NA,NA,small,NA,NA,NA,NA
Dypsis concinna,Dypsis,concinna,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,0.8,understorey,12,0.38,0.29,0.11,1.1,0.6,1.6,0.525,0.35,0.7,small,ovoid,red,red,conspicuous
Dypsis confusa,Dypsis,confusa,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,7,4,canopy,8,1.18,0.86,0.35,0.8,0.6,1,0.4,0.3,0.5,small,globose,orange to red,orange; red,conspicuous
Dypsis cookei,Dypsis,cookei,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,0.6,understorey,7,0.35,0.33,0.04,NA,NA,NA,NA,NA,NA,NA,elongate,NA,NA,NA
Dypsis coriacea,Dypsis,coriacea,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,1,understorey,9,0.41,0.29,0.14,1.3,1.1,1.5,0.675,0.45,0.9,small,NA,dark red,red,conspicuous
Dypsis corniculata,Dypsis,corniculata,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,6,2,canopy,10,0.475,0.4,0.1,1.1,1,1.2,0.475,0.4,0.55,small,NA,red,red,conspicuous
Dypsis coursii,Dypsis,coursii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,18,canopy,4,1.27,1,0.3,2.75,2,3.5,2,1.5,2.5,small,ovoid,green to orange brown,green; brown,cryptic
Dypsis crinita,Dypsis,crinita,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,15,20,canopy,15,4,3,NA,2.2,2,2.4,1.75,1.7,1.8,small,globose,green turning purple-black,green; purple; black,cryptic
Dypsis culminis,Dypsis,culminis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,2,understorey,12,NA,0.54,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis curtisii,Dypsis,curtisii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3.5,0.9,understorey,NA,0.79,0.39,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis decaryi,Dypsis,decaryi,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,7,40,canopy,24,3.5,3,0.55,1.85,1.5,2.2,1.6,1.2,2,small,globose,green,green,cryptic
Dypsis decipiens,Dypsis,decipiens,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,20,40,canopy,12,2.45,2.2,0.28,2.35,2.2,2.5,2.1,2,2.2,small,NA,NA,NA,NA
Dypsis delicatula,Dypsis,delicatula,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1.1,1,understorey,19,0.166,0.14,0.05,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis digitata,Dypsis,digitata,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,0.4,1.5,understorey,13,0.41,0.11,0.33,1.2,1.1,1.3,0.65,0.5,0.8,small,NA,red,red,conspicuous
Dypsis dracaenoides,Dypsis,dracaenoides,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,1.5,understorey,12,1.04,0.38,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis dransfieldii,Dypsis,dransfieldii,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,8,8,canopy,12,2,1.7,0.33,1.75,1.5,2,1.3,1.2,1.4,small,globose,NA,NA,NA
Dypsis elegans,Dypsis,elegans,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,2,understorey,6,0.68,0.68,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis eriostachys,Dypsis,eriostachys,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1.5,0.9,understorey,10,0.28,0.25,0.05,1.6,NA,NA,0.6,NA,NA,small,ovoid,red at base turning yellow or green,red; green,conspicuous
Dypsis faneva,Dypsis,faneva,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,5,canopy,9,1.04,0.94,0.12,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis fanjana,Dypsis,fanjana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,1.5,understorey,11,0.62,0.24,0.45,0.8,NA,NA,0.2,NA,NA,small,globose,NA,NA,NA
Dypsis fasciculata,Dypsis,fasciculata,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,6,4,canopy,8,1.25,0.9,0.4,1.4,NA,NA,0.75,NA,NA,small,ovoid,green?,NA,NA
Dypsis fibrosa,Dypsis,fibrosa,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,9,18,canopy,15,4,3,NA,2.5,2,3,2.15,1.8,2.5,small,globose,green to black; eaten by forest boar,green; black,cryptic
Dypsis forficifolia,Dypsis,forficifolia,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,4,1,understorey,8,0.44,0.32,0.14,1.5,NA,NA,0.9,NA,NA,small,ovoid,red turning black,red; black,conspicuous
Dypsis furcata,Dypsis,furcata,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,0.7,understorey,5,NA,NA,NA,1,NA,NA,0.4,NA,NA,small,elongate,green when young,NA,NA
Dypsis gautieri,Dypsis,gautieri,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,3.5,understorey,9,NA,0.55,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis glabrescens,Dypsis,glabrescens,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,1,understorey,6,0.31,0.19,0.14,1.65,1.3,2,1.05,1,1.1,small,NA,cherry-red,red,conspicuous
Dypsis gronophyllum,Dypsis,gronophyllum,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,1.5,understorey,12,NA,0.37,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis henrici,Dypsis,henrici,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,3,NA,understorey,NA,0.24,0.18,0.08,0.9,NA,NA,0.35,NA,NA,small,globose,green to red,green; red,conspicuous
Dypsis heteromorpha,Dypsis,heteromorpha,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,12,12,canopy,10,1.85,1.5,0.4,2,1.7,2.3,1.8,1.4,2.2,small,NA,NA,NA,NA
Dypsis heterophylla,Dypsis,heterophylla,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2.5,0.8,understorey,9,0.4,0.28,0.14,0.565,0.5,0.63,0.45,0.4,0.5,small,ovoid,yellow turning orange and then red,yellow; orange; red,conspicuous
Dypsis hiarakae,Dypsis,hiarakae,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,2.5,canopy,9,0.84,0.67,0.19,0.95,0.9,1,0.475,0.45,0.5,small,globose,red,red,conspicuous
Dypsis hildebrandtii,Dypsis,hildebrandtii,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,1.3,understorey,10,0.35,0.3,0.07,1,NA,NA,0.55,NA,NA,small,NA,red,red,conspicuous
Dypsis hovomantsina,Dypsis,hovomantsina,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,30,canopy,7,4.06,3.5,0.61,1,NA,NA,0.5,NA,NA,small,ovoid,pale green,green,cryptic
Dypsis humbertii,Dypsis,humbertii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,0.8,understorey,8,0.35,0.18,0.19,1.1,NA,NA,0.3,NA,NA,small,ovoid,green to red,green; red,conspicuous
Dypsis humblotiana,Dypsis,humblotiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,15,15,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis humilis,Dypsis,humilis,Areceae,Arecoideae,climbing,non-acaulescent,erect,solitary,armed,armed,0,NA,understorey,8,NA,0.4,0.4,1.8,NA,NA,0.3,NA,NA,small,NA,immature green,NA,NA
Dypsis ifanadianae,Dypsis,ifanadianae,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,24,18,canopy,7,3.3,3,0.33,0.8,NA,NA,0.85,0.7,1,small,globose,NA,NA,NA
Dypsis integra,Dypsis,integra,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,0.9,understorey,10,0.33,0.31,0.04,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis intermedia,Dypsis,intermedia,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,10,3,canopy,8,0.37,0.37,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis interrupta,Dypsis,interrupta,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,1.2,understorey,7,0.82,0.7,0.14,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis jeremiei,Dypsis,jeremiei,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,2,understorey,10,NA,0.67,0.27,1.05,0.9,1.2,0.45,0.4,0.5,small,ellipsoid,yellow or red,yellow; red,conspicuous
Dypsis jumelleana,Dypsis,jumelleana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,1.5,understorey,8,0.71,0.56,0.17,1.05,0.9,1.2,1.05,0.9,1.2,small,NA,red,red,conspicuous
Dypsis laevis,Dypsis,laevis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,1.5,understorey,9,0.38,0.38,NA,0.6,NA,NA,0.3,NA,NA,small,elongate,NA,NA,NA
Dypsis lanceolata,Dypsis,lanceolata,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,NA,canopy,NA,1.91,1.9,NA,1.5,1.3,1.7,0.8,0.6,1,small,NA,green?,NA,NA
Dypsis lantzeana,Dypsis,lantzeana,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,4,2,understorey,15,0.57,0.47,0.12,1,NA,NA,0.7,NA,NA,small,globose,cherry-red ripening dark purple,purple,cryptic
Dypsis lanuginosa,Dypsis,lanuginosa,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,1.3,understorey,NA,0.44,0.44,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis lastelliana,Dypsis,lastelliana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,25,canopy,15,3.9,3.8,0.12,2.1,1.8,2.4,1.5,1.2,1.7,small,NA,green?,NA,NA
Dypsis leptocheilos,Dypsis,leptocheilos,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,25,canopy,15,4.17,4,0.19,1.1,NA,NA,1.1,1,1.2,small,globose,dark brown,brown,cryptic
Dypsis ligulata,Dypsis,ligulata,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,20,canopy,NA,NA,NA,NA,1.4,1.2,1.6,0.775,0.7,0.85,small,globose,yellowish,yellow,cryptic
Dypsis linearis,Dypsis,linearis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,7,4,canopy,8,0.85,0.7,0.17,0.75,0.6,0.9,0.5,0.4,0.6,small,globose,yellow to red,yellow; red,conspicuous
Dypsis lokohoensis,Dypsis,lokohoensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,1.5,understorey,9,NA,0.33,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis louvelii,Dypsis,louvelii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,1,understorey,10,0.5,0.48,NA,1.4,NA,NA,0.8,NA,NA,small,NA,scarlet,red,conspicuous
Dypsis lucens,Dypsis,lucens,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,0.6,1,understorey,10,0.3,0.19,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis lutea,Dypsis,lutea,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,3,0.8,understorey,9,0.55,0.43,0.14,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis lutescens,Dypsis,lutescens,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,7,12,canopy,11,2.27,1.9,0.42,1.5,1.2,1.8,0.85,0.7,1,small,globose,yellow,yellow,conspicuous
Dypsis madagascariensis,Dypsis,madagascariensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,18,20,canopy,12,3.1,3.1,NA,1.3,1,1.6,0.75,0.5,1,small,ellipsoid,green; dispersed by black lemur,green,cryptic
Dypsis mahia,Dypsis,mahia,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,0.6,0.6,understorey,10,0.38,NA,0.55,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis makirae,Dypsis,makirae,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,6,understorey,NA,NA,0.25,0.15,1.05,0.9,1.2,0.35,0.3,0.4,small,NA,yellowish,yellow,cryptic
Dypsis malcomberi,Dypsis,malcomberi,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,35,canopy,8,4.5,4,0.55,0.9,0.8,1,0.55,0.4,0.7,small,globose,pale orange,orange,conspicuous
Dypsis mananjarensis,Dypsis,mananjarensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,29,canopy,10,3.62,3.5,0.14,0.5,0.4,0.6,0.5,0.4,0.6,small,ovoid,yellowish,yellow,cryptic
Dypsis mangorensis,Dypsis,mangorensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,3,canopy,10,0.6,0.35,0.28,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis marojejyi,Dypsis,marojejyi,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,1,canopy,20,4.1,1.4,0.12,2.35,2.2,2.5,1.6,1.4,1.8,small,ovoid,pale yellow-green,green,cryptic
Dypsis mcdonaldiana,Dypsis,mcdonaldiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,3,understorey,10,1,0.9,0.12,0.75,0.6,0.9,0.35,0.3,0.4,small,ovoid,red,red,conspicuous
Dypsis metallica,Dypsis,metallica,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,2,understorey,10,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis minuta,Dypsis,minuta,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,0.5,0.5,understorey,8,0.33,0.06,0.3,1.45,1.4,1.5,0.4,0.3,0.5,small,globose,red,red,conspicuous
Dypsis mirabilis,Dypsis,mirabilis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2.5,1.5,understorey,7,0.96,0.85,0.13,0.95,1.2,0.7,0.7,NA,NA,small,NA,green,green,cryptic
Dypsis mocquerysiana,Dypsis,mocquerysiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,0.9,understorey,8,0.25,0.19,0.08,1.3,NA,NA,0.55,NA,NA,small,elongate,bright red,red,conspicuous
Dypsis monostachya,Dypsis,monostachya,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1,0.7,understorey,5,0.28,0.28,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis montana,Dypsis,montana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1,0.4,understorey,5,0.32,0.27,0.07,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis moorei,Dypsis,moorei,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,NA,understorey,NA,1.4,1.4,NA,2.5,NA,NA,2.2,NA,NA,small,NA,NA,NA,NA
Dypsis nauseosa,Dypsis,nauseosa,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,25,canopy,13,3.9,3.9,NA,1.55,NA,NA,1.3,NA,NA,small,NA,NA,NA,NA
Dypsis nodifera,Dypsis,nodifera,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,10,6,canopy,12,1.03,0.75,0.31,0.9,0.8,1,0.65,0.5,0.8,small,ovoid,green,green,cryptic
Dypsis nossibensis,Dypsis,nossibensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,15,canopy,18,2.8,2.41,0.44,1.3,NA,NA,1.1,NA,NA,small,globose,NA,NA,NA
Dypsis occidentalis,Dypsis,occidentalis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,0.8,understorey,8,0.4,0.4,NA,0.95,0.9,1,0.45,0.4,0.5,small,ovoid,reddish-orange,orange,conspicuous
Dypsis onilahensis,Dypsis,onilahensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,20,15,canopy,7,1.8,1.8,NA,1.4,1,1.8,1.1,0.7,1.5,small,ovoid,yellow,yellow,conspicuous
Dypsis oreophila,Dypsis,oreophila,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,8,4,canopy,8,1.5,1.5,NA,0.8,0.5,1.1,0.55,0.3,0.8,small,globose,green to red,green; red,conspicuous
Dypsis oropedionis,Dypsis,oropedionis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,35,canopy,11,3.45,3.1,0.4,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Dypsis ovobontsira,Dypsis,ovobontsira,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,13,canopy,6,3.07,2.6,0.52,1.6,1.5,1.7,1.4,1.3,1.5,small,ovoid,green,green,cryptic
Dypsis pachyramea,Dypsis,pachyramea,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,0.5,0.8,understorey,8,0.43,0.23,0.22,1.7,NA,NA,0.7,NA,NA,small,ovoid,cherry-red,red,conspicuous
Dypsis paludosa,Dypsis,paludosa,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,5,canopy,12,1.215,1.14,0.1,1.8,NA,NA,0.9,NA,NA,small,ovoid,NA,NA,NA
Dypsis pembana,Dypsis,pembana,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,18,15,canopy,10,2.4,2.4,NA,1.35,1.2,1.5,0.6,0.5,0.7,small,globose,dark red; crimson; bright red,red,conspicuous
Dypsis perrieri,Dypsis,perrieri,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,30,canopy,20,6.5,5,1.55,1.7,1.5,1.9,1.4,1.2,1.6,small,globose,greenish-brown,brown,cryptic
Dypsis pervillei,Dypsis,pervillei,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,NA,NA,NA,NA,0.44,0.35,0.11,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis pilulifera,Dypsis,pilulifera,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,40,canopy,9,5.4,5,0.45,0.6,0.5,0.7,0.6,0.5,0.7,small,NA,NA,NA,NA
Dypsis pinnatifrons,Dypsis,pinnatifrons,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,15,canopy,16,3.5,2.2,1.35,1.4,NA,NA,0.65,NA,NA,small,elongate,green turning brownish at maturity,green,cryptic
Dypsis plumosa,Dypsis,plumosa,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypsis plurisecta,Dypsis,plurisecta,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,0.7,NA,NA,0.24,0.24,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis poivreana,Dypsis,poivreana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,0.8,0.8,understorey,8,0.42,0.1,0.35,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Dypsis prestoniana,Dypsis,prestoniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,40,canopy,10,4.57,4.4,0.19,1.35,1.2,1.5,0.7,0.6,0.8,small,globose,orange,orange,conspicuous
Dypsis procera,Dypsis,procera,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,2.5,canopy,8,0.85,0.6,0.28,NA,NA,NA,0.3,NA,NA,NA,ovoid,NA,NA,NA
Dypsis procumbens,Dypsis,procumbens,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,7,4,canopy,8,0.86,0.7,0.18,0.75,0.6,0.9,0.5,0.4,0.6,small,globose,yellow to red,yellow; red,conspicuous
Dypsis psammophila,Dypsis,psammophila,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,3,understorey,NA,2,0.76,1.39,0.95,0.9,1,0.55,0.5,0.6,small,NA,NA,NA,NA
Dypsis pulchella,Dypsis,pulchella,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1,0.7,understorey,8,0.23,0.23,NA,0.65,0.6,0.7,0.25,0.2,0.3,small,NA,NA,NA,NA
