name,wins,losses,draws,nc,height,weight,reach,stance,dob,s_lp_m,str_acc,s_ap_m,str_def,td_avg,td_acc,td_def,sub_avg
Pascal Krauss,11,2,0,0,"6' 1""",170 lbs.,NA,Orthodox,"Apr 19, 1987",5.45,47%,3.88,59%,1.53,50%,60%,0.9
Rene Kronvold,5,1,0,0,"5' 8""",170 lbs.,NA,Orthodox,"Jan 03, 1970",0.82,100%,2.47,60%,0,0%,66%,4.1
Kaynan Kruschewsky,15,3,0,1,"6' 0""",155 lbs.,"73""",Orthodox,"Apr 04, 1991",5.67,50%,5.71,46%,2.74,100%,75%,2.1
Jorgen Kruth,5,0,0,0,"6' 2""",205 lbs.,NA,NA,"May 08, 1974",0,0%,0,0%,0,0%,0%,0
Nikita Krylov,31,11,0,0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",4.36,54%,2.59,47%,2.05,37%,53%,1.2
Mariusz Ksiazkiewicz,8,1,0,0,"6' 3""",185 lbs.,"75""",Southpaw,"Oct 04, 1989",0.93,45%,3.4,39%,4,100%,0%,2
Eliezer Kubanza,7,1,0,0,"5' 9""",170 lbs.,"74""",Orthodox,"Dec 23, 1997",2.11,50%,6.97,37%,0,0%,100%,0
Junya Kudo,10,7,2,0,NA,135 lbs.,NA,Orthodox,"Mar 24, 1983",1.85,71%,4.44,33%,0,0%,0%,0
John Kuhner,1,2,0,0,NA,170 lbs.,NA,NA,"Oct 12, 1982",0,0%,0,0%,0,0%,0%,0
Michael Kuiper,15,5,0,0,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 07, 1989",3.28,54%,3.62,54%,2.3,55%,79%,0
Anton Kuivanen,24,10,0,0,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",2.27,38%,1.63,67%,1.2,100%,71%,0.4
Maiju Kujala,6,3,0,0,NA,135 lbs.,NA,NA,"Feb 24, 1986",2.5,40%,5.5,36%,0,0%,50%,0
Sumit Kumar,8,1,0,0,"5' 5""",125 lbs.,"66""",Orthodox,"Sep 09, 2000",2.8,24%,4.67,46%,6,30%,60%,0
Aleksei Kunchenko,20,2,0,0,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",3.67,44%,2.83,63%,0.25,33%,80%,0
Rizvan Kuniev,13,3,1,1,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992",3.94,54%,2.33,48%,0.98,75%,93%,0
Keigo Kunihara,3,2,0,0,"6' 0""",235 lbs.,NA,Orthodox,NA,0.17,10%,1.99,57%,4.97,40%,100%,2.5
Kiichi Kunimoto,18,7,2,1,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981",1.87,44%,3.92,41%,1.59,20%,28%,0.3
Jon Kunneman,10,0,0,0,NA,185 lbs.,NA,NA,"Jul 14, 1999",0,0%,0,0%,0,0%,0%,0
Leo Kuntz,18,4,1,0,"5' 10""",155 lbs.,NA,Orthodox,"Oct 03, 1983",1.68,32%,3.8,45%,1.99,25%,33%,0.7
Korey Kuppe,8,4,0,0,"6' 5""",170 lbs.,"77""",Switch,"Jan 23, 1989",0.73,73%,1.33,31%,0,0%,69%,1
Ramazan Kuramagomedov,8,0,0,0,"6' 1""",170 lbs.,"73""",Orthodox,"Aug 23, 1996",11.67,67%,9.13,54%,1,14%,0%,0
Tsuyoshi Kurihara,10,8,2,0,"5' 10""",185 lbs.,NA,Orthodox,"Jul 13, 1973",0,0%,12,50%,0,0%,0%,0
Eldari Kurtanidze,0,1,0,0,"5' 6""",235 lbs.,NA,Orthodox,"Apr 16, 1972",0.47,20%,3.72,60%,0,0%,0%,0
Kyle Kurtz,7,5,0,0,NA,170 lbs.,NA,NA,NA,1.31,36%,2.95,52%,1.23,20%,0%,2.5
Guram Kutateladze,13,5,0,0,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992",3.53,45%,4.22,54%,0.61,15%,75%,0
Vadym Kutsyi,17,2,0,0,"6' 0""",170 lbs.,"71""",Orthodox,"Jul 18, 1991",5.53,48%,4.94,55%,3.53,40%,0%,0
Lina Kvokov,0,3,0,0,"5' 9""",135 lbs.,NA,Orthodox,NA,2.31,30%,12.12,19%,0,0%,0%,0
Kaleo Kwan,11,16,0,0,"5' 7""",155 lbs.,NA,NA,"Aug 01, 1970",0,0%,0,0%,0,0%,0%,0
Jarrod Kwitty,2,2,0,0,"5' 8""",185 lbs.,NA,NA,NA,0.53,50%,4.4,32%,8,50%,0%,2
Mike Kyle,22,14,1,2,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",3.93,51%,3.35,49%,1.33,62%,50%,0.8
Lisa Kyriacou,7,2,0,0,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 17, 1993",4.67,41%,4.4,47%,0,0%,33%,0
Achmed Labasanov,7,4,0,0,"6' 3""",215 lbs.,NA,Orthodox,"Apr 24, 1978",0.75,39%,1.1,46%,3,100%,0%,0.8
Josh LaBerge,11,6,0,0,"5' 10""",145 lbs.,NA,NA,NA,2.53,36%,5.33,44%,0,0%,71%,0
Jeremiah Labiano,11,5,0,0,"5' 10""",135 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Daniel Lacerda,11,6,0,1,"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996",3.95,45%,8.28,34%,2.32,50%,0%,1.2
Luan Lacerda,13,4,0,0,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",4.06,42%,6.15,49%,2.82,39%,66%,0.6
Kemran Lachinov,3,2,0,0,NA,170 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Aspen Ladd,9,3,0,0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",3.78,47%,4.65,47%,1.56,47%,62%,0.6
Ryan LaFlare,14,3,0,0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2.89,40%,1.86,63%,2.13,44%,58%,0.2
Corinne Laframboise,8,5,0,0,"5' 4""",125 lbs.,"65""",Orthodox,"May 25, 1989",3.16,68%,1.89,47%,3.16,100%,33%,0
Ben Lagman,6,5,0,0,"6' 2""",185 lbs.,NA,NA,"Sep 04, 1986",0,0%,0,0%,0,0%,0%,0
Noad Lahat,11,2,0,0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4
Tina Lahdemaki,5,1,0,0,"5' 2""",115 lbs.,NA,Orthodox,"May 28, 1988",1.93,20%,4.67,57%,0,0%,16%,0
Yohan Lainesse,9,3,0,0,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",2.22,41%,3.38,58%,0.94,28%,72%,0.5
Tim Lajcik,7,6,1,0,"6' 1""",225 lbs.,NA,Orthodox,"Jun 21, 1965",0,0%,0,0%,0,0%,0%,0
Todd Lally,2,1,0,0,"5' 7""",145 lbs.,NA,Orthodox,NA,0,0%,0,0%,0,0%,0%,0
Sean Lally,7,3,0,0,"6' 0""",170 lbs.,NA,Orthodox,"Nov 04, 1990",5.34,39%,7.23,30%,0,0%,0%,0
Ricardo Lamas,20,8,0,0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9
Jason Lambert,26,13,0,0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",3.21,58%,1.84,50%,1.35,36%,28%,2.4
Jose Landi-Jons,29,16,0,0,"5' 11""",170 lbs.,NA,Orthodox,"Sep 09, 1973",0.99,40%,0.77,43%,2.2,80%,40%,2.2
Nate Landwehr,18,8,0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",5.55,45%,5.96,51%,0.73,41%,71%,0.7
Austen Lane,13,8,0,1,"6' 6""",205 lbs.,"80""",Orthodox,"Nov 09, 1987",2.7,50%,2.45,39%,1.5,28%,33%,0
Aaron Lanfranco,5,1,0,0,NA,155 lbs.,NA,NA,"Aug 26, 1986",0,0%,0,0%,0,0%,0%,0
Jeremy Lang,21,2,0,0,"5' 11""",205 lbs.,NA,Southpaw,"May 11, 1975",1.13,50%,1.41,42%,4.22,60%,0%,4.2
Lionel Lanham,5,1,0,0,NA,205 lbs.,NA,NA,"Aug 31, 1980",0,0%,0,0%,0,0%,0%,0
Lina Lansberg,10,8,0,0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2.69,55%,3.87,44%,0.52,27%,47%,0.1
Taylor Lapilus,21,4,0,0,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",4.59,48%,2.61,62%,0.27,33%,77%,0.3
Chad Laprise,13,4,0,0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",4.78,42%,3.59,65%,1.05,54%,78%,0
Anthony Lapsley,23,7,0,2,"5' 9""",170 lbs.,NA,Southpaw,"Feb 13, 1980",0.53,34%,0.58,66%,0,0%,20%,0
TJ Laramie,12,5,0,0,"5' 6""",145 lbs.,"66""",Orthodox,"Oct 15, 1997",1.49,50%,2.64,38%,1.44,33%,40%,0
Joseph Larcinese,6,0,0,0,"5' 3""",125 lbs.,"64""",Orthodox,"Oct 01, 1998",5.4,52%,5.07,56%,2,40%,50%,0
Icho Larenas,6,5,0,0,"6' 3""",235 lbs.,NA,Orthodox,"Mar 12, 1980",0.17,15%,2.5,28%,0,0%,14%,0
Lorenz Larkin,18,6,0,1,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",3.53,46%,2.74,63%,0.27,42%,79%,0.1
Jeremy Larsen,8,5,0,0,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984",4.87,48%,5.75,57%,2.49,33%,0%,0
Brock Larson,42,10,0,0,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",1.39,46%,1.5,55%,2.67,34%,43%,2
Ryan Larson,6,2,0,0,NA,170 lbs.,NA,NA,"Dec 30, 1980",0,0%,0,0%,0,0%,0%,0
Bobby Lashley,15,2,0,0,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976",3.1,63%,0.76,63%,11.47,70%,0%,0
Ilir Latifi,17,9,0,1,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",2.05,45%,2.93,56%,2.11,35%,100%,0.3
Sione Latu,1,0,0,0,"6' 0""",215 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Phillip Latu,6,2,0,0,"6' 3""",205 lbs.,"76""",Orthodox,"Feb 17, 1991",3.4,51%,7.07,31%,0,0%,100%,0
Jenel Lausa,7,5,0,0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,42%,3.53,53%,0.55,66%,51%,0.8
Joe Lauzon,28,16,0,0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2
Dan Lauzon,17,6,0,0,"5' 10""",155 lbs.,NA,Orthodox,"Mar 30, 1988",1.34,25%,4.09,61%,1.63,33%,80%,2.7
Sandra Lavado,10,3,0,0,"5' 7""",115 lbs.,"66""",Orthodox,"May 03, 1994",0.87,37%,2.67,34%,0,0%,33%,0
Chatt Lavender,9,7,0,0,"5' 8""",170 lbs.,NA,NA,"May 24, 1976",0,0%,0,0%,0,0%,0%,0
Cody Law,9,2,0,0,NA,145 lbs.,NA,NA,"Mar 24, 1995",0,0%,0,0%,0,0%,0%,0
Muhammed Lawal,21,6,0,1,"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981",3.79,52%,1.61,66%,5.96,75%,87%,0
Robbie Lawler,30,16,0,1,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,0.65,64%,65%,0
Tom Lawlor,10,6,0,1,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.5,42%,2.41,60%,2.46,32%,57%,1.4
Justin Lawrence,10,4,0,0,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990",3.84,35%,2.83,67%,0.72,28%,73%,0
Lance Lawrence,4,1,0,0,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993",5.87,50%,9.8,24%,1,100%,50%,0
Ronnie Lawrence,8,2,0,1,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",2.78,56%,1.75,52%,6.75,77%,45%,0.2
Eric Lawson,9,5,0,0,"6' 0""",185 lbs.,NA,Orthodox,"Feb 12, 1981",1.58,57%,1.97,44%,8.88,42%,0%,3
Jimmy Lawson,4,2,0,0,"6' 0""",265 lbs.,"77""",Orthodox,"Nov 13, 1991",0.07,8%,1.6,44%,0,0%,0%,0
Valmir Lazaro,15,5,0,0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",4.87,37%,4.09,61%,1.33,40%,96%,0
Zviad Lazishvili,13,1,0,0,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991",4.2,39%,6.13,51%,0,0%,0%,0
Mounir Lazzez,11,3,0,0,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987",7.49,55%,5.42,53%,1.8,57%,71%,0
Cung Le,9,3,0,0,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972",4.36,48%,2.98,66%,1.37,71%,88%,0.3
Thanh Le,6,1,0,0,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985",1.97,40%,1.82,70%,0,0%,100%,0
Quang Le,9,3,0,0,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991",2.82,38%,4.59,49%,2.9,33%,100%,0.4
Carlos Leal,23,7,0,0,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",8.75,47%,7.78,48%,0.43,11%,90%,0
Jordan Leavitt,13,4,0,0,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 02, 1995",2.18,58%,1.57,59%,2.97,30%,30%,1.2
Jerome LeBanner,3,2,0,0,"6' 3""",265 lbs.,NA,Southpaw,"Dec 26, 1972",0.92,35%,1.03,37%,0,0%,50%,0
Chris Leben,22,11,0,0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8
Julien Leblanc,10,3,0,0,"6' 2""",185 lbs.,"74""",Southpaw,"Jan 21, 1992",1.69,66%,2.96,46%,0,0%,0%,0
Jean-Paul Lebosnoyani,10,2,0,0,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999",4.77,61%,3.72,53%,2.79,30%,0%,1.9
Mickael Lebout,16,7,1,1,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987",2.6,34%,2.98,54%,0,0%,60%,0
Stephen Ledbetter,8,3,0,0,"5' 9""",145 lbs.,NA,Orthodox,"Jun 30, 1982",1.2,38%,1.6,57%,5,45%,100%,0
Justin Ledet,9,4,0,1,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,39%,4.82,49%,0.23,50%,42%,0.2
James Lee,15,3,0,1,"5' 11""",205 lbs.,NA,Southpaw,"Sep 22, 1973",1.4,42%,3.72,27%,13.95,50%,0%,7
David Lee,12,10,0,0,"5' 10""",155 lbs.,NA,Orthodox,"Apr 12, 1978",1.49,50%,3.31,42%,0,0%,50%,0
Jackie Lee,0,1,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Eun Soo Lee,17,4,0,1,"6' 1""",215 lbs.,NA,Orthodox,"Mar 07, 1982",0,0%,3.05,60%,0,0%,50%,0
Tae Hyun Lee,1,2,0,0,"6' 6""",295 lbs.,NA,Orthodox,"Jan 17, 1975",1.37,31%,3.89,54%,5.15,100%,0%,0
Tommy Lee,25,6,0,1,"5' 7""",145 lbs.,NA,Orthodox,"Jan 20, 1977",0,0%,0.3,75%,4.57,33%,0%,0
Matt Lee,14,10,1,0,"5' 11""",155 lbs.,NA,Orthodox,"Jul 09, 1971",0,0%,9.68,21%,0,0%,0%,0
Imani Lee,2,4,0,0,NA,NA,NA,Orthodox,"Jul 17, 1977",0,0%,0.94,33%,0,0%,0%,0
Vaughan Lee,14,13,1,0,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982",3.47,47%,2.07,70%,0.81,33%,72%,1
Kevin Lee,18,8,0,0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.88,42%,3.6,50%,3.18,43%,75%,0.8
Rocky Lee,3,2,0,0,"5' 9""",145 lbs.,NA,Orthodox,"Apr 08, 1987",2.47,51%,5.33,44%,1,10%,33%,0
Andrea Lee,13,11,0,0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.62,45%,3.91,61%,1.65,52%,53%,0.6
JeongYeong Lee,11,3,0,0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 13, 1995",3.38,49%,3.82,50%,0.63,66%,72%,0.3
JungHyun Lee,8,1,0,0,"5' 5""",125 lbs.,"65""",Orthodox,"Sep 10, 2002",4.27,39%,6.2,38%,0,0%,64%,0
ChangHo Lee,11,2,0,0,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994",3.88,66%,2.13,37%,3.2,34%,40%,0.3
Macksom Lee,9,1,0,0,"6' 1""",135 lbs.,"75""",Orthodox,"Jan 06, 1999",0.87,44%,2.13,50%,0,0%,63%,1
YiSak Lee,8,2,0,0,"6' 0""",185 lbs.,"72""",Orthodox,"Jan 01, 2000",2.73,40%,5.73,47%,0,0%,0%,0
Ricky Legere Jr.,14,4,0,0,"5' 8""",170 lbs.,NA,NA,"Dec 21, 1985",1.07,41%,1.53,60%,5,41%,0%,0
Sherron Leggett,21,6,0,0,"5' 8""",155 lbs.,NA,Southpaw,"Oct 27, 1978",2.86,51%,2.08,47%,5.19,80%,33%,0
Cheyden Leialoha,6,0,0,0,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994",1.87,28%,3.2,53%,2,33%,71%,0
Claudia Leite,8,3,0,0,"5' 3""",135 lbs.,"64""",Orthodox,"Nov 04, 1996",1.27,47%,1.73,57%,1,25%,0%,1
Thales Leites,28,9,0,0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2.13,40%,2.99,52%,2.1,27%,30%,1.1
Jovan Leka,11,2,0,0,"6' 4""",259 lbs.,"75""",Orthodox,"Mar 15, 2002",1.6,75%,0.6,43%,1,100%,55%,1
Stefan Leko,0,3,0,0,"6' 2""",215 lbs.,NA,Orthodox,"Jun 03, 1974",2.4,43%,6.17,68%,0,0%,0%,0
Gabe Lemley,13,9,0,0,"5' 8""",155 lbs.,NA,Orthodox,NA,0.82,35%,6.03,45%,0,0%,0%,0
Amanda Lemos,15,6,1,0,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",2.75,55%,3.01,45%,1.02,64%,63%,0.7
Giacomo Lemos,6,0,0,0,"6' 3""",247 lbs.,"75""",Orthodox,"Jun 23, 1989",0,0%,0,0%,0,0%,0%,0
Christophe Leninger,3,4,0,0,"6' 0""",200 lbs.,NA,Southpaw,NA,0,0%,0,0%,0,0%,0%,0
Jesse Lennox,14,4,0,0,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",2.69,32%,3.2,64%,1.22,66%,63%,0.3
Jean Francois Lenogue,16,17,3,0,"6' 0""",185 lbs.,NA,Orthodox,"Nov 29, 1972",1.13,34%,0.27,60%,0,0%,33%,0
Nik Lentz,30,12,2,1,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.3,32%,43%,1.2
Alberta Cerra Leon,0,1,0,0,"5' 8""",238 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Victoria Leonardo,9,7,0,0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",3.22,38%,4.81,47%,1.57,27%,71%,0
Anthony Leone,15,8,0,0,"5' 6""",135 lbs.,NA,Orthodox,"May 27, 1987",1.94,53%,2.52,56%,1.72,18%,0%,0
Chad Leonhardt,9,4,0,0,"6' 0""",170 lbs.,NA,NA,"Feb 19, 1980",0,0%,0,0%,0,0%,0%,0
Kimo Leopoldo,10,7,1,0,"6' 3""",235 lbs.,NA,Orthodox,"Jan 05, 1968",0.76,83%,2.12,30%,4.55,100%,0%,2.3
Michael Lerma,0,1,0,0,NA,NA,NA,NA,"Nov 18, 1973",0,0%,6.47,45%,0,0%,0%,0
Lukasz Les,8,3,0,0,NA,170 lbs.,NA,NA,"Nov 05, 1981",0,0%,0,0%,0,0%,0%,0
Brock Lesnar,5,3,0,1,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,72%,2.11,50%,3.9,55%,60%,0.5
Frank Lester,11,6,0,1,"5' 11""",170 lbs.,NA,Orthodox,"Jun 10, 1984",2.18,36%,3.82,53%,0,0%,0%,0
Valerie Letourneau,8,6,0,0,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3
Leah Letson,5,3,0,0,"5' 7""",145 lbs.,"71""",Southpaw,"Aug 21, 1992",3.06,41%,3.84,52%,0.51,50%,76%,0
Justin Levens,10,7,0,0,"5' 11""",185 lbs.,NA,Orthodox,"Apr 18, 1980",1.24,47%,3.15,37%,1.69,50%,33%,5.1
Marcus LeVesseur,22,7,0,0,"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982",2.55,64%,3.7,37%,3.89,36%,83%,0.6
David Levicki,1,3,0,0,"6' 5""",275 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Kyle Levinton,0,3,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Natan Levy,8,2,0,0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991",3.7,52%,3.19,58%,5.03,58%,41%,0.5
John Lewis,3,4,3,0,"6' 0""",155 lbs.,NA,Southpaw,NA,0,0%,4,66%,0,0%,0%,0
Derrick Lewis,29,14,0,1,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.41,48%,2.79,38%,0.53,25%,51%,0
Bevon Lewis,7,3,0,0,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",3.73,43%,2.67,54%,0,0%,66%,0
Brandon Lewis,6,2,0,0,"5' 4""",135 lbs.,"70""",Orthodox,"Aug 02, 1997",2.17,29%,3.63,53%,1,15%,20%,0
Malik Lewis,6,2,0,0,"6' 0""",155 lbs.,"75""",Orthodox,"Mar 04, 1996",4.16,45%,5.66,40%,3.98,40%,50%,0
Chi Lewis-Parry,7,0,1,2,"6' 9""",243 lbs.,NA,NA,"Aug 10, 1983",0,0%,0,0%,0,0%,0%,0
Li Jingliang,19,9,0,0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.46,42%,3.95,56%,1.19,41%,60%,0
Li Yunfeng,9,5,0,0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 08, 1999",0.53,29%,2.55,35%,0,0%,50%,0
Liang Na,19,8,0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996",1.99,42%,3.95,36%,3.6,58%,25%,0.5
Jess Liaudin,20,11,0,0,"5' 9""",170 lbs.,"72""",Orthodox,NA,2.46,51%,2.76,41%,3.28,53%,30%,1.6
Chuck Liddell,21,8,0,0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0
Rodrigo Lidio,12,3,0,0,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 07, 1989",0.97,50%,0,100%,0,0%,50%,0
Sam Liera,12,10,0,0,NA,NA,NA,NA,"Nov 26, 1983",0.82,60%,7.36,51%,0,0%,66%,0
Zach Light,9,11,0,0,"5' 8""",170 lbs.,NA,Orthodox,"Feb 06, 1974",0.81,33%,1.9,48%,1.36,100%,0%,0
Scott Lighty,6,2,0,0,"6' 2""",205 lbs.,NA,NA,"Oct 15, 1978",2.91,21%,4.24,49%,0,0%,0%,0
Chris Liguori,15,10,0,0,"5' 9""",185 lbs.,NA,Orthodox,NA,0.29,33%,1.44,0%,0,0%,50%,0
Donnie Liles,17,7,0,0,"5' 9""",170 lbs.,NA,Orthodox,NA,2.25,41%,1.75,65%,2.5,28%,0%,1.2
Jae Suk Lim,17,6,0,0,"5' 9""",170 lbs.,NA,Orthodox,"Nov 09, 1979",2.43,50%,4.05,37%,12.16,100%,100%,0
Hyun Gyu Lim,13,7,1,0,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",4.45,41%,5.07,51%,0.23,100%,73%,0.2
GwanWoo Lim,5,2,0,0,"6' 2""",145 lbs.,"74""",Southpaw,"Jul 27, 2001",0.53,42%,2.47,24%,0,0%,53%,1
Juliana Lima,9,5,0,0,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982",1.94,44%,2.11,55%,1.72,31%,70%,0
Dhiego Lima,17,9,0,0,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.12,39%,3.88,58%,1.26,34%,73%,0.6
Douglas Lima,29,6,0,0,"6' 1""",170 lbs.,NA,NA,"Jan 05, 1988",1.92,36%,2.84,60%,0.6,100%,46%,0
Mabelly Lima,7,1,0,0,"5' 2""",135 lbs.,NA,Orthodox,"Jan 25, 1994",3.07,63%,5.67,44%,0,0%,100%,0
Andre Lima,11,1,0,0,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 04, 1999",3.94,56%,2.66,58%,1.11,60%,75%,0.9
Felipe Lima,14,2,0,0,"5' 6""",135 lbs.,"68""",Orthodox,"May 07, 1998",2.86,45%,2.91,64%,2.18,27%,85%,0.7
Miguel Linares,2,4,0,0,NA,NA,NA,NA,NA,6.51,50%,8.84,36%,0,0%,0%,0
Emiliano Linares,8,2,0,0,"5' 8""",145 lbs.,"72""",Orthodox,"Apr 21, 1997",1.17,28%,3.59,26%,0,0%,33%,0
Matt Lindland,22,9,0,0,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",2.62,50%,1.56,52%,3.01,48%,60%,1.3
Jake Lindsey,12,7,0,0,"5' 11""",155 lbs.,NA,Switch,"Jun 21, 1986",3.44,52%,4.01,46%,0.65,33%,50%,0
John Lineker,31,9,0,0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6
Austin Lingo,9,3,0,0,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",3.86,37%,4.86,57%,0.43,66%,75%,0
Lucio Linhares,19,8,0,0,"6' 2""",185 lbs.,NA,Orthodox,"Dec 08, 1973",0.99,22%,3.47,34%,1.86,50%,50%,1.9
Philipe Lins,18,5,0,0,"6' 2""",205 lbs.,"78""",Orthodox,"Aug 17, 1985",3.8,49%,3.59,46%,1.65,33%,100%,0
Tainara Lisboa,7,4,0,0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991",2.01,44%,2.88,45%,1.67,31%,53%,0.3
Dean Lister,13,7,0,0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976",1.26,35%,1.89,61%,1.58,15%,50%,1.1
Wesley Little,4,8,0,0,"6' 4""",205 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Adam Livingston,6,1,0,0,"6' 2""",155 lbs.,"71""",Orthodox,"Aug 15, 2001",0.36,33%,1.08,0%,0,0%,60%,0
James Llontop,14,5,0,0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999",5.57,41%,4.12,57%,0,0%,54%,0
Abner Lloveras,20,9,1,0,"5' 11""",155 lbs.,NA,NA,"Sep 04, 1982",6.27,49%,6.87,43%,2,20%,0%,0
