total_cup_points,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
82.75,Arabica,consejo salvadoreño del café,El Salvador,la montaña,13,soc. coop. de caf. de ciudad barrios de r.l.,09-134-17,soc. coop. de caf. de ciudad barrios de r.l.,1250,cacahuatique,Soc. Coop. de Caf. de Ciudad Barrios de R.L.,275,69 kg,Salvadoran Coffee Council,2017,"May 8th, 2017",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,0,0,0,NA,4,"May 8th, 2018",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1250,1250,1250
82.75,Arabica,"ceca, s.a.",Costa Rica,gamboa,8866-2,beneficio montañas del diamante,5-025-0109,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,250,69 kg,Specialty Coffee Association of Costa Rica,2016,"April 28th, 2017","CECA, S.A.",Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09,0,0,Bluish-Green,1,"April 28th, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
82.75,Arabica,bismarck castro,Honduras,los hicaques,103,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2017,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09,0,1,Green,6,"April 6th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400,1400,1400
82.75,Arabica,ipanema coffees,Brazil,capoeirinha,260/15,dry mill,002/1660/0048,ipanema coffees,905,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2015,"April 25th, 2016",Ipanema Coffees,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11,0,2,Bluish-Green,1,"April 25th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,905,905,905
82.75,Arabica,yunnan coffee exchange,China,man ganna estate,YNC-16057,"puwen lvyou coffee co.,ltd",NA,yunnan coffee exchange,1100,yunnan,"Puwen Lvyou Coffee Co.,Ltd",3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1100,1100,1100
82.75,Arabica,yunnan coffee exchange,China,pu'er lingdu yunlin coffee co.ltd,YNC-16014,pu'er lingdu yunlin coffee co.ltd mill,5300343627999,yunnan coffee exchange,1500,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1500,1500,1500
82.75,Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,3-37-0127,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,250,70 kg,Almacafé,2014,"November 7th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0,0,0,Blue-Green,2,"November 7th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
82.75,Arabica,afca,Malawi,msese,NA,mzuzu coffee coop union,C21,mzuzu coffee planters coop union,1442 m,mzuzu,Mzuzu Coffee Planters Coop Union,29,60 kg,Africa Fine Coffee Association,2014,"November 4th, 2014",AFCA,Gesha,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12,0,0,Bluish-Green,0,"November 4th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1442,1442,1442
82.75,Arabica,juan luis alvarado romero,Guatemala,el morito,NA,el morito,11/972/34,"armajaro guatemala, s. a.",5000 ft.,jalapa,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2014,"June 16th, 2014",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,0.13,0,0,Green,2,"June 16th, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
82.75,Arabica,coffee export,Colombia,NA,NA,trilladora mercedes,3-201-1817,coffee export,1.65,huila,NA,275,1 kg,Almacafé,2014,"May 27th, 2014",Coffee Export,Typica,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,0.12,0,0,Green,0,"May 27th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,165,165,165
82.75,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,NA,KP010914,kona pacific farmers cooperative,NA,kona,NA,10,80 lbs,Specialty Coffee Association,2013,"February 5th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,7.42,0.1,6,0,Blue-Green,0,"February 5th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.75,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,NA,KF010914,kona pacific farmers cooperative,NA,kona,NA,6,100 lbs,Specialty Coffee Association,2013,"February 4th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,7.75,0.1,0,0,Green,0,"February 4th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.75,Arabica,the coffee source inc.,Colombia,several,NA,antioquia,3-332-0028,the coffee source inc.,1300,antioquia,several,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"January 21st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,0.1,0,0,Green,2,"January 21st, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300,1300,1300
82.75,Arabica,nestor mendez gomez,Mexico,san lorenzo,NA,algel de albino de corzo,016-2129,cesmach s.c.,1550,chiapas,CARLOS O. VELAZCO LOPEZ,32,1 kg,AMECAFE,2013,"March 29th, 2013",NESTOR MENDEZ GOMEZ,Typica,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,0.12,0,0,Green,6,"March 29th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1550,1550,1550
82.75,Arabica,sergio de la vequia bernardi,Mexico,tlamatoca,NA,cafetalera la cuchilla,1104289425,NA,1200,veracruz,FRANCISCO R. DE LA VEQUIA BERNARDI,250,1 kg,AMECAFE,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Washed / Wet,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,0.12,0,0,NA,0,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1200,1200
82.75,Arabica,romulo bello flores,Mexico,NA,NA,NA,1302910536,cafe shunuc,1200,atoyac de alvarez,ROMULO BELLO FLORES,21,1 kg,AMECAFE,2012,"June 6th, 2012",ROMULO BELLO FLORES,Typica,Natural / Dry,8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,0.12,1,0,NA,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1200,1200
82.75,Arabica,NA,Colombia,supply chain ecom cca s.a.,NA,south huila,3-79-0334,ecom cca s.a.,1400 thru 1850,south huila,Supply Chain ECOM CCA S.A.,250,70 kg,Almacafé,2012,"April 11th, 2012",NA,Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,0,0,0,Blue-Green,0,"April 11th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1400,1850,1625
82.75,Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,3-37-0767,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,100,70 kg,Almacafé,2012,"March 5th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,0.11,0,0,Green,3,"March 5th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
82.75,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,2135401,cqi,NA,kona,NA,6,100 lbs,Specialty Coffee Association,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,7.75,0.12,0,0,Green,0,"February 22nd, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.75,Arabica,rachel peterson,Panama,hacienda la esmeralda,NA,hacienda la esmeralda,29,hacienda la esmeralda,1100,boquete,Price Peterson,300,2 kg,Specialty Coffee Association,2012,"February 23rd, 2012",Rachel Peterson,Catuai,Washed / Wet,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,0,0,0,Green,4,"February 22nd, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
82.75,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,HDOA 210688,NA,NA,kona,NA,14,1,Specialty Coffee Association,NA,"June 29th, 2010",Kona Pacific Farmers Cooperative,NA,NA,7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,7.42,0,0,0,NA,2,"June 29th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.67,Arabica,ipanema coffees,Brazil,capoeirinha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,0,0,0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890,890,890
82.67,Arabica,ipanema coffees,Brazil,capoeirinha,007/16D,dry mill,002/1660/0105,ipanema coffees,934,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,0.11,0,2,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934,934,934
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Laos,savan coffee bean,1,non,NA,宸嶧國際,1300,"paksong,laos","Paksong,Laos",60,50 kg,Blossom Valley International,2015,"June 2nd, 2016",CQI Taiwan ICP CQI台灣合作夥伴,Catimor,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,0.13,0,0,Bluish-Green,0,"June 2nd, 2017",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1300,1300,1300
82.67,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,1,santa adelaida,09-0488-001,consejo salvadoreño del café,1200,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2016,"March 29th, 2016",Consejo Salvadoreño del Café,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,0,0,0,Green,7,"March 29th, 2017",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1200,1200,1200
82.67,Arabica,josé luis rojas yeo,Mexico,gabriel bernard rivas ross,53,beneficio dos puentes,NA,finca kassandra,1300,veracruz,Finca Kassandra,8,8 kg,Centro Agroecológico del Café A.C.,2016,"February 25th, 2016",José Luis Rojas Yeo,NA,NA,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,0.11,0,2,Green,3,"February 24th, 2017",Centro Agroecológico del Café A.C.,3b8dfdd621590b424ff64e0b76df7d6a92e1c628,d470dc009281519e30da6ead1c649fcd7670f386,m,1300,1300,1300
82.67,Arabica,federacion nacional de cafeteros,Colombia,NA,NA,NA,3- 01-6894,federacion nacional de cafeteros,NA,huila,NA,1,2 kg,Almacafé,2015,"November 3rd, 2015",Federacion Nacional de Cafeteros,NA,Washed / Wet,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,7.42,0,1,0,Green,9,"November 2nd, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
82.67,Arabica,ipanema coffees,Brazil,rio verde,NA,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agrícola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
82.67,Arabica,bourbon specialty coffees,Brazil,santa maria,NA,NA,002/4542/0213,bourbon specialty coffees,NA,monte carmelo,MANOEL CARDOSO AND GALILEO CARDOSO,300,60 kg,Brazil Specialty Coffee Association,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Catuai,Natural / Dry,7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,0.12,0,0,NA,9,"January 15th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
82.67,Arabica,nitin coffee estate,"Tanzania, United Republic Of",nitin,NA,nitin coffee estate,C25,nitin coffee estate,1700,karatu arusha,Nitin Coffee Estate,93,60 kg,Africa Fine Coffee Association,2014,"December 18th, 2014",Nitin Coffee Estate,Other,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,0.12,0,0,Green,0,"December 18th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1700,1700,1700
82.67,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",ampcg,NA,taylor winch (t) ltd,C20,taylor winch (t) ltd,1550,mbinga,Taylor Winch (T) ltd,77,60 kg,Africa Fine Coffee Association,2014,"December 15th, 2014",Taylor Winch (T) Ltd,Bourbon,Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,0.12,0,0,Green,4,"December 15th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1550,1550,1550
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,伊娜咖啡莊園,NA,伊娜咖啡莊園,Taiwan台灣,宸嶧國際,1200公尺,嘉義阿里山,林道明,10,60 kg,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,0.08,0,0,Green,0,"November 23rd, 2015",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1200,1200,1200
82.67,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los llanitos,NA,la yerba,703805790,productos y servicios chilindron s.a. de c.v.,1296,la yerba,AVELINO CHAVEZ REYNA,11,1 kg,AMECAFE,2014,"August 15th, 2014",PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,0.11,0,0,Green,0,"August 15th, 2015",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1296,1296,1296
82.67,Arabica,kawacom uganda ltd,Uganda,bugisu shamba,NA,kawacom,793,afca,1400- 1900,mt elgon,Kawacom Uganda Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 25th, 2014",Kawacom Uganda LTD,SL14,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,0.12,0,0,Green,0,"June 25th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400,1900,1650
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,zhuo wu shan coffee 卓武山咖啡農場,NA,zhuo wu shan coffee 卓武山咖啡農場,NA,blossom valley宸嶧國際,1240 m,chiayi alishan 嘉義縣阿里山鄉,Xu ding ye 許定燁,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1240,1240,1240
82.67,Arabica,松澤宏樹 koju matsuzawa,Thailand,m10,NA,m10,NA,"coffeas co., ltd",1500,phahi,Koju Matsuzawa,300,60 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",松澤宏樹 Koju Matsuzawa,Caturra,Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,0.11,0,0,Bluish-Green,0,"September 3rd, 2014",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1500,1500,1500
82.67,Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora boananza,3-68-0049,exportadora de cafe condor s.a,1800 msnm,huila,NA,250,70 kg,Almacafé,2012,"January 22nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,0.11,0,0,Bluish-Green,3,"January 22nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
82.67,Arabica,adam kline,El Salvador,NA,NA,NA,009/0060/44L1,atlantic specialty coffee,NA,NA,NA,288,1 kg,Specialty Coffee Association,2012,"August 17th, 2012",Adam Kline,Other,Washed / Wet,7.92,8,7.5,6.75,7.92,7.58,10,10,9.33,7.67,0,0,0,None,17,"August 17th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
82.67,Arabica,juan luis alvarado romero,Guatemala,finca medina,NA,NA,-,finca medina,1500,antigua,-,275,69 kg,Asociacion Nacional Del Café,2012,"July 17th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,0,"July 17th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500,1500,1500
82.67,Arabica,doi tung development project,Thailand,doi tung development project,NA,doi tung development project,-,mae fah luang foundation,NA,thailand,Doi Tung Development Project,2,1 kg,Specialty Coffee Association,2012,"June 13th, 2012",Doi Tung Development Project,Other,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,0.12,0,0,Bluish-Green,0,"June 13th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
82.67,Arabica,montegrande,Mexico,finca monte grande,NA,NA,1506622904,cafe montegrande,1100,NA,AMIN JAVIER MOISES CEJA,36,1 kg,AMECAFE,2012,"June 6th, 2012",MONTEGRANDE,Other,Washed / Wet,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,0,0,NA,2,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100,1100,1100
82.67,Arabica,grupo cafetalero los brujos spr de rl,Mexico,finca castillos,NA,NA,F-30002939,grupo cafetalero los brujos,950,mahuixtlan,MARIA DE LOURDES ANCIRA ELIZONDO,23,1 kg,AMECAFE,2012,"June 6th, 2012",GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Typica,Washed / Wet,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,0.12,0,0,NA,0,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,950,950,950
82.67,Arabica,george a. fernandez,Colombia,la canada,NA,the beneficio is designed to be ecologic,2889,NA,1800 meters (5900,52 narino (exact location: mattituy; municipal region: florida code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,1,1 kg,Specialty Coffee Association,Spring 2011 in Colombia.,"November 16th, 2011",George A. Fernandez,NA,NA,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,0.11,0,0,Green,0,"November 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1800,5900,3850
82.67,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,kona,NA,37,100 lbs,Specialty Coffee Association,NA,"September 20th, 2011",Kona Pacific Farmers Cooperative,NA,NA,7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,7.58,0.03,2,0,NA,0,"September 19th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.67,Arabica,young kim,Mexico,kassandra,NA,NA,016-2484-05,NA,1400 masl,mexico,Finca Kassandra,1,1 kg,Specialty Coffee Association,2010-2011,"April 6th, 2011",Young Kim,Blue Mountain,NA,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,0,0,0,NA,1,"April 5th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
82.67,Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora bonanza - armenia quindioa,3-68-0152,NA,1800 msnm,huila,NA,250,70 kg,Almacafé,4T/10,"February 9th, 2011",Exportadora de Cafe Condor S.A,NA,NA,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,0.08,0,0,NA,3,"February 9th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
82.67,Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,3-037-2273,NA,NA,NA,NA,270,70 kg,Almacafé,2009-2010,"September 3rd, 2010",Racafe & Cia S.C.A,NA,NA,7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,7.58,0.21,0,0,NA,2,"September 3rd, 2011",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
82.58,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0634,beneficio ixchel,11/23/0634,"unex guatemala, s.a.",4000,oriente,JESUS RAMIREZ,25,69 kg,Asociacion Nacional Del Café,2017,"September 8th, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,0,1,Green,2,"September 8th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
82.58,Arabica,"lin, che-hao krude 林哲豪",Taiwan,林園咖啡 lin yuan coffee,2017南投咖啡評鑑 NANTOU COFFEE EVALUATION EVENT 2017,林園咖啡 lin yuan coffee,Taiwan,taiwan coffee laboratory,1050,國姓鄉 guoshing township,林文弘 Lin Wen Hong,6,5 kg,Specialty Coffee Association,2016,"August 22nd, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,0.11,0,5,Green,0,"August 22nd, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1050,1050,1050
