year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1990,Italy,Verona,Round of 16,Spain,Yugoslavia,1,2,A,Yugoslavia won in AET,Yugoslavia,Spain,1990-06-26,Jun,Tuesday
1990,Italy,Rome,Quarterfinals,Italy,Republic of Ireland,1,0,H,,Italy,Republic of Ireland,1990-06-30,Jun,Saturday
1990,Italy,Florence,Quarterfinals,Yugoslavia,Argentina,0,0,A,Argentina won in penalties (3 - 2),Argentina,Yugoslavia,1990-06-30,Jun,Saturday
1990,Italy,Naples,Quarterfinals,Cameroon,England,2,3,A,England won in AET,England,Cameroon,1990-07-01,Jul,Sunday
1990,Italy,Milan,Quarterfinals,West Germany,Czechoslovakia,1,0,H,,West Germany,Czechoslovakia,1990-07-01,Jul,Sunday
1990,Italy,Naples,Semifinals,Italy,Argentina,1,1,A,Argentina won in penalties (4 - 3),Argentina,Italy,1990-07-03,Jul,Tuesday
1990,Italy,Turin,Semifinals,West Germany,England,1,1,H,West Germany won in penalties (4 - 3),West Germany,England,1990-07-04,Jul,Wednesday
1990,Italy,Bari,Third place,Italy,England,2,1,H,,Italy,England,1990-07-07,Jul,Saturday
1990,Italy,Rome,Final,West Germany,Argentina,1,0,H,,West Germany,Argentina,1990-07-08,Jul,Sunday
1994,United States,Chicago,Group C,Germany,Bolivia,1,0,H,,Germany,Bolivia,1994-06-17,Jun,Friday
1994,United States,Dallas,Group C,Spain,South Korea,2,2,D,,NA,NA,1994-06-17,Jun,Friday
1994,United States,Pasadena,Group A,Colombia,Romania,1,3,A,,Romania,Colombia,1994-06-18,Jun,Saturday
1994,United States,East Rutherford,Group E,Italy,Republic of Ireland,0,1,A,,Republic of Ireland,Italy,1994-06-18,Jun,Saturday
1994,United States,Pontiac,Group A,United States,Switzerland,1,1,D,,NA,NA,1994-06-18,Jun,Saturday
1994,United States,Orlando,Group F,Belgium,Morocco,1,0,H,,Belgium,Morocco,1994-06-19,Jun,Sunday
1994,United States,Pasadena,Group B,Cameroon,Sweden,2,2,D,,NA,NA,1994-06-19,Jun,Sunday
1994,United States,Washington,Group E,Norway,Mexico,1,0,H,,Norway,Mexico,1994-06-19,Jun,Sunday
1994,United States,Palo Alto,Group B,Brazil,Russia,2,0,H,,Brazil,Russia,1994-06-20,Jun,Monday
1994,United States,Washington,Group F,Netherlands,Saudi Arabia,2,1,H,,Netherlands,Saudi Arabia,1994-06-20,Jun,Monday
1994,United States,Foxborough,Group D,Argentina,Greece,4,0,H,,Argentina,Greece,1994-06-21,Jun,Tuesday
1994,United States,Chicago,Group C,Germany,Spain,1,1,D,,NA,NA,1994-06-21,Jun,Tuesday
1994,United States,Dallas,Group D,Nigeria,Bulgaria,3,0,H,,Nigeria,Bulgaria,1994-06-21,Jun,Tuesday
1994,United States,Pontiac,Group A,Romania,Switzerland,1,4,A,,Switzerland,Romania,1994-06-22,Jun,Wednesday
1994,United States,Pasadena, Group A,United States,Colombia,2,1,H,,United States,Colombia,1994-06-22,Jun,Wednesday
1994,United States,East Rutherford,Group E,Italy,Norway,1,0,H,,Italy,Norway,1994-06-23,Jun,Thursday
1994,United States,Foxborough,Group C,South Korea,Bolivia,0,0,D,,NA,NA,1994-06-23,Jun,Thursday
1994,United States,Palo Alto,Group B,Brazil,Cameroon,3,0,H,,Brazil,Cameroon,1994-06-24,Jun,Friday
1994,United States,Orlando,Group E,Mexico,Republic of Ireland,2,1,H,,Mexico,Republic of Ireland,1994-06-24,Jun,Friday
1994,United States,Pontiac,Group B,Sweden,Russia,3,1,H,,Sweden,Russia,1994-06-24,Jun,Friday
1994,United States,Foxborough,Group D,Argentina,Nigeria,2,1,H,,Argentina,Nigeria,1994-06-25,Jun,Saturday
1994,United States,Orlando,Group F,Belgium,Netherlands,1,0,H,,Belgium,Netherlands,1994-06-25,Jun,Saturday
1994,United States,East Rutherford,Group F,Saudi Arabia,Morocco,2,1,H,,Saudi Arabia,Morocco,1994-06-25,Jun,Saturday
1994,United States,Chicago,Group D,Bulgaria,Greece,4,0,H,,Bulgaria,Greece,1994-06-26,Jun,Sunday
1994,United States,Palo Alto,Group A,Switzerland,Colombia,0,2,A,,Colombia,Switzerland,1994-06-26,Jun,Sunday
1994,United States,Pasadena,Group A,United States,Romania,0,1,A,,Romania,United States,1994-06-26,Jun,Sunday
1994,United States,Chicago,Group C,Bolivia,Spain,1,3,A,,Spain,Bolivia,1994-06-27,Jun,Monday
1994,United States,Dallas,Group C,Germany,South Korea,3,2,H,,Germany,South Korea,1994-06-27,Jun,Monday
1994,United States,Pontiac,Group B,Brazil,Sweden,1,1,D,,NA,NA,1994-06-28,Jun,Tuesday
1994,United States,East Rutherford,Group E,Republic of Ireland,Norway,0,0,D,,NA,NA,1994-06-28,Jun,Tuesday
1994,United States,Washington,Group E,Italy,Mexico,1,1,D,,NA,NA,1994-06-28,Jun,Tuesday
1994,United States,Palo Alto,Group B,Russia,Cameroon,6,1,H,,Russia,Cameroon,1994-06-28,Jun,Tuesday
1994,United States,Washington,Group F,Belgium,Saudi Arabia,0,1,A,,Saudi Arabia,Belgium,1994-06-29,Jun,Wednesday
1994,United States,Orlando,Group F,Morocco,Netherlands,1,2,A,,Netherlands,Morocco,1994-06-29,Jun,Wednesday
1994,United States,Dallas,Group D,Argentina,Bulgaria,0,2,A,,Bulgaria,Argentina,1994-06-30,Jun,Thursday
1994,United States,Foxborough,Group D,Greece,Nigeria,0,2,A,,Nigeria,Greece,1994-06-30,Jun,Thursday
1994,United States,Chicago,Round of 16,Germany,Belgium,3,2,H,,Germany,Belgium,1994-07-02,Jul,Saturday
1994,United States,Washington,Round of 16,Spain,Switzerland,3,0,H,,Spain,Switzerland,1994-07-02,Jul,Saturday
1994,United States,Pasadena,Round of 16,Romania,Argentina,3,2,H,,Romania,Argentina,1994-07-03,Jul,Sunday
1994,United States,Dallas,Round of 16,Saudi Arabia,Sweden,1,3,A,,Sweden,Saudi Arabia,1994-07-03,Jul,Sunday
1994,United States,Orlando,Round of 16,Netherlands,Republic of Ireland,2,0,H,,Netherlands,Republic of Ireland,1994-07-04,Jul,Monday
1994,United States,Palo Alto,Round of 16,United States,Brazil,0,1,A,,Brazil,United States,1994-07-04,Jul,Monday
1994,United States,East Rutherford,Round of 16,Mexico,Bulgaria,1,1,A,Bulgaria won in penalties (3 - 1),Bulgaria,Mexico,1994-07-05,Jul,Tuesday
1994,United States,Foxborough,Round of 16,Nigeria,Italy,1,2,A,Italy won in AET,Italy,Nigeria,1994-07-05,Jul,Tuesday
1994,United States,Foxborough,Quarterfinals,Italy,Spain,2,1,H,,Italy,Spain,1994-07-09,Jul,Saturday
1994,United States,Dallas,Quarterfinals,Netherlands,Brazil,2,3,A,,Brazil,Netherlands,1994-07-09,Jul,Saturday
1994,United States,East Rutherford,Quarterfinals,Bulgaria,Germany,2,1,H,,Bulgaria,Germany,1994-07-10,Jul,Sunday
1994,United States,Palo Alto,Quarterfinals,Romania,Sweden,2,2,A,Sweden won in penalties (5 - 4),Sweden,Romania,1994-07-10,Jul,Sunday
1994,United States,East Rutherford,Semifinals,Bulgaria,Italy,1,2,A,,Italy,Bulgaria,1994-07-13,Jul,Wednesday
1994,United States,Pasadena,Semifinals,Sweden,Brazil,0,1,A,,Brazil,Sweden,1994-07-13,Jul,Wednesday
1994,United States,Pasadena,Third place,Sweden,Bulgaria,4,0,H,,Sweden,Bulgaria,1994-07-16,Jul,Saturday
1994,United States,Pasadena,Final,Brazil,Italy,0,0,H,Brazil won in penalties (3 - 2),Brazil,Italy,1994-07-17,Jul,Sunday
1998,France,Saint-Denis,Group A,Brazil,Scotland,2,1,H,,Brazil,Scotland,1998-06-10,Jun,Wednesday
1998,France,Montpellier,Group A,Morocco,Norway,2,2,D,,NA,NA,1998-06-10,Jun,Wednesday
1998,France,Toulouse,Group B,Cameroon,Austria,1,1,D,,NA,NA,1998-06-11,Jun,Thursday
1998,France,Bordeaux,Group B,Italy,Chile,2,2,D,,NA,NA,1998-06-11,Jun,Thursday
1998,France,Marseille,Group C,France,South Africa,3,0,H,,France,South Africa,1998-06-12,Jun,Friday
1998,France,Montpellier,Group D,Paraguay,Bulgaria,0,0,D,,NA,NA,1998-06-12,Jun,Friday
1998,France,Lens,Group C,Saudi Arabia,Denmark,0,1,A,,Denmark,Saudi Arabia,1998-06-12,Jun,Friday
1998,France,Lyon,Group E,South Korea,Mexico,1,3,A,,Mexico,South Korea,1998-06-13,Jun,Saturday
1998,France,Saint-Denis,Group E,Netherlands,Belgium,0,0,D,,NA,NA,1998-06-13,Jun,Saturday
1998,France,Nantes,Group D,Spain,Nigeria,2,3,A,,Nigeria,Spain,1998-06-13,Jun,Saturday
1998,France,Toulouse,Group H,Argentina,Japan,1,0,H,,Argentina,Japan,1998-06-14,Jun,Sunday
1998,France,Lens,Group H,Jamaica,Croatia,1,3,A,,Croatia,Jamaica,1998-06-14,Jun,Sunday
1998,France,Saint-Étienne,Group F,FR Yugoslavia,Iran,1,0,H,,FR Yugoslavia,Iran,1998-06-14,Jun,Sunday
1998,France,Marseille,Group G,England,Tunisia,2,0,H,,England,Tunisia,1998-06-15,Jun,Monday
1998,France,Paris,Group F,Germany,United States,2,0,H,,Germany,United States,1998-06-15,Jun,Monday
1998,France,Lyon,Group G,Romania,Colombia,1,0,H,,Romania,Colombia,1998-06-15,Jun,Monday
1998,France,Nantes,Group A,Brazil,Morocco,3,0,H,,Brazil,Morocco,1998-06-16,Jun,Tuesday
1998,France,Bordeaux,Group A,Scotland,Norway,1,1,D,,NA,NA,1998-06-16,Jun,Tuesday
1998,France,Saint-Étienne,Group B,Chile,Austria,1,1,D,,NA,NA,1998-06-17,Jun,Wednesday
1998,France,Montpellier,Group B,Italy,Cameroon,3,0,H,,Italy,Cameroon,1998-06-17,Jun,Wednesday
1998,France,Saint-Denis,Group C,France,Saudi Arabia,4,0,H,,France,Saudi Arabia,1998-06-18,Jun,Thursday
1998,France,Toulouse,Group C,South Africa,Denmark,1,1,D,,NA,NA,1998-06-18,Jun,Thursday
1998,France,Paris,Group D,Nigeria,Bulgaria,1,0,H,,Nigeria,Bulgaria,1998-06-19,Jun,Friday
1998,France,Saint-Étienne,Group D,Spain,Paraguay,0,0,D,,NA,NA,1998-06-19,Jun,Friday
1998,France,Bordeaux,Group E,Belgium,Mexico,2,2,D,,NA,NA,1998-06-20,Jun,Saturday
1998,France,Nantes,Group H,Japan,Croatia,0,1,A,,Croatia,Japan,1998-06-20,Jun,Saturday
1998,France,Marseille,Group E,Netherlands,South Korea,5,0,H,,Netherlands,South Korea,1998-06-20,Jun,Saturday
1998,France,Paris,Group H,Argentina,Jamaica,5,0,H,,Argentina,Jamaica,1998-06-21,Jun,Sunday
1998,France,Lens,Group F,Germany,FR Yugoslavia,2,2,D,,NA,NA,1998-06-21,Jun,Sunday
1998,France,Lyon,Group F,United States,Iran,1,2,A,,Iran,United States,1998-06-21,Jun,Sunday
1998,France,Montpellier,Group G,Colombia,Tunisia,1,0,H,,Colombia,Tunisia,1998-06-22,Jun,Monday
1998,France,Toulouse,Group G,Romania,England,2,1,H,,Romania,England,1998-06-22,Jun,Monday
1998,France,Marseille,Group A,Brazil,Norway,1,2,A,,Norway,Brazil,1998-06-23,Jun,Tuesday
1998,France,Nantes,Group B,Chile,Cameroon,1,1,D,,NA,NA,1998-06-23,Jun,Tuesday
1998,France,Saint-Denis,Group B,Italy,Austria,2,1,H,,Italy,Austria,1998-06-23,Jun,Tuesday
1998,France,Saint-Étienne,Group A,Scotland,Morocco,0,3,A,,Morocco,Scotland,1998-06-23,Jun,Tuesday
1998,France,Lyon,Group C,France,Denmark,2,1,H,,France,Denmark,1998-06-24,Jun,Wednesday
1998,France,Toulouse,Group D,Nigeria,Paraguay,1,3,A,,Paraguay,Nigeria,1998-06-24,Jun,Wednesday
1998,France,Bordeaux,Group C,South Africa,Saudi Arabia,2,2,D,,NA,NA,1998-06-24,Jun,Wednesday
1998,France,Lens,Group D,Spain,Bulgaria,6,1,H,,Spain,Bulgaria,1998-06-24,Jun,Wednesday
1998,France,Paris,Group E,Belgium,South Korea,1,1,D,,NA,NA,1998-06-25,Jun,Thursday
1998,France,Montpellier,Group F,Germany,Iran,2,0,H,,Germany,Iran,1998-06-25,Jun,Thursday
1998,France,Saint-Étienne,Group E,Netherlands,Mexico,2,2,D,,NA,NA,1998-06-25,Jun,Thursday
1998,France,Nantes,Group F,United States,Serbia,0,1,A,,Serbia,United States,1998-06-25,Jun,Thursday
1998,France,Bordeaux,Group H,Argentina,Croatia,1,0,H,,Argentina,Croatia,1998-06-26,Jun,Friday
1998,France,Lens,Group G,Colombia,England,0,2,A,,England,Colombia,1998-06-26,Jun,Friday
1998,France,Lyon,Group H,Japan,Jamaica,1,2,A,,Jamaica,Japan,1998-06-26,Jun,Friday
1998,France,Saint-Denis,Group G,Romania,Tunisia,1,1,D,,NA,NA,1998-06-26,Jun,Friday
1998,France,Paris,Round of 16,Brazil,Chile,4,1,H,,Brazil,Chile,1998-06-27,Jun,Saturday
1998,France,Marseille,Round of 16,Italy,Norway,1,0,H,,Italy,Norway,1998-06-27,Jun,Saturday
1998,France,Lens,Round of 16,France,Paraguay,1,0,H,France won in AET,France,Paraguay,1998-06-28,Jun,Sunday
1998,France,Saint-Denis,Round of 16,Nigeria,Denmark,1,4,A,,Denmark,Nigeria,1998-06-28,Jun,Sunday
1998,France,Montpellier,Round of 16,Germany,Mexico,2,1,H,,Germany,Mexico,1998-06-29,Jun,Monday
1998,France,Toulouse,Round of 16,Netherlands,FR Yugoslavia,2,1,H,,Netherlands,FR Yugoslavia,1998-06-29,Jun,Monday
1998,France,Saint-Étienne,Round of 16,Argentina,England,2,2,H,Argentina won in penalties (4 - 3),Argentina,England,1998-06-30,Jun,Tuesday
1998,France,Bordeaux,Round of 16,Romania,Croatia,0,1,A,,Croatia,Romania,1998-06-30,Jun,Tuesday
1998,France,Nantes,Quarterfinals,Brazil,Denmark,3,2,H,,Brazil,Denmark,1998-07-03,Jul,Friday
1998,France,Saint-Denis,Quarterfinals,France,Italy,0,0,H,France won in penalties (4 - 3),France,Italy,1998-07-03,Jul,Friday
1998,France,Lyon,Quarterfinals,Germany,Croatia,0,3,A,,Croatia,Germany,1998-07-04,Jul,Saturday
1998,France,Marseille,Quarterfinals,Netherlands,Argentina,2,1,H,,Netherlands,Argentina,1998-07-04,Jul,Saturday
1998,France,Marseille,Semifinals,Brazil,Netherlands,1,1,H,Brazil won in penalties (4 - 2),Brazil,Netherlands,1998-07-07,Jul,Tuesday
1998,France,Saint-Denis,Semifinals,France,Croatia,2,1,H,,France,Croatia,1998-07-08,Jul,Wednesday
1998,France,Paris,Third place,Netherlands,Croatia,1,2,A,,Croatia,Netherlands,1998-07-11,Jul,Saturday
1998,France,Saint-Denis,Final,France,Brazil,3,0,H,,France,Brazil,1998-07-12,Jul,Sunday
2002,South Korea,Seoul,Group A,France,Senegal,0,1,A,,Senegal,France,2002-05-31,May,Friday
2002,Japan,Sapporo,Group E,Germany,Saudi Arabia,8,0,H,,Germany,Saudi Arabia,2002-06-01,Jun,Saturday
2002,Japan,Niigata,Group E,Republic of Ireland,Cameroon,1,1,D,,NA,NA,2002-06-01,Jun,Saturday
2002,South Korea,Ulsan,Group A,Uruguay,Denmark,1,2,A,,Denmark,Uruguay,2002-06-01,Jun,Saturday
2002,Japan,Kashima,Group F,Argentina,Nigeria,1,0,H,,Argentina,Nigeria,2002-06-02,Jun,Sunday
2002,Japan,Saitama,Group F,England,Sweden,1,1,D,,NA,NA,2002-06-02,Jun,Sunday
2002,South Korea,Busan,Group B,Paraguay,South Africa,2,2,D,,NA,NA,2002-06-02,Jun,Sunday
2002,South Korea,Gwangju,Group B,Spain,Slovenia,3,1,H,,Spain,Slovenia,2002-06-02,Jun,Sunday
2002,South Korea,Ulsan,Group C,Brazil,Turkey,2,1,H,,Brazil,Turkey,2002-06-03,Jun,Monday
2002,Japan,Niigata,Group G,Croatia,Mexico,0,1,A,,Mexico,Croatia,2002-06-03,Jun,Monday
2002,Japan,Sapporo,Group G,Italy,Ecuador,2,0,H,,Italy,Ecuador,2002-06-03,Jun,Monday
2002,South Korea,Gwangju,Group C,China PR,Costa Rica,0,2,A,,Costa Rica,China PR,2002-06-04,Jun,Tuesday
2002,Japan,Saitama,Group H,Japan,Belgium,2,2,D,,NA,NA,2002-06-04,Jun,Tuesday
2002,South Korea,Busan,Group D,South Korea,Poland,2,0,H,,South Korea,Poland,2002-06-04,Jun,Tuesday
2002,Japan,Kashima,Group E,Germany,Republic of Ireland,1,1,D,,NA,NA,2002-06-05,Jun,Wednesday
2002,Japan,Kobe,Group H,Russia,Tunisia,2,0,H,,Russia,Tunisia,2002-06-05,Jun,Wednesday
2002,South Korea,Suwon,Group D,United States,Portugal,3,2,H,,United States,Portugal,2002-06-05,Jun,Wednesday
2002,Japan,Saitama,Group E,Cameroon,Saudi Arabia,1,0,H,,Cameroon,Saudi Arabia,2002-06-06,Jun,Thursday
2002,South Korea,Daegu,Group A,Denmark,Senegal,1,1,D,,NA,NA,2002-06-06,Jun,Thursday
2002,South Korea,Busan,Group A,France,Uruguay,0,0,D,,NA,NA,2002-06-06,Jun,Thursday
2002,Japan,Sapporo,Group F,Argentina,England,0,1,A,,England,Argentina,2002-06-07,Jun,Friday
2002,South Korea,Jeonju,Group B,Spain,Paraguay,3,1,H,,Spain,Paraguay,2002-06-07,Jun,Friday
2002,Japan,Kobe,Group F,Sweden,Nigeria,2,1,H,,Sweden,Nigeria,2002-06-07,Jun,Friday
2002,South Korea,Seogwipo,Group C,Brazil,China PR,4,0,H,,Brazil,China PR,2002-06-08,Jun,Saturday
2002,Japan,Kashima,Group G,Italy,Croatia,1,2,A,,Croatia,Italy,2002-06-08,Jun,Saturday
2002,South Korea,Daegu,Group B,South Africa,Slovenia,1,0,H,,South Africa,Slovenia,2002-06-08,Jun,Saturday
2002,South Korea,Incheon,Group C,Costa Rica,Turkey,1,1,D,,NA,NA,2002-06-09,Jun,Sunday
2002,Japan,Yokohama,Group H,Japan,Russia,1,0,H,,Japan,Russia,2002-06-09,Jun,Sunday
2002,Japan,Rifu,Group G,Mexico,Ecuador,2,1,H,,Mexico,Ecuador,2002-06-09,Jun,Sunday
2002,South Korea,Daegu,Group D,South Korea,United States,1,1,D,,NA,NA,2002-06-10,Jun,Monday
2002,South Korea,Jeonju,Group D,Portugal,Poland,4,0,H,,Portugal,Poland,2002-06-10,Jun,Monday
2002,Japan,Ōita,Group H,Tunisia,Belgium,1,1,D,,NA,NA,2002-06-10,Jun,Monday
2002,Japan,Fukuroi,Group E,Cameroon,Germany,0,2,A,,Germany,Cameroon,2002-06-11,Jun,Tuesday
2002,South Korea,Incheon,Group A,Denmark,France,2,0,H,,Denmark,France,2002-06-11,Jun,Tuesday
2002,Japan,Yokohama,Group E,Saudi Arabia,Republic of Ireland,0,3,A,,Republic of Ireland,Saudi Arabia,2002-06-11,Jun,Tuesday
2002,South Korea,Suwon,Group A,Senegal,Uruguay,3,3,D,,NA,NA,2002-06-11,Jun,Tuesday
2002,Japan,Osaka,Group F,Nigeria,England,0,0,D,,NA,NA,2002-06-12,Jun,Wednesday
2002,South Korea,Seogwipo,Group B,Slovenia,Paraguay,1,3,A,,Paraguay,Slovenia,2002-06-12,Jun,Wednesday
2002,South Korea,Daejeon,Group B,South Africa,Spain,2,3,A,,Spain,South Africa,2002-06-12,Jun,Wednesday
2002,Japan,Rifu,Group F,Sweden,Argentina,1,1,D,,NA,NA,2002-06-12,Jun,Wednesday
2002,South Korea,Suwon,Group C,Costa Rica,Brazil,2,5,A,,Brazil,Costa Rica,2002-06-13,Jun,Thursday
2002,Japan,Yokohama,Group G,Ecuador,Croatia,1,0,H,,Ecuador,Croatia,2002-06-13,Jun,Thursday
2002,Japan,Ōita,Group G,Mexico,Italy,1,1,D,,NA,NA,2002-06-13,Jun,Thursday
2002,South Korea,Seoul,Group C,Turkey,China PR,3,0,H,,Turkey,China PR,2002-06-13,Jun,Thursday
2002,Japan,Fukuroi,Group H,Belgium,Russia,3,2,H,,Belgium,Russia,2002-06-14,Jun,Friday
2002,Japan,Osaka,Group H,Japan,Tunisia,2,0,H,,Japan,Tunisia,2002-06-14,Jun,Friday
2002,South Korea,Incheon,Group D,South Korea,Portugal,1,0,H,,South Korea,Portugal,2002-06-14,Jun,Friday
2002,South Korea,Daejeon,Group D,Poland,United States,3,1,H,,Poland,United States,2002-06-14,Jun,Friday
2002,Japan,Niigata,Round of 16,Denmark,England,0,3,A,,England,Denmark,2002-06-15,Jun,Saturday
2002,South Korea,Seogwipo,Round of 16,Germany,Paraguay,1,0,H,,Germany,Paraguay,2002-06-15,Jun,Saturday
2002,South Korea,Suwon,Round of 16,Spain,Republic of Ireland,1,1,H,Spain won in penalties (3 - 2),Spain,Republic of Ireland,2002-06-16,Jun,Sunday
2002,Japan,Ōita,Round of 16,Sweden,Senegal,1,2,A,Senegal won in AET,Senegal,Sweden,2002-06-16,Jun,Sunday
2002,Japan,Kobe,Round of 16,Brazil,Belgium,2,0,H,,Brazil,Belgium,2002-06-17,Jun,Monday
2002,South Korea,Jeonju,Round of 16,Mexico,United States,0,2,A,,United States,Mexico,2002-06-17,Jun,Monday
2002,Japan,Rifu,Round of 16,Japan,Turkey,0,1,A,,Turkey,Japan,2002-06-18,Jun,Tuesday
2002,South Korea,Daejeon,Round of 16,South Korea,Italy,2,1,H,South Korea won in AET,South Korea,Italy,2002-06-18,Jun,Tuesday
2002,Japan,Fukuroi,Quarterfinals,England,Brazil,1,2,A,,Brazil,England,2002-06-21,Jun,Friday
2002,South Korea,Ulsan,Quarterfinals,Germany,United States,1,0,H,,Germany,United States,2002-06-21,Jun,Friday
2002,South Korea,Gwangju,Quarterfinals,South Korea,Spain,0,0,H,South Korea won in penalties (5 - 3),South Korea,Spain,2002-06-22,Jun,Saturday
2002,Japan,Osaka,Quarterfinals,Senegal,Turkey,0,1,A,Turkey won in AET,Turkey,Senegal,2002-06-22,Jun,Saturday
2002,South Korea,Seoul,Semifinals,South Korea,Germany,0,1,A,,Germany,South Korea,2002-06-25,Jun,Tuesday
2002,Japan,Saitama,Semifinals,Brazil,Turkey,1,0,H,,Brazil,Turkey,2002-06-26,Jun,Wednesday
2002,South Korea,Daegu,Third place,South Korea,Turkey,2,3,A,,Turkey,South Korea,2002-06-29,Jun,Saturday
2002,Japan,Yokohama,Final,Germany,Brazil,0,2,A,,Brazil,Germany,2002-06-30,Jun,Sunday
2006,Germany,Munich,Group A,Germany,Costa Rica,4,2,H,,Germany,Costa Rica,2006-06-09,Jun,Friday
2006,Germany,Gelsenkirchen,Group A,Poland,Ecuador,0,2,A,,Ecuador,Poland,2006-06-09,Jun,Friday
2006,Germany,Hamburg,Group C,Argentina,Ivory Coast,2,1,H,,Argentina,Ivory Coast,2006-06-10,Jun,Saturday
2006,Germany,Frankfurt am Main,Group B,England,Paraguay,1,0,H,,England,Paraguay,2006-06-10,Jun,Saturday
2006,Germany,Dortmund,Group B,Trinidad and Tobago,Sweden,0,0,D,,NA,NA,2006-06-10,Jun,Saturday
2006,Germany,Cologne,Group D,Angola,Portugal,0,1,A,,Portugal,Angola,2006-06-11,Jun,Sunday
2006,Germany,Nuremberg,Group D,Mexico,Iran,3,1,H,,Mexico,Iran,2006-06-11,Jun,Sunday
2006,Germany,Leipzig,Group C,Serbia,Netherlands,0,1,A,,Netherlands,Serbia,2006-06-11,Jun,Sunday
2006,Germany,Kaiserslautern,Group F,Australia,Japan,3,1,H,,Australia,Japan,2006-06-12,Jun,Monday
2006,Germany,Hanover,Group E,Italy,Ghana,2,0,H,,Italy,Ghana,2006-06-12,Jun,Monday
2006,Germany,Gelsenkirchen,Group E,United States,Czech Republic,0,3,A,,Czech Republic,United States,2006-06-12,Jun,Monday
2006,Germany,Berlin,Group F,Brazil,Croatia,1,0,H,,Brazil,Croatia,2006-06-13,Jun,Tuesday
2006,Germany,Stuttgart,Group G,France,Switzerland,0,0,D,,NA,NA,2006-06-13,Jun,Tuesday
2006,Germany,Frankfurt am Main,Group G,South Korea,Togo,2,1,H,,South Korea,Togo,2006-06-13,Jun,Tuesday
2006,Germany,Dortmund,Group A,Germany,Poland,1,0,H,,Germany,Poland,2006-06-14,Jun,Wednesday
2006,Germany,Leipzig,Group H,Spain,Ukraine,4,0,H,,Spain,Ukraine,2006-06-14,Jun,Wednesday
2006,Germany,Munich,Group H,Tunisia,Saudi Arabia,2,2,D,,NA,NA,2006-06-14,Jun,Wednesday
2006,Germany,Hamburg,Group A,Ecuador,Costa Rica,3,0,H,,Ecuador,Costa Rica,2006-06-15,Jun,Thursday
2006,Germany,Nuremberg,Group B,England,Trinidad and Tobago,2,0,H,,England,Trinidad and Tobago,2006-06-15,Jun,Thursday
2006,Germany,Berlin,Group B,Sweden,Paraguay,1,0,H,,Sweden,Paraguay,2006-06-15,Jun,Thursday
2006,Germany,Gelsenkirchen,Group C,Argentina,Serbia,6,0,H,,Argentina,Serbia,2006-06-16,Jun,Friday
2006,Germany,Hanover,Group D,Mexico,Angola,0,0,D,,NA,NA,2006-06-16,Jun,Friday
2006,Germany,Stuttgart,Group C,Netherlands,Ivory Coast,2,1,H,,Netherlands,Ivory Coast,2006-06-16,Jun,Friday
2006,Germany,Cologne,Group E,Czech Republic,Ghana,0,2,A,,Ghana,Czech Republic,2006-06-17,Jun,Saturday
2006,Germany,Kaiserslautern,Group E,Italy,United States,1,1,D,,NA,NA,2006-06-17,Jun,Saturday
2006,Germany,Frankfurt am Main,Group D,Portugal,Iran,2,0,H,,Portugal,Iran,2006-06-17,Jun,Saturday
2006,Germany,Munich,Group F,Brazil,Australia,2,0,H,,Brazil,Australia,2006-06-18,Jun,Sunday
2006,Germany,Leipzig,Group G,France,South Korea,1,1,D,,NA,NA,2006-06-18,Jun,Sunday
2006,Germany,Nuremberg,Group F,Japan,Croatia,0,0,D,,NA,NA,2006-06-18,Jun,Sunday
2006,Germany,Hamburg,Group H,Saudi Arabia,Ukraine,0,4,A,,Ukraine,Saudi Arabia,2006-06-19,Jun,Monday
2006,Germany,Stuttgart,Group H,Spain,Tunisia,3,1,H,,Spain,Tunisia,2006-06-19,Jun,Monday
2006,Germany,Dortmund,Group G,Togo,Switzerland,0,2,A,,Switzerland,Togo,2006-06-19,Jun,Monday
2006,Germany,Hanover,Group A,Costa Rica,Poland,1,2,A,,Poland,Costa Rica,2006-06-20,Jun,Tuesday
2006,Germany,Berlin,Group A,Germany,Ecuador,3,0,H,,Germany,Ecuador,2006-06-20,Jun,Tuesday
2006,Germany,Kaiserslautern,Group B,Paraguay,Trinidad and Tobago,2,0,H,,Paraguay,Trinidad and Tobago,2006-06-20,Jun,Tuesday
2006,Germany,Cologne,Group B,Sweden,England,2,2,D,,NA,NA,2006-06-20,Jun,Tuesday
2006,Germany,Leipzig,Group D,Iran,Angola,1,1,D,,NA,NA,2006-06-21,Jun,Wednesday
2006,Germany,Munich,Group C,Ivory Coast,Serbia,3,2,H,,Ivory Coast,Serbia,2006-06-21,Jun,Wednesday
2006,Germany,Frankfurt am Main,Group C,Netherlands,Argentina,0,0,D,,NA,NA,2006-06-21,Jun,Wednesday
2006,Germany,Gelsenkirchen,Group D,Portugal,Mexico,2,1,H,,Portugal,Mexico,2006-06-21,Jun,Wednesday
2006,Germany,Stuttgart,Group F,Croatia,Australia,2,2,D,,NA,NA,2006-06-22,Jun,Thursday
2006,Germany,Hamburg,Group E,Czech Republic,Italy,0,2,A,,Italy,Czech Republic,2006-06-22,Jun,Thursday
2006,Germany,Nuremberg,Group E,Ghana,United States,2,1,H,,Ghana,United States,2006-06-22,Jun,Thursday
