industry,major_occupation,minor_occupation,race_gender,industry_total,employ_n,year
Transportation and utilities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,8159000,3847000,2017
Information,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,2903000,564000,2017
Information,"Management, professional, and related occupations",Professional and related occupations,TOTAL,2903000,1134000,2017
Information,Service occupations,Protective service occupations,TOTAL,2903000,6000,2017
Information,Service occupations,"Service occupations, except protective",TOTAL,2903000,72000,2017
Information,Sales and office occupations,Sales and related occupations,TOTAL,2903000,330000,2017
Information,Sales and office occupations,Office and administrative support occupations,TOTAL,2903000,428000,2017
Information,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,2903000,0,2017
Information,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,2903000,13000,2017
Information,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,2903000,279000,2017
Information,"Production, transportation, and material moving occupations",Production occupations,TOTAL,2903000,40000,2017
Information,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,2903000,37000,2017
Financial activities,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,10482000,4398000,2017
Financial activities,"Management, professional, and related occupations",Professional and related occupations,TOTAL,10482000,907000,2017
Financial activities,Service occupations,Protective service occupations,TOTAL,10482000,62000,2017
Financial activities,Service occupations,"Service occupations, except protective",TOTAL,10482000,326000,2017
Financial activities,Sales and office occupations,Sales and related occupations,TOTAL,10482000,2284000,2017
Financial activities,Sales and office occupations,Office and administrative support occupations,TOTAL,10482000,2112000,2017
Financial activities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,10482000,0,2017
Financial activities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,10482000,49000,2017
Financial activities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,10482000,186000,2017
Financial activities,"Production, transportation, and material moving occupations",Production occupations,TOTAL,10482000,41000,2017
Financial activities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,10482000,116000,2017
Professional and business services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,18835000,4841000,2017
Professional and business services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,18835000,6129000,2017
Professional and business services,Service occupations,Protective service occupations,TOTAL,18835000,557000,2017
Professional and business services,Service occupations,"Service occupations, except protective",TOTAL,18835000,3040000,2017
Professional and business services,Sales and office occupations,Sales and related occupations,TOTAL,18835000,644000,2017
Professional and business services,Sales and office occupations,Office and administrative support occupations,TOTAL,18835000,2279000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,18835000,18000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,18835000,131000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,18835000,303000,2017
Professional and business services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,18835000,311000,2017
Professional and business services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,18835000,585000,2017
Education and health services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,34483000,3308000,2017
Education and health services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,34483000,19295000,2017
Education and health services,Service occupations,Protective service occupations,TOTAL,34483000,182000,2017
Education and health services,Service occupations,"Service occupations, except protective",TOTAL,34483000,7172000,2017
Education and health services,Sales and office occupations,Sales and related occupations,TOTAL,34483000,100000,2017
Education and health services,Sales and office occupations,Office and administrative support occupations,TOTAL,34483000,3539000,2017
Education and health services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,34483000,4000,2017
Education and health services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,34483000,83000,2017
Education and health services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,34483000,201000,2017
Education and health services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,34483000,168000,2017
Education and health services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,34483000,432000,2017
Leisure and hospitality,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,14291000,2018000,2017
Leisure and hospitality,"Management, professional, and related occupations",Professional and related occupations,TOTAL,14291000,998000,2017
Leisure and hospitality,Service occupations,Protective service occupations,TOTAL,14291000,201000,2017
Leisure and hospitality,Service occupations,"Service occupations, except protective",TOTAL,14291000,8666000,2017
Leisure and hospitality,Sales and office occupations,Sales and related occupations,TOTAL,14291000,1042000,2017
Leisure and hospitality,Sales and office occupations,Office and administrative support occupations,TOTAL,14291000,708000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,14291000,5000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,14291000,37000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,14291000,110000,2017
Leisure and hospitality,"Production, transportation, and material moving occupations",Production occupations,TOTAL,14291000,139000,2017
Leisure and hospitality,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,14291000,367000,2017
Other services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,7485000,695000,2017
Other services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,7485000,976000,2017
Other services,Service occupations,Protective service occupations,TOTAL,7485000,27000,2017
Other services,Service occupations,"Service occupations, except protective",TOTAL,7485000,2871000,2017
Other services,Sales and office occupations,Sales and related occupations,TOTAL,7485000,385000,2017
Other services,Sales and office occupations,Office and administrative support occupations,TOTAL,7485000,603000,2017
Other services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,7485000,2000,2017
Other services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,7485000,24000,2017
Other services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,7485000,1110000,2017
Other services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,7485000,442000,2017
Other services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,7485000,349000,2017
"Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,6828000,688000,2017
"Other services, except private households","Management, professional, and related occupations",Professional and related occupations,TOTAL,6828000,970000,2017
"Other services, except private households",Service occupations,Protective service occupations,TOTAL,6828000,27000,2017
"Other services, except private households",Service occupations,"Service occupations, except protective",TOTAL,6828000,2241000,2017
"Other services, except private households",Sales and office occupations,Sales and related occupations,TOTAL,6828000,385000,2017
"Other services, except private households",Sales and office occupations,Office and administrative support occupations,TOTAL,6828000,599000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,6828000,2000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,6828000,23000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,6828000,1110000,2017
"Other services, except private households","Production, transportation, and material moving occupations",Production occupations,TOTAL,6828000,442000,2017
"Other services, except private households","Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,6828000,340000,2017
Private households,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,657000,7000,2017
Private households,"Management, professional, and related occupations",Professional and related occupations,TOTAL,657000,6000,2017
Private households,Service occupations,Protective service occupations,TOTAL,657000,0,2017
Private households,Service occupations,"Service occupations, except protective",TOTAL,657000,630000,2017
Private households,Sales and office occupations,Sales and related occupations,TOTAL,657000,0,2017
Private households,Sales and office occupations,Office and administrative support occupations,TOTAL,657000,4000,2017
Private households,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,657000,0,2017
Private households,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,657000,1000,2017
Private households,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,657000,0,2017
Private households,"Production, transportation, and material moving occupations",Production occupations,TOTAL,657000,0,2017
Private households,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,657000,8000,2017
Public administration,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,7083000,1351000,2017
Public administration,"Management, professional, and related occupations",Professional and related occupations,TOTAL,7083000,1812000,2017
Public administration,Service occupations,Protective service occupations,TOTAL,7083000,1905000,2017
Public administration,Service occupations,"Service occupations, except protective",TOTAL,7083000,325000,2017
Public administration,Sales and office occupations,Sales and related occupations,TOTAL,7083000,31000,2017
Public administration,Sales and office occupations,Office and administrative support occupations,TOTAL,7083000,1195000,2017
Public administration,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,7083000,21000,2017
Public administration,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,7083000,105000,2017
Public administration,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,7083000,165000,2017
Public administration,"Production, transportation, and material moving occupations",Production occupations,TOTAL,7083000,80000,2017
Public administration,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,7083000,94000,2017
NA,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,NA,NA,2017
NA,"Management, professional, and related occupations",Professional and related occupations,TOTAL,NA,NA,2017
NA,Service occupations,Protective service occupations,TOTAL,NA,NA,2017
NA,Service occupations,"Service occupations, except protective",TOTAL,NA,NA,2017
NA,Sales and office occupations,Sales and related occupations,TOTAL,NA,NA,2017
NA,Sales and office occupations,Office and administrative support occupations,TOTAL,NA,NA,2017
NA,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,NA,NA,2017
NA,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,NA,NA,2017
NA,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,NA,NA,2017
NA,"Production, transportation, and material moving occupations",Production occupations,TOTAL,NA,NA,2017
NA,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,NA,NA,2017
Men,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,NA,NA,2017
Men,"Management, professional, and related occupations",Professional and related occupations,TOTAL,NA,NA,2017
Men,Service occupations,Protective service occupations,TOTAL,NA,NA,2017
Men,Service occupations,"Service occupations, except protective",TOTAL,NA,NA,2017
Men,Sales and office occupations,Sales and related occupations,TOTAL,NA,NA,2017
Men,Sales and office occupations,Office and administrative support occupations,TOTAL,NA,NA,2017
Men,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,NA,NA,2017
Men,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,NA,NA,2017
Men,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,NA,NA,2017
Men,"Production, transportation, and material moving occupations",Production occupations,TOTAL,NA,NA,2017
Men,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,NA,NA,2017
Agriculture and related,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,1843000,778000,2017
Agriculture and related,"Management, professional, and related occupations",Professional and related occupations,Men,1843000,38000,2017
Agriculture and related,Service occupations,Protective service occupations,Men,1843000,12000,2017
Agriculture and related,Service occupations,"Service occupations, except protective",Men,1843000,48000,2017
Agriculture and related,Sales and office occupations,Sales and related occupations,Men,1843000,13000,2017
Agriculture and related,Sales and office occupations,Office and administrative support occupations,Men,1843000,13000,2017
Agriculture and related,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,1843000,801000,2017
Agriculture and related,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,1843000,11000,2017
Agriculture and related,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,1843000,30000,2017
Agriculture and related,"Production, transportation, and material moving occupations",Production occupations,Men,1843000,20000,2017
Agriculture and related,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,1843000,78000,2017
"Mining, quarrying, and
oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations",Men,654000,119000,2017
"Mining, quarrying, and
oil and gas extraction","Management, professional, and related occupations",Professional and related occupations,Men,654000,86000,2017
"Mining, quarrying, and
oil and gas extraction",Service occupations,Protective service occupations,Men,654000,4000,2017
"Mining, quarrying, and
oil and gas extraction",Service occupations,"Service occupations, except protective",Men,654000,4000,2017
"Mining, quarrying, and
oil and gas extraction",Sales and office occupations,Sales and related occupations,Men,654000,9000,2017
"Mining, quarrying, and
oil and gas extraction",Sales and office occupations,Office and administrative support occupations,Men,654000,21000,2017
"Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,654000,1000,2017
"Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,654000,231000,2017
"Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,654000,54000,2017
"Mining, quarrying, and
oil and gas extraction","Production, transportation, and material moving occupations",Production occupations,Men,654000,46000,2017
"Mining, quarrying, and
oil and gas extraction","Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,654000,80000,2017
Construction,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,9722000,1732000,2017
Construction,"Management, professional, and related occupations",Professional and related occupations,Men,9722000,210000,2017
Construction,Service occupations,Protective service occupations,Men,9722000,13000,2017
Construction,Service occupations,"Service occupations, except protective",Men,9722000,38000,2017
Construction,Sales and office occupations,Sales and related occupations,Men,9722000,90000,2017
Construction,Sales and office occupations,Office and administrative support occupations,Men,9722000,70000,2017
Construction,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,9722000,5000,2017
Construction,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,9722000,6576000,2017
Construction,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,9722000,603000,2017
Construction,"Production, transportation, and material moving occupations",Production occupations,Men,9722000,158000,2017
Construction,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,9722000,225000,2017
Manufacturing,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,10857000,1774000,2017
Manufacturing,"Management, professional, and related occupations",Professional and related occupations,Men,10857000,1745000,2017
Manufacturing,Service occupations,Protective service occupations,Men,10857000,29000,2017
Manufacturing,Service occupations,"Service occupations, except protective",Men,10857000,135000,2017
Manufacturing,Sales and office occupations,Sales and related occupations,Men,10857000,383000,2017
Manufacturing,Sales and office occupations,Office and administrative support occupations,Men,10857000,509000,2017
Manufacturing,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,10857000,26000,2017
Manufacturing,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,10857000,294000,2017
Manufacturing,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,10857000,642000,2017
Manufacturing,"Production, transportation, and material moving occupations",Production occupations,Men,10857000,4323000,2017
Manufacturing,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,10857000,995000,2017
Durable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,7235000,1189000,2017
Durable goods,"Management, professional, and related occupations",Professional and related occupations,Men,7235000,1328000,2017
Durable goods,Service occupations,Protective service occupations,Men,7235000,19000,2017
Durable goods,Service occupations,"Service occupations, except protective",Men,7235000,60000,2017
Durable goods,Sales and office occupations,Sales and related occupations,Men,7235000,219000,2017
Durable goods,Sales and office occupations,Office and administrative support occupations,Men,7235000,325000,2017
Durable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,7235000,5000,2017
Durable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,7235000,228000,2017
Durable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,7235000,409000,2017
Durable goods,"Production, transportation, and material moving occupations",Production occupations,Men,7235000,2906000,2017
Durable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,7235000,548000,2017
Nondurable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3622000,585000,2017
Nondurable goods,"Management, professional, and related occupations",Professional and related occupations,Men,3622000,418000,2017
Nondurable goods,Service occupations,Protective service occupations,Men,3622000,9000,2017
Nondurable goods,Service occupations,"Service occupations, except protective",Men,3622000,75000,2017
Nondurable goods,Sales and office occupations,Sales and related occupations,Men,3622000,164000,2017
Nondurable goods,Sales and office occupations,Office and administrative support occupations,Men,3622000,184000,2017
Nondurable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3622000,22000,2017
Nondurable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3622000,66000,2017
Nondurable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3622000,234000,2017
Nondurable goods,"Production, transportation, and material moving occupations",Production occupations,Men,3622000,1418000,2017
Nondurable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,3622000,448000,2017
Wholesale and retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,11176000,833000,2017
Wholesale and retail trade,"Management, professional, and related occupations",Professional and related occupations,Men,11176000,519000,2017
Wholesale and retail trade,Service occupations,Protective service occupations,Men,11176000,48000,2017
Wholesale and retail trade,Service occupations,"Service occupations, except protective",Men,11176000,316000,2017
Wholesale and retail trade,Sales and office occupations,Sales and related occupations,Men,11176000,5195000,2017
Wholesale and retail trade,Sales and office occupations,Office and administrative support occupations,Men,11176000,1460000,2017
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,11176000,32000,2017
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,11176000,91000,2017
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,11176000,679000,2017
Wholesale and retail trade,"Production, transportation, and material moving occupations",Production occupations,Men,11176000,374000,2017
Wholesale and retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,11176000,1630000,2017
Wholesale trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,2521000,324000,2017
Wholesale trade,"Management, professional, and related occupations",Professional and related occupations,Men,2521000,112000,2017
Wholesale trade,Service occupations,Protective service occupations,Men,2521000,3000,2017
Wholesale trade,Service occupations,"Service occupations, except protective",Men,2521000,22000,2017
Wholesale trade,Sales and office occupations,Sales and related occupations,Men,2521000,963000,2017
Wholesale trade,Sales and office occupations,Office and administrative support occupations,Men,2521000,234000,2017
Wholesale trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,2521000,26000,2017
Wholesale trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,2521000,22000,2017
Wholesale trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,2521000,122000,2017
Wholesale trade,"Production, transportation, and material moving occupations",Production occupations,Men,2521000,81000,2017
Wholesale trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,2521000,610000,2017
Retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,8656000,509000,2017
Retail trade,"Management, professional, and related occupations",Professional and related occupations,Men,8656000,407000,2017
Retail trade,Service occupations,Protective service occupations,Men,8656000,45000,2017
Retail trade,Service occupations,"Service occupations, except protective",Men,8656000,293000,2017
Retail trade,Sales and office occupations,Sales and related occupations,Men,8656000,4231000,2017
Retail trade,Sales and office occupations,Office and administrative support occupations,Men,8656000,1226000,2017
Retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,8656000,6000,2017
Retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,8656000,68000,2017
Retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,8656000,557000,2017
Retail trade,"Production, transportation, and material moving occupations",Production occupations,Men,8656000,293000,2017
Retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,8656000,1020000,2017
Transportation and utilities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,6204000,613000,2017
Transportation and utilities,"Management, professional, and related occupations",Professional and related occupations,Men,6204000,287000,2017
Transportation and utilities,Service occupations,Protective service occupations,Men,6204000,25000,2017
Transportation and utilities,Service occupations,"Service occupations, except protective",Men,6204000,90000,2017
Transportation and utilities,Sales and office occupations,Sales and related occupations,Men,6204000,86000,2017
Transportation and utilities,Sales and office occupations,Office and administrative support occupations,Men,6204000,801000,2017
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,6204000,3000,2017
Transportation and utilities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,6204000,174000,2017
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,6204000,527000,2017
Transportation and utilities,"Production, transportation, and material moving occupations",Production occupations,Men,6204000,334000,2017
Transportation and utilities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,6204000,3263000,2017
Information,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,1771000,338000,2017
Information,"Management, professional, and related occupations",Professional and related occupations,Men,1771000,736000,2017
Information,Service occupations,Protective service occupations,Men,1771000,6000,2017
Information,Service occupations,"Service occupations, except protective",Men,1771000,34000,2017
Information,Sales and office occupations,Sales and related occupations,Men,1771000,186000,2017
Information,Sales and office occupations,Office and administrative support occupations,Men,1771000,135000,2017
Information,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,1771000,0,2017
Information,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,1771000,13000,2017
Information,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,1771000,268000,2017
Information,"Production, transportation, and material moving occupations",Production occupations,Men,1771000,27000,2017
Information,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,1771000,30000,2017
Financial activities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,4940000,2245000,2017
Financial activities,"Management, professional, and related occupations",Professional and related occupations,Men,4940000,524000,2017
Financial activities,Service occupations,Protective service occupations,Men,4940000,33000,2017
Financial activities,Service occupations,"Service occupations, except protective",Men,4940000,233000,2017
Financial activities,Sales and office occupations,Sales and related occupations,Men,4940000,1131000,2017
Financial activities,Sales and office occupations,Office and administrative support occupations,Men,4940000,431000,2017
Financial activities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,4940000,0,2017
Financial activities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,4940000,46000,2017
Financial activities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,4940000,174000,2017
Financial activities,"Production, transportation, and material moving occupations",Production occupations,Men,4940000,20000,2017
Financial activities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,4940000,102000,2017
Professional and business services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,10882000,2689000,2017
Professional and business services,"Management, professional, and related occupations",Professional and related occupations,Men,10882000,3930000,2017
Professional and business services,Service occupations,Protective service occupations,Men,10882000,413000,2017
Professional and business services,Service occupations,"Service occupations, except protective",Men,10882000,1839000,2017
Professional and business services,Sales and office occupations,Sales and related occupations,Men,10882000,348000,2017
Professional and business services,Sales and office occupations,Office and administrative support occupations,Men,10882000,539000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,10882000,14000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,10882000,121000,2017
Professional and business services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,10882000,285000,2017
Professional and business services,"Production, transportation, and material moving occupations",Production occupations,Men,10882000,219000,2017
Professional and business services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,10882000,484000,2017
Education and health services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,8804000,1125000,2017
Education and health services,"Management, professional, and related occupations",Professional and related occupations,Men,8804000,5199000,2017
Education and health services,Service occupations,Protective service occupations,Men,8804000,121000,2017
Education and health services,Service occupations,"Service occupations, except protective",Men,8804000,1430000,2017
Education and health services,Sales and office occupations,Sales and related occupations,Men,8804000,29000,2017
Education and health services,Sales and office occupations,Office and administrative support occupations,Men,8804000,341000,2017
Education and health services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,8804000,3000,2017
Education and health services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,8804000,76000,2017
Education and health services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,8804000,183000,2017
Education and health services,"Production, transportation, and material moving occupations",Production occupations,Men,8804000,67000,2017
Education and health services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,8804000,231000,2017
Leisure and hospitality,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,6996000,1035000,2017
Leisure and hospitality,"Management, professional, and related occupations",Professional and related occupations,Men,6996000,557000,2017
Leisure and hospitality,Service occupations,Protective service occupations,Men,6996000,140000,2017
Leisure and hospitality,Service occupations,"Service occupations, except protective",Men,6996000,4238000,2017
Leisure and hospitality,Sales and office occupations,Sales and related occupations,Men,6996000,280000,2017
Leisure and hospitality,Sales and office occupations,Office and administrative support occupations,Men,6996000,232000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,6996000,4000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,6996000,33000,2017
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,6996000,104000,2017
Leisure and hospitality,"Production, transportation, and material moving occupations",Production occupations,Men,6996000,70000,2017
Leisure and hospitality,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,6996000,301000,2017
Other services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3617000,295000,2017
Other services,"Management, professional, and related occupations",Professional and related occupations,Men,3617000,553000,2017
Other services,Service occupations,Protective service occupations,Men,3617000,20000,2017
Other services,Service occupations,"Service occupations, except protective",Men,3617000,666000,2017
Other services,Sales and office occupations,Sales and related occupations,Men,3617000,277000,2017
Other services,Sales and office occupations,Office and administrative support occupations,Men,3617000,80000,2017
Other services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3617000,2000,2017
Other services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3617000,24000,2017
Other services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3617000,1075000,2017
Other services,"Production, transportation, and material moving occupations",Production occupations,Men,3617000,310000,2017
Other services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,3617000,315000,2017
"Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3562000,294000,2017
"Other services, except private households","Management, professional, and related occupations",Professional and related occupations,Men,3562000,551000,2017
"Other services, except private households",Service occupations,Protective service occupations,Men,3562000,20000,2017
"Other services, except private households",Service occupations,"Service occupations, except protective",Men,3562000,624000,2017
"Other services, except private households",Sales and office occupations,Sales and related occupations,Men,3562000,277000,2017
"Other services, except private households",Sales and office occupations,Office and administrative support occupations,Men,3562000,80000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3562000,2000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3562000,23000,2017
"Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3562000,1075000,2017
