Contestant,Birthday,Birthplace,Hometown,Description,Season
Rayvon Owen,27-Jun-91,"Richmond, Virginia",NA,"At his young age, he sang with the Sunbeam Choir at Antioch Baptist Church. He joined the Richmond Boys Choir in middle school and later, joined the Harlem Boys Choir. He graduated from Henrico High School's Center for the Arts. He attended college at Belmont University in Nashville, Tennessee. He auditioned in San Francisco with his rendition of Katy Perry's ""Wide Awake"". Owen sang ""Ordinary Peopleby John Legend in his first solo performance and Otis Reding's ""Try a Little Tendernessin his final solo performance, during Hollywood week. He performed during the Showcase week in the House of Blues with Sam Smith's ""Lay Me Down"", earning his spot in the semi-finals.  He cites Lionel Richie, John Legend, Katy Perry, and Stevie Wonder as his musical influences. He was eliminated on May 6, coming in fourth place.",14
Tyanna Jones,8-Aug-98,"Jacksonville, Florida","Jacksonville, Florida","Jones is the middle of eleven children. She spent months living homeless with her family in the local pastor church. She started singing with the choir as voice major in Douglas Anderson School of the Arts at the age of five She and her mother flew to San Francisco, which was the last venue of auditions, after they earned enough money for the trip. For her audition, she sang ""Wingsby Little Mix, to earn her ticket. During the Hollywood Rounds, she sang Olly Murs' ""Dance with Me Tonightin her first solo performance and ""Tryby Colbie Caillat in her final solo performance. She performed during the Showcase week in the House of Blues with Beyoncé's ""Love on Top"", earning her spot in the semi-finals. She cites Prince, Michael Jackson and Beyonce as musical influences. She was eliminated on April 29, coming in fifth place.",14
Quentin Alexander,11-Dec-94,"New Orleans, Louisiana",NA,"Alexander's mentor and drama instructor at school, Troy Populous, encouraged him to channel his creative energy into drama class. Populous could see Alexander had charisma, an 'it' factor, and Alexander agreed that he was able to channel his frustration into ""something beautiful, which at the time was theater."" Alexander says that many artists have made impacts on him with a few of his biggest inspirations as Erykah Badu, David Bowie, Andre 3000, Jimi Hendrix, Lenny Kravitz, Lorde, Sia ""and the list goes on for miles.He sang ""Royalsby Lorde for his audition in New Orleans. During the final round of Hollywood week, he sang ""Riptideby Vance Joy. He earns the spot in the Top 24 after he sang ""Youthby Foxes during the showcase week in the House of Blues. He was eliminated on April 22, coming in sixth place.",14
Joey Cook,30-Mar-91,"Woodbridge, Virginia",NA,"When she is not working, she performs in the streets of Richmond. During her audition, she performed ""King of Spainby The Tallest Man on Earth. Cook sang Miranda Lambert's ""Keroseneduring her first solo performance in the Hollywood rounds. She also sang ""Across the Universeby The Beatles for her final solo round performance. Cook landed the spot in the top 24 after she performed ""Sweet Peaby Amos Lee in the House of Blues Showcase Round. Her performance of Fancy during the top 11 was well received by the judges and earned a standing ovation from Keith Urban.  She played the accordion, ukulele, banjo, as well as the mandolin during the course of the season.  Joey is a member of the band Mammoth Indigo. She was eliminated on April 15, coming in seventh place.",14
Qaasim Middleton,13-Jan-95,"Brooklyn, New York","Brooklyn, New York","He is the son of actors and professional musicians Keith Middleton and Toni Seawright. His mother was Miss Mississippi in 1987. She has sung backing vocals for Tina Turner, Teena Marie and Laura Branigan, among many others. His father was a cast member of the stage musical, ""Stompfor 20 years. Middleton was formerly a musician and actor in Nickelodeon's television show The Naked Brothers Band. He auditioned in New York City with ""Sir Dukeby Stevie Wonder. He performed Ed Sheeran's ""Give Me Loveduring his final Hollywood solo round. He sang ""Satisfactionby Allen Stone, earning his spot in the Top 24 in the House of Blues showcase week. Middleton was the recipient of the one and only ""judges' saveof the season, which kept him from elimination during the second week of the Top 11. However, he was eliminated on April 8, coming in eighth place.",14
Daniel Seavey,2-Apr-99,"Vancouver, Washington","Vancouver, Washington","Seavey was a sophomore student at Union High School in Camas. At his young age, He played guitar, violin, cello, viola, piano, mandolin, ukulele, bass and drums. His father was a pastor at Living Water Community Church. He sang Leonard Cohen's ""Hallelujah& Paula Abdul's ""Straight Upduring his audition in San Francisco. During the Hollywood Rounds, he sang Ed Sheeran's ""Thinking Out Loudin his first solo performance and ""I See Fire"", also sung by Sheeran, in his final solo performance. He performed again ""Straight Upin the House of Blues, earning his spot in the top 24. Seavey was the youngest contestant at the age of 15 to compete in the show. He was eliminated on April 1, coming in ninth place. Seavey would later join the group Why Don't We.",14
Adanna Duru,10-Oct-96,"Diamond Bar, California",NA,"At the age of 10, Duru wrote her first song, ""Come Back to Me"". She played guitar and piano on the song, which was about world peace. She performed in musicals during middle school. For three years, she was a member of her high school choir. She was a contestant on the third season of The Voice where she was defaulted to Adam Levine's team, but was eliminated in the Battle Rounds. She auditioned in San Francisco with Lady Gaga's ""You & I"". She performed ""It's a Man's, Man's, Man's Worldby James Brown during the House of Blues Showcase where she got standing ovation by Jennifer Lopez, earning her spot in the Top 24. Adanna's biggest musical influences are Michael Jackson, Justin Timberlake, Janet Jackson, Beyoncé and Lady Gaga. She was eliminated on March 25, along with Maddie Walker, tied at tenth place.",14
Maddie Walker,23-Dec-97,"Ankeny, Iowa","Ankeny, Iowa","She previously auditioned in the thirteenth season but was cut during the group round on Hollywood Week. She returned to audition again in New York City with Gwen Sebastian's ""Suitcase"". She sang ""Already Goneby Sugarland during her first solo round in Hollywood week. She also sang ""Don't Yaby Brett Eldredge in her final solo performance. During the House of Blues Showcase, she sang ""Big Girls Don't Cry"". She was cut during the top 24 selection but was called back by the judges, whom they were undecided, to have a sing-off with fellow singer, Rachel Hallack, to earn the spot in the semi-finals. Thus, the judges decided to send Walker through the Top 24. She was eliminated on March 25, along with Adanna Duru, tied at tenth place.",14
Sarina-Joi Crowe,27-Jun-95,"Columbia, Tennessee",NA,"She originally auditioned for the tenth season of American Idol, but was cut on the last day of the Hollywood Round. Crowe also auditioned for the twelfth and thirteenth seasons, where she was cut in the green mile round. For her fourth appearance, she returned to audition in Nashville, Tennessee with ""Love Runs Outby OneRepublic. She sang Jessie J's ""Big White Roomin the House of Blues Showcase Week where she was able to earn her spot in the Top 24. She was the first finalist to be eliminated on March 12, coming in twelfth place.",14
Trent Harmon,8-Oct-90,"Amory, Mississippi","Amory, Mississippi","Harmon fell into music when his mother taught him to sing ""Amazing Graceat the age of 5. His family owns a farm and a restaurant. He sang and performed in numerous musicals throughout high school and college. Before his graduation from the University of Arkansas at Monticello, he led worship services on campus. He previously tried out for an audition on The Voice. He auditioned in Little Rock, Arkansas, singing ""Unawareby Allen Stone. When Harmon suffered mononucleosis during Hollywood Week, he continued by singing Sam Smith's ""Lay Me Downas his first solo performance. In group round, he was not able to perform with other contestants due to his sickness and the producers allowed him to perform a solo to advance. He landed a spot in the Top 24 during Showcase Week after performing Elton John's ""Tiny Dancer"". On April 7, Harmon was named as the winner of the fifteenth season and received a recording contract with Big Machine Records. His single ""Fallingwas then released, and peaked at number 3 on the iTunes Top 100.",15
La'Porsha Renae,1-Aug-93,"McComb, Mississippi",NA,"At 16, she once tried out for Idol during the eighth season.  After her college graduation at the age of 22, Renae was a former victim of domestic abuse. After a year, she separated with her husband and moved to McComb with her one month old daughter Nayalee Keya.  Accompanied with her daughter, she returned to audition at Little Rock, Arkansas and earned her golden ticket by performing in front of the judges with Radiohead's Creep. During Hollywood Week, she performed Katy Perry's ""Roarin her first solo performance. She advanced to the Top 24 after she sang ""The House of the Rising Sunat Showcase Week. She was the last female contestant. Renae was announced as the runner-up on April 7. It was revealed on the season finale that Renae had received a recording contract with Big Machine Records.",15
Dalton Rapattoni,6-Feb-96,"Sunnyvale, Texas","Sunnyvale, Texas","At the age of 11, he started learning to play guitar. Rapattoni works as a vocal coach in School of Rock. He was a member of the band Fly Away Hero. In 2012, Rapattoni was discovered in a national talent search where he was part of Disney boy band IM5 with other four members. After he left the band in 2014, he reformed his former band Fly Away Hero with new bandmates. Rapattoni auditioned in Little Rock, Arkansas and sang ""The Phantom of the Opera"". In his first solo performance in Hollywood rounds, he sang ""California Dreamin'by The Mamas & the Papas. He sang Olivia Newton-John's ""Hopelessly Devoted to Youin his final solo performance. He advanced to the Top 24 after he sang ""It's Gonna Be Meby NSYNC during Showcase Week.  He was eliminated on April 6 and finished in third place.",15
MacKenzie Bourg,11-Sep-92,"Lafayette, Louisiana","Lafayette, Louisiana","He was a contestant on the third season of The Voice where he was defaulted to CeeLo Green's team after being voted off in the first live show. Bourg auditioned at Atlanta performing a medley of songs by the judges. He sang his original song ""Rosesfor his final solo performance to advance to the Showcase round. Bourg advanced to the top 24 after he performed ""Can't Help Falling in Love"". He was eliminated on March 31. Bourg released his single ""Rosesin association with Big Machine Records on April 7. His single peaked at number 4 of the iTunes Top 100.",15
Sonika Vaid,4-Aug-95,"Weston, Massachusetts",NA,"She is of Indian descent and her parents immigrated to the U.S. when she was a child. She began singing at the age of three. Aside from singing, she also plays the piano. She graduated from Weston High School in 2013. Prior to entering Idol, she was studying biology and a regular performer at a local park near her home for special events. Vaid sang ""Look at Meby Carrie Underwood at her audition in Denver, Colorado and received high praises from the judges, earning a golden ticket to Hollywood. She then progressed to the first round of Hollywood week and sang ""Almost Is Never Enough"". Vaid made it to the final Hollywood solo round, where she performed ""One Last Timeby Ariana Grande. In Showcase round, she performed ""I Surrenderby Celine Dion and advanced to the Top 24. She was eliminated on March 24.",15
Tristan McIntosh,25-Apr-00,"Nashville, Tennessee","Nashville, Tennessee","McIntosh won Q108's Clarksville's Got Talent competition in April 2013 at the age of 13. Her mother Amy was an army major who works in the military overseas. She performs at special events and venues. She was also a member of the Children's Christian choir and the Let Freedom Sing Tour in the past. McIntosh auditioned at Little Rock, Arkansas, performing ""Why Baby Whyby Mickey Guyton. During Hollywood Week, she sang ""Something in the Waterby Carrie Underwood as her first solo performance. She advanced to the Showcase round after performing her final solo performance, ""What Hurts the Most"". She advanced  to the Top 24 after singing ""Strongerby Faith Hill. She was eliminated on March 17.",15
Lee Jean,10-Sep-99,"Bluffton, South Carolina","Bluffton, South Carolina","Jean's first experience in music is singing in high school campus. He was part of a duo with fellow musician Hannah Lindsey Lane. He auditioned at Atlanta and sang Ed Sheeran's ""I See Fire"". He sang ""Stitchesby Shawn Mendes for his final solo performance.  In Showcase week, he sang ""Make It Rainto land a spot in the top 24. He was eliminated along with Avalon Young on March 10.",15
Avalon Young,16-Jul-94,"San Diego, California",NA,"She was named by her mother after the album of the same name by Roxy Music. She learned how to play guitar during her middle school years. Young began singing during her senior year and was a band member of ""Over the Edge"". Young originally works as a server at a restaurant. She auditioned in San Francisco, California by performing an acoustic version of ""XOby Beyoncé. During the final round of Hollywood week, Young sang Ariana Grande's ""One Last Timeto advance in the Showcase Round. She sang ""Yo (Excuse Me Miss)by Chris Brown and advanced to the top 24 semifinals. She was eliminated along with Lee Jean on March 10.",15
Gianna Isabella,30-Mar-00,"Jackson, New Jersey","Jackson, New Jersey","She is the daughter of singer Brenda K. Starr. In 2014, Gianna won the 'New York Dream Night Talent Search' competition. She auditioned in Philadelphia and sang ""The House of the Rising Sun"". She sang ""One Night Onlyduring her first solo performance in Hollywood Week. She sang her mother's hit single ""I Still Believeduring Showcase Week to advance to the Top 24. She was one of the first two finalists to be eliminated on March 3.",15
Olivia Rox,16-Jan-99,"Agoura Hills, California",NA,"Olivia is the daughter of jazz saxophonist Warren Hill and music producer Tamara Van Cleef. She wrote her first song on the piano at the age of 4. She earned her golden ticket  during an audition in San Francisco, California, after she performed ""When I Was Your Manby Bruno Mars.  She advanced in the first round of Hollywood Week by performing ""Genie in a Bottleby Christina Aguilera. She sang one of her composed original songs to advance for the Showcase week. She advanced to the Top 24 after she sang Maroon 5's ""Love Somebody"". She was one of the first two finalists to be eliminated on March 3.",15
Maddie Poppe,5-Dec-97,"Clarksville, Iowa","Clarksville, Iowa","Poppe's father Trent was a member of his bluegrass band for a while and had performed throughout with other local bands. She first started singing at sixth grade when her sister encouraged her to perform a duet at her high school. She was also a member of her school band, the choir and studied musical theater in class. She was a former graphic design student at Iowa Central Community College before transferring to Hawkeye Community College to study digital mass media in 2017. She performed at many venues in Clarksville and had performed at RAGBRAI in 2014. She won a golden ticket at the New York City auditions after performing ""Rainbow Connectionwhich impressed the judges. In Hollywood Week, she sang ""Dreamsby Brandi Carlile in her first solo and performed her original song ""Don't Ever Let Your Children Grow Upas her final solo performance. She advanced in the Top 24 after performing ""Me and Bobby McGeein the Showcase Round. During the course of the season, she played ukulele, guitar and keyboard. She was announced as the winner on May 21. Her debut single ""Going, Going Goneranked at the US  Billboard Digital Songs.",16
Caleb Lee Hutchinson,2-Mar-99,"Dallas, Georgia","Dallas, Georgia","He learned to sing at the age of nine and learned to play guitar and write his own songs at the age of thirteen. He performed opening acts across Atlanta for Gene Watson, T. Graham Brown, The Kentucky Headhunters and Idol season 4 runner-up Bo Bice. He won the Georgia Country Teen Showcase last year. He passed the audition at Atlanta after impressing the judges by performing ""If It Hadn't Been For Love"". In Hollywood Week, he performed Keith Whitley's ""Don't Close Your Eyesin the first solo round. He made it to Showcase Week by singing Josh Turner's ""Your Manas his second solo performance. After performing ""I Was Wrongby Chris Stapleton, Hutchinson advanced to the Top 24 semifinals. He was announced as the runner-up on May 21.",16
Gabby Barrett,5-Mar-00,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania","Barrett started singing at the age of nine. She was a member of a local gospel choir for two years and an active member of the Pittsburgh community. The grandparents of her father and general manager Blase, are songwriters for Frank Sinatra and Tony Bennett. She had performed more than 100 concerts at different venues around her hometown such as the children's hospital for benefit events and opening acts for Keith Urban, Cole Swindell, Daya and Toby Keith. Barrett, who endured bullying at her high school Serra Catholic in McKeesport, organized a benefit concert tour, visiting area Pittsburgh schools for anti-bullying in 2017. She auditioned at Nashville, intending to perform her audition song but the judges suggested her to sing a church song instead before giving her the ticket after she sang ""His Eye Is on the Sparrow"". She sang Aretha Franklin's ""Ain't No Wayin her final solo performance to advance in the Showcase Round where she then sang ""Church Bellsby Carrie Underwood, one of her initial audition songs, to join the Top 24. Barrett finished in third place on May 21.",16
Cade Foehner,24-Jul-96,"Shelbyville, Texas","Shelbyville, Texas","Foehner was the lead guitarist for Johnson's Lost Crowes and won the Dallas International Guitar Festival as best guitarist at the age of 17. He was a member of a worship group at his local church. He studied Biblical theology at Liberty University. He earned a golden ticket from the judges after singing The Black Crowes' ""She Talks to Angelsin his audition at New Orleans. In the Hollywood round, he performed ""The Thrill Is Goneby B.B. King as his first solo and ""Feel It Stillby Portugal. The Man in the final solo round. He sang Kaleo's ""No Goodto advance in the semifinals during Showcase Week. Foehner was one of the two finalists eliminated on May 13, tied at fourth place.",16
Michael J. Woodard,6-Oct-97,"Philadelphia, Pennsylvania",NA,"Woodard (born October 6, 1997) was a bowling alley attendant from Philadelphia, Pennsylvania. Woodard's first experience in music was singing ""A Little Candleat a Christmas pageant. When he was eight, he auditioned for a children's play at his local performing arts school. He was the winner of The Hub's Majors & Minors where Idol alumni Jennifer Hudson, Jordin Sparks and Adam Lambert appeared as guest mentors with partnership of RCA Music Group as his prize. In 2016, he moved to Los Angeles after accepting a degree at Musicians Institute. For his audition, he sang ""Make It Rainto the judges. He then progressed to the Showcase Round after performing ""Maybe This Time"". He also sang Alanis Morissette's ""You Oughta Knowto advance in the Top 24. Woodard was one of the two finalists eliminated on May 13, tied at fourth place.",16
Catie Turner,14-Feb-00,"Langhorne, Pennsylvania",NA,"She was currently studying at Neshaminy High School. Turner's first experience in music started when she sang The Beatles' ""Yellow Submarineto her mother. At 15 years old after she learned to play guitar and began songwriting, she tried out for Idol back in 2016 but was turned down by the producers before the sixteenth season reboot was announced. She auditioned in New York City and sang her original song ""21st Century Machineto the judges. She also sang The Beatles' ""Come Togetherand another original song during the solo rounds of Hollywood Week. She sang ""Bad Romanceby Lady Gaga in the Showcase Round to earn a spot in the Top 24. She was one of the two finalists eliminated on May 6, tied at sixth place.",16
Jurnee,11-May-99,"Denver, Colorado",NA,"She started singing when she was two years old and began writing her own music at seven years old. After being dismissed at the final round of Hollywood Week since 2016, she came out as a lesbian in which her family was extremely supportive to her. Her partner was a soldier in the United States Army who was recently deployed this year. She performed for corporate and wedding events with the local Moses Jone Band. She returned to the competition at the Savannah auditions and performed ""Rise Upby Andra Day to the judges. She also sang Demi Lovato's ""You Don't Do It for Me Anymorefor her first solo performance and Ariana Grande's ""One Last Timeto advance in Showcase Week during the Hollywood rounds. She made it to the semifinals after singing ""Never Enough"". She was one of the two finalists eliminated on May 6, tied at sixth place.",16
Dennis Lorenzo,4-Apr-91,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania","His first experience in music was attending the screening of ""The Lion Kingwith his parents following the murder of his father at the age of five. When he was 16, his grandparents bought him an acoustic guitar to start his music career. He was once homeless before settling to Los Angeles and married to his girlfriend with their first daughter. For his audition, he sang ""Unaware"". He sang two songs in Hollywood Week: ""Thinking Out Loudin the first solo round and ""Homeby Daughtry in his final solo performance. He passed Showcase Week by performing ""A Song for Youand advanced in the semifinals. He was one of the first three finalists eliminated on April 29.",16
Michelle Sussett,2-Aug-96,"Miami, Florida","Miami, Florida","Born in Venezuela, she learned to sing at four years old and was a member of the local children's choir before moving to Miami at the age of eighteen during the oppression at Caracas in 2014. She won $5,000 at the Ultimate Miami Voice competition. She previously auditioned for The Voice and America's Got Talent. After she passed the audition in Los Angeles, she sang ""I'm Coming Outby Diana Ross in Hollywood Week. She also sang ""24K Magicby Bruno Mars and made it the Top 24. She was one of the first three finalists eliminated on April 29.",16
Ada Vox,17-May-93,"San Antonio, Texas",NA,"He recently appeared in the twelfth season and was cut in the Top 50 round before the semifinals. As Ada, she sang ""The House of the Rising Sunat the Savannah auditions. After passing Hollywood week, she sang ""Creepby Radiohead to make it into the semifinals. She was one of the first three finalists eliminated on April 29.",16
Laine Hardy,12-Sep-00,"Livingston, Louisiana","Livingston, Louisiana","Raised in bayou area near Baton Rouge, Laine started taking music lessons when he was 7 and playing local gigs at 14. Although initially he did not sing, he was encouraged by his brother to sing. Laine Hardy first auditioned for season 16 of American Idol after his mother urged him to try, but did not go far in that season, making it only to the top 50. He sang ""The Weightand got the Golden Ticket. During the Hollywood week, he perform ""She Talks to Angelsand ""Proud Maryfor solo performances, ""Grenadefor group performance. After giving a performance of ""Come Togetherduring Showcase Round in Hawaii, he advanced to the Top 20. This time he made it to the final and won the competition. During the Finale, Laine sang ""Homeby Marc Broussard, ""Jambalaya (On the Bayou)by Hank Williams and ""Bring It On Home to Meby Sam Cooke. He was announced as the winner on May 19. His coronation song ""Flamewas released after the Finale and was performed after he was crowned American Idol.",17
Alejandro Aranda,11-Aug-94,"Pomona, California","Pomona, California","Alejandro always looked up to his older sister when she played classical music on the piano. That got him into classical music, and then he ventured out to the library to listen to music. He picked up the guitar later in life.   His interest continued through his teenage years but he did not become serious about being a musician until he was 20. Alejandro auditioned in Los Angeles. He sang two original songs, one called ""Out Loudon the guitar and another called ""Cholo Loveon the piano. During Hollywood Week, he was shown in the same Group of Ten as Laci Kaye Booth, he sang Sorry by Justin Bieber. For his final solo performance, he sang an original song called ""Ten Yearsand advanced to the Top 40. For the Finale, Alejandro sang three of his own songs. He was announced as runner-up on May 19.",17
Madison VanDenburg,9-Dec-01,"Cohoes, New York","Cohoes, New York","Madison considers her first introduction to music the piano lessons she took when she was six years old. She started a duo next year with her older sister Taylor at her dad's restaurant and gigged around her hometown since then. Her piano teacher suggested she should try out for Idol. Auditioning in New York, the 17-year-old sang Dan + Shay‚Äôs Speechless.  Madison sang Who's Lovin' You for Showcase Round and advanced to the Top 20. After singing Shallow by Lady Gaga & Bradley Cooper and Breakaway by Kelly Clarkson during the Finale, finishing in third place on May 19.",17
Laci Kaye Booth,28-Aug-95,"Livingston, Texas","Livingston, Texas","Born the daughter of Texas country singer Jody Booth, her earliest musical memory is singing along with him at age three when he was sitting on the living room couch, playing his guitar. Soon after, her parents divorced and eventually, her father passed along his collection of LPs to his daughter. She was eight years old when she figured out that singing is what she really wanted to do. Laci sang Mama Tried by Merle Haggard during her audition in Denver. During the first part of Hollywood Week, she sang (You Make Me Feel Like) A Natural Woman by Aretha Franklin. She was later shown in a group called ""Diamond Dixiesalong with Katie Belle, Laine Hardy and Colby Swift singing ""Grenadeby Bruno Mars. For her final solo performance, she sang ""Starsby Grace Potter and the Nocturnals. Laci sang ""Georgia on My Mindby Ray Charles during Showcase Round to earn her spot in the Top 20. She was controversially saved by the judges on the Top 6 Live Show and eliminated next week, along with Wade Cota, tied at fourth-fifth place.",17
Wade Cota,26-Aug-91,"Phoenix, Arizona","Phoenix, Arizona","Wade never took a lesson for guitar or for vocals. He self-taught and considered it as an escape. For one semester in eighth grade, Wade sang in his school choir. Then he went in a different direction with metal music. His first time playing in front of an audience was a music festival called the Way Out West Metal Fest. Wade first auditioned for Idol nine years ago, right after he graduated from high school. He failed to receive a ""yesthat made him quit metal. Wade auditioned for this Idol season in Los Angeles. He sang Blame it On Me by George Ezra. During the Hollywood Week. he sang ""Litostby X Ambassadors and an original song named ""Stayfor solo rounds. He was shown in a group singing California Dreamin' by The Mamas and the Papas and advanced despite forgetting the lyrics. Wade made it to the Top 5. He, along with Laci Kaye Booth received the lowest number of votes for that week, eliminating him from the competition at fourth-fifth place.",17
Jeremiah Lloyd Harmon,9-Oct-92,"Catonsville, Maryland","Catonsville, Maryland","Jeremiah's earliest childhood memory of music is singing in church with his mother and the rest of his siblings. Despite that early start and the fact that he always enjoyed singing, Harmon did not think about a musical career path until years later. He was one of this season's most compelling singers and stories. A pastor's son, he came out to his parents but they were not immediately accepting. Supported at his audition and on subsequent episodes by his boyfriend John. He auditioned in New York with an original song called ""Almost Like Heaven‚Äù. He gave an emotional performance during Hollywood week with Beautiful by Carole King and The First Time Ever I Saw Your Face by Roberta Flack for solo rounds, then made it to the Top 40. His performed Elton John's ""We All Fall in Love Sometimesduring Top 14 Show. For Top 6 Live Show, Jeremiah sang Swing Low, Sweet Chariot by Joan Baez and Somewhere from the 1957 Broadway musical West Side Story. He was placed in the Bottom 2 for that week, and the judges chose to save Laci Kaye Booth over him, eliminating him from the competition at sixth place.",17
Walker Burroughs,29-Sep-98,"Birmingham, Alabama",NA,"Walker had participated in church choir since elementary school, wrote his first song when he was in fifth grade and joined the band in middle school, continuing with choir and band in high school. He auditioned in Louisville with ""Love Like Thisby Ben Rector and ""Helloby Lionel Richie. During the Hollywood Week, he sang ""Whereaboutsby Stevie Wonder and ""Your Songby Elton John for his first round and his final solo performance. After performing Youngblood by 5 Seconds of Summer, Walker advanced to the Top 20. During the Top 8 Live Show, Walker sang Crazy Little Thing Called Love by Queen and Mrs. Robinson in a duet with Alejandro Aranda. He is one of two who had the lowest number of votes. He was eliminated on April 28, along with Alyssa Raghu, tied at seventh-eighth place.",17
Alyssa Raghu,2-Mar-02,"Orlando, Florida","Orlando, Florida","Growing up with two different cultures, hearing Indian music in the house and then also hearing Mexican music in the house in Spanish, gave her a lot of perspective that there are so many things to listen to. Alyssa took guitar lessons for a short period of time. Alyssa auditioned for Idol's first season on ABC and made it through until got cut at Top 24. She took several classes to improve skills and then auditioned again this season in Los Angeles with the song Shark in the Water by V.V. Brown. Alyssa was shown in the third part of Hollywood Week, singing What About Us by P!nk for her final solo performance and advanced to Top 40. This time, she made to the Top 8, after she got a wild card by Katy Perry at the end of Top 14. For Top 8 Live Show, she sang Somebody to Love by Queen and Ain't No Mountain High Enough in a duet with Wade Cota. She, along with Walker Burroughs, received the lowest number of votes for that week, and the judges chose not to use their save, eliminating her from the competition at seventh-eighth place.",17
Dimitrius Graham,8-Jun-91,"Baltimore, Maryland","Baltimore, Maryland","Dimitrius's earliest memory of music is his mother singing a gospel song at church. He joined the children's choir of the church and performed his first solo with ‚ÄòThe Shepherd‚Äôs Song‚Äô. He considered following in his stepfather's career path as a police officer and thought about becoming a teacher. A mentor later introduced him to opera and gave him secret lessons. Once he got a chance to see Pavarotti and Renée Fleming conquer an entire orchestra, he fell in love with their music. Dimitrius was first shown in the first solo round of Hollywood Week. He sang Wind Beneath My Wings by Bette Midler in front of the judges and his mother (via phone), who was about to have an operation. Then he appeared in a group called ""Unexpected Vibesinging I Want It That Way by Backstreet Boys. He advanced to the Top 10. Dimitrius sang You'll Be in My Heart by Phil Collins for the Disney Night Live Show. He is one of two who received the lowest number of votes, and the judges chose not to save him, eliminating him from the competition at ninth-tenth place.",17
Uché,15-Jul-94,"Sugarland, Texas","Sugarland, Texas","As a child, Uché visited family in Nigeria and learned how to dance from his aunts and uncles. He had an epiphany while watching the Disney TV movie High School Musical when he was 11. He begged his parents to sign him up for an acting class. After living in Minnesota for ten years, his family moved back to Houston when he was 16. He auditioned for a musical named ""The Music Manand tried out for varsity choir at the same time. Later, he became the lead singer of the youth group band in his church. Uché graduated from Texas State with a degree in psychology. He went before the Idol judges with his rendition of Ain't No Other Man, and he sang Smokie Norful's ""God Is Ableand talked about his musical influences. Uché was shown in the third part of Hollywood Week, singing Scars to Your Beautiful by Alessia Cara for his final solo performance. Uché sang ""Eye to Eye from A Goofy Movie for the Disney Night Live Show. He is one of two who received the lowest number of votes, and the judges chose not to save him, eliminating him from the competition at ninth-tenth place.",17
