season,week,order,contestant,song,artist,song_theme,result
Season_10,songs_04,5,Pia Toscano,All by Myself,Céline Dion,Celine Dion,Safe
Season_10,songs_04,6,James Durbin,Maybe I'm Amazed,Paul McCartney,Paul Mccartney,Safe
Season_10,songs_04,7,Haley Reinhart,Blue,Zach Bryan,Leann Rimes,Bottom three
Season_10,songs_04,8,Jacob Lusk,I Believe I Can Fly,R. Kelly,R Kelly,Safe
Season_10,songs_04,9,Thia Megia,Smile,Uncle Kracker,Michael Jackson,Safe
Season_10,songs_04,10,Stefano Langone,Lately,Mike Sherm,Stevie Wonder,Safe
Season_10,songs_04,11,Karen Rodriguez,I Could Fall in Love,Selena,Selena,Bottom three
Season_10,songs_04,12,Scotty McCreery,The River,Jordan Feliz,Garth Brooks,Safe
Season_10,songs_04,13,Naima Adedapo,Umbrella,"Rihanna,JAY-Z",Rihanna,Safe
Season_10,songs_05,1,Naima Adedapo,What's Love Got to Do with It,Tina Turner,NA,Bottom three
Season_10,songs_05,2,Paul McDonald,I Guess That's Why They Call It the Blues,Elton John,NA,Safe
Season_10,songs_05,3,Thia Megia,Colors of the Wind,Judy Kuhn,NA,Safe
Season_10,songs_05,4,James Durbin,I'll Be There for You,Bon Jovi,NA,Safe
Season_10,songs_05,5,Haley Reinhart,I'm Your Baby Tonight,Whitney Houston,NA,Bottom three
Season_10,songs_05,6,Stefano Langone,If You Don't Know Me by Now,"Harold Melvin & The Blue Notes,Teddy Pendergrass",NA,Safe
Season_10,songs_05,7,Pia Toscano,Where Do Broken Hearts Go,Whitney Houston,NA,Safe
Season_10,songs_05,8,Scotty McCreery,Can I Trust You with My Heart,Travis Tritt,NA,Safe
Season_10,songs_05,9,Karen Rodriguez,Love Will Lead You Back,Joy Division,NA,Eliminated
Season_10,songs_05,10,Casey Abrams,Smells Like Teen Spirit,Nirvana,NA,Safe
Season_10,songs_05,11,Lauren Alaina,I'm the Only One,Melissa Etheridge,NA,Safe
Season_10,songs_05,12,Jacob Lusk,Alone,Jimin,NA,Safe
Season_10,songs_06,1,Casey Abrams,I Heard It Through the Grapevine,Marvin Gaye,NA,Judge's Save
Season_10,songs_06,2,Thia Megia,(Love Is Like a) Heat Wave,Martha Reeves & The Vandellas,NA,Bottom three
Season_10,songs_06,3,Jacob Lusk,You're All I Need to Get By,"Marvin Gaye,Tammi Terrell",NA,Safe
Season_10,songs_06,4,Lauren Alaina,You Keep Me Hangin' On,The Supremes,NA,Safe
Season_10,songs_06,5,Stefano Langone,Hello,Adele,NA,Bottom three
Season_10,songs_06,6,Haley Reinhart,You've Really Got a Hold on Me,The Miracles,NA,Safe
Season_10,songs_06,7,Scotty McCreery,For Once in My Life,Stevie Wonder,NA,Safe
Season_10,songs_06,8,Pia Toscano,All in Love Is Fair,Stevie Wonder,NA,Safe
Season_10,songs_06,9,Paul McDonald,The Tracks of My Tears,Smokey Robinson & The Miracles,NA,Safe
Season_10,songs_06,10,Naima Adedapo,Dancing in the Street,Martha Reeves & The Vandellas,NA,Safe
Season_10,songs_06,11,James Durbin,Living for the City,Stevie Wonder,NA,Safe
Season_10,songs_07,1,Scotty McCreery,Country Comfort,Elton John,NA,Safe
Season_10,songs_07,2,Naima Adedapo,I'm Still Standing,Elton John,NA,Eliminated
Season_10,songs_07,3,Paul McDonald,"Rocket Man (I Think It's Going to Be a Long, Long Time)",FLAG,NA,Bottom three
Season_10,songs_07,4,Pia Toscano,Don't Let the Sun Go Down on Me,Elton John,NA,Safe
Season_10,songs_07,5,Stefano Langone,Tiny Dancer,Elton John,NA,Safe
Season_10,songs_07,6,Lauren Alaina,Candle in the Wind,Elton John,NA,Safe
Season_10,songs_07,7,James Durbin,Saturday Night's Alright for Fighting,Elton John,NA,Safe
Season_10,songs_07,8,Thia Megia,Daniel,Elton John,NA,Eliminated
Season_10,songs_07,9,Casey Abrams,Your Song,Elton John,NA,Safe
Season_10,songs_07,10,Jacob Lusk,Sorry Seems to Be the Hardest Word,Elton John,NA,Safe
Season_10,songs_07,11,Haley Reinhart,Bennie and the Jets,Elton John,NA,Safe
Season_10,songs_08,1,Jacob Lusk,Man in the Mirror,Michael Jackson,NA,Bottom three
Season_10,songs_08,2,Haley Reinhart,Piece of My Heart,"Big Brother & The Holding Company,Janis Joplin",NA,Safe
Season_10,songs_08,3,Casey Abrams,Have You Ever Seen the Rain?,Creedence Clearwater Revival,NA,Safe
Season_10,songs_08,4,Lauren Alaina,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,NA,Safe
Season_10,songs_08,5,James Durbin,While My Guitar Gently Weeps,The Beatles,NA,Safe
Season_10,songs_08,6,Scotty McCreery,That's All Right,Elvis Presley,NA,Safe
Season_10,songs_08,7,Pia Toscano,River Deep – Mountain High,Ike & Tina Turner,NA,Eliminated
Season_10,songs_08,8,Stefano Langone,When a Man Loves a Woman,Percy Sledge,NA,Bottom three
Season_10,songs_08,9,Paul McDonald,Folsom Prison Blues,Johnny Cash,NA,Safe
Season_10,songs_09,1,Paul McDonald,Old Time Rock and Roll,Bob Seger,Risky Business,Eliminated
Season_10,songs_09,2,Lauren Alaina,The Climb,Miley Cyrus,Hannah Montana: The Movie,Safe
Season_10,songs_09,3,Stefano Langone,End of the Road,Boyz II Men,Boomerang,Bottom three
Season_10,songs_09,4,Scotty McCreery,I Cross My Heart,George Strait,Pure Country,Safe
Season_10,songs_09,5,Casey Abrams,Nature Boy,Nat King Cole,The Boy With Green Hair,Safe
Season_10,songs_09,6,Haley Reinhart,Call Me,Blondie,American Gigolo,Bottom three
Season_10,songs_09,7,Jacob Lusk,Bridge over Troubled Water,Simon & Garfunkel,The Pursuit Of Happyness,Safe
Season_10,songs_09,8,James Durbin,Heavy Metal,Sammy Hagar,Heavy Metal,Safe
Season_10,songs_10,1,Scotty McCreery,Swingin',John Anderson,NA,Safe
Season_10,songs_10,2,James Durbin,Uprising,Muse,NA,Safe
Season_10,songs_10,3,Haley Reinhart,Rolling in the Deep,Adele,NA,Bottom three
Season_10,songs_10,4,Jacob Lusk,Dance with My Father,Orleans,NA,Bottom three
Season_10,songs_10,5,Casey Abrams,Harder to Breathe,Maroon 5,NA,Safe
Season_10,songs_10,6,Stefano Langone,Closer,"The Chainsmokers,Halsey",NA,Eliminated
Season_10,songs_10,7,Lauren Alaina,Born to Fly,Sara Evans,NA,Safe
Season_10,songs_11,1,Jacob Lusk,Oh No Not My Baby,Maxine Brown,Carole King Song,Safe
Season_10,songs_11,2,Lauren Alaina,Where You Lead,Carole King,Carole King Song,Safe
Season_10,songs_11,3,Casey Abrams,I Feel the Earth Move,Carole King,Duet Song,Eliminated
Season_10,songs_11,3,Haley Reinhart,I Feel the Earth Move,Carole King,Duet Song,Safe
Season_10,songs_11,4,Scotty McCreery,You've Got a Friend,James Taylor,Carole King Song,Safe
Season_10,songs_11,5,James Durbin,Will You Love Me Tomorrow,Smokey Robinson,Carole King Song,Safe
Season_10,songs_11,6,Lauren Alaina,Up on the Roof,The Drifters,Duet Song,Safe
Season_10,songs_11,6,Scotty McCreery,Up on the Roof,The Drifters,Duet Song,Safe
Season_10,songs_11,7,Casey Abrams,That Old Sweet Roll,Hi-De-Ho,Carole King Song,Eliminated
Season_10,songs_11,8,Haley Reinhart,Beautiful,Christina Aguilera,Carole King Song,Safe
Season_10,songs_11,9,Jacob Lusk,I'm into Something Good,Herman's Hermits,Duet Song,Safe
Season_10,songs_11,9,James Durbin,I'm into Something Good,Herman's Hermits,Duet Song,Safe
Season_10,songs_12,1,James Durbin,Closer to the Edge,Slightly Stoopid,Now Song,Safe
Season_10,songs_12,2,Jacob Lusk,No Air,"Jordin Sparks,Chris Brown",Now Song,Eliminated
Season_10,songs_12,3,Lauren Alaina,Flat on the Floor,Nickelback,Now Song,Bottom two
Season_10,songs_12,4,Scotty McCreery,Gone,ROSÉ,Now Song,Safe
Season_10,songs_12,5,Haley Reinhart,You and I,Lady Gaga,Now Song,Safe
Season_10,songs_12,6,James Durbin,Without You,Lana Del Rey,Then Song,Safe
Season_10,songs_12,7,Jacob Lusk,Love Hurts,Nazareth,Then Song,Eliminated
Season_10,songs_12,8,Lauren Alaina,Unchained Melody,The Righteous Brothers,Then Song,Bottom two
Season_10,songs_12,9,Scotty McCreery,Always on My Mind,Willie Nelson,Then Song,Safe
Season_10,songs_12,10,Haley Reinhart,The House of the Rising Sun,The Animals,Then Song,Safe
Season_10,songs_13,1,James Durbin,Don't Stop Believin',Journey,Inspiration Song,Eliminated
Season_10,songs_13,2,Haley Reinhart,Earth Song,Michael Jackson,Inspiration Song,Safe
Season_10,songs_13,3,Scotty McCreery,Where Were You (When the World Stopped Turning),FLAG,Inspiration Song,Safe
Season_10,songs_13,4,Lauren Alaina,Anyway,Noah Kahan,Inspiration Song,Safe
Season_10,songs_13,5,Haley Reinhart,I,Who Have Nothing,NA,Safe
Season_10,songs_13,6,Scotty McCreery,Young Blood,The Naked And Famous,NA,Safe
Season_10,songs_13,7,Lauren Alaina,Trouble,Josh Ross,NA,Safe
Season_10,songs_13,8,James Durbin,Love Potion No. 9,The Searchers,NA,Eliminated
Season_10,songs_14,1,Scotty McCreery,Amazed,Lonestar,Contestant Choice,Safe
Season_10,songs_14,2,Lauren Alaina,Wild One,Faith Hill,Contestant Choice,Safe
Season_10,songs_14,3,Haley Reinhart,What Is and What Should Never Be,Led Zeppelin,Contestant Choice,Third place
Season_10,songs_14,4,Scotty McCreery,Are You Gonna Kiss Me or Not,Thompson Square,Mentor Choice,Safe
Season_10,songs_14,5,Lauren Alaina,If I Die Young,The Band Perry,Mentor Choice,Safe
Season_10,songs_14,6,Haley Reinhart,Rhiannon,Fleetwood Mac,Mentor Choice,Third place
Season_10,songs_14,7,Scotty McCreery,She Believes in Me,Kenny Rogers,Judges Choice,Safe
Season_10,songs_14,8,Lauren Alaina,I Hope You Dance,Lee Ann Womack,Judges Choice,Safe
Season_10,songs_14,9,Haley Reinhart,You Oughta Know,Alanis Morissette,Judges Choice,Third place
Season_10,songs_15,1,Scotty McCreery,Check Yes or No,George Strait,Idol Song,Winner
Season_10,songs_15,2,Lauren Alaina,Maybe It Was Memphis,Pam Tillis,Idol Song,Runner-up
Season_10,songs_15,3,Scotty McCreery,I Love You This Big,Scotty McCreery,Winner Song,Winner
Season_10,songs_15,4,Lauren Alaina,Like My Mother Does,Lauren Alaina,Winner Song,Runner-up
Season_11,20120222_final_judgement_part_1,1,Reed Grimm,Moves Like Jagger,"Maroon 5,Christina Aguilera",NA,Wild Card
Season_11,20120222_final_judgement_part_1,2,Adam Brock,Think,Aretha Franklin,NA,Eliminated
Season_11,20120222_final_judgement_part_1,3,DeAndre Brackensick,Reasons,"Earth, Wind & Fire",NA,Wild Card
Season_11,20120222_final_judgement_part_1,4,Colton Dixon,Decode,Paramore,NA,Advanced
Season_11,20120222_final_judgement_part_1,5,Jeremy Rosado,Gravity,John Mayer,NA,Wild Card
Season_11,20120222_final_judgement_part_1,6,Aaron Marcellus,Never Can Say Goodbye,The Jackson 5,NA,Eliminated
Season_11,20120222_final_judgement_part_1,7,Chase Likens,Storm Warning,Bonnie Raitt,NA,Eliminated
Season_11,20120222_final_judgement_part_1,8,Creighton Fraker,True Colors,Cyndi Lauper,NA,Eliminated
Season_11,20120222_final_judgement_part_1,9,Phillip Phillips,In the Air Tonight,Phil Collins,NA,Advanced
Season_11,20120222_final_judgement_part_1,10,Eben Franckewitz,Set Fire to the Rain,Adele,NA,Eliminated
Season_11,20120222_final_judgement_part_1,11,Heejun Han,Angels,Thomas Rhett,NA,Advanced
Season_11,20120222_final_judgement_part_1,12,Joshua Ledet,You Pulled Me Through,Jennifer Hudson,NA,Advanced
Season_11,20120222_final_judgement_part_1,13,Jermaine Jones,Dance with My Father,Orleans,NA,Advanced
Season_11,20120223_final_judgement_part_2,1,Chelsea Sorrell,Cowboy Casanova,Carrie Underwood,NA,Eliminated
Season_11,20120223_final_judgement_part_2,2,Erika Van Pelt,What About Love,Heart,NA,Wild Card
Season_11,20120223_final_judgement_part_2,3,Jen Hirsh,One and Only,Adele,NA,Wild Card
Season_11,20120223_final_judgement_part_2,4,Brielle Von Hugel,(Sittin' On) The Dock of the Bay,Otis Redding,NA,Wild Card
Season_11,20120223_final_judgement_part_2,5,Hallie Day,Feeling Good,Michael Bublé,NA,Eliminated
Season_11,20120223_final_judgement_part_2,6,Skylar Laine,Stay with Me,Miki Matsubara,NA,Advanced
Season_11,20120223_final_judgement_part_2,7,Baylie Brown,Amazed,Lonestar,NA,Eliminated
Season_11,20120223_final_judgement_part_2,8,Hollie Cavanagh,Reflection,"Lea Salonga,Disney",NA,Advanced
Season_11,20120223_final_judgement_part_2,9,Haley Johnsen,Sweet Dreams,Are Made of This,NA,Eliminated
Season_11,20120223_final_judgement_part_2,10,Shannon Magrane,Go Light Your World,Kathy Troccoli,NA,Advanced
Season_11,20120223_final_judgement_part_2,11,Jessica Sanchez,Love You I Do,Jennifer Hudson,NA,Advanced
Season_11,20120223_final_judgement_part_2,12,Elise Testone,One and Only,Adele,NA,Advanced
Season_11,20120223_final_judgement_part_2,13,—,—,Aisha Orazbayeva,NA,—
Season_11,20120228_semifinalists_boys_perform,1,Jen Hirsh,Oh! Darling,The Beatles,NA,Eliminated
Season_11,20120228_semifinalists_boys_perform,2,Jeremy Rosado,I Know You Won't,Carrie Underwood,NA,Wild Card
Season_11,20120228_semifinalists_boys_perform,3,Brielle Von Hugel,Someone Like You,Van Morrison,NA,Eliminated
Season_11,20120228_semifinalists_boys_perform,4,DeAndre Brackensick,Georgia on My Mind,Oscar Peterson Trio,NA,Wild Card
Season_11,20120228_semifinalists_boys_perform,5,Erika Van Pelt,The Edge of Glory,Lady Gaga,NA,Wild Card
Season_11,20120228_semifinalists_boys_perform,6,Reed Grimm,Use Me,Bill Withers,NA,Eliminated
Season_11,20120229_semifinalists_girls_perform,1,Joshua Ledet,I Wish,Skee-Lo,NA,Bottom three (Males)
Season_11,20120229_semifinalists_girls_perform,2,Elise Testone,I'm Your Baby Tonight,Whitney Houston,NA,Top 13 save
Season_11,20120229_semifinalists_girls_perform,3,Jermaine Jones,Knocks Me Off My Feet,Stevie Wonder,NA,Bottom two (Males)
Season_11,20120229_semifinalists_girls_perform,4,Erika Van Pelt,I Believe in You and Me,Don Williams,NA,Bottom three (Female)
Season_11,20120229_semifinalists_girls_perform,5,Colton Dixon,Lately,Mike Sherm,NA,Safe
Season_11,20120229_semifinalists_girls_perform,6,Shannon Magrane,I Have Nothing,Whitney Houston,NA,Bottom two (Female)
Season_11,20120229_semifinalists_girls_perform,7,DeAndre Brackensick,Master Blaster,Jammin',NA,Safe
Season_11,20120229_semifinalists_girls_perform,8,Skylar Laine,Where Do Broken Hearts Go,Whitney Houston,NA,Safe
Season_11,20120229_semifinalists_girls_perform,9,Heejun Han,All in Love Is Fair,Stevie Wonder,NA,Safe
Season_11,20120229_semifinalists_girls_perform,10,Hollie Cavanagh,All the Man That I Need,Whitney Houston,NA,Safe
Season_11,20120229_semifinalists_girls_perform,11,Jeremy Rosado,Ribbon in the Sky,Rod Wave,NA,Eliminated
Season_11,20120229_semifinalists_girls_perform,12,Jessica Sanchez,I Will Always Love You,Dolly Parton,NA,Safe
Season_11,20120229_semifinalists_girls_perform,13,Phillip Phillips,Superstition,Stevie Wonder,NA,Safe
Season_11,20120307_top_13_perform,1,Phillip Phillips,Hard to Handle,The Black Crowes,NA,Safe
Season_11,20120307_top_13_perform,2,Jessica Sanchez,Turn the Beat Around,Vicki Sue Robinson,NA,Safe
Season_11,20120307_top_13_perform,3,Heejun Han,Right Here Waiting,Richard Marx,NA,Safe
Season_11,20120307_top_13_perform,4,Elise Testone,Let's Stay Together,Al Green,NA,Bottom three
Season_11,20120307_top_13_perform,5,DeAndre Brackensick,Endless Love,"Lionel Richie,Diana Ross",NA,Safe
Season_11,20120307_top_13_perform,6,Shannon Magrane,One Sweet Day,"Mariah Carey,Boyz II Men",NA,Eliminated
Season_11,20120307_top_13_perform,7,Colton Dixon,Broken Heart,Synar0,NA,Safe
Season_11,20120307_top_13_perform,8,Erika Van Pelt,Heaven,Kane Brown,NA,Bottom three
Season_11,20120307_top_13_perform,9,Skylar Laine,Love Sneakin' Up On You,Bonnie Raitt,NA,Safe
Season_11,20120307_top_13_perform,10,Joshua Ledet,When a Man Loves a Woman,Percy Sledge,NA,Safe
Season_11,20120307_top_13_perform,11,Hollie Cavanagh,The Power of Love,Jennifer Rush,NA,Safe
Season_11,20120314_top_11_perform,1,DeAndre Brackensick,Only the Good Die Young,Billy Joel,NA,Bottom three
Season_11,20120314_top_11_perform,2,Erika Van Pelt,New York State of Mind,Billy Joel,NA,Eliminated
Season_11,20120314_top_11_perform,3,Joshua Ledet,She's Got a Way,Billy Joel,NA,Safe
Season_11,20120314_top_11_perform,4,Skylar Laine,Shameless,Camila Cabello,NA,Safe
Season_11,20120314_top_11_perform,5,Elise Testone,Vienna,Billy Joel,NA,Safe
Season_11,20120314_top_11_perform,6,Phillip Phillips,Movin' Out,Anthony's Song,NA,Safe
Season_11,20120314_top_11_perform,7,Hollie Cavanagh,Honesty,Pink Sweat$,NA,Safe
Season_11,20120314_top_11_perform,8,Heejun Han,My Life,Billy Joel,NA,Bottom three
Season_11,20120314_top_11_perform,9,Jessica Sanchez,Everybody Has a Dream,Billy Joel,NA,Safe
Season_11,20120314_top_11_perform,10,Colton Dixon,Piano Man,Billy Joel,NA,Safe
Season_11,20120321_top_10_perform,1,Colton Dixon,Everything,Austin Brown,Solo Song,Safe
Season_11,20120321_top_10_perform,2,Skylar Laine,Gunpowder & Lead,Miranda Lambert,Solo Song,Bottom three
Season_11,20120321_top_10_perform,3,Colton Dixon,Landslide / Edge of Seventeen / Don't Stop,Stevie Nicks,Duet Song,Safe
Season_11,20120321_top_10_perform,3,Phillip Phillips,Landslide / Edge of Seventeen / Don't Stop,Stevie Nicks,Duet Song,Safe
Season_11,20120321_top_10_perform,3,Elise Testone,Landslide / Edge of Seventeen / Don't Stop,Stevie Nicks,Duet Song,Safe
Season_11,20120321_top_10_perform,4,Heejun Han,A Song for You,Leon Russell,Solo Song,Eliminated
Season_11,20120321_top_10_perform,5,Hollie Cavanagh,"Jesus, Take the Wheel",Carrie Underwood,Solo Song,Bottom three
Season_11,20120321_top_10_perform,6,DeAndre Brackensick,Sometimes I Cry,Jason Crabb,Solo Song,Safe
Season_11,20120321_top_10_perform,7,Jessica Sanchez,Sweet Dreams,"Eurythmics,Annie Lennox,Dave Stewart",Solo Song,Safe
Season_11,20120321_top_10_perform,8,Heejun Han,The Lady in My Life /Rock with You / P.Y.T.,Pretty Young Thing,Duet Song,Eliminated
Season_11,20120321_top_10_perform,8,DeAndre Brackensick,The Lady in My Life /Rock with You / P.Y.T.,Pretty Young Thing,Duet Song,Safe
Season_11,20120321_top_10_perform,8,Joshua Ledet,The Lady in My Life /Rock with You / P.Y.T.,Pretty Young Thing,Duet Song,Safe
Season_11,20120321_top_10_perform,9,Phillip Phillips,Still Rainin',Billy Joel,Solo Song,Safe
Season_11,20120321_top_10_perform,10,Joshua Ledet,Without You,Lana Del Rey,Solo Song,Safe
Season_11,20120321_top_10_perform,11,Skylar Laine,Like a Prayer / Borderline / Express Yourself,Mosaic Whispers,Duet Song,Bottom three
Season_11,20120321_top_10_perform,11,Hollie Cavanagh,Like a Prayer / Borderline / Express Yourself,Mosaic Whispers,Duet Song,Bottom three
Season_11,20120321_top_10_perform,11,Jessica Sanchez,Like a Prayer / Borderline / Express Yourself,Mosaic Whispers,Duet Song,Safe
Season_11,20120321_top_10_perform,12,Elise Testone,Whole Lotta Love,Led Zeppelin,Solo Song,Safe
Season_11,20120328_top_9_perform,1,DeAndre Brackensick,I Like It,Tim McGraw,1980s Song,Eliminated
Season_11,20120328_top_9_perform,2,Elise Testone,I Want to Know What Love Is,Foreigner,1980s Song,Bottom three
Season_11,20120328_top_9_perform,3,Colton Dixon,Islands in the Stream,"Dolly Parton,Kenny Rogers",Duet Song,Safe
Season_11,20120328_top_9_perform,3,Skylar Laine,Islands in the Stream,"Dolly Parton,Kenny Rogers",Duet Song,Safe
Season_11,20120328_top_9_perform,4,Phillip Phillips,That's All,Elvis Presley,1980s Song,Safe
Season_11,20120328_top_9_perform,5,DeAndre Brackensick,I'm So Excited,The Pointer Sisters,Duet Song,Eliminated
Season_11,20120328_top_9_perform,5,Hollie Cavanagh,I'm So Excited,The Pointer Sisters,Duet Song,Bottom three
Season_11,20120328_top_9_perform,6,Joshua Ledet,If You Don't Know Me by Now,"Harold Melvin & The Blue Notes,Teddy Pendergrass",1980s Song,Safe
Season_11,20120328_top_9_perform,7,Jessica Sanchez,How Will I Know,Whitney Houston,1980s Song,Safe
Season_11,20120328_top_9_perform,8,Elise Testone,Stop Draggin' My Heart Around,"Stevie Nicks,Tom Petty and the Heartbreakers",Duet Song,Bottom three
Season_11,20120328_top_9_perform,8,Phillip Phillips,Stop Draggin' My Heart Around,"Stevie Nicks,Tom Petty and the Heartbreakers",Duet Song,Safe
Season_11,20120328_top_9_perform,9,Hollie Cavanagh,Flashdance... What a Feeling,Irene Cara,1980s Song,Bottom three
Season_11,20120328_top_9_perform,10,Joshua Ledet,I Knew You Were Waiting,For Me,Duet Song,Safe
Season_11,20120328_top_9_perform,10,Jessica Sanchez,I Knew You Were Waiting,For Me,Duet Song,Safe
Season_11,20120328_top_9_perform,11,Colton Dixon,Time After Time,Cyndi Lauper,1980s Song,Safe
Season_11,20120328_top_9_perform,12,Skylar Laine,Wind Beneath My Wings,Bette Midler,1980s Song,Safe
Season_11,20120404_top_8_perform,1,Skylar Laine,Didn't You Know How Much I Loved You,Kellie Pickler,2010s Song,Safe
Season_11,20120404_top_8_perform,2,Colton Dixon,Love the Way You Lie,"Eminem,Rihanna",2010s Song,Safe
Season_11,20120404_top_8_perform,3,Phillip Phillips,Somebody That I Used to Know,"Gotye,Kimbra",Duet Song,Safe
Season_11,20120404_top_8_perform,3,Elise Testone,Somebody That I Used to Know,"Gotye,Kimbra",Duet Song,Bottom three
Season_11,20120404_top_8_perform,4,Jessica Sanchez,Stuttering,Fefe Dobson,2010s Song,Judge's Save
Season_11,20120404_top_8_perform,5,Joshua Ledet,Runaway Baby,Bruno Mars,2010s Song,Bottom three
Season_11,20120404_top_8_perform,6,Skylar Laine,Don't You Wanna Stay,"Jason Aldean,Kelly Clarkson",Duet Song,Safe
Season_11,20120404_top_8_perform,6,Colton Dixon,Don't You Wanna Stay,"Jason Aldean,Kelly Clarkson",Duet Song,Safe
Season_11,20120404_top_8_perform,7,Hollie Cavanagh,Fuckin' Perfect,P!nk,2010s Song,Safe
Season_11,20120404_top_8_perform,8,Phillip Phillips,Give a Little More,Supertramp,2010s Song,Safe
Season_11,20120404_top_8_perform,9,Jessica Sanchez,Stronger,What Doesn't Kill You,Duet Song,Judge's Save
Season_11,20120404_top_8_perform,9,Joshua Ledet,Stronger,What Doesn't Kill You,Duet Song,Bottom three
Season_11,20120404_top_8_perform,9,Hollie Cavanagh,Stronger,What Doesn't Kill You,Duet Song,Safe
Season_11,20120404_top_8_perform,10,Elise Testone,You and I,Lady Gaga,2010s Song,Bottom three
Season_11,20120411_top_7_perform,1,Hollie Cavanagh,Rolling in the Deep,Adele,Now Song,Bottom three
Season_11,20120411_top_7_perform,2,Colton Dixon,Bad Romance,Lady Gaga,Now Song,Eliminated
Season_11,20120411_top_7_perform,3,Elise Testone,No One,Queens of the Stone Age,Now Song,Bottom three
Season_11,20120411_top_7_perform,4,Phillip Phillips,U Got It Bad,USHER,Now Song,Safe
Season_11,20120411_top_7_perform,5,Jessica Sanchez,Fallin',Alicia Keys,Now Song,Safe
Season_11,20120411_top_7_perform,6,Skylar Laine,Born This Way,Lady Gaga,Now Song,Safe
Season_11,20120411_top_7_perform,7,Joshua Ledet,I Believe,The Darkness,Now Song,Safe
Season_11,20120411_top_7_perform,8,Hollie Cavanagh,Son of a Preacher Man,Dusty Springfield,Then Song,Bottom three
Season_11,20120411_top_7_perform,9,Colton Dixon,September,"Earth, Wind & Fire",Then Song,Eliminated
Season_11,20120411_top_7_perform,10,Elise Testone,Let's Get It On,Marvin Gaye,Then Song,Bottom three
Season_11,20120411_top_7_perform,11,Phillip Phillips,In the Midnight Hour,Wilson Pickett,Then Song,Safe
Season_11,20120411_top_7_perform,12,Jessica Sanchez,Try a Little Tenderness,Otis Redding,Then Song,Safe
Season_11,20120411_top_7_perform,13,Skylar Laine,I Heard It Through the Grapevine,Marvin Gaye,Then Song,Safe
Season_11,20120411_top_7_perform,14,Joshua Ledet,A Change Is Gonna Come,Sam Cooke,Then Song,Safe
Season_11,20120418_top_7_redux_perform,1,Jessica Sanchez,Bohemian Rhapsody,Queen,Queen Song,Safe
Season_11,20120418_top_7_redux_perform,2,Skylar Laine,The Show Must Go On,Queen,Queen Song,Bottom three
Season_11,20120418_top_7_redux_perform,3,Joshua Ledet,Crazy Little Thing Called Love,Queen,Queen Song,Safe
Season_11,20120418_top_7_redux_perform,4,Elise Testone,I Want It All,Queen,Queen Song,Eliminated
Season_11,20120418_top_7_redux_perform,5,Phillip Phillips,Fat Bottomed Girls,Queen,Queen Song,Safe
Season_11,20120418_top_7_redux_perform,6,Hollie Cavanagh,Save Me,BTS,Queen Song,Bottom two
Season_11,20120418_top_7_redux_perform,7,Jessica Sanchez,Dance with My Father,Orleans,Solo Song,Safe
Season_11,20120418_top_7_redux_perform,8,Skylar Laine,Tattoos on This Town,Jason Aldean,Solo Song,Bottom three
Season_11,20120418_top_7_redux_perform,9,Joshua Ledet,Ready for Love,BLACKPINK,Solo Song,Safe
Season_11,20120418_top_7_redux_perform,10,Elise Testone,Bold as Love,Jimi Hendrix,Solo Song,Eliminated
Season_11,20120418_top_7_redux_perform,11,Phillip Phillips,The Stone,Dave Matthews Band,Solo Song,Safe
Season_11,20120418_top_7_redux_perform,12,Hollie Cavanagh,The Climb,Miley Cyrus,Solo Song,Bottom two
Season_11,20120425_top_6_perform,1,Hollie Cavanagh,River Deep – Mountain High,Ike & Tina Turner,1960s Song,Bottom two
Season_11,20120425_top_6_perform,2,Phillip Phillips,The Letter,The Box Tops,1960s Song,Safe
Season_11,20120425_top_6_perform,3,Skylar Laine,Fortunate Son,Creedence Clearwater Revival,1960s Song,Eliminated
Season_11,20120425_top_6_perform,4,Phillip Phillips,Joshua Ledet,"Terrell Grice,Jaden Gray,Sheléa,Joshua Ledet",Duet Partner,Safe
Season_11,20120425_top_6_perform,4,Joshua Ledet,Phillip Phillips,Phillip Phillips,Duet Partner,Safe
Season_11,20120425_top_6_perform,5,Jessica Sanchez,Proud Mary,Creedence Clearwater Revival,1960s Song,Safe
Season_11,20120425_top_6_perform,6,Joshua Ledet,Ain't Too Proud to Beg,The Temptations,1960s Song,Safe
Season_11,20120425_top_6_perform,7,Hollie Cavanagh,Bleeding Love,Leona Lewis,Pop Song,Bottom two
Season_11,20120425_top_6_perform,8,Phillip Phillips,Time of the Season,The Zombies,Pop Song,Safe
Season_11,20120425_top_6_perform,9,Hollie Cavanagh,Skylar Laine and Jessica Sanchez,Jessica Simpson,Duet Partner,Bottom two
Season_11,20120425_top_6_perform,9,Skylar Laine,Hollie Cavanagh and Jessica Sanchez,Jessica Simpson,Duet Partner,Eliminated
Season_11,20120425_top_6_perform,9,Jessica Sanchez,Hollie Cavanagh and Skylar Laine,Horace Andy,Duet Partner,Safe
Season_11,20120425_top_6_perform,10,Skylar Laine,You Don't Have to Say You Love Me,Dusty Springfield,Pop Song,Eliminated
Season_11,20120425_top_6_perform,11,Jessica Sanchez,You Are So Beautiful,Joe Cocker,Pop Song,Safe
Season_11,20120425_top_6_perform,12,Joshua Ledet,To Love Somebody,Bee Gees,Pop Song,Safe
