id,name,normalized_name
1409,TROPICAL NIGHT CLUB,tropical night club
1410,BUSINESS DISTRICT,business district
1411,Channel 6 Commentator's Booth,channel 6 commentator booth
1412,BUMTOWN SECTION,bumtown section
1413,AN EVEN WORSE LOOKING PART OF BUMTOWN,an even worse looking part of bumtown
1414,Seedy Hotel,seedy hotel
1415,CHESTER'S HOUSE,chester house
1416,SPRINGFIELD DMV,springfield dmv
1417,'30'S-STYLE SHOW-BUSINESS RESTAURANT,30-style show-business restaurant
2173,JAIL CELL,jail cell
1418,The Pimento Grove,the pimento grove
1419,TROY'S HOUSE,troy house
1420,TRENDY RESTAURANT,trendy restaurant
1421,Route 18 Flea-Market and Drive-In,route 18 flea-market and drive-in
1422,CAPITOL CITY,capitol city
1423,Springfield Botanical Gardens,springfield botanical gardens
1424,Botanical Gardens,botanical gardens
1425,DELOREAN,delorean
1426,Insinutainment Tonight Studios,insinutainment tonight studios
1427,TROY'S LIVING ROOM,troy living room
1428,Troy's Bedroom,troy bedroom
1429,Cracker Factory,cracker factory
1430,SALTING ROOM,salting room
1431,Springfield Commodities Exchange,springfield commodities exchange
1432,Springfield Art-house Theater,springfield art-house theater
1433,STREET OUTSIDE MOE'S,street outside moe
1434,Bart's Car,bart car
1435,MARTIN'S HOUSE,martin house
1436,NELSON'S HOUSE,nelson house
1437,HIGHWAY OUT OF SPRINGFIELD,highway out of springfield
1438,SITE OF THE WORLD'S FAIR,site of the world fair
1439,DOWNTOWN KNOXVILLE,downtown knoxville
1440,DOWNTOWN KNOXVILLE STREET,downtown knoxville street
1441,Knoxville Bonded Courier Service,knoxville bonded courier service
1442,Hong Kong International Airport,hong kong international airport
1443,Cargo Plane,cargo plane
1444,BUSY HIGHWAY,busy highway
1445,SANJAYS'S HOUSE,sanjays house
1446,Bumblebee Man's House,bumblebee man house
1447,JAILBIRD'S CAR,jailbird car
1448,SEWER PIPE,sewer pipe
1449,CHILDREN'S BARBER SHOP,children barber shop
1450,SNIPPY LONGSTOCKING'S,snippy longstocking
1451,GRAVESITE,gravesite
1452,CEMETERY GATE,cemetery gate
1453,Caracas,caracas
1454,Villa,villa
1455,Abandoned German Castle,abandoned german castle
1456,MAYOR QUIMBY'S OFFICE,mayor quimby office
1457,QUIMBY'S WAITING ROOM,quimby waiting room
1458,QUIMBY'S OFFICE,quimby office
1459,QUIMBY'S OUTER OFFICE,quimby outer office
1460,GREAT GRAMPA SIMPSONS' HOME,great grampa simpsons home
1461,NEW YORK HARBOR,new york harbor
1462,Calcutta Technical Institute,calcutta technical institute
1463,Springfield Heights Institute of Technology,springfield heights institute of technology
1464,Computer Lab,computer lab
1465,DARK ALLEY,dark alley
1466,IMMIGRATION SERVICE,immigration service
1467,Suicide Notes,suicide notes
1468,CLEARING IN THE WOODS,clearing in the woods
1469,Hullabaloooza,hullabaloooza
1470,Hullabaloooza Fairgrounds,hullabaloooza fairgrounds
1471,Hullabaloooza Stage,hullabaloooza stage
1472,Veterinarian's Office,veterinarian office
1473,Beach House,beach house
1474,STRIP MALL,strip mall
1475,Teejay's Zaymart,teejay zaymart
1476,Downtown Pwagmattasquarmsettport,downtown pwagmattasquarmsettport
1477,BEACH BOARDWALK,beach boardwalk
1478,UNDER THE BOARDWALK,under the boardwalk
1479,FAR SIDE OF PARKING LOT,far side of parking lot
1480,BEACH IN FRONT OF THE HOUSE,beach in front of the house
1481,Convenience Store,convenience store
1482,KIDS' BEACH PARTY,kids beach party
1483,Outskirts Of Carnival,outskirts of carnival
1484,MARGARINE TUB,margarine tub
1485,Springfield Pond,springfield pond
1486,SAUCER,saucer
1487,WASHINGTON D.C. - REPUBLICAN NATIONAL COMMITTEE,washington dc - republican national committee
1488,WASHINGTON D.C. - WHITE HOUSE,washington dc - white house
1489,Dole Campaign Stop,dole campaign stop
1490,SPRINGFIELD AUDITORIUM,springfield auditorium
1491,WASHINGTON D.C. - U.S. CAPITOL,washington dc - us capitol
1492,SMITHERS' HOUSE,smithers house
1493,MODEL HOME,model home
1494,Cypress Creek,cypress creek
1495,NEW SIMPSON HOUSE,new simpson house
1496,Globex Corporation,globex corporation
1497,GLOBEX,globex
1498,Cypress Creek Elementary School,cypress creek elementary school
1499,Hallway Outside the Classroom,hallway outside the classroom
1500,"Miscellaneous, Etc.",miscellaneous etc
1501,SPRINGFIELD GYM,springfield gym
1502,BACK ROADS,back roads
1503,Car Wash,car wash
1504,Springfield Penitentiary,springfield penitentiary
1505,HISTORIC MILL,historic mill
1506,New Haven Station,new haven station
1507,Burns's Private Railroad Car,burns private railroad car
1508,RURAL ROADSIDE,rural roadside
1509,NATURAL HISTORY MUSEUM,natural history museum
1510,COSTUME SHOP,costume shop
1511,OIL SPILL BEACH,oil spill beach
1512,SPOOKY VICTORIAN HOUSE,spooky victorian house
1513,Burlesque House,burlesque house
1514,Upscale Kitchen Store,upscale kitchen store
1515,Stoner's Pot Palace,stoner pot palace
1516,Casa Nova,casa nova
1517,Southern Cracker,southern cracker
1518,LUANN'S HOUSE,luann house
1519,County Court House,county court house
1520,PROF. FRINK'S LAB,prof frink lab
1521,NELSON'S ROOM,nelson room
1522,Springfield Observatory,springfield observatory
1523,Streets Of Springfield,streets of springfield
1524,FLANDERS' FORMER HOUSE,flanders former house
1525,NEW FLANDERS HOUSE,new flanders house
1526,Calmwood Mental Hospital,calmwood mental hospital
1527,INSANE ASYLUM,insane asylum
1528,DOCTOR FOSTER'S HOUSE,doctor foster house
1529,FLANDERS' BOOTH,flanders booth
1530,OBSERVATION ROOM,observation room
1531,FAIRGROUNDS,fairgrounds
1532,Chili Cook-Off,chili cook-off
1533,HALLUCINATORY DESERT,hallucinatory desert
1534,HALLUCINATION,hallucination
1535,Bob's All-Night Furniture Store,bob all-night furniture store
1536,WATERFRONT DISTRICT,waterfront district
1537,STORMY SEACOAST,stormy seacoast
1538,Lighthouse Control Room,lighthouse control room
1539,Lighthouse,lighthouse
1540,OPEN FIELD,open field
1541,FBI BUILDING,fbi building
1542,Police Lineup Area,police lineup area
1543,GOVERNMENT LAB,government lab
1544,Back Room,back room
1545,SPRINGFIELD FIELD,springfield field
1546,Municipal House of Pancakes,municipal house of pancakes
1547,SPRINGFIELD BASEBALL STADIUM,springfield baseball stadium
1548,SPRINGFIELD DOCKS,springfield docks
1549,Deserted Stretch Of Highway,deserted stretch of highway
1550,MOUNTAINS,mountains
1551,NEARBY PICNIC AREA,nearby picnic area
1552,MOUNTAIN BASE,mountain base
1553,NATURE CENTER,nature center
1554,MOUNTAIN TOP,mountain top
1555,Snowbank Above Buried Cabin,snowbank above buried cabin
1556,Tunnel,tunnel
1557,Buried Cabin,buried cabin
1558,Ranger Station,ranger station
1559,Rocket Cabin,rocket cabin
1560,BART'S,bart
1561,MALL CONFERENCE ROOM,mall conference room
1562,The Androids Dungeon And Baseball Card Shop Comic Book Store,the androids dungeon and baseball card shop comic book store
1563,Cockamamie's,cockamamie
1564,DOWNTOWN STREETS,downtown streets
1565,Sha-Boom Ka-Boom! Cafe,sha-boom ka-boom cafe
1566,SPRINGFIELD FREEWAY,springfield freeway
1567,Ajax Steel Mill,ajax steel mill
1568,MOE'S PICK-UP,moe pick-up
1569,Outskirts Of Springfield,outskirts of springfield
1570,GATE TO SANTA'S VILLAGE,gate to santa village
1571,Santa's Village,santa village
1572,ROAD TO SPRINGFIELD,road to springfield
1573,SPRINGFIELD PENITENTIARY CHAPEL,springfield penitentiary chapel
1574,Cecil's Brownstone Apartment,cecil brownstone apartment
1575,SPRINGFIELD RIVER GORGE,springfield river gorge
1576,SPRINGFIELD DAM SITE,springfield dam site
1577,CONSTRUCTION TRAILER,construction trailer
1578,Terwilliger Apartment,terwilliger apartment
1579,DAM SITE,dam site
1580,DAM,dam
1581,WATER-FILLED DRAINPIPE,water-filled drainpipe
1582,WATER PIPE,water pipe
1583,TOP OF DAM,top of dam
1584,DAM OVERLOOK,dam overlook
1585,CENTER OF DAM,center of dam
1586,OBSERVATION POST,observation post
1587,TV ROOM,tv room
1588,South Street Squidport,south street squidport
1589,Dr. Nick Rivera's Walk-In Clinic,dr nick rivera walk-in clinic
1590,Hibbert Home,hibbert home
1591,Springfield City Dump,springfield city dump
1592,Duff Bottling Plant,duff bottling plant
1593,"Moe's ""Pet Shop""",moe pet shop
1594,CITY DUMP,city dump
1595,DUMP,dump
1596,REAR OF BOWLING ALLEY,rear of bowling alley
1597,UNDERGROUND CROSS-SECTION,underground cross-section
1598,ATMOSPHERIC DINER,atmospheric diner
1599,Superstore,superstore
1600,MARTIN'S BACK YARD,martin back yard
1601,MARTIN'S BIRTHDAY PARTY,martin birthday party
1602,Martin's Playhouse,martin playhouse
1603,CHANNEL SIX NEWSROOM,channel six newsroom
1604,SPRINGFIELD PINE BARRENS,springfield pine barrens
1605,Springfield Dog Park,springfield dog park
1606,Repo Depot,repo depot
1607,MODEST SPRINGFIELD HOUSE,modest springfield house
1608,MITCHELL'S HOUSE,mitchell house
1609,Street In Front Of Mitchell's House,street in front of mitchell house
1610,Uriah's Heap Recycling Center,uriah heap recycling center
1611,Burns's Former Office,burns former office
1612,Apartment Bldg.,apartment bldg
1613,City Bus,city bus
1614,SPRINGFIELD BAY,springfield bay
1615,RECYCLING CENTER,recycling center
1616,RECYCLING PLANT,recycling plant
1617,Li'l Lisa Recycling Plant,lil lisa recycling plant
1618,RESIDENTIAL STREET,residential street
1619,SPRINGFIELD DUMP,springfield dump
1620,LOVEJOY'S KITCHEN,lovejoy kitchen
1621,LOVEJOY'S BASEMENT,lovejoy basement
1622,Eiffel Tower,eiffel tower
1623,Mr. Sparkle Detergent Factory,mr sparkle detergent factory
1624,LONELY HIGHWAY,lonely highway
1625,Donny's Discount Gas,donny discount gas
1626,Springfield Zoo,springfield zoo
1627,ELSEWHERE IN THE ZOO,elsewhere in the zoo
1628,"Baboon County, U.S.A.",baboon county usa
1629,35 INDUSTRY WAY,35 industry way
1630,Bart's Factory,bart factory
1631,CAJUN RESTAURANT,cajun restaurant
1632,New Orleans,new orleans
1633,Bourbon Street,bourbon street
1634,BAYOU,bayou
1635,ANOTHER PART OF THE BAYOU,another part of the bayou
1636,Museum of TV and Television,museum of tv and television
1637,FRENCH RESTAURANT,french restaurant
1638,Men's Room,men room
1639,Broadcast Booth,broadcast booth
1640,VARIETY SHOW SOUND STAGE,variety show sound stage
1641,50'S ICE CREAM PARLOR,50 ice cream parlor
1642,COMROO,comroo
1643,Rommelwood Military Academy,rommelwood military academy
1644,MILITARY ACADEMY,military academy
1645,Barracks,barracks
1646,BACK ON THE FIRING RANGE,back on the firing range
1647,42ND STREET BETWEEN 8TH AND 7TH - '70S,42nd street between 8th and 7th - 70s
1648,Lincoln Tunnel,lincoln tunnel
1649,NEW YORK CITY,new york city
1650,Terminal,terminal
1651,WORLD TRADE CENTER PLAZA,world trade center plaza
1652,CROWN OF STATUE,crown of statue
1653,IMMIGRANT SHIP,immigrant ship
1654,CENTER OF WORLD TRADE CENTER PLAZA,center of world trade center plaza
1655,Subway Car,subway car
1656,Another Subway Car,another subway car
1657,CHINATOWN STREET,chinatown street
1658,WORLD TRADE CENTER TOWER LOBBY,world trade center tower lobby
1659,OBSERVATION DECK,observation deck
1660,WORLD TRADE CENTER TOWER,world trade center tower
1661,ACROSS THE STREET,across the street
1662,Office Building Hallway,office building hallway
1663,"""MAD"" RECEPTION AREA",mad reception area
1664,MIDTOWN AVENUE,midtown avenue
1665,Times Square,times square
1666,MIDTOWN STREET,midtown street
1667,Central Park,central park
1668,George Washington Bridge,george washington bridge
1669,FACULTY LOUNGE,faculty lounge
1670,Storage Facility,storage facility
1671,Armin's Bare Seedy Apartment,armin bare seedy apartment
1672,RAILROAD STATION,railroad station
1673,DOOR,door
1674,Dr. Pryor's Office,dr pryor office
1675,PRESCHOOL,preschool
1676,SPRINGFIELD PRIVATE PRESCHOOL,springfield private preschool
1677,King Toot's Window,king toot window
1678,ARMY SURPLUS STORE,army surplus store
1679,"PARIS, FRANCE",paris france
1680,FRENCH MILITARY BASE,french military base
1681,FRENCH MISSILE ROOM,french missile room
1682,PARIS STREET,paris street
1683,ALIEN PLANET,alien planet
1684,ALIEN COMMAND CENTER,alien command center
1685,PROFESSOR FRINK'S HOUSE,professor frink house
1686,Town Meeting House,town meeting house
1687,SPRYNGE-FIELDE GORGE,sprynge-fielde gorge
1688,WITCH'S CAVE,witch cave
1689,WIGGUM'S' HOUSE,wiggum house
1690,GUN SHOP,gun shop
1691,Gun Store,gun store
1692,MEETING HALL,meeting hall
1693,NRA MEETING,nra meeting
1694,Sporting Goods Store,sporting goods store
1696,SPRINGFIELD PEE WEE FOOTBALL FIELD,springfield pee wee football field
1697,SPRINGFIELD FOOTBALL FIELD,springfield football field
1698,Apu's Car,apu car
1699,Air India Terminal,air india terminal
1700,MUSEUM OF NATURAL HISTORY,museum of natural history
1701,CHURCH BASEMENT,church basement
1702,MUNICIPAL COURT,municipal court
1703,Hilltop,hilltop
1704,Vatican,vatican
1705,MALL ENTRANCE,mall entrance
1706,IMPOUND YARD,impound yard
1707,CITY HALL CORRIDOR,city hall corridor
1708,TEST ROOM,test room
1709,REAL ESTATE OFFICE,real estate office
1710,RUN-DOWN HOUSE,run-down house
1711,Small House,small house
1712,Murder House,murder house
1713,UNEMPLOYMENT OFFICE,unemployment office
1714,KLIFF'S KAR CHALET,kliff kar chalet
1715,SPRINGFIELD TV STORE,springfield tv store
1716,Jeopardy! Studio,jeopardy studio
1717,Screamatorium,screamatorium
1718,Hitler's Car,hitler car
1719,Glass Bottomed Boat,glass bottomed boat
1720,Airport Terminal,airport terminal
1721,AIRPORT TARMAC,airport tarmac
1722,MOVEMENTARIAN COMPOUND,movementarian compound
1723,MOVEMENTARIAN SCHOOL,movementarian school
1724,Movementarian Day Care Center,movementarian day care center
1725,Springfield Fire Department,springfield fire department
1726,Underwater,underwater
1727,Cave,cave
1728,Shoe Store,shoe store
1729,Springfield Amphitheater,springfield amphitheater
1730,Coffee House,coffee house
1731,Stu's Disco,stu disco
1732,PARTY SHIP,party ship
1733,SPRINGFIELD OUTSKIRTS,springfield outskirts
1734,DRIVE-IN MOVIE,drive-in movie
1735,DRIVE-IN,drive-in
1736,RAILROAD CROSSING,railroad crossing
1737,Cliff Overlooking Springfield Harbor,cliff overlooking springfield harbor
1738,MID-AIR,mid-air
1739,Art Gallery,art gallery
1740,CHANNEL SIX,channel six
1741,CONTROL BOOTH,control booth
1742,KNOWLEDGEUM,knowledgeum
1743,SEX-EDUCATION PAVILION,sex-education pavilion
1744,Toy Store,toy store
1745,Abandoned Prison,abandoned prison
1746,Morningwood Penitentiary,morningwood penitentiary
1747,PRIMITIVE AMPHITHEATER,primitive amphitheater
1748,NAVAL RESERVE RECRUITING OFFICE,naval reserve recruiting office
1749,NAVAL RESERVES RECRUITING OFFICE,naval reserves recruiting office
1750,Back Room of Moe's,back room of moe
1751,NAVY BARBER SHOP,navy barber shop
1752,PIER,pier
1753,LEGION HALL,legion hall
1754,AMERICAN LEGION HALL,american legion hall
1755,Piercing Store,piercing store
1756,Port Springfield,port springfield
1757,SUBMARINE DOCK,submarine dock
1758,SUBMARINE,submarine
1759,OFFICER'S MESS,officer mess
1760,TORPEDO ROOM,torpedo room
1761,ENEMY SUB,enemy sub
1762,S.S. JEBEDIAH,ss jebediah
1763,Sub,sub
1764,OCEAN FLOOR,ocean floor
1765,S.S. JEBEDIAH BRIDGE,ss jebediah bridge
1766,GENERAL ASSEMBLY,general assembly
1767,U.s. Aircraft Carrier,us aircraft carrier
1768,ENGINE ROOM,engine room
1769,SUBMARINE HALLWAY,submarine hallway
1770,Pacific Ocean,pacific ocean
1771,NAVAL COURTROOM,naval courtroom
1772,Flanders Kitchen,flanders kitchen
1773,Irs Office,irs office
1774,IRS WAITING ROOM,irs waiting room
1775,IRS INTERROGATION ROOM,irs interrogation room
1776,FRENCH AIRPORT,french airport
1777,BURNS' BEARCAT,burns bearcat
1778,Airfield,airfield
1779,AIRCRAFT HANGAR,aircraft hangar
1780,"10,000 FEET OVER THE GULF OF MEXICO",10000 feet over the gulf of mexico
1781,Burns's Plane,burns plane
1782,GOVERNMENT JET,government jet
1783,Havana International Airport,havana international airport
1784,Havana,havana
1785,PRESIDENTIAL PALACE,presidential palace
1786,CASTRO'S PRIVATE OFFICE,castro private office
1787,TV STATION,tv station
1788,Animal Assistants,animal assistants
1789,Channel 6 News Studio,channel 6 news studio
1790,BROCKMAN'S HOUSE,brockman house
1791,RAMSHACKLE HOUSE,ramshackle house
1792,Railroad Tracks,railroad tracks
1793,DONUT SHOP,donut shop
1794,Department Store,department store
1795,SANITATION COMMISSIONER'S OFFICE,sanitation commissioner office
1796,CITY CLERK'S OFFICE,city clerk office
1797,Garbage Truck Parking Area,garbage truck parking area
1798,Suburban Street,suburban street
1799,Wiggum's Dining Room,wiggum dining room
1800,Homer's Office,homer office
1801,Cliff Above Abandoned Mine Entrance,cliff above abandoned mine entrance
1802,FLANDERS BACK YARD,flanders back yard
1803,Cletus' Outhouse,cletus outhouse
1804,JET,jet
1805,FLAG ZONE,flag zone
1806,BASE OF THE MURDERHORN,base of the murderhorn
1807,POWER SAUCE CORP.,power sauce corp
1808,Yuk-ingham Palace,yuk-ingham palace
1809,Deserted Area,deserted area
1810,RUSSIAN NEIGHBORHOOD,russian neighborhood
1811,Springsonian Museum,springsonian museum
1812,STEEP ROAD,steep road
1813,OPERATOR'S BOOTH,operator booth
1814,EGYPTIAN EXHIBIT ROOM,egyptian exhibit room
1815,THEME RESTAURANT,theme restaurant
1816,Barn,barn
1817,BED AND BREAKFAST,bed and breakfast
1818,MINI-GOLF COURSE,mini-golf course
1819,WINDMILL,windmill
1820,SUBURBAN NEIGHBORHOOD,suburban neighborhood
1821,SOMEONE'S BACK YARD,someone back yard
1822,SKY ABOVE SPRINGFIELD,sky above springfield
1823,Crystal Cathedral,crystal cathedral
1824,FOOTBALL STADIUM,football stadium
1825,Dingo Junction,dingo junction
1826,Nurse's Office,nurse office
1827,Vent,vent
1828,VENTILATION DUCT,ventilation duct
1829,KBBL RADIO STATION,kbbl radio station
1830,FRINK'S HOUSE,frink house
1831,MUSEUM ENTRANCE,museum entrance
1832,Edison's Laboratory,edison laboratory
1833,EERILY-LIT COURTROOM,eerily-lit courtroom
1834,Municipal Building,municipal building
1835,OFFICE DOOR,office door
1836,ITCHY'S HOUSE,itchy house
1837,ITCHY & SCRATCHY STREET SCENE,itchy scratchy street scene
1838,FLYING SAUCER,flying saucer
1839,GRASSY AREA,grassy area
1840,Alec and Kim's House,alec and kim house
1841,WINNEBAGO,winnebago
1842,TWENTIETH CENTURY FOX STUDIOS,twentieth century fox studios
1843,FOX EXECUTIVE'S OFFICE,fox executive office
1844,FARM LAND,farm land
1845,Groovy Grove Natural Farm,groovy grove natural farm
1846,Eatie Gourmet's,eatie gourmet
1847,Hallway Outside Boy's Bathroom,hallway outside boy bathroom
1848,Springfield Public Beach,springfield public beach
1849,GHOST TOWN,ghost town
1850,Bloodbath Gulch,bloodbath gulch
1851,Train Tracks,train tracks
1852,Waterfront,waterfront
1853,Clothing Store,clothing store
1854,TRAMP STEAMER,tramp steamer
1855,Bodyguard School,bodyguard school
1856,MAYOR'S MANSION,mayor mansion
1857,Springfield Dinner Theater,springfield dinner theater
1858,DINNER THEATER,dinner theater
1859,Las Vegas Strip,las vegas strip
1860,SURVEILLANCE ROOM ABOVE ROULETTE TABLE,surveillance room above roulette table
1861,ROMAN EMPIRE THEME BAR - LATER,roman empire theme bar - later
1862,Casino Dining Room,casino dining room
1863,CASINO LOBBY,casino lobby
1864,Nevada State Line,nevada state line
1865,DESERT - LATER,desert - later
1866,SPRINGFIELD MEMORIAL STADIUM,springfield memorial stadium
1867,PLAYING FIELD,playing field
1868,RIGHT FIELD BLEACHERS,right field bleachers
1869,DRIVE-IN THEATER,drive-in theater
1870,FENCE OUTSIDE DRIVE-IN,fence outside drive-in
1871,WIGGUM'S BILLBOARD,wiggum billboard
1872,KRABAPPEL'S KITCHEN,krabappel kitchen
1873,GOVERNMENT SURVEILLANCE ROOM,government surveillance room
1874,Tire Store,tire store
1875,Tire Store Waiting Room,tire store waiting room
1876,SPRINGFIELD TRAVEL AGENCY,springfield travel agency
1877,STADIUM PARKING LOT,stadium parking lot
1878,SKY BOX,sky box
1879,Tv Production Company,tv production company
1880,Costington's,costington
1881,DRESS SHIRT COUNTER,dress shirt counter
1882,GARDEN PARTY,garden party
1883,Springfield Forest,springfield forest
1884,Apt. Building,apt building
1885,Tiffany's,tiffany
1886,SPRINGFIELD WATERFRONT,springfield waterfront
1887,Car Dealership,car dealership
1888,WILD ANIMAL PARK,wild animal park
1889,PORTA-JOHN,porta-john
1890,"PORTA-JOHN, CONTINUOUS",porta-john continuous
1891,Canyonero,canyonero
1892,P.J. O'HARRIGAN'S,pj oharrigan
1893,TWO-LANE HIGHWAY,two-lane highway
1894,Medical Building,medical building
1895,New Age Store,new age store
1896,Lisa's Tank,lisa tank
1897,Homer's Tank,homer tank
1898,Repo Truck,repo truck
1899,UNDERGROUND,underground
1900,SPRINGFIELD BEACH,springfield beach
1901,Slaughterhouse,slaughterhouse
1902,Red's Truck,red truck
1903,Door Store,door store
1904,Truck Stop,truck stop
1905,Roadside Market,roadside market
1906,Homer's Truck,homer truck
1907,GEORGIA HIGHWAY,georgia highway
1908,Truck Depot,truck depot
1909,Garden of Eden,garden of eden
1910,OUTSIDE THE GARDEN OF EDEN,outside the garden of eden
1911,ANCIENT CONSTRUCTION SITE,ancient construction site
1912,PHARAOH'S CONSTRUCTION TENT,pharaoh construction tent
1913,PHARAOH'S TENT,pharaoh tent
1914,GREAT PYRAMID,great pyramid
1915,GREAT PYRAMID ENTRANCE,great pyramid entrance
1916,Red Sea,red sea
1917,TOILETS,toilets
1918,OTHER SIDE OF THE RED SEA,other side of the red sea
1919,SOLOMON'S TEMPLE,solomon temple
1920,JERUSALEM ROYAL PALACE,jerusalem royal palace
1921,Jerusalem,jerusalem
1922,PALESTINIAN COUNTRYSIDE,palestinian countryside
1923,TOWER OF BABEL,tower of babel
1924,Base Of Tower,base of tower
1925,Mom & Pop Hardware,mom pop hardware
1926,GALLERY,gallery
1927,INTERNATIONAL OLYMPIC COMMITTEE BUILDING,international olympic committee building
1928,INTERNATIONAL OLYMPIC COMMITTEE OFFICE,international olympic committee office
1929,Tour Boat,tour boat
1930,YACHT,yacht
1931,Megastore,megastore
1932,Supermegastore,supermegastore
1933,Roof Of Building In Downtown Springfield,roof of building in downtown springfield
1934,Base Of Building,base of building
1935,Scotland,scotland
1936,Loch Ness,loch ness
1937,LOCH,loch
1938,Las Vegas Casino,las vegas casino
1939,Euclid Street,euclid street
1940,MENSA HOUSE,mensa house
1941,CYBER CAFE,cyber cafe
1942,The Java Server,the java server
1943,33 Cent Store,33 cent store
1944,Plane,plane
1945,TOKYO SKYLINE,tokyo skyline
1946,TOKYO HOTEL,tokyo hotel
1947,Simpson Hotel Room,simpson hotel room
1948,DOWNTOWN TOKYO,downtown tokyo
1949,Tokyo,tokyo
1950,AMERICATOWN RESTAURANT,americatown restaurant
1951,TOKYO FRUIT STAND,tokyo fruit stand
1952,TOKYO STREET,tokyo street
1953,Sumo Stadium,sumo stadium
1954,ELEGANT TEA ROOM,elegant tea room
1955,AMERICAN EMBASSY,american embassy
1956,FISH GUTTING FACTORY,fish gutting factory
1957,GAMESHOW SET,gameshow set
1958,TOKYO TOWER,tokyo tower
1959,RIM OF VOLCANO,rim of volcano
1960,Volcano,volcano
1961,Electric Car,electric car
1962,Theater Lobby,theater lobby
1963,PRIVATE JET,private jet
1964,Movie Studio,movie studio
1965,Mini-van,mini-van
1966,Mel Gibson's Office,mel gibson office
1967,Hollywood,hollywood
1968,Beverly Hills,beverly hills
1969,SCREENING ROOM,screening room
1970,Street Outside Studio,street outside studio
1971,HOLLYWOOD AUTOMOBILE MUSEUM,hollywood automobile museum
1972,HOLLYWOOD BLVD.,hollywood blvd
1973,MERCEDES,mercedes
1974,ROAD WARRIOR CAR,road warrior car
1975,PRINCIPAL'S OFFICE,principal office
1976,DRUG COMPANY,drug company
1977,STREET ON OUTSKIRTS OF TOWN,street on outskirts of town
1978,ARMY BARRACKS,army barracks
1979,Another Street,another street
1980,Springfield Shopper,springfield shopper
1981,NEWSPAPER PRESS ROOM,newspaper press room
1982,PRESS ROOM,press room
1983,NEWSPAPER,newspaper
2366,Clinic,clinic
1984,Planet Springfield Restaurant,planet springfield restaurant
1985,ROTATING RESTAURANT,rotating restaurant
1986,TASTE OF SPRINGFIELD FESTIVAL,taste of springfield festival
1987,TASTE OF SPRINGFIELD,taste of springfield
1988,COASTAL ROAD,coastal road
1989,SIMPSONS FRONT YARD,simpsons front yard
1990,HIGH TECH BUILDING,high tech building
1991,SPACESHIP LAUNCH AREA,spaceship launch area
1992,SPACESHIPS ON LAUNCH PAD,spaceships on launch pad
1993,GOOGOL-PLEX,googol-plex
1994,THEATER DOOR,theater door
1995,OUTSIDE FRONT DOOR,outside front door
1996,Behind Farmhouse,behind farmhouse
1997,Feed Store,feed store
1998,Farm,farm
1999,ROADSIDE STAND,roadside stand
2000,LAVATORY,lavatory
2001,Road in Front of Simpson Farm,road in front of simpson farm
2002,"""SPRINGFIELD SQUARES"" GAMESHOW SET",springfield squares gameshow set
2003,SPRINGFIELD STATE BUILDING,springfield state building
2004,Springfield Trade Center,springfield trade center
2005,Underground Chamber,underground chamber
2006,Springfield YMCA,springfield ymca
2007,IKEA-TYPE STORE,ikea-type store
2008,SH_P,sh_p
2009,SHOWROOM,showroom
2010,SHOP,shop
2011,LOOKOUT POINT,lookout point
2012,Greaser's Cafe,greaser cafe
2013,GANG'S CAMP,gang camp
2014,POPPA WHEELIE'S,poppa wheelie
2015,Rural Gas Station,rural gas station
2016,ROOM BEHIND CHALKBOARD,room behind chalkboard
2017,Research Room,research room
2018,SUBURBAN LIVING ROOM,suburban living room
2019,CORPORATE PARK,corporate park
2020,Kid First Industries,kid first industries
2021,LINDSEY NAEGLE'S OFFICE,lindsey naegle office
2022,SPRINGFIELD TIRE FIRE,springfield tire fire
2023,Moe's Apartment,moe apartment
2024,Funeral Home,funeral home
2025,Itchy's Apartment,itchy apartment
2026,SKI RESORT,ski resort
2027,SKI AREA,ski area
2028,SKI LODGE,ski lodge
2029,Marge's Hospital Room,marge hospital room
2030,Springfield Presbyterian Hospital,springfield presbyterian hospital
2031,LEPER COLONY,leper colony
2032,ELECTRIC NEEDLE ROOM,electric needle room
2033,COLLEGE HALL,college hall
2034,Campus Security Headquarters,campus security headquarters
2035,DEAN PETERSON'S HOUSE,dean peterson house
2036,DITCH,ditch
2037,BROTHER FAITH'S REVIVAL MEETING,brother faith revival meeting
2038,Brother Faith's Revival Tent,brother faith revival tent
2039,REVIVAL TENT,revival tent
2040,Bart's Revival Tent,bart revival tent
2041,Bart's Tent,bart tent
2042,Announcer's Booth,announcer booth
2043,Mayo Clinic,mayo clinic
2044,Burns's Yacht,burns yacht
2045,STATE FAIR,state fair
2046,STATE FAIRGROUNDS,state fairgrounds
2047,BANDSHELL,bandshell
2048,GRANDSTAND,grandstand
2049,Race Track,race track
2050,STARTING GATE,starting gate
2051,BETTING LINE,betting line
2052,JOCKEY ROOM,jockey room
2053,JOCKEY'S LAIR,jockey lair
2054,WILDERNESS AREA,wilderness area
2055,INFIELD,infield
2056,CLAY BABCOCK'S RACE CAR,clay babcock race car
2057,ROD AND TODD'S ROOM,rod and todd room
2058,Sidewalk Near Flanders House,sidewalk near flanders house
2059,Video Dating Service Office,video dating service office
2060,EXPENSIVE RESTAURANT,expensive restaurant
2061,DUCK POND,duck pond
2062,Springfield Public TV Studio,springfield public tv studio
2063,PROP-PLANE,prop-plane
