title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
Halloween Spookies (2016),Comedy| Family| Horror,1-Oct-16,USA,NA,5.1,66 min,"Directed by Dustin Mills, Dave Parker. With Joni Durian, Haley Madison, B.J. Colangelo, Jeremy Ryan. Three family friendly tales to give you the shivers.",Joni Durian|Haley Madison|B.J. Colangelo|Jeremy Ryan|Matthew Hudson|Brandon Salkil|Dustin Mills|Dave Parker|Cash K. Allen|Cassidy Fitzgerald|Wes Allen|Ashley Allen|Aaron Anthony|Terry Tschappa|R. Zachary Shildwachter,English,NA,NA
Monarch (2000),Biography| Drama| History| Horror| Mystery| Thriller,14-Sep-14,UK,NA,7.7,83 min,"Directed by John Walsh. With T.P. McKenna, Jean Marsh, James Coombes, Peter Sowerbutts. Shortly before his death in 1547, the injured King Henry VIII is forced to take refuge a manor house closed for the season. While there, he must confront both his mortality and the ghosts of his past.",T.P. McKenna|Jean Marsh|James Coombes|Peter Sowerbutts|George Staines|Peter Miles|Mark Montgomerie,English,"London, England, UK",NA
Lung II (2016),Horror| Mystery| Thriller,17-Feb-16,USA,NA,5.8,NA,"Directed by Phil Stevens. With Phil Stevens, David Chopping, Samantha Coppola, Angela Jane. A nameless man wanders the city, littered with necrotic artifacts and a trail of corpses. Are his grotesque hallucinations clues to a violent past? Or are they premonitions?",Phil Stevens|David Chopping|Samantha Coppola|Angela Jane|Michael Kennedy|Bryant W. Lohr Sr.|Colette Kenny Mckenna,English,NA,"$10,000"
Scavenger Killers (2014),Crime| Horror| Thriller,1-Jul-14,USA,TV-MA,4.8,100 min,"Directed by Dylan Bank. With Eric Roberts, Charles Durning, Robert Loggia, Dustin Diamond. 'Bonnie and Clyde' are reinvented in SCAVENGER KILLERS, where a charming judge and a hot criminal defense attorney go on a maniacal killing rampage. With bizarre, yet somehow believable, FBI agents (a physically powerful, condescending mute with wooden legs, and a Tourette's Syndrome introvert with psychic abilities) on the hunt, the deranged duo amp up their rampage, never murdering with the ...",Eric Roberts|Charles Durning|Robert Loggia|Dustin Diamond|Robert T. Bogue|Rachael Robbins|Kim Allen|Ken Del Vecchio|Suzi Lorraine|Nina Transfeld|Angela Little|Michael Rivera|Thea Vidale|Kirk Ponton|Frank Giglio,English,"New Jersey, USA","$1,000,000"
Grizzled! (2017),Action| Comedy| Horror,31-Oct-17,USA,NA,NA,NA,"Directed by Rycke Foreman. With Dawna Lee Heising, Jamie Bernadette, Alison Arngrim, Jacqui Holland. After a giant mutant penguin stakes its claim in a National Park, two forest rangers and a grizzled hunter must stalk and evade the creature as they lead a growing group of misfits through the woods.",Alison Arngrim|Dawna Lee Heising|Jamie Bernadette|Jacqui Holland|Shawn C. Phillips|Victoria De Mare|Maria Olsen|Bill Oberst Jr.|Greg Serano|Arielle Brachfeld|Devlin Wilder|Lionel Archuleta|Rycke Foreman,English,NA,NA
Horror Stories 2 (2013),Horror,5-Jun-13,South Korea,NA,5.5,95 min,"Directed by Beom-sik Jeong, Hwi Kim, Sung-ho Kim. With Jin-hee Baek, Kyung-pyo Go, Won-hee Im, In-sun Jung. In an insurance company, Se-young, who has a power to see people's past and read their minds. Mr.Park, Se-Young's boss, assumes that she has some kind of special power, decides to test her ability. At very late night, Mr. Park picks three doubtful cases. He asks Se-young to tell him what exactly happened and if she thinks the insurance company has paid them the right amount of money. Se-young, ...",Jin-hee Baek|Kyung-pyo Go|Won-hee Im|In-sun Jung|Ji-won Kim|Ki-Cheon Kim|Seul-gi Kim|Se-yeong Lee|Soo-hyuk Lee|Sung-woong Park|Jun Sung,Korean,NA,NA
Taught in Cold Blood (2017),Horror| Thriller,28-Mar-17,USA,NA,3.6,94 min,"Directed by P. David Miller. With Luke Lippold, Mesindo Pompa, Sara Drust, Loydene Williamson. A troubled teen is torn between a girl who loves him and a mysterious stranger who pushes him to kill.",Luke Lippold|Mesindo Pompa|Sara Drust|Loydene Williamson|Justin Hoffmeister|Vance Fannin|Jorge Troche|P. David Miller|Nicky Korba|Colin McGurk|Bethany Braun|Blake Beaudette|Sean DeGruy|Bryant Arthur|Justin Cone,English,"Los Angeles, California, USA",NA
All Saints Eve (2015),Horror,17-Feb-15,USA,NA,3.7,83 min,"Directed by Gerry Lively. With Marc Macaulay, Bingo O'Malley, Mere Davis, Katrina Darrell. A sinister preacher in the 1800's leads an angry church mob to murder a farmer and his family, all to gain the coveted McKale farmland. In his dying breath, the farmer incites an evil curse and vows his vengeance. An eerie calm settles over the land for centuries until one fateful night when the curse is accidentally unleashed and a group of misfit friends must fight to stay alive, discover the ...",Marc Macaulay|Bingo O'Malley|Mere Davis|Katrina Darrell|Nicole Alexandra Shipley|Matthew Bonacci|Shawn Shelpman|Rachel Boyde|Nick LaMantia|Clifford Lynch|Eliot Preschutti|Tiffany Kemp|Scott Sullivan|John W. Iwanonkiw|Gavin A James,English,"Pittsburgh, Pennsylvania, USA",NA
Scrape (2013),Horror| Mystery| Thriller,2016,USA,NOT RATED,5.3,80 min,"Directed by Derek Wayne Johnson. With Rick LaCour, Garrett Kruithof, Nina Leon, Alec Johnson. Women are missing. Something is killing. Barry Sagan and the Hedgeworth family must survive.",Rick LaCour|Garrett Kruithof|Nina Leon|Alec Johnson|Penny Harville|Lorna Street Dopson|Katie Walker|Jena Waldron|Heather Bloom|Kaka Birmingham|Heather Tabor|Mallery Causey|Lemar Sain|Mike Martindale|Donnie Pitchford,English,"Shreveport, Louisiana, USA","$500,000"
Bayou Tales (2016),Horror,6-Apr-16,USA,NA,NA,NA,"Directed by David DuBos. With Kim Baptiste, Roger Bart, Neil Brown Jr., Ian Casselberry. 5 Tales set in and around New Orleans that capture the sexual, supernatural, and strange nature of the city's unique people and culture, all infused with a darkly comedic sense of justice.",Kim Baptiste|Roger Bart|Neil Brown Jr.|Ian Casselberry|Kacey Clarke|Kyle Clements|Lucy Faust|Robert John Gilchrist|Jim Gleason|Chad Graham|Glen Hobgood|Korey Jackson|Lucky Johnson|Khalilah Joi|Ruben Juarbe,English,"New Orleans, Louisiana, USA","$1,500,000"
Bloody Knuckles (2014),Comedy| Horror,18-Oct-14,USA,NOT RATED,5.7,85 min,"Directed by Matt O'Mahoney. With Adam Boys, Kasey Ryne Mazak, Ken Tsui, Gabrielle Giraud. Travis is an underground comic book artist with a penchant for the obscene. When one of his comics insults a Chinatown crime boss, the gangster punishes Travis by removing his drawing hand. A daunted Travis retreats into a life of alcoholic misery. That is, until his hand returns from the grave...",Adam Boys|Kasey Ryne Mazak|Ken Tsui|Gabrielle Giraud|Dwayne Bryshun|Steve Thackray|Tim Lok|Jason Asuncion|Kent S. Leung|Robin Jung|Krista Magnusson|Peter Breeze|Robin Bougie|Garland Chang|Marlie Collins,English,NA,NA
Escóndete (2013),Horror,1-Oct-13,Spain,NA,6.7,81 min,"Directed by Roque Madrid. With Víctor Sevilla, Rubén Mascato, Mariam Hernández, Raquel Arcos. Two young couples have chosen a new site for their Saturday night drinking binge: an abandoned barrack with a legend. 45 years ago, a young girl, mentally handicapped, was seduced and raped by soldiers, strangled and then burned.",Víctor Sevilla|Rubén Mascato|Mariam Hernández|Raquel Arcos|Ana María Vivancos,Spanish,"Torre Pacheco, Murcia, Spain",NA
Dementamania (2013),Horror| Thriller,17-Oct-14,UK,NA,7,85 min,"Directed by Kit Ryan. With Kal Penn, Geoff Bell, Vincent Regan, John Thomson. A frustrated office worker finds himself caught between the realms of his deranged imagination and the mundane reality of his everyday existence.",Kal Penn|Geoff Bell|Vincent Regan|John Thomson|Samuel Robertson|Holly Weston|Richard Ashton|James Oliver Wheatley|David Macey|Rebecca Reaney|Matt Healy|Aaron Cobham|Richard Crehan|Rachel Rae|Anthony Cozens,English,"York, North Yorkshire, England, UK",NA
666: Kreepy Kerry (2014),Horror,2-Apr-14,USA,NOT RATED,2.9,75 min,"Directed by David DeCoteau. With Conner Sorensen, Alexia Quinn, Justin Johnson Cortez, Torran Kitts. A new student is finding it difficult to contain his supernatural powers on a group of bullies.",Conner Sorensen|Alexia Quinn|Justin Johnson Cortez|Torran Kitts|Kyle Dondlinger|Chase Clarke|Kirk Krause|Darcy DeMoss,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA","$1,000,000"
Dead of the Nite (2013),Horror,7-Jan-14,USA,NA,2.9,86 min,"Directed by S.J. Evans. With Tony Todd, Joseph Millson, Cicely Tennant, Gary Mavers. When a group of ghost hunters investigate the infamous Jericho Manor, they soon realise it's not just ghosts that go bump in the night! As people get murdered, the survivors need to discover who or what's killing them before it's too late.",Tony Todd|Joseph Millson|Cicely Tennant|Gary Mavers|Claudio Pacifico|Paul Fox|Simon Bamford|Suzi Lorraine|Simone Kaye|Stuart Boother|Rachel Littlemac|Anna Carteret|Sousila Pillay|Johnathon Farrell|Georgie Bradbury,English,"Fonmon Castle, Wales, UK","£20,000"
Bride of Violence (2017),Horror| Thriller,18-Aug-17,USA,NA,NA,NA,"Directed by Travis Mills. With Porsche Lynn, Mark Speno, Dylan Bronte, Richard Anderson. A boyfriend and girlfriend go camping for the weekend and run into an escaped convict.",Porsche Lynn|Mark Speno|Dylan Bronte|Richard Anderson|Brooklyn Wilde|Frank Gonzalez|Craig Hensley|Jesse Michael-Geronimo Valencia|Brian Stone,English,NA,NA
Sky Harbor (2015),Horror,5-Feb-15,USA,NA,7.2,NA,"Directed by Scot Dyer. With Helene Udy, Jamison Newlander, Brian Andrews, Anne Main.",Helene Udy|Jamison Newlander|Brian Andrews|Anne Main|Tim O'Leary|Jasmin St. Claire|Vic Stagliano|Mike Shaffrey|Taylor Horneman|Dean Testerman|Brian Farmer|Maximus Prime|Scot Dyer|Van Brockmann|Kiri Basner-Churches,English,NA,NA
LifeRaft (2016),Horror| Sci-Fi| Thriller,21-Jul-16,USA,NA,3.4,81 min,"Directed by Todd Colby Pliss. With Anne McDaniels, Kassie Johnston, Curtis Bechdholt, Kenneth Billings. After their boat mysteriously sinks, a group of friends, with no supplies and strange happenings, try to trust each other long enough to survive.",Anne McDaniels|Kassie Johnston|Curtis Bechdholt|Kenneth Billings|Dennis Garr|Steve Stevens Jr.|Todd Colby Pliss|Mark Laursen|Chelsea Thompson|Richard Smith|Kassie Johnston|David Dinatale,English,"Ventura County, California, USA",NA
You're Nobody 'til Somebody Kills You (2012),Horror| Thriller,10-Jul-12,USA,R,3.1,86 min,"Directed by Michael A. Pinckney. With James McDaniel, Michael Mosley, Nashawn Kearse, Assiatou Lea. A serial killer is taking down the hip hop industry one rapper at a time and the detectives on the case must get to him before the killer does.",James McDaniel|Michael Mosley|Nashawn Kearse|Assiatou Lea|Kevin Carroll|Neko Parham|Jacinto Taras Riddick|Suzette Gunn|Michael Kenneth Williams|David Fonteno|Jessica Blank|Kia Goodwin|Al Thompson|Doug E. Fresh|Felix Solis,English,"New York City, New York, USA","$1,000,000"
Half Dead (2013),Action| Horror| Sci-Fi,22-Mar-13,USA,NA,NA,90 min,"Directed by Matthew A. Peters. With Mark Joseph Peek, Rebecca C. Kasek, Nathan Faudree, Mu-Shaka Benson. Half Dead,is the story of a gangster named Angel who steals from his boss Vince. Angel runs off with Vince's sister and pays the price with his life. He is then given over to the military for use in an experiment, which turns him into a zombie. Bent on revenge, he returns from the grave to take down those who wronged him and win back the woman he loves, creating a lethal band of subordinate ...",Mark Joseph Peek|Rebecca C. Kasek|Nathan Faudree|Mu-Shaka Benson|Wayne W. Johnson|Lauren Telarole|Elisa Welch|Melissa A. Seelman|Kirstin Impicciatore|Christopher Fiore|James S. Cacciatore|Anne DeRose|Jason A. Covey|Rich Klotz II|Bryan Edwards,English,"Utica, New York, USA",NA
Devil's Acid (2017),Horror,18-Aug-17,USA,NA,NA,NA,"Directed by Garrett Kruithof. With Ashley Dulaney, Drew Rin Varick, Nina Leon, Amber Saxon.",Ashley Dulaney|Drew Rin Varick|Nina Leon|Amber Saxon|Misty Ormiston|Jessica Lynn Parsons|Betty Jeune|Kim Ormiston|Finch Nissen|Eric Gibson|Matt Nelson|Dale Beasley,English,NA,"$250,000"
Fazbear's Fright: The Fan Film (2017),Horror,25-Jun-17,Canada,NA,8.1,70 min,"Directed by Liam Gartland Emond, Michelle March. With Nicholas Arancibia Strachan, Emanuelle Esther Aubin Desousa, Lise Emond, Liam Gartland Emond. 24 years after Mike brought the horrors at Freddy's to a stop, Fazbear's Fright brings light to some mysteries that may not have been solved. Mike's daughter Jamie now struggles to tie the loose ends while searching for her father, discovering that the further down the rabbit hole she goes, the more horrible truths will be revealed.",Nicholas Arancibia Strachan|Emanuelle Esther Aubin Desousa|Lise Emond|Liam Gartland Emond|Bradley Gartland|Zachary Hitchcock|Seth Juneau Morissette|Ellie Juneau|Gabriel March|Michelle March|Claudio Marchetti|Kevin Marimbu|Ciro Orlando|Janik Robitaille|Yoan Robitaille,English,NA,"CAD 3,000"
Trailers (2016),Fantasy| Horror| Mystery| Sci-Fi,13-Nov-16,Ireland,NA,7.1,180 min,"Directed by Rouzbeh Rashidi. With Alicja Ayres, Martin Berridge, Jann Clavadetscher, Julia Gelezova. ""Pictures Of A Far-Off World""",Alicja Ayres|Martin Berridge|Jann Clavadetscher|Julia Gelezova|George Hanover|Dean Kavanagh|Vicky Langan|Maximilian Le Cain|Anja Mahler|Klara McDonnell|Eadaoin O'Donoghue|Rouzbeh Rashidi|Cillian Roche|Jennifer Sharpe,English,NA,NA
Red Spring (2017),Action| Horror,2017,USA,NA,NA,NA,"Directed by Jeff Sinasac. With Reece Presley, Elysia White, Jeff Sinasac, Jonathan Robbins. The world has been ravaged by vampires. A group of survivors band together to search for loved ones who may be alive, dead or something in between, eventually taking shelter in what may be the only safe hideout left to them. But well defended hideouts have a way of becoming prisons. And prisons aren't the safest place to be when your friends can turn on you at any time.",Elysia White|Reece Presley|Jeff Sinasac|Adam Cronheim|Jonathan Robbins|Lindsey Middleton|Andre Guantanamo,English,Canada,NA
Run Like Hell (2014),Action| Horror| Thriller,9-Sep-14,USA,NOT RATED,3.4,80 min,"Directed by James Thomas. With Dave Finn, Canyon Prince, Robyn Buck, Tamara Carey. When four friends end up stranded in the small town of Spaulding, one local family offers help. The family's real motives become terrifyingly obvious, as the couples find themselves fighting for their lives.",Dave Finn|Canyon Prince|Robyn Buck|Tamara Carey|J Michael Briggs|Jessica Cameron|Aaron Rice|Shondale Seymour|Kurtis Bedford|Ben Begley|Philip Nathanael|Lewis Blanchard|Jason J. Lewis|David Maddox|Dominic DeMaria,English,NA,NA
Savage High (2015),Horror| Mystery,30-Oct-15,USA,NOT RATED,8.1,90 min,"Directed by Manny Velazquez. With Marilyn Gonzalez, Michael Glenn, Ashley Perez, Ian Pierce. Manny Velazquez's first underground independent cult horror film about three students that are brutally murdered over the weekend as the students and staff are getting ready for the annual 'Wildcat Night', but the murderer walks among the peers ready to strike again, in this slasher flick.",Marilyn Gonzalez|Michael Glenn|Ashley Perez|Ian Pierce|Christian Rivera|Alex Velazquez|Yetzamil Pedroza|Deliza Alcozer|Brianna Gonzalez|Jennifer Chajon|Joshua Lopez|Alen Rios|Angie Velazquez|Richàrd A. LaBon|Mathew Albuja,English,"1147 N. Western Ave, Chicago, Illinois, USA","$2,500"
Classroom 6 (2015),Horror| Mystery,9-Oct-15,USA,NOT RATED,3.6,76 min,"Directed by Jonas Odenheimer. With Valentina Kolaric, Mike McLaughlin, Maurice Mejia, Vince Major. A local reporter and her assembled TV crew go into a school haunted by a horrific past. The team spends the night locked inside the building, capturing any and everything they find.",Valentina Kolaric|Mike McLaughlin|Maurice Mejia|Vince Major|Victor Manso|Jessica Amal Rice|Paul Thomas Arnold|Craig Cranic|Matt Poe|Wesley Rice|Jean-Louis Darville|Caroline Guivarch|Lauren Tess|Amanda Lee Gunnell|Devin Dygert,English|Spanish,"Glendale, California, USA",NA
Cannibal Corpse Killers (2017),Action| Horror| Western,29-Sep-17,USA,NA,NA,119 min,"Directed by Joaquin Montalvan. With Jim Barile, Eric Bastrup, Charlotte Bjornbak, Mark Boykin. In a decaying America, 20 years after an apocalyptic event, Pike leads Ruby, Slim, Scar, and Boots through the wasteland towards the town of Jawbone in hopes of finding shelter, and to confront the evil Magistrate. But will they make it to Jawbone? And what will they find when they get there?",Jim Barile|Eric Bastrup|Charlotte Bjornbak|Mark Boykin|Taylor Anthony Butler|Shawn Cain|Marion Calvert|Jason Cerff|Lea Chavez|Yushan Chen|Lauren DeLuca|Guojiang Deng|Dennis Deppisch|Jessica Ding|Mark Doddy,NA,"Death Valley, California, USA",NA
Evil Within (2015),Horror,1-Jan-15,USA,NA,NA,NA,"Directed by Johnny Kearns. With Michael Paré, Michael John Long, Erik Aude, Vanessa Vander Pluym. Detective Lancaster works to solve a string of ghastly murders that plague a quite neighborhood, as an ancient evil corrupts the lives of an unsuspecting couple.",Michael Paré|Michael John Long|Erik Aude|Vanessa Vander Pluym|Hal Alpert|Richard Bachellor|Josh Berger|Geoff P. Browne|Madeleine Ferris|Olivia Ferris|Heather Fogarty|David Hill|Erin Marie Hogan|Johnny Kearns|Jolyne Lowery,English,"Los Angeles, California, USA",NA
The Warning (2015),Horror,1-Mar-15,USA,NA,4.7,91 min,"Directed by Dirk Hagen. With Summer Moore, Jeff Allen, Christina Pascucci, Tiffany Joy Williams. Determined to get ahead in the competitive world of TV journalism, a woman investigates a local legend of people vanishing at the hands of a satanic cult but finds that she herself becomes the hunted.",Summer Moore|Jeff Allen|Christina Pascucci|Tiffany Joy Williams|Karl Brevik|Sonja Cimone|Aeon Cruz|Jamie Demeter|Lyle DeRose|Mary Ann Hogan|Bob Hurst|Ashley M. Kalfas|Grant Benjamin Leibowitz|Stefanie Smith|Pleasant Wayne,English,"Colorado Springs, Colorado, USA",NA
"Husin, Mon & Jin Pakai Toncit (2013)",Comedy| Horror,7-Feb-13,Malaysia,NA,5.7,95 min,"Directed by Mamat Khalid. With Awie, Azwan Annuar, Zafira Aqilla, Ezlynn. Husin comeback to his hometown, Kg. Pisang after bankrupted in Singapore. In Kg. Pisang, he meets his ex-lover Mon who looks strange like she try to hiding something from him. Then, a mysterious man Dr. Shamsuddin come to his village in order to help the villagers. What's really happen? All of this strange event have something to do with Kg. Pisang's history 100 years ago.",Awie|Azwan Annuar|Zafira Aqilla|Ezlynn|Nazari Ibrahim|Rashidi Ishak|Zami Ismail|Shahrul Izuan|Man Kadir|Adam Khalid|Arab Khalid|Abdul Manaf|Nuri|Dewa Sapri|Adi Shamsul,Malay,NA,NA
OMG... We're in a Horror Movie (2016),Comedy| Horror,9-Dec-16,Germany,NA,4.1,107 min,"Directed by Ajala Bandele. With Ajala Bandele, Jenny Curtis, Liz Fenning, Christopher Hampton. Six friends having a weekly board game night are interrupted by a booming movie trailer voice from the sky. Inexplicably, they find themselves trapped in a Horror Movie. Who amongst them will turn into a homicidal killer? Who will be the sole survivor? And who will be the first to die in the shower? Struggling to break free from the stereotypes that would see them dead, each of the friends try to...",Ajala Bandele|Jenny Curtis|Liz Fenning|Christopher Hampton|Nils Jansson|Greg Loebell|Sharon Mae|Shanna Malcolm|Brendan McGowan|Chynna Skye|Sam Szabo|Jennifer van Heeckeren|Brittany Anne Woodford,English,NA,NA
The Crypt (2014),Horror,3-Dec-14,France,NA,3.8,NA,"Directed by Mark Murphy. With Mark Harris, Natalie Stone, Peter Woodward, Nicola Posener. The Church sends in a team to investigate the tragic deaths of a young group found in the crypt of a Convent.",Mark Harris|Natalie Stone|Peter Woodward|Nicola Posener|Charley Mcdougall|Tom Leeper|Lucy Drive|Sabrina Bussandri|Jan Chappell|Peter Moller|Sophie Lovell Anderson|Chloe Partridge|Adrian Bouchet|Najia Ansari|Eva Smite,English,NA,NA
Mahalai Tiang Kuen (2016),Comedy| Horror,28-Jul-16,Thailand,NA,5.8,NA,"Directed by Piyabutr Athisuk, Kritsada Kaniwichaphon, Kanin Kulsumitrawong. With Rasri Balenciaga, Maythinee Booranasiri, Bawriboon Chanreuang, Toni Rakkaen.",Rasri Balenciaga|Maythinee Booranasiri|Bawriboon Chanreuang|Toni Rakkaen,Thai,NA,NA
Into the Outbreak (2017),Horror| Sci-Fi,2017,USA,NA,NA,95 min,"Directed by Larry Rosen. With Caroline Heinle, Janelle Engle, Meena Amani, Larry Rosen. Macy and John are nearing the end of their relationship. Mandy and Steve just had a one night stand. Then an infectious outbreak starts turning people into cannibals. Now each of these survivors must deal with their issues as they attempt to survive the outbreak. Low on food, no law enforcement, infected cannibals eating people in the streets, fear grows of what is outside and what might come ...",Caroline Heinle|Janelle Engle|Meena Amani|Larry Rosen|Ed Bergtold|Deborah Twiss|Lloyd Kaufman|Nick Adamson|Dannah Basgall|Gianna-Leigh Bastar|Scott Churchson|Kasey Connolly|Chris J. Cullen|Nick Denning|Brandy Gardener,English,NA,NA
Where the Skin Lies (2017),Horror| Thriller,26-Aug-17,UK,NA,4.8,91 min,"Directed by Michael Boucherie. With Tristan Beint, Amelia Bennett, Simon Rivers, Louise Williams. Six people bound together by a traumatic experience decide to round off a year of group therapy in style. They join each other once more, traveling up to the Scottish Lowlands for a reunion weekend in a 1970s holiday let. Soon a number of mysterious and horrifying events start to expose the cracks in their relationships, and one by one they discover that trust runs but skin-deep. A night of ...",Tristan Beint|Amelia Bennett|Simon Rivers|Louise Williams|Georgia Winters|Nathan Wright|Clive Russell|Sara Jordan|Nicholas Tudor,English,"Scotland, UK",NA
Altergeist (2014),Horror| Sci-Fi| Thriller,7-Nov-14,USA,R,3.9,91 min,"Directed by Tedi Sarafian. With Kristina Anapau, Mark Hapka, David Weidoff, Linsey Godfrey. King's Ransom Winery is one of the most haunted places in America, with a long history of bizarre suicides. Six ghost hunters have been given the rare opportunity to conduct a paranormal investigation. What they discover terrifies them.",Kristina Anapau|Mark Hapka|David Weidoff|Linsey Godfrey|Brendan Fletcher|Alexis Cruz|Sarah Oh|Olivia Stuck|Richard Sarafian Jr.|Jessica Spotts|Ed Corbin|Brooke Bonelli|Michele Boyd|Ariel Feruglio|Sarah Hass,English,"Sonoma, California, USA",NA
Hunting the Legend (2014),Horror| Mystery| Thriller,8-Jul-14,Canada,NOT RATED,3.5,95 min,"Directed by Justin Steeley. With Christopher Copeland, Hannah Wallace, Jeff Causey, Justin Steeley. In 2008, a deer hunter was taken by something in the Alabama woods. Only his rifle, blood and a 16"" footprint were left behind... Five years later, his son seeks revenge.",Christopher Copeland|Hannah Wallace|Jeff Causey|Justin Steeley|Alex Ballew|Stanley T. Copeland|Jonathan Cordes|Jason Ewing|Jason Harvey|Linda Hollyfield|Emma Irvin|Becky Stewart Jones|Geoff Jones|Brittany Levan|Angel Hamilton Little,English,"Wilsonville, Alabama, USA","$100,000"
Ghost Coins (2014),Horror,24-Dec-14,Thailand,NA,5.9,93 min,"Directed by Tiwa Moeithaisong. With Hataichat Eurkittiroj, Chinnapat Kitichaivaranggoon, Yayaying Rhatha Phongam, Timethai Plangsilp.",Hataichat Eurkittiroj|Chinnapat Kitichaivaranggoon|Yayaying Rhatha Phongam|Timethai Plangsilp|Namo Tongkumnerd|Thanayong Wongtrakul,Thai,NA,NA
House of Bad (2013),Horror| Thriller,18-May-13,USA,NOT RATED,3.1,96 min,"Directed by Jim Towns. With Heather L. Tyler, Sadie Katz, Cheryl Bonty, Lisamarie Costabile. Three sisters on the run with a suitcase full of stolen heroin hide out in their childhood home, which is haunted by the ghosts of their parents.",Heather L. Tyler|Sadie Katz|Cheryl Bonty|Lisamarie Costabile|Clint Jung|Julia Putnam|Jim Falkenstein|Madison Wenn|Orenda Velvet Wurth,English,"Los Angeles, California, USA","$150,000"
Le scaphandrier (2015),Adventure| Horror| Sci-Fi| Thriller,20-Feb-15,Canada,NA,4.5,78 min,"Directed by Alain Vézina. With Édith Côté-Demers, Alexandre Landry, Raymond Bouchard, Éric Gagné. A ship was found drifting with its crew massacred on the coast of the Gaspé ... It's consternation! In the process, an ambitious journalist, helped a young museum professional archivist rather shy and sedentary, discovers that a collector of maritime objects with dubious intentions may be linked to this terrible story. Then begins a race against time to find out who is this mysterious diver ...",Édith Côté-Demers|Alexandre Landry|Raymond Bouchard|Éric Gagné|Béatrice Picard|Luc Pilon|Charles Dauphinais|Jean-Guy Bouchard|Widemir Normil|Pierre Mailloux|Pascale Létourneau|Dominique Laniel|Simon Therrien|Sylvio Archambault|Jean-Philippe Debien,French,"Rimouski, Québec, Canada","CAD 1,000,000"
The Cook (2013),Horror,1-Apr-13,USA,NOT RATED,4.2,88 min,"Directed by Joshua Miller. With Jeremy Castaldo, Amber Tranum, Ashley Elizabeth Pierce, Wade Blevins. A young TV actor holds a memorial party for his deceased sister. It is held in an abandoned park where, a murderous, shamanistic drug-lord lives. The actor and his friends are hunted by this seemingly supernatural killer.",Jeremy Castaldo|Amber Tranum|Ashley Elizabeth Pierce|Wade Blevins|Josh Emanuel|Frank Barrett|Kitt Bender|Libby Chancellor|Brad Claggett|Gabriel Conduff|Cyrus Crane|Corey Douglas|Mathew Fasano|Jamie Lee Fife|Kristina Flinn,English,"Oklahoma, USA","$30,000"
Last Humans (2017),Action| Horror,16-Jun-17,UK,NA,NA,NA,"Directed by Nathan Hughes. With Michael .C. Angell, Amy Warren, Aaron-Jason Green, Jamina Wittke. it's been 7 months since the outbreak, Joel and Jade now must survive the new cruel world. But it becomes more dangerous for them when they discover that they are been hunted, now they must fight for their survival.",Michael .C. Angell|Amy Warren|Aaron-Jason Green|Jamina Wittke|Andrew Garner|Nathan Hughes|John Mccormack|Megan Ralph|Anton Arenko|Gemma Kershaw|Antony Makinson|Illya Khmelkovskyy|Tom Davidson|Anthony Hamer,English,"Stockport, Cheshire, England, UK",NA
Cruel Will (2014),Horror| Thriller,3-Jan-14,USA,NOT RATED,3.6,NA,"Directed by Arthur Romeo. With Arron Kinser, Marissa Pistone, Spencer Garrett, Harry Lennix. Tragedy strikes married couple Paul and Lily, when Lily's father dies. Lily has her father cremated, brings the urn home and now Paul has to come to terms with the death of his father-in-law whom he had despised. The situation gets a bit frayed when the lid to the urn mysteriously disappears, and Paul begins to experience happenings no one else is aware of.",Arron Kinser|Marissa Pistone|Spencer Garrett|Harry Lennix|Doug Jones|Brenan Baird|Tim Banks|Riley Bodenstab|Yonash Breneman|Sal Catalano|Emily Chang|Jesse Chevy|J.J. Dalton|Barbara Goodson|Mandy Henderson,English,"Los Angeles, California, USA","$80,000"
Naciye (2015),Drama| Horror| Mystery| Thriller,11-Mar-16,Turkey,NA,5.9,81 min,"Directed by Lutfu Emre Cicek. With Derya Alabora, Esin Harvey, Görkem Mertsöz, Ilgin Çakir. On their first night at a new, secluded house, a couple (Esin Harvey, Gorkem Mertsoz) encounter the mysterious woman (Derya Alabora - A Most Wanted Man, When We Leave) who claims it to be her home.",Derya Alabora|Esin Harvey|Görkem Mertsöz|Ilgin Çakir,Turkish,NA,NA
Forest of the Damned 2 (2017),Horror| Thriller,2017,UK,NA,NA,79 min,"Directed by Ernest Mari. With Alex Humes, Rachel Freeman, Sebastian Knapp, Lewis Clements. When four couples travel to a remote island for a swingers weekend Lucy's biggest fear was that it would ruin her marriage, she didn't realize that it could cost her her life too.",Alex Humes|Rachel Freeman|Sebastian Knapp|Lewis Clements|Sally Janman|Marysia Kay|Eleanor James|Victoria Broom|Jennifer-Ashley Kearns|Jatin Mehta|Ryan Spencer Wilson|Angela Peters|Cleo Mason|Tim Taylor|Dani Thompson,English,NA,NA
