Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,Extase Magma Man Mülhens 1993 Eau de Toilette,Mülhens,1993,Eau de Toilette,8.2,5,"Animal, Sweet, Green, Spicy, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Muelhens/Extase_Magma_Man_Eau_de_Toilette
NA,Extase Moschus Extase Musk Woman Mülhens 1976 Eau de Toilette,Mülhens,1976,Eau de Toilette,6.9,10,"Sweet, Animal, Oriental, Spicy, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Muelhens/Extase_Moschus_Extase_Musk_Woman_Eau_de_Toilette
NA,Extase Moschus Extase Musk Woman Mülhens 1976 Parfum,Mülhens,1976,Parfum,7.9,20,"Oriental, Synthetic, Animal, Spicy, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Muelhens/Extase_Moschus_Extase_Musk_Woman_Parfum
NA,Extasia Black,New Brand,NA,NA,NA,NA,NA,"Bergamot, Black pepper, Orange, Pink pepper, Tangerine","Lavender, Neroli","Amber, Cedarwood, Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/New_Brand/extasia-black
NA,Extasia,Corine de Farme,1998,NA,NA,NA,NA,"Blackcurrant, Coriander, Mandarin orange, Rose, Noxiousness","Grapefruit, Green rose, Pear, Violet, Offense","Cedar, Musk, Patchouli, Vetiver, Gorptik",NA,https://www.parfumo.com/Perfumes/Corine_de_Farme/Extasia
NA,Extasia for Men,New Brand,NA,NA,NA,NA,NA,"Galbanum, Grapefruit, Lemon, Orange",Jasmine,"Musk, Patchouli, Vanilla",NA,https://www.parfumo.com/Perfumes/New_Brand/extasia-for-men
NA,Extasia for Women,New Brand,NA,NA,NA,NA,NA,"Apple, Bergamot","Cardamom, Sandalwood","Dry woods, Musk",NA,https://www.parfumo.com/Perfumes/New_Brand/extasia-for-women
NA,Extatic Balmain 2014 Eau de Parfum,Balmain,2014,Eau de Parfum,7,149,"Sweet, Floral, Fruity, Woody, Powdery","Nashi pear, Osmanthus, Rose","Jasmine, Sharry baby orchid, Iris","Cashmere wood, Amyris, Leather",Emilie Bevierre-Coppermann,https://www.parfumo.com/Perfumes/Balmain/Extatic_Eau_de_Parfum
NA,Extatic Balmain 2014 Eau de Toilette,Balmain,2014,Eau de Toilette,6.3,66,"Floral, Fruity, Fresh, Sweet, Synthetic","Lychee, Blackcurrant, Green mandarin orange","Turkish rose, Jasmine, Magnolia","Ambroxan, Musk, Cedar","Emilie Bevierre-Coppermann, Sonia Constant",https://www.parfumo.com/Perfumes/Balmain/Extatic_Eau_de_Toilette
NA,Extatic Gold Musk,Balmain,2016,NA,7.2,38,"Floral, Powdery, Sweet, Creamy, Synthetic","Aldehydes, Bergamot","Tiaré, Cashmeran","Musk, Sandalwood",Sonia Constant,https://www.parfumo.com/Perfumes/Balmain/Extatic_Gold_Musk
NA,Extatic Intense Gold,Balmain,2014,NA,7.9,44,"Oriental, Floral, Sweet, Spicy, Powdery",NA,NA,NA,Emilie Bevierre-Coppermann,https://www.parfumo.com/Perfumes/Balmain/Extatic_Intense_Gold
NA,Extatic Tiger Orchid,Balmain,2016,NA,7.8,43,"Floral, Sweet, Creamy, Oriental, Woody","Floral notes, Ginger flower, Pink pepper","Night-blooming jasmine, Tiger orchid, Ylang-ylang","Cashmere wood, Benzoin, Patchouli",NA,https://www.parfumo.com/Perfumes/Balmain/Extatic_Tiger_Orchid
NA,Exterieur Nuit,ID Parfums,NA,NA,8.3,4,"Floral, Spicy, Woody, Leathery, Green","Coriander, Pepper","Cinnamon, Floral notes, Neroli, White musk","Coumarin, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/ID_Parfums/Exterieur_Nuit
NA,Extory Cobalt,Hunca,NA,NA,NA,NA,NA,Fougère notes,Lemon,"Cedar, Musk",NA,https://www.parfumo.com/Perfumes/Hunca/Extory_Cobalt
NA,Extra Concentrated Essence Mylissa,Vinolia / Blondeau et Cie.,1899,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/vinolia/Extra_Concentrated_Essence_Mylissa
NA,Extra Pur,Kerzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Kerzon/Extra_Pur
NA,Extra Violette,Violet / Veolay,1880,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Violet/Extra_Violette
NA,Extrême Game,Manzana,NA,NA,NA,NA,NA,"Citrus fruits, Orange","Orange blossom, Orange tree wood","Amber, Oakmoss, Woody notes",NA,https://www.parfumo.com/Perfumes/Manzana/Extrme_Game
NA,Extrême Orient,Coty,NA,NA,NA,NA,"Spicy, Powdery, Oriental, Floral, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Coty/Extrme_Orient
NA,Extract of Jamaican Vetiver Khus Khus,Crabtree & Evelyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crabtree__Evelyn/extract-of-jamaican-vetiver-khus-khus
NA,Extract of Limes,Penhaligon's,2009,NA,7.3,33,"Citrus, Fresh, Green, Spicy, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Penhaligons/Extract_of_Limes
NA,Extract of Mysore Sandalwood,Crabtree & Evelyn,1970,NA,8,8,"Powdery, Woody, Earthy, Smoky",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crabtree__Evelyn/Extract_of_Mysore_Sandalwood
NA,Extract of West Indian and Sicilian Limes,Crabtree & Evelyn,NA,NA,NA,NA,"Fresh, Citrus, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crabtree__Evelyn/extract-of-west-indian-and-sicilian-limes-extrait-de-citron-vert-des-caraibes-et-de-sicile
NA,Extracto Juper 8008,Juper,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/juper/Extracto_Juper_8008
NA,Extracts - Fruity Strawberry,Boots,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Boots/Extracts_Fruity_Strawberry
NA,Extracts - Juicy Mango,Boots,NA,NA,NA,NA,NA,"Apple, Mandarin orange, Orange, Noxiousness","Jasmine, Magnolia, Orange blossom, Grease","Musk, Sandalwood, Vanilla, Spoil",NA,https://www.parfumo.com/Perfumes/Boots/Extracts_Juicy_Mango
NA,Extracts - Luscious Vanilla,Boots,2002,NA,6.9,77,"Floral, Animal, Leathery, Spicy, Sweet","Davana, Peach, Bergamot","Tuberose, Leather, Ylang-ylang","Castoreum, Nagarmotha, Oakmoss",Anatole Lebreton,https://www.parfumo.com/Perfumes/Boots/Extracts_Luscious_Vanilla
NA,Extracts - Zingy Satsuma,Boots,2007,NA,NA,NA,NA,"Mandarin orange, Acid","Peach blossom, Pungidity",Musk,NA,https://www.parfumo.com/Perfumes/Boots/Extracts__Zingy_Satsuma
NA,Extrait Anthéa,Roger & Gallet,1892,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Roger__Gallet/Extrait_Anthea
NA,Extrait Concentré,Vibert Frères,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Vibert_Freres/Extrait_Concentre
NA,Extrait d'Annick,Goutal,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/goutal/extrait-d-annick
NA,Extrait de Cedrat,Antonio Visconti,2008,NA,NA,NA,NA,"Eau de Cologne mint, Galbanum, Grapefruit, Strawberry leaf","Honeysuckle, Jasminum grandiflorum, Pea, Rose","Ambrette seed, Balsam fir, Haitian vetiver, Peat, Tonka bean absolute, White musk, Clorpt","Erica Vinskie Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Antonio_Visconti/Extrait_de_Cedrat
NA,Extrait de Violette de Parme,Roger & Gallet,1880,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Roger__Gallet/Extrait_de_Violette_de_Parme
NA,Extrait d'Eau de Cologne Triple,Jünger & Gebhardt / Patrizier Haus Köln,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/juenger-gebhardt/Extrait_d_Eau_de_Cologne_Triple
NA,Extrait Double - Eau de Cologne France,Molinard,NA,NA,NA,NA,NA,"Bergamot, Grapefruit, Rancidness","Ginger, Mandarin orange","White musk, Woody notes, Malodor",NA,https://www.parfumo.com/Perfumes/Molinard/Extrait_Double_Eau_de_Cologne_France
NA,Extrait Double - Eau de Cologne Vetiver,Molinard,1984,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Molinard/Extrait_Double_Eau_de_Cologne_Vetiver
NA,Extrait Triple aux Violettes des Bois,Vibert Frères,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Vibert_Freres/Extrait_Triple_aux_Violettes_des_Bois
NA,Extrait Triple Wood Violet,Vinolia / Blondeau et Cie.,1894,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/vinolia/Extrait_Triple_Wood_Violet
NA,Extraordinaire Camelia 209,Krigler,2009,NA,8.4,36,"Floral, Spicy, Sweet, Fresh, Creamy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Krigler/Extraordinaire_Camelia_209
NA,Extraordinaire Camelia 209 Sissi Edition,Krigler,2023,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Krigler/extraordinaire-camelia-209-sissi-edition
NA,Extraordinarily High Maintenance (XHM),4160 Tuesdays,1971,NA,7.3,31,"Spicy, Oriental, Sweet, Resinous, Floral","Aldehydes, Bergamot, Fruity notes, Orange, Spices","Carnation, Cinnamon, Jasmine, Rose, Ylang-ylang","Benzoin, Amber, Frankincense, Moss, Musk, Patchouli, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/4160_Tuesdays/Extraordinarily_High_Maintenance_XHM
NA,Extraordinary,Avon,2005,NA,7.1,31,"Sweet, Oriental, Gourmand, Spicy, Woody","Grapefruit, Mandarin orange, Pepper, Raspberry","Dark chocolate, Lotus, Magnolia, Orchid, Ginger","Vanilla, Musk, Patchouli, Sandalwood",Harry Frémont,https://www.parfumo.com/Perfumes/Avon/Extraordinary
NA,Extraordinary for Man,Roccobarocco,NA,NA,7.4,9,"Spicy, Oriental, Sweet, Synthetic, Green","Grapefruit, Mandarin orange","Saffron, Mint","Vanilla, Patchouli",NA,https://www.parfumo.com/Perfumes/Roccobarocco/Extraordinary_for_Men
NA,Extraordinary for Woman,Roccobarocco,NA,NA,8.5,4,"Floral, Woody, Spicy, Fruity, Powdery","Neroli, Peach","Hyacinth, Jasmine, Tuberose","Amber, Oakmoss, Sandalwood",NA,https://www.parfumo.com/Perfumes/Roccobarocco/Extraordinary
NA,Extraordinary,Oscar de la Renta,2015,NA,8.1,4,"Floral, Sweet, Fresh, Fruity, Woody","Cherry blossom, Neroli, Passion flower","Frangipani, Peony, Rose","Amber, Oud, Vanilla orchid","Pascal Gaurin, Bruno Jovanovic, IFF (International Flavors & Fragrances)",https://www.parfumo.com/Perfumes/Oscar_de_la_Renta/Extraordinary
NA,Extraordinary Pétale,Oscar de la Renta,2016,NA,6.3,2,NA,"Bergamot, Champagne, Mandarin orange","Jasmine, Orange blossom, Rose","Amber, Musk, Vanilla orchid",NA,https://www.parfumo.com/Perfumes/Oscar_de_la_Renta/Extraordinary_Petale
NA,Extravagance d'Amarige,Givenchy,1998,NA,7.8,59,"Floral, Fresh, Green, Spicy, Citrus","Tagetes, Citrus blossom, Pink pepper, Pot marigold, Violet","Jasmine, Orange blossom water, Wisteria, Woodland strawberry","Cedarwood, Iris, Sandalwood",Michel Girard,https://www.parfumo.com/Perfumes/Givenchy/Extravagance_d_Amarige
NA,Extravagance d'Amarige,Givenchy,2007,NA,8,36,"Floral, Fresh, Citrus, Green, Spicy","Green mandarin orange, Tagetes","Jasmine, Orange blossom","Amber, Woody notes",NA,https://www.parfumo.com/Perfumes/Givenchy/Les_Parfums_Mythiques__Extravagance_d_Amarige
NA,Extravagance d'Amarige Vaporisateur Plume Feather Spray,Givenchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Givenchy/extravagance-d-amarige-vaporisateur-plume-feather-spray
NA,Extravagant,Unique / MyParfum,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Unique/Extravagant
NA,Extravaganza,M. Asam,NA,NA,NA,NA,NA,"Bergamot, Petitgrain, Quince","Jasmine, Orange blossom, Tuberose","Cashmere wood, Heliotrope, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/M__Asam/extravaganza
NA,Extra-Vieille - Eau de Cologne,Laboratoires Cadentia,NA,NA,NA,NA,NA,"Bergamot, Citrus notes, Lemon, Mandarin orange","Lavender, Thyme","Amyris, Orange",Marc Florens,https://www.parfumo.com/Perfumes/Laboratoires_Cadentia/ExtraVieille_Eau_de_Cologne
NA,Extra-Vieille - Lavande Lavender,Laboratoires Cadentia,NA,NA,NA,NA,NA,"Citrus notes, Lavender","Powdery notes, Tobacco","Musky notes, Woody notes",Marc Florens,https://www.parfumo.com/Perfumes/Laboratoires_Cadentia/ExtraVieille_Lavande_Lavender
NA,Extreme 12.0,Zara,1997,NA,NA,NA,NA,NA,NA,NA,"Fabienne Christenson Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Zara/extreme-12-0
NA,Extreme 14.0,Zara,NA,NA,6.5,11,"Sweet, Woody, Citrus, Fruity, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-14-0
NA,Extreme 5.0,Zara,NA,NA,6.3,12,"Fresh, Sweet, Synthetic, Leathery, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-5-0
NA,Extreme 6.0,Zara,NA,NA,7.3,30,"Sweet, Fruity, Woody, Synthetic, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-6-0
NA,Extreme 8.0,Zara,NA,NA,6.5,16,"Spicy, Green, Fresh, Synthetic, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-8-0
NA,Extreme 9.0,Zara,NA,NA,7.5,52,"Powdery, Sweet, Spicy, Floral, Creamy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-9-0
NA,Extreme Blue,Michael Kors,2015,NA,6.6,35,"Fresh, Spicy, Aquatic, Woody, Synthetic","Cardamom, Bergamot, Pink pepper, Angelica seed","Cypress, Juniper, Sage, Sesame","Musk, Ambrox, Cashmere wood, Patchouli",NA,https://www.parfumo.com/Perfumes/Michael_Kors/Extreme_Blue
NA,Extreme Cafè,Reghen's,NA,NA,6.8,5,NA,Damask rose,"Fruity notes, Rose","Ambergris, Coniferous woods, Musk",NA,https://www.parfumo.com/Perfumes/Reghens/Extreme_Cafe
NA,Extreme Fusion,Zara,2021,NA,7.5,6,"Citrus, Synthetic, Sweet, Spicy, Woody",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/extreme-fusion
NA,Extreme Journey,Michael Kors,2021,NA,7.2,5,"Leathery, Earthy, Spicy, Citrus",Pink pepper,"Atlas cedar, Patchouli",Leather,NA,https://www.parfumo.com/Perfumes/Michael_Kors/extreme-journey
NA,Extreme Leather,Montblanc,2024,NA,7.6,8,"Spicy, Powdery, Leathery, Floral, Synthetic",NA,NA,NA,Juliette Karagueuzoglou,https://www.parfumo.com/Perfumes/Montblanc/extreme-leather
NA,Extreme Men Paul Smith 2002 After Shave,Paul Smith,2002,After Shave,NA,NA,NA,"Bergamot, Cardamom","Frankincense, Geranium, Rosewood","Musk, Sandalwood, Tonka bean","Marie-Aude Couture Bluche, Olivier Pescheux",https://www.parfumo.com/Perfumes/Paul_Smith/Extreme_Men_After_Shave
NA,Extreme Men Paul Smith 2002 Eau de Toilette,Paul Smith,2002,Eau de Toilette,6.6,49,"Fresh, Woody, Spicy, Citrus, Synthetic","Bergamot, Cardamom","Frankincense, Geranium, Rosewood","Musk, Sandalwood, Tonka bean","Marie-Aude Couture Bluche, Olivier Pescheux",https://www.parfumo.com/Perfumes/Paul_Smith/Extreme_Men_Eau_de_Toilette
NA,Extreme Niche,SweDoft,2020,NA,7.3,9,"Fresh, Citrus, Woody, Spicy, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/swedoft/extreme-niche
NA,Extreme Night,Michael Kors,2017,NA,6.6,28,"Synthetic, Sweet, Woody, Fresh, Spicy","Nutmeg, Bergamot, Black pepper","Iris, Cypress, Sage","Tonka bean, Cedarwood, Musk, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/Michael_Kors/Extreme_Night
NA,Extreme Oud,Kilian,2011,NA,6.9,14,"Resinous, Oriental, Woody, Leathery, Smoky",NA,NA,NA,Calice Becker,https://www.parfumo.com/Perfumes/Kilian/Extreme_Oud
NA,Extreme Passion,Lorenzo Pazzaglia,NA,NA,7.7,35,"Sweet, Fruity, Floral, Citrus, Woody","Passion fruit, Pear, Citrus notes, Grape, Peach","Magnolia, Jasmine sambac, Lily of the valley","Sandalwood, White musk, Amber, Oakmoss, Bourbon vanilla",NA,https://www.parfumo.com/Perfumes/lorenzo-pazzaglia/extreme-passion
NA,Extreme,Police,NA,NA,NA,NA,NA,"Apple, Black pepper, Citrus notes, Mint, Pink pepper","Carrot seed, Geranium, Nutmeg, Provençal lavender, Woody notes","Amber, Musk, Patchouli, Vetiver, Virginia cedar",NA,https://www.parfumo.com/Perfumes/Police/extreme
NA,Extreme Polo Sport,Ralph Lauren,1998,NA,8.2,18,"Citrus, Spicy, Woody, Fresh, Green","Black pepper, Coriander, Italian bergamot, Juniper berry, Mint, Nutmeg, Rosewood","Gaiac wood, Cypress, Sage","Elemi resin, Sandalwood",NA,https://www.parfumo.com/Perfumes/Ralph_Lauren/Extreme_Polo_Sport
NA,Extreme Power Adidas After Shave,Adidas,NA,After Shave,NA,NA,NA,Lemon,"Coffee, Geranium","Patchouli, Sandalwood, Tonka bean",NA,https://www.parfumo.com/Perfumes/Adidas/Extreme_Power_After_Shave
NA,Extreme Power Adidas Eau de Toilette,Adidas,NA,Eau de Toilette,6.2,3,"Fresh, Citrus, Sweet, Oriental, Floral",Lemon,"Coffee, Geranium","Patchouli, Sandalwood, Tonka bean",NA,https://www.parfumo.com/Perfumes/Adidas/Extreme_Power_Eau_de_Toilette
NA,Extreme Power Special Edition Adidas 2012 After-Shave Lotion,Adidas,2012,After-Shave Lotion,NA,NA,NA,"Bergamot, Galbanum, Lemon","Coffee, Geranium, Granny Smith apple","Patchouli, Sandalwood, Tonka bean, White cedarwood",NA,https://www.parfumo.com/Perfumes/Adidas/Extreme_Power_Special_Edition_After_Shave_Lotion
NA,Extreme Power Special Edition Adidas 2012 Eau de Toilette,Adidas,2012,Eau de Toilette,4.8,13,"Spicy, Synthetic, Citrus, Fresh, Woody","Bergamot, Galbanum, Lemon","Coffee, Geranium, Granny Smith apple","Patchouli, Sandalwood, Tonka bean, White cedarwood",NA,https://www.parfumo.com/Perfumes/Adidas/Extreme_Power_Special_Edition_Eau_de_Toilette
NA,Extreme Rush,Michael Kors,2019,NA,7.5,14,"Citrus, Green, Spicy, Woody, Fruity","Blood orange, Bergamot, Juniper","Red thyme, Sage, Nutmeg","Musk, Oakmoss, Patchouli",NA,https://www.parfumo.com/Perfumes/Michael_Kors/Extreme_Rush
NA,Extreme,Skinn by Titan,2013,NA,NA,NA,NA,Lemon,Cedarwood,Patchouli,Michel Girard,https://www.parfumo.com/Perfumes/Skinn_by_Titan/Extreme
NA,Extreme Sky,Michael Kors,2019,NA,6.3,4,"Woody, Fresh, Spicy, Aquatic, Synthetic","Cypress, Bergamot, Pink pepper, Spices","Ozonic notes, Cedarwood, Juniper","Clearwood™, Musk, Vetiver",NA,https://www.parfumo.com/Perfumes/Michael_Kors/extreme-sky
NA,Extreme Speed,Michael Kors,2018,NA,7.7,19,"Spicy, Woody, Synthetic, Sweet, Powdery","Cardamom, Sage, Cypress","Violet wood, Cinnamon, Coriander","Cedarwood, Patchouli, Tolu balm",NA,https://www.parfumo.com/Perfumes/Michael_Kors/Extreme_Speed
NA,Extreme Sport Paul Smith 2014 Aftershave,Paul Smith,2014,Aftershave,NA,NA,NA,"Bergamot, Nana mint, Orange","Egyptian geranium, Lavender, Madagascar pepper","Cedarwood, Frankincense, Tonka bean",NA,https://www.parfumo.com/Perfumes/Paul_Smith/Extreme_Sport_Aftershave
NA,Extreme Sport Paul Smith 2014 Eau de Toilette,Paul Smith,2014,Eau de Toilette,4.4,4,"Aquatic, Synthetic, Fresh, Smoky, Citrus","Bergamot, Nana mint, Orange","Egyptian geranium, Lavender, Madagascar pepper","Cedarwood, Frankincense, Tonka bean",NA,https://www.parfumo.com/Perfumes/Paul_Smith/Extreme_Sport_Eau_de_Toilette
NA,Extreme Tom Ford 2007 Eau de Toilette,Tom Ford,2007,Eau de Toilette,7.7,234,"Spicy, Woody, Leathery, Smoky, Oriental","Cinnamon, Basil, Cardamom, Cistus, Coriander, Lemon, Chamomile","Plum, Sandalwood, Cedarwood, Violet, Fig, Saffron, Thyme","Patchouli, Truffle, Balsam fir, Frankincense, Leather, Vanilla, Vetiver, Caramel, Rum","Pierre Negrin, Claude Dir",https://www.parfumo.com/Perfumes/Tom_Ford/Extreme_Eau_de_Toilette
NA,Extreme Tom Ford After Shave,Tom Ford,NA,After Shave,NA,NA,NA,"Cinnamon, Basil, Cardamom, Cistus, Coriander, Lemon, Chamomile","Plum, Sandalwood, Cedarwood, Violet, Fig, Saffron, Thyme","Patchouli, Truffle, Balsam fir, Frankincense, Leather, Vanilla, Vetiver, Caramel, Rum","Pierre Negrin, Claude Dir",https://www.parfumo.com/Perfumes/Tom_Ford/Extreme_After_Shave
NA,Extreme Warrior,Armaf,NA,NA,NA,NA,NA,"Apple, Basil, Bergamot, Lavender, Lemon, Orange, Cabbage","Coriander, Geranium, Jasmine, Juniper, Lily","Amber, Moss, Musk, Rosewood, Sandalwood, Vetiver, Rotten Egg",NA,https://www.parfumo.com/Perfumes/Armaf/Extreme_Warrior
NA,Extreme Women,Paul Smith,2002,NA,7.3,15,"Woody, Floral, Sweet, Powdery, Spicy","Blackcurrant, Freesia, Mandarin orange","Heliotrope, Sweet acacia","Amber, Cedarwood, Musk",Antoine Maisondieu,https://www.parfumo.com/Perfumes/Paul_Smith/Extreme_Women
NA,Exuberia,Berdoues,1998,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Berdoues/Exuberia
NA,Exult Naomi Campbell 2001 Eau de Toilette,Naomi Campbell,2001,Eau de Toilette,6.2,27,"Fruity, Floral, Sweet, Oriental, Fresh","Pink pepper, Mandarin orange","Freesia, Magnolia, Jasmine, Peach","Benzoin, Musk, Sandalwood, Tonka bean, Vanilla, Vetiver",Ursula Wandel,https://www.parfumo.com/Perfumes/Naomi_Campbell/exult-eau-de-toilette
NA,Exult Naomi Campbell 2001 Parfum,Naomi Campbell,2001,Parfum,NA,NA,NA,"Pink pepper, Mandarin orange","Freesia, Magnolia, Jasmine, Peach","Benzoin, Musk, Sandalwood, Tonka bean, Vanilla, Vetiver",Ursula Wandel,https://www.parfumo.com/Perfumes/Naomi_Campbell/exult-parfum
NA,Exultat,Maria Candida Gentile,2009,NA,7.6,111,"Woody, Floral, Smoky, Spicy, Powdery","Somalian frankincense, Brazilian bitter orange, Brazilian lime, Sicilian orange","Violet, Violet leaf","Haitian vetiver, Precious woods, Texas cedar",Maria Candida Gentile,https://www.parfumo.com/Perfumes/Maria_Candida_Gentile/Exultat
NA,Eyüp Sultan,Eyüp Sabri Tuncer,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Eyuep_Sabri_Tuncer/Eyuep_Sultan
NA,Eyad,Eminence Parfums,NA,NA,NA,NA,NA,"Orange, Raspberry, Mud","Jasmine, Orange blossom, White blossoms","Amber, Patchouli, Vanilla, Nastiness",NA,https://www.parfumo.com/Perfumes/Eminence_Parfums/eyad
NA,Eye of Seven Hills,Alghabra,1987,NA,6.4,12,"Floral, Fruity, Fresh, Sweet, Citrus",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Alghabra/eye-of-seven-hills
NA,Eye of the Hurricane The Captain’s Quarters - Eye of the Hurricane,Violette Market,2008,NA,NA,NA,NA,NA,NA,NA,"Lori Cochran Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Violette_Market/eye-of-the-hurricane-the-captain-s-quarters-eye-of-the-hurricane
NA,Eyes Closed,Byredo,2022,NA,7.1,137,"Spicy, Powdery, Sweet, Gourmand, Woody","Cinnamon, Cardamom","Carrot, Orris butter, Ginger","Papyrus, Patchouli",Jérôme Epinette,https://www.parfumo.com/Perfumes/Byredo/eyes-closed
NA,Eyes Feminine,Police,2004,NA,NA,NA,NA,"Bergamot, Blackcurrant, Orange, Pineapple, Pink pepper","Iris, Jasmine, Lily of the valley, Melon","Amber, Cedar, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Police/Eyes_Feminine
NA,Eyes For You,Police,2005,NA,NA,NA,NA,"Blackcurrant, Mandarin orange, Star anise","Lime blossom, Magnolia","Amber, Hibiscus, Sandalwood, White musk",NA,https://www.parfumo.com/Perfumes/Police/Eyes_for_You
NA,Eyes on Me,Playboy,2021,NA,NA,NA,"Synthetic, Gourmand, Fruity, Fresh, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Playboy/eyes-on-me
NA,Eyrignac Parterre Gardens 2016 Solid Perfume,Parterre Gardens,2016,Solid Perfume,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/parterre-gardens/eyrignac-solid-perfume
NA,Eyrignac Parterre Gardens Perfume Oil,Parterre Gardens,NA,Perfume Oil,NA,NA,NA,NA,NA,NA,Jacob Van Patten,https://www.parfumo.com/Perfumes/parterre-gardens/eyrignac-perfume-oil
NA,Eze,Velvet & Sweet Pea's Purrfumery,2016,NA,NA,NA,NA,"Lemon, Lime","Geranium, Indian rose, Jasmine, Lavender, Lemon myrtle","Frankincense, Labdanum, Sandalwood, Vanilla",Laurie Stern,https://www.parfumo.com/Perfumes/Velvet__Sweet_Pea39s_Purrfumery/Eze
NA,Ezra,Abercrombie & Fitch,2006,NA,10,2,"Floral, Fresh, Fruity","Bergamot, Blackcurrant, Green apple, Pimento","Freesia, Iris, Jasmine, Magnolia, May rose, Peony","Cashmere wood, Musk",NA,https://www.parfumo.com/Perfumes/Abercrombie_Fitch/Ezra
NA,Ezra Fitch,Abercrombie & Fitch,2006,NA,5,2,"Earthy, Woody, Leathery, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Abercrombie_Fitch/Ezra_Fitch
NA,F by Ferragamo pour Homme Black Salvatore Ferragamo 2007 After Shave Lotion,Salvatore Ferragamo,2007,After Shave Lotion,7.8,64,"Earthy, Spicy, Leathery, Woody, Sweet",NA,NA,NA,Miguel Matos,https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/F_by_Ferragamo_pour_Homme_Black_After_Shave_Lotion
NA,F by Ferragamo pour Homme Black Salvatore Ferragamo 2009 Eau de Toilette,Salvatore Ferragamo,2009,Eau de Toilette,7.4,890,"Spicy, Sweet, Fresh, Synthetic, Fruity","Lavender, Apple","Black pepper, Lavender absolute, Coriander seed","Tonka bean, Labdanum",Olivier Polge,https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/F_by_Ferragamo_pour_Homme_Black_Eau_de_Toilette
