id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
474,porygon-z,474,0.9,34,241,normal,NA,85,80,70,135,75,90,#A8A878,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/28/474MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/474.png
475,gallade,475,1.6,52,233,psychic,fighting,68,125,65,65,115,80,#F85888,#C03028,#EA4E70,indeterminate,NA,//archives.bulbagarden.net/media/upload/a/a8/475MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/475.png
476,probopass,476,1.4,340,184,rock,steel,60,55,145,75,150,40,#B8A038,#B8B8D0,#B8A55C,mineral,NA,//archives.bulbagarden.net/media/upload/1/17/476MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/476.png
477,dusknoir,477,2.2,106.6,236,ghost,NA,45,100,135,65,135,45,#705898,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/e/ef/477MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/477.png
478,froslass,478,1.3,26.6,168,ice,ghost,70,80,70,80,70,110,#98D8D8,#705898,#8EB8C8,fairy,mineral,//archives.bulbagarden.net/media/upload/e/ec/478MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/478.png
479,rotom,479,0.3,0.3,154,electric,ghost,50,50,77,95,77,91,#F8D030,#705898,#D7B249,indeterminate,NA,//archives.bulbagarden.net/media/upload/6/62/479MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/479.png
480,uxie,480,0.3,0.3,261,psychic,NA,75,75,130,75,130,95,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/5/5c/480MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/480.png
481,mesprit,481,0.3,0.3,261,psychic,NA,80,105,105,105,105,80,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/4/45/481MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/481.png
482,azelf,482,0.3,0.3,261,psychic,NA,75,125,70,125,70,115,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/22/482MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/482.png
483,dialga,483,5.4,683,306,steel,dragon,100,120,120,150,100,90,#B8B8D0,#7038F8,#A698D9,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/37/483MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/483.png
484,palkia,484,4.2,336,306,water,dragon,90,120,100,150,120,100,#6890F0,#7038F8,#697AF1,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/27/484MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/484.png
485,heatran,485,1.7,430,270,fire,steel,91,90,106,130,106,77,#F08030,#B8B8D0,#E28D56,no-eggs,NA,//archives.bulbagarden.net/media/upload/9/9e/485MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/485.png
486,regigigas,486,3.7,420,302,normal,NA,110,160,110,80,110,100,#A8A878,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/3d/486MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/486.png
487,giratina-altered,487,4.5,750,306,ghost,dragon,150,100,120,100,120,90,#705898,#7038F8,#7050AF,no-eggs,NA,//archives.bulbagarden.net/media/upload/1/18/487MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/487.png
488,cresselia,488,1.5,85.6,270,psychic,NA,120,70,120,75,130,85,#F85888,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/c/c3/488MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/488.png
489,phione,489,0.4,3.1,216,water,NA,80,80,80,80,80,80,#6890F0,NA,NA,water1,fairy,//archives.bulbagarden.net/media/upload/6/6e/489MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/489.png
490,manaphy,490,0.3,1.4,270,water,NA,100,100,100,100,100,100,#6890F0,NA,NA,water1,fairy,//archives.bulbagarden.net/media/upload/c/c2/490MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/490.png
491,darkrai,491,1.5,50.5,270,dark,NA,70,90,90,135,90,125,#705848,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/d/d4/491MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/491.png
492,shaymin-land,492,0.2,2.1,270,grass,NA,100,100,100,100,100,100,#78C850,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/2b/492MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/492.png
493,arceus,493,3.2,320,324,normal,NA,120,120,120,120,120,120,#A8A878,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/0/04/493MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/493.png
494,victini,494,0.4,4,270,psychic,fire,100,100,100,100,100,100,#F85888,#F08030,#F66172,no-eggs,NA,//archives.bulbagarden.net/media/upload/b/b9/494MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/494.png
495,snivy,495,0.6,8.1,62,grass,NA,45,45,55,45,55,63,#78C850,NA,NA,ground,plant,//archives.bulbagarden.net/media/upload/0/07/495MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/495.png
496,servine,496,0.8,16,145,grass,NA,60,60,75,60,75,83,#78C850,NA,NA,ground,plant,//archives.bulbagarden.net/media/upload/6/6d/496MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/496.png
497,serperior,497,3.3,63,238,grass,NA,75,75,95,75,95,113,#78C850,NA,NA,ground,plant,//archives.bulbagarden.net/media/upload/1/1c/497MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/497.png
498,tepig,498,0.5,9.9,62,fire,NA,65,63,45,45,45,45,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/74/498MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/498.png
499,pignite,499,1,55.5,146,fire,fighting,90,93,55,70,55,55,#F08030,#C03028,#E46C2E,ground,NA,//archives.bulbagarden.net/media/upload/a/ad/499MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/499.png
500,emboar,500,1.6,150,238,fire,fighting,110,123,65,100,65,65,#F08030,#C03028,#E46C2E,ground,NA,//archives.bulbagarden.net/media/upload/a/ae/500MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/500.png
501,oshawott,501,0.5,5.9,62,water,NA,55,55,45,63,45,45,#6890F0,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/b/bb/501MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/501.png
502,dewott,502,0.8,24.5,145,water,NA,75,75,60,83,60,60,#6890F0,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/f/f1/502MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/502.png
503,samurott,503,1.5,94.6,238,water,NA,95,100,85,108,70,70,#6890F0,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/73/503MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/503.png
504,patrat,504,0.5,11.6,51,normal,NA,45,55,39,35,39,42,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/e/e2/504MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/504.png
505,watchog,505,1.1,27,147,normal,NA,60,85,69,60,69,77,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/e/e3/505MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/505.png
506,lillipup,506,0.4,4.1,55,normal,NA,45,60,45,25,45,55,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/62/506MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/506.png
507,herdier,507,0.9,14.7,130,normal,NA,65,80,65,35,65,60,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/e/e6/507MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/507.png
508,stoutland,508,1.2,61,225,normal,NA,85,110,90,45,90,80,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/74/508MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/508.png
509,purrloin,509,0.4,10.1,56,dark,NA,41,50,37,50,37,66,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/4f/509MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/509.png
510,liepard,510,1.1,37.5,156,dark,NA,64,88,50,88,50,106,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/68/510MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/510.png
511,pansage,511,0.6,10.5,63,grass,NA,50,53,48,53,48,64,#78C850,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/1/11/511MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/511.png
512,simisage,512,1.1,30.5,174,grass,NA,75,98,63,98,63,101,#78C850,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/0/07/512MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/512.png
513,pansear,513,0.6,11,63,fire,NA,50,53,48,53,48,64,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/f/f0/513MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/513.png
514,simisear,514,1,28,174,fire,NA,75,98,63,98,63,101,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/5/5b/514MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/514.png
515,panpour,515,0.6,13.5,63,water,NA,50,53,48,53,48,64,#6890F0,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/c/c8/515MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/515.png
516,simipour,516,1,29,174,water,NA,75,98,63,98,63,101,#6890F0,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/2/29/516MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/516.png
517,munna,517,0.6,23.3,58,psychic,NA,76,25,45,67,55,24,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/0/0a/517MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/517.png
518,musharna,518,1.1,60.5,170,psychic,NA,116,55,85,107,95,29,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/43/518MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/518.png
519,pidove,519,0.3,2.1,53,normal,flying,50,55,50,36,30,43,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/3/3b/519MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/519.png
520,tranquill,520,0.6,15,125,normal,flying,62,77,62,50,42,65,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/5/5d/520MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/520.png
521,unfezant,521,1.2,29,220,normal,flying,80,115,80,65,55,93,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/e/e5/521MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/521.png
522,blitzle,522,0.8,29.8,59,electric,NA,45,60,32,50,32,76,#F8D030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/6d/522MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/522.png
523,zebstrika,523,1.6,79.5,174,electric,NA,75,100,63,80,63,116,#F8D030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/9/98/523MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/523.png
524,roggenrola,524,0.4,18,56,rock,NA,55,75,85,25,25,15,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/20/524MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/524.png
525,boldore,525,0.9,102,137,rock,NA,70,105,105,50,40,20,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/0/09/525MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/525.png
526,gigalith,526,1.7,260,232,rock,NA,85,135,130,60,80,25,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/3/3b/526MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/526.png
527,woobat,527,0.4,2.1,65,psychic,flying,65,45,43,55,43,72,#F85888,#A890F0,#E465A1,flying,ground,//archives.bulbagarden.net/media/upload/2/2c/527MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/527.png
528,swoobat,528,0.9,10.5,149,psychic,flying,67,57,55,77,55,114,#F85888,#A890F0,#E465A1,flying,ground,//archives.bulbagarden.net/media/upload/d/d5/528MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/528.png
529,drilbur,529,0.3,8.5,66,ground,NA,60,85,40,30,45,68,#E0C068,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/0/0e/529MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/529.png
530,excadrill,530,0.7,40.4,178,ground,steel,110,135,60,50,65,88,#E0C068,#B8B8D0,#D6BE81,ground,NA,//archives.bulbagarden.net/media/upload/7/78/530MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/530.png
531,audino,531,1.1,31,390,normal,NA,103,60,86,60,86,50,#A8A878,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/3/34/531MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/531.png
532,timburr,532,0.6,12.5,61,fighting,NA,75,80,55,25,35,35,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/1/19/532MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/532.png
533,gurdurr,533,1.2,40,142,fighting,NA,85,105,85,40,50,40,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/9/92/533MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/533.png
534,conkeldurr,534,1.4,87,227,fighting,NA,105,140,95,55,65,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/6/6d/534MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/534.png
535,tympole,535,0.5,4.5,59,water,NA,50,50,40,50,40,64,#6890F0,NA,NA,water1,NA,//archives.bulbagarden.net/media/upload/1/1e/535MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/535.png
536,palpitoad,536,0.8,17,134,water,ground,75,65,55,65,55,69,#6890F0,#E0C068,#859BCF,water1,NA,//archives.bulbagarden.net/media/upload/f/f0/536MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/536.png
537,seismitoad,537,1.5,62,229,water,ground,105,95,75,85,75,74,#6890F0,#E0C068,#859BCF,water1,NA,//archives.bulbagarden.net/media/upload/d/dc/537MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/537.png
538,throh,538,1.3,55.5,163,fighting,NA,120,100,85,30,85,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/8/8a/538MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/538.png
539,sawk,539,1.4,51,163,fighting,NA,75,125,75,30,75,85,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/0/03/539MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/539.png
540,sewaddle,540,0.3,2.5,62,bug,grass,45,53,70,40,60,42,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/e/e2/540MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/540.png
541,swadloon,541,0.5,7.3,133,bug,grass,55,63,90,50,80,42,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/e/e1/541MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/541.png
542,leavanny,542,1.2,20.5,225,bug,grass,75,103,80,70,80,92,#A8B820,#78C850,#9CBB2B,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/542MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/542.png
543,venipede,543,0.4,5.3,52,bug,poison,30,45,59,30,39,57,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/2/20/543MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/543.png
544,whirlipede,544,1.2,58.5,126,bug,poison,40,55,99,40,79,47,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/0/01/544MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/544.png
545,scolipede,545,2.5,200.5,218,bug,poison,60,100,89,55,69,112,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/6/68/545MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/545.png
546,cottonee,546,0.3,0.6,56,grass,fairy,40,27,60,37,50,66,#78C850,#EE99AC,#94BC66,fairy,plant,//archives.bulbagarden.net/media/upload/8/87/546MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/546.png
547,whimsicott,547,0.7,6.6,168,grass,fairy,60,67,85,77,75,116,#78C850,#EE99AC,#94BC66,fairy,plant,//archives.bulbagarden.net/media/upload/e/ed/547MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/547.png
548,petilil,548,0.5,6.6,56,grass,NA,45,35,50,70,50,30,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/c/cb/548MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/548.png
549,lilligant,549,1.1,16.3,168,grass,NA,70,60,75,110,75,90,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/5/59/549MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/549.png
550,basculin-red-striped,550,1,18,161,water,NA,70,92,65,80,55,98,#6890F0,NA,NA,water2,NA,//archives.bulbagarden.net/media/upload/2/20/550MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/550.png
551,sandile,551,0.7,15.2,58,ground,dark,50,72,35,35,35,65,#E0C068,#705848,#C4A660,ground,NA,//archives.bulbagarden.net/media/upload/2/21/551MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/551.png
552,krokorok,552,1,33.4,123,ground,dark,60,82,45,45,45,74,#E0C068,#705848,#C4A660,ground,NA,//archives.bulbagarden.net/media/upload/9/9c/552MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/552.png
553,krookodile,553,1.5,96.3,234,ground,dark,95,117,80,65,70,92,#E0C068,#705848,#C4A660,ground,NA,//archives.bulbagarden.net/media/upload/f/fb/553MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/553.png
554,darumaka,554,0.6,37.5,63,fire,NA,70,90,45,15,45,50,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/c/c7/554MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/554.png
555,darmanitan-standard,555,1.3,92.9,168,fire,NA,105,140,55,30,55,95,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/f/f3/555MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/555.png
556,maractus,556,1,28,161,grass,NA,75,86,67,106,67,60,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/2/22/556MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/556.png
557,dwebble,557,0.3,14.5,65,bug,rock,50,65,85,35,35,55,#A8B820,#B8A038,#ABB225,bug,mineral,//archives.bulbagarden.net/media/upload/b/b3/557MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/557.png
558,crustle,558,1.4,200,170,bug,rock,70,105,125,65,75,45,#A8B820,#B8A038,#ABB225,bug,mineral,//archives.bulbagarden.net/media/upload/4/4b/558MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/558.png
559,scraggy,559,0.6,11.8,70,dark,fighting,50,75,70,35,70,48,#705848,#C03028,#834E40,ground,dragon,//archives.bulbagarden.net/media/upload/2/2f/559MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/559.png
560,scrafty,560,1.1,30,171,dark,fighting,65,90,115,45,115,58,#705848,#C03028,#834E40,ground,dragon,//archives.bulbagarden.net/media/upload/e/ea/560MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/560.png
561,sigilyph,561,1.4,14,172,psychic,flying,72,58,80,103,80,97,#F85888,#A890F0,#E465A1,flying,NA,//archives.bulbagarden.net/media/upload/1/1c/561MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/561.png
562,yamask,562,0.5,1.5,61,ghost,NA,38,30,85,55,65,30,#705898,NA,NA,mineral,indeterminate,//archives.bulbagarden.net/media/upload/b/b1/562MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/562.png
563,cofagrigus,563,1.7,76.5,169,ghost,NA,58,50,145,95,105,30,#705898,NA,NA,mineral,indeterminate,//archives.bulbagarden.net/media/upload/1/1b/563MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/563.png
564,tirtouga,564,0.7,16.5,71,water,rock,54,78,103,53,45,22,#6890F0,#B8A038,#7B93C3,water1,water3,//archives.bulbagarden.net/media/upload/d/de/564MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/564.png
565,carracosta,565,1.2,81,173,water,rock,74,108,133,83,65,32,#6890F0,#B8A038,#7B93C3,water1,water3,//archives.bulbagarden.net/media/upload/1/14/565MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/565.png
566,archen,566,0.5,9.5,71,rock,flying,55,112,45,74,45,70,#B8A038,#A890F0,#B49C64,flying,water3,//archives.bulbagarden.net/media/upload/3/3b/566MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/566.png
567,archeops,567,1.4,32,177,rock,flying,75,140,65,112,65,110,#B8A038,#A890F0,#B49C64,flying,water3,//archives.bulbagarden.net/media/upload/f/fb/567MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/567.png
568,trubbish,568,0.6,31,66,poison,NA,50,50,62,40,62,65,#A040A0,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/2c/568MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/568.png
569,garbodor,569,1.9,107.3,166,poison,NA,80,95,82,60,82,75,#A040A0,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/2e/569MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/569.png
570,zorua,570,0.7,12.5,66,dark,NA,40,65,40,80,40,65,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/6e/570MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/570.png
571,zoroark,571,1.6,81.1,179,dark,NA,60,105,60,120,60,105,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/5/53/571MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/571.png
572,minccino,572,0.4,5.8,60,normal,NA,55,50,40,40,40,75,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/4a/572MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/572.png
573,cinccino,573,0.5,7.5,165,normal,NA,75,95,60,65,60,115,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/d/db/573MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/573.png
574,gothita,574,0.4,5.8,58,psychic,NA,45,30,50,55,65,45,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/7/78/574MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/574.png
575,gothorita,575,0.7,18,137,psychic,NA,60,45,70,75,85,55,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/9/9a/575MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/575.png
576,gothitelle,576,1.5,44,221,psychic,NA,70,55,95,95,110,65,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/a/a5/576MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/576.png
577,solosis,577,0.3,1,58,psychic,NA,45,30,40,105,50,20,#F85888,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/f/f7/577MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/577.png
578,duosion,578,0.6,8,130,psychic,NA,65,40,50,125,60,30,#F85888,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/9/9b/578MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/578.png
579,reuniclus,579,1,20.1,221,psychic,NA,110,65,75,125,85,30,#F85888,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/8/89/579MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/579.png
580,ducklett,580,0.5,5.5,61,water,flying,62,44,50,44,50,55,#6890F0,#A890F0,#7790F0,water1,flying,//archives.bulbagarden.net/media/upload/6/6b/580MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/580.png
581,swanna,581,1.3,24.2,166,water,flying,75,87,63,87,63,98,#6890F0,#A890F0,#7790F0,water1,flying,//archives.bulbagarden.net/media/upload/8/82/581MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/581.png
582,vanillite,582,0.4,5.7,61,ice,NA,36,50,50,65,60,44,#98D8D8,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/e/ef/582MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/582.png
583,vanillish,583,1.1,41,138,ice,NA,51,65,65,80,75,59,#98D8D8,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/2e/583MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/583.png
