binomial_name,country,continent,group,year_last_seen,threat_AA,threat_BRU,threat_RCD,threat_ISGD,threat_EPM,threat_CC,threat_HID,threat_P,threat_TS,threat_NSM,threat_GE,threat_NA,action_LWP,action_SM,action_LP,action_RM,action_EA,action_NA,red_list_category
Ochrosia fatuhivensis,French Polynesia,Oceania,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Ochrosia tahitensis,French Polynesia,Oceania,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Oeceoclades seychellarum,Seychelles,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Oldenlandia adscensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1980-1999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Onosma griersonii,Bhutan,Asia,Flowering Plant,1980-1999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Ormosia howii,China,Asia,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Ornithogalum visianicum,Croatia,Europe,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Orthosiphon scedastophyllus,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Orthosiphon schliebenii,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Otophora unilocularis,China,Asia,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Panicum pearsonii,Namibia,Africa,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Pausinystalia brachythyrsum,Cameroon,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Pentagonia orthoneura,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Peperomia dauleana,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Peperomia petraea,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Peponidium ihosyense,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Philodendron balaoanum,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Phycodrina elegans,Ecuador,South America,Algae,1960-1979,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Phyllanthus mimicus,Trinidad and Tobago,South America,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Phyllostegia kahiliensis,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Extinct
Phyllostegia knudsenii,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Extinct
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,Extinct in the Wild
Physalis muelleri,Mexico,North America,Flowering Plant,1920-1939,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pimpinella robynsii,Burundi,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Piper molliusculum,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Pittosporum leroyanum,New Caledonia,Oceania,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Plectranthus scopulicola,Tanzania,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pluchea glutinosa,Yemen,Asia,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Podocarpus perrieri,Madagascar,Africa,Conifer,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Polygala quitensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Polystachya acuminata,Tanzania,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Polystachya canaliculata,Tanzania,Africa,Flowering Plant,1940-1959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Polystachya erica-lanzae,Rwanda,Africa,Flowering Plant,1980-1999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Polystachya porphyrochila,Tanzania,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Polystachya rugosilabia,Tanzania,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pouteria stenophylla,Brazil,South America,Flowering Plant,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pradosia argentea,Peru,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pradosia mutisii,Colombia,South America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Premna aureolepidota,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Prestonia schumanniana,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Psiadia schweinfurthii,Yemen,Asia,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Psidium dumetorum,Jamaica,North America,Flowering Plant,1960-1979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Psychotria veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Pterospermum elmeri,Philippines,Asia,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct in the Wild
Pterospermum parvifolium,Indonesia,Asia,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Puccinellia gussonei,Italy,Europe,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Pycnandra micrantha,New Caledonia,Oceania,Flowering Plant,1900-1919,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Rauvolfia nukuhivensis,French Polynesia,Oceania,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Rhamnus mildbraedii,Rwanda,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Rhipidoglossum orientalis,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Rhododendron kanehirai,Taiwan,Asia,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct in the Wild
Rhododendron wilhelminae,Indonesia,Asia,Flowering Plant,1900-1919,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Rhynchosia braunii,Tanzania,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Rhynchosia calobotrya,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Rhynchosia ledermannii,Cameroon,Africa,Flowering Plant,1900-1919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Extinct
Ritchiea afzelii,Guinea,Africa,Flowering Plant,Before 1900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Roupala tobagensis,Trinidad and Tobago,South America,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Sanicula kauaiensis,United States,North America,Flowering Plant,1940-1959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Santalum fernandezianum,Chile,South America,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Saurauia minutiflora,Malaysia,Asia,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Scaphium burkillfilii,Malaysia,Asia,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Schiedea amplexicaulis,United States,North America,Flowering Plant,Before 1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Schiedea attenuata,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,Extinct in the Wild
Schizenterospermum analamerense,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Semecarpus angulatus,Malaysia,Asia,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Semecarpus sandakanus,Malaysia,Asia,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Senecio antaisaka,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Senecio leucopeplus,Argentina,South America,Flowering Plant,2000-2020,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Extinct in the Wild
Senecio lewallei,Burundi,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Extinct
Senna suarezensis,Madagascar,Africa,Flowering Plant,2000-2020,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Sicyos villosus,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Silene perlmanii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Extinct in the Wild
Siphocampylus loxensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Solanum semicoalitum,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Sophora toromiro,Chile,South America,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Sphyrospermum spruceanum,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Extinct
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Stachytarpheta fallax,Cabo Verde,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Stellaria elatinoides,New Zealand,Oceania,Flowering Plant,1940-1959,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Stenocarpus dumbeensis,New Caledonia,Oceania,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Stenogyne bifida,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,Extinct in the Wild
Stenogyne campanulata,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Extinct in the Wild
Stenogyne kanehoana,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,Extinct in the Wild
Sterculia khasiana,India,Asia,Flowering Plant,Before 1900,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Stereospermum zenkeri,Cameroon,Africa,Flowering Plant,1940-1959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Steriphoma urbani,Ecuador,South America,Flowering Plant,1980-1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Stonesia fascicularis,Guinea,Africa,Flowering Plant,1940-1959,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Extinct
Stonesia gracilis,Guinea,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,Extinct
Streblorrhiza speciosa,Norfolk Island,Oceania,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Syzygium badescens,Malaysia,Asia,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Tachiadenus umbellatus,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Extinct
Taeniophyllum borneense,Indonesia,Asia,Flowering Plant,1900-1919,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Extinct
Tephrosia djalonica,Guinea,Africa,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Tephrosia pinifolia,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Terminalia acuminata,Brazil,South America,Flowering Plant,1940-1959,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Terminalia exelliana,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Tetramolopium capillare,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Extinct
Thelethylax isalensis,Madagascar,Africa,Flowering Plant,1900-1919,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,Extinct
Themistoclesia inflata,Ecuador,South America,Flowering Plant,1940-1959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Thesium germainii,Burundi,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Thesium lewallei,Burundi,Africa,Flowering Plant,1960-1979,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Tournefortia obtusiflora,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Triaspis schliebenii,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Tridactyle sarcodantha,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Trilepidea adamsii,New Zealand,Oceania,Flowering Plant,1940-1959,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Trochetiopsis erythroxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1940-1959,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,Extinct in the Wild
Trochetiopsis melanoxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Tylostigma herminioides,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Extinct
Tylostigma madagascariense,Madagascar,Africa,Flowering Plant,1900-1919,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Uvaria decidua,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Valerianella affinis,Yemen,Asia,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Vangueria verticillata,Tanzania,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Vanvoorstia bennettiana,Australia,Oceania,Algae,Before 1900,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Extinct
Vatica xishuangbannaensis,China,Asia,Flowering Plant,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Vernonia ampandrandavensis,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Vernonia sechellensis,Seychelles,Africa,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Viburnum divaricatum,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Viola cryana,France,Europe,Flowering Plant,1920-1939,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Wahlenbergia petraea,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Weinmannia spiraeoides,Fiji,Oceania,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Wendlandia angustifolia,India,Asia,Flowering Plant,1980-1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Wikstroemia hanalei,United States,North America,Flowering Plant,Before 1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Wikstroemia skottsbergiana,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Extinct
Xanthostemon sebertii,New Caledonia,Oceania,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Xylopia capuronii,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Xylosma serrata,Montserrat,North America,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Extinct
Zanthoxylum subspicatum,Madagascar,Africa,Flowering Plant,1980-1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Zingiber macrocephalum,Indonesia,Asia,Flowering Plant,Before 1900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
