date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1820-03-03,1820,Kitty,W07417,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/03/1820,Donegal,NA,NA,NA
1900-01-07,1900,Lady Arthur Hill (SS),W07418,Collier,We regret that we are unable to supply descriptive details for this record at present.,07/01/1900,"Inishowen Head, Co Donegal, rocks at Dunagree 150 yards E. of?",NA,NA,NA
1886-10-15,1886,Lady Bute,W07419,Schooner,We regret that we are unable to supply descriptive details for this record at present.,15/10/1886,Dunfanaghy Bar,NA,NA,NA
1816-08-20,1816,Lady Cathcart,W07420,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/08/1816,"Lough Swilly, Co Donegal",NA,NA,NA
1809-02-18,1809,Lady Hill,W07421,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/02/1809,"Movill(e) Bay, near Greencastle",NA,NA,NA
1850-04-30,1850,Lady Maxwell,W07422,Smack,We regret that we are unable to supply descriptive details for this record at present.,30/04/1850,"Rathlyn Oâ Birne Island, Co Donegal, 8 miles SW of / Teeling Head NE 6 miles",NA,NA,NA
1854-01-30,1854,Lady Octavia,W07424,Brig,We regret that we are unable to supply descriptive details for this record at present.,30/01/1854,"Malin Head, Co Donegal",NA,NA,NA
1920-05-02,1920,Latona,W07425,Barquentine,We regret that we are unable to supply descriptive details for this record at present.,02/05/1920,"Tory Island, Co Donegal, offshore, 17 miles NW of",NA,NA,NA
1940-11-03,1940,Laurentic (SS),W07427,Cruiser,"18,724-ton Steel steamship of Liverpool, owned by Cunard White Star Ltd. Liverpool. Built in 1927 by Harland & Woolf, Belfast. Measured L.176.22 x B.22.96 x D.12.34. Torpedoed by the German u-boat U-99. There 368 survivors.
----------------------------",03/11/1940,"Slyne Head, Co Galway, 247km WNW",54.15,-13.73333,UKHO
1917-01-23,1917,Laurentic (SS),W07428,Steel Steamship,"The Laurentic was a 14,892-ton liner built in 1908 by Harland and Wolff and owned by the Oceanic Steam Navigation Company. At the beginning of the war, the liner was hired by the White Star Line and converted into an armed merchant cruiser. The steamship was en route from Liverpool to Halifax via Buncrana in County Donegal, from where it departed on 25th January 1917, but struck a mine and sank with the loss of 354 lives. Many of the bodies were recovered and were buried in St Muraâs graveyard in Fahan where a memorial was erected to them in 1919. The ship was carrying a cargo of gold for the British Treasury, which was to be used to purchase arms, munitions and vital supplies for the war effort. 3,186 of the 3,211 gold bars on board were recovered during subsequent salvage operations following its sinking. What remains of the wreck measures 140m in length by 25m in breath and lies at an average depth off the seabed of c. 5m. The RV Keary surveyed the wreck in 2014. The postcard above shows a painting of the Laurentic under steam prior to the beginning of the war (Ian Lawler Collection). The wreck now lies at an average depth of c. 37m in a slight scour and is partially buried, with collapsed structure and a significant debris field surrounding it. Multibeam images of the wreck by INFOMAR clearly shows four of the six boilers are still in-situ; however, two have been dislodged and have been rolled out to the starboard side of the wreck by the Atlantic swells. The wreck surveyed in 2008 as part of the JIBS seabed mapping programme. Wreck measures 162m long, 19m in maximum width and lies in 30m of water. GSI Wreck No_307. The wreck is now owned by Ray Cossum.",23/01/1917,"Lough Swilly Approaches, Co Donegal, c.2 miles N of Fanad Point Light",55.30361,-7.59083,GSI Wreck No_307
NA,NA,LCT,W07430,Tank-landing craft,We regret that we are unable to supply descriptive details for this record at present.,WWII,Dunree lighthouse,NA,NA,NA
1893-08-25,1893,Lenore,W07431,Yacht,We regret that we are unable to supply descriptive details for this record at present.,25/08/1893,"Dunree Lighthouse, Lough Swilly",NA,NA,NA
1886-02-26,1886,Leslie,W07432,Schooner,We regret that we are unable to supply descriptive details for this record at present.,26/02/1886,"Inishtrahull Island, Co Donegal",NA,NA,NA
1940-03-09,1940,Leukos,W07433,Trawler,We regret that we are unable to supply descriptive details for this record at present.,09/03/1940,NW of Tory Island,55.95,-9.25,wrecksite.eu
NA,NA,Levin,W07434,Unknown,We regret that we are unable to supply descriptive details for this record at present.,February 1833,Milford,NA,NA,NA
1806-08-26,1806,Lilly,W07435,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/08/1806,Dunfanaghy,NA,NA,NA
1841-01-02,1841,Lion,W07436,Schooner,We regret that we are unable to supply descriptive details for this record at present.,02/01/1841,"Tory Island, off",NA,NA,NA
1839-02-21,1839,Lion,W07437,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/02/1839,Bruckless,NA,NA,NA
1852-12-29,1852,Lively,W07438,Sloop,We regret that we are unable to supply descriptive details for this record at present.,29/12/1852,Inishmeane Island,NA,NA,NA
1913-11-08,1913,Livelyhood,W07439,Lugger,We regret that we are unable to supply descriptive details for this record at present.,08/11/1913,"Tory Island, Co Donegal",NA,NA,NA
1811-10-12,1811,Liverpool Packet,W07440,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/10/1811,"Tory Island, Co Donegal, offshore",NA,NA,NA
1917-04-19,1917,Lobelia II / ML974,W07441,Trawler,We regret that we are unable to supply descriptive details for this record at present.,19/04/1917,"Fanad Point, near",NA,NA,NA
1942-03-07,1942,Lock Ryan,W07442,Schooner,We regret that we are unable to supply descriptive details for this record at present.,07/03/1942,Shingle beach on the N side of Inishdooey / Bofin Island,NA,NA,NA
1799-02-19,1799,London Packet,W07443,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/02/1799,"Tramore Bay, Co Waterford (Tremore)",NA,NA,NA
1864-10-22,1864,Lotus,W07444,Brig,We regret that we are unable to supply descriptive details for this record at present.,22/10/1864,Ballyhorisky / Entrance to Mulroy Bay,NA,NA,NA
1850-01-01,1850,Louisa,W07445,Schooner,We regret that we are unable to supply descriptive details for this record at present.,01/01/1850,Donegal Bar,NA,NA,NA
1840-04-20,1840,Louisa,W07446,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/04/1840,"Donegal Bay, Ballyshannon Bar",NA,NA,NA
1842-12-13,1842,Louisa Conolly,W07447,Schooner,We regret that we are unable to supply descriptive details for this record at present.,13/12/1842,"Ballyshannon Bar, Co Donegal",NA,NA,NA
1803-01-28,1803,Lovely Cruizer,W07448,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/01/1803,"Lough Swilly, Co Donegal",NA,NA,NA
1840-09-23,1840,Loyalist,W07449,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,23/09/1840,"Killybegs, Co Donegal, St Johnâs Point",NA,NA,NA
1917-05-26,1917,Lucipara,W07450,Barque,We regret that we are unable to supply descriptive details for this record at present.,26/05/1917,"N Coast, offshore",55.91667,-8.41667,wrecksite.eu
1917-01-21,1917,Lucy (SS),W07451,Trawler,We regret that we are unable to supply descriptive details for this record at present.,21/01/1917,"Inishtrahull, off, 42M NW x N",NA,NA,NA
1825-02-16,1825,Lushby (SS),W07452,Steam Trawler,We regret that we are unable to supply descriptive details for this record at present.,16/02/1825,"Tory Island, some ship's lengths to E of reef on SE point of",NA,NA,NA
1878-03-28,1878,Lyle (SS),W07453,Iron Steamship,We regret that we are unable to supply descriptive details for this record at present.,28/03/1878,Lough Foyle (Co. Donegal?),NA,NA,NA
1905-06-02,1905,Maid of Erin,W07454,Yawl,We regret that we are unable to supply descriptive details for this record at present.,02/06/1905,"Donegal, near",NA,NA,NA
NA,NA,Maid of Errin,W07455,Cutter,We regret that we are unable to supply descriptive details for this record at present.,December 1887,"Donegal Harbour, between the Quays",NA,NA,NA
1917-09-03,1917,Majoren (SS),W07456,Steel Steamship,We regret that we are unable to supply descriptive details for this record at present.,03/09/1917,"Tory Island, Co Donegal, 25 miles W of",55.23333,-8.93333,wrecksite.eu
1935-10-18,1935,Malaga (SS),W07457,Steam Trawler,We regret that we are unable to supply descriptive details for this record at present.,18/10/1935,Donegal Bay /  Inishowen Head,NA,NA,NA
NA,NA,Malaga,W07458,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Tory Island, Co Donegal",NA,NA,NA
1914-10-26,1914,Manchester Commerce (SS),W07459,Steamship,"5,363-ton steel steamship of Manchester, owned by Manchester Liners Ltd. Built at Furness Withy in 1899. Measured L.131.24 x B.14.68 x D.9.34. Struck a mine and sank en route from Manchester to Quebec. Wreck measures 128m long and is 32m in width. It lies in 82m of water. Fourteen of the crew were lost. 

GSI Wreck No. 59.
----------------------------",26/10/1914,"Donegal, Tory Island, 20 miles NÂ¼E of",55.61175,-8.15272,GSI_59
1933-02-06,1933,Mango (SS),W07460,Steamship,We regret that we are unable to supply descriptive details for this record at present.,06/02/1933,"Aran Island, Co Donegal, Cladaghlahan Bay, S shore of",NA,NA,NA
1854-12-21,1854,Marchioness of Clydesdale,W07461,Barque,We regret that we are unable to supply descriptive details for this record at present.,21/12/1854,Arranmore Island,NA,NA,NA
1940-09-09,1940,Mardinian (SS),W07462,Steamship,We regret that we are unable to supply descriptive details for this record at present.,09/09/1940,Offshore,NA,NA,NA
1798-11-24,1798,Margaret Tender,W07463,Brig,"Lost near Ballyconnell.
----------------------------",24/11/1798,"Ballyconnell, near",NA,NA,NA
1854-08-28,1854,Margaret,W07464,Trawler,We regret that we are unable to supply descriptive details for this record at present.,28/08/1854,Donegal Bay,NA,NA,NA
1890-07-19,1890,Margaret,W07465,Smack,We regret that we are unable to supply descriptive details for this record at present.,19/07/1890,"Donegal Bay, not known",NA,NA,NA
1853-01-31,1853,Margaret & Grace,W07466,Schooner,We regret that we are unable to supply descriptive details for this record at present.,31/01/1853,"Lough Swilly, Co Donegal",NA,NA,NA
1862-10-19,1862,Margaret Knight,W07467,Brig,We regret that we are unable to supply descriptive details for this record at present.,19/10/1862,"Inishmurray Island, entrance to Sligo Bay",NA,NA,NA
1833-11-29,1833,Maria,W07468,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/11/1833,"Sheephaven, Co Donegal / Letterkenny, near",NA,NA,NA
1861-12-10,1861,Maria,W07470,Schooner,We regret that we are unable to supply descriptive details for this record at present.,10/12/1861,Doaghbeg Bay,NA,NA,NA
1850-03-29,1850,Mars,W07471,Schooner,We regret that we are unable to supply descriptive details for this record at present.,29/03/1850,"Dunaff Head, Lough Swilly",NA,NA,NA
1821-11-14,1821,Martha,W07472,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/11/1821,"Lough Swilly, Co Donegal",NA,NA,NA
1816-11-27,1816,Mary,W07473,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/11/1816,"Tory Island, Co Donegal",NA,NA,NA
1813-11-23,1813,Mary,W07474,Unknown,We regret that we are unable to supply descriptive details for this record at present.,23/11/1813,"Tory Island, Co Donegal",NA,NA,NA
1795-09-10,1795,Mary,W07475,Brig,We regret that we are unable to supply descriptive details for this record at present.,10/09/1795,"Ballyshannon, Co Donegal, Wardtown Strand",NA,NA,NA
1822-02-06,1822,Mary,W07476,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/02/1822,Moville,NA,NA,NA
1912-08-04,1912,Mary,W07477,Lugger,We regret that we are unable to supply descriptive details for this record at present.,04/08/1912,"Brinlack Point, 0.75M offshore",NA,NA,NA
1835-10-11,1835,Mary and Anne,W07478,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/10/1835,Dunfanaghy (stranded),NA,NA,NA
1847-08-20,1847,Mary and Jane,W07479,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,20/08/1847,Donegal,NA,NA,NA
1816-11-11,1816,Mary Ann,W07480,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/11/1816,"Lough Swilly, Co Donegal",NA,NA,NA
1882-11-09,1882,Mary Ann / Mary Anne,W07481,Schooner,We regret that we are unable to supply descriptive details for this record at present.,09/11/1882,"Strabreaga Bay, entrance to  (Trabreaga, Inishowen), Log Bar",NA,NA,NA
1893-08-19,1893,Mary Jane,W07482,Smack,We regret that we are unable to supply descriptive details for this record at present.,19/08/1893,"Lough Foyle, Co Donegal, Shrove",NA,NA,NA
NA,NA,Mary Parsons,W07483,Yacht,We regret that we are unable to supply descriptive details for this record at present.,Unknown,Gola,NA,NA,NA
NA,NA,Mary Snow,W07484,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,Glenagivney,NA,NA,NA
NA,NA,Mary Sproat,W07485,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,1889,Moville Bay,NA,NA,NA
1904-12-09,1904,Mary Star of the Sea,W07486,Spritsail,We regret that we are unable to supply descriptive details for this record at present.,09/12/1904,"Doorin Head, Inver Bay, Donegal Bay",NA,NA,NA
1917-12-28,1917,Maxton,W07487,Cargo Ship,We regret that we are unable to supply descriptive details for this record at present.,28/12/1917,"Malin Head, Co Donegal, 68km NW of",55.8908,-7.98664,GSI Wreck Data
1902-07-17,1902,Mayflower,W07488,Spritsail,We regret that we are unable to supply descriptive details for this record at present.,17/07/1902,"Culdaff, 3 miles NNW of coastguard station",NA,NA,NA
1791-06-07,1791,Mayflower,W07489,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/06/1791,"Rosses, Co Sligo, Off the",NA,NA,NA
NA,NA,Mayflower,W07490,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Broomhall lighthouse, c.150 metres from , Moville",NA,NA,NA
1881-03-03,1881,Melfort,W07492,Smack,We regret that we are unable to supply descriptive details for this record at present.,03/03/1881,"Knockallan, Lough Swilly",NA,NA,NA
1874-03-31,1874,MÃ¨re de la MisÃ©ricorde,W07493,Lugger,We regret that we are unable to supply descriptive details for this record at present.,31/03/1874,"Tory Island, Co Donegal, 20 miles NW of",NA,NA,NA
1847-04-27,1847,Messenger,W07494,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,27/04/1847,Downings Bay,NA,NA,NA
1917-05-16,1917,Middlesex (SS),W07495,Steamship,We regret that we are unable to supply descriptive details for this record at present.,16/05/1917,"Tory Island, Co Donegal, 150 miles NW of",56.05,-12.5,wrecksite.eu
1917-07-24,1917,Mikelis (SS),W07496,Steamship,We regret that we are unable to supply descriptive details for this record at present.,24/07/1917,"N coast, 30M, off",NA,NA,NA
1881-03-03,1881,Milford,W07497,Smack,We regret that we are unable to supply descriptive details for this record at present.,03/03/1881,"Lough Swilly, Knockalla Point Fort, off",NA,NA,NA
1837-11-28,1837,Miranda,W07498,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/11/1837,"Dunfanaghy, offshore",NA,NA,NA
1910-02-23,1910,Monica (MV),W07499,Motor Fishing Vessel,We regret that we are unable to supply descriptive details for this record at present.,23/02/1910,"Buncrana pier, Co Donegal",NA,NA,NA
1842-01-21,1842,Montagnaise,W07500,Schooner,We regret that we are unable to supply descriptive details for this record at present.,21/01/1842,"Tory Island, Co Donegal, lighthouse, SW of",NA,NA,NA
1891-08-29,1891,Morning Dawn,W07502,Curragh,We regret that we are unable to supply descriptive details for this record at present.,29/08/1891,"Dunfanaghy Bar, Co Donegal",NA,NA,NA
1903-10-13,1903,Morning Light,W07503,Skiff,We regret that we are unable to supply descriptive details for this record at present.,13/10/1903,Downings Bay,NA,NA,NA
1911-11-05,1911,Morning Star,W07504,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Ballyshannon, Co Donegal, Coolmore Bay",NA,NA,NA
1918-06-22,1918,Mountain Laurel (Possible),W07505,Barque,We regret that we are unable to supply descriptive details for this record at present.,22/06/1918,"Malin Head, 9.75km NW of Kinnagoe Bay",55.3128,-6.89517,GSI Wreck Data
1918-04-11,1918,Myrtle Branch (SS),W07506,Steamship,We regret that we are unable to supply descriptive details for this record at present.,11/04/1918,"Inishtrahull Island, Co. Donegal, 21km N of",55.62171,-7.22418,GSI Wreck Data
1851-06-15,1851,Nais,W07507,Schooner,We regret that we are unable to supply descriptive details for this record at present.,15/06/1851,Donegal Bay,NA,NA,NA
1833-01-02,1833,Nancy,W07508,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/01/1833,"Donegal, Coast of",NA,NA,NA
1929-03-02,1929,Nancy,W07509,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/03/1929,Donegal Bay,NA,NA,NA
1796-03-01,1796,Nancy,W07510,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/03/1796,Donegal Bay,NA,NA,NA
1836-11-19,1836,Nancy,W07511,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/11/1836,"Rosses, Co Sligo, On the",NA,NA,NA
1772-10-30,1772,Nancy & Peggy,W07512,Unknown,We regret that we are unable to supply descriptive details for this record at present.,30/10/1772,"Donegal, near Ballyshannon",NA,NA,NA
1876-11-08,1876,Napolean,W07513,Schooner,We regret that we are unable to supply descriptive details for this record at present.,08/11/1876,"Inishowen, W side of , near the mouth of Lough Foyle",NA,NA,NA
1941-04-30,1941,Narissa (SS),W07514,Steamship,We regret that we are unable to supply descriptive details for this record at present.,30/04/1941,"Inishtrahull, c.200 miles W of",NA,NA,NA
1918-02-06,1918,Nathaniel Cole (probably),W07515,Trawler,We regret that we are unable to supply descriptive details for this record at present.,06/02/1918,"Buncrana / 55 30 09N, 008 01 50W,",55.5025,-8.03056,NA
1927-07-02,1927,Nephrite (SS),W07516,Steamship,We regret that we are unable to supply descriptive details for this record at present.,02/07/1927,"Burtonport, Umfin Island, 1M N",NA,NA,NA
1821-11-28,1821,Nereus,W07517,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,28/11/1821,"Tory Island, Co Donegal",NA,NA,NA
1940-09-20,1940,New Sevilla (SS),W07519,Ship,We regret that we are unable to supply descriptive details for this record at present.,20/09/1940,"Inishtrahull, 52km N by W of",55.89979,-7.38519,GSI Wreck Data
1795-07-12,1795,No name,W07520,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,12/07/1795,"Lough Derg, Station Island",NA,NA,NA
1767-01-28,1767,No name,W07521,Barge,We regret that we are unable to supply descriptive details for this record at present.,28/01/1767,"Aranmore, near",NA,NA,NA
1941-06-18,1941,Norfolk (SS),W07522,Liner,We regret that we are unable to supply descriptive details for this record at present.,18/06/1941,"Malin Head, c.150 miles NNW of",NA,NA,NA
1904-06-28,1904,Norge (SS),W07523,Steamship,We regret that we are unable to supply descriptive details for this record at present.,28/06/1904,"Helenâs Reef, Rockall",NA,NA,NA
1847-09-16,1847,North Esk,W07524,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,16/09/1847,Inishowen Head ( 'Ennishowen'),NA,NA,NA
1801-12-02,1801,Ocean,W07525,Full-rigged ship,We regret that we are unable to supply descriptive details for this record at present.,02/12/1801,"Tory Island, Co Donegal, 30 miles W of",NA,NA,NA
1882-10-02,1882,Ocean Child,W07526,Schooner,We regret that we are unable to supply descriptive details for this record at present.,02/10/1882,"Rathmullen, Co Donegal",NA,NA,NA
1917-12-11,1917,Oldfield Grange,W07527,Unknown,"4,653-ton defensively-armed vessel. Buitl by Irvine's Shipbuilding and Drydock Co. Ltd. in 1913. Owned by the Houlder Brothers & Co. Ltd, London. Torpedoed and sunk without warning by German submarine U-62 while en route from New York to Cardiff with a cargo of 500 tons of copper bars and 628 tons of lead. Wreck surveyed by the Geological Survey of Ireland in 2003 as part of the Irish National Seabed Survey. Wreck measures 15m long, 11m in maximum width and lies in 109m of water. GSI Wreck No_34.",11/12/1917,"Malin Head, Co Donegal, 55.6km NW",55.7741,-7.93483,GSI Wreck Data
1941-04-06,1941,Olga S. (MV),W07528,Motor Boat,We regret that we are unable to supply descriptive details for this record at present.,06/04/1941,Offshore,55.8,-9.75,UKHO
1816-12-29,1816,Opreisning,W07529,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/12/1816,Moville,NA,NA,NA
1853-10-20,1853,Orchard,W07530,Schooner,We regret that we are unable to supply descriptive details for this record at present.,20/10/1853,"Tory Island, Co Donegal",NA,NA,NA
1940-10-29,1940,Orient Star,W07532,Motor Boat,We regret that we are unable to supply descriptive details for this record at present.,29/10/1940,Carrigans Head,NA,NA,NA
NA,NA,Orion,W07533,Unknown,We regret that we are unable to supply descriptive details for this record at present.,1849,Ennishtraul Lighthouse ( Innistrahull ),NA,NA,NA
1941-01-16,1941,Oropesa (II) (SS),W07534,Liner,We regret that we are unable to supply descriptive details for this record at present.,16/01/1941,"Bloody Foreland, c.100 miles NW of",56.46667,-12,UKHO
1833-03-01,1833,Osprey,W07535,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/03/1833,"Tory Island Sound, Co Donegal",NA,NA,NA
1765-01-06,1765,Othello,W07536,Merchant Vessel,We regret that we are unable to supply descriptive details for this record at present.,06/01/1765,"Malin Head, Co Donegal",NA,NA,NA
NA,NA,Our Monica,W07537,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Tory Island, Co Donegal",NA,NA,NA
1811-12-20,1811,Pallas,W07538,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/12/1811,"Lough Swilly, Co Donegal",NA,NA,NA
1941-01-30,1941,Pandion (SS),W07539,Steamship,We regret that we are unable to supply descriptive details for this record at present.,30/01/1941,"Swilly Beg rocks at entrance to Lough Swilly, Co Donegal.",55.2575,-7.604,UKHO Wreck Data
1932-10-03,1932,Pasadena,W07540,Trawler,We regret that we are unable to supply descriptive details for this record at present.,03/10/1932,Glengad Head,NA,NA,NA
1913-06-08,1913,Passing Cloud,W07541,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,08/06/1913,"Lough Swilly, Co Donegal, Doagh Bay",NA,NA,NA
1885-11-11,1885,Pathfinder,W07542,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,11/11/1885,"Innistrahull Island, Co Donegal, 1 mile NW of Lighthouse, on Tor Rocks",NA,NA,NA
1839-01-06,1839,Patrick,W07543,Wherry,We regret that we are unable to supply descriptive details for this record at present.,06/01/1839,"Inch Bank, Rathmullan",NA,NA,NA
1940-11-04,1940,Patrolcus (SS),W07544,Steamship,We regret that we are unable to supply descriptive details for this record at present.,04/11/1940,"Slyne Head, Co Galway, offshore",53.71667,-14.68333,wrecksite.eu
1849-07-11,1849,Peace,W07545,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/07/1849,"Tory Island, Co Donegal, c. 15 miles W of",NA,NA,NA
1940-07-19,1940,Pearlmoor (SS),W07546,Steamship,We regret that we are unable to supply descriptive details for this record at present.,19/07/1940,"Donegal Bay, c.80 miles W of",55.38333,-9.3,UKHO
1940-08-25,1940,Pecten,W07547,Motor-ship,We regret that we are unable to supply descriptive details for this record at present.,25/08/1940,Offshore,NA,NA,NA
1893-08-21,1893,Petrel,W07548,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,21/08/1893,"Moville pier, W side of , Lough Foyle",NA,NA,NA
1772-12-10,1772,Phoenix,W07549,Unknown,We regret that we are unable to supply descriptive details for this record at present.,10/12/1772,Milford ?,NA,NA,NA
1940-08-04,1940,Pindos (SS),W07550,Steamship,We regret that we are unable to supply descriptive details for this record at present.,04/08/1940,"Tory Island, Co Donegal, off",55.56667,-9.1675,UKHO
1944-09-08,1944,Pinto (MV),W07551,Motor Boat,"UKHO Wreck No.006000526. 1346-ton British motor vessel built in 1928 by Harland and Wolff and was owned by MacAndrews & Co. Powered by triple expansion engines, measured L.270 x B.39 x D.16ft. En route from Halifax to Greenock, acting as a convoy escort for convoy HXF-305 (almost 100 ships). Torpedoed and sunk by the German Submarine U-482 while rescuing survivors from the Empire Heritage which was also sunk by the U-482 with the loss of 113 men. The Pinto carried 62 crew of which 21 died during the attack including the captain. The survivors rescued by the trawler HMS Northen Wave and landed at Derry. The wreck lies in a general depth of 66m and is orientated NE/SW on the seabed. It has an overall length of 81m, width of 14m and max height of 3.3m above the seabed. The hull appears to be broken up with the boilers amidships the highest part of the wreck. The NE end appears to be the bow with scouring occurring along its SE side. GSI Wreck No_88.",08/09/1944,"Malin Head, Co Donegal, 27.5km NW of",55.53744,-7.71603,GSI Wreck Data
1940-11-16,1940,Planter (SS),W07552,Steamship,We regret that we are unable to supply descriptive details for this record at present.,16/11/1940,"Tory Island, Co Donegal, off",55.63333,-8.46667,UKHO
1877-10-07,1877,Polly,W07553,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,07/10/1877,"Tory Island, Co Donegal, 14 miles NW by NÂ½N of",NA,NA,NA
1815-01-24,1815,Post Boy,W07554,Schooner,We regret that we are unable to supply descriptive details for this record at present.,24/01/1815,"Donegal, Coast of",NA,NA,NA
1886-05-01,1886,Presshome,W07555,Schooner,We regret that we are unable to supply descriptive details for this record at present.,01/05/1886,"Tory Island, Co Donegal",NA,NA,NA
1873-11-06,1873,Pride,W07556,Schooner,We regret that we are unable to supply descriptive details for this record at present.,06/11/1873,"Ballyshannon Bar, Co Donegal",NA,NA,NA
1881-04-03,1881,Pride of Angelsey,W07557,Schooner,We regret that we are unable to supply descriptive details for this record at present.,03/04/1881,Culdaff Bay,NA,NA,NA
1852-02-18,1852,Prince Albert,W07558,Brig,We regret that we are unable to supply descriptive details for this record at present.,18/02/1852,"Boylagh Bay, Bar of Ivicra, Donegal",NA,NA,NA
1913-02-03,1913,Prominent (SS),W07559,Steam Drifter,We regret that we are unable to supply descriptive details for this record at present.,03/02/1913,"Mulroy, off, Co Donegal",NA,NA,NA
1849-10-05,1849,Prussian vessel,W07560,Unknown,We regret that we are unable to supply descriptive details for this record at present.,05/10/1849,"Ballyshannon Bar, Co Donegal",NA,NA,NA
1853-06-08,1853,Pursuit,W07561,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,08/06/1853,"Tory Island, Co Donegal",NA,NA,NA
1908-11-26,1908,Queen,W07562,Lugger,We regret that we are unable to supply descriptive details for this record at present.,26/11/1908,"Downings Bay, Wreck Point Rocks",NA,NA,NA
1893-08-15,1893,Queen of the Sea,W07563,Spritsail,We regret that we are unable to supply descriptive details for this record at present.,15/08/1893,"Tory Island, Co Donegal",NA,NA,NA
1807-12-25,1807,Rachel and Lucy,W07564,Unknown,We regret that we are unable to supply descriptive details for this record at present.,25/12/1807,"Lough Swilly, Co Donegal",NA,NA,NA
1918-01-09,1918,Racoon (HMS),W07565,Destroyer,We regret that we are unable to supply descriptive details for this record at present.,09/01/1918,"Garvan Isles, N side. 2.8km NE by E of Portmore pier",55.39667,-7.30833,UKHO Wreck Data
1854-02-11,1854,Recovery,W07566,Schooner,We regret that we are unable to supply descriptive details for this record at present.,11/02/1854,"Eighter Island, near Rutland Island",NA,NA,NA
1832-04-02,1832,Resolution,W07567,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,02/04/1832,"Killybegs, Co Donegal, St. Johnâs Point, near",NA,NA,NA
1932-04-02,1932,Resolution,W07568,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/04/1932,"Killybegs, Co Donegal",NA,NA,NA
1907-06-02,1907,Ringdove,W07569,Lugger,We regret that we are unable to supply descriptive details for this record at present.,02/06/1907,"Buncrana Pier, Rock to N. of",NA,NA,NA
1905-04-13,1905,Rob Roy,W07570,Cutter,We regret that we are unable to supply descriptive details for this record at present.,13/04/1905,Greencastle Station,NA,NA,NA
1894-12-21,1894,Rob Roy,W07571,Lugger,We regret that we are unable to supply descriptive details for this record at present.,21/12/1894,"Lough Swilly, Co Donegal",NA,NA,NA
1831-03-12,1831,Robert & Isabella,W07572,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,12/03/1831,"Rutland Island, Co Donegal, Boylagh Bay",NA,NA,NA
1884-07-25,1884,Rockabill (SS),W07573,Steamship,We regret that we are unable to supply descriptive details for this record at present.,25/07/1884,"Ballyshannon , Co Donegal, to the channel / Harbour Bar",NA,NA,NA
1908-11-23,1908,Rory Ogg,W07574,Lugger,We regret that we are unable to supply descriptive details for this record at present.,23/11/1908,Downings Bay,NA,NA,NA
1917-08-21,1917,Roscommon (SS),W07575,Steamship,We regret that we are unable to supply descriptive details for this record at present.,21/08/1917,"Tory Island, Co Donegal, 28km NE of",55.49007,-8.01724,GSI Wreck Data
