volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
221115,Manda Hararo,Shield(s),2009,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,191,857,7455,419204
221122,Manda-Inakir,Fissure vent(s),1928,Ethiopia-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,42.2,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,116,1130,15991,223924
272030,Mandalagan,Complex,Unknown,Philippines,Philippines and SE Asia,Central Philippines,10.65,123.25,1885,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,563,6491,765974,9390672
225006,Manzaz Volcanic Field,Pyroclastic cone(s),Unknown,Algeria,Africa and Red Sea,Africa (northern),23.92,5.83,1672,Intraplate / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,1196,1196,1326,5278
261140,Marapi,Complex,2018,Indonesia,Indonesia,Sumatra,-0.38,100.474,2885,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , , ,706,57453,818039,4059773
357092,"Mariñaqui, Laguna",Pyroclastic cone(s),Unknown,Chile,South America,Central Chile and Argentina,-38.255,-71.167,2108,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,95,314,4640,85612
234070,Marion Island,Shield(s),2004,South Africa,Middle East and Indian Ocean,Indian Ocean (southern),-46.9,37.75,1230,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,0,0,0,0
273081,Mariveles,Stratovolcano,-2050,Philippines,Philippines and SE Asia,Luzon,14.527,120.482,1388,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,903,48079,455154,25981912
327040,Markagunt Plateau,Volcanic field,1050,United States,Canada and Western USA,USA (Utah),37.58,-112.67,2840,Rift zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , ,Rhyolite, , , , ,970,970,1887,186184
241061,Maroa,Caldera(s),180,New Zealand,New Zealand to Fiji,New Zealand,-38.42,176.08,897,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , ,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,117,532,27958,475588
225030,"Marra, Jebel",Volcanic field,-2000,Sudan,Africa and Red Sea,Africa (northern),12.95,24.27,3042,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Phonolite, , , , , ,638,8692,120061,983802
222021,Marsabit,Shield,Unknown,Kenya,Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Rift zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,16804,22677,49742,111322
312140,Martin,Stratovolcano,1953,United States,Alaska,Alaska Peninsula,58.172,-155.361,1863,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,914
285061,Maruyama,Stratovolcano(es),1898,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.418,143.031,2013,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,0,6,3682,1260920
344100,Masaya,Caldera,2020,Nicaragua,México and Central America,Nicaragua,11.985,-86.165,594,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,989888,989888,1914707,2926954
341031,Mascota Volcanic Field,Pyroclastic cone(s),Unknown,Mexico,México and Central America,Mexico,20.62,-104.83,2560,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,16293,16293,31760,1083467
285081,Mashu,Caldera,1080,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.572,144.561,857,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,9794,9794,25627,632919
258010,Matthew Island,Stratovolcano,1956,France,Melanesia and Australia,Pacific Ocean (southwestern),-22.33,171.32,177,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,1,1,1,1
271020,Matutum,Stratovolcano,1290,Philippines,Philippines and SE Asia,Mindanao,6.37,125.07,2286,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,855,10431,822372,5316209
357061,"Maule, Laguna del",Caldera,-50,Chile,South America,Central Chile and Argentina,-36.058,-70.492,2162,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt,Dacite, , , , , , ,1045,1045,1521,169334
332030,Mauna Kea,Shield,-2460,United States,Hawaii and Pacific Ocean,Hawaiian Islands,19.82,-155.47,4205,Intraplate / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , , , ,126,126,9950,166888
332020,Mauna Loa,Shield,1984,United States,Hawaii and Pacific Ocean,Hawaiian Islands,19.475,-155.608,4170,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,45,45,1906,175315
241021,Mayor Island,Shield,-5060,New Zealand,New Zealand to Fiji,New Zealand,-37.28,176.25,355,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , , , , , , ,105,105,141,355290
320180,Meager,Complex,-410,Canada,Canada and Western USA,Canada,50.63,-123.5,2680,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,1,111,307,17662
323020,Medicine Lake,Shield,1060,United States,Canada and Western USA,USA (California),41.611,-121.554,2412,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , ,Dacite, , , , ,0,0,254,120685
221330,Mega Basalt Field,Pyroclastic cone(s),Unknown,Ethiopia-Kenya,Africa and Red Sea,Africa (northeastern) and Red Sea,4.063,37.488,1111,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,2815,2815,7605,119999
283262,Megata,Maar(s),-2050,Japan,"Japan, Taiwan, Marianas",Honshu,39.95,139.73,291,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,1854,3577,81218,1205440
225050,Meidob Volcanic Field,Pyroclastic cone(s),-2950,Sudan,Africa and Red Sea,Africa (northern),15.32,26.47,2000,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Phonolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,5140,5140,5140,24193
390015,Melbourne,Stratovolcano,1892,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-74.35,164.7,2732,Intraplate / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, ,Rhyolite, , , , ,0,0,0,0
263250,Merapi,Stratovolcano,2020,Indonesia,Indonesia,Java,-7.54,110.446,2910,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,49205,185849,4348473,24728414
263240,Merbabu,Stratovolcano,1797,Indonesia,Indonesia,Java,-7.454,110.44,3118,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , , , ,19996,249747,3019783,25096234
222160,Meru,Stratovolcano,1910,Tanzania,Africa and Red Sea,Africa (eastern),-3.25,36.75,4565,Rift zone / Continental crust (>25 km),Eruption Observed,Phonolite,Foidite,Phono-tephrite /  Tephri-phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , ,0,2506,828942,2375631
212020,Methana,Lava dome(s),-258,Greece,Mediterranean and Western Asia,Greece,37.615,23.336,760,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,152,1683,48917,4220783
358040,Michinmahuida,Stratovolcano,1835,Chile,South America,Southern Chile and Argentina,-42.799,-72.445,2452,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , , , , , , ,0,9,7989,64498
341060,Michoacan-Guanajuato,Pyroclastic cone(s),1952,Mexico,México and Central America,Mexico,19.85,-101.75,3860,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Dacite, , ,5783287,5783287,5783287,5783287
283080,Midagahara,Stratovolcano,1839,Japan,"Japan, Taiwan, Marianas",Honshu,36.571,137.59,2621,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,401,521,143935,4455560
284041,Mikurajima,Stratovolcano,-4100,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.874,139.602,851,Subduction zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,293,293,4551,25466
320120,Milbanke Sound Group,Pyroclastic cone(s),Unknown,Canada,Canada and Western USA,Canada,52.5,-128.73,335,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,574,574,574,2792
290161,Milna,Stratovolcano,1914,Russia,Kuril Islands,Kuril Islands,46.815,151.786,1504,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,43,47,49,188
212030,Milos,Stratovolcano(es),140,Greece,Mediterranean and Western Asia,Greece,36.699,24.439,751,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite,Andesite / Basaltic Andesite,Dacite, , , , , , , ,6688,7389,9851,73100
284131,Minami-Hiyoshi,Submarine,1975,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.5,141.935,-107,Subduction zone / Crustal thickness unknown,Eruption Observed,Trachyandesite / Basaltic Trachyandesite, , , , , , , , , ,0,0,0,26
345030,Miravalles,Stratovolcano,1946,Costa Rica,México and Central America,Costa Rica,10.748,-85.153,2028,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , ,79,7492,61875,757945
284040,Miyakejima,Stratovolcano,2010,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,1848,3189,3474,95663
357130,Mocho-Choshuenco,Stratovolcano(es),1937,Chile,South America,Central Chile and Argentina,-39.927,-72.027,2422,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,81,789,16633,401631
311111,Moffett,Stratovolcano,-1600,United States,Alaska,Aleutian Islands,51.944,-176.747,1196,Subduction zone / Intermediate crust (15-25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
352005,Mojanda,Stratovolcano(es),Unknown,Ecuador,South America,Ecuador,0.13,-78.27,4263,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,173,15510,480382,3071030
344110,Mombacho,Stratovolcano,Unknown,Nicaragua,México and Central America,Nicaragua,11.826,-85.968,1344,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,656,56671,621451,2709304
344090,Momotombo,Stratovolcano,2016,Nicaragua,México and Central America,Nicaragua,12.423,-86.539,1270,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,100,1851,98583,3569021
323110,Mono Lake Volcanic Field,Pyroclastic cone(s),1790,United States,Canada and Western USA,USA (California),38,-119.03,2121,Rift zone / Continental crust (>25 km),Eruption Dated,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , , ,1066,1066,1491,65028
323120,Mono-Inyo Craters,Lava dome(s),1380,United States,Canada and Western USA,USA (California),37.804,-119.029,2796,Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,558,7393,9048,82160
390081,Montagu Island,Shield,2007,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-58.445,-26.374,1370,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
390017,Morning,Shield,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-78.5,163.53,2723,Intraplate / Continental crust (>25 km),Evidence Uncertain,Phonolite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, ,Trachyte / Trachydacite, , , , ,0,0,0,0
257001,Motlav,Stratovolcano,Unknown,Vanuatu,Melanesia and Australia,Vanuatu,-13.67,167.67,411,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,251,292,3768,7490
290100,Moyorodake [Medvezhia],Stratovolcano,1999,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.389,148.838,1124,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,11,42,600,4333
342130,Moyuta,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.03,-90.1,1662,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,3457,15469,394687,7064437
223060,Muhavura,Stratovolcano,Unknown,Uganda-Rwanda,Africa and Red Sea,Africa (central),-1.383,29.678,4103,Rift zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,10680,197162,1189226,10833809
252021,Mundua,Complex,Unknown,Papua New Guinea,Melanesia and Australia,New Britain,-4.624,149.339,171,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,489,501,6406,9419
263251,Muria,Stratovolcano,-160,Indonesia,Indonesia,Java,-6.62,110.88,1625,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Phonolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , ,212,7653,1587867,13061031
300060,Mutnovsky,Complex,2000,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.449,158.196,2288,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,0,0,97,250858
284070,Myojinsho,Submarine,1970,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.888,139.918,11,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,0,0,0,242
283100,Myokosan,Stratovolcano,-750,Japan,"Japan, Taiwan, Marianas",Honshu,36.891,138.114,2454,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,1563,11033,561142,4118863
245030,Nabukelevu,Lava dome(s),1660,Fiji,New Zealand to Fiji,Fiji Islands,-19.12,177.98,805,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,269,1379,4523,21730
282040,Nakanoshima,Stratovolcano(es),1914,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.859,129.857,979,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,137,170,364,14037
222040,Namarunu,Shield,-6550,Kenya,Africa and Red Sea,Africa (eastern),1.98,36.43,817,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,47,537,7073,186674
283141,Nantaisan,Stratovolcano,-9540,Japan,"Japan, Taiwan, Marianas",Honshu,36.765,139.491,2486,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,781,12768,128931,11079746
341095,Naolinco Volcanic Field,Pyroclastic cone(s),-1200,Mexico,México and Central America,Mexico,19.67,-96.75,2000,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite, , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , ,108824,108824,739767,4184323
283200,Naruko,Caldera,837,Japan,"Japan, Taiwan, Marianas",Honshu,38.729,140.734,470,Subduction zone / Continental crust (>25 km),Eruption Observed,Rhyolite,Dacite, , , , , , , , ,54771,54771,210262,4417058
283150,Nasudake,Stratovolcano(es),1963,Japan,"Japan, Taiwan, Marianas",Honshu,37.125,139.963,1915,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,639,5802,298717,5725203
273082,Natib,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,14.72,120.4,1253,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,450,4977,1050509,25524080
353050,"Negra, Sierra",Shield,2018,Ecuador,South America,Galapagos Islands,-0.83,-91.17,1124,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,408,408,983,9884
344070,"Negro, Cerro",Pyroclastic cone(s),1999,Nicaragua,México and Central America,Nicaragua,12.506,-86.702,728,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,1690,10243,296320,3540933
344092,Nejapa-Miraflores,Fissure vent(s),1060,Nicaragua,México and Central America,Nicaragua,12.12,-86.32,360,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,295906,870837,1610426,3062823
213020,Nemrut Dagi,Stratovolcano,1650,Turkey,Mediterranean and Western Asia,Turkey,38.654,42.229,2948,Intraplate / Continental crust (>25 km),Eruption Observed,Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , ,608,7399,230531,1618263
360040,Nevis Peak,Stratovolcano,Unknown,Saint Kitts and Nevis,West Indies,West Indies,17.15,-62.58,985,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,5363,9541,35673,132863
322110,Newberry,Shield,690,United States,Canada and Western USA,USA (Oregon),43.722,-121.229,2434,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,0,0,16437,180091
259010,Newer Volcanics Province,Shield(s),-2900,Australia,Melanesia and Australia,Australia,-37.77,142.5,1011,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyte / Trachydacite,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,610361,610361,610361,610361
222164,Ngozi,Caldera,1450,Tanzania,Africa and Red Sea,Africa (eastern),-8.989,33.554,2614,Rift zone / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Phonolite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , ,456466,456466,604376,2195623
283090,Niigata-Yakeyama,Lava dome,1998,Japan,"Japan, Taiwan, Marianas",Honshu,36.921,138.036,2400,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,73,610,226866,3920252
284020,Niijima,Lava dome(s),886,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.397,139.27,432,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Rhyolite, , , , ,Basalt / Picro-Basalt, , , , ,3060,3349,6139,1347661
283140,Nikko-Shiranesan,Shield,1952,Japan,"Japan, Taiwan, Marianas",Honshu,36.799,139.376,2578,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,513,2502,79844,9303980
285031,Niseko,Stratovolcano(es),-4900,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.875,140.659,1308,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , , , , , , ,778,9981,75171,2967982
290060,Nishihitokappuyama [Bogatyr Ridge],Stratovolcano,Unknown,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.833,147.342,1634,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,5,130,1268,5735
212050,Nisyros,Stratovolcano,1888,Greece,Mediterranean and Western Asia,Greece,36.586,27.16,698,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,672,680,14285,461031
243110,Niuafo'ou,Shield,1985,Tonga,New Zealand to Fiji,Tonga Islands,-15.6,-175.63,260,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,118,155,155,155
283060,Norikuradake,Stratovolcano(es),-50,Japan,"Japan, Taiwan, Marianas",Honshu,36.106,137.554,3026,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,250,1616,109638,5057979
257081,North Vate,Stratovolcano(es),Unknown,Vanuatu,Melanesia and Australia,Vanuatu,-17.47,168.353,594,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , , , , , ,3327,6497,26614,61663
334050,Northern EPR at 9.8°N,Submarine,2006,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (eastern),9.83,-104.3,-2500,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
283151,Numazawa,Shield,-3400,Japan,"Japan, Taiwan, Marianas",Honshu,37.444,139.566,835,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Rhyolite,Andesite / Basaltic Andesite, , , , , , , ,990,4082,110303,4383246
284136,NW Eifuku,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.485,144.043,-1535,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
284211,NW Rota-1,Submarine,2010,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",14.601,144.775,-517,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,5988
222056,Nyambeni Hills,Shield,Unknown,Kenya,Africa and Red Sea,Africa (eastern),0.23,37.87,750,Rift zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Rhyolite, , , , , ,13389,107199,768936,2781323
223020,Nyamuragira,Shield,2020,DR Congo,Africa and Red Sea,Africa (central),-1.408,29.2,3058,Rift zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , , , , , , ,3751,27027,711356,8333476
223030,Nyiragongo,Stratovolcano,2020,DR Congo,Africa and Red Sea,Africa (central),-1.52,29.25,3470,Rift zone / Continental crust (>25 km),Eruption Observed,Foidite, , , , ,Basalt / Picro-Basalt, , , , ,2416,31145,1006436,9087529
300650,Nylgimelkin,Shield(s),-3550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.97,160.65,1764,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,26,1792
221280,O'a Caldera,Caldera,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.47,38.58,2075,Rift zone / Continental crust (>25 km),Evidence Credible,Rhyolite,Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , ,148588,148588,477361,8808566
244010,Ofu-Olosega,Shield(s),1866,United States,New Zealand to Fiji,Samoan and Wallis Islands,-14.175,-169.618,639,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,220,384,1387,1387
355130,"Ojos del Salado, Nevados",Stratovolcano,750,Chile-Argentina,South America,"Northern Chile, Bolivia and Argentina",-27.109,-68.541,6879,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,0,11,572,10774
241050,Okataina,Lava dome(s),1981,New Zealand,New Zealand to Fiji,New Zealand,-38.12,176.5,1111,Subduction zone / Continental crust (>25 km),Eruption Observed,Rhyolite, , , , ,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , ,18,579,79591,362413
283003,Oki-Dogo,Shield,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.176,133.334,151,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,6391,12388,22076,691492
311290,Okmok,Shield,2008,United States,Alaska,Aleutian Islands,53.43,-168.13,1073,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Trachyte / Trachydacite,Rhyolite, , ,0,0,0,4
