medal,beer_name,brewery,city,state,category,year
Bronze,Red Rock Organic Zwickel Bier,Red Rock Brewing Co.,Salt Lake City,UT,Kellerbier/Zwickelbier,2009
Gold,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich Style Helles,2009
Silver,Where the Helles Bill?,SandLot (The),Denver,CO,Munich Style Helles,2009
Bronze,Gordon Biersch Golden Export,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Munich Style Helles,2009
Gold,Ernest's Silky Smoove,Pizza Port - San Clemente,San Clemente,CA,Oatmeal Stout,2009
Silver,Oatmeal Stout,Morgan Territory Brewing,Antioch,CA,Oatmeal Stout,2009
Bronze,Sleeping Dog Stout,Chama River Brewing Co.,Albuquerque,NM,Oatmeal Stout,2009
Gold,Old Scrooge '98,Silver City Brewery,Silverdale,WA,Old Ale or Strong Ale,2009
Silver,Outback X,Bend Brewing Co.,Bend,OR,Old Ale or Strong Ale,2009
Bronze,4th Dementia Old Ale,Kuhnhenn Brewing Co.,Warren,MI,Old Ale or Strong Ale,2009
Gold,Big Rapid Red,Beaver St. Brewery,Flagstaff,AZ,Ordinary or Special Bitter,2009
Silver,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,UT,Ordinary or Special Bitter,2009
Bronze,Numbers Ale,Red Brick-Atlanta Brewing Co.,Atlanta,GA,Ordinary or Special Bitter,2009
Gold,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Other Strong Beer,2009
Silver,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA,Other Strong Beer,2009
Gold,W '10,Widmer Brothers Brewing Co.,Portland,OR,Out of Category E2=80=93 Traditionally B=rewed Beer,2009
Bronze,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,OR,Out of Category E2=80=93 Traditionally Bre=wed Beer,2009
Gold,Herbal Joe's Columbarillo IPA,Chama River Brewing Co.,Albuquerque,NM,Pro-Am Competition,2009
Silver,Alright Already Amber,O'Fallon Brewery,O'Fallon,MO,Pro-Am Competition,2009
Bronze,Time of the Season,Upslope Brewing Co.,Boulder,CO,Pro-Am Competition,2009
Gold,Herbal Joe's Columbarillo IPA,Chama River Brewing Co.,Albuquerque,NM,Proam,2009
Silver,Alright Already Amber,O'Fallon Brewery,O'Fallon,MO,Proam,2009
Bronze,Time of the Season,Upslope Brewing Co.,Boulder,CO,Proam,2009
Gold,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2009
Bronze,Pirate's Porter,Sullivan's Black Forest Brew Haus & Grill,Frankenmuth,MI,Robust Porter,2009
Silver,Blue Point Brewing Co. RastafaRye,Blue Point Brewing Co.,Patchogue,NY,Rye Beer,2009
Gold,Reed's Wee Heavy,Pizza Port - Carlsbad,Carlsbad,CA,Scotch Ale,2009
Silver,BagPiper's Scotch Ale,Fegley's Allentown & Bethlehem Brew Works,Allentown,PA,Scotch Ale,2009
Bronze,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Scotch Ale,2009
Gold,Railbender Ale,Erie Brewing Co.,Erie,PA,Scottish Style Ale,2009
Silver,Kilt Lifter,Four Peaks Brewing Co.,Tempe,AZ,Scottish Style Ale,2009
Bronze,Cold Smoke Scotch Ale,Kettlehouse Brewing Co.,Missoula,MT,Scottish Style Ale,2009
Gold,KinderPils,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,Session Beer,2009
Silver,Firestone Xtra Pale,Firestone Walker Brewing Co.,Paso Robles,CA,Session Beer,2009
Bronze,Bam Biere,Jolly Pumpkin Artisan Ales,Dexter,MI,Session Beer,2009
Gold,Smokejumper,Left Hand Brewing Co.,Longmont,CO,Smoked Beer,2009
Silver,Up In Smoke,Fat Head's Brewery &amp; Saloon,North Olmsted,OH,Smoked Beer,2009
Bronze,Diesel Imperial Smoked Porter,21st Amendment Brewery,San Francisco,CA,Smoked Beer,2009
Gold,Top Heavy Hefeweizen,Piece Brewery,Chicago,IL,South German Style Hefeweizen,2009
Bronze,Wiezen,Redhook Ales - Portsmouth,Portsmouth,NH,South German Style Hefeweizen,2009
Silver,Palo Santo Marron,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2009
Bronze,Drunken Angel,Rock Bottom Brewery - Chicago,Chicago,IL,Specialty Beer,2009
Gold,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,AZ,Specialty Honey Beer,2009
Silver,George's Fault,Nodding Head Brewing Co.,Philadelphia,PA,Specialty Honey Beer,2009
Bronze,Midas Touch,Dogfish Head Craft Brewery,Milton,DE,Specialty Honey Beer,2009
Gold,Cow Stout,Pizza Port - Carlsbad,Carlsbad,CA,Sweet Stout,2009
Silver,Cream Stout,Redwood Brewing Co.,Flint,MI,Sweet Stout,2009
Bronze,Steel Toe Stout,Ska Brewing Co.,Durango,CO,Sweet Stout,2009
Bronze,Clipper City Marzhon Vienna Lager,Clipper City Brewing Co.,Baltimore,MD,Vienna Style Lager,2009
Gold,Humidor Series IPA,Cigar City Brewing,Tampa,FL,Wood- and Barrel-Aged Beer,2009
Silver,Red Woody,Goose Island Beer Co.,Chicago,IL,Wood- and Barrel-Aged Beer,2009
Bronze,Red Brick Anniversary Ale 15,Red Brick-Atlanta Brewing Co.,Atlanta,GA,Wood- and Barrel-Aged Beer,2009
Silver,Vlad the Imp Aler,Cascade Brewery Co. LLC,Portland,OR,Wood- and Barrel-Aged Sour Beer,2009
Silver,Barrel Aged Gonzo,Flying Dog Brewery,Frederick,MD,Wood- and Barrel-Aged Strong Beer,2009
Bronze,Duck-Rabbit Barrel Aged Baltic Porter,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Wood- and Barrel-Aged Strong Beer,2009
Gold,Alaskan Smoked Porter 2006,Alaskan Brewing Co.,Juneau,AK,Aged Beer,2008
Silver,Vintage Speedway Stout,AleSmith Brewing Co.,San Diego,CA,Aged Beer,2008
Gold,Coors Light,MillerCoors,Milwaukee,WI,America-Style Light Lager,2008
Silver,Old Milwaukee Light,Pabst Brewing Co.,Woodridge,IL,America-Style Light Lager,2008
Bronze,Keystone Light,MillerCoors,Milwaukee,WI,America-Style Light Lager,2008
Gold,Xtra Gold,Captain Lawrence Brewing Co.,Pleasantville,NY,American-Belgo Style Ale,2008
Silver,Brush Fire Ale,Pump House Restaurant & Brewery,Longmont,CO,American-Belgo Style Ale,2008
Bronze,Big Wednesday,Pizza Port - Solana Beach,Solana Beach,CA,American-Belgo Style Ale,2008
Gold,BJ's Oktoberfest,BJ's Restaurant & Brewery - Chandler,Huntington Beach,CA,American-Style Amber Lager,2008
Silver,Old Scratch Amber Lager,Flying Dog Brewery,Frederick,MD,American-Style Amber Lager,2008
Bronze,El Oso,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Amber Lager,2008
Bronze,American Amber,Rogue Ales,Portland,OR,American-Style Amber/Red Ale,2008
Gold,Kick-Ass Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,American-Style Brown Ale,2008
Gold,Lone Star,Pabst Brewing Co.,Woodridge,IL,American-Style Cream Ale or Lager,2008
Silver,Hamm's,MillerCoors,Milwaukee,WI,American-Style Cream Ale or Lager,2008
Silver,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American-Style Dark Lager,2008
Bronze,Henry Weinhard's Classic Dark,MillerCoors,Milwaukee,WI,American-Style Dark Lager,2008
Gold,Henry Weinhard's Hefeweizen,MillerCoors,Milwaukee,WI,American-Style Hefeweizen,2008
Bronze,Whitetail Wheat,Montana Brewing Co.,Billings,MT,American-Style Hefeweizen,2008
Gold,Union Jack IPA,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style India Pale Ale,2008
Bronze,Hop Head,Bend Brewing Co.,Bend,OR,American-Style India Pale Ale,2008
Gold,Olympia,Pabst Brewing Co.,Woodridge,IL,American-Style Lager or Premium Lager,2008
Silver,Blatz,Pabst Brewing Co.,Woodridge,IL,American-Style Lager or Premium Lager,2008
Bronze,Henry Weinhard's Private Reserve,MillerCoors,Milwaukee,WI,American-Style Lager or Premium Lager,2008
Gold,The Dissident,Deschutes Brewery,Bend,OR,American-Style or German-Style Sour Ale,2008
Silver,Brute,Ithaca Beer Co.,Ithaca,NY,American-Style or German-Style Sour Ale,2008
Bronze,Fifth Element,Squatters Pub Brewery,Salt Lake City,UT,American-Style or German-Style Sour Ale,2008
Gold,Mission Street Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2008
Silver,Drake's 1500 Pale,Drake's Brewing Co.,San Leandro,CA,American-Style Pale Ale,2008
Silver,Natural Ice,"Anheuser-Busch, Inc",St. Louis,MO,American-Style Specialty Lager,2008
Bronze,Busch Ice,"Anheuser-Busch, Inc",St. Louis,MO,American-Style Specialty Lager,2008
Gold,Terminal Stout,Rock Bottom Breweries,Louisville,CO,American-Style Stout,2008
Silver,Black Mocha Stout,Highland Brewing Co.,Asheville,NC,American-Style Stout,2008
Bronze,Troegs Dead Reckoning,TrC3=B6egs Brewing Co.,Harrisburg,PA,American-Style Stout,2008
Gold,Hop Bomb,Rock Bottom Breweries,Louisville,CO,American-Style Strong Pale Ale,2008
Silver,Nectar Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2008
Silver,Spanish Peak Crystal Weiss,Spanish Peaks Brewing Co.,Stamford,CT,American-Style Wheat Beer,2008
Gold,Kick in the Baltic Porter,Bluegrass Brewing Co.,Louisville,KY,Baltic-Style Porter,2008
Silver,Killer Kowalski,Flossmoor Station Brewing Co.,Flossmoor,IL,Baltic-Style Porter,2008
Gold,Treblehook,Redhook Ale Brewery,Portland,OR,Barley Wine-Style Ale,2008
Silver,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,Barley Wine-Style Ale,2008
Bronze,"Scratch # 4 ""The Flying Mouflan""",TrC3=B6egs Brewing Co.,Harrisburg,PA,Barley Wine-Style Ale,2008
Silver,Pride,Midnight Sun Brewing Co.,Anchorage,AK,Belgian- and French-Style Ale,2008
Bronze,Rare Vos,Brewery Ommegang,Cooperstown,NY,Belgian- and French-Style Ale,2008
Gold,Bishop's Tipple Trippel,Main Street Brewery,Corona,CA,Belgian-Style Abbey Ale,2008
Silver,Abbey Dubbel,Flying Fish Brewing Co.,Cherry Hill,NJ,Belgian-Style Abbey Ale,2008
Bronze,6th Glass,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Abbey Ale,2008
Gold,Lambic de Hill,Iron Hill Brewery & Restaurant - Media,Wilmington,DE,Belgian-Style Lambic or Sour Ale,2008
Silver,Upstream Gueuze-Lambic,Upstream Brewing Co.,Omaha,NE,Belgian-Style Lambic or Sour Ale,2008
Bronze,Cassis de Hill,Iron Hill Brewery & Restaurant - Newark,Wilmington,DE,Belgian-Style Lambic or Sour Ale,2008
Gold,Darth Delirium,Moose's Tooth Brewing Co.,Anchorage,AK,Belgian-Style Strong Specialty Ale,2008
Silver,Brother Davids Double,Anderson Valley Brewing Co.,Boonville,CA,Belgian-Style Strong Specialty Ale,2008
Bronze,Golden Armor,CB & Potts Restaurant & Brewery - Highlands Ranch,Highlands Ranch,CO,Belgian-Style Strong Specialty Ale,2008
Gold,Mothership Wit / Organic Wheat Beer,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Witbier,2008
Silver,Belgian Wit,Redrock Brewing Co.,Salt Lake City,UT,Belgian-Style Witbier,2008
Bronze,Squatters Wit,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Witbier,2008
Gold,Drop Top,Widmer Brothers Brewing Co.,Portland,OR,Bitter or Pale Mild Ale,2008
Silver,Hopsmith Pale Ale,Bull &amp; Bush Brewery,Denver,CO,Bitter or Pale Mild Ale,2008
Bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Bitter or Pale Mild Ale,2008
Gold,Goat Rancher,SandLot (The),Denver,CO,Bock,2008
Silver,Bock Lager,Elk Grove Brewery and Restaurant,Elk Grove,CA,Bock,2008
Gold,Pleasantville Pils,Durango Brewing Co.,Durango,CO,Bohemian-Style Pilsener,2008
Silver,Pallavicini Pilsner,Pug Ryan's Brewery,Dillon,CO,Bohemian-Style Pilsener,2008
Bronze,Double Aught,Bear Republic Brewing Co.,Healdsburg,CA,Bohemian-Style Pilsener,2008
Gold,BlackWatch Cream Porter,Pyramid Breweries Inc,Seattle,WA,Brown Porter,2008
Silver,FireHouse Porter,FireHouse Grill & Brewery,Sunnyvale,CA,Brown Porter,2008
Bronze,Prospector Porter,Tommyknocker Brewery,Idaho Springs,CO,Brown Porter,2008
Gold,Full Sail Pale Ale,Full Sail Brewing Co.,Hood River,OR,Classic English-Style Pale Ale,2008
Silver,Clipper City Pale Ale,Clipper City Brewing Co.,Baltimore,MD,Classic English-Style Pale Ale,2008
Bronze,Summit Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2008
Gold,Blarney Sisters Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2008
Silver,Shaft House Stout,Dostal Alley Brewpub & Casino,Central City,CO,Classic Irish-Style Dry Stout,2008
Bronze,Port Truck Stout,Pizza Port - Carlsbad,Carlsbad,CA,Classic Irish-Style Dry Stout,2008
Silver,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Coffee Flavored Beer,2008
Gold,Rolling Thunder Dortmunder,Snake River Brewing Jackson,Jackson,WY,Dortmunder or German-Style Oktoberfest,2008
Silver,Westy Export,CB & Potts Restaurant & Brewery - Flatirons/Westminster,Broomfield,CO,Dortmunder or German-Style Oktoberfest,2008
Bronze,Penn Oktoberfest,Pennsylvania Brewing Co.,Pittsburgh,PA,Dortmunder or German-Style Oktoberfest,2008
Gold,Sweet George's Brown,Dillon DAM Brewery,Dillon,CO,English-Style Dark Mild Ale or Brown Ale,2008
Gold,Surfer's Summer Ale,Pelican Pub & Brewery,Pacific City,OR,English-Style Summer Ale,2008
Silver,Montgomery Blonde,Montgomery Brewing Co.,Montgomery,AL,English-Style Summer Ale,2008
Bronze,312 'Urban Wheat Ale',Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2008
Gold,Munich Dark,Redwood Brewing Co.,Flint,MI,European-Style Dunkel,2008
Bronze,Michelob Amberbock,Michelob Brewing Co.,St. Louis,MO,European-Style Dunkel,2008
Gold,Arquebus,Cambridge Brewing Co.,Cambridge,MA,Experimental Beer,2008
Silver,Sweetwater Motorboat ESB,Sweetwater Brewing Co.,Atlanta,GA,Extra Special Bitter or Strong Bitter,2008
Gold,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign-Style Stout,2008
Silver,Black Bear XX Stout,Alameda Brewhouse,Portland,OR,Foreign-Style Stout,2008
Silver,Saison,Nodding Head Brewing Co.,Philadelphia,PA,French- and Belgian-Style Saison,2008
Bronze,Luciernaga,Jolly Pumpkin Artisan Ales,Dexter,MI,French- and Belgian-Style Saison,2008
Gold,Pyramid Apricot Ale,Pyramid Breweries Inc,Seattle,WA,Fruit or Vegetable Beer,2008
Silver,Alaskan Raspberry Wheat Beer,Alaskan Brewing Co.,Juneau,AK,Fruit or Vegetable Beer,2008
Bronze,Sangre de Frambuesa,Santa Fe Brewing Co.,Santa Fe,NM,Fruit or Vegetable Beer,2008
Gold,The Detroit Dwarf,Detroit Beer Co. (The),Detroit,MI,German-Style Altbier,2008
Silver,Railyard Ale,Titletown Brewing Co.,Green Bay,WI,German-Style Altbier,2008
Gold,Wind Blown Blonde,Stewart's Brewing Co.,Bear,DE,German-Style K=C3=B6lsch,2008
Bronze,Guido's Kolner Brau,Snake River Brewing Jackson,Jackson,WY,German-Style KC3=B6lsch,2008
Silver,Saratoga Lager,Olde Saratoga Brewing Co.,Saratoga Springs,NY,German-Style MC3=A4rzen,2008
Bronze,Munsterfest,Three Floyds Brewing Co. LLC,Munster,IN,German-Style MC3=A4rzen,2008
Gold,Kaiser Pilsner,Pennsylvania Brewing Co.,Pittsburgh,PA,German-Style Pilsener,2008
Bronze,Prima Pils,Victory Brewing Co.,Downingtown,PA,German-Style Pilsener,2008
Gold,B3K,Wynkoop Brewing Co.,Denver,CO,German-Style Schwarzbier,2008
Silver,Cherny Bock,Bohemian Brewery,Midvale,UT,German-Style Schwarzbier,2008
Silver,Deep Water Dopplebock,Thomas Creek Brewery,Greenville,SC,German-Style Strong Bock,2008
Bronze,Red Cock Doppel Bock,Maui Brewing Co.,Lahaina,HI,German-Style Strong Bock,2008
Gold,I'm Half the Beer I Used to Be,BJ's Restaurant & Brewery - Chandler,Huntington Beach,CA,German-Style Wheat Ale,2008
Silver,Dark-n-Curvy Dunkelweizen,Piece Brewery,Chicago,IL,German-Style Wheat Ale,2008
Bronze,Wasatch Hefeweizen,Wasatch Brew Pub,Park City,UT,German-Style Wheat Ale,2008
Silver,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Gluten Free Beer,2008
Bronze,Chinquapin Butte Golden Ale,Deschutes Brewery,Bend,OR,Gluten Free Beer,2008
Gold,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Golden or Blonde Ale,2008
Silver,Alaskan Summer Ale,Alaskan Brewing Co.,Juneau,AK,Golden or Blonde Ale,2008
Gold,Russian Roulette,Minneapolis Town Hall Brewery,Minneapolis,MN,Herb and Spice or Chocolate Beer,2008
Silver,Pangaea,Dogfish Head Craft Brewery,Milton,DE,Herb and Spice or Chocolate Beer,2008
Bronze,State Beach Blonde,Pizza Port - Carlsbad,Carlsbad,CA,Herb and Spice or Chocolate Beer,2008
Silver,Alpha Dog Double Red Ale,Big Dog's Brewing Co.,Las Vegas,NV,Imperial or Double Red Ale,2008
Bronze,Weekender Red Ale,Amicas,Salida,CO,Imperial or Double Red Ale,2008
Gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin' Frog Brewing Co.,Akron,OH,Imperial Stout,2008
Silver,Night Rider Imperial Stout,Pizza Port - Carlsbad,Carlsbad,CA,Imperial Stout,2008
Bronze,Yeti Imperial Stout,Great Divide Brewing Co.,Denver,CO,Imperial Stout,2008
Gold,Session Premium Lager,Full Sail Brewing Co.,Hood River,OR,International-Style Pilsener,2008
Silver,"Yep, Still Boneheads",SandLot (The),Denver,CO,International-Style Pilsener,2008
Bronze,OE 800,MillerCoors,Milwaukee,WI,International-Style Pilsener,2008
Gold,Red Rocks Red Ale,Rock Bottom Breweries,Louisville,CO,Irish-Style Red Ale,2008
Silver,Ragtop Red,Rock Bottom Brewery - La Jolla,La Jolla,CA,Irish-Style Red Ale,2008
Bronze,Eric The Red,Rock Bottom Brewery - Orland Park,Orland Park,IL,Irish-Style Red Ale,2008
Silver,Hell In Keller,Uncle Billy's Brew & Que,Austin,TX,Kellerbier/Zwickelbier,2008
Gold,Himmelbrau Helles,Laurelwood Brewing Co.,Portland,OR,Munich-Style Helles,2008
Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich-Style Helles,2008
Bronze,BS Helles,SandLot (The),Denver,CO,Munich-Style Helles,2008
Gold,Oatmeal Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,Oatmeal Stout,2008
Silver,Velvet Merkin,Firestone Walker Brewing Co.,Paso Robles,CA,Oatmeal Stout,2008
Bronze,Oatmeal Stout,Morgan Territory Brewing,Antioch,CA,Oatmeal Stout,2008
Gold,AleSmith Decadence Old Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2008
Silver,Old Scrooge,Silver City Restaurant & Brewery,Silverdale,WA,Old Ale or Strong Ale,2008
Bronze,Old Scratch Barley Wine '99,Great Dane Pub & Brewing Co. (The),Madison,WI,Old Ale or Strong Ale,2008
Gold,Derail Ale,Durango Brewing Co.,Durango,CO,Other Strong Beer,2008
Silver,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA,Other Strong Beer,2008
Bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA,Other Strong Beer,2008
Gold,Barking Dog Scottish Ale,Big Time Brewing Co.,Seattle,WA,Pro-Am Competition,2008
Silver,Bamberg Hellerbock,Starr Hill Brewing Co.,Crozet,VA,Pro-Am Competition,2008
Bronze,Irish Red,Odell Brewing Co.,Fort Collins,CO,Pro-Am Competition,2008
Gold,Barking Dog Scottish Ale,Big Time Brewing Co.,Seattle,WA,Proam,2008
Bronze,Irish Red,Odell Brewing Co.,Fort Collins,CO,Proam,2008
Gold,Nolan's Porter,Barrio Brewing Co.,Tucson,AZ,Robust Porter,2008
Bronze,Pacemaker Porter,Flyers Restaurant and Brewery,Oak Harbor,WA,Robust Porter,2008
Gold,Roggenbier,Iron Hill Brewery & Restaurant - Media,Wilmington,DE,Rye Beer,2008
Bronze,Ryeteous Red,Amherst Brewing Co.,Amherst,MA,Rye Beer,2008
Gold,Highland Courage,Rock Bottom Brewery - Bethesda,Bethesda,MD,Scottish-Style Ale,2008
Silver,Dells Chief Amber Ale,Dells Brewing Co.,Wisconsin Dells,WI,Scottish-Style Ale,2008
Gold,3.2 Unfiltered Wheat Beer,Boulevard Brewing Co.,Kansas City,MO,Session Beer,2008
Bronze,Blonde Bombshell,Cascade Lakes Brewing Co.,Redmond,OR,Session Beer,2008
Gold,Rauch Bier,Sly Fox Brewing Co.,Royersford,PA,Smoke-Flavored Beer,2008
Silver,Alaskan Smoked Porter 2007,Alaskan Brewing Co.,Juneau,AK,Smoke-Flavored Beer,2008
Bronze,Second Hand Smoke,SandLot (The),Denver,CO,Smoke-Flavored Beer,2008
Gold,Wixa Weiss,Wynkoop Brewing Co.,Denver,CO,South German-Style Hefeweizen,2008
Silver,The Love,Starr Hill Brewing Co.,Crozet,VA,South German-Style Hefeweizen,2008
Bronze,Mueller Hefeweizen,Springfield Brewing Co.,Springfield,MO,South German-Style Hefeweizen,2008
Gold,Red & White,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2008
Silver,Hazelnut Brown Nectar,Rogue Ales,Portland,OR,Specialty Beer,2008
Bronze,Palo Santo Marron,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2008
Gold,Honey Lager,Capitol City Brewing Co. - Capitol Hill,Washington,DC,Specialty Honey Beer,2008
Silver,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,MN,Specialty Honey Beer,2008
Bronze,Honey Moon Summer Ale,Blue Moon Brewing Co.,Golden,CO,Specialty Honey Beer,2008
Gold,AleSmith Wee Heavy,AleSmith Brewing Co.,San Diego,CA,Strong Scotch Ale,2008
Silver,Way Heavy,Pizza Port - San Clemente,Carlsbad,CA,Strong Scotch Ale,2008
Silver,Milk Stout,Left Hand Brewing Co.,Longmont,CO,Sweet Stout,2008
Bronze,Cow Stout,Pizza Port - Carlsbad,Carlsbad,CA,Sweet Stout,2008
Bronze,Clipper City MarzHon,Clipper City Brewing Co.,Baltimore,MD,Vienna-Style Lager,2008
Gold,Old Jack,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2008
Silver,Buffalo Bock,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2008
Bronze,Beastie Barrel Stout,Barley Island Brewing Co.,Fishers,IN,Wood- and Barrel-Aged Beer,2008
Gold,Beekeeper,Bullfrog Brewery,Williamsport,PA,Wood- and Barrel-Aged Sour Beer,2008
Silver,Cherry Dubbel,Iron Hill Brewery & Restaurant - Newark,Wilmington,DE,Wood- and Barrel-Aged Sour Beer,2008
Bronze,Cascade Kriek Ale,Cascade Brewery Co. LLC,Portland,OR,Wood- and Barrel-Aged Sour Beer,2008
Gold,Bourbon Barrel Barleywine,Central Waters Brewing Co.,Amherst,WI,Wood- and Barrel-Aged Strong Beer,2008
Silver,The Legend of the Liquid Brain Imperial Stout,Bull & Bush Brewery,Denver,CO,Wood- and Barrel-Aged Strong Beer,2008
Bronze,Golden Delicious,Captain Lawrence Brewing Co.,Pleasantville,NY,Wood- and Barrel-Aged Strong Beer,2008
Gold,Broad Street Barleywine,Rock Bottom Brewery - King of Prussia,King of Prussia,PA,Aged Beer (Ale or Lager),2007
Silver,2003 Pilgrim's Dole,New Holland Brewing Co.,Holland,MI,Aged Beer (Ale or Lager),2007
Bronze,Alaskan Smoked Porter 2004,Alaskan Brewing Co.,Juneau,AK,Aged Beer (Ale or Lager),2007
Gold,Steam Engine Lager,Steamworks Brewing Co.,Durango/Bayfield,CO,American-Style Amber Lager,2007
Silver,Toasted Lager,Blue Point Brewing Co.,Patchogue,NY,American-Style Amber Lager,2007
Bronze,Old Scratch Amber Lager,Flying Dog Brewery,Denver,CO,American-Style Amber Lager,2007
Bronze,McCarthy Red,Emmett's Tavern & Brewing Co.,West Dundee,IL,American-Style Amber/Red Ale,2007
Gold,Doryman's Dark Ale,Pelican Pub &amp; Brewery,Pacific City,OR,American-Style Brown Ale,2007
Bronze,Bitch Creek ESB,Grand Teton Brewing Co.,Victor,ID,American-Style Brown Ale,2007
Gold,Lone Star,Pabst Brewing Co.,Woodridge,IL,American-Style Cream Ale or Lager,2007
Silver,Old Style,Pabst Brewing Co.,Woodridge,IL,American-Style Cream Ale or Lager,2007
Bronze,TAPS Cream Ale,TAPS Fish House & Brewery,Brea,CA,American-Style Cream Ale or Lager,2007
Gold,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ,American-Style Dark Lager,2007
Silver,Henry Weinhard's Classic Dark,Miller Brewing Co.,Milwaukee,WI,American-Style Dark Lager,2007
Bronze,Elevator Dark Horse,Elevator Brewing Co.,Columbus,OH,American-Style Dark Lager,2007
Silver,Easy Street Wheat,Odell Brewing Co.,Fort Collins,CO,American-Style Hefeweizen,2007
Bronze,American Hefeweizen,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Hefeweizen,2007
Gold,IPA,Odell Brewing Co.,Fort Collins,CO,American-Style India Pale Ale,2007
Silver,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,CA,American-Style India Pale Ale,2007
Bronze,El Camino IPA,Mission Brewery,San Diego,CA,American-Style India Pale Ale,2007
Gold,Hamm's,Miller Brewing Co.,Milwaukee,WI,American-Style Lager,2007
Silver,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,American-Style Lager,2007
Bronze,McHenry Lager,Clipper City Brewing Co.,Baltimore,MD,American-Style Lager,2007
Gold,Old Milwaukee Light,Pabst Brewing Co.,Woodridge,IL,American-Style Light Lager,2007
Bronze,Coors Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager,2007
Bronze,Full Frontal Pale Ale,Piece Brewery,Chicago,IL,American-Style Pale Ale,2007
Gold,Cuvee de Castleton,Captain Lawrence Brewing Co.,Pleasantville,NY,American-Style Sour Ale or German-Style Sour Ale,2007
Silver,Skull &amp; Bones Cuvee,Bristol Brewing Co.,Colorado Springs,CO,American-Style Sour Ale or German-Style Sour Ale,2007
Bronze,Le Terroir,New Belgium Brewing Co.,Fort Collins,CO,American-Style Sour Ale or German-Style Sour Ale,2007
Gold,Icehouse,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2007
Silver,Mickey's Ice,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2007
Bronze,Mickey's Malt Liquor,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2007
Gold,Sticky Stout,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Stout,2007
Silver,Big Bear,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Stout,2007
Bronze,Terminal Stout,Rock Bottom Brewery - Chicago,Chicago,IL,American-Style Stout,2007
Gold,Nectar Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2007
