name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Favourite Cocktail,Cocktail Classics,3/4 oz, Apricot-Flavored Brandy,3/4 oz, Dry Vermouth,3/4 oz, Lemon Juice,1/4 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Electric Jam,Vodka,1 1/4 oz, Vodka,1/2 oz, Blue curacao,1 oz, Simple Syrup,1 oz, Fresh lemon juice,, Lime soda,,,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.,Collins Glass,14 to 16 ounces
Fairy Belle Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Grenadine,3/4 oz, Apricot-Flavored Brandy,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Duke Cocktail,Cocktail Classics,1/2 oz, Triple Sec,1 oz, Orange Juice,2 oz, Lemon Juice,1/2 oz, Maraschino,1 oz, Whole Egg,, Chilled Champagne,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir.",Champagne Flute,6 to 8 ounces
Dreamy Dorini Smoking Martini,Vodka,2 oz, Vodka,1/2 oz," Smoky Scotch, such as Laphroaig",4 oz, Pastis, Lemon twist,,,,,,Stir with ice and strain into a chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Dubonnet Highball,Cocktail Classics,2 oz, Dubonnet ,,ginger ale,,carbonated water,twist of lemon,,,,,,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Add a twist of lemon peel, if desired, and stir.",Highball Glass,7 to 10 ounces
Dubonnet Fizz,Cocktail Classics,1/2 oz, Juice of Orange,1/4 oz, Juice of a Lemon,1 oz, cherry-flavored brandy,2 oz, Dubonnet,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Dubonnet Cocktail,Cocktail Classics,1 1/2 oz, Dubonnet,3/4 oz, Gin,1 oz, Orange Bitters (if desired),,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Doctor Cook,Cocktail Classics,3/4 oz, Gin,1 oz, Lemon Juice,1 oz, Maraschino,1 oz, Egg White,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12 to 24 ounces
Desert Sunrise,Vodka,1 1/4 oz, Vodka,1 1/2 oz, Fresh orange juice,1 1/2 oz, Pineapple Juice,1 oz, Grenadine,,,,,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14 to 16 ounces
Dillatini,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,,,,,,,,,A Martini substituting a dilly bean in place of the olive. See Martini on page 130.,Cocktail Glass,6 or more ounces
Devil's Cocktail,Cocktail Classics,1/2 oz, Lemon Juice,1 1/2 oz, Port,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Derby Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1, Whole Egg,2 oz, Scotch,1 oz, Triple Sec,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Cubeltini,Vodka,3 oz, Cucumber slices,5,Fresh mint leaves,1 1/2 oz, Simple Syrup,2 oz, Vodka,1 oz, Fresh Lime Juice,, Fresh mint sprig,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint sprig.",Cocktail Glass,6 or more ounces
Crocodile Cooler,Vodka,1 1/2 oz, Citrus-flavored vodka,1 oz, Melon liqueur,3/4 oz, Triple Sec,3/4 oz, Simple Syrup,1 oz, Fresh lemon juice,," Lime soda, pineapple wedge, maraschino cherry or lime wheel","Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with pineapple and cherry or lime wheel. Serve with a straw.",Hurricane Glass,14 to 20 ounces
Cosmopolitan,Vodka,1 1/2 oz, Vodka,1/2 oz, Fresh Lime Juice,1/2 oz, Triple Sec,1/2 oz, Cranberry Juice,, Lime wheel,,,Shake well with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Dream Cocktail,Brandy,1 1/2 oz, Brandy,3/4 oz, Triple Sec,1 oz, Anisette,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Jean Lafitte Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Triple Sec,1/2 oz, Anis,1 oz, Powdered Sugar,1 oz, Egg Yolk,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Japanese Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 1/2 oz, Blended whiskey,1 oz, Port,1 oz, Egg White,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Serve with slice of pineapple.,Highball Glass,7 to 10 ounces
Citronella Cooler,Vodka,1 oz, Citrus-flavored vodka,1 oz, Fresh Lime Juice,2 oz, Lemonade,1 oz, Cranberry Juice,, Lime wedge,,,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14 to 16 ounces
North Pole Cocktail,Cocktail Classics,1 oz, Egg White,1/2 oz, Lemon Juice,1/2 oz, Maraschino,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6 or more ounces
The Cinquecento,Vodka,1 1/2 oz, Bison grass vodka (Zubrowka),1/2 oz, Benedictine,1/2 oz, Campari,3/4 oz, Fresh grapefruit juice,1 oz, Angostura Bitters,, Grapefruit twist,Shake with ice. Strain through wire sieve into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
New Orleans Gin Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Juice of a Lime,1 oz, Powdered Sugar,1 oz, Egg White,2 oz, Gin,1 oz," Light cream, 1/2 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Napoleon,Cocktail Classics,2 oz, Gin,1/2 oz, Curacao,1/2 oz, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Zombie,Rum - Daiquiris,1 oz, Gold rum,1 oz, 151-Proof Rum,1 oz, Light Rum,1 oz," each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",2 oz, Demerara Syrup,1 oz, Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14 to 16 ounces
Kiss the Boys Goodbye,Cocktail Classics,3/4 oz, Sloe gin,3/4 oz, Brandy,1/2 oz, Egg White,1 oz, Juice of a Lemon,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
X.Y.Z. Cocktail,Rum - Daiquiris,1 oz, Light Rum,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
K.G.B. Cocktail,Cocktail Classics,1/2 oz, Kummel,1 1/2 oz, Gin,1/4 oz, Apricot-Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Eye-Opener,Cocktail Classics,1 oz, Egg Yolk,1/2 oz, Powdered Sugar,1 oz, Anis,1 oz, Triple Sec,1 oz, White creme de cacao,2 oz, Light Rum,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces
Wiki Waki Woo,Rum - Daiquiris,1/2 oz, Light Rum,1/2 oz, 151-Proof Rum,1/2 oz," each Vodka, tequila blanco, triple sec",1 oz, Amaretto,1 oz," each Fresh orange juice, pineapple juice, cranberry juice",," Orange wheel, maraschino cherry","Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Add orange and cherry.",Hurricane Glass,14 to 20 ounces
Elk's Own Cocktail,Cocktail Classics,1 oz, Egg White,1 1/2 oz, Blended whiskey,3/4 oz, Port,1/4 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,6 or more ounces
Eggnog Supreme,Cocktail Classics,1 oz, Medium Eggs,1 oz, Sugar,1 1/2 oz, Whole milk,1 oz," Heavy Cream, Whipped",1 750-ml, Cognac,, Powdered Nutmeg,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg.",Punch Cup,3 to 4 ounces
Egg Sour,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1/2 oz, Juice of a Lemon,2 oz, Brandy,1/4 oz, Triple Sec,,,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
White Lion Cocktail,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Grenadine,2 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
White Lily Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Triple Sec,3/4 oz, Gin,1 oz, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Ice Cream Flip,Rum - Daiquiris,1 oz, Whole Egg,1 oz, Maraschino,1 oz, Triple Sec,1 small Vanilla Ice Cream,,,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Outrigger,Cocktail Classics,1 oz, Peach-flavored brandy,1 oz, Lime Vodka,1 oz, Pineapple Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Opera Cocktail,Cocktail Classics,1 oz, Maraschino,1/2 oz, Dubonnet,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Virginia Dare,Rum - Daiquiris,2 oz, Ripe pear,2 oz, Dark rum,1/2 oz, Benedictine,2 oz, Angostura Bitters,,,,,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with remaining pear slice.,Cocktail Glass,6 or more ounces
Opening Cocktail,Cocktail Classics,1/2 oz, Grenadine,1/2 oz, Sweet Vermouth,1 1/2 oz, Blended whiskey,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Queen Bee,Cocktail Classics,1 1/2 oz, Lime Vodka,1 oz, Coffee-flavored brandy,1/2 oz, Cream sherry,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Van Vleet,Rum - Daiquiris,3 oz, Light Rum,1 oz, Maple Syrup,1 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Zaza Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dubonnet,,,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces
The Vacation Cocktail,Rum - Daiquiris,1 oz, Peeled and chopped fresh ginger,3/4 oz, Fresh Lime Juice,1/2 oz," each Simple Syrup, light rum, dark rum",1 oz, Mango juice,1/2 oz," each Cranberry Juice, orange juice, spiced rum",, Mango slice,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and float spiced rum on top. Garnish with mango.",Cocktail Glass,6 or more ounces
Dolores,Brandy,1 oz," Brandy, preferably Spanish",1 oz, Cherry liqueur,1 oz, White or dark creme de cacao,1 oz, Egg White,, Freshly grated nutmeg,,,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,Champagne Flute,6 to 8 ounces
Vesuvio,Cocktail Classics,1 oz, Light Rum,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1/2 oz, Egg White,1/2 oz, Sweet Vermouth,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Urban Anxiety,Rum,1 oz, Cachaca,1 oz, Sweet Vermouth,3/4 oz, Cynar,2 oz, Angostura Bitters,," Grapefruit twist, flamed",,,Stir with ice and strain into chilled cocktail glass. Flame grapefruit twist and add.,Cocktail Glass,6 or more ounces
Virgin,Cocktail Classics,1 oz, Gin,1/2 oz, White creme de menthe,1 oz, Forbidden Fruit,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tropica Cocktail,Rum - Daiquiris,2 oz, Light Rum,3 oz, Pineapple Juice,1 oz, Fresh grapefruit juice,1 oz, Grenadine,, Pineapple wedge,,,Mix ingredients in ice-filled Collins glass. Add pineapple wedge.,Collins Glass,14 to 16 ounces
Vermouth Cassis,Cocktail Classics,3/4 oz, Creme de Cassis,1 1/2 oz, Dry Vermouth,,,,,,,,,Stir in highball glass with ice cubes and Fill with carbonated water. Stir again and serve.,Highball Glass,7 to 10 ounces
Verboten,Cocktail Classics,1 1/2 oz, Gin,1 oz, Forbidden Fruit,1 oz, Orange Juice,1 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6 or more ounces
Velvet Hammer No. 2,Cocktail Classics,1 1/2 oz, Strega,1 oz, White creme de cacao,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Velvet Hammer No. 1,Cocktail Classics,1 1/2 oz, Vodka,1 oz, Creme de Cacao,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Ulanda Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Triple Sec,1/4 oz, Anis,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Torridora Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Coffee-flavored brandy,1 1/2 oz, half-and-half,1 oz, 151-Proof Rum,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Float 151-proof rum on top.,Cocktail Glass,6 or more ounces
Boston Sour,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Blended whiskey,1 oz, Egg White,,,,,Shake with cracked ice and strain into sour glass. Add a slice of lemon and a cherry.,Sour Glass,5 to 6 ounces
Three Miller Cocktail,Rum - Daiquiris,3 oz, Fresh cherry tomatoes,2 oz, Dark rum,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Bird-of-Paradise Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Grenadine,2 oz, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7 to 10 ounces
Biffy Cocktail,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Swedish Punch,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Between-The-Sheets Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Brandy,1/2 oz, Triple Sec,1/2 oz, Light Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Third-Rail Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Apple Brandy,3/4 oz, Brandy,1/4 oz, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Bentley,Cocktail Classics,1 1/2 oz, Apple Brandy,1 oz, Dubonnet,,,,,,,,,Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Tahiti Club,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,1/2 oz, Pineapple Juice,1/4 oz, Maraschino liqueur,, Lemon wheel,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.,Old-Fashioned Glass,6 to 8 ounces
Barton Special,Cocktail Classics,1/2 oz, Applejack,1/4 oz, Scotch,1/4 oz, Gin,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Barnaby's Buffalo Blizzard,Cocktail Classics,1 oz, White creme de cacao,3/4 oz, Vodka,1 oz, Galliano, Vanilla Ice Cream,,1 oz, Grenadine,, Whipped cream and 3/4 oz,Shake or blend. Serve in a collins glass.,Collins Glass,14 to 16 ounces
Susie Taylor,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh Lime Juice,, Ginger ale,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14 to 16 ounces
Baltimore Bracer,Cocktail Classics,1 oz, Anisette,1 oz, Brandy,1 oz, Egg White,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bachelor's Bait Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 oz, Egg White,1 oz, Orange Bitters,1/2 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bushranger,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Dubonnet,1 oz, Bitters,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Sunset at Gowanus,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Fresh Lime Juice,1/2 oz, Maple Syrup,1/4 oz, Brandy,1/4 oz, Yellow Chartreuse,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Bulldog Highballl,Cocktail Classics,1/2 oz, Juice of Orange,2 oz, Gin,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces
Bucks Fizz (Mimosa),Cocktail Classics,2 oz, Orange Juice,, Chilled Champagne,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14 to 16 ounces
Buckjones,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Sweet Sherry,1/2 oz, Juice of a Lime,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7 to 10 ounces
Stormy Colada,Rum - Daiquiris,2 oz, Dark rum,2 oz, Pineapple Juice,, Ginger beer," Skewered pineapple wedge, mint sprig, candied ginger slice",,,,,,Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Add skewered garnish.,Highball Glass,7 to 10 ounces
Bronx SIlver Cocktail,Cocktail Classics,1/2 oz, Juice of Orange,1 oz, Egg White,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces
Bronx Golden Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1/4 oz, Orange,,,,,Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.,Sour Glass,5 to 6 ounces
Stone Wall,Rum - Daiquiris,3 slices,thin Peeled fresh ginger,3/4 oz, Demerara Syrup,1 1/2 oz, Fresh apple cider,1 1/2 oz, Light Rum,, Jamaican ginger beer,," Green apple slice, lime wedge",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Add apple and lime.,Old-Fashioned Glass,6 to 8 ounces
Depth Bomb,Brandy,1 oz, Apple Brandy,1 oz, Brandy,1 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Stone Cocktail,Rum - Daiquiris,1 oz, Dry Sherry,1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Almeria,Cocktail Classics,1 1/2 oz, 17-year-old J. Wray and Nephew Ltd. Rum,1 oz, Coffee-flavored liqueur,1 oz, Egg White,,,,,,,Shake all ingredients with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Aunt Jemima,Cocktail Classics,1/2 oz, Brandy,1/2 oz, White creme de cacao,1/2 oz, Benedictine,,,,,,,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",Pousse-Cafe_ Glass, 1 _  ounces
Spanish Town Cocktail,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Triple Sec,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Apricot Lady,Cocktail Classics,1 1/4 oz, Light Rum,1 oz, Apricot-Flavored Brandy,1/4 oz, Triple Sec,1 oz, Lime Juice,1 oz, Egg White,,,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add an orange slice.,Old-Fashioned Glass,6 to 8 ounces
Apricot Anise Collins,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Apricot-Flavored Brandy,1 1/2 oz, Anisette,1 oz, Lemon Juice,,,,,Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a slice of lemon.,Collins Glass,14 to 16 ounces
Apple Rum Rickey,Cocktail Classics,3/4 oz, Applejack,3/4 oz, Light Rum,1/4 oz, Lime,,,,,,,Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.,Highball Glass,7 to 10 ounces
Sloppy Joe's Cocktail No. 1,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Dry Vermouth,1/2 oz, Triple Sec,1 oz, Fresh Lime Juice,1/2 oz, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Applejack Punch,Cocktail Classics,1 3/4 oz,Applejack,4 oz, Grenadine,16 oz, Orange Juice,64 Ginger ale,,,,1 oz, Whole Egg,Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and slices of apple.,Punch Cup,3 to 4 ounces
Brandy Flip,Cocktail Classics,1,Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Brandy,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Sir Walter Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Brandy,1 oz, Grenadine,1 oz, Triple Sec,1 oz, Fresh lemon juice,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Saxon Cocktail,Rum - Daiquiris,1 3/4 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Grenadine, Orange twist,,,,,,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Boston Bullet,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,,,,,,,,,A Martini substituting an olive stuffed with an almond for the regular olive. See Martini on page 130.,Cocktail Glass,6 or more ounces
Sargasso,Rum - Daiquiris,2 oz, Aged rhum agricole,3/4 oz, Dry Sherry,1/2 oz, Aperol,2 oz, Angostura Bitters,, Orange twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with orange twist.,Cocktail Glass,6 or more ounces
Santiago Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,1/2 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Black Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6 to 8 ounces
Saint Lucy Bracer,Rum - Daiquiris,2 oz, Dark rum,1/2 oz, Butterscotch schnapps,1/2 oz, Sweet Vermouth,2 oz, Angostura Bitters,," Edible flower, such as nasturtium",,,Stir with ice and strain into chilled cocktail glass. Garnish with flower.,Cocktail Glass,6 or more ounces
Applecar,Cocktail Classics,1 oz, Applejack,1 oz, Triple Sec,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Apple Blow Fizz,Cocktail Classics,1 oz, Egg White,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Apple Brandy,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water.,Highball Glass,7 to 10 ounces
Antoine Special,Cocktail Classics,1 1/2 oz, Dubonnet,1 1/2 oz, Dry Vermouth,,,,,,,,,Float vermouth on top of chilled Dubonnet in a wine glass.,Red-Wine Glass,12 to 24 ounces
Ante,Cocktail Classics,1 oz, Apple Brandy,1/2 oz, Triple Sec,1 oz, Dubonnet,,,,,,,Stir well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
S & V,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Creole Shrubb (rum-based orange liqueur),1/2 oz, Ruby port,1/2 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Rum Toddy (Cold),Rum - Daiquiris,2 oz, Light or dark rum,1/2 oz, Water,1 oz, Simple Syrup, Lemon twist,,,,1/2 oz, Brandy,"Stir rum, water, and syrup in old-fashioned glass. Add large cube of ice. Add lemon twist.",Old-Fashioned Glass,6 to 8 ounces
Deauville Cocktail,Brandy,1/2 oz, Brandy,1/2 oz, Apple Brandy,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,,,1 oz, Dry Vermouth,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Allies Cocktail,Cocktail Classics,1 oz, Dry Vermouth,1 oz, Gin,1/2 oz, Kummel,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Rum Swizzle,Rum - Daiquiris,2 oz, Light or dark rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,2 oz, Angostura Bitters,, Soda water,,,"Combine first four ingredients in ice-filled Collins glass. With bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with soda water. Serve with a swizzle stick.",Collins Glass,14 to 16 ounces
A. J.,Cocktail Classics,1 1/2 oz, Applejack,1 oz, Grapefruit Juice,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
After Supper Cocktail,Cocktail Classics,1 oz, Apricot-Flavored Brandy,1 oz, Triple Sec,1/2 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Rum Sour,Rum - Daiquiris,2 oz, Light Rum,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,,,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.,Cordial or Pony Glass,2 to 3 ounces
Acapulco,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Lime Juice,1 1/2 oz, Triple Sec,1 oz, Sugar,1, Egg White,,,Combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add a sprig of mint.,Old-Fashioned Glass,6 to 8 ounces
