,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
262,Gin And Tonic,2016-08-28 18:37:11,11403,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wtyxvx1472405831.jpg,Highball glass,,Gin,,,,,,,Tonic water,Lime,,,,,,,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,2 oz ,,,,,,,5 oz ,1 , , , , , ,,
263,Gin Cooler,2016-11-10 23:21:49,11407,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyrvv1478820109.jpg,Collins glass,,Gin,,,,,,,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,2 oz ,"
",,,,,,"
","
","
","
","
","
","
","
",
264,Gin Daisy,2016-11-10 23:19:04,11408,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwxysv1478819943.jpg,Old-fashioned glass,,Gin,,,,,,,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",2 oz , , ,,,,,1 oz ,1/2 tsp superfine ,1/2 tsp ,1 ,1 , , , ,
265,Gin Fizz,2017-09-02 12:29:32,11410,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg,Highball glass,Unforgettables,Gin,,,,,,,Lemon,Powdered sugar,Carbonated water,,,,,,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",2 oz ,,,,,,,Juice of 1/2 ,1 tsp ,,,,,,,
266,Gin Rickey,2017-09-08 16:19:05,17230,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,,Gin,,,,,,,Grenadine,lemon,Soda Water,Lime,,,,,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,2 oz ,,,,,,,1 tsp ,Juice of 1/2 ,Top up with,Garnish,"
","
",,,
267,Gin Sling,2017-09-08 16:10:40,11415,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/h8wmm41504883440.jpg,Old-fashioned glass,,Gin,,,,,,,Lemon,Powdered sugar,Water,Orange peel,,,,,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,2 oz , ,,,,,,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of , , , , ,
268,Gin Smash,2017-09-08 16:14:16,11416,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,Old-fashioned glass,,Gin,,,,,,,Carbonated water,Sugar,Mint,Orange,Cherry,,,,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",2 oz , , ,,,,,1 oz ,1 cube ,4 ,1 slice ,1 , , , ,
269,Gin Sour,2017-09-08 16:12:03,11417,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg,Whiskey sour glass,,Gin,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",2 oz , ,,,,,,1 oz ,1/2 tsp superfine ,1 ,1 , , , , ,
270,Gin Squirt,2017-09-08 16:15:02,11418,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Highball glass,,Gin,,,,,,,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",1 1/2 oz ,"
","
",,,,,1 tsp ,1 tblsp ,3 chunks ,2 ,"
","
","
","
",
271,Gin Swizzle,2017-09-08 16:20:26,11419,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Highball glass,,Lime juice,,,,,,,Sugar,Gin,Bitters,Club soda,,,,,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",1 1/2 oz , ,,,,,,1 tsp superfine ,2 oz ,1 dash ,3 oz , , , , ,
272,Gin Toddy,2017-09-07 22:45:24,11420,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,Old-fashioned glass,,Gin,,,,,,,Water,Powdered sugar,Lemon peel,,,,,,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",2 oz ,,,,,,,2 tsp ,1/2 tsp ,1 twist of , , , , , ,
273,Girl From Ipanema,2016-07-21 09:43:53,17175,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,,Cachaca,,,,,,,Lemon Juice,Agave Syrup,Champagne,,,,,,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",25 ml,,,,,,,15 ml,10 ml,top up with,,,,,,
274,Gluehwein,2016-07-18 21:56:58,12944,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,,Red wine,,,,,,,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",1 L , , ,,,,,125 ml ,60 gr ,1 ,3 ,1 tblsp , , , ,
275,Godchild,2017-09-07 22:47:09,11422,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,,Vodka,,,,,,,Amaretto,Heavy cream,,,,,,,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
276,Godfather,2017-09-02 17:15:28,11423,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Old-fashioned glass,Contemporary Classics,Scotch,,,,,,,Amaretto,,,,,,,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,1 1/2 oz ,,,,,,,3/4 oz , , , , , ,,,
277,Godmother,2017-09-02 17:16:24,11424,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,Old-fashioned glass,,Vodka,,,,,,,Amaretto,,,,,,,,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,1 1/2 oz ,,,,,,,3/4 oz , , , , , ,,,
278,Golden dream,2017-09-02 17:23:45,17199,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,Cocktail glass,Contemporary Classics,Galliano,,,,,,,Triple Sec,orange juice,Cream,,,,,,Shake with cracked ice. Strain into glass and serve.,2 parts,,,,,,,2 parts,2 parts,1 part, , , , , ,
279,Grand Blue,2016-09-01 21:29:09,15427,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,,Malibu rum,,,,,,,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,Serve in an old fashioned glass.,1 1/2 cl ,,,,,,,1 1/2 cl ,1 1/2 cl ,3 cl , , , , , ,
280,Grape lemon pineapple Smoothie,2017-02-20 15:13:03,12712,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,,Grapes,,,,,,,Lemon,Pineapple,,,,,,,Throw everything into a blender and liquify.,1 cup ,,,,,,,1/4 ,1/2 , , , , , ,,
281,Grass Skirt,2016-09-14 23:19:46,11433,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,,Gin,,,,,,,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",1 1/2 oz , ,,,,,,1 oz ,1 oz ,1/2 tsp ,1 , , , , ,
282,Grasshopper,2017-09-02 17:26:53,17200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Contemporary Classics,Green Creme de Menthe,,,,,,,Creme de Cacao,Light cream,,,,,,,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,3/4 oz ,,,,,,,3/4 oz white ,3/4 oz , , , , , ,,
283,Green Goblin,2016-02-03 14:58:40,13497,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,,Cider,,,,,,,Lager,Blue Curacao,,,,,,,"Cider First, Lager then Curacao",1/2 pint hard ,,,,,,,1/2 pint ,1 shot , , , , , ,,
284,Grim Reaper,2017-09-08 16:06:32,14642,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,,Kahlua,,,,,,,151 proof rum,Grenadine,,,,,,,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,1 oz ,,,,,,,1 oz Bacardi ,1 dash , , , , , ,,
285,Grizzly Bear,2017-02-20 14:55:50,12762,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,,Amaretto,,,,,,,Jägermeister,Kahlua,Milk,,,,,,"Served over ice. Sounds nasty, but tastes great.",1 part ,,,,,,,1 part ,1 part ,2 1/2 parts , , , , , ,
286,H.D.,2016-08-31 19:26:18,16262,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,,Whisky,,,,,,,Bailey's irish cream,Coffee,,,,,,,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,4 cl ,,,,,,,8 cl ,"
","
","
","
","
","
",,
287,Happy Skipper,2017-02-20 14:54:09,12766,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,,Spiced rum,,,,,,,Ginger ale,Lime,Ice,,,,,,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",1 1/2 cl ,,,,,,,"
","
","
","
","
","
","
",,
288,Harvey Wallbanger,2017-09-02 17:28:45,11462,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,Contemporary Classics,Vodka,,,,,,,Galliano,Orange juice,,,,,,,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",1 oz ,,,,,,,1/2 oz ,4 oz , , , , , ,,
289,Havana Cocktail,2017-09-08 16:01:40,11470,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,,Light rum,,,,,,,Pineapple juice,Lemon juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",1 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
290,Hawaiian Cocktail,2017-09-08 16:03:07,11472,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,,Gin,,,,,,,Triple sec,Pineapple juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,1/2 oz ,1 tblsp , , , , , ,,
291,Hemingway Special,2017-09-02 17:31:28,17201,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Contemporary Classics,Rum,,,,,,,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,Pour all ingredients into a shaker with ice. Shake.,12 parts,,,,,,,8 parts,3 parts,3 parts, , , , , ,
292,Herbal flame,2015-09-03 03:09:44,15813,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,,Hot Damn,,,,,,,Tea,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",5 shots ,,,,,,,very sweet , , , , , ,,,
293,Highland Fling Cocktail,2017-04-23 20:25:53,11476,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Orange bitters,Olive,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,1 1/2 oz ,,,,,,,3/4 oz ,2 dashes ,1 , , , , , ,
294,Holloween Punch,2017-09-08 17:42:05,12954,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,,Grape juice,,,,,,,Carbonated soft drink,Sherbet,Sherbet,,,,,,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","
",,,,,,,", orange
", , , , , ,,,
295,Homemade Kahlua,2015-09-03 05:20:25,17044,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,,Sugar,,,,,,,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",2 1/2 cups , , ,,,,,1 cup ,1 1/2 oz instant ,2 oz ,3 cups boiling ,1 fifth , , , ,
296,Horse's Neck,2017-09-02 17:34:52,17202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,Contemporary Classics,Lemon peel,,,,,,,Brandy,Ginger ale,Bitters,,,,,,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",1 long strip ,,,,,,,2 oz ,5 oz ,2 dashes , , , , , ,
297,Hot Chocolate to Die for,2017-02-20 15:06:06,12738,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,,Chocolate,,,,,,,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",12 oz fine , ,,,,,,1 tsp ,1/2 tsp ,1 cup ,mini , , , , ,
298,Hot Creamy Bush,2016-08-31 19:27:17,14782,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,,Irish whiskey,,,,,,,Bailey's irish cream,Coffee,,,,,,,Combine all ingredients in glass,1 shot ,,,,,,,3/4 shot ,6 oz hot , , , , , ,,
299,Ice Pick #1,2016-07-21 10:02:06,13539,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,,Vodka,,,,,,,Iced tea,Lemon juice,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,1 1/2 oz ,,,,,,,6 oz ," to taste
","
","
","
","
","
",,
300,Iced Coffee,2016-02-03 15:37:35,12770,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,,Coffee,,,,,,,Sugar,Water,Milk,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,1/4 cup instant ,,,,,,,1/4 cup ,1/4 cup hot ,4 cups cold , , , , , ,
301,Iced Coffee Fillip,2016-02-03 15:43:43,12772,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,,Kahlua,,,,,,,Coffee,,,,,,,,Mix together in a coffee mug and chill before serving.,2 tsp ,,,,,,,Strong cold , , , , , ,,,
302,Imperial Cocktail,2017-02-20 15:13:45,12706,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,,Lime juice,,,,,,,Gin,Aperol,,,,,,,Shake with ice and strain into cocktail glass.,4 cl ,,,,,,,2 cl ,4 cl , , , , , ,,
303,Imperial Fizz,2017-09-08 16:29:08,11524,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,,Light rum,,,,,,,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1/2 oz ,"
",,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,"
","
","
","
","
",
304,Ipamena,2016-07-21 09:49:52,17176,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,,Lime,,,,,,,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",½,,,,,,,2 tsp,4 cl,top up with,fill,,,,,
305,Irish Coffee,2015-08-18 15:09:59,13971,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Contemporary Classics,Irish whiskey,,,,,,,Coffee,Sugar,Whipped cream,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",1 1/2 oz ,,,,,,,8 oz ,1 tsp ,1 tblsp , , , , , ,
306,Irish Cream,2017-09-08 16:31:39,12820,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,,Scotch,,,,,,,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,Mix scotch and milk. Add half-and-half. Add rest.,1 cup , ,,,,,,1 1/4 cup ,1 can sweetened ,3 drops ,1 tblsp , , , , ,
307,Irish Curdling Cow,2017-08-24 09:35:30,16987,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,,Bailey's irish cream,,,,,,,Bourbon,Vodka,Orange juice,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,2-3 oz , , , , , ,
308,Irish Russian,2016-02-03 15:18:50,17015,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,,Vodka,,,,,,,Kahlua,Coca-Cola,Guinness stout,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,1 shot ,,,,,,,1 shot ,1 dash ,Fill with , , , , , ,
309,Irish Spring,2017-09-08 16:33:03,11528,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,,Irish whiskey,,,,,,,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",1 oz , , ,,,,,1/2 oz ,1 oz ,1 oz ,1 slice ,1 , , , ,
310,Jack Rose Cocktail,2015-08-18 15:11:08,11542,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,,Apple brandy,,,,,,,Grenadine,Lime,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 tsp ,Juice of 1/2 , , , , , ,,
311,Jack's Vanilla Coke,2017-09-07 15:08:39,16275,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,,Ice,,,,,,,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",4-5 ,,,,,,,2 oz ,1 tsp ,10-12 oz , , , , , ,
312,Jackhammer,2017-09-02 22:48:16,13847,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,,Jack Daniels,,,,,,,Amaretto,,,,,,,,"Serve over ice- Warning,Deadly!",1 oz ,,,,,,,1 oz , , , , , ,,,
313,Jam Donut,2016-09-16 16:30:04,17178,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,,Baileys irish cream,,,,,,,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",2/3 oz,,,,,,,1/3 oz,1 tsp,2 pinches,,,,,,
314,Jamaica Kiss,2015-09-03 04:05:49,14095,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,,Coffee liqueur,,,,,,,Light rum,Ice,Milk,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,1 shot ,,,,,,,1 shot Jamaican ," cubes
","
","
","
","
","
","
",
315,Jamaican Coffee,2015-09-03 03:27:37,15825,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,,Rum,,,,,,,Coffee,Water,Whipped cream,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",1/6 glass ,,,,,,,1/6 glass strong black ,1/2 glass cold ,"
","
","
","
","
","
",
316,Japanese Fizz,2017-09-08 16:33:51,11558,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,,Blended whiskey,,,,,,,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1 1/2 oz ,"
","
",,,,,Juice of 1/2 ,1 tsp ,1 tblsp ,1 ,"
","
","
","
",
317,Jello shots,2017-09-08 16:35:04,14956,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,,Vodka,,,,,,,Jello,Water,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",2 cups ,,,,,,,3 packages ,3 cups , , , , , ,,
318,Jelly Bean,2017-09-02 22:46:37,13775,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,,Blackberry brandy,,,,,,,Anis,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,1 oz ,,,,,,,1 oz , , , , , ,,,
319,Jewel Of The Nile,2017-09-08 16:35:48,11566,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz , , , , , ,,
320,Jitterbug,2015-09-03 02:55:18,16178,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,,Gin,,,,,,,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",2 jiggers , , , ,,,,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with , , ,
321,John Collins,2017-09-02 12:04:31,11580,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,,Bourbon,,,,,,,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,2 oz , , ,,,,,1 oz ,1 tsp superfine ,3 oz ,1 ,1 , , , ,
322,Just a Moonmint,2017-02-20 15:20:36,12688,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,,Milk,,,,,,,Chocolate syrup,Mint syrup,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,"
","
","
","
","
","
","
",,
323,Kamikaze,2017-09-02 18:26:44,11600,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,New Era Drinks,Vodka,,,,,,,Triple sec,Lime juice,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
324,Karsk,2017-02-20 14:54:31,12764,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,,Coffee,,,,,,,Grain alcohol,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",1 part ,,,,,,,2 parts , , , , , ,,,
325,Kentucky B And B,2016-11-10 23:23:56,11602,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,,Bourbon,,,,,,,Benedictine,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,2 oz ,,,,,,,1/2 oz , , , , , ,,,
